Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity RFWD2-N1,Intensity RFWD2-N2,Intensity BirA-alone-N1,Intensity BirA-alone-N2
Q9NV88;G3XAN1,Q9NV88;G3XAN1,2;1,2;1,2;1,Integrator complex subunit 9,INTS9,sp|Q9NV88|INT9_HUMAN Integrator complex subunit 9 OS=Homo sapiens OX=9606 GN=INTS9 PE=1 SV=2;tr|G3XAN1|G3XAN1_HUMAN Integrator complex subunit 9 OS=Homo sapiens OX=9606 GN=INTS9 PE=1 SV=1,2,2,4.0,24.0882937246412,24.4055502510994,23.0895985386628,22.4160418722327
Q8NFU5,Q8NFU5,2,2,2,Inositol polyphosphate multikinase,IPMK,sp|Q8NFU5|IPMK_HUMAN Inositol polyphosphate multikinase OS=Homo sapiens OX=9606 GN=IPMK PE=1 SV=1,2,2,7.5,24.8546226448134,24.8872998350039,23.4532939607856,23.1695605050549
P46940;A0A0J9YXZ5,P46940;A0A0J9YXZ5,2;2,2;2,2;2,Ras GTPase-activating-like protein IQGAP1,IQGAP1,sp|P46940|IQGA1_HUMAN Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens OX=9606 GN=IQGAP1 PE=1 SV=1;tr|A0A0J9YXZ5|A0A0J9YXZ5_HUMAN Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens OX=9606 GN=IQGAP1 PE=1 SV=1,2,2,2.2,23.9161579196866,22.6343812328745,24.0952594107428,24.4296917590749
Q7Z5L9,Q7Z5L9,3,2,2,Interferon regulatory factor 2-binding protein 2,IRF2BP2,sp|Q7Z5L9|I2BP2_HUMAN Interferon regulatory factor 2-binding protein 2 OS=Homo sapiens OX=9606 GN=IRF2BP2 PE=1 SV=2,3,2,8.7,4.52842334622658,4.50098623350307,25.2280626860259,24.6489346228102
P35568,P35568,2,2,2,Insulin receptor substrate 1,IRS1,sp|P35568|IRS1_HUMAN Insulin receptor substrate 1 OS=Homo sapiens OX=9606 GN=IRS1 PE=1 SV=1,2,2,2.3,23.671632628171,25.1027353569149,4.41334328787,4.32921797042726
Q9BW62;Q5T558;A2A3H2,Q9BW62,4;1;1,2;1;1,2;1;1,Katanin p60 ATPase-containing subunit A-like 1,KATNAL1,sp|Q9BW62|KATL1_HUMAN Katanin p60 ATPase-containing subunit A-like 1 OS=Homo sapiens OX=9606 GN=KATNAL1 PE=1 SV=1,4,2,7.8,23.9798338664365,23.9656962268575,22.6625997115343,23.224438644116
Q9Y4C1,Q9Y4C1,4,2,2,Lysine-specific demethylase 3A,KDM3A,sp|Q9Y4C1|KDM3A_HUMAN Lysine-specific demethylase 3A OS=Homo sapiens OX=9606 GN=KDM3A PE=1 SV=4,4,2,3.9,24.7531257322123,24.2542178314552,23.6651398402505,24.494970789913
Q07666,Q07666,2,2,2,"KH domain-containing, RNA-binding, signal transduction-associated protein 1",KHDRBS1,"sp|Q07666|KHDR1_HUMAN KH domain-containing, RNA-binding, signal transduction-associated protein 1 OS=Homo sapiens OX=9606 GN=KHDRBS1 PE=1 SV=1",2,2,5.4,4.52842334622658,4.50098623350307,23.5699900019869,21.9076755401614
Q96AT1,Q96AT1,2,2,2,Uncharacterized protein KIAA1143,KIAA1143,sp|Q96AT1|K1143_HUMAN Uncharacterized protein KIAA1143 OS=Homo sapiens OX=9606 GN=KIAA1143 PE=1 SV=2,2,2,19.5,27.391901590703,27.6943824382885,26.9161579196866,27.0212573833065
Q15058,Q15058,2,2,2,Kinesin-like protein KIF14,KIF14,sp|Q15058|KIF14_HUMAN Kinesin-like protein KIF14 OS=Homo sapiens OX=9606 GN=KIF14 PE=1 SV=1,2,2,1.3,4.52842334622658,4.50098623350307,22.9705138889321,21.2680233563185
Q96L93;A0A1B0GTU3;A0A0A0MRC9,Q96L93;A0A1B0GTU3,3;3;1,2;2;1,2;2;1,Kinesin-like protein KIF16B,KIF16B,sp|Q96L93|KI16B_HUMAN Kinesin-like protein KIF16B OS=Homo sapiens OX=9606 GN=KIF16B PE=1 SV=2;tr|A0A1B0GTU3|A0A1B0GTU3_HUMAN Kinesin-like protein KIF16B OS=Homo sapiens OX=9606 GN=KIF16B PE=1 SV=1,3,2,3.0,4.52842334622658,4.50098623350307,24.6330621795814,23.7765567260068
O15066;Q9BVG8;Q9P2E2;H3BTL6;B7Z896;F5H3M2;A0A0A0MRS8,O15066,3;1;1;1;1;1;1,3;1;1;1;1;1;1,2;0;0;0;0;0;0,"Kinesin-like protein KIF3B;Kinesin-like protein KIF3B, N-terminally processed",KIF3B,sp|O15066|KIF3B_HUMAN Kinesin-like protein KIF3B OS=Homo sapiens OX=9606 GN=KIF3B PE=1 SV=1,3,2,5.0,4.52842334622658,4.50098623350307,25.0619640933888,23.872299129509
Q9UH77;D6RH21;O95198;B4DFZ5;E9PEX9,Q9UH77;D6RH21;O95198;B4DFZ5;E9PEX9,2;2;1;1;1,2;2;1;1;1,2;2;1;1;1,Kelch-like protein 3;Kelch-like protein 2,KLHL3;KLHL2,sp|Q9UH77|KLHL3_HUMAN Kelch-like protein 3 OS=Homo sapiens OX=9606 GN=KLHL3 PE=1 SV=2;tr|D6RH21|D6RH21_HUMAN Kelch-like protein 3 (Fragment) OS=Homo sapiens OX=9606 GN=KLHL3 PE=1 SV=1;sp|O95198|KLHL2_HUMAN Kelch-like protein 2 OS=Homo sapiens OX=9606 GN=KL,2,2,4.4,24.7226011860798,24.1814689474871,4.41334328787,4.32921797042726
O14686,O14686,2,2,2,Histone-lysine N-methyltransferase 2D,KMT2D,sp|O14686|KMT2D_HUMAN Histone-lysine N-methyltransferase 2D OS=Homo sapiens OX=9606 GN=KMT2D PE=1 SV=2,2,2,0.5,22.780847301855,23.3951134299921,23.5447178703615,23.1665449874497
Q9Y448;V9GY01;H0YM11,Q9Y448;V9GY01;H0YM11,2;2;1,2;2;1,2;2;1,Small kinetochore-associated protein,KNSTRN,"sp|Q9Y448|SKAP_HUMAN Small kinetochore-associated protein OS=Homo sapiens OX=9606 GN=KNSTRN PE=1 SV=2;tr|V9GY01|V9GY01_HUMAN Chromosome 15 open reading frame 23, isoform CRA_d OS=Homo sapiens OX=9606 GN=KNSTRN PE=1 SV=1;tr|H0YM11|H0YM11_HUMAN Small kinetoc",2,2,10.8,25.461512525523,25.3990110938077,4.41334328787,4.32921797042726
P52294;O60684;O15131;Q5TFJ7;C9JYI4,P52294;O60684;O15131;Q5TFJ7;C9JYI4,2;2;2;1;1,2;2;2;1;1,2;2;2;1;1,"Importin subunit alpha-5;Importin subunit alpha-5, N-terminally processed;Importin subunit alpha-7;Importin subunit alpha-6",KPNA1;KPNA6;KPNA5,sp|P52294|IMA5_HUMAN Importin subunit alpha-5 OS=Homo sapiens OX=9606 GN=KPNA1 PE=1 SV=3;sp|O60684|IMA7_HUMAN Importin subunit alpha-7 OS=Homo sapiens OX=9606 GN=KPNA6 PE=1 SV=1;sp|O15131|IMA6_HUMAN Importin subunit alpha-6 OS=Homo sapiens OX=9606 GN=KPNA5,2,2,4.6,24.8884615936475,25.6937803555934,23.3220986915902,23.0140958316831
A0A494C108;Q8N9T8;H0YG91,A0A494C108;Q8N9T8;H0YG91,2;1;1,2;1;1,2;1;1,Protein KRI1 homolog,KRI1,tr|A0A494C108|A0A494C108_HUMAN Protein KRI1 homolog OS=Homo sapiens OX=9606 GN=KRI1 PE=1 SV=1;sp|Q8N9T8|KRI1_HUMAN Protein KRI1 homolog OS=Homo sapiens OX=9606 GN=KRI1 PE=1 SV=3;tr|H0YG91|H0YG91_HUMAN Protein KRI1 homolog (Fragment) OS=Homo sapiens OX=9606,2,2,4.2,27.3765241233066,27.8913966722408,23.1912327532728,23.7968935600191
P05783,P05783,39,38,2,"Keratin, type I cytoskeletal 18",KRT18,"sp|P05783|K1C18_HUMAN Keratin, type I cytoskeletal 18 OS=Homo sapiens OX=9606 GN=KRT18 PE=1 SV=2",39,2,72.3,32.5676040295244,32.3610537729018,32.1233680703892,31.9444025840322
Q9NS86,Q9NS86,2,2,2,LanC-like protein 2,LANCL2,sp|Q9NS86|LANC2_HUMAN LanC-like protein 2 OS=Homo sapiens OX=9606 GN=LANCL2 PE=1 SV=1,2,2,6.9,25.720019379206,25.8946495978318,4.41334328787,4.32921797042726
Q4G0J3;H0YA82;D6R9Z6,Q4G0J3;H0YA82;D6R9Z6,2;2;1,2;2;1,2;2;1,La-related protein 7,LARP7,sp|Q4G0J3|LARP7_HUMAN La-related protein 7 OS=Homo sapiens OX=9606 GN=LARP7 PE=1 SV=1;tr|H0YA82|H0YA82_HUMAN La-related protein 7 (Fragment) OS=Homo sapiens OX=9606 GN=LARP7 PE=1 SV=1;tr|D6R9Z6|D6R9Z6_HUMAN La-related protein 7 (Fragment) OS=Homo sapiens O,2,2,3.4,4.52842334622658,4.50098623350307,22.4696100226578,23.1675559646496
B7Z5P7;O60711,B7Z5P7;O60711,2;1,2;1,2;1,Leupaxin,LPXN,tr|B7Z5P7|B7Z5P7_HUMAN Leupaxin OS=Homo sapiens OX=9606 GN=LPXN PE=1 SV=1;sp|O60711|LPXN_HUMAN Leupaxin OS=Homo sapiens OX=9606 GN=LPXN PE=1 SV=1,2,2,9.8,4.52842334622658,4.50098623350307,24.7535338351932,24.2687801256581
P42704,P42704,2,2,2,"Leucine-rich PPR motif-containing protein, mitochondrial",LRPPRC,"sp|P42704|LPPRC_HUMAN Leucine-rich PPR motif-containing protein, mitochondrial OS=Homo sapiens OX=9606 GN=LRPPRC PE=1 SV=3",2,2,1.1,4.52842334622658,4.50098623350307,26.8438591526753,26.2517463351229
Q96NW7;A0A075B6E9;A0A494C1A4,Q96NW7;A0A075B6E9;A0A494C1A4,4;4;4,2;2;2,2;2;2,Leucine-rich repeat-containing protein 7,LRRC7,sp|Q96NW7|LRRC7_HUMAN Leucine-rich repeat-containing protein 7 OS=Homo sapiens OX=9606 GN=LRRC7 PE=1 SV=1;tr|A0A075B6E9|A0A075B6E9_HUMAN Leucine-rich repeat-containing protein 7 OS=Homo sapiens OX=9606 GN=LRRC7 PE=1 SV=1;tr|A0A494C1A4|A0A494C1A4_HUMAN Leuc,4,2,2.5,23.8659231903099,23.999809430637,23.4248316116103,23.9893321071115
Q96JM4,Q96JM4,2,2,2,Leucine-rich repeat and IQ domain-containing protein 1,LRRIQ1,sp|Q96JM4|LRIQ1_HUMAN Leucine-rich repeat and IQ domain-containing protein 1 OS=Homo sapiens OX=9606 GN=LRRIQ1 PE=2 SV=3,2,2,1.7,30.8525168416032,35.2826113096806,4.41334328787,4.32921797042726
Q5TBP9,Q5TBP9,5,2,2,,LSM14B,tr|Q5TBP9|Q5TBP9_HUMAN Protein LSM14 homolog B (Fragment) OS=Homo sapiens OX=9606 GN=LSM14B PE=1 SV=1,5,2,27.0,26.2820720610722,26.9122793982244,23.9715842481721,23.8907823081088
Q9Y383;A0A0A6YYJ8;V9GZ75;F8WEU3,Q9Y383;A0A0A6YYJ8,6;5;1;1,6;5;1;1,2;1;1;1,Putative RNA-binding protein Luc7-like 2,LUC7L2,sp|Q9Y383|LC7L2_HUMAN Putative RNA-binding protein Luc7-like 2 OS=Homo sapiens OX=9606 GN=LUC7L2 PE=1 SV=2;tr|A0A0A6YYJ8|A0A0A6YYJ8_HUMAN Putative RNA-binding protein Luc7-like 2 OS=Homo sapiens OX=9606 GN=LUC7L2 PE=4 SV=1,6,2,16.1,26.6797614189136,27.1174351146355,4.41334328787,4.32921797042726
Q9BRK4,Q9BRK4,2,2,2,Leucine zipper putative tumor suppressor 2,LZTS2,sp|Q9BRK4|LZTS2_HUMAN Leucine zipper putative tumor suppressor 2 OS=Homo sapiens OX=9606 GN=LZTS2 PE=1 SV=2,2,2,4.3,25.3320563980786,25.4027560297112,4.41334328787,4.32921797042726
O60732,O60732,3,2,2,Melanoma-associated antigen C1,MAGEC1,sp|O60732|MAGC1_HUMAN Melanoma-associated antigen C1 OS=Homo sapiens OX=9606 GN=MAGEC1 PE=1 SV=3,3,2,4.3,4.52842334622658,4.50098623350307,24.8073079297768,24.5022743578612
A0A0D9SGF8;A0A0D9SEY4;E7EWI0;Q86UL8;A0A1B0GUF0;A0A1B0GUI9;A0A0D9SGF2;A0A0D9SET0;A0A1B0GTC0;A0A0E3D6M1;A0A0D9SGI1,A0A0D9SGF8;A0A0D9SEY4;E7EWI0;Q86UL8;A0A1B0GUF0;A0A1B0GUI9;A0A0D9SGF2;A0A0D9SET0;A0A1B0GTC0;A0A0E3D6M1;A0A0D9SGI1,3;3;3;2;2;2;2;2;2;2;2,2;2;2;1;1;1;1;1;1;1;1,2;2;2;1;1;1;1;1;1;1;1,"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 2",MAGI2,"tr|A0A0D9SGF8|A0A0D9SGF8_HUMAN Membrane associated guanylate kinase, WW and PDZ domain containing 2, isoform CRA_c OS=Homo sapiens OX=9606 GN=MAGI2 PE=1 SV=1;tr|A0A0D9SEY4|A0A0D9SEY4_HUMAN Membrane-associated guanylate kinase, WW and PDZ domain-containing",3,2,5.4,30.2487550376162,30.4449013930643,24.719001033841,24.6166784949071
Q5TCQ9,Q5TCQ9,2,2,2,"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 3",MAGI3,"sp|Q5TCQ9|MAGI3_HUMAN Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 3 OS=Homo sapiens OX=9606 GN=MAGI3 PE=1 SV=3",2,2,1.8,25.2038904220942,24.0577980876312,4.41334328787,4.32921797042726
Q96A72;P61326;F5H124;F5H6N1;F5H6P7,Q96A72;P61326;F5H124;F5H6N1;F5H6P7,2;1;1;1;1,2;1;1;1;1,2;1;1;1;1,Protein mago nashi homolog 2;Protein mago nashi homolog,MAGOHB;MAGOH,sp|Q96A72|MGN2_HUMAN Protein mago nashi homolog 2 OS=Homo sapiens OX=9606 GN=MAGOHB PE=1 SV=1;sp|P61326|MGN_HUMAN Protein mago nashi homolog OS=Homo sapiens OX=9606 GN=MAGOH PE=1 SV=1;tr|F5H124|F5H124_HUMAN Protein mago nashi homolog 2 OS=Homo sapiens OX=9,2,2,13.5,4.52842334622658,4.50098623350307,24.388046198676,24.2371014015635
P46734;E9PRZ0,P46734;E9PRZ0,2;1,2;1,2;1,Dual specificity mitogen-activated protein kinase kinase 3,MAP2K3,sp|P46734|MP2K3_HUMAN Dual specificity mitogen-activated protein kinase kinase 3 OS=Homo sapiens OX=9606 GN=MAP2K3 PE=1 SV=2;tr|E9PRZ0|E9PRZ0_HUMAN Dual-specificity mitogen-activated protein kinase kinase 3 (Fragment) OS=Homo sapiens OX=9606 GN=MAP2K3 PE=1,2,2,9.8,24.0320416900143,24.5727677550296,25.2731378713143,24.9362047865712
P10636;I3L170;A0A0G2JQJ7;A0A0G2JPD5;A0A0G2JS76;A0A0G2JMX7,P10636;I3L170;A0A0G2JQJ7;A0A0G2JPD5;A0A0G2JS76;A0A0G2JMX7,2;2;2;2;2;2,2;2;2;2;2;2,2;2;2;2;2;2,Microtubule-associated protein tau;Microtubule-associated protein,MAPT,sp|P10636|TAU_HUMAN Microtubule-associated protein tau OS=Homo sapiens OX=9606 GN=MAPT PE=1 SV=5;tr|I3L170|I3L170_HUMAN Microtubule-associated protein OS=Homo sapiens OX=9606 GN=MAPT PE=1 SV=1;tr|A0A0G2JQJ7|A0A0G2JQJ7_HUMAN Microtubule-associated protein O,2,2,3.7,23.2063669474925,24.0612379211731,25.2796238990618,24.862476361049
H3BU53,H3BU53,7,2,2,,MGA,tr|H3BU53|H3BU53_HUMAN MAX gene-associated protein (Fragment) OS=Homo sapiens OX=9606 GN=MGA PE=1 SV=1,7,2,7.6,25.7361384645201,25.6933857118313,4.41334328787,4.32921797042726
Q5JRA6;A0A0A0MRH6,Q5JRA6;A0A0A0MRH6,2;2,2;2,2;2,Melanoma inhibitory activity protein 3,MIA3,sp|Q5JRA6|TGO1_HUMAN Transport and Golgi organization protein 1 homolog OS=Homo sapiens OX=9606 GN=MIA3 PE=1 SV=1;tr|A0A0A0MRH6|A0A0A0MRH6_HUMAN Transport and Golgi organization protein 1 homolog (Fragment) OS=Homo sapiens OX=9606 GN=MIA3 PE=1 SV=6,2,2,2.0,4.52842334622658,4.50098623350307,24.8982297460229,24.2036841339087
Q9NYP9,Q9NYP9,2,2,2,Protein Mis18-alpha,MIS18A,sp|Q9NYP9|MS18A_HUMAN Protein Mis18-alpha OS=Homo sapiens OX=9606 GN=MIS18A PE=1 SV=1,2,2,10.7,4.52842334622658,4.50098623350307,24.2141566395833,24.5980979472482
O75030;P19484;B1AKB5;B0QYS6;B0QYS7,O75030,4;1;1;1;1,2;1;1;1;1,2;1;1;1;1,Microphthalmia-associated transcription factor,MITF,sp|O75030|MITF_HUMAN Microphthalmia-associated transcription factor OS=Homo sapiens OX=9606 GN=MITF PE=1 SV=2,4,2,8.0,4.52842334622658,4.50098623350307,23.8338351384072,24.0485154770708
Q13015,Q13015,2,2,2,Protein AF1q,MLLT11,sp|Q13015|AF1Q_HUMAN Protein AF1q OS=Homo sapiens OX=9606 GN=MLLT11 PE=1 SV=1,2,2,33.3,27.8235952323007,27.4899127450167,4.41334328787,4.32921797042726
Q96T76;H7C1W5;H0Y746,Q96T76;H7C1W5;H0Y746,2;1;1,2;1;1,2;1;1,MMS19 nucleotide excision repair protein homolog,MMS19,sp|Q96T76|MMS19_HUMAN MMS19 nucleotide excision repair protein homolog OS=Homo sapiens OX=9606 GN=MMS19 PE=1 SV=2;tr|H7C1W5|H7C1W5_HUMAN MMS19 nucleotide excision repair protein homolog (Fragment) OS=Homo sapiens OX=9606 GN=MMS19 PE=1 SV=1;tr|H0Y746|H0Y746,2,2,2.5,23.8768953465888,22.6745879768962,4.41334328787,4.32921797042726
Q9BU76,Q9BU76,2,2,2,Multiple myeloma tumor-associated protein 2,MMTAG2,sp|Q9BU76|MMTA2_HUMAN Multiple myeloma tumor-associated protein 2 OS=Homo sapiens OX=9606 GN=MMTAG2 PE=1 SV=1,2,2,11.8,23.9513594264652,21.7595907761179,4.41334328787,4.32921797042726
O96007,O96007,2,2,2,Molybdopterin synthase catalytic subunit,MOCS2,sp|O96007|MOC2B_HUMAN Molybdopterin synthase catalytic subunit OS=Homo sapiens OX=9606 GN=MOCS2 PE=1 SV=1,2,2,18.6,25.8253676000671,25.4322766513242,23.75837125361,23.1568897782325
Q9Y6X9;H7C3M1;H7C1V1,Q9Y6X9;H7C3M1;H7C1V1,2;1;1,2;1;1,2;1;1,MORC family CW-type zinc finger protein 2,MORC2,sp|Q9Y6X9|MORC2_HUMAN ATPase MORC2 OS=Homo sapiens OX=9606 GN=MORC2 PE=1 SV=2;tr|H7C3M1|H7C3M1_HUMAN ATPase MORC2 (Fragment) OS=Homo sapiens OX=9606 GN=MORC2 PE=1 SV=1;tr|H7C1V1|H7C1V1_HUMAN ATPase MORC2 (Fragment) OS=Homo sapiens OX=9606 GN=MORC2 PE=1 SV=,2,2,2.8,4.52842334622658,4.50098623350307,23.9352607467819,22.9629284741935
O75970;A0A075B6R8;B7ZB24;H0YGQ3;F5H1U9,O75970;A0A075B6R8;B7ZB24;H0YGQ3;F5H1U9,3;3;3;3;3,2;2;2;2;2,2;2;2;2;2,Multiple PDZ domain protein,MPDZ,sp|O75970|MPDZ_HUMAN Multiple PDZ domain protein OS=Homo sapiens OX=9606 GN=MPDZ PE=1 SV=2;tr|A0A075B6R8|A0A075B6R8_HUMAN Multiple PDZ domain protein (Fragment) OS=Homo sapiens OX=9606 GN=MPDZ PE=1 SV=1;tr|B7ZB24|B7ZB24_HUMAN Multiple PDZ domain protein OS,3,2,3.5,23.9830410156952,22.7516658192637,23.9556695339207,24.1335160257653
H0Y8C3;Q9NZJ7,H0Y8C3;Q9NZJ7,2;1,2;1,2;1,Mitochondrial carrier homolog 1,MTCH1,tr|H0Y8C3|H0Y8C3_HUMAN Mitochondrial carrier homolog 1 (Fragment) OS=Homo sapiens OX=9606 GN=MTCH1 PE=1 SV=1;sp|Q9NZJ7|MTCH1_HUMAN Mitochondrial carrier homolog 1 OS=Homo sapiens OX=9606 GN=MTCH1 PE=1 SV=1,2,2,6.6,4.52842334622658,4.50098623350307,23.9722856922315,24.0263419393965
Q8NCE2;C9JSR1;C9JR61,Q8NCE2;C9JSR1;C9JR61,2;2;1,2;2;1,2;2;1,Myotubularin-related protein 14,MTMR14,sp|Q8NCE2|MTMRE_HUMAN Myotubularin-related protein 14 OS=Homo sapiens OX=9606 GN=MTMR14 PE=1 SV=2;tr|C9JSR1|C9JSR1_HUMAN Myotubularin-related protein 14 OS=Homo sapiens OX=9606 GN=MTMR14 PE=1 SV=1;tr|C9JR61|C9JR61_HUMAN Myotubularin-related protein 14 (Fra,2,2,4.3,4.52842334622658,4.50098623350307,22.3393020003121,24.3015235462335
O14950;P19105;J3QRS3;P24844,O14950;P19105;J3QRS3;P24844,2;2;2;1,2;2;2;1,2;2;2;1,Myosin regulatory light chain 12B;Myosin regulatory light chain 12A;Myosin regulatory light polypeptide 9,MYL12B;MYL12A;MYL9,sp|O14950|ML12B_HUMAN Myosin regulatory light chain 12B OS=Homo sapiens OX=9606 GN=MYL12B PE=1 SV=2;sp|P19105|ML12A_HUMAN Myosin regulatory light chain 12A OS=Homo sapiens OX=9606 GN=MYL12A PE=1 SV=2;tr|J3QRS3|J3QRS3_HUMAN Myosin regulatory light chain 12A,2,2,11.0,4.52842334622658,4.50098623350307,23.2990794242312,23.4061344038626
Q9UBC5;G3V342,Q9UBC5;G3V342,4;2,2;1,2;1,Unconventional myosin-Ia,MYO1A,sp|Q9UBC5|MYO1A_HUMAN Unconventional myosin-Ia OS=Homo sapiens OX=9606 GN=MYO1A PE=1 SV=1;tr|G3V342|G3V342_HUMAN Unconventional myosin-Ia OS=Homo sapiens OX=9606 GN=MYO1A PE=1 SV=1,4,2,5.2,26.6224046672433,26.9066798939897,23.2529050379531,23.8142068004471
Q9NQX4,Q9NQX4,2,2,2,Unconventional myosin-Vc,MYO5C,sp|Q9NQX4|MYO5C_HUMAN Unconventional myosin-Vc OS=Homo sapiens OX=9606 GN=MYO5C PE=1 SV=2,2,2,1.5,25.4107344458379,25.7687549544832,23.3678491849985,22.991166121829
Q99747,Q99747,2,2,2,Gamma-soluble NSF attachment protein,NAPG,sp|Q99747|SNAG_HUMAN Gamma-soluble NSF attachment protein OS=Homo sapiens OX=9606 GN=NAPG PE=1 SV=1,2,2,9.6,4.52842334622658,4.50098623350307,24.6363298934154,24.4518022179365
Q93015,Q93015,2,2,2,N-acetyltransferase 6,NAT6,sp|Q93015|NAA80_HUMAN N-alpha-acetyltransferase 80 OS=Homo sapiens OX=9606 GN=NAA80 PE=1 SV=2,2,2,7.7,4.52842334622658,4.50098623350307,21.0968052171854,23.1908561235942
Q8NEY1;A0A0A0MRJ3;H0Y6F6,Q8NEY1;A0A0A0MRJ3;H0Y6F6,2;2;1,2;2;1,2;2;1,Neuron navigator 1,NAV1,sp|Q8NEY1|NAV1_HUMAN Neuron navigator 1 OS=Homo sapiens OX=9606 GN=NAV1 PE=1 SV=2;tr|A0A0A0MRJ3|A0A0A0MRJ3_HUMAN Neuron navigator 1 OS=Homo sapiens OX=9606 GN=NAV1 PE=1 SV=1;tr|H0Y6F6|H0Y6F6_HUMAN Neuron navigator 1 (Fragment) OS=Homo sapiens OX=9606 GN=NA,2,2,1.9,4.52842334622658,4.50098623350307,24.3512422858501,24.3479127914713
Q9Y6Q9,Q9Y6Q9,2,2,2,Nuclear receptor coactivator 3,NCOA3,sp|Q9Y6Q9|NCOA3_HUMAN Nuclear receptor coactivator 3 OS=Homo sapiens OX=9606 GN=NCOA3 PE=1 SV=1,2,2,2.9,25.0864271745108,25.2858320621542,4.41334328787,4.32921797042726
Q12857;B1AKN6;B1AKN7;S4R3K4;A0A590UJ82;A0A590UK73;B1AKN5;A0A590UK09;B1AKN8;Q5VW26;Q5VW27;Q5VW30;A0A1B0GWI9;A0A1B0GU97;A0A2R8Y7V8;A0A0A0MRX8;A0A1B0GWJ4;U3KQE8;O00712;U3KPY9;A0A087WXP2;Q5W0Y9;A0A1B0GW37;A0A1B0GVN4;K7EKH0;K7EN08;A0A1B0GTC1;K7EJB0;C9JWJ8;K7ESG9;Q14938;S4R308,Q12857;B1AKN6;B1AKN7;S4R3K4;A0A590UJ82;A0A590UK73;B1AKN5;A0A590UK09;B1AKN8;Q5VW26;Q5VW27;Q5VW30;A0A1B0GWI9;A0A1B0GU97;A0A2R8Y7V8;A0A0A0MRX8;A0A1B0GWJ4;U3KQE8;O00712;U3KPY9;A0A087WXP2;Q5W0Y9;A0A1B0GW37,3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1,3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1,2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;0;0;0;0,Nuclear factor 1 A-type;Nuclear factor 1;Nuclear factor 1 B-type,NFIA;NFIB,sp|Q12857|NFIA_HUMAN Nuclear factor 1 A-type OS=Homo sapiens OX=9606 GN=NFIA PE=1 SV=2;tr|B1AKN6|B1AKN6_HUMAN Nuclear factor 1 OS=Homo sapiens OX=9606 GN=NFIA PE=1 SV=1;tr|B1AKN7|B1AKN7_HUMAN Nuclear factor 1 OS=Homo sapiens OX=9606 GN=NFIA PE=1 SV=1;tr|S4,3,2,6.9,25.1711575521725,24.309317027038,23.5808391198214,24.0653786604302
P08651;A0A286YEX4,P08651;A0A286YEX4,3;3,2;2,2;2,Nuclear factor 1 C-type,NFIC,sp|P08651|NFIC_HUMAN Nuclear factor 1 C-type OS=Homo sapiens OX=9606 GN=NFIC PE=1 SV=2;tr|A0A286YEX4|A0A286YEX4_HUMAN Nuclear factor 1 OS=Homo sapiens OX=9606 GN=NFIC PE=1 SV=1,3,2,7.5,23.6928934972098,23.397412467283,23.7632975085909,23.4118336913786
Q6KC79;A0A590UJS4,Q6KC79;A0A590UJS4,2;2,2;2,2;2,Nipped-B-like protein,NIPBL,sp|Q6KC79|NIPBL_HUMAN Nipped-B-like protein OS=Homo sapiens OX=9606 GN=NIPBL PE=1 SV=2;tr|A0A590UJS4|A0A590UJS4_HUMAN Nipped-B protein OS=Homo sapiens OX=9606 GN=NIPBL PE=1 SV=1,2,2,0.8,23.5657689538176,23.6736826009033,22.8597212780749,22.2724156463746
Q9NPP4;A0A494BZZ1;A0A499FIV7,Q9NPP4;A0A494BZZ1;A0A499FIV7,2;2;2,2;2;2,2;2;2,NLR family CARD domain-containing protein 4,NLRC4,sp|Q9NPP4|NLRC4_HUMAN NLR family CARD domain-containing protein 4 OS=Homo sapiens OX=9606 GN=NLRC4 PE=1 SV=2;tr|A0A494BZZ1|A0A494BZZ1_HUMAN NLR family CARD domain-containing protein 4 OS=Homo sapiens OX=9606 GN=NLRC4 PE=1 SV=1;tr|A0A499FIV7|A0A499FIV7_HUMA,2,2,3.1,24.7443230409241,24.6095841180611,25.4236140121698,25.4524936304516
Q9Y3T9,Q9Y3T9,2,2,2,Nucleolar complex protein 2 homolog,NOC2L,sp|Q9Y3T9|NOC2L_HUMAN Nucleolar complex protein 2 homolog OS=Homo sapiens OX=9606 GN=NOC2L PE=1 SV=4,2,2,3.5,4.52842334622658,4.50098623350307,24.8432122203325,23.195083793373
