Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity RBBP4_N1,Intensity RBBP4_N2,Intensity U2OS-BirA-alone_N1,Intensity U2OS-BirA-alone_N2
Q9H2K8;G3V1Q8,Q9H2K8;G3V1Q8,3;2,3;2,3;2,Serine/threonine-protein kinase TAO3,TAOK3,sp|Q9H2K8|TAOK3_HUMAN Serine/threonine-protein kinase TAO3 OS=Homo sapiens OX=9606 GN=TAOK3 PE=1 SV=2;tr|G3V1Q8|G3V1Q8_HUMAN Serine/threonine-protein kinase TAO3 OS=Homo sapiens OX=9606 GN=TAOK3 PE=1 SV=1,3,3,5.0,25.137860140419,24.559292125632,25.1438655290314,22.5231043797391
Q15369;E5RHG8;R4GMY8,Q15369;E5RHG8;R4GMY8,3;3;2,3;3;2,3;3;2,Transcription elongation factor B polypeptide 1,TCEB1,sp|Q15369|ELOC_HUMAN Elongin-C OS=Homo sapiens OX=9606 GN=ELOC PE=1 SV=1;tr|E5RHG8|E5RHG8_HUMAN Elongin-C (Fragment) OS=Homo sapiens OX=9606 GN=ELOC PE=1 SV=1;tr|R4GMY8|R4GMY8_HUMAN Elongin-C OS=Homo sapiens OX=9606 GN=ELOC PE=1 SV=1,3,3,41.1,4.31753116899141,4.15777444202647,27.1967616449125,27.1688263402245
Q9BT92;F5GWH6,Q9BT92,3;1,3;1,3;1,Trichoplein keratin filament-binding protein,TCHP,sp|Q9BT92|TCHP_HUMAN Trichoplein keratin filament-binding protein OS=Homo sapiens OX=9606 GN=TCHP PE=1 SV=1,3,3,6.8,4.31753116899141,4.15777444202647,24.806414705995,21.7083042563234
P28347;Q15561;Q99594;Q15562;H0YGS2;H0YG62;H0YEJ9;A0A0A0MRF3;H0YE88;Q53GI4;A0A1X7SBS4,P28347;Q15561;Q99594;Q15562;H0YGS2;H0YG62;H0YEJ9;A0A0A0MRF3;H0YE88;Q53GI4;A0A1X7SBS4,3;2;2;2;2;2;2;2;2;2;2,3;2;2;2;2;2;2;2;2;2;2,3;2;2;2;2;2;2;2;2;2;2,Transcriptional enhancer factor TEF-1;Transcriptional enhancer factor TEF-3;Transcriptional enhancer factor TEF-5;Transcriptional enhancer factor TEF-4,TEAD1;TEAD4;TEAD3;TEAD2,sp|P28347|TEAD1_HUMAN Transcriptional enhancer factor TEF-1 OS=Homo sapiens OX=9606 GN=TEAD1 PE=1 SV=2;sp|Q15561|TEAD4_HUMAN Transcriptional enhancer factor TEF-3 OS=Homo sapiens OX=9606 GN=TEAD4 PE=1 SV=3;sp|Q99594|TEAD3_HUMAN Transcriptional enhancer fac,3,3,8.7,28.3644027372199,26.9710860062114,22.5204930361978,23.5472065746994
Q07157;G3V1L9;H0YKB1;H0Y3R8;H0YLT6,Q07157;G3V1L9,60;60;8;7;3,60;60;8;7;3,3;3;0;0;0,Tight junction protein ZO-1,TJP1,"sp|Q07157|ZO1_HUMAN Tight junction protein ZO-1 OS=Homo sapiens OX=9606 GN=TJP1 PE=1 SV=3;tr|G3V1L9|G3V1L9_HUMAN Tight junction protein 1 (Zona occludens 1), isoform CRA_a OS=Homo sapiens OX=9606 GN=TJP1 PE=1 SV=1",60,3,46.3,4.31753116899141,4.15777444202647,31.0900520319783,30.779252357041
P29401;A0A0B4J1R6;E9PFF2,P29401;A0A0B4J1R6;E9PFF2,3;3;2,3;3;2,3;3;2,Transketolase,TKT,sp|P29401|TKT_HUMAN Transketolase OS=Homo sapiens OX=9606 GN=TKT PE=1 SV=3;tr|A0A0B4J1R6|A0A0B4J1R6_HUMAN Transketolase OS=Homo sapiens OX=9606 GN=TKT PE=1 SV=1;tr|E9PFF2|E9PFF2_HUMAN Transketolase OS=Homo sapiens OX=9606 GN=TKT PE=1 SV=1,3,3,7.9,4.31753116899141,4.15777444202647,25.237150959191,24.8708891919037
P11387;Q969P6;E5RIC7;E5RJ95;E5RFS0,P11387;Q969P6;E5RIC7,3;2;2;1;1,3;2;2;1;1,3;2;2;1;1,"DNA topoisomerase 1;DNA topoisomerase I, mitochondrial",TOP1;TOP1MT,"sp|P11387|TOP1_HUMAN DNA topoisomerase 1 OS=Homo sapiens OX=9606 GN=TOP1 PE=1 SV=2;sp|Q969P6|TOP1M_HUMAN DNA topoisomerase I, mitochondrial OS=Homo sapiens OX=9606 GN=TOP1MT PE=1 SV=1;tr|E5RIC7|E5RIC7_HUMAN DNA topoisomerase I (Fragment) OS=Homo sapiens OX",3,3,3.8,4.31753116899141,4.15777444202647,22.9998954307587,24.3989132696047
Q9Y3Q8;O75157;Q15714;Q99576;Q5JRJ0;E7EWD5;H0Y865;H7BZ77,Q9Y3Q8,3;1;1;1;1;1;1;1,3;1;1;1;1;1;1;1,3;1;1;1;1;1;1;1,TSC22 domain family protein 4,TSC22D4,sp|Q9Y3Q8|T22D4_HUMAN TSC22 domain family protein 4 OS=Homo sapiens OX=9606 GN=TSC22D4 PE=1 SV=2,3,3,9.6,4.31753116899141,4.15777444202647,25.4319563615961,25.6882449724495
O43156,O43156,3,3,3,TELO2-interacting protein 1 homolog,TTI1,sp|O43156|TTI1_HUMAN TELO2-interacting protein 1 homolog OS=Homo sapiens OX=9606 GN=TTI1 PE=1 SV=3,3,3,5.0,4.31753116899141,4.15777444202647,24.0362407006067,24.8209934371124
Q8WZ42;A0A0A0MRA3;A0A0A0MTS7,Q8WZ42;A0A0A0MRA3;A0A0A0MTS7,3;3;3,3;3;3,3;3;3,Titin,TTN,sp|Q8WZ42|TITIN_HUMAN Titin OS=Homo sapiens OX=9606 GN=TTN PE=1 SV=4;tr|A0A0A0MRA3|A0A0A0MRA3_HUMAN Titin OS=Homo sapiens OX=9606 GN=TTN PE=1 SV=1;tr|A0A0A0MTS7|A0A0A0MTS7_HUMAN Titin OS=Homo sapiens OX=9606 GN=TTN PE=1 SV=1,3,3,0.1,24.299009531295,23.4444511183874,21.3291324522485,19.9118425256053
Q9BQE3;F5H5D3;A0A1W2PQM2;F8VVB9;F8VRZ4;F8VS66;F8VWV9;F8VX09;C9JEV8;C9JQ00;C9JJQ8;C9K0S6;F8VRK0;C9JDL2;Q9H853;F8W0F6;F8VXZ7,Q9BQE3;F5H5D3;A0A1W2PQM2,25;25;13;11;6;6;4;4;3;3;3;2;2;2;1;1;1,5;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0,3;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0,Tubulin alpha-1C chain,TUBA1C,sp|Q9BQE3|TBA1C_HUMAN Tubulin alpha-1C chain OS=Homo sapiens OX=9606 GN=TUBA1C PE=1 SV=1;tr|F5H5D3|F5H5D3_HUMAN Tubulin alpha chain OS=Homo sapiens OX=9606 GN=TUBA1C PE=1 SV=1;tr|A0A1W2PQM2|A0A1W2PQM2_HUMAN Tubulin alpha-1C chain OS=Homo sapiens OX=9606 GN,25,3,59.5,4.31753116899141,4.15777444202647,29.0468203480311,29.0138240787081
P49411,P49411,3,3,3,"Elongation factor Tu, mitochondrial",TUFM,"sp|P49411|EFTU_HUMAN Elongation factor Tu, mitochondrial OS=Homo sapiens OX=9606 GN=TUFM PE=1 SV=2",3,3,10.8,24.6506972367449,21.8836411594993,24.7487313187588,24.7444774678859
O14530;F8WCJ3;B8ZZX4,O14530;F8WCJ3;B8ZZX4,3;2;2,3;2;2,3;2;2,Thioredoxin domain-containing protein 9,TXNDC9,sp|O14530|TXND9_HUMAN Thioredoxin domain-containing protein 9 OS=Homo sapiens OX=9606 GN=TXNDC9 PE=1 SV=2;tr|F8WCJ3|F8WCJ3_HUMAN Thioredoxin domain-containing protein 9 OS=Homo sapiens OX=9606 GN=TXNDC9 PE=1 SV=1;tr|B8ZZX4|B8ZZX4_HUMAN Thioredoxin domain-c,3,3,11.9,4.31753116899141,4.15777444202647,25.6853870124977,25.6541165627758
O43396;K7ER96,O43396;K7ER96,8;8,8;8,3;3,Thioredoxin-like protein 1,TXNL1,sp|O43396|TXNL1_HUMAN Thioredoxin-like protein 1 OS=Homo sapiens OX=9606 GN=TXNL1 PE=1 SV=3;tr|K7ER96|K7ER96_HUMAN Thioredoxin-like protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=TXNL1 PE=1 SV=1,8,3,32.9,24.3275224925976,23.4326254929837,27.7344080102593,27.4610772103985
P61081,P61081,3,3,3,NEDD8-conjugating enzyme Ubc12,UBE2M,sp|P61081|UBC12_HUMAN NEDD8-conjugating enzyme Ubc12 OS=Homo sapiens OX=9606 GN=UBE2M PE=1 SV=1,3,3,19.7,4.31753116899141,4.15777444202647,26.0684981797721,26.1976054633195
O14562;H3BRL3;H3BUM8,O14562;H3BRL3,3;3;1,3;3;1,3;3;1,Ubiquitin domain-containing protein UBFD1,UBFD1,sp|O14562|UBFD1_HUMAN Ubiquitin domain-containing protein UBFD1 OS=Homo sapiens OX=9606 GN=UBFD1 PE=1 SV=2;tr|H3BRL3|H3BRL3_HUMAN Ubiquitin domain-containing protein UBFD1 OS=Homo sapiens OX=9606 GN=UBFD1 PE=1 SV=1,3,3,13.3,4.31753116899141,4.15777444202647,26.0489103744027,25.9173877417291
Q9UMX0;Q9NRR5;H0YDS0,Q9UMX0,3;1;1,3;1;1,3;1;1,Ubiquilin-1,UBQLN1,sp|Q9UMX0|UBQL1_HUMAN Ubiquilin-1 OS=Homo sapiens OX=9606 GN=UBQLN1 PE=1 SV=2,3,3,10.0,4.31753116899141,4.15777444202647,27.6017999131654,25.4132872885201
P40818;H0YLH2;H0YNL5;H0YKV1;A0A075B720,P40818,4;1;1;1;1,4;1;1;1;1,3;0;0;0;0,Ubiquitin carboxyl-terminal hydrolase 8,USP8,sp|P40818|UBP8_HUMAN Ubiquitin carboxyl-terminal hydrolase 8 OS=Homo sapiens OX=9606 GN=USP8 PE=1 SV=1,4,3,4.9,4.31753116899141,4.15777444202647,25.5666844586925,23.0774090316993
Q9P0L0;J3QKM9,Q9P0L0,4;1,3;1,3;1,Vesicle-associated membrane protein-associated protein A,VAPA,sp|Q9P0L0|VAPA_HUMAN Vesicle-associated membrane protein-associated protein A OS=Homo sapiens OX=9606 GN=VAPA PE=1 SV=3,4,3,16.1,4.31753116899141,4.15777444202647,25.8699249414309,25.4630436070245
Q99536;K7ESA3;K7ENX2;K7EM19,Q99536;K7ESA3,3;3;1;1,3;3;1;1,3;3;1;1,Synaptic vesicle membrane protein VAT-1 homolog,VAT1,sp|Q99536|VAT1_HUMAN Synaptic vesicle membrane protein VAT-1 homolog OS=Homo sapiens OX=9606 GN=VAT1 PE=1 SV=2;tr|K7ESA3|K7ESA3_HUMAN Synaptic vesicle membrane protein VAT-1 homolog (Fragment) OS=Homo sapiens OX=9606 GN=VAT1 PE=1 SV=1,3,3,12.2,4.31753116899141,4.15777444202647,25.1094465075154,23.7056703507448
P55072,P55072,3,3,3,Transitional endoplasmic reticulum ATPase,VCP,sp|P55072|TERA_HUMAN Transitional endoplasmic reticulum ATPase OS=Homo sapiens OX=9606 GN=VCP PE=1 SV=4,3,3,5.8,4.31753116899141,4.15777444202647,24.3262198952332,25.0074434362993
Q9BRG1;K7EP45;K7ENE3,Q9BRG1;K7EP45,3;2;1,3;2;1,3;2;1,Vacuolar protein-sorting-associated protein 25,VPS25,sp|Q9BRG1|VPS25_HUMAN Vacuolar protein-sorting-associated protein 25 OS=Homo sapiens OX=9606 GN=VPS25 PE=1 SV=1;tr|K7EP45|K7EP45_HUMAN Vacuolar protein-sorting-associated protein 25 OS=Homo sapiens OX=9606 GN=VPS25 PE=1 SV=1,3,3,20.5,4.31753116899141,4.15777444202647,25.0502189979448,24.4444907153399
Q9H267;F5H008;A0A2R8YDQ0;G3V3F9,Q9H267;F5H008;A0A2R8YDQ0,3;3;2;1,3;3;2;1,3;3;2;1,Vacuolar protein sorting-associated protein 33B,VPS33B,sp|Q9H267|VP33B_HUMAN Vacuolar protein sorting-associated protein 33B OS=Homo sapiens OX=9606 GN=VPS33B PE=1 SV=2;tr|F5H008|F5H008_HUMAN Vacuolar protein sorting-associated protein 33B OS=Homo sapiens OX=9606 GN=VPS33B PE=1 SV=1;tr|A0A2R8YDQ0|A0A2R8YDQ0_HU,3,3,7.3,4.31753116899141,4.15777444202647,23.4008033629918,23.9092148450457
Q8IWB7;A0A494C0A6;C9JJ54,Q8IWB7;A0A494C0A6;C9JJ54,3;2;2,3;2;2,3;2;2,WD repeat and FYVE domain-containing protein 1,WDFY1,sp|Q8IWB7|WDFY1_HUMAN WD repeat and FYVE domain-containing protein 1 OS=Homo sapiens OX=9606 GN=WDFY1 PE=1 SV=1;tr|A0A494C0A6|A0A494C0A6_HUMAN WD_REPEATS_REGION domain-containing protein OS=Homo sapiens OX=9606 PE=4 SV=1;tr|C9JJ54|C9JJ54_HUMAN WD repeat an,3,3,11.2,4.31753116899141,4.15777444202647,24.4742599816917,23.9011335276961
Q9H6Y2;D6RGJ8;G3V1J0,Q9H6Y2,3;1;1,3;1;1,3;1;1,WD repeat-containing protein 55,WDR55,sp|Q9H6Y2|WDR55_HUMAN WD repeat-containing protein 55 OS=Homo sapiens OX=9606 GN=WDR55 PE=1 SV=2,3,3,11.7,4.31753116899141,4.15777444202647,25.1872581245448,25.3665303295114
Q01831,Q01831,3,3,3,DNA repair protein complementing XP-C cells,XPC,sp|Q01831|XPC_HUMAN DNA repair protein complementing XP-C cells OS=Homo sapiens OX=9606 GN=XPC PE=1 SV=4,3,3,4.8,4.31753116899141,4.15777444202647,25.3966288197673,25.3978041314746
P54577;A0A0C4DGZ5,P54577;A0A0C4DGZ5,3;3,3;3,3;3,"Tyrosine--tRNA ligase, cytoplasmic;Tyrosine--tRNA ligase, cytoplasmic, N-terminally processed;Tyrosine--tRNA ligase",YARS,"sp|P54577|SYYC_HUMAN Tyrosine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=YARS1 PE=1 SV=4;tr|A0A0C4DGZ5|A0A0C4DGZ5_HUMAN Tyrosine--tRNA ligase OS=Homo sapiens OX=9606 GN=YARS1 PE=1 SV=1",3,3,4.9,4.31753116899141,4.15777444202647,23.2547945058072,24.5227093880843
P63104;E7EX29;E7ESK7;B0AZS6;E5RGE1;E5RIR4;E9PD24;E7EVZ2;B7Z2E6;H0YB80,P63104;E7EX29;E7ESK7;B0AZS6,5;5;3;3;2;2;2;2;2;2,3;3;2;2;1;1;1;1;1;1,3;3;2;2;1;1;1;1;1;1,14-3-3 protein zeta/delta,YWHAZ,sp|P63104|1433Z_HUMAN 14-3-3 protein zeta/delta OS=Homo sapiens OX=9606 GN=YWHAZ PE=1 SV=1;tr|E7EX29|E7EX29_HUMAN 14-3-3 protein zeta/delta (Fragment) OS=Homo sapiens OX=9606 GN=YWHAZ PE=1 SV=1;tr|E7ESK7|E7ESK7_HUMAN 14-3-3 protein zeta/delta (Fragment) OS,5,3,22.9,4.31753116899141,4.15777444202647,24.6494917029882,24.4812854240273
Q86YA3;D6REN9;G3XAL8;D6REQ7;D6RB47,Q86YA3;D6REN9;G3XAL8,3;3;3;1;1,3;3;3;1;1,3;3;3;1;1,Protein ZGRF1,ZGRF1,"sp|Q86YA3|ZGRF1_HUMAN Protein ZGRF1 OS=Homo sapiens OX=9606 GN=ZGRF1 PE=1 SV=3;tr|D6REN9|D6REN9_HUMAN Protein ZGRF1 (Fragment) OS=Homo sapiens OX=9606 GN=ZGRF1 PE=1 SV=1;tr|G3XAL8|G3XAL8_HUMAN HCG21296, isoform CRA_a OS=Homo sapiens OX=9606 GN=ZGRF1 PE=1 S",3,3,1.9,25.9132842513929,24.6126717217266,24.541205350457,22.8719608701291
Q8NC26;M0QXN8;M0R0V4,Q8NC26,3;1;1,3;1;1,3;1;1,Zinc finger protein 114,ZNF114,sp|Q8NC26|ZN114_HUMAN Zinc finger protein 114 OS=Homo sapiens OX=9606 GN=ZNF114 PE=1 SV=1,3,3,9.8,4.31753116899141,4.15777444202647,25.3816910662821,24.3173447075936
O43670;J3QRS9;X6R4W8;J3KS31;J3QS27;J3KTL1;J3KRB6;J3KRW6;H0Y3M2,O43670;J3QRS9;X6R4W8;J3KS31,3;3;3;2;1;1;1;1;1,3;3;3;2;1;1;1;1;1,3;3;3;2;1;1;1;1;1,BUB3-interacting and GLEBS motif-containing protein ZNF207,ZNF207,sp|O43670|ZN207_HUMAN BUB3-interacting and GLEBS motif-containing protein ZNF207 OS=Homo sapiens OX=9606 GN=ZNF207 PE=1 SV=1;tr|J3QRS9|J3QRS9_HUMAN BUB3-interacting and GLEBS motif-containing protein ZNF207 OS=Homo sapiens OX=9606 GN=ZNF207 PE=1 SV=1;tr|X6,3,3,9.6,4.31753116899141,4.15777444202647,26.5141245723382,26.4764711985924
Q8ND82;Q9UJJ2,Q8ND82;Q9UJJ2,3;2,3;2,3;2,Zinc finger protein 280C,ZNF280C,sp|Q8ND82|Z280C_HUMAN Zinc finger protein 280C OS=Homo sapiens OX=9606 GN=ZNF280C PE=1 SV=1;tr|Q9UJJ2|Q9UJJ2_HUMAN Zinc finger protein 280C (Fragment) OS=Homo sapiens OX=9606 GN=ZNF280C PE=1 SV=1,3,3,6.0,25.8220801593998,22.9537765672813,24.8620693801153,23.840477525467
Q9Y5A6;G3V1M0;C9JHD9;G3V0F4,Q9Y5A6;G3V1M0;C9JHD9;G3V0F4,3;3;2;2,3;3;2;2,3;3;2;2,Zinc finger and SCAN domain-containing protein 21,ZSCAN21,sp|Q9Y5A6|ZSC21_HUMAN Zinc finger and SCAN domain-containing protein 21 OS=Homo sapiens OX=9606 GN=ZSCAN21 PE=1 SV=2;tr|G3V1M0|G3V1M0_HUMAN Zinc finger and SCAN domain-containing protein 21 OS=Homo sapiens OX=9606 GN=ZSCAN21 PE=1 SV=2;tr|C9JHD9|C9JHD9_HUMA,3,3,7.8,4.31753116899141,4.15777444202647,25.1225784179115,26.0043818202263
Q9P0V9;E7EW69;B5ME97;E7EX04;F5GYV2;F5H1W3;F8WC85;C9JEW2;C9JNR7;C9JEQ7;F5H1F2,Q9P0V9;E7EW69;B5ME97;E7EX04,4;4;4;3;1;1;1;1;1;1;1,4;4;4;3;1;1;1;1;1;1;1,4;4;4;3;1;1;1;1;1;1;1,Septin-10,Septin-10,"sp|Q9P0V9|SEP10_HUMAN Septin-10 OS=Homo sapiens OX=9606 GN=SEPTIN10 PE=1 SV=2;tr|E7EW69|E7EW69_HUMAN Septin-10 OS=Homo sapiens OX=9606 GN=SEPTIN10 PE=1 SV=1;tr|B5ME97|B5ME97_HUMAN Septin 10, isoform CRA_c OS=Homo sapiens OX=9606 GN=SEPTIN10 PE=1 SV=2;tr|E7",4,4,13.0,4.31753116899141,4.15777444202647,24.7804668786207,25.2630588271635
Q8IZY2;E9PKG5;E9PL63,Q8IZY2;E9PKG5;E9PL63,4;3;3,4;3;3,4;3;3,ATP-binding cassette sub-family A member 7,ABCA7,sp|Q8IZY2|ABCA7_HUMAN Phospholipid-transporting ATPase ABCA7 OS=Homo sapiens OX=9606 GN=ABCA7 PE=1 SV=3;tr|E9PKG5|E9PKG5_HUMAN Phospholipid-transporting ATPase ABCA7 (Fragment) OS=Homo sapiens OX=9606 GN=ABCA7 PE=1 SV=1;tr|E9PL63|E9PL63_HUMAN Phospholipid-,4,4,1.3,24.8912460033659,23.4455645486912,24.9755273635559,24.7108808267968
Q96IU4;B4DQI4;F8W9U3,Q96IU4;B4DQI4;F8W9U3,4;3;3,4;3;3,4;3;3,Alpha/beta hydrolase domain-containing protein 14B,ABHD14B,sp|Q96IU4|ABHEB_HUMAN Protein ABHD14B OS=Homo sapiens OX=9606 GN=ABHD14B PE=1 SV=1;tr|B4DQI4|B4DQI4_HUMAN Protein ABHD14B OS=Homo sapiens OX=9606 GN=ABHD14B PE=1 SV=1;tr|F8W9U3|F8W9U3_HUMAN Protein ABHD14B OS=Homo sapiens OX=9606 GN=ABHD14B PE=1 SV=1,4,4,28.1,24.0371628451194,23.425728133037,25.9899067138378,25.4482141271051
O14639;A0A3B3IS55;F8W8M4;A0A0A0MRL6;A0A494C1P1;A0A494C1G0,O14639;A0A3B3IS55;F8W8M4;A0A0A0MRL6;A0A494C1P1;A0A494C1G0,19;19;17;17;10;10,19;19;17;17;10;10,4;4;2;2;2;2,Actin-binding LIM protein 1,ABLIM1,sp|O14639|ABLM1_HUMAN Actin-binding LIM protein 1 OS=Homo sapiens OX=9606 GN=ABLIM1 PE=1 SV=3;tr|A0A3B3IS55|A0A3B3IS55_HUMAN Actin-binding LIM protein 1 OS=Homo sapiens OX=9606 GN=ABLIM1 PE=1 SV=1;tr|F8W8M4|F8W8M4_HUMAN Actin-binding LIM protein 1 OS=Homo,19,4,27.6,25.8643325760249,23.251634386181,28.1805397607883,27.9545466242509
P51648;J3QRD1;A0A5F9ZI12;A0A5F9ZHI5;A0A5F9ZGX4;A0A5F9ZHN9;A0A5K1VW72;I3L1M4;A0A5F9ZHP6;J3QS00;A0A5F9ZHZ9,P51648;J3QRD1;A0A5F9ZI12;A0A5F9ZHI5;A0A5F9ZGX4;A0A5F9ZHN9;A0A5K1VW72,5;5;5;5;5;5;4;2;2;1;1,5;5;5;5;5;5;4;2;2;1;1,4;4;4;4;4;4;3;2;1;1;1,Fatty aldehyde dehydrogenase,ALDH3A2,sp|P51648|AL3A2_HUMAN Aldehyde dehydrogenase family 3 member A2 OS=Homo sapiens OX=9606 GN=ALDH3A2 PE=1 SV=1;tr|J3QRD1|J3QRD1_HUMAN Aldehyde dehydrogenase family 3 member A2 OS=Homo sapiens OX=9606 GN=ALDH3A2 PE=1 SV=1;tr|A0A5F9ZI12|A0A5F9ZI12_HUMAN Aldehy,5,4,14.0,4.31753116899141,4.15777444202647,26.0028807550642,26.0213209320886
P08758;E9PHT9;D6RBL5;D6RBE9,P08758;E9PHT9;D6RBL5,4;3;2;1,4;3;2;1,4;3;2;1,Annexin A5;Annexin,ANXA5,sp|P08758|ANXA5_HUMAN Annexin A5 OS=Homo sapiens OX=9606 GN=ANXA5 PE=1 SV=2;tr|E9PHT9|E9PHT9_HUMAN Annexin OS=Homo sapiens OX=9606 GN=ANXA5 PE=1 SV=1;tr|D6RBL5|D6RBL5_HUMAN Annexin OS=Homo sapiens OX=9606 GN=ANXA5 PE=1 SV=1,4,4,14.7,4.31753116899141,4.15777444202647,24.7476050131339,25.0764714887988
Q92870;H0YAJ5;G5E9Y1;H0Y9U9;H0YA92,Q92870;H0YAJ5;G5E9Y1,4;4;4;1;1,4;4;4;1;1,4;4;4;1;1,Amyloid beta A4 precursor protein-binding family B member 2,APBB2,sp|Q92870|APBB2_HUMAN Amyloid-beta A4 precursor protein-binding family B member 2 OS=Homo sapiens OX=9606 GN=APBB2 PE=1 SV=3;tr|H0YAJ5|H0YAJ5_HUMAN Amyloid-beta A4 precursor protein-binding family B member 2 (Fragment) OS=Homo sapiens OX=9606 GN=APBB2 PE=1,4,4,6.1,4.31753116899141,4.15777444202647,24.4466375833564,25.3485433887186
P05089;A0A5F9ZGN6;A0A5F9ZH78,P05089;A0A5F9ZGN6;A0A5F9ZH78,4;3;2,4;3;2,4;3;2,Arginase-1,ARG1,sp|P05089|ARGI1_HUMAN Arginase-1 OS=Homo sapiens OX=9606 GN=ARG1 PE=1 SV=2;tr|A0A5F9ZGN6|A0A5F9ZGN6_HUMAN Arginase OS=Homo sapiens OX=9606 GN=ARG1 PE=1 SV=1;tr|A0A5F9ZH78|A0A5F9ZH78_HUMAN Arginase-1 OS=Homo sapiens OX=9606 GN=ARG1 PE=1 SV=1,4,4,16.1,25.5523602266651,26.537610980503,4.51593238036728,4.43639371883917
Q9NVP2;K7ES22;K7ELW9;Q9Y294;K7EM93;K7EIL9,Q9NVP2;K7ES22;K7ELW9,4;2;2;1;1;1,4;2;2;1;1;1,4;2;2;1;1;1,Histone chaperone ASF1B,ASF1B,sp|Q9NVP2|ASF1B_HUMAN Histone chaperone ASF1B OS=Homo sapiens OX=9606 GN=ASF1B PE=1 SV=1;tr|K7ES22|K7ES22_HUMAN Histone chaperone ASF1B OS=Homo sapiens OX=9606 GN=ASF1B PE=1 SV=1;tr|K7ELW9|K7ELW9_HUMAN Histone chaperone ASF1B OS=Homo sapiens OX=9606 GN=ASF,4,4,28.2,26.2298602999443,21.6523723513642,4.51593238036728,4.43639371883917
P08243;C9JLN6;C9JM09;C9JT45;C9J057;F8WEJ5,P08243,4;1;1;1;1;1,4;1;1;1;1;1,4;1;1;1;1;1,Asparagine synthetase [glutamine-hydrolyzing],ASNS,sp|P08243|ASNS_HUMAN Asparagine synthetase [glutamine-hydrolyzing] OS=Homo sapiens OX=9606 GN=ASNS PE=1 SV=4,4,4,11.9,4.31753116899141,4.15777444202647,24.6344477078374,24.7879567461383
P54259,P54259,4,4,4,Atrophin-1,ATN1,sp|P54259|ATN1_HUMAN Atrophin-1 OS=Homo sapiens OX=9606 GN=ATN1 PE=1 SV=3,4,4,5.5,4.31753116899141,4.15777444202647,22.9743704740425,25.0071012004915
O95816,O95816,4,4,4,BAG family molecular chaperone regulator 2,BAG2,sp|O95816|BAG2_HUMAN BAG family molecular chaperone regulator 2 OS=Homo sapiens OX=9606 GN=BAG2 PE=1 SV=1,4,4,20.9,4.31753116899141,4.15777444202647,26.0528119644165,25.0753701169745
O75815,O75815,4,4,4,Breast cancer anti-estrogen resistance protein 3,BCAR3,sp|O75815|BCAR3_HUMAN Breast cancer anti-estrogen resistance protein 3 OS=Homo sapiens OX=9606 GN=BCAR3 PE=1 SV=1,4,4,7.5,4.31753116899141,4.15777444202647,23.2070226637855,24.6867766347688
Q8TD16,Q8TD16,4,4,4,Protein bicaudal D homolog 2,BICD2,sp|Q8TD16|BICD2_HUMAN Protein bicaudal D homolog 2 OS=Homo sapiens OX=9606 GN=BICD2 PE=1 SV=1,4,4,6.7,4.31753116899141,4.15777444202647,24.8212367944061,23.9791069580875
Q86Y37,Q86Y37,4,4,4,CDK2-associated and cullin domain-containing protein 1,CACUL1,sp|Q86Y37|CACL1_HUMAN CDK2-associated and cullin domain-containing protein 1 OS=Homo sapiens OX=9606 GN=CACUL1 PE=1 SV=1,4,4,14.6,4.31753116899141,4.15777444202647,26.1314764369822,25.195354183215
A0A2Q3DQE3;Q5SWX3;Q13555;Q8WU40;Q13554;H0Y6G2;A0A5F9ZH21;A0A5F9ZH50;D6RFJ0;E9PF82;E9PBG7;D6R938;A0A5F9ZHR5;E9PBE8;E7EQE4;A0A5K1VW76;A0A5F9ZHY2;H7BXS4;A0A5F9ZH90;H7C394;Q9UQM7;Q13557;A0A5F9ZHM9,A0A2Q3DQE3;Q5SWX3;Q13555;Q8WU40;Q13554;H0Y6G2,4;4;4;3;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,4;4;4;3;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,4;4;4;3;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,Calcium/calmodulin-dependent protein kinase type II subunit gamma;Calcium/calmodulin-dependent protein kinase type II subunit beta,CAMK2G;CAMK2B,"tr|A0A2Q3DQE3|A0A2Q3DQE3_HUMAN Calcium/calmodulin-dependent protein kinase (CaM kinase) II gamma, isoform CRA_d OS=Homo sapiens OX=9606 GN=CAMK2G PE=1 SV=1;tr|Q5SWX3|Q5SWX3_HUMAN Calcium/calmodulin-dependent protein kinase (CaM kinase) II gamma, isoform CR",4,4,8.3,4.31753116899141,4.15777444202647,25.3338473385055,23.8738953948087
