Gene_names,AMBRA1_vs_BirA_logFC,AMBRA1_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_DCAF3_N1,Peptides_DCAF3_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_DCAF3_N1,Razor___unique_peptides_DCAF3_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_DCAF3_N1,Unique_peptides_DCAF3_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_DCAF3_N1,Identification_type_DCAF3_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_DCAF3_N1,Ratio_H_L_DCAF3_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_DCAF3_N1,Ratio_H_L_normalized_DCAF3_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____DCAF3_N1,Ratio_H_L_variability_____DCAF3_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_DCAF3_N1,Ratio_H_L_count_DCAF3_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_DCAF3_N1,Ratio_H_L_iso_count_DCAF3_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_DCAF3_N1,Ratio_H_L_type_DCAF3_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_DCAF3_N1____,Sequence_coverage_DCAF3_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_DCAF3_N1,Intensity_L_DCAF3_N1,Intensity_H_DCAF3_N1,Intensity_DCAF3_N2,Intensity_L_DCAF3_N2,Intensity_H_DCAF3_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_DCAF3_N1,metacell_Intensity_L_DCAF3_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
RECQL,0.0444798467553653,0.92219456865362,P46063;F8WA66;F8WD97;F5H2L2,P46063,13;2;2;1,13;2;2;1,13;2;2;1,ATP-dependent DNA helicase Q1,sp|P46063|RECQ1_HUMAN ATP-dependent DNA helicase Q1 OS=Homo sapiens OX=9606 GN=RECQL PE=1 SV=3,4,13,13,13,4,5,5,8,4,5,5,8,4,5,5,8,23.0,23.0,23.0,73.457,649,649;199;211;131,0.0,27.216,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.33955,0.94954,25.501,21,13,Leave out requantified,0.28719,0.37603,0.20935,0.33511,0.72136,1.0065,0.2268,0.3625,26.461,20.666,15.535,70.039,4,6,3,8,1,1,3,8,Leave out requantified,Leave out requantified,Median,Median,9.9,12.5,9.1,12.6,827920000,624910000,203010000,120210000,86100000,34106000,291370000,197890000,93480000,135700000,115720000,19981000,280640000,225200000,55446000,,,,1575,312;716;1436;3465;4260;6025;7014;8668;11174;13267;14967;14968;16686,True;True;True;True;True;True;True;True;True;True;True;True;True,390;892;1844;4388;5358;7760;8952;11030;14063;16669;18754;18755;20925,885;2062;2063;4374;9999;12103;17463;17464;17465;17466;20217;20218;24981;24982;31730;31731;37525;37526;42278;42279;42280;42281;47317,1512;3412;3413;7386;7387;7388;7389;16536;19957;28657;28658;28659;28660;28661;28662;28663;33210;33211;40883;40884;51544;51545;60978;60979;69142;69143;69144;69145;69146;77464,1512;3413;7388;16536;19957;28662;33211;40883;51544;60978;69142;69146;77464,,,,,-1;-1;-1;-1,protein_1576,quanti,quanti,quanti,quanti
NOP2,2.19423103644651,0.00423383114270379,P46087;F5GYR3;F5H5X6;F5GWB7;F5H709;F5H359;F5H8G6,P46087,19;6;3;2;2;1;1,19;6;3;2;2;1;1,19;6;3;2;2;1;1,Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase,sp|P46087|NOP2_HUMAN Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase OS=Homo sapiens OX=9606 GN=NOP2 PE=1 SV=2,7,19,19,19,5,6,11,16,5,6,11,16,5,6,11,16,23.4,23.4,23.4,89.301,812,812;275;250;159;176;81;98,0.0,47.071,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.28374,0.67003,14.905,35,30,Leave out requantified,0.28438,0.28612,0.10581,0.11836,0.81834,0.62395,0.11792,0.12833,13.045,9.7964,64.497,81.358,5,6,10,14,3,3,10,14,Median,Leave out requantified,Median,Median,6.4,8.1,15.8,21.7,1581600000,1374800000,206810000,99722000,73149000,26572000,182670000,130940000,51737000,390680000,352630000,38049000,908520000,818070000,90454000,,,,1576,2568;2572;3965;5454;6529;6805;7464;8586;8587;8863;9996;11514;11515;12045;12220;12386;13798;14664;15775,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,3284;3288;3289;5000;6961;8383;8716;8717;9504;10926;10927;10928;11279;12629;14493;14494;15163;15397;15595;17299;18375;19792,7655;7662;7663;7664;7665;7666;7667;11333;11334;11335;15646;15647;18918;18919;18920;19691;19692;19693;21412;21413;24711;24712;24713;24714;25542;28496;32691;32692;32693;32694;32695;32696;34067;34560;35003;38959;41381;41382;41383;44711;44712,12926;12937;12938;12939;12940;12941;12942;18666;18667;18668;18669;25675;25676;31131;31132;31133;32366;32367;32368;35180;35181;35182;40391;40392;40393;40394;40395;40396;41760;46319;53261;53262;53263;53264;53265;53266;55370;56148;56149;56859;63291;67529;67530;67531;67532;73133;73134;73135,12926;12938;18669;25675;31132;32367;35181;40391;40396;41760;46319;53264;53265;55370;56149;56859;63291;67532;73134,1158,,423,,-1;-1;-1;-1;-1;-1;-1,protein_1577,quanti,quanti,quanti,quanti
RPL27A,0.0726475113561484,0.851715683592079,P46776;E9PJD9;E9PLL6;E9PLX7,P46776;E9PJD9;E9PLL6,9;8;7;4,9;8;7;4,9;8;7;4,60S ribosomal protein L27a,sp|P46776|RL27A_HUMAN 60S ribosomal protein L27a OS=Homo sapiens OX=9606 GN=RPL27A PE=1 SV=2;tr|E9PJD9|E9PJD9_HUMAN 60S ribosomal protein L27a OS=Homo sapiens OX=9606 GN=RPL27A PE=1 SV=1;tr|E9PLL6|E9PLL6_HUMAN 60S ribosomal protein L27a OS=Homo sapiens OX=,4,9,9,9,6,6,6,5,6,6,6,5,6,6,6,5,48.6,48.6,48.6,16.561,148,148;91;108;113,0.0,79.366,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.25602,0.88262,16.658,31,20,Leave out requantified,0.23445,0.2716,0.08524,0.040679,0.88624,0.82796,0.10454,0.06212,15.945,16.6,198.95,117.5,7,6,8,10,2,0,8,10,Leave out requantified,Leave out requantified,Median,Median,45.3,48.6,45.3,32.4,6203800000,5352900000,850890000,1719900000,1366000000,353860000,1271000000,984670000,286340000,1308900000,1163300000,145620000,1904000000,1838900000,65074000,,,,1580,6736;10092;11209;11427;11428;11429;12852;13718;14080,True;True;True;True;True;True;True;True;True,8634;8635;12758;14105;14106;14107;14384;14385;14386;16146;16147;17201;17202;17636;17637,19482;19483;19484;19485;19486;19487;19488;19489;19490;19491;19492;28817;31818;31819;31820;31821;31822;31823;31824;31825;31826;31827;31828;32437;32438;32439;32440;36288;36289;36290;38720;38721;38722;38723;38724;39740;39741;39742;39743,32070;32071;32072;32073;32074;32075;32076;32077;32078;32079;32080;32081;32082;32083;32084;32085;32086;32087;32088;32089;32090;32091;46855;46856;46857;51700;51701;51702;51703;51704;51705;51706;51707;51708;51709;51710;51711;51712;51713;51714;51715;52773;52774;52775;52776;52777;52778;52779;52780;52781;58936;58937;58938;58939;62912;62913;62914;62915;62916;62917;64694;64695;64696;64697;64698;64699;64700;64701,32077;46857;51703;52774;52778;52781;58936;62913;64700,1159,,94,,-1;-1;-1;-1,protein_1581,quanti,quanti,quanti,quanti
RPL5,0.368628901656635,0.222704041452856,P46777;A0A2R8Y6J3;Q5T7N0;A0A2R8Y4A2;R4GNJ2,P46777;A0A2R8Y6J3;Q5T7N0,20;18;10;7;2,20;18;10;7;2,20;18;10;7;2,60S ribosomal protein L5,sp|P46777|RL5_HUMAN 60S ribosomal protein L5 OS=Homo sapiens OX=9606 GN=RPL5 PE=1 SV=3;tr|A0A2R8Y6J3|A0A2R8Y6J3_HUMAN 60S ribosomal protein L5 (Fragment) OS=Homo sapiens OX=9606 GN=RPL5 PE=1 SV=1;tr|Q5T7N0|Q5T7N0_HUMAN 60S ribosomal protein L5 (Fragment) O,5,20,20,20,12,11,15,16,12,11,15,16,12,11,15,16,53.9,53.9,53.9,34.362,297,297;238;130;170;63,0.0,169.2,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.24991,0.78671,18.965,78,56,Leave out requantified,0.23346,0.24726,0.078,0.09138,0.84344,0.7553,0.098838,0.12107,17.878,15.71,146.12,155.63,15,15,21,27,4,4,21,27,Leave out requantified,Leave out requantified,Median,Median,46.8,46.8,45.5,53.5,11254000000,9220100000,2033500000,2136100000,1674900000,461200000,2568000000,1930400000,637650000,2839500000,2445800000,393770000,3709900000,3169000000,540850000,,,,1581,2509;4433;4434;4637;5696;6138;7489;9950;11500;11501;11838;12217;14723;14724;15251;15388;15389;16266;17054;17055,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,3211;3212;5581;5582;5583;5584;5585;5871;7302;7303;7884;9534;9535;9536;12572;14475;14476;14477;14478;14898;15393;15394;18447;18448;18449;18450;19093;19273;19274;19275;20392;20393;21381;21382,7523;7524;7525;12564;12565;12566;12567;12568;12569;12570;12571;13222;13223;16455;16456;16457;16458;16459;16460;16461;16462;16463;17735;17736;17737;17738;21488;21489;21490;21491;21492;21493;28380;32646;32647;32648;32649;32650;32651;32652;32653;32654;32655;32656;32657;33531;33532;34549;34550;34551;34552;34553;34554;41571;41572;41573;41574;41575;41576;41577;41578;41579;41580;41581;41582;43036;43466;43467;43468;43469;43470;43471;43472;43473;43474;43475;43476;43477;43478;46085;46086;46087;46088;48291;48292;48293;48294;48295;48296;48297,12734;12735;12736;20744;20745;20746;20747;20748;20749;20750;20751;20752;20753;20754;20755;20756;21840;21841;26974;26975;26976;26977;26978;26979;26980;26981;26982;26983;26984;26985;26986;26987;26988;26989;29060;29061;29062;29063;29064;29065;29066;29067;35324;35325;35326;35327;35328;35329;35330;35331;35332;46099;53146;53147;53148;53149;53150;53151;53152;53153;53154;53155;53156;53157;53158;53159;53160;53161;53162;53163;53164;53165;53166;53167;53168;53169;53170;53171;53172;53173;53174;53175;53176;53177;53178;53179;53180;54563;54564;56132;56133;56134;56135;56136;56137;56138;56139;56140;67889;67890;67891;67892;67893;67894;67895;67896;67897;67898;67899;67900;67901;70339;71048;71049;71050;71051;71052;71053;71054;71055;71056;71057;71058;71059;71060;71061;71062;71063;71064;71065;71066;71067;71068;71069;71070;71071;71072;75453;75454;75455;75456;75457;75458;75459;75460;75461;78922;78923;78924;78925;78926;78927;78928;78929;78930;78931;78932;78933;78934;78935;78936;78937;78938;78939;78940;78941;78942;78943;78944,12735;20744;20752;21840;26979;29063;35328;46099;53148;53179;54563;56138;67891;67901;70339;71056;71068;75458;78927;78939,1160;1161;1162;1163;1164;1165,,5;41;43;158;178;197,,-1;-1;-1;-1;-1,protein_1582,quanti,quanti,quanti,quanti
RPL21,0.407649488603454,0.208653103950547,P46778;M0R181;G3V1B3;M0R3I5,P46778;M0R181;G3V1B3,13;9;7;2,13;9;7;2,13;9;7;2,60S ribosomal protein L21,sp|P46778|RL21_HUMAN 60S ribosomal protein L21 OS=Homo sapiens OX=9606 GN=RPL21 PE=1 SV=2;tr|M0R181|M0R181_HUMAN 60S ribosomal protein L21 (Fragment) OS=Homo sapiens OX=9606 GN=RPL21 PE=1 SV=1;tr|G3V1B3|G3V1B3_HUMAN 60S ribosomal protein L21 OS=Homo sapien,4,13,13,13,11,10,6,8,11,10,6,8,11,10,6,8,58.1,58.1,58.1,18.565,160,160;122;87;59,0.0,144.47,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.25687,0.75141,16.719,51,28,Leave out requantified,0.24305,0.27182,0.03842,0.050093,0.80563,0.74506,0.071885,0.060957,15.528,25.946,109.76,155.68,15,13,9,14,4,1,9,14,Leave out requantified,Leave out requantified,Median,Median,55.6,53.1,27.5,35.6,9891200000,8743800000,1147300000,2095900000,1669200000,426620000,2126100000,1656700000,469410000,2230100000,2125200000,104920000,3439100000,3292700000,146380000,,,,1582,3144;5391;5392;5667;6764;7270;7439;7488;14469;16499;16500;17115;17116,True;True;True;True;True;True;True;True;True;True;True;True;True,3997;6874;6875;6876;7261;7262;8664;9257;9473;9531;9532;9533;18140;20700;20701;20702;20703;21455;21456,9208;9209;9210;9211;15447;15448;15449;15450;15451;15452;16369;16370;16371;16372;16373;16374;16375;16376;16377;19558;19559;20884;20885;21343;21481;21482;21483;21484;21485;21486;21487;40888;40889;46817;46818;46819;46820;46821;46822;46823;46824;46825;46826;46827;46828;46829;46830;46831;46832;48460;48461;48462;48463;48464;48465,15354;15355;15356;15357;15358;25338;25339;25340;25341;25342;25343;25344;26835;26836;26837;26838;26839;26840;26841;26842;26843;26844;26845;26846;26847;26848;26849;26850;26851;26852;26853;26854;26855;32176;32177;34366;34367;35065;35066;35313;35314;35315;35316;35317;35318;35319;35320;35321;35322;35323;66803;76668;76669;76670;76671;76672;76673;76674;76675;76676;76677;76678;76679;76680;76681;76682;76683;76684;76685;76686;76687;76688;76689;76690;76691;76692;76693;76694;76695;79263;79264;79265;79266;79267;79268,15355;25339;25344;26835;32176;34366;35066;35313;66803;76670;76688;79266;79268,1166;1167,,21;129,,-1;-1;-1;-1,protein_1583,quanti,quanti,quanti,quanti
RPS9,0.347758862685374,0.306546135386844,P46781;B5MCT8;C9JM19;F2Z3C0;A8MXK4,P46781;B5MCT8;C9JM19,25;19;19;6;6,25;19;19;6;6,25;19;19;6;6,40S ribosomal protein S9,sp|P46781|RS9_HUMAN 40S ribosomal protein S9 OS=Homo sapiens OX=9606 GN=RPS9 PE=1 SV=3;tr|B5MCT8|B5MCT8_HUMAN 40S ribosomal protein S9 OS=Homo sapiens OX=9606 GN=RPS9 PE=1 SV=1;tr|C9JM19|C9JM19_HUMAN 40S ribosomal protein S9 OS=Homo sapiens OX=9606 GN=RPS9,5,25,25,25,15,16,13,21,15,16,13,21,15,16,13,21,62.4,62.4,62.4,22.591,194,194;139;156;77;79,0.0,67.414,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.23157,0.7024,21.786,72,46,Leave out requantified,0.22275,0.23779,0.081669,0.052785,0.74503,0.66139,0.094206,0.098918,31.676,18.066,105.22,109.92,19,18,14,21,5,6,14,21,Leave out requantified,Leave out requantified,Median,Median,44.8,44.8,44.3,52.1,5554100000,4817400000,736710000,1172000000,926770000,245240000,1221200000,927100000,294130000,1116700000,1040600000,76117000,2044200000,1922900000,121230000,,,,1583,3248;3249;4212;5685;5686;6123;6124;6323;6324;7733;8206;8218;8317;8318;8690;9507;9508;10538;12154;12306;12307;12323;13470;15596;16109,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,4122;4123;4124;4125;4126;5298;7290;7291;7292;7866;7867;8102;8103;9857;9858;10491;10492;10504;10613;10614;10615;11055;11056;12046;12047;12048;12049;13286;13287;15309;15310;15502;15503;15504;15521;15522;16911;19552;20199,9458;9459;9460;9461;9462;9463;9464;9465;9466;9467;9468;9469;11962;16431;16432;16433;16434;16435;17695;17696;17697;18216;18217;18218;22213;22214;22215;22216;22217;22218;23794;23795;23796;23797;23798;23799;23800;23801;23819;24018;24019;24020;24021;24022;24023;24024;24025;24026;25032;25033;25034;27218;27219;27220;27221;27222;27223;27224;30010;30011;30012;34367;34368;34369;34370;34371;34372;34809;34810;34811;34812;34813;34814;34815;34816;34857;34858;34859;34860;38043;38044;38045;38046;44154;45663;45664,15717;15718;15719;15720;15721;15722;15723;15724;15725;15726;15727;15728;15729;15730;15731;15732;15733;19704;26935;26936;26937;26938;26939;26940;26941;26942;26943;26944;29001;29002;29003;29004;29879;29880;29881;29882;36457;36458;36459;36460;36461;36462;36463;36464;36465;36466;38949;38950;38951;38952;38953;38954;38955;38956;38957;38958;38959;38960;38984;39280;39281;39282;39283;39284;39285;39286;39287;39288;39289;39290;39291;39292;39293;39294;40968;40969;40970;44335;44336;44337;44338;44339;44340;44341;44342;44343;48795;48796;48797;55808;55809;55810;55811;55812;55813;55814;55815;56527;56528;56529;56530;56531;56532;56596;56597;56598;56599;61787;61788;61789;61790;72216;74733;74734,15722;15732;19704;26938;26944;29001;29004;29881;29882;36457;38950;38984;39281;39291;40968;44336;44343;48795;55815;56529;56531;56596;61790;72216;74733,1168;1169;1170;1171,,52;66;116;155,,-1;-1;-1;-1;-1,protein_1584,quanti,quanti,quanti,quanti
RPS10;RPS10-NUDT3,0.713627909042287,0.0566513253948761,P46783;A0A2R8Y6L3;F6U211;A0A2R8Y7H1;A0A2R8YFH6;A0A1W2PQS6;S4R435;Q9NQ39,P46783;A0A2R8Y6L3;F6U211;A0A2R8Y7H1;A0A2R8YFH6;A0A1W2PQS6;S4R435,10;8;8;8;8;8;5;2,10;8;8;8;8;8;5;2,10;8;8;8;8;8;5;2,40S ribosomal protein S10,sp|P46783|RS10_HUMAN 40S ribosomal protein S10 OS=Homo sapiens OX=9606 GN=RPS10 PE=1 SV=1;tr|A0A2R8Y6L3|A0A2R8Y6L3_HUMAN RPS10-NUDT3 readthrough (Fragment) OS=Homo sapiens OX=9606 GN=RPS10-NUDT3 PE=4 SV=1;tr|F6U211|F6U211_HUMAN 40S ribosomal protein S10 OS,8,10,10,10,7,5,7,6,7,5,7,6,7,5,7,6,63.6,63.6,63.6,18.898,165,165;121;172;186;213;291;198;176,0.0,52.357,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.26651,0.85982,17.493,35,25,Leave out requantified,0.25745,0.28861,0.083389,0.088355,0.88329,0.83698,0.09426,0.11108,21.046,14.518,58.032,40.967,10,6,10,9,5,1,10,9,Leave out requantified,Leave out requantified,Median,Median,44.8,43.6,44.8,39.4,2398700000,2081200000,317520000,462790000,347420000,115360000,459370000,350810000,108550000,658600000,609090000,49501000,817960000,773860000,44103000,,,,1584,2798;2837;2838;5579;5633;5960;5961;7317;12546;13466,True;True;True;True;True;True;True;True;True;True,3568;3624;3625;3626;7134;7135;7210;7211;7684;7685;9309;15789;16904,8307;8308;8420;8421;8422;8423;8424;8425;8426;8427;16067;16068;16069;16070;16071;16072;16073;16074;16238;16239;16240;16241;17302;17303;17304;17305;17306;17307;20990;20991;20992;35427;35428;35429;35430;38024;38025,13921;14112;14113;14114;14115;14116;14117;14118;14119;14120;14121;14122;14123;14124;14125;14126;14127;26335;26336;26337;26338;26339;26340;26341;26342;26343;26344;26345;26346;26347;26348;26608;26609;26610;26611;26612;26613;26614;26615;28379;28380;28381;28382;28383;28384;28385;28386;28387;28388;28389;34531;34532;34533;34534;57533;57534;57535;57536;57537;57538;57539;57540;57541;57542;57543;57544;57545;57546;57547;61756;61757;61758,13921;14112;14115;26340;26609;28385;28388;34534;57534;61758,,,,,-1;-1;-1;-1;-1;-1;-1;-1,protein_1585,quanti,quanti,quanti,quanti
GNPDA1,-0.768638771212846,0.0687769811030911,P46926;D6RAY7;D6R9P4;D6RFF8;D6RB13;D6R917;Q8TDQ7;V9GYK3;V9GYW0,P46926;D6RAY7;D6R9P4;D6RFF8;D6RB13,12;11;11;11;6;5;4;2;1,12;11;11;11;6;5;4;2;1,12;11;11;11;6;5;4;2;1,Glucosamine-6-phosphate isomerase 1;Glucosamine-6-phosphate isomerase,sp|P46926|GNPI1_HUMAN Glucosamine-6-phosphate isomerase 1 OS=Homo sapiens OX=9606 GN=GNPDA1 PE=1 SV=1;tr|D6RAY7|D6RAY7_HUMAN Glucosamine-6-phosphate isomerase (Fragment) OS=Homo sapiens OX=9606 GN=GNPDA1 PE=1 SV=1;tr|D6R9P4|D6R9P4_HUMAN Glucosamine-6-phosp,9,12,12,12,7,8,7,7,7,8,7,7,7,8,7,7,52.9,52.9,52.9,32.668,289,289;237;274;290;160;138;276;117;63,0.0,28.131,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.33357,1.0477,10.432,30,19,Leave out requantified,0.28887,0.3983,0.083319,0.13851,0.99853,1.1037,0.09197,0.15813,11.28,12.528,53.271,129.18,8,8,6,8,2,3,6,8,Leave out requantified,Leave out requantified,Median,Median,29.8,40.1,28.7,33.6,1765000000,1370400000,394630000,473770000,362370000,111400000,587470000,420290000,167180000,203180000,189450000,13733000,500620000,398300000,102320000,,,,1585,90;816;817;2490;3481;5030;6426;14058;14059;14312;15624;16839,True;True;True;True;True;True;True;True;True;True;True;True,101;1025;1026;1027;3184;3185;4406;4407;6414;8232;17604;17605;17940;17941;19596;21107,224;2410;2411;2412;2413;2414;2415;2416;2417;7467;7468;7469;7470;10023;10024;10025;14468;18551;18552;18553;39672;39673;39674;39675;39676;39677;40447;40448;40449;40450;44248;44249;44250;47690,338;3987;3988;3989;3990;3991;3992;3993;3994;3995;3996;3997;3998;3999;4000;4001;4002;4003;4004;12648;12649;12650;12651;16571;16572;16573;23775;23776;30547;30548;30549;30550;30551;64557;64558;64559;64560;64561;64562;64563;64564;64565;64566;64567;64568;64569;66018;66019;66020;66021;66022;66023;72364;72365;72366;72367;72368;72369;72370;78016,338;3997;4003;12648;16572;23775;30549;64558;64566;66020;72369;78016,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_1586,quanti,quanti,quanti,quanti
IQGAP1,0.0251128354871035,0.93374866687196,P46940;H0YLE8;A0A0J9YXZ5;A0A087WWP1;E9PDT6;E7EWC2,P46940;H0YLE8;A0A0J9YXZ5,16;11;10;1;1;1,16;11;10;1;1;1,15;10;9;1;0;0,Ras GTPase-activating-like protein IQGAP1,sp|P46940|IQGA1_HUMAN Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens OX=9606 GN=IQGAP1 PE=1 SV=1;tr|H0YLE8|H0YLE8_HUMAN Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens OX=9606 GN=IQGAP1 PE=1 SV=1;tr|A0A0J9YXZ5|A0A0J9YXZ5_HUMAN Ras GTPa,6,16,16,15,7,8,7,10,7,8,7,10,6,8,6,9,11.3,11.3,10.8,189.25,1657,1657;1085;1191;107;509;1402,0.0,25.782,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.37945,1.0118,16.88,30,16,Leave out requantified,0.35653,0.42429,0.15188,0.18324,1.0824,1.0694,0.16486,0.20099,19.474,16.132,174.35,100.56,7,8,6,9,1,1,5,9,Leave out requantified,Leave out requantified,Median,Median,4.3,5.2,4.9,7.7,1061100000,802290000,258830000,228890000,164260000,64621000,287810000,188350000,99463000,214090000,157860000,56227000,330340000,291820000,38520000,,,,1587,1260;1812;2488;3365;6219;6396;8250;8525;8681;8779;9490;9765;11196;11212;12459;14390,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,1621;2304;3182;4258;4259;7974;8186;10540;10861;11044;11171;12027;12354;14089;14111;15679;18044,3803;5486;5487;5488;7465;9723;9724;9725;17911;17912;17913;18416;18417;23879;23880;24572;24573;24574;25011;25012;25013;25292;25293;27176;27177;27178;27882;31784;31785;31834;31835;35174;40674,6351;9231;9232;9233;12644;16091;16092;16093;16094;29331;29332;29333;29334;29335;30245;30246;39066;39067;40188;40189;40190;40928;40929;40930;40931;40932;41419;41420;41421;44278;44279;44280;44281;45327;51642;51643;51644;51645;51646;51647;51721;51722;57129;66414,6351;9232;12644;16093;29334;30245;39066;40189;40932;41419;44280;45327;51646;51722;57129;66414,,,,,-1;-1;-1;-1;-1;-1,protein_1588,quanti,quanti,quanti,quanti
CAPZA2,-1.46266218613975,0.00768405559422067,P47755;C9JUG7;F8W9N7;A0A0D9SET8,P47755;C9JUG7;F8W9N7;A0A0D9SET8,6;4;4;3,4;3;3;2,4;3;3;2,F-actin-capping protein subunit alpha-2,sp|P47755|CAZA2_HUMAN F-actin-capping protein subunit alpha-2 OS=Homo sapiens OX=9606 GN=CAPZA2 PE=1 SV=3;tr|C9JUG7|C9JUG7_HUMAN F-actin-capping protein subunit alpha OS=Homo sapiens OX=9606 GN=CAPZA2 PE=1 SV=1;tr|F8W9N7|F8W9N7_HUMAN F-actin-capping protei,4,6,4,4,3,4,3,3,1,2,2,2,1,2,2,2,26.9,19.2,19.2,32.949,286,286;146;174;174,0.0,5.0038,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.33617,1.0427,22.636,2,0,Median,0.25857,0.43706,,,0.8885,1.2237,,,,,,,1,1,0,0,0,0,0,0,Median,Median,Median,Median,12.6,18.9,11.5,11.5,135290000,103000000,32292000,40179000,29450000,10730000,64251000,42689000,21562000,15150000,15150000,0,15709000,15709000,0,,,,1590,351;3837;4211;9066;14286;14659,True;True;True;False;False;True,441;4838;5297;11516;11517;17905;18369,1028;1029;10981;11960;11961;26098;26099;26100;26101;26102;26103;40372;40373;41367;41368,1753;1754;18069;19700;19701;19702;19703;42640;42641;42642;42643;42644;42645;42646;42647;42648;42649;42650;42651;42652;65892;65893;65894;65895;65896;67510;67511,1754;18069;19700;42643;65896;67511,,,,,-1;-1;-1;-1,protein_1591,quanti,quanti,quanti,quanti
