AMBRA1_vs_zCtl,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
RNPEP,0.6026629574,0.53206194096441,0,Q9H4A4;A6NKB8;A0A087WUS4;A0A087WU27;C9JMZ3,Q9H4A4;A6NKB8;A0A087WUS4;A0A087WU27,7;7;4;4;2,7;7;4;4;2,7;7;4;4;2,Aminopeptidase B,RNPEP,sp|Q9H4A4|AMPB_HUMAN Aminopeptidase B OS=Homo sapiens OX=9606 GN=RNPEP PE=1 SV=2;tr|A6NKB8|A6NKB8_HUMAN Aminopeptidase B OS=Homo sapiens OX=9606 GN=RNPEP PE=1 SV=1;tr|A0A087WUS4|A0A087WUS4_HUMAN Aminopeptidase B (Fragment) OS=Homo sapiens OX=9606 GN=RNPEP ,7,7,14.5,650
SUMO2;SUMO3;SUMO4,1.564893011,0.043373773035776,1,P61956;P55854;A8MUA9;A8MU27;Q6EEV6,P61956;P55854;A8MUA9;A8MU27;Q6EEV6,2;2;2;2;1,2;2;2;2;1,2;2;2;2;1,Small ubiquitin-related modifier 2;Small ubiquitin-related modifier 3;Small ubiquitin-related modifier 4,SUMO2;SUMO3;SUMO4,sp|P61956|SUMO2_HUMAN Small ubiquitin-related modifier 2 OS=Homo sapiens OX=9606 GN=SUMO2 PE=1 SV=3;sp|P55854|SUMO3_HUMAN Small ubiquitin-related modifier 3 OS=Homo sapiens OX=9606 GN=SUMO3 PE=1 SV=2;tr|A8MUA9|A8MUA9_HUMAN SMT3 suppressor of mif two 3 homo,2,2,21.1,95
RPL23A,-0.0234889021,0.937763186449014,0,P62750;H7BY10;K7ERT8;A8MUS3;K7EMA7,P62750;H7BY10;K7ERT8;A8MUS3;K7EMA7,10;10;10;10;6,10;10;10;10;6,1;1;1;1;1,60S ribosomal protein L23a,RPL23A,sp|P62750|RL23A_HUMAN 60S ribosomal protein L23a OS=Homo sapiens OX=9606 GN=RPL23A PE=1 SV=1;tr|H7BY10|H7BY10_HUMAN 60S ribosomal protein L23a (Fragment) OS=Homo sapiens OX=9606 GN=RPL23A PE=1 SV=1;tr|K7ERT8|K7ERT8_HUMAN 60S ribosomal protein L23a (Fragmen,10,1,43.6,156
EIF3L,1.4553831506,0.0485471036003236,1,Q9Y262;B0QY89;B0QY90;H7C3A0;C9JHP4;C9K0Q7;H0Y7E6,Q9Y262;B0QY89;B0QY90,12;12;9;3;3;3;1,12;12;9;3;3;3;1,12;12;9;3;3;3;1,Eukaryotic translation initiation factor 3 subunit L,EIF3L,sp|Q9Y262|EIF3L_HUMAN Eukaryotic translation initiation factor 3 subunit L OS=Homo sapiens OX=9606 GN=EIF3L PE=1 SV=1;tr|B0QY89|B0QY89_HUMAN Eukaryotic translation initiation factor 3 subunit L OS=Homo sapiens OX=9606 GN=EIF3L PE=1 SV=1;tr|B0QY90|B0QY90_HU,12,12,25.7,564
UBE2I,1.7739612995,0.114475656362463,0,P63279;H3BQQ9;B0QYN7;H3BPC4;H3BRD1,P63279;H3BQQ9;B0QYN7;H3BPC4,4;4;4;3;1,4;4;4;3;1,4;4;4;3;1,SUMO-conjugating enzyme UBC9,UBE2I,sp|P63279|UBC9_HUMAN SUMO-conjugating enzyme UBC9 OS=Homo sapiens OX=9606 GN=UBE2I PE=1 SV=1;tr|H3BQQ9|H3BQQ9_HUMAN SUMO-conjugating enzyme UBC9 (Fragment) OS=Homo sapiens OX=9606 GN=UBE2I PE=1 SV=1;tr|B0QYN7|B0QYN7_HUMAN SUMO-conjugating enzyme UBC9 OS=Ho,4,4,20.3,158
ERLIN1;ERLIN2,0.356164653,0.208709206719411,0,O75477;O94905;B0QZ43;E5RHW4;E5RJ09,O75477;O94905;B0QZ43;E5RHW4;E5RJ09,2;2;2;2;1,2;2;2;2;1,2;2;2;2;1,Erlin-1;Erlin-2,ERLIN1;ERLIN2,sp|O75477|ERLN1_HUMAN Erlin-1 OS=Homo sapiens OX=9606 GN=ERLIN1 PE=1 SV=2;sp|O94905|ERLN2_HUMAN Erlin-2 OS=Homo sapiens OX=9606 GN=ERLIN2 PE=1 SV=1;tr|B0QZ43|B0QZ43_HUMAN Erlin-1 (Fragment) OS=Homo sapiens OX=9606 GN=ERLIN1 PE=1 SV=1;tr|E5RHW4|E5RHW4_HUMAN,2,2,5.5,348
MPST,0.7806217309,0.319392678863536,0,P25325;B1AH49,P25325;B1AH49,5;5,5;5,5;5,3-mercaptopyruvate sulfurtransferase;Sulfurtransferase,MPST,sp|P25325|THTM_HUMAN 3-mercaptopyruvate sulfurtransferase OS=Homo sapiens OX=9606 GN=MPST PE=1 SV=3;tr|B1AH49|B1AH49_HUMAN 3-mercaptopyruvate sulfurtransferase OS=Homo sapiens OX=9606 GN=MPST PE=1 SV=1,5,5,18.9,297
PEA15,-0.6676787657,0.369790292815593,0,Q15121;B1AKZ5,Q15121;B1AKZ5,3;3,3;3,3;3,Astrocytic phosphoprotein PEA-15,PEA15,sp|Q15121|PEA15_HUMAN Astrocytic phosphoprotein PEA-15 OS=Homo sapiens OX=9606 GN=PEA15 PE=1 SV=2;tr|B1AKZ5|B1AKZ5_HUMAN Astrocytic phosphoprotein PEA-15 OS=Homo sapiens OX=9606 GN=PEA15 PE=1 SV=1,3,3,21.5,130
PRPS1;PRPS1L1,0.9855485532,0.0575518743805849,0,P60891;B1ALA9;A0A2R8Y7H4;P21108;B7ZB02;A0A0B4J207;B1ALA7;H7C540;Q15244,P60891;B1ALA9;A0A2R8Y7H4;P21108;B7ZB02,9;9;6;5;5;4;3;3;2,9;9;6;5;5;4;3;3;2,4;4;3;2;1;1;2;0;2,Ribose-phosphate pyrophosphokinase 1;Ribose-phosphate pyrophosphokinase 3,PRPS1;PRPS1L1,sp|P60891|PRPS1_HUMAN Ribose-phosphate pyrophosphokinase 1 OS=Homo sapiens OX=9606 GN=PRPS1 PE=1 SV=2;tr|B1ALA9|B1ALA9_HUMAN Ribose-phosphate pyrophosphokinase 1 OS=Homo sapiens OX=9606 GN=PRPS1 PE=1 SV=2;tr|A0A2R8Y7H4|A0A2R8Y7H4_HUMAN Ribose-phosphate pyr,9,4,41.2,318
GUK1,2.3359644358,0.00657829367672811,1,Q16774;B1ANH5;B1ANH0;B1ANG9;B1ANH6;B1ANH2;B1ANH3,Q16774;B1ANH5;B1ANH0;B1ANG9;B1ANH6;B1ANH2;B1ANH3,1;1;1;1;1;1;1,1;1;1;1;1;1;1,1;1;1;1;1;1;1,Guanylate kinase,GUK1,sp|Q16774|KGUA_HUMAN Guanylate kinase OS=Homo sapiens OX=9606 GN=GUK1 PE=1 SV=2;tr|B1ANH5|B1ANH5_HUMAN Guanylate kinase OS=Homo sapiens OX=9606 GN=GUK1 PE=1 SV=1;tr|B1ANH0|B1ANH0_HUMAN Guanylate kinase (Fragment) OS=Homo sapiens OX=9606 GN=GUK1 PE=1 SV=1;t,1,1,5.6,197
PABPC4,0.5927727598,0.397542871739189,0,Q13310;B1ANR0;H0Y5F5;B1ANR1;H0YEU6;H0YER0;H0Y6X6,Q13310;B1ANR0;H0Y5F5,20;20;13;8;7;2;2,7;7;5;2;4;1;1,7;7;5;2;4;1;1,Polyadenylate-binding protein 4;Polyadenylate-binding protein,PABPC4,sp|Q13310|PABP4_HUMAN Polyadenylate-binding protein 4 OS=Homo sapiens OX=9606 GN=PABPC4 PE=1 SV=1;tr|B1ANR0|B1ANR0_HUMAN Polyadenylate-binding protein OS=Homo sapiens OX=9606 GN=PABPC4 PE=1 SV=1;tr|H0Y5F5|H0Y5F5_HUMAN Polyadenylate-binding protein (Fragmen,20,7,34.2,644
HNRNPC,0.1023903597,0.691012957515823,0,G3V4C1;B2R5W2;B4DY08;G3V4W0;G3V251;B4DSU6;G3V5X6;G3V3K6;G3V4M8;G3V2H6;A0A0G2JPF8;A0A0G2JNQ3;O60812;G3V2D6;B7ZW38;P0DMR1;B2RXH8;G3V5V7;B3KT61;E5RG71;Q86SE5,G3V4C1;B2R5W2;B4DY08;G3V4W0;G3V251;B4DSU6;G3V5X6;G3V3K6,24;24;24;24;17;16;16;16;11;9;8;8;8;8;8;8;8;6;2;2;2,24;24;24;24;17;16;16;16;11;9;8;8;8;8;8;8;8;6;2;2;2,2;2;2;2;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0,,HNRNPC,tr|G3V4C1|G3V4C1_HUMAN Heterogeneous nuclear ribonucleoproteins C1/C2 OS=Homo sapiens OX=9606 GN=HNRNPC PE=1 SV=1;tr|B2R5W2|B2R5W2_HUMAN Heterogeneous nuclear ribonucleoproteins C1/C2 OS=Homo sapiens OX=9606 GN=HNRNPC PE=1 SV=1;tr|B4DY08|B4DY08_HUMAN Heter,24,2,50.3,292
PES1,-1.5755009088,0.00247206503433612,1,O00541;B3KXD6;B5MCF9,O00541;B3KXD6;B5MCF9,5;5;5,5;5;5,5;5;5,Pescadillo homolog,PES1,sp|O00541|PESC_HUMAN Pescadillo homolog OS=Homo sapiens OX=9606 GN=PES1 PE=1 SV=1;tr|B3KXD6|B3KXD6_HUMAN Pescadillo homolog OS=Homo sapiens OX=9606 GN=PES1 PE=1 SV=1;tr|B5MCF9|B5MCF9_HUMAN Pescadillo homolog OS=Homo sapiens OX=9606 GN=PES1 PE=1 SV=1,5,5,8.7,588
CNN2,-0.1833311757,0.466178796894348,0,Q99439;B4DDF4;B4DUT8;A0A087X271;H3BVI6;K7ES69;A0A087X1X5;A0A087WV51;H3BQH0,Q99439;B4DDF4;B4DUT8;A0A087X271;H3BVI6;K7ES69,9;9;9;8;8;6;3;1;1,8;8;8;7;7;5;3;1;1,8;8;8;7;7;5;3;1;1,Calponin-2;Calponin,CNN2,sp|Q99439|CNN2_HUMAN Calponin-2 OS=Homo sapiens OX=9606 GN=CNN2 PE=1 SV=4;tr|B4DDF4|B4DDF4_HUMAN Calponin OS=Homo sapiens OX=9606 GN=CNN2 PE=1 SV=1;tr|B4DUT8|B4DUT8_HUMAN Calponin OS=Homo sapiens OX=9606 GN=CNN2 PE=1 SV=1;tr|A0A087X271|A0A087X271_HUMAN Cal,9,8,39.2,309
CS,1.7479737831,0.00284240627675919,1,O75390;B4DJV2;A0A0C4DGI3;H0YIC4;H0YH82;F8W4S1;F8VTT8;F8VPA1;F8W1S4;F8W642;F8VZK9;F8VPF9;F8VX68;F8VRP1;F8VX07;F8VRI6;F8VWQ5;F8VU34,O75390;B4DJV2;A0A0C4DGI3,15;15;14;7;6;6;6;5;5;5;5;5;5;5;5;2;2;1,15;15;14;7;6;6;6;5;5;5;5;5;5;5;5;2;2;1,15;15;14;7;6;6;6;5;5;5;5;5;5;5;5;2;2;1,"Citrate synthase, mitochondrial;Citrate synthase",CS,"sp|O75390|CISY_HUMAN Citrate synthase, mitochondrial OS=Homo sapiens OX=9606 GN=CS PE=1 SV=2;tr|B4DJV2|B4DJV2_HUMAN Citrate synthase OS=Homo sapiens OX=9606 GN=CS PE=1 SV=1;tr|A0A0C4DGI3|A0A0C4DGI3_HUMAN Citrate synthase OS=Homo sapiens OX=9606 GN=CS PE=1 ",15,15,30,466
MRPL12,1.3060902871,0.146614958151422,0,B4DLN1;P52815;Q9UBX3;F6RGN5;I3L1E8,B4DLN1;P52815,10;6;4;3;1,10;6;4;3;1,10;6;4;3;1,"39S ribosomal protein L12, mitochondrial",MRPL12,"tr|B4DLN1|B4DLN1_HUMAN cDNA FLJ60124, highly similar to Mitochondrial dicarboxylate carrier OS=Homo sapiens OX=9606 PE=2 SV=1;sp|P52815|RM12_HUMAN 39S ribosomal protein L12, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL12 PE=1 SV=2",10,10,31.2,442
NQO1,0.6887183474,0.0495392695061644,0,P15559;B4DLR8;H3BRK3;H3BNV2,P15559;B4DLR8;H3BRK3;H3BNV2,6;6;5;3,6;6;5;3,6;6;5;3,NAD(P)H dehydrogenase [quinone] 1,NQO1,sp|P15559|NQO1_HUMAN NAD(P)H dehydrogenase [quinone] 1 OS=Homo sapiens OX=9606 GN=NQO1 PE=1 SV=1;tr|B4DLR8|B4DLR8_HUMAN NAD(P)H dehydrogenase [quinone] 1 OS=Homo sapiens OX=9606 GN=NQO1 PE=1 SV=1;tr|H3BRK3|H3BRK3_HUMAN NAD(P)H dehydrogenase [quinone] 1 OS=,6,6,25.5,274
MTAP,1.1373832473,0.0192028096951189,1,Q13126;B4DUC8;J3QSB7;F2Z2F3;F8WES2;J3KRN1,Q13126;B4DUC8;J3QSB7,9;9;7;3;2;1,9;9;7;3;2;1,9;9;7;3;2;1,S-methyl-5-thioadenosine phosphorylase;Purine nucleoside phosphorylase,MTAP,sp|Q13126|MTAP_HUMAN S-methyl-5-thioadenosine phosphorylase OS=Homo sapiens OX=9606 GN=MTAP PE=1 SV=2;tr|B4DUC8|B4DUC8_HUMAN S-methyl-5-thioadenosine phosphorylase OS=Homo sapiens OX=9606 GN=MTAP PE=1 SV=1;tr|J3QSB7|J3QSB7_HUMAN Purine nucleoside phospho,9,9,45.9,283
NME7,0.8825497684,0.361163944829061,0,Q9Y5B8;E9PNU1;B4DXC8,Q9Y5B8;E9PNU1;B4DXC8,3;3;3,3;3;3,3;3;3,Nucleoside diphosphate kinase 7,NME7,sp|Q9Y5B8|NDK7_HUMAN Nucleoside diphosphate kinase 7 OS=Homo sapiens OX=9606 GN=NME7 PE=1 SV=1;tr|E9PNU1|E9PNU1_HUMAN Nucleoside diphosphate kinase 7 OS=Homo sapiens OX=9606 GN=NME7 PE=1 SV=1;tr|B4DXC8|B4DXC8_HUMAN Nucleoside diphosphate kinase 7 OS=Homo s,3,3,11.2,376
FXR1,0.892122552,0.122437376669831,0,P51114;E9PFF5;B4DXZ6;E7EU85;C9JZE0;C9JY20;Q06787;R9WNI0;A8MQB8;C9JAJ4;A0A087WXI3;G3V0J0,P51114;E9PFF5;B4DXZ6;E7EU85,10;10;10;9;3;3;2;2;2;1;1;1,10;10;10;9;3;3;2;2;2;1;1;1,7;7;7;6;3;3;0;0;0;1;0;0,Fragile X mental retardation syndrome-related protein 1,FXR1,sp|P51114|FXR1_HUMAN Fragile X mental retardation syndrome-related protein 1 OS=Homo sapiens OX=9606 GN=FXR1 PE=1 SV=3;tr|E9PFF5|E9PFF5_HUMAN Fragile X mental retardation syndrome-related protein 1 OS=Homo sapiens OX=9606 GN=FXR1 PE=1 SV=1;tr|B4DXZ6|B4DXZ6,10,7,18,621
HS1BP3,0.1852990033,0.506915522820377,0,Q53T59;B5MC96;F6TR53;A0A494C0K6;A0A0D9SFN1,Q53T59;B5MC96;F6TR53;A0A494C0K6,7;7;7;4;1,7;7;7;4;1,7;7;7;4;1,HCLS1-binding protein 3,HS1BP3,sp|Q53T59|H1BP3_HUMAN HCLS1-binding protein 3 OS=Homo sapiens OX=9606 GN=HS1BP3 PE=1 SV=1;tr|B5MC96|B5MC96_HUMAN HCLS1-binding protein 3 OS=Homo sapiens OX=9606 GN=HS1BP3 PE=1 SV=1;tr|F6TR53|F6TR53_HUMAN HCLS1-binding protein 3 OS=Homo sapiens OX=9606 GN=H,7,7,16.1,392
PPM1F,1.3567462464,0.00776573422681632,1,P49593;B5MCT7;C9J2F3;A8MX49,P49593;B5MCT7,3;3;1;1,3;3;1;1,3;3;1;1,Protein phosphatase 1F,PPM1F,sp|P49593|PPM1F_HUMAN Protein phosphatase 1F OS=Homo sapiens OX=9606 GN=PPM1F PE=1 SV=3;tr|B5MCT7|B5MCT7_HUMAN Protein phosphatase 1F OS=Homo sapiens OX=9606 GN=PPM1F PE=1 SV=1,3,3,10.1,454
SEPT2,0.0562218642,0.888413508190819,0,Q15019;B5MCX3;C9J2Q4;H7C310;H7C2Y0;C9IY94;C9J938;C9JB25;C9IZU3;C9JQJ4;B5MD47;H7C1T1;A0A1B0GXJ2;C9JFT1;F8WB65;C9JZI2,Q15019;B5MCX3;C9J2Q4;H7C310;H7C2Y0,11;11;8;6;6;5;5;5;4;4;2;1;1;1;1;1,11;11;8;6;6;5;5;5;4;4;2;1;1;1;1;1,11;11;8;6;6;5;5;5;4;4;2;1;1;1;1;1,Septin-2,SEPT2,sp|Q15019|SEPT2_HUMAN Septin-2 OS=Homo sapiens OX=9606 GN=SEPTIN2 PE=1 SV=1;tr|B5MCX3|B5MCX3_HUMAN Septin-2 OS=Homo sapiens OX=9606 GN=SEPTIN2 PE=1 SV=1;tr|C9J2Q4|C9J2Q4_HUMAN Septin-2 (Fragment) OS=Homo sapiens OX=9606 GN=SEPTIN2 PE=1 SV=1;tr|H7C310|H7C31,11,11,36,361
RAN,0.108797567,0.663744324122136,0,P62826;B5MDF5;J3KQE5;F5H018;B4DV51;H0YFC6;A0A087X0W0,P62826;B5MDF5;J3KQE5;F5H018;B4DV51,23;23;22;19;13;9;1,23;23;22;19;13;9;1,23;23;22;19;13;9;1,GTP-binding nuclear protein Ran,RAN,sp|P62826|RAN_HUMAN GTP-binding nuclear protein Ran OS=Homo sapiens OX=9606 GN=RAN PE=1 SV=3;tr|B5MDF5|B5MDF5_HUMAN GTP-binding nuclear protein Ran OS=Homo sapiens OX=9606 GN=RAN PE=1 SV=1;tr|J3KQE5|J3KQE5_HUMAN GTP-binding nuclear protein Ran (Fragment) O,23,23,65.3,216
DDX27,1.8863710446,0.000796689556408349,1,Q96GQ7;B7Z6D5;A0A087X059,Q96GQ7;B7Z6D5;A0A087X059,5;5;3,5;5;3,5;5;3,Probable ATP-dependent RNA helicase DDX27,DDX27,sp|Q96GQ7|DDX27_HUMAN Probable ATP-dependent RNA helicase DDX27 OS=Homo sapiens OX=9606 GN=DDX27 PE=1 SV=2;tr|B7Z6D5|B7Z6D5_HUMAN Probable ATP-dependent RNA helicase DDX27 OS=Homo sapiens OX=9606 GN=DDX27 PE=1 SV=1;tr|A0A087X059|A0A087X059_HUMAN Probable A,5,5,6.8,796
ACADM,1.4685740188,0.0143423446827859,1,P11310;B7Z9I1;Q5T4U5;H0YDT5,P11310;B7Z9I1;Q5T4U5,8;8;8;3,8;8;8;3,8;8;8;3,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",ACADM,"sp|P11310|ACADM_HUMAN Medium-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ACADM PE=1 SV=1;tr|B7Z9I1|B7Z9I1_HUMAN Medium-chain-specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ACADM PE=1 SV=1;tr|Q5",8,8,21.9,421
PTMA,-1.8376139216,0.000905702182359251,1,P06454;B8ZZQ6,P06454;B8ZZQ6,3;3,3;3,3;3,"Prothymosin alpha;Prothymosin alpha, N-terminally processed;Thymosin alpha-1",PTMA,sp|P06454|PTMA_HUMAN Prothymosin alpha OS=Homo sapiens OX=9606 GN=PTMA PE=1 SV=2;tr|B8ZZQ6|B8ZZQ6_HUMAN Prothymosin alpha OS=Homo sapiens OX=9606 GN=PTMA PE=1 SV=1,3,3,17.1,111
HIBCH,-0.0228545958,0.97505277317096,0,Q6NVY1;B8ZZZ0;H7C400,Q6NVY1;B8ZZZ0;H7C400,2;2;1,2;2;1,2;2;1,"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial",HIBCH,"sp|Q6NVY1|HIBCH_HUMAN 3-hydroxyisobutyryl-CoA hydrolase, mitochondrial OS=Homo sapiens OX=9606 GN=HIBCH PE=1 SV=2;tr|B8ZZZ0|B8ZZZ0_HUMAN 3-hydroxyisobutyryl-CoA hydrolase, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=HIBCH PE=1 SV=1;tr|H7C400|H7C400",2,2,5.7,386
IMMT,-0.3610346446,0.756680003497637,0,Q16891;C9J406;B9A067;H7C463;A0A087WYS0,Q16891;C9J406;B9A067;H7C463,5;5;5;4;2,5;5;5;4;2,5;5;5;4;2,MICOS complex subunit MIC60,IMMT,sp|Q16891|MIC60_HUMAN MICOS complex subunit MIC60 OS=Homo sapiens OX=9606 GN=IMMT PE=1 SV=1;tr|C9J406|C9J406_HUMAN MICOS complex subunit MIC60 OS=Homo sapiens OX=9606 GN=IMMT PE=1 SV=1;tr|B9A067|B9A067_HUMAN MICOS complex subunit MIC60 OS=Homo sapiens OX=9,5,5,10.2,758
TSNAX;DISC1,0.0039601864,0.991733472690971,0,Q99598;Q5VVQ1;C4P0D6;C4P0D8;C4P0D4,Q99598;Q5VVQ1;C4P0D6;C4P0D8;C4P0D4,3;3;3;3;2,3;3;3;3;2,3;3;3;3;2,Translin-associated protein X,TSNAX;DISC1,sp|Q99598|TSNAX_HUMAN Translin-associated protein X OS=Homo sapiens OX=9606 GN=TSNAX PE=1 SV=1;tr|Q5VVQ1|Q5VVQ1_HUMAN Translin-associated protein X (Fragment) OS=Homo sapiens OX=9606 GN=TSNAX PE=4 SV=1;tr|C4P0D6|C4P0D6_HUMAN Disrupted in schizophrenia 1 is,3,3,15.5,290
DKC1,1.6773354365,0.0191397729055532,1,O60832;C9IYT0;H7C2Q9;H7C0M1,O60832;C9IYT0;H7C2Q9;H7C0M1,4;4;3;3,4;4;3;3,4;4;3;3,H/ACA ribonucleoprotein complex subunit 4,DKC1,sp|O60832|DKC1_HUMAN H/ACA ribonucleoprotein complex subunit DKC1 OS=Homo sapiens OX=9606 GN=DKC1 PE=1 SV=3;tr|C9IYT0|C9IYT0_HUMAN H/ACA ribonucleoprotein complex subunit DKC1 (Fragment) OS=Homo sapiens OX=9606 GN=DKC1 PE=1 SV=8;tr|H7C2Q9|H7C2Q9_HUMAN H/AC,4,4,8.6,514
BZW1,-0.0409607089,0.953880623086447,0,Q7L1Q6;C9IZ80,Q7L1Q6;C9IZ80,3;3,3;3,3;3,Basic leucine zipper and W2 domain-containing protein 1,BZW1,sp|Q7L1Q6|BZW1_HUMAN Basic leucine zipper and W2 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=BZW1 PE=1 SV=1;tr|C9IZ80|C9IZ80_HUMAN Basic leucine zipper and W2 domain-containing protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=BZW1 PE=1 SV=1,3,3,7.2,419
PFN2,-0.6736615968,0.0346282004838769,0,C9J0J7;G5E9Q6;C9JQ45;C9J2N0,C9J0J7;G5E9Q6,5;5;2;1,5;5;2;1,3;3;0;0,Profilin,PFN2,tr|C9J0J7|C9J0J7_HUMAN Profilin OS=Homo sapiens OX=9606 GN=PFN2 PE=1 SV=1;tr|G5E9Q6|G5E9Q6_HUMAN Profilin OS=Homo sapiens OX=9606 GN=PFN2 PE=1 SV=1,5,3,51.6,91
SRI,0.3826996996,0.345078668902973,0,P30626;C9J0K6;B4DHQ6,P30626;C9J0K6,9;9;3,9;9;3,9;9;3,Sorcin,SRI,sp|P30626|SORCN_HUMAN Sorcin OS=Homo sapiens OX=9606 GN=SRI PE=1 SV=1;tr|C9J0K6|C9J0K6_HUMAN Sorcin OS=Homo sapiens OX=9606 GN=SRI PE=1 SV=1,9,9,40.4,198
EEF1E1;EEF1E1-BLOC1S5,1.1747671586,0.00697149730062202,1,O43324;D6RBD7;C9J1V9;D6RCQ0;H0YAL7,O43324;D6RBD7;C9J1V9;D6RCQ0;H0YAL7,2;2;2;1;1,2;2;2;1;1,2;2;2;1;1,Eukaryotic translation elongation factor 1 epsilon-1,EEF1E1;EEF1E1-BLOC1S5,sp|O43324|MCA3_HUMAN Eukaryotic translation elongation factor 1 epsilon-1 OS=Homo sapiens OX=9606 GN=EEF1E1 PE=1 SV=1;tr|D6RBD7|D6RBD7_HUMAN Eukaryotic translation elongation factor 1 epsilon-1 OS=Homo sapiens OX=9606 GN=EEF1E1 PE=1 SV=1;tr|C9J1V9|C9J1V9_H,2,2,12.1,174
PDCD10,0.741597952,0.17113454058179,0,Q9BUL8;F8WDF3;C9J932;H7C5M9;C9JSA3;C9JND6;C9J6F3;C9J5C3,Q9BUL8;F8WDF3;C9J932;H7C5M9;C9JSA3;C9JND6;C9J6F3;C9J5C3,1;1;1;1;1;1;1;1,1;1;1;1;1;1;1;1,1;1;1;1;1;1;1;1,Programmed cell death protein 10,PDCD10,sp|Q9BUL8|PDC10_HUMAN Programmed cell death protein 10 OS=Homo sapiens OX=9606 GN=PDCD10 PE=1 SV=1;tr|F8WDF3|F8WDF3_HUMAN Programmed cell death protein 10 OS=Homo sapiens OX=9606 GN=PDCD10 PE=1 SV=1;tr|C9J932|C9J932_HUMAN Programmed cell death protein 10 (,1,1,4.7,212
PFN2,-0.6634551733,0.165016801397536,0,P35080;C9J712,P35080;C9J712,3;3,1;1,1;1,Profilin-2,PFN2,sp|P35080|PROF2_HUMAN Profilin-2 OS=Homo sapiens OX=9606 GN=PFN2 PE=1 SV=3;tr|C9J712|C9J712_HUMAN Profilin OS=Homo sapiens OX=9606 GN=PFN2 PE=1 SV=1,3,1,26.4,140
RAB6A;RAB6B;RAB39A,-1.1907730861,0.0134699086553408,1,P20340;Q9NRW1;Q14964;C9JB90;C9JU14;J3KR73,P20340;Q9NRW1;Q14964;C9JB90;C9JU14;J3KR73,2;2;2;2;2;2,2;2;2;2;2;2,2;2;2;2;2;2,Ras-related protein Rab-6A;Ras-related protein Rab-6B;Ras-related protein Rab-39A,RAB6A;RAB6B;RAB39A,sp|P20340|RAB6A_HUMAN Ras-related protein Rab-6A OS=Homo sapiens OX=9606 GN=RAB6A PE=1 SV=3;sp|Q9NRW1|RAB6B_HUMAN Ras-related protein Rab-6B OS=Homo sapiens OX=9606 GN=RAB6B PE=1 SV=1;sp|Q14964|RB39A_HUMAN Ras-related protein Rab-39A OS=Homo sapiens OX=960,2,2,6.2,208
APEH,0.3827755749,0.166757703562519,0,P13798;C9JIF9;H7C393;H7C1U0;C9JLK2;F8WEH5,P13798;C9JIF9;H7C393,13;13;7;5;4;1,13;13;7;5;4;1,13;13;7;5;4;1,Acylamino-acid-releasing enzyme,APEH,sp|P13798|ACPH_HUMAN Acylamino-acid-releasing enzyme OS=Homo sapiens OX=9606 GN=APEH PE=1 SV=4;tr|C9JIF9|C9JIF9_HUMAN Acylamino-acid-releasing enzyme OS=Homo sapiens OX=9606 GN=APEH PE=1 SV=1;tr|H7C393|H7C393_HUMAN Acylamino-acid-releasing enzyme (Fragment,13,13,20.1,732
ATP5J2;ATP5J2-PTCD1,1.6065606272,0.0298221782606157,1,P56134;C9JJT5;C9JU26;G3V325,P56134;C9JJT5;C9JU26;G3V325,2;2;2;2,2;2;2;2,2;2;2;2,"ATP synthase subunit f, mitochondrial",ATP5J2;ATP5J2-PTCD1,"sp|P56134|ATPK_HUMAN ATP synthase subunit f, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5MF PE=1 SV=3;tr|C9JJT5|C9JJT5_HUMAN ATP5MF-PTCD1 readthrough OS=Homo sapiens OX=9606 GN=ATP5MF-PTCD1 PE=4 SV=2;tr|C9JU26|C9JU26_HUMAN ATP synthase subunit f, mitochon",2,2,25.5,94
RFC4,2.1062970282,0.0296939815477059,1,P35249;C9JZI1;C9J8M3;C9JTT7;C9JXZ7;C9JGY5;F8WE44;H7C1P0,P35249;C9JZI1;C9J8M3;C9JTT7;C9JXZ7,9;9;8;6;5;2;2;1,9;9;8;6;5;2;2;1,9;9;8;6;5;2;2;1,Replication factor C subunit 4,RFC4,sp|P35249|RFC4_HUMAN Replication factor C subunit 4 OS=Homo sapiens OX=9606 GN=RFC4 PE=1 SV=2;tr|C9JZI1|C9JZI1_HUMAN Replication factor C subunit 4 OS=Homo sapiens OX=9606 GN=RFC4 PE=1 SV=1;tr|C9J8M3|C9J8M3_HUMAN Replication factor C subunit 4 (Fragment) O,9,9,26.7,363
