Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity NLE1-N1,Intensity NLE1-N2,Intensity IP-BirA-alone-N1,Intensity IP-BirA-alone-N2
P35606;D6RBZ7;D6RCL6;D6RBG7;D6RBT6;H0YAC7;D6R997,P35606,4;1;1;1;1;1;1,4;1;1;1;1;1;1,4;1;1;1;1;1;1,Coatomer subunit beta,COPB2,sp|P35606|COPB2_HUMAN Coatomer subunit beta OS=Homo sapiens OX=9606 GN=COPB2 PE=1 SV=2,4,4,5.5,21.9917334228058,22.8331981741612,25.9553783565265,25.4400922996791
Q86YQ8;E7ENV7;Q8IYJ1;Q9HCH3;A0A0J9YWU8;A0A0J9YWA1;A0A087WX62,Q86YQ8;E7ENV7,5;5;2;2;1;1;1,4;4;1;1;1;1;1,4;4;1;1;1;1;1,Copine-8,CPNE8,sp|Q86YQ8|CPNE8_HUMAN Copine-8 OS=Homo sapiens OX=9606 GN=CPNE8 PE=1 SV=2;tr|E7ENV7|E7ENV7_HUMAN Copine-8 OS=Homo sapiens OX=9606 GN=CPNE8 PE=1 SV=2,5,4,10.1,4.18694249382544,4.30484830045098,25.2752251107056,25.659244017134
P35221;G3XAM7;E5RJP7;E5RGD2,P35221;G3XAM7,6;6;1;1,6;6;1;1,4;4;1;1,Catenin alpha-1,CTNNA1,"sp|P35221|CTNA1_HUMAN Catenin alpha-1 OS=Homo sapiens OX=9606 GN=CTNNA1 PE=1 SV=1;tr|G3XAM7|G3XAM7_HUMAN Catenin (Cadherin-associated protein), alpha 1, 102kDa, isoform CRA_a OS=Homo sapiens OX=9606 GN=CTNNA1 PE=1 SV=1",6,4,9.3,23.7313811862395,25.6745718144492,26.4513148873452,25.3794122136863
Q8WZ74;F8WB16;C9JVQ6;C9J720;C9JFC9;H0Y448,Q8WZ74;F8WB16,4;3;1;1;1;1,4;3;1;1;1;1,4;3;1;1;1;1,Cortactin-binding protein 2,CTTNBP2,sp|Q8WZ74|CTTB2_HUMAN Cortactin-binding protein 2 OS=Homo sapiens OX=9606 GN=CTTNBP2 PE=1 SV=1;tr|F8WB16|F8WB16_HUMAN Cortactin-binding protein 2 OS=Homo sapiens OX=9606 GN=CTTNBP2 PE=1 SV=1,4,4,4.1,23.6544717078846,24.9489115020399,26.670066213214,26.4195427424183
A0A2R8Y852;P39880;A0A2R8YDI1;Q13948;O14529,A0A2R8Y852;P39880;A0A2R8YDI1;Q13948,4;3;3;2;1,4;3;3;2;1,4;3;3;2;1,Homeobox protein cut-like 1;Protein CASP,CUX1,tr|A0A2R8Y852|A0A2R8Y852_HUMAN Homeobox protein cut-like OS=Homo sapiens OX=9606 GN=CUX1 PE=1 SV=1;sp|P39880|CUX1_HUMAN Homeobox protein cut-like 1 OS=Homo sapiens OX=9606 GN=CUX1 PE=1 SV=3;tr|A0A2R8YDI1|A0A2R8YDI1_HUMAN Homeobox protein cut-like OS=Homo s,4,4,4.0,22.539648774223,21.8704565348182,24.4241908978986,24.5001479672112
P98082;D6REB1;D6RIA5;D6RFF7,P98082,4;1;1;1,4;1;1;1,4;1;1;1,Disabled homolog 2,DAB2,sp|P98082|DAB2_HUMAN Disabled homolog 2 OS=Homo sapiens OX=9606 GN=DAB2 PE=1 SV=3,4,4,6.0,4.18694249382544,4.30484830045098,25.8585405300153,25.5436556255197
P39656;A0A0C4DGS1;U3KQ84,P39656;A0A0C4DGS1;U3KQ84,4;4;3,4;4;3,4;4;3,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit,DDOST,sp|P39656|OST48_HUMAN Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit OS=Homo sapiens OX=9606 GN=DDOST PE=1 SV=4;tr|A0A0C4DGS1|A0A0C4DGS1_HUMAN Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit OS=H,4,4,8.3,23.044689200447,24.8197273170331,4.42893354222385,4.39608992622293
Q9Y394;H0YJ66;H0YJE4;H0YJR8,Q9Y394;H0YJ66;H0YJE4,4;4;2;1,4;4;2;1,4;4;2;1,Dehydrogenase/reductase SDR family member 7,DHRS7,sp|Q9Y394|DHRS7_HUMAN Dehydrogenase/reductase SDR family member 7 OS=Homo sapiens OX=9606 GN=DHRS7 PE=1 SV=1;tr|H0YJ66|H0YJ66_HUMAN Dehydrogenase/reductase SDR family member 7 (Fragment) OS=Homo sapiens OX=9606 GN=DHRS7 PE=1 SV=1;tr|H0YJE4|H0YJE4_HUMAN Deh,4,4,15.3,4.18694249382544,4.30484830045098,23.6981637310534,24.6398109953772
Q9H2U1;E7EWK3;A0A0G2JRP3;H7C5F5;A0A0G2JQU7,Q9H2U1;E7EWK3,4;4;1;1;1,4;4;1;1;1,4;4;1;1;1,ATP-dependent RNA helicase DHX36,DHX36,sp|Q9H2U1|DHX36_HUMAN ATP-dependent DNA/RNA helicase DHX36 OS=Homo sapiens OX=9606 GN=DHX36 PE=1 SV=2;tr|E7EWK3|E7EWK3_HUMAN ATP-dependent DNA/RNA helicase DHX36 (Fragment) OS=Homo sapiens OX=9606 GN=DHX36 PE=1 SV=1,4,4,5.0,4.18694249382544,4.30484830045098,24.2722732493907,24.4843145060726
O75937;S4R3J5,O75937,4;1,4;1,4;1,DnaJ homolog subfamily C member 8,DNAJC8,sp|O75937|DNJC8_HUMAN DnaJ homolog subfamily C member 8 OS=Homo sapiens OX=9606 GN=DNAJC8 PE=1 SV=2,4,4,19.4,25.3771297557642,24.4431631108616,27.524474043121,27.3943571031094
Q13409;E7EQL5;E9PGG1;E7EU01;E7EUM4;E7ERR6;E7ERH4;E7ET01;E7ETL8;E7EQU2;E7ESD3;E7EMU4;E7EV09,Q13409;E7EQL5;E9PGG1;E7EU01;E7EUM4;E7ERR6;E7ERH4;E7ET01;E7ETL8;E7EQU2;E7ESD3;E7EMU4;E7EV09,4;3;2;2;2;2;2;2;2;2;2;2;2,4;3;2;2;2;2;2;2;2;2;2;2;2,4;3;2;2;2;2;2;2;2;2;2;2;2,Cytoplasmic dynein 1 intermediate chain 2,DYNC1I2,sp|Q13409|DC1I2_HUMAN Cytoplasmic dynein 1 intermediate chain 2 OS=Homo sapiens OX=9606 GN=DYNC1I2 PE=1 SV=3;tr|E7EQL5|E7EQL5_HUMAN Cytoplasmic dynein 1 intermediate chain 2 (Fragment) OS=Homo sapiens OX=9606 GN=DYNC1I2 PE=1 SV=1;tr|E9PGG1|E9PGG1_HUMAN Cyt,4,4,7.8,4.18694249382544,4.30484830045098,24.7738434757309,24.5539718655667
Q05639;A0A2U3TZH3;A0A2R8Y488;A0A2R8Y660;A0A2R8YDN5,Q05639;A0A2U3TZH3;A0A2R8Y488,12;12;6;5;4,4;4;1;1;1,4;4;1;1;1,Elongation factor 1-alpha 2,EEF1A2,sp|Q05639|EF1A2_HUMAN Elongation factor 1-alpha 2 OS=Homo sapiens OX=9606 GN=EEF1A2 PE=1 SV=1;tr|A0A2U3TZH3|A0A2U3TZH3_HUMAN Elongation factor 1-alpha OS=Homo sapiens OX=9606 GN=EEF1A2 PE=1 SV=1;tr|A0A2R8Y488|A0A2R8Y488_HUMAN Elongation factor 1-alpha 2 (F,12,4,37.8,23.4961906217612,25.814138259446,27.3175172271801,27.3994186232703
P24534;F8WF65;F2Z2G2;C9JZW3,P24534,4;1;1;1,4;1;1;1,4;1;1;1,Elongation factor 1-beta,EEF1B2,sp|P24534|EF1B_HUMAN Elongation factor 1-beta OS=Homo sapiens OX=9606 GN=EEF1B2 PE=1 SV=3,4,4,24.4,4.18694249382544,4.30484830045098,27.4493954053509,27.6581954627343
P19525;F8WBH4;C9JZT2,P19525;F8WBH4;C9JZT2,4;2;2,4;2;2,4;2;2,"Interferon-induced, double-stranded RNA-activated protein kinase",EIF2AK2,"sp|P19525|E2AK2_HUMAN Interferon-induced, double-stranded RNA-activated protein kinase OS=Homo sapiens OX=9606 GN=EIF2AK2 PE=1 SV=2;tr|F8WBH4|F8WBH4_HUMAN Interferon-induced, double-stranded RNA-activated protein kinase (Fragment) OS=Homo sapiens OX=9606 G",4,4,9.6,22.8661228126021,21.3959754548538,22.3872442960771,22.8290026322445
P20042,P20042,4,4,4,Eukaryotic translation initiation factor 2 subunit 2,EIF2S2,sp|P20042|IF2B_HUMAN Eukaryotic translation initiation factor 2 subunit 2 OS=Homo sapiens OX=9606 GN=EIF2S2 PE=1 SV=2,4,4,18.6,23.1081371193958,23.5236069400352,26.2785963510665,23.739438647624
Q9BQ52;G5E9D5;V9GZ72;E7ES68;J3QRS2;V9GYU5;J3QL08;J3QLK4;V9GYS7,Q9BQ52;G5E9D5;V9GZ72;E7ES68,4;4;2;2;1;1;1;1;1,4;4;2;2;1;1;1;1;1,4;4;2;2;1;1;1;1;1,Zinc phosphodiesterase ELAC protein 2,ELAC2,"sp|Q9BQ52|RNZ2_HUMAN Zinc phosphodiesterase ELAC protein 2 OS=Homo sapiens OX=9606 GN=ELAC2 PE=1 SV=2;tr|G5E9D5|G5E9D5_HUMAN ElaC homolog 2 (E. coli), isoform CRA_a OS=Homo sapiens OX=9606 GN=ELAC2 PE=1 SV=1;tr|V9GZ72|V9GZ72_HUMAN Zinc phosphodiesterase EL",4,4,6.4,22.0317052406096,25.3775269644507,25.268530292884,21.8970388893848
Q15717;M0R055;M0QZR9,Q15717;M0R055;M0QZR9,4;2;2,4;2;2,4;2;2,ELAV-like protein 1,ELAVL1,sp|Q15717|ELAV1_HUMAN ELAV-like protein 1 OS=Homo sapiens OX=9606 GN=ELAVL1 PE=1 SV=2;tr|M0R055|M0R055_HUMAN ELAV-like protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=ELAVL1 PE=1 SV=1;tr|M0QZR9|M0QZR9_HUMAN ELAV-like protein 1 OS=Homo sapiens OX=9606 GN=EL,4,4,11.3,24.2009009990583,24.3144432896593,4.42893354222385,4.39608992622293
Q15723;P32519;Q99607;A0A0U1RRL5;A0A087WU18,Q15723,5;1;1;1;1,5;1;1;1;1,4;0;0;0;0,ETS-related transcription factor Elf-2,ELF2,sp|Q15723|ELF2_HUMAN ETS-related transcription factor Elf-2 OS=Homo sapiens OX=9606 GN=ELF2 PE=1 SV=2,5,4,11.0,24.4393632095229,25.2964211093854,25.0361149079476,25.1786605963957
Q5R3F8;P0C7U0,Q5R3F8,4;1,4;1,4;1,Protein phosphatase 1 regulatory subunit 29,ELFN2,sp|Q5R3F8|PPR29_HUMAN Protein phosphatase 1 regulatory subunit 29 OS=Homo sapiens OX=9606 GN=ELFN2 PE=1 SV=1,4,4,7.8,4.18694249382544,4.30484830045098,24.3825158499409,26.256775067658
Q9HCE0;K7ENS1,Q9HCE0,4;1,4;1,4;1,Ectopic P granules protein 5 homolog,EPG5,sp|Q9HCE0|EPG5_HUMAN Ectopic P granules protein 5 homolog OS=Homo sapiens OX=9606 GN=EPG5 PE=1 SV=2,4,4,2.2,4.18694249382544,4.30484830045098,23.7089356787746,24.693438887963
Q99504;B1APR7,Q99504;B1APR7,4;3,4;3,4;3,Eyes absent homolog 3;Eyes absent homolog,EYA3,sp|Q99504|EYA3_HUMAN Eyes absent homolog 3 OS=Homo sapiens OX=9606 GN=EYA3 PE=1 SV=3;tr|B1APR7|B1APR7_HUMAN Eyes absent homolog OS=Homo sapiens OX=9606 GN=EYA3 PE=1 SV=1,4,4,10.3,22.2512154033759,24.3498934683987,24.7632431705772,26.2903164594092
Q9H098;C9J6N5;C9JQ40;C9JW51;A0A1C7CYX8;C9J3Q3;C9JYP1;C9J6Y8;X6RET8;C9JP05;F8WCJ2,Q9H098;C9J6N5;C9JQ40;C9JW51;A0A1C7CYX8;C9J3Q3;C9JYP1;C9J6Y8;X6RET8;C9JP05,4;4;4;4;4;3;2;2;2;2;1,4;4;4;4;4;3;2;2;2;2;1,4;4;4;4;4;3;2;2;2;2;1,Protein FAM107B,FAM107B,sp|Q9H098|F107B_HUMAN Protein FAM107B OS=Homo sapiens OX=9606 GN=FAM107B PE=1 SV=1;tr|C9J6N5|C9J6N5_HUMAN Protein FAM107B (Fragment) OS=Homo sapiens OX=9606 GN=FAM107B PE=1 SV=8;tr|C9JQ40|C9JQ40_HUMAN Protein FAM107B (Fragment) OS=Homo sapiens OX=9606 GN=F,4,4,38.9,23.1400186137353,23.9002123252889,25.0182249732908,24.5588251962515
Q96EK7;F5GY05;A0A0D9SEJ5,Q96EK7;F5GY05;A0A0D9SEJ5,4;4;4,4;4;4,4;4;4,Constitutive coactivator of peroxisome proliferator-activated receptor gamma,FAM120B,sp|Q96EK7|F120B_HUMAN Constitutive coactivator of peroxisome proliferator-activated receptor gamma OS=Homo sapiens OX=9606 GN=FAM120B PE=1 SV=1;tr|F5GY05|F5GY05_HUMAN Constitutive coactivator of peroxisome proliferator-activated receptor gamma OS=Homo sapi,4,4,5.2,4.18694249382544,4.30484830045098,23.2712760767728,24.697315461124
P22087;M0R0P1;M0R299;M0QXL5;M0R2Q4;A6NHQ2;M0R2U2;M0R1H0;M0R2B0,P22087;M0R0P1;M0R299;M0QXL5;M0R2Q4,4;3;3;3;3;1;1;1;1,4;3;3;3;3;1;1;1;1,4;3;3;3;3;1;1;1;1,rRNA 2-O-methyltransferase fibrillarin,FBL,sp|P22087|FBRL_HUMAN rRNA 2-O-methyltransferase fibrillarin OS=Homo sapiens OX=9606 GN=FBL PE=1 SV=2;tr|M0R0P1|M0R0P1_HUMAN rRNA 2-O-methyltransferase fibrillarin (Fragment) OS=Homo sapiens OX=9606 GN=FBL PE=1 SV=1;tr|M0R299|M0R299_HUMAN rRNA 2-O-methyl,4,4,14.0,21.6740491310627,25.3382752944632,23.8437393722741,23.3639935461289
Q16658;C9JPH9;C9JFC0;A0A0A0MSB2,Q16658,4;1;1;1,4;1;1;1,4;1;1;1,Fascin,FSCN1,sp|Q16658|FSCN1_HUMAN Fascin OS=Homo sapiens OX=9606 GN=FSCN1 PE=1 SV=3,4,4,9.7,23.0176899293398,25.3430287125622,4.42893354222385,4.39608992622293
P35637;H3BPE7,P35637;H3BPE7,6;6,4;4,4;4,RNA-binding protein FUS,FUS,sp|P35637|FUS_HUMAN RNA-binding protein FUS OS=Homo sapiens OX=9606 GN=FUS PE=1 SV=1;tr|H3BPE7|H3BPE7_HUMAN RNA-binding protein FUS OS=Homo sapiens OX=9606 GN=FUS PE=1 SV=1,6,4,11.8,26.8572120159147,27.6596251207736,26.781942960764,26.534645918181
P52655;J3KNC0,P52655;J3KNC0,4;3,4;3,4;3,Transcription initiation factor IIA subunit 1;Transcription initiation factor IIA alpha chain;Transcription initiation factor IIA beta chain,GTF2A1,sp|P52655|TF2AA_HUMAN Transcription initiation factor IIA subunit 1 OS=Homo sapiens OX=9606 GN=GTF2A1 PE=1 SV=1;tr|J3KNC0|J3KNC0_HUMAN Transcription initiation factor IIA subunit 1 OS=Homo sapiens OX=9606 GN=GTF2A1 PE=1 SV=1,4,4,21.8,22.815917400665,21.5757017299584,26.9842452936278,26.2929860361134
Q9Y5Q9;A0A494C1S7;H7C0C0;F8WC64;H0YFI7;H7BZV8,Q9Y5Q9;A0A494C1S7;H7C0C0,4;4;2;1;1;1,4;4;2;1;1;1,4;4;2;1;1;1,General transcription factor 3C polypeptide 3,GTF3C3,sp|Q9Y5Q9|TF3C3_HUMAN General transcription factor 3C polypeptide 3 OS=Homo sapiens OX=9606 GN=GTF3C3 PE=1 SV=1;tr|A0A494C1S7|A0A494C1S7_HUMAN General transcription factor 3C polypeptide 3 OS=Homo sapiens OX=9606 GN=GTF3C3 PE=1 SV=1;tr|H7C0C0|H7C0C0_HUMAN,4,4,7.1,21.5860957651387,23.0277798124546,23.8036385988165,22.6949801437942
P46976;G5E9W8;C9JQ42,P46976;G5E9W8;C9JQ42,4;3;3,4;3;3,4;3;3,Glycogenin-1,GYG1,"sp|P46976|GLYG_HUMAN Glycogenin-1 OS=Homo sapiens OX=9606 GN=GYG1 PE=1 SV=4;tr|G5E9W8|G5E9W8_HUMAN Glycogenin 1, isoform CRA_e OS=Homo sapiens OX=9606 GN=GYG1 PE=1 SV=1;tr|C9JQ42|C9JQ42_HUMAN Glycogenin-1 (Fragment) OS=Homo sapiens OX=9606 GN=GYG1 PE=1 SV=",4,4,16.9,4.18694249382544,4.30484830045098,27.0236914191629,26.4966935020784
Q13151,Q13151,4,4,4,Heterogeneous nuclear ribonucleoprotein A0,HNRNPA0,sp|Q13151|ROA0_HUMAN Heterogeneous nuclear ribonucleoprotein A0 OS=Homo sapiens OX=9606 GN=HNRNPA0 PE=1 SV=1,4,4,18.0,25.3920162742973,25.6831661845437,25.6274510590773,25.910336220361
P07910;G3V576;G3V2Q1;G3V4C1;B2R5W2;B4DY08;G3V4W0;G3V575;G3V555;A0A0G2JNQ3;G3V2D6;B2RXH8;G3V5V7;B4DSU6;G3V251;G3V3K6;G3V5X6;G3V4M8;G3V2H6,P07910;G3V576;G3V2Q1;G3V4C1;B2R5W2;B4DY08;G3V4W0;G3V575;G3V555;A0A0G2JNQ3;G3V2D6;B2RXH8;G3V5V7;B4DSU6;G3V251;G3V3K6;G3V5X6,8;8;8;8;8;8;8;5;5;4;4;4;4;4;4;4;4;3;2,8;8;8;8;8;8;8;5;5;4;4;4;4;4;4;4;4;3;2,4;4;4;4;4;4;4;3;3;0;2;0;2;2;2;2;2;1;0,Heterogeneous nuclear ribonucleoproteins C1/C2;Heterogeneous nuclear ribonucleoprotein C-like 2,HNRNPC;HNRNPCL2,sp|P07910|HNRPC_HUMAN Heterogeneous nuclear ribonucleoproteins C1/C2 OS=Homo sapiens OX=9606 GN=HNRNPC PE=1 SV=4;tr|G3V576|G3V576_HUMAN Heterogeneous nuclear ribonucleoproteins C1/C2 OS=Homo sapiens OX=9606 GN=HNRNPC PE=1 SV=1;tr|G3V2Q1|G3V2Q1_HUMAN Hetero,8,4,26.1,24.7368610249249,26.2814822555535,27.3511917279471,27.109087771922
O14979;A0A087WUK2,O14979;A0A087WUK2,5;5,4;4,4;4,Heterogeneous nuclear ribonucleoprotein D-like,HNRNPDL,sp|O14979|HNRDL_HUMAN Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=3;tr|A0A087WUK2|A0A087WUK2_HUMAN Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=1,5,4,10.7,23.4681188648601,25.7265562014741,25.5930901651769,25.5026385674919
P61978;S4R457;S4R359,P61978,23;5;4,23;5;4,4;0;3,Heterogeneous nuclear ribonucleoprotein K,HNRNPK,sp|P61978|HNRPK_HUMAN Heterogeneous nuclear ribonucleoprotein K OS=Homo sapiens OX=9606 GN=HNRNPK PE=1 SV=1,23,4,56.8,29.9112795600292,30.2128031539712,31.9246838690034,31.7306072924465
Q00613;E9PMQ6;A0A087X1F9;E9PI02;A0A087WXG6,Q00613;E9PMQ6;A0A087X1F9;E9PI02,4;4;2;2;1,4;4;2;2;1,4;4;2;2;1,Heat shock factor protein 1,HSF1,sp|Q00613|HSF1_HUMAN Heat shock factor protein 1 OS=Homo sapiens OX=9606 GN=HSF1 PE=1 SV=1;tr|E9PMQ6|E9PMQ6_HUMAN Heat shock factor protein 1 OS=Homo sapiens OX=9606 GN=HSF1 PE=1 SV=2;tr|A0A087X1F9|A0A087X1F9_HUMAN Heat shock factor protein 1 (Fragment) OS,4,4,10.8,22.355872611092,24.8086256580118,25.0941008875656,24.8469938608749
O75874;C9J4N6;P48735;C9JJE5;C9JLU6,O75874;C9J4N6,4;3;1;1;1,4;3;1;1;1,4;3;1;1;1,Isocitrate dehydrogenase [NADP] cytoplasmic,IDH1,sp|O75874|IDHC_HUMAN Isocitrate dehydrogenase [NADP] cytoplasmic OS=Homo sapiens OX=9606 GN=IDH1 PE=1 SV=2;tr|C9J4N6|C9J4N6_HUMAN Isocitrate dehydrogenase [NADP] cytoplasmic (Fragment) OS=Homo sapiens OX=9606 GN=IDH1 PE=1 SV=1,4,4,10.9,4.18694249382544,4.30484830045098,25.7994897367875,24.4544403757475
Q92551;C9JNA8,Q92551,4;1,4;1,4;1,Inositol hexakisphosphate kinase 1,IP6K1,sp|Q92551|IP6K1_HUMAN Inositol hexakisphosphate kinase 1 OS=Homo sapiens OX=9606 GN=IP6K1 PE=1 SV=3,4,4,11.1,4.18694249382544,4.30484830045098,26.8856485286451,25.9487555843722
Q7Z5L9,Q7Z5L9,5,4,4,Interferon regulatory factor 2-binding protein 2,IRF2BP2,sp|Q7Z5L9|I2BP2_HUMAN Interferon regulatory factor 2-binding protein 2 OS=Homo sapiens OX=9606 GN=IRF2BP2 PE=1 SV=2,5,4,14.7,22.5324941596036,24.144682512236,25.2280626860259,24.0600269534711
Q9H1B7,Q9H1B7,5,5,4,Interferon regulatory factor 2-binding protein-like,IRF2BPL,sp|Q9H1B7|I2BPL_HUMAN Probable E3 ubiquitin-protein ligase IRF2BPL OS=Homo sapiens OX=9606 GN=IRF2BPL PE=1 SV=1,5,4,9.9,4.18694249382544,4.30484830045098,25.7539673181572,26.6114708592558
Q9NZM3;A0A087WVF7;E7EPJ2,Q9NZM3;A0A087WVF7;E7EPJ2,4;4;2,4;4;2,4;4;2,Intersectin-2,ITSN2,sp|Q9NZM3|ITSN2_HUMAN Intersectin-2 OS=Homo sapiens OX=9606 GN=ITSN2 PE=1 SV=3;tr|A0A087WVF7|A0A087WVF7_HUMAN Intersectin-2 OS=Homo sapiens OX=9606 GN=ITSN2 PE=1 SV=1;tr|E7EPJ2|E7EPJ2_HUMAN Intersectin-2 (Fragment) OS=Homo sapiens OX=9606 GN=ITSN2 PE=1 SV=,4,4,3.3,22.5072585429639,21.8342596250549,24.7489360071628,23.9977438882582
Q96ST2;A0A1B0GW95,Q96ST2;A0A1B0GW95,4;3,4;3,4;3,Protein IWS1 homolog,IWS1,sp|Q96ST2|IWS1_HUMAN Protein IWS1 homolog OS=Homo sapiens OX=9606 GN=IWS1 PE=1 SV=2;tr|A0A1B0GW95|A0A1B0GW95_HUMAN Protein IWS1 homolog (Fragment) OS=Homo sapiens OX=9606 GN=IWS1 PE=1 SV=1,4,4,5.4,21.0699243429129,22.2810187754453,25.1513566378299,24.4401873712367
Q7Z3B3;A0A1W2PRB5;A0A0G2JNB1;A0A3B3IT55;A0A0J9YVS1;A0A1W2PPV8;A0A0G2JNT7;A0A0G2JQF5;A0A0G2JQF4;A0A1W2PRR3;I3L233;A0A1W2PQT4;A0A0G2JRW7;A0A1W2PS83;A0A1W2PRA9;I3L243;A0A0U1RR24,Q7Z3B3;A0A1W2PRB5;A0A0G2JNB1;A0A3B3IT55;A0A0J9YVS1;A0A1W2PPV8;A0A0G2JNT7;A0A0G2JQF5;A0A0G2JQF4;A0A1W2PRR3;I3L233,5;5;5;5;5;5;5;4;4;3;3;2;1;1;1;1;1,5;5;5;5;5;5;5;4;4;3;3;2;1;1;1;1;1,4;4;4;4;4;4;4;3;3;3;3;1;1;0;1;1;0,KAT8 regulatory NSL complex subunit 1,KANSL1,sp|Q7Z3B3|KANL1_HUMAN KAT8 regulatory NSL complex subunit 1 OS=Homo sapiens OX=9606 GN=KANSL1 PE=1 SV=2;tr|A0A1W2PRB5|A0A1W2PRB5_HUMAN KAT8 regulatory NSL complex subunit 1 OS=Homo sapiens OX=9606 GN=KANSL1 PE=1 SV=1;tr|A0A0G2JNB1|A0A0G2JNB1_HUMAN KAT8 reg,5,4,4.9,23.3229238746676,24.5971318884944,4.42893354222385,4.39608992622293
Q15046;J3KRL2;H3BPV7;H3BVA8,Q15046,4;1;1;1,4;1;1;1,4;1;1;1,Lysine--tRNA ligase,KARS,sp|Q15046|SYK_HUMAN Lysine--tRNA ligase OS=Homo sapiens OX=9606 GN=KARS1 PE=1 SV=3,4,4,6.5,4.18694249382544,4.30484830045098,24.5645346942338,24.3472596417294
Q9NS87;C9JKA9;D6RCT7;H7C1K7,Q9NS87;C9JKA9;D6RCT7,4;4;3;1,4;4;3;1,4;4;3;1,Kinesin-like protein KIF15;Kinesin-like protein,KIF15,sp|Q9NS87|KIF15_HUMAN Kinesin-like protein KIF15 OS=Homo sapiens OX=9606 GN=KIF15 PE=1 SV=1;tr|C9JKA9|C9JKA9_HUMAN Kinesin-like protein KIF15 OS=Homo sapiens OX=9606 GN=KIF15 PE=1 SV=1;tr|D6RCT7|D6RCT7_HUMAN Kinesin-like protein KIF15 (Fragment) OS=Homo sa,4,4,3.4,23.7161772433057,24.5154542465041,26.3787179347646,30.3556298546821
Q96Q89,Q96Q89,4,4,4,Kinesin-like protein KIF20B,KIF20B,sp|Q96Q89|KI20B_HUMAN Kinesin-like protein KIF20B OS=Homo sapiens OX=9606 GN=KIF20B PE=1 SV=3,4,4,2.4,23.2631304836088,23.9318390492876,4.42893354222385,4.39608992622293
O00139,O00139,5,5,4,Kinesin-like protein KIF2A,KIF2A,sp|O00139|KIF2A_HUMAN Kinesin-like protein KIF2A OS=Homo sapiens OX=9606 GN=KIF2A PE=1 SV=3,5,4,7.2,20.8704941623247,26.1876545704729,25.5009077522746,23.6263373527993
Q5VUJ6,Q5VUJ6,4,4,4,Leucine-rich repeat and calponin homology domain-containing protein 2,LRCH2,sp|Q5VUJ6|LRCH2_HUMAN Leucine-rich repeat and calponin homology domain-containing protein 2 OS=Homo sapiens OX=9606 GN=LRCH2 PE=1 SV=2,4,4,6.8,4.18694249382544,4.30484830045098,25.1981677348593,24.252630787398
Q9UFC0;H7C5S6;F8WDB4,Q9UFC0;H7C5S6,4;3;1,4;3;1,4;3;1,Leucine-rich repeat and WD repeat-containing protein 1,LRWD1,sp|Q9UFC0|LRWD1_HUMAN Leucine-rich repeat and WD repeat-containing protein 1 OS=Homo sapiens OX=9606 GN=LRWD1 PE=1 SV=2;tr|H7C5S6|H7C5S6_HUMAN Leucine-rich repeat and WD repeat-containing protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=LRWD1 PE=1 SV=1,4,4,7.3,24.744785396109,26.3932117173981,4.42893354222385,4.39608992622293
O94822;H7BYG8;S4R3T2,O94822;H7BYG8,4;3;1,4;3;1,4;3;1,E3 ubiquitin-protein ligase listerin,LTN1,sp|O94822|LTN1_HUMAN E3 ubiquitin-protein ligase listerin OS=Homo sapiens OX=9606 GN=LTN1 PE=1 SV=6;tr|H7BYG8|H7BYG8_HUMAN E3 ubiquitin-protein ligase listerin OS=Homo sapiens OX=9606 GN=LTN1 PE=1 SV=2,4,4,2.5,4.18694249382544,4.30484830045098,24.5156892523841,24.3599119907551
O95232;J3KPP4;D6RDI2;D6RHH0;U3KQT3,O95232;J3KPP4;D6RDI2,4;4;2;1;1,4;4;2;1;1,4;4;2;1;1,Luc7-like protein 3,LUC7L3,"sp|O95232|LC7L3_HUMAN Luc7-like protein 3 OS=Homo sapiens OX=9606 GN=LUC7L3 PE=1 SV=2;tr|J3KPP4|J3KPP4_HUMAN Cisplatin resistance-associated overexpressed protein, isoform CRA_b OS=Homo sapiens OX=9606 GN=LUC7L3 PE=1 SV=1;tr|D6RDI2|D6RDI2_HUMAN Luc7-like p",4,4,12.0,22.1818025501509,24.8681593991481,23.0216767535473,22.8855414773763
O15021;H7C1I9,O15021;H7C1I9,5;3,4;3,4;3,Microtubule-associated serine/threonine-protein kinase 4,MAST4,sp|O15021|MAST4_HUMAN Microtubule-associated serine/threonine-protein kinase 4 OS=Homo sapiens OX=9606 GN=MAST4 PE=1 SV=4;tr|H7C1I9|H7C1I9_HUMAN Microtubule-associated serine/threonine-protein kinase 4 (Fragment) OS=Homo sapiens OX=9606 GN=MAST4 PE=1 SV=1,5,4,2.2,4.18694249382544,4.30484830045098,24.7271277407627,23.909306418567
