WSB1_vs_zCtl,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
DPP3,0.0261908634,0.830575025656578,0,Q9NY33;G3V1D3;G3V180;E9PQ14;E9PNX5;E9PKK8;E9PPK9,Q9NY33;G3V1D3;G3V180;E9PQ14,7;7;7;5;2;2;2,7;7;7;5;2;2;2,7;7;7;5;2;2;2,Dipeptidyl peptidase 3,DPP3,sp|Q9NY33|DPP3_HUMAN Dipeptidyl peptidase 3 OS=Homo sapiens OX=9606 GN=DPP3 PE=1 SV=2;tr|G3V1D3|G3V1D3_HUMAN Dipeptidyl peptidase 3 OS=Homo sapiens OX=9606 GN=DPP3 PE=1 SV=1;tr|G3V180|G3V180_HUMAN Dipeptidyl peptidase 3 OS=Homo sapiens OX=9606 GN=DPP3 PE=1,7,7,13.4,737
API5,-0.3330727009,0.0793153011744854,0,Q9BZZ5;G3V1C3;E9PQK6;H0YER7,Q9BZZ5;G3V1C3,7;7;2;1,7;7;2;1,7;7;2;1,Apoptosis inhibitor 5,API5,sp|Q9BZZ5|API5_HUMAN Apoptosis inhibitor 5 OS=Homo sapiens OX=9606 GN=API5 PE=1 SV=3;tr|G3V1C3|G3V1C3_HUMAN Apoptosis inhibitor 5 OS=Homo sapiens OX=9606 GN=API5 PE=1 SV=1,7,7,12.4,524
GOLT1B,-0.1247465159,0.246941335665125,0,Q9Y3E0;G3V1U5;F5H6U7,Q9Y3E0;G3V1U5;F5H6U7,2;2;1,2;2;1,2;2;1,Vesicle transport protein GOT1B,GOLT1B,"sp|Q9Y3E0|GOT1B_HUMAN Vesicle transport protein GOT1B OS=Homo sapiens OX=9606 GN=GOLT1B PE=1 SV=1;tr|G3V1U5|G3V1U5_HUMAN Golgi transport 1 homolog B (S. cerevisiae), isoform CRA_c OS=Homo sapiens OX=9606 GN=GOLT1B PE=1 SV=1;tr|F5H6U7|F5H6U7_HUMAN Vesicle t",2,2,20.3,138
RPL18,0.3957384177,0.0132223557556831,0,Q07020;G3V203;H0YHA7;J3QQ67;F8VUA6,Q07020;G3V203;H0YHA7;J3QQ67;F8VUA6,12;12;12;12;8,12;12;12;12;8,4;4;4;4;4,60S ribosomal protein L18,RPL18,sp|Q07020|RL18_HUMAN 60S ribosomal protein L18 OS=Homo sapiens OX=9606 GN=RPL18 PE=1 SV=2;tr|G3V203|G3V203_HUMAN 60S ribosomal protein L18 OS=Homo sapiens OX=9606 GN=RPL18 PE=1 SV=1;tr|H0YHA7|H0YHA7_HUMAN 60S ribosomal protein L18 (Fragment) OS=Homo sapien,12,4,38.3,188
MAX,-0.0308013156,0.844983873909215,0,P61244;Q6V3B1;G3V563;G3V5L1;G3V2R5,P61244;Q6V3B1;G3V563;G3V5L1;G3V2R5,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1,Protein max,MAX,sp|P61244|MAX_HUMAN Protein max OS=Homo sapiens OX=9606 GN=MAX PE=1 SV=1;tr|Q6V3B1|Q6V3B1_HUMAN MAX protein OS=Homo sapiens OX=9606 GN=MAX PE=1 SV=1;tr|G3V563|G3V563_HUMAN Protein max OS=Homo sapiens OX=9606 GN=MAX PE=1 SV=1;tr|G3V5L1|G3V5L1_HUMAN Protein ,1,1,9.4,160
SNW1,-0.3186240132,0.0858409838843998,0,Q13573;G3V3A4;G3V4X8;G3V5R3,Q13573;G3V3A4;G3V4X8,8;8;5;3,8;8;5;3,8;8;5;3,SNW domain-containing protein 1,SNW1,sp|Q13573|SNW1_HUMAN SNW domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SNW1 PE=1 SV=1;tr|G3V3A4|G3V3A4_HUMAN SNW domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SNW1 PE=1 SV=1;tr|G3V4X8|G3V4X8_HUMAN SNW domain-containing protein 1 OS=Homo s,8,8,22,536
PSMA6,0.0061388336,0.961926121483734,0,P60900;G3V5Z7;G3V295;G3V3I1;G3V3U4;G3V4S5;G3V2S7;H0YJC4,P60900;G3V5Z7;G3V295;G3V3I1,15;15;14;12;7;3;3;1,15;15;14;12;7;3;3;1,15;15;14;12;7;3;3;1,Proteasome subunit alpha type-6;Proteasome subunit alpha type,PSMA6,sp|P60900|PSA6_HUMAN Proteasome subunit alpha type-6 OS=Homo sapiens OX=9606 GN=PSMA6 PE=1 SV=1;tr|G3V5Z7|G3V5Z7_HUMAN Proteasome subunit alpha type OS=Homo sapiens OX=9606 GN=PSMA6 PE=1 SV=1;tr|G3V295|G3V295_HUMAN Proteasome subunit alpha type OS=Homo sap,15,15,51.2,246
MRPS22,0.0575379947,0.820778414504714,0,P82650;G5E9W7;G5E9V5;H7C5L9;H7C5H3;H7C5F2,P82650;G5E9W7;G5E9V5;H7C5L9;H7C5H3,6;6;6;5;3;1,6;6;6;5;3;1,6;6;6;5;3;1,"28S ribosomal protein S22, mitochondrial",MRPS22,"sp|P82650|RT22_HUMAN 28S ribosomal protein S22, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS22 PE=1 SV=1;tr|G5E9W7|G5E9W7_HUMAN 28S ribosomal protein S22, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS22 PE=1 SV=1;tr|G5E9V5|G5E9V5_HUMAN 28S ribosomal prote",6,6,13.6,360
CELF1,-0.3869880365,0.0130536934424961,0,G5EA30;Q92879;E9PKU1;E9PQK4;E9PSH0;F5H0D8;A0A0J9YX66;A0A1B0GUN8;E9PC62;A0A1B0GU44;A0A0J9YXJ0;Q5VZZ6;O95319;F5H4Y5;V9GYD9;F5H3J7;E9PKA1,G5EA30;Q92879;E9PKU1,10;8;6;4;4;4;3;3;3;3;3;3;3;2;2;2;1,10;8;6;4;4;4;3;3;3;3;3;3;3;2;2;2;1,10;8;6;4;4;4;3;3;3;3;3;3;3;2;2;2;1,CUGBP Elav-like family member 1,CELF1,"tr|G5EA30|G5EA30_HUMAN CUG triplet repeat, RNA binding protein 1, isoform CRA_c OS=Homo sapiens OX=9606 GN=CELF1 PE=1 SV=1;sp|Q92879|CELF1_HUMAN CUGBP Elav-like family member 1 OS=Homo sapiens OX=9606 GN=CELF1 PE=1 SV=2;tr|E9PKU1|E9PKU1_HUMAN CUGBP Elav-li",10,10,20.8,514
SEC24C,-0.2167330711,0.143505669390942,0,P53992;G5EA31;O94855,P53992;G5EA31,9;9;1,9;9;1,9;9;1,Protein transport protein Sec24C,SEC24C,sp|P53992|SC24C_HUMAN Protein transport protein Sec24C OS=Homo sapiens OX=9606 GN=SEC24C PE=1 SV=3;tr|G5EA31|G5EA31_HUMAN Protein transport protein Sec24C OS=Homo sapiens OX=9606 GN=SEC24C PE=1 SV=1,9,9,10.3,1094
AMPD2,0.4479223815,0.0158358192150851,0,H0Y360;Q01433;A0A5F9UK94;A0A590UK85;A0A590UJY6;E9PJF6;A0A590UJX5;E9PIJ1,H0Y360;Q01433;A0A5F9UK94;A0A590UK85;A0A590UJY6,11;10;10;6;6;4;2;1,11;10;10;6;6;4;2;1,11;10;10;6;6;4;2;1,AMP deaminase 2,AMPD2,tr|H0Y360|H0Y360_HUMAN AMP deaminase OS=Homo sapiens OX=9606 GN=AMPD2 PE=1 SV=2;sp|Q01433|AMPD2_HUMAN AMP deaminase 2 OS=Homo sapiens OX=9606 GN=AMPD2 PE=1 SV=2;tr|A0A5F9UK94|A0A5F9UK94_HUMAN AMP deaminase OS=Homo sapiens OX=9606 GN=AMPD2 PE=1 SV=1;tr|A0A5,11,11,15.3,836
,-0.9820139774,0.000602476562926264,0,H0Y858;Q9NR96,H0Y858,3;1,2;1,1;1,,,tr|H0Y858|H0Y858_HUMAN Uncharacterized protein (Fragment) OS=Homo sapiens OX=9606 PE=4 SV=1,3,1,2.9,1186
HNRNPD,0.0530030695,0.627513236422543,0,Q14103;H0Y8G5;H0YA96;D6RAF8;D6RF44;D6RBQ9;D6RD83,Q14103;H0Y8G5;H0YA96;D6RAF8;D6RF44;D6RBQ9,15;15;14;14;10;8;7,15;15;14;14;10;8;7,13;13;12;12;8;6;7,Heterogeneous nuclear ribonucleoprotein D0,HNRNPD,sp|Q14103|HNRPD_HUMAN Heterogeneous nuclear ribonucleoprotein D0 OS=Homo sapiens OX=9606 GN=HNRNPD PE=1 SV=1;tr|H0Y8G5|H0Y8G5_HUMAN Heterogeneous nuclear ribonucleoprotein D0 (Fragment) OS=Homo sapiens OX=9606 GN=HNRNPD PE=1 SV=8;tr|H0YA96|H0YA96_HUMAN Het,15,13,32.1,355
DNPH1,-0.7360249362,0.0109484181636472,0,O43598;H0Y8X4,O43598;H0Y8X4,2;2,2;2,2;2,2-deoxynucleoside 5-phosphate N-hydrolase 1,DNPH1,sp|O43598|DNPH1_HUMAN 2-deoxynucleoside 5-phosphate N-hydrolase 1 OS=Homo sapiens OX=9606 GN=DNPH1 PE=1 SV=1;tr|H0Y8X4|H0Y8X4_HUMAN 2-deoxynucleoside 5-phosphate N-hydrolase 1 (Fragment) OS=Homo sapiens OX=9606 GN=DNPH1 PE=1 SV=1,2,2,16.1,174
RRM2B,-1.3722910059,0.0307591175310105,1,Q7LG56;H0YAV1;A0A0C4DGZ6,Q7LG56;H0YAV1;A0A0C4DGZ6,4;4;2,4;4;2,4;4;2,Ribonucleoside-diphosphate reductase subunit M2 B,RRM2B,sp|Q7LG56|RIR2B_HUMAN Ribonucleoside-diphosphate reductase subunit M2 B OS=Homo sapiens OX=9606 GN=RRM2B PE=1 SV=1;tr|H0YAV1|H0YAV1_HUMAN Ribonucleoside-diphosphate reductase subunit M2 B (Fragment) OS=Homo sapiens OX=9606 GN=RRM2B PE=1 SV=1;tr|A0A0C4DGZ6|,4,4,11.1,351
TPD52,-0.1268158628,0.330560960229081,0,H0YC42;P55327;E5RK35;E5RFR7;H0YC44,H0YC42;P55327,8;6;1;1;1,8;6;1;1;1,6;6;1;1;1,Tumor protein D52,TPD52,tr|H0YC42|H0YC42_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 PE=1 SV=2;sp|P55327|TPD52_HUMAN Tumor protein D52 OS=Homo sapiens OX=9606 GN=TPD52 PE=1 SV=2,8,6,35.3,278
DAK;TKFC,-0.8135617829,0.0315390059371762,0,Q3LXA3;I3L252;H0YCY6,Q3LXA3;I3L252;H0YCY6,2;2;2,2;2;2,2;2;2,Bifunctional ATP-dependent dihydroxyacetone kinase/FAD-AMP lyase (cyclizing);ATP-dependent dihydroxyacetone kinase;FAD-AMP lyase (cyclizing),DAK;TKFC,sp|Q3LXA3|TKFC_HUMAN Triokinase/FMN cyclase OS=Homo sapiens OX=9606 GN=TKFC PE=1 SV=2;tr|I3L252|I3L252_HUMAN Triokinase/FMN cyclase (Fragment) OS=Homo sapiens OX=9606 GN=TKFC PE=1 SV=1;tr|H0YCY6|H0YCY6_HUMAN Triokinase/FMN cyclase (Fragment) OS=Homo sapien,2,2,3.5,575
CD44,-0.0635183068,0.775444232102211,0,P16070;H0YD13;H0Y2P0;H0YDW7;H0YCV9;H0Y5E4;E9PKC6;H0YE40;Q86UZ1;H0YDX6;H0YD17;J3KN83,P16070;H0YD13;H0Y2P0;H0YDW7;H0YCV9;H0Y5E4,7;7;6;4;4;4;3;3;2;2;2;1,7;7;6;4;4;4;3;3;2;2;2;1,7;7;6;4;4;4;3;3;2;2;2;1,CD44 antigen,CD44,sp|P16070|CD44_HUMAN CD44 antigen OS=Homo sapiens OX=9606 GN=CD44 PE=1 SV=3;tr|H0YD13|H0YD13_HUMAN CD44 antigen OS=Homo sapiens OX=9606 GN=CD44 PE=1 SV=2;tr|H0Y2P0|H0Y2P0_HUMAN CD44 antigen (Fragment) OS=Homo sapiens OX=9606 GN=CD44 PE=1 SV=1;tr|H0YDW7|H0Y,7,7,12.3,742
PPP5C,-1.7127288263,0.0236602089758248,1,P53041;H0YDU8;A8MU39,P53041;H0YDU8;A8MU39,5;5;3,5;5;3,5;5;3,Serine/threonine-protein phosphatase 5;Serine/threonine-protein phosphatase,PPP5C,sp|P53041|PPP5_HUMAN Serine/threonine-protein phosphatase 5 OS=Homo sapiens OX=9606 GN=PPP5C PE=1 SV=1;tr|H0YDU8|H0YDU8_HUMAN Serine/threonine-protein phosphatase (Fragment) OS=Homo sapiens OX=9606 GN=PPP5C PE=1 SV=1;tr|A8MU39|A8MU39_HUMAN Serine/threonine,5,5,11,499
HADHA,-0.1360310978,0.27883193735471,0,P40939;H0YFD6;A0A2R8Y4F5;A0A2R8YG21;A0A2R8Y688,P40939;H0YFD6;A0A2R8Y4F5;A0A2R8YG21,29;29;25;17;9,29;29;25;17;9,29;29;25;17;9,"Trifunctional enzyme subunit alpha, mitochondrial;Long-chain enoyl-CoA hydratase;Long chain 3-hydroxyacyl-CoA dehydrogenase",HADHA,"sp|P40939|ECHA_HUMAN Trifunctional enzyme subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=HADHA PE=1 SV=2;tr|H0YFD6|H0YFD6_HUMAN Trifunctional enzyme subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=HADHA PE=1 SV=2;tr|A0A2R8Y4F5|A0A2R8Y4F5_H",29,29,45.7,763
REXO2,-0.2482933276,0.122764468916752,0,Q9Y3B8;H0YG54;H0YGR4;F5GYG5,Q9Y3B8;H0YG54;H0YGR4;F5GYG5,8;8;8;6,8;8;8;6,8;8;8;6,"Oligoribonuclease, mitochondrial",REXO2,"sp|Q9Y3B8|ORN_HUMAN Oligoribonuclease, mitochondrial OS=Homo sapiens OX=9606 GN=REXO2 PE=1 SV=3;tr|H0YG54|H0YG54_HUMAN Oligoribonuclease, mitochondrial OS=Homo sapiens OX=9606 GN=REXO2 PE=1 SV=2;tr|H0YGR4|H0YGR4_HUMAN Oligoribonuclease, mitochondrial (Frag",8,8,30.4,237
YARS2,0.3765156838,0.0692175371010744,0,Q9Y2Z4;H0YHS6,Q9Y2Z4;H0YHS6,6;6,6;6,6;6,"Tyrosine--tRNA ligase, mitochondrial;Tyrosine--tRNA ligase",YARS2,"sp|Q9Y2Z4|SYYM_HUMAN Tyrosine--tRNA ligase, mitochondrial OS=Homo sapiens OX=9606 GN=YARS2 PE=1 SV=2;tr|H0YHS6|H0YHS6_HUMAN Tyrosine--tRNA ligase (Fragment) OS=Homo sapiens OX=9606 GN=YARS2 PE=1 SV=1",6,6,14.7,477
RPL28,0.1624972587,0.228424328578403,0,P46779;H0YMF4;H0YKD8;H0YLP6,P46779;H0YMF4;H0YKD8;H0YLP6,10;10;10;7,10;10;10;7,10;10;10;7,60S ribosomal protein L28,RPL28,sp|P46779|RL28_HUMAN 60S ribosomal protein L28 OS=Homo sapiens OX=9606 GN=RPL28 PE=1 SV=3;tr|H0YMF4|H0YMF4_HUMAN 60S ribosomal protein L28 OS=Homo sapiens OX=9606 GN=RPL28 PE=1 SV=1;tr|H0YKD8|H0YKD8_HUMAN 60S ribosomal protein L28 OS=Homo sapiens OX=9606 G,10,10,46,137
TMOD3,0.1912106742,0.42604849366438,0,Q9NYL9;H0YKU1;H0YNJ8,Q9NYL9;H0YKU1;H0YNJ8,4;4;4,4;4;4,4;4;4,Tropomodulin-3,TMOD3,sp|Q9NYL9|TMOD3_HUMAN Tropomodulin-3 OS=Homo sapiens OX=9606 GN=TMOD3 PE=1 SV=1;tr|H0YKU1|H0YKU1_HUMAN Tropomodulin-3 (Fragment) OS=Homo sapiens OX=9606 GN=TMOD3 PE=1 SV=1;tr|H0YNJ8|H0YNJ8_HUMAN Tropomodulin-3 OS=Homo sapiens OX=9606 GN=TMOD3 PE=1 SV=1,4,4,15.6,352
PSMA4,-0.1037390967,0.317867091502307,0,P25789;H0YMZ1;H0YL69;H0YMA1;H0YMI6;H0YN18;H0YKT8;H0YKS0;H0YLC2;H0YLS6;H0YMV3,P25789;H0YMZ1;H0YL69;H0YMA1;H0YMI6;H0YN18;H0YKT8;H0YKS0;H0YLC2,9;9;9;8;7;7;6;5;5;3;2,9;9;9;8;7;7;6;5;5;3;2,9;9;9;8;7;7;6;5;5;3;2,Proteasome subunit alpha type-4;Proteasome subunit alpha type;Proteasome subunit beta type,PSMA4,sp|P25789|PSA4_HUMAN Proteasome subunit alpha type-4 OS=Homo sapiens OX=9606 GN=PSMA4 PE=1 SV=1;tr|H0YMZ1|H0YMZ1_HUMAN Proteasome subunit alpha type (Fragment) OS=Homo sapiens OX=9606 GN=PSMA4 PE=1 SV=8;tr|H0YL69|H0YL69_HUMAN Proteasome subunit alpha type ,9,9,52.1,261
IDH3A,0.3083416262,0.656022409038812,0,P50213;H0YL72;H0YMU3;H0YM64;H0YM46;H0YNF5;H0YKD0;H0YLI6,P50213;H0YL72;H0YMU3,4;4;2;1;1;1;1;1,4;4;2;1;1;1;1;1,4;4;2;1;1;1;1;1,"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial",IDH3A,"sp|P50213|IDH3A_HUMAN Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=IDH3A PE=1 SV=1;tr|H0YL72|H0YL72_HUMAN Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=IDH3A PE=1 SV=1;tr|H0",4,4,11.7,366
RPS27L;RPS27,-0.2594306436,0.150199247846155,0,Q71UM5;H0YMV8;P42677;C9JLI6;C9J1C5,Q71UM5;H0YMV8;P42677;C9JLI6,4;4;3;3;1,4;4;3;3;1,4;4;3;3;1,40S ribosomal protein S27-like;40S ribosomal protein S27,RPS27L;RPS27,sp|Q71UM5|RS27L_HUMAN 40S ribosomal protein S27-like OS=Homo sapiens OX=9606 GN=RPS27L PE=1 SV=3;tr|H0YMV8|H0YMV8_HUMAN 40S ribosomal protein S27 OS=Homo sapiens OX=9606 GN=RPS27L PE=1 SV=1;sp|P42677|RS27_HUMAN 40S ribosomal protein S27 OS=Homo sapiens OX=,4,4,41.7,84
ANP32A,-0.0691136538,0.754336259081696,0,P39687;H0YN26;H7BZ09;O43423,P39687;H0YN26,7;7;2;1,7;7;2;1,6;6;2;1,Acidic leucine-rich nuclear phosphoprotein 32 family member A,ANP32A,sp|P39687|AN32A_HUMAN Acidic leucine-rich nuclear phosphoprotein 32 family member A OS=Homo sapiens OX=9606 GN=ANP32A PE=1 SV=1;tr|H0YN26|H0YN26_HUMAN Acidic leucine-rich nuclear phosphoprotein 32 family member A OS=Homo sapiens OX=9606 GN=ANP32A PE=1 SV=1,7,6,24.5,249
DUT,0.2104445334,0.332639792905993,0,P33316;H0YNW5;A0A0C4DGL3;H0YKC5;H0YMP1;H0YMM5;H0YNJ9;H0YKI0,P33316;H0YNW5;A0A0C4DGL3;H0YKC5;H0YMP1;H0YMM5;H0YNJ9;H0YKI0,5;5;4;4;3;3;3;3,5;5;4;4;3;3;3;3,5;5;4;4;3;3;3;3,"Deoxyuridine 5-triphosphate nucleotidohydrolase, mitochondrial",DUT,"sp|P33316|DUT_HUMAN Deoxyuridine 5-triphosphate nucleotidohydrolase, mitochondrial OS=Homo sapiens OX=9606 GN=DUT PE=1 SV=4;tr|H0YNW5|H0YNW5_HUMAN Deoxyuridine 5-triphosphate nucleotidohydrolase OS=Homo sapiens OX=9606 GN=DUT PE=1 SV=1;tr|A0A0C4DGL3|A0A0",5,5,26.2,252
RNPS1,-0.5002498695,0.0251552877255792,0,Q15287;H3BV80;H3BMM9;H3BTC0;H3BPG5;H3BMS0,Q15287;H3BV80;H3BMM9;H3BTC0;H3BPG5;H3BMS0,4;4;4;4;3;3,4;4;4;4;3;3,4;4;4;4;3;3,RNA-binding protein with serine-rich domain 1,RNPS1,sp|Q15287|RNPS1_HUMAN RNA-binding protein with serine-rich domain 1 OS=Homo sapiens OX=9606 GN=RNPS1 PE=1 SV=1;tr|H3BV80|H3BV80_HUMAN RNA-binding protein with serine-rich domain 1 OS=Homo sapiens OX=9606 GN=RNPS1 PE=1 SV=2;tr|H3BMM9|H3BMM9_HUMAN RNA-bindin,4,4,21.6,305
IST1,-0.3570954472,0.0230215421953977,0,P53990;H3BMU1;H3BUI0;H3BQF7;J3KR23;F5GXM3;H3BQ38;E9PF00;H3BPP6;H3BRE2,P53990;H3BMU1;H3BUI0;H3BQF7;J3KR23;F5GXM3,4;4;4;3;3;2;1;1;1;1,4;4;4;3;3;2;1;1;1;1,4;4;4;3;3;2;1;1;1;1,IST1 homolog,IST1,sp|P53990|IST1_HUMAN IST1 homolog OS=Homo sapiens OX=9606 GN=IST1 PE=1 SV=1;tr|H3BMU1|H3BMU1_HUMAN IST1 homolog (Fragment) OS=Homo sapiens OX=9606 GN=IST1 PE=1 SV=1;tr|H3BUI0|H3BUI0_HUMAN IST1 homolog (Fragment) OS=Homo sapiens OX=9606 GN=IST1 PE=1 SV=1;tr,4,4,9.6,364
HN1L,-0.254912295,0.097313865347017,0,Q9H910;H3BMV3;H3BMM8;B4E1P3;H3BS08,Q9H910;H3BMV3;H3BMM8;B4E1P3,6;6;4;4;2,6;6;4;4;2,2;2;2;2;2,Hematological and neurological expressed 1-like protein,HN1L,sp|Q9H910|JUPI2_HUMAN Jupiter microtubule associated homolog 2 OS=Homo sapiens OX=9606 GN=JPT2 PE=1 SV=1;tr|H3BMV3|H3BMV3_HUMAN Jupiter microtubule-associated homolog 2 (Fragment) OS=Homo sapiens OX=9606 GN=JPT2 PE=1 SV=1;tr|H3BMM8|H3BMM8_HUMAN Jupiter mic,6,2,45.8,190
,-0.3162124406,0.0899203274618694,0,H3BN98;Q15041;H3BPJ2,H3BN98,7;1;1,1;1;1,1;1;1,,,tr|H3BN98|H3BN98_HUMAN Uncharacterized protein (Fragment) OS=Homo sapiens OX=9606 PE=4 SV=2,7,1,22.8,237
RPS17,0.3886559674,0.0187591405404058,0,P08708;H3BNC9;H0YN88;A0A075B716;H0YN73;A0A0J9YYC4,P08708;H3BNC9;H0YN88;A0A075B716,14;14;12;12;6;2,14;14;12;12;6;2,14;14;12;12;6;2,40S ribosomal protein S17,RPS17,sp|P08708|RS17_HUMAN 40S ribosomal protein S17 OS=Homo sapiens OX=9606 GN=RPS17 PE=1 SV=2;tr|H3BNC9|H3BNC9_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 PE=3 SV=2;tr|H0YN88|H0YN88_HUMAN 40S ribosomal protein S17 OS=Homo sapiens OX=9606 GN=RPS17 PE=,14,14,72.6,135
COX5A,-0.1328679811,0.213760311463724,0,P20674;H3BNX8;H3BRM5;H3BV69;H3BRI0,P20674;H3BNX8;H3BRM5;H3BV69,5;5;3;3;1,5;5;3;3;1,5;5;3;3;1,"Cytochrome c oxidase subunit 5A, mitochondrial",COX5A,"sp|P20674|COX5A_HUMAN Cytochrome c oxidase subunit 5A, mitochondrial OS=Homo sapiens OX=9606 GN=COX5A PE=1 SV=2;tr|H3BNX8|H3BNX8_HUMAN Cytochrome c oxidase subunit 5A, mitochondrial OS=Homo sapiens OX=9606 GN=COX5A PE=1 SV=1;tr|H3BRM5|H3BRM5_HUMAN Cytochro",5,5,32.7,150
HEXA,-0.4598050093,0.067344992647661,0,P06865;H3BS10;H3BP20;H3BU85;H3BTD4,P06865;H3BS10;H3BP20,3;3;3;1;1,3;3;3;1;1,3;3;3;1;1,Beta-hexosaminidase subunit alpha;Beta-hexosaminidase,HEXA,sp|P06865|HEXA_HUMAN Beta-hexosaminidase subunit alpha OS=Homo sapiens OX=9606 GN=HEXA PE=1 SV=2;tr|H3BS10|H3BS10_HUMAN Beta-hexosaminidase OS=Homo sapiens OX=9606 GN=HEXA PE=1 SV=1;tr|H3BP20|H3BP20_HUMAN Beta-hexosaminidase OS=Homo sapiens OX=9606 GN=HEXA,3,3,6.8,529
MVD,-1.5350925135,0.0725833270445596,0,P53602;H3BP35,P53602;H3BP35,2;2,2;2,2;2,Diphosphomevalonate decarboxylase,MVD,sp|P53602|MVD1_HUMAN Diphosphomevalonate decarboxylase OS=Homo sapiens OX=9606 GN=MVD PE=1 SV=1;tr|H3BP35|H3BP35_HUMAN Diphosphomevalonate decarboxylase (Fragment) OS=Homo sapiens OX=9606 GN=MVD PE=1 SV=1,2,2,5.8,400
FUS,0.2642613908,0.127528699874176,0,P35637;H3BPE7,P35637;H3BPE7,6;6,6;6,5;5,RNA-binding protein FUS,FUS,sp|P35637|FUS_HUMAN RNA-binding protein FUS OS=Homo sapiens OX=9606 GN=FUS PE=1 SV=1;tr|H3BPE7|H3BPE7_HUMAN RNA-binding protein FUS OS=Homo sapiens OX=9606 GN=FUS PE=1 SV=1,6,5,10.5,526
NDUFB10,-0.6500163846,0.00309523421190768,0,O96000;H3BPJ9;H3BV16,O96000;H3BPJ9;H3BV16,2;2;1,2;2;1,2;2;1,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10,NDUFB10,sp|O96000|NDUBA_HUMAN NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10 OS=Homo sapiens OX=9606 GN=NDUFB10 PE=1 SV=3;tr|H3BPJ9|H3BPJ9_HUMAN NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10 OS=Homo sapiens OX=9606 GN=NDUFB10 PE=1 SV=1,2,2,17.4,172
RBMX;RBMXL1,-0.0159935156,0.94202491497219,0,P38159;H3BT71;H0Y6E7;H3BR27;Q96E39;A0A1B0GUK8;O75526;H3BNC1;H3BUY5;Q8N7X1,P38159;H3BT71;H0Y6E7;H3BR27;Q96E39,14;14;13;9;8;5;4;4;3;1,14;14;13;9;8;5;4;4;3;1,14;14;13;9;8;5;4;4;3;1,"RNA-binding motif protein, X chromosome;RNA-binding motif protein, X chromosome, N-terminally processed;RNA binding motif protein, X-linked-like-1",RBMX;RBMXL1,"sp|P38159|RBMX_HUMAN RNA-binding motif protein, X chromosome OS=Homo sapiens OX=9606 GN=RBMX PE=1 SV=3;tr|H3BT71|H3BT71_HUMAN RNA-binding motif protein, X chromosome OS=Homo sapiens OX=9606 GN=RBMX PE=1 SV=1;tr|H0Y6E7|H0Y6E7_HUMAN RNA-binding motif protein",14,14,35.8,391
DHX30,0.2868370451,0.0408541422778457,0,Q7L2E3;H7BXY3,Q7L2E3;H7BXY3,7;7,7;7,7;7,Putative ATP-dependent RNA helicase DHX30,DHX30,sp|Q7L2E3|DHX30_HUMAN ATP-dependent RNA helicase DHX30 OS=Homo sapiens OX=9606 GN=DHX30 PE=1 SV=1;tr|H7BXY3|H7BXY3_HUMAN ATP-dependent RNA helicase DHX30 OS=Homo sapiens OX=9606 GN=DHX30 PE=1 SV=1,7,7,6.8,1194
PDIA3,-0.2002183499,0.104460628837113,0,H7BZJ3,H7BZJ3,8,1,1,,PDIA3,tr|H7BZJ3|H7BZJ3_HUMAN Protein disulfide-isomerase A3 (Fragment) OS=Homo sapiens OX=9606 GN=PDIA3 PE=1 SV=1,8,1,58.5,123
TRIM4,0.4129579726,0.0551481601841189,0,Q9C037;H7C0Q6,Q9C037;H7C0Q6,2;2,2;2,2;2,E3 ubiquitin-protein ligase TRIM4,TRIM4,sp|Q9C037|TRIM4_HUMAN E3 ubiquitin-protein ligase TRIM4 OS=Homo sapiens OX=9606 GN=TRIM4 PE=1 SV=2;tr|H7C0Q6|H7C0Q6_HUMAN E3 ubiquitin-protein ligase TRIM4 (Fragment) OS=Homo sapiens OX=9606 GN=TRIM4 PE=1 SV=1,2,2,2.6,500
