Gene_names,DCAF17_vs_zBirA_logFC,DCAF17_vs_zBirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_DCAF17_N1,Peptides_DCAF17_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_DCAF17_N1,Razor___unique_peptides_DCAF17_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_DCAF17_N1,Unique_peptides_DCAF17_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_DCAF17_N1,Identification_type_DCAF17_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_DCAF17_N1,Ratio_H_L_DCAF17_N2,X,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_DCAF17_N1,Ratio_H_L_normalized_DCAF17_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____DCAF17_N1,Ratio_H_L_variability_____DCAF17_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_DCAF17_N1,Ratio_H_L_count_DCAF17_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_DCAF17_N1,Ratio_H_L_iso_count_DCAF17_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_DCAF17_N1,Ratio_H_L_type_DCAF17_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_DCAF17_N1____,Sequence_coverage_DCAF17_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_DCAF17_N1,Intensity_L_DCAF17_N1,Intensity_H_DCAF17_N1,Intensity_DCAF17_N2,Intensity_L_DCAF17_N2,Intensity_H_DCAF17_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_DCAF17_N1,metacell_Intensity_L_DCAF17_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
EIF4A1,-0.644869351514799,0.0394487151372698,P60842;J3KT12;J3QS69;J3QL43;J3KTB5;J3QR64;J3QLN6;J3KSZ0;J3KS25;J3QKZ9;J3KTN0;J3KT04;J3KS93;J3QL52;J3KSN7;E7EMV8;J3QQP0;F8WE11;E9PBH4,P60842;J3KT12;J3QS69;J3QL43;J3KTB5;J3QR64;J3QLN6;J3KSZ0,27;22;19;18;18;15;14;14;12;12;7;4;4;4;2;2;2;1;1,27;22;19;18;18;15;14;14;12;12;7;4;4;4;2;2;2;1;1,16;14;11;10;12;10;9;8;8;8;3;2;2;2;0;0;1;0;0,Eukaryotic initiation factor 4A-I,sp|P60842|IF4A1_HUMAN Eukaryotic initiation factor 4A-I OS=Homo sapiens OX=9606 GN=EIF4A1 PE=1 SV=1;tr|J3KT12|J3KT12_HUMAN Eukaryotic initiation factor 4A-I OS=Homo sapiens OX=9606 GN=EIF4A1 PE=1 SV=1;tr|J3QS69|J3QS69_HUMAN Eukaryotic initiation factor 4A-,19,27,27,16,20,22,22,19,20,22,22,19,12,13,13,9,59.1,59.1,39.4,46.153,406,406;341;300;271;257;214;163;230;187;134;117;85;85;68;109;98;95;97;96,0.0,255.52,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.40749,1.2621,24.793,117,16,Leave out requantified,0.40551,0.39129,0.34144,0.51519,,1.3877,1.1219,1.1459,1.2907,22.207,20.103,27.487,16.933,24,27,36,30,1,4,10,1,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,51.7,56.2,54.9,53.9,25416000000,17799000000,7616800000,4593000000,3266300000,1326600000,5398100000,3785100000,1613000000,7672700000,5654800000,2017900000,7752300000,5092900000,2659300000,,,,1865,522;980;981;2089;2090;2766;2767;5487;5679;5680;5799;6419;6579;7913;8744;8843;9202;11179;12353;14102;14730;18282;18283;18906;19652;19653;20314,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,548;1039;1040;2237;2238;2960;2961;5879;6087;6088;6221;6222;6902;6903;7081;8536;8537;9416;9529;9921;12039;12040;13278;13279;15110;15767;19514;19515;19516;20207;20208;21010;21011;21697,1457;1458;1459;2812;2813;2814;2815;2816;2817;2818;6272;6273;6274;6275;8221;8222;8223;8224;8225;8226;8227;8228;8229;8230;8231;15524;15525;15526;15527;15528;15529;16071;16072;16073;16074;16075;16511;16512;16513;16514;16515;16516;16517;16518;16519;16520;16521;16522;16523;16524;18311;18312;18313;18314;18315;18316;18317;18318;18785;18786;18787;18788;22879;22880;22881;22882;25243;25563;25564;25565;25566;25567;25568;26642;26643;32440;32441;32442;32443;32444;32445;32446;35654;35655;35656;35657;35658;35659;40469;40470;42154;42155;42156;52320;52321;52322;52323;52324;52325;52326;52327;52328;52329;52330;52331;52332;54322;54323;54324;54325;54326;54327;56519;56520;56521;56522;56523;58342,2618;2619;2620;2621;2622;2623;2624;2625;2626;2627;2628;2629;2630;2631;2632;2633;5121;5122;5123;5124;5125;5126;5127;5128;5129;5130;5131;5132;5133;5134;11731;11732;11733;11734;11735;11736;11737;11738;11739;11740;11741;15481;15482;15483;15484;15485;15486;15487;15488;15489;15490;15491;15492;15493;15494;15495;15496;15497;15498;15499;15500;15501;15502;15503;15504;15505;15506;28858;28859;28860;28861;28862;28863;28864;28865;28866;28867;28868;29879;29880;29881;29882;29883;29884;29885;29886;29887;29888;30704;30705;30706;30707;30708;30709;30710;30711;30712;30713;30714;30715;30716;30717;30718;30719;30720;30721;30722;30723;30724;30725;30726;30727;30728;30729;30730;30731;30732;30733;33923;33924;33925;33926;33927;33928;33929;33930;33931;33932;33933;33934;33935;34755;34756;34757;34758;34759;34760;34761;34762;34763;42640;42641;42642;42643;42644;42645;42646;47077;47641;47642;47643;47644;47645;47646;47647;47648;47649;49439;49440;49441;59963;59964;59965;59966;59967;59968;59969;59970;59971;59972;59973;59974;59975;59976;59977;59978;65732;65733;65734;65735;65736;65737;65738;65739;65740;65741;65742;65743;65744;65745;65746;65747;65748;65749;65750;65751;65752;65753;65754;65755;65756;65757;74647;74648;74649;77455;77456;77457;77458;77459;96874;96875;96876;96877;96878;96879;96880;96881;96882;96883;96884;96885;96886;96887;96888;96889;96890;96891;96892;96893;100735;100736;100737;100738;100739;100740;100741;100742;100743;100744;100745;100746;100747;100748;100749;100750;100751;100752;100753;100754;100755;105045;105046;105047;105048;105049;105050;105051;105052;105053;105054;108186,2620;5121;5133;11731;11740;15484;15503;28867;29879;29880;30712;33926;34758;42644;47077;47641;49441;59968;65734;74647;77459;96876;96886;100752;105045;105054;108186,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_1866,quanti,quanti,quanti,quanti
RPS20,-0.89284020488369,0.0851352210241535,P60866;E5RJX2;E5RIP1;G3XAN0,P60866;E5RJX2,9;7;4;2,9;7;4;2,9;7;4;2,40S ribosomal protein S20,sp|P60866|RS20_HUMAN 40S ribosomal protein S20 OS=Homo sapiens OX=9606 GN=RPS20 PE=1 SV=1;tr|E5RJX2|E5RJX2_HUMAN 40S ribosomal protein S20 OS=Homo sapiens OX=9606 GN=RPS20 PE=1 SV=1,4,9,9,9,7,7,7,6,7,7,7,6,7,7,7,6,50.4,50.4,50.4,13.373,119,119;61;46;64,0.0,40.381,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.26414,0.79498,24.619,37,12,Leave out requantified,0.25403,0.25099,0.20245,0.35257,,0.8979,0.71818,0.70593,0.93848,69.621,14.268,9.6518,12.106,9,9,9,10,5,0,5,2,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,50.4,50.4,41.2,37.8,6979800000,5502500000,1477300000,1825300000,1507100000,318180000,1184800000,937280000,247480000,2004100000,1597700000,406370000,1965600000,1460400000,505230000,,,,1866,595;3179;8183;10197;15693;15694;17496;17865;18101,True;True;True;True;True;True;True;True;True,622;3402;3403;3404;8822;10992;10993;16782;16783;18683;19072;19321,1664;1665;1666;1667;1668;9305;9306;9307;9308;9309;23673;23674;29640;29641;29642;29643;29644;29645;29646;29647;44862;44863;44864;44865;44866;44867;44868;50062;50063;51163;51164;51165;51166;51830;51831;51832;51833,3018;3019;3020;3021;3022;3023;3024;3025;3026;3027;3028;17430;17431;17432;17433;17434;17435;17436;17437;17438;17439;17440;44044;44045;54936;54937;54938;54939;54940;54941;54942;54943;54944;54945;54946;54947;54948;54949;54950;54951;54952;54953;54954;54955;82340;82341;82342;82343;82344;82345;82346;82347;82348;82349;92358;92359;92360;92361;92362;94615;94616;94617;94618;94619;94620;94621;95976;95977;95978;95979;95980;95981;95982;95983;95984;95985;95986;95987;95988;95989,3018;17431;44045;54950;82347;82349;92361;94618;95984,126,,8,,-1;-1;-1;-1,protein_1867,quanti,quanti,quanti,quanti
S100A10,5.0291484406177,0.00020858028038788,P60903,P60903,6,6,6,Protein S100-A10,sp|P60903|S10AA_HUMAN Protein S100-A10 OS=Homo sapiens OX=9606 GN=S100A10 PE=1 SV=2,1,6,6,6,1,2,5,5,1,2,5,5,1,2,5,5,57.7,57.7,57.7,11.203,97,97,0.0,38.596,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.25633,0.65059,22.437,19,3,Leave out requantified,0.2808,0.32886,0.25859,0.2225,,0.78742,0.78463,0.95156,0.62595,,26.494,17.887,17.26,1,2,7,9,0,0,1,2,Median,Median,Leave out requantified,Leave out requantified,17.5,32.0,54.6,52.6,5314100000,4145400000,1168700000,22114000,17421000,4692800,53638000,38847000,14792000,2293400000,1778500000,514860000,2945000000,2310600000,634380000,,,,1867,3466;3467;4215;4216;13947;18943,True;True;True;True;True;True,3706;3707;4509;4510;14946;14947;20250,10064;10065;10066;11949;11950;11951;11952;11953;11954;11955;40039;40040;40041;40042;40043;40044;40045;40046;54455,18801;18802;18803;18804;18805;18806;18807;18808;18809;22151;22152;22153;22154;22155;22156;22157;22158;22159;22160;22161;22162;22163;22164;22165;22166;22167;73910;73911;73912;73913;73914;73915;73916;73917;73918;73919;73920;73921;73922;73923;73924;73925;73926;73927;101040;101041,18801;18809;22152;22161;73923;101040,,,,,-1,protein_1868,quanti,quanti,quanti,quanti
CDC42,-1.08125919844777,0.014204328757121,P60953;Q5JYX0;A0A590UJK8;A0A494C1M1;A0A494BZX6;P17081;Q9H4E5;A0A3B3IRV0;F8WET9;B1AH79;G3V4H1;G3V476,P60953,7;3;3;2;2;1;1;1;1;1;1;1,6;2;2;1;1;0;0;0;0;0;0;0,6;2;2;1;1;0;0;0;0;0;0;0,Cell division control protein 42 homolog,sp|P60953|CDC42_HUMAN Cell division control protein 42 homolog OS=Homo sapiens OX=9606 GN=CDC42 PE=1 SV=2,12,7,6,6,2,5,5,5,1,4,4,4,1,4,4,4,39.8,34.0,34.0,21.258,191,191;136;166;115;156;205;214;41;50;86;153;178,0.0,18.742,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.6577,1.6753,21.339,15,1,Leave out requantified,0.64758,0.70409,0.61389,0.71959,,2.4435,1.7629,1.6857,1.7225,,22.946,31.638,18.327,1,4,5,5,0,0,1,0,Median,Leave out requantified,Leave out requantified,Leave out requantified,11.0,34.0,27.2,27.2,1660300000,986530000,673770000,302930000,178160000,124780000,509370000,292460000,216920000,426370000,274140000,152240000,421620000,241780000,179840000,,,,1868,2627;5948;13761;17457;20007;20703;20704,False;True;True;True;True;True;True,2807;6391;14752;18642;21379;22108;22109,7807;7808;7809;7810;7811;16997;16998;16999;39551;39552;49961;57505;57506;57507;57508;59449;59450;59451;59452;59453,14631;14632;14633;14634;14635;14636;14637;14638;14639;14640;14641;14642;31597;31598;72980;72981;72982;72983;72984;72985;72986;72987;72988;72989;92194;106765;106766;106767;106768;106769;106770;106771;106772;106773;110240;110241;110242;110243;110244;110245;110246;110247;110248;110249;110250,14640;31598;72982;92194;106770;110242;110250,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_1869,quanti,quanti,quanti,quanti
DSTN,-2.93646453833754,0.000297548783724534,P60981;F6RFD5,P60981;F6RFD5,10;9,8;7,8;7,Destrin,sp|P60981|DEST_HUMAN Destrin OS=Homo sapiens OX=9606 GN=DSTN PE=1 SV=3;tr|F6RFD5|F6RFD5_HUMAN Destrin OS=Homo sapiens OX=9606 GN=DSTN PE=1 SV=1,2,10,8,8,7,8,4,4,5,6,3,3,5,6,3,3,52.7,45.5,45.5,18.506,165,165;135,0.0,15.402,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.42044,1.1959,40.511,18,5,Leave out requantified,0.42044,0.46342,0.19665,0.27874,,1.5251,1.1959,1.2584,0.59086,8.3653,17.937,112.5,36.29,4,8,3,3,1,2,1,1,Leave out requantified,Leave out requantified,Plateau,Median,37.0,44.2,32.7,30.9,1306000000,849430000,456530000,390830000,281240000,109590000,581850000,365060000,216800000,215500000,119990000,95509000,117790000,83151000,34639000,,,,1869,1918;1919;2224;4001;8716;8743;9974;12478;12479;20057,True;True;True;True;True;True;True;False;False;True,2061;2062;2388;4274;9386;9415;10759;13410;13411;13412;13413;13414;13415;21430,5783;5784;5785;5786;5787;5788;6701;6702;6703;6704;6705;11371;11372;25172;25173;25242;28999;35982;35983;35984;35985;35986;35987;35988;35989;35990;35991;35992;57644;57645;57646,10856;10857;10858;10859;10860;10861;10862;10863;10864;10865;10866;10867;10868;10869;10870;10871;10872;10873;10874;12650;12651;12652;12653;12654;12655;12656;21108;46951;46952;46953;47076;53849;66378;66379;66380;66381;66382;66383;66384;66385;66386;66387;66388;66389;66390;66391;106998;106999;107000;107001;107002;107003;107004;107005;107006,10860;10874;12652;21108;46952;47076;53849;66379;66391;107006,,115,,115,-1;-1,protein_1870,quanti,quanti,quanti,quanti
RAB8A,1.55259322417793,0.349899316287116,P61006,P61006,5,3,2,Ras-related protein Rab-8A,sp|P61006|RAB8A_HUMAN Ras-related protein Rab-8A OS=Homo sapiens OX=9606 GN=RAB8A PE=1 SV=1,1,5,3,2,4,2,3,4,2,1,2,3,1,1,2,2,28.0,22.7,10.6,23.668,207,207,0.0,3.4679,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.19854,0.48705,42.319,11,2,Leave out requantified,0.13421,0.19854,0.39349,0.31205,,0.34992,0.48705,1.1686,0.80627,108.93,,45.979,69.493,2,1,3,5,0,0,1,1,Median,Median,Median,Median,21.3,12.1,15.9,28.0,1721300000,1299400000,421870000,184840000,171290000,13544000,26453000,19796000,6657400,312050000,178770000,133280000,1197900000,929540000,268390000,,,,1870,1599;4915;9428;10673;17129,True;True;True;False;False,1716;5243;10174;11502;11503;18292,4836;4837;4838;13829;13830;13831;27372;27373;27374;27375;27376;31036;31037;31038;31039;31040;31041;31042;31043;31044;49052,9147;9148;9149;9150;9151;25569;50763;50764;50765;50766;57482;57483;57484;57485;57486;57487;57488;57489;57490;57491;57492;57493;57494;57495;57496;57497;57498;57499;57500;57501;57502;57503;57504;90434,9151;25569;50766;57494;90434,,,,,-1,protein_1871,quanti,quanti,quanti,quanti
RAB2A,2.1883378632282,0.00174708235666555,P61019;E9PKL7;H7C125,P61019;E9PKL7,11;7;5,11;7;5,6;3;4,Ras-related protein Rab-2A,sp|P61019|RAB2A_HUMAN Ras-related protein Rab-2A OS=Homo sapiens OX=9606 GN=RAB2A PE=1 SV=1;tr|E9PKL7|E9PKL7_HUMAN Ras-related protein Rab-2A OS=Homo sapiens OX=9606 GN=RAB2A PE=1 SV=1,3,11,11,6,3,5,9,10,3,5,9,10,2,4,4,6,56.1,56.1,33.5,23.545,212,212;181;104,0.0,47.289,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.41824,1.1516,24.979,33,11,Leave out requantified,0.40788,0.47911,0.35601,0.42647,,0.84909,1.0119,1.2361,1.0843,40.742,9.36,44.232,42.218,4,5,12,12,1,1,5,4,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,17.9,25.5,42.5,56.1,1721600000,1220700000,500940000,54046000,37751000,16296000,102520000,68711000,33805000,851730000,616120000,235610000,713320000,498080000,215230000,,,,1871,2389;3174;3557;5198;5199;8091;14154;15066;16744;16745;20311,True;True;True;True;True;True;True;True;True;True;True,2563;3397;3800;5546;5547;5548;8727;15162;16120;17881;17882;21694,7191;7192;7193;7194;7195;7196;7197;9296;10274;10275;10276;10277;10278;10279;14624;14625;14626;14627;14628;14629;23421;23422;23423;40589;43070;43071;47850;47851;47852;47853;47854;47855;47856;58334;58335,13547;13548;13549;13550;13551;13552;13553;13554;17415;17416;19191;19192;19193;19194;19195;19196;19197;27102;27103;27104;27105;27106;27107;27108;43595;43596;43597;74822;79032;79033;87841;87842;87843;87844;87845;87846;108170;108171,13553;17416;19197;27102;27103;43597;74822;79033;87841;87845;108170,,,,,-1;-1;-1,protein_1872,quanti,quanti,quanti,quanti
RAB10,0.357405791074662,0.540208754480303,P61026,P61026,5,4,3,Ras-related protein Rab-10,sp|P61026|RAB10_HUMAN Ras-related protein Rab-10 OS=Homo sapiens OX=9606 GN=RAB10 PE=1 SV=1,1,5,4,3,4,4,3,3,3,3,2,2,2,2,2,2,25.5,20.0,14.0,22.541,200,200,0.0,7.1817,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.49717,1.3685,49.174,11,4,Leave out requantified,0.44287,0.559,0.38199,0.49146,,1.5275,1.5803,1.2764,1.3131,82.901,49.519,14.752,3.7643,3,3,3,2,1,0,2,1,Median,Leave out requantified,Median,Median,20.5,20.5,16.0,16.0,783780000,534130000,249660000,72933000,45125000,27808000,132150000,78942000,53208000,407030000,298520000,108510000,171670000,111540000,60130000,,,,1874,609;1598;3556;4502;10673,True;True;True;True;False,637;1715;3799;4808;11502;11503,1706;1707;1708;1709;1710;4834;4835;10272;10273;12744;12745;31036;31037;31038;31039;31040;31041;31042;31043;31044,3080;3081;3082;3083;3084;3085;3086;3087;3088;9145;9146;19187;19188;19189;19190;23654;57482;57483;57484;57485;57486;57487;57488;57489;57490;57491;57492;57493;57494;57495;57496;57497;57498;57499;57500;57501;57502;57503;57504,3081;9145;19188;23654;57494,,,,,-1,protein_1875,quanti,quanti,quanti,quanti
UBE2M,-0.469070321595655,0.536136894992109,P61081;M0QX69;M0QYI6,P61081,3;1;1,3;1;1,3;1;1,NEDD8-conjugating enzyme Ubc12,sp|P61081|UBC12_HUMAN NEDD8-conjugating enzyme Ubc12 OS=Homo sapiens OX=9606 GN=UBE2M PE=1 SV=1,3,3,3,3,1,1,1,2,1,1,1,2,1,1,1,2,16.4,16.4,16.4,20.9,183,183;69;114,0.0,6.6785,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.4248,1.3727,21.941,5,4,Median,0.4248,0.41301,0.40417,0.63357,,1.4708,1.0919,1.1009,1.5923,,,,20.991,1,1,1,2,1,1,1,1,Median,Median,Median,Median,4.4,4.4,4.4,12.0,283660000,185570000,98084000,41793000,28083000,13710000,44369000,32509000,11860000,42600000,27973000,14627000,154890000,97006000,57887000,,,,1875,5624;9781;11786,True;True;True,6024;10553;12676,15911;28444;28445;28446;34046,29560;29561;52702;52703;52704;52705;62683;62684,29561;52704;62684,,,,,-1;-1;-1,protein_1876,quanti,quanti,quanti,quanti
UBE2K,1.0614054879489,0.176369317470752,P61086;D6RDM7;D6RFX1,P61086;D6RDM7,4;3;1,4;3;1,4;3;1,Ubiquitin-conjugating enzyme E2 K,sp|P61086|UBE2K_HUMAN Ubiquitin-conjugating enzyme E2 K OS=Homo sapiens OX=9606 GN=UBE2K PE=1 SV=3;tr|D6RDM7|D6RDM7_HUMAN Ubiquitin-conjugating enzyme E2 K (Fragment) OS=Homo sapiens OX=9606 GN=UBE2K PE=1 SV=1,3,4,4,4,2,1,3,3,2,1,3,3,2,1,3,3,23.5,23.5,23.5,22.406,200,200;123;44,0.0,18.076,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.33724,0.97662,28.219,9,3,Leave out requantified,0.27513,0.422,0.42239,0.45537,,0.84548,1.0394,1.3468,1.2328,20.221,,23.284,32.502,2,1,3,3,0,1,1,1,Median,Median,Median,Median,12.5,3.5,20.0,20.0,553760000,381980000,171780000,60310000,47519000,12791000,27780000,19649000,8130500,178490000,117200000,61293000,287170000,197610000,89564000,,,,1876,1597;8888;11943;13027,True;True;True;True,1714;9579;12847;13992,4831;4832;4833;25700;25701;34516;34517;34518;37528;37529,9142;9143;9144;47891;47892;47893;63673;63674;63675;63676;69192;69193;69194;69195;69196;69197,9143;47892;63674;69193,,,,,-1;-1;-1,protein_1877,quanti,quanti,quanti,quanti
UBE2N;UBE2NL,0.561678877060391,0.0612720681604732,P61088;F8VQQ8;F8VSD4;Q5JXB2;F8VV71;F8VZ29,P61088;F8VQQ8;F8VSD4;Q5JXB2;F8VV71,6;4;4;3;3;2,6;4;4;3;3;2,6;4;4;3;3;2,Ubiquitin-conjugating enzyme E2 N;Putative ubiquitin-conjugating enzyme E2 N-like,sp|P61088|UBE2N_HUMAN Ubiquitin-conjugating enzyme E2 N OS=Homo sapiens OX=9606 GN=UBE2N PE=1 SV=1;tr|F8VQQ8|F8VQQ8_HUMAN Ubiquitin-conjugating enzyme E2 N OS=Homo sapiens OX=9606 GN=UBE2N PE=1 SV=1;tr|F8VSD4|F8VSD4_HUMAN Ubiquitin-conjugating enzyme E2 N ,6,6,6,6,2,2,5,5,2,2,5,5,2,2,5,5,35.5,35.5,35.5,17.138,152,152;89;105;153;152;87,0.0,11.669,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.23454,0.66717,5.2892,10,4,Leave out requantified,0.17866,0.24986,0.17745,0.34082,,0.65446,0.73295,0.51094,0.92612,,,20.011,20.682,1,1,4,4,0,0,2,2,Median,Median,Median,Median,17.1,17.1,35.5,28.3,890060000,696280000,193780000,87898000,71572000,16326000,104290000,82344000,21942000,349890000,291630000,58255000,347990000,250730000,97262000,,,,1877,7155;7156;10447;10448;11975;17390,True;True;True;True;True;True,7724;7725;11262;11263;12879;18571,20619;20620;20621;30427;30428;30429;30430;30431;30432;34596;34597;34598;34599;49787,38365;38366;38367;38368;56364;56365;56366;56367;56368;56369;56370;56371;56372;56373;56374;56375;56376;56377;63801;63802;63803;63804;63805;63806;91875,38365;38367;56365;56372;63803;91875,,,,,-1;-1;-1;-1;-1;-1,protein_1878,quanti,quanti,quanti,quanti
RAB14,1.44307586512814,0.00237791429031688,P61106;X6RFL8,P61106;X6RFL8,9;8,9;8,9;8,Ras-related protein Rab-14,sp|P61106|RAB14_HUMAN Ras-related protein Rab-14 OS=Homo sapiens OX=9606 GN=RAB14 PE=1 SV=4;tr|X6RFL8|X6RFL8_HUMAN Ras-related protein Rab-14 (Fragment) OS=Homo sapiens OX=9606 GN=RAB14 PE=1 SV=1,2,9,9,9,5,5,9,8,5,5,9,8,5,5,9,8,59.1,59.1,59.1,23.897,215,215;181,0.0,36.413,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.35604,1.1455,21.184,28,5,Leave out requantified,0.43259,0.57243,0.32348,0.39008,,1.1853,1.2594,1.0324,1.0363,20.601,26.915,26.289,35.379,6,5,9,8,0,0,3,2,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,31.6,31.6,59.1,59.1,1618000000,1151900000,466100000,108760000,72079000,36678000,124710000,81898000,42817000,737260000,519940000,217320000,647310000,478020000,169290000,,,,1878,2012;4770;5200;8651;13459;16447;16927;16928;20310,True;True;True;True;True;True;True;True;True,2157;5090;5549;9316;14439;17570;18077;18078;21693,6040;6041;6042;6043;6044;13433;13434;13435;13436;14630;14631;24989;24990;38702;38703;46983;46984;46985;46986;48432;48433;48434;48435;48436;58330;58331;58332;58333,11338;11339;11340;11341;11342;11343;11344;11345;11346;11347;11348;11349;24851;24852;27109;27110;46572;46573;46574;46575;71392;71393;86191;86192;86193;86194;86195;86196;89089;89090;89091;108165;108166;108167;108168;108169,11345;24851;27110;46572;71392;86195;89089;89091;108168,,,,,-1;-1,protein_1879,quanti,quanti,quanti,quanti
ACTR3,-1.31591100915888,0.00457092598835156,P61158;B4DXW1;Q9P1U1;F8WEW2;F8WE84;Q9C0K3;F8WDR7;A0A0A0MTI9;H7C4J1;C9IZN3,P61158;B4DXW1,7;5;2;2;2;1;1;1;1;1,7;5;2;2;2;1;1;1;1;1,7;5;2;2;2;1;1;1;1;1,Actin-related protein 3,sp|P61158|ARP3_HUMAN Actin-related protein 3 OS=Homo sapiens OX=9606 GN=ACTR3 PE=1 SV=3;tr|B4DXW1|B4DXW1_HUMAN Actin-related protein 3 OS=Homo sapiens OX=9606 GN=ACTR3 PE=1 SV=1,10,7,7,7,4,3,3,4,4,3,3,4,4,3,3,4,14.6,14.6,14.6,47.371,418,418;367;418;34;41;210;84;189;208;222,0.0,10.044,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.34809,0.98725,35.986,13,4,Leave out requantified,0.36356,0.3475,0.27296,0.44088,,1.2517,1.0291,0.89999,0.99947,10.4,11.356,32.13,14.736,3,3,3,4,1,0,1,2,Median,Plateau,Median,Median,10.0,10.0,9.6,8.6,752390000,559740000,192650000,182080000,135180000,46895000,200420000,149720000,50700000,193700000,154380000,39322000,176200000,120460000,55736000,,,,1879,795;2894;4777;6864;11016;13281;13282,True;True;True;True;True;True;True,837;3100;5097;7400;11866;14257;14258,2248;2249;2250;2251;2252;8584;8585;13451;19744;19745;32014;38209;38210;38211;38212,4107;4108;4109;4110;4111;4112;4113;16130;16131;16132;16133;16134;16135;16136;24886;36747;36748;59225;70424;70425;70426;70427;70428;70429;70430;70431;70432;70433;70434,4112;16131;24886;36748;59225;70427;70431,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_1880,quanti,quanti,quanti,quanti
