Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity SMU1-N1,Intensity SMU1-N2,Intensity BirA-alone-N1,Intensity BirA-alone-N2
P98169;P98168,P98169;P98168,2;1,2;1,2;1,Zinc finger X-linked protein ZXDB;Zinc finger X-linked protein ZXDA,ZXDB;ZXDA,sp|P98169|ZXDB_HUMAN Zinc finger X-linked protein ZXDB OS=Homo sapiens OX=9606 GN=ZXDB PE=1 SV=2;sp|P98168|ZXDA_HUMAN Zinc finger X-linked protein ZXDA OS=Homo sapiens OX=9606 GN=ZXDA PE=1 SV=2,2,2,5.0,4.17608450057973,4.06670010289021,24.8351853444402,25.0366180127881
A0A096LPI6;A0A096LNH5;P0DPI2;A0A0B4J2D5,A0A096LPI6;A0A096LNH5;P0DPI2;A0A0B4J2D5,2;1;1;1,2;1;1;1,2;1;1;1,,A0A096LPI6;A0A096LNH5;P0DPI2;A0A0B4J2D5,"tr|A0A096LPI6|A0A096LPI6_HUMAN Utp12 domain-containing protein (Fragment) OS=Homo sapiens OX=9606 PE=4 SV=2;tr|A0A096LNH5|A0A096LNH5_HUMAN Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial OS=Homo sapiens OX=9606 GN=GATD3B",2,2,15.8,4.17608450057973,4.06670010289021,28.8296862062645,24.9322446741749
A0A3B3ISK4;A0A3B3IUA2,A0A3B3ISK4;A0A3B3IUA2,2;2,2;2,2;2,,A0A3B3ISK4;A0A3B3IUA2,tr|A0A3B3ISK4|A0A3B3ISK4_HUMAN NHP2-like protein 1 OS=Homo sapiens OX=9606 GN=SNU13 PE=4 SV=1;tr|A0A3B3IUA2|A0A3B3IUA2_HUMAN Ribonucloprotein OS=Homo sapiens OX=9606 GN=SNU13 PE=1 SV=1,2,2,22.4,4.17608450057973,4.06670010289021,24.7270757920008,23.5134018395649
Q9P0V9;E7EW69;E7EX04;B5ME97;F5GYV2;C9JEW2;C9JNR7;F5H1F2,Q9P0V9;E7EW69;E7EX04;B5ME97,3;3;3;3;1;1;1;1,3;3;3;3;1;1;1;1,3;3;3;3;1;1;1;1,Septin-10,Septin-10,sp|Q9P0V9|SEP10_HUMAN Septin-10 OS=Homo sapiens OX=9606 GN=SEPTIN10 PE=1 SV=2;tr|E7EW69|E7EW69_HUMAN Septin-10 OS=Homo sapiens OX=9606 GN=SEPTIN10 PE=1 SV=1;tr|E7EX04|E7EX04_HUMAN Septin-10 OS=Homo sapiens OX=9606 GN=SEPTIN10 PE=1 SV=1;tr|B5ME97|B5ME97_HUM,3,3,8.8,4.17608450057973,4.06670010289021,25.3199647815097,25.2630588271635
Q9NRN7;E9PLW6,Q9NRN7,3;1,3;1,3;1,L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,AASDHPPT,sp|Q9NRN7|ADPPT_HUMAN L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase OS=Homo sapiens OX=9606 GN=AASDHPPT PE=1 SV=2,3,3,10.7,4.17608450057973,4.06670010289021,24.8779251409578,24.397412467283
Q8IZY2;E9PKG5;E9PL63,Q8IZY2;E9PKG5;E9PL63,3;2;2,3;2;2,3;2;2,ATP-binding cassette sub-family A member 7,ABCA7,sp|Q8IZY2|ABCA7_HUMAN Phospholipid-transporting ATPase ABCA7 OS=Homo sapiens OX=9606 GN=ABCA7 PE=1 SV=3;tr|E9PKG5|E9PKG5_HUMAN Phospholipid-transporting ATPase ABCA7 (Fragment) OS=Homo sapiens OX=9606 GN=ABCA7 PE=1 SV=1;tr|E9PL63|E9PL63_HUMAN Phospholipid-,3,3,1.3,22.6055545720758,25.4818228307379,24.0311223954467,23.6756219970681
O14639;A0A3B3IS55;F8W8M4;A0A0A0MRL6;A0A494C1P1;A0A494C1G0,O14639;A0A3B3IS55;F8W8M4;A0A0A0MRL6;A0A494C1P1;A0A494C1G0,18;18;17;17;10;10,18;18;17;17;10;10,3;3;2;2;2;2,Actin-binding LIM protein 1,ABLIM1,sp|O14639|ABLM1_HUMAN Actin-binding LIM protein 1 OS=Homo sapiens OX=9606 GN=ABLIM1 PE=1 SV=3;tr|A0A3B3IS55|A0A3B3IS55_HUMAN Actin-binding LIM protein 1 OS=Homo sapiens OX=9606 GN=ABLIM1 PE=1 SV=1;tr|F8W8M4|F8W8M4_HUMAN Actin-binding LIM protein 1 OS=Homo,18,3,27.2,4.17608450057973,4.06670010289021,28.1805397607883,27.9545466242509
P45954,P45954,3,3,3,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",ACADSB,"sp|P45954|ACDSB_HUMAN Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ACADSB PE=1 SV=1",3,3,7.6,24.4038613688235,19.7105676773972,4.45881916663448,4.39209895775669
P61163;P42025;R4GMT0;A0A1B0GVS3,P61163;P42025;R4GMT0,3;2;2;1,3;2;2;1,3;2;2;1,Alpha-centractin;Beta-centractin,ACTR1A;ACTR1B,sp|P61163|ACTZ_HUMAN Alpha-centractin OS=Homo sapiens OX=9606 GN=ACTR1A PE=1 SV=1;sp|P42025|ACTY_HUMAN Beta-centractin OS=Homo sapiens OX=9606 GN=ACTR1B PE=1 SV=1;tr|R4GMT0|R4GMT0_HUMAN Alpha-centractin OS=Homo sapiens OX=9606 GN=ACTR1A PE=1 SV=1,3,3,17.3,24.6551271307963,22.6414546901791,4.45881916663448,4.39209895775669
P00813;F5GXW0;F5GWI4,P00813;F5GXW0;F5GWI4,3;2;2,3;2;2,3;2;2,Adenosine deaminase,ADA,sp|P00813|ADA_HUMAN Adenosine deaminase OS=Homo sapiens OX=9606 GN=ADA PE=1 SV=3;tr|F5GXW0|F5GXW0_HUMAN Adenosine deaminase OS=Homo sapiens OX=9606 GN=ADA PE=1 SV=1;tr|F5GWI4|F5GWI4_HUMAN Adenosine deaminase OS=Homo sapiens OX=9606 GN=ADA PE=1 SV=1,3,3,10.5,24.1114776593391,22.2821188492889,4.45881916663448,4.39209895775669
Q9H9G7;Q9UKV8;Q9UL18;Q9HCK5;Q5TA58,Q9H9G7,3;1;1;1;1,3;1;1;1;1,3;1;1;1;1,Protein argonaute-3,AGO3,sp|Q9H9G7|AGO3_HUMAN Protein argonaute-3 OS=Homo sapiens OX=9606 GN=AGO3 PE=1 SV=2,3,3,5.7,23.1549602261009,22.4489780055518,25.1886923652331,21.1575221096892
E7ET48;Q8N1P7;E9PIR9;E7EX92,E7ET48;Q8N1P7;E9PIR9,3;3;2;1,3;3;2;1,3;3;2;1,Absent in melanoma 1-like protein,AIM1L,tr|E7ET48|E7ET48_HUMAN Beta/gamma crystallin domain-containing protein 2 OS=Homo sapiens OX=9606 GN=CRYBG2 PE=1 SV=2;sp|Q8N1P7|CRBG2_HUMAN Beta/gamma crystallin domain-containing protein 2 OS=Homo sapiens OX=9606 GN=CRYBG2 PE=2 SV=2;tr|E9PIR9|E9PIR9_HUMAN,3,3,2.8,23.1801944818204,22.4722572387467,24.3118824352119,26.5821895409773
Q13155;A8MU58,Q13155;A8MU58,3;3,3;3,3;3,Aminoacyl tRNA synthase complex-interacting multifunctional protein 2,AIMP2,sp|Q13155|AIMP2_HUMAN Aminoacyl tRNA synthase complex-interacting multifunctional protein 2 OS=Homo sapiens OX=9606 GN=AIMP2 PE=1 SV=2;tr|A8MU58|A8MU58_HUMAN Aminoacyl tRNA synthase complex-interacting multifunctional protein 2 OS=Homo sapiens OX=9606 GN=A,3,3,19.1,23.7298265019687,23.4868939283134,27.0573436369337,23.4402507487947
O00170;V9GYQ3;E9PMH2,O00170;V9GYQ3,3;2;1,3;2;1,3;2;1,AH receptor-interacting protein,AIP,sp|O00170|AIP_HUMAN AH receptor-interacting protein OS=Homo sapiens OX=9606 GN=AIP PE=1 SV=2;tr|V9GYQ3|V9GYQ3_HUMAN AH receptor-interacting protein (Fragment) OS=Homo sapiens OX=9606 GN=AIP PE=1 SV=1,3,3,16.1,24.2013498075986,22.3612101225891,4.45881916663448,4.39209895775669
Q86XL3;F5H1D4,Q86XL3;F5H1D4,3;2,3;2,3;2,Ankyrin repeat and LEM domain-containing protein 2,ANKLE2,sp|Q86XL3|ANKL2_HUMAN Ankyrin repeat and LEM domain-containing protein 2 OS=Homo sapiens OX=9606 GN=ANKLE2 PE=1 SV=4;tr|F5H1D4|F5H1D4_HUMAN Ankyrin repeat and LEM domain-containing protein 2 (Fragment) OS=Homo sapiens OX=9606 GN=ANKLE2 PE=1 SV=1,3,3,5.1,4.17608450057973,4.06670010289021,24.3336085240731,22.8641211411291
O95782;O94973;M0R2D9;E9PR62;A0A0G2JQM1;A0A0G2JS82,O95782;O94973,3;2;1;1;1;1,3;2;1;1;1;1,3;2;1;1;1;1,AP-2 complex subunit alpha-1;AP-2 complex subunit alpha-2,AP2A1;AP2A2,sp|O95782|AP2A1_HUMAN AP-2 complex subunit alpha-1 OS=Homo sapiens OX=9606 GN=AP2A1 PE=1 SV=3;sp|O94973|AP2A2_HUMAN AP-2 complex subunit alpha-2 OS=Homo sapiens OX=9606 GN=AP2A2 PE=1 SV=2,3,3,3.1,24.1472471659321,22.3125566729747,4.45881916663448,4.39209895775669
Q9Y2T2,Q9Y2T2,3,3,3,AP-3 complex subunit mu-1,AP3M1,sp|Q9Y2T2|AP3M1_HUMAN AP-3 complex subunit mu-1 OS=Homo sapiens OX=9606 GN=AP3M1 PE=1 SV=1,3,3,10.3,24.058045909506,22.2951071099709,4.45881916663448,4.39209895775669
P18085;C9JPM4;C9JAK5;U3KQF2,P18085;C9JPM4;C9JAK5,6;6;4;2,3;3;3;2,3;3;3;2,ADP-ribosylation factor 4,ARF4,sp|P18085|ARF4_HUMAN ADP-ribosylation factor 4 OS=Homo sapiens OX=9606 GN=ARF4 PE=1 SV=3;tr|C9JPM4|C9JPM4_HUMAN ADP-ribosylation factor 4 (Fragment) OS=Homo sapiens OX=9606 GN=ARF4 PE=1 SV=1;tr|C9JAK5|C9JAK5_HUMAN ADP-ribosylation factor 4 OS=Homo sapiens,6,3,44.4,25.2681376110933,22.5863026728777,4.45881916663448,4.39209895775669
P53367,P53367,3,3,3,Arfaptin-1,ARFIP1,sp|P53367|ARFP1_HUMAN Arfaptin-1 OS=Homo sapiens OX=9606 GN=ARFIP1 PE=1 SV=2,3,3,10.7,4.17608450057973,4.06670010289021,25.574183507549,25.6185732513347
R4GN08;P59998;F8WDD7;F8WCF6;A0A0A6YYG9,R4GN08,3;1;1;1;1,3;1;1;1;1,3;1;1;1;1,,ARPC4,tr|R4GN08|R4GN08_HUMAN Actin-related protein 2/3 complex subunit 4 (Fragment) OS=Homo sapiens OX=9606 GN=ARPC4 PE=1 SV=1,3,3,20.8,23.1048239523451,20.0452690684889,25.8785099240845,25.3625102512648
P08243;C9JLN6;C9JM09;C9JT45;C9J057;F8WEJ5,P08243,3;1;1;1;1;1,3;1;1;1;1;1,3;1;1;1;1;1,Asparagine synthetase [glutamine-hydrolyzing],ASNS,sp|P08243|ASNS_HUMAN Asparagine synthetase [glutamine-hydrolyzing] OS=Homo sapiens OX=9606 GN=ASNS PE=1 SV=4,3,3,6.1,23.0370455140017,22.3386900902732,23.9108622797699,24.7879567461383
Q9NVM9;F5H5W1;F5H457;H0YH12,Q9NVM9,3;1;1;1,3;1;1;1,3;1;1;1,Protein asunder homolog,ASUN,sp|Q9NVM9|INT13_HUMAN Integrator complex subunit 13 OS=Homo sapiens OX=9606 GN=INTS13 PE=1 SV=2,3,3,5.2,4.17608450057973,4.06670010289021,24.145304665247,23.571379547041
O00244;E5RGN3;E5RIM7,O00244;E5RGN3;E5RIM7,3;3;3,3;3;3,3;3;3,Copper transport protein ATOX1,ATOX1,sp|O00244|ATOX1_HUMAN Copper transport protein ATOX1 OS=Homo sapiens OX=9606 GN=ATOX1 PE=1 SV=1;tr|E5RGN3|E5RGN3_HUMAN Copper transport protein ATOX1 OS=Homo sapiens OX=9606 GN=ATOX1 PE=1 SV=1;tr|E5RIM7|E5RIM7_HUMAN Copper transport protein ATOX1 OS=Homo s,3,3,39.7,26.9786924814382,24.224350318552,4.45881916663448,4.39209895775669
P56134;C9JJT5;C9JU26;G3V325,P56134;C9JJT5;C9JU26;G3V325,3;2;2;2,3;2;2;2,3;2;2;2,"ATP synthase subunit f, mitochondrial",ATP5J2;ATP5J2-PTCD1,"sp|P56134|ATPK_HUMAN ATP synthase subunit f, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5MF PE=1 SV=3;tr|C9JJT5|C9JJT5_HUMAN ATP5MF-PTCD1 readthrough OS=Homo sapiens OX=9606 GN=ATP5MF-PTCD1 PE=4 SV=2;tr|C9JU26|C9JU26_HUMAN ATP synthase subunit f, mitochon",3,3,42.6,24.7418574209774,23.4503831780755,22.6532537834557,21.1289936639733
P21281;H0YC04;E5RGH6,P21281;H0YC04,3;3;1,3;3;1,3;3;1,"V-type proton ATPase subunit B, brain isoform",ATP6V1B2,"sp|P21281|VATB2_HUMAN V-type proton ATPase subunit B, brain isoform OS=Homo sapiens OX=9606 GN=ATP6V1B2 PE=1 SV=3;tr|H0YC04|H0YC04_HUMAN V-type proton ATPase subunit B, brain isoform (Fragment) OS=Homo sapiens OX=9606 GN=ATP6V1B2 PE=1 SV=1",3,3,10.4,4.17608450057973,4.06670010289021,25.0621288363209,25.2221772795685
Q9Y679,Q9Y679,3,3,3,Ancient ubiquitous protein 1,AUP1,sp|Q9Y679|AUP1_HUMAN Ancient ubiquitous protein 1 OS=Homo sapiens OX=9606 GN=AUP1 PE=1 SV=2,3,3,11.2,4.17608450057973,4.06670010289021,23.5698741461313,24.0195405072242
O95816,O95816,3,3,3,BAG family molecular chaperone regulator 2,BAG2,sp|O95816|BAG2_HUMAN BAG family molecular chaperone regulator 2 OS=Homo sapiens OX=9606 GN=BAG2 PE=1 SV=1,3,3,17.1,22.2387347624781,22.1048825022202,26.0528119644165,24.7707723574211
Q92843;G3V5A9;G3V4B7;G3V3B7;G3V3G8;H0YJC7,Q92843;G3V5A9;G3V4B7;G3V3B7;G3V3G8,3;3;3;2;2;1,3;3;3;2;2;1,3;3;3;2;2;1,Bcl-2-like protein 2,BCL2L2,sp|Q92843|B2CL2_HUMAN Bcl-2-like protein 2 OS=Homo sapiens OX=9606 GN=BCL2L2 PE=1 SV=2;tr|G3V5A9|G3V5A9_HUMAN Bcl-2-like protein 2 (Fragment) OS=Homo sapiens OX=9606 GN=BCL2L2 PE=1 SV=1;tr|G3V4B7|G3V4B7_HUMAN Bcl-2-like protein 2 (Fragment) OS=Homo sapiens,3,3,25.4,4.17608450057973,4.06670010289021,25.7820429794854,25.9060978818081
Q9BWV1;C9J2L7;Q96DN7;C9J9M5;C9J7V2,Q9BWV1;C9J2L7;Q96DN7,3;2;2;1;1,3;2;2;1;1,3;2;2;1;1,Brother of CDO,BOC,sp|Q9BWV1|BOC_HUMAN Brother of CDO OS=Homo sapiens OX=9606 GN=BOC PE=1 SV=1;tr|C9J2L7|C9J2L7_HUMAN Brother of CDO (Fragment) OS=Homo sapiens OX=9606 GN=BOC PE=1 SV=8;tr|Q96DN7|Q96DN7_HUMAN BOC protein OS=Homo sapiens OX=9606 GN=BOC PE=1 SV=1,3,3,5.0,4.17608450057973,4.06670010289021,25.9433996172354,21.5056700774136
P38398;A0A2R8Y7V5;Q5YLB2;H0Y850;K7EPC7;H0Y8B8;B7ZA85;E7EUM2,P38398;A0A2R8Y7V5;Q5YLB2,3;2;2;1;1;1;1;1,3;2;2;1;1;1;1;1,3;2;2;1;1;1;1;1,Breast cancer type 1 susceptibility protein,BRCA1,sp|P38398|BRCA1_HUMAN Breast cancer type 1 susceptibility protein OS=Homo sapiens OX=9606 GN=BRCA1 PE=1 SV=2;tr|A0A2R8Y7V5|A0A2R8Y7V5_HUMAN Breast cancer type 1 susceptibility protein (Fragment) OS=Homo sapiens OX=9606 GN=BRCA1 PE=1 SV=1;tr|Q5YLB2|Q5YLB2_H,3,3,1.9,4.17608450057973,4.06670010289021,23.1829847020296,23.3643943875413
Q7L1Q6;Q9Y6E2;H0Y503;E9PFD4;B5MCE7;B5MCH7;E7ETZ4,Q7L1Q6,3;1;1;1;1;1;1,3;1;1;1;1;1;1,3;1;1;1;1;1;1,Basic leucine zipper and W2 domain-containing protein 1,BZW1,sp|Q7L1Q6|BZW1_HUMAN Basic leucine zipper and W2 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=BZW1 PE=1 SV=1,3,3,6.2,4.17608450057973,4.06670010289021,24.7029259783147,24.5158696832389
Q53F19,Q53F19,3,3,3,Uncharacterized protein C17orf85,C17orf85,sp|Q53F19|NCBP3_HUMAN Nuclear cap-binding protein subunit 3 OS=Homo sapiens OX=9606 GN=NCBP3 PE=1 SV=2,3,3,6.3,4.17608450057973,4.06670010289021,26.0575295658855,25.552213624724
Q8N6N3,Q8N6N3,3,3,3,UPF0690 protein C1orf52,C1orf52,sp|Q8N6N3|CA052_HUMAN UPF0690 protein C1orf52 OS=Homo sapiens OX=9606 GN=C1orf52 PE=1 SV=1,3,3,19.2,4.17608450057973,4.06670010289021,26.1144793200891,24.8244938278084
Q96LT7;A0A5F9ZHW7;A0A2R8Y5K2;A0A2R8Y5U5,Q96LT7;A0A5F9ZHW7;A0A2R8Y5K2;A0A2R8Y5U5,3;3;3;2,3;3;3;2,3;3;3;2,Protein C9orf72,C9orf72,sp|Q96LT7|CI072_HUMAN Guanine nucleotide exchange C9orf72 OS=Homo sapiens OX=9606 GN=C9orf72 PE=1 SV=2;tr|A0A5F9ZHW7|A0A5F9ZHW7_HUMAN Guanine nucleotide exchange C9orf72 OS=Homo sapiens OX=9606 GN=C9orf72 PE=1 SV=1;tr|A0A2R8Y5K2|A0A2R8Y5K2_HUMAN Guanine nu,3,3,9.4,4.17608450057973,4.06670010289021,22.7286853344371,23.0499615214041
Q9NY47;C9JE82;C9JVC9,Q9NY47;C9JE82;C9JVC9,3;3;3,3;3;3,3;3;3,Voltage-dependent calcium channel subunit alpha-2/delta-2;Voltage-dependent calcium channel subunit alpha-2-2;Voltage-dependent calcium channel subunit delta-2,CACNA2D2,sp|Q9NY47|CA2D2_HUMAN Voltage-dependent calcium channel subunit alpha-2/delta-2 OS=Homo sapiens OX=9606 GN=CACNA2D2 PE=1 SV=2;tr|C9JE82|C9JE82_HUMAN Voltage-dependent calcium channel subunit alpha-2/delta-2 OS=Homo sapiens OX=9606 GN=CACNA2D2 PE=1 SV=1;tr|,3,3,2.8,20.220104319618,20.3600697928377,25.3050315624718,24.9605796559832
P22676;H3BMN5;H3BN14;P05937;A6NER6,P22676;H3BMN5;H3BN14,3;2;2;1;1,3;2;2;1;1,3;2;2;1;1,Calretinin,CALB2,sp|P22676|CALB2_HUMAN Calretinin OS=Homo sapiens OX=9606 GN=CALB2 PE=2 SV=2;tr|H3BMN5|H3BMN5_HUMAN Calretinin (Fragment) OS=Homo sapiens OX=9606 GN=CALB2 PE=1 SV=2;tr|H3BN14|H3BN14_HUMAN Calretinin (Fragment) OS=Homo sapiens OX=9606 GN=CALB2 PE=1 SV=2,3,3,12.2,4.17608450057973,4.06670010289021,25.5881793441473,25.4062966265519
P0DP25;P0DP24;P0DP23;F8WBR5;M0QZ52;G3V479;A0A590UK56;E7EMB3;G3V361;A0A590UJI2;Q96HY3,P0DP25;P0DP24;P0DP23;F8WBR5;M0QZ52;G3V479;A0A590UK56;E7EMB3,3;3;3;2;2;2;2;2;1;1;1,3;3;3;2;2;2;2;2;1;1;1,3;3;3;2;2;2;2;2;1;1;1,,CALM2;CALM3;CALM1,sp|P0DP25|CALM3_HUMAN Calmodulin-3 OS=Homo sapiens OX=9606 GN=CALM3 PE=1 SV=1;sp|P0DP24|CALM2_HUMAN Calmodulin-2 OS=Homo sapiens OX=9606 GN=CALM2 PE=1 SV=1;sp|P0DP23|CALM1_HUMAN Calmodulin-1 OS=Homo sapiens OX=9606 GN=CALM1 PE=1 SV=1;tr|F8WBR5|F8WBR5_HUMAN,3,3,30.9,4.17608450057973,4.06670010289021,27.4236620947921,26.3609836803283
Q13185;P83916;B8ZZ43;C9JMM0;S4R2Y4;K7ELA4;B5MD17;J3KS05,Q13185,3;1;1;1;1;1;1;1,3;1;1;1;1;1;1;1,3;1;1;1;1;1;1;1,Chromobox protein homolog 3,CBX3,sp|Q13185|CBX3_HUMAN Chromobox protein homolog 3 OS=Homo sapiens OX=9606 GN=CBX3 PE=1 SV=4,3,3,23.5,24.7546045565888,23.3807476934025,24.9146989939742,25.2625929734968
Q6P1N0;K7EJY5,Q6P1N0;K7EJY5,3;2,3;2,3;2,Coiled-coil and C2 domain-containing protein 1A,CC2D1A,sp|Q6P1N0|C2D1A_HUMAN Coiled-coil and C2 domain-containing protein 1A OS=Homo sapiens OX=9606 GN=CC2D1A PE=1 SV=1;tr|K7EJY5|K7EJY5_HUMAN Coiled-coil and C2 domain-containing protein 1A (Fragment) OS=Homo sapiens OX=9606 GN=CC2D1A PE=1 SV=1,3,3,2.9,4.17608450057973,4.06670010289021,22.8055588953546,23.9812864536842
Q8IX12;A0A0C4DGG8;F5H3E1;F5H2E6;F5H1H2,Q8IX12;A0A0C4DGG8;F5H3E1;F5H2E6,3;3;2;2;1,3;3;2;2;1,3;3;2;2;1,Cell division cycle and apoptosis regulator protein 1,CCAR1,sp|Q8IX12|CCAR1_HUMAN Cell division cycle and apoptosis regulator protein 1 OS=Homo sapiens OX=9606 GN=CCAR1 PE=1 SV=2;tr|A0A0C4DGG8|A0A0C4DGG8_HUMAN Cell division cycle and apoptosis regulator protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=CCAR1 PE=1 SV=,3,3,3.3,4.17608450057973,4.06670010289021,24.1833633919656,24.755725413053
Q96A33;A0A087WYW6;J3QR89,Q96A33;A0A087WYW6,3;2;1,3;2;1,3;2;1,Coiled-coil domain-containing protein 47,CCDC47,sp|Q96A33|CCD47_HUMAN Coiled-coil domain-containing protein 47 OS=Homo sapiens OX=9606 GN=CCDC47 PE=1 SV=1;tr|A0A087WYW6|A0A087WYW6_HUMAN Coiled-coil domain-containing protein 47 OS=Homo sapiens OX=9606 GN=CCDC47 PE=1 SV=1,3,3,7.0,20.96176337321,21.0889570327372,24.3118131598024,24.3126442452505
P14635;E9PC90;H0YA62;D6RHI0,P14635;E9PC90,3;3;1;1,3;3;1;1,3;3;1;1,G2/mitotic-specific cyclin-B1,CCNB1,sp|P14635|CCNB1_HUMAN G2/mitotic-specific cyclin-B1 OS=Homo sapiens OX=9606 GN=CCNB1 PE=1 SV=1;tr|E9PC90|E9PC90_HUMAN G2/mitotic-specific cyclin-B1 (Fragment) OS=Homo sapiens OX=9606 GN=CCNB1 PE=1 SV=1,3,3,8.8,4.17608450057973,4.06670010289021,23.8766143659587,24.9664005388461
P86791;P86790;F8WD66,P86791;P86790,3;3;1,3;3;1,3;3;1,Vacuolar fusion protein CCZ1 homolog;Vacuolar fusion protein CCZ1 homolog B,CCZ1;CCZ1B,sp|P86791|CCZ1_HUMAN Vacuolar fusion protein CCZ1 homolog OS=Homo sapiens OX=9606 GN=CCZ1 PE=1 SV=1;sp|P86790|CCZ1B_HUMAN Vacuolar fusion protein CCZ1 homolog B OS=Homo sapiens OX=9606 GN=CCZ1B PE=1 SV=1,3,3,8.7,21.5858666167971,21.6240115717298,22.9522841056223,23.343527097351
P32320,P32320,3,3,3,Cytidine deaminase,CDA,sp|P32320|CDD_HUMAN Cytidine deaminase OS=Homo sapiens OX=9606 GN=CDA PE=1 SV=2,3,3,45.9,22.6760526201713,22.1522745887035,23.7613166702539,24.9183890444035
Q13042;A0A3B3ISD2;Q5T8C6,Q13042;A0A3B3ISD2;Q5T8C6,3;3;2,3;3;2,3;3;2,Cell division cycle protein 16 homolog,CDC16,sp|Q13042|CDC16_HUMAN Cell division cycle protein 16 homolog OS=Homo sapiens OX=9606 GN=CDC16 PE=1 SV=2;tr|A0A3B3ISD2|A0A3B3ISD2_HUMAN Cell division cycle protein 16 homolog OS=Homo sapiens OX=9606 GN=CDC16 PE=1 SV=1;tr|Q5T8C6|Q5T8C6_HUMAN Cell division cy,3,3,5.8,4.17608450057973,4.06670010289021,25.2013498075986,24.9344960713872
Q9NYV4;J3QSD7;Q14004;A0A2R8YEB7;A0A2R8Y644;Q9BVE2;A0A087X209;A0A2R8YD28;A0A2R8YF61;A0A2R8Y7W5;A0A2R8Y4Z0;A0A590UJE9,Q9NYV4;J3QSD7;Q14004;A0A2R8YEB7;A0A2R8Y644;Q9BVE2;A0A087X209;A0A2R8YD28;A0A2R8YF61;A0A2R8Y7W5;A0A2R8Y4Z0,4;3;2;2;2;2;2;2;2;2;2;1,3;2;1;1;1;1;1;1;1;1;1;1,3;2;1;1;1;1;1;1;1;1;1;1,Cyclin-dependent kinase 12;Cyclin-dependent kinase 13,CDK12;CDK13,sp|Q9NYV4|CDK12_HUMAN Cyclin-dependent kinase 12 OS=Homo sapiens OX=9606 GN=CDK12 PE=1 SV=2;tr|J3QSD7|J3QSD7_HUMAN Cyclin-dependent kinase 12 (Fragment) OS=Homo sapiens OX=9606 GN=CDK12 PE=1 SV=1;sp|Q14004|CDK13_HUMAN Cyclin-dependent kinase 13 OS=Homo sap,4,3,3.6,4.17608450057973,4.06670010289021,25.2923191049017,24.3059125583627
Q00535,Q00535,4,3,3,Cyclin-dependent-like kinase 5,CDK5,sp|Q00535|CDK5_HUMAN Cyclin-dependent-like kinase 5 OS=Homo sapiens OX=9606 GN=CDK5 PE=1 SV=3,4,3,13.0,24.4683053438936,22.3425879827762,4.45881916663448,4.39209895775669
O14578;H7BYJ3,O14578;H7BYJ3,3;2,3;2,3;2,Citron Rho-interacting kinase,CIT,sp|O14578|CTRO_HUMAN Citron Rho-interacting kinase OS=Homo sapiens OX=9606 GN=CIT PE=1 SV=2;tr|H7BYJ3|H7BYJ3_HUMAN Citron Rho-interacting kinase (Fragment) OS=Homo sapiens OX=9606 GN=CIT PE=1 SV=1,3,3,1.8,4.17608450057973,4.06670010289021,24.0806653135036,22.7481887539968
Q99715;D6RGG3;H0Y4P7;A0A087X0A8,Q99715;D6RGG3,3;3;1;1,3;3;1;1,3;3;1;1,Collagen alpha-1(XII) chain,COL12A1,sp|Q99715|COCA1_HUMAN Collagen alpha-1(XII) chain OS=Homo sapiens OX=9606 GN=COL12A1 PE=1 SV=2;tr|D6RGG3|D6RGG3_HUMAN Collagen alpha-1(XII) chain OS=Homo sapiens OX=9606 GN=COL12A1 PE=1 SV=1,3,3,1.2,25.1371956732313,22.7513171504622,25.8843214628414,25.3823176184439
Q9NQ92;J3QRX9;J3QRX4;J3QRX6;H9KV77,Q9NQ92;J3QRX9;J3QRX4,3;2;2;1;1,3;2;2;1;1,3;2;2;1;1,Coordinator of PRMT5 and differentiation stimulator,COPRS,sp|Q9NQ92|COPRS_HUMAN Coordinator of PRMT5 and differentiation stimulator OS=Homo sapiens OX=9606 GN=COPRS PE=1 SV=3;tr|J3QRX9|J3QRX9_HUMAN Coordinator of PRMT5 and differentiation stimulator OS=Homo sapiens OX=9606 GN=COPRS PE=1 SV=1;tr|J3QRX4|J3QRX4_HUMA,3,3,20.7,4.17608450057973,4.06670010289021,26.8159222761722,26.2554429890429
