GNB2_vs_zCtl,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
EXOSC1,0.1492136692,0.440767518507848,0,Q9Y3B2;R4GNH9;R4GMQ7;B1AMU7;B1AMU3;B1AMU4,Q9Y3B2;R4GNH9;R4GMQ7;B1AMU7;B1AMU3;B1AMU4,1;1;1;1;1;1,1;1;1;1;1;1,1;1;1;1;1;1,Exosome complex component CSL4,EXOSC1,sp|Q9Y3B2|EXOS1_HUMAN Exosome complex component CSL4 OS=Homo sapiens OX=9606 GN=EXOSC1 PE=1 SV=1;tr|R4GNH9|R4GNH9_HUMAN Exosome complex component CSL4 OS=Homo sapiens OX=9606 GN=EXOSC1 PE=1 SV=1;tr|R4GMQ7|R4GMQ7_HUMAN Exosome complex component CSL4 (Fragme,1,1,8.2,195
PABPC4,0.0460691052,0.757243146817705,0,Q13310;B1ANR0;B1ANR1;H0YEQ8;H0YER0;H0YCC8,Q13310;B1ANR0,20;20;8;5;2;2,7;7;1;0;1;0,1;1;1;0;0;0,Polyadenylate-binding protein 4;Polyadenylate-binding protein,PABPC4,sp|Q13310|PABP4_HUMAN Polyadenylate-binding protein 4 OS=Homo sapiens OX=9606 GN=PABPC4 PE=1 SV=1;tr|B1ANR0|B1ANR0_HUMAN Polyadenylate-binding protein OS=Homo sapiens OX=9606 GN=PABPC4 PE=1 SV=1,20,1,31.8,644
HNRNPC,-0.1437490978,0.277804002219821,0,G3V4C1;B2R5W2;B4DY08;G3V4W0;G3V251;G3V5X6;G3V3K6;B4DSU6;G3V4M8;G3V2D6;G3V2H6;A0A0G2JNQ3;O60812;B2RXH8;G3V5V7;B7ZW38;P0DMR1;A0A0G2JPF8;B3KT61;E5RG71;Q86SE5,G3V4C1;B2R5W2;B4DY08;G3V4W0;G3V251;G3V5X6;G3V3K6;B4DSU6,29;29;29;29;20;19;19;18;13;11;9;8;8;8;8;7;7;7;2;2;2,29;29;29;29;20;19;19;18;13;11;9;8;8;8;8;7;7;7;2;2;2,3;3;3;3;2;1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0,,HNRNPC,tr|G3V4C1|G3V4C1_HUMAN Heterogeneous nuclear ribonucleoproteins C1/C2 OS=Homo sapiens OX=9606 GN=HNRNPC PE=1 SV=1;tr|B2R5W2|B2R5W2_HUMAN Heterogeneous nuclear ribonucleoproteins C1/C2 OS=Homo sapiens OX=9606 GN=HNRNPC PE=1 SV=1;tr|B4DY08|B4DY08_HUMAN Heter,29,3,55.8,292
CNN2,-0.6117229271,0.0140135051860141,0,Q99439;B4DDF4;B4DUT8;A0A087X271;H3BVI6;A0A087X1X5;K7ES69;A0A087WV51;H3BQH0,Q99439;B4DDF4;B4DUT8;A0A087X271;H3BVI6;A0A087X1X5,10;10;10;8;8;6;4;1;1,10;10;10;8;8;6;4;1;1,10;10;10;8;8;6;4;1;1,Calponin-2;Calponin,CNN2,sp|Q99439|CNN2_HUMAN Calponin-2 OS=Homo sapiens OX=9606 GN=CNN2 PE=1 SV=4;tr|B4DDF4|B4DDF4_HUMAN Calponin OS=Homo sapiens OX=9606 GN=CNN2 PE=1 SV=1;tr|B4DUT8|B4DUT8_HUMAN Calponin OS=Homo sapiens OX=9606 GN=CNN2 PE=1 SV=1;tr|A0A087X271|A0A087X271_HUMAN Cal,10,10,42.1,309
NDUFV1,0.411291013,0.0272378128173042,0,P49821;B4DE93;G3V0I5;H0YD04;H0YE81;E9PLC6;E9PJL9;E9PPR0;E9PQP1;E9PMX3,P49821;B4DE93;G3V0I5;H0YD04;H0YE81;E9PLC6,4;4;4;2;2;2;1;1;1;1,4;4;4;2;2;2;1;1;1;1,4;4;4;2;2;2;1;1;1;1,"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial",NDUFV1,"sp|P49821|NDUV1_HUMAN NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFV1 PE=1 SV=4;tr|B4DE93|B4DE93_HUMAN NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFV1 PE=1 SV=1",4,4,12.7,464
CS,0.1603563108,0.23957893031705,0,O75390;B4DJV2;A0A0C4DGI3;H0YIC4;H0YH82;F8VTT8;F8VRP1;F8VX68;F8VPF9;F8W4S1;F8VPA1;F8W1S4;F8W642;F8VZK9;F8VX07;F8VRI6;F8VWQ5;F8VR34;F8VU34,O75390;B4DJV2;A0A0C4DGI3,25;25;24;11;8;7;7;7;7;7;7;7;6;6;6;3;2;1;1,25;25;24;11;8;7;7;7;7;7;7;7;6;6;6;3;2;1;1,25;25;24;11;8;7;7;7;7;7;7;7;6;6;6;3;2;1;1,"Citrate synthase, mitochondrial;Citrate synthase",CS,"sp|O75390|CISY_HUMAN Citrate synthase, mitochondrial OS=Homo sapiens OX=9606 GN=CS PE=1 SV=2;tr|B4DJV2|B4DJV2_HUMAN Citrate synthase OS=Homo sapiens OX=9606 GN=CS PE=1 SV=1;tr|A0A0C4DGI3|A0A0C4DGI3_HUMAN Citrate synthase OS=Homo sapiens OX=9606 GN=CS PE=1 ",25,25,49.1,466
CARS,0.005764017,0.976334007114691,0,P49589;B4DKY1,P49589;B4DKY1,4;4,4;4,4;4,"Cysteine--tRNA ligase, cytoplasmic",CARS,"sp|P49589|SYCC_HUMAN Cysteine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=CARS1 PE=1 SV=3;tr|B4DKY1|B4DKY1_HUMAN Cysteine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=CARS1 PE=1 SV=1",4,4,7.6,748
MRPL12,0.6605930842,0.0030571842407702,0,B4DLN1;P52815;Q9UBX3;F6RGN5;I3L1E8,B4DLN1;P52815,13;7;6;4;2,13;7;6;4;2,13;7;6;4;2,"39S ribosomal protein L12, mitochondrial",MRPL12,"tr|B4DLN1|B4DLN1_HUMAN cDNA FLJ60124, highly similar to Mitochondrial dicarboxylate carrier OS=Homo sapiens OX=9606 PE=2 SV=1;sp|P52815|RM12_HUMAN 39S ribosomal protein L12, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL12 PE=1 SV=2",13,13,37.6,442
NME7,0.0840278591,0.606224518767934,0,Q9Y5B8;E9PNU1;B4DXC8,Q9Y5B8;E9PNU1;B4DXC8,2;2;2,2;2;2,2;2;2,Nucleoside diphosphate kinase 7,NME7,sp|Q9Y5B8|NDK7_HUMAN Nucleoside diphosphate kinase 7 OS=Homo sapiens OX=9606 GN=NME7 PE=1 SV=1;tr|E9PNU1|E9PNU1_HUMAN Nucleoside diphosphate kinase 7 OS=Homo sapiens OX=9606 GN=NME7 PE=1 SV=1;tr|B4DXC8|B4DXC8_HUMAN Nucleoside diphosphate kinase 7 OS=Homo s,2,2,8.8,376
FXR1,-0.0958768229,0.609301356164958,0,P51114;E9PFF5;B4DXZ6;E7EU85;C9JZE0;C9JY20;Q06787;R9WNI0;A8MQB8;C9JAJ4;A0A087WXI3;G3V0J0,P51114;E9PFF5;B4DXZ6;E7EU85,10;10;10;9;3;3;2;2;2;1;1;1,10;10;10;9;3;3;2;2;2;1;1;1,7;7;7;6;3;3;0;0;0;1;0;0,Fragile X mental retardation syndrome-related protein 1,FXR1,sp|P51114|FXR1_HUMAN Fragile X mental retardation syndrome-related protein 1 OS=Homo sapiens OX=9606 GN=FXR1 PE=1 SV=3;tr|E9PFF5|E9PFF5_HUMAN Fragile X mental retardation syndrome-related protein 1 OS=Homo sapiens OX=9606 GN=FXR1 PE=1 SV=1;tr|B4DXZ6|B4DXZ6,10,7,18,621
DERL1,-0.1313718029,0.385661212512905,0,Q9BUN8;B4E1G1;E5RGY0,Q9BUN8;B4E1G1;E5RGY0,4;4;2,4;4;2,4;4;2,Derlin-1,DERL1,sp|Q9BUN8|DERL1_HUMAN Derlin-1 OS=Homo sapiens OX=9606 GN=DERL1 PE=1 SV=1;tr|B4E1G1|B4E1G1_HUMAN Derlin OS=Homo sapiens OX=9606 GN=DERL1 PE=1 SV=1;tr|E5RGY0|E5RGY0_HUMAN Derlin OS=Homo sapiens OX=9606 GN=DERL1 PE=1 SV=1,4,4,16.3,251
EML4,0.293964699,0.632466334079862,0,Q9HC35;B5MBZ0,Q9HC35;B5MBZ0,3;3,3;3,3;3,Echinoderm microtubule-associated protein-like 4,EML4,sp|Q9HC35|EMAL4_HUMAN Echinoderm microtubule-associated protein-like 4 OS=Homo sapiens OX=9606 GN=EML4 PE=1 SV=3;tr|B5MBZ0|B5MBZ0_HUMAN Echinoderm microtubule-associated protein-like 4 OS=Homo sapiens OX=9606 GN=EML4 PE=1 SV=3,3,3,3.7,981
HS1BP3,-0.666149211,0.0081704747750558,0,Q53T59;B5MC96;F6TR53;A0A494C0K6;A0A0D9SFN1,Q53T59;B5MC96;F6TR53;A0A494C0K6,7;7;7;4;1,7;7;7;4;1,7;7;7;4;1,HCLS1-binding protein 3,HS1BP3,sp|Q53T59|H1BP3_HUMAN HCLS1-binding protein 3 OS=Homo sapiens OX=9606 GN=HS1BP3 PE=1 SV=1;tr|B5MC96|B5MC96_HUMAN HCLS1-binding protein 3 OS=Homo sapiens OX=9606 GN=HS1BP3 PE=1 SV=1;tr|F6TR53|F6TR53_HUMAN HCLS1-binding protein 3 OS=Homo sapiens OX=9606 GN=H,7,7,16.1,392
BZW2,0.6409978168,0.0384493077707397,0,Q9Y6E2;E9PFD4;B5MCE7;Q75MG1;B5MCH7;E7ETZ4,Q9Y6E2;E9PFD4;B5MCE7;Q75MG1;B5MCH7;E7ETZ4,2;2;2;2;2;2,2;2;2;2;2;2,2;2;2;2;2;2,Basic leucine zipper and W2 domain-containing protein 2,BZW2,sp|Q9Y6E2|BZW2_HUMAN Basic leucine zipper and W2 domain-containing protein 2 OS=Homo sapiens OX=9606 GN=BZW2 PE=1 SV=1;tr|E9PFD4|E9PFD4_HUMAN BZW2 protein OS=Homo sapiens OX=9606 GN=BZW2 PE=1 SV=2;tr|B5MCE7|B5MCE7_HUMAN Basic leucine zipper and W2 domain-c,2,2,5.7,419
PES1,-0.2574500974,0.245369159486866,0,O00541;B5MCF9;B3KXD6;H7C267,O00541;B5MCF9;B3KXD6,12;12;10;3,12;12;10;3,12;12;10;3,Pescadillo homolog,PES1,sp|O00541|PESC_HUMAN Pescadillo homolog OS=Homo sapiens OX=9606 GN=PES1 PE=1 SV=1;tr|B5MCF9|B5MCF9_HUMAN Pescadillo homolog OS=Homo sapiens OX=9606 GN=PES1 PE=1 SV=1;tr|B3KXD6|B3KXD6_HUMAN Pescadillo homolog OS=Homo sapiens OX=9606 GN=PES1 PE=1 SV=1,12,12,19,588
RAN,0.0233489048,0.863940936831908,0,P62826;B5MDF5;J3KQE5;F5H018;B4DV51;H0YFC6;A0A087X0W0,P62826;B5MDF5;J3KQE5;F5H018;B4DV51,24;24;23;20;14;9;1,24;24;23;20;14;9;1,24;24;23;20;14;9;1,GTP-binding nuclear protein Ran,RAN,sp|P62826|RAN_HUMAN GTP-binding nuclear protein Ran OS=Homo sapiens OX=9606 GN=RAN PE=1 SV=3;tr|B5MDF5|B5MDF5_HUMAN GTP-binding nuclear protein Ran OS=Homo sapiens OX=9606 GN=RAN PE=1 SV=1;tr|J3KQE5|J3KQE5_HUMAN GTP-binding nuclear protein Ran (Fragment) O,24,24,65.3,216
SEPT10,-0.3626182241,0.164393310482888,0,Q9P0V9;E7EW69;E7EX04;B5ME97;F5GYV2;F5H1F2;C9JEW2;C9JNR7,Q9P0V9;E7EW69;E7EX04;B5ME97,6;6;6;6;2;2;1;1,5;5;5;5;2;2;1;1,5;5;5;5;2;2;1;1,Septin-10,SEPT10,sp|Q9P0V9|SEP10_HUMAN Septin-10 OS=Homo sapiens OX=9606 GN=SEPTIN10 PE=1 SV=2;tr|E7EW69|E7EW69_HUMAN Septin-10 OS=Homo sapiens OX=9606 GN=SEPTIN10 PE=1 SV=1;tr|E7EX04|E7EX04_HUMAN Septin-10 OS=Homo sapiens OX=9606 GN=SEPTIN10 PE=1 SV=1;tr|B5ME97|B5ME97_HUM,6,5,20.5,454
UQCRB,0.052747912,0.656713793502114,0,P14927;B7Z2R2;E5RHG9,P14927;B7Z2R2,8;8;3,8;8;3,8;8;3,Cytochrome b-c1 complex subunit 7,UQCRB,sp|P14927|QCR7_HUMAN Cytochrome b-c1 complex subunit 7 OS=Homo sapiens OX=9606 GN=UQCRB PE=1 SV=2;tr|B7Z2R2|B7Z2R2_HUMAN Cytochrome b-c1 complex subunit 7 OS=Homo sapiens OX=9606 GN=UQCRB PE=1 SV=1,8,8,64,111
DDX27,0.2851449469,0.105367030037579,0,Q96GQ7;B7Z6D5;A0A087X059,Q96GQ7;B7Z6D5;A0A087X059,9;9;5,9;9;5,9;9;5,Probable ATP-dependent RNA helicase DDX27,DDX27,sp|Q96GQ7|DDX27_HUMAN Probable ATP-dependent RNA helicase DDX27 OS=Homo sapiens OX=9606 GN=DDX27 PE=1 SV=2;tr|B7Z6D5|B7Z6D5_HUMAN Probable ATP-dependent RNA helicase DDX27 OS=Homo sapiens OX=9606 GN=DDX27 PE=1 SV=1;tr|A0A087X059|A0A087X059_HUMAN Probable A,9,9,12.8,796
NMT1,-0.0463629364,0.749935648100863,0,P30419;K7EN82;B7Z8J4,P30419;K7EN82;B7Z8J4,2;2;2,2;2;2,2;2;2,Glycylpeptide N-tetradecanoyltransferase 1,NMT1,sp|P30419|NMT1_HUMAN Glycylpeptide N-tetradecanoyltransferase 1 OS=Homo sapiens OX=9606 GN=NMT1 PE=1 SV=2;tr|K7EN82|K7EN82_HUMAN Glycylpeptide N-tetradecanoyltransferase 1 (Fragment) OS=Homo sapiens OX=9606 GN=NMT1 PE=1 SV=1;tr|B7Z8J4|B7Z8J4_HUMAN Glycylpe,2,2,5,496
ACADM,0.240923614,0.172073547318123,0,P11310;B7Z9I1;Q5T4U5;H0YDT5;E9PJM9,P11310;B7Z9I1;Q5T4U5,10;10;10;3;1,10;10;10;3;1,10;10;10;3;1,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",ACADM,"sp|P11310|ACADM_HUMAN Medium-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ACADM PE=1 SV=1;tr|B7Z9I1|B7Z9I1_HUMAN Medium-chain-specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ACADM PE=1 SV=1;tr|Q5",10,10,31.4,421
SUMO1,-0.1672242591,0.245804107583561,0,P63165;B8ZZN6;B8ZZ67;B8ZZJ0;B9A032,P63165;B8ZZN6;B8ZZ67,3;3;2;1;1,3;3;2;1;1,1;1;1;0;0,Small ubiquitin-related modifier 1,SUMO1,sp|P63165|SUMO1_HUMAN Small ubiquitin-related modifier 1 OS=Homo sapiens OX=9606 GN=SUMO1 PE=1 SV=1;tr|B8ZZN6|B8ZZN6_HUMAN Small ubiquitin-related modifier 1 OS=Homo sapiens OX=9606 GN=SUMO1 PE=1 SV=1;tr|B8ZZ67|B8ZZ67_HUMAN SMT3 suppressor of mif two 3 hom,3,1,27.7,101
PTMA,-0.1251405289,0.334607192967716,0,P06454;B8ZZQ6,P06454;B8ZZQ6,3;3,3;3,3;3,"Prothymosin alpha;Prothymosin alpha, N-terminally processed;Thymosin alpha-1",PTMA,sp|P06454|PTMA_HUMAN Prothymosin alpha OS=Homo sapiens OX=9606 GN=PTMA PE=1 SV=2;tr|B8ZZQ6|B8ZZQ6_HUMAN Prothymosin alpha OS=Homo sapiens OX=9606 GN=PTMA PE=1 SV=1,3,3,17.1,111
HIBCH,-0.8996849095,0.219733960982048,0,Q6NVY1;B8ZZZ0;H7C400,Q6NVY1;B8ZZZ0;H7C400,3;3;2,3;3;2,3;3;2,"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial",HIBCH,"sp|Q6NVY1|HIBCH_HUMAN 3-hydroxyisobutyryl-CoA hydrolase, mitochondrial OS=Homo sapiens OX=9606 GN=HIBCH PE=1 SV=2;tr|B8ZZZ0|B8ZZZ0_HUMAN 3-hydroxyisobutyryl-CoA hydrolase, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=HIBCH PE=1 SV=1;tr|H7C400|H7C400",3,3,6.7,386
IMMT,0.3833378708,0.0289956569293976,0,Q16891;B9A067;C9J406;H7C463;A0A087WYS0;D6RAW4,Q16891;B9A067;C9J406;H7C463,12;12;11;10;5;1,12;12;11;10;5;1,12;12;11;10;5;1,MICOS complex subunit MIC60,IMMT,sp|Q16891|MIC60_HUMAN MICOS complex subunit MIC60 OS=Homo sapiens OX=9606 GN=IMMT PE=1 SV=1;tr|B9A067|B9A067_HUMAN MICOS complex subunit MIC60 OS=Homo sapiens OX=9606 GN=IMMT PE=1 SV=2;tr|C9J406|C9J406_HUMAN MICOS complex subunit MIC60 OS=Homo sapiens OX=9,12,12,21,758
SMARCD2,-0.1402638349,0.427958684335912,0,Q92925;J3KMX2;B9EGA3;J3QWB6;Q96GM5;F8VW95;C9JYI7;F8VZ70;F8VUB0,Q92925;J3KMX2;B9EGA3;J3QWB6,4;4;4;3;1;1;1;1;1,4;4;4;3;1;1;1;1;1,3;3;3;3;0;0;0;0;0,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 2,SMARCD2,sp|Q92925|SMRD2_HUMAN SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 2 OS=Homo sapiens OX=9606 GN=SMARCD2 PE=1 SV=3;tr|J3KMX2|J3KMX2_HUMAN SWI/SNF-related matrix-associated actin-dependent regulator of chromatin,4,3,11.1,531
GFM1,-1.6142833561,0.0409871661319711,1,Q96RP9;F8WAU4;C9IZ01,Q96RP9;F8WAU4;C9IZ01,5;5;5,5;5;5,5;5;5,"Elongation factor G, mitochondrial",GFM1,"sp|Q96RP9|EFGM_HUMAN Elongation factor G, mitochondrial OS=Homo sapiens OX=9606 GN=GFM1 PE=1 SV=2;tr|F8WAU4|F8WAU4_HUMAN Elongation factor G, mitochondrial OS=Homo sapiens OX=9606 GN=GFM1 PE=1 SV=1;tr|C9IZ01|C9IZ01_HUMAN Elongation factor G, mitochondrial ",5,5,7.5,751
SNX8,0.2900537246,0.109386319258951,0,Q9Y5X2;C9J014;C9J271;C9JCB9;C9J8E6,Q9Y5X2;C9J014;C9J271;C9JCB9;C9J8E6,2;2;2;1;1,2;2;2;1;1,2;2;2;1;1,Sorting nexin-8,SNX8,sp|Q9Y5X2|SNX8_HUMAN Sorting nexin-8 OS=Homo sapiens OX=9606 GN=SNX8 PE=1 SV=1;tr|C9J014|C9J014_HUMAN Sorting nexin-8 (Fragment) OS=Homo sapiens OX=9606 GN=SNX8 PE=1 SV=1;tr|C9J271|C9J271_HUMAN Sorting nexin-8 (Fragment) OS=Homo sapiens OX=9606 GN=SNX8 PE=,2,2,7.5,465
C9orf172,0.9898876678,0.151600843733013,0,C9J069,C9J069,2,2,2,Uncharacterized protein C9orf172,C9orf172,sp|C9J069|AJM1_HUMAN Apical junction component 1 homolog OS=Homo sapiens OX=9606 GN=AJM1 PE=3 SV=1,2,2,2.7,976
EEF1E1;EEF1E1-BLOC1S5,0.3587817677,0.388739652678919,0,O43324;D6RBD7;C9J1V9;D6RCQ0;H0YAL7,O43324;D6RBD7;C9J1V9;D6RCQ0;H0YAL7,2;2;2;1;1,2;2;2;1;1,2;2;2;1;1,Eukaryotic translation elongation factor 1 epsilon-1,EEF1E1;EEF1E1-BLOC1S5,sp|O43324|MCA3_HUMAN Eukaryotic translation elongation factor 1 epsilon-1 OS=Homo sapiens OX=9606 GN=EEF1E1 PE=1 SV=1;tr|D6RBD7|D6RBD7_HUMAN Eukaryotic translation elongation factor 1 epsilon-1 OS=Homo sapiens OX=9606 GN=EEF1E1 PE=1 SV=1;tr|C9J1V9|C9J1V9_H,2,2,12.1,174
ZC3HAV1,0.1612371735,0.845657987971729,0,Q7Z2W4;C9J6P4;H7C5K1,Q7Z2W4;C9J6P4,6;6;1,6;6;1,6;6;1,Zinc finger CCCH-type antiviral protein 1,ZC3HAV1,sp|Q7Z2W4|ZCCHV_HUMAN Zinc finger CCCH-type antiviral protein 1 OS=Homo sapiens OX=9606 GN=ZC3HAV1 PE=1 SV=3;tr|C9J6P4|C9J6P4_HUMAN Zinc finger CCCH-type antiviral protein 1 OS=Homo sapiens OX=9606 GN=ZC3HAV1 PE=1 SV=1,6,6,9.6,902
PFN2,-0.0424671074,0.77249605069073,0,P35080;C9J712,P35080;C9J712,3;3,1;1,1;1,Profilin-2,PFN2,sp|P35080|PROF2_HUMAN Profilin-2 OS=Homo sapiens OX=9606 GN=PFN2 PE=1 SV=3;tr|C9J712|C9J712_HUMAN Profilin OS=Homo sapiens OX=9606 GN=PFN2 PE=1 SV=1,3,1,17.1,140
L2HGDH,0.0800383987,0.735084288842063,0,Q9H9P8;C9JVN9;G3V272,Q9H9P8;C9JVN9,6;6;1,6;6;1,6;6;1,"L-2-hydroxyglutarate dehydrogenase, mitochondrial",L2HGDH,"sp|Q9H9P8|L2HDH_HUMAN L-2-hydroxyglutarate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=L2HGDH PE=1 SV=3;tr|C9JVN9|C9JVN9_HUMAN L-2-hydroxyglutarate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=L2HGDH PE=1 SV=1",6,6,16.8,463
RPL22L1,0.0214404993,0.950010872020311,0,Q6P5R6;C9JYQ9;H0Y8C2,Q6P5R6;C9JYQ9;H0Y8C2,7;7;7,4;4;4,4;4;4,60S ribosomal protein L22-like 1,RPL22L1,sp|Q6P5R6|RL22L_HUMAN 60S ribosomal protein L22-like 1 OS=Homo sapiens OX=9606 GN=RPL22L1 PE=1 SV=2;tr|C9JYQ9|C9JYQ9_HUMAN 60S ribosomal protein L22-like 1 OS=Homo sapiens OX=9606 GN=RPL22L1 PE=1 SV=1;tr|H0Y8C2|H0Y8C2_HUMAN 60S ribosomal protein L22-like 1,7,4,62.3,122
RFC4,-0.3932684058,0.0232581742701362,0,P35249;C9JZI1;C9J8M3;C9JTT7;C9JXZ7;C9JGY5;F8WE44;H7C1P0,P35249;C9JZI1;C9J8M3;C9JTT7,11;11;9;7;5;2;2;2,11;11;9;7;5;2;2;2,11;11;9;7;5;2;2;2,Replication factor C subunit 4,RFC4,sp|P35249|RFC4_HUMAN Replication factor C subunit 4 OS=Homo sapiens OX=9606 GN=RFC4 PE=1 SV=2;tr|C9JZI1|C9JZI1_HUMAN Replication factor C subunit 4 OS=Homo sapiens OX=9606 GN=RFC4 PE=1 SV=1;tr|C9J8M3|C9J8M3_HUMAN Replication factor C subunit 4 (Fragment) O,11,11,32.5,363
RPL32,0.2412008501,0.09259749212592,0,P62910;D3YTB1;F8W727;D3YTI8,P62910;D3YTB1;F8W727,16;16;16;1,16;16;16;1,16;16;16;1,60S ribosomal protein L32,RPL32,sp|P62910|RL32_HUMAN 60S ribosomal protein L32 OS=Homo sapiens OX=9606 GN=RPL32 PE=1 SV=2;tr|D3YTB1|D3YTB1_HUMAN 60S ribosomal protein L32 (Fragment) OS=Homo sapiens OX=9606 GN=RPL32 PE=1 SV=1;tr|F8W727|F8W727_HUMAN 60S ribosomal protein L32 OS=Homo sapien,16,16,63,135
HLA-B,-0.7987745411,0.00191089475080643,0,D5H3J5;Q2L6G2;A0A140T997;A0A140TA11;A0A140T9Y5;A0A140T9A9;A0A140TA14;A0A140T9H3;A0A140T9G0;A0A1W2PPR8;P01889;A0A140T9X6;D0EV57;A0A0G2JPA3;A0A140T9V0;A0A140T8X0;A0A140T9B7;A0A140T9W3;A0A140T9D9;A0A140T9W7;A0A140T939;A0A140T9C2;A0A0G2JH66;A0A1W2PNZ7;A0A140T9M0;A0A140T9W2;A0A140T9U0;Q53YP1;A0A1W2PQZ3;P13747;Q5RJ85;A0A140T9T1;A0A0G2JNV5;Q31611;A0A1W2PQE2;A0A140T9J8;P17693;A0A1W2PP29,D5H3J5;Q2L6G2;A0A140T997;A0A140TA11;A0A140T9Y5;A0A140T9A9;A0A140TA14;A0A140T9H3,14;13;10;9;9;9;8;8;5;4;4;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1,12;11;9;8;8;7;7;6;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;1;1;1;0;1;0;0;1;0,5;4;5;4;4;4;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,,HLA-B,tr|D5H3J5|D5H3J5_HUMAN HLA class I histocompatibility antigen B alpha chain OS=Homo sapiens OX=9606 GN=HLA-B PE=1 SV=1;tr|Q2L6G2|Q2L6G2_HUMAN HLA class I histocompatibility antigen B alpha chain OS=Homo sapiens OX=9606 GN=HLA-B PE=1 SV=1;tr|A0A140T997|A0A1,14,5,49.2,362
HNRNPAB,-0.0574023183,0.664828009486269,0,D6R9P3;D6RD18;D6RBZ0;Q99729,D6R9P3;D6RD18;D6RBZ0;Q99729,15;15;15;12,14;14;14;11,14;14;14;11,Heterogeneous nuclear ribonucleoprotein A/B,HNRNPAB,tr|D6R9P3|D6R9P3_HUMAN Heterogeneous nuclear ribonucleoprotein A/B OS=Homo sapiens OX=9606 GN=HNRNPAB PE=1 SV=1;tr|D6RD18|D6RD18_HUMAN Heterogeneous nuclear ribonucleoprotein A/B OS=Homo sapiens OX=9606 GN=HNRNPAB PE=1 SV=1;tr|D6RBZ0|D6RBZ0_HUMAN Heterogen,15,14,35.4,280
GNPDA1,0.0256115645,0.93305171746154,0,P46926;D6RAY7;D6R9P4;D6RFF8;D6R917;D6RB13;Q8TDQ7;D6RFK5;V9GYW0;V9GYK3,P46926;D6RAY7;D6R9P4;D6RFF8;D6R917;D6RB13,8;8;8;7;4;4;3;1;1;1,8;8;8;7;4;4;3;1;1;1,8;8;8;7;4;4;3;1;1;1,Glucosamine-6-phosphate isomerase 1;Glucosamine-6-phosphate isomerase,GNPDA1,sp|P46926|GNPI1_HUMAN Glucosamine-6-phosphate isomerase 1 OS=Homo sapiens OX=9606 GN=GNPDA1 PE=1 SV=1;tr|D6RAY7|D6RAY7_HUMAN Glucosamine-6-phosphate isomerase (Fragment) OS=Homo sapiens OX=9606 GN=GNPDA1 PE=1 SV=1;tr|D6R9P4|D6R9P4_HUMAN Glucosamine-6-phosp,8,8,37.7,289
NDUFAF2,0.2929709489,0.139156523654944,0,Q8N183;D6RA56,Q8N183;D6RA56,1;1,1;1,1;1,"Mimitin, mitochondrial",NDUFAF2,sp|Q8N183|NDUF2_HUMAN NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 2 OS=Homo sapiens OX=9606 GN=NDUFAF2 PE=1 SV=1;tr|D6RA56|D6RA56_HUMAN NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 2 OS=Homo sapiens OX=9606 GN=N,1,1,4.7,169
NCAPG,-0.1635821174,0.288834907552499,0,Q9BPX3;D6RA93,Q9BPX3;D6RA93,3;3,3;3,3;3,Condensin complex subunit 3,NCAPG,sp|Q9BPX3|CND3_HUMAN Condensin complex subunit 3 OS=Homo sapiens OX=9606 GN=NCAPG PE=1 SV=1;tr|D6RA93|D6RA93_HUMAN Condensin complex subunit 3 OS=Homo sapiens OX=9606 GN=NCAPG PE=1 SV=1,3,3,2.7,1015
