Gene_names,GNB2_vs_BirA_logFC,GNB2_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_GNB2_N1,Peptides_GNB2_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_GNB2_N1,Razor___unique_peptides_GNB2_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_GNB2_N1,Unique_peptides_GNB2_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_GNB2_N1,Identification_type_GNB2_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_GNB2_N1,Ratio_H_L_GNB2_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_GNB2_N1,Ratio_H_L_normalized_GNB2_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____GNB2_N1,Ratio_H_L_variability_____GNB2_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_GNB2_N1,Ratio_H_L_count_GNB2_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_GNB2_N1,Ratio_H_L_iso_count_GNB2_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_GNB2_N1,Ratio_H_L_type_GNB2_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_GNB2_N1____,Sequence_coverage_GNB2_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_GNB2_N1,Intensity_L_GNB2_N1,Intensity_H_GNB2_N1,Intensity_GNB2_N2,Intensity_L_GNB2_N2,Intensity_H_GNB2_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_GNB2_N1,metacell_Intensity_L_GNB2_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
ADSS,-20.9265323405801,2.2377660505484e-07,P30520,P30520,2,2,2,Adenylosuccinate synthetase isozyme 2,sp|P30520|PURA2_HUMAN Adenylosuccinate synthetase isozyme 2 OS=Homo sapiens OX=9606 GN=ADSS2 PE=1 SV=3,1,2,2,2,1,2,0,0,1,2,0,0,1,2,0,0,7.7,7.7,7.7,50.097,456,456,0.0,4.9558,By MS/MS,By MS/MS,,,0.5017,1.309,4.9362,3,2,Median,0.37659,0.50838,,,1.309,1.3346,,,,6.7987,,,1,2,0,0,1,1,0,0,Median,Median,Median,Median,3.1,7.7,0.0,0.0,124400000,78718000,45683000,42667000,26625000,16042000,81734000,52094000,29641000,0,0,0,0,0,0,,,,1792,598;18753,True;True,758;24908,1735;1736;55963,3107;3108;3109;3110;100754;100755;100756,3108;100756,,,,,-1,protein_1793,imputed MEC,imputed MEC,quanti,quanti
SLC7A1,19.909681172292,9.68460559126766e-07,P30825;Q5JR49,P30825;Q5JR49,2;2,2;2,2;2,High affinity cationic amino acid transporter 1,sp|P30825|SL7A1_HUMAN High affinity cationic amino acid transporter 1 OS=Homo sapiens OX=9606 GN=SLC7A1 PE=1 SV=1;tr|Q5JR49|Q5JR49_HUMAN High affinity cationic amino acid transporter 1 (Fragment) OS=Homo sapiens OX=9606 GN=SLC7A1 PE=1 SV=1,2,2,2,2,0,0,2,1,0,0,2,1,0,0,2,1,2.2,2.2,2.2,67.638,629,629;121,0.00051493,2.7039,,,By MS/MS,By MS/MS,0.83258,2.3067,86.405,3,2,Median,,,0.38359,0.96787,,,1.1373,2.6872,,,100.01,,0,0,2,1,0,0,2,0,Median,Median,Median,Median,0.0,0.0,2.2,1.7,91605000,59122000,32483000,0,0,0,0,0,0,63582000,43429000,20153000,28023000,15693000,12330000,,,,1793,5242;19280,True;True,6986;25671,15715;57747;57748,28633;104095;104096,28633;104096,,,,,-1;-1,protein_1794,quanti,quanti,imputed MEC,imputed MEC
ALDH1B1,0.549357575985923,0.405256469305091,P30837;P00352;P47895;O94788;A0A0U1RQK9;H0Y2X5;H0YMG7,P30837,16;1;1;1;1;1;1,16;1;1;1;1;1;1,15;0;0;0;1;0;0,"Aldehyde dehydrogenase X, mitochondrial","sp|P30837|AL1B1_HUMAN Aldehyde dehydrogenase X, mitochondrial OS=Homo sapiens OX=9606 GN=ALDH1B1 PE=1 SV=3",7,16,16,15,9,9,15,7,9,9,15,7,9,9,14,6,44.3,44.3,42.7,57.206,517,517;501;512;518;130;405;489,0.0,46.127,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.24032,0.74594,21.577,47,18,Leave out requantified,0.22339,0.28063,0.2302,0.28507,0.71887,0.70574,0.74669,0.91292,15.152,14.353,20.277,40.641,8,9,20,10,3,2,9,4,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,23.0,23.0,39.8,17.6,2498900000,1950200000,548660000,361400000,289380000,72022000,398030000,310560000,87473000,1242500000,977100000,265440000,496910000,373180000,123730000,,,,1794,5339;6631;7055;9284;9335;9622;10931;17225;17431;18167;18287;19229;19230;19871;20549;20645,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,7126;7127;8993;9645;12718;12811;13229;13230;14952;22926;22927;23212;24155;24300;25597;25598;25599;25600;26421;27316;27317;27441;27442,16023;16024;16025;16026;16027;16028;20256;20257;21784;21785;21786;21787;28584;28793;29683;29684;29685;29686;29687;33615;51420;51421;51422;52062;54209;54553;54554;54555;57565;57566;57567;57568;57569;57570;57571;57572;57573;59444;59445;61488;61489;61490;61768;61769;61770;61771;61772;61773,29163;29164;29165;29166;29167;36723;36724;36725;36726;36727;36728;36729;36730;39560;39561;39562;39563;39564;39565;39566;51653;51654;51655;51944;51945;53496;53497;53498;53499;53500;53501;53502;53503;60600;91940;91941;91942;91943;93302;97424;98084;98085;98086;98087;98088;98089;98090;98091;98092;103739;103740;103741;103742;103743;103744;103745;103746;103747;103748;103749;103750;103751;103752;103753;103754;107315;107316;110969;110970;110971;111452;111453;111454;111455;111456;111457;111458;111459;111460;111461;111462;111463;111464;111465;111466,29165;36725;39562;51654;51945;53498;60600;91940;93302;97424;98085;103741;103746;107315;110969;111466,2193;2194;2195;2196;2197,,52;155;383;399;511,,-1;-1;-1;-1;-1;-1;-1,protein_1795,quanti,quanti,quanti,quanti
SDHA,1.83470181073753,0.0221511129105713,P31040;D6RFM5;A0A494C1T6;A0A087X1I3;H0Y8X1,P31040;D6RFM5;A0A494C1T6;A0A087X1I3,17;15;12;10;1,17;15;12;10;1,17;15;12;10;1,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial","sp|P31040|SDHA_HUMAN Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial OS=Homo sapiens OX=9606 GN=SDHA PE=1 SV=2;tr|D6RFM5|D6RFM5_HUMAN Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial OS=Homo sapiens OX=9606 ",5,17,17,17,8,6,16,14,8,6,16,14,8,6,16,14,33.0,33.0,33.0,72.691,664,664;583;356;519;126,0.0,93.54,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.44346,1.3003,23.403,58,15,Leave out requantified,0.43639,0.56161,0.37563,0.4586,1.3915,1.3218,1.3185,1.2965,38.144,29.33,28.979,21.019,8,6,26,18,1,1,10,3,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,15.2,13.6,32.5,29.5,3825300000,2542900000,1282300000,306240000,209070000,97164000,314840000,196390000,118450000,2210800000,1459300000,751490000,993460000,678210000,315240000,,,,1795,81;82;575;1114;6429;6960;8922;10093;13945;16286;16295;16296;17262;18221;18820;19728;20280,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,87;88;89;90;720;721;1474;1475;8676;8677;9498;9499;12138;13838;18754;21756;21757;21766;21767;22974;22975;24219;24997;24998;26239;26978;26979,197;198;199;200;201;202;203;204;205;206;1644;1645;1646;3434;3435;3436;19499;19500;19501;19502;19503;19504;21467;21468;21469;21470;27394;31101;31102;31103;31104;31105;31106;42102;42103;42104;48664;48665;48666;48686;48687;48688;48689;51518;51519;51520;51521;51522;51523;54373;54374;54375;54376;56175;56176;56177;56178;59050;59051;60745;60746;60747;60748,324;325;326;327;328;329;330;331;332;333;334;335;336;337;2936;2937;6272;6273;6274;6275;6276;6277;35343;35344;35345;35346;35347;35348;35349;39005;39006;39007;39008;39009;39010;39011;49781;56054;56055;56056;56057;56058;56059;56060;56061;56062;56063;56064;56065;56066;56067;75518;75519;75520;75521;86912;86913;86914;86915;86938;86939;86940;86941;92142;92143;92144;92145;92146;92147;92148;92149;92150;92151;92152;92153;92154;92155;92156;97751;97752;97753;97754;97755;97756;97757;97758;97759;101124;101125;101126;106507;106508;109684;109685;109686;109687,329;335;2936;6273;35345;39009;49781;56058;75519;86912;86939;86940;92155;97755;101126;106508;109684,2198;2199;2200;2201,,92;179;250;538,,-1;-1;-1;-1;-1,protein_1796,quanti,quanti,quanti,quanti
DNAJA1,1.17754523832198,0.138242073128991,P31689,P31689,4,4,4,DnaJ homolog subfamily A member 1,sp|P31689|DNJA1_HUMAN DnaJ homolog subfamily A member 1 OS=Homo sapiens OX=9606 GN=DNAJA1 PE=1 SV=2,1,4,4,4,2,2,3,3,2,2,3,3,2,2,3,3,19.4,19.4,19.4,44.868,397,397,0.0,14.366,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.95206,3.0308,26.586,15,1,Leave out requantified,0.87206,0.83597,1.0452,1.0737,2.9169,2.3031,3.6964,3.5061,9.8585,25.527,22.924,27.22,2,3,4,6,0,0,0,1,Median,Plateau,Leave out requantified,Leave out requantified,10.3,10.3,12.3,12.3,815920000,409560000,406360000,77740000,39802000,37938000,105870000,50587000,55288000,182220000,82437000,99786000,450080000,236740000,213350000,,,,1800,2683;7508;10943;17461,True;True;True;True,3571;3572;10197;14968;23248;23249,8283;8284;8285;23045;23046;33650;33651;52134;52135;52136;52137;52138;52139;52140;52141,15234;15235;15236;15237;41838;41839;41840;41841;60660;60661;60662;93450;93451;93452;93453;93454;93455;93456;93457;93458;93459;93460;93461;93462;93463;93464;93465;93466,15234;41838;60660;93464,,,,,-1,protein_1801,quanti,quanti,quanti,quanti
UQCRC1,0.255538129810006,0.655331461300641,P31930,P31930,23,23,23,"Cytochrome b-c1 complex subunit 1, mitochondrial","sp|P31930|QCR1_HUMAN Cytochrome b-c1 complex subunit 1, mitochondrial OS=Homo sapiens OX=9606 GN=UQCRC1 PE=1 SV=3",1,23,23,23,11,13,18,15,11,13,18,15,11,13,18,15,52.5,52.5,52.5,52.645,480,480,0.0,185.84,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.2422,0.73188,16.616,74,23,Leave out requantified,0.20323,0.24994,0.23438,0.2772,0.67724,0.70247,0.72531,0.89034,15.471,17.375,16.025,16.82,11,13,29,21,2,4,8,9,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,34.2,40.0,41.9,41.0,5732000000,4460300000,1271700000,809050000,653780000,155270000,1289700000,989000000,300670000,2394000000,1897500000,496440000,1239300000,920010000,319330000,,,,1801,398;399;3252;3549;3550;4002;4250;6768;7028;7029;7184;9772;12718;13116;13117;13231;13846;15003;15712;15713;16137;20758;20759,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,509;510;511;512;513;514;4340;4708;4709;5291;5622;9207;9601;9602;9603;9802;13433;17206;17207;17701;17702;17848;17849;18635;20122;20123;21019;21020;21021;21022;21576;27585;27586,1182;1183;1184;1185;1186;1187;1188;1189;1190;1191;1192;1193;10012;10798;10799;10800;10801;12032;12763;20794;21688;21689;21690;21691;21692;21693;21694;22140;30207;30208;30209;30210;30211;38627;38628;38629;38630;38631;39715;39716;39717;39718;39719;40039;40040;40041;40042;40043;40044;41831;41832;41833;41834;44949;44950;44951;44952;44953;46915;46916;46917;46918;46919;46920;46921;46922;46923;48234;48235;48236;48237;62091;62092;62093,2175;2176;2177;2178;2179;2180;2181;2182;2183;2184;2185;2186;2187;2188;2189;2190;2191;2192;2193;2194;2195;18438;19818;19819;19820;19821;19822;19823;19824;21989;21990;23319;37755;39397;39398;39399;39400;39401;39402;39403;39404;39405;40208;40209;40210;54472;54473;54474;54475;54476;54477;69239;69240;69241;69242;69243;69244;71096;71097;71098;71099;71100;71101;71102;71103;71728;71729;71730;71731;71732;71733;71734;71735;71736;71737;71738;71739;71740;71741;71742;71743;71744;71745;71746;71747;71748;75014;75015;75016;75017;75018;75019;75020;75021;75022;75023;75024;75025;80327;80328;80329;80330;80331;83727;83728;83729;83730;83731;83732;83733;83734;83735;83736;83737;83738;86162;86163;86164;86165;86166;86167;86168;86169;86170;86171;86172;86173;112051;112052;112053;112054;112055;112056;112057;112058,2178;2184;18438;19818;19819;21990;23319;37755;39403;39405;40208;54473;69243;71099;71103;71736;75022;80329;83732;83738;86169;112054;112056,2210;2211,,134;225,,-1,protein_1802,quanti,quanti,quanti,quanti
HIBADH,20.9432887781892,1.26128884406961e-05,P31937;H7BZL2,P31937,3;1,3;1,3;1,"3-hydroxyisobutyrate dehydrogenase, mitochondrial","sp|P31937|3HIDH_HUMAN 3-hydroxyisobutyrate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=HIBADH PE=1 SV=2",2,3,3,3,0,0,3,1,0,0,3,1,0,0,3,1,14.6,14.6,14.6,35.329,336,336;206,0.0,19.943,,,By MS/MS,By MS/MS,0.34689,1.0631,9.2128,6,2,Leave out requantified,,,0.34689,0.37893,,,1.0631,1.0124,,,9.2128,,0,0,5,1,0,0,1,1,Median,Median,Leave out requantified,Median,0.0,0.0,14.6,4.2,252480000,183130000,69357000,0,0,0,0,0,0,228510000,165910000,62595000,23976000,17215000,6761600,,,,1802,12561;16389;17825,True;True;True,17003;21883;21884;23726,38208;48954;48955;48956;48957;53154,68562;87459;87460;87461;87462;87463;95283;95284,68562;87459;95284,,,,,-1;-1,protein_1803,quanti,quanti,imputed MEC,imputed MEC
ATIC,-3.52176720693338,0.055368396526327,P31939;C9JLK0;F8WEF0;H7C1S2,P31939,21;7;4;4,21;7;4;4,21;7;4;4,Bifunctional purine biosynthesis protein PURH;Phosphoribosylaminoimidazolecarboxamide formyltransferase;IMP cyclohydrolase,sp|P31939|PUR9_HUMAN Bifunctional purine biosynthesis protein ATIC OS=Homo sapiens OX=9606 GN=ATIC PE=1 SV=3,4,21,21,21,17,19,2,10,17,19,2,10,17,19,2,10,45.8,45.8,45.8,64.615,592,592;170;84;231,0.0,61.549,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.34181,1.0006,17.276,50,17,Leave out requantified,0.28443,0.36662,0.34213,0.34421,1.0242,1.0233,0.78135,0.9318,29.819,12.332,18.881,23.051,17,19,2,12,3,3,2,9,Leave out requantified,Leave out requantified,Median,Leave out requantified,40.9,44.6,4.4,20.1,2976300000,2170000000,806260000,1099000000,853300000,245720000,1245900000,872380000,373480000,35172000,25526000,9645500,596210000,418800000,177410000,,,,1803,644;645;1447;1677;3248;3725;4032;5108;6483;6964;7616;9535;9795;13395;13680;16058;17554;17574;17664;19087;19942,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,821;822;1942;2251;4336;4949;5333;6787;8754;9505;10348;13112;13113;13459;18057;18427;18428;21469;23381;23406;23407;23529;25398;25399;26513,1860;1861;1862;1863;1864;4488;5253;5254;10004;10005;10006;10007;11327;11328;12106;15296;15297;19676;21480;21481;23456;29431;29432;29433;29434;30273;40513;40514;40515;41339;41340;41341;47956;47957;52412;52413;52469;52470;52471;52742;52743;52744;57120;57121;57122;57123;59660;59661;59662;59663,3304;3305;3306;3307;3308;3309;3310;3311;3312;3313;3314;3315;3316;3317;3318;3319;8146;9711;9712;9713;9714;9715;18424;18425;18426;18427;18428;18429;18430;20765;20766;22101;27854;35660;39020;39021;42733;53030;53031;53032;53033;53034;54585;54586;72540;72541;72542;72543;72544;74077;74078;74079;74080;74081;74082;74083;74084;74085;74086;74087;85651;85652;85653;85654;85655;93937;93938;94034;94035;94036;94037;94038;94609;94610;94611;94612;94613;94614;94615;102948;102949;102950;102951;102952;102953;107707;107708;107709;107710;107711;107712;107713,3314;3316;8146;9715;18426;20765;22101;27854;35660;39020;42733;53031;54586;72542;74081;85651;93938;94034;94610;102952;107708,2212,,66,,-1;-1;-1;-1,protein_1804,quanti,quanti,quanti,quanti
HNRNPH3,2.28856684782551,0.0130638553822026,P31942,P31942,15,15,15,Heterogeneous nuclear ribonucleoprotein H3,sp|P31942|HNRH3_HUMAN Heterogeneous nuclear ribonucleoprotein H3 OS=Homo sapiens OX=9606 GN=HNRNPH3 PE=1 SV=2,1,15,15,15,7,7,13,8,7,7,13,8,7,7,13,8,65.6,65.6,65.6,36.926,346,346,0.0,323.31,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.37257,1.137,48.836,62,9,Leave out requantified,0.38037,0.46657,0.36998,0.35295,1.3128,1.2321,1.2519,1.1365,65.05,17.517,20.325,12.975,10,8,25,19,2,1,4,2,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,29.8,34.4,61.3,39.3,6713000000,4682200000,2030700000,604730000,380300000,224430000,338320000,222040000,116280000,3738200000,2625400000,1112900000,2031700000,1454500000,577180000,,,,1804,2056;2076;2857;3556;5945;6033;7406;12427;12591;15537;15538;16696;16697;18861;20716,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,2736;2737;2762;3811;4716;8024;8145;8146;10069;16848;16849;17037;20787;20788;20789;22262;22263;25045;25046;27532;27533,6423;6424;6425;6426;6427;6428;6429;6430;6431;6432;6433;6434;6495;8843;8844;8845;8846;10813;18096;18097;18376;18377;18378;18379;18380;18381;18382;18383;18384;18385;18386;18387;18388;18389;22744;37859;37860;37861;37862;37863;37864;38275;46378;46379;46380;46381;49847;49848;49849;49850;49851;56282;56283;56284;56285;56286;56287;56288;61971;61972;61973;61974;61975;61976,11833;11834;11835;11836;11837;11838;11839;11840;11841;11842;11843;11844;11845;11846;11847;11848;11849;11850;11851;11952;16356;16357;16358;16359;16360;16361;16362;16363;16364;19839;32847;32848;33381;33382;33383;33384;33385;33386;33387;33388;33389;33390;33391;33392;33393;33394;33395;33396;33397;33398;33399;33400;33401;33402;33403;33404;33405;33406;33407;33408;33409;33410;33411;33412;33413;33414;33415;33416;33417;33418;33419;33420;33421;41302;67866;67867;67868;67869;67870;67871;67872;67873;67874;68677;82813;82814;82815;82816;82817;82818;88969;88970;88971;88972;88973;88974;88975;88976;88977;101321;101322;101323;101324;101325;101326;101327;101328;101329;101330;101331;101332;101333;101334;101335;101336;101337;101338;101339;101340;101341;111817;111818;111819;111820;111821;111822;111823;111824;111825;111826;111827;111828;111829;111830;111831;111832;111833;111834,11837;11952;16358;19839;32848;33391;41302;67868;68677;82813;82815;88976;88977;101328;111828,2213;2214;2215,,6;67;97,,-1,protein_1805,quanti,quanti,quanti,quanti
YWHAB,-2.47596811166943,0.0219404067375179,P31946;Q4VY20;Q4VY19;A0A0J9YWE8;A0A0J9YWZ2,P31946;Q4VY20;Q4VY19;A0A0J9YWE8,21;11;11;11;6,14;9;9;9;4,12;8;8;8;4,"14-3-3 protein beta/alpha;14-3-3 protein beta/alpha, N-terminally processed",sp|P31946|1433B_HUMAN 14-3-3 protein beta/alpha OS=Homo sapiens OX=9606 GN=YWHAB PE=1 SV=3;tr|Q4VY20|Q4VY20_HUMAN 14-3-3 protein beta/alpha (Fragment) OS=Homo sapiens OX=9606 GN=YWHAB PE=1 SV=1;tr|Q4VY19|Q4VY19_HUMAN 14-3-3 protein beta/alpha (Fragment) OS,5,21,14,12,10,11,11,14,7,9,5,8,6,8,4,6,72.4,52.0,49.2,28.082,246,246;74;100;149;81,0.0,173.42,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.31992,0.94249,14.258,34,7,Leave out requantified,0.29281,0.34368,0.27428,0.3035,1.0361,0.96304,0.7241,0.89321,16.161,12.094,22.668,16.456,8,11,5,10,2,1,3,1,Leave out requantified,Leave out requantified,Median,Leave out requantified,42.7,44.7,45.5,57.3,4940400000,3183900000,1756600000,1476400000,897820000,578570000,2543600000,1586000000,957590000,215740000,161980000,53767000,704710000,538080000,166620000,,,,1805,1101;2333;2334;2335;3104;3166;3820;8767;9514;10199;12710;13086;13637;13639;14771;17687;17688;18695;19012;20889;20890,True;True;True;True;True;False;False;False;True;False;True;True;False;False;True;True;True;False;True;True;True,1452;1453;3094;3095;3096;4147;4223;4224;5069;11886;11887;11888;13081;13082;13969;17197;17198;17668;18364;18365;18366;18370;18371;18372;19808;23556;23557;24834;24835;25272;27762;27763,3392;3393;3394;3395;7284;7285;7286;7287;7288;7289;7290;7291;9605;9606;9607;9767;9768;9769;9770;11565;11566;26862;26863;26864;26865;29362;29363;29364;29365;29366;29367;29368;29369;31392;38615;38616;39646;39647;41175;41176;41177;41178;41179;41180;41181;41182;41183;41184;41185;41186;41187;41188;41189;41198;41199;41200;41201;44258;52795;52796;52797;55776;55777;55778;56833;56834;62438;62439;62440;62441,6193;6194;6195;6196;6197;6198;6199;13540;13541;13542;13543;13544;13545;13546;13547;13548;13549;13550;13551;13552;13553;13554;13555;13556;13557;13558;13559;13560;13561;13562;13563;13564;13565;13566;13567;17741;17742;17743;18012;18013;18014;18015;18016;18017;21164;21165;21166;48858;48859;48860;48861;52916;52917;52918;52919;52920;52921;52922;52923;52924;52925;52926;52927;52928;52929;52930;52931;52932;52933;52934;52935;56621;69227;69228;70969;70970;70971;70972;73715;73716;73717;73718;73719;73720;73721;73722;73723;73724;73725;73726;73727;73728;73729;73730;73731;73732;73733;73734;73735;73736;73737;73738;73739;73740;73741;73742;73743;73744;73745;73746;73747;73748;73749;73750;73751;73770;73771;73772;73773;73774;73775;73776;73777;73778;79105;94715;94716;94717;94718;94719;94720;100427;100428;100429;100430;100431;100432;100433;100434;100435;102439;102440;112587;112588;112589;112590;112591,6198;13541;13548;13560;17741;18012;21166;48859;52921;56621;69228;70969;73725;73776;79105;94719;94720;100434;102440;112588;112591,2112;2115;2117;2216;2217;2218,,13;51;70;122;124;160,,-1;-1;-1;-1;-1,protein_1806,quanti,quanti,quanti,quanti
SFN,-2.99763293192413,0.0133169928980151,P31947,P31947,17,13,13,14-3-3 protein sigma,sp|P31947|1433S_HUMAN 14-3-3 protein sigma OS=Homo sapiens OX=9606 GN=SFN PE=1 SV=1,1,17,13,13,10,10,8,14,9,9,5,10,9,9,5,10,60.9,52.0,52.0,27.774,248,248,0.0,323.31,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.2407,0.76084,12.339,57,13,Leave out requantified,0.20399,0.29799,0.22296,0.22549,0.74652,0.83701,0.77107,0.7429,13.697,54.196,80.549,15.983,15,16,7,19,5,2,2,4,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,46.8,43.1,30.2,51.6,10170000000,8061600000,2108800000,3533700000,2908200000,625560000,4846400000,3741300000,1105100000,373370000,287260000,86102000,1416900000,1124900000,292000000,,,,1806,1104;3166;3819;5206;5207;9520;10198;13637;13640;15408;15409;18695;18696;19372;19373;20528;20805,True;False;True;True;True;True;True;False;True;True;True;False;False;True;True;True;True,1457;1458;4223;4224;5068;6932;6933;6934;6935;13091;13968;18364;18365;18366;18373;18374;18375;20639;20640;20641;20642;24834;24835;24836;24837;25790;25791;25792;27287;27661;27662,3405;3406;3407;3408;3409;3410;9767;9768;9769;9770;11564;15591;15592;15593;15594;15595;15596;15597;15598;15599;29395;29396;29397;29398;29399;29400;31389;31390;31391;41175;41176;41177;41178;41179;41180;41181;41182;41183;41184;41185;41186;41187;41188;41189;41202;41203;41204;41205;41206;41207;41208;41209;41210;41211;46054;46055;46056;46057;46058;46059;46060;46061;46062;46063;55776;55777;55778;55779;55780;58037;58038;58039;58040;58041;58042;58043;58044;61414;62232;62233;62234;62235,6219;6220;6221;6222;6223;6224;6225;18012;18013;18014;18015;18016;18017;21162;21163;28355;28356;28357;28358;28359;28360;28361;28362;28363;28364;28365;28366;52979;52980;52981;52982;52983;52984;52985;52986;52987;52988;52989;56612;56613;56614;56615;56616;56617;56618;56619;56620;73715;73716;73717;73718;73719;73720;73721;73722;73723;73724;73725;73726;73727;73728;73729;73730;73731;73732;73733;73734;73735;73736;73737;73738;73739;73740;73741;73742;73743;73744;73745;73746;73747;73748;73749;73750;73751;73779;73780;73781;73782;73783;73784;73785;73786;73787;73788;73789;73790;73791;73792;73793;73794;73795;73796;73797;73798;73799;82206;82207;82208;82209;82210;82211;82212;82213;82214;82215;82216;82217;82218;82219;82220;82221;82222;100427;100428;100429;100430;100431;100432;100433;100434;100435;100436;100437;100438;100439;104670;104671;104672;104673;104674;104675;104676;104677;104678;104679;104680;104681;104682;110834;112254;112255;112256;112257;112258,6222;18012;21163;28358;28366;52981;56620;73725;73780;82206;82212;100434;100436;104671;104677;110834;112256,2219;2220;2221;2222;2223;2224;2225;2226,,11;32;49;122;124;140;141;160,,-1,protein_1807,quanti,quanti,quanti,quanti
