Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity WDTC1-N1,Intensity WDTC1-N2,Intensity BirA-alone-N1,Intensity BirA-alone-N2
P13056;A0A087WUK4,P13056;A0A087WUK4,3;3,3;3,3;3,Nuclear receptor subfamily 2 group C member 1,NR2C1,sp|P13056|NR2C1_HUMAN Nuclear receptor subfamily 2 group C member 1 OS=Homo sapiens OX=9606 GN=NR2C1 PE=1 SV=2;tr|A0A087WUK4|A0A087WUK4_HUMAN Nuclear receptor subfamily 2 group C member 1 OS=Homo sapiens OX=9606 GN=NR2C1 PE=1 SV=1,3,3,8.1,4.09524828417093,4.01027517941627,24.9628314183747,24.3444178252343
Q9H1E3,Q9H1E3,3,3,3,Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1,NUCKS1,sp|Q9H1E3|NUCKS_HUMAN Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1 OS=Homo sapiens OX=9606 GN=NUCKS1 PE=1 SV=1,3,3,14.4,21.8671037501922,21.1158389458357,26.8143338757973,24.9394368126575
Q9NTK5;J3KQ32;C9JTK6,Q9NTK5;J3KQ32;C9JTK6,3;3;2,3;3;2,3;3;2,Obg-like ATPase 1,OLA1,sp|Q9NTK5|OLA1_HUMAN Obg-like ATPase 1 OS=Homo sapiens OX=9606 GN=OLA1 PE=1 SV=2;tr|J3KQ32|J3KQ32_HUMAN Obg-like ATPase 1 OS=Homo sapiens OX=9606 GN=OLA1 PE=1 SV=1;tr|C9JTK6|C9JTK6_HUMAN Obg-like ATPase 1 (Fragment) OS=Homo sapiens OX=9606 GN=OLA1 PE=1 SV=,3,3,10.1,4.09524828417093,4.01027517941627,24.8619747585477,25.0129931091844
Q6VY07;B4DF77;E9PNZ9;E9PSG7;H0YCU5,Q6VY07;B4DF77,3;2;1;1;1,3;2;1;1;1,3;2;1;1;1,Phosphofurin acidic cluster sorting protein 1,PACS1,sp|Q6VY07|PACS1_HUMAN Phosphofurin acidic cluster sorting protein 1 OS=Homo sapiens OX=9606 GN=PACS1 PE=1 SV=2;tr|B4DF77|B4DF77_HUMAN Phosphofurin acidic cluster sorting protein 1 OS=Homo sapiens OX=9606 GN=PACS1 PE=1 SV=1,3,3,4.2,4.09524828417093,4.01027517941627,24.996451420909,23.2312088734543
Q9UNF0;A0A0U1RR22;H0Y923;B0QYG7;B0QYG8,Q9UNF0;A0A0U1RR22,3;3;1;1;1,3;3;1;1;1,3;3;1;1;1,Protein kinase C and casein kinase substrate in neurons protein 2,PACSIN2,sp|Q9UNF0|PACN2_HUMAN Protein kinase C and casein kinase substrate in neurons protein 2 OS=Homo sapiens OX=9606 GN=PACSIN2 PE=1 SV=2;tr|A0A0U1RR22|A0A0U1RR22_HUMAN Protein kinase C and casein kinase substrate in neurons protein 2 (Fragment) OS=Homo sapiens,3,3,7.8,4.09524828417093,4.01027517941627,25.7237732090145,25.771981446467
O75781,O75781,3,3,3,Paralemmin-1,PALM,sp|O75781|PALM_HUMAN Paralemmin-1 OS=Homo sapiens OX=9606 GN=PALM PE=1 SV=2,3,3,12.9,4.09524828417093,4.01027517941627,26.6868567644609,26.5132964107787
Q96RG2,Q96RG2,3,3,3,PAS domain-containing serine/threonine-protein kinase,PASK,sp|Q96RG2|PASK_HUMAN PAS domain-containing serine/threonine-protein kinase OS=Homo sapiens OX=9606 GN=PASK PE=1 SV=3,3,3,2.7,23.1375865733451,22.0894853956183,25.1881641266412,23.4651319175387
P12004,P12004,3,3,3,Proliferating cell nuclear antigen,PCNA,sp|P12004|PCNA_HUMAN Proliferating cell nuclear antigen OS=Homo sapiens OX=9606 GN=PCNA PE=1 SV=1,3,3,12.6,22.8143485459545,22.2616009361347,25.3272826288055,24.6011623205125
Q53EL6,Q53EL6,3,3,3,Programmed cell death protein 4,PDCD4,sp|Q53EL6|PDCD4_HUMAN Programmed cell death protein 4 OS=Homo sapiens OX=9606 GN=PDCD4 PE=1 SV=2,3,3,9.2,4.09524828417093,4.01027517941627,25.447772868487,24.6433387731874
Q9NTI5,Q9NTI5,4,3,3,Sister chromatid cohesion protein PDS5 homolog B,PDS5B,sp|Q9NTI5|PDS5B_HUMAN Sister chromatid cohesion protein PDS5 homolog B OS=Homo sapiens OX=9606 GN=PDS5B PE=1 SV=1,4,3,3.2,4.09524828417093,4.01027517941627,24.7429882209106,23.9893641126452
Q6P996;H3BND4,Q6P996;H3BND4,3;3,3;3,3;3,Pyridoxal-dependent decarboxylase domain-containing protein 1,PDXDC1,sp|Q6P996|PDXD1_HUMAN Pyridoxal-dependent decarboxylase domain-containing protein 1 OS=Homo sapiens OX=9606 GN=PDXDC1 PE=1 SV=2;tr|H3BND4|H3BND4_HUMAN Pyridoxal-dependent decarboxylase domain-containing protein 1 OS=Homo sapiens OX=9606 GN=PDXDC1 PE=1 SV=1,3,3,3.9,4.09524828417093,4.01027517941627,24.8577103520771,25.0086993984479
Q8IZL8;C9JFV4;E7EV54;I3L1P4;I3L4M7;I3L445,Q8IZL8;C9JFV4;E7EV54,3;3;2;1;1;1,3;3;2;1;1;1,3;3;2;1;1;1,"Proline-, glutamic acid- and leucine-rich protein 1",PELP1,"sp|Q8IZL8|PELP1_HUMAN Proline-, glutamic acid- and leucine-rich protein 1 OS=Homo sapiens OX=9606 GN=PELP1 PE=1 SV=2;tr|C9JFV4|C9JFV4_HUMAN Proline-, glutamic acid- and leucine-rich protein 1 OS=Homo sapiens OX=9606 GN=PELP1 PE=1 SV=2;tr|E7EV54|E7EV54_HUMA",3,3,3.7,4.09524828417093,4.01027517941627,23.8816636634979,23.4775369384295
P12955;A0A494C194;K7ES25;A0A494C165,P12955;A0A494C194;K7ES25;A0A494C165,3;2;2;2,3;2;2;2,3;2;2;2,Xaa-Pro dipeptidase,PEPD,sp|P12955|PEPD_HUMAN Xaa-Pro dipeptidase OS=Homo sapiens OX=9606 GN=PEPD PE=1 SV=3;tr|A0A494C194|A0A494C194_HUMAN Xaa-Pro dipeptidase (Fragment) OS=Homo sapiens OX=9606 GN=PEPD PE=1 SV=1;tr|K7ES25|K7ES25_HUMAN Xaa-Pro dipeptidase (Fragment) OS=Homo sapiens,3,3,11.0,22.4535740844963,22.0848784666751,24.5758863476618,25.5099639058186
Q9NQP4;E9PQY2,Q9NQP4;E9PQY2,3;2,3;2,3;2,Prefoldin subunit 4,PFDN4,sp|Q9NQP4|PFD4_HUMAN Prefoldin subunit 4 OS=Homo sapiens OX=9606 GN=PFDN4 PE=1 SV=1;tr|E9PQY2|E9PQY2_HUMAN Prefoldin subunit 4 OS=Homo sapiens OX=9606 GN=PFDN4 PE=1 SV=1,3,3,26.1,25.4299790181852,24.6376570181154,4.51797218234219,4.43654697102791
P17858,P17858,4,4,3,"ATP-dependent 6-phosphofructokinase, liver type",PFKL,"sp|P17858|PFKAL_HUMAN ATP-dependent 6-phosphofructokinase, liver type OS=Homo sapiens OX=9606 GN=PFKL PE=1 SV=6",4,3,7.6,21.7328100175926,21.1549293322812,25.6119491924283,25.065830587516
P78364;J3KQH6,P78364;J3KQH6,3;3,3;3,3;3,Polyhomeotic-like protein 1,PHC1,sp|P78364|PHC1_HUMAN Polyhomeotic-like protein 1 OS=Homo sapiens OX=9606 GN=PHC1 PE=1 SV=3;tr|J3KQH6|J3KQH6_HUMAN Polyhomeotic-like protein 1 OS=Homo sapiens OX=9606 GN=PHC1 PE=1 SV=1,3,3,5.1,4.09524828417093,4.01027517941627,24.8880434683007,24.0018720199549
O00750;F5GWN5,O00750;F5GWN5,3;3,3;3,3;3,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta,PIK3C2B,sp|O00750|P3C2B_HUMAN Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta OS=Homo sapiens OX=9606 GN=PIK3C2B PE=1 SV=2;tr|F5GWN5|F5GWN5_HUMAN Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta OS=Homo sapien,3,3,2.1,4.09524828417093,4.01027517941627,23.4823461318733,23.0840602929573
Q96BK5;E5RGR1;E5RJG9;A0A0A6YYK5,Q96BK5;E5RGR1,3;2;1;1,3;2;1;1,3;2;1;1,PIN2/TERF1-interacting telomerase inhibitor 1,PINX1,sp|Q96BK5|PINX1_HUMAN PIN2/TERF1-interacting telomerase inhibitor 1 OS=Homo sapiens OX=9606 GN=PINX1 PE=1 SV=2;tr|E5RGR1|E5RGR1_HUMAN PIN2/TERF1-interacting telomerase inhibitor 1 (Fragment) OS=Homo sapiens OX=9606 GN=PINX1 PE=1 SV=1,3,3,11.9,29.1066939189819,29.1969726457882,23.9462809208455,23.4359347199364
Q8TF01,Q8TF01,3,3,3,Arginine/serine-rich protein PNISR,PNISR,sp|Q8TF01|PNISR_HUMAN Arginine/serine-rich protein PNISR OS=Homo sapiens OX=9606 GN=PNISR PE=1 SV=2,3,3,3.2,4.09524828417093,4.01027517941627,26.3494717042006,25.808748389387
Q9Y253,Q9Y253,3,3,3,DNA polymerase eta,POLH,sp|Q9Y253|POLH_HUMAN DNA polymerase eta OS=Homo sapiens OX=9606 GN=POLH PE=1 SV=1,3,3,8.1,25.0831126842953,24.0480165048358,23.0071525410385,24.1450713893081
P14859;P09086;Q9UKI9;U3KQ96;U3KQN1;H0YNW1;H0YLL6;A0A0C4DG88;B5ME60;H0YKT2;H0YLC5;A0A0A0MT46,P14859;P09086;Q9UKI9;U3KQ96;U3KQN1;H0YNW1;H0YLL6;A0A0C4DG88;B5ME60;H0YKT2;H0YLC5;A0A0A0MT46,3;3;3;3;3;3;3;3;3;3;2;2,3;3;3;3;3;3;3;3;3;3;2;2,3;3;3;3;3;3;3;3;3;3;2;2,"POU domain, class 2, transcription factor 1;POU domain, class 2, transcription factor 2;POU domain, class 2, transcription factor 3;POU domain protein",POU2F1;POU2F2;POU2F3,"sp|P14859|PO2F1_HUMAN POU domain, class 2, transcription factor 1 OS=Homo sapiens OX=9606 GN=POU2F1 PE=1 SV=2;sp|P09086|PO2F2_HUMAN POU domain, class 2, transcription factor 2 OS=Homo sapiens OX=9606 GN=POU2F2 PE=1 SV=3;sp|Q9UKI9|PO2F3_HUMAN POU domain, cl",3,3,4.8,4.09524828417093,4.01027517941627,25.0953088039999,24.5361143856929
P62140;C9J9S3;C9JP48;E7ETD8;F8WE71,P62140;C9J9S3;C9JP48;E7ETD8,6;5;5;3;1,6;5;5;3;1,3;3;3;1;0,Serine/threonine-protein phosphatase PP1-beta catalytic subunit;Serine/threonine-protein phosphatase,PPP1CB,sp|P62140|PP1B_HUMAN Serine/threonine-protein phosphatase PP1-beta catalytic subunit OS=Homo sapiens OX=9606 GN=PPP1CB PE=1 SV=3;tr|C9J9S3|C9J9S3_HUMAN Serine/threonine-protein phosphatase (Fragment) OS=Homo sapiens OX=9606 GN=PPP1CB PE=1 SV=1;tr|C9JP48|C9,6,3,24.2,23.0033827135043,21.8554485452443,25.9131700987742,26.4542520958071
O75170;A0A0A0MSJ8;T1ECW5,O75170;A0A0A0MSJ8;T1ECW5,3;2;2,3;2;2,3;2;2,Serine/threonine-protein phosphatase 6 regulatory subunit 2,PPP6R2,sp|O75170|PP6R2_HUMAN Serine/threonine-protein phosphatase 6 regulatory subunit 2 OS=Homo sapiens OX=9606 GN=PPP6R2 PE=1 SV=2;tr|A0A0A0MSJ8|A0A0A0MSJ8_HUMAN Serine/threonine-protein phosphatase 6 regulatory subunit 2 (Fragment) OS=Homo sapiens OX=9606 GN=P,3,3,3.7,4.09524828417093,4.01027517941627,24.8965678143339,24.7350022807886
Q8TCU6;H0YDZ4,Q8TCU6;H0YDZ4,3;2,3;2,3;2,"Phosphatidylinositol 3,4,5-trisphosphate-dependent Rac exchanger 1 protein",PREX1,"sp|Q8TCU6|PREX1_HUMAN Phosphatidylinositol 3,4,5-trisphosphate-dependent Rac exchanger 1 protein OS=Homo sapiens OX=9606 GN=PREX1 PE=1 SV=3;tr|H0YDZ4|H0YDZ4_HUMAN Phosphatidylinositol 3,4,5-trisphosphate-dependent Rac exchanger 1 protein (Fragment) OS=Homo",3,3,3.9,23.9728115515561,23.5273109087986,23.4784013083176,23.3823900413613
Q9H0H5;F8VRD2;F8VWX0;F8VVE5;F8VWY4;F8VV47;F8VZ66;F8W0L1;F8VS54;F8VV37;F8W1E5;F8VQZ5;F8VV39;F8VUW9;F8VYH6;F8W1T4;F8VQF5;F8VXH1,Q9H0H5;F8VRD2;F8VWX0;F8VVE5;F8VWY4;F8VV47;F8VZ66;F8W0L1;F8VS54;F8VV37;F8W1E5;F8VQZ5;F8VV39;F8VUW9;F8VYH6,4;4;3;3;3;3;3;3;2;2;2;2;2;2;2;1;1;1,4;4;3;3;3;3;3;3;2;2;2;2;2;2;2;1;1;1,3;3;2;2;2;2;2;2;1;2;2;2;1;1;2;1;1;0,Rac GTPase-activating protein 1,RACGAP1,sp|Q9H0H5|RGAP1_HUMAN Rac GTPase-activating protein 1 OS=Homo sapiens OX=9606 GN=RACGAP1 PE=1 SV=1;tr|F8VRD2|F8VRD2_HUMAN Rac GTPase-activating protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=RACGAP1 PE=1 SV=8;tr|F8VWX0|F8VWX0_HUMAN Rac GTPase-activating p,4,3,7.0,4.09524828417093,4.01027517941627,23.8487138578157,24.8309375776001
P04049;H7C155;P10398;Q96II5;P15056;H7C560;A0A2U3TZI2;A0A2R8Y8E0,P04049;H7C155;P10398;Q96II5,3;3;2;2;1;1;1;1,3;3;2;2;1;1;1;1,3;3;2;2;1;1;1;1,RAF proto-oncogene serine/threonine-protein kinase;Serine/threonine-protein kinase A-Raf,RAF1;ARAF,sp|P04049|RAF1_HUMAN RAF proto-oncogene serine/threonine-protein kinase OS=Homo sapiens OX=9606 GN=RAF1 PE=1 SV=1;tr|H7C155|H7C155_HUMAN RAF proto-oncogene serine/threonine-protein kinase (Fragment) OS=Homo sapiens OX=9606 GN=RAF1 PE=1 SV=1;sp|P10398|ARAF_,3,3,5.1,22.4769192141465,22.0967988591247,24.5253406253649,24.422395384237
P20936;E9PGC0,P20936;E9PGC0,3;2,3;2,3;2,Ras GTPase-activating protein 1,RASA1,sp|P20936|RASA1_HUMAN Ras GTPase-activating protein 1 OS=Homo sapiens OX=9606 GN=RASA1 PE=1 SV=1;tr|E9PGC0|E9PGC0_HUMAN Ras GTPase-activating protein 1 OS=Homo sapiens OX=9606 GN=RASA1 PE=1 SV=1,3,3,6.9,29.2564691584014,26.6951129336181,28.8042126717723,30.1577398914152
P50749;Q9H2L5,P50749,3;1,3;1,3;1,Ras association domain-containing protein 2,RASSF2,sp|P50749|RASF2_HUMAN Ras association domain-containing protein 2 OS=Homo sapiens OX=9606 GN=RASSF2 PE=1 SV=1,3,3,14.7,26.1137046547174,25.9778631707393,23.5206129260919,23.4852976869887
A0A087WZ13;E9PAU2;Q8IY67,A0A087WZ13;E9PAU2;Q8IY67,3;3;2,3;3;2,3;3;2,Ribonucleoprotein PTB-binding 1,RAVER1,tr|A0A087WZ13|A0A087WZ13_HUMAN Ribonucleoprotein PTB-binding 1 OS=Homo sapiens OX=9606 GN=RAVER1 PE=1 SV=1;tr|E9PAU2|E9PAU2_HUMAN Ribonucleoprotein PTB-binding 1 OS=Homo sapiens OX=9606 GN=RAVER1 PE=1 SV=1;sp|Q8IY67|RAVR1_HUMAN Ribonucleoprotein PTB-bindin,3,3,6.2,4.09524828417093,4.01027517941627,25.0527497877722,24.1847258532807
Q9Y4C8;H0YIL2,Q9Y4C8,3;1,3;1,3;1,Probable RNA-binding protein 19,RBM19,sp|Q9Y4C8|RBM19_HUMAN Probable RNA-binding protein 19 OS=Homo sapiens OX=9606 GN=RBM19 PE=1 SV=3,3,3,3.6,4.09524828417093,4.01027517941627,22.9433862023695,24.6692012556936
Q9P258,Q9P258,3,3,3,Protein RCC2,RCC2,sp|Q9P258|RCC2_HUMAN Protein RCC2 OS=Homo sapiens OX=9606 GN=RCC2 PE=1 SV=2,3,3,7.5,22.7494578311839,22.0503601752508,23.9676322580679,24.1438266135269
P48382;F8W689;H0Y4B4;F6S3S0;A0A0A0MT34;A0A0A0MSM9;F6X9D6;F6R6G4;F6UE82;A0A0A0MSQ2,P48382;F8W689;H0Y4B4,3;3;2;1;1;1;1;1;1;1,3;3;2;1;1;1;1;1;1;1,3;3;2;1;1;1;1;1;1;1,DNA-binding protein RFX5,RFX5,sp|P48382|RFX5_HUMAN DNA-binding protein RFX5 OS=Homo sapiens OX=9606 GN=RFX5 PE=1 SV=1;tr|F8W689|F8W689_HUMAN DNA-binding protein RFX5 (Fragment) OS=Homo sapiens OX=9606 GN=RFX5 PE=1 SV=1;tr|H0Y4B4|H0Y4B4_HUMAN DNA-binding protein RFX5 (Fragment) OS=Homo,3,3,5.5,4.09524828417093,4.01027517941627,24.8581373603962,24.2142307664962
Q13546,Q13546,3,3,3,Receptor-interacting serine/threonine-protein kinase 1,RIPK1,sp|Q13546|RIPK1_HUMAN Receptor-interacting serine/threonine-protein kinase 1 OS=Homo sapiens OX=9606 GN=RIPK1 PE=1 SV=3,3,3,4.9,4.09524828417093,4.01027517941627,24.4756211315868,25.1863137669534
P62913;Q5VVC8,P62913;Q5VVC8,3;2,3;2,3;2,60S ribosomal protein L11,RPL11,sp|P62913|RL11_HUMAN 60S ribosomal protein L11 OS=Homo sapiens OX=9606 GN=RPL11 PE=1 SV=2;tr|Q5VVC8|Q5VVC8_HUMAN 60S ribosomal protein L11 OS=Homo sapiens OX=9606 GN=RPL11 PE=1 SV=2,3,3,21.9,23.6086257226957,22.8384576986103,27.1524027982896,26.8042742267607
P61313;E7EX53;A0A2R8Y738;A0A2R8YEM3;E7EQV9;E7ENU7,P61313;E7EX53;A0A2R8Y738;A0A2R8YEM3;E7EQV9;E7ENU7,3;3;3;3;3;2,3;3;3;3;3;2,3;3;3;3;3;2,60S ribosomal protein L15;Ribosomal protein L15,RPL15,sp|P61313|RL15_HUMAN 60S ribosomal protein L15 OS=Homo sapiens OX=9606 GN=RPL15 PE=1 SV=2;tr|E7EX53|E7EX53_HUMAN Ribosomal protein L15 (Fragment) OS=Homo sapiens OX=9606 GN=RPL15 PE=1 SV=1;tr|A0A2R8Y738|A0A2R8Y738_HUMAN Ribosomal protein L15 (Fragment) OS=,3,3,14.7,24.617228446756,24.365195736409,24.8998436795629,25.1051757550813
A0A0A0MRF8;A0A0A6YYL6;P18621;A0A087WXM6;J3QQT2;J3QLC8;J3KRX5;J3KRB3;A0A087WWH0;J3QS96,A0A0A0MRF8;A0A0A6YYL6;P18621;A0A087WXM6;J3QQT2;J3QLC8;J3KRX5,3;3;2;2;2;2;2;1;1;1,3;3;2;2;2;2;2;1;1;1,3;3;2;2;2;2;2;1;1;1,60S ribosomal protein L17,RPL17-C18orf32;RPL17,tr|A0A0A0MRF8|A0A0A0MRF8_HUMAN RPL17-C18orf32 readthrough OS=Homo sapiens OX=9606 GN=RPL17-C18orf32 PE=3 SV=1;tr|A0A0A6YYL6|A0A0A6YYL6_HUMAN Protein RPL17-C18orf32 OS=Homo sapiens OX=9606 GN=RPL17-C18orf32 PE=3 SV=1;sp|P18621|RL17_HUMAN 60S ribosomal prote,3,3,20.5,4.09524828417093,4.01027517941627,23.7676946875591,29.2372199553775
Q02543;M0R3D6;M0R1A7;M0R117;M0R0P7,Q02543;M0R3D6;M0R1A7;M0R117;M0R0P7,3;3;3;3;2,3;3;3;3;2,3;3;3;3;2,60S ribosomal protein L18a,RPL18A,sp|Q02543|RL18A_HUMAN 60S ribosomal protein L18a OS=Homo sapiens OX=9606 GN=RPL18A PE=1 SV=2;tr|M0R3D6|M0R3D6_HUMAN 60S ribosomal protein L18a (Fragment) OS=Homo sapiens OX=9606 GN=RPL18A PE=1 SV=1;tr|M0R1A7|M0R1A7_HUMAN 60S ribosomal protein L18a OS=Homo,3,3,16.5,23.665790435545,23.1059909679941,24.6520659398065,24.1108407430257
P84098;J3QR09;J3KTE4,P84098;J3QR09;J3KTE4,3;3;3,3;3;3,3;3;3,60S ribosomal protein L19;Ribosomal protein L19,RPL19,sp|P84098|RL19_HUMAN 60S ribosomal protein L19 OS=Homo sapiens OX=9606 GN=RPL19 PE=1 SV=1;tr|J3QR09|J3QR09_HUMAN Ribosomal protein L19 OS=Homo sapiens OX=9606 GN=RPL19 PE=1 SV=1;tr|J3KTE4|J3KTE4_HUMAN Ribosomal protein L19 OS=Homo sapiens OX=9606 GN=RPL19,3,3,17.9,4.09524828417093,4.01027517941627,25.2017610928108,26.0794450689574
P46777;A0A2R8Y6J3;Q5T7N0,P46777;A0A2R8Y6J3,3;3;1,3;3;1,3;3;1,60S ribosomal protein L5,RPL5,sp|P46777|RL5_HUMAN 60S ribosomal protein L5 OS=Homo sapiens OX=9606 GN=RPL5 PE=1 SV=3;tr|A0A2R8Y6J3|A0A2R8Y6J3_HUMAN 60S ribosomal protein L5 (Fragment) OS=Homo sapiens OX=9606 GN=RPL5 PE=1 SV=1,3,3,12.8,23.9887588730344,22.4917943917238,4.51797218234219,4.43654697102791
P62424;Q5T8U2;Q5T8U3,P62424;Q5T8U2,3;2;1,3;2;1,3;2;1,60S ribosomal protein L7a,RPL7A,sp|P62424|RL7A_HUMAN 60S ribosomal protein L7a OS=Homo sapiens OX=9606 GN=RPL7A PE=1 SV=2;tr|Q5T8U2|Q5T8U2_HUMAN 60S ribosomal protein L7a OS=Homo sapiens OX=9606 GN=RPL7A PE=1 SV=1,3,3,13.9,23.5438030996364,22.3731051663031,21.9154286412478,22.2257628790835
P62917;E9PKZ0;G3V1A1;E9PP36;E9PKU4,P62917;E9PKZ0;G3V1A1,3;3;2;1;1,3;3;2;1;1,3;3;2;1;1,60S ribosomal protein L8,RPL8,sp|P62917|RL8_HUMAN 60S ribosomal protein L8 OS=Homo sapiens OX=9606 GN=RPL8 PE=1 SV=2;tr|E9PKZ0|E9PKZ0_HUMAN 60S ribosomal protein L8 (Fragment) OS=Homo sapiens OX=9606 GN=RPL8 PE=1 SV=1;tr|G3V1A1|G3V1A1_HUMAN 60S ribosomal protein L8 OS=Homo sapiens OX=9,3,3,10.9,23.2340923470598,21.7424229317357,24.5482203278047,24.3619207561046
P62280;M0QZC5;M0R1H5;M0R1H6,P62280;M0QZC5,3;2;1;1,3;2;1;1,3;2;1;1,40S ribosomal protein S11,RPS11,sp|P62280|RS11_HUMAN 40S ribosomal protein S11 OS=Homo sapiens OX=9606 GN=RPS11 PE=1 SV=3;tr|M0QZC5|M0QZC5_HUMAN 40S ribosomal protein S11 OS=Homo sapiens OX=9606 GN=RPS11 PE=1 SV=1,3,3,30.4,22.1517127575179,21.9280214008818,25.5874410037143,25.4947877261453
P62244;I3L3P7;I3L246;H3BN98;H3BV27;H3BT37;I3L303,P62244;I3L3P7;I3L246;H3BN98,3;3;3;3;1;1;1,3;3;3;3;1;1;1,3;3;3;3;1;1;1,40S ribosomal protein S15a,RPS15A,sp|P62244|RS15A_HUMAN 40S ribosomal protein S15a OS=Homo sapiens OX=9606 GN=RPS15A PE=1 SV=2;tr|I3L3P7|I3L3P7_HUMAN 40S ribosomal protein S15a OS=Homo sapiens OX=9606 GN=RPS15A PE=1 SV=1;tr|I3L246|I3L246_HUMAN 40S ribosomal protein S15a OS=Homo sapiens OX=,3,3,23.8,23.874927332002,21.305689946004,23.5056700774136,23.4338991710402
P15880;H0YEN5;E9PQD7;E9PMM9;H3BNG3;H0YE27;I3L404;E9PPT0;E9PM36,P15880;H0YEN5;E9PQD7;E9PMM9,3;3;3;2;1;1;1;1;1,3;3;3;2;1;1;1;1;1,3;3;3;2;1;1;1;1;1,40S ribosomal protein S2,RPS2,sp|P15880|RS2_HUMAN 40S ribosomal protein S2 OS=Homo sapiens OX=9606 GN=RPS2 PE=1 SV=2;tr|H0YEN5|H0YEN5_HUMAN 40S ribosomal protein S2 (Fragment) OS=Homo sapiens OX=9606 GN=RPS2 PE=1 SV=1;tr|E9PQD7|E9PQD7_HUMAN 40S ribosomal protein S2 OS=Homo sapiens OX=9,3,3,11.9,21.5631385376337,22.0579467858644,25.2632379616039,25.3559532408623
P62753;A2A3R5;A2A3R7,P62753;A2A3R5,3;3;1,3;3;1,3;3;1,40S ribosomal protein S6,RPS6,sp|P62753|RS6_HUMAN 40S ribosomal protein S6 OS=Homo sapiens OX=9606 GN=RPS6 PE=1 SV=1;tr|A2A3R5|A2A3R5_HUMAN 40S ribosomal protein S6 OS=Homo sapiens OX=9606 GN=RPS6 PE=1 SV=1,3,3,15.3,23.7378926267142,23.3988480497842,25.911159532868,25.5078790642008
Q6PCB5;H7C2D3;C9JM20,Q6PCB5,3;1;1,3;1;1,3;1;1,Round spermatid basic protein 1-like protein,RSBN1L,sp|Q6PCB5|RSBNL_HUMAN Lysine-specific demethylase RSBN1L OS=Homo sapiens OX=9606 GN=RSBN1L PE=1 SV=2,3,3,4.5,4.09524828417093,4.01027517941627,25.5918925528596,25.5751650506171
Q7L4I2;H0YGP9;E1B6W4,Q7L4I2,3;1;1,3;1;1,3;1;1,Arginine/serine-rich coiled-coil protein 2,RSRC2,sp|Q7L4I2|RSRC2_HUMAN Arginine/serine-rich coiled-coil protein 2 OS=Homo sapiens OX=9606 GN=RSRC2 PE=1 SV=1,3,3,7.6,4.09524828417093,4.01027517941627,25.742808380198,25.4651630634685
Q9BY42;A2A2L5;A0A0A0MQR2;A2A2L6,Q9BY42;A2A2L5;A0A0A0MQR2;A2A2L6,3;3;3;2,3;3;3;2,3;3;3;2,Protein RTF2 homolog,RTFDC1,sp|Q9BY42|RTF2_HUMAN Replication termination factor 2 OS=Homo sapiens OX=9606 GN=RTF2 PE=1 SV=3;tr|A2A2L5|A2A2L5_HUMAN Replication termination factor 2 (Fragment) OS=Homo sapiens OX=9606 GN=RTF2 PE=1 SV=1;tr|A0A0A0MQR2|A0A0A0MQR2_HUMAN Replication terminat,3,3,14.7,4.09524828417093,4.01027517941627,24.9868076148483,24.4851319820203
I3L0L0,I3L0L0,3,3,3,,RUNX2,tr|I3L0L0|I3L0L0_HUMAN Runt-related transcription factor 2 OS=Homo sapiens OX=9606 GN=RUNX2 PE=1 SV=1,3,3,9.0,23.8889260352834,23.5860041101696,23.852052437535,23.6435039263031
P60903,P60903,3,3,3,Protein S100-A10,S100A10,sp|P60903|S10AA_HUMAN Protein S100-A10 OS=Homo sapiens OX=9606 GN=S100A10 PE=1 SV=2,3,3,46.4,23.158477768793,21.9181251320567,23.9581916000106,23.4627628572616
P31949,P31949,3,3,3,"Protein S100-A11;Protein S100-A11, N-terminally processed",S100A11,sp|P31949|S10AB_HUMAN Protein S100-A11 OS=Homo sapiens OX=9606 GN=S100A11 PE=1 SV=2,3,3,34.3,20.5887512294526,24.8552882480736,27.6717540892996,27.6933857118313
Q8WXG8,Q8WXG8,3,3,3,Protein S100-Z,S100Z,sp|Q8WXG8|S100Z_HUMAN Protein S100-Z OS=Homo sapiens OX=9606 GN=S100Z PE=1 SV=4,3,3,22.2,24.2060538868937,22.4072763572943,23.3788832695774,23.251684976597
Q14151;K7EQU4,Q14151,12;3,6;3,3;0,Scaffold attachment factor B2,SAFB2,sp|Q14151|SAFB2_HUMAN Scaffold attachment factor B2 OS=Homo sapiens OX=9606 GN=SAFB2 PE=1 SV=1,12,3,19.1,4.09524828417093,4.01027517941627,27.6206580205726,26.4612333715764
O95486,O95486,4,3,3,Protein transport protein Sec24A,SEC24A,sp|O95486|SC24A_HUMAN Protein transport protein Sec24A OS=Homo sapiens OX=9606 GN=SEC24A PE=1 SV=2,4,3,4.0,4.09524828417093,4.01027517941627,25.2095904990067,23.6286751438011
