Gene_names,PHIP_vs_BirA_logFC,PHIP_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_DCAF14_N1,Peptides_DCAF14_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_DCAF14_N1,Razor___unique_peptides_DCAF14_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_DCAF14_N1,Unique_peptides_DCAF14_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_DCAF14_N1,Identification_type_DCAF14_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_DCAF14_N1,Ratio_H_L_DCAF14_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_DCAF14_N1,Ratio_H_L_normalized_DCAF14_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____DCAF14_N1,Ratio_H_L_variability_____DCAF14_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_DCAF14_N1,Ratio_H_L_count_DCAF14_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_DCAF14_N1,Ratio_H_L_iso_count_DCAF14_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_DCAF14_N1,Ratio_H_L_type_DCAF14_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_DCAF14_N1____,Sequence_coverage_DCAF14_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_DCAF14_N1,Intensity_L_DCAF14_N1,Intensity_H_DCAF14_N1,Intensity_DCAF14_N2,Intensity_L_DCAF14_N2,Intensity_H_DCAF14_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_DCAF14_N1,metacell_Intensity_L_DCAF14_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
PSMA1,-1.7461595790597,0.0089935983836123,P25786;F5GX11;B4DEV8,P25786;F5GX11;B4DEV8,16;12;8,16;12;8,16;12;8,Proteasome subunit alpha type-1;Proteasome subunit alpha type,sp|P25786|PSA1_HUMAN Proteasome subunit alpha type-1 OS=Homo sapiens OX=9606 GN=PSMA1 PE=1 SV=1;tr|F5GX11|F5GX11_HUMAN Proteasome endopeptidase complex OS=Homo sapiens OX=9606 GN=PSMA1 PE=1 SV=1;tr|B4DEV8|B4DEV8_HUMAN Proteasome subunit alpha type OS=Homo ,3,16,16,16,10,13,6,9,10,13,6,9,10,13,6,9,69.6,69.6,69.6,29.555,263,263;238;164,0.0,69.654,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.30386,0.95988,10.156,43,10,Leave out requantified,0.25241,0.30704,0.27833,0.37331,0.95826,0.88718,0.80396,0.98205,15.263,11.12,9.0315,9.0773,11,15,7,10,1,4,3,2,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,54.0,62.4,24.0,47.1,4507600000,3333900000,1173600000,1096900000,866390000,230470000,1426800000,1053200000,373580000,715680000,532910000,182770000,1268200000,881400000,386810000,,,,1600,1525;1906;5532;7477;8174;8175;11452;11453;12982;12983;13432;14740;14961;16111;18447;21987,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,1626;2041;5894;8044;8798;8799;12333;12334;13948;13949;14429;15812;16042;17238;19698;23483,4337;5504;5505;5506;14926;14927;14928;14929;20560;20561;22511;22512;22513;22514;22515;22516;22517;22518;22519;22520;31825;31826;31827;31828;35870;35871;35872;35873;35874;35875;37135;40682;40683;40684;40685;40686;41262;44152;50525;50526;50527;60474;60475,8150;10572;10573;10574;10575;28327;28328;28329;28330;28331;28332;28333;28334;28335;28336;39209;39210;39211;39212;39213;39214;39215;42851;42852;42853;42854;42855;42856;42857;42858;42859;42860;42861;42862;42863;42864;42865;42866;42867;42868;42869;42870;42871;60224;60225;60226;60227;60228;60229;60230;60231;67604;67605;67606;67607;67608;67609;67610;67611;67612;67613;67614;67615;67616;67617;69969;69970;76692;76693;76694;76695;76696;76697;76698;76699;76700;77778;77779;82761;82762;82763;94805;94806;94807;94808;94809;94810;94811;114397;114398;114399;114400;114401,8150;10572;28331;39215;42856;42871;60226;60228;67609;67612;69970;76700;77779;82763;94811;114397,,,,,-1;-1;-1,protein_1601,quanti,quanti,quanti,quanti
PSMA3,-0.962394096687863,0.0861749895207605,P25788;G3V3W4;G3V5N4;H0YJ03,P25788,10;2;2;1,10;2;2;1,6;2;2;0,Proteasome subunit alpha type-3,sp|P25788|PSA3_HUMAN Proteasome subunit alpha type-3 OS=Homo sapiens OX=9606 GN=PSMA3 PE=1 SV=2,4,10,10,6,8,6,6,7,8,6,6,7,5,5,4,4,46.7,46.7,27.8,28.433,255,255;36;54;83,0.0,52.592,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.34079,0.9207,41.664,32,11,Leave out requantified,0.30811,0.36283,0.32605,0.35999,0.80466,0.92629,0.94168,0.90996,100.31,93.95,4.5841,16.243,10,6,6,10,4,1,1,5,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,42.7,33.3,30.6,34.9,2870500000,2101600000,768890000,577850000,449890000,127970000,631030000,465760000,165270000,553180000,414320000,138860000,1108400000,771630000,336790000,,,,1601,2349;2695;3096;4239;7605;10720;16978;17325;17633;19902,True;True;True;True;True;True;True;True;True;True,2508;2883;3311;4522;8193;11551;18159;18528;18851;21251,6740;6741;6742;6743;6744;7708;7709;8760;8761;11574;11575;20965;20966;20967;29770;29771;29772;46531;46532;46533;46534;46535;47513;47514;48349;48350;48351;48352;48353;54601;54602;54603;54604;54605,12912;12913;12914;12915;12916;12917;12918;12919;12920;14783;16848;16849;22039;22040;39949;39950;39951;39952;56391;56392;56393;87164;87165;87166;87167;87168;87169;87170;87171;87172;88976;88977;88978;88979;88980;90516;90517;90518;90519;90520;90521;90522;90523;103251;103252;103253;103254;103255;103256;103257;103258;103259;103260;103261,12920;14783;16849;22039;39949;56391;87172;88976;90522;103251,,,,,-1;-1;-1;-1,protein_1602,quanti,quanti,quanti,quanti
ITGA3,1.1632888780288,0.0920081340813983,P26006;D6R9X8;K7EMU3;H0YA32;H0YA49,P26006,13;4;2;1;1,13;4;2;1;1,13;4;2;1;1,Integrin alpha-3;Integrin alpha-3 heavy chain;Integrin alpha-3 light chain,sp|P26006|ITA3_HUMAN Integrin alpha-3 OS=Homo sapiens OX=9606 GN=ITGA3 PE=1 SV=5,5,13,13,13,6,7,11,10,6,7,11,10,6,7,11,10,15.2,15.2,15.2,116.61,1051,1051;142;117;84;221,0.0,50.154,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.63304,1.7305,17.989,42,7,Leave out requantified,0.4322,0.61131,0.59524,0.80468,1.3617,1.592,1.7209,2.0168,21.869,15.585,12.393,16.353,6,7,17,12,2,1,4,0,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,6.8,8.1,14.6,13.0,3795300000,2245400000,1549900000,197350000,135950000,61403000,313620000,186440000,127180000,2314500000,1395000000,919460000,969820000,527970000,441850000,,,,1602,1187;1975;3631;4631;5191;6500;6678;12277;14171;16521;20768;22187;22476,True;True;True;True;True;True;True;True;True;True;True;True;True,1259;2112;2113;3879;4942;5535;6976;7173;13207;15226;17675;22207;23693;23694;24002,3325;5684;5685;10073;10074;10075;10076;10077;10078;12512;12513;12514;12515;14044;14045;17754;17755;17756;17757;18286;34008;34009;39172;39173;39174;39175;39176;45224;45225;45226;45227;45228;45229;57172;57173;57174;57175;60996;60997;60998;60999;61000;61789;61790;61791,6219;10887;10888;19320;19321;19322;19323;19324;19325;19326;19327;19328;19329;19330;19331;19332;19333;19334;23767;23768;23769;23770;23771;23772;23773;23774;23775;23776;23777;23778;23779;23780;23781;26629;26630;26631;26632;26633;33855;33856;33857;33858;33859;33860;33861;33862;33863;33864;33865;33866;33867;34880;64189;64190;64191;64192;64193;64194;64195;73780;73781;73782;73783;73784;84739;84740;84741;84742;84743;84744;84745;84746;108315;108316;108317;108318;108319;108320;115291;115292;115293;115294;115295;115296;115297;115298;115299;115300;115301;115302;115303;115304;115305;116827;116828;116829;116830;116831;116832;116833;116834;116835;116836;116837;116838,6219;10887;19327;23769;26633;33863;34880;64189;73784;84739;108317;115297;116830,,,,,-1;-1;-1;-1;-1,protein_1603,quanti,quanti,quanti,quanti
MSN,0.375206699006892,0.391016716628052,P26038;V9GZ54,P26038,41;8,41;8,32;6,Moesin,sp|P26038|MOES_HUMAN Moesin OS=Homo sapiens OX=9606 GN=MSN PE=1 SV=3,2,41,41,32,24,24,24,32,24,24,24,32,18,18,16,25,65.2,65.2,53.0,67.819,577,577;103,0.0,193.51,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.35304,1.0125,29.522,129,36,Leave out requantified,0.26906,0.35094,0.3439,0.41339,0.89087,1.0326,0.98343,1.1071,31.344,40.191,48.546,26.834,27,29,32,41,10,7,10,9,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,41.6,45.4,38.5,53.7,18643000000,13531000000,5111800000,1957100000,1515200000,441970000,2349700000,1688300000,661310000,5194900000,3846300000,1348600000,9141300000,6481400000,2659900000,,,,1603,1155;1317;1567;1568;1569;1763;1896;1897;1898;3374;3830;4346;4355;4382;4539;5548;5549;5641;6628;6853;7738;7739;8064;8399;9035;9463;9520;9977;9996;10237;10672;15221;15472;15654;15977;16733;18138;18139;18992;20422;21105,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,1227;1401;1675;1676;1677;1884;1885;2031;2032;2033;3606;4085;4634;4643;4670;4843;5912;5913;6016;7117;7357;8343;8344;8682;9050;9734;10188;10251;10749;10768;11032;11497;11498;16313;16571;16572;16762;17104;17902;19376;19377;20281;21831;22558,3253;3254;3255;3256;3727;4494;4495;4496;4497;4498;4499;4500;4501;4502;5089;5090;5091;5092;5093;5479;5480;5481;5482;5483;5484;5485;5486;5487;9464;9465;9466;9467;10566;10567;10568;10569;10570;11796;11797;11798;11799;11800;11801;11802;11816;11817;11870;11871;11872;12262;14974;14975;14976;14977;14978;15239;15240;15241;15242;18142;18143;18144;18145;18725;21338;21339;21340;21341;22184;22185;22186;22187;23247;23248;23249;23250;25035;25036;25037;26157;26158;26159;26160;26295;26296;27603;27604;27605;27652;27653;27654;27655;28392;29630;29631;29632;29633;29634;29635;29636;41921;42517;42518;42519;42520;42521;42522;42958;42959;42960;42961;42962;43834;43835;45813;45814;45815;45816;45817;45818;45819;45820;49703;49704;49705;52037;52038;56219;56220;56221;56222;58063,6081;6082;6083;6084;6085;6086;6087;6088;6089;6090;6091;6092;6093;6094;6095;6096;6097;6098;6983;8474;8475;8476;8477;8478;8479;8480;8481;8482;8483;8484;8485;8486;8487;8488;8489;8490;9773;9774;9775;9776;9777;9778;9779;9780;9781;9782;9783;9784;9785;9786;9787;9788;9789;9790;9791;9792;9793;9794;9795;9796;10529;10530;10531;10532;10533;10534;10535;10536;10537;10538;10539;10540;10541;10542;18184;18185;18186;18187;18188;18189;18190;20230;20231;20232;22439;22440;22441;22442;22443;22444;22445;22446;22447;22448;22449;22450;22451;22452;22453;22454;22455;22473;22474;22475;22554;22555;22556;22557;23293;28431;28432;28433;28434;28435;28436;28437;28966;28967;28968;28969;34592;34593;34594;34595;34596;34597;35632;35633;35634;40642;40643;40644;42211;42212;42213;42214;42215;42216;42217;42218;42219;42220;42221;42222;42223;42224;42225;42226;42227;44305;44306;44307;44308;44309;44310;44311;44312;44313;44314;47664;47665;47666;47667;47668;47669;47670;47671;47672;47673;49844;49845;49846;49847;49848;49849;50106;50107;52426;52427;52428;52502;52503;52504;52505;52506;52507;52508;52509;53833;56095;56096;56097;56098;56099;56100;56101;56102;56103;56104;56105;56106;56107;56108;56109;79013;79014;79015;79016;80043;80044;80045;80046;80047;80048;80049;80050;80051;80052;80053;80054;80055;80056;80793;80794;80795;80796;80797;80798;80799;80800;80801;82277;82278;82279;85827;85828;85829;85830;85831;85832;85833;85834;85835;85836;85837;85838;85839;85840;85841;85842;85843;85844;93075;93076;93077;93078;93079;93080;97935;97936;106387;106388;106389;106390;106391;106392;109943,6093;6983;8474;8482;8489;9784;10530;10532;10542;18184;20232;22440;22474;22557;23293;28431;28435;28966;34595;35634;40642;40643;42218;44312;47667;49849;50106;52427;52508;53833;56098;79016;80045;80801;82279;85836;93075;93080;97936;106389;109943,,,,,-1;-1,protein_1604,quanti,quanti,quanti,quanti
DDX6,0.605320223421312,0.345997568836175,P26196;Q8IV96,P26196,6;2,6;2,6;2,Probable ATP-dependent RNA helicase DDX6,sp|P26196|DDX6_HUMAN Probable ATP-dependent RNA helicase DDX6 OS=Homo sapiens OX=9606 GN=DDX6 PE=1 SV=2,2,6,6,6,2,3,3,6,2,3,3,6,2,3,3,6,20.9,20.9,20.9,54.416,483,483;187,0.0,5.2925,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.55124,1.3748,17.095,15,4,Leave out requantified,0.4705,0.51276,0.42446,0.56609,1.3263,1.4376,1.2105,1.2686,16.942,26.911,26.218,8.9512,2,3,3,7,0,1,0,3,Median,Median,Leave out requantified,Leave out requantified,5.8,7.9,8.9,20.9,859760000,564360000,295400000,63071000,44103000,18969000,103730000,69571000,34163000,183900000,127150000,56753000,509050000,323530000,185520000,,,,1604,4119;14582;15381;16619;16799;17264,True;True;True;True;True;True,4397;15646;16477;17779;17971;18461,11305;40245;40246;42289;42290;42291;45481;45482;45483;45484;46001;47341;47342;47343;47344,21569;75862;75863;75864;75865;79646;79647;79648;85171;85172;85173;85174;85175;85176;85177;86160;88664;88665;88666;88667;88668;88669,21569;75865;79646;85172;86160;88667,,,,,-1;-1,protein_1605,quanti,quanti,quanti,quanti
CTNNA2,19.1857779962852,1.08650550059261e-07,P26232;C9J144;C9IZ88,P26232,3;1;1,2;1;1,2;1;1,Catenin alpha-2,sp|P26232|CTNA2_HUMAN Catenin alpha-2 OS=Homo sapiens OX=9606 GN=CTNNA2 PE=1 SV=5,3,3,2,2,0,0,3,3,0,0,2,2,0,0,2,2,5.4,3.6,3.6,105.31,953,953;66;117,0.0037959,1.4359,,,By MS/MS,By MS/MS,1.4157,3.1129,81.308,4,0,Median,,,1.4157,0.89514,,,3.1129,1.8319,,,7.9882,130.22,0,0,2,2,0,0,0,0,Median,Median,Median,Median,0.0,0.0,5.4,5.4,96047000,44199000,51848000,0,0,0,0,0,0,53086000,23718000,29369000,42961000,20481000,22480000,,,,1605,7763;11545;19120,True;True;False,8369;12434;20412,21410;21411;32105;32106;52367;52368,40804;60737;60738;98518,40804;60738;98518,,,,,-1;-1;-1,protein_1606,quanti,quanti,imputed MEC,imputed MEC
RPL13,0.447151587781327,0.276909112702535,P26373;J3QSB4;H3BTH3;H3BUK8;J3KS98,P26373;J3QSB4,15;10;4;2;2,15;10;4;2;2,15;10;4;2;2,60S ribosomal protein L13,sp|P26373|RL13_HUMAN 60S ribosomal protein L13 OS=Homo sapiens OX=9606 GN=RPL13 PE=1 SV=4;tr|J3QSB4|J3QSB4_HUMAN 60S ribosomal protein L13 (Fragment) OS=Homo sapiens OX=9606 GN=RPL13 PE=1 SV=1,5,15,15,15,7,11,13,13,7,11,13,13,7,11,13,13,51.7,51.7,51.7,24.261,211,211;126;63;54;78,0.0,242.94,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.38315,1.1073,24.303,64,23,Leave out requantified,0.23351,0.27844,0.45221,0.44063,0.8487,0.78424,1.3201,1.141,37.709,17.743,28.632,11.947,9,15,21,19,6,6,6,5,Median,Leave out requantified,Leave out requantified,Leave out requantified,37.4,47.4,45.5,45.5,13276000000,9354000000,3921600000,992150000,786070000,206080000,1928900000,1479200000,449610000,5559400000,3750000000,1809400000,4795100000,3338600000,1456500000,,,,1607,6009;6010;7734;9574;10377;15036;16177;16178;16951;17733;18521;19584;19585;20242;20243,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,6431;6432;6433;8338;8339;10312;11183;16118;17306;17307;18132;18953;19782;20912;20913;20914;21628;21629;21630,16279;16280;16281;16282;16283;16284;16285;16286;16287;16288;16289;16290;21325;21326;21327;21328;21329;21330;21331;21332;21333;26452;26453;26454;26455;26456;28819;28820;41425;41426;44289;44290;44291;44292;44293;46468;46469;46470;48620;48621;48622;50777;50778;53724;53725;53726;53727;53728;53729;53730;53731;53732;53733;53734;53735;55660;55661;55662;55663;55664;55665;55666;55667;55668;55669;55670,31080;31081;31082;31083;31084;31085;31086;31087;31088;31089;31090;31091;31092;31093;31094;31095;31096;31097;31098;31099;31100;31101;31102;40621;40622;40623;40624;40625;40626;40627;40628;40629;40630;40631;40632;40633;40634;40635;40636;40637;40638;50384;50385;50386;50387;50388;54621;54622;54623;54624;78037;78038;78039;78040;83019;83020;83021;83022;83023;83024;83025;83026;83027;83028;87066;87067;87068;87069;87070;91000;91001;91002;91003;91004;91005;91006;95427;95428;95429;95430;95431;95432;95433;95434;95435;95436;95437;95438;95439;101435;101436;101437;101438;101439;101440;101441;101442;101443;101444;101445;101446;101447;101448;101449;101450;101451;101452;105317;105318;105319;105320;105321;105322;105323;105324;105325;105326;105327;105328;105329;105330;105331;105332;105333;105334;105335;105336;105337;105338;105339,31089;31101;40636;50386;54622;78039;83022;83027;87070;91000;95437;101437;101452;105323;105338,,,,,-1;-1;-1;-1;-1,protein_1608,quanti,quanti,quanti,quanti
HMGB2,0.320604555627948,0.719694796206157,P26583;D6R9A6,P26583;D6R9A6,10;5,6;3,6;3,High mobility group protein B2,sp|P26583|HMGB2_HUMAN High mobility group protein B2 OS=Homo sapiens OX=9606 GN=HMGB2 PE=1 SV=2;tr|D6R9A6|D6R9A6_HUMAN High mobility group protein B2 (Fragment) OS=Homo sapiens OX=9606 GN=HMGB2 PE=1 SV=1,2,10,6,6,4,3,5,8,2,2,2,5,2,2,2,5,44.5,31.1,31.1,24.033,209,209;134,0.0,24.368,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.3835,0.98225,21.711,13,8,Leave out requantified,0.25085,0.31614,0.36205,0.35609,0.90965,0.80306,1.0624,0.91397,17.123,28.484,33.968,28.746,2,2,3,6,1,1,2,4,Median,Median,Median,Median,23.0,22.5,27.3,40.7,1154300000,849750000,304580000,249500000,203070000,46435000,71106000,48665000,22441000,379110000,287990000,91118000,454620000,310030000,144590000,,,,1608,4007;8379;9647;9777;10850;10851;13926;13927;16098;21854,False;True;True;True;True;True;False;False;True;False,4280;9029;10395;10536;11689;11690;14963;14964;17225;23345,11037;23175;23176;23177;23178;23179;23180;26674;27042;30133;30134;38456;38457;38458;38459;38460;38461;38462;38463;38464;44117;44118;44119;44120;60122,21084;44174;44175;44176;44177;44178;44179;50821;50822;51491;57107;57108;72315;72316;72317;72318;72319;72320;72321;72322;72323;72324;82697;82698;82699;82700;82701;82702;82703;82704;113756;113757,21084;44178;50821;51491;57107;57108;72316;72322;82700;113757,,,,,-1;-1,protein_1609,quanti,quanti,quanti,quanti
PTBP1,2.15423504109042,0.00171882706942481,P26599;A0A0U1RRM4;A6NLN1;A0A0D9SF20;K7EKJ7;K7ES59;K7EK45;A0A087WUW5;K7ELW5;A0A087WU68;O95758;X6R242,P26599;A0A0U1RRM4;A6NLN1;A0A0D9SF20,23;22;21;12;9;7;5;4;3;3;1;1,23;22;21;12;9;7;5;4;3;3;1;1,23;22;21;12;9;7;5;4;3;3;1;1,Polypyrimidine tract-binding protein 1,sp|P26599|PTBP1_HUMAN Polypyrimidine tract-binding protein 1 OS=Homo sapiens OX=9606 GN=PTBP1 PE=1 SV=1;tr|A0A0U1RRM4|A0A0U1RRM4_HUMAN Polypyrimidine tract-binding protein 1 OS=Homo sapiens OX=9606 GN=PTBP1 PE=1 SV=1;tr|A6NLN1|A6NLN1_HUMAN Polypyrimidine t,12,23,23,23,10,9,18,18,10,9,18,18,10,9,18,18,59.1,59.1,59.1,57.221,531,531;588;527;197;237;149;256;81;105;227;552;182,0.0,68.578,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.35559,0.98008,14.568,81,13,Leave out requantified,0.26203,0.34543,0.34845,0.38528,0.87399,0.87915,1.0219,0.9994,23.401,13.946,15.919,14.67,11,12,30,28,2,2,5,4,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,24.7,26.6,54.2,51.2,12209000000,8864900000,3344100000,418360000,315820000,102540000,622270000,444700000,177580000,6355300000,4600100000,1755200000,4813200000,3504400000,1308800000,,,,1609,1831;3559;3863;4251;5982;6353;6795;6796;6797;7517;7518;7704;9815;12500;13195;13267;13268;14660;14695;20436;20437;21176;21183,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,1959;3800;4120;4536;6402;6813;7297;7298;7299;8098;8099;8305;8306;10577;10578;13436;14173;14251;14252;15728;15763;21847;21848;21849;22636;22643,5274;5275;5276;5277;9895;9896;9897;10631;10632;10633;10634;10635;10636;10637;11603;11604;16202;17321;17322;18573;18574;18575;18576;18577;18578;18579;18580;18581;20696;20697;20698;21230;21231;21232;21233;21234;21235;21236;27134;27135;27136;27137;27138;27139;27140;27141;27142;34573;34574;34575;36452;36453;36454;36455;36667;36668;36669;36670;36671;36672;36673;36674;36675;40456;40457;40553;40554;56262;56263;56264;56265;58261;58262;58263;58264;58283;58284;58285;58286;58287;58288;58289,10130;10131;10132;10133;18986;18987;20335;20336;20337;20338;20339;20340;20341;20342;20343;20344;20345;20346;20347;20348;20349;20350;20351;20352;20353;20354;20355;20356;22082;22083;22084;30936;33042;33043;35369;35370;35371;35372;35373;35374;35375;35376;35377;35378;35379;35380;35381;35382;35383;35384;39455;39456;39457;39458;39459;39460;40443;40444;40445;40446;40447;40448;40449;40450;40451;40452;40453;40454;51665;51666;51667;51668;51669;51670;51671;51672;65199;65200;65201;65202;65203;68757;68758;68759;68760;68761;68762;68763;68764;68765;68766;68767;69124;69125;69126;69127;69128;69129;69130;69131;69132;69133;69134;69135;69136;69137;69138;69139;69140;69141;69142;69143;69144;69145;76273;76274;76452;106480;106481;106482;106483;106484;106485;106486;106487;106488;106489;106490;106491;110336;110337;110338;110339;110340;110341;110342;110343;110344;110345;110346;110382;110383;110384;110385;110386;110387;110388,10130;18986;20342;22084;30936;33043;35373;35379;35383;39455;39460;40453;51670;65202;68760;69126;69141;76274;76452;106481;106491;110339;110386,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_1610,quanti,quanti,quanti,quanti
TARS,-1.943015919545,0.00770620323364413,P26639;A2RTX5;D6R9F8;D6RCA5;D6RDJ6;B7ZLP8;Q9BW92;D6RJ97;D6RHV7;D6RCS6;F6S7Q7;U3KQG0,P26639,29;3;3;2;2;2;1;1;1;1;1;1,29;3;3;2;2;2;1;1;1;1;1;1,29;3;3;2;2;2;1;1;1;1;1;1,"Threonine--tRNA ligase, cytoplasmic","sp|P26639|SYTC_HUMAN Threonine--tRNA ligase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TARS1 PE=1 SV=3",12,29,29,29,19,18,13,17,19,18,13,17,19,18,13,17,43.8,43.8,43.8,83.434,723,723;802;129;118;131;766;718;55;56;66;443;636,0.0,40.566,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.43905,1.1526,26.277,66,15,Leave out requantified,0.33774,0.41765,0.46733,0.53974,1.0684,1.1357,1.0636,1.2223,24.414,28.053,24.824,19.957,19,18,12,17,6,1,3,5,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,35.7,34.7,18.8,27.2,3475200000,2334900000,1140300000,904250000,651020000,253240000,1134300000,763990000,370270000,507050000,330870000,176170000,929640000,588990000,340650000,,,,1610,1050;2678;4422;5088;5200;5785;5998;8134;8168;8541;8964;9360;10157;10593;12263;13406;13524;13525;14113;14191;14810;15770;15771;17996;18571;19180;19364;20810;21650,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,1105;2864;4716;5426;5544;6174;6420;8757;8792;9209;9656;10082;10949;11414;13193;14396;14525;14526;15161;15246;15884;16883;16884;19223;19836;20479;20681;22253;23136,2905;2906;7658;7659;11990;13751;13752;14057;14058;15605;15606;15607;15608;16244;16245;16246;22392;22393;22490;23668;23669;24817;24818;24819;25894;25895;25896;25897;28159;28160;28161;28162;29445;29446;33974;33975;37048;37049;37366;37367;37368;37369;37370;37371;38995;39213;39214;40867;40868;40869;43249;43250;43251;49339;49340;50899;50900;52559;52560;52561;53119;53120;53121;57313;57314;59614;59615,5398;5399;5400;14706;14707;14708;14709;22780;26107;26108;26109;26110;26644;29652;29653;29654;31013;31014;42600;42601;42602;42822;45125;45126;45127;45128;45129;45130;45131;47281;47282;47283;47284;47285;49374;49375;49376;49377;49378;49379;49380;49381;49382;49383;49384;49385;53396;53397;53398;53399;55786;55787;55788;55789;64143;64144;64145;69828;69829;70407;70408;70409;70410;70411;70412;70413;70414;73440;73836;73837;77031;77032;77033;81249;81250;81251;81252;81253;81254;81255;92331;92332;92333;95720;95721;95722;95723;98991;98992;100201;100202;108633;108634;108635;108636;108637;112898;112899,5399;14707;22780;26108;26644;29652;31014;42600;42822;45127;47281;49376;53397;55789;64143;69828;70407;70409;73440;73836;77033;81249;81255;92332;95721;98991;100201;108634;112899,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_1611,quanti,quanti,quanti,quanti
