PHIP_vs_zCtl,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
EZR,-0.1815886396,0.231262401706912,0,P15311;E7EQR4;E9PQ82;E9PNV3;A0A2R8Y5P0,P15311;E7EQR4,38;38;4;4;3,30;30;2;2;2,28;28;0;0;0,Ezrin,EZR,sp|P15311|EZRI_HUMAN Ezrin OS=Homo sapiens OX=9606 GN=EZR PE=1 SV=4;tr|E7EQR4|E7EQR4_HUMAN Ezrin OS=Homo sapiens OX=9606 GN=EZR PE=1 SV=3,38,28,62.6,586
HMGB3,-0.129207992,0.270214688797454,0,O15347;E9PES6;E7ES08;E7EQU1,O15347;E9PES6;E7ES08;E7EQU1,2;2;2;2,2;2;2;2,2;2;2;2,High mobility group protein B3,HMGB3,sp|O15347|HMGB3_HUMAN High mobility group protein B3 OS=Homo sapiens OX=9606 GN=HMGB3 PE=1 SV=4;tr|E9PES6|E9PES6_HUMAN High mobility group protein B3 (Fragment) OS=Homo sapiens OX=9606 GN=HMGB3 PE=1 SV=1;tr|E7ES08|E7ES08_HUMAN High mobility group protein B,2,2,15,200
U2SURP,-0.0403207669,0.92780467046742,0,O15042;E7ET15;E7EW00;H0Y8D9;C9J5L1;C9JDJ7,O15042;E7ET15,9;9;3;3;2;1,9;9;3;3;2;1,8;8;2;2;1;0,U2 snRNP-associated SURP motif-containing protein,U2SURP,sp|O15042|SR140_HUMAN U2 snRNP-associated SURP motif-containing protein OS=Homo sapiens OX=9606 GN=U2SURP PE=1 SV=2;tr|E7ET15|E7ET15_HUMAN U2 snRNP-associated SURP motif-containing protein OS=Homo sapiens OX=9606 GN=U2SURP PE=1 SV=1,9,8,12.1,1029
EIF4G1,-0.1693504334,0.214964716637971,0,Q04637;E7EX73;E9PGM1;E7EUU4;C9JF13;H7C044;C9J6B6;C9J2Z7;C9K073;H7C0V6;F8WCF2;C9JHW9,Q04637;E7EX73;E9PGM1;E7EUU4,24;24;24;24;9;7;6;5;5;2;1;1,24;24;24;24;9;7;6;5;5;2;1;1,20;20;20;20;6;6;6;5;5;2;1;1,Eukaryotic translation initiation factor 4 gamma 1,EIF4G1,sp|Q04637|IF4G1_HUMAN Eukaryotic translation initiation factor 4 gamma 1 OS=Homo sapiens OX=9606 GN=EIF4G1 PE=1 SV=4;tr|E7EX73|E7EX73_HUMAN Eukaryotic translation initiation factor 4 gamma 1 OS=Homo sapiens OX=9606 GN=EIF4G1 PE=1 SV=1;tr|E9PGM1|E9PGM1_HUMA,24,20,19.2,1599
MAP4,0.0601773156,0.772494679057977,0,E7EVA0;P27816;H0Y2V1;B5MEG9;F8W9U4;H7C456;A0A0J9YVV8;A0A0J9YW37,E7EVA0;P27816,21;20;7;7;7;4;1;1,21;20;7;7;7;4;1;1,14;13;0;1;0;4;1;1,Microtubule-associated protein;Microtubule-associated protein 4,MAP4,tr|E7EVA0|E7EVA0_HUMAN Microtubule-associated protein OS=Homo sapiens OX=9606 GN=MAP4 PE=1 SV=1;sp|P27816|MAP4_HUMAN Microtubule-associated protein 4 OS=Homo sapiens OX=9606 GN=MAP4 PE=1 SV=3,21,14,14.8,2297
EIF4B,-0.2703487805,0.261547653582922,0,P23588;E7EX17;F8VX11;F8W0K0;F8VRU1;F8VYE9;F8VSC7;F8VP89,P23588;E7EX17;F8VX11;F8W0K0;F8VRU1;F8VYE9;F8VSC7;F8VP89,6;6;4;3;3;3;3;3,6;6;4;3;3;3;3;3,6;6;4;3;3;3;3;3,Eukaryotic translation initiation factor 4B,EIF4B,sp|P23588|IF4B_HUMAN Eukaryotic translation initiation factor 4B OS=Homo sapiens OX=9606 GN=EIF4B PE=1 SV=2;tr|E7EX17|E7EX17_HUMAN Eukaryotic translation initiation factor 4B OS=Homo sapiens OX=9606 GN=EIF4B PE=1 SV=1;tr|F8VX11|F8VX11_HUMAN Eukaryotic tran,6,6,14.7,611
CALD1,-0.0495953207,0.91818523009113,0,Q05682;E9PGZ1;E7EX44;C9J813,Q05682;E9PGZ1;E7EX44;C9J813,7;7;7;6,7;7;7;6,7;7;7;6,Caldesmon,CALD1,sp|Q05682|CALD1_HUMAN Caldesmon OS=Homo sapiens OX=9606 GN=CALD1 PE=1 SV=3;tr|E9PGZ1|E9PGZ1_HUMAN Caldesmon OS=Homo sapiens OX=9606 GN=CALD1 PE=1 SV=1;tr|E7EX44|E7EX44_HUMAN Caldesmon OS=Homo sapiens OX=9606 GN=CALD1 PE=1 SV=1;tr|C9J813|C9J813_HUMAN Caldes,7,7,11,793
NIF3L1,-0.5987842397,0.00679763148560489,0,Q9GZT8;E7EXA3;Q6X734;C9JN42;B8ZZI0,Q9GZT8;E7EXA3;Q6X734,3;3;3;1;1,3;3;3;1;1,3;3;3;1;1,NIF3-like protein 1,NIF3L1,sp|Q9GZT8|NIF3L_HUMAN NIF3-like protein 1 OS=Homo sapiens OX=9606 GN=NIF3L1 PE=1 SV=2;tr|E7EXA3|E7EXA3_HUMAN NIF3-like protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=NIF3L1 PE=1 SV=1;tr|Q6X734|Q6X734_HUMAN NIF3-like protein 1 OS=Homo sapiens OX=9606 GN=NI,3,3,12.5,377
NACA,-0.0925999261,0.422448779266456,0,E9PAV3;F8W1N5;F8VZJ2;F8VNW4;F8W0W4;H0YHX9;Q13765;F8VZ58,E9PAV3;F8W1N5;F8VZJ2;F8VNW4;F8W0W4;H0YHX9;Q13765;F8VZ58,6;6;6;6;6;6;6;3,6;6;6;6;6;6;6;3,4;4;4;4;4;4;4;1,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form;Nascent polypeptide-associated complex subunit alpha",NACA,"sp|E9PAV3|NACAM_HUMAN Nascent polypeptide-associated complex subunit alpha, muscle-specific form OS=Homo sapiens OX=9606 GN=NACA PE=1 SV=1;tr|F8W1N5|F8W1N5_HUMAN Nascent polypeptide-associated complex subunit alpha (Fragment) OS=Homo sapiens OX=9606 GN=NAC",6,4,2.6,2078
RBBP7,-0.5039803351,0.0322307987416958,0,Q16576;E9PC52;Q5JP02;Q5JP01;Q5JNZ6,Q16576;E9PC52;Q5JP02,9;9;5;3;2,4;4;1;2;1,4;4;1;2;1,Histone-binding protein RBBP7,RBBP7,sp|Q16576|RBBP7_HUMAN Histone-binding protein RBBP7 OS=Homo sapiens OX=9606 GN=RBBP7 PE=1 SV=1;tr|E9PC52|E9PC52_HUMAN Histone-binding protein RBBP7 OS=Homo sapiens OX=9606 GN=RBBP7 PE=1 SV=1;tr|Q5JP02|Q5JP02_HUMAN Histone-binding protein RBBP7 (Fragment) O,9,4,31.8,425
OGDH,-0.0718488875,0.530971712660378,0,Q02218;E9PDF2;E9PCR7;E9PFG7;A0A0D9SFS3;C9J4G7,Q02218;E9PDF2;E9PCR7;E9PFG7;A0A0D9SFS3,19;19;19;17;17;1,19;19;19;17;17;1,17;17;17;15;15;1,"2-oxoglutarate dehydrogenase, mitochondrial",OGDH,"sp|Q02218|ODO1_HUMAN 2-oxoglutarate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=OGDH PE=1 SV=3;tr|E9PDF2|E9PDF2_HUMAN 2-oxoglutarate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=OGDH PE=1 SV=1;tr|E9PCR7|E9PCR7_HUMAN 2-oxoglutarate de",19,17,24.5,1023
HNRNPH1,-0.2253284856,0.0937669138928813,0,P31943;G8JLB6;E9PCY7;D6RIU0;D6RBM0;D6RIT2;D6RDU3;D6RAM1;H0YB39;D6R9T0;D6RFM3;D6RIH9;D6RJ04;H0YBD7;E7EQJ0;E5RGV0;E7EN40;H0YBG7;D6RDL0;E5RGH4;D6RF17;D6R9D3;H0YAQ2;E5RJ94,P31943;G8JLB6;E9PCY7;D6RIU0;D6RBM0;D6RIT2;D6RDU3;D6RAM1;H0YB39;D6R9T0;D6RFM3;D6RIH9;D6RJ04,16;16;16;9;9;9;8;8;8;8;8;8;8;7;7;7;6;6;5;4;4;3;3;2,14;14;14;9;9;9;8;8;6;8;8;8;8;5;7;7;6;4;5;4;4;3;3;2,10;10;10;6;6;7;6;6;4;6;6;6;6;4;6;4;5;3;5;1;4;3;1;2,"Heterogeneous nuclear ribonucleoprotein H;Heterogeneous nuclear ribonucleoprotein H, N-terminally processed",HNRNPH1,sp|P31943|HNRH1_HUMAN Heterogeneous nuclear ribonucleoprotein H OS=Homo sapiens OX=9606 GN=HNRNPH1 PE=1 SV=4;tr|G8JLB6|G8JLB6_HUMAN Heterogeneous nuclear ribonucleoprotein H OS=Homo sapiens OX=9606 GN=HNRNPH1 PE=1 SV=1;tr|E9PCY7|E9PCY7_HUMAN Heterogeneous ,16,10,45.7,449
SMC4,-0.170399717,0.176504183694519,0,Q9NTJ3;E9PD53;C9JR83;C9J9E4;C9JWF0;C9IYK2;C9JJ64;C9JVD8;C9J578,Q9NTJ3;E9PD53;C9JR83,7;7;5;3;2;2;2;1;1,7;7;5;3;2;2;2;1;1,7;7;5;3;2;2;2;1;1,Structural maintenance of chromosomes protein 4;Structural maintenance of chromosomes protein,SMC4,sp|Q9NTJ3|SMC4_HUMAN Structural maintenance of chromosomes protein 4 OS=Homo sapiens OX=9606 GN=SMC4 PE=1 SV=2;tr|E9PD53|E9PD53_HUMAN Structural maintenance of chromosomes protein OS=Homo sapiens OX=9606 GN=SMC4 PE=1 SV=1;tr|C9JR83|C9JR83_HUMAN Structural ,7,7,7.8,1288
MYO1B,-0.2416182921,0.0865511672756192,0,O43795;E9PDF6;E7EQD9;C9JUP5;C9JYW1;H7C2Y7;Q9UBC5;A0A0U1RRI3;C9K0I9;G3V342,O43795;E9PDF6,12;12;4;3;3;3;2;2;1;1,12;12;4;3;3;3;2;2;1;1,12;12;4;3;3;3;2;2;1;1,Unconventional myosin-Ib,MYO1B,sp|O43795|MYO1B_HUMAN Unconventional myosin-Ib OS=Homo sapiens OX=9606 GN=MYO1B PE=1 SV=3;tr|E9PDF6|E9PDF6_HUMAN Unconventional myosin-Ib OS=Homo sapiens OX=9606 GN=MYO1B PE=1 SV=1,12,12,13.3,1136
MRPS17;hCG_1984214,-0.2005787559,0.157545576530097,0,Q9Y2R5;E9PE17;I3L0E3,Q9Y2R5;E9PE17;I3L0E3,3;3;3,3;3;3,3;3;3,"28S ribosomal protein S17, mitochondrial",MRPS17;hCG_1984214,"sp|Q9Y2R5|RT17_HUMAN 28S ribosomal protein S17, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS17 PE=1 SV=1;tr|E9PE17|E9PE17_HUMAN 28S ribosomal protein S17, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=MRPS17 PE=1 SV=1;tr|I3L0E3|I3L0E3_HUMAN HCG19842",3,3,44.6,130
FUBP1,0.0833369194,0.534254955514743,0,Q96AE4;E9PEB5;C9JSZ1,Q96AE4;E9PEB5,23;23;9,23;23;9,19;19;8,Far upstream element-binding protein 1,FUBP1,sp|Q96AE4|FUBP1_HUMAN Far upstream element-binding protein 1 OS=Homo sapiens OX=9606 GN=FUBP1 PE=1 SV=3;tr|E9PEB5|E9PEB5_HUMAN Far upstream element-binding protein 1 OS=Homo sapiens OX=9606 GN=FUBP1 PE=1 SV=1,23,19,45.3,644
NUP155,-0.2173861206,0.321970714538224,0,O75694;E9PF10;D6RA13,O75694;E9PF10,9;9;1,9;9;1,9;9;1,Nuclear pore complex protein Nup155,NUP155,sp|O75694|NU155_HUMAN Nuclear pore complex protein Nup155 OS=Homo sapiens OX=9606 GN=NUP155 PE=1 SV=1;tr|E9PF10|E9PF10_HUMAN Nuclear pore complex protein Nup155 OS=Homo sapiens OX=9606 GN=NUP155 PE=1 SV=1,9,9,11.4,1391
TSN,-0.467717742,0.0081794622666527,0,E9PGT1;Q15631;H7C1D4,E9PGT1;Q15631,6;5;1,6;5;1,6;5;1,Translin,TSN,tr|E9PGT1|E9PGT1_HUMAN Translin OS=Homo sapiens OX=9606 GN=TSN PE=1 SV=1;sp|Q15631|TSN_HUMAN Translin OS=Homo sapiens OX=9606 GN=TSN PE=1 SV=1,6,6,44.4,223
CLNS1A,0.1021626912,0.461336994495018,0,P54105;E9PMI6;E9PJF4;J3KN38,P54105;E9PMI6;E9PJF4;J3KN38,2;2;2;2,2;2;2;2,2;2;2;2,Methylosome subunit pICln,CLNS1A,sp|P54105|ICLN_HUMAN Methylosome subunit pICln OS=Homo sapiens OX=9606 GN=CLNS1A PE=1 SV=1;tr|E9PMI6|E9PMI6_HUMAN Methylosome subunit pICln OS=Homo sapiens OX=9606 GN=CLNS1A PE=1 SV=1;tr|E9PJF4|E9PJF4_HUMAN Methylosome subunit pICln OS=Homo sapiens OX=9606,2,2,16,237
EEF1D,0.3396238036,0.0360047760651032,0,P29692;E9PK01;A0A087X1X7;E9PRY8;E9PI39;E9PPR1;E9PL12;E9PQ49;E9PMW7;E9PIZ1;H0YCK7;E9PQZ1;E9PK06;E9PK72;H0YE72;H0YE58;E9PKK3;E9PQC9;E9PJD0;E9PNW6,P29692;E9PK01;A0A087X1X7;E9PRY8;E9PI39;E9PPR1;E9PL12;E9PQ49;E9PMW7;E9PIZ1;H0YCK7;E9PQZ1,15;15;14;14;11;11;11;11;10;9;9;8;6;5;4;4;3;3;1;1,15;15;14;14;11;11;11;11;10;9;9;8;6;5;4;4;3;3;1;1,7;7;7;7;3;3;3;3;3;3;3;4;2;2;4;4;0;3;0;0,Elongation factor 1-delta,EEF1D,sp|P29692|EF1D_HUMAN Elongation factor 1-delta OS=Homo sapiens OX=9606 GN=EEF1D PE=1 SV=5;tr|E9PK01|E9PK01_HUMAN Elongation factor 1-delta (Fragment) OS=Homo sapiens OX=9606 GN=EEF1D PE=1 SV=1;tr|A0A087X1X7|A0A087X1X7_HUMAN Elongation factor 1-delta OS=Hom,15,7,53.4,281
PRMT1,-0.0890875916,0.453365710374266,0,Q99873;E9PKG1;E9PIX6;E9PQ98;E9PNR9;H0YDE4;E9PMW9,Q99873;E9PKG1;E9PIX6;E9PQ98;E9PNR9;H0YDE4,10;10;8;7;5;5;1,10;10;8;7;5;5;1,10;10;8;7;5;5;1,Protein arginine N-methyltransferase 1,PRMT1,sp|Q99873|ANM1_HUMAN Protein arginine N-methyltransferase 1 OS=Homo sapiens OX=9606 GN=PRMT1 PE=1 SV=3;tr|E9PKG1|E9PKG1_HUMAN Protein arginine N-methyltransferase 1 OS=Homo sapiens OX=9606 GN=PRMT1 PE=1 SV=1;tr|E9PIX6|E9PIX6_HUMAN Protein arginine N-methyl,10,10,33.7,371
TTC9C,-0.8329109189,0.00219890101867951,0,Q8N5M4;H0YDR3;E9PKV8,Q8N5M4;H0YDR3;E9PKV8,1;1;1,1;1;1,1;1;1,Tetratricopeptide repeat protein 9C,TTC9C,sp|Q8N5M4|TTC9C_HUMAN Tetratricopeptide repeat protein 9C OS=Homo sapiens OX=9606 GN=TTC9C PE=1 SV=1;tr|H0YDR3|H0YDR3_HUMAN Tetratricopeptide repeat protein 9C (Fragment) OS=Homo sapiens OX=9606 GN=TTC9C PE=1 SV=1;tr|E9PKV8|E9PKV8_HUMAN Tetratricopeptide r,1,1,8.8,171
RRM1,0.33230626,0.148216594480484,0,P23921;E9PL69;E9PP77;H0YCY7,P23921;E9PL69,3;3;1;1,3;3;1;1,3;3;1;1,Ribonucleoside-diphosphate reductase large subunit,RRM1,sp|P23921|RIR1_HUMAN Ribonucleoside-diphosphate reductase large subunit OS=Homo sapiens OX=9606 GN=RRM1 PE=1 SV=1;tr|E9PL69|E9PL69_HUMAN Ribonucleoside-diphosphate reductase large subunit OS=Homo sapiens OX=9606 GN=RRM1 PE=1 SV=1,3,3,8.1,792
NPEPPS,-0.3104375207,0.0353963882489355,0,P55786;E9PLK3;A6NEC2;H0YDG0;H0YCQ5;E9PJ74;E9PRQ5,P55786;E9PLK3,23;23;8;6;2;1;1,23;23;8;6;2;1;1,19;19;4;6;2;1;1,Puromycin-sensitive aminopeptidase,NPEPPS,sp|P55786|PSA_HUMAN Puromycin-sensitive aminopeptidase OS=Homo sapiens OX=9606 GN=NPEPPS PE=1 SV=2;tr|E9PLK3|E9PLK3_HUMAN Aminopeptidase OS=Homo sapiens OX=9606 GN=NPEPPS PE=1 SV=1,23,19,29.5,919
NDUFS8,0.2535683097,0.091976996762677,0,O00217;E9PN51;F8W9K7;E9PPW7;E9PKH6,O00217;E9PN51;F8W9K7;E9PPW7;E9PKH6,4;4;4;4;3,4;4;4;4;3,4;4;4;4;3,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial",NDUFS8,"sp|O00217|NDUS8_HUMAN NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFS8 PE=1 SV=1;tr|E9PN51|E9PN51_HUMAN NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial (Fragment) OS=Homo sapiens OX",4,4,23.3,210
DPP3,3.7633314227,0.0112821012043583,1,Q9NY33;E9PQ14;G3V1D3;G3V180;E9PNX5;E9PKK8;E9PPK9,Q9NY33;E9PQ14;G3V1D3;G3V180;E9PNX5;E9PKK8;E9PPK9,2;2;2;2;1;1;1,2;2;2;2;1;1;1,2;2;2;2;1;1;1,Dipeptidyl peptidase 3,DPP3,sp|Q9NY33|DPP3_HUMAN Dipeptidyl peptidase 3 OS=Homo sapiens OX=9606 GN=DPP3 PE=1 SV=2;tr|E9PQ14|E9PQ14_HUMAN Dipeptidyl peptidase 3 (Fragment) OS=Homo sapiens OX=9606 GN=DPP3 PE=1 SV=1;tr|G3V1D3|G3V1D3_HUMAN Dipeptidyl peptidase 3 OS=Homo sapiens OX=9606 G,2,2,4.3,737
RAE1,-0.3152763124,0.0473035899734373,0,P78406;E9PQ57;E9PPG9;B0QZ36;B0QZ37,P78406;E9PQ57;E9PPG9,6;6;4;2;1,6;6;4;2;1,6;6;4;2;1,mRNA export factor,RAE1,sp|P78406|RAE1L_HUMAN mRNA export factor OS=Homo sapiens OX=9606 GN=RAE1 PE=1 SV=1;tr|E9PQ57|E9PQ57_HUMAN mRNA export factor OS=Homo sapiens OX=9606 GN=RAE1 PE=1 SV=1;tr|E9PPG9|E9PPG9_HUMAN mRNA export factor OS=Homo sapiens OX=9606 GN=RAE1 PE=1 SV=1,6,6,23.9,368
FAU,0.087331837,0.482716536923621,0,P62861;E9PR30,P62861;E9PR30,3;3,3;3,3;3,40S ribosomal protein S30,FAU,sp|P62861|RS30_HUMAN 40S ribosomal protein S30 OS=Homo sapiens OX=9606 GN=FAU PE=1 SV=1;tr|E9PR30|E9PR30_HUMAN 40S ribosomal protein S30 OS=Homo sapiens OX=9606 GN=FAU PE=1 SV=1,3,3,20.3,59
C11orf98,0.3879222515,0.173971528139005,0,E9PRG8;E9PLD3;A0A494BXY3,E9PRG8;E9PLD3;A0A494BXY3,2;1;1,2;1;1,2;1;1,Uncharacterized protein C11orf98,C11orf98,sp|E9PRG8|CK098_HUMAN Uncharacterized protein C11orf98 OS=Homo sapiens OX=9606 GN=C11orf98 PE=4 SV=2;tr|E9PLD3|E9PLD3_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 PE=4 SV=1;tr|A0A494BXY3|A0A494BXY3_HUMAN Uncharacterized protein C11orf98 OS=Homo sa,2,2,21.1,123
LSM8,-0.7149098332,0.00319518907704017,0,O95777;F2Z2Y6;C9JNV3;C9JIZ0,O95777;F2Z2Y6;C9JNV3,3;3;2;1,3;3;2;1,3;3;2;1,U6 snRNA-associated Sm-like protein LSm8,LSM8,sp|O95777|LSM8_HUMAN U6 snRNA-associated Sm-like protein LSm8 OS=Homo sapiens OX=9606 GN=LSM8 PE=1 SV=3;tr|F2Z2Y6|F2Z2Y6_HUMAN U6 snRNA-associated Sm-like protein LSm8 OS=Homo sapiens OX=9606 GN=LSM8 PE=1 SV=1;tr|C9JNV3|C9JNV3_HUMAN U6 snRNA-associated Sm-,3,3,37.5,96
TMEM258,-0.1375437262,0.26027004602072,0,P61165;F5GWH5,P61165;F5GWH5,1;1,1;1,1;1,Transmembrane protein 258,TMEM258,sp|P61165|TM258_HUMAN Transmembrane protein 258 OS=Homo sapiens OX=9606 GN=TMEM258 PE=1 SV=1;tr|F5GWH5|F5GWH5_HUMAN Transmembrane protein 258 OS=Homo sapiens OX=9606 GN=TMEM258 PE=1 SV=1,1,1,10.1,79
MLEC,0.0385166534,0.78200246495708,0,Q14165;F5GX14;F5H1S8,Q14165;F5GX14;F5H1S8,3;3;2,3;3;2,3;3;2,Malectin,MLEC,sp|Q14165|MLEC_HUMAN Malectin OS=Homo sapiens OX=9606 GN=MLEC PE=1 SV=1;tr|F5GX14|F5GX14_HUMAN Malectin OS=Homo sapiens OX=9606 GN=MLEC PE=1 SV=1;tr|F5H1S8|F5H1S8_HUMAN Malectin (Fragment) OS=Homo sapiens OX=9606 GN=MLEC PE=1 SV=1,3,3,16.4,292
OTUB1,-0.3248444348,0.0315232216986939,0,Q96FW1;F5GYN4;J3KR44;F5H6Q1;F5GYJ8;F5H3F0,Q96FW1;F5GYN4;J3KR44;F5H6Q1;F5GYJ8;F5H3F0,5;5;5;4;4;3,5;5;5;4;4;3,5;5;5;4;4;3,Ubiquitin thioesterase OTUB1,OTUB1,sp|Q96FW1|OTUB1_HUMAN Ubiquitin thioesterase OTUB1 OS=Homo sapiens OX=9606 GN=OTUB1 PE=1 SV=2;tr|F5GYN4|F5GYN4_HUMAN Ubiquitin thioesterase OTUB1 OS=Homo sapiens OX=9606 GN=OTUB1 PE=1 SV=1;tr|J3KR44|J3KR44_HUMAN Ubiquitin thioesterase OS=Homo sapiens OX=96,5,5,26.2,271
SLC3A2,-0.126844299,0.286668112488963,0,P08195;F5GZS6;J3KPF3;H0YFS2;F5GZI0;H0YFX4;F5GZR9,P08195;F5GZS6;J3KPF3,23;23;23;10;6;2;1,23;23;23;10;6;2;1,15;15;15;2;6;2;0,4F2 cell-surface antigen heavy chain,SLC3A2,sp|P08195|4F2_HUMAN 4F2 cell-surface antigen heavy chain OS=Homo sapiens OX=9606 GN=SLC3A2 PE=1 SV=3;tr|F5GZS6|F5GZS6_HUMAN 4F2 cell-surface antigen heavy chain OS=Homo sapiens OX=9606 GN=SLC3A2 PE=1 SV=1;tr|J3KPF3|J3KPF3_HUMAN 4F2 cell-surface antigen hea,23,15,41.6,630
GPHN,0.4554223426,0.0452647235971478,0,Q9NQX3;G3V582;F5H039;G3V4R0;G3V355;G3V4D2;H0YJ30,Q9NQX3;G3V582;F5H039;G3V4R0;G3V355,3;3;3;2;2;1;1,3;3;3;2;2;1;1,3;3;3;2;2;1;1,Gephyrin;Molybdopterin adenylyltransferase;Molybdopterin molybdenumtransferase,GPHN,sp|Q9NQX3|GEPH_HUMAN Gephyrin OS=Homo sapiens OX=9606 GN=GPHN PE=1 SV=1;tr|G3V582|G3V582_HUMAN Gephyrin OS=Homo sapiens OX=9606 GN=GPHN PE=1 SV=1;tr|F5H039|F5H039_HUMAN Molybdopterin molybdenumtransferase OS=Homo sapiens OX=9606 GN=GPHN PE=1 SV=1;tr|G3V4R0,3,3,4.6,736
RAB35,0.1806141191,0.540050703539857,0,Q15286;F5H157;F5H7F8,Q15286;F5H157;F5H7F8,2;2;1,2;2;1,2;2;1,Ras-related protein Rab-35,RAB35,sp|Q15286|RAB35_HUMAN Ras-related protein Rab-35 OS=Homo sapiens OX=9606 GN=RAB35 PE=1 SV=1;tr|F5H157|F5H157_HUMAN Ras-related protein Rab-35 (Fragment) OS=Homo sapiens OX=9606 GN=RAB35 PE=1 SV=1;tr|F5H7F8|F5H7F8_HUMAN Ras-related protein Rab-35 OS=Homo sa,2,2,11.4,201
NAP1L1,0.0700773227,0.556956622050774,0,P55209;F8VY35;F8W0J6;F5H4R6;H0YIV4;F8W020;H0YHC3;F8W118;F8VUX1;F8VV59;B7Z9C2;H0YH88;F8VXI6;F8VRJ2;F8VVB5;B7Z4K9,P55209;F8VY35;F8W0J6;F5H4R6;H0YIV4;F8W020;H0YHC3;F8W118;F8VUX1;F8VV59;B7Z9C2;H0YH88;F8VXI6;F8VRJ2;F8VVB5,14;14;14;14;14;13;12;12;12;12;12;11;11;9;9;1,14;14;14;14;14;13;12;12;12;12;12;11;11;9;9;1,3;3;3;3;3;3;1;1;3;1;1;0;3;1;1;0,Nucleosome assembly protein 1-like 1,NAP1L1,sp|P55209|NP1L1_HUMAN Nucleosome assembly protein 1-like 1 OS=Homo sapiens OX=9606 GN=NAP1L1 PE=1 SV=1;tr|F8VY35|F8VY35_HUMAN Nucleosome assembly protein 1-like 1 (Fragment) OS=Homo sapiens OX=9606 GN=NAP1L1 PE=1 SV=1;tr|F8W0J6|F8W0J6_HUMAN Nucleosome asse,14,3,32.7,391
TUBA1C,0.0687226088,0.730210684532436,0,Q9BQE3;F5H5D3;A0A1W2PQM2;F8VVB9;F8VRZ4;F8VS66;F8VX09;F8VWV9;A6NHL2;F8VRK0;C9JEV8;C9JQ00;C9JJQ8;F8W0F6;F8VXZ7,Q9BQE3;F5H5D3;A0A1W2PQM2,40;40;27;17;11;11;7;7;5;4;3;3;3;2;1,6;6;5;0;0;0;0;0;0;0;0;0;0;0;0,3;3;2;0;0;0;0;0;0;0;0;0;0;0;0,Tubulin alpha-1C chain,TUBA1C,sp|Q9BQE3|TBA1C_HUMAN Tubulin alpha-1C chain OS=Homo sapiens OX=9606 GN=TUBA1C PE=1 SV=1;tr|F5H5D3|F5H5D3_HUMAN Tubulin alpha chain OS=Homo sapiens OX=9606 GN=TUBA1C PE=1 SV=1;tr|A0A1W2PQM2|A0A1W2PQM2_HUMAN Tubulin alpha-1C chain OS=Homo sapiens OX=9606 GN,40,3,78.8,449
GRSF1,-0.025085069,0.839879292559695,0,Q12849;H0Y8R1;F5H5I6;H0YAK1;H0YAM1,Q12849;H0Y8R1;F5H5I6;H0YAK1,12;12;12;12;2,12;12;12;12;2,12;12;12;12;2,G-rich sequence factor 1,GRSF1,sp|Q12849|GRSF1_HUMAN G-rich sequence factor 1 OS=Homo sapiens OX=9606 GN=GRSF1 PE=1 SV=3;tr|H0Y8R1|H0Y8R1_HUMAN G-rich sequence factor 1 (Fragment) OS=Homo sapiens OX=9606 GN=GRSF1 PE=1 SV=1;tr|F5H5I6|F5H5I6_HUMAN G-rich sequence factor 1 OS=Homo sapiens ,12,12,35.6,480
MYO1C,0.0208351798,0.950385683749277,0,O00159;F5H6E2;I3L501;I3L3Y6;I3L3F5,O00159;F5H6E2,31;31;6;6;3,31;31;6;6;3,31;31;6;6;3,Unconventional myosin-Ic,MYO1C,sp|O00159|MYO1C_HUMAN Unconventional myosin-Ic OS=Homo sapiens OX=9606 GN=MYO1C PE=1 SV=4;tr|F5H6E2|F5H6E2_HUMAN Unconventional myosin-Ic OS=Homo sapiens OX=9606 GN=MYO1C PE=1 SV=1,31,31,33.2,1063
GNS,-0.4497336914,0.0108652197561594,0,P15586;H7C3P4;F6S8M0;F5H4C6;H0YFA9,P15586;H7C3P4;F6S8M0;F5H4C6;H0YFA9,9;9;9;7;5,9;9;9;7;5,9;9;9;7;5,N-acetylglucosamine-6-sulfatase,GNS,sp|P15586|GNS_HUMAN N-acetylglucosamine-6-sulfatase OS=Homo sapiens OX=9606 GN=GNS PE=1 SV=3;tr|H7C3P4|H7C3P4_HUMAN N-acetylglucosamine-6-sulfatase OS=Homo sapiens OX=9606 GN=GNS PE=1 SV=1;tr|F6S8M0|F6S8M0_HUMAN N-acetylglucosamine-6-sulfatase OS=Homo sapi,9,9,23.7,552
