Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity SNRNP40_N1,Intensity SNRNP40_N2,Intensity U2OS-BirA-alone_N1,Intensity U2OS-BirA-alone_N2
Q9H6U6;K7ESE9;K7EJU7,Q9H6U6;K7ESE9,11;8;1,11;8;1,11;8;1,Breast carcinoma-amplified sequence 3,BCAS3,sp|Q9H6U6|BCAS3_HUMAN Breast carcinoma-amplified sequence 3 OS=Homo sapiens OX=9606 GN=BCAS3 PE=1 SV=3;tr|K7ESE9|K7ESE9_HUMAN Breast carcinoma-amplified sequence 3 OS=Homo sapiens OX=9606 GN=BCAS3 PE=1 SV=1,11.0,11.0,13.8,4.3500727725963,4.5358450090929,27.0982840142906,27.2349840320098
Q9P287,Q9P287,5,5,5,BRCA2 and CDKN1A-interacting protein,BCCIP,sp|Q9P287|BCCIP_HUMAN BRCA2 and CDKN1A-interacting protein OS=Homo sapiens OX=9606 GN=BCCIP PE=1 SV=1,5.0,5.0,22.0,27.0906325781347,26.8990830501251,25.1833255274448,25.795160176366
Q9C0K0;D3YTK1,Q9C0K0;D3YTK1,5;5,5;5,5;5,B-cell lymphoma/leukemia 11B,BCL11B,sp|Q9C0K0|BC11B_HUMAN B-cell lymphoma/leukemia 11B OS=Homo sapiens OX=9606 GN=BCL11B PE=1 SV=1;tr|D3YTK1|D3YTK1_HUMAN B-cell lymphoma/leukemia 11B OS=Homo sapiens OX=9606 GN=BCL11B PE=1 SV=1,5.0,5.0,10.2,25.1105620036951,26.2879413046905,4.38176407895191,4.39969772430431
Q92843;G3V5A9;G3V4B7;G3V3B7;G3V3G8;H0YJC7,Q92843;G3V5A9;G3V4B7;G3V3B7;G3V3G8;H0YJC7,4;4;4;2;2;2,4;4;4;2;2;2,4;4;4;2;2;2,Bcl-2-like protein 2,BCL2L2,sp|Q92843|B2CL2_HUMAN Bcl-2-like protein 2 OS=Homo sapiens OX=9606 GN=BCL2L2 PE=1 SV=2;tr|G3V5A9|G3V5A9_HUMAN Bcl-2-like protein 2 (Fragment) OS=Homo sapiens OX=9606 GN=BCL2L2 PE=1 SV=1;tr|G3V4B7|G3V4B7_HUMAN Bcl-2-like protein 2 (Fragment) OS=Homo sapiens,4.0,4.0,35.2,25.6921887303966,25.3971839473914,25.7820429794854,25.9060978818081
O00512,O00512,17,17,17,B-cell CLL/lymphoma 9 protein,BCL9,sp|O00512|BCL9_HUMAN B-cell CLL/lymphoma 9 protein OS=Homo sapiens OX=9606 GN=BCL9 PE=1 SV=4,17.0,17.0,19.6,28.0542412881483,28.9650741655416,25.1355527351802,24.2324244405929
Q86UU0;A0A087WZX0,Q86UU0;A0A087WZX0,12;12,12;12,12;12,B-cell CLL/lymphoma 9-like protein,BCL9L,sp|Q86UU0|BCL9L_HUMAN B-cell CLL/lymphoma 9-like protein OS=Homo sapiens OX=9606 GN=BCL9L PE=1 SV=1;tr|A0A087WZX0|A0A087WZX0_HUMAN B-cell CLL/lymphoma 9-like protein OS=Homo sapiens OX=9606 GN=BCL9L PE=1 SV=1,12.0,12.0,14.2,28.3296709209358,28.5952334041217,25.7456318599893,23.5819884945164
Q9NYF8;H0YF14,Q9NYF8,36;7,35;6,2;2,Bcl-2-associated transcription factor 1,BCLAF1,sp|Q9NYF8|BCLF1_HUMAN Bcl-2-associated transcription factor 1 OS=Homo sapiens OX=9606 GN=BCLAF1 PE=1 SV=2,36.0,2.0,40.3,31.4956227658695,31.9265583489299,29.0469764247382,28.6291617071401
Q6W2J9;H7C231;H7BYY2;A0A5F9ZGX7;H7BZ37;A1A564;H7C2V9,Q6W2J9;H7C231;H7BYY2,4;3;3;1;1;1;1,4;3;3;1;1;1;1,4;3;3;1;1;1;1,BCL-6 corepressor,BCOR,sp|Q6W2J9|BCOR_HUMAN BCL-6 corepressor OS=Homo sapiens OX=9606 GN=BCOR PE=1 SV=1;tr|H7C231|H7C231_HUMAN BCL-6 corepressor (Fragment) OS=Homo sapiens OX=9606 GN=BCOR PE=1 SV=2;tr|H7BYY2|H7BYY2_HUMAN BCL-6 corepressor (Fragment) OS=Homo sapiens OX=9606 GN=BC,4.0,4.0,3.9,25.3364716914693,25.2370649215068,4.38176407895191,4.39969772430431
Q5T5X7,Q5T5X7,14,14,14,BEN domain-containing protein 3,BEND3,sp|Q5T5X7|BEND3_HUMAN BEN domain-containing protein 3 OS=Homo sapiens OX=9606 GN=BEND3 PE=1 SV=1,14.0,14.0,27.2,27.3737656505451,27.0903297136346,4.38176407895191,4.39969772430431
Q8TD16,Q8TD16,4,4,4,Protein bicaudal D homolog 2,BICD2,sp|Q8TD16|BICD2_HUMAN Protein bicaudal D homolog 2 OS=Homo sapiens OX=9606 GN=BICD2 PE=1 SV=1,4.0,4.0,6.7,4.3500727725963,4.5358450090929,24.8212367944061,23.9791069580875
Q9NR09;A0A3B3IUB9,Q9NR09;A0A3B3IUB9,9;9,9;9,9;9,Baculoviral IAP repeat-containing protein 6,BIRC6,sp|Q9NR09|BIRC6_HUMAN Baculoviral IAP repeat-containing protein 6 OS=Homo sapiens OX=9606 GN=BIRC6 PE=1 SV=2;tr|A0A3B3IUB9|A0A3B3IUB9_HUMAN Baculoviral IAP repeat-containing protein 6 (Fragment) OS=Homo sapiens OX=9606 GN=BIRC6 PE=1 SV=1,9.0,9.0,2.8,25.7329083271296,25.5035188357343,26.0324411217992,25.6878179737847
P54132;H0YNU5;A0A3B3IT82;H0YLV8,P54132;H0YNU5;A0A3B3IT82,14;14;14;2,14;14;14;2,14;14;14;2,Bloom syndrome protein,BLM,sp|P54132|BLM_HUMAN Bloom syndrome protein OS=Homo sapiens OX=9606 GN=BLM PE=1 SV=1;tr|H0YNU5|H0YNU5_HUMAN Bloom syndrome protein OS=Homo sapiens OX=9606 GN=BLM PE=1 SV=1;tr|A0A3B3IT82|A0A3B3IT82_HUMAN Bloom syndrome protein OS=Homo sapiens OX=9606 GN=BLM,14.0,14.0,16.1,27.2166008189471,27.6414105885975,23.2069167356826,22.3126027023466
Q14692;Q5VTM2,Q14692,37;1,37;1,37;1,Ribosome biogenesis protein BMS1 homolog,BMS1,sp|Q14692|BMS1_HUMAN Ribosome biogenesis protein BMS1 homolog OS=Homo sapiens OX=9606 GN=BMS1 PE=1 SV=1,37.0,37.0,41.6,31.0053084840737,30.8407116166641,27.8706187964309,27.6177188853051
Q8NFC6;H0Y9Y2;Q96IK1;F8WDD0,Q8NFC6,33;4;1;1,33;4;1;1,33;4;1;1,Biorientation of chromosomes in cell division protein 1-like 1,BOD1L1,sp|Q8NFC6|BD1L1_HUMAN Biorientation of chromosomes in cell division protein 1-like 1 OS=Homo sapiens OX=9606 GN=BOD1L1 PE=1 SV=2,33.0,33.0,17.4,27.409407770106,27.3811299439374,28.7675873552176,28.2882846243061
Q9H3K6;H3BV85;H3BPT9;H3BTW0;A0A0B4J295;A0A087WZT3;H3BVE0,Q9H3K6;H3BV85;H3BPT9;H3BTW0;A0A0B4J295;A0A087WZT3;H3BVE0,2;2;1;1;1;1;1,2;2;1;1;1;1;1,2;2;1;1;1;1;1,BolA-like protein 2,BOLA2;BOLA2B,sp|Q9H3K6|BOLA2_HUMAN BolA-like protein 2 OS=Homo sapiens OX=9606 GN=BOLA2 PE=1 SV=1;tr|H3BV85|H3BV85_HUMAN BolA-like protein 2 OS=Homo sapiens OX=9606 GN=BOLA2B PE=1 SV=2;tr|H3BPT9|H3BPT9_HUMAN BolA-like protein 2 OS=Homo sapiens OX=9606 GN=BOLA2B PE=1 SV,2.0,2.0,29.1,4.3500727725963,4.5358450090929,24.2604050335537,23.1003870803596
Q14137;A0A075B729,Q14137,9;2,9;2,9;2,Ribosome biogenesis protein BOP1,BOP1,sp|Q14137|BOP1_HUMAN Ribosome biogenesis protein BOP1 OS=Homo sapiens OX=9606 GN=BOP1 PE=1 SV=2,9.0,9.0,23.7,27.8976990592531,28.0045854159037,25.263918469698,24.0689901194361
P17213;H0Y738;A0A2R8YDF1,P17213;H0Y738;A0A2R8YDF1,2;1;1,2;1;1,2;1;1,Bactericidal permeability-increasing protein,BPI,sp|P17213|BPI_HUMAN Bactericidal permeability-increasing protein OS=Homo sapiens OX=9606 GN=BPI PE=1 SV=4;tr|H0Y738|H0Y738_HUMAN Bactericidal permeability-increasing protein OS=Homo sapiens OX=9606 GN=BPI PE=1 SV=2;tr|A0A2R8YDF1|A0A2R8YDF1_HUMAN Bactericid,2.0,2.0,3.3,24.4914885999423,24.0588716751063,25.0006080756352,24.2849624407097
O95861;A6NF51;F8VVW8;F8VRY7;F8VZG4;F8W1J0,O95861;A6NF51;F8VVW8,3;3;2;1;1;1,3;3;2;1;1;1,3;3;2;1;1;1,"3(2),5-bisphosphate nucleotidase 1",BPNT1,"sp|O95861|BPNT1_HUMAN 3(2),5-bisphosphate nucleotidase 1 OS=Homo sapiens OX=9606 GN=BPNT1 PE=1 SV=1;tr|A6NF51|A6NF51_HUMAN 3(2),5-bisphosphate nucleotidase 1 OS=Homo sapiens OX=9606 GN=BPNT1 PE=1 SV=2;tr|F8VVW8|F8VVW8_HUMAN 3(2),5-bisphosphate nuc",3.0,3.0,15.6,4.3500727725963,4.5358450090929,23.2583935074264,25.7104342004501
Q12830;E7ETD6;E9PE19;A0A2R8Y7Q1;F5GXF5;A0A0A0MR81;J3QQK4;J3KSY0;J3QQQ8,Q12830;E7ETD6;E9PE19;A0A2R8Y7Q1;F5GXF5,27;27;27;27;26;8;3;1;1,27;27;27;27;26;8;3;1;1,27;27;27;27;26;8;3;1;1,Nucleosome-remodeling factor subunit BPTF,BPTF,sp|Q12830|BPTF_HUMAN Nucleosome-remodeling factor subunit BPTF OS=Homo sapiens OX=9606 GN=BPTF PE=1 SV=3;tr|E7ETD6|E7ETD6_HUMAN Nucleosome-remodeling factor subunit BPTF (Fragment) OS=Homo sapiens OX=9606 GN=BPTF PE=1 SV=3;tr|E9PE19|E9PE19_HUMAN Nucleosome,27.0,27.0,12.6,28.4185242293309,28.5805013169322,27.667564526986,27.5425195696014
P15056;H7C560;A0A2U3TZI2;A0A2R8Y8E0;A0A2R8Y467;A0A2R8YDP5,P15056;H7C560;A0A2U3TZI2;A0A2R8Y8E0;A0A2R8Y467;A0A2R8YDP5,3;3;3;3;2;2,2;2;2;2;2;2,2;2;2;2;2;2,Serine/threonine-protein kinase B-raf,BRAF,sp|P15056|BRAF_HUMAN Serine/threonine-protein kinase B-raf OS=Homo sapiens OX=9606 GN=BRAF PE=1 SV=4;tr|H7C560|H7C560_HUMAN Serine/threonine-protein kinase B-raf OS=Homo sapiens OX=9606 GN=BRAF PE=1 SV=2;tr|A0A2U3TZI2|A0A2U3TZI2_HUMAN Serine/threonine-prot,3.0,2.0,3.0,4.3500727725963,4.5358450090929,23.6745448766351,23.4113165036904
Q7Z569;J3KNN7,Q7Z569;J3KNN7,10;10,10;10,10;10,BRCA1-associated protein,BRAP,sp|Q7Z569|BRAP_HUMAN BRCA1-associated protein OS=Homo sapiens OX=9606 GN=BRAP PE=1 SV=2;tr|J3KNN7|J3KNN7_HUMAN BRCA1-associated protein OS=Homo sapiens OX=9606 GN=BRAP PE=1 SV=1,10.0,10.0,23.5,25.5365125867257,23.4911827433317,27.400151886331,27.262754247559
P38398;Q5YLB2;A0A0U1RRA9;A0A2R8Y7V5;E7EUM2;B7ZA85;E7EWN5;E9PH68;Q3B891;A0A0A0MSN1;H0Y8B8;K7EPC7;A0A494C182;H0Y850;E9PC22;H0Y8D8;E7EQW4;C9IZW4;E7ENB7;A0A2R8Y6Y9;G1UI37,P38398;Q5YLB2,9;7;4;4;4;3;3;3;3;2;2;2;2;2;1;1;1;1;1;1;1,9;7;4;4;4;3;3;3;3;2;2;2;2;2;1;1;1;1;1;1;1,9;7;4;4;4;3;3;3;3;2;2;2;2;2;1;1;1;1;1;1;1,Breast cancer type 1 susceptibility protein,BRCA1,sp|P38398|BRCA1_HUMAN Breast cancer type 1 susceptibility protein OS=Homo sapiens OX=9606 GN=BRCA1 PE=1 SV=2;tr|Q5YLB2|Q5YLB2_HUMAN Breast cancer type 1 susceptibility protein OS=Homo sapiens OX=9606 GN=BRCA1 PE=1 SV=1,9.0,9.0,8.2,26.0244102613219,26.2534245276561,23.1829847020296,21.6502261025584
P51587;A0A590UJI7,P51587,16;1,16;1,16;1,Breast cancer type 2 susceptibility protein,BRCA2,sp|P51587|BRCA2_HUMAN Breast cancer type 2 susceptibility protein OS=Homo sapiens OX=9606 GN=BRCA2 PE=1 SV=3,16.0,16.0,8.2,27.8511470152596,27.4387289184417,4.38176407895191,4.39969772430431
O60885;M0QZD9;Q15059;M0QYW0;P25440;M0R0H4;H0Y6K2;A0A140T9E9;A0A0G2JK44;A0A0G2JHN8;A0A140T9I1;U3KQA6;A0A0G2JHL0;A0A140T9F7;A0A140T9V2,O60885;M0QZD9,32;17;5;5;3;3;3;3;3;2;2;1;1;1;1,32;17;5;5;3;3;3;3;3;2;2;1;1;1;1,32;17;5;5;3;3;3;3;3;2;2;1;1;1;1,Bromodomain-containing protein 4,BRD4,sp|O60885|BRD4_HUMAN Bromodomain-containing protein 4 OS=Homo sapiens OX=9606 GN=BRD4 PE=1 SV=2;tr|M0QZD9|M0QZD9_HUMAN Bromodomain-containing protein 4 (Fragment) OS=Homo sapiens OX=9606 GN=BRD4 PE=1 SV=1,32.0,32.0,27.2,30.9071299755978,31.2220482675755,30.3957058556008,30.2536093703591
Q9NPI1;I3L4V5,Q9NPI1,6;2,6;2,6;2,Bromodomain-containing protein 7,BRD7,sp|Q9NPI1|BRD7_HUMAN Bromodomain-containing protein 7 OS=Homo sapiens OX=9606 GN=BRD7 PE=1 SV=1,6.0,6.0,14.3,23.67734371881,26.5479115616732,4.38176407895191,4.39969772430431
Q9BX63;J3QKX0;J3QQP5;J3KS24,Q9BX63,56;9;4;3,56;9;4;3,56;9;4;3,Fanconi anemia group J protein,BRIP1,sp|Q9BX63|FANCJ_HUMAN Fanconi anemia group J protein OS=Homo sapiens OX=9606 GN=BRIP1 PE=1 SV=2,56.0,56.0,52.8,31.5076276977535,31.527711726039,26.9880437180908,27.1101836284433
Q8TDN6,Q8TDN6,3,3,3,Ribosome biogenesis protein BRX1 homolog,BRIX1,sp|Q8TDN6|BRX1_HUMAN Ribosome biogenesis protein BRX1 homolog OS=Homo sapiens OX=9606 GN=BRIX1 PE=1 SV=2,3.0,3.0,15.9,24.6980577245843,25.68458469806,4.38176407895191,4.39969772430431
Q9UPA5,Q9UPA5,2,2,2,Protein bassoon,BSN,sp|Q9UPA5|BSN_HUMAN Protein bassoon OS=Homo sapiens OX=9606 GN=BSN PE=1 SV=4,2.0,2.0,0.9,4.3500727725963,4.5358450090929,23.7839669896107,24.735467191381
O14981;A0A0A0MTH9,O14981;A0A0A0MTH9,16;16,16;16,16;16,TATA-binding protein-associated factor 172,BTAF1,sp|O14981|BTAF1_HUMAN TATA-binding protein-associated factor 172 OS=Homo sapiens OX=9606 GN=BTAF1 PE=1 SV=2;tr|A0A0A0MTH9|A0A0A0MTH9_HUMAN TATA-binding protein-associated factor 172 OS=Homo sapiens OX=9606 GN=BTAF1 PE=1 SV=1,16.0,16.0,12.5,27.7960023656898,27.6337412546897,26.5005734961424,25.852957291932
P20290;H0Y9Y1;D6RDG3,P20290;H0Y9Y1;D6RDG3,2;1;1,2;1;1,2;1;1,Transcription factor BTF3,BTF3,sp|P20290|BTF3_HUMAN Transcription factor BTF3 OS=Homo sapiens OX=9606 GN=BTF3 PE=1 SV=1;tr|H0Y9Y1|H0Y9Y1_HUMAN Transcription factor BTF3 (Fragment) OS=Homo sapiens OX=9606 GN=BTF3 PE=1 SV=2;tr|D6RDG3|D6RDG3_HUMAN Transcription factor BTF3 (Fragment) OS=Ho,2.0,2.0,24.3,27.0923476103772,27.1686083530617,25.4594989626634,25.0496790749315
O60566;H0YMK5;H0YN44;H3BTB9,O60566,23;1;1;1,23;1;1;1,23;1;1;1,Mitotic checkpoint serine/threonine-protein kinase BUB1 beta,BUB1B,sp|O60566|BUB1B_HUMAN Mitotic checkpoint serine/threonine-protein kinase BUB1 beta OS=Homo sapiens OX=9606 GN=BUB1B PE=1 SV=3,23.0,23.0,29.5,4.3500727725963,4.5358450090929,29.0340429931014,28.5051021543102
Q9BRD0;H7C462,Q9BRD0,8;3,8;3,8;3,BUD13 homolog,BUD13,sp|Q9BRD0|BUD13_HUMAN BUD13 homolog OS=Homo sapiens OX=9606 GN=BUD13 PE=1 SV=1,8.0,8.0,18.9,26.0682316423981,27.4019427397404,4.38176407895191,4.39969772430431
P41223;F8WCN7;C9JCD9,P41223,3;1;1,3;1;1,3;1;1,Protein BUD31 homolog,BUD31,sp|P41223|BUD31_HUMAN Protein BUD31 homolog OS=Homo sapiens OX=9606 GN=BUD31 PE=1 SV=2,3.0,3.0,27.1,25.7481426777782,25.6689578929264,21.6349793973029,22.034092334008
Q13895;H7BY94,Q13895;H7BY94,2;1,2;1,2;1,Bystin,BYSL,sp|Q13895|BYST_HUMAN Bystin OS=Homo sapiens OX=9606 GN=BYSL PE=1 SV=3;tr|H7BY94|H7BY94_HUMAN Bystin (Fragment) OS=Homo sapiens OX=9606 GN=BYSL PE=1 SV=1,2.0,2.0,3.9,24.7952097305262,23.8161664903142,4.38176407895191,4.39969772430431
Q7L1Q6;H0Y503;Q9Y6E2;E9PFD4;B5MCE7;C9IZ80;B5MCH7;E7ETZ4,Q7L1Q6;H0Y503,4;2;1;1;1;1;1;1,4;2;1;1;1;1;1;1,4;2;1;1;1;1;1;1,Basic leucine zipper and W2 domain-containing protein 1,BZW1,sp|Q7L1Q6|BZW1_HUMAN Basic leucine zipper and W2 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=BZW1 PE=1 SV=1;tr|H0Y503|H0Y503_HUMAN Basic leucine zipper and W2 domain-containing protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=BZW1 PE=1 SV=1,4.0,4.0,9.1,24.0410127123466,25.9203951131729,24.7029259783147,24.5158696832389
Q96M02;A0A0A0MSX2;S4R3N7;Q5T025;S4R3Q7;A0A0C4DGS3;H7C3F8,Q96M02;A0A0A0MSX2;S4R3N7;Q5T025,3;3;2;2;1;1;1,3;3;2;2;1;1;1,3;3;2;2;1;1;1,Centrosomal protein C10orf90,C10orf90,sp|Q96M02|CJ090_HUMAN (E2-independent) E3 ubiquitin-conjugating enzyme FATS OS=Homo sapiens OX=9606 GN=C10orf90 PE=2 SV=2;tr|A0A0A0MSX2|A0A0A0MSX2_HUMAN (E2-independent) E3 ubiquitin-conjugating enzyme FATS (Fragment) OS=Homo sapiens OX=9606 GN=C10orf90 PE,3.0,3.0,6.9,23.597757059197,23.661991153681,26.8484632773227,26.8446973371439
Q9H6J7;E9PI12;H0YDJ0;E9PI28;H0YDE7,Q9H6J7,11;4;4;2;1,11;4;4;2;1,11;4;4;2;1,UPF0705 protein C11orf49,C11orf49,sp|Q9H6J7|CK049_HUMAN UPF0705 protein C11orf49 OS=Homo sapiens OX=9606 GN=C11orf49 PE=1 SV=2,11.0,11.0,48.0,29.5312211079965,29.2059933167326,26.2834265411446,26.8839021356939
Q6ZUT1;E9PSC8;E9PKA8;E9PQL5,Q6ZUT1;E9PSC8;E9PKA8;E9PQL5,2;2;2;1,2;2;2;1,2;2;2;1,Uncharacterized protein C11orf57,C11orf57,sp|Q6ZUT1|NKAP1_HUMAN Uncharacterized protein NKAPD1 OS=Homo sapiens OX=9606 GN=NKAPD1 PE=1 SV=2;tr|E9PSC8|E9PSC8_HUMAN Uncharacterized protein NKAPD1 (Fragment) OS=Homo sapiens OX=9606 GN=NKAPD1 PE=1 SV=1;tr|E9PKA8|E9PKA8_HUMAN Uncharacterized protein NKA,2.0,2.0,8.2,26.5227542789463,25.951715142436,4.38176407895191,4.39969772430431
A0A5F9ZHH3;Q8NEP4;O43236;J3KSZ7,A0A5F9ZHH3;Q8NEP4;O43236;J3KSZ7,2;1;1;1,2;1;1;1,2;1;1;1,Uncharacterized protein C17orf47;Septin-4,C17orf47;SEPT4,tr|A0A5F9ZHH3|A0A5F9ZHH3_HUMAN Septin-4 OS=Homo sapiens OX=9606 GN=SEPTIN4 PE=1 SV=1;sp|Q8NEP4|CQ047_HUMAN Uncharacterized protein C17orf47 OS=Homo sapiens OX=9606 GN=C17orf47 PE=1 SV=3;sp|O43236|SEPT4_HUMAN Septin-4 OS=Homo sapiens OX=9606 GN=SEPTIN4 PE=1,2.0,2.0,2.5,26.7523857511883,23.6145912343879,4.38176407895191,4.39969772430431
Q53F19,Q53F19,6,6,6,Uncharacterized protein C17orf85,C17orf85,sp|Q53F19|NCBP3_HUMAN Nuclear cap-binding protein subunit 3 OS=Homo sapiens OX=9606 GN=NCBP3 PE=1 SV=2,6.0,6.0,10.0,27.8406816070947,27.8267499914269,26.0575295658855,25.552213624724
Q96B23;K7EQH1;A0A087WVF1,Q96B23;K7EQH1;A0A087WVF1,4;3;3,4;3;3,4;3;3,Uncharacterized protein C18orf25,C18orf25,sp|Q96B23|CR025_HUMAN Uncharacterized protein C18orf25 OS=Homo sapiens OX=9606 GN=C18orf25 PE=1 SV=3;tr|K7EQH1|K7EQH1_HUMAN Uncharacterized protein C18orf25 (Fragment) OS=Homo sapiens OX=9606 GN=C18orf25 PE=1 SV=1;tr|A0A087WVF1|A0A087WVF1_HUMAN Uncharacter,4.0,4.0,17.8,24.616275117831,26.2868668026721,23.4612646017837,24.3673971534476
Q9BQ61;K7ELS0;K7ERU7;K7EN60,Q9BQ61,4;1;1;1,4;1;1;1,4;1;1;1,Uncharacterized protein C19orf43,C19orf43,sp|Q9BQ61|TRIR_HUMAN Telomerase RNA component interacting RNase OS=Homo sapiens OX=9606 GN=TRIR PE=1 SV=1,4.0,4.0,22.7,22.3682901041197,24.612005456494,24.7162819267612,24.0197949881964
Q9H425;E5RFY9;E5RI90,Q9H425;E5RFY9,8;4;1,8;4;1,8;4;1,Uncharacterized protein C1orf198,C1orf198,sp|Q9H425|CA198_HUMAN Uncharacterized protein C1orf198 OS=Homo sapiens OX=9606 GN=C1orf198 PE=1 SV=1;tr|E5RFY9|E5RFY9_HUMAN Uncharacterized protein C1orf198 OS=Homo sapiens OX=9606 GN=C1orf198 PE=1 SV=1,8.0,8.0,37.0,4.3500727725963,4.5358450090929,26.2559831691626,26.3400936286483
Q8N6N3,Q8N6N3,7,7,7,UPF0690 protein C1orf52,C1orf52,sp|Q8N6N3|CA052_HUMAN UPF0690 protein C1orf52 OS=Homo sapiens OX=9606 GN=C1orf52 PE=1 SV=1,7.0,7.0,41.2,27.5908509627085,27.4589673784122,26.1144793200891,25.4620139240171
Q8TF44,Q8TF44,4,4,4,C2 calcium-dependent domain-containing protein 4C,C2CD4C,sp|Q8TF44|C2C4C_HUMAN C2 calcium-dependent domain-containing protein 4C OS=Homo sapiens OX=9606 GN=C2CD4C PE=1 SV=2,4.0,4.0,16.2,24.1360223369987,26.8365342880082,24.8887126896749,24.3178966976681
Q9BVC5;C9J4K0,Q9BVC5;C9J4K0,2;2,2;2,2;2,Ashwin,C2orf49,sp|Q9BVC5|ASHWN_HUMAN Ashwin OS=Homo sapiens OX=9606 GN=C2orf49 PE=1 SV=1;tr|C9J4K0|C9J4K0_HUMAN Ashwin OS=Homo sapiens OX=9606 GN=C2orf49 PE=1 SV=1,2.0,2.0,12.5,25.8323387919771,25.935935123946,4.38176407895191,4.39969772430431
P01024,P01024,3,3,3,Complement C3;Complement C3 beta chain;C3-beta-c;Complement C3 alpha chain;C3a anaphylatoxin;Acylation stimulating protein;Complement C3b alpha chain;Complement C3c alpha chain fragment 1;Complement C3dg fragment;Complement C3g fragment;Complement C3d fragment;Complement C3f fragment;Complement C3c alpha chain fragment 2,C3,sp|P01024|CO3_HUMAN Complement C3 OS=Homo sapiens OX=9606 GN=C3 PE=1 SV=2,3.0,3.0,3.3,26.749703330135,26.9654751548964,4.38176407895191,4.39969772430431
Q6NW34;E9PFF8;C9J9E3;F8WBQ8,Q6NW34;E9PFF8,14;8;1;1,14;8;1;1,13;7;1;0,Uncharacterized protein C3orf17,C3orf17,sp|Q6NW34|NEPRO_HUMAN Nucleolus and neural progenitor protein OS=Homo sapiens OX=9606 GN=NEPRO PE=1 SV=3;tr|E9PFF8|E9PFF8_HUMAN Nucleolus and neural progenitor protein OS=Homo sapiens OX=9606 GN=NEPRO PE=1 SV=1,14.0,13.0,28.6,28.1557149882718,28.8323448287495,4.38176407895191,4.39969772430431
Q8IXQ3,Q8IXQ3,3,3,3,Uncharacterized protein C9orf40,C9orf40,sp|Q8IXQ3|CI040_HUMAN Uncharacterized protein C9orf40 OS=Homo sapiens OX=9606 GN=C9orf40 PE=1 SV=1,3.0,3.0,38.1,26.2855975073786,26.0338584795555,4.38176407895191,4.39969772430431
Q96LT7;A0A5F9ZHW7;A0A2R8Y5K2;A0A2R8Y5U5,Q96LT7;A0A5F9ZHW7;A0A2R8Y5K2;A0A2R8Y5U5,3;3;3;2,3;3;3;2,3;3;3;2,Protein C9orf72,C9orf72,sp|Q96LT7|CI072_HUMAN Guanine nucleotide exchange C9orf72 OS=Homo sapiens OX=9606 GN=C9orf72 PE=1 SV=2;tr|A0A5F9ZHW7|A0A5F9ZHW7_HUMAN Guanine nucleotide exchange C9orf72 OS=Homo sapiens OX=9606 GN=C9orf72 PE=1 SV=1;tr|A0A2R8Y5K2|A0A2R8Y5K2_HUMAN Guanine nu,3.0,3.0,9.4,4.3500727725963,4.5358450090929,22.7286853344371,23.0499615214041
Q9NZ63,Q9NZ63,9,9,9,Uncharacterized protein C9orf78,C9orf78,sp|Q9NZ63|TLS1_HUMAN Telomere length and silencing protein 1 homolog OS=Homo sapiens OX=9606 GN=C9orf78 PE=1 SV=1,9.0,9.0,39.4,29.0536200170381,29.382058153239,25.8594413255022,24.3953217939116
Q8WUQ7;K7ENY9;K7EIU6;K7EMQ0,Q8WUQ7,20;9;5;5,20;9;5;5,18;9;5;3,Cactin,CACTIN,sp|Q8WUQ7|CATIN_HUMAN Cactin OS=Homo sapiens OX=9606 GN=CACTIN PE=1 SV=3,20.0,18.0,36.0,29.8174631852321,29.8155864142126,24.1231455075589,24.0666929644928
Q86Y37,Q86Y37,7,7,7,CDK2-associated and cullin domain-containing protein 1,CACUL1,sp|Q86Y37|CACL1_HUMAN CDK2-associated and cullin domain-containing protein 1 OS=Homo sapiens OX=9606 GN=CACUL1 PE=1 SV=1,7.0,7.0,32.2,26.6137204572804,26.3519667544977,26.1314764369822,25.195354183215
Q9HB71;B2ZWH1,Q9HB71,14;2,14;2,14;2,Calcyclin-binding protein,CACYBP,sp|Q9HB71|CYBP_HUMAN Calcyclin-binding protein OS=Homo sapiens OX=9606 GN=CACYBP PE=1 SV=2,14.0,14.0,64.9,29.8771733464758,29.2361936861281,27.7087910022031,28.4074235705931
P27708;F8VPD4;H7BZB3;H7C2E4,P27708;F8VPD4,10;10;1;1,10;10;1;1,10;10;1;1,CAD protein;Glutamine-dependent carbamoyl-phosphate synthase;Aspartate carbamoyltransferase;Dihydroorotase,CAD,sp|P27708|PYR1_HUMAN CAD protein OS=Homo sapiens OX=9606 GN=CAD PE=1 SV=3;tr|F8VPD4|F8VPD4_HUMAN CAD protein OS=Homo sapiens OX=9606 GN=CAD PE=1 SV=1,10.0,10.0,5.8,4.3500727725963,4.5358450090929,26.0691950447985,25.6518470345575
