Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity DCAF12_N1,Intensity DCAF12_N2,Intensity U2OS-BirA-alone_N1,Intensity U2OS-BirA-alone_N2
Q9NRN7;E9PLW6,Q9NRN7,3;1,3;1,3;1,L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,AASDHPPT,sp|Q9NRN7|ADPPT_HUMAN L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase OS=Homo sapiens OX=9606 GN=AASDHPPT PE=1 SV=2,3,3,10.7,4.25377280271413,4.41538556284283,24.8779251409578,24.397412467283
P42684;P00519,P42684;P00519,3;2,3;2,3;2,Abelson tyrosine-protein kinase 2;Tyrosine-protein kinase ABL1,ABL2;ABL1,sp|P42684|ABL2_HUMAN Tyrosine-protein kinase ABL2 OS=Homo sapiens OX=9606 GN=ABL2 PE=1 SV=1;sp|P00519|ABL1_HUMAN Tyrosine-protein kinase ABL1 OS=Homo sapiens OX=9606 GN=ABL1 PE=1 SV=4,3,3,3.6,4.25377280271413,4.41538556284283,22.469137989422,23.5702216857903
O14639;A0A3B3IS55;F8W8M4;A0A0A0MRL6;A0A494C1P1;A0A494C1G0,O14639;A0A3B3IS55;F8W8M4;A0A0A0MRL6;A0A494C1P1;A0A494C1G0,18;18;17;17;10;10,18;18;17;17;10;10,3;3;2;2;2;2,Actin-binding LIM protein 1,ABLIM1,sp|O14639|ABLM1_HUMAN Actin-binding LIM protein 1 OS=Homo sapiens OX=9606 GN=ABLIM1 PE=1 SV=3;tr|A0A3B3IS55|A0A3B3IS55_HUMAN Actin-binding LIM protein 1 OS=Homo sapiens OX=9606 GN=ABLIM1 PE=1 SV=1;tr|F8W8M4|F8W8M4_HUMAN Actin-binding LIM protein 1 OS=Homo,18,3,27.2,4.25377280271413,4.41538556284283,28.1805397607883,27.9545466242509
P82987,P82987,3,3,3,ADAMTS-like protein 3,ADAMTSL3,sp|P82987|ATL3_HUMAN ADAMTS-like protein 3 OS=Homo sapiens OX=9606 GN=ADAMTSL3 PE=1 SV=4,3,3,3.3,24.1108449467664,23.955976906995,23.1859938011761,21.6329845506411
P55265,P55265,30,30,3,Double-stranded RNA-specific adenosine deaminase,ADAR,sp|P55265|DSRAD_HUMAN Double-stranded RNA-specific adenosine deaminase OS=Homo sapiens OX=9606 GN=ADAR PE=1 SV=4,30,3,32.0,27.4453751067579,28.3881283356592,30.2405901012697,29.6776125523225
Q5TGY3,Q5TGY3,3,3,3,AT-hook DNA-binding motif-containing protein 1,AHDC1,sp|Q5TGY3|AHDC1_HUMAN AT-hook DNA-binding motif-containing protein 1 OS=Homo sapiens OX=9606 GN=AHDC1 PE=1 SV=1,3,3,3.2,25.1406319646734,24.5946854366903,4.42724936884613,4.39090484493968
Q86XL3;F5H1D4,Q86XL3;F5H1D4,3;2,3;2,3;2,Ankyrin repeat and LEM domain-containing protein 2,ANKLE2,sp|Q86XL3|ANKL2_HUMAN Ankyrin repeat and LEM domain-containing protein 2 OS=Homo sapiens OX=9606 GN=ANKLE2 PE=1 SV=4;tr|F5H1D4|F5H1D4_HUMAN Ankyrin repeat and LEM domain-containing protein 2 (Fragment) OS=Homo sapiens OX=9606 GN=ANKLE2 PE=1 SV=1,3,3,5.1,4.25377280271413,4.41538556284283,24.3336085240731,22.8641211411291
Q9Y6D5;E5RHL7,Q9Y6D5,5;1,5;1,3;0,Brefeldin A-inhibited guanine nucleotide-exchange protein 2,ARFGEF2,sp|Q9Y6D5|BIG2_HUMAN Brefeldin A-inhibited guanine nucleotide-exchange protein 2 OS=Homo sapiens OX=9606 GN=ARFGEF2 PE=1 SV=3,5,3,4.5,24.6157733021908,24.0978019643755,24.6317308194308,25.6692012556936
P53367,P53367,3,3,3,Arfaptin-1,ARFIP1,sp|P53367|ARFP1_HUMAN Arfaptin-1 OS=Homo sapiens OX=9606 GN=ARFIP1 PE=1 SV=2,3,3,10.7,4.25377280271413,4.41538556284283,25.574183507549,25.6185732513347
P52565;J3QQX2;J3KTF8;J3KRE2;J3KS60;J3KRY1,P52565;J3QQX2;J3KTF8;J3KRE2,3;3;3;2;1;1,3;3;3;2;1;1,3;3;3;2;1;1,Rho GDP-dissociation inhibitor 1,ARHGDIA,sp|P52565|GDIR1_HUMAN Rho GDP-dissociation inhibitor 1 OS=Homo sapiens OX=9606 GN=ARHGDIA PE=1 SV=3;tr|J3QQX2|J3QQX2_HUMAN Rho GDP-dissociation inhibitor 1 OS=Homo sapiens OX=9606 GN=ARHGDIA PE=1 SV=1;tr|J3KTF8|J3KTF8_HUMAN Rho GDP-dissociation inhibitor 1,3,3,19.1,24.4196336299486,25.3195854798146,25.99595566793,26.137156577394
P27540;D6RDB3;A6NGV6,P27540,3;1;1,3;1;1,3;1;1,Aryl hydrocarbon receptor nuclear translocator,ARNT,sp|P27540|ARNT_HUMAN Aryl hydrocarbon receptor nuclear translocator OS=Homo sapiens OX=9606 GN=ARNT PE=1 SV=1,3,3,8.5,4.25377280271413,4.41538556284283,25.1741710752532,23.8311309294789
P08243;C9JLN6;C9JM09;C9JT45;C9J057;F8WEJ5,P08243,3;1;1;1;1;1,3;1;1;1;1;1,3;1;1;1;1;1,Asparagine synthetase [glutamine-hydrolyzing],ASNS,sp|P08243|ASNS_HUMAN Asparagine synthetase [glutamine-hydrolyzing] OS=Homo sapiens OX=9606 GN=ASNS PE=1 SV=4,3,3,6.1,22.8285959637963,22.1949636038415,23.9108622797699,24.7879567461383
P05023,P05023,6,6,3,Sodium/potassium-transporting ATPase subunit alpha-1,ATP1A1,sp|P05023|AT1A1_HUMAN Sodium/potassium-transporting ATPase subunit alpha-1 OS=Homo sapiens OX=9606 GN=ATP1A1 PE=1 SV=1,6,3,6.7,4.25377280271413,4.41538556284283,26.3209977127781,25.668795628272
P21281;H0YC04;E5RGH6,P21281;H0YC04,3;3;1,3;3;1,3;3;1,"V-type proton ATPase subunit B, brain isoform",ATP6V1B2,"sp|P21281|VATB2_HUMAN V-type proton ATPase subunit B, brain isoform OS=Homo sapiens OX=9606 GN=ATP6V1B2 PE=1 SV=3;tr|H0YC04|H0YC04_HUMAN V-type proton ATPase subunit B, brain isoform (Fragment) OS=Homo sapiens OX=9606 GN=ATP6V1B2 PE=1 SV=1",3,3,10.4,4.25377280271413,4.41538556284283,25.0621288363209,25.7651923995723
Q9Y679,Q9Y679,3,3,3,Ancient ubiquitous protein 1,AUP1,sp|Q9Y679|AUP1_HUMAN Ancient ubiquitous protein 1 OS=Homo sapiens OX=9606 GN=AUP1 PE=1 SV=2,3,3,11.2,4.25377280271413,4.41538556284283,23.5698741461313,24.0195405072242
Q92843;G3V5A9;G3V4B7;G3V3B7;G3V3G8;H0YJC7,Q92843;G3V5A9;G3V4B7;G3V3B7;G3V3G8,3;3;3;2;2;1,3;3;3;2;2;1,3;3;3;2;2;1,Bcl-2-like protein 2,BCL2L2,sp|Q92843|B2CL2_HUMAN Bcl-2-like protein 2 OS=Homo sapiens OX=9606 GN=BCL2L2 PE=1 SV=2;tr|G3V5A9|G3V5A9_HUMAN Bcl-2-like protein 2 (Fragment) OS=Homo sapiens OX=9606 GN=BCL2L2 PE=1 SV=1;tr|G3V4B7|G3V4B7_HUMAN Bcl-2-like protein 2 (Fragment) OS=Homo sapiens,3,3,25.4,23.2604145070275,23.2642765029648,25.7820429794854,25.9060978818081
Q9H3K6;H3BV85;A0A087WZT3;H3BPT9;H3BTW0;A0A0B4J295;H3BVE0,Q9H3K6;H3BV85;A0A087WZT3,3;2;2;1;1;1;1,3;2;2;1;1;1;1,3;2;2;1;1;1;1,BolA-like protein 2,BOLA2;BOLA2B,sp|Q9H3K6|BOLA2_HUMAN BolA-like protein 2 OS=Homo sapiens OX=9606 GN=BOLA2 PE=1 SV=1;tr|H3BV85|H3BV85_HUMAN BolA-like protein 2 OS=Homo sapiens OX=9606 GN=BOLA2B PE=1 SV=2;tr|A0A087WZT3|A0A087WZT3_HUMAN BolA-like protein 2 OS=Homo sapiens OX=9606 GN=BOLA2B,3,3,39.5,24.3858760892644,25.4357122216096,24.2604050335537,23.1003870803596
Q9UPA5,Q9UPA5,3,3,3,Protein bassoon,BSN,sp|Q9UPA5|BSN_HUMAN Protein bassoon OS=Homo sapiens OX=9606 GN=BSN PE=1 SV=4,3,3,2.0,24.2625571323679,24.7708655009146,23.7839669896107,24.735467191381
Q13895;F8WBL2,Q13895;F8WBL2,3;2,3;2,3;2,Bystin,BYSL,sp|Q13895|BYST_HUMAN Bystin OS=Homo sapiens OX=9606 GN=BYSL PE=1 SV=3;tr|F8WBL2|F8WBL2_HUMAN Bystin OS=Homo sapiens OX=9606 GN=BYSL PE=1 SV=1,3,3,14.2,22.4833552591364,23.0730504084351,4.42724936884613,4.39090484493968
Q7L1Q6;Q9Y6E2;H0Y503;E9PFD4;B5MCE7;B5MCH7;E7ETZ4,Q7L1Q6,3;1;1;1;1;1;1,3;1;1;1;1;1;1,3;1;1;1;1;1;1,Basic leucine zipper and W2 domain-containing protein 1,BZW1,sp|Q7L1Q6|BZW1_HUMAN Basic leucine zipper and W2 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=BZW1 PE=1 SV=1,3,3,6.2,4.25377280271413,4.41538556284283,24.7029259783147,24.5158696832389
Q96B23;K7EQH1;A0A087WVF1,Q96B23;K7EQH1;A0A087WVF1,3;2;2,3;2;2,3;2;2,Uncharacterized protein C18orf25,C18orf25,sp|Q96B23|CR025_HUMAN Uncharacterized protein C18orf25 OS=Homo sapiens OX=9606 GN=C18orf25 PE=1 SV=3;tr|K7EQH1|K7EQH1_HUMAN Uncharacterized protein C18orf25 (Fragment) OS=Homo sapiens OX=9606 GN=C18orf25 PE=1 SV=1;tr|A0A087WVF1|A0A087WVF1_HUMAN Uncharacter,3,3,12.4,24.0173415194734,23.9869377808647,23.4612646017837,24.3673971534476
Q96LT7;A0A5F9ZHW7;A0A2R8Y5K2;A0A2R8Y5U5,Q96LT7;A0A5F9ZHW7;A0A2R8Y5K2;A0A2R8Y5U5,3;3;3;2,3;3;3;2,3;3;3;2,Protein C9orf72,C9orf72,sp|Q96LT7|CI072_HUMAN Guanine nucleotide exchange C9orf72 OS=Homo sapiens OX=9606 GN=C9orf72 PE=1 SV=2;tr|A0A5F9ZHW7|A0A5F9ZHW7_HUMAN Guanine nucleotide exchange C9orf72 OS=Homo sapiens OX=9606 GN=C9orf72 PE=1 SV=1;tr|A0A2R8Y5K2|A0A2R8Y5K2_HUMAN Guanine nu,3,3,9.4,4.25377280271413,4.41538556284283,22.7286853344371,23.0499615214041
P22676;H3BMN5;H3BN14;P05937;A6NER6,P22676;H3BMN5;H3BN14,3;2;2;1;1,3;2;2;1;1,3;2;2;1;1,Calretinin,CALB2,sp|P22676|CALB2_HUMAN Calretinin OS=Homo sapiens OX=9606 GN=CALB2 PE=2 SV=2;tr|H3BMN5|H3BMN5_HUMAN Calretinin (Fragment) OS=Homo sapiens OX=9606 GN=CALB2 PE=1 SV=2;tr|H3BN14|H3BN14_HUMAN Calretinin (Fragment) OS=Homo sapiens OX=9606 GN=CALB2 PE=1 SV=2,3,3,12.2,22.4347646302716,24.7220795340166,25.5881793441473,25.4062966265519
E7EX44;E9PGZ1;REV__H0YH95;REV__H0YEF9;REV__E9PJZ7;REV__H0YHK3;REV__Q13136;REV__A0A2R8Y7R9;REV__G3V200;REV__O75334,E7EX44;E9PGZ1,20;18;1;1;1;1;1;1;1;1,20;18;1;1;1;1;1;1;1;1,3;3;0;0;0;0;0;0;0;0,,CALD1,tr|E7EX44|E7EX44_HUMAN Caldesmon OS=Homo sapiens OX=9606 GN=CALD1 PE=1 SV=1;tr|E9PGZ1|E9PGZ1_HUMAN Caldesmon OS=Homo sapiens OX=9606 GN=CALD1 PE=1 SV=1,20,3,38.4,24.6582908173592,26.9657622707148,31.189368888393,30.9961092617944
A0A2Q3DQE3;Q8WU40;Q5SWX3;Q13555;Q13554;H0Y6G2;A0A5F9ZH21;A0A5F9ZH50;D6RFJ0;E9PF82;E9PBG7;D6R938;A0A5F9ZHR5;E9PBE8;E7EQE4;A0A5K1VW76;A0A5F9ZHY2;H7BXS4;A0A5F9ZH90;H7C394;Q9UQM7;Q13557;A0A5F9ZHM9,A0A2Q3DQE3;Q8WU40;Q5SWX3;Q13555;Q13554;H0Y6G2,3;3;3;3;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,3;3;3;3;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,3;3;3;3;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,Calcium/calmodulin-dependent protein kinase type II subunit gamma;Calcium/calmodulin-dependent protein kinase type II subunit beta,CAMK2G;CAMK2B,"tr|A0A2Q3DQE3|A0A2Q3DQE3_HUMAN Calcium/calmodulin-dependent protein kinase (CaM kinase) II gamma, isoform CRA_d OS=Homo sapiens OX=9606 GN=CAMK2G PE=1 SV=1;tr|Q8WU40|Q8WU40_HUMAN CAMK2G protein (Fragment) OS=Homo sapiens OX=9606 GN=CAMK2G PE=1 SV=2;tr|Q5SW",3,3,5.9,4.25377280271413,4.41538556284283,24.916021208057,23.8738953948087
Q14444;G3V153;E9PLA9,Q14444;G3V153;E9PLA9,3;3;2,3;3;2,3;3;2,Caprin-1,CAPRIN1,sp|Q14444|CAPR1_HUMAN Caprin-1 OS=Homo sapiens OX=9606 GN=CAPRIN1 PE=1 SV=2;tr|G3V153|G3V153_HUMAN Caprin-1 OS=Homo sapiens OX=9606 GN=CAPRIN1 PE=1 SV=1;tr|E9PLA9|E9PLA9_HUMAN Caprin-1 (Fragment) OS=Homo sapiens OX=9606 GN=CAPRIN1 PE=1 SV=1,3,3,4.8,4.25377280271413,4.41538556284283,25.4849290726595,25.4445223100848
P49589;B4DKY1,P49589;B4DKY1,3;3,3;3,3;3,"Cysteine--tRNA ligase, cytoplasmic",CARS,"sp|P49589|SYCC_HUMAN Cysteine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=CARS1 PE=1 SV=3;tr|B4DKY1|B4DKY1_HUMAN Cysteine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=CARS1 PE=1 SV=1",3,3,4.0,4.25377280271413,4.41538556284283,24.9064190567831,24.6901382558025
Q9UKL3;A0A087WTW5,Q9UKL3;A0A087WTW5,3;3,3;3,3;3,CASP8-associated protein 2,CASP8AP2,sp|Q9UKL3|C8AP2_HUMAN CASP8-associated protein 2 OS=Homo sapiens OX=9606 GN=CASP8AP2 PE=1 SV=1;tr|A0A087WTW5|A0A087WTW5_HUMAN CASP8-associated protein 2 OS=Homo sapiens OX=9606 GN=CASP8AP2 PE=1 SV=1,3,3,1.7,22.9949161892101,23.3054951320085,4.42724936884613,4.39090484493968
Q6P1N0;K7EJY5,Q6P1N0;K7EJY5,3;2,3;2,3;2,Coiled-coil and C2 domain-containing protein 1A,CC2D1A,sp|Q6P1N0|C2D1A_HUMAN Coiled-coil and C2 domain-containing protein 1A OS=Homo sapiens OX=9606 GN=CC2D1A PE=1 SV=1;tr|K7EJY5|K7EJY5_HUMAN Coiled-coil and C2 domain-containing protein 1A (Fragment) OS=Homo sapiens OX=9606 GN=CC2D1A PE=1 SV=1,3,3,2.9,4.25377280271413,4.41538556284283,22.8055588953546,23.9812864536842
Q8IX12;A0A0C4DGG8;F5H3E1;F5H2E6;F5H1H2,Q8IX12;A0A0C4DGG8;F5H3E1;F5H2E6,3;3;2;2;1,3;3;2;2;1,3;3;2;2;1,Cell division cycle and apoptosis regulator protein 1,CCAR1,sp|Q8IX12|CCAR1_HUMAN Cell division cycle and apoptosis regulator protein 1 OS=Homo sapiens OX=9606 GN=CCAR1 PE=1 SV=2;tr|A0A0C4DGG8|A0A0C4DGG8_HUMAN Cell division cycle and apoptosis regulator protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=CCAR1 PE=1 SV=,3,3,3.3,4.25377280271413,4.41538556284283,24.1833633919656,24.755725413053
O60826,O60826,3,3,3,Coiled-coil domain-containing protein 22,CCDC22,sp|O60826|CCD22_HUMAN Coiled-coil domain-containing protein 22 OS=Homo sapiens OX=9606 GN=CCDC22 PE=1 SV=1,3,3,4.8,25.1895220638731,25.5079395368101,22.1382743004041,23.1383745365608
P14635;E9PC90;H0YA62;D6RHI0,P14635;E9PC90,3;3;1;1,3;3;1;1,3;3;1;1,G2/mitotic-specific cyclin-B1,CCNB1,sp|P14635|CCNB1_HUMAN G2/mitotic-specific cyclin-B1 OS=Homo sapiens OX=9606 GN=CCNB1 PE=1 SV=1;tr|E9PC90|E9PC90_HUMAN G2/mitotic-specific cyclin-B1 (Fragment) OS=Homo sapiens OX=9606 GN=CCNB1 PE=1 SV=1,3,3,8.8,4.25377280271413,4.41538556284283,23.8766143659587,24.9664005388461
Q13042;A0A3B3ISD2;Q5T8C6,Q13042;A0A3B3ISD2;Q5T8C6,3;3;2,3;3;2,3;3;2,Cell division cycle protein 16 homolog,CDC16,sp|Q13042|CDC16_HUMAN Cell division cycle protein 16 homolog OS=Homo sapiens OX=9606 GN=CDC16 PE=1 SV=2;tr|A0A3B3ISD2|A0A3B3ISD2_HUMAN Cell division cycle protein 16 homolog OS=Homo sapiens OX=9606 GN=CDC16 PE=1 SV=1;tr|Q5T8C6|Q5T8C6_HUMAN Cell division cy,3,3,5.8,4.25377280271413,4.41538556284283,25.2013498075986,23.8644801356471
Q69YH5;E9PEI0,Q69YH5;E9PEI0,3;3,3;3,3;3,Cell division cycle-associated protein 2,CDCA2,sp|Q69YH5|CDCA2_HUMAN Cell division cycle-associated protein 2 OS=Homo sapiens OX=9606 GN=CDCA2 PE=1 SV=2;tr|E9PEI0|E9PEI0_HUMAN Cell division cycle-associated protein 2 OS=Homo sapiens OX=9606 GN=CDCA2 PE=1 SV=1,3,3,5.2,24.855953544392,25.1642293261144,24.4615504830338,24.1847258532807
Q9NYV4;J3QSD7;Q14004;A0A2R8YEB7;A0A2R8Y644;Q9BVE2;A0A087X209;A0A2R8YD28;A0A2R8YF61;A0A2R8Y7W5;A0A2R8Y4Z0;A0A590UJE9,Q9NYV4;J3QSD7;Q14004;A0A2R8YEB7;A0A2R8Y644;Q9BVE2;A0A087X209;A0A2R8YD28;A0A2R8YF61;A0A2R8Y7W5;A0A2R8Y4Z0,4;3;2;2;2;2;2;2;2;2;2;1,3;2;1;1;1;1;1;1;1;1;1;1,3;2;1;1;1;1;1;1;1;1;1;1,Cyclin-dependent kinase 12;Cyclin-dependent kinase 13,CDK12;CDK13,sp|Q9NYV4|CDK12_HUMAN Cyclin-dependent kinase 12 OS=Homo sapiens OX=9606 GN=CDK12 PE=1 SV=2;tr|J3QSD7|J3QSD7_HUMAN Cyclin-dependent kinase 12 (Fragment) OS=Homo sapiens OX=9606 GN=CDK12 PE=1 SV=1;sp|Q14004|CDK13_HUMAN Cyclin-dependent kinase 13 OS=Homo sap,4,3,3.6,25.2480763884273,24.7939703656055,25.2923191049017,24.3059125583627
Q96BT3;H3BUW2;H3BTR4;H3BQJ0;I3L4F8,Q96BT3;H3BUW2;H3BTR4,3;3;3;1;1,3;3;3;1;1,3;3;3;1;1,Centromere protein T,CENPT,sp|Q96BT3|CENPT_HUMAN Centromere protein T OS=Homo sapiens OX=9606 GN=CENPT PE=1 SV=2;tr|H3BUW2|H3BUW2_HUMAN Centromere protein T (Fragment) OS=Homo sapiens OX=9606 GN=CENPT PE=1 SV=1;tr|H3BTR4|H3BTR4_HUMAN Centromere protein T OS=Homo sapiens OX=9606 GN=C,3,3,8.4,24.2111289946528,25.2804383308425,23.6054369974094,22.0052517229406
Q9C0F1;D6RBX1;D6RC25;D6RGX6,Q9C0F1,3;1;1;1,3;1;1;1,3;1;1;1,Centrosomal protein of 44 kDa,CEP44,sp|Q9C0F1|CEP44_HUMAN Centrosomal protein of 44 kDa OS=Homo sapiens OX=9606 GN=CEP44 PE=1 SV=2,3,3,11.8,4.25377280271413,4.41538556284283,25.0189889777434,23.7971905025005
Q99715;D6RGG3;H0Y4P7;A0A087X0A8,Q99715;D6RGG3,3;3;1;1,3;3;1;1,3;3;1;1,Collagen alpha-1(XII) chain,COL12A1,sp|Q99715|COCA1_HUMAN Collagen alpha-1(XII) chain OS=Homo sapiens OX=9606 GN=COL12A1 PE=1 SV=2;tr|D6RGG3|D6RGG3_HUMAN Collagen alpha-1(XII) chain OS=Homo sapiens OX=9606 GN=COL12A1 PE=1 SV=1,3,3,1.7,4.25377280271413,4.41538556284283,25.8843214628414,26.3903442684044
P61923;F8VXB1;F8VUC5;F8W156;F8VYZ4;F8VVA7;F8W651;F8VXR1,P61923;F8VXB1;F8VUC5;F8W156;F8VYZ4;F8VVA7;F8W651;F8VXR1,3;3;3;3;3;3;2;2,3;3;3;3;3;3;2;2,3;3;3;3;3;3;2;2,Coatomer subunit zeta-1,COPZ1,sp|P61923|COPZ1_HUMAN Coatomer subunit zeta-1 OS=Homo sapiens OX=9606 GN=COPZ1 PE=1 SV=1;tr|F8VXB1|F8VXB1_HUMAN Coatomer subunit zeta (Fragment) OS=Homo sapiens OX=9606 GN=COPZ1 PE=1 SV=1;tr|F8VUC5|F8VUC5_HUMAN Coatomer subunit zeta OS=Homo sapiens OX=9606,3,3,19.8,22.0367809321188,21.6024089052057,27.2194656020213,26.9619046476951
P04080;A0A1W2PQG6;A0A1W2PS52,P04080,3;1;1,3;1;1,3;1;1,Cystatin-B,CSTB,sp|P04080|CYTB_HUMAN Cystatin-B OS=Homo sapiens OX=9606 GN=CSTB PE=1 SV=2,3,3,45.9,23.8248336910177,27.4115912827347,24.402300643813,24.1044560668272
O43310,O43310,3,3,3,CBP80/20-dependent translation initiation factor,CTIF,sp|O43310|CTIF_HUMAN CBP80/20-dependent translation initiation factor OS=Homo sapiens OX=9606 GN=CTIF PE=1 SV=1,3,3,7.4,4.25377280271413,4.41538556284283,24.4458802299775,25.0120556912612
P07858;E9PR54;E9PJ67;E9PCB3;E9PKQ7;E9PNL5;E9PHZ5;E9PLY3;E9PSG5;E9PQM1;R4GMQ5;E9PS78,P07858;E9PR54;E9PJ67;E9PCB3;E9PKQ7;E9PNL5;E9PHZ5;E9PLY3;E9PSG5;E9PQM1,3;2;2;2;2;2;2;2;2;2;1;1,3;2;2;2;2;2;2;2;2;2;1;1,3;2;2;2;2;2;2;2;2;2;1;1,Cathepsin B;Cathepsin B light chain;Cathepsin B heavy chain,CTSB,sp|P07858|CATB_HUMAN Cathepsin B OS=Homo sapiens OX=9606 GN=CTSB PE=1 SV=3;tr|E9PR54|E9PR54_HUMAN Cathepsin B (Fragment) OS=Homo sapiens OX=9606 GN=CTSB PE=1 SV=1;tr|E9PJ67|E9PJ67_HUMAN Cathepsin B (Fragment) OS=Homo sapiens OX=9606 GN=CTSB PE=1 SV=1;tr|E9,3,3,10.6,25.3156529230007,25.9914645831636,25.1872958859938,24.6084001253472
Q9H467,Q9H467,3,3,3,CUE domain-containing protein 2,CUEDC2,sp|Q9H467|CUED2_HUMAN CUE domain-containing protein 2 OS=Homo sapiens OX=9606 GN=CUEDC2 PE=1 SV=1,3,3,8.0,23.8142522879936,22.6698824531264,23.6549086895753,22.1812262789066
P78310,P78310,3,3,3,Coxsackievirus and adenovirus receptor,CXADR,sp|P78310|CXAR_HUMAN Coxsackievirus and adenovirus receptor OS=Homo sapiens OX=9606 GN=CXADR PE=1 SV=1,3,3,14.5,4.25377280271413,4.41538556284283,25.260548606728,23.4850519545676
Q7L576;A0A0G2JR96;A0A0G2JQT1;H0YL50;A0A0G2JQH3;A0A087WVZ5,Q7L576;A0A0G2JR96;A0A0G2JQT1,5;3;3;1;1;1,5;3;3;1;1;1,3;1;1;1;1;1,Cytoplasmic FMR1-interacting protein 1,CYFIP1,sp|Q7L576|CYFP1_HUMAN Cytoplasmic FMR1-interacting protein 1 OS=Homo sapiens OX=9606 GN=CYFIP1 PE=1 SV=1;tr|A0A0G2JR96|A0A0G2JR96_HUMAN Cytoplasmic FMR1-interacting protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=CYFIP1 PE=1 SV=4;tr|A0A0G2JQT1|A0A0G2JQT1_H,5,3,4.2,4.25377280271413,4.41538556284283,25.3948967554266,25.1635001204279
Q96F07;E7EVJ5;E7EW33;H7C229;A0A087WVE1;A0A087WTQ3;A0A087WWZ1,Q96F07;E7EVJ5;E7EW33;H7C229,5;5;4;4;1;1;1,3;3;3;3;0;0;0,3;3;3;3;0;0;0,Cytoplasmic FMR1-interacting protein 2,CYFIP2,sp|Q96F07|CYFP2_HUMAN Cytoplasmic FMR1-interacting protein 2 OS=Homo sapiens OX=9606 GN=CYFIP2 PE=1 SV=2;tr|E7EVJ5|E7EVJ5_HUMAN Cytoplasmic FMR1-interacting protein OS=Homo sapiens OX=9606 GN=CYFIP2 PE=1 SV=1;tr|E7EW33|E7EW33_HUMAN Cytoplasmic FMR1-interac,5,3,4.5,4.25377280271413,4.41538556284283,21.6644889514324,23.2702782144449
P81605,P81605,3,3,3,Dermcidin;Survival-promoting peptide;DCD-1,DCD,sp|P81605|DCD_HUMAN Dermcidin OS=Homo sapiens OX=9606 GN=DCD PE=1 SV=2,3,3,25.5,25.576549622591,26.8722051765253,4.42724936884613,4.39090484493968
Q9NVP1;H7C452,Q9NVP1;H7C452,3;2,3;2,3;2,ATP-dependent RNA helicase DDX18,DDX18,sp|Q9NVP1|DDX18_HUMAN ATP-dependent RNA helicase DDX18 OS=Homo sapiens OX=9606 GN=DDX18 PE=1 SV=2;tr|H7C452|H7C452_HUMAN ATP-dependent RNA helicase DDX18 (Fragment) OS=Homo sapiens OX=9606 GN=DDX18 PE=1 SV=1,3,3,6.9,23.0576824228528,25.6151246768198,23.2779457846385,22.9491342123385
O00148;K7EQN7;K7EPJ3;A0A0D9SEM9,O00148;K7EQN7;K7EPJ3,12;8;6;3,12;8;6;3,3;2;1;2,ATP-dependent RNA helicase DDX39A,DDX39A,sp|O00148|DX39A_HUMAN ATP-dependent RNA helicase DDX39A OS=Homo sapiens OX=9606 GN=DDX39A PE=1 SV=2;tr|K7EQN7|K7EQN7_HUMAN ATP-dependent RNA helicase DDX39A (Fragment) OS=Homo sapiens OX=9606 GN=DDX39A PE=1 SV=1;tr|K7EPJ3|K7EPJ3_HUMAN ATP-dependent RNA hel,12,3,28.8,26.8278404181316,27.5133717178407,27.984897162774,27.5172071748961
Q13268;H0YJG9;H0YJP4;C9JZP6,Q13268;H0YJG9;H0YJP4;C9JZP6,3;3;3;3,3;3;3;3,3;3;3;3,"Dehydrogenase/reductase SDR family member 2, mitochondrial",DHRS2,"sp|Q13268|DHRS2_HUMAN Dehydrogenase/reductase SDR family member 2, mitochondrial OS=Homo sapiens OX=9606 GN=DHRS2 PE=1 SV=4;tr|H0YJG9|H0YJG9_HUMAN Dehydrogenase/reductase SDR family member 2, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=DHRS2 PE=1 S",3,3,9.3,25.4853591135546,24.4043812355166,24.6269499976422,23.6058032171179
Q9NSV4,Q9NSV4,3,3,3,Protein diaphanous homolog 3,DIAPH3,sp|Q9NSV4|DIAP3_HUMAN Protein diaphanous homolog 3 OS=Homo sapiens OX=9606 GN=DIAPH3 PE=1 SV=4,3,3,4.9,4.25377280271413,4.41538556284283,25.1440211805532,24.8405255472708
