Unnamed: 0,CIAO1_vs_BirA,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
SPTAN1,0.5216269163,0.718681395849704,0,Q13813;A0A0D9SF54;A0A0D9SGF6,Q13813;A0A0D9SF54;A0A0D9SGF6,11;11;11,11;11;11,11;11;11,"Spectrin alpha chain, non-erythrocytic 1",SPTAN1,"sp|Q13813|SPTN1_HUMAN Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTAN1 PE=1 SV=3;tr|A0A0D9SF54|A0A0D9SF54_HUMAN Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTAN1 PE=1 SV=1;tr|A0A0D9SGF6|A0A0D9SGF6_HUMAN Sp",11,11,7.1,2472,-0.52162691627855,0.718681395849704
ARFGAP2,-2.8986583859,0.0017618311835337,1,Q8N6H7;H0YDN9;A0A0D9SF70;G5E9L0;E9PMU9;E9PQP3;E9PIY6,Q8N6H7;H0YDN9;A0A0D9SF70;G5E9L0;E9PMU9;E9PQP3;E9PIY6,2;2;2;2;1;1;1,2;2;2;2;1;1;1,2;2;2;2;1;1;1,ADP-ribosylation factor GTPase-activating protein 2,ARFGAP2,sp|Q8N6H7|ARFG2_HUMAN ADP-ribosylation factor GTPase-activating protein 2 OS=Homo sapiens OX=9606 GN=ARFGAP2 PE=1 SV=1;tr|H0YDN9|H0YDN9_HUMAN ADP-ribosylation factor GTPase-activating protein 2 (Fragment) OS=Homo sapiens OX=9606 GN=ARFGAP2 PE=1 SV=1;tr|A0A,2,2,5.8,521,2.8986583858669,0.0017618311835337
DNM2;DNM1,-2.70931531,0.115966998615437,0,P50570;Q05193;A0A1B0GUX5;A0A0D9SFB1;A0A0U1RQP1;A0A0D9SFE4;A0A1B0GU67,P50570;Q05193;A0A1B0GUX5;A0A0D9SFB1;A0A0U1RQP1;A0A0D9SFE4;A0A1B0GU67,3;3;3;3;3;3;2,3;3;3;3;3;3;2,2;2;2;2;2;2;2,Dynamin-2;Dynamin-1,DNM2;DNM1,sp|P50570|DYN2_HUMAN Dynamin-2 OS=Homo sapiens OX=9606 GN=DNM2 PE=1 SV=2;sp|Q05193|DYN1_HUMAN Dynamin-1 OS=Homo sapiens OX=9606 GN=DNM1 PE=1 SV=2;tr|A0A1B0GUX5|A0A1B0GUX5_HUMAN Dynamin-1 OS=Homo sapiens OX=9606 GN=DNM1 PE=1 SV=1;tr|A0A0D9SFB1|A0A0D9SFB1_HU,3,2,3.8,870,2.7093153100474,0.115966998615437
TATDN1,-1.2952530572,0.00657419546665794,1,Q6P1N9;H0YBX2;G5EA19;U3KQS5;E5RGF2;A0A0D9SGD3;E5RG17;E5RG62;E5RK70,Q6P1N9;H0YBX2;G5EA19;U3KQS5;E5RGF2;A0A0D9SGD3;E5RG17;E5RG62;E5RK70,2;2;2;2;2;2;2;1;1,2;2;2;2;2;2;2;1;1,2;2;2;2;2;2;2;1;1,Putative deoxyribonuclease TATDN1,TATDN1,sp|Q6P1N9|TATD1_HUMAN Putative deoxyribonuclease TATDN1 OS=Homo sapiens OX=9606 GN=TATDN1 PE=1 SV=2;tr|H0YBX2|H0YBX2_HUMAN Putative deoxyribonuclease TATDN1 (Fragment) OS=Homo sapiens OX=9606 GN=TATDN1 PE=1 SV=1;tr|G5EA19|G5EA19_HUMAN Putative deoxyribonuc,2,2,10.4,297,1.29525305721785,0.00657419546665794
DIAPH1,0.2800269412,0.436558654718186,0,O60610;H9KV28;A0A2R8Y5N1;A0A140T8Z0;A0A0G2JH68,O60610;H9KV28;A0A2R8Y5N1;A0A140T8Z0;A0A0G2JH68,3;3;3;3;3,3;3;3;3;3,3;3;3;3;3,Protein diaphanous homolog 1,DIAPH1,sp|O60610|DIAP1_HUMAN Protein diaphanous homolog 1 OS=Homo sapiens OX=9606 GN=DIAPH1 PE=1 SV=2;tr|H9KV28|H9KV28_HUMAN Protein diaphanous homolog 1 OS=Homo sapiens OX=9606 GN=DIAPH1 PE=1 SV=2;tr|A0A2R8Y5N1|A0A2R8Y5N1_HUMAN Protein diaphanous homolog 1 OS=Ho,3,3,3.3,1272,-0.280026941247764,0.436558654718186
HSPA1A;HSPA1B,-1.577011196,0.0122528001228036,1,P0DMV8;A0A0G2JIW1;P0DMV9;V9GZ37,P0DMV8;A0A0G2JIW1;P0DMV9;V9GZ37,32;32;32;17,29;29;29;16,19;19;19;10,Heat shock 70 kDa protein 1A;Heat shock 70 kDa protein 1B,HSPA1A;HSPA1B,sp|P0DMV8|HS71A_HUMAN Heat shock 70 kDa protein 1A OS=Homo sapiens OX=9606 GN=HSPA1A PE=1 SV=1;tr|A0A0G2JIW1|A0A0G2JIW1_HUMAN Heat shock 70 kDa protein 1B OS=Homo sapiens OX=9606 GN=HSPA1B PE=1 SV=1;sp|P0DMV9|HS71B_HUMAN Heat shock 70 kDa protein 1B OS=Hom,32,19,41.2,641,1.5770111959905,0.0122528001228036
PSMB9,2.1650447672,0.396856137292271,0,P28065;A2ACR1;A0A0G2JJA7;A2ACR0;A0A0G2JJQ0;A0A0G2JJ13;A0A0G2JHI2,P28065;A2ACR1;A0A0G2JJA7,3;3;3;1;1;1;1,3;3;3;1;1;1;1,3;3;3;1;1;1;1,Proteasome subunit beta type-9;Proteasome subunit beta type,PSMB9,sp|P28065|PSB9_HUMAN Proteasome subunit beta type-9 OS=Homo sapiens OX=9606 GN=PSMB9 PE=1 SV=2;tr|A2ACR1|A2ACR1_HUMAN Proteasome subunit beta OS=Homo sapiens OX=9606 GN=PSMB9 PE=1 SV=1;tr|A0A0G2JJA7|A0A0G2JJA7_HUMAN Proteasome subunit beta OS=Homo sapiens,3,3,18.3,219,-2.165044767169,0.396856137292271
SSBP1,-2.6575825067,0.0016333368207057,1,Q04837;A0A0G2JLD8;E7EUY5;C9K0U8,Q04837;A0A0G2JLD8;E7EUY5;C9K0U8,6;6;6;5,6;6;6;5,6;6;6;5,"Single-stranded DNA-binding protein, mitochondrial",SSBP1,"sp|Q04837|SSBP_HUMAN Single-stranded DNA-binding protein, mitochondrial OS=Homo sapiens OX=9606 GN=SSBP1 PE=1 SV=1;tr|A0A0G2JLD8|A0A0G2JLD8_HUMAN Single-stranded DNA-binding protein, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=SSBP1 PE=1 SV=1;tr|E7",6,6,40.5,148,2.657582506663,0.0016333368207057
PUF60,-1.8447628561,0.0139051565386531,1,A0A0J9YVR6;E9PQ56;A0A0J9YYL3;A0A0J9YVP6;Q9UHX1;A0A0J9YWM1;H0YEM1;A0A0J9YXJ8;A0A0J9YXX5;H0YCP8;E9PMU7;E9PN18;E9PL19,A0A0J9YVR6;E9PQ56;A0A0J9YYL3;A0A0J9YVP6;Q9UHX1;A0A0J9YWM1;H0YEM1;A0A0J9YXJ8;A0A0J9YXX5;H0YCP8;E9PMU7;E9PN18,6;6;6;6;5;5;5;5;5;4;3;3;2,6;6;6;6;5;5;5;5;5;4;3;3;2,6;6;6;6;5;5;5;5;5;4;3;3;2,Poly(U)-binding-splicing factor PUF60,PUF60,tr|A0A0J9YVR6|A0A0J9YVR6_HUMAN Poly(U)-binding-splicing factor PUF60 (Fragment) OS=Homo sapiens OX=9606 GN=PUF60 PE=1 SV=3;tr|E9PQ56|E9PQ56_HUMAN Poly(U)-binding-splicing factor PUF60 (Fragment) OS=Homo sapiens OX=9606 GN=PUF60 PE=1 SV=8;tr|A0A0J9YYL3|A0A0,6,6,37.6,314,1.84476285605525,0.0139051565386531
DOCK11,0.5207004011,0.120516307794146,0,A0A0J9YW64;Q5JSL3;A6NIW2,A0A0J9YW64;Q5JSL3;A6NIW2,2;1;1,2;1;1,2;1;1,Dedicator of cytokinesis protein 11,DOCK11,tr|A0A0J9YW64|A0A0J9YW64_HUMAN Dedicator of cytokinesis protein 11 (Fragment) OS=Homo sapiens OX=9606 GN=DOCK11 PE=1 SV=1;sp|Q5JSL3|DOC11_HUMAN Dedicator of cytokinesis protein 11 OS=Homo sapiens OX=9606 GN=DOCK11 PE=1 SV=2;tr|A6NIW2|A6NIW2_HUMAN Dedicator,2,2,1.9,1902,-0.520700401091913,0.120516307794146
MATR3,-2.3002470646,0.00329953548686443,1,P43243;A0A0R4J2E8;A8MXP9;D6REM6;D6R991;B3KM87;H0Y8T4;D6RCM3;D6REK4;D6R8Z5;Q68E03;D6RIA2;D6RB45;D6RE02;A0A1B0GX04;D6RBS2;D6R9F3;D6RBI2;D6RAY2;D6RAM9;D6RBK5,P43243;A0A0R4J2E8;A8MXP9;D6REM6;D6R991;B3KM87,21;21;21;18;13;12;9;5;5;5;5;4;4;4;4;4;4;4;3;3;3,21;21;21;18;13;12;9;5;5;5;5;4;4;4;4;4;4;4;3;3;3,21;21;21;18;13;12;9;5;5;5;5;4;4;4;4;4;4;4;3;3;3,Matrin-3,MATR3,sp|P43243|MATR3_HUMAN Matrin-3 OS=Homo sapiens OX=9606 GN=MATR3 PE=1 SV=2;tr|A0A0R4J2E8|A0A0R4J2E8_HUMAN Matrin-3 OS=Homo sapiens OX=9606 GN=MATR3 PE=1 SV=1;tr|A8MXP9|A8MXP9_HUMAN Matrin-3 OS=Homo sapiens OX=9606 GN=MATR3 PE=1 SV=1;tr|D6REM6|D6REM6_HUMAN M,21,21,34.7,847,2.3002470646362,0.00329953548686443
PROCR,-1.7088123032,0.0238694186405433,1,Q9UNN8;A0A0U1RQQ4,Q9UNN8;A0A0U1RQQ4,2;2,2;2,2;2,Endothelial protein C receptor,PROCR,sp|Q9UNN8|EPCR_HUMAN Endothelial protein C receptor OS=Homo sapiens OX=9606 GN=PROCR PE=1 SV=1;tr|A0A0U1RQQ4|A0A0U1RQQ4_HUMAN Endothelial protein C receptor (Fragment) OS=Homo sapiens OX=9606 GN=PROCR PE=1 SV=1,2,2,10.9,238,1.70881230321775,0.0238694186405433
PACSIN2,-16.9503295665,1.44781061703191e-06,1,Q9UNF0;A0A0U1RR22;B0QYG7;B0QYG8,Q9UNF0;A0A0U1RR22;B0QYG7;B0QYG8,4;4;2;2,4;4;2;2,4;4;2;2,Protein kinase C and casein kinase substrate in neurons protein 2,PACSIN2,sp|Q9UNF0|PACN2_HUMAN Protein kinase C and casein kinase substrate in neurons protein 2 OS=Homo sapiens OX=9606 GN=PACSIN2 PE=1 SV=2;tr|A0A0U1RR22|A0A0U1RR22_HUMAN Protein kinase C and casein kinase substrate in neurons protein 2 (Fragment) OS=Homo sapiens,4,4,9.3,486,16.950329566517,1.44781061703191e-06
GNL1,0.9555665596,0.0242220745594556,0,P36915;A0A140T8Y2,P36915;A0A140T8Y2,3;3,3;3,3;3,Guanine nucleotide-binding protein-like 1,GNL1,sp|P36915|GNL1_HUMAN Guanine nucleotide-binding protein-like 1 OS=Homo sapiens OX=9606 GN=GNL1 PE=1 SV=2;tr|A0A140T8Y2|A0A140T8Y2_HUMAN Guanine nucleotide-binding protein-like 1 (Fragment) OS=Homo sapiens OX=9606 GN=GNL1 PE=1 SV=1,3,3,5.1,607,-0.955566559594196,0.0242220745594556
HLA-A,-4.2393827333,0.0158942393596215,1,A0A140T955;A0A140T933;A0A1W2PRT9;Q53Z42;A0A140T9I0;A0A140T9X5;A0A140T913;A0A1W2PPQ2;P10321;A0A1W2PRU9;A2AEA2,A0A140T955;A0A140T933;A0A1W2PRT9;Q53Z42;A0A140T9I0;A0A140T9X5;A0A140T913;A0A1W2PPQ2,12;12;12;12;12;12;12;10;5;5;5,12;12;12;12;12;12;12;10;5;5;5,4;4;4;4;4;4;4;4;0;0;0,,HLA-A,"tr|A0A140T955|A0A140T955_HUMAN HLA class I histocompatibility antigen, A alpha chain OS=Homo sapiens OX=9606 GN=HLA-A PE=1 SV=1;tr|A0A140T933|A0A140T933_HUMAN HLA class I histocompatibility antigen, A alpha chain (Fragment) OS=Homo sapiens OX=9606 GN=HLA-A",12,4,45.2,299,4.23938273327155,0.0158942393596215
PSMB8;PSM8,-0.4062497715,0.20609719967751,0,P28062;Q5JNW7;A0A140T998;X5D2R7,P28062;Q5JNW7;A0A140T998;X5D2R7,2;2;2;2,2;2;2;2,2;2;2;2,Proteasome subunit beta type-8;Proteasome subunit beta type,PSMB8;PSM8,sp|P28062|PSB8_HUMAN Proteasome subunit beta type-8 OS=Homo sapiens OX=9606 GN=PSMB8 PE=1 SV=3;tr|Q5JNW7|Q5JNW7_HUMAN Proteasome subunit beta type-8 OS=Homo sapiens OX=9606 GN=PSMB8 PE=1 SV=1;tr|A0A140T998|A0A140T998_HUMAN Proteasome subunit beta type-8 OS,2,2,8,276,0.406249771514603,0.20609719967751
ALDH7A1,-1.8065994786,0.00408471486890105,1,P49419;A0A1B0GTG2;A0A1B0GW77;A0A1B0GV49;A0A1B0GTJ4;A0A1B0GUA1;A0A1B0GW82;A0A1B0GTY9;A0A1B0GUY0;A0A0J9YWF7;A0A1B0GVU0;H0YHM6;F8WDY6;F8VVF2,P49419;A0A1B0GTG2;A0A1B0GW77;A0A1B0GV49;A0A1B0GTJ4;A0A1B0GUA1;A0A1B0GW82;A0A1B0GTY9;A0A1B0GUY0,9;9;9;8;8;8;8;7;5;4;2;2;1;1,9;9;9;8;8;8;8;7;5;4;2;2;1;1,9;9;9;8;8;8;8;7;5;4;2;2;1;1,Alpha-aminoadipic semialdehyde dehydrogenase,ALDH7A1,sp|P49419|AL7A1_HUMAN Alpha-aminoadipic semialdehyde dehydrogenase OS=Homo sapiens OX=9606 GN=ALDH7A1 PE=1 SV=5;tr|A0A1B0GTG2|A0A1B0GTG2_HUMAN Alpha-aminoadipic semialdehyde dehydrogenase OS=Homo sapiens OX=9606 GN=ALDH7A1 PE=1 SV=1;tr|A0A1B0GW77|A0A1B0GW7,9,9,30.8,539,1.80659947856125,0.00408471486890105
TJP2,-2.1546788553,0.00413558464226878,1,Q9UDY2;A0A3B3IT83;A0A3B3IRV6;A0A3B3ISF1;A0A3B3IU51;A0A3B3ISZ5;A0A3B3IRI3;A0A3B3ITE1;A0A1B0GTW1;A0A2R8YDH4;A0A3B3IS03,Q9UDY2;A0A3B3IT83;A0A3B3IRV6;A0A3B3ISF1;A0A3B3IU51;A0A3B3ISZ5;A0A3B3IRI3;A0A3B3ITE1;A0A1B0GTW1;A0A2R8YDH4;A0A3B3IS03,5;5;5;5;5;5;5;5;5;5;4,5;5;5;5;5;5;5;5;5;5;4,5;5;5;5;5;5;5;5;5;5;4,Tight junction protein ZO-2,TJP2,sp|Q9UDY2|ZO2_HUMAN Tight junction protein ZO-2 OS=Homo sapiens OX=9606 GN=TJP2 PE=1 SV=2;tr|A0A3B3IT83|A0A3B3IT83_HUMAN Tight junction protein ZO-2 (Fragment) OS=Homo sapiens OX=9606 GN=TJP2 PE=4 SV=1;tr|A0A3B3IRV6|A0A3B3IRV6_HUMAN Tight junction protein,5,5,7,1190,2.15467885530785,0.00413558464226878
ACY1;ABHD14A-ACY1,-0.5738943592,0.202871026658621,0,Q03154;A0A1B0GU86;C9JMV9;A0A1B0GW23;A0A1B0GVA5;A0A1B0GV31;A0A1B0GTG3;F8WC59;C9JYZ0,Q03154;A0A1B0GU86;C9JMV9;A0A1B0GW23;A0A1B0GVA5;A0A1B0GV31,4;4;3;3;2;2;1;1;1,4;4;3;3;2;2;1;1;1,4;4;3;3;2;2;1;1;1,Aminoacylase-1,ACY1;ABHD14A-ACY1,sp|Q03154|ACY1_HUMAN Aminoacylase-1 OS=Homo sapiens OX=9606 GN=ACY1 PE=1 SV=1;tr|A0A1B0GU86|A0A1B0GU86_HUMAN Aminoacylase-1 OS=Homo sapiens OX=9606 GN=ACY1 PE=1 SV=1;tr|C9JMV9|C9JMV9_HUMAN ABHD14A-ACY1 readthrough OS=Homo sapiens OX=9606 GN=ABHD14A-ACY1 PE,4,4,15.9,408,0.573894359183601,0.202871026658621
CTSD,-3.0546265809,0.00239162579160589,1,P07339;A0A1B0GW44;A0A1B0GV23;A0A1B0GVD5;A0A1B0GWE8;A0A1B0GU92;A0A1B0GU03;H7C469;A0A1B0GVP3;H7C1V0;F8W787;F8WD96;C9JH19;A0A1B0GV01,P07339;A0A1B0GW44;A0A1B0GV23;A0A1B0GVD5;A0A1B0GWE8;A0A1B0GU92;A0A1B0GU03;H7C469;A0A1B0GVP3;H7C1V0,9;9;9;9;9;7;7;6;6;5;4;4;4;1,9;9;9;9;9;7;7;6;6;5;4;4;4;1,9;9;9;9;9;7;7;6;6;5;4;4;4;1,Cathepsin D;Cathepsin D light chain;Cathepsin D heavy chain,CTSD,sp|P07339|CATD_HUMAN Cathepsin D OS=Homo sapiens OX=9606 GN=CTSD PE=1 SV=1;tr|A0A1B0GW44|A0A1B0GW44_HUMAN Cathepsin D OS=Homo sapiens OX=9606 GN=CTSD PE=1 SV=1;tr|A0A1B0GV23|A0A1B0GV23_HUMAN Cathepsin D OS=Homo sapiens OX=9606 GN=CTSD PE=1 SV=1;tr|A0A1B0GV,9,9,25.2,412,3.05462658087025,0.00239162579160589
MVK,0.5227597049,0.200874199987481,0,Q03426;F5H8H2;A0A1B0GWC2;A0A1B0GWF3,Q03426;F5H8H2;A0A1B0GWC2;A0A1B0GWF3,2;2;2;1,2;2;2;1,2;2;2;1,Mevalonate kinase,MVK,sp|Q03426|KIME_HUMAN Mevalonate kinase OS=Homo sapiens OX=9606 GN=MVK PE=1 SV=1;tr|F5H8H2|F5H8H2_HUMAN Mevalonate kinase OS=Homo sapiens OX=9606 GN=MVK PE=1 SV=1;tr|A0A1B0GWC2|A0A1B0GWC2_HUMAN Mevalonate kinase (Fragment) OS=Homo sapiens OX=9606 GN=MVK PE=,2,2,9.1,396,-0.522759704861865,0.200874199987481
DPYSL2,-1.6256196987,0.0132696123781433,1,Q16555;A0A1C7CYX9;E5RFU4,Q16555;A0A1C7CYX9,15;15;2,15;15;2,13;13;2,Dihydropyrimidinase-related protein 2,DPYSL2,sp|Q16555|DPYL2_HUMAN Dihydropyrimidinase-related protein 2 OS=Homo sapiens OX=9606 GN=DPYSL2 PE=1 SV=1;tr|A0A1C7CYX9|A0A1C7CYX9_HUMAN Dihydropyrimidinase-related protein 2 OS=Homo sapiens OX=9606 GN=DPYSL2 PE=1 SV=1,15,13,39.3,572,1.6256196986927,0.0132696123781433
SFXN3,-1.306431313,0.043751082764579,1,Q9BWM7;A0A1P0AYU5;S4R3N9,Q9BWM7;A0A1P0AYU5;S4R3N9,9;9;6,9;9;6,8;8;6,Sideroflexin-3,SFXN3,sp|Q9BWM7|SFXN3_HUMAN Sideroflexin-3 OS=Homo sapiens OX=9606 GN=SFXN3 PE=1 SV=3;tr|A0A1P0AYU5|A0A1P0AYU5_HUMAN Sidoreflexin OS=Homo sapiens OX=9606 GN=SFXN3 PE=1 SV=1;tr|S4R3N9|S4R3N9_HUMAN Sideroflexin-3 OS=Homo sapiens OX=9606 GN=SFXN3 PE=1 SV=1,9,8,37.1,321,1.3064313130199,0.043751082764579
,-2.6645412547,0.0240492147187564,1,A0A1W2PNV4;Q92747;E9PF58;F8WFD3,A0A1W2PNV4,7;3;3;2,3;3;3;2,3;3;3;2,,,tr|A0A1W2PNV4|A0A1W2PNV4_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 PE=4 SV=1,7,3,12.7,684,2.66454125466175,0.0240492147187564
ME2,-1.3599240905,0.00696085912952998,1,P23368;A0A1W2PQT3;A0A1W2PPH1;A0A1W2PQY8;A0A1W2PQF8;A0A1W2PR68;A0A1W2PQH3;A0A1W2PQ37;A0A1W2PRH1;A0A1W2PRS2;A0A1W2PRY9;A0A1W2PQH4,P23368;A0A1W2PQT3;A0A1W2PPH1;A0A1W2PQY8;A0A1W2PQF8;A0A1W2PR68;A0A1W2PQH3;A0A1W2PQ37,6;6;6;6;5;5;5;4;1;1;1;1,6;6;6;6;5;5;5;4;1;1;1;1,6;6;6;6;5;5;5;4;1;1;1;1,"NAD-dependent malic enzyme, mitochondrial",ME2,"sp|P23368|MAOM_HUMAN NAD-dependent malic enzyme, mitochondrial OS=Homo sapiens OX=9606 GN=ME2 PE=1 SV=1;tr|A0A1W2PQT3|A0A1W2PQT3_HUMAN Malic enzyme OS=Homo sapiens OX=9606 GN=ME2 PE=1 SV=1;tr|A0A1W2PPH1|A0A1W2PPH1_HUMAN Malic enzyme OS=Homo sapiens OX=9606",6,6,13.2,584,1.35992409047345,0.00696085912952998
POLR2B,-0.9975157768,0.0698138642720507,0,P30876;C9J4M6;A0A1W2PPT5;C9J2Y9,P30876;C9J4M6;A0A1W2PPT5;C9J2Y9,6;6;6;6,6;6;6;6,6;6;6;6,DNA-directed RNA polymerase II subunit RPB2;DNA-directed RNA polymerase,POLR2B,sp|P30876|RPB2_HUMAN DNA-directed RNA polymerase II subunit RPB2 OS=Homo sapiens OX=9606 GN=POLR2B PE=1 SV=1;tr|C9J4M6|C9J4M6_HUMAN DNA-directed RNA polymerase subunit beta OS=Homo sapiens OX=9606 GN=POLR2B PE=1 SV=3;tr|A0A1W2PPT5|A0A1W2PPT5_HUMAN DNA-dire,6,6,9.1,1174,0.997515776847753,0.0698138642720507
TCEA1,-2.7595826526,0.000599666915584183,1,P23193;A0A1W2PPZ5;E5RJ93;E5RIS7;A0A1W2PRL9;E5RK46;A0A1W2PS15;E5RFI1;A0A1W2PPV7;Q15560;Q5JRI7;A0A0A0MT58,P23193;A0A1W2PPZ5;E5RJ93;E5RIS7;A0A1W2PRL9,7;7;4;4;4;3;3;3;3;1;1;1,7;7;4;4;4;3;3;3;3;1;1;1,2;2;1;1;1;0;0;0;0;0;0;0,Transcription elongation factor A protein 1,TCEA1,sp|P23193|TCEA1_HUMAN Transcription elongation factor A protein 1 OS=Homo sapiens OX=9606 GN=TCEA1 PE=1 SV=2;tr|A0A1W2PPZ5|A0A1W2PPZ5_HUMAN Transcription elongation factor A protein 1 OS=Homo sapiens OX=9606 GN=TCEA1 PE=1 SV=1;tr|E5RJ93|E5RJ93_HUMAN Transc,7,2,25.9,301,2.7595826526467,0.000599666915584183
BCLAF1,-1.6011283418,0.00555095818108096,1,Q9NYF8;A0A1W2PQ43;E9PK09;E9PQN2;E9PKI6;E9PK91;E9PJA7,Q9NYF8;A0A1W2PQ43;E9PK09;E9PQN2;E9PKI6;E9PK91;E9PJA7,5;5;5;5;5;5;4,5;5;5;5;5;5;4,5;5;5;5;5;5;4,Bcl-2-associated transcription factor 1,BCLAF1,sp|Q9NYF8|BCLF1_HUMAN Bcl-2-associated transcription factor 1 OS=Homo sapiens OX=9606 GN=BCLAF1 PE=1 SV=2;tr|A0A1W2PQ43|A0A1W2PQ43_HUMAN Bcl-2-associated transcription factor 1 OS=Homo sapiens OX=9606 GN=BCLAF1 PE=1 SV=1;tr|E9PK09|E9PK09_HUMAN Bcl-2-associ,5,5,6.6,920,1.60112834176495,0.00555095818108096
DDX17,-0.7625569667,0.139540735082647,0,Q92841;A0A1X7SBZ2;A0A5H1ZRQ2;A0A1W2PQ51;A0A0U1RQJ0,Q92841;A0A1X7SBZ2;A0A5H1ZRQ2;A0A1W2PQ51,25;25;25;25;3,16;16;16;16;2,16;16;16;16;2,Probable ATP-dependent RNA helicase DDX17,DDX17,sp|Q92841|DDX17_HUMAN Probable ATP-dependent RNA helicase DDX17 OS=Homo sapiens OX=9606 GN=DDX17 PE=1 SV=2;tr|A0A1X7SBZ2|A0A1X7SBZ2_HUMAN Probable ATP-dependent RNA helicase DDX17 OS=Homo sapiens OX=9606 GN=DDX17 PE=1 SV=1;tr|A0A5H1ZRQ2|A0A5H1ZRQ2_HUMAN Pr,25,16,32.9,729,0.762556966715355,0.139540735082647
GCSH,-3.8638756871,0.0240683658740857,1,P23434;A0A1W2PQV2;H3BUH9,P23434;A0A1W2PQV2;H3BUH9,3;3;3,3;3;3,3;3;3,"Glycine cleavage system H protein, mitochondrial",GCSH,"sp|P23434|GCSH_HUMAN Glycine cleavage system H protein, mitochondrial OS=Homo sapiens OX=9606 GN=GCSH PE=1 SV=2;tr|A0A1W2PQV2|A0A1W2PQV2_HUMAN Glycine cleavage system H protein, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=GCSH PE=1 SV=1;tr|H3BUH9|H",3,3,19.1,173,3.8638756870703,0.0240683658740857
HLA-A,-0.1689077137,0.935614132358552,0,A0A1W2PSE7;P04439;Q5SRN7;A0A0G2JI36;A0A1W2PS24;Q5SUL5;Q5SRN5;A0A0G2JIF2;A0A0G2JL56;A0A1W2PQD0,A0A1W2PSE7;P04439;Q5SRN7;A0A0G2JI36;A0A1W2PS24;Q5SUL5;Q5SRN5;A0A0G2JIF2;A0A0G2JL56;A0A1W2PQD0,9;8;8;8;8;8;8;8;8;6,3;2;2;2;2;2;2;2;2;2,2;1;1;1;1;1;1;1;1;1,"HLA class I histocompatibility antigen, A-3 alpha chain",HLA-A,"tr|A0A1W2PSE7|A0A1W2PSE7_HUMAN HLA class I histocompatibility antigen, A alpha chain OS=Homo sapiens OX=9606 GN=HLA-A PE=1 SV=1;sp|P04439|HLAA_HUMAN HLA class I histocompatibility antigen, A alpha chain OS=Homo sapiens OX=9606 GN=HLA-A PE=1 SV=2;tr|Q5SRN7|",9,2,43.1,367,0.168907713674902,0.935614132358552
PHGDH,-2.3120282777,0.00204528970203879,1,O43175;A0A286YF22;A0A2C9F2M7;A0A286YFA2;A0A286YFL2;A0A286YFM8;A0A286YER3;A0A286YFC8;A0A286YFB2;A0A286YF78;A0A286YFF3;A0A286YF34;A0A286YFK5;A0A286YFE1,O43175;A0A286YF22;A0A2C9F2M7;A0A286YFA2;A0A286YFL2;A0A286YFM8,17;17;15;14;12;9;6;6;6;5;3;3;3;2,17;17;15;14;12;9;6;6;6;5;3;3;3;2,17;17;15;14;12;9;6;6;6;5;3;3;3;2,D-3-phosphoglycerate dehydrogenase,PHGDH,sp|O43175|SERA_HUMAN D-3-phosphoglycerate dehydrogenase OS=Homo sapiens OX=9606 GN=PHGDH PE=1 SV=4;tr|A0A286YF22|A0A286YF22_HUMAN D-3-phosphoglycerate dehydrogenase OS=Homo sapiens OX=9606 GN=PHGDH PE=1 SV=1;tr|A0A2C9F2M7|A0A2C9F2M7_HUMAN D-3-phosphoglycer,17,17,39.6,533,2.31202827769035,0.00204528970203879
RRM2,-0.7078599816,0.19100806548669,0,P31350;A0A286YFD6;C9JXC1,P31350;A0A286YFD6;C9JXC1,3;3;2,3;3;2,3;3;2,Ribonucleoside-diphosphate reductase subunit M2,RRM2,sp|P31350|RIR2_HUMAN Ribonucleoside-diphosphate reductase subunit M2 OS=Homo sapiens OX=9606 GN=RRM2 PE=1 SV=1;tr|A0A286YFD6|A0A286YFD6_HUMAN Ribonucleoside-diphosphate reductase subunit M2 OS=Homo sapiens OX=9606 GN=RRM2 PE=1 SV=1;tr|C9JXC1|C9JXC1_HUMAN R,3,3,11.6,389,0.707859981558738,0.19100806548669
