Gene_names,CIAO1_vs_BirA_logFC,CIAO1_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_CIAO1_N1,Peptides_CIAO1_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_CIAO1_N1,Razor___unique_peptides_CIAO1_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_CIAO1_N1,Unique_peptides_CIAO1_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_CIAO1_N1,Identification_type_CIAO1_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_CIAO1_N1,Ratio_H_L_CIAO1_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_CIAO1_N1,Ratio_H_L_normalized_CIAO1_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____CIAO1_N1,Ratio_H_L_variability_____CIAO1_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_CIAO1_N1,Ratio_H_L_count_CIAO1_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_CIAO1_N1,Ratio_H_L_iso_count_CIAO1_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_CIAO1_N1,Ratio_H_L_type_CIAO1_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_CIAO1_N1____,Sequence_coverage_CIAO1_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_CIAO1_N1,Intensity_L_CIAO1_N1,Intensity_H_CIAO1_N1,Intensity_CIAO1_N2,Intensity_L_CIAO1_N2,Intensity_H_CIAO1_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_CIAO1_N1,metacell_Intensity_L_CIAO1_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
DLST,-0.048291344470357,0.869550116313672,P36957;Q86SW4;H0YJF9;G3V5M3;G3V3F0,P36957,8;3;2;2;2,8;3;2;2;2,8;3;2;2;2,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial","sp|P36957|ODO2_HUMAN Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial OS=Homo sapiens OX=9606 GN=DLST PE=1 SV=4",5,8,8,8,6,6,6,5,6,6,6,5,6,6,6,5,16.6,16.6,16.6,48.755,453,453;279;74;83;104,0.0,54.31,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.30049,0.92551,17.301,23,10,Leave out requantified,0.25765,0.35622,0.047437,0.039663,0.85774,0.99156,0.050152,0.047136,17.421,11.598,105.67,73.569,7,7,5,4,0,1,5,4,Leave out requantified,Leave out requantified,Median,Median,12.8,13.0,13.7,13.7,1178000000,1002200000,175820000,292120000,231390000,60739000,349370000,257020000,92356000,334350000,321970000,12379000,202160000,191810000,10346000,,,,1524,4944;8186;8381;8382;11224;14138;14139;14820,True;True;True;True;True;True;True;True,6098;6099;10134;10358;10359;13684;17106;17107;17908,14107;14108;14109;14110;14111;23395;23396;23397;23398;23931;23932;23933;23934;23935;23936;31566;31567;31568;31569;39537;39538;39539;39540;41432;41433;41434,23418;23419;23420;23421;23422;23423;23424;23425;38566;38567;38568;38569;38570;38571;39478;39479;39480;39481;39482;39483;39484;39485;39486;39487;39488;39489;51783;51784;51785;51786;51787;51788;51789;51790;51791;51792;65024;65025;65026;65027;65028;65029;68244;68245;68246;68247,23421;38569;39480;39489;51788;65024;65027;68244,,,,,-1;-1;-1;-1;-1,protein_1525,quanti,quanti,quanti,quanti
SRP14,-0.258391373277256,0.44092094152297,P37108;H0YLA2,P37108;H0YLA2,7;4,7;4,7;4,Signal recognition particle 14 kDa protein,sp|P37108|SRP14_HUMAN Signal recognition particle 14 kDa protein OS=Homo sapiens OX=9606 GN=SRP14 PE=1 SV=2;tr|H0YLA2|H0YLA2_HUMAN Signal recognition particle 14 kDa protein OS=Homo sapiens OX=9606 GN=SRP14 PE=1 SV=1,2,7,7,7,5,4,4,5,5,4,4,5,5,4,4,5,47.1,47.1,47.1,14.57,136,136;115,0.0,16.955,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.69954,2.1727,4.6435,20,10,Leave out requantified,0.64078,0.80234,0.15068,0.19193,2.1727,2.1532,0.16021,0.22333,10.066,2.5499,89.379,70.589,6,5,4,5,1,0,4,5,Leave out requantified,Leave out requantified,Median,Median,46.3,40.4,27.9,28.7,1139200000,783470000,355740000,346930000,203020000,143900000,373680000,212320000,161360000,189700000,163360000,26342000,228900000,204770000,24138000,,,,1525,3387;3981;6806;7248;14271;14272;15361,True;True;True;True;True;True;True,4145;4848;4849;8408;8942;17256;17257;18601,9603;9604;9605;9606;11193;11194;11195;19431;20601;20602;20603;20604;39865;39866;39867;39868;39869;43116;43117;43118;43119,15971;15972;15973;15974;15975;15976;15977;15978;15979;15980;15981;15982;18567;18568;18569;18570;18571;32172;32173;32174;32175;34162;34163;34164;34165;34166;34167;34168;34169;34170;65517;65518;65519;65520;65521;65522;71068;71069;71070;71071;71072;71073;71074;71075;71076;71077;71078;71079;71080;71081;71082;71083,15971;18569;32173;34163;65518;65522;71077,,,,,-1;-1,protein_1526,quanti,quanti,quanti,quanti
TAGLN2,0.601857885133839,0.0496535836063732,P37802;X6RJP6;Q9UI15;C9J5W6,P37802;X6RJP6,19;17;1;1,19;17;1;1,19;17;1;1,Transgelin-2,sp|P37802|TAGL2_HUMAN Transgelin-2 OS=Homo sapiens OX=9606 GN=TAGLN2 PE=1 SV=3;tr|X6RJP6|X6RJP6_HUMAN Transgelin-2 (Fragment) OS=Homo sapiens OX=9606 GN=TAGLN2 PE=1 SV=1,4,19,19,19,8,9,12,13,8,9,12,13,8,9,12,13,74.9,74.9,74.9,22.391,199,199;187;199;115,0.0,216.67,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.38764,1.1924,82.927,61,48,Leave out requantified,0.33612,0.43597,0.090887,0.074585,1.2631,1.2696,0.10201,0.095085,62.154,51.061,57.496,81.852,10,9,24,18,4,3,23,18,Leave out requantified,Leave out requantified,Median,Median,43.2,45.7,63.3,60.8,10104000000,8414900000,1688700000,2072800000,1486200000,586650000,2510500000,1741100000,769480000,3130300000,2926100000,204220000,2389900000,2261600000,128350000,,,,1526,1416;2331;2332;2427;3237;3244;4290;5018;6592;6593;7317;10730;10731;11237;11238;11655;14025;14026;16418,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,1754;2875;2876;2877;2878;2989;3965;3972;5233;5234;5235;6188;8166;8167;8168;9029;9030;13119;13120;13697;13698;13699;13700;14204;14205;16975;16976;16977;19870;19871,4231;4232;6892;6893;6894;6895;6896;6897;6898;6899;6900;7148;9251;9261;9262;9263;12066;12067;12068;12069;12070;12071;12072;12073;12074;14324;18907;18908;18909;18910;20795;20796;20797;30261;30262;30263;30264;30265;30266;31598;31599;31600;31601;31602;31603;31604;31605;31606;32715;32716;32717;32718;32719;32720;32721;39258;39259;39260;39261;39262;39263;39264;46102;46103;46104;46105,7239;7240;7241;7242;7243;11763;11764;11765;11766;11767;11768;11769;11770;11771;11772;11773;11774;11775;11776;11777;11778;11779;12190;15415;15416;15429;15430;15431;15432;15433;20066;20067;20068;20069;20070;20071;20072;20073;20074;20075;20076;20077;20078;23775;31325;31326;31327;31328;31329;31330;31331;31332;34469;34470;34471;34472;49540;49541;49542;49543;49544;49545;49546;51834;51835;51836;51837;51838;51839;51840;51841;51842;51843;51844;51845;51846;51847;51848;51849;51850;53595;53596;53597;53598;53599;53600;53601;53602;53603;64553;64554;64555;64556;64557;64558;64559;64560;64561;64562;64563;64564;64565;64566;64567;64568;75936;75937;75938;75939;75940;75941,7242;11765;11774;12190;15416;15433;20067;23775;31325;31332;34470;49541;49543;51839;51849;53598;64566;64567;75937,958;959,93;94;95,79;154,178;189;194,-1;-1;-1;-1,protein_1527,quanti,quanti,quanti,quanti
TALDO1,-1.53435503656305,0.0166368352685354,P37837;F2Z393,P37837;F2Z393,18;11,18;11,18;11,Transaldolase,sp|P37837|TALDO_HUMAN Transaldolase OS=Homo sapiens OX=9606 GN=TALDO1 PE=1 SV=2;tr|F2Z393|F2Z393_HUMAN Transaldolase OS=Homo sapiens OX=9606 GN=TALDO1 PE=1 SV=1,2,18,18,18,15,16,9,6,15,16,9,6,15,16,9,6,43.3,43.3,43.3,37.54,337,337;318,0.0,43.655,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.35498,1.0614,19.69,53,30,Leave out requantified,0.28223,0.40476,0.16076,0.12489,0.95705,1.1173,0.1792,0.13419,19.247,21.313,106.28,115.18,18,18,11,6,8,5,11,6,Leave out requantified,Leave out requantified,Median,Median,42.4,43.3,30.9,19.9,2642100000,1945500000,696600000,917010000,672140000,244870000,1069800000,721780000,348050000,452020000,384620000,67404000,203200000,166920000,36283000,,,,1527,177;178;1000;3442;6325;7177;8393;8697;8698;9299;9676;11188;13492;13493;13917;16153;16154;16155,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,211;212;1231;1232;4211;4212;7853;8850;10371;10745;10746;10747;11440;11889;13644;16328;16329;16833;19572;19573;19574;19575,479;480;481;482;2930;2931;2932;2933;2934;9743;9744;9745;9746;9747;9748;18182;18183;18184;18185;18186;18187;20395;23963;23964;24841;24842;24843;24844;26375;26376;26377;26378;27384;27385;31467;31468;37706;37707;37708;37709;38934;38935;38936;38937;45442;45443;45444;45445;45446;45447;45448;45449;45450;45451,803;804;805;806;807;808;809;810;811;4953;4954;4955;4956;4957;4958;4959;4960;16202;16203;16204;16205;16206;16207;16208;16209;16210;16211;30160;30161;30162;30163;30164;30165;30166;30167;30168;30169;33800;39537;39538;39539;39540;40903;40904;40905;40906;40907;40908;40909;43245;43246;43247;43248;43249;44854;44855;44856;51628;51629;51630;61741;61742;61743;61744;61745;61746;61747;61748;61749;63992;63993;63994;63995;63996;63997;63998;63999;74953;74954;74955;74956;74957;74958;74959;74960;74961;74962,808;811;4956;16203;30169;33800;39539;40907;40909;43246;44854;51628;61742;61746;63993;74954;74959;74962,,,,,-1;-1,protein_1528,quanti,quanti,quanti,quanti
ETFB,-0.846601764818029,0.0682368468869432,P38117;M0QY67,P38117,7;2,7;2,7;2,Electron transfer flavoprotein subunit beta,sp|P38117|ETFB_HUMAN Electron transfer flavoprotein subunit beta OS=Homo sapiens OX=9606 GN=ETFB PE=1 SV=3,2,7,7,7,5,5,2,2,5,5,2,2,5,5,2,2,30.2,30.2,30.2,27.843,255,255;178,0.0,20.362,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.38341,1.0684,28.419,14,6,Leave out requantified,0.29285,0.49643,0.44111,0.19012,0.86684,1.2743,0.46506,0.20957,20.79,33.307,23.299,76.01,5,5,2,2,1,1,2,2,Leave out requantified,Leave out requantified,Median,Median,25.5,25.1,8.6,7.8,452580000,336810000,115770000,139470000,107450000,32020000,154140000,103940000,50199000,72937000,52822000,20115000,86032000,72597000,13435000,,,,1528,3005;7420;7680;8264;8541;9412;9633,True;True;True;True;True;True;True,3690;9169;9517;10220;10562;11570;11833,8646;8647;8648;21130;21918;21919;23586;23587;23588;24420;24421;26649;26650;27252,14512;14513;14514;14515;34979;36172;36173;36174;38861;38862;38863;38864;38865;38866;40257;43660;43661;44605,14514;34979;36173;38862;40257;43660;44605,,,,,-1;-1,protein_1529,quanti,quanti,quanti,quanti
ATP6V1A,-1.25581785486387,0.0159145030090707,P38606;C9JVW8;C9JA17;F8WDJ3,P38606,16;6;5;1,16;6;5;1,16;6;5;1,V-type proton ATPase catalytic subunit A,sp|P38606|VATA_HUMAN V-type proton ATPase catalytic subunit A OS=Homo sapiens OX=9606 GN=ATP6V1A PE=1 SV=2,4,16,16,16,13,12,10,6,13,12,10,6,13,12,10,6,34.4,34.4,34.4,68.303,617,617;221;184;49,0.0,46.598,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.4247,1.2364,38.981,44,20,Leave out requantified,0.39852,0.48758,0.16209,0.1625,1.3119,1.2283,0.16954,0.18551,21.793,14.859,97.828,62.127,13,13,11,7,2,2,10,6,Leave out requantified,Leave out requantified,Median,Median,27.7,25.9,22.2,13.3,1984900000,1415100000,569770000,587030000,402590000,184440000,840340000,569500000,270840000,378230000,288040000,90197000,179270000,154980000,24295000,,,,1529,937;1032;1033;2459;4099;5307;6287;7688;7815;9931;13568;14426;14952;15000;15252;16068,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,1144;1270;1271;3027;4987;4988;6549;7810;9525;9678;12194;16412;16413;17443;18066;18126;18470;19475,2733;3016;3017;3018;3019;3020;3021;3022;3023;7230;7231;11517;11518;11519;11520;11521;11522;15090;15091;15092;15093;15094;18070;18071;18072;18073;21936;21937;21938;21939;22326;22327;28123;28124;37894;37895;37896;40337;41824;41825;41968;41969;42807;42808;45206;45207;45208,4632;4633;5079;5080;5081;5082;5083;5084;5085;5086;5087;5088;5089;12308;12309;19085;19086;19087;19088;19089;19090;19091;19092;19093;19094;19095;19096;24944;24945;24946;24947;24948;24949;29975;29976;29977;29978;29979;29980;36203;36204;36205;36206;36207;36208;36209;36808;36809;36810;46087;46088;46089;62025;62026;62027;62028;62029;62030;62031;66346;68908;68909;69134;69135;69136;69137;70520;70521;70522;70523;74551;74552;74553,4632;5079;5086;12308;19089;24948;29979;36208;36809;46088;62026;66346;68909;69137;70521;74551,,,,,-1;-1;-1;-1,protein_1530,quanti,quanti,quanti,quanti
HSPA9,-0.437870607076263,0.151686714206327,P38646;A0A3B3ITI4;D6RJI2;D6RA73;H0YBG6;H0Y8S0;A0A3B3ITN1,P38646,34;11;9;7;4;3;1,34;11;9;7;4;3;1,34;11;9;7;4;3;1,"Stress-70 protein, mitochondrial","sp|P38646|GRP75_HUMAN Stress-70 protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPA9 PE=1 SV=2",7,34,34,34,19,20,25,22,19,20,25,22,19,20,25,22,47.9,47.9,47.9,73.68,679,679;180;95;62;163;102;43,0.0,323.31,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.35675,1.1338,15.345,109,56,Leave out requantified,0.33855,0.38974,0.081191,0.12739,1.1816,1.1446,0.10548,0.13555,16.482,13.959,90.383,113.39,25,27,32,25,0,0,31,25,Leave out requantified,Leave out requantified,Median,Median,29.7,28.6,40.4,39.2,15167000000,12202000000,2965400000,4128200000,3053500000,1074700000,5302900000,3756900000,1546000000,3455100000,3265200000,189930000,2280600000,2125900000,154760000,,,,1530,1372;1497;1498;1694;1695;2292;3201;3265;3325;3331;5273;5566;8052;8053;8714;9606;9827;10195;10639;10640;11267;11418;11438;11456;11466;11467;13094;13310;14340;14341;15127;15291;15648;15649,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,1705;1706;1852;1853;1854;1855;2087;2088;2822;3924;3997;4071;4077;4078;4079;6501;6903;9977;9978;10763;11799;11800;11801;12069;12070;12498;13012;13013;13014;13735;13736;13919;13941;13961;13962;13975;13976;13977;13978;15879;16120;17338;17339;18297;18515;18947;18948;18949,4126;4127;4128;4129;4130;4468;4469;4470;4471;4472;4473;4474;4475;4476;4477;4478;4479;4480;4481;5048;5049;5050;5051;6743;6744;9165;9166;9167;9168;9310;9467;9473;9474;9475;9476;9477;9478;9479;9480;9481;14983;15957;23024;23025;23026;24876;24877;27175;27176;27177;27178;27179;27180;27823;27824;27825;27826;27827;27828;27829;27830;27831;28834;30017;30018;30019;30020;30021;30022;30023;30024;31683;31684;31685;31686;32072;32073;32123;32170;32171;32172;32173;32174;32175;32208;32209;32210;32211;32212;32213;32214;32215;32216;32217;32218;32219;36623;36624;37175;37176;37177;37178;37179;37180;37181;40074;40075;40076;40077;40078;40079;40080;42391;42392;42919;43976;43977;43978;43979;43980;43981;43982;43983;43984;43985,7057;7058;7059;7060;7061;7062;7063;7064;7065;7642;7643;7644;7645;7646;7647;7648;7649;7650;7651;7652;7653;7654;7655;7656;7657;7658;7659;7660;7661;7662;7663;7664;7665;7666;7667;7668;7669;7670;8623;8624;8625;8626;11453;11454;11455;11456;11457;15303;15304;15305;15306;15307;15526;15763;15769;15770;15771;15772;15773;15774;15775;15776;15777;15778;15779;15780;15781;15782;15783;15784;15785;24768;26413;37925;37926;37927;40957;40958;40959;40960;40961;40962;40963;44459;44460;44461;44462;44463;44464;44465;45609;45610;45611;45612;45613;45614;45615;45616;45617;45618;45619;45620;45621;45622;45623;45624;45625;45626;45627;45628;47266;49190;49191;49192;49193;49194;49195;49196;49197;49198;49199;49200;49201;49202;51968;51969;51970;51971;51972;51973;52600;52601;52685;52758;52759;52760;52761;52762;52763;52764;52826;52827;52828;52829;52830;52831;52832;52833;52834;52835;52836;52837;52838;52839;52840;52841;52842;59917;59918;60806;60807;60808;60809;60810;60811;60812;60813;60814;60815;65885;65886;65887;65888;65889;65890;65891;65892;65893;65894;65895;65896;65897;65898;65899;65900;65901;65902;65903;65904;65905;65906;65907;65908;65909;65910;65911;65912;65913;69858;69859;70712;72540;72541;72542;72543;72544;72545;72546;72547;72548;72549;72550;72551;72552;72553;72554;72555;72556,7058;7649;7665;8623;8625;11457;15304;15526;15763;15776;24768;26413;37925;37926;40959;44460;45618;47266;49192;49202;51970;52601;52685;52759;52829;52835;59918;60807;65888;65902;69859;70712;72544;72552,960;961;962;963;964;965;966;967;968,,76;106;121;143;206;300;345;653;654,,-1;-1;-1;-1;-1;-1;-1,protein_1531,quanti,quanti,quanti,quanti
EIF4A3,-0.0252651266502113,0.928631821881086,P38919;I3L3H2,P38919;I3L3H2,17;14,14;11,14;11,"Eukaryotic initiation factor 4A-III;Eukaryotic initiation factor 4A-III, N-terminally processed",sp|P38919|IF4A3_HUMAN Eukaryotic initiation factor 4A-III OS=Homo sapiens OX=9606 GN=EIF4A3 PE=1 SV=4;tr|I3L3H2|I3L3H2_HUMAN Eukaryotic initiation factor 4A-III OS=Homo sapiens OX=9606 GN=EIF4A3 PE=1 SV=2,2,17,14,14,10,13,10,11,8,10,8,9,8,10,8,9,41.4,35.3,35.3,46.871,411,411;390,0.0,108.73,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.48236,1.3168,27.286,34,22,Leave out requantified,0.48905,0.47576,0.13282,0.20814,1.5949,1.2326,0.14096,0.21837,29.788,30.378,126.62,86.702,8,9,8,9,1,4,8,9,Leave out requantified,Leave out requantified,Median,Median,33.1,33.3,25.8,29.4,2346500000,1788500000,558030000,547010000,372120000,174880000,733270000,511700000,221570000,513050000,430820000,82233000,553190000,473850000,79349000,,,,1531,1822;2848;3097;3344;3345;3917;4471;4733;5244;7250;7358;7550;7960;10297;11924;15346;16619,True;True;True;True;True;True;True;False;True;True;True;False;True;True;False;True;True,2236;3504;3804;4095;4096;4773;5483;5819;5820;5821;5822;6463;8944;8945;9090;9341;9873;12617;14534;14535;18581;18582;20108,5387;5388;5389;5390;8267;8900;8901;8902;9512;9513;9514;9515;9516;11017;11018;11019;12650;13452;13453;13454;13455;13456;13457;13458;13459;13460;13461;13462;13463;13464;13465;13466;13467;13468;14901;14902;20607;20608;20609;20610;20947;20948;20949;21513;21514;22830;22831;29078;29079;33461;33462;33463;33464;43067;43068;43069;43070;43071;46623;46624,9138;9139;9140;9141;9142;9143;9144;13884;14912;14913;14914;14915;15835;15836;15837;15838;15839;15840;15841;18276;18277;18278;21062;21063;22357;22358;22359;22360;22361;22362;22363;22364;22365;22366;22367;22368;22369;22370;22371;22372;22373;22374;22375;22376;22377;22378;22379;22380;24634;24635;34173;34174;34175;34176;34177;34178;34720;34721;34722;35538;35539;35540;35541;37640;37641;47631;47632;47633;47634;47635;47636;47637;54747;54748;54749;54750;70986;70987;70988;70989;70990;70991;70992;70993;70994;76741;76742,9138;13884;14913;15840;15841;18277;21063;22365;24635;34176;34721;35541;37641;47637;54749;70988;76741,969;970,,60;382,,-1;-1,protein_1532,quanti,quanti,quanti,quanti
RPS19,1.0426985235573,0.140454175829128,P39019;M0R2L9;M0QYF7;M0R140;A0A075B6E2,P39019;M0R2L9;M0QYF7;M0R140,15;9;9;9;5,15;9;9;9;5,15;9;9;9;5,40S ribosomal protein S19,sp|P39019|RS19_HUMAN 40S ribosomal protein S19 OS=Homo sapiens OX=9606 GN=RPS19 PE=1 SV=2;tr|M0R2L9|M0R2L9_HUMAN 40S ribosomal protein S19 (Fragment) OS=Homo sapiens OX=9606 GN=RPS19 PE=1 SV=1;tr|M0QYF7|M0QYF7_HUMAN 40S ribosomal protein S19 (Fragment) OS=,5,15,15,15,11,10,11,12,11,10,11,12,11,10,11,12,70.3,70.3,70.3,16.06,145,145;71;100;102;71,0.0,236.45,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.24434,0.76218,20.386,55,34,Leave out requantified,0.23079,0.25179,0.057764,0.069669,0.83544,0.70345,0.097791,0.11447,20.962,17.211,156.35,121.38,13,12,12,18,4,0,12,18,Leave out requantified,Leave out requantified,Median,Median,60.0,44.8,55.2,55.9,15758000000,11001000000,4756400000,1804700000,1465800000,338830000,2017400000,1592100000,425310000,9760300000,6157500000,3602800000,2175400000,1785900000,389450000,,,,1532,983;984;2740;3090;5541;5589;5772;5773;8571;8572;10770;11367;12071;12441;15392,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,1205;1206;1207;1208;1209;1210;3377;3795;6871;6872;6934;7187;7188;7189;10596;10597;13160;13161;13847;13848;13849;14688;15115;18640,2869;2870;2871;2872;2873;2874;2875;2876;2877;2878;2879;2880;2881;7993;7994;7995;7996;8878;8879;15875;15876;15877;15878;15879;15880;15881;15882;16055;16599;16600;16601;16602;16603;16604;16605;24497;24498;24499;24500;24501;24502;30353;30354;30355;30356;30357;30358;31903;31904;31905;31906;31907;31908;31909;31910;31911;33788;33789;33790;33791;33792;34796;43216;43217;43218;43219,4859;4860;4861;4862;4863;4864;4865;4866;4867;4868;4869;4870;4871;4872;4873;4874;4875;4876;4877;4878;13496;13497;13498;13499;13500;13501;14878;14879;14880;26238;26239;26240;26241;26242;26243;26244;26245;26246;26247;26248;26249;26250;26251;26252;26253;26254;26255;26256;26257;26258;26259;26260;26261;26262;26623;27452;27453;27454;27455;27456;27457;27458;27459;27460;40369;40370;40371;40372;40373;40374;40375;40376;49672;49673;49674;49675;49676;49677;49678;52284;52285;52286;52287;52288;52289;52290;52291;52292;52293;52294;52295;52296;52297;52298;52299;55305;55306;55307;55308;55309;55310;55311;56898;71242;71243;71244;71245;71246;71247;71248;71249,4861;4876;13499;14879;26240;26623;27454;27458;40374;40375;49673;52290;55308;56898;71247,971;972;973;974;975;976,,7;23;24;43;143;144,,-1;-1;-1;-1;-1,protein_1533,quanti,quanti,quanti,quanti
RPL3,0.334543614601078,0.204652081626299,P39023;G5E9G0;B5MCW2;H7C422;H7C3M2;F8WCR1,P39023;G5E9G0;B5MCW2;H7C422,28;26;18;15;12;5,28;26;18;15;12;5,25;23;16;13;12;5,60S ribosomal protein L3,sp|P39023|RL3_HUMAN 60S ribosomal protein L3 OS=Homo sapiens OX=9606 GN=RPL3 PE=1 SV=2;tr|G5E9G0|G5E9G0_HUMAN 60S ribosomal protein L3 OS=Homo sapiens OX=9606 GN=RPL3 PE=1 SV=1;tr|B5MCW2|B5MCW2_HUMAN 60S ribosomal protein L3 (Fragment) OS=Homo sapiens OX=9,6,28,28,25,17,21,18,20,17,21,18,20,14,18,15,18,54.1,54.1,48.1,46.108,403,403;351;272;305;261;180,0.0,323.31,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.26523,0.82164,32.492,93,61,Leave out requantified,0.24883,0.28249,0.059763,0.063154,0.87854,0.78598,0.097283,0.098562,19.536,36.48,108.91,67.766,21,25,24,23,6,10,22,23,Leave out requantified,Leave out requantified,Median,Median,35.5,44.4,40.4,50.9,15601000000,13455000000,2146900000,3417800000,2728000000,689890000,3958900000,3026200000,932640000,4699500000,4349300000,350200000,3525200000,3351100000,174120000,,,,1533,750;1077;3287;3722;5506;6103;6104;6105;7053;7054;7108;7115;7514;7546;7608;8018;8019;11031;12372;12595;12823;12824;13707;14403;14404;14562;14588;15052,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,894;1329;1330;4021;4546;4547;4548;6822;6823;7570;7571;7572;7573;7574;7575;8695;8696;8697;8759;8767;9294;9335;9336;9421;9939;9940;13465;15034;15035;15293;15569;15570;16572;17411;17412;17413;17414;17602;17632;17633;18192,2134;2135;3153;3154;3155;9352;9353;9354;9355;10530;10531;10532;10533;10534;15746;15747;15748;15749;15750;15751;15752;15753;17438;17439;17440;17441;17442;17443;17444;17445;17446;17447;17448;17449;17450;17451;20060;20061;20062;20063;20064;20065;20066;20195;20214;21407;21499;21500;21501;21502;21503;21504;21689;22937;22938;22939;22940;22941;31065;31066;31067;34580;34581;34582;34583;35234;35235;35905;35906;35907;35908;35909;35910;38280;38281;40261;40262;40263;40264;40265;40266;40267;40268;40269;40270;40271;40272;40273;40715;40716;40717;40718;40719;40720;40787;40788;40789;40790;40791;40792;42141;42142;42143;42144,3592;3593;5304;5305;5306;5307;5308;15590;15591;15592;15593;15594;15595;17467;17468;17469;17470;17471;17472;26010;26011;26012;26013;26014;26015;26016;26017;26018;26019;26020;26021;26022;26023;26024;26025;26026;26027;28841;28842;28843;28844;28845;28846;28847;28848;28849;28850;28851;28852;28853;28854;28855;28856;33276;33277;33278;33279;33280;33281;33282;33283;33487;33516;35399;35521;35522;35523;35524;35525;35526;35527;35795;37781;37782;37783;37784;37785;37786;37787;37788;37789;37790;37791;50951;50952;50953;50954;56557;56558;56559;56560;57605;57606;58728;58729;58730;58731;58732;58733;58734;58735;62737;62738;62739;66188;66189;66190;66191;66192;66193;66194;66195;66196;66197;66198;66199;66200;66201;66202;66203;66204;66205;66206;67054;67055;67056;67057;67058;67059;67060;67061;67062;67160;67161;67162;67163;67164;67165;67166;67167;67168;67169;67170;67171;69404;69405;69406;69407,3593;5306;15594;17468;26011;28843;28845;28855;33276;33279;33487;33516;35399;35522;35795;37784;37791;50952;56558;57605;58728;58735;62738;66192;66202;67056;67166;69407,977;978;979;980;981;982;983,,34;286;294;356;362;373;393,,-1;-1;-1;-1;-1;-1,protein_1534,quanti,quanti,quanti,quanti
