Gene_names,WDR26_vs_BirA_logFC,WDR26_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_Bira_alone_N1,Peptides_Bira_alone_N2,Peptides_WDR26_N1,Peptides_WDR26_N2,Razor___unique_peptides_Bira_alone_N1,Razor___unique_peptides_Bira_alone_N2,Razor___unique_peptides_WDR26_N1,Razor___unique_peptides_WDR26_N2,Unique_peptides_Bira_alone_N1,Unique_peptides_Bira_alone_N2,Unique_peptides_WDR26_N1,Unique_peptides_WDR26_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_Bira_alone_N1,Identification_type_Bira_alone_N2,Identification_type_WDR26_N1,Identification_type_WDR26_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_Bira_alone_N1,Ratio_H_L_Bira_alone_N2,Ratio_H_L_WDR26_N1,Ratio_H_L_WDR26_N2,Ratio_H_L_normalized_Bira_alone_N1,Ratio_H_L_normalized_Bira_alone_N2,Ratio_H_L_normalized_WDR26_N1,Ratio_H_L_normalized_WDR26_N2,Ratio_H_L_variability_____Bira_alone_N1,Ratio_H_L_variability_____Bira_alone_N2,Ratio_H_L_variability_____WDR26_N1,Ratio_H_L_variability_____WDR26_N2,Ratio_H_L_count_Bira_alone_N1,Ratio_H_L_count_Bira_alone_N2,Ratio_H_L_count_WDR26_N1,Ratio_H_L_count_WDR26_N2,Ratio_H_L_iso_count_Bira_alone_N1,Ratio_H_L_iso_count_Bira_alone_N2,Ratio_H_L_iso_count_WDR26_N1,Ratio_H_L_iso_count_WDR26_N2,Ratio_H_L_type_Bira_alone_N1,Ratio_H_L_type_Bira_alone_N2,Ratio_H_L_type_WDR26_N1,Ratio_H_L_type_WDR26_N2,Sequence_coverage_Bira_alone_N1____,Sequence_coverage_Bira_alone_N2____,Sequence_coverage_WDR26_N1____,Sequence_coverage_WDR26_N2____,Intensity,Intensity_L,Intensity_H,Intensity_Bira_alone_N1,Intensity_L_Bira_alone_N1,Intensity_H_Bira_alone_N1,Intensity_Bira_alone_N2,Intensity_L_Bira_alone_N2,Intensity_H_Bira_alone_N2,Intensity_WDR26_N1,Intensity_L_WDR26_N1,Intensity_H_WDR26_N1,Intensity_WDR26_N2,Intensity_L_WDR26_N2,Intensity_H_WDR26_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_WDR26_N1,metacell_Intensity_L_WDR26_N2,metacell_Intensity_L_Bira_alone_N1,metacell_Intensity_L_Bira_alone_N2
SERPINH1,1.67807644250017,0.00643474292227591,P50454;E9PPV6;E9PKH2;E9PR70;E9PK86;E9PMI5;E9PJH8;E9PIG2;E9PRS3;E9PNX1;H0YEP8;E9PQ34;E9PLA6,P50454;E9PPV6;E9PKH2;E9PR70,14;10;9;9;6;6;4;4;4;4;2;2;1,14;10;9;9;6;6;4;4;4;4;2;2;1,14;10;9;9;6;6;4;4;4;4;2;2;1,Serpin H1,sp|P50454|SERPH_HUMAN Serpin H1 OS=Homo sapiens OX=9606 GN=SERPINH1 PE=1 SV=2;tr|E9PPV6|E9PPV6_HUMAN Serpin H1 OS=Homo sapiens OX=9606 GN=SERPINH1 PE=1 SV=1;tr|E9PKH2|E9PKH2_HUMAN Serpin H1 OS=Homo sapiens OX=9606 GN=SERPINH1 PE=1 SV=1;tr|E9PR70|E9PR70_HUM,13,14,14,14,7,6,11,13,7,6,11,13,7,6,11,13,42.8,42.8,42.8,46.44,418,418;324;201;295;247;249;150;165;166;203;56;142;85,0.0,107.63,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.35118,0.90414,28.866,55,18,Leave out requantified,0.36692,0.48423,0.3595,0.28316,1.2133,1.2009,0.87634,0.77809,10.116,18.128,24.788,35.646,8,7,16,24,3,0,5,10,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,25.6,22.5,38.8,39.7,4978300000,3640200000,1338100000,381870000,260110000,121760000,378870000,245660000,133210000,1515000000,1095500000,419540000,2702500000,2039000000,663550000,,,,1842,2354;3264;6894;6895;8857;10142;11779;11806;11807;12298;15146;16739;16864;17028,True;True;True;True;True;True;True;True;True;True;True;True;True;True,2747;3833;3834;8189;8190;8191;10515;12084;12085;14005;14033;14034;14035;14610;17870;17871;19682;19683;19819;20015,6900;6901;6902;6903;6904;6905;9378;9379;9380;9381;9382;9383;19668;19669;19670;19671;19672;19673;25431;29229;29230;29231;29232;29233;33797;33798;33861;33862;33863;33864;33865;33866;33867;35324;35325;35326;35327;42947;42948;42949;42950;42951;42952;42953;42954;47492;47493;47494;47495;47496;47497;47498;47499;47841;47842;48299,13616;13617;13618;13619;13620;13621;13622;13623;13624;13625;13626;13627;13628;13629;13630;13631;13632;13633;18347;18348;18349;18350;18351;18352;18353;18354;18355;18356;18357;38141;38142;38143;38144;38145;38146;49359;56272;56273;56274;56275;56276;56277;56278;56279;56280;56281;64985;64986;65091;65092;65093;65094;65095;65096;65097;65098;65099;65100;65101;65102;65103;65104;65105;65106;67942;67943;67944;67945;67946;67947;67948;67949;67950;81984;81985;81986;81987;81988;81989;81990;81991;81992;81993;90654;90655;90656;90657;90658;90659;90660;90661;90662;90663;90664;90665;90666;90667;90668;90669;91371;92290,13623;18349;38141;38143;49359;56276;64985;65094;65106;67950;81989;90664;91371;92290,816;817,,39;300,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_1843,quanti,quanti,quanti,quanti
PDLIM4,0.371559631753179,0.190777309870036,P50479;C9J542,P50479,12;4,12;4,12;4,PDZ and LIM domain protein 4,sp|P50479|PDLI4_HUMAN PDZ and LIM domain protein 4 OS=Homo sapiens OX=9606 GN=PDLIM4 PE=1 SV=2,2,12,12,12,4,3,6,9,4,3,6,9,4,3,6,9,38.2,38.2,38.2,35.398,330,330;121,0.0,21.605,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.46025,1.3218,27.538,21,6,Leave out requantified,0.54612,0.5155,0.50444,0.33227,1.8649,1.4537,1.3813,0.8611,16.467,1.4475,11.421,20.795,4,3,5,9,0,1,2,3,Leave out requantified,Median,Leave out requantified,Leave out requantified,16.1,13.3,22.1,29.7,1341200000,913100000,428150000,187700000,117480000,70223000,222710000,149960000,72751000,405110000,263230000,141880000,525720000,382420000,143300000,,,,1843,2819;5362;6259;6691;7625;7807;10156;12072;12907;14226;16680;18253,True;True;True;True;True;True;True;True;True;True;True;True,3301;6269;7398;7918;9059;9283;12099;14342;15293;16785;19614;21420,8204;8205;14958;14959;17790;18973;18974;18975;21772;22372;22373;29266;34657;34658;34659;36926;36927;36928;36929;40484;40485;47335;51826;51827;51828,16119;16120;16121;16122;29033;29034;34512;36714;36715;36716;42249;43500;43501;43502;43503;43504;43505;43506;56335;66557;66558;66559;66560;66561;66562;70893;70894;70895;70896;70897;70898;70899;70900;70901;70902;70903;70904;70905;70906;70907;70908;77667;77668;77669;90285;99677,16122;29033;34512;36714;42249;43504;56335;66562;70894;77668;90285;99677,,,,,-1;-1,protein_1844,quanti,quanti,quanti,quanti
ST13;ST13P5;ST13P4,-0.192965764164956,0.592783727366498,P50502;Q3KNR6;H7C3I1;Q8NFI4;F6VDH7;Q8IZP2;F8WAQ7,P50502;Q3KNR6;H7C3I1;Q8NFI4;F6VDH7;Q8IZP2,10;9;8;8;7;7;1,10;9;8;8;7;7;1,10;9;8;8;7;7;1,Hsc70-interacting protein;Putative protein FAM10A5;Putative protein FAM10A4,sp|P50502|F10A1_HUMAN Hsc70-interacting protein OS=Homo sapiens OX=9606 GN=ST13 PE=1 SV=2;tr|Q3KNR6|Q3KNR6_HUMAN Hsc70-interacting protein OS=Homo sapiens OX=9606 GN=ST13 PE=1 SV=1;tr|H7C3I1|H7C3I1_HUMAN Hsc70-interacting protein (Fragment) OS=Homo sapiens,7,10,10,10,5,7,6,8,5,7,6,8,5,7,6,8,27.6,27.6,27.6,41.331,369,369;211;146;369;162;240;38,0.0,83.341,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.34753,1.0775,17.231,27,11,Leave out requantified,0.31338,0.41866,0.35003,0.34346,1.14,1.1614,0.94628,0.87431,20.695,18.963,6.1141,22.104,5,6,7,9,1,1,4,5,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,15.2,23.0,17.1,22.2,2758900000,1669700000,1089200000,418400000,299100000,119300000,526830000,338490000,188350000,948710000,558470000,390240000,864920000,473610000,391310000,,,,1844,938;939;945;946;4784;9597;9598;10880;12452;17970,True;True;True;True;True;True;True;True;True;True,1078;1079;1086;1087;5588;11447;11448;12970;14786;21095;21096,2652;2653;2654;2655;2656;2671;2672;2673;2674;2675;13318;13319;27690;27691;27692;27693;27694;27695;31378;31379;35743;35744;35745;51015;51016;51017;51018;51019,5087;5088;5089;5090;5091;5092;5093;5094;5095;5096;5097;5128;5129;5130;5131;5132;5133;5134;5135;5136;25800;53357;53358;53359;53360;53361;53362;53363;53364;53365;53366;53367;53368;60467;60468;68722;68723;68724;98001;98002;98003;98004;98005;98006;98007;98008,5089;5097;5128;5132;25800;53357;53366;60468;68722;98003,,,,,-1;-1;-1;-1;-1;-1;-1,protein_1845,quanti,quanti,quanti,quanti
VASP,-1.80368614833495,0.0646552604381812,P50552;K7ENL7;K7ENR7;K7EIG8;K7EM16,P50552;K7ENL7,6;3;2;1;1,6;3;2;1;1,6;3;2;1;1,Vasodilator-stimulated phosphoprotein,sp|P50552|VASP_HUMAN Vasodilator-stimulated phosphoprotein OS=Homo sapiens OX=9606 GN=VASP PE=1 SV=3;tr|K7ENL7|K7ENL7_HUMAN Vasodilator-stimulated phosphoprotein OS=Homo sapiens OX=9606 GN=VASP PE=1 SV=1,5,6,6,6,4,3,1,2,4,3,1,2,4,3,1,2,21.8,21.8,21.8,39.829,380,380;103;59;46;183,0.0,6.7704,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.65214,1.4882,35.859,10,2,Leave out requantified,0.77376,0.60172,0.58327,0.42075,2.7824,1.4882,1.347,1.0555,48.235,16.886,,20.841,4,3,1,2,1,0,0,1,Leave out requantified,Leave out requantified,Median,Median,15.0,10.0,3.2,7.4,358250000,217210000,141040000,143890000,76731000,67162000,78792000,53506000,25286000,31269000,16263000,15006000,104290000,70710000,33582000,,,,1845,2202;9238;15484;18800;19418;20784,True;True;True;True;True;True,2557;11009;18254;22077;22817;24382,6414;6415;26577;43849;43850;53491;55321;59041;59042;59043,12541;12542;12543;12544;51367;83696;83697;83698;103007;103008;103009;106685;113642;113643;113644;113645;113646,12541;51367;83696;103008;106685;113645,,,,,-1;-1;-1;-1;-1,protein_1846,quanti,quanti,quanti,quanti
CCT8,-1.16579148645127,0.00789548326016371,P50990;H7C4C8;H7C2U0,P50990;H7C4C8,46;26;2,46;26;2,46;26;2,T-complex protein 1 subunit theta,sp|P50990|TCPQ_HUMAN T-complex protein 1 subunit theta OS=Homo sapiens OX=9606 GN=CCT8 PE=1 SV=4;tr|H7C4C8|H7C4C8_HUMAN T-complex protein 1 subunit theta (Fragment) OS=Homo sapiens OX=9606 GN=CCT8 PE=1 SV=1,3,46,46,46,31,36,23,27,31,36,23,27,31,36,23,27,69.5,69.5,69.5,59.62,548,548;323;107,0.0,212.01,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.35053,1.0297,16.708,154,32,Leave out requantified,0.34133,0.36231,0.35499,0.34146,1.1723,1.0324,0.91342,0.97345,16.167,17.469,12.386,40.182,38,47,31,38,7,8,9,8,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,55.8,69.0,40.7,54.6,21729000000,15751000000,5977700000,5133100000,3807700000,1325400000,6706500000,4788200000,1918300000,4013300000,2918200000,1095100000,5876100000,4237200000,1638900000,,,,1849,878;918;919;1172;1328;1329;1721;1722;2258;2259;2908;2983;3569;3768;3792;4270;5422;6423;6424;6789;7266;7267;7569;7917;7918;8837;8908;9742;10140;10141;10446;11284;12149;13195;13196;13574;13765;14462;14723;16761;17656;17804;17988;17989;18189;20774,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,1001;1055;1056;1367;1550;1551;1552;2012;2013;2014;2623;2624;3402;3403;3491;4185;4426;4455;4990;4991;6338;7580;7581;8047;8658;8659;8998;9420;9421;9422;10485;10587;11622;11623;12081;12082;12083;12424;13437;14433;15622;15623;16045;16263;17059;17369;19706;20736;20903;20904;21118;21119;21120;21353;24371,2446;2447;2448;2591;2592;2593;2594;2595;2596;3372;3373;3374;3375;3376;3814;3815;3816;3817;3818;3819;3820;3821;5064;5065;5066;5067;5068;5069;5070;6580;6581;6582;6583;8461;8462;8463;8464;8465;8466;8467;8634;8635;8636;8637;10146;10147;10148;10690;10743;11877;11878;11879;11880;11881;11882;11883;11884;15108;18190;18191;18192;18193;18194;19300;19301;19302;19303;19304;19305;19306;19307;20821;20822;20823;20824;20825;20826;21612;22754;22755;22756;22757;22758;22759;22760;22761;22762;22763;22764;25347;25348;25349;25350;25351;25352;25353;25588;28134;28135;28136;28137;28138;28139;29221;29222;29223;29224;29225;29226;29227;29228;30057;30058;32496;34871;34872;34873;34874;37731;37732;38750;38751;38752;38753;39269;39270;39271;39272;41084;41085;41086;41735;41736;41737;47549;47550;47551;47552;50066;50537;50538;50539;50540;51072;51073;51074;51075;51076;51077;51078;51079;51080;51081;51082;51083;51673;59017;59018;59019,4669;4670;4671;4672;4673;4674;4675;4963;4964;4965;4966;4967;4968;4969;4970;4971;4972;4973;4974;4975;4976;6559;6560;6561;6562;6563;6564;7323;7324;7325;7326;7327;7328;7329;7330;7331;7332;7333;7334;7335;7336;7337;7338;7339;7340;7341;7342;7343;7344;7345;7346;7347;7348;7349;9952;9953;9954;9955;9956;9957;9958;9959;9960;12904;12905;12906;12907;12908;12909;16626;16627;16628;16629;16630;16631;16632;16633;16634;16635;16636;16637;16914;16915;16916;16917;16918;19774;19775;19776;19777;20806;20906;20907;22982;22983;22984;22985;22986;22987;22988;22989;22990;22991;22992;22993;22994;22995;22996;22997;22998;22999;23000;23001;23002;23003;23004;23005;23006;23007;23008;23009;29340;35199;35200;35201;35202;37386;37387;37388;37389;37390;37391;37392;37393;37394;37395;37396;37397;37398;37399;37400;37401;40386;40387;40388;40389;40390;40391;40392;40393;40394;40395;40396;40397;41904;44206;44207;44208;44209;44210;44211;44212;44213;44214;44215;44216;44217;44218;44219;44220;44221;44222;44223;44224;44225;44226;44227;44228;44229;44230;44231;44232;49214;49215;49216;49217;49218;49219;49220;49221;49222;49223;49224;49225;49226;49632;49633;54203;54204;54205;54206;54207;54208;54209;54210;54211;54212;54213;54214;54215;54216;54217;54218;54219;56251;56252;56253;56254;56255;56256;56257;56258;56259;56260;56261;56262;56263;56264;56265;56266;56267;56268;56269;56270;56271;57949;57950;57951;57952;57953;57954;62659;67034;67035;67036;67037;67038;67039;67040;67041;67042;67043;67044;67045;67046;67047;67048;67049;67050;67051;67052;67053;72366;72367;74345;74346;74347;74348;75375;75376;75377;75378;75379;75380;75381;78781;78782;78783;79877;79878;79879;79880;79881;79882;79883;79884;79885;79886;79887;79888;90765;90766;90767;90768;90769;90770;95859;96850;96851;96852;96853;96854;96855;96856;96857;96858;96859;96860;96861;96862;96863;96864;96865;98121;98122;98123;98124;98125;98126;98127;98128;98129;98130;98131;98132;98133;98134;98135;98136;98137;98138;99334;113601;113602;113603;113604,4669;4974;4976;6560;7326;7339;9956;9960;12905;12909;16626;16916;19775;20806;20907;22985;29340;35199;35202;37401;40393;40396;41904;44208;44224;49226;49633;54213;56256;56271;57949;62659;67045;72366;72367;74346;75379;78782;79886;90765;95859;96851;98123;98125;99334;113602,818,,7,,-1;-1;-1,protein_1850,quanti,quanti,quanti,quanti
CCT4,-1.33632401657704,0.00538116505819726,P50991,P50991,26,26,26,T-complex protein 1 subunit delta,sp|P50991|TCPD_HUMAN T-complex protein 1 subunit delta OS=Homo sapiens OX=9606 GN=CCT4 PE=1 SV=4,1,26,26,26,21,21,15,15,21,21,15,15,21,21,15,15,54.5,54.5,54.5,57.924,539,539,0.0,147.2,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.30786,0.90791,26.942,91,21,Leave out requantified,0.27247,0.31063,0.29271,0.3545,0.92863,0.87466,0.80317,0.95579,45.541,18.738,16.741,22.441,27,25,18,21,7,5,4,5,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,43.4,44.5,43.0,36.7,9003600000,6724200000,2279400000,2401500000,1851200000,550330000,2692500000,2020800000,671670000,1679800000,1250500000,429230000,2229900000,1601700000,628130000,,,,1850,554;1121;1332;2513;2740;5350;5741;5767;6143;6398;7565;8520;9151;10231;11034;12773;12774;14565;15648;16991;17382;17895;18661;18662;18663;19878,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,628;1300;1301;1556;2934;3203;6253;6743;6776;7264;7553;8993;8994;10128;10901;12192;13156;15136;15137;17185;17186;18441;18442;19973;20435;21015;21895;21896;21897;21898;23367,1491;1492;1493;1494;3202;3203;3204;3834;3835;3836;3837;7346;7347;7348;7349;7957;7958;7959;7960;7961;14916;14917;16142;16224;16225;16226;16227;16228;16229;16230;16231;17473;17474;18141;18142;18143;18144;21599;21600;21601;21602;21603;24504;24505;26360;26361;26362;29493;29494;31855;31856;31857;31858;36572;36573;36574;36575;36576;41357;41358;41359;44340;44341;44342;44343;44344;44345;44346;44347;48215;48216;49349;49350;49351;49352;50824;50825;50826;53025;53026;53027;53028;53029;53030;53031;53032;53033;53034;56671;56672;56673;56674;56675;56676,2867;2868;2869;6198;6199;6200;7384;7385;7386;7387;7388;7389;7390;7391;7392;7393;7394;7395;14458;14459;14460;14461;14462;14463;14464;15576;15577;15578;15579;15580;15581;15582;28917;28918;31442;31578;31579;31580;31581;31582;31583;31584;31585;31586;31587;31588;31589;31590;31591;31592;33938;35118;35119;35120;35121;35122;41881;41882;41883;41884;41885;41886;41887;41888;41889;41890;41891;41892;41893;41894;41895;47514;47515;47516;47517;47518;47519;47520;51028;51029;51030;51031;56852;56853;56854;61542;61543;61544;61545;70322;70323;70324;70325;70326;70327;70328;70329;79239;79240;79241;84635;84636;84637;84638;84639;84640;84641;84642;84643;84644;84645;84646;84647;84648;84649;84650;84651;84652;92128;92129;94502;94503;94504;94505;94506;94507;94508;94509;94510;94511;94512;97577;97578;97579;97580;97581;97582;102000;102001;102002;102003;102004;102005;102006;102007;102008;102009;102010;102011;102012;102013;102014;102015;102016;102017;102018;102019;102020;109370;109371;109372;109373;109374;109375;109376;109377;109378,2869;6199;7394;14460;15579;28917;31442;31589;33938;35122;41889;47517;51028;56854;61545;70325;70329;79240;84639;92128;94504;97581;102000;102019;102020;109378,,,,,-1,protein_1851,quanti,quanti,quanti,quanti
ANXA11,-1.84701713195739,0.242528872864289,P50995;H0Y6E1,P50995,14;6,14;6,14;6,Annexin A11,sp|P50995|ANX11_HUMAN Annexin A11 OS=Homo sapiens OX=9606 GN=ANXA11 PE=1 SV=1,2,14,14,14,8,9,9,2,8,9,9,2,8,9,9,2,29.5,29.5,29.5,54.389,505,505;148,0.0,24.941,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.45778,1.0922,12.368,33,10,Leave out requantified,0.37038,0.5293,0.47235,0.51059,1.0295,1.195,1.213,1.1455,11.736,25.419,12.305,4.6857,9,11,11,2,1,4,4,1,Leave out requantified,Leave out requantified,Leave out requantified,Median,21.8,24.0,20.8,5.5,1439500000,949320000,490140000,264730000,184230000,80503000,489450000,329590000,159860000,620910000,394960000,225960000,64367000,40551000,23817000,,,,1851,894;2742;2743;5521;6466;6467;10337;14031;14595;15374;15605;16025;16268;17551,True;True;True;True;True;True;True;True;True;True;True;True;True;True,1023;3205;3206;6476;7636;7637;12302;16562;17220;18125;18391;18881;19157;20624,2497;2498;2499;2500;2501;7963;7964;15494;15495;15496;18317;18318;18319;18320;29736;29737;39998;39999;40000;41417;43531;44217;44218;45483;45484;45485;45486;45487;45488;45489;45490;46157;49800;49801,4787;4788;4789;4790;4791;4792;4793;4794;4795;4796;15584;15585;15586;30226;30227;30228;30229;35423;35424;35425;35426;35427;57259;76837;76838;76839;76840;79334;83100;84411;84412;86800;86801;86802;86803;86804;86805;86806;88050;95386;95387;95388,4788;15584;15585;30227;35423;35426;57259;76837;79334;83100;84411;86800;88050;95387,,,,,-1;-1,protein_1852,quanti,quanti,quanti,quanti
RAB5C,-0.0539921674862462,0.918772740509187,P51148;K7ERI8;K7ERQ8;K7ENY4;P20339;F8VVZ0;F8VUA5;F8VVK3;K7EIP6;F8WCY6;F8WD79;F8VPW9;F8VSF8;F8VWZ7;F8VWU4,P51148;K7ERI8;K7ERQ8,7;4;4;3;2;2;2;2;1;1;1;1;1;1;1,7;4;4;3;2;2;2;2;1;1;1;1;1;1;1,5;2;2;2;0;0;0;0;1;0;0;0;0;0;0,Ras-related protein Rab-5C,sp|P51148|RAB5C_HUMAN Ras-related protein Rab-5C OS=Homo sapiens OX=9606 GN=RAB5C PE=1 SV=2;tr|K7ERI8|K7ERI8_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 PE=4 SV=1;tr|K7ERQ8|K7ERQ8_HUMAN PCAF_N domain-containing protein (Fragment) OS=Homo sapiens ,15,7,7,5,4,3,4,5,4,3,4,5,2,2,2,3,38.9,38.9,29.2,23.482,216,216;161;282;150;215;100;115;124;27;62;65;73;74;79;91,0.0,35.167,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.52142,1.4172,26.441,19,8,Leave out requantified,0.46774,0.65499,0.54706,0.52425,1.4194,1.7498,1.5011,1.4473,19.228,32.344,10.306,33.123,4,4,4,7,2,2,1,3,Median,Median,Leave out requantified,Leave out requantified,25.9,20.8,21.8,30.1,1218200000,770990000,447240000,132850000,88650000,44198000,301060000,177750000,123310000,221630000,135080000,86551000,562690000,369510000,193190000,,,,1852,6533;9188;12121;14331;14332;16792;20495,True;True;True;True;True;True;True,7721;10950;14400;16907;16908;19741;24051,18518;26462;34798;34799;34800;40745;40746;40747;40748;47638;47639;47640;47641;47642;58264;58265;58266;58267;58268,35864;35865;51186;66871;66872;66873;78208;78209;78210;78211;78212;78213;78214;78215;78216;78217;78218;90933;90934;90935;90936;90937;90938;90939;112217;112218;112219;112220;112221;112222;112223;112224;112225;112226;112227,35864;51186;66872;78212;78218;90935;112224,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_1853,quanti,quanti,quanti,quanti
RAB7A,1.989426216794,0.00127529640478659,P51149;C9J592;C9J8S3;C9IZZ0;C9J4V0;C9J4S4;C9J7D1,P51149;C9J592;C9J8S3;C9IZZ0;C9J4V0,14;11;11;9;9;6;5,14;11;11;9;9;6;5,14;11;11;9;9;6;5,Ras-related protein Rab-7a,sp|P51149|RAB7A_HUMAN Ras-related protein Rab-7a OS=Homo sapiens OX=9606 GN=RAB7A PE=1 SV=1;tr|C9J592|C9J592_HUMAN Ras-related protein Rab-7a (Fragment) OS=Homo sapiens OX=9606 GN=RAB7A PE=1 SV=1;tr|C9J8S3|C9J8S3_HUMAN Ras-related protein Rab-7a OS=Homo sa,7,14,14,14,7,7,11,10,7,7,11,10,7,7,11,10,60.9,60.9,60.9,23.489,207,207;150;160;116;134;98;91,0.0,27.593,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.62247,1.71,22.532,44,11,Leave out requantified,0.61374,0.64219,0.62633,0.63191,1.9645,1.6396,1.6367,1.6391,22.83,5.9609,16.287,27.408,7,6,16,15,1,2,5,3,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,31.4,36.2,57.0,57.0,4375300000,2643700000,1731600000,245710000,150130000,95576000,280630000,166000000,114640000,1744600000,1050200000,694360000,2104400000,1277300000,827050000,,,,1853,1794;2154;3162;3163;3420;4929;5238;12213;13838;13839;17664;17665;18708;18709,True;True;True;True;True;True;True;True;True;True;True;True;True;True,2103;2507;3719;3720;4018;4019;5756;5757;6116;14513;16346;16347;20745;20746;20747;21955;21956;21957,5285;6301;6302;9152;9153;9154;9155;9774;9775;9776;9777;9778;9779;9780;9781;13706;13707;13708;13709;13710;13711;14598;14599;14600;35077;35078;35079;39474;39475;39476;39477;39478;39479;50083;50084;50085;50086;50087;50088;53172;53173;53174;53175;53176;53177;53178,10362;10363;12329;12330;12331;12332;12333;17944;17945;17946;17947;17948;17949;17950;19114;19115;19116;19117;19118;19119;19120;19121;19122;19123;19124;19125;19126;19127;19128;19129;19130;19131;26500;26501;26502;26503;26504;26505;26506;26507;26508;26509;26510;26511;26512;26513;26514;28299;67454;67455;67456;67457;67458;67459;75822;75823;75824;75825;75826;75827;75828;75829;75830;75831;75832;95879;95880;95881;95882;95883;95884;95885;95886;95887;95888;95889;102331;102332;102333;102334;102335;102336;102337;102338;102339;102340;102341;102342;102343;102344;102345;102346;102347;102348;102349;102350;102351;102352;102353,10362;12333;17946;17948;19120;26501;28299;67457;75825;75829;95880;95881;102335;102353,,,,,-1;-1;-1;-1;-1;-1;-1,protein_1854,quanti,quanti,quanti,quanti
RAB13,-1.19027334104138,0.0224585472783936,P51153;A0A087WWB9;H0YMN7;Q96E17;P20337;O95716;P20336;M0R257,P51153;A0A087WWB9,5;3;2;1;1;1;1;1,2;2;0;0;0;0;0;0,2;2;0;0;0;0;0;0,Ras-related protein Rab-13,sp|P51153|RAB13_HUMAN Ras-related protein Rab-13 OS=Homo sapiens OX=9606 GN=RAB13 PE=1 SV=1;tr|A0A087WWB9|A0A087WWB9_HUMAN Ras-related protein Rab-13 OS=Homo sapiens OX=9606 GN=RAB13 PE=1 SV=1,8,5,2,2,5,4,2,2,2,2,1,1,2,2,1,1,28.1,12.8,12.8,22.774,203,203;122;92;227;219;219;220;115,0.0,3.9172,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.5687,1.6328,6.0547,7,2,Leave out requantified,0.57132,0.6972,0.42431,0.69492,1.6974,1.7608,1.0936,1.8377,0.57234,18.588,,,2,3,1,1,0,2,0,0,Median,Median,Median,Median,28.1,24.1,12.3,12.3,255690000,154640000,101050000,52828000,34202000,18626000,95884000,52017000,43867000,53239000,36212000,17027000,53734000,32208000,21527000,,,,1854,3633;10948;10950;16379;17193,False;True;False;True;False,4254;13048;13050;13051;19282;20214,10286;10287;31568;31569;31570;31573;31574;31575;31576;31577;31578;31579;31580;46500;46501;46502;46503;46504;48819,20057;20058;20059;20060;60889;60890;60891;60892;60897;60898;60899;60900;60901;60902;60903;60904;60905;60906;60907;60908;60909;60910;60911;60912;60913;60914;60915;60916;60917;88683;88684;88685;88686;88687;88688;88689;88690;88691;93508,20060;60890;60905;88687;93508,,,,,-1;-1;-1;-1;-1;-1;-1;-1,protein_1855,quanti,quanti,quanti,quanti
