DCAF6_vs_zBirA,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
DCTN1,0.0844720361,0.716608102019749,0,E7EX90;Q14203;E7EWF7;Q6AWB1;C9JZA4;C9JTE5;C9JJN7;C9JJD0;C9JUI8;C9J1B7;C9JKG6;E9PCY0,E7EX90;Q14203;E7EWF7,11;10;6;3;2;2;2;2;1;1;1;1,11;10;6;3;2;2;2;2;1;1;1;1,11;10;6;3;2;2;2;2;1;1;1;1,Dynactin subunit 1,DCTN1,tr|E7EX90|E7EX90_HUMAN Dynactin subunit 1 OS=Homo sapiens OX=9606 GN=DCTN1 PE=1 SV=1;sp|Q14203|DCTN1_HUMAN Dynactin subunit 1 OS=Homo sapiens OX=9606 GN=DCTN1 PE=1 SV=3;tr|E7EWF7|E7EWF7_HUMAN Uncharacterized protein (Fragment) OS=Homo sapiens OX=9606 PE=4 ,11,11,11.1,1256
NACA,-0.0644040232,0.654739158217078,0,E9PAV3;F8W0W4;H0YHX9;Q13765;F8VZJ2;F8VNW4;F8W1N5;F8VZ58;Q9BZK3,E9PAV3;F8W0W4;H0YHX9;Q13765;F8VZJ2;F8VNW4;F8W1N5;F8VZ58,6;6;6;6;5;5;4;3;1,6;6;6;6;5;5;4;3;1,5;5;5;5;5;4;4;2;1,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form;Nascent polypeptide-associated complex subunit alpha",NACA,"sp|E9PAV3|NACAM_HUMAN Nascent polypeptide-associated complex subunit alpha, muscle-specific form OS=Homo sapiens OX=9606 GN=NACA PE=1 SV=1;tr|F8W0W4|F8W0W4_HUMAN Nascent polypeptide-associated complex subunit alpha (Fragment) OS=Homo sapiens OX=9606 GN=NAC",6,5,3.4,2078
CCNB1,0.4091307197,0.27010057641869,0,P14635;E9PC90;H0YA62,P14635;E9PC90;H0YA62,2;2;1,2;2;1,2;2;1,G2/mitotic-specific cyclin-B1,CCNB1,sp|P14635|CCNB1_HUMAN G2/mitotic-specific cyclin-B1 OS=Homo sapiens OX=9606 GN=CCNB1 PE=1 SV=1;tr|E9PC90|E9PC90_HUMAN G2/mitotic-specific cyclin-B1 (Fragment) OS=Homo sapiens OX=9606 GN=CCNB1 PE=1 SV=1;tr|H0YA62|H0YA62_HUMAN G2/mitotic-specific cyclin-B1 (,2,2,6.2,433
OGDH,-0.0875091708,0.497526444151032,0,Q02218;E9PDF2;E9PCR7;A0A0D9SFS3;E9PFG7;Q9ULD0;C9J4G7,Q02218;E9PDF2;E9PCR7;A0A0D9SFS3;E9PFG7,21;21;21;19;17;6;3,21;21;21;19;17;6;3,21;21;21;19;17;6;3,"2-oxoglutarate dehydrogenase, mitochondrial",OGDH,"sp|Q02218|ODO1_HUMAN 2-oxoglutarate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=OGDH PE=1 SV=3;tr|E9PDF2|E9PDF2_HUMAN 2-oxoglutarate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=OGDH PE=1 SV=1;tr|E9PCR7|E9PCR7_HUMAN 2-oxoglutarate de",21,21,25.2,1023
SMC4,0.0951957503,0.564484957854428,0,Q9NTJ3;E9PD53;C9JR83;C9J9E4;C9JWF0;C9IYK2;C9JJ64;C9JVD8;C9J578,Q9NTJ3;E9PD53;C9JR83;C9J9E4,6;6;4;3;2;2;2;1;1,6;6;4;3;2;2;2;1;1,6;6;4;3;2;2;2;1;1,Structural maintenance of chromosomes protein 4;Structural maintenance of chromosomes protein,SMC4,sp|Q9NTJ3|SMC4_HUMAN Structural maintenance of chromosomes protein 4 OS=Homo sapiens OX=9606 GN=SMC4 PE=1 SV=2;tr|E9PD53|E9PD53_HUMAN Structural maintenance of chromosomes protein OS=Homo sapiens OX=9606 GN=SMC4 PE=1 SV=1;tr|C9JR83|C9JR83_HUMAN Structural ,6,6,6.2,1288
MYO1B,-0.1664353062,0.234444822186793,0,O43795;E9PDF6;A0A0U1RRI3;Q9UBC5;C9JUP5;C9JYW1;E7EQD9;G3V342,O43795;E9PDF6,5;5;2;1;1;1;1;1,5;5;2;1;1;1;1;1,5;5;2;1;1;1;1;1,Unconventional myosin-Ib,MYO1B,sp|O43795|MYO1B_HUMAN Unconventional myosin-Ib OS=Homo sapiens OX=9606 GN=MYO1B PE=1 SV=3;tr|E9PDF6|E9PDF6_HUMAN Unconventional myosin-Ib OS=Homo sapiens OX=9606 GN=MYO1B PE=1 SV=1,5,5,5.5,1136
MRPS17;hCG_1984214,-0.0991242161,0.392332933476926,0,Q9Y2R5;E9PE17;I3L0E3,Q9Y2R5;E9PE17;I3L0E3,3;3;3,3;3;3,3;3;3,"28S ribosomal protein S17, mitochondrial",MRPS17;hCG_1984214,"sp|Q9Y2R5|RT17_HUMAN 28S ribosomal protein S17, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS17 PE=1 SV=1;tr|E9PE17|E9PE17_HUMAN 28S ribosomal protein S17, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=MRPS17 PE=1 SV=1;tr|I3L0E3|I3L0E3_HUMAN HCG19842",3,3,18.5,130
FUBP1,-0.0545357901,0.639500136730763,0,Q96AE4;E9PEB5;C9JSZ1,Q96AE4;E9PEB5,28;28;11,28;28;11,24;24;10,Far upstream element-binding protein 1,FUBP1,sp|Q96AE4|FUBP1_HUMAN Far upstream element-binding protein 1 OS=Homo sapiens OX=9606 GN=FUBP1 PE=1 SV=3;tr|E9PEB5|E9PEB5_HUMAN Far upstream element-binding protein 1 OS=Homo sapiens OX=9606 GN=FUBP1 PE=1 SV=1,28,24,47.2,644
NUP155,-0.1683597048,0.305840097693321,0,O75694;E9PF10;D6RA13,O75694;E9PF10,5;5;1,5;5;1,5;5;1,Nuclear pore complex protein Nup155,NUP155,sp|O75694|NU155_HUMAN Nuclear pore complex protein Nup155 OS=Homo sapiens OX=9606 GN=NUP155 PE=1 SV=1;tr|E9PF10|E9PF10_HUMAN Nuclear pore complex protein Nup155 OS=Homo sapiens OX=9606 GN=NUP155 PE=1 SV=1,5,5,6.5,1391
COPS8,0.0883932658,0.556847807979738,0,Q99627;E9PGT6;F8WEF2;H7C3S9,Q99627;E9PGT6,6;6;2;2,6;6;2;2,6;6;2;2,COP9 signalosome complex subunit 8,COPS8,sp|Q99627|CSN8_HUMAN COP9 signalosome complex subunit 8 OS=Homo sapiens OX=9606 GN=COPS8 PE=1 SV=1;tr|E9PGT6|E9PGT6_HUMAN COP9 signalosome complex subunit 8 OS=Homo sapiens OX=9606 GN=COPS8 PE=1 SV=1,6,6,28.2,209
NCAPH,-0.1089335563,0.692208434150904,0,Q15003;E9PHA2;C9J470;C9JZP1;H7C415,Q15003;E9PHA2;C9J470;C9JZP1,7;7;6;4;1,7;7;6;4;1,7;7;6;4;1,Condensin complex subunit 2,NCAPH,sp|Q15003|CND2_HUMAN Condensin complex subunit 2 OS=Homo sapiens OX=9606 GN=NCAPH PE=1 SV=3;tr|E9PHA2|E9PHA2_HUMAN Condensin complex subunit 2 OS=Homo sapiens OX=9606 GN=NCAPH PE=1 SV=1;tr|C9J470|C9J470_HUMAN Condensin complex subunit 2 (Fragment) OS=Homo ,7,7,13.4,741
SSR2,-0.4462597006,0.0509098665991869,0,P43308;E9PNP2;E9PQJ7;E9PLP2;E9PN13;E9PQ05;E9PJ35;E9PQI4,P43308;E9PNP2;E9PQJ7;E9PLP2;E9PN13;E9PQ05;E9PJ35;E9PQI4,2;2;2;2;2;2;2;2,2;2;2;2;2;2;2;2,2;2;2;2;2;2;2;2,Translocon-associated protein subunit beta,SSR2,sp|P43308|SSRB_HUMAN Translocon-associated protein subunit beta OS=Homo sapiens OX=9606 GN=SSR2 PE=1 SV=1;tr|E9PNP2|E9PNP2_HUMAN Translocon-associated protein subunit beta OS=Homo sapiens OX=9606 GN=SSR2 PE=1 SV=1;tr|E9PQJ7|E9PQJ7_HUMAN Translocon-associat,2,2,8.7,183
UBXN1,-0.3526166912,0.494924339242667,0,Q04323;E9PJ81;E9PRQ7,Q04323;E9PJ81;E9PRQ7,3;3;3,3;3;3,2;2;2,UBX domain-containing protein 1,UBXN1,sp|Q04323|UBXN1_HUMAN UBX domain-containing protein 1 OS=Homo sapiens OX=9606 GN=UBXN1 PE=1 SV=2;tr|E9PJ81|E9PJ81_HUMAN UBX domain-containing protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=UBXN1 PE=1 SV=1;tr|E9PRQ7|E9PRQ7_HUMAN UBX domain-containing prote,3,2,9.4,297
CLNS1A,-0.3649817143,0.19189221581346,0,P54105;E9PMI6;E9PJF4;J3KN38;E9PQ83,P54105;E9PMI6;E9PJF4;J3KN38,3;3;3;3;1,3;3;3;3;1,3;3;3;3;1,Methylosome subunit pICln,CLNS1A,sp|P54105|ICLN_HUMAN Methylosome subunit pICln OS=Homo sapiens OX=9606 GN=CLNS1A PE=1 SV=1;tr|E9PMI6|E9PMI6_HUMAN Methylosome subunit pICln OS=Homo sapiens OX=9606 GN=CLNS1A PE=1 SV=1;tr|E9PJF4|E9PJF4_HUMAN Methylosome subunit pICln OS=Homo sapiens OX=9606,3,3,23.2,237
EEF1D,0.2462368759,0.124371586430259,0,P29692;E9PK01;A0A087X1X7;E9PRY8;E9PQ49;E9PI39;E9PPR1;E9PL12;E9PMW7;E9PQZ1;H0YCK7;E9PIZ1;E9PK06;H0YE72;H0YE58;E9PK72;E9PKK3;E9PQC9;E9PJD0;E9PNW6,P29692;E9PK01;A0A087X1X7;E9PRY8;E9PQ49;E9PI39;E9PPR1;E9PL12;E9PMW7;E9PQZ1;H0YCK7,21;21;18;18;16;16;15;15;14;13;11;10;8;6;6;6;5;4;3;3,21;21;18;18;16;16;15;15;14;13;11;10;8;6;6;6;5;4;3;3,9;9;9;9;4;4;4;4;4;5;4;4;1;5;5;1;0;4;0;0,Elongation factor 1-delta,EEF1D,sp|P29692|EF1D_HUMAN Elongation factor 1-delta OS=Homo sapiens OX=9606 GN=EEF1D PE=1 SV=5;tr|E9PK01|E9PK01_HUMAN Elongation factor 1-delta (Fragment) OS=Homo sapiens OX=9606 GN=EEF1D PE=1 SV=1;tr|A0A087X1X7|A0A087X1X7_HUMAN Elongation factor 1-delta OS=Hom,21,9,65.8,281
PRMT1,-0.1267280022,0.343106779182372,0,Q99873;E9PKG1;E9PIX6;E9PNR9;E9PQ98;H0YDE4;E9PMW9,Q99873;E9PKG1;E9PIX6;E9PNR9;E9PQ98;H0YDE4,11;11;7;6;6;6;1,11;11;7;6;6;6;1,11;11;7;6;6;6;1,Protein arginine N-methyltransferase 1,PRMT1,sp|Q99873|ANM1_HUMAN Protein arginine N-methyltransferase 1 OS=Homo sapiens OX=9606 GN=PRMT1 PE=1 SV=3;tr|E9PKG1|E9PKG1_HUMAN Protein arginine N-methyltransferase 1 OS=Homo sapiens OX=9606 GN=PRMT1 PE=1 SV=1;tr|E9PIX6|E9PIX6_HUMAN Protein arginine N-methyl,11,11,29.6,371
NDUFS8,0.3323425174,0.0448718090406119,0,O00217;E9PN51;F8W9K7;E9PKH6;E9PPW7,O00217;E9PN51;F8W9K7;E9PKH6;E9PPW7,3;3;3;3;3,3;3;3;3;3,3;3;3;3;3,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial",NDUFS8,"sp|O00217|NDUS8_HUMAN NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFS8 PE=1 SV=1;tr|E9PN51|E9PN51_HUMAN NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial (Fragment) OS=Homo sapiens OX",3,3,17.6,210
BTF3L4,0.3754403428,0.260928665547481,0,Q96K17;E9PL10,Q96K17;E9PL10,3;3,2;2,2;2,Transcription factor BTF3 homolog 4;Transcription factor BTF3,BTF3L4,sp|Q96K17|BT3L4_HUMAN Transcription factor BTF3 homolog 4 OS=Homo sapiens OX=9606 GN=BTF3L4 PE=1 SV=1;tr|E9PL10|E9PL10_HUMAN Transcription factor BTF3 OS=Homo sapiens OX=9606 GN=BTF3L4 PE=1 SV=1,3,2,10.8,158
RRM1,0.1813504635,0.460322082042633,0,P23921;E9PL69;E9PP77;H0YCY7,P23921;E9PL69,3;3;1;1,3;3;1;1,3;3;1;1,Ribonucleoside-diphosphate reductase large subunit,RRM1,sp|P23921|RIR1_HUMAN Ribonucleoside-diphosphate reductase large subunit OS=Homo sapiens OX=9606 GN=RRM1 PE=1 SV=1;tr|E9PL69|E9PL69_HUMAN Ribonucleoside-diphosphate reductase large subunit OS=Homo sapiens OX=9606 GN=RRM1 PE=1 SV=1,3,3,8.1,792
NPEPPS,-0.1478968003,0.37743759492057,0,P55786;E9PLK3;A6NEC2;H0YDG0;E9PP11;H0YCQ5;E9PJ74;E9PRQ5,P55786;E9PLK3,23;23;7;7;4;2;1;1,23;23;7;7;4;2;1;1,23;23;7;7;4;2;1;1,Puromycin-sensitive aminopeptidase,NPEPPS,sp|P55786|PSA_HUMAN Puromycin-sensitive aminopeptidase OS=Homo sapiens OX=9606 GN=NPEPPS PE=1 SV=2;tr|E9PLK3|E9PLK3_HUMAN Aminopeptidase OS=Homo sapiens OX=9606 GN=NPEPPS PE=1 SV=1,23,23,29.4,919
VKORC1,0.3620057832,0.0562295221655033,0,Q9BQB6;I3L3B4;F8W9H0;E9PLN8,Q9BQB6;I3L3B4;F8W9H0;E9PLN8,1;1;1;1,1;1;1;1,1;1;1;1,Vitamin K epoxide reductase complex subunit 1,VKORC1,sp|Q9BQB6|VKOR1_HUMAN Vitamin K epoxide reductase complex subunit 1 OS=Homo sapiens OX=9606 GN=VKORC1 PE=1 SV=1;tr|I3L3B4|I3L3B4_HUMAN VKc domain-containing protein (Fragment) OS=Homo sapiens OX=9606 PE=4 SV=1;tr|F8W9H0|F8W9H0_HUMAN Vitamin K epoxide reduc,1,1,8,163
SMAP;C11orf58,-0.0037565897,0.98165117509456,0,O00193;E9PRZ9;E9PM92,O00193;E9PRZ9;E9PM92,2;2;2,2;2;2,2;2;2,Small acidic protein,SMAP;C11orf58,sp|O00193|SMAP_HUMAN Small acidic protein OS=Homo sapiens OX=9606 GN=SMAP PE=1 SV=1;tr|E9PRZ9|E9PRZ9_HUMAN Chromosome 11 open reading frame 58 (Fragment) OS=Homo sapiens OX=9606 GN=C11orf58 PE=1 SV=1;tr|E9PM92|E9PM92_HUMAN Chromosome 11 open reading frame ,2,2,19.7,183
CD151,0.0629402171,0.766349022623761,0,P48509;E9PRJ3;K4DIA7;E9PMR4,P48509;E9PRJ3;K4DIA7;E9PMR4,2;2;2;2,2;2;2;2,2;2;2;2,CD151 antigen;Tetraspanin,CD151,sp|P48509|CD151_HUMAN CD151 antigen OS=Homo sapiens OX=9606 GN=CD151 PE=1 SV=3;tr|E9PRJ3|E9PRJ3_HUMAN Tetraspanin (Fragment) OS=Homo sapiens OX=9606 GN=CD151 PE=1 SV=1;tr|K4DIA7|K4DIA7_HUMAN Tetraspanin (Fragment) OS=Homo sapiens OX=9606 GN=CD151 PE=1 SV=1,2,2,6.7,253
FDFT1,-0.124989435,0.631084340127363,0,P37268;E9PNM1;A0A1W2PQ47;E9PJG4;E9PQ90;E9PNJ2;E9PSH1;E9PS69,P37268;E9PNM1;A0A1W2PQ47,7;7;5;3;2;2;2;1,7;7;5;3;2;2;2;1,7;7;5;3;2;2;2;1,Squalene synthase,FDFT1,sp|P37268|FDFT_HUMAN Squalene synthase OS=Homo sapiens OX=9606 GN=FDFT1 PE=1 SV=1;tr|E9PNM1|E9PNM1_HUMAN Squalene synthase OS=Homo sapiens OX=9606 GN=FDFT1 PE=1 SV=1;tr|A0A1W2PQ47|A0A1W2PQ47_HUMAN Squalene synthase OS=Homo sapiens OX=9606 GN=FDFT1 PE=1 SV=,7,7,18.2,417
DPP3,1.7764240887,0.0106424468165889,1,Q9NY33;E9PQ14;G3V1D3;G3V180;E9PNX5;E9PKK8;E9PPK9,Q9NY33;E9PQ14;G3V1D3;G3V180;E9PNX5;E9PKK8;E9PPK9,2;2;2;2;1;1;1,2;2;2;2;1;1;1,2;2;2;2;1;1;1,Dipeptidyl peptidase 3,DPP3,sp|Q9NY33|DPP3_HUMAN Dipeptidyl peptidase 3 OS=Homo sapiens OX=9606 GN=DPP3 PE=1 SV=2;tr|E9PQ14|E9PQ14_HUMAN Dipeptidyl peptidase 3 (Fragment) OS=Homo sapiens OX=9606 GN=DPP3 PE=1 SV=1;tr|G3V1D3|G3V1D3_HUMAN Dipeptidyl peptidase 3 OS=Homo sapiens OX=9606 G,2,2,4.3,737
NSFL1C,1.3883371875,0.00115602622104631,1,Q9UNZ2;F2Z2K0,Q9UNZ2;F2Z2K0,4;4,4;4,4;4,NSFL1 cofactor p47,NSFL1C,sp|Q9UNZ2|NSF1C_HUMAN NSFL1 cofactor p47 OS=Homo sapiens OX=9606 GN=NSFL1C PE=1 SV=2;tr|F2Z2K0|F2Z2K0_HUMAN NSFL1 cofactor p47 OS=Homo sapiens OX=9606 GN=NSFL1C PE=1 SV=1,4,4,17.6,370
LSM8,-0.7407563444,0.00328093310783984,0,O95777;F2Z2Y6;C9JNV3,O95777;F2Z2Y6;C9JNV3,2;2;1,2;2;1,2;2;1,U6 snRNA-associated Sm-like protein LSm8,LSM8,sp|O95777|LSM8_HUMAN U6 snRNA-associated Sm-like protein LSm8 OS=Homo sapiens OX=9606 GN=LSM8 PE=1 SV=3;tr|F2Z2Y6|F2Z2Y6_HUMAN U6 snRNA-associated Sm-like protein LSm8 OS=Homo sapiens OX=9606 GN=LSM8 PE=1 SV=1;tr|C9JNV3|C9JNV3_HUMAN U6 snRNA-associated Sm-,2,2,20.8,96
TMEM258,-0.1600573277,0.212385066471631,0,P61165;F5GWH5,P61165;F5GWH5,1;1,1;1,1;1,Transmembrane protein 258,TMEM258,sp|P61165|TM258_HUMAN Transmembrane protein 258 OS=Homo sapiens OX=9606 GN=TMEM258 PE=1 SV=1;tr|F5GWH5|F5GWH5_HUMAN Transmembrane protein 258 OS=Homo sapiens OX=9606 GN=TMEM258 PE=1 SV=1,1,1,10.1,79
WNK1,-1.8587021628,2.58735371627073e-05,1,Q9H4A3;F5GWT4;H0YH68,Q9H4A3;F5GWT4;H0YH68,2;2;1,2;2;1,2;2;1,Serine/threonine-protein kinase WNK1,WNK1,sp|Q9H4A3|WNK1_HUMAN Serine/threonine-protein kinase WNK1 OS=Homo sapiens OX=9606 GN=WNK1 PE=1 SV=2;tr|F5GWT4|F5GWT4_HUMAN Serine/threonine-protein kinase WNK1 OS=Homo sapiens OX=9606 GN=WNK1 PE=1 SV=1;tr|H0YH68|H0YH68_HUMAN Serine/threonine-protein kinase,2,2,0.8,2382
OTUB1,-0.2398566447,0.0790486826480941,0,Q96FW1;F5GYN4;J3KR44;F5H6Q1;F5GYJ8;F5H3F0,Q96FW1;F5GYN4;J3KR44;F5H6Q1;F5GYJ8;F5H3F0,7;7;7;6;6;4,7;7;7;6;6;4,7;7;7;6;6;4,Ubiquitin thioesterase OTUB1,OTUB1,sp|Q96FW1|OTUB1_HUMAN Ubiquitin thioesterase OTUB1 OS=Homo sapiens OX=9606 GN=OTUB1 PE=1 SV=2;tr|F5GYN4|F5GYN4_HUMAN Ubiquitin thioesterase OTUB1 OS=Homo sapiens OX=9606 GN=OTUB1 PE=1 SV=1;tr|J3KR44|J3KR44_HUMAN Ubiquitin thioesterase OS=Homo sapiens OX=96,7,7,30.3,271
ATP6V0D1,-0.2148710429,0.79517376072241,0,P61421;F5GYQ1;H3BUQ0;H3BTB5;H3BQB4;H3BSG7;J3QL14;R4GN72,P61421;F5GYQ1;H3BUQ0;H3BTB5;H3BQB4;H3BSG7;J3QL14;R4GN72,2;2;1;1;1;1;1;1,2;2;1;1;1;1;1;1,2;2;1;1;1;1;1;1,V-type proton ATPase subunit d 1,ATP6V0D1,sp|P61421|VA0D1_HUMAN V-type proton ATPase subunit d 1 OS=Homo sapiens OX=9606 GN=ATP6V0D1 PE=1 SV=1;tr|F5GYQ1|F5GYQ1_HUMAN V-type proton ATPase subunit OS=Homo sapiens OX=9606 GN=ATP6V0D1 PE=1 SV=1;tr|H3BUQ0|H3BUQ0_HUMAN V-type proton ATPase subunit d 1 O,2,2,8.8,351
LIG1,0.2056358674,0.646154342084417,0,P18858;F5GZ28;M0R1S4;M0QY71;M0R1G7;B4E135;M0R0Q7,P18858;F5GZ28;M0R1S4;M0QY71;M0R1G7;B4E135;M0R0Q7,4;4;2;2;2;2;2,4;4;2;2;2;2;2,4;4;2;2;2;2;2,DNA ligase 1;DNA ligase,LIG1,sp|P18858|DNLI1_HUMAN DNA ligase 1 OS=Homo sapiens OX=9606 GN=LIG1 PE=1 SV=1;tr|F5GZ28|F5GZ28_HUMAN DNA ligase OS=Homo sapiens OX=9606 GN=LIG1 PE=1 SV=1;tr|M0R1S4|M0R1S4_HUMAN DNA ligase 1 (Fragment) OS=Homo sapiens OX=9606 GN=LIG1 PE=1 SV=1;tr|M0QY71|M0QY,4,4,4.7,919
SLC3A2,0.0208664848,0.850832740512376,0,P08195;F5GZS6;J3KPF3;H0YFS2;F5H0E2;F5H867;F5GZI0;H0YFX4;F5GZR9,P08195;F5GZS6;J3KPF3;H0YFS2,24;24;24;12;8;5;5;2;1,24;24;24;12;8;5;5;2;1,24;24;24;12;8;5;5;2;1,4F2 cell-surface antigen heavy chain,SLC3A2,sp|P08195|4F2_HUMAN 4F2 cell-surface antigen heavy chain OS=Homo sapiens OX=9606 GN=SLC3A2 PE=1 SV=3;tr|F5GZS6|F5GZS6_HUMAN 4F2 cell-surface antigen heavy chain OS=Homo sapiens OX=9606 GN=SLC3A2 PE=1 SV=1;tr|J3KPF3|J3KPF3_HUMAN 4F2 cell-surface antigen hea,24,24,37.5,630
GPHN,0.0503212756,0.906041708623549,0,Q9NQX3;G3V4R0;G3V355;G3V582;F5H039;G3V4D2,Q9NQX3;G3V4R0;G3V355;G3V582;F5H039;G3V4D2,2;2;2;2;2;1,2;2;2;2;2;1,2;2;2;2;2;1,Gephyrin;Molybdopterin adenylyltransferase;Molybdopterin molybdenumtransferase,GPHN,sp|Q9NQX3|GEPH_HUMAN Gephyrin OS=Homo sapiens OX=9606 GN=GPHN PE=1 SV=1;tr|G3V4R0|G3V4R0_HUMAN Gephyrin OS=Homo sapiens OX=9606 GN=GPHN PE=1 SV=1;tr|G3V355|G3V355_HUMAN Gephyrin OS=Homo sapiens OX=9606 GN=GPHN PE=1 SV=1;tr|G3V582|G3V582_HUMAN Gephyrin OS=H,2,2,3.7,736
CPSF7,-0.6502799027,0.00739984737657625,0,Q8N684;J3QT54;F5H6M0;F5H047;F5H669;C9JM38;C9J286;C9J323;F5H5B7;F5H1W4;F5H2K8;F5H6P5;F5H6A8;F5GXA3,Q8N684;J3QT54;F5H6M0;F5H047;F5H669;C9JM38;C9J286;C9J323,3;3;3;3;3;2;2;2;1;1;1;1;1;1,3;3;3;3;3;2;2;2;1;1;1;1;1;1,3;3;3;3;3;2;2;2;1;1;1;1;1;1,Cleavage and polyadenylation specificity factor subunit 7,CPSF7,sp|Q8N684|CPSF7_HUMAN Cleavage and polyadenylation specificity factor subunit 7 OS=Homo sapiens OX=9606 GN=CPSF7 PE=1 SV=1;tr|J3QT54|J3QT54_HUMAN Cleavage and polyadenylation-specificity factor subunit 7 (Fragment) OS=Homo sapiens OX=9606 GN=CPSF7 PE=1 SV=,3,3,7.2,471
RAB35,0.1145828958,0.634209772121192,0,Q15286;F5H157;F5H7F8,Q15286;F5H157,3;3;1,3;3;1,3;3;1,Ras-related protein Rab-35,RAB35,sp|Q15286|RAB35_HUMAN Ras-related protein Rab-35 OS=Homo sapiens OX=9606 GN=RAB35 PE=1 SV=1;tr|F5H157|F5H157_HUMAN Ras-related protein Rab-35 (Fragment) OS=Homo sapiens OX=9606 GN=RAB35 PE=1 SV=1,3,3,17.4,201
NAP1L1,0.1185490153,0.319457489810473,0,P55209;F8VY35;F8W0J6;F5H4R6;H0YIV4;H0YHC3;F8W020;F8W118;F8VV59;B7Z9C2;H0YH88;F8VUX1;F8VXI6;F8VRJ2;F8VVB5;B7Z4K9,P55209;F8VY35;F8W0J6;F5H4R6;H0YIV4;H0YHC3;F8W020;F8W118;F8VV59;B7Z9C2;H0YH88;F8VUX1;F8VXI6;F8VRJ2;F8VVB5,14;14;14;14;14;13;13;13;13;13;12;12;11;10;10;1,14;14;14;14;14;13;13;13;13;13;12;12;11;10;10;1,2;2;2;2;2;1;2;1;1;1;0;2;2;1;1;0,Nucleosome assembly protein 1-like 1,NAP1L1,sp|P55209|NP1L1_HUMAN Nucleosome assembly protein 1-like 1 OS=Homo sapiens OX=9606 GN=NAP1L1 PE=1 SV=1;tr|F8VY35|F8VY35_HUMAN Nucleosome assembly protein 1-like 1 (Fragment) OS=Homo sapiens OX=9606 GN=NAP1L1 PE=1 SV=1;tr|F8W0J6|F8W0J6_HUMAN Nucleosome asse,14,2,34.5,391
STK4,-1.9461543145,0.0100320610419572,1,Q13043;F5H5B4,Q13043;F5H5B4,3;3,3;3,3;3,Serine/threonine-protein kinase 4;Serine/threonine-protein kinase 4 37kDa subunit;Serine/threonine-protein kinase 4 18kDa subunit,STK4,sp|Q13043|STK4_HUMAN Serine/threonine-protein kinase 4 OS=Homo sapiens OX=9606 GN=STK4 PE=1 SV=2;tr|F5H5B4|F5H5B4_HUMAN Serine/threonine-protein kinase 4 OS=Homo sapiens OX=9606 GN=STK4 PE=1 SV=1,3,3,10.9,487
TUBA1C,0.0660773578,0.582909878910021,0,Q9BQE3;F5H5D3;A0A1W2PQM2;F8VQQ4;F8VVB9;F8VRZ4;F8VS66;F8VWV9;F8VX09;A6NHL2;C9JEV8;C9JQ00;C9JJQ8;F8VRK0;C9K0S6;F8W0F6;C9JDL2;Q9H853;F8VXZ7,Q9BQE3;F5H5D3;A0A1W2PQM2,44;44;29;18;17;11;11;7;7;6;5;5;5;4;2;2;2;1;1,5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,Tubulin alpha-1C chain,TUBA1C,sp|Q9BQE3|TBA1C_HUMAN Tubulin alpha-1C chain OS=Homo sapiens OX=9606 GN=TUBA1C PE=1 SV=1;tr|F5H5D3|F5H5D3_HUMAN Tubulin alpha chain OS=Homo sapiens OX=9606 GN=TUBA1C PE=1 SV=1;tr|A0A1W2PQM2|A0A1W2PQM2_HUMAN Tubulin alpha-1C chain OS=Homo sapiens OX=9606 GN,44,2,73.5,449
GRSF1,-0.2648222004,0.0736236841915502,0,Q12849;H0Y8R1;F5H5I6;H0YAK1;H0YAM1,Q12849;H0Y8R1;F5H5I6;H0YAK1,10;10;10;10;3,10;10;10;10;3,10;10;10;10;3,G-rich sequence factor 1,GRSF1,sp|Q12849|GRSF1_HUMAN G-rich sequence factor 1 OS=Homo sapiens OX=9606 GN=GRSF1 PE=1 SV=3;tr|H0Y8R1|H0Y8R1_HUMAN G-rich sequence factor 1 (Fragment) OS=Homo sapiens OX=9606 GN=GRSF1 PE=1 SV=1;tr|F5H5I6|F5H5I6_HUMAN G-rich sequence factor 1 OS=Homo sapiens ,10,10,24,480
