Gene_names,POC1B_vs_BirA_logFC,POC1B_vs_BirA_pval,ID,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_POC1B_N1,Peptides_POC1B_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_POC1B_N1,Razor___unique_peptides_POC1B_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_POC1B_N1,Unique_peptides_POC1B_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_POC1B_N1,Identification_type_POC1B_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_POC1B_N1,Ratio_H_L_POC1B_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_POC1B_N1,Ratio_H_L_normalized_POC1B_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____POC1B_N1,Ratio_H_L_variability_____POC1B_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_POC1B_N1,Ratio_H_L_count_POC1B_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_POC1B_N1,Ratio_H_L_iso_count_POC1B_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_POC1B_N1,Ratio_H_L_type_POC1B_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_POC1B_N1____,Sequence_coverage_POC1B_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_POC1B_N1,Intensity_L_POC1B_N1,Intensity_H_POC1B_N1,Intensity_POC1B_N2,Intensity_L_POC1B_N2,Intensity_H_POC1B_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_POC1B_N1,metacell_Intensity_L_POC1B_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
MDH1,-0.455701318926817,0.167893509919863,protein_1543,P40925;A0A5K1VW95;B9A041;C9JF79;B8ZZ51;C9JRL4;C9JLV6,P40925;A0A5K1VW95;B9A041;C9JF79;B8ZZ51,15;14;10;10;8;7;2,15;14;10;10;8;7;2,15;14;10;10;8;7;2,"Malate dehydrogenase, cytoplasmic;Malate dehydrogenase","sp|P40925|MDHC_HUMAN Malate dehydrogenase, cytoplasmic OS=Homo sapiens OX=9606 GN=MDH1 PE=1 SV=4;tr|A0A5K1VW95|A0A5K1VW95_HUMAN Malate dehydrogenase OS=Homo sapiens OX=9606 GN=MDH1 PE=1 SV=1;tr|B9A041|B9A041_HUMAN Malate dehydrogenase, cytoplasmic OS=Homo ",7,15,15,15,13,13,9,7,13,13,9,7,13,13,9,7,42.5,42.5,42.5,36.426,334,334;353;210;222;169;119;114,0.0,53.072,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.36072,0.97266,15.419,46,6,Leave out requantified,0.29384,0.38723,0.37899,0.36536,0.97949,1.137,0.8602,0.85961,14.892,37.699,8.1558,10.011,14,14,10,8,4,0,1,1,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,42.5,39.2,34.1,29.6,7129800000,5201100000,1928700000,2202200000,1626900000,575370000,2208300000,1625500000,582750000,1656400000,1184900000,471470000,1062900000,763850000,299080000,,,,1542,2404;2405;2993;3154;3919;3920;4159;5754;7300;8048;8049;10842;11683;12862;14591,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,2515;2516;3127;3295;4085;4086;4334;6014;7663;8462;8463;11372;12267;13501;15300,7471;7472;7473;9149;9150;9151;9152;9586;9587;9588;9589;11772;11773;11774;11775;11776;11777;12482;12483;17331;22125;22126;24525;24526;24527;24528;24529;24530;24531;24532;32785;32786;32787;32788;32789;32790;32791;32792;35136;35137;35138;35139;35140;38639;38640;43919;43920;43921;43922,14675;14676;14677;17802;17803;17804;17805;18556;18557;18558;18559;18560;18561;18562;18563;18564;18565;22774;22775;22776;22777;22778;22779;22780;22781;22782;22783;22784;22785;22786;22787;22788;22789;22790;22791;22792;22793;22794;22795;22796;22797;22798;22799;22800;24251;24252;24253;33833;42970;42971;47476;47477;47478;47479;47480;47481;47482;47483;47484;47485;47486;47487;47488;47489;63091;63092;63093;63094;63095;63096;63097;63098;63099;63100;63101;63102;63103;63104;63105;63106;63107;63108;63109;63110;63111;63112;67467;67468;67469;67470;67471;73972;73973;73974;73975;84834;84835;84836;84837;84838;84839;84840;84841;84842;84843,14675;14676;17805;18563;22786;22797;24253;33833;42971;47477;47488;63103;67468;73975;84836,,,,,-1;-1;-1;-1;-1;-1;-1,protein_1543,quanti,quanti,quanti,quanti
MDH2,0.160945593742891,0.446798399274208,protein_1544,P40926;G3XAL0,P40926;G3XAL0,26;20,26;20,26;20,"Malate dehydrogenase, mitochondrial;Malate dehydrogenase","sp|P40926|MDHM_HUMAN Malate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=MDH2 PE=1 SV=3;tr|G3XAL0|G3XAL0_HUMAN Malate dehydrogenase OS=Homo sapiens OX=9606 GN=MDH2 PE=1 SV=1",2,26,26,26,24,23,21,21,24,23,21,21,24,23,21,21,70.4,70.4,70.4,35.503,338,338;231,0.0,301.89,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.31771,0.80555,14.624,104,25,Leave out requantified,0.23546,0.29572,0.34835,0.34208,0.80418,0.8666,0.78626,0.79396,23.185,21.853,9.7807,13.952,27,28,24,25,9,7,2,7,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,69.2,67.5,64.2,64.2,12492000000,9147600000,3344100000,2784700000,2173400000,611270000,3601700000,2648000000,953660000,3350500000,2382600000,967930000,2754900000,1943600000,811210000,,,,1543,235;553;886;1346;1347;1348;2794;3926;4110;4413;4570;5184;5185;5285;5744;6359;9189;9848;10530;12547;12548;13324;13325;14127;14185;14986,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,239;567;568;919;1410;1411;1412;2921;4092;4283;4599;4770;5415;5416;5522;6004;6653;9638;10325;11043;13172;13173;13982;13983;14807;14865;15724,647;1620;1621;1622;1623;1624;2716;2717;2718;2719;4264;4265;4266;4267;4268;4269;4270;4271;4272;4273;4274;4275;8567;8568;8569;8570;11794;11795;11796;11797;12345;12346;12347;13254;13255;13815;13816;13817;13818;13819;13820;15623;15624;15625;15626;15627;15628;15629;15974;15975;15976;15977;15978;15979;15980;15981;17296;17297;17298;17299;19281;19282;19283;19284;27898;27899;27900;27901;27902;27903;27904;27905;29822;29823;29824;29825;31850;31851;31852;37696;37697;37698;37699;37700;37701;37702;37703;37704;40069;40070;40071;40072;40073;40074;42442;42443;42444;42445;42624;42625;42626;42627;45202;45203;45204;45205;45206;45207,1206;1207;1208;1209;1210;3117;3118;3119;3120;3121;3122;3123;3124;3125;3126;3127;3128;3129;3130;3131;5315;5316;5317;5318;5319;5320;5321;5322;5323;5324;5325;5326;8506;8507;8508;8509;8510;8511;8512;8513;8514;8515;8516;8517;8518;8519;8520;8521;8522;8523;8524;8525;8526;8527;8528;8529;8530;8531;8532;8533;8534;8535;16700;16701;16702;16703;16704;22822;22823;22824;22825;22826;22827;22828;22829;22830;22831;23946;23947;23948;23949;23950;23951;23952;23953;23954;23955;23956;23957;25830;25831;26895;26896;26897;26898;26899;26900;26901;26902;26903;26904;30331;30332;30333;30334;30335;30336;30337;30338;30339;30340;31069;31070;31071;31072;31073;31074;31075;31076;31077;31078;31079;31080;31081;31082;31083;31084;31085;31086;31087;31088;31089;31090;31091;33780;33781;33782;33783;37636;37637;37638;37639;37640;37641;37642;37643;37644;37645;53725;53726;53727;53728;53729;53730;53731;53732;53733;53734;53735;53736;53737;53738;53739;53740;53741;53742;53743;53744;57421;57422;57423;57424;57425;57426;57427;57428;57429;57430;57431;61236;61237;61238;72288;72289;72290;72291;72292;72293;72294;72295;72296;72297;72298;72299;72300;72301;72302;72303;72304;72305;72306;72307;72308;72309;72310;72311;72312;72313;72314;72315;72316;72317;72318;72319;72320;72321;77049;77050;77051;77052;77053;77054;77055;77056;77057;77058;77059;77060;77061;77062;77063;77064;77065;77066;81897;81898;81899;81900;81901;81902;81903;81904;81905;81906;81907;81908;81909;81910;81911;82266;82267;82268;82269;82270;82271;82272;82273;82274;82275;82276;82277;82278;82279;82280;82281;87448;87449;87450;87451;87452;87453;87454;87455;87456;87457;87458;87459,1207;3122;5324;8506;8521;8531;16701;22826;23955;25830;26898;30336;30340;31089;33781;37639;53742;57430;61236;72289;72321;77049;77066;81909;82268;87457,,158,,251,-1;-1,protein_1544,quanti,quanti,quanti,quanti
RFC5,-0.718549444733679,0.113849459507044,protein_1545,P40937;F5H304;F5H5S0;C9JH72;F5H0U6,P40937,3;1;1;1;1,3;1;1;1;1,3;1;1;1;1,Replication factor C subunit 5,sp|P40937|RFC5_HUMAN Replication factor C subunit 5 OS=Homo sapiens OX=9606 GN=RFC5 PE=1 SV=1,5,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,14.7,14.7,14.7,38.496,340,340;63;104;104;139,0.0,2.3248,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.44295,0.96487,22.536,4,3,Median,0.25372,0.37766,0.51953,0.57627,0.70736,0.96055,0.96922,1.2256,,,,,1,1,1,1,1,0,1,1,Median,Median,Median,Median,5.3,5.3,3.5,5.9,84395000,60914000,23481000,21636000,18002000,3634900,33094000,22657000,10437000,12147000,7760300,4386400,17518000,12495000,5023500,,,,1544,3446;3522;9720,True;True;True,3597;3674;10193,10407;10609;29479;29480,20171;20534;56780;56781,20171;20534;56781,,,,,-1;-1;-1;-1;-1,protein_1545,quanti,quanti,quanti,quanti
RFC3,-20.1787348361197,3.32634177218162e-07,protein_1546,P40938,P40938,2,2,2,Replication factor C subunit 3,sp|P40938|RFC3_HUMAN Replication factor C subunit 3 OS=Homo sapiens OX=9606 GN=RFC3 PE=1 SV=2,1,2,2,2,2,2,0,0,2,2,0,0,2,2,0,0,10.1,10.1,10.1,40.556,356,356,0.0,2.0767,By MS/MS,By MS/MS,,,0.52865,1.5278,80.764,4,4,Median,0.52865,0.58805,,,1.5278,1.4118,,,88.365,108.16,,,2,2,0,0,2,2,0,0,Median,Median,Median,Median,10.1,10.1,0.0,0.0,99094000,60460000,38634000,49039000,33875000,15164000,50055000,26585000,23470000,0,0,0,0,0,0,,,,1545,10609;12397,True;True,11129;13017,32097;32098;37253;37254,61762;61763;61764;71457;71458,61763;71457,,,,,-1,protein_1546,imputed MEC,imputed MEC,quanti,quanti
EIF2S3;EIF2S3L,0.0136535023920139,0.97344105941869,protein_1547,P41091;Q2VIR3;H7BZU1,P41091;Q2VIR3,16;12;5,16;12;5,16;12;5,Eukaryotic translation initiation factor 2 subunit 3;Putative eukaryotic translation initiation factor 2 subunit 3-like protein,sp|P41091|IF2G_HUMAN Eukaryotic translation initiation factor 2 subunit 3 OS=Homo sapiens OX=9606 GN=EIF2S3 PE=1 SV=3;sp|Q2VIR3|IF2GL_HUMAN Eukaryotic translation initiation factor 2 subunit 3B OS=Homo sapiens OX=9606 GN=EIF2S3B PE=2 SV=2,3,16,16,16,8,12,7,7,8,12,7,7,8,12,7,7,40.0,40.0,40.0,51.109,472,472;472;183,0.0,29.957,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.36392,0.84017,61.904,34,8,Leave out requantified,0.26881,0.31741,0.44325,0.38634,0.88385,0.77043,0.93477,0.88629,108.3,72.162,25.849,16.148,8,12,7,7,4,3,0,1,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,20.1,30.3,21.4,21.4,1377700000,988610000,389120000,276350000,212610000,63746000,447570000,332210000,115360000,243190000,168030000,75166000,410610000,275760000,134840000,,,,1546,589;590;591;5123;6716;6717;6742;6807;8153;8154;8636;9205;11040;11711;11712;15044,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,607;608;609;610;5346;7025;7026;7055;7121;8570;8571;9071;9654;11594;12295;12296;15782,1728;1729;1730;1731;1732;1733;1734;1735;15406;20340;20341;20342;20343;20344;20407;20408;20591;20592;24864;24865;24866;24867;24868;26346;26347;27951;27952;27953;27954;33332;35212;35213;35214;35215;35216;45355,3324;3325;3326;3327;3328;3329;3330;3331;3332;3333;3334;29896;39588;39589;39590;39591;39592;39593;39594;39595;39692;39693;40112;40113;40114;40115;48184;48185;48186;48187;48188;48189;48190;48191;48192;48193;50994;50995;53816;53817;53818;53819;53820;53821;53822;64108;67605;67606;67607;67608;67609;87759,3326;3333;3334;29896;39593;39595;39692;40114;48189;48193;50994;53820;64108;67608;67609;87759,,,,,-1;-1;-1,protein_1547,quanti,quanti,quanti,quanti
BUD31,-0.412283872470212,0.433617098384547,protein_1549,P41223;C9JCD9,P41223,3;1,3;1,3;1,Protein BUD31 homolog,sp|P41223|BUD31_HUMAN Protein BUD31 homolog OS=Homo sapiens OX=9606 GN=BUD31 PE=1 SV=2,2,3,3,3,2,3,2,2,2,3,2,2,2,3,2,2,22.2,22.2,22.2,17.0,144,144;103,0.0,4.0533,By matching,By MS/MS,By MS/MS,By MS/MS,1.2275,2.229,20.57,9,0,Leave out requantified,0.9974,1.2265,1.319,1.49,1.6825,2.097,2.4456,2.7656,37.173,30.964,10.502,11.241,2,3,2,2,0,0,0,0,Median,Leave out requantified,Median,Median,12.5,22.2,12.5,12.5,90267000,41294000,48973000,13291000,7112600,6178000,44551000,19852000,24700000,15911000,7056300,8854700,16514000,7273400,9240400,,,,1548,2537;7344;15881,True;True;True,2658;7716;16650,7883;22269;22270;22271;22272;47820;47821;47822;47823,15450;15451;43214;92394;92395,15451;43214;92394,,,,,-1;-1,protein_1549,quanti,quanti,quanti,quanti
NAA10,-0.286210082492719,0.805472125958176,protein_1550,P41227;C9JN83;C9JW55;F8W808;A8MWP7;Q9BSU3,P41227;C9JN83;C9JW55;F8W808;A8MWP7,6;4;3;3;3;1,6;4;3;3;3;1,6;4;3;3;3;1,N-alpha-acetyltransferase 10,sp|P41227|NAA10_HUMAN N-alpha-acetyltransferase 10 OS=Homo sapiens OX=9606 GN=NAA10 PE=1 SV=1;tr|C9JN83|C9JN83_HUMAN N-alpha-acetyltransferase 10 (Fragment) OS=Homo sapiens OX=9606 GN=NAA10 PE=1 SV=1;tr|C9JW55|C9JW55_HUMAN N-alpha-acetyltransferase 10 (Fra,6,6,6,6,2,3,5,1,2,3,5,1,2,3,5,1,27.2,27.2,27.2,26.458,235,235;142;145;169;184;229,0.0,9.7252,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.43407,1.0717,20.477,10,3,Leave out requantified,0.51836,0.44677,0.4634,0.62002,1.6966,1.2245,0.9687,1.3263,8.9438,19.081,10.218,,2,3,4,1,1,1,1,0,Median,Plateau,Leave out requantified,Median,8.5,19.1,23.4,4.7,364400000,254970000,109430000,71515000,46215000,25300000,120450000,78584000,41866000,149860000,116700000,33162000,22574000,13472000,9101600,,,,1549,1292;2438;4899;5487;10270;10457,True;True;True;True;True;True,1356;2550;5114;5744;10777;10967,4106;4107;7585;7586;7587;7588;14793;16630;31090;31091;31641;31642,8206;8207;8208;8209;14878;14879;14880;14881;14882;28782;32522;32523;59813;60847;60848,8208;14879;28782;32522;59813;60847,,,,,-1;-1;-1;-1;-1;-1,protein_1550,quanti,quanti,quanti,quanti
KDM5C,19.7269751429714,1.09321255856236e-06,protein_1551,P41229,P41229,2,2,2,Lysine-specific demethylase 5C,sp|P41229|KDM5C_HUMAN Lysine-specific demethylase 5C OS=Homo sapiens OX=9606 GN=KDM5C PE=1 SV=2,1,2,2,2,0,1,1,1,0,1,1,1,0,1,1,1,1.8,1.8,1.8,175.72,1560,1560,0.041194,0.63307,,By MS/MS,By MS/MS,By MS/MS,37.884,87.044,23.919,3,0,Plateau,,,25.105,37.884,,,57.519,87.044,,,,0.0,0,0,1,2,0,0,0,0,Median,Median,Median,Median,0.0,0.6,1.2,1.2,1318600000,37735000,1280900000,0,0,0,0,0,0,395070000,13847000,381220000,923570000,23888000,899680000,,,,1550,8852;15583,True;True,9293;16344,26957;26958;26959;46988,52041;90886,52041;90886,,,,,-1,protein_1551,quanti,quanti,imputed MEC,imputed MEC
GARS,0.922008809377473,0.0165456834280955,protein_1553,P41250,P41250,19,19,19,Glycine--tRNA ligase,sp|P41250|GARS_HUMAN Glycine--tRNA ligase OS=Homo sapiens OX=9606 GN=GARS1 PE=1 SV=3,1,19,19,19,12,11,16,14,12,11,16,14,12,11,16,14,34.2,34.2,34.2,83.165,739,739,0.0,47.214,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.4784,1.1354,21.946,61,10,Leave out requantified,0.29475,0.39774,0.54855,0.5225,0.99261,1.1216,1.2071,1.1933,23.145,16.113,28.043,31.373,13,12,19,17,4,1,4,1,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,23.5,20.8,29.0,28.0,3307900000,2145100000,1162800000,549290000,384760000,164530000,661570000,459480000,202090000,1241700000,770720000,470980000,855330000,530110000,325220000,,,,1552,2895;3766;6275;6818;7904;8387;8388;8767;10639;11727;12511;13155;13159;13544;13732;13907;13908;15004;16107,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,3029;3926;6567;7132;8314;8816;8817;9206;11160;12311;13135;13801;13807;14208;14397;14579;14580;15742;16886,8877;8878;8879;8880;8881;11307;11308;19026;19027;19028;19029;19030;19031;20615;20616;20617;20618;24093;24094;24095;24096;24097;24098;24099;25647;25648;25649;25650;25651;25652;25653;26728;32201;32202;32203;32204;35249;37591;37592;37593;37594;39527;39528;39529;39530;39549;39550;40707;40708;41206;41207;41208;41209;41777;41778;41779;41780;45247;48492;48493;48494;48495,17328;17329;17330;17331;17332;17333;17334;17335;21894;21895;21896;37219;37220;37221;37222;37223;37224;37225;37226;37227;40138;40139;40140;40141;40142;40143;40144;40145;46671;46672;46673;46674;46675;46676;46677;46678;46679;49627;49628;49629;49630;49631;49632;49633;49634;49635;49636;49637;49638;49639;49640;49641;49642;49643;49644;51638;61993;61994;61995;61996;61997;61998;67673;67674;67675;72114;72115;72116;72117;72118;72119;72120;72121;75758;75759;75760;75761;75762;75763;75764;75765;75766;75767;75768;75769;75770;75771;75772;75773;75774;75775;75776;75847;75848;75849;75850;75851;75852;75853;78439;78440;79263;79264;79265;79266;79267;79268;79269;79270;79271;80489;80490;80491;80492;80493;80494;87535;93740;93741;93742;93743,17329;21896;37225;40145;46679;49632;49644;51638;61994;67674;72119;75760;75848;78439;79269;80489;80492;87535;93743,,,,,-1,protein_1553,quanti,quanti,quanti,quanti
EIF1;EIF1B,0.0891727959761042,0.914416910904197,protein_1554,P41567;K7EM18;O60739;K7EQP2,P41567;K7EM18;O60739,5;4;3;2,5;4;3;2,5;4;3;2,Eukaryotic translation initiation factor 1;Eukaryotic translation initiation factor 1b,sp|P41567|EIF1_HUMAN Eukaryotic translation initiation factor 1 OS=Homo sapiens OX=9606 GN=EIF1 PE=1 SV=1;tr|K7EM18|K7EM18_HUMAN Eukaryotic translation initiation factor 1 OS=Homo sapiens OX=9606 GN=EIF1 PE=1 SV=1;sp|O60739|EIF1B_HUMAN Eukaryotic translati,4,5,5,5,3,3,3,2,3,3,3,2,3,3,3,2,85.0,85.0,85.0,12.732,113,113;121;113;53,0.0,5.4628,By MS/MS,By MS/MS,By MS/MS,By MS/MS,1.4251,3.2719,12.453,12,0,Leave out requantified,1.0443,1.4486,1.4251,1.516,3.8287,3.6758,3.0776,3.1429,16.469,19.473,5.4058,15.225,3,3,4,2,0,0,0,0,Leave out requantified,Leave out requantified,Leave out requantified,Median,65.5,65.5,51.3,41.6,946770000,371210000,575570000,176740000,83346000,93393000,259970000,90910000,169060000,428900000,163110000,265790000,81165000,33838000,47327000,,,,1553,3222;3223;10412;11663;13532,True;True;True;True;True,3365;3366;10922;12247;14196,9775;9776;9777;9778;9779;31500;35085;35086;35087;35088;40676;40677,18926;18927;18928;18929;18930;18931;18932;18933;18934;18935;18936;60552;60553;67394;67395;67396;67397;67398;67399;78371;78372;78373;78374,18926;18930;60552;67398;78371,,,,,-1;-1;-1;-1,protein_1554,quanti,quanti,quanti,quanti
ECI1;DCI,-0.640820205758654,0.0267818450329162,protein_1555,P42126;Q96DC0;H3BS70,P42126;Q96DC0,6;5;2,6;5;2,6;5;2,"Enoyl-CoA delta isomerase 1, mitochondrial","sp|P42126|ECI1_HUMAN Enoyl-CoA delta isomerase 1, mitochondrial OS=Homo sapiens OX=9606 GN=ECI1 PE=1 SV=1;tr|Q96DC0|Q96DC0_HUMAN DCI protein OS=Homo sapiens OX=9606 GN=ECI1 PE=1 SV=1",3,6,6,6,4,4,5,4,4,4,5,4,4,4,5,4,17.9,17.9,17.9,32.816,302,302;243;224,0.0,21.713,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.33694,0.86832,38.265,15,2,Leave out requantified,0.34936,0.43093,0.37773,0.40795,1.0077,1.1279,0.80093,0.87753,29.854,63.716,59.381,24.802,4,4,4,3,1,0,0,1,Leave out requantified,Leave out requantified,Leave out requantified,Median,15.2,15.2,16.2,14.6,571290000,410970000,160320000,174200000,124080000,50118000,207800000,147360000,60438000,103060000,74781000,28275000,86235000,64741000,21494000,,,,1554,1887;2132;2133;9397;12344;14886,True;True;True;True;True;True,1982;2237;2238;9857;12959;15617,6006;6007;6690;6691;6692;6693;6694;28557;28558;37100;37101;37102;37103;44879;44880;44881;44882,11937;11938;13169;13170;13171;13172;13173;13174;55047;71155;71156;71157;71158;71159;71160;71161;71162;71163;71164;71165;71166;86777;86778;86779;86780;86781;86782,11937;13169;13174;55047;71158;86781,,,,,-1;-1;-1,protein_1555,quanti,quanti,quanti,quanti
TMPO,-0.488063799240287,0.0695611535469238,protein_1556,P42166;P42167;H0YJH7;G5E972,P42166;P42167;H0YJH7;G5E972,2;1;1;1,2;1;1;1,2;1;1;1,"Lamina-associated polypeptide 2, isoform alpha;Thymopoietin;Thymopentin;Lamina-associated polypeptide 2, isoforms beta/gamma;Thymopoietin;Thymopentin","sp|P42166|LAP2A_HUMAN Lamina-associated polypeptide 2, isoform alpha OS=Homo sapiens OX=9606 GN=TMPO PE=1 SV=2;sp|P42167|LAP2B_HUMAN Lamina-associated polypeptide 2, isoforms beta/gamma OS=Homo sapiens OX=9606 GN=TMPO PE=1 SV=2;tr|H0YJH7|H0YJH7_HUMAN Lamin",4,2,2,2,1,2,1,1,1,2,1,1,1,2,1,1,4.8,4.8,4.8,75.491,694,694;454;237;414,0.0,4.0099,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.37399,0.93477,32.028,5,2,Median,0.23539,0.52309,0.37399,0.4109,0.82255,1.3622,0.81529,0.93477,,37.334,,,1,2,1,1,0,0,1,1,Median,Median,Median,Median,1.9,4.8,1.9,1.9,220530000,151560000,68971000,52328000,41639000,10689000,85616000,54902000,30713000,43637000,30448000,13189000,38949000,24569000,14380000,,,,1555,1966;15847,True;True,2061;16613,6242;47710;47711;47712;47713,12377;12378;92171;92172;92173;92174;92175;92176;92177;92178;92179,12378;92171,,,,,-1;-1;-1;-1,protein_1556,quanti,quanti,quanti,quanti
SKIV2L2,0.956719635648106,0.10372055761952,protein_1557,P42285,P42285,4,4,4,Superkiller viralicidic activity 2-like 2,sp|P42285|MTREX_HUMAN Exosome RNA helicase MTR4 OS=Homo sapiens OX=9606 GN=MTREX PE=1 SV=3,1,4,4,4,2,1,3,4,2,1,3,4,2,1,3,4,3.8,3.8,3.8,117.8,1042,1042,0.0026983,1.6336,By MS/MS,By matching,By MS/MS,By MS/MS,0.83126,1.6169,16.519,10,0,Leave out requantified,0.60123,0.71168,0.76748,0.84681,1.4059,1.4504,1.4006,1.7125,25.056,,24.103,14.613,2,1,3,4,0,0,0,0,Median,Median,Leave out requantified,Leave out requantified,1.9,0.9,2.7,3.8,127250000,65834000,61420000,28057000,16930000,11127000,16328000,9453700,6874400,37651000,18746000,18905000,45218000,20704000,24514000,,,,1556,3197;10359;11898;14503,True;True;True;True,3339;10868;12488;15200,9688;9689;9690;31346;35713;35714;35715;35716;43607;43608,18745;60267;68504;68505;68506;68507;84152,18745;60267;68507;84152,,,,,-1,protein_1557,quanti,quanti,quanti,quanti
