Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity DCAF6-N1,Intensity DCAF6-N2,Intensity BirA-alone-N1,Intensity BirA-alone-N2
P38606;C9JA17;C9JVW8,P38606,14;4;4,14;4;4,14;4;4,V-type proton ATPase catalytic subunit A,ATP6V1A,sp|P38606|VATA_HUMAN V-type proton ATPase catalytic subunit A OS=Homo sapiens OX=9606 GN=ATP6V1A PE=1 SV=2,14,14,29.8,3.85926602610109,3.93616518704728,28.005763563367,27.8327371647845
P21281;H0YC04;E5RGH6,P21281;H0YC04;E5RGH6,2;2;1,2;2;1,2;2;1,"V-type proton ATPase subunit B, brain isoform",ATP6V1B2,"sp|P21281|VATB2_HUMAN V-type proton ATPase subunit B, brain isoform OS=Homo sapiens OX=9606 GN=ATP6V1B2 PE=1 SV=3;tr|H0YC04|H0YC04_HUMAN V-type proton ATPase subunit B, brain isoform (Fragment) OS=Homo sapiens OX=9606 GN=ATP6V1B2 PE=1 SV=1;tr|E5RGH6|E5RGH6",2,2,6.1,3.85926602610109,3.93616518704728,25.1541883419463,25.2221772795685
O43861;F6XUP2,O43861;F6XUP2,3;3,3;3,3;3,Probable phospholipid-transporting ATPase IIB,ATP9B,sp|O43861|ATP9B_HUMAN Probable phospholipid-transporting ATPase IIB OS=Homo sapiens OX=9606 GN=ATP9B PE=2 SV=4;tr|F6XUP2|F6XUP2_HUMAN Probable phospholipid-transporting ATPase IIB OS=Homo sapiens OX=9606 GN=ATP9B PE=1 SV=1,3,3,4.7,3.85926602610109,3.93616518704728,25.0098795193313,24.0968373810717
Q99700;V9GY86;A0A5F9ZHW5;H0YH87;A0A5F9ZHX3;A0A2R8Y7P6;A0A2R8YDM9;A0A2R8Y5A6;A0A2R8Y7E6;A0A5F9ZI57;F8VQP2;F8WB06;A0A5F9ZHH4;F8W0B5;A0A5F9ZH85;F8VRK6;F8WB05,Q99700;V9GY86;A0A5F9ZHW5;H0YH87;A0A5F9ZHX3;A0A2R8Y7P6;A0A2R8YDM9;A0A2R8Y5A6;A0A2R8Y7E6;A0A5F9ZI57;F8VQP2;F8WB06;A0A5F9ZHH4;F8W0B5;A0A5F9ZH85,14;14;14;14;14;14;14;14;14;14;13;13;12;9;8;4;1,14;14;14;14;14;14;14;14;14;14;13;13;12;9;8;4;1,14;14;14;14;14;14;14;14;14;14;13;13;12;9;8;4;1,Ataxin-2,ATXN2,sp|Q99700|ATX2_HUMAN Ataxin-2 OS=Homo sapiens OX=9606 GN=ATXN2 PE=1 SV=2;tr|V9GY86|V9GY86_HUMAN Ataxin-2 OS=Homo sapiens OX=9606 GN=ATXN2 PE=1 SV=1;tr|A0A5F9ZHW5|A0A5F9ZHW5_HUMAN Ataxin-2 OS=Homo sapiens OX=9606 GN=ATXN2 PE=1 SV=1;tr|H0YH87|H0YH87_HUMAN At,14,14,16.1,3.85926602610109,3.93616518704728,28.4873463869546,27.7535975908571
Q8WWM7;H3BUF6;H3BSK9;H3BSQ5;H3BUE3;H3BRB0;A0A0C4DGL7,Q8WWM7;H3BUF6,27;24;12;5;5;2;2,27;24;12;5;5;2;2,27;24;12;5;5;2;2,Ataxin-2-like protein,ATXN2L,sp|Q8WWM7|ATX2L_HUMAN Ataxin-2-like protein OS=Homo sapiens OX=9606 GN=ATXN2L PE=1 SV=2;tr|H3BUF6|H3BUF6_HUMAN Ataxin-2-like protein OS=Homo sapiens OX=9606 GN=ATXN2L PE=1 SV=1,27,27,35.6,3.85926602610109,3.93616518704728,30.7149761114977,30.602755774116
Q9Y679,Q9Y679,2,2,2,Ancient ubiquitous protein 1,AUP1,sp|Q9Y679|AUP1_HUMAN Ancient ubiquitous protein 1 OS=Homo sapiens OX=9606 GN=AUP1 PE=1 SV=2,2,2,6.8,3.85926602610109,3.93616518704728,23.5698741461313,23.0411464360641
Q9NWV8;M0QYV1;M0R3F4;M0R2A4;M0R2K3;M0R193;M0R0I0;M0R2I2;J3KQS6,Q9NWV8;M0QYV1;M0R3F4;M0R2A4;M0R2K3;M0R193;M0R0I0;M0R2I2;J3KQS6,2;1;1;1;1;1;1;1;1,2;1;1;1;1;1;1;1;1,2;1;1;1;1;1;1;1;1,BRISC and BRCA1-A complex member 1,BABAM1,sp|Q9NWV8|BABA1_HUMAN BRISC and BRCA1-A complex member 1 OS=Homo sapiens OX=9606 GN=BABAM1 PE=1 SV=1;tr|M0QYV1|M0QYV1_HUMAN BRISC and BRCA1-A complex member 1 (Fragment) OS=Homo sapiens OX=9606 GN=BABAM1 PE=1 SV=1;tr|M0R3F4|M0R3F4_HUMAN BRISC and BRCA1-A c,2,2,5.8,3.85926602610109,3.93616518704728,23.1558249845697,24.2188931003175
O95816,O95816,4,4,4,BAG family molecular chaperone regulator 2,BAG2,sp|O95816|BAG2_HUMAN BAG family molecular chaperone regulator 2 OS=Homo sapiens OX=9606 GN=BAG2 PE=1 SV=1,4,4,20.9,3.85926602610109,3.93616518704728,26.0528119644165,25.0753701169745
O95817;C9JFK9,O95817;C9JFK9,21;11,21;11,21;11,BAG family molecular chaperone regulator 3,BAG3,sp|O95817|BAG3_HUMAN BAG family molecular chaperone regulator 3 OS=Homo sapiens OX=9606 GN=BAG3 PE=1 SV=3;tr|C9JFK9|C9JFK9_HUMAN BAG family molecular chaperone regulator 3 (Fragment) OS=Homo sapiens OX=9606 GN=BAG3 PE=1 SV=1,21,21,56.7,22.0781260445659,23.5809540985057,29.7115340971567,29.6951793239469
Q9UQB8;I3L4C2;B4DWA1;I3L3C6;I3L327;I3L1C8;I3L2M4;I3L125;I3L0M4;I3L3J7;I3L2J6;I3L113;I3L3C5;I3L526;I3L4A3;I3L0Y9,Q9UQB8;I3L4C2;B4DWA1;I3L3C6,14;12;8;7;5;5;5;4;4;4;3;3;3;3;2;1,14;12;8;7;5;5;5;4;4;4;3;3;3;3;2;1,14;12;8;7;5;5;5;4;4;4;3;3;3;3;2;1,Brain-specific angiogenesis inhibitor 1-associated protein 2,BAIAP2,sp|Q9UQB8|BAIP2_HUMAN Brain-specific angiogenesis inhibitor 1-associated protein 2 OS=Homo sapiens OX=9606 GN=BAIAP2 PE=1 SV=1;tr|I3L4C2|I3L4C2_HUMAN Brain-specific angiogenesis inhibitor 1-associated protein 2 OS=Homo sapiens OX=9606 GN=BAIAP2 PE=1 SV=1;t,14,14,33.3,23.3034061866546,24.0807755774603,27.6857880024593,26.987393269459
Q9NRL2;A0A087WWN7,Q9NRL2,6;1,6;1,6;1,Bromodomain adjacent to zinc finger domain protein 1A,BAZ1A,sp|Q9NRL2|BAZ1A_HUMAN Bromodomain adjacent to zinc finger domain protein 1A OS=Homo sapiens OX=9606 GN=BAZ1A PE=1 SV=2,6,6,6.6,3.85926602610109,3.93616518704728,25.3757386635099,25.129984142662
Q9UIG0,Q9UIG0,28,28,28,Tyrosine-protein kinase BAZ1B,BAZ1B,sp|Q9UIG0|BAZ1B_HUMAN Tyrosine-protein kinase BAZ1B OS=Homo sapiens OX=9606 GN=BAZ1B PE=1 SV=2,28,28,24.4,3.85926602610109,3.93616518704728,30.4188056798087,30.2267635252048
Q9UIF9;J3KPG5;F8VU39;H0YII3;A0A0C4DGI9,Q9UIF9;J3KPG5;F8VU39,7;7;7;3;2,7;7;7;3;2,7;7;7;3;2,Bromodomain adjacent to zinc finger domain protein 2A,BAZ2A,sp|Q9UIF9|BAZ2A_HUMAN Bromodomain adjacent to zinc finger domain protein 2A OS=Homo sapiens OX=9606 GN=BAZ2A PE=1 SV=4;tr|J3KPG5|J3KPG5_HUMAN Bromodomain adjacent to zinc finger domain protein 2A OS=Homo sapiens OX=9606 GN=BAZ2A PE=1 SV=1;tr|F8VU39|F8VU39_,7,7,3.7,3.85926602610109,3.93616518704728,25.9766620076691,25.6344200103084
Q8WY36;C9JA69;C9J8D0;C9JYU6;C9JZA0,Q8WY36;C9JA69,5;5;2;1;1,5;5;2;1;1,5;5;2;1;1,HMG box transcription factor BBX,BBX,sp|Q8WY36|BBX_HUMAN HMG box transcription factor BBX OS=Homo sapiens OX=9606 GN=BBX PE=1 SV=1;tr|C9JA69|C9JA69_HUMAN HMG box transcription factor BBX OS=Homo sapiens OX=9606 GN=BBX PE=1 SV=1,5,5,7.8,3.85926602610109,3.93616518704728,25.956841041722,26.1893146839428
P56945;A0A2R8Y5E4;A0A2R8YFK2;A0A2R8Y6M6;A0A2R8Y4C2;A0A2R8YFS8;A0A2R8Y8C4;A0A2R8Y5C9;A0A2R8Y596;H3BN62,P56945;A0A2R8Y5E4;A0A2R8YFK2;A0A2R8Y6M6;A0A2R8Y4C2;A0A2R8YFS8;A0A2R8Y8C4;A0A2R8Y5C9;A0A2R8Y596,4;4;4;4;4;4;4;4;4;1,4;4;4;4;4;4;4;4;4;1,4;4;4;4;4;4;4;4;4;1,Breast cancer anti-estrogen resistance protein 1,BCAR1,sp|P56945|BCAR1_HUMAN Breast cancer anti-estrogen resistance protein 1 OS=Homo sapiens OX=9606 GN=BCAR1 PE=1 SV=2;tr|A0A2R8Y5E4|A0A2R8Y5E4_HUMAN Breast cancer anti-estrogen resistance protein 1 OS=Homo sapiens OX=9606 GN=BCAR1 PE=1 SV=1;tr|A0A2R8YFK2|A0A2R,4,4,7.7,3.85926602610109,3.93616518704728,26.05920184905,25.27173913549
O75815,O75815,4,4,4,Breast cancer anti-estrogen resistance protein 3,BCAR3,sp|O75815|BCAR3_HUMAN Breast cancer anti-estrogen resistance protein 3 OS=Homo sapiens OX=9606 GN=BCAR3 PE=1 SV=1,4,4,8.0,26.6560233913145,27.4624820528539,23.2070226637855,23.9707069632311
Q9H6U6;K7ESE9;K7EJU7,Q9H6U6;K7ESE9,11;8;1,11;8;1,11;8;1,Breast carcinoma-amplified sequence 3,BCAS3,sp|Q9H6U6|BCAS3_HUMAN Breast carcinoma-amplified sequence 3 OS=Homo sapiens OX=9606 GN=BCAS3 PE=1 SV=3;tr|K7ESE9|K7ESE9_HUMAN Breast carcinoma-amplified sequence 3 OS=Homo sapiens OX=9606 GN=BCAS3 PE=1 SV=1,11,11,13.8,3.85926602610109,3.93616518704728,26.9256956833273,27.0887133616237
Q9P287,Q9P287,3,3,3,BRCA2 and CDKN1A-interacting protein,BCCIP,sp|Q9P287|BCCIP_HUMAN BRCA2 and CDKN1A-interacting protein OS=Homo sapiens OX=9606 GN=BCCIP PE=1 SV=1,3,3,9.9,3.85926602610109,3.93616518704728,25.1833255274448,25.1130289658643
Q92843;G3V3B7;G3V3G8;G3V5A9;G3V4B7,Q92843;G3V3B7;G3V3G8;G3V5A9;G3V4B7,2;2;2;2;2,2;2;2;2;2,2;2;2;2;2,Bcl-2-like protein 2,BCL2L2,sp|Q92843|B2CL2_HUMAN Bcl-2-like protein 2 OS=Homo sapiens OX=9606 GN=BCL2L2 PE=1 SV=2;tr|G3V3B7|G3V3B7_HUMAN Bcl-2-like protein 2 (Fragment) OS=Homo sapiens OX=9606 GN=BCL2L2 PE=1 SV=1;tr|G3V3G8|G3V3G8_HUMAN Bcl-2-like protein 2 (Fragment) OS=Homo sapiens,2,2,16.6,3.85926602610109,3.93616518704728,25.7820429794854,25.5113822922466
O00512,O00512,4,4,4,B-cell CLL/lymphoma 9 protein,BCL9,sp|O00512|BCL9_HUMAN B-cell CLL/lymphoma 9 protein OS=Homo sapiens OX=9606 GN=BCL9 PE=1 SV=4,4,4,3.6,3.85926602610109,3.93616518704728,25.1355527351802,23.7746479338494
Q86UU0;A0A087WZX0,Q86UU0;A0A087WZX0,3;3,3;3,3;3,B-cell CLL/lymphoma 9-like protein,BCL9L,sp|Q86UU0|BCL9L_HUMAN B-cell CLL/lymphoma 9-like protein OS=Homo sapiens OX=9606 GN=BCL9L PE=1 SV=1;tr|A0A087WZX0|A0A087WZX0_HUMAN B-cell CLL/lymphoma 9-like protein OS=Homo sapiens OX=9606 GN=BCL9L PE=1 SV=1,3,3,2.7,3.85926602610109,3.93616518704728,25.7456318599893,23.5819884945164
Q8TD16,Q8TD16,4,4,4,Protein bicaudal D homolog 2,BICD2,sp|Q8TD16|BICD2_HUMAN Protein bicaudal D homolog 2 OS=Homo sapiens OX=9606 GN=BICD2 PE=1 SV=1,4,4,6.7,3.85926602610109,3.93616518704728,24.8212367944061,23.9791069580875
Q9NR09;A0A3B3IUB9,Q9NR09;A0A3B3IUB9,5;5,5;5,5;5,Baculoviral IAP repeat-containing protein 6,BIRC6,sp|Q9NR09|BIRC6_HUMAN Baculoviral IAP repeat-containing protein 6 OS=Homo sapiens OX=9606 GN=BIRC6 PE=1 SV=2;tr|A0A3B3IUB9|A0A3B3IUB9_HUMAN Baculoviral IAP repeat-containing protein 6 (Fragment) OS=Homo sapiens OX=9606 GN=BIRC6 PE=1 SV=1,5,5,1.5,3.85926602610109,3.93616518704728,25.792307945627,24.6230469013116
Q13867;K7ES02;K7ESE8;J3KSD8;J3KS79;K7ENH5,Q13867;K7ES02;K7ESE8;J3KSD8,3;3;2;2;1;1,3;3;2;2;1;1,3;3;2;2;1;1,Bleomycin hydrolase,BLMH,sp|Q13867|BLMH_HUMAN Bleomycin hydrolase OS=Homo sapiens OX=9606 GN=BLMH PE=1 SV=1;tr|K7ES02|K7ES02_HUMAN Bleomycin hydrolase (Fragment) OS=Homo sapiens OX=9606 GN=BLMH PE=1 SV=1;tr|K7ESE8|K7ESE8_HUMAN Bleomycin hydrolase (Fragment) OS=Homo sapiens OX=9606,3,3,9.7,22.5753093388788,22.3794915385788,4.55445633867376,4.43650122396724
Q14692,Q14692,16,16,16,Ribosome biogenesis protein BMS1 homolog,BMS1,sp|Q14692|BMS1_HUMAN Ribosome biogenesis protein BMS1 homolog OS=Homo sapiens OX=9606 GN=BMS1 PE=1 SV=1,16,16,15.8,3.85926602610109,3.93616518704728,27.8112130785723,27.4050308055595
Q8NFC6;H0Y9Y2;Q96IK1;F8WDD0,Q8NFC6,28;4;1;1,28;4;1;1,28;4;1;1,Biorientation of chromosomes in cell division protein 1-like 1,BOD1L1,sp|Q8NFC6|BD1L1_HUMAN Biorientation of chromosomes in cell division protein 1-like 1 OS=Homo sapiens OX=9606 GN=BOD1L1 PE=1 SV=2,28,28,14.0,3.85926602610109,3.93616518704728,28.6425815794085,27.9520485465219
Q9H3K6;H3BV85;H3BPT9;H3BTW0;A0A0B4J295;A0A087WZT3;H3BVE0,Q9H3K6;H3BV85;H3BPT9;H3BTW0;A0A0B4J295;A0A087WZT3;H3BVE0,2;2;1;1;1;1;1,2;2;1;1;1;1;1,2;2;1;1;1;1;1,BolA-like protein 2,BOLA2;BOLA2B,sp|Q9H3K6|BOLA2_HUMAN BolA-like protein 2 OS=Homo sapiens OX=9606 GN=BOLA2 PE=1 SV=1;tr|H3BV85|H3BV85_HUMAN BolA-like protein 2 OS=Homo sapiens OX=9606 GN=BOLA2B PE=1 SV=2;tr|H3BPT9|H3BPT9_HUMAN BolA-like protein 2 OS=Homo sapiens OX=9606 GN=BOLA2B PE=1 SV,2,2,29.1,23.8422053041656,23.824930780088,24.2604050335537,23.1003870803596
O95861;A6NF51;F8VVW8;F8VZG4;F8W1J0,O95861;A6NF51;F8VVW8;F8VZG4;F8W1J0,2;2;1;1;1,2;2;1;1;1,2;2;1;1;1,"3(2),5-bisphosphate nucleotidase 1",BPNT1,"sp|O95861|BPNT1_HUMAN 3(2),5-bisphosphate nucleotidase 1 OS=Homo sapiens OX=9606 GN=BPNT1 PE=1 SV=1;tr|A6NF51|A6NF51_HUMAN 3(2),5-bisphosphate nucleotidase 1 OS=Homo sapiens OX=9606 GN=BPNT1 PE=1 SV=2;tr|F8VVW8|F8VVW8_HUMAN 3(2),5-bisphosphate nuc",2,2,4.9,21.6106319864842,22.441966400838,23.2583935074264,23.147806121378
Q12830;E7ETD6;E9PE19;A0A2R8Y7Q1;F5GXF5;J3QQK4;A0A0A0MR81;J3KSY0;J3QQQ8,Q12830;E7ETD6;E9PE19;A0A2R8Y7Q1;F5GXF5,14;14;14;14;13;2;2;1;1,14;14;14;14;13;2;2;1;1,14;14;14;14;13;2;2;1;1,Nucleosome-remodeling factor subunit BPTF,BPTF,sp|Q12830|BPTF_HUMAN Nucleosome-remodeling factor subunit BPTF OS=Homo sapiens OX=9606 GN=BPTF PE=1 SV=3;tr|E7ETD6|E7ETD6_HUMAN Nucleosome-remodeling factor subunit BPTF (Fragment) OS=Homo sapiens OX=9606 GN=BPTF PE=1 SV=3;tr|E9PE19|E9PE19_HUMAN Nucleosome,14,14,5.5,3.85926602610109,3.93616518704728,27.4906014370694,27.3432490269759
Q7Z569;J3KNN7,Q7Z569;J3KNN7,9;9,9;9,9;9,BRCA1-associated protein,BRAP,sp|Q7Z569|BRAP_HUMAN BRCA1-associated protein OS=Homo sapiens OX=9606 GN=BRAP PE=1 SV=2;tr|J3KNN7|J3KNN7_HUMAN BRCA1-associated protein OS=Homo sapiens OX=9606 GN=BRAP PE=1 SV=1,9,9,19.1,3.85926602610109,3.93616518704728,27.2739099667557,27.262754247559
O60885;M0QZD9;M0QYW0;Q15059;M0R0H4;A0A0G2JHN8;A0A140T9I1,O60885;M0QZD9,25;13;5;4;3;2;2,25;13;5;4;3;2;2,22;12;5;3;3;0;0,Bromodomain-containing protein 4,BRD4,sp|O60885|BRD4_HUMAN Bromodomain-containing protein 4 OS=Homo sapiens OX=9606 GN=BRD4 PE=1 SV=2;tr|M0QZD9|M0QZD9_HUMAN Bromodomain-containing protein 4 (Fragment) OS=Homo sapiens OX=9606 GN=BRD4 PE=1 SV=1,25,22,22.3,3.85926602610109,3.93616518704728,30.4252239082878,30.2798541111754
Q9BX63;J3QKX0;J3KS24,Q9BX63,10;3;1,10;3;1,10;3;1,Fanconi anemia group J protein,BRIP1,sp|Q9BX63|FANCJ_HUMAN Fanconi anemia group J protein OS=Homo sapiens OX=9606 GN=BRIP1 PE=1 SV=2,10,10,10.6,3.85926602610109,3.93616518704728,26.80624260096,26.7907927313024
Q9UPA5,Q9UPA5,2,2,2,Protein bassoon,BSN,sp|Q9UPA5|BSN_HUMAN Protein bassoon OS=Homo sapiens OX=9606 GN=BSN PE=1 SV=4,2,2,0.9,3.85926602610109,3.93616518704728,23.7839669896107,24.735467191381
O14981;A0A0A0MTH9,O14981;A0A0A0MTH9,7;7,7;7,7;7,TATA-binding protein-associated factor 172,BTAF1,sp|O14981|BTAF1_HUMAN TATA-binding protein-associated factor 172 OS=Homo sapiens OX=9606 GN=BTAF1 PE=1 SV=2;tr|A0A0A0MTH9|A0A0A0MTH9_HUMAN TATA-binding protein-associated factor 172 OS=Homo sapiens OX=9606 GN=BTAF1 PE=1 SV=1,7,7,5.5,3.85926602610109,3.93616518704728,26.0525010543948,25.852957291932
O60566;H0YMK5;H3BTB9,O60566,22;1;1,22;1;1,22;1;1,Mitotic checkpoint serine/threonine-protein kinase BUB1 beta,BUB1B,sp|O60566|BUB1B_HUMAN Mitotic checkpoint serine/threonine-protein kinase BUB1 beta OS=Homo sapiens OX=9606 GN=BUB1B PE=1 SV=3,22,22,27.3,24.697209392305,26.0438933857624,28.8203118182224,28.4046654583982
Q7L1Q6;Q9Y6E2;H0Y503;E9PFD4;B5MCE7;B5MCH7;E7ETZ4,Q7L1Q6,3;1;1;1;1;1;1,3;1;1;1;1;1;1,3;1;1;1;1;1;1,Basic leucine zipper and W2 domain-containing protein 1,BZW1,sp|Q7L1Q6|BZW1_HUMAN Basic leucine zipper and W2 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=BZW1 PE=1 SV=1,3,3,6.2,3.85926602610109,3.93616518704728,23.5258782423046,24.5158696832389
Q9H6J7;E9PI12;E9PI28,Q9H6J7;E9PI12,6;4;2,6;4;2,6;4;2,UPF0705 protein C11orf49,C11orf49,sp|Q9H6J7|CK049_HUMAN UPF0705 protein C11orf49 OS=Homo sapiens OX=9606 GN=C11orf49 PE=1 SV=2;tr|E9PI12|E9PI12_HUMAN UPF0705 protein C11orf49 OS=Homo sapiens OX=9606 GN=C11orf49 PE=1 SV=1,6,6,27.5,24.0243679864024,22.9298904607494,25.0297691323784,26.8215287689828
Q9Y224;G3V4C6;G3V4E7;H0YJB9,Q9Y224;G3V4C6;G3V4E7;H0YJB9,2;2;1;1,2;2;1;1,2;2;1;1,UPF0568 protein C14orf166,C14orf166,"sp|Q9Y224|RTRAF_HUMAN RNA transcription, translation and transport factor protein OS=Homo sapiens OX=9606 GN=RTRAF PE=1 SV=1;tr|G3V4C6|G3V4C6_HUMAN RNA transcription, translation and transport factor protein OS=Homo sapiens OX=9606 GN=RTRAF PE=1 SV=1;tr|G3",2,2,9.8,3.85926602610109,3.93616518704728,23.3280021005752,23.0454023982834
Q53F19,Q53F19,2,2,2,Uncharacterized protein C17orf85,C17orf85,sp|Q53F19|NCBP3_HUMAN Nuclear cap-binding protein subunit 3 OS=Homo sapiens OX=9606 GN=NCBP3 PE=1 SV=2,2,2,4.2,3.85926602610109,3.93616518704728,25.670417454131,25.552213624724
Q96B23;K7EQH1;A0A087WVF1,Q96B23;K7EQH1;A0A087WVF1,2;2;2,2;2;2,2;2;2,Uncharacterized protein C18orf25,C18orf25,sp|Q96B23|CR025_HUMAN Uncharacterized protein C18orf25 OS=Homo sapiens OX=9606 GN=C18orf25 PE=1 SV=3;tr|K7EQH1|K7EQH1_HUMAN Uncharacterized protein C18orf25 (Fragment) OS=Homo sapiens OX=9606 GN=C18orf25 PE=1 SV=1;tr|A0A087WVF1|A0A087WVF1_HUMAN Uncharacter,2,2,9.7,3.85926602610109,3.93616518704728,23.4612646017837,24.3673971534476
Q9BQ61;K7ELS0;K7ERU7;K7EN60,Q9BQ61;K7ELS0;K7ERU7;K7EN60,2;1;1;1,2;1;1;1,2;1;1;1,Uncharacterized protein C19orf43,C19orf43,sp|Q9BQ61|TRIR_HUMAN Telomerase RNA component interacting RNase OS=Homo sapiens OX=9606 GN=TRIR PE=1 SV=1;tr|K7ELS0|K7ELS0_HUMAN Telomerase RNA component-interacting RNase OS=Homo sapiens OX=9606 GN=TRIR PE=1 SV=1;tr|K7ERU7|K7ERU7_HUMAN Telomerase RNA comp,2,2,21.6,3.85926602610109,3.93616518704728,24.7162819267612,24.0197949881964
Q9H425;E5RFY9,Q9H425;E5RFY9,7;4,7;4,7;4,Uncharacterized protein C1orf198,C1orf198,sp|Q9H425|CA198_HUMAN Uncharacterized protein C1orf198 OS=Homo sapiens OX=9606 GN=C1orf198 PE=1 SV=1;tr|E5RFY9|E5RFY9_HUMAN Uncharacterized protein C1orf198 OS=Homo sapiens OX=9606 GN=C1orf198 PE=1 SV=1,7,7,30.6,3.85926602610109,3.93616518704728,26.2559831691626,26.0828185597648
Q8N6N3,Q8N6N3,3,3,3,UPF0690 protein C1orf52,C1orf52,sp|Q8N6N3|CA052_HUMAN UPF0690 protein C1orf52 OS=Homo sapiens OX=9606 GN=C1orf52 PE=1 SV=1,3,3,19.2,3.85926602610109,3.93616518704728,26.1144793200891,25.4620139240171
Q8TF44,Q8TF44,2,2,2,C2 calcium-dependent domain-containing protein 4C,C2CD4C,sp|Q8TF44|C2C4C_HUMAN C2 calcium-dependent domain-containing protein 4C OS=Homo sapiens OX=9606 GN=C2CD4C PE=1 SV=2,2,2,9.0,3.85926602610109,3.93616518704728,24.9492720390557,24.3178966976681
Q9NZ63,Q9NZ63,3,3,3,Uncharacterized protein C9orf78,C9orf78,sp|Q9NZ63|TLS1_HUMAN Telomere length and silencing protein 1 homolog OS=Homo sapiens OX=9606 GN=C9orf78 PE=1 SV=1,3,3,11.1,3.85926602610109,3.93616518704728,25.560896043755,24.3953217939116
Q01668;A0A1B0GUB6;A0A1B0GUN6;A0A1B0GWE1;A0A1W2PQ56;A0A1B0GTN0,Q01668;A0A1B0GUB6;A0A1B0GUN6,3;3;3;1;1;1,3;3;3;1;1;1,3;3;3;1;1;1,Voltage-dependent L-type calcium channel subunit alpha-1D,CACNA1D,sp|Q01668|CAC1D_HUMAN Voltage-dependent L-type calcium channel subunit alpha-1D OS=Homo sapiens OX=9606 GN=CACNA1D PE=1 SV=2;tr|A0A1B0GUB6|A0A1B0GUB6_HUMAN Voltage-dependent L-type calcium channel subunit alpha OS=Homo sapiens OX=9606 GN=CACNA1D PE=1 SV=1;,3,3,1.9,3.85926602610109,3.93616518704728,25.9331231370565,26.2907734478886
Q8WUQ7;K7EIU6;K7EMQ0;K7ENY9,Q8WUQ7;K7EIU6;K7EMQ0;K7ENY9,2;1;1;1,2;1;1;1,2;1;1;1,Cactin,CACTIN,sp|Q8WUQ7|CATIN_HUMAN Cactin OS=Homo sapiens OX=9606 GN=CACTIN PE=1 SV=3;tr|K7EIU6|K7EIU6_HUMAN Cactin (Fragment) OS=Homo sapiens OX=9606 GN=CACTIN PE=1 SV=1;tr|K7EMQ0|K7EMQ0_HUMAN Cactin (Fragment) OS=Homo sapiens OX=9606 GN=CACTIN PE=1 SV=1;tr|K7ENY9|K7E,2,2,4.1,3.85926602610109,3.93616518704728,24.9980741926777,24.0666929644928
Q86Y37,Q86Y37,4,4,4,CDK2-associated and cullin domain-containing protein 1,CACUL1,sp|Q86Y37|CACL1_HUMAN CDK2-associated and cullin domain-containing protein 1 OS=Homo sapiens OX=9606 GN=CACUL1 PE=1 SV=1,4,4,14.6,3.85926602610109,3.93616518704728,25.7676694336089,25.195354183215
Q9HB71;B2ZWH1,Q9HB71,13;1,13;1,13;1,Calcyclin-binding protein,CACYBP,sp|Q9HB71|CYBP_HUMAN Calcyclin-binding protein OS=Homo sapiens OX=9606 GN=CACYBP PE=1 SV=2,13,13,64.0,28.2482573927611,28.8826201026128,27.7087910022031,28.3516129896783
P27708;F8VPD4;H7BZB3;H7C2E4,P27708;F8VPD4,9;9;1;1,9;9;1;1,9;9;1;1,CAD protein;Glutamine-dependent carbamoyl-phosphate synthase;Aspartate carbamoyltransferase;Dihydroorotase,CAD,sp|P27708|PYR1_HUMAN CAD protein OS=Homo sapiens OX=9606 GN=CAD PE=1 SV=3;tr|F8VPD4|F8VPD4_HUMAN CAD protein OS=Homo sapiens OX=9606 GN=CAD PE=1 SV=1,9,9,5.3,3.85926602610109,3.93616518704728,26.0691950447985,25.2175995182346
P22676;H3BMN5;H3BN14;P05937;A6NER6,P22676;H3BMN5;H3BN14,3;2;2;1;1,3;2;2;1;1,3;2;2;1;1,Calretinin,CALB2,sp|P22676|CALB2_HUMAN Calretinin OS=Homo sapiens OX=9606 GN=CALB2 PE=2 SV=2;tr|H3BMN5|H3BMN5_HUMAN Calretinin (Fragment) OS=Homo sapiens OX=9606 GN=CALB2 PE=1 SV=2;tr|H3BN14|H3BN14_HUMAN Calretinin (Fragment) OS=Homo sapiens OX=9606 GN=CALB2 PE=1 SV=2,3,3,12.2,3.85926602610109,3.93616518704728,25.5881793441473,24.9986048903373
