Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity WSB2-N1,Intensity WSB2-N2,Intensity IP-BirA-alone-N1,Intensity IP-BirA-alone-N2
Q96EK7;F5GY05;A0A0D9SEJ5,Q96EK7;F5GY05;A0A0D9SEJ5,4;4;4,4;4;4,4;4;4,Constitutive coactivator of peroxisome proliferator-activated receptor gamma,FAM120B,sp|Q96EK7|F120B_HUMAN Constitutive coactivator of peroxisome proliferator-activated receptor gamma OS=Homo sapiens OX=9606 GN=FAM120B PE=1 SV=1;tr|F5GY05|F5GY05_HUMAN Constitutive coactivator of peroxisome proliferator-activated receptor gamma OS=Homo sapi,4,4,5.2,4.25717907948666,4.09415654932906,23.2712760767728,24.697315461124
Q96TA1,Q96TA1,11,11,11,Niban-like protein 1,FAM129B,sp|Q96TA1|NIBA2_HUMAN Protein Niban 2 OS=Homo sapiens OX=9606 GN=NIBAN2 PE=1 SV=3,11,11,21.8,4.25717907948666,4.09415654932906,27.9968500551565,27.7728498537481
Q9P2D6;D6RCC7;H7BXC5;D6RC17;Q49AJ0;D6RFG9;E5RH68;D6REA8;E5RFQ7;J3QSR3,Q9P2D6;D6RCC7,5;4;2;2;1;1;1;1;1;1,5;4;2;2;1;1;1;1;1;1,5;4;2;2;1;1;1;1;1;1,Protein FAM135A,FAM135A,sp|Q9P2D6|F135A_HUMAN Protein FAM135A OS=Homo sapiens OX=9606 GN=FAM135A PE=1 SV=2;tr|D6RCC7|D6RCC7_HUMAN Protein FAM135A OS=Homo sapiens OX=9606 GN=FAM135A PE=1 SV=1,5,5,3.1,24.4901423455648,23.7402170000315,24.6459789570026,24.3674638106445
Q6P995,Q6P995,3,3,3,Protein FAM171B,FAM171B,sp|Q6P995|F171B_HUMAN Protein FAM171B OS=Homo sapiens OX=9606 GN=FAM171B PE=2 SV=3,3,3,6.2,23.5114921424223,22.2473086776789,25.7324425910744,23.7827679079175
Q9GZU8;H3BQQ6;H3BTI2;H3BTP8;H3BSY6;H3BP64;H3BUL4;H3BMX9;H3BPH9;H3BPF9;H3BN22;Q6P4H7;H3BSF0;H3BU93;H3BNK9,Q9GZU8;H3BQQ6;H3BTI2;H3BTP8;H3BSY6;H3BP64;H3BUL4;H3BMX9;H3BPH9;H3BPF9;H3BN22;Q6P4H7;H3BSF0;H3BU93,4;3;3;3;3;3;3;3;2;2;2;2;2;2;1,4;3;3;3;3;3;3;3;2;2;2;2;2;2;1,4;3;3;3;3;3;3;3;2;2;2;2;2;2;1,Protein FAM192A,FAM192A;NIP30,sp|Q9GZU8|PIP30_HUMAN PSME3-interacting protein OS=Homo sapiens OX=9606 GN=PSME3IP1 PE=1 SV=1;tr|H3BQQ6|H3BQQ6_HUMAN PSME3-interacting protein (Fragment) OS=Homo sapiens OX=9606 GN=PSME3IP1 PE=1 SV=1;tr|H3BTI2|H3BTI2_HUMAN PSME3-interacting protein (Fragme,4,4,17.3,4.25717907948666,4.09415654932906,26.8000824932196,26.7844413509302
C9JLW8;I3L2L5;I3L317;I3L4Q0,C9JLW8;I3L2L5;I3L317;I3L4Q0,2;2;2;2,2;2;2;2,2;2;2;2,Protein FAM195B,FAM195B,sp|C9JLW8|MCRI1_HUMAN Mapk-regulated corepressor-interacting protein 1 OS=Homo sapiens OX=9606 GN=MCRIP1 PE=1 SV=1;tr|I3L2L5|I3L2L5_HUMAN Mapk-regulated corepressor-interacting protein 1 OS=Homo sapiens OX=9606 GN=MCRIP1 PE=1 SV=1;tr|I3L317|I3L317_HUMAN Ma,2,2,20.6,4.25717907948666,4.09415654932906,23.1742472853396,24.3642441121365
Q9NSI2;C9JJU7,Q9NSI2;C9JJU7,6;4,6;4,6;4,Protein FAM207A,FAM207A,sp|Q9NSI2|F207A_HUMAN Protein FAM207A OS=Homo sapiens OX=9606 GN=FAM207A PE=1 SV=2;tr|C9JJU7|C9JJU7_HUMAN Protein FAM207A (Fragment) OS=Homo sapiens OX=9606 GN=FAM207A PE=1 SV=1,6,6,35.2,4.25717907948666,4.09415654932906,27.2262812066933,27.2216795982983
Q9UK61;A0A087X0F1,Q9UK61;A0A087X0F1,24;14,24;14,24;14,Protein FAM208A,FAM208A,sp|Q9UK61|TASOR_HUMAN Protein TASOR OS=Homo sapiens OX=9606 GN=TASOR PE=1 SV=3;tr|A0A087X0F1|A0A087X0F1_HUMAN Protein TASOR OS=Homo sapiens OX=9606 GN=TASOR PE=1 SV=1,24,24,17.8,4.25717907948666,4.09415654932906,28.6031803980059,28.2746654324569
Q5VWN6;A0A2R8YH03,Q5VWN6;A0A2R8YH03,16;16,16;16,16;16,Protein FAM208B,FAM208B,sp|Q5VWN6|TASO2_HUMAN Protein TASOR 2 OS=Homo sapiens OX=9606 GN=TASOR2 PE=1 SV=1;tr|A0A2R8YH03|A0A2R8YH03_HUMAN Protein TASOR 2 OS=Homo sapiens OX=9606 GN=TASOR2 PE=1 SV=1,16,16,10.8,22.691619150598,22.2902119639437,27.6065375999491,27.1419963997257
Q641Q2;F8W7U3;E7ESD2;A0A087WYF6;Q5T1D7,Q641Q2;F8W7U3;E7ESD2;A0A087WYF6,42;40;40;36;2,42;40;40;36;2,9;8;9;9;1,WASH complex subunit FAM21A,FAM21A,sp|Q641Q2|WAC2A_HUMAN WASH complex subunit 2A OS=Homo sapiens OX=9606 GN=WASHC2A PE=1 SV=3;tr|F8W7U3|F8W7U3_HUMAN WASH complex subunit 2A OS=Homo sapiens OX=9606 GN=WASHC2A PE=1 SV=1;tr|E7ESD2|E7ESD2_HUMAN WASH complex subunit 2A OS=Homo sapiens OX=9606 GN,42,9,53.4,24.3853495101762,23.9835496417351,30.9634764964516,30.6635663559679
A0A0A0MR88;A0A096LPC5;Q9Y4E1;J3KP36;Q5SRD0;A0A0A0MT65;B1AP61,A0A0A0MR88;A0A096LPC5;Q9Y4E1;J3KP36,42;42;40;38;10;9;5,9;9;9;9;4;1;0,9;9;9;9;4;1;0,WASH complex subunit FAM21C,FAM21C,tr|A0A0A0MR88|A0A0A0MR88_HUMAN WASH complex subunit 2C OS=Homo sapiens OX=9606 GN=WASHC2C PE=1 SV=1;tr|A0A096LPC5|A0A096LPC5_HUMAN WASH complex subunit 2C OS=Homo sapiens OX=9606 GN=WASHC2C PE=1 SV=1;sp|Q9Y4E1|WAC2C_HUMAN WASH complex subunit 2C OS=Homo sa,42,9,53.9,4.25717907948666,4.09415654932906,27.8820369834743,26.4981097678877
Q14320;B0S8I6;Q9Y247,Q14320;B0S8I6,8;6;1,8;6;1,8;6;1,Protein FAM50A,FAM50A,sp|Q14320|FA50A_HUMAN Protein FAM50A OS=Homo sapiens OX=9606 GN=FAM50A PE=1 SV=2;tr|B0S8I6|B0S8I6_HUMAN Protein FAM50A (Fragment) OS=Homo sapiens OX=9606 GN=FAM50A PE=1 SV=1,8,8,26.8,4.25717907948666,4.09415654932906,27.4733621575189,27.0604393287893
Q96LP2;H0Y9S5;H0Y8I8;H0Y947,Q96LP2;H0Y9S5;H0Y8I8;H0Y947,2;1;1;1,2;1;1;1,2;1;1;1,Protein FAM81B,FAM81B,sp|Q96LP2|FA81B_HUMAN Protein FAM81B OS=Homo sapiens OX=9606 GN=FAM81B PE=1 SV=4;tr|H0Y9S5|H0Y9S5_HUMAN Protein FAM81B (Fragment) OS=Homo sapiens OX=9606 GN=FAM81B PE=1 SV=1;tr|H0Y8I8|H0Y8I8_HUMAN Protein FAM81B (Fragment) OS=Homo sapiens OX=9606 GN=FAM81B,2,2,4.0,25.0685903079069,23.9818961228826,24.6825501689782,24.5053282412796
A6ND36;K7EKG0,A6ND36,7;1,7;1,7;1,Protein FAM83G,FAM83G,sp|A6ND36|FA83G_HUMAN Protein FAM83G OS=Homo sapiens OX=9606 GN=FAM83G PE=1 SV=2,7,7,12.6,4.25717907948666,4.09415654932906,26.3280021005752,26.0626847048711
Q658Y4;E7ER68;G3V120;H0YBR6;H0YC80,Q658Y4;E7ER68,25;23;7;3;2,25;23;7;3;2,22;20;7;3;2,Protein FAM91A1,FAM91A1,sp|Q658Y4|F91A1_HUMAN Protein FAM91A1 OS=Homo sapiens OX=9606 GN=FAM91A1 PE=1 SV=3;tr|E7ER68|E7ER68_HUMAN Protein FAM91A1 OS=Homo sapiens OX=9606 GN=FAM91A1 PE=1 SV=1,25,22,37.8,27.0374770778953,26.2496684477231,30.3908977201862,30.1762891686655
H3BQW7;O15360,H3BQW7;O15360,2;1,2;1,2;1,Fanconi anemia group A protein,FANCA,tr|H3BQW7|H3BQW7_HUMAN Fanconi anemia group A protein (Fragment) OS=Homo sapiens OX=9606 GN=FANCA PE=1 SV=1;sp|O15360|FANCA_HUMAN Fanconi anemia group A protein OS=Homo sapiens OX=9606 GN=FANCA PE=1 SV=2,2,2,32.7,29.7713805359516,29.4559339768411,23.7722332125255,23.3683966881687
Q9Y285;K7EK06;K7ER16,Q9Y285;K7EK06;K7ER16,3;2;2,3;2;2,2;2;2,Phenylalanine--tRNA ligase alpha subunit,FARSA,sp|Q9Y285|SYFA_HUMAN Phenylalanine--tRNA ligase alpha subunit OS=Homo sapiens OX=9606 GN=FARSA PE=1 SV=3;tr|K7EK06|K7EK06_HUMAN Phenylalanine--tRNA ligase alpha subunit (Fragment) OS=Homo sapiens OX=9606 GN=FARSA PE=1 SV=8;tr|K7ER16|K7ER16_HUMAN Phenylalan,3,2,6.9,4.25717907948666,4.09415654932906,23.2592559335002,23.8329664810558
Q9NSD9,Q9NSD9,6,6,6,Phenylalanine--tRNA ligase beta subunit,FARSB,sp|Q9NSD9|SYFB_HUMAN Phenylalanine--tRNA ligase beta subunit OS=Homo sapiens OX=9606 GN=FARSB PE=1 SV=3,6,6,10.7,24.5304101474575,23.8059365866694,25.7214282102378,24.9700047509803
P49327;A0A0U1RQF0;A0A0U1RRG3;A0A1B0GTR5;J3KTF0,P49327;A0A0U1RQF0,122;121;8;1;1,122;121;8;1;1,122;121;8;1;1,Fatty acid synthase;[Acyl-carrier-protein] S-acetyltransferase;[Acyl-carrier-protein] S-malonyltransferase;3-oxoacyl-[acyl-carrier-protein] synthase;3-oxoacyl-[acyl-carrier-protein] reductase;3-hydroxyacyl-[acyl-carrier-protein] dehydratase;Enoyl-[acyl-carrier-protein] reductase;Oleoyl-[acyl-carrier-protein] hydrolase,FASN,sp|P49327|FAS_HUMAN Fatty acid synthase OS=Homo sapiens OX=9606 GN=FASN PE=1 SV=3;tr|A0A0U1RQF0|A0A0U1RQF0_HUMAN Fatty acid synthase OS=Homo sapiens OX=9606 GN=FASN PE=1 SV=1,122,122,63.6,32.892167879408,31.0755256857445,36.3084739862628,36.2696607478057
Q6V0I7,Q6V0I7,2,2,2,Protocadherin Fat 4,FAT4,sp|Q6V0I7|FAT4_HUMAN Protocadherin Fat 4 OS=Homo sapiens OX=9606 GN=FAT4 PE=1 SV=2,2,2,0.9,4.25717907948666,4.09415654932906,29.7632083389711,23.5493372151286
P22087;M0R0P1;M0R299;M0QXL5;M0R2Q4;M0R2U2;M0R1H0;M0R2B0;A6NHQ2,P22087;M0R0P1;M0R299;M0QXL5;M0R2Q4;M0R2U2;M0R1H0;M0R2B0,3;3;3;3;3;2;2;2;1,3;3;3;3;3;2;2;2;1,3;3;3;3;3;2;2;2;1,rRNA 2-O-methyltransferase fibrillarin,FBL,sp|P22087|FBRL_HUMAN rRNA 2-O-methyltransferase fibrillarin OS=Homo sapiens OX=9606 GN=FBL PE=1 SV=2;tr|M0R0P1|M0R0P1_HUMAN rRNA 2-O-methyltransferase fibrillarin (Fragment) OS=Homo sapiens OX=9606 GN=FBL PE=1 SV=1;tr|M0R299|M0R299_HUMAN rRNA 2-O-methyl,3,3,13.4,26.0923072800898,22.8413032778773,23.8437393722741,23.3639935461289
Q8TB52,Q8TB52,6,6,6,F-box only protein 30,FBXO30,sp|Q8TB52|FBX30_HUMAN F-box only protein 30 OS=Homo sapiens OX=9606 GN=FBXO30 PE=1 SV=3,6,6,11.4,4.25717907948666,4.09415654932906,25.6626431701312,26.3398048875204
Q0JRZ9;H0YAE2;H7BXJ4,Q0JRZ9,3;1;1,3;1;1,3;1;1,F-BAR domain only protein 2,FCHO2,sp|Q0JRZ9|FCHO2_HUMAN F-BAR domain only protein 2 OS=Homo sapiens OX=9606 GN=FCHO2 PE=1 SV=2,3,3,5.3,24.1302198707267,25.1390337804539,23.1259866214458,22.9616220848894
P39748;I3L3E9;F5H1Y3,P39748;I3L3E9,11;6;4,11;6;4,11;6;4,Flap endonuclease 1,FEN1,sp|P39748|FEN1_HUMAN Flap endonuclease 1 OS=Homo sapiens OX=9606 GN=FEN1 PE=1 SV=1;tr|I3L3E9|I3L3E9_HUMAN Flap endonuclease 1 (Fragment) OS=Homo sapiens OX=9606 GN=FEN1 PE=1 SV=1,11,11,41.1,23.6726224667519,22.4867712032025,29.2538347562431,29.1724552831291
Q96AC1;H0YJ34;A0A0U1RRM8;H0YJB6;G3V281;G3V5R2;G3V3J0;Q9BQL6;G3V379;G3V1L6,Q96AC1;H0YJ34;A0A0U1RRM8,16;14;12;4;4;3;2;1;1;1,16;14;12;4;4;3;2;1;1;1,16;14;12;4;4;3;2;1;1;1,Fermitin family homolog 2,FERMT2,sp|Q96AC1|FERM2_HUMAN Fermitin family homolog 2 OS=Homo sapiens OX=9606 GN=FERMT2 PE=1 SV=1;tr|H0YJ34|H0YJ34_HUMAN Fermitin family homolog 2 (Fragment) OS=Homo sapiens OX=9606 GN=FERMT2 PE=1 SV=1;tr|A0A0U1RRM8|A0A0U1RRM8_HUMAN Fermitin family homolog 2 (Fr,16,16,29.3,24.398298137206,22.9076021989463,28.4833537213697,28.2519629858196
O95684;A0A087WV25,O95684;A0A087WV25,9;8,9;8,9;8,FGFR1 oncogene partner,FGFR1OP,sp|O95684|CEP43_HUMAN Centrosomal protein 43 OS=Homo sapiens OX=9606 GN=CEP43 PE=1 SV=1;tr|A0A087WV25|A0A087WV25_HUMAN Centrosomal protein 43 OS=Homo sapiens OX=9606 GN=CEP43 PE=1 SV=1,9,9,33.6,4.25717907948666,4.09415654932906,27.2201117019832,27.0773479061653
Q13642;A0A0D9SFI6;A0A0D9SFB0;Q5JXH9;A0A0D9SFZ9;Q5JXH8;Q5JXH7;Q5JXI3;Q5JXI2;Q5JXI8;A0A494C0D6;A0A494C0J3;A0A0D9SGD1;A0A0D9SGB2;Q5JXI0,Q13642;A0A0D9SFI6;A0A0D9SFB0;Q5JXH9;A0A0D9SFZ9;Q5JXH8;Q5JXH7;Q5JXI3;Q5JXI2;Q5JXI8;A0A494C0D6;A0A494C0J3;A0A0D9SGD1;A0A0D9SGB2;Q5JXI0,2;2;2;2;2;2;2;2;2;2;2;1;1;1;1,2;2;2;2;2;2;2;2;2;2;2;1;1;1;1,2;2;2;2;2;2;2;2;2;2;2;1;1;1;1,Four and a half LIM domains protein 1,FHL1,sp|Q13642|FHL1_HUMAN Four and a half LIM domains protein 1 OS=Homo sapiens OX=9606 GN=FHL1 PE=1 SV=4;tr|A0A0D9SFI6|A0A0D9SFI6_HUMAN Four and a half LIM domains protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=FHL1 PE=1 SV=1;tr|A0A0D9SFB0|A0A0D9SFB0_HUMAN Fo,2,2,5.9,4.25717907948666,4.09415654932906,24.5689469641965,24.8047911850015
Q14192,Q14192,2,2,2,Four and a half LIM domains protein 2,FHL2,sp|Q14192|FHL2_HUMAN Four and a half LIM domains protein 2 OS=Homo sapiens OX=9606 GN=FHL2 PE=1 SV=3,2,2,8.6,23.2057556707713,23.3365779141622,4.51247618958678,4.42747165566269
Q9Y613;H3BVE7;J3KTH7,Q9Y613,27;4;1,27;4;1,27;4;1,FH1/FH2 domain-containing protein 1,FHOD1,sp|Q9Y613|FHOD1_HUMAN FH1/FH2 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=FHOD1 PE=1 SV=3,27,27,33.2,22.4741237960437,24.3464482652029,29.5271803861285,29.5857391372768
Q6UN15;A0A0B4J203;H0Y8P7,Q6UN15;A0A0B4J203,8;5;1,8;5;1,8;5;1,Pre-mRNA 3-end-processing factor FIP1,FIP1L1,sp|Q6UN15|FIP1_HUMAN Pre-mRNA 3-end-processing factor FIP1 OS=Homo sapiens OX=9606 GN=FIP1L1 PE=1 SV=1;tr|A0A0B4J203|A0A0B4J203_HUMAN Protein kinase domain-containing protein OS=Homo sapiens OX=9606 PE=3 SV=1,8,8,17.2,4.25717907948666,4.09415654932906,28.6647873119266,28.0338592621192
Q00688;G3V5F2,Q00688,5;1,5;1,5;1,Peptidyl-prolyl cis-trans isomerase FKBP3,FKBP3,sp|Q00688|FKBP3_HUMAN Peptidyl-prolyl cis-trans isomerase FKBP3 OS=Homo sapiens OX=9606 GN=FKBP3 PE=1 SV=1,5,5,25.9,4.25717907948666,4.09415654932906,26.9601377215209,26.5044885461457
Q02790;F5H1U3;H0YFG2;F5H120,Q02790,18;5;3;1,18;5;3;1,18;5;3;1,"Peptidyl-prolyl cis-trans isomerase FKBP4;Peptidyl-prolyl cis-trans isomerase FKBP4, N-terminally processed",FKBP4,sp|Q02790|FKBP4_HUMAN Peptidyl-prolyl cis-trans isomerase FKBP4 OS=Homo sapiens OX=9606 GN=FKBP4 PE=1 SV=3,18,18,51.0,29.3426346047944,29.0792059835031,27.2430898491503,26.9509368998026
Q60FE5;A0A087WWY3,Q60FE5;A0A087WWY3,148;124,2;2,2;2,,FLNA,tr|Q60FE5|Q60FE5_HUMAN Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=1;tr|A0A087WWY3|A0A087WWY3_HUMAN Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=1,148,2,71.7,26.5521549797761,26.0612715590408,30.4711151495626,30.9903720871198
P21333;F8WE98;H0Y5F3;A0A669KBC6;H7C2E7,P21333,149;32;10;2;2,149;32;10;2;2,3;2;0;0;0,Filamin-A,FLNA,sp|P21333|FLNA_HUMAN Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4,149,3,71.8,35.6439880944378,35.2003663957776,38.3247076058652,38.152381423805
O75369;E7EN95;H7C5L4;A0A0A0MT44;A0A0C4DGA1,O75369;E7EN95,84;72;3;3;1,71;69;3;3;1,71;69;3;3;1,Filamin-B,FLNB,sp|O75369|FLNB_HUMAN Filamin-B OS=Homo sapiens OX=9606 GN=FLNB PE=1 SV=2;tr|E7EN95|E7EN95_HUMAN Filamin-B OS=Homo sapiens OX=9606 GN=FLNB PE=1 SV=1,84,71,44.0,24.5575403606851,23.4294363696176,31.2465482595265,31.0725261196501
Q14315,Q14315,87,76,72,Filamin-C,FLNC,sp|Q14315|FLNC_HUMAN Filamin-C OS=Homo sapiens OX=9606 GN=FLNC PE=1 SV=3,87,72,42.5,29.5434417612698,27.9293690377477,32.101869223689,31.958299479434
O95466;K7EJE6;A0A0A0MR62;K7EK60,O95466;K7EJE6;A0A0A0MR62;K7EK60,4;3;3;3,4;3;3;3,4;3;3;3,Formin-like protein 1,FMNL1,sp|O95466|FMNL1_HUMAN Formin-like protein 1 OS=Homo sapiens OX=9606 GN=FMNL1 PE=1 SV=3;tr|K7EJE6|K7EJE6_HUMAN Formin-like protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=FMNL1 PE=1 SV=1;tr|A0A0A0MR62|A0A0A0MR62_HUMAN Formin-like protein 1 OS=Homo sapiens O,4,4,5.8,4.25717907948666,4.09415654932906,24.7762052961063,24.6059727232619
Q06787;Q8IXW7;A0A087WXI3;R9WNI0;A8MQB8;G3V0J0;A0A087WWR6;A0A087WY29;A0A087X1M7;A0A087WWU4,Q06787;Q8IXW7;A0A087WXI3;R9WNI0;A8MQB8;G3V0J0;A0A087WWR6;A0A087WY29,3;3;3;3;3;3;2;2;1;1,2;2;2;2;2;2;1;1;1;1,2;2;2;2;2;2;1;1;1;1,Fragile X mental retardation protein 1,FMR1,sp|Q06787|FMR1_HUMAN Synaptic functional regulator FMR1 OS=Homo sapiens OX=9606 GN=FMR1 PE=1 SV=1;tr|Q8IXW7|Q8IXW7_HUMAN FMR1 protein OS=Homo sapiens OX=9606 GN=FMR1 PE=1 SV=1;tr|A0A087WXI3|A0A087WXI3_HUMAN Synaptic functional regulator FMR1 OS=Homo sapien,3,2,6.6,4.25717907948666,4.09415654932906,23.6332285132463,22.2837903616895
Q9HA64;I3L378;I3L2G3,Q9HA64;I3L378;I3L2G3,2;1;1,2;1;1,2;1;1,Ketosamine-3-kinase,FN3KRP,sp|Q9HA64|KT3K_HUMAN Ketosamine-3-kinase OS=Homo sapiens OX=9606 GN=FN3KRP PE=1 SV=2;tr|I3L378|I3L378_HUMAN Ketosamine-3-kinase (Fragment) OS=Homo sapiens OX=9606 GN=FN3KRP PE=1 SV=8;tr|I3L2G3|I3L2G3_HUMAN Ketosamine-3-kinase (Fragment) OS=Homo sapiens OX=,2,2,7.8,24.034898346436,21.6084226866696,4.51247618958678,4.42747165566269
Q5T0N5;A0A075B6Q2;S4R347,Q5T0N5;A0A075B6Q2;S4R347,3;3;3,3;3;3,3;3;3,Formin-binding protein 1-like,FNBP1L,sp|Q5T0N5|FBP1L_HUMAN Formin-binding protein 1-like OS=Homo sapiens OX=9606 GN=FNBP1L PE=1 SV=3;tr|A0A075B6Q2|A0A075B6Q2_HUMAN Formin-binding protein 1-like (Fragment) OS=Homo sapiens OX=9606 GN=FNBP1L PE=1 SV=1;tr|S4R347|S4R347_HUMAN Formin-binding protei,3,3,8.4,4.25717907948666,4.09415654932906,25.10976530873,22.1381180275846
Q8N3X1;F5GXL1,Q8N3X1,12;2,12;2,12;2,Formin-binding protein 4,FNBP4,sp|Q8N3X1|FNBP4_HUMAN Formin-binding protein 4 OS=Homo sapiens OX=9606 GN=FNBP4 PE=1 SV=3,12,12,14.9,4.25717907948666,4.09415654932906,27.962952737128,27.9667525659425
Q9Y2H6;H7C507;A0A087X1M6;G5E9X3,Q9Y2H6;H7C507;A0A087X1M6;G5E9X3,2;1;1;1,2;1;1;1,2;1;1;1,Fibronectin type-III domain-containing protein 3A,FNDC3A,sp|Q9Y2H6|FND3A_HUMAN Fibronectin type-III domain-containing protein 3A OS=Homo sapiens OX=9606 GN=FNDC3A PE=1 SV=4;tr|H7C507|H7C507_HUMAN Fibronectin type-III domain-containing protein 3A (Fragment) OS=Homo sapiens OX=9606 GN=FNDC3A PE=1 SV=1;tr|A0A087X1M,2,2,3.0,4.25717907948666,4.09415654932906,23.6713086818261,24.2073950971306
P15407,P15407,2,2,2,Fos-related antigen 1,FOSL1,sp|P15407|FOSL1_HUMAN Fos-related antigen 1 OS=Homo sapiens OX=9606 GN=FOSL1 PE=1 SV=1,2,2,11.4,4.25717907948666,4.09415654932906,24.9711456723848,23.1471229241958
P85037;U3KQ26,P85037,15;2,15;2,14;2,Forkhead box protein K1,FOXK1,sp|P85037|FOXK1_HUMAN Forkhead box protein K1 OS=Homo sapiens OX=9606 GN=FOXK1 PE=1 SV=1,15,14,26.5,4.25717907948666,4.09415654932906,27.7844413509302,27.69252132487
Q01167;E9PPI7;E9PM37,Q01167,6;2;1,5;1;0,5;1;0,Forkhead box protein K2,FOXK2,sp|Q01167|FOXK2_HUMAN Forkhead box protein K2 OS=Homo sapiens OX=9606 GN=FOXK2 PE=1 SV=3,6,5,15.0,4.25717907948666,4.09415654932906,25.5489258309155,25.7411373592665
O94915;A0A286YEZ9;A0A2C9F2R7;A0A669KB90;H0Y9X0;F2Z2S2;Q5TBA9;A0A2R8YCY2;A0A0C4DFX2;A0A286YFA9;A0A2R8Y5V8,O94915;A0A286YEZ9;A0A2C9F2R7,7;5;5;2;2;2;1;1;1;1;1,7;5;5;2;2;2;1;1;1;1;1,7;5;5;2;2;2;1;1;1;1;1,Protein furry homolog-like,FRYL,sp|O94915|FRYL_HUMAN Protein furry homolog-like OS=Homo sapiens OX=9606 GN=FRYL PE=1 SV=2;tr|A0A286YEZ9|A0A286YEZ9_HUMAN Protein furry homolog-like (Fragment) OS=Homo sapiens OX=9606 GN=FRYL PE=1 SV=1;tr|A0A2C9F2R7|A0A2C9F2R7_HUMAN Protein furry homolog-li,7,7,3.1,4.25717907948666,4.09415654932906,25.4118013725793,25.7810424801017
Q16658;C9JPH9;C9JFC0;A0A0A0MSB2,Q16658,5;1;1;1,5;1;1;1,5;1;1;1,Fascin,FSCN1,sp|Q16658|FSCN1_HUMAN Fascin OS=Homo sapiens OX=9606 GN=FSCN1 PE=1 SV=3,5,5,12.6,25.8285427011052,26.1645554304218,4.51247618958678,4.42747165566269
Q8IY81;J3KS36,Q8IY81,13;1,13;1,13;1,pre-rRNA processing protein FTSJ3,FTSJ3,sp|Q8IY81|SPB1_HUMAN pre-rRNA 2-O-ribose RNA methyltransferase FTSJ3 OS=Homo sapiens OX=9606 GN=FTSJ3 PE=1 SV=2,13,13,26.6,4.25717907948666,4.09415654932906,28.733341585393,28.6616650349196
Q96AE4;E9PEB5;M0R251;M0QYG1;M0R263;M0R0C6,Q96AE4;E9PEB5,15;15;2;2;2;2,13;13;0;0;0;0,7;7;0;0;0;0,Far upstream element-binding protein 1,FUBP1,sp|Q96AE4|FUBP1_HUMAN Far upstream element-binding protein 1 OS=Homo sapiens OX=9606 GN=FUBP1 PE=1 SV=3;tr|E9PEB5|E9PEB5_HUMAN Far upstream element-binding protein 1 OS=Homo sapiens OX=9606 GN=FUBP1 PE=1 SV=1,15,7,29.7,23.5498844996417,21.9607740642678,28.5665247890513,28.1005916044721
Q96I24;A0A494C1K6,Q96I24,11;1,10;1,10;1,Far upstream element-binding protein 3,FUBP3,sp|Q96I24|FUBP3_HUMAN Far upstream element-binding protein 3 OS=Homo sapiens OX=9606 GN=FUBP3 PE=1 SV=2,11,10,23.8,24.4829093919079,23.6561097071987,27.9436343571982,28.0225807382957
P35637;H3BPE7,P35637;H3BPE7,5;5,5;5,3;3,RNA-binding protein FUS,FUS,sp|P35637|FUS_HUMAN RNA-binding protein FUS OS=Homo sapiens OX=9606 GN=FUS PE=1 SV=1;tr|H3BPE7|H3BPE7_HUMAN RNA-binding protein FUS OS=Homo sapiens OX=9606 GN=FUS PE=1 SV=1,5,3,11.6,23.8813365076282,23.5053066323831,27.5319275368689,27.2280259766954
P51114;B4DXZ6;E7EU85;E9PFF5;C9JZE0;C9JY20;C9IZ22,P51114;B4DXZ6;E7EU85;E9PFF5,11;11;10;10;2;2;1,11;11;10;10;2;2;1,8;8;8;8;2;2;1,Fragile X mental retardation syndrome-related protein 1,FXR1,sp|P51114|FXR1_HUMAN Fragile X mental retardation syndrome-related protein 1 OS=Homo sapiens OX=9606 GN=FXR1 PE=1 SV=3;tr|B4DXZ6|B4DXZ6_HUMAN Fragile X mental retardation syndrome-related protein 1 OS=Homo sapiens OX=9606 GN=FXR1 PE=1 SV=1;tr|E7EU85|E7EU85,11,8,25.4,4.25717907948666,4.09415654932906,28.100340958171,27.7658499864682
P51116,P51116,4,3,2,Fragile X mental retardation syndrome-related protein 2,FXR2,sp|P51116|FXR2_HUMAN Fragile X mental retardation syndrome-related protein 2 OS=Homo sapiens OX=9606 GN=FXR2 PE=1 SV=2,4,2,8.6,4.25717907948666,4.09415654932906,24.9732058203012,23.1876583456248
