ATG_vs_BirA,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
MOGS,-0.3812428442,0.316520590431256,0,Q13724;A0A3B3IRW2;A0A3B3IRK6;A0A3B3IS52,Q13724;A0A3B3IRW2;A0A3B3IRK6,3;3;3;1,3;3;3;1,3;3;3;1,Mannosyl-oligosaccharide glucosidase,MOGS,sp|Q13724|MOGS_HUMAN Mannosyl-oligosaccharide glucosidase OS=Homo sapiens OX=9606 GN=MOGS PE=1 SV=5;tr|A0A3B3IRW2|A0A3B3IRW2_HUMAN Mannosyl-oligosaccharide glucosidase OS=Homo sapiens OX=9606 GN=MOGS PE=1 SV=1;tr|A0A3B3IRK6|A0A3B3IRK6_HUMAN Mannosyl-oligos,3,3,4.7,837,-0.381242844203548,0.316520590431256
MCTS1,-2.5539260004,0.00520691980168599,1,Q9ULC4;A0A3B3IRV3,Q9ULC4;A0A3B3IRV3,3;3,3;3,3;3,Malignant T-cell-amplified sequence 1,MCTS1,sp|Q9ULC4|MCTS1_HUMAN Malignant T-cell-amplified sequence 1 OS=Homo sapiens OX=9606 GN=MCTS1 PE=1 SV=1;tr|A0A3B3IRV3|A0A3B3IRV3_HUMAN Malignant T-cell-amplified sequence OS=Homo sapiens OX=9606 GN=MCTS2P PE=1 SV=1,3,3,26,181,-2.55392600035111,0.00520691980168599
TCOF1,-1.3269563254,0.015699028209721,1,Q13428;A0A3B3IS06;E7ETY2;H0Y8Y7;A0A2R8Y857;A0A2R8Y4M7;H0YA99,Q13428;A0A3B3IS06;E7ETY2;H0Y8Y7,8;8;8;6;3;1;1,8;8;8;6;3;1;1,8;8;8;6;3;1;1,Treacle protein,TCOF1,sp|Q13428|TCOF_HUMAN Treacle protein OS=Homo sapiens OX=9606 GN=TCOF1 PE=1 SV=3;tr|A0A3B3IS06|A0A3B3IS06_HUMAN Treacle protein (Fragment) OS=Homo sapiens OX=9606 GN=TCOF1 PE=1 SV=1;tr|E7ETY2|E7ETY2_HUMAN Treacle protein OS=Homo sapiens OX=9606 GN=TCOF1 PE=,8,8,8.1,1488,-1.32695632535875,0.015699028209721
COPA,-1.1364273266,0.0310072180711591,1,P53621;A0A3B3IS84;A0A3B3ISC6;A0A3B3IT15;A0A3B3IU89;A0A3B3ITV3;A0A3B3ISK1;A0A3B3ITI7;A0A3B3IU78;A0A3B3IU84;A0A3B3IS23;A0A3B3ITX2,P53621;A0A3B3IS84;A0A3B3ISC6;A0A3B3IT15;A0A3B3IU89;A0A3B3ITV3,19;19;18;17;12;10;9;5;3;1;1;1,19;19;18;17;12;10;9;5;3;1;1;1,19;19;18;17;12;10;9;5;3;1;1;1,Coatomer subunit alpha;Xenin;Proxenin,COPA,sp|P53621|COPA_HUMAN Coatomer subunit alpha OS=Homo sapiens OX=9606 GN=COPA PE=1 SV=2;tr|A0A3B3IS84|A0A3B3IS84_HUMAN Coatomer subunit alpha OS=Homo sapiens OX=9606 GN=COPA PE=1 SV=1;tr|A0A3B3ISC6|A0A3B3ISC6_HUMAN Coatomer subunit alpha (Fragment) OS=Homo s,19,19,20.8,1224,-1.13642732664095,0.0310072180711591
IDE,0.6136246871,0.0744756802858438,0,P14735;A0A3B3ISG5,P14735;A0A3B3ISG5,3;3,3;3,3;3,Insulin-degrading enzyme,IDE,sp|P14735|IDE_HUMAN Insulin-degrading enzyme OS=Homo sapiens OX=9606 GN=IDE PE=1 SV=4;tr|A0A3B3ISG5|A0A3B3ISG5_HUMAN Insulin-degrading enzyme OS=Homo sapiens OX=9606 GN=IDE PE=1 SV=1,3,3,4.1,1019,0.613624687139158,0.0744756802858438
NDUFA9,-1.5718373438,0.0324946886137097,1,Q16795;A0A3B3ISG8,Q16795;A0A3B3ISG8,2;2,2;2,2;2,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial",NDUFA9,"sp|Q16795|NDUA9_HUMAN NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFA9 PE=1 SV=2;tr|A0A3B3ISG8|A0A3B3ISG8_HUMAN Ricin B-type lectin domain-containing protein OS=Homo sapiens OX=9606 PE=1 SV=1",2,2,5.8,377,-1.5718373438035,0.0324946886137097
GPNMB,-0.4886879645,0.670064547790054,0,Q14956;A0A3B3ISS6,Q14956;A0A3B3ISS6,2;2,2;2,2;2,Transmembrane glycoprotein NMB,GPNMB,sp|Q14956|GPNMB_HUMAN Transmembrane glycoprotein NMB OS=Homo sapiens OX=9606 GN=GPNMB PE=1 SV=2;tr|A0A3B3ISS6|A0A3B3ISS6_HUMAN Transmembrane glycoprotein NMB OS=Homo sapiens OX=9606 GN=GPNMB PE=1 SV=1,2,2,4.7,572,-0.488687964472914,0.670064547790054
EIF2B5,1.3339315651,0.0155528683593742,1,Q13144;A0A3B3ISX3;A0A3B3IUB1;A0A3B3IUF2;A0A3B3ISM8;A0A3B3ITG6;A0A3B3ISV1;A0A3B3ITQ2;A0A3B3IS56;A0A3B3IRP4;C9JRD9;A0A3B3IT53;A0A3B3ITK8;A0A3B3IST9;A0A3B3ISI2;A0A3B3ISS1,Q13144;A0A3B3ISX3;A0A3B3IUB1;A0A3B3IUF2;A0A3B3ISM8;A0A3B3ITG6;A0A3B3ISV1;A0A3B3ITQ2,5;5;5;4;4;4;3;3;2;2;1;1;1;1;1;1,5;5;5;4;4;4;3;3;2;2;1;1;1;1;1;1,5;5;5;4;4;4;3;3;2;2;1;1;1;1;1;1,Translation initiation factor eIF-2B subunit epsilon,EIF2B5,sp|Q13144|EI2BE_HUMAN Translation initiation factor eIF-2B subunit epsilon OS=Homo sapiens OX=9606 GN=EIF2B5 PE=1 SV=3;tr|A0A3B3ISX3|A0A3B3ISX3_HUMAN Translation initiation factor eIF-2B subunit epsilon OS=Homo sapiens OX=9606 GN=EIF2B5 PE=1 SV=1;tr|A0A3B3,5,5,11.5,721,1.33393156510065,0.0155528683593742
NUP98,0.6623476075,0.0933477306472723,0,P52948;A0A3B3ITD8;H0YDA1;H7C3P6,P52948;A0A3B3ITD8;H0YDA1;H7C3P6,2;2;1;1,2;2;1;1,2;2;1;1,Nuclear pore complex protein Nup98-Nup96;Nuclear pore complex protein Nup98;Nuclear pore complex protein Nup96,NUP98,sp|P52948|NUP98_HUMAN Nuclear pore complex protein Nup98-Nup96 OS=Homo sapiens OX=9606 GN=NUP98 PE=1 SV=4;tr|A0A3B3ITD8|A0A3B3ITD8_HUMAN Nuclear pore complex protein Nup98-Nup96 OS=Homo sapiens OX=9606 GN=NUP98 PE=1 SV=1;tr|H0YDA1|H0YDA1_HUMAN Nuclear pore,2,2,1.2,1817,0.662347607454809,0.0933477306472723
TJP2,-0.8690118846,0.422772915746171,0,A0A3B3ITE1;Q9UDY2;A0A3B3IT83;A0A3B3IRV6;A0A3B3ISF1;A0A3B3IU51;A0A3B3ISZ5;A0A3B3IRI3;A0A1B0GTW1;A0A2R8YDH4;A0A3B3IS03,A0A3B3ITE1;Q9UDY2;A0A3B3IT83;A0A3B3IRV6;A0A3B3ISF1;A0A3B3IU51;A0A3B3ISZ5;A0A3B3IRI3;A0A1B0GTW1;A0A2R8YDH4;A0A3B3IS03,6;5;5;5;5;5;5;5;5;5;4,6;5;5;5;5;5;5;5;5;5;4,6;5;5;5;5;5;5;5;5;5;4,Tight junction protein ZO-2,TJP2,tr|A0A3B3ITE1|A0A3B3ITE1_HUMAN Tight junction protein ZO-2 (Fragment) OS=Homo sapiens OX=9606 GN=TJP2 PE=1 SV=1;sp|Q9UDY2|ZO2_HUMAN Tight junction protein ZO-2 OS=Homo sapiens OX=9606 GN=TJP2 PE=1 SV=2;tr|A0A3B3IT83|A0A3B3IT83_HUMAN Tight junction protein,6,6,8.1,1191,-0.869011884645547,0.422772915746171
HNRNPL,-1.8711754153,0.00884583889808311,1,P14866;M0QXS5;A0A3B3ITJ4;M0R1W6;B4DVF8;M0QYL7,P14866;M0QXS5;A0A3B3ITJ4,13;13;13;2;1;1,13;13;13;2;1;1,6;6;6;2;1;1,Heterogeneous nuclear ribonucleoprotein L,HNRNPL,sp|P14866|HNRPL_HUMAN Heterogeneous nuclear ribonucleoprotein L OS=Homo sapiens OX=9606 GN=HNRNPL PE=1 SV=2;tr|M0QXS5|M0QXS5_HUMAN Heterogeneous nuclear ribonucleoprotein L (Fragment) OS=Homo sapiens OX=9606 GN=HNRNPL PE=1 SV=1;tr|A0A3B3ITJ4|A0A3B3ITJ4_HUM,13,6,30.6,589,-1.87117541530715,0.00884583889808311
PGM1,0.7272546355,0.119668686761104,0,P36871;A0A3B3ITK7,P36871;A0A3B3ITK7,4;4,4;4,4;4,Phosphoglucomutase-1,PGM1,sp|P36871|PGM1_HUMAN Phosphoglucomutase-1 OS=Homo sapiens OX=9606 GN=PGM1 PE=1 SV=3;tr|A0A3B3ITK7|A0A3B3ITK7_HUMAN Phosphoglucomutase-1 OS=Homo sapiens OX=9606 GN=PGM1 PE=1 SV=1,4,4,10.3,562,0.727254635539602,0.119668686761104
RPL29,-1.6271703419,0.0512116452169288,0,P47914;A0A3B3ITT5,P47914;A0A3B3ITT5,6;6,6;6,6;6,60S ribosomal protein L29,RPL29,sp|P47914|RL29_HUMAN 60S ribosomal protein L29 OS=Homo sapiens OX=9606 GN=RPL29 PE=1 SV=2;tr|A0A3B3ITT5|A0A3B3ITT5_HUMAN 60S ribosomal protein L29 OS=Homo sapiens OX=9606 GN=RPL29 PE=1 SV=1,6,6,29.6,159,-1.62717034186895,0.0512116452169288
THRAP3,-3.0093490976,0.00568741116063822,1,Q9Y2W1;A0A3B3ITZ9,Q9Y2W1;A0A3B3ITZ9,8;8,8;8,8;8,Thyroid hormone receptor-associated protein 3,THRAP3,sp|Q9Y2W1|TR150_HUMAN Thyroid hormone receptor-associated protein 3 OS=Homo sapiens OX=9606 GN=THRAP3 PE=1 SV=2;tr|A0A3B3ITZ9|A0A3B3ITZ9_HUMAN Thyroid hormone receptor-associated protein 3 OS=Homo sapiens OX=9606 GN=THRAP3 PE=1 SV=1,8,8,11.4,955,-3.0093490976054,0.00568741116063822
AMDHD2,-2.4503690126,0.00118188404402471,1,Q9Y303;A0A3B3IU33;H3BSD5;H3BTZ6;H3BSV9;H3BQ15;H3BT49;H3BTE3,Q9Y303;A0A3B3IU33;H3BSD5;H3BTZ6;H3BSV9,6;6;3;3;3;2;2;1,6;6;3;3;3;2;2;1,6;6;3;3;3;2;2;1,Putative N-acetylglucosamine-6-phosphate deacetylase,AMDHD2,sp|Q9Y303|NAGA_HUMAN N-acetylglucosamine-6-phosphate deacetylase OS=Homo sapiens OX=9606 GN=AMDHD2 PE=1 SV=2;tr|A0A3B3IU33|A0A3B3IU33_HUMAN N-acetylglucosamine-6-phosphate deacetylase OS=Homo sapiens OX=9606 GN=AMDHD2 PE=1 SV=1;tr|H3BSD5|H3BSD5_HUMAN N-ace,6,6,20.5,409,-2.45036901261475,0.00118188404402471
MCM4,-0.4874623658,0.657722057229038,0,P33991;A0A3B3IU45;A0A3B3IT92;A0A3B3ITP6;A0A3B3IS57;E5RG31;A0A3B3IRR8;Q9UJA3;A0A494C100,P33991;A0A3B3IU45;A0A3B3IT92;A0A3B3ITP6;A0A3B3IS57;E5RG31,22;22;21;18;17;16;4;1;1,22;22;21;18;17;16;4;1;1,22;22;21;18;17;16;4;1;1,DNA replication licensing factor MCM4,MCM4,sp|P33991|MCM4_HUMAN DNA replication licensing factor MCM4 OS=Homo sapiens OX=9606 GN=MCM4 PE=1 SV=5;tr|A0A3B3IU45|A0A3B3IU45_HUMAN DNA helicase OS=Homo sapiens OX=9606 GN=MCM4 PE=1 SV=1;tr|A0A3B3IT92|A0A3B3IT92_HUMAN DNA helicase OS=Homo sapiens OX=9606 G,22,22,34,863,-0.487462365755501,0.657722057229038
NHP2L1,-2.3581771378,0.000882756021561264,1,P55769;B1AHD1;A0A3B3IUA2;A0A3B3IRU2,P55769;B1AHD1;A0A3B3IUA2,6;6;6;2,6;6;6;2,6;6;6;2,"NHP2-like protein 1;NHP2-like protein 1, N-terminally processed",NHP2L1,sp|P55769|NH2L1_HUMAN NHP2-like protein 1 OS=Homo sapiens OX=9606 GN=SNU13 PE=1 SV=3;tr|B1AHD1|B1AHD1_HUMAN Ribonucloprotein OS=Homo sapiens OX=9606 GN=SNU13 PE=1 SV=1;tr|A0A3B3IUA2|A0A3B3IUA2_HUMAN Ribonucloprotein OS=Homo sapiens OX=9606 GN=SNU13 PE=1 SV,6,6,43,128,-2.35817713777025,0.000882756021561264
PDCD11,-2.2080444523,0.00165020785719384,1,Q14690;A0A3B3IUD7,Q14690;A0A3B3IUD7,4;4,4;4,4;4,Protein RRP5 homolog,PDCD11,"sp|Q14690|RRP5_HUMAN Protein RRP5 homolog OS=Homo sapiens OX=9606 GN=PDCD11 PE=1 SV=3;tr|A0A3B3IUD7|A0A3B3IUD7_HUMAN Programmed cell death 11, isoform CRA_a OS=Homo sapiens OX=9606 GN=PDCD11 PE=1 SV=1",4,4,3.2,1871,-2.20804445226295,0.00165020785719384
PRPF40A,0.0253734861,0.931919962763738,0,O75400;A0A3F2YNY6,O75400;A0A3F2YNY6,2;2,2;2,2;2,Pre-mRNA-processing factor 40 homolog A,PRPF40A,sp|O75400|PR40A_HUMAN Pre-mRNA-processing factor 40 homolog A OS=Homo sapiens OX=9606 GN=PRPF40A PE=1 SV=2;tr|A0A3F2YNY6|A0A3F2YNY6_HUMAN Pre-mRNA-processing factor 40 homolog A OS=Homo sapiens OX=9606 GN=PRPF40A PE=1 SV=1,2,2,2,957,0.02537348614706,0.931919962763738
DEK,-1.1537000049,0.259757207825279,0,P35659;H0Y8X0;H0Y993;A0A494C028;D6R9L5;A0A494C198;D6RDA2;B4DFG0,P35659;H0Y8X0;H0Y993;A0A494C028;D6R9L5;A0A494C198;D6RDA2;B4DFG0,6;6;6;6;4;4;3;3,6;6;6;6;4;4;3;3,6;6;6;6;4;4;3;3,Protein DEK,DEK,"sp|P35659|DEK_HUMAN Protein DEK OS=Homo sapiens OX=9606 GN=DEK PE=1 SV=1;tr|H0Y8X0|H0Y8X0_HUMAN Protein DEK OS=Homo sapiens OX=9606 GN=DEK PE=1 SV=2;tr|H0Y993|H0Y993_HUMAN DEK oncogene (DNA binding), isoform CRA_b OS=Homo sapiens OX=9606 GN=DEK PE=1 SV=2;t",6,6,14.7,375,-1.1537000048786,0.259757207825279
PGM3,0.6603957127,0.0668852220255223,0,O95394;A0A494C0G1;H0Y987;D6RCD1;D6RC77;D6RCQ8;D6RF77;A0A494C163;A0A494C099;A0A087WT27;J3KN95;A0A494C1E2,O95394;A0A494C0G1;H0Y987;D6RCD1;D6RC77;D6RCQ8;D6RF77;A0A494C163;A0A494C099;A0A087WT27;J3KN95;A0A494C1E2,2;2;2;1;1;1;1;1;1;1;1;1,2;2;2;1;1;1;1;1;1;1;1;1,2;2;2;1;1;1;1;1;1;1;1;1,Phosphoacetylglucosamine mutase,PGM3,sp|O95394|AGM1_HUMAN Phosphoacetylglucosamine mutase OS=Homo sapiens OX=9606 GN=PGM3 PE=1 SV=1;tr|A0A494C0G1|A0A494C0G1_HUMAN Phosphoacetylglucosamine mutase OS=Homo sapiens OX=9606 GN=PGM3 PE=1 SV=1;tr|H0Y987|H0Y987_HUMAN Phosphoacetylglucosamine mutase O,2,2,4.1,542,0.660395712656461,0.0668852220255223
CLUH,-0.4254445215,0.23641756865497,0,O75153;K7EIG1;I3L2B0;A0A494C0R8;I3L318;I3L4B5,O75153;K7EIG1;I3L2B0;A0A494C0R8,7;7;7;7;2;1,7;7;7;7;2;1,7;7;7;7;2;1,Clustered mitochondria protein homolog,CLUH,sp|O75153|CLU_HUMAN Clustered mitochondria protein homolog OS=Homo sapiens OX=9606 GN=CLUH PE=1 SV=2;tr|K7EIG1|K7EIG1_HUMAN Clustered mitochondria protein homolog (Fragment) OS=Homo sapiens OX=9606 GN=CLUH PE=1 SV=2;tr|I3L2B0|I3L2B0_HUMAN Clustered mitocho,7,7,6.6,1309,-0.425444521464502,0.23641756865497
TPP2,-1.6591060501,0.0103843051330903,1,P29144;A0A494C1B8;A0A494C0U1;Q5VZU9,P29144;A0A494C1B8;A0A494C0U1;Q5VZU9,2;2;2;2,2;2;2;2,2;2;2;2,Tripeptidyl-peptidase 2,TPP2,sp|P29144|TPP2_HUMAN Tripeptidyl-peptidase 2 OS=Homo sapiens OX=9606 GN=TPP2 PE=1 SV=4;tr|A0A494C1B8|A0A494C1B8_HUMAN Tripeptidyl-peptidase 2 OS=Homo sapiens OX=9606 GN=TPP2 PE=1 SV=1;tr|A0A494C0U1|A0A494C0U1_HUMAN Tripeptidyl-peptidase 2 (Fragment) OS=Hom,2,2,1.8,1249,-1.65910605005575,0.0103843051330903
NOP56,-0.8331407807,0.0410410659817977,0,O00567;A0A494C128;H0Y653;H0YDU4;Q5JXT2,O00567;A0A494C128;H0Y653;H0YDU4,14;14;7;7;6,14;14;7;7;6,14;14;7;7;6,Nucleolar protein 56,NOP56,sp|O00567|NOP56_HUMAN Nucleolar protein 56 OS=Homo sapiens OX=9606 GN=NOP56 PE=1 SV=4;tr|A0A494C128|A0A494C128_HUMAN Nucleolar protein 56 OS=Homo sapiens OX=9606 GN=NOP56 PE=1 SV=1;tr|H0Y653|H0Y653_HUMAN Nucleolar protein 56 (Fragment) OS=Homo sapiens OX=9,14,14,29,594,-0.833140780712945,0.0410410659817977
FKBP2,-2.5438759435,0.00187205716727771,1,P26885;A0A494C1N0,P26885;A0A494C1N0,2;2,2;2,2;2,Peptidyl-prolyl cis-trans isomerase FKBP2,FKBP2,sp|P26885|FKBP2_HUMAN Peptidyl-prolyl cis-trans isomerase FKBP2 OS=Homo sapiens OX=9606 GN=FKBP2 PE=1 SV=2;tr|A0A494C1N0|A0A494C1N0_HUMAN Peptidylprolyl isomerase OS=Homo sapiens OX=9606 GN=FKBP2 PE=1 SV=1,2,2,9.2,142,-2.54387594352729,0.00187205716727771
NBEAL2,-3.2310526501,0.000304468940756481,1,Q6ZNJ1;A0A494C1V1,Q6ZNJ1;A0A494C1V1,2;2,2;2,2;2,Neurobeachin-like protein 2,NBEAL2,sp|Q6ZNJ1|NBEL2_HUMAN Neurobeachin-like protein 2 OS=Homo sapiens OX=9606 GN=NBEAL2 PE=1 SV=2;tr|A0A494C1V1|A0A494C1V1_HUMAN Neurobeachin-like protein 2 OS=Homo sapiens OX=9606 GN=NBEAL2 PE=1 SV=1,2,2,0.7,2754,-3.23105265011506,0.000304468940756481
PREP,-1.3173872726,0.0107207542893873,1,P48147;A0A499FJL1,P48147;A0A499FJL1,2;2,2;2,2;2,Prolyl endopeptidase,PREP,sp|P48147|PPCE_HUMAN Prolyl endopeptidase OS=Homo sapiens OX=9606 GN=PREP PE=1 SV=2;tr|A0A499FJL1|A0A499FJL1_HUMAN Prolyl endopeptidase OS=Homo sapiens OX=9606 GN=PREP PE=1 SV=1,2,2,3.8,710,-1.3173872726436,0.0107207542893873
S100A2,-2.5636787524,0.00532133625002586,1,A0A590UJ49;P29034;R4GN49,A0A590UJ49;P29034;R4GN49,2;1;1,2;1;1,2;1;1,Protein S100-A2,S100A2,tr|A0A590UJ49|A0A590UJ49_HUMAN Protein S100 OS=Homo sapiens OX=9606 GN=S100A2 PE=1 SV=1;sp|P29034|S10A2_HUMAN Protein S100-A2 OS=Homo sapiens OX=9606 GN=S100A2 PE=1 SV=3;tr|R4GN49|R4GN49_HUMAN Protein S100-A2 OS=Homo sapiens OX=9606 GN=S100A2 PE=1 SV=1,2,2,35.1,97,-2.5636787523694,0.00532133625002586
SRSF6,-1.9892918884,0.002390964210608,1,Q13247;A0A590UJK4;A0A590UK01;A0A590UJP7;A0A590UK80;Q08170;B4DJK0;B4DUA4;A0A0D9SEM4,Q13247;A0A590UJK4;A0A590UK01;A0A590UJP7;A0A590UK80,5;5;5;5;5;1;1;1;1,5;5;5;5;5;1;1;1;1,4;4;4;4;4;0;0;0;0,Serine/arginine-rich splicing factor 6,SRSF6,sp|Q13247|SRSF6_HUMAN Serine/arginine-rich splicing factor 6 OS=Homo sapiens OX=9606 GN=SRSF6 PE=1 SV=2;tr|A0A590UJK4|A0A590UJK4_HUMAN Serine/arginine-rich-splicing factor 6 OS=Homo sapiens OX=9606 GN=SRSF6 PE=1 SV=1;tr|A0A590UK01|A0A590UK01_HUMAN Serine/a,5,4,14.2,344,-1.98929188840635,0.002390964210608
RIMS2,3.7708196434,9.79611011308289e-05,1,Q9UQ26;D6RA03;A0A590UK62;A0A590UJL1;F8W6W8;E5RI36;D6RDY0;A0A0J9YWD4,Q9UQ26;D6RA03;A0A590UK62;A0A590UJL1;F8W6W8;E5RI36;D6RDY0;A0A0J9YWD4,2;2;2;2;1;1;1;1,2;2;2;2;1;1;1;1,2;2;2;2;1;1;1;1,Regulating synaptic membrane exocytosis protein 2,RIMS2,sp|Q9UQ26|RIMS2_HUMAN Regulating synaptic membrane exocytosis protein 2 OS=Homo sapiens OX=9606 GN=RIMS2 PE=1 SV=2;tr|D6RA03|D6RA03_HUMAN Regulating synaptic membrane exocytosis protein 2 OS=Homo sapiens OX=9606 GN=RIMS2 PE=1 SV=1;tr|A0A590UK62|A0A590UK62_,2,2,1.5,1411,3.77081964337563,9.79611011308289e-05
SAE1,1.4886713229,0.0892528183391797,0,Q9UBE0;A0A590UK93;A0A590UKC5;M0QZS6;B3KNJ4;M0R375;A0A590UKA0;M0QX65,Q9UBE0;A0A590UK93;A0A590UKC5;M0QZS6;B3KNJ4;M0R375;A0A590UKA0;M0QX65,2;2;2;2;2;1;1;1,2;2;2;2;2;1;1;1,2;2;2;2;2;1;1;1,"SUMO-activating enzyme subunit 1;SUMO-activating enzyme subunit 1, N-terminally processed",SAE1,sp|Q9UBE0|SAE1_HUMAN SUMO-activating enzyme subunit 1 OS=Homo sapiens OX=9606 GN=SAE1 PE=1 SV=1;tr|A0A590UK93|A0A590UK93_HUMAN SUMO-activating enzyme subunit 1 OS=Homo sapiens OX=9606 GN=SAE1 PE=1 SV=1;tr|A0A590UKC5|A0A590UKC5_HUMAN SUMO-activating enzyme,2,2,9,346,1.4886713228913,0.0892528183391797
AMPD2,-0.1205021197,0.919566216603554,0,Q01433;A0A5F9UK94;H0Y360;A0A590UK85;A0A590UJY6;A0A590UJX5,Q01433;A0A5F9UK94;H0Y360;A0A590UK85;A0A590UJY6,6;6;6;5;5;1,6;6;6;5;5;1,6;6;6;5;5;1,AMP deaminase 2,AMPD2,sp|Q01433|AMPD2_HUMAN AMP deaminase 2 OS=Homo sapiens OX=9606 GN=AMPD2 PE=1 SV=2;tr|A0A5F9UK94|A0A5F9UK94_HUMAN AMP deaminase OS=Homo sapiens OX=9606 GN=AMPD2 PE=1 SV=1;tr|H0Y360|H0Y360_HUMAN AMP deaminase OS=Homo sapiens OX=9606 GN=AMPD2 PE=1 SV=2;tr|A0A5,6,6,7.3,879,-0.120502119679303,0.919566216603554
ACAT1,-2.2140558255,0.00217951242072793,1,P24752;A0A5F9ZHL1;A0A5F9ZHJ7;A0A5F9ZHJ0;A0A5F9ZHH9;A0A5F9ZHD4;A0A5F9ZI66;A0A5F9ZHL7;H0YEL7;E9PRQ6,P24752;A0A5F9ZHL1;A0A5F9ZHJ7;A0A5F9ZHJ0;A0A5F9ZHH9;A0A5F9ZHD4;A0A5F9ZI66,8;8;7;5;4;4;4;3;3;3,8;8;7;5;4;4;4;3;3;3,8;8;7;5;4;4;4;3;3;3,"Acetyl-CoA acetyltransferase, mitochondrial",ACAT1,"sp|P24752|THIL_HUMAN Acetyl-CoA acetyltransferase, mitochondrial OS=Homo sapiens OX=9606 GN=ACAT1 PE=1 SV=1;tr|A0A5F9ZHL1|A0A5F9ZHL1_HUMAN Acetyl-CoA acetyltransferase, mitochondrial OS=Homo sapiens OX=9606 GN=ACAT1 PE=1 SV=1;tr|A0A5F9ZHJ7|A0A5F9ZHJ7_HUMAN",8,8,27.9,427,-2.21405582547825,0.00217951242072793
SACM1L,-1.0256798698,0.0247422873255158,1,Q9NTJ5;F8WDN7;E9PGZ4;A0A5F9ZHN7,Q9NTJ5;F8WDN7;E9PGZ4;A0A5F9ZHN7,2;2;2;2,2;2;2;2,2;2;2;2,Phosphatidylinositide phosphatase SAC1,SACM1L,sp|Q9NTJ5|SAC1_HUMAN Phosphatidylinositol-3-phosphatase SAC1 OS=Homo sapiens OX=9606 GN=SACM1L PE=1 SV=2;tr|F8WDN7|F8WDN7_HUMAN Phosphatidylinositide phosphatase SAC1 OS=Homo sapiens OX=9606 GN=SACM1L PE=1 SV=1;tr|E9PGZ4|E9PGZ4_HUMAN Phosphatidylinositide,2,2,3.9,587,-1.02567986975795,0.0247422873255158
MLH1,0.4447521448,0.414559818027578,0,P40692;H0Y5L7;A0A669KBB4;A0A669KBK2;H0Y818;A0A669KAW3;H0Y793;A0A669KB03,P40692;H0Y5L7;A0A669KBB4;A0A669KBK2;H0Y818;A0A669KAW3;H0Y793;A0A669KB03,2;2;2;2;2;2;1;1,2;2;2;2;2;2;1;1,2;2;2;2;2;2;1;1,DNA mismatch repair protein Mlh1,MLH1,sp|P40692|MLH1_HUMAN DNA mismatch repair protein Mlh1 OS=Homo sapiens OX=9606 GN=MLH1 PE=1 SV=1;tr|H0Y5L7|H0Y5L7_HUMAN DNA mismatch repair protein Mlh1 OS=Homo sapiens OX=9606 GN=MLH1 PE=1 SV=2;tr|A0A669KBB4|A0A669KBB4_HUMAN DNA mismatch repair protein Mlh,2,2,4.1,756,0.4447521448147,0.414559818027578
MRPL2,-0.5548307149,0.123912160494386,0,Q5T653;A0A669KAX9;C9IY40,Q5T653;A0A669KAX9;C9IY40,2;2;1,2;2;1,2;2;1,"39S ribosomal protein L2, mitochondrial",MRPL2,"sp|Q5T653|RM02_HUMAN 39S ribosomal protein L2, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL2 PE=1 SV=2;tr|A0A669KAX9|A0A669KAX9_HUMAN Uncharacterized protein (Fragment) OS=Homo sapiens OX=9606 PE=4 SV=1;tr|C9IY40|C9IY40_HUMAN 39S ribosomal protein L2, mit",2,2,7.2,305,-0.554830714875251,0.123912160494386
CTNND1,-1.0418810974,0.0222093755676508,1,O60716;A0A669KB62;A0A669KB05;C9JZR2,O60716;A0A669KB62;A0A669KB05;C9JZR2,2;2;2;2,2;2;2;2,2;2;2;2,Catenin delta-1,CTNND1,sp|O60716|CTND1_HUMAN Catenin delta-1 OS=Homo sapiens OX=9606 GN=CTNND1 PE=1 SV=1;tr|A0A669KB62|A0A669KB62_HUMAN Catenin delta-1 OS=Homo sapiens OX=9606 GN=CTNND1 PE=4 SV=1;tr|A0A669KB05|A0A669KB05_HUMAN Catenin delta-1 OS=Homo sapiens OX=9606 GN=CTNND1 PE,2,2,2.9,968,-1.04188109742274,0.0222093755676508
