RFWD2_vs_zCtl,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
MRPL2,0.8612696378,0.0710912048025314,0,Q5T653;A0A669KAX9;C9IY40,Q5T653;A0A669KAX9;C9IY40,3;3;2,3;3;2,3;3;2,"39S ribosomal protein L2, mitochondrial",MRPL2,"sp|Q5T653|RM02_HUMAN 39S ribosomal protein L2, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL2 PE=1 SV=2;tr|A0A669KAX9|A0A669KAX9_HUMAN Uncharacterized protein (Fragment) OS=Homo sapiens OX=9606 PE=4 SV=1;tr|C9IY40|C9IY40_HUMAN 39S ribosomal protein L2, mit",3,3,14.4,305;238;225
MLH1,-0.6369475674,0.0343190444792466,0,P40692;A0A669KB03;A0A669KBB4;A0A669KBK2;F2Z298;E9PF25;H0Y818;A0A669KAW3;H0Y5L7,P40692;A0A669KB03;A0A669KBB4;A0A669KBK2;F2Z298;E9PF25;H0Y818;A0A669KAW3,3;3;3;3;2;2;2;2;1,3;3;3;3;2;2;2;2;1,3;3;3;3;2;2;2;2;1,DNA mismatch repair protein Mlh1,MLH1,sp|P40692|MLH1_HUMAN DNA mismatch repair protein Mlh1 OS=Homo sapiens OX=9606 GN=MLH1 PE=1 SV=1;tr|A0A669KB03|A0A669KB03_HUMAN DNA mismatch repair protein Mlh1 OS=Homo sapiens OX=9606 GN=MLH1 PE=4 SV=1;tr|A0A669KBB4|A0A669KBB4_HUMAN DNA mismatch repair pro,3,3,4.6,756;512;568;633;38;48;679;686;143
CTNND1,-0.9641832283,0.00319887078853079,0,O60716;A0A669KB62;A0A669KB05;C9JZR2;H0YC95;E9PKY0,O60716;A0A669KB62;A0A669KB05;C9JZR2,12;12;12;12;1;1,12;12;12;12;1;1,12;12;12;12;1;1,Catenin delta-1,CTNND1,sp|O60716|CTND1_HUMAN Catenin delta-1 OS=Homo sapiens OX=9606 GN=CTNND1 PE=1 SV=1;tr|A0A669KB62|A0A669KB62_HUMAN Catenin delta-1 OS=Homo sapiens OX=9606 GN=CTNND1 PE=4 SV=1;tr|A0A669KB05|A0A669KB05_HUMAN Catenin delta-1 OS=Homo sapiens OX=9606 GN=CTNND1 PE,12,12,16.1,968;888;915;938;123;126
STAT1,-0.02478092,0.898693166207221,0,P42224;J3KPM9;A0A669KBI6;A0A669KB68;A0A669KB56;A0A669KBA4;A0A669KB53;A0A669KB52;A0A669KB75;E7EPD2;E7ENM1;D2KFR9;A0A669KB17,P42224;J3KPM9;A0A669KBI6;A0A669KB68;A0A669KB56;A0A669KBA4;A0A669KB53;A0A669KB52;A0A669KB75,9;9;9;9;9;9;9;8;6;3;2;2;2,9;9;9;9;9;9;9;8;6;3;2;2;2,9;9;9;9;9;9;9;8;6;3;2;2;2,Signal transducer and activator of transcription 1-alpha/beta;Signal transducer and activator of transcription,STAT1,sp|P42224|STAT1_HUMAN Signal transducer and activator of transcription 1-alpha/beta OS=Homo sapiens OX=9606 GN=STAT1 PE=1 SV=2;tr|J3KPM9|J3KPM9_HUMAN Signal transducer and activator of transcription OS=Homo sapiens OX=9606 GN=STAT1 PE=1 SV=1;tr|A0A669KBI6|,9,9,16.3,750;714;716;748;748;779;791;636;572;377;150;193;273
USP7,0.6282968983,0.310758243919622,0,Q93009;H3BND8;A0A669KBL1;F5H2X1;I3L2D8,Q93009;H3BND8;A0A669KBL1,8;8;8;3;1,8;8;8;3;1,8;8;8;3;1,Ubiquitin carboxyl-terminal hydrolase 7;Ubiquitin carboxyl-terminal hydrolase,USP7,sp|Q93009|UBP7_HUMAN Ubiquitin carboxyl-terminal hydrolase 7 OS=Homo sapiens OX=9606 GN=USP7 PE=1 SV=2;tr|H3BND8|H3BND8_HUMAN Ubiquitin carboxyl-terminal hydrolase (Fragment) OS=Homo sapiens OX=9606 GN=USP7 PE=1 SV=1;tr|A0A669KBL1|A0A669KBL1_HUMAN Ubiquiti,8,8,10.3,1102;909;1137;509;68
ILVBL,0.0861647074,0.573965734622775,0,A1L0T0;M0R026;M0R1B5;E9PJS0;E9PL44,A1L0T0;M0R026,5;5;2;2;1,5;5;2;2;1,5;5;2;2;1,Acetolactate synthase-like protein,ILVBL,sp|A1L0T0|HACL2_HUMAN 2-hydroxyacyl-CoA lyase 2 OS=Homo sapiens OX=9606 GN=ILVBL PE=1 SV=2;tr|M0R026|M0R026_HUMAN 2-hydroxyacyl-CoA lyase 2 OS=Homo sapiens OX=9606 GN=ILVBL PE=1 SV=1,5,5,13.9,632;525;165;262;166
ACO2,-0.0577684804,0.690784780488602,0,Q99798;A2A274,Q99798;A2A274,24;24,24;24,24;24,"Aconitate hydratase, mitochondrial",ACO2,"sp|Q99798|ACON_HUMAN Aconitate hydratase, mitochondrial OS=Homo sapiens OX=9606 GN=ACO2 PE=1 SV=2;tr|A2A274|A2A274_HUMAN Aconitate hydratase, mitochondrial OS=Homo sapiens OX=9606 GN=ACO2 PE=1 SV=1",24,24,42.8,780;805
STMN1,0.0748892852,0.67730580505333,0,P16949;A2A2D0,P16949;A2A2D0,8;8,8;8,5;5,Stathmin,STMN1,sp|P16949|STMN1_HUMAN Stathmin OS=Homo sapiens OX=9606 GN=STMN1 PE=1 SV=3;tr|A2A2D0|A2A2D0_HUMAN Stathmin (Fragment) OS=Homo sapiens OX=9606 GN=STMN1 PE=1 SV=8,8,5,38.3,149;85
PRNP,0.11069882,0.535975982734786,0,P04156;A2A2V1,P04156;A2A2V1,1;1,1;1,1;1,Major prion protein,PRNP,sp|P04156|PRIO_HUMAN Major prion protein OS=Homo sapiens OX=9606 GN=PRNP PE=1 SV=1;tr|A2A2V1|A2A2V1_HUMAN Major prion protein (Fragment) OS=Homo sapiens OX=9606 GN=PRNP PE=1 SV=1,1,1,4.7,253;249
HCFC1,-0.3643752972,0.03671144416813,0,P51610;A6NEM2;H7C1C4,P51610;A6NEM2,24;24;5,24;24;5,24;24;5,Host cell factor 1;HCF N-terminal chain 1;HCF N-terminal chain 2;HCF N-terminal chain 3;HCF N-terminal chain 4;HCF N-terminal chain 5;HCF N-terminal chain 6;HCF C-terminal chain 1;HCF C-terminal chain 2;HCF C-terminal chain 3;HCF C-terminal chain 4;HCF C-terminal chain 5;HCF C-terminal chain 6,HCFC1,sp|P51610|HCFC1_HUMAN Host cell factor 1 OS=Homo sapiens OX=9606 GN=HCFC1 PE=1 SV=2;tr|A6NEM2|A6NEM2_HUMAN Host cell factor 1 OS=Homo sapiens OX=9606 GN=HCFC1 PE=1 SV=2,24,24,17,2035;2080;611
NUDT5,0.0893956139,0.667761338490633,0,Q9UKK9;A6NFX8;H0YEY4;A6NCQ0;A6NJU6,Q9UKK9;A6NFX8,3;3;1;1;1,3;3;1;1;1,3;3;1;1;1,ADP-sugar pyrophosphatase,NUDT5,sp|Q9UKK9|NUDT5_HUMAN ADP-sugar pyrophosphatase OS=Homo sapiens OX=9606 GN=NUDT5 PE=1 SV=1;tr|A6NFX8|A6NFX8_HUMAN ADP-sugar pyrophosphatase OS=Homo sapiens OX=9606 GN=NUDT5 PE=1 SV=1,3,3,15.5,219;232;137;180;186
USP14,-0.0835697667,0.655603392292491,0,P54578;A6NJA2;J3QQT6;J3KS55,P54578;A6NJA2,12;12;1;1,12;12;1;1,12;12;1;1,Ubiquitin carboxyl-terminal hydrolase 14;Ubiquitin carboxyl-terminal hydrolase,USP14,sp|P54578|UBP14_HUMAN Ubiquitin carboxyl-terminal hydrolase 14 OS=Homo sapiens OX=9606 GN=USP14 PE=1 SV=3;tr|A6NJA2|A6NJA2_HUMAN Ubiquitin carboxyl-terminal hydrolase OS=Homo sapiens OX=9606 GN=USP14 PE=1 SV=2,12,12,22.5,494;448;20;28
CRYZ,0.1697099465,0.258432478695402,0,Q08257;C9JH92;A6NP24,Q08257;C9JH92;A6NP24,6;6;6,6;6;6,6;6;6,Quinone oxidoreductase,CRYZ,sp|Q08257|QOR_HUMAN Quinone oxidoreductase OS=Homo sapiens OX=9606 GN=CRYZ PE=1 SV=1;tr|C9JH92|C9JH92_HUMAN Quinone oxidoreductase (Fragment) OS=Homo sapiens OX=9606 GN=CRYZ PE=1 SV=1;tr|A6NP24|A6NP24_HUMAN Quinone oxidoreductase (Fragment) OS=Homo sapiens,6,6,24.3,329;206;243
PRAF2,0.5045897931,0.59584376150232,0,O60831;A6NP52,O60831;A6NP52,1;1,1;1,1;1,PRA1 family protein 2,PRAF2,sp|O60831|PRAF2_HUMAN PRA1 family protein 2 OS=Homo sapiens OX=9606 GN=PRAF2 PE=1 SV=1;tr|A6NP52|A6NP52_HUMAN PRA1 family protein OS=Homo sapiens OX=9606 GN=PRAF2 PE=1 SV=1,1,1,6.2,178;160
MANF,-0.1316892001,0.366888462146556,0,P55145;A8K878;H7C2D6,P55145;A8K878,8;8;1,8;8;1,8;8;1,Mesencephalic astrocyte-derived neurotrophic factor,MANF,sp|P55145|MANF_HUMAN Mesencephalic astrocyte-derived neurotrophic factor OS=Homo sapiens OX=9606 GN=MANF PE=1 SV=3;tr|A8K878|A8K878_HUMAN Mesencephalic astrocyte-derived neurotrophic factor OS=Homo sapiens OX=9606 GN=MANF PE=1 SV=1,8,8,50.5,182;185;71
SUMO2;SUMO3;SUMO4,-0.7084018673,0.00485762398721068,0,P61956;P55854;Q6EEV6;A8MUA9;A8MU27,P61956;P55854;Q6EEV6;A8MUA9;A8MU27,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1,Small ubiquitin-related modifier 2;Small ubiquitin-related modifier 3;Small ubiquitin-related modifier 4,SUMO2;SUMO3;SUMO4,sp|P61956|SUMO2_HUMAN Small ubiquitin-related modifier 2 OS=Homo sapiens OX=9606 GN=SUMO2 PE=1 SV=3;sp|P55854|SUMO3_HUMAN Small ubiquitin-related modifier 3 OS=Homo sapiens OX=9606 GN=SUMO3 PE=1 SV=2;sp|Q6EEV6|SUMO4_HUMAN Small ubiquitin-related modifier 4,1,1,12.6,95;103;95;135;147
RPL23A,0.2378083618,0.131777983514031,0,P62750;H7BY10;K7ERT8;A8MUS3;K7EMA7;K7EJV9,P62750;H7BY10;K7ERT8;A8MUS3;K7EMA7;K7EJV9,6;6;6;6;5;5,6;6;6;6;5;5,6;6;6;6;5;5,60S ribosomal protein L23a,RPL23A,sp|P62750|RL23A_HUMAN 60S ribosomal protein L23a OS=Homo sapiens OX=9606 GN=RPL23A PE=1 SV=1;tr|H7BY10|H7BY10_HUMAN 60S ribosomal protein L23a (Fragment) OS=Homo sapiens OX=9606 GN=RPL23A PE=1 SV=1;tr|K7ERT8|K7ERT8_HUMAN 60S ribosomal protein L23a (Fragmen,6,6,39.1,156;158;175;194;70;170
SNRPG;SNRPGP15,-0.2869308265,0.0653753433596605,0,P62308;A8MWD9;Q49AN9;F5H013,P62308;A8MWD9;Q49AN9;F5H013,2;2;2;2,2;2;2;2,2;2;2;2,Small nuclear ribonucleoprotein G;Putative small nuclear ribonucleoprotein G-like protein 15,SNRPG;SNRPGP15,sp|P62308|RUXG_HUMAN Small nuclear ribonucleoprotein G OS=Homo sapiens OX=9606 GN=SNRPG PE=1 SV=1;sp|A8MWD9|RUXGL_HUMAN Putative small nuclear ribonucleoprotein G-like protein 15 OS=Homo sapiens OX=9606 GN=SNRPGP15 PE=5 SV=2;tr|Q49AN9|Q49AN9_HUMAN Small nu,2,2,17.1,76;76;64;68
EIF3L,-0.0601759302,0.677534713276955,0,Q9Y262;B0QY89;B0QY90;C9JHP4;C9K0Q7;H7C3A0;H0Y7E6,Q9Y262;B0QY89;B0QY90,18;18;14;4;4;3;2,18;18;14;4;4;3;2,18;18;14;4;4;3;2,Eukaryotic translation initiation factor 3 subunit L,EIF3L,sp|Q9Y262|EIF3L_HUMAN Eukaryotic translation initiation factor 3 subunit L OS=Homo sapiens OX=9606 GN=EIF3L PE=1 SV=1;tr|B0QY89|B0QY89_HUMAN Eukaryotic translation initiation factor 3 subunit L OS=Homo sapiens OX=9606 GN=EIF3L PE=1 SV=1;tr|B0QY90|B0QY90_HU,18,18,36.2,564;607;466;150;183;127;109
UBE2I,-0.2066512174,0.255586662834331,0,P63279;H3BQQ9;B0QYN7;H3BPC4;H3BRD1,P63279;H3BQQ9;B0QYN7;H3BPC4,4;4;4;3;1,4;4;4;3;1,4;4;4;3;1,SUMO-conjugating enzyme UBC9,UBE2I,sp|P63279|UBC9_HUMAN SUMO-conjugating enzyme UBC9 OS=Homo sapiens OX=9606 GN=UBE2I PE=1 SV=1;tr|H3BQQ9|H3BQQ9_HUMAN SUMO-conjugating enzyme UBC9 (Fragment) OS=Homo sapiens OX=9606 GN=UBE2I PE=1 SV=1;tr|B0QYN7|B0QYN7_HUMAN SUMO-conjugating enzyme UBC9 OS=Ho,4,4,20.3,158;137;184;70;29
CPNE1,-2.0925497605,0.0560621540715009,0,Q99829;F2Z2V0;B0QZ18;A6PVH9;H0Y524;E7ENH5;Q5JX54;Q5JX55;Q5JX56;Q5JX58;Q5JX59;Q5JX60;Q5JX44;Q5JX45,Q99829;F2Z2V0;B0QZ18;A6PVH9;H0Y524;E7ENH5,4;4;4;3;2;2;1;1;1;1;1;1;1;1,4;4;4;3;2;2;1;1;1;1;1;1;1;1,4;4;4;3;2;2;1;1;1;1;1;1;1;1,Copine-1,CPNE1,sp|Q99829|CPNE1_HUMAN Copine-1 OS=Homo sapiens OX=9606 GN=CPNE1 PE=1 SV=1;tr|F2Z2V0|F2Z2V0_HUMAN Copine-1 (Fragment) OS=Homo sapiens OX=9606 GN=CPNE1 PE=1 SV=1;tr|B0QZ18|B0QZ18_HUMAN Copine-1 OS=Homo sapiens OX=9606 GN=CPNE1 PE=1 SV=1;tr|A6PVH9|A6PVH9_HUMA,4,4,10.6,537;533;542;481;208;427;136;152;174;201;209;231;304;386
MRPL43,0.0799877527,0.642689938914546,0,Q8N983;H0Y6Y8;B1AL05;H0YBU8;M0R051,Q8N983;H0Y6Y8;B1AL05;H0YBU8,5;5;5;3;2,5;5;5;3;2,5;5;5;3;2,"39S ribosomal protein L43, mitochondrial",MRPL43,"sp|Q8N983|RM43_HUMAN 39S ribosomal protein L43, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL43 PE=1 SV=1;tr|H0Y6Y8|H0Y6Y8_HUMAN 39S ribosomal protein L43, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=MRPL43 PE=1 SV=1;tr|B1AL05|B1AL05_HUMAN 39S ribo",5,5,27.4,215;169;184;148;44
PRPS1;PRPS1L1,0.2636932821,0.0877740545938053,0,P60891;B1ALA9;A0A2R8Y7H4;P21108;B7ZB02;B1ALA7;A0A0B4J207;Q15244;H7C540,P60891;B1ALA9;A0A2R8Y7H4;P21108,8;8;7;4;3;3;3;2;2,8;8;7;4;3;3;3;2;2,4;4;4;2;0;2;1;2;0,Ribose-phosphate pyrophosphokinase 1;Ribose-phosphate pyrophosphokinase 3,PRPS1;PRPS1L1,sp|P60891|PRPS1_HUMAN Ribose-phosphate pyrophosphokinase 1 OS=Homo sapiens OX=9606 GN=PRPS1 PE=1 SV=2;tr|B1ALA9|B1ALA9_HUMAN Ribose-phosphate pyrophosphokinase 1 OS=Homo sapiens OX=9606 GN=PRPS1 PE=1 SV=2;tr|A0A2R8Y7H4|A0A2R8Y7H4_HUMAN Ribose-phosphate pyr,8,4,33.6,318;285;321;318;114;168;318;40;173
PABPC4,0.18513642,0.24644807075466,0,Q13310;B1ANR0;H0Y5F5;H0YEU6;B1ANR1;H0YEQ8;H0YER0;H0Y6X6;H0YCC8,Q13310;B1ANR0;H0Y5F5,19;19;13;8;7;4;2;2;2,7;7;6;5;1;0;1;1;0,7;7;6;5;1;0;1;1;0,Polyadenylate-binding protein 4;Polyadenylate-binding protein,PABPC4,sp|Q13310|PABP4_HUMAN Polyadenylate-binding protein 4 OS=Homo sapiens OX=9606 GN=PABPC4 PE=1 SV=1;tr|B1ANR0|B1ANR0_HUMAN Polyadenylate-binding protein OS=Homo sapiens OX=9606 GN=PABPC4 PE=1 SV=1;tr|H0Y5F5|H0Y5F5_HUMAN Polyadenylate-binding protein (Fragmen,19,7,29.7,644;615;550;249;129;112;68;195;197
HNRNPC,-0.0715274083,0.59557323329373,0,G3V4C1;B2R5W2;B4DY08;G3V4W0;G3V251;B4DSU6;G3V5X6;G3V3K6;G3V4M8;O60812;A0A0G2JPF8;A0A0G2JNQ3;G3V2H6;G3V2D6;B7ZW38;P0DMR1;B2RXH8;G3V5V7;B3KT61;E5RG71;Q86SE5,G3V4C1;B2R5W2;B4DY08;G3V4W0;G3V251;B4DSU6;G3V5X6;G3V3K6,23;23;23;23;16;15;15;15;10;8;8;8;8;8;8;8;8;6;1;1;1,23;23;23;23;16;15;15;15;10;8;8;8;8;8;8;8;8;6;1;1;1,2;2;2;2;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0,,HNRNPC,tr|G3V4C1|G3V4C1_HUMAN Heterogeneous nuclear ribonucleoproteins C1/C2 OS=Homo sapiens OX=9606 GN=HNRNPC PE=1 SV=1;tr|B2R5W2|B2R5W2_HUMAN Heterogeneous nuclear ribonucleoproteins C1/C2 OS=Homo sapiens OX=9606 GN=HNRNPC PE=1 SV=1;tr|B4DY08|B4DY08_HUMAN Heter,23,2,51.4,292;290;288;262;126;147;117;121;66;293;293;293;54;214;293;293;293;180;280;85;291
CNN2,-0.6135024797,0.01342959980155,0,Q99439;B4DDF4;B4DUT8;A0A087X271;H3BVI6;K7ES69;A0A087X1X5;A0A087WV51;H3BQH0,Q99439;B4DDF4;B4DUT8;A0A087X271;H3BVI6;K7ES69,13;13;13;11;11;7;6;1;1,13;13;13;11;11;7;6;1;1,12;12;12;10;10;6;6;1;1,Calponin-2;Calponin,CNN2,sp|Q99439|CNN2_HUMAN Calponin-2 OS=Homo sapiens OX=9606 GN=CNN2 PE=1 SV=4;tr|B4DDF4|B4DDF4_HUMAN Calponin OS=Homo sapiens OX=9606 GN=CNN2 PE=1 SV=1;tr|B4DUT8|B4DUT8_HUMAN Calponin OS=Homo sapiens OX=9606 GN=CNN2 PE=1 SV=1;tr|A0A087X271|A0A087X271_HUMAN Cal,13,12,52.4,309;298;330;179;261;148;191;66;154
CS,0.0808544966,0.544120994300109,0,O75390;B4DJV2;A0A0C4DGI3;H0YIC4;H0YH82;F8VRP1;F8VX68;F8VPF9;F8VPA1;F8W1S4;F8VTT8;F8W4S1;F8W642;F8VZK9;F8VRI6;F8VX07;F8VR34;F8VWQ5;F8VU34,O75390;B4DJV2;A0A0C4DGI3,19;19;18;9;7;6;6;6;6;6;5;5;4;4;4;4;2;2;1,19;19;18;9;7;6;6;6;6;6;5;5;4;4;4;4;2;2;1,19;19;18;9;7;6;6;6;6;6;5;5;4;4;4;4;2;2;1,"Citrate synthase, mitochondrial;Citrate synthase",CS,"sp|O75390|CISY_HUMAN Citrate synthase, mitochondrial OS=Homo sapiens OX=9606 GN=CS PE=1 SV=2;tr|B4DJV2|B4DJV2_HUMAN Citrate synthase OS=Homo sapiens OX=9606 GN=CS PE=1 SV=1;tr|A0A0C4DGI3|A0A0C4DGI3_HUMAN Citrate synthase OS=Homo sapiens OX=9606 GN=CS PE=1 ",19,19,45.9,466;453;400;123;190;117;120;140;144;157;149;178;66;80;140;114;146;132;142
CARS,0.1180797116,0.562209110896689,0,P49589;B4DKY1,P49589;B4DKY1,4;4,4;4,4;4,"Cysteine--tRNA ligase, cytoplasmic",CARS,"sp|P49589|SYCC_HUMAN Cysteine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=CARS1 PE=1 SV=3;tr|B4DKY1|B4DKY1_HUMAN Cysteine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=CARS1 PE=1 SV=1",4,4,7.6,748;739
PTPN1,-0.0596905724,0.702255993437269,0,P18031;B4DSN5,P18031;B4DSN5,9;9,9;9,9;9,Tyrosine-protein phosphatase non-receptor type 1;Tyrosine-protein phosphatase non-receptor type,PTPN1,sp|P18031|PTN1_HUMAN Tyrosine-protein phosphatase non-receptor type 1 OS=Homo sapiens OX=9606 GN=PTPN1 PE=1 SV=1;tr|B4DSN5|B4DSN5_HUMAN Tyrosine-protein phosphatase non-receptor type OS=Homo sapiens OX=9606 GN=PTPN1 PE=1 SV=1,9,9,29.9,435;362
FXR1,0.1006982781,0.744874203152575,0,P51114;E9PFF5;B4DXZ6;E7EU85;C9JZE0;C9JY20;Q06787;R9WNI0;A8MQB8;C9JAJ4;A0A087WXI3;G3V0J0,P51114;E9PFF5;B4DXZ6;E7EU85,10;10;10;9;3;3;2;2;2;1;1;1,10;10;10;9;3;3;2;2;2;1;1;1,7;7;7;6;3;3;0;0;0;1;0;0,Fragile X mental retardation syndrome-related protein 1,FXR1,sp|P51114|FXR1_HUMAN Fragile X mental retardation syndrome-related protein 1 OS=Homo sapiens OX=9606 GN=FXR1 PE=1 SV=3;tr|E9PFF5|E9PFF5_HUMAN Fragile X mental retardation syndrome-related protein 1 OS=Homo sapiens OX=9606 GN=FXR1 PE=1 SV=1;tr|B4DXZ6|B4DXZ6,10,7,18,621;490;608;454;119;123;632;544;582;151;419;592
DERL1,0.2118759294,0.298484732170969,0,Q9BUN8;B4E1G1;E5RGY0,Q9BUN8;B4E1G1;E5RGY0,4;4;2,4;4;2,4;4;2,Derlin-1,DERL1,sp|Q9BUN8|DERL1_HUMAN Derlin-1 OS=Homo sapiens OX=9606 GN=DERL1 PE=1 SV=1;tr|B4E1G1|B4E1G1_HUMAN Derlin OS=Homo sapiens OX=9606 GN=DERL1 PE=1 SV=1;tr|E5RGY0|E5RGY0_HUMAN Derlin OS=Homo sapiens OX=9606 GN=DERL1 PE=1 SV=1,4,4,14.7,251;151;151
PES1,-0.1222911071,0.480359242912858,0,O00541;B5MCF9;B3KXD6;H7C267,O00541;B5MCF9;B3KXD6,10;10;7;1,10;10;7;1,10;10;7;1,Pescadillo homolog,PES1,sp|O00541|PESC_HUMAN Pescadillo homolog OS=Homo sapiens OX=9606 GN=PES1 PE=1 SV=1;tr|B5MCF9|B5MCF9_HUMAN Pescadillo homolog OS=Homo sapiens OX=9606 GN=PES1 PE=1 SV=1;tr|B3KXD6|B3KXD6_HUMAN Pescadillo homolog OS=Homo sapiens OX=9606 GN=PES1 PE=1 SV=1,10,10,14.8,588;571;449;194
SEPT2,-0.1645480166,0.235903334262192,0,Q15019;B5MCX3;C9J2Q4;H7C2Y0;H7C310;C9JB25;C9IY94;C9IZU3;C9JQJ4;C9J938;B5MD47;C9JZI2;H7C1T1;A0A1B0GXJ2;C9JFT1;F8WB65,Q15019;B5MCX3;C9J2Q4;H7C2Y0,15;15;9;8;7;7;6;6;6;6;4;2;1;1;1;1,15;15;9;8;7;7;6;6;6;6;4;2;1;1;1;1,15;15;9;8;7;7;6;6;6;6;4;2;1;1;1;1,Septin-2,SEPT2,sp|Q15019|SEPT2_HUMAN Septin-2 OS=Homo sapiens OX=9606 GN=SEPTIN2 PE=1 SV=1;tr|B5MCX3|B5MCX3_HUMAN Septin-2 OS=Homo sapiens OX=9606 GN=SEPTIN2 PE=1 SV=1;tr|C9J2Q4|C9J2Q4_HUMAN Septin-2 (Fragment) OS=Homo sapiens OX=9606 GN=SEPTIN2 PE=1 SV=1;tr|H7C2Y0|H7C2Y,15,15,51.2,361;321;184;188;161;173;121;131;147;148;94;105;29;71;72;80
RAN,0.0168135842,0.905068990514088,0,P62826;B5MDF5;J3KQE5;F5H018;B4DV51;H0YFC6;A0A087X0W0,P62826;B5MDF5;J3KQE5;F5H018;B4DV51,22;22;21;18;11;10;1,22;22;21;18;11;10;1,22;22;21;18;11;10;1,GTP-binding nuclear protein Ran,RAN,sp|P62826|RAN_HUMAN GTP-binding nuclear protein Ran OS=Homo sapiens OX=9606 GN=RAN PE=1 SV=3;tr|B5MDF5|B5MDF5_HUMAN GTP-binding nuclear protein Ran OS=Homo sapiens OX=9606 GN=RAN PE=1 SV=1;tr|J3KQE5|J3KQE5_HUMAN GTP-binding nuclear protein Ran (Fragment) O,22,22,56.9,216;233;234;198;128;103;53
SEPT10,-0.1105021416,0.634775129021214,0,Q9P0V9;E7EW69;B5ME97;E7EX04;F5GYV2;F5H1F2;F5H1W3;F8WC85;C9JEW2;C9JNR7;C9JEQ7,Q9P0V9;E7EW69;B5ME97;E7EX04,11;11;11;10;2;2;1;1;1;1;1,10;10;10;9;2;2;1;1;1;1;1,10;10;10;9;2;2;1;1;1;1;1,Septin-10,SEPT10,"sp|Q9P0V9|SEP10_HUMAN Septin-10 OS=Homo sapiens OX=9606 GN=SEPTIN10 PE=1 SV=2;tr|E7EW69|E7EW69_HUMAN Septin-10 OS=Homo sapiens OX=9606 GN=SEPTIN10 PE=1 SV=1;tr|B5ME97|B5ME97_HUMAN Septin 10, isoform CRA_c OS=Homo sapiens OX=9606 GN=SEPTIN10 PE=1 SV=2;tr|E7",11,10,31.7,454;450;544;473;26;98;38;48;57;61;97
DDX27,0.1637922715,0.335062166282728,0,Q96GQ7;B7Z6D5;A0A087X059;A0A087WYH5,Q96GQ7;B7Z6D5,13;13;6;1,13;13;6;1,13;13;6;1,Probable ATP-dependent RNA helicase DDX27,DDX27,sp|Q96GQ7|DDX27_HUMAN Probable ATP-dependent RNA helicase DDX27 OS=Homo sapiens OX=9606 GN=DDX27 PE=1 SV=2;tr|B7Z6D5|B7Z6D5_HUMAN Probable ATP-dependent RNA helicase DDX27 OS=Homo sapiens OX=9606 GN=DDX27 PE=1 SV=1,13,13,17.2,796;765;275;169
RANBP3,-0.1315988293,0.377365813568255,0,Q9H6Z4;K7EN31;B7Z7F3,Q9H6Z4;K7EN31;B7Z7F3,1;1;1,1;1;1,1;1;1,Ran-binding protein 3,RANBP3,sp|Q9H6Z4|RANB3_HUMAN Ran-binding protein 3 OS=Homo sapiens OX=9606 GN=RANBP3 PE=1 SV=1;tr|K7EN31|K7EN31_HUMAN Ran-binding protein 3 (Fragment) OS=Homo sapiens OX=9606 GN=RANBP3 PE=1 SV=8;tr|B7Z7F3|B7Z7F3_HUMAN Ran-binding protein 3 OS=Homo sapiens OX=9606,1,1,2.5,567;171;494
ACADM,-0.0571086348,0.80606112562342,0,P11310;B7Z9I1;Q5T4U5;H0YDT5,P11310;B7Z9I1;Q5T4U5,12;12;12;3,12;12;12;3,12;12;12;3,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",ACADM,"sp|P11310|ACADM_HUMAN Medium-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ACADM PE=1 SV=1;tr|B7Z9I1|B7Z9I1_HUMAN Medium-chain-specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ACADM PE=1 SV=1;tr|Q5",12,12,30.6,421;385;454;67
MED20,-1.3792136766,0.0933378585011888,0,Q9H944;B7ZBQ3;B7ZBQ1;A6PVP4,Q9H944;B7ZBQ3;B7ZBQ1;A6PVP4,2;2;1;1,2;2;1;1,2;2;1;1,Mediator of RNA polymerase II transcription subunit 20,MED20,sp|Q9H944|MED20_HUMAN Mediator of RNA polymerase II transcription subunit 20 OS=Homo sapiens OX=9606 GN=MED20 PE=1 SV=1;tr|B7ZBQ3|B7ZBQ3_HUMAN Mediator of RNA polymerase II transcription subunit 20 OS=Homo sapiens OX=9606 GN=MED20 PE=1 SV=1;tr|B7ZBQ1|B7ZBQ,2,2,11.8,212;145;60;140
