CRBN_vs_zBirA,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
CD9,0.0483453663,0.741287815703827,0,P21926;A6NNI4;A0A2R8Y478;G8JLH6,P21926;A6NNI4;A0A2R8Y478;G8JLH6,2;2;2;2,2;2;2;2,2;2;2;2,CD9 antigen;Tetraspanin,CD9,sp|P21926|CD9_HUMAN CD9 antigen OS=Homo sapiens OX=9606 GN=CD9 PE=1 SV=4;tr|A6NNI4|A6NNI4_HUMAN Tetraspanin OS=Homo sapiens OX=9606 GN=CD9 PE=1 SV=1;tr|A0A2R8Y478|A0A2R8Y478_HUMAN Tetraspanin OS=Homo sapiens OX=9606 GN=CD9 PE=1 SV=1;tr|G8JLH6|G8JLH6_HUMAN ,2,2,15.4,228
CTNNB1,0.0355659945,0.781016371617009,0,P35222;A0A2R8Y804;A0A2R8Y543;A0A2R8YCH5;A0A2R8Y7Z0;A0A2R8Y5A3;A0A2R8Y750;A0A2R8Y5Z1;B4DGU4;A0A2R8Y5C3;A0A2R8Y6G0;A0A2R8Y815;A0A2R8YG06;C9IZ65,P35222;A0A2R8Y804;A0A2R8Y543;A0A2R8YCH5;A0A2R8Y7Z0;A0A2R8Y5A3;A0A2R8Y750;A0A2R8Y5Z1;B4DGU4;A0A2R8Y5C3;A0A2R8Y6G0,14;14;14;14;14;14;13;13;13;12;7;3;2;1,14;14;14;14;14;14;13;13;13;12;7;3;2;1,11;11;11;11;11;11;10;10;10;9;5;3;2;1,Catenin beta-1,CTNNB1,sp|P35222|CTNB1_HUMAN Catenin beta-1 OS=Homo sapiens OX=9606 GN=CTNNB1 PE=1 SV=1;tr|A0A2R8Y804|A0A2R8Y804_HUMAN Catenin beta-1 OS=Homo sapiens OX=9606 GN=CTNNB1 PE=1 SV=1;tr|A0A2R8Y543|A0A2R8Y543_HUMAN Catenin beta-1 OS=Homo sapiens OX=9606 GN=CTNNB1 PE=1 ,14,11,27.3,781
POLR1C,-0.1830996114,0.181493684402959,0,O15160;A0A2R8YEZ4;A0A2R8Y5D3;A0A2R8Y8D6;E7EQB9;H0Y723;A0A2R8YEY5;D6RDJ3,O15160;A0A2R8YEZ4;A0A2R8Y5D3;A0A2R8Y8D6;E7EQB9;H0Y723;A0A2R8YEY5;D6RDJ3,6;6;6;5;5;4;4;3,6;6;6;5;5;4;4;3,6;6;6;5;5;4;4;3,DNA-directed RNA polymerases I and III subunit RPAC1,POLR1C,sp|O15160|RPAC1_HUMAN DNA-directed RNA polymerases I and III subunit RPAC1 OS=Homo sapiens OX=9606 GN=POLR1C PE=1 SV=1;tr|A0A2R8YEZ4|A0A2R8YEZ4_HUMAN DNA-directed RNA polymerases I and III subunit RPAC1 OS=Homo sapiens OX=9606 GN=POLR1C PE=1 SV=1;tr|A0A2R8,6,6,20.5,346
TPM4,0.1891553615,0.273220072500666,0,P67936;A0A2R8YGX3;A0A2R8Y5V9;A0A2R8YEU4;A0A2R8YH90;A0A2R8YE05;K7ENT6;A0A2R8YHD2;A0A590UJB9;A0A590UK79;A0A5F9UN72,P67936;A0A2R8YGX3;A0A2R8Y5V9;A0A2R8YEU4;A0A2R8YH90;A0A2R8YE05;K7ENT6;A0A2R8YHD2,20;20;20;13;13;13;13;13;7;7;5,11;11;11;4;4;4;4;4;7;7;4,9;9;9;2;2;2;2;2;7;7;2,Tropomyosin alpha-4 chain,TPM4,sp|P67936|TPM4_HUMAN Tropomyosin alpha-4 chain OS=Homo sapiens OX=9606 GN=TPM4 PE=1 SV=3;tr|A0A2R8YGX3|A0A2R8YGX3_HUMAN Tropomyosin alpha-4 chain OS=Homo sapiens OX=9606 GN=TPM4 PE=1 SV=1;tr|A0A2R8Y5V9|A0A2R8Y5V9_HUMAN Tropomyosin alpha-4 chain OS=Homo sap,20,9,42.3,248
SUCLA2,-0.1644543357,0.319546435374976,0,Q9P2R7;A0A2R8Y6Y7;A0A2R8YDQ9;Q5T9Q5;A0A0U1RRI1;Q5T9Q8;A0A0U1RQF8;A0A2R8Y5P6;A0A2R8Y6E6;A0A0U1RQL1;A0A0U1RQU7;A0A2R8Y5P4,Q9P2R7;A0A2R8Y6Y7;A0A2R8YDQ9;Q5T9Q5;A0A0U1RRI1;Q5T9Q8,6;6;5;4;3;3;2;2;2;1;1;1,6;6;5;4;3;3;2;2;2;1;1;1,6;6;5;4;3;3;2;2;2;1;1;1,"Succinyl-CoA ligase [ADP-forming] subunit beta, mitochondrial",SUCLA2,"sp|Q9P2R7|SUCB1_HUMAN Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=SUCLA2 PE=1 SV=3;tr|A0A2R8Y6Y7|A0A2R8Y6Y7_HUMAN Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=SUCL",6,6,17.3,463
RPS14,-0.0177337888,0.88149217069873,0,P62263;A0A2R8Y811;E5RH77,P62263;A0A2R8Y811;E5RH77,13;13;8,13;13;8,13;13;8,40S ribosomal protein S14,RPS14,sp|P62263|RS14_HUMAN 40S ribosomal protein S14 OS=Homo sapiens OX=9606 GN=RPS14 PE=1 SV=3;tr|A0A2R8Y811|A0A2R8Y811_HUMAN 40S ribosomal protein S14 (Fragment) OS=Homo sapiens OX=9606 GN=RPS14 PE=1 SV=1;tr|E5RH77|E5RH77_HUMAN 40S ribosomal protein S14 OS=Hom,13,13,47,151
RPS24,0.2258949946,0.109306645675679,0,P62847;E7ETK0;A0A2R8Y849;A0A2R8YD14;A0A2R8Y8A0,P62847;E7ETK0;A0A2R8Y849;A0A2R8YD14;A0A2R8Y8A0,11;11;11;11;6,11;11;11;11;6,11;11;11;11;6,40S ribosomal protein S24,RPS24,sp|P62847|RS24_HUMAN 40S ribosomal protein S24 OS=Homo sapiens OX=9606 GN=RPS24 PE=1 SV=1;tr|E7ETK0|E7ETK0_HUMAN 40S ribosomal protein S24 OS=Homo sapiens OX=9606 GN=RPS24 PE=1 SV=1;tr|A0A2R8Y849|A0A2R8Y849_HUMAN 40S ribosomal protein S24 OS=Homo sapiens O,11,11,50.4,133
SMARCE1,0.0673361101,0.623732085251078,0,Q969G3;A0A2R8Y855;A0A2U3TZQ7;B4DGM3;A0A2R8Y7I9;J3QKS7;J3QR61;A0A2R8Y765;A0A2R8Y7U4;A0A2R8Y4T4;A0A2R8YES3;J3QKX6;A0A2R8YD78;J3KT85;A0A2R8YEB8;A0A2R8YFC8;J3QL66;A0A2R8YDQ4,Q969G3;A0A2R8Y855;A0A2U3TZQ7;B4DGM3;A0A2R8Y7I9;J3QKS7;J3QR61;A0A2R8Y765;A0A2R8Y7U4;A0A2R8Y4T4;A0A2R8YES3,8;8;7;7;7;7;6;6;6;6;5;3;2;2;2;1;1;1,8;8;7;7;7;7;6;6;6;6;5;3;2;2;2;1;1;1,8;8;7;7;7;7;6;6;6;6;5;3;2;2;2;1;1;1,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1,SMARCE1,sp|Q969G3|SMCE1_HUMAN SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1 OS=Homo sapiens OX=9606 GN=SMARCE1 PE=1 SV=2;tr|A0A2R8Y855|A0A2R8Y855_HUMAN SWI/SNF-related matrix-associated actin-dependent regulator of c,8,8,31.9,411
PFKM,-0.0806159862,0.550941034445469,0,P08237;F8VZI0;A0A2R8Y891;F8VX13;F8VZQ1;F8VP00;F8VSF7;F8VTQ3;F8VW30;F8VUB8;F8VYK8;F8VVE3;H0YHB8,P08237;F8VZI0;A0A2R8Y891,10;10;10;3;3;3;2;2;2;2;2;2;1,9;9;9;3;3;3;2;2;2;2;2;2;1,9;9;9;3;3;3;2;2;2;2;2;2;1,"ATP-dependent 6-phosphofructokinase, muscle type",PFKM,"sp|P08237|PFKAM_HUMAN ATP-dependent 6-phosphofructokinase, muscle type OS=Homo sapiens OX=9606 GN=PFKM PE=1 SV=2;tr|F8VZI0|F8VZI0_HUMAN ATP-dependent 6-phosphofructokinase, muscle type OS=Homo sapiens OX=9606 GN=PFKM PE=1 SV=10;tr|A0A2R8Y891|A0A2R8Y891_HUM",10,9,16.4,780
HSD17B4,-0.6285866469,0.0201111083821336,0,P51659;A0A2R8YD50;E7EWE5;E7ER27;G5E9S2;E7ET17;A0A2R8Y7L2;E7EPL9;A0A2R8YDT8;A0A2R8YF45;A0A2R8Y7W2;A0A2R8YEG2,P51659;A0A2R8YD50;E7EWE5;E7ER27;G5E9S2;E7ET17;A0A2R8Y7L2,20;20;17;15;14;14;13;8;7;6;5;2,20;20;17;15;14;14;13;8;7;6;5;2,20;20;17;15;14;14;13;8;7;6;5;2,Peroxisomal multifunctional enzyme type 2;(3R)-hydroxyacyl-CoA dehydrogenase;Enoyl-CoA hydratase 2,HSD17B4,sp|P51659|DHB4_HUMAN Peroxisomal multifunctional enzyme type 2 OS=Homo sapiens OX=9606 GN=HSD17B4 PE=1 SV=3;tr|A0A2R8YD50|A0A2R8YD50_HUMAN Peroxisomal multifunctional enzyme type 2 OS=Homo sapiens OX=9606 GN=HSD17B4 PE=1 SV=1;tr|E7EWE5|E7EWE5_HUMAN Peroxis,20,20,37.2,736
CSNK2A1;CSNK2A3,-0.1303078764,0.357914663243586,0,P68400;E7EU96;A0A2R8YD58;Q8NEV1;A0A2R8YF43;A0A2R8Y5A0;A0A2R8YFU2;A0A2R8YDP2;A0A2R8Y4H0;A0A2R8Y4D6;V9GYA2;A0A2R8YDY7;A0A2R8YEW1;A0A087WY74;A0A2R8Y7T1;A0A2R8YCK2;A0A2R8YF47;V9GY80;A0A2R8YEL7;A0A2R8Y797;A0A2R8Y3W6;V9GYW6,P68400;E7EU96;A0A2R8YD58;Q8NEV1;A0A2R8YF43;A0A2R8Y5A0;A0A2R8YFU2;A0A2R8YDP2;A0A2R8Y4H0;A0A2R8Y4D6,13;13;13;12;12;12;9;8;8;8;6;6;4;4;2;2;2;2;2;2;2;1,13;13;13;12;12;12;9;8;8;8;6;6;4;4;2;2;2;2;2;2;2;1,13;13;13;12;12;12;9;8;8;8;6;6;4;4;2;2;2;2;2;2;2;1,Casein kinase II subunit alpha;Casein kinase II subunit alpha 3,CSNK2A1;CSNK2A3,sp|P68400|CSK21_HUMAN Casein kinase II subunit alpha OS=Homo sapiens OX=9606 GN=CSNK2A1 PE=1 SV=1;tr|E7EU96|E7EU96_HUMAN Casein kinase II subunit alpha OS=Homo sapiens OX=9606 GN=CSNK2A1 PE=1 SV=1;tr|A0A2R8YD58|A0A2R8YD58_HUMAN Casein kinase II subunit alp,13,13,45,391
RPL15,0.4138401297,0.034571535514286,0,P61313;A0A2R8YEM3;E7EQV9;E7ENU7;E7EX53;A0A2R8Y738,P61313;A0A2R8YEM3;E7EQV9;E7ENU7;E7EX53;A0A2R8Y738,15;15;15;13;10;10,15;15;15;13;10;10,15;15;15;13;10;10,60S ribosomal protein L15;Ribosomal protein L15,RPL15,sp|P61313|RL15_HUMAN 60S ribosomal protein L15 OS=Homo sapiens OX=9606 GN=RPL15 PE=1 SV=2;tr|A0A2R8YEM3|A0A2R8YEM3_HUMAN Ribosomal protein L15 (Fragment) OS=Homo sapiens OX=9606 GN=RPL15 PE=1 SV=1;tr|E7EQV9|E7EQV9_HUMAN Ribosomal protein L15 (Fragment) OS=,15,15,48,204
SEC23B,-0.089515195,0.509928603376072,0,Q15437;A0A2R8YFH5;Q5QPE2;A0A2R8Y633;A0A2R8Y7S7;Q5QPE1;G3V5K1;A0A2R8YF30,Q15437;A0A2R8YFH5;Q5QPE2,13;13;9;3;3;3;2;1,13;13;9;3;3;3;2;1,9;9;5;1;1;3;0;0,Protein transport protein Sec23B,SEC23B,sp|Q15437|SC23B_HUMAN Protein transport protein Sec23B OS=Homo sapiens OX=9606 GN=SEC23B PE=1 SV=2;tr|A0A2R8YFH5|A0A2R8YFH5_HUMAN Protein transport protein SEC23 OS=Homo sapiens OX=9606 GN=SEC23B PE=1 SV=1;tr|Q5QPE2|Q5QPE2_HUMAN Protein transport protein S,13,9,21.8,767
TPP1,-0.9798737067,0.00145747120612225,0,O14773;A0A2R8YGD1;A0A2R8Y7U1;A0A2R8YD45;A0A2R8Y7I4;A0A2R8YD72;A0A2R8YDY1,O14773;A0A2R8YGD1;A0A2R8Y7U1;A0A2R8YD45,7;7;6;5;3;2;1,7;7;6;5;3;2;1,7;7;6;5;3;2;1,Tripeptidyl-peptidase 1,TPP1,sp|O14773|TPP1_HUMAN Tripeptidyl-peptidase 1 OS=Homo sapiens OX=9606 GN=TPP1 PE=1 SV=2;tr|A0A2R8YGD1|A0A2R8YGD1_HUMAN Tripeptidyl-peptidase 1 OS=Homo sapiens OX=9606 GN=TPP1 PE=1 SV=1;tr|A0A2R8Y7U1|A0A2R8Y7U1_HUMAN Tripeptidyl-peptidase 1 (Fragment) OS=Hom,7,7,17.4,563
EEF1A2,0.2484470525,0.247365663111626,0,Q05639;A0A2U3TZH3;A0A2R8Y488;A0A2R8Y660;A0A2R8YDN5,Q05639;A0A2U3TZH3,34;34;15;13;10,13;13;3;3;3,13;13;3;3;3,Elongation factor 1-alpha 2,EEF1A2,sp|Q05639|EF1A2_HUMAN Elongation factor 1-alpha 2 OS=Homo sapiens OX=9606 GN=EEF1A2 PE=1 SV=1;tr|A0A2U3TZH3|A0A2U3TZH3_HUMAN Elongation factor 1-alpha OS=Homo sapiens OX=9606 GN=EEF1A2 PE=1 SV=1,34,13,65.9,463
CD59,0.0293279111,0.812747193793269,0,P13987;E9PNW4;A0A2U3TZL5;H0YET2,P13987;E9PNW4;A0A2U3TZL5,7;7;7;2,7;7;7;2,7;7;7;2,CD59 glycoprotein,CD59,sp|P13987|CD59_HUMAN CD59 glycoprotein OS=Homo sapiens OX=9606 GN=CD59 PE=1 SV=1;tr|E9PNW4|E9PNW4_HUMAN UPAR/Ly6 domain-containing protein OS=Homo sapiens OX=9606 PE=1 SV=1;tr|A0A2U3TZL5|A0A2U3TZL5_HUMAN CD59 glycoprotein (Fragment) OS=Homo sapiens OX=9606,7,7,28.1,128
NDUFA6,0.0375426998,0.827751819536049,0,P56556;A0A2Y9D025;R4GN43,P56556;A0A2Y9D025;R4GN43,4;4;2,4;4;2,4;4;2,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6,NDUFA6,sp|P56556|NDUA6_HUMAN NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6 OS=Homo sapiens OX=9606 GN=NDUFA6 PE=1 SV=4;tr|A0A2Y9D025|A0A2Y9D025_HUMAN NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6 OS=Homo sapiens OX=9606 GN=NDUFA6 PE=,4,4,39.8,128
MTHFD1,0.0129781935,0.91560535528647,0,P11586;V9GYY3;A0A384N5Y3;F5H2F4;V9GZ78;A0A494C1T2,P11586;V9GYY3;A0A384N5Y3;F5H2F4;V9GZ78;A0A494C1T2,63;63;63;63;54;41,63;63;63;63;54;41,62;62;62;62;53;40,"C-1-tetrahydrofolate synthase, cytoplasmic;Methylenetetrahydrofolate dehydrogenase;Methenyltetrahydrofolate cyclohydrolase;Formyltetrahydrofolate synthetase;C-1-tetrahydrofolate synthase, cytoplasmic, N-terminally processed",MTHFD1,"sp|P11586|C1TC_HUMAN C-1-tetrahydrofolate synthase, cytoplasmic OS=Homo sapiens OX=9606 GN=MTHFD1 PE=1 SV=3;tr|V9GYY3|V9GYY3_HUMAN C-1-tetrahydrofolate synthase, cytoplasmic OS=Homo sapiens OX=9606 GN=MTHFD1 PE=1 SV=2;tr|A0A384N5Y3|A0A384N5Y3_HUMAN C-1-tet",63,62,73.7,935
CTPS1,0.6551127789,0.0251306436899912,0,P17812;A0A3B3IRI2;B4E1E0;A0A3B3IRQ8;A0A3B3ITF6;A0A3B3ITB8;A0A3B3ISY3;A0A3B3ITH9;Q9NRF8,P17812;A0A3B3IRI2;B4E1E0;A0A3B3IRQ8;A0A3B3ITF6;A0A3B3ITB8,32;32;26;24;24;18;7;5;3,32;32;26;24;24;18;7;5;3,32;32;26;24;24;18;7;5;3,CTP synthase 1;CTP synthase,CTPS1,sp|P17812|PYRG1_HUMAN CTP synthase 1 OS=Homo sapiens OX=9606 GN=CTPS1 PE=1 SV=2;tr|A0A3B3IRI2|A0A3B3IRI2_HUMAN CTP synthase OS=Homo sapiens OX=9606 GN=CTPS1 PE=1 SV=1;tr|B4E1E0|B4E1E0_HUMAN CTP synthase OS=Homo sapiens OX=9606 GN=CTPS1 PE=1 SV=1;tr|A0A3B3I,32,32,60.4,591
CREG1,0.2071098571,0.282208119140855,0,O75629;A0A3B3IRL2,O75629;A0A3B3IRL2,1;1,1;1,1;1,Protein CREG1,CREG1,"sp|O75629|CREG1_HUMAN Protein CREG1 OS=Homo sapiens OX=9606 GN=CREG1 PE=1 SV=1;tr|A0A3B3IRL2|A0A3B3IRL2_HUMAN Cellular repressor of E1A-stimulated genes 1, isoform CRA_a OS=Homo sapiens OX=9606 GN=CREG1 PE=1 SV=1",1,1,9.5,220
HEBP1,-0.6769206708,0.00278595863151516,0,Q9NRV9;A0A3B3IRV5;F5GWX2;H0YG71,Q9NRV9;A0A3B3IRV5,7;7;2;1,7;7;2;1,7;7;2;1,Heme-binding protein 1,HEBP1,sp|Q9NRV9|HEBP1_HUMAN Heme-binding protein 1 OS=Homo sapiens OX=9606 GN=HEBP1 PE=1 SV=1;tr|A0A3B3IRV5|A0A3B3IRV5_HUMAN Heme-binding protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=HEBP1 PE=1 SV=1,7,7,49.2,189
PPM1B,-1.0653961044,0.000896482579662455,1,O75688;B8ZZF0;C9JIR6;A0A3B3IS24,O75688;B8ZZF0;C9JIR6;A0A3B3IS24,3;3;3;3,3;3;3;3,1;1;1;1,Protein phosphatase 1B,PPM1B,sp|O75688|PPM1B_HUMAN Protein phosphatase 1B OS=Homo sapiens OX=9606 GN=PPM1B PE=1 SV=1;tr|B8ZZF0|B8ZZF0_HUMAN Protein phosphatase 1B (Fragment) OS=Homo sapiens OX=9606 GN=PPM1B PE=1 SV=2;tr|C9JIR6|C9JIR6_HUMAN Protein phosphatase 1B (Fragment) OS=Homo sap,3,1,6.5,479
ABCD3,-0.1730217385,0.285264460871138,0,P28288;A0A3B3ITW3,P28288;A0A3B3ITW3,7;7,7;7,7;7,ATP-binding cassette sub-family D member 3,ABCD3,sp|P28288|ABCD3_HUMAN ATP-binding cassette sub-family D member 3 OS=Homo sapiens OX=9606 GN=ABCD3 PE=1 SV=1;tr|A0A3B3ITW3|A0A3B3ITW3_HUMAN ATP-binding cassette sub-family D member 3 OS=Homo sapiens OX=9606 GN=ABCD3 PE=1 SV=2,7,7,15.2,659
THRAP3,-0.1440740192,0.269357681953181,0,Q9Y2W1;A0A3B3ITZ9,Q9Y2W1;A0A3B3ITZ9,13;13,13;13,13;13,Thyroid hormone receptor-associated protein 3,THRAP3,sp|Q9Y2W1|TR150_HUMAN Thyroid hormone receptor-associated protein 3 OS=Homo sapiens OX=9606 GN=THRAP3 PE=1 SV=2;tr|A0A3B3ITZ9|A0A3B3ITZ9_HUMAN Thyroid hormone receptor-associated protein 3 OS=Homo sapiens OX=9606 GN=THRAP3 PE=1 SV=1,13,13,18.1,955
MCM4,-0.4207877499,0.0490061769368365,0,P33991;A0A3B3IU45;A0A3B3IT92;A0A3B3ITP6;A0A3B3IS57;E5RG31;A0A3B3IRR8;Q9UJA3;A0A494C100,P33991;A0A3B3IU45;A0A3B3IT92;A0A3B3ITP6;A0A3B3IS57;E5RG31,31;31;30;26;25;23;7;1;1,31;31;30;26;25;23;7;1;1,31;31;30;26;25;23;7;1;1,DNA replication licensing factor MCM4,MCM4,sp|P33991|MCM4_HUMAN DNA replication licensing factor MCM4 OS=Homo sapiens OX=9606 GN=MCM4 PE=1 SV=5;tr|A0A3B3IU45|A0A3B3IU45_HUMAN DNA helicase OS=Homo sapiens OX=9606 GN=MCM4 PE=1 SV=1;tr|A0A3B3IT92|A0A3B3IT92_HUMAN DNA helicase OS=Homo sapiens OX=9606 G,31,31,45.2,863
NHP2L1,-0.1284425208,0.503044223142369,0,A0A3B3IUA2;P55769;B1AHD1;A0A3B3IRU2;A0A3B3ISH1;A0A3B3ISK4,A0A3B3IUA2;P55769;B1AHD1,11;10;10;4;1;1,11;10;10;4;1;1,11;10;10;4;1;1,"NHP2-like protein 1;NHP2-like protein 1, N-terminally processed",NHP2L1,tr|A0A3B3IUA2|A0A3B3IUA2_HUMAN Ribonucloprotein OS=Homo sapiens OX=9606 GN=SNU13 PE=1 SV=1;sp|P55769|NH2L1_HUMAN NHP2-like protein 1 OS=Homo sapiens OX=9606 GN=SNU13 PE=1 SV=3;tr|B1AHD1|B1AHD1_HUMAN Ribonucloprotein OS=Homo sapiens OX=9606 GN=SNU13 PE=1 SV,11,11,33.5,272
GLA,-0.5355610112,0.0134095820335451,0,P06280;A0A3B3IUC4;A0A669KAY7;A0A669KB83;A0A3B3IRU3;V9GYN5,P06280;A0A3B3IUC4;A0A669KAY7;A0A669KB83;A0A3B3IRU3;V9GYN5,4;4;2;2;2;2,4;4;2;2;2;2,4;4;2;2;2;2,Alpha-galactosidase A,GLA,sp|P06280|AGAL_HUMAN Alpha-galactosidase A OS=Homo sapiens OX=9606 GN=GLA PE=1 SV=1;tr|A0A3B3IUC4|A0A3B3IUC4_HUMAN Alpha-galactosidase OS=Homo sapiens OX=9606 GN=GLA PE=1 SV=1;tr|A0A669KAY7|A0A669KAY7_HUMAN Alpha-galactosidase A (Fragment) OS=Homo sapiens ,4,4,12.6,429
DEK,0.142801324,0.318210902600819,0,P35659;H0Y993;A0A494C028;H0Y8X0;A0A494C198;B4DFG0;D6RDA2;D6R9L5,P35659;H0Y993;A0A494C028;H0Y8X0;A0A494C198;B4DFG0,8;8;8;6;5;5;3;3,8;8;8;6;5;5;3;3,8;8;8;6;5;5;3;3,Protein DEK,DEK,"sp|P35659|DEK_HUMAN Protein DEK OS=Homo sapiens OX=9606 GN=DEK PE=1 SV=1;tr|H0Y993|H0Y993_HUMAN DEK oncogene (DNA binding), isoform CRA_b OS=Homo sapiens OX=9606 GN=DEK PE=1 SV=2;tr|A0A494C028|A0A494C028_HUMAN Protein DEK OS=Homo sapiens OX=9606 GN=DEK PE=",8,8,19.7,375
EBP,0.0366461844,0.867804401088033,0,Q15125;C9J719;C9JJ78;A0A494C0F3,Q15125;C9J719;C9JJ78;A0A494C0F3,1;1;1;1,1;1;1;1,1;1;1;1,"3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase",EBP,"sp|Q15125|EBP_HUMAN 3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase OS=Homo sapiens OX=9606 GN=EBP PE=1 SV=3;tr|C9J719|C9J719_HUMAN 3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase (Fragment) OS=Homo sapiens OX=9606 GN=EBP PE=1 SV=8;tr|C9JJ78|C9JJ78_HUM",1,1,7,230
CLUH,0.042407281,0.771115683265749,0,O75153;K7EIG1;I3L2B0;A0A494C0R8;I3L4B5;I3L318,O75153;K7EIG1;I3L2B0;A0A494C0R8,17;17;17;17;3;3,17;17;17;17;3;3,17;17;17;17;3;3,Clustered mitochondria protein homolog,CLUH,sp|O75153|CLU_HUMAN Clustered mitochondria protein homolog OS=Homo sapiens OX=9606 GN=CLUH PE=1 SV=2;tr|K7EIG1|K7EIG1_HUMAN Clustered mitochondria protein homolog (Fragment) OS=Homo sapiens OX=9606 GN=CLUH PE=1 SV=2;tr|I3L2B0|I3L2B0_HUMAN Clustered mitocho,17,17,16.8,1309
TPP2,-1.8117291503,0.000783183724353796,1,P29144;A0A494C1B8;A0A494C0U1;Q5VZU9,P29144;A0A494C1B8;A0A494C0U1;Q5VZU9,4;4;4;4,4;4;4;4,4;4;4;4,Tripeptidyl-peptidase 2,TPP2,sp|P29144|TPP2_HUMAN Tripeptidyl-peptidase 2 OS=Homo sapiens OX=9606 GN=TPP2 PE=1 SV=4;tr|A0A494C1B8|A0A494C1B8_HUMAN Tripeptidyl-peptidase 2 OS=Homo sapiens OX=9606 GN=TPP2 PE=1 SV=1;tr|A0A494C0U1|A0A494C0U1_HUMAN Tripeptidyl-peptidase 2 (Fragment) OS=Hom,4,4,3.6,1249
NOP56,-0.0314899948,0.82266461255939,0,O00567;A0A494C128;H0Y653;H0YDU4;Q5JXT2,O00567;A0A494C128;H0Y653;H0YDU4,24;24;13;13;10,24;24;13;13;10,24;24;13;13;10,Nucleolar protein 56,NOP56,sp|O00567|NOP56_HUMAN Nucleolar protein 56 OS=Homo sapiens OX=9606 GN=NOP56 PE=1 SV=4;tr|A0A494C128|A0A494C128_HUMAN Nucleolar protein 56 OS=Homo sapiens OX=9606 GN=NOP56 PE=1 SV=1;tr|H0Y653|H0Y653_HUMAN Nucleolar protein 56 (Fragment) OS=Homo sapiens OX=9,24,24,41.6,594
FKBP2,-0.4242507741,0.0178969430952578,0,P26885;A0A494C1N0,P26885;A0A494C1N0,6;6,6;6,6;6,Peptidyl-prolyl cis-trans isomerase FKBP2,FKBP2,sp|P26885|FKBP2_HUMAN Peptidyl-prolyl cis-trans isomerase FKBP2 OS=Homo sapiens OX=9606 GN=FKBP2 PE=1 SV=2;tr|A0A494C1N0|A0A494C1N0_HUMAN Peptidylprolyl isomerase OS=Homo sapiens OX=9606 GN=FKBP2 PE=1 SV=1,6,6,53.5,142
PREP,-0.7159940271,0.00685054655165223,0,P48147;A0A499FJL1,P48147;A0A499FJL1,5;5,5;5,5;5,Prolyl endopeptidase,PREP,sp|P48147|PPCE_HUMAN Prolyl endopeptidase OS=Homo sapiens OX=9606 GN=PREP PE=1 SV=2;tr|A0A499FJL1|A0A499FJL1_HUMAN Prolyl endopeptidase OS=Homo sapiens OX=9606 GN=PREP PE=1 SV=1,5,5,9,710
S100A2,-0.6360555479,0.0110316190095304,0,A0A590UJ49;P29034;R4GN49,A0A590UJ49;P29034;R4GN49,3;2;2,3;2;2,3;2;2,Protein S100-A2,S100A2,tr|A0A590UJ49|A0A590UJ49_HUMAN Protein S100 OS=Homo sapiens OX=9606 GN=S100A2 PE=1 SV=1;sp|P29034|S10A2_HUMAN Protein S100-A2 OS=Homo sapiens OX=9606 GN=S100A2 PE=1 SV=3;tr|R4GN49|R4GN49_HUMAN Protein S100-A2 OS=Homo sapiens OX=9606 GN=S100A2 PE=1 SV=1,3,3,35.1,97
SRSF6,-0.4630988288,0.0259408319004153,0,Q13247;A0A590UJK4;A0A590UK01;A0A590UJP7;A0A590UK80,Q13247;A0A590UJK4;A0A590UK01;A0A590UJP7;A0A590UK80,7;7;7;7;7,6;6;6;6;6,6;6;6;6;6,Serine/arginine-rich splicing factor 6,SRSF6,sp|Q13247|SRSF6_HUMAN Serine/arginine-rich splicing factor 6 OS=Homo sapiens OX=9606 GN=SRSF6 PE=1 SV=2;tr|A0A590UJK4|A0A590UJK4_HUMAN Serine/arginine-rich-splicing factor 6 OS=Homo sapiens OX=9606 GN=SRSF6 PE=1 SV=1;tr|A0A590UK01|A0A590UK01_HUMAN Serine/a,7,6,23.3,344
