Gene_names,DET1_vs_BirA_logFC,DET1_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_DET1_N1,Peptides_DET1_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_DET1_N1,Razor___unique_peptides_DET1_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_DET1_N1,Unique_peptides_DET1_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_DET1_N1,Identification_type_DET1_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_DET1_N1,Ratio_H_L_DET1_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_DET1_N1,Ratio_H_L_normalized_DET1_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____DET1_N1,Ratio_H_L_variability_____DET1_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_DET1_N1,Ratio_H_L_count_DET1_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_DET1_N1,Ratio_H_L_iso_count_DET1_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_DET1_N1,Ratio_H_L_type_DET1_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_DET1_N1____,Sequence_coverage_DET1_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_DET1_N1,Intensity_L_DET1_N1,Intensity_H_DET1_N1,Intensity_DET1_N2,Intensity_L_DET1_N2,Intensity_H_DET1_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_DET1_N1,metacell_Intensity_L_DET1_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
HNRNPH2,1.77180098694746,0.0147033314025251,P55795,P55795,16,9,9,Heterogeneous nuclear ribonucleoprotein H2,sp|P55795|HNRH2_HUMAN Heterogeneous nuclear ribonucleoprotein H2 OS=Homo sapiens OX=9606 GN=HNRNPH2 PE=1 SV=1,1,16,9,9,7,6,15,12,5,4,8,6,5,4,8,6,38.8,24.3,24.3,49.263,449,449,0.0,59.741,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.32335,1.1883,24.537,36,6,Leave out requantified,0.32037,0.46057,0.28166,0.34758,1.0533,1.2761,1.1817,1.093,23.753,32.559,28.718,20.151,7,5,14,10,2,0,3,1,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,24.3,20.9,37.6,31.2,3537800000,2649800000,888040000,332920000,247060000,85865000,327670000,232530000,95136000,1560700000,1193900000,366810000,1316500000,976290000,340220000,,,,1928,1884;2734;2735;3100;3792;5251;5254;6110;10196;11484;14513;14828;14829;16776;18379;18488,True;False;True;True;True;True;True;False;False;True;True;False;False;False;True;False,2424;2425;3521;3522;3523;3987;3988;4868;4869;6852;6856;8071;8072;13463;15023;18815;19189;19190;19191;21668;21669;23726;23727;23866,5715;5716;5717;5718;5719;5720;5721;5722;5723;8177;8178;8179;8180;8181;8182;8183;8184;8185;8186;8187;8188;8189;9219;9220;9221;11104;11105;11106;11107;15563;15564;15565;15566;15576;15577;18326;18327;18328;18329;18330;18331;30300;33691;42133;43051;43052;43053;43054;43055;43056;43057;43058;43059;48823;48824;48825;48826;48827;48828;48829;48830;48831;48832;53492;53493;53494;53495;53496;53497;53810;53811;53812,10648;10649;10650;10651;10652;10653;10654;10655;10656;10657;10658;10659;10660;10661;10662;15158;15159;15160;15161;15162;15163;15164;15165;15166;15167;15168;15169;15170;15171;15172;15173;15174;15175;15176;15177;15178;17098;17099;17100;17101;17102;17103;20360;20361;20362;20363;28266;28267;28268;28269;28270;28271;28272;28273;28292;33257;33258;33259;33260;33261;33262;33263;33264;33265;53961;53962;59724;74411;75954;75955;75956;75957;75958;75959;75960;75961;75962;75963;75964;75965;86793;86794;86795;86796;86797;86798;86799;86800;86801;86802;86803;86804;86805;86806;86807;86808;86809;86810;86811;86812;86813;86814;86815;86816;95255;95256;95257;95258;95259;95260;95261;95262;95263;95264;95265;95788;95789;95790,10648;15169;15178;17102;20362;28272;28292;33260;53961;59724;74411;75959;75965;86811;95257;95790,731;732;2344;2345,,14;35;167;185,,-1,protein_1929,quanti,quanti,quanti,quanti
OXCT1,-2.43026813295675,0.0204419167753333,P55809;E9PDW2;Q9BYC2,P55809;E9PDW2,7;5;1,7;5;1,7;5;1,"Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial","sp|P55809|SCOT1_HUMAN Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial OS=Homo sapiens OX=9606 GN=OXCT1 PE=1 SV=1;tr|E9PDW2|E9PDW2_HUMAN Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial OS=Homo sapiens OX=9606 GN=OXCT1 PE=1 SV",3,7,7,7,5,6,2,1,5,6,2,1,5,6,2,1,16.9,16.9,16.9,56.157,520,520;334;517,0.0,9.8483,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.35359,0.8119,14.822,15,4,Leave out requantified,0.27553,0.37045,0.21054,0.36387,0.79333,0.91366,0.71624,0.97459,40.335,19.61,2.7188,,6,6,2,1,3,0,1,0,Leave out requantified,Leave out requantified,Median,Median,12.5,14.2,4.2,1.5,411780000,310060000,101720000,151540000,121310000,30221000,172700000,121110000,51593000,62691000,50061000,12631000,24851000,17577000,7273600,,,,1929,5278;5331;9873;11749;11937;14826;18382,True;True;True;True;True;True;True,6886;6960;13043;15350;15590;19186;23732,15630;15631;15632;15633;15808;15809;29370;34446;34970;34971;34972;34973;43044;43045;53506;53507,28369;28370;28371;28372;28373;28724;28725;28726;28727;52505;60994;61946;61947;61948;61949;61950;75945;75946;75947;95284;95285,28369;28726;52505;60994;61947;75945;95285,,,,,-1;-1;-1,protein_1930,quanti,quanti,quanti,quanti
EIF3B,0.0815010663905085,0.910353377421991,P55884;C9JQN7;C9JZG1,P55884,24;10;3,24;10;3,24;10;3,Eukaryotic translation initiation factor 3 subunit B,sp|P55884|EIF3B_HUMAN Eukaryotic translation initiation factor 3 subunit B OS=Homo sapiens OX=9606 GN=EIF3B PE=1 SV=3,3,24,24,24,15,14,11,15,15,14,11,15,15,14,11,15,31.1,31.1,31.1,92.48,814,814;153;302,0.0,48.734,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.41267,1.235,17.576,66,18,Leave out requantified,0.37322,0.42215,0.22893,0.4455,1.3106,1.1197,0.86085,1.3457,21.309,17.748,36.013,13.68,16,14,12,24,5,2,5,6,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,20.9,18.7,14.5,20.6,4270700000,2752100000,1518600000,774970000,548140000,226840000,756750000,495120000,261630000,761400000,405690000,355710000,1977600000,1303200000,674390000,,,,1930,3698;4298;4764;4937;4938;4939;5608;5624;5795;7380;10984;11691;12143;15753;15944;16478;17568;17729;17730;18179;18189;18670;18671;18915,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,4748;4749;5505;6157;6158;6398;6399;6400;7328;7329;7347;7348;7582;7583;9690;14430;15281;15848;20382;20613;21281;22715;22913;22914;22915;23489;23490;23501;24090;24091;24409,10834;10835;10836;10837;12479;12480;12481;12482;13964;13965;13966;13967;13968;14505;14506;14507;14508;14509;14510;16580;16581;16582;16583;16584;16619;16620;16621;16622;16623;16624;16625;16626;16627;16628;17144;17145;22018;22019;32442;34282;35534;35535;35536;35537;35538;35539;45744;46252;47904;47905;51209;51637;51638;51639;51640;51641;51642;51643;51644;52968;52969;52970;52971;52989;52990;54288;54289;54290;54291;55031,19895;19896;19897;19898;19899;19900;19901;19902;22747;22748;22749;22750;22751;22752;22753;22754;22755;22756;25557;25558;25559;25560;26496;26497;26498;26499;26500;26501;26502;26503;26504;26505;26506;30009;30010;30011;30012;30013;30014;30015;30016;30017;30018;30019;30076;30077;30078;30079;30080;30081;30082;30083;30084;30085;30086;30087;30088;31041;31042;31043;39859;39860;39861;39862;57597;60700;60701;62943;62944;62945;62946;62947;62948;62949;62950;81013;81811;85147;85148;85149;85150;91200;91989;91990;91991;91992;91993;91994;91995;91996;91997;91998;91999;92000;92001;92002;92003;94364;94365;94366;94367;94368;94369;94398;94399;94400;96574;96575;96576;96577;97850,19901;22750;25557;26497;26499;26502;30013;30086;31041;39859;57597;60700;62946;81013;81811;85148;91200;91993;91994;94369;94400;96574;96577;97850,2346;2347,,345;364,,-1;-1;-1,protein_1931,quanti,quanti,quanti,quanti
MARS,-1.66003893761009,0.322835433065036,P56192;H0YHV5;H0YIC2;F5H2V6,P56192,7;3;1;1,7;3;1;1,7;3;1;1,"Methionine--tRNA ligase, cytoplasmic","sp|P56192|SYMC_HUMAN Methionine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=MARS1 PE=1 SV=2",4,7,7,7,3,4,2,7,3,4,2,7,3,4,2,7,10.9,10.9,10.9,101.11,900,900;233;58;140,0.0,9.4231,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.99169,1.9849,41.821,17,1,Leave out requantified,0.47456,0.70716,1.0085,1.1646,1.4472,1.8479,1.6591,3.2711,8.3634,22.824,3.5225,24.431,3,4,2,8,0,0,0,1,Leave out requantified,Leave out requantified,Median,Leave out requantified,4.7,7.1,2.6,10.9,500760000,254040000,246720000,95806000,63963000,31843000,123890000,62220000,61666000,13456000,5674800,7781200,267620000,122180000,145430000,,,,1932,1366;4810;5148;5915;7443;15678;18052,True;True;True;True;True;True;True,1772;6219;6220;6709;7766;9770;20296;23339,4094;14117;14118;15219;15220;17609;17610;17611;22193;22194;22195;22196;45563;45564;45565;52653;52654,7393;7394;25821;25822;27668;27669;27670;31866;31867;31868;31869;31870;31871;31872;40152;40153;40154;40155;40156;80639;93858,7394;25821;27668;31867;40152;80639;93858,,,,,-1;-1;-1;-1,protein_1933,quanti,quanti,quanti,quanti
ATP5E;ATP5EP2,22.443332531723,6.55213131134534e-07,P56381;Q5VTU8,P56381;Q5VTU8,2;1,2;1,2;1,"ATP synthase subunit epsilon, mitochondrial;ATP synthase subunit epsilon-like protein, mitochondrial","sp|P56381|ATP5E_HUMAN ATP synthase subunit epsilon, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1E PE=1 SV=2;sp|Q5VTU8|AT5EL_HUMAN ATP synthase subunit epsilon-like protein, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1EP2 PE=1 SV=1",2,2,2,2,0,0,2,1,0,0,2,1,0,0,2,1,35.3,35.3,35.3,5.7797,51,51;51,0.0,6.139,,,By MS/MS,By MS/MS,0.36226,1.1515,16.743,6,4,Median,,,0.32137,0.37043,,,1.2218,1.0896,,,19.592,8.7868,0,0,4,2,0,0,3,1,Median,Median,Median,Median,0.0,0.0,35.3,19.6,455580000,313610000,141960000,0,0,0,0,0,0,310990000,210470000,100510000,144590000,103140000,41449000,,,,1935,12714;18831,True;True,16551;16552;24306,37062;37063;54797;54798;54799;54800,65744;65745;97479;97480;97481;97482;97483;97484;97485;97486,65745;97484,2350,,21,,-1;-1,protein_1936,quanti,quanti,imputed MEC,imputed MEC
ATP5I,-0.504947414968303,0.519225900154008,P56385,P56385,5,5,5,"ATP synthase subunit e, mitochondrial","sp|P56385|ATP5I_HUMAN ATP synthase subunit e, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5ME PE=1 SV=2",1,5,5,5,4,4,2,2,4,4,2,2,4,4,2,2,65.2,65.2,65.2,7.9331,69,69,0.0,97.217,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.3405,1.0939,30.006,14,5,Leave out requantified,0.40003,0.4227,0.26267,0.33646,1.3784,1.184,0.91994,1.0456,29.405,50.769,20.531,22.029,4,4,4,2,1,1,2,1,Leave out requantified,Leave out requantified,Median,Median,55.1,55.1,30.4,30.4,760490000,539850000,220640000,157610000,106400000,51206000,230680000,155410000,75276000,273850000,210010000,63843000,98346000,68031000,30316000,,,,1936,3240;6265;17457;18737;18803,True;True;True;True;True,4175;8278;22589;24176;24177;24273,9621;9622;18774;18775;50954;50955;54474;54475;54476;54729;54730;54731;54732;54733,17847;17848;17849;17850;17851;34041;34042;34043;34044;34045;34046;34047;34048;90796;90797;90798;96895;96896;97342;97343;97344;97345;97346;97347;97348;97349;97350;97351;97352;97353,17850;34041;90798;96896;97345,2351,,34,,-1,protein_1937,quanti,quanti,quanti,quanti
EIF6,-0.195669023743516,0.685940276662457,P56537;B7ZBH1;A0A0U1RQV5;F8WD20;A0A0B4J1Y7;F8WDS6,P56537;B7ZBH1,8;4;2;1;1;1,8;4;2;1;1;1,8;4;2;1;1;1,Eukaryotic translation initiation factor 6,sp|P56537|IF6_HUMAN Eukaryotic translation initiation factor 6 OS=Homo sapiens OX=9606 GN=EIF6 PE=1 SV=1;tr|B7ZBH1|B7ZBH1_HUMAN Eukaryotic translation initiation factor 6 (Fragment) OS=Homo sapiens OX=9606 GN=EIF6 PE=1 SV=1,6,8,8,8,7,5,5,6,7,5,5,6,7,5,5,6,59.2,59.2,59.2,26.599,245,245;108;110;59;108;186,0.0,15.897,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.36871,1.1903,10.006,27,2,Leave out requantified,0.35333,0.39943,0.288,0.45159,1.0721,1.1466,1.1557,1.4477,14.805,10.091,13.808,14.237,7,6,7,7,0,0,2,0,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,53.5,33.5,33.1,42.9,2288300000,1599700000,688650000,495980000,363420000,132560000,529010000,372740000,156270000,523790000,349840000,173960000,739520000,513660000,225860000,,,,1937,1753;5910;9903;10242;12400;12401;13113;15943,True;True;True;True;True;True;True;True,2260;7758;7759;13082;13517;16171;16172;17063;20612,5307;5308;5309;5310;17583;17584;17585;17586;17587;17588;17589;17590;29460;29461;30408;30409;36288;36289;36290;36291;36292;36293;38126;38127;38128;46250;46251,9898;9899;9900;9901;9902;9903;9904;9905;9906;31810;31811;31812;31813;31814;31815;31816;31817;31818;31819;31820;31821;31822;31823;31824;31825;52656;52657;54108;54109;54110;54111;54112;64379;64380;64381;64382;64383;64384;64385;64386;64387;64388;64389;64390;64391;64392;67439;67440;67441;67442;67443;67444;67445;67446;67447;81809;81810,9900;31817;52656;54108;64389;64392;67445;81809,,,,,-1;-1;-1;-1;-1;-1,protein_1938,quanti,quanti,quanti,quanti
CTBP2,0.222351434251781,0.685948884315876,P56545;A0A087WYL1,P56545;A0A087WYL1,4;2,2;1,2;1,C-terminal-binding protein 2,sp|P56545|CTBP2_HUMAN C-terminal-binding protein 2 OS=Homo sapiens OX=9606 GN=CTBP2 PE=1 SV=1;tr|A0A087WYL1|A0A087WYL1_HUMAN C-terminal-binding protein 2 (Fragment) OS=Homo sapiens OX=9606 GN=CTBP2 PE=1 SV=1,2,4,2,2,4,4,1,2,2,2,1,2,2,2,1,2,12.4,4.9,4.9,48.944,445,445;117,0.0,3.6569,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.36216,1.0785,17.074,7,3,Median,0.34624,0.56123,0.29141,0.3817,0.88189,1.2058,1.0785,1.0965,20.714,5.5079,,15.996,2,2,1,2,1,1,0,1,Median,Median,Median,Median,12.4,12.4,2.9,4.9,189580000,128700000,60881000,36312000,25643000,10669000,38445000,23580000,14865000,38055000,27601000,10453000,76773000,51879000,24894000,,,,1938,4871;7229;12467;17531,False;True;True;False,6301;9505;16249;22674,14287;14288;21586;21587;21588;21589;36461;36462;36463;51130;51131,26109;39046;39047;39048;39049;39050;39051;39052;39053;64712;64713;64714;64715;91096;91097;91098,26109;39047;64715;91096,,,,,-1;-1,protein_1939,quanti,quanti,quanti,quanti
ARPC4;ARPC4-TTLL3,-2.21063418461164,0.151043258081484,P59998;F8WCF6;F8WDD7;A0A0A6YYG9;R4GN08;H7C0A3;F8WDW3;F8WE39,P59998;F8WCF6;F8WDD7;A0A0A6YYG9,7;5;4;4;2;2;1;1,7;5;4;4;2;2;1;1,7;5;4;4;2;2;1;1,Actin-related protein 2/3 complex subunit 4,sp|P59998|ARPC4_HUMAN Actin-related protein 2/3 complex subunit 4 OS=Homo sapiens OX=9606 GN=ARPC4 PE=1 SV=3;tr|F8WCF6|F8WCF6_HUMAN Actin-related protein 2/3 complex subunit 4 OS=Homo sapiens OX=9606 GN=ARPC4-TTLL3 PE=3 SV=1;tr|F8WDD7|F8WDD7_HUMAN Actin-re,8,7,7,7,5,5,1,3,5,5,1,3,5,5,1,3,44.6,44.6,44.6,19.667,168,168;181;113;625;77;167;44;47,0.0,12.445,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.34521,0.92978,69.572,14,3,Leave out requantified,0.32217,0.34789,1.2911,0.41205,0.87654,0.88626,4.7818,1.1125,14.399,14.738,,62.85,5,5,1,3,0,1,0,2,Leave out requantified,Leave out requantified,Median,Median,25.6,25.6,12.5,18.5,673090000,443100000,229980000,175600000,133610000,41993000,207770000,150120000,57656000,38197000,10976000,27220000,251510000,148400000,103120000,,,,1942,443;1705;3313;7465;12687;15162;17145,True;True;True;True;True;True;True,542;2207;4262;9797;16518;19601;22188,1212;1213;1214;5179;5180;9817;22259;22260;36995;44012;44013;44014;50036;50037,2172;2173;2174;2175;9685;9686;18158;40249;40250;40251;40252;40253;40254;65630;77660;77661;88982;88983;88984,2174;9686;18158;40254;65630;77661;88982,,,,,-1;-1;-1;-1;-1;-1;-1;-1,protein_1943,quanti,quanti,quanti,quanti
TPI1,-1.51793570481986,0.179205416875401,P60174;U3KPZ0;U3KQF3;U3KPS5,P60174,32;13;9;4,32;13;9;4,32;13;9;4,Triosephosphate isomerase,sp|P60174|TPIS_HUMAN Triosephosphate isomerase OS=Homo sapiens OX=9606 GN=TPI1 PE=1 SV=3,4,32,32,32,23,23,18,29,23,23,18,29,23,23,18,29,85.3,85.3,85.3,30.791,286,286;113;98;38,0.0,323.31,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.30957,0.93374,18.605,157,33,Leave out requantified,0.31271,0.36936,0.2219,0.29918,0.97899,0.98089,0.87204,0.95179,17.69,19.632,26.847,21.611,35,34,29,59,5,2,11,15,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,81.8,81.8,66.4,81.5,37909000000,28346000000,9562300000,11123000000,8429400000,2693700000,11680000000,8492700000,3187500000,1910400000,1535900000,374490000,13195000000,9888400000,3306600000,,,,1944,2505;2506;3253;3254;3802;3803;5761;6126;6288;6289;6753;7771;7772;8145;10201;12905;13072;13306;14518;15163;15164;16278;16279;16807;17429;17737;17738;17739;17812;17846;17847;17848,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,3222;3223;3224;3225;4190;4191;4881;4882;7533;7534;7535;8092;8093;8303;8304;8305;8885;8886;10201;10202;10203;10204;10205;10206;10781;10782;10783;13468;16793;16794;17010;17011;17316;17317;18820;19602;19603;21032;21033;21034;21711;21712;21713;22558;22559;22924;22925;22926;23033;23034;23084;23085;23086;23087;23088;23089,7516;7517;7518;7519;7520;7521;7522;7523;7524;7525;7526;7527;7528;7529;7530;7531;9660;9661;9662;9663;9664;11126;11127;11128;11129;11130;11131;17027;17028;17029;17030;17031;17032;17033;18372;18373;18374;18375;18376;18377;18378;18379;18822;18823;18824;18825;18826;18827;18828;18829;20168;20169;20170;20171;20172;20173;20174;23131;23132;23133;23134;23135;23136;23137;23138;23139;23140;23141;24310;24311;24312;24313;24314;24315;24316;24317;24318;30306;37584;37585;37586;38028;38029;38700;38701;38702;38703;38704;38705;38706;42147;42148;42149;42150;42151;44015;44016;44017;44018;47303;47304;47305;47306;47307;47308;47309;47310;48926;48927;48928;48929;48930;48931;48932;48933;48934;50896;50897;50898;50899;50900;50901;50902;50903;50904;51665;51666;51667;51668;51669;51670;51671;51672;51673;51674;51675;51676;51953;51954;51955;51956;52069;52070;52071;52072;52073;52074;52075;52076;52077;52078;52079;52080;52081;52082;52083;52084;52085;52086;52087;52088,13957;13958;13959;13960;13961;13962;13963;13964;13965;13966;13967;13968;13969;13970;13971;13972;13973;13974;13975;13976;13977;13978;13979;13980;13981;13982;13983;13984;13985;13986;13987;13988;13989;13990;13991;13992;13993;13994;13995;13996;13997;13998;13999;14000;17920;17921;17922;17923;17924;17925;20394;20395;20396;20397;20398;20399;20400;20401;20402;20403;20404;20405;20406;20407;20408;20409;20410;20411;30832;30833;30834;30835;30836;30837;30838;30839;30840;30841;30842;30843;30844;33334;33335;33336;33337;33338;33339;33340;33341;33342;33343;33344;33345;33346;33347;33348;33349;33350;33351;33352;33353;33354;33355;34118;34119;34120;34121;34122;34123;34124;34125;34126;34127;34128;34129;34130;34131;36665;36666;36667;36668;36669;36670;36671;36672;36673;36674;36675;36676;36677;41860;41861;41862;41863;41864;41865;41866;41867;41868;41869;41870;41871;41872;41873;41874;41875;41876;41877;43751;43752;43753;43754;43755;43756;43757;43758;43759;43760;43761;43762;43763;43764;43765;43766;43767;43768;53968;53969;53970;53971;66608;66609;66610;67294;67295;67296;68465;68466;68467;68468;68469;68470;68471;68472;68473;68474;68475;74436;74437;74438;74439;74440;74441;74442;74443;74444;74445;74446;74447;77662;77663;77664;77665;77666;77667;77668;83958;83959;83960;83961;83962;83963;83964;83965;83966;83967;83968;83969;83970;86980;86981;86982;86983;86984;86985;86986;86987;86988;86989;86990;86991;86992;86993;86994;86995;86996;86997;86998;86999;87000;90641;90642;90643;90644;90645;90646;90647;90648;90649;90650;90651;90652;90653;90654;90655;90656;90657;90658;90659;90660;90661;90662;90663;92039;92040;92041;92042;92043;92044;92045;92046;92047;92048;92049;92050;92051;92052;92053;92054;92055;92056;92057;92058;92059;92060;92596;92597;92598;92599;92600;92601;92813;92814;92815;92816;92817;92818;92819;92820;92821;92822;92823;92824;92825;92826;92827;92828;92829;92830;92831;92832;92833;92834;92835;92836;92837;92838;92839;92840;92841;92842;92843;92844;92845;92846;92847;92848;92849;92850;92851;92852;92853;92854;92855;92856;92857;92858;92859;92860;92861;92862;92863;92864;92865;92866;92867;92868;92869;92870;92871;92872;92873;92874;92875;92876;92877;92878;92879;92880;92881;92882;92883;92884;92885;92886;92887;92888;92889;92890,13972;13975;17920;17924;20395;20411;30835;33335;34118;34131;36667;41862;41876;43767;53971;66608;67296;68468;74439;77665;77666;83961;83969;86980;90659;92043;92049;92050;92600;92814;92878;92882,2356;2357;2358;2359;2360;2361;2362;2363,,43;51;56;96;193;212;225;231,,-1;-1;-1;-1,protein_1945,quanti,quanti,quanti,quanti
EIF3E,-1.17553895672286,0.0739415432154814,P60228;E5RGA2;E5RHS5;H0YAW4;H0YBR5;E5RIP5;E5RJ25;E5RII3;E5RIT4,P60228;E5RGA2,15;10;6;5;4;3;3;3;2,15;10;6;5;4;3;3;3;2,15;10;6;5;4;3;3;3;2,Eukaryotic translation initiation factor 3 subunit E,sp|P60228|EIF3E_HUMAN Eukaryotic translation initiation factor 3 subunit E OS=Homo sapiens OX=9606 GN=EIF3E PE=1 SV=1;tr|E5RGA2|E5RGA2_HUMAN Eukaryotic translation initiation factor 3 subunit E OS=Homo sapiens OX=9606 GN=EIF3E PE=1 SV=1,9,15,15,15,8,9,5,5,8,9,5,5,8,9,5,5,35.5,35.5,35.5,52.22,445,445;352;226;156;171;45;56;75;75,0.0,17.432,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.42448,1.1426,27.315,24,6,Leave out requantified,0.35273,0.4268,0.35022,0.47089,1.1977,1.0929,1.4835,1.3065,38.441,17.458,35.959,10.269,8,8,3,5,2,1,2,1,Leave out requantified,Leave out requantified,Plateau,Leave out requantified,23.4,24.7,14.2,11.5,1014800000,702340000,312430000,265960000,180910000,85051000,371500000,256200000,115300000,120860000,90415000,30447000,256450000,174820000,81630000,,,,1945,478;6218;8673;8835;9002;9003;10945;11173;11827;12968;13742;14625;17296;18091;18657,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,581;8219;11534;11721;11927;11928;14387;14647;15446;16882;17838;18945;22388;23386;24074,1298;18634;26070;26071;26430;26431;26899;26900;26901;26902;26903;26904;32344;32919;32920;34643;34644;37765;39841;39842;42436;42437;42438;50507;52763;52764;54246;54247,2338;2339;2340;33798;33799;46804;47369;47370;47371;48265;48266;48267;48268;48269;48270;48271;48272;48273;48274;48275;57433;58450;58451;61393;61394;66900;66901;70440;70441;70442;74942;74943;74944;74945;89886;94052;94053;96461;96462;96463,2338;33799;46804;47370;48273;48274;57433;58451;61394;66900;70440;74945;89886;94052;96463,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_1946,quanti,quanti,quanti,quanti
SEC61B,1.5841275923845,0.0681378368156568,P60468,P60468,2,2,2,Protein transport protein Sec61 subunit beta,sp|P60468|SC61B_HUMAN Protein transport protein Sec61 subunit beta OS=Homo sapiens OX=9606 GN=SEC61B PE=1 SV=2,1,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,27.1,27.1,27.1,9.9743,96,96,0.0,26.293,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.85075,2.9104,12.723,7,1,Leave out requantified,0.8485,0.84451,0.96172,0.926,2.8786,2.3293,4.1579,2.8602,,,22.475,17.352,1,1,3,2,1,0,0,0,Median,Median,Plateau,Median,11.5,11.5,27.1,27.1,482240000,257970000,224270000,38918000,19593000,19325000,51224000,28611000,22613000,281020000,152130000,128890000,111080000,57636000,53444000,,,,1946,12626;16025,True;True,16433;16434;20712,36829;36830;36831;46506;46507;46508;46509,65310;65311;65312;82359;82360;82361;82362;82363;82364;82365;82366;82367;82368;82369;82370;82371,65310;82362,,,,,-1,protein_1947,quanti,quanti,quanti,quanti
