DET1_vs_zCtl,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
SMARCD2,0.0037520733,0.985897398342029,0,Q92925;J3KMX2;B9EGA3;J3QWB6;Q6STE5;F8VW95;C9JYI7,Q92925;J3KMX2;B9EGA3;J3QWB6,3;3;3;2;1;1;1,3;3;3;2;1;1;1,2;2;2;2;0;0;0,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 2,SMARCD2,sp|Q92925|SMRD2_HUMAN SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 2 OS=Homo sapiens OX=9606 GN=SMARCD2 PE=1 SV=3;tr|J3KMX2|J3KMX2_HUMAN SWI/SNF-related matrix-associated actin-dependent regulator of chromatin,3,2,9,531
DISC1;TSNAX,0.071543768,0.72059176284255,0,C4P0D8;Q99598;Q5VVQ1;C4P0D6;C4P0D4,C4P0D8;Q99598;Q5VVQ1;C4P0D6,3;2;2;2;1,3;2;2;2;1,3;2;2;2;1,Translin-associated protein X,DISC1;TSNAX,tr|C4P0D8|C4P0D8_HUMAN Disrupted in schizophrenia 1 isoform 51 OS=Homo sapiens OX=9606 GN=TSNAX-DISC1 PE=2 SV=1;sp|Q99598|TSNAX_HUMAN Translin-associated protein X OS=Homo sapiens OX=9606 GN=TSNAX PE=1 SV=1;tr|Q5VVQ1|Q5VVQ1_HUMAN Translin-associated protei,3,3,21.8,188
SRI,0.7451773339,0.170542170645422,0,P30626;C9J0K6;B4DHQ6,P30626;C9J0K6,5;5;2,5;5;2,5;5;2,Sorcin,SRI,sp|P30626|SORCN_HUMAN Sorcin OS=Homo sapiens OX=9606 GN=SRI PE=1 SV=1;tr|C9J0K6|C9J0K6_HUMAN Sorcin OS=Homo sapiens OX=9606 GN=SRI PE=1 SV=1,5,5,36.9,198
POLR2B,0.5598464556,0.0121441516359986,0,P30876;C9J2Y9;C9J4M6;A0A1W2PPT5;C9JMN3;C9JZW8,P30876;C9J2Y9;C9J4M6;A0A1W2PPT5,9;9;8;8;1;1,9;9;8;8;1;1,9;9;8;8;1;1,DNA-directed RNA polymerase II subunit RPB2;DNA-directed RNA polymerase,POLR2B,sp|P30876|RPB2_HUMAN DNA-directed RNA polymerase II subunit RPB2 OS=Homo sapiens OX=9606 GN=POLR2B PE=1 SV=1;tr|C9J2Y9|C9J2Y9_HUMAN DNA-directed RNA polymerase subunit beta OS=Homo sapiens OX=9606 GN=POLR2B PE=1 SV=2;tr|C9J4M6|C9J4M6_HUMAN DNA-directed RNA,9,9,12.4,1174
C7orf50,-1.1867259606,0.0829322574280354,0,Q9BRJ6;H7C0T1;H7C2R9;C9JQV0,Q9BRJ6;H7C0T1;H7C2R9;C9JQV0,2;2;2;2,2;2;2;2,2;2;2;2,Uncharacterized protein C7orf50,C7orf50,sp|Q9BRJ6|CG050_HUMAN Uncharacterized protein C7orf50 OS=Homo sapiens OX=9606 GN=C7orf50 PE=1 SV=1;tr|H7C0T1|H7C0T1_HUMAN Uncharacterized protein C7orf50 (Fragment) OS=Homo sapiens OX=9606 GN=C7orf50 PE=1 SV=1;tr|H7C2R9|H7C2R9_HUMAN Uncharacterized protein,2,2,6.7,194
ATP5J2;ATP5J2-PTCD1,-0.0804552579,0.766865699297375,0,P56134;C9JU26;C9JJT5;G3V325,P56134;C9JU26;C9JJT5;G3V325,3;3;2;2,3;3;2;2,3;3;2;2,"ATP synthase subunit f, mitochondrial",ATP5J2;ATP5J2-PTCD1,"sp|P56134|ATPK_HUMAN ATP synthase subunit f, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5MF PE=1 SV=3;tr|C9JU26|C9JU26_HUMAN ATP synthase subunit f, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5MF PE=1 SV=1;tr|C9JJT5|C9JJT5_HUMAN ATP5MF-PTCD1 readthrough ",3,3,35.1,94
L2HGDH,-0.1023295341,0.673999554049641,0,Q9H9P8;C9JVN9;G3V272,Q9H9P8;C9JVN9,5;5;1,5;5;1,5;5;1,"L-2-hydroxyglutarate dehydrogenase, mitochondrial",L2HGDH,"sp|Q9H9P8|L2HDH_HUMAN L-2-hydroxyglutarate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=L2HGDH PE=1 SV=3;tr|C9JVN9|C9JVN9_HUMAN L-2-hydroxyglutarate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=L2HGDH PE=1 SV=1",5,5,14.3,463
RPL22L1,0.2194034735,0.576591978155465,0,Q6P5R6;C9JYQ9;H0Y8C2,Q6P5R6;C9JYQ9;H0Y8C2,6;6;6,3;3;3,3;3;3,60S ribosomal protein L22-like 1,RPL22L1,sp|Q6P5R6|RL22L_HUMAN 60S ribosomal protein L22-like 1 OS=Homo sapiens OX=9606 GN=RPL22L1 PE=1 SV=2;tr|C9JYQ9|C9JYQ9_HUMAN 60S ribosomal protein L22-like 1 OS=Homo sapiens OX=9606 GN=RPL22L1 PE=1 SV=1;tr|H0Y8C2|H0Y8C2_HUMAN 60S ribosomal protein L22-like 1,6,3,52.5,122
RFC4,-0.2590122426,0.135764132756622,0,P35249;C9JZI1;C9J8M3;C9JTT7;C9JXZ7;C9JGY5;F8WE44;H7C1P0,P35249;C9JZI1;C9J8M3;C9JTT7,11;11;9;7;4;2;2;2,11;11;9;7;4;2;2;2,11;11;9;7;4;2;2;2,Replication factor C subunit 4,RFC4,sp|P35249|RFC4_HUMAN Replication factor C subunit 4 OS=Homo sapiens OX=9606 GN=RFC4 PE=1 SV=2;tr|C9JZI1|C9JZI1_HUMAN Replication factor C subunit 4 OS=Homo sapiens OX=9606 GN=RFC4 PE=1 SV=1;tr|C9J8M3|C9J8M3_HUMAN Replication factor C subunit 4 (Fragment) O,11,11,32,363
RPL32,0.2197253431,0.127598341303919,0,P62910;D3YTB1;F8W727;D3YTI8,P62910;D3YTB1;F8W727,16;16;16;1,16;16;16;1,16;16;16;1,60S ribosomal protein L32,RPL32,sp|P62910|RL32_HUMAN 60S ribosomal protein L32 OS=Homo sapiens OX=9606 GN=RPL32 PE=1 SV=2;tr|D3YTB1|D3YTB1_HUMAN 60S ribosomal protein L32 (Fragment) OS=Homo sapiens OX=9606 GN=RPL32 PE=1 SV=1;tr|F8W727|F8W727_HUMAN 60S ribosomal protein L32 OS=Homo sapien,16,16,63,135
HLA-B,-0.5392482008,0.0123282052664781,0,D5H3J5;Q2L6G2;A0A140T997;A0A140TA11;A0A140T9A9;A0A140TA14;A0A140T9Y5;A0A140T9H3;A0A140T9V0;A0A0G2JH66;A0A140T8X0;D0EV57;A0A140T939;A0A140T9W3;A0A140T9D9;A0A140T9W7;A0A140T9X6;A0A140T9B7;A0A140T9C2;A0A0G2JPA3;A0A140T9W2;P30511;Q53YP1;A0A1W2PNZ7;A0A140T9U0;A0A140T9M0;A0A1W2PQE2;A0A0G2JNV5;P13747;A0A1W2PP29;A0A0G2JPQ3;Q5RJ85;Q8MH48;A0A140T9T1;A0A1W2PQZ3;A0A140T9J8;Q31611;A0A0D9SFW8;P17693;A0A0G2JNX1,D5H3J5;Q2L6G2;A0A140T997;A0A140TA11;A0A140T9A9;A0A140TA14;A0A140T9Y5;A0A140T9H3,13;12;9;9;8;8;8;7;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1,11;10;8;8;6;7;7;5;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;0;0;1;0;1;1;1;1;0;0;1;1;1;1,4;3;4;4;3;3;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,,HLA-B,tr|D5H3J5|D5H3J5_HUMAN HLA class I histocompatibility antigen B alpha chain OS=Homo sapiens OX=9606 GN=HLA-B PE=1 SV=1;tr|Q2L6G2|Q2L6G2_HUMAN HLA class I histocompatibility antigen B alpha chain OS=Homo sapiens OX=9606 GN=HLA-B PE=1 SV=1;tr|A0A140T997|A0A1,13,4,43.4,362
CAMK2D;CAMK2A,-0.2702726777,0.262518073555487,0,Q13557;D6R938;E9PBG7;E9PF82;Q9UQM7;H0Y9J2;A0A5F9ZHY2;A0A5K1VW76;A0A5F9ZHM9;A0A5F9ZH21;A0A5F9ZHR5;D6RFJ0;A0A5F9ZH50;H0Y9C2;A0A5F9ZH90,Q13557;D6R938;E9PBG7;E9PF82;Q9UQM7;H0Y9J2;A0A5F9ZHY2;A0A5K1VW76;A0A5F9ZHM9;A0A5F9ZH21;A0A5F9ZHR5;D6RFJ0;A0A5F9ZH50,6;6;6;6;3;3;3;3;3;3;3;3;3;2;2,6;6;6;6;3;3;3;3;3;3;3;3;3;2;2,2;2;2;2;0;2;0;0;0;0;0;0;0;0;0,Calcium/calmodulin-dependent protein kinase type II subunit delta;Calcium/calmodulin-dependent protein kinase type II subunit alpha,CAMK2D;CAMK2A,"sp|Q13557|KCC2D_HUMAN Calcium/calmodulin-dependent protein kinase type II subunit delta OS=Homo sapiens OX=9606 GN=CAMK2D PE=1 SV=3;tr|D6R938|D6R938_HUMAN Calcium/calmodulin-dependent protein kinase (CaM kinase) II delta, isoform CRA_e OS=Homo sapiens OX=9",6,2,12.4,499
HNRNPAB,-0.1005366429,0.648617720127776,0,D6R9P3;D6RD18;D6RBZ0;Q99729,D6R9P3;D6RD18;D6RBZ0;Q99729,12;12;12;11,12;12;12;11,12;12;12;11,Heterogeneous nuclear ribonucleoprotein A/B,HNRNPAB,tr|D6R9P3|D6R9P3_HUMAN Heterogeneous nuclear ribonucleoprotein A/B OS=Homo sapiens OX=9606 GN=HNRNPAB PE=1 SV=1;tr|D6RD18|D6RD18_HUMAN Heterogeneous nuclear ribonucleoprotein A/B OS=Homo sapiens OX=9606 GN=HNRNPAB PE=1 SV=1;tr|D6RBZ0|D6RBZ0_HUMAN Heterogen,12,12,34.6,280
EIF4E,0.1101858219,0.516462191553796,0,P06730;D6RBW1;H0Y8J7;A6NMX2;D6RHE2;H0Y8X3,P06730;D6RBW1;H0Y8J7,6;6;5;1;1;1,6;6;5;1;1;1,6;6;5;1;1;1,Eukaryotic translation initiation factor 4E,EIF4E,sp|P06730|IF4E_HUMAN Eukaryotic translation initiation factor 4E OS=Homo sapiens OX=9606 GN=EIF4E PE=1 SV=2;tr|D6RBW1|D6RBW1_HUMAN Eukaryotic translation initiation factor 4E OS=Homo sapiens OX=9606 GN=EIF4E PE=1 SV=1;tr|H0Y8J7|H0Y8J7_HUMAN Eukaryotic tran,6,6,17.5,217
SEPT11,-0.2366907952,0.161693210295559,0,Q9NVA2;D6RGI3;D6RER5;D6RDU5;D6RDP1;D6R9Y6;H0Y961,Q9NVA2;D6RGI3;D6RER5;D6RDU5,11;11;11;10;3;3;2,11;11;11;10;3;3;2,6;6;6;5;3;3;0,Septin-11,SEPT11,"sp|Q9NVA2|SEP11_HUMAN Septin-11 OS=Homo sapiens OX=9606 GN=SEPTIN11 PE=1 SV=3;tr|D6RGI3|D6RGI3_HUMAN Septin 11, isoform CRA_b OS=Homo sapiens OX=9606 GN=SEPTIN11 PE=1 SV=1;tr|D6RER5|D6RER5_HUMAN Septin-11 OS=Homo sapiens OX=9606 GN=SEPTIN11 PE=1 SV=1;tr|D6",11,6,35.4,429
CYB5B,-0.1892580613,0.342770232013275,0,O43169;D6RFH4;H3BUX2;J3QR91,O43169;D6RFH4;H3BUX2;J3QR91,3;3;3;2,3;3;3;2,3;3;3;2,Cytochrome b5 type B,CYB5B,sp|O43169|CYB5B_HUMAN Cytochrome b5 type B OS=Homo sapiens OX=9606 GN=CYB5B PE=1 SV=3;tr|D6RFH4|D6RFH4_HUMAN Cytochrome b5 type B OS=Homo sapiens OX=9606 GN=CYB5B PE=1 SV=2;tr|H3BUX2|H3BUX2_HUMAN Cytochrome b5 type B OS=Homo sapiens OX=9606 GN=CYB5B PE=1 S,3,3,31.3,150
THOC3,-0.4453499128,0.0209268619205546,0,Q96J01;D6RGZ2,Q96J01;D6RGZ2,2;2,2;2,2;2,THO complex subunit 3,THOC3,sp|Q96J01|THOC3_HUMAN THO complex subunit 3 OS=Homo sapiens OX=9606 GN=THOC3 PE=1 SV=1;tr|D6RGZ2|D6RGZ2_HUMAN THO complex subunit 3 OS=Homo sapiens OX=9606 GN=THOC3 PE=1 SV=1,2,2,12,351
PAIP1,-0.2929562423,0.180365242642712,0,D6RJ02;D6RJF2;Q9H074;D6RD97;D6R9H8;D6REB4,D6RJ02;D6RJF2;Q9H074;D6RD97;D6R9H8;D6REB4,2;2;1;1;1;1,2;2;1;1;1;1,2;2;1;1;1;1,Polyadenylate-binding protein-interacting protein 1,PAIP1,tr|D6RJ02|D6RJ02_HUMAN Polyadenylate-binding protein-interacting protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=PAIP1 PE=1 SV=1;tr|D6RJF2|D6RJF2_HUMAN Polyadenylate-binding protein-interacting protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=PAIP1 PE=1 SV=,2,2,19.6,168
CIRBP,-0.3225754914,0.222524385146195,0,Q14011;K7ENX8;K7ELV6;K7EJV5;K7ELT6;K7EJV1;K7EMY9;K7EPM4;K7ER40;K7EQR7;D6W5Y5,Q14011;K7ENX8;K7ELV6;K7EJV5;K7ELT6;K7EJV1;K7EMY9;K7EPM4;K7ER40;K7EQR7;D6W5Y5,2;2;2;2;2;2;2;2;2;2;2,2;2;2;2;2;2;2;2;2;2;2,2;2;2;2;2;2;2;2;2;2;2,Cold-inducible RNA-binding protein,CIRBP,sp|Q14011|CIRBP_HUMAN Cold-inducible RNA-binding protein OS=Homo sapiens OX=9606 GN=CIRBP PE=1 SV=1;tr|K7ENX8|K7ENX8_HUMAN Cold-inducible RNA-binding protein (Fragment) OS=Homo sapiens OX=9606 GN=CIRBP PE=1 SV=2;tr|K7ELV6|K7ELV6_HUMAN Cold-inducible RNA-bi,2,2,23.3,172
ARFGAP1,0.4680875003,0.0533999352534167,0,Q8N6T3;E5RIU2;F8VWB3;E5RGL6;E5RHC5,Q8N6T3;E5RIU2;F8VWB3;E5RGL6;E5RHC5,2;2;2;2;2,2;2;2;2;2,2;2;2;2;2,ADP-ribosylation factor GTPase-activating protein 1,ARFGAP1,sp|Q8N6T3|ARFG1_HUMAN ADP-ribosylation factor GTPase-activating protein 1 OS=Homo sapiens OX=9606 GN=ARFGAP1 PE=1 SV=2;tr|E5RIU2|E5RIU2_HUMAN ADP-ribosylation factor GTPase-activating protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=ARFGAP1 PE=1 SV=1;tr|F8V,2,2,5.9,406
RPL30,0.3218538257,0.0768292282610058,0,P62888;E5RI99;E5RJH3;A0A0C4DH44;A0A0B4J213,P62888;E5RI99,11;11;5;4;3,11;11;5;4;3,11;11;5;4;3,60S ribosomal protein L30,RPL30,sp|P62888|RL30_HUMAN 60S ribosomal protein L30 OS=Homo sapiens OX=9606 GN=RPL30 PE=1 SV=2;tr|E5RI99|E5RI99_HUMAN 60S ribosomal protein L30 (Fragment) OS=Homo sapiens OX=9606 GN=RPL30 PE=1 SV=1,11,11,72.2,115
SKP1,1.1253098626,0.420760822243397,0,P63208;E7ERH2;F8W8N3;E5RJR5;E5RI56;E5RGM3,P63208;E7ERH2;F8W8N3;E5RJR5,3;3;3;3;1;1,3;3;3;3;1;1,3;3;3;3;1;1,S-phase kinase-associated protein 1,SKP1,sp|P63208|SKP1_HUMAN S-phase kinase-associated protein 1 OS=Homo sapiens OX=9606 GN=SKP1 PE=1 SV=2;tr|E7ERH2|E7ERH2_HUMAN S-phase kinase-associated protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=SKP1 PE=1 SV=1;tr|F8W8N3|F8W8N3_HUMAN S-phase kinase-associa,3,3,28.2,163
RBM22,0.1083580095,0.611975488681092,0,Q9NW64;E5RJW4;E5RHA8,Q9NW64;E5RJW4;E5RHA8,2;2;1,2;2;1,2;2;1,Pre-mRNA-splicing factor RBM22,RBM22,sp|Q9NW64|RBM22_HUMAN Pre-mRNA-splicing factor RBM22 OS=Homo sapiens OX=9606 GN=RBM22 PE=1 SV=1;tr|E5RJW4|E5RJW4_HUMAN Pre-mRNA-splicing factor RBM22 (Fragment) OS=Homo sapiens OX=9606 GN=RBM22 PE=1 SV=1;tr|E5RHA8|E5RHA8_HUMAN Pre-mRNA-splicing factor RBM2,2,2,4.8,420
ITGA2,-0.6831856267,0.168758034474049,0,P17301;E7EMF1;E7ESP4;E9PB77;D6RG08,P17301;E7EMF1;E7ESP4;E9PB77,5;5;5;4;1,5;5;5;4;1,5;5;5;4;1,Integrin alpha-2,ITGA2,sp|P17301|ITA2_HUMAN Integrin alpha-2 OS=Homo sapiens OX=9606 GN=ITGA2 PE=1 SV=1;tr|E7EMF1|E7EMF1_HUMAN Integrin alpha-2 OS=Homo sapiens OX=9606 GN=ITGA2 PE=1 SV=1;tr|E7ESP4|E7ESP4_HUMAN Integrin alpha-2 OS=Homo sapiens OX=9606 GN=ITGA2 PE=1 SV=1;tr|E9PB77,5,5,4.7,1181
SEPT7,-0.2274416523,0.143299370002066,0,Q16181;E7ES33;E7EPK1;G3V1Q4;A0A0U1RRE1;A0A0U1RRH9;A0A5F9ZGZ7;A0A0U1RRD1;Q6ZU15;Q5JXL7;A0A0U1RRM2,Q16181;E7ES33;E7EPK1;G3V1Q4,10;10;10;8;4;3;3;2;1;1;1,10;10;10;8;4;3;3;2;1;1;1,10;10;10;8;4;3;3;2;1;1;1,Septin-7,SEPT7,sp|Q16181|SEPT7_HUMAN Septin-7 OS=Homo sapiens OX=9606 GN=SEPTIN7 PE=1 SV=2;tr|E7ES33|E7ES33_HUMAN Septin-7 OS=Homo sapiens OX=9606 GN=SEPTIN7 PE=1 SV=3;tr|E7EPK1|E7EPK1_HUMAN Septin-7 OS=Homo sapiens OX=9606 GN=SEPTIN7 PE=1 SV=2;tr|G3V1Q4|G3V1Q4_HUMAN Sep,10,10,32.3,437
MRPS25,0.6966548906,0.019546534154064,0,P82663;E7EPW2,P82663;E7EPW2,2;2,2;2,2;2,"28S ribosomal protein S25, mitochondrial",MRPS25,"sp|P82663|RT25_HUMAN 28S ribosomal protein S25, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS25 PE=1 SV=1;tr|E7EPW2|E7EPW2_HUMAN 28S ribosomal protein S25, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS25 PE=1 SV=1",2,2,15,173
GPX8,0.3787662934,0.37138727816477,0,Q8TED1;E7ETY7,Q8TED1;E7ETY7,3;3,3;3,3;3,Probable glutathione peroxidase 8;Glutathione peroxidase,GPX8,sp|Q8TED1|GPX8_HUMAN Probable glutathione peroxidase 8 OS=Homo sapiens OX=9606 GN=GPX8 PE=1 SV=2;tr|E7ETY7|E7ETY7_HUMAN Glutathione peroxidase OS=Homo sapiens OX=9606 GN=GPX8 PE=1 SV=1,3,3,12,209
EIF4G1,-0.0076340844,0.970453936585025,0,Q04637;E7EX73;E9PGM1;E7EUU4;H7C044;C9JF13;C9J6B6;C9J2Z7;C9K073;F8WCF2;C9JHW9;H7C0V6,Q04637;E7EX73;E9PGM1;E7EUU4,17;17;17;17;6;6;3;2;2;1;1;1,17;17;17;17;6;6;3;2;2;1;1;1,13;13;13;13;5;3;3;2;2;1;1;1,Eukaryotic translation initiation factor 4 gamma 1,EIF4G1,sp|Q04637|IF4G1_HUMAN Eukaryotic translation initiation factor 4 gamma 1 OS=Homo sapiens OX=9606 GN=EIF4G1 PE=1 SV=4;tr|E7EX73|E7EX73_HUMAN Eukaryotic translation initiation factor 4 gamma 1 OS=Homo sapiens OX=9606 GN=EIF4G1 PE=1 SV=1;tr|E9PGM1|E9PGM1_HUMA,17,13,13.2,1599
MAP4,0.1464071771,0.54212824672158,0,P27816;E7EVA0;H0Y2V1;F8W9U4;H7C4C5;B5MEG9;H7C456;A0A0J9YVV8;A0A0J9YW37,P27816;E7EVA0;H0Y2V1;F8W9U4;H7C4C5,14;14;8;8;7;6;2;1;1,14;14;8;8;7;6;2;1;1,14;14;8;8;7;6;2;1;1,Microtubule-associated protein 4;Microtubule-associated protein,MAP4,sp|P27816|MAP4_HUMAN Microtubule-associated protein 4 OS=Homo sapiens OX=9606 GN=MAP4 PE=1 SV=3;tr|E7EVA0|E7EVA0_HUMAN Microtubule-associated protein OS=Homo sapiens OX=9606 GN=MAP4 PE=1 SV=1;tr|H0Y2V1|H0Y2V1_HUMAN Microtubule-associated protein (Fragment),14,14,15.7,1152
NDUFB5,-0.2766629301,0.131986879805479,0,O43674;E7EWP0;F8WDZ2;F8WDD2;A0A087WYD0;H0Y886,O43674;E7EWP0;F8WDZ2;F8WDD2;A0A087WYD0;H0Y886,2;2;1;1;1;1,2;2;1;1;1;1,2;2;1;1;1;1,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial",NDUFB5,"sp|O43674|NDUB5_HUMAN NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFB5 PE=1 SV=1;tr|E7EWP0|E7EWP0_HUMAN NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial OS=Homo sapiens O",2,2,10.1,189
EIF4B,-1.2750694601,0.0383003187347584,1,P23588;E7EX17;F8VX11;F8W0K0;F8VRU1;F8VYE9;F8VSC7;F8VP89,P23588;E7EX17;F8VX11;F8W0K0;F8VRU1;F8VYE9;F8VSC7;F8VP89,5;5;4;3;3;3;3;3,5;5;4;3;3;3;3;3,5;5;4;3;3;3;3;3,Eukaryotic translation initiation factor 4B,EIF4B,sp|P23588|IF4B_HUMAN Eukaryotic translation initiation factor 4B OS=Homo sapiens OX=9606 GN=EIF4B PE=1 SV=2;tr|E7EX17|E7EX17_HUMAN Eukaryotic translation initiation factor 4B OS=Homo sapiens OX=9606 GN=EIF4B PE=1 SV=1;tr|F8VX11|F8VX11_HUMAN Eukaryotic tran,5,5,8.8,611
CALD1,0.1354789857,0.802419666814426,0,E9PGZ1;E7EX44;Q05682;C9J813,E9PGZ1;E7EX44;Q05682;C9J813,7;7;5;5,7;7;5;5,7;7;5;5,Caldesmon,CALD1,tr|E9PGZ1|E9PGZ1_HUMAN Caldesmon OS=Homo sapiens OX=9606 GN=CALD1 PE=1 SV=1;tr|E7EX44|E7EX44_HUMAN Caldesmon OS=Homo sapiens OX=9606 GN=CALD1 PE=1 SV=1;sp|Q05682|CALD1_HUMAN Caldesmon OS=Homo sapiens OX=9606 GN=CALD1 PE=1 SV=3;tr|C9J813|C9J813_HUMAN Caldes,7,7,14.6,536
NACA,-0.0287343425,0.828276887094598,0,E9PAV3;F8VNW4;F8W0W4;H0YHX9;Q13765;F8W1N5;F8VZJ2;F8VZ58;O15069;Q9BZK3,E9PAV3;F8VNW4;F8W0W4;H0YHX9;Q13765;F8W1N5;F8VZJ2;F8VZ58,5;5;5;5;5;4;4;3;1;1,5;5;5;5;5;4;4;3;1;1,5;5;5;5;5;4;4;3;1;1,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form;Nascent polypeptide-associated complex subunit alpha",NACA,"sp|E9PAV3|NACAM_HUMAN Nascent polypeptide-associated complex subunit alpha, muscle-specific form OS=Homo sapiens OX=9606 GN=NACA PE=1 SV=1;tr|F8VNW4|F8VNW4_HUMAN Nascent polypeptide-associated complex subunit alpha (Fragment) OS=Homo sapiens OX=9606 GN=NAC",5,5,2.8,2078
OGDH,0.0147019116,0.92155521106735,0,Q02218;E9PDF2;E9PCR7;A0A0D9SFS3;E9PFG7;Q9ULD0;C9J4G7,Q02218;E9PDF2;E9PCR7;A0A0D9SFS3;E9PFG7,14;14;14;13;11;5;2,14;14;14;13;11;5;2,14;14;14;13;11;5;2,"2-oxoglutarate dehydrogenase, mitochondrial",OGDH,"sp|Q02218|ODO1_HUMAN 2-oxoglutarate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=OGDH PE=1 SV=3;tr|E9PDF2|E9PDF2_HUMAN 2-oxoglutarate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=OGDH PE=1 SV=1;tr|E9PCR7|E9PCR7_HUMAN 2-oxoglutarate de",14,14,15.8,1023
SMC4,0.4107053924,0.0851373727629752,0,Q9NTJ3;E9PD53;C9JR83;C9J9E4;C9JWF0;C9IYK2;C9JJ64;C9JVD8;C9J578,Q9NTJ3;E9PD53;C9JR83;C9J9E4,6;6;4;3;2;2;2;1;1,6;6;4;3;2;2;2;1;1,6;6;4;3;2;2;2;1;1,Structural maintenance of chromosomes protein 4;Structural maintenance of chromosomes protein,SMC4,sp|Q9NTJ3|SMC4_HUMAN Structural maintenance of chromosomes protein 4 OS=Homo sapiens OX=9606 GN=SMC4 PE=1 SV=2;tr|E9PD53|E9PD53_HUMAN Structural maintenance of chromosomes protein OS=Homo sapiens OX=9606 GN=SMC4 PE=1 SV=1;tr|C9JR83|C9JR83_HUMAN Structural ,6,6,6.2,1288
CRMP1,0.0123466432,0.930652667799576,0,Q14194;E9PD68,Q14194;E9PD68,4;4,1;1,1;1,Dihydropyrimidinase-related protein 1,CRMP1,sp|Q14194|DPYL1_HUMAN Dihydropyrimidinase-related protein 1 OS=Homo sapiens OX=9606 GN=CRMP1 PE=1 SV=1;tr|E9PD68|E9PD68_HUMAN Dihydropyrimidinase-related protein 1 OS=Homo sapiens OX=9606 GN=CRMP1 PE=1 SV=1,4,1,9.1,572
MYO1B,-0.1336487587,0.478904675551669,0,O43795;E9PDF6;E7EQD9;C9JUP5;C9JYW1;A0A0U1RRI3;H7C2Y7,O43795;E9PDF6,6;6;2;1;1;1;1,6;6;2;1;1;1;1,5;5;2;1;1;1;1,Unconventional myosin-Ib,MYO1B,sp|O43795|MYO1B_HUMAN Unconventional myosin-Ib OS=Homo sapiens OX=9606 GN=MYO1B PE=1 SV=3;tr|E9PDF6|E9PDF6_HUMAN Unconventional myosin-Ib OS=Homo sapiens OX=9606 GN=MYO1B PE=1 SV=1,6,5,8.2,1136
MRPS17;hCG_1984214,0.2177115595,0.297919894354905,0,Q9Y2R5;E9PE17;I3L0E3,Q9Y2R5;E9PE17;I3L0E3,1;1;1,1;1;1,1;1;1,"28S ribosomal protein S17, mitochondrial",MRPS17;hCG_1984214,"sp|Q9Y2R5|RT17_HUMAN 28S ribosomal protein S17, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS17 PE=1 SV=1;tr|E9PE17|E9PE17_HUMAN 28S ribosomal protein S17, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=MRPS17 PE=1 SV=1;tr|I3L0E3|I3L0E3_HUMAN HCG19842",1,1,6.9,130
FUBP1,0.061755605,0.642581194556486,0,Q96AE4;E9PEB5;C9JSZ1,Q96AE4;E9PEB5,23;23;9,23;23;9,20;20;8,Far upstream element-binding protein 1,FUBP1,sp|Q96AE4|FUBP1_HUMAN Far upstream element-binding protein 1 OS=Homo sapiens OX=9606 GN=FUBP1 PE=1 SV=3;tr|E9PEB5|E9PEB5_HUMAN Far upstream element-binding protein 1 OS=Homo sapiens OX=9606 GN=FUBP1 PE=1 SV=1,23,20,42.1,644
