Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity CIAO1-N1,Intensity CIAO1-N2,Intensity IP-BirA-alone-N1,Intensity IP-BirA-alone-N2
O95466;A0A0A0MR62,O95466;A0A0A0MR62,11;6,11;6,3;1,Formin-like protein 1,FMNL1,sp|O95466|FMNL1_HUMAN Formin-like protein 1 OS=Homo sapiens OX=9606 GN=FMNL1 PE=1 SV=3;tr|A0A0A0MR62|A0A0A0MR62_HUMAN Formin-like protein 1 OS=Homo sapiens OX=9606 GN=FMNL1 PE=1 SV=1,11,3,13.7,27.6784187524222,26.174799688103,25.0054744707992,25.2264833407452
Q06787;R9WNI0;A8MQB8;G3V0J0;Q8IXW7;A0A087WXI3;A0A087WWR6;A0A087WY29;A0A087X1M7;A0A087WWU4,Q06787;R9WNI0;A8MQB8;G3V0J0;Q8IXW7;A0A087WXI3;A0A087WWR6;A0A087WY29,4;4;4;4;3;3;2;2;1;1,2;2;2;2;2;2;1;1;1;1,2;2;2;2;2;2;1;1;1;1,Fragile X mental retardation protein 1,FMR1,sp|Q06787|FMR1_HUMAN Synaptic functional regulator FMR1 OS=Homo sapiens OX=9606 GN=FMR1 PE=1 SV=1;tr|R9WNI0|R9WNI0_HUMAN Fragile X mental retardation 1 OS=Homo sapiens OX=9606 GN=FMR1 PE=1 SV=1;tr|A8MQB8|A8MQB8_HUMAN Synaptic functional regulator FMR1 OS=H,4,2,7.9,23.9214341921905,21.7744669698787,23.6332285132463,22.2837903616895
Q5T0N5;A0A075B6Q2;S4R347,Q5T0N5;A0A075B6Q2;S4R347,4;4;4,4;4;4,4;4;4,Formin-binding protein 1-like,FNBP1L,sp|Q5T0N5|FBP1L_HUMAN Formin-binding protein 1-like OS=Homo sapiens OX=9606 GN=FNBP1L PE=1 SV=3;tr|A0A075B6Q2|A0A075B6Q2_HUMAN Formin-binding protein 1-like (Fragment) OS=Homo sapiens OX=9606 GN=FNBP1L PE=1 SV=1;tr|S4R347|S4R347_HUMAN Formin-binding protei,4,4,10.6,4.29321427599828,4.26311898798562,25.4071723140088,24.4257921489686
Q8N3X1;F5GXL1,Q8N3X1,12;2,12;2,12;2,Formin-binding protein 4,FNBP4,sp|Q8N3X1|FNBP4_HUMAN Formin-binding protein 4 OS=Homo sapiens OX=9606 GN=FNBP4 PE=1 SV=3,12,12,14.9,25.5204330875143,23.7215064383044,27.962952737128,27.9974962550288
Q9Y2H6;G5E9X3;A0A087X1M6;H7C507,Q9Y2H6;G5E9X3,6;5;2;1,6;5;2;1,6;5;2;1,Fibronectin type-III domain-containing protein 3A,FNDC3A,"sp|Q9Y2H6|FND3A_HUMAN Fibronectin type-III domain-containing protein 3A OS=Homo sapiens OX=9606 GN=FNDC3A PE=1 SV=4;tr|G5E9X3|G5E9X3_HUMAN Fibronectin type III domain containing 3A, isoform CRA_f OS=Homo sapiens OX=9606 GN=FNDC3A PE=1 SV=1",6,6,10.4,26.6634306303889,26.7105655754937,25.4925280276618,24.2073950971306
P15407,P15407,2,2,2,Fos-related antigen 1,FOSL1,sp|P15407|FOSL1_HUMAN Fos-related antigen 1 OS=Homo sapiens OX=9606 GN=FOSL1 PE=1 SV=1,2,2,11.4,4.29321427599828,4.26311898798562,24.9711456723848,24.6611213397781
P85037;U3KQ26,P85037,17;3,17;3,15;3,Forkhead box protein K1,FOXK1,sp|P85037|FOXK1_HUMAN Forkhead box protein K1 OS=Homo sapiens OX=9606 GN=FOXK1 PE=1 SV=1,17,15,29.6,26.2252701114049,25.0407982762456,27.8481049267248,27.6293006951018
Q01167;E9PPI7;E9PM37,Q01167,7;3;2,5;1;0,5;1;0,Forkhead box protein K2,FOXK2,sp|Q01167|FOXK2_HUMAN Forkhead box protein K2 OS=Homo sapiens OX=9606 GN=FOXK2 PE=1 SV=3,7,5,16.8,25.2956938077801,23.7272316326751,25.5489258309155,25.7411373592665
Q08050;A0A0D9SFF0;H0YG99,Q08050;A0A0D9SFF0;H0YG99,2;2;1,2;2;1,2;2;1,Forkhead box protein M1,FOXM1,sp|Q08050|FOXM1_HUMAN Forkhead box protein M1 OS=Homo sapiens OX=9606 GN=FOXM1 PE=1 SV=3;tr|A0A0D9SFF0|A0A0D9SFF0_HUMAN Forkhead box protein M1 OS=Homo sapiens OX=9606 GN=FOXM1 PE=1 SV=1;tr|H0YG99|H0YG99_HUMAN Forkhead box protein M1 (Fragment) OS=Homo sap,2,2,3.8,21.6080616631659,24.5434695336054,23.7940199606498,24.219935389592
P32314;O00409;C9JTA7;A0A087X1X6,P32314;O00409;C9JTA7;A0A087X1X6,2;1;1;1,2;1;1;1,2;1;1;1,Forkhead box protein N2;Forkhead box protein N3,FOXN2;FOXN3,sp|P32314|FOXN2_HUMAN Forkhead box protein N2 OS=Homo sapiens OX=9606 GN=FOXN2 PE=1 SV=3;sp|O00409|FOXN3_HUMAN Forkhead box protein N3 OS=Homo sapiens OX=9606 GN=FOXN3 PE=1 SV=1;tr|C9JTA7|C9JTA7_HUMAN Forkhead box protein N2 (Fragment) OS=Homo sapiens OX=9,2,2,5.6,22.7664415585133,24.2076450928695,24.847997441612,24.4936397275588
A0A2R8Y7X7;Q8N878;A0A2R8Y6M2;A0A2R8Y4L9,A0A2R8Y7X7;Q8N878;A0A2R8Y6M2;A0A2R8Y4L9,2;1;1;1,2;1;1;1,2;1;1;1,FERM domain-containing protein 1,FRMD1,tr|A0A2R8Y7X7|A0A2R8Y7X7_HUMAN FERM domain-containing protein 1 OS=Homo sapiens OX=9606 GN=FRMD1 PE=1 SV=1;sp|Q8N878|FRMD1_HUMAN FERM domain-containing protein 1 OS=Homo sapiens OX=9606 GN=FRMD1 PE=1 SV=2;tr|A0A2R8Y6M2|A0A2R8Y6M2_HUMAN FERM domain-containi,2,2,8.4,25.3601129931993,25.3711763714062,4.42522191267267,4.39210376514955
O94915;A0A286YEZ9;A0A2C9F2R7;A0A669KB90;H0Y9X0;F2Z2S2,O94915;A0A286YEZ9;A0A2C9F2R7,7;5;5;2;2;2,7;5;5;2;2;2,6;5;5;1;2;1,Protein furry homolog-like,FRYL,sp|O94915|FRYL_HUMAN Protein furry homolog-like OS=Homo sapiens OX=9606 GN=FRYL PE=1 SV=2;tr|A0A286YEZ9|A0A286YEZ9_HUMAN Protein furry homolog-like (Fragment) OS=Homo sapiens OX=9606 GN=FRYL PE=1 SV=1;tr|A0A2C9F2R7|A0A2C9F2R7_HUMAN Protein furry homolog-li,7,6,3.1,4.29321427599828,4.26311898798562,25.4118013725793,25.7810424801017
Q16658;C9JPH9;C9JFC0;A0A0A0MSB2,Q16658;C9JPH9;C9JFC0;A0A0A0MSB2,2;1;1;1,2;1;1;1,2;1;1;1,Fascin,FSCN1,sp|Q16658|FSCN1_HUMAN Fascin OS=Homo sapiens OX=9606 GN=FSCN1 PE=1 SV=3;tr|C9JPH9|C9JPH9_HUMAN Fascin (Fragment) OS=Homo sapiens OX=9606 GN=FSCN1 PE=1 SV=1;tr|C9JFC0|C9JFC0_HUMAN Fascin (Fragment) OS=Homo sapiens OX=9606 GN=FSCN1 PE=1 SV=1;tr|A0A0A0MSB2|A0,2,2,5.3,24.631786317307,25.1409439493297,4.42522191267267,4.39210376514955
A0A1B0GUC3;Q9C0B1;A0A1B0GTZ8;X6R3I0;A0A1B0GUY7;A0A1B0GTI3;A0A1B0GV98;A0A1B0GTC5;A0A1B0GU26;A0A1B0GTC3;A0A1B0GVH5,A0A1B0GUC3;Q9C0B1;A0A1B0GTZ8;X6R3I0;A0A1B0GUY7;A0A1B0GTI3;A0A1B0GV98;A0A1B0GTC5;A0A1B0GU26;A0A1B0GTC3;A0A1B0GVH5,2;1;1;1;1;1;1;1;1;1;1,2;1;1;1;1;1;1;1;1;1;1,2;1;1;1;1;1;1;1;1;1;1,Alpha-ketoglutarate-dependent dioxygenase FTO,FTO,tr|A0A1B0GUC3|A0A1B0GUC3_HUMAN Alpha-ketoglutarate-dependent dioxygenase FTO OS=Homo sapiens OX=9606 GN=FTO PE=1 SV=1;sp|Q9C0B1|FTO_HUMAN Alpha-ketoglutarate-dependent dioxygenase FTO OS=Homo sapiens OX=9606 GN=FTO PE=1 SV=3;tr|A0A1B0GTZ8|A0A1B0GTZ8_HUMAN,2,2,5.3,23.8344139528747,22.951644006258,24.4146182617306,22.7925909404206
Q8IY81;J3KS36;J3QSE2,Q8IY81,20;3;1,20;3;1,20;3;1,pre-rRNA processing protein FTSJ3,FTSJ3,sp|Q8IY81|SPB1_HUMAN pre-rRNA 2-O-ribose RNA methyltransferase FTSJ3 OS=Homo sapiens OX=9606 GN=FTSJ3 PE=1 SV=2,20,20,34.1,29.792996717657,29.1341577036057,28.8466412471748,28.649450587485
Q96AE4;E9PEB5,Q96AE4;E9PEB5,17;17,15;15,8;8,Far upstream element-binding protein 1,FUBP1,sp|Q96AE4|FUBP1_HUMAN Far upstream element-binding protein 1 OS=Homo sapiens OX=9606 GN=FUBP1 PE=1 SV=3;tr|E9PEB5|E9PEB5_HUMAN Far upstream element-binding protein 1 OS=Homo sapiens OX=9606 GN=FUBP1 PE=1 SV=1,17,8,31.8,29.0102797972591,27.6536930062381,28.5665247890513,28.2401806389321
Q96I24;A0A494C1K6,Q96I24,12;1,11;1,11;1,Far upstream element-binding protein 3,FUBP3,sp|Q96I24|FUBP3_HUMAN Far upstream element-binding protein 3 OS=Homo sapiens OX=9606 GN=FUBP3 PE=1 SV=2,12,11,28.0,26.9649915708616,25.945856903985,27.9436343571982,28.1114776593391
P35637;H3BPE7,P35637;H3BPE7,7;7,7;7,5;5,RNA-binding protein FUS,FUS,sp|P35637|FUS_HUMAN RNA-binding protein FUS OS=Homo sapiens OX=9606 GN=FUS PE=1 SV=1;tr|H3BPE7|H3BPE7_HUMAN RNA-binding protein FUS OS=Homo sapiens OX=9606 GN=FUS PE=1 SV=1,7,5,13.9,27.1778816392793,26.8545988675879,27.5319275368689,27.2280259766954
P51114;B4DXZ6;E9PFF5;E7EU85;C9JZE0;C9JY20;C9JAJ4;C9IZ22;C9J5B4,P51114;B4DXZ6;E9PFF5;E7EU85,16;16;15;14;4;4;3;2;1,16;16;15;14;4;4;3;2;1,12;12;11;10;4;4;3;2;1,Fragile X mental retardation syndrome-related protein 1,FXR1,sp|P51114|FXR1_HUMAN Fragile X mental retardation syndrome-related protein 1 OS=Homo sapiens OX=9606 GN=FXR1 PE=1 SV=3;tr|B4DXZ6|B4DXZ6_HUMAN Fragile X mental retardation syndrome-related protein 1 OS=Homo sapiens OX=9606 GN=FXR1 PE=1 SV=1;tr|E9PFF5|E9PFF5,16,12,34.0,27.1801603288601,26.75837125361,27.6881916045273,27.7658499864682
P51116,P51116,7,4,3,Fragile X mental retardation syndrome-related protein 2,FXR2,sp|P51116|FXR2_HUMAN Fragile X mental retardation syndrome-related protein 2 OS=Homo sapiens OX=9606 GN=FXR2 PE=1 SV=2,7,3,12.5,23.0283364240389,24.4972875892763,24.9732058203012,23.1876583456248
Q13283;E5RIZ6;E5RJU8;E5RH42;E5RIF8;E5RI46;E5RH00;D6RBR0;D6REX8;Q9UN86;D6RBW8;D6RBM9;D6RGJ4;D6RAC7;D6R9A4;D6R9X5;D6RB17;D6RE13,Q13283,21;8;7;7;6;5;3;2;2;2;2;2;2;2;2;2;2;2,21;8;7;7;6;5;3;2;2;2;2;2;2;2;2;2;2;2,21;8;7;7;6;5;3;2;2;2;2;2;2;2;2;2;2;2,Ras GTPase-activating protein-binding protein 1,G3BP1,sp|Q13283|G3BP1_HUMAN Ras GTPase-activating protein-binding protein 1 OS=Homo sapiens OX=9606 GN=G3BP1 PE=1 SV=1,21,21,55.2,29.152672294692,28.8493284981211,30.0103865192862,29.9751427426299
P11413;E7EUI8;E9PD92;E7EM57,P11413;E7EUI8;E9PD92;E7EM57,21;12;11;11,21;12;11;11,21;12;11;11,Glucose-6-phosphate 1-dehydrogenase,G6PD,sp|P11413|G6PD_HUMAN Glucose-6-phosphate 1-dehydrogenase OS=Homo sapiens OX=9606 GN=G6PD PE=1 SV=4;tr|E7EUI8|E7EUI8_HUMAN Glucose-6-phosphate 1-dehydrogenase (Fragment) OS=Homo sapiens OX=9606 GN=G6PD PE=1 SV=8;tr|E9PD92|E9PD92_HUMAN Glucose-6-phosphate 1-,21,21,51.3,28.7690072841805,27.6984287131537,27.9759626886826,28.2268783391829
Q06546,Q06546,9,9,9,GA-binding protein alpha chain,GABPA,sp|Q06546|GABPA_HUMAN GA-binding protein alpha chain OS=Homo sapiens OX=9606 GN=GABPA PE=1 SV=1,9,9,27.8,26.2849447959778,24.1206023937142,27.4542677867407,27.2034050621649
O14976;D6RAW3;A0A087X1U9;H0Y8H5,O14976,3;1;1;1,3;1;1;1,3;1;1;1,Cyclin-G-associated kinase,GAK,sp|O14976|GAK_HUMAN Cyclin-G-associated kinase OS=Homo sapiens OX=9606 GN=GAK PE=1 SV=2,3,3,3.2,4.29321427599828,4.26311898798562,24.896119044932,24.6239399690328
P04406;E7EUT5,P04406;E7EUT5,10;8,10;8,10;8,Glyceraldehyde-3-phosphate dehydrogenase,GAPDH,sp|P04406|G3P_HUMAN Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3;tr|E7EUT5|E7EUT5_HUMAN Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=1,10,10,38.2,27.7542987172687,27.7154180610023,26.7601493796008,25.967962004374
Q14C86;F8W9S7;C9IZ08;B0QZ65;B4DGD8;H0Y7I9;H0Y4E7;A0A0A0MQV8;C9IZX9,Q14C86;F8W9S7,25;24;12;9;9;9;8;6;2,25;24;12;9;9;9;8;6;2,25;24;12;9;9;9;8;6;2,GTPase-activating protein and VPS9 domain-containing protein 1,GAPVD1,sp|Q14C86|GAPD1_HUMAN GTPase-activating protein and VPS9 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=GAPVD1 PE=1 SV=2;tr|F8W9S7|F8W9S7_HUMAN GTPase-activating protein and VPS9 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=GAPVD1 PE=1 SV,25,25,22.1,27.6365096797002,26.6374082752079,29.0959978698069,28.5019555989933
P41250,P41250,4,4,4,Glycine--tRNA ligase,GARS,sp|P41250|GARS_HUMAN Glycine--tRNA ligase OS=Homo sapiens OX=9606 GN=GARS1 PE=1 SV=3,4,4,9.1,22.7617021761774,24.0248752036961,24.7630911719424,24.0446856057149
P22102;C9JZG2;C9JKQ7;C9JBJ1;C9JTV6;F8WD69;A0A140TA71,P22102,17;4;4;4;4;4;1,17;4;4;4;4;4;1,17;4;4;4;4;4;1,Trifunctional purine biosynthetic protein adenosine-3;Phosphoribosylamine--glycine ligase;Phosphoribosylformylglycinamidine cyclo-ligase;Phosphoribosylglycinamide formyltransferase,GART,sp|P22102|PUR2_HUMAN Trifunctional purine biosynthetic protein adenosine-3 OS=Homo sapiens OX=9606 GN=GART PE=1 SV=1,17,17,26.1,26.8039048574288,27.1060948345906,28.0841576386113,27.8686775155268
Q86YP4;C9JVY3;V9GY85;H7C3H1;C9JMI3;C9JGN4;C9JHD7;C9JJK9;V9GYX5,Q86YP4,9;3;3;3;3;3;3;3;2,8;3;3;3;3;3;3;3;2,8;3;3;3;3;3;3;3;2,Transcriptional repressor p66-alpha,GATAD2A,sp|Q86YP4|P66A_HUMAN Transcriptional repressor p66-alpha OS=Homo sapiens OX=9606 GN=GATAD2A PE=1 SV=1,9,8,21.6,25.7617731791921,23.7299301997255,23.8846475219367,24.422010340409
Q8WXI9;A0A0U1RRM1;A0A0U1RR30;A0A0U1RR34;A0A0U1RRK3,Q8WXI9;A0A0U1RRM1,13;13;6;5;4,13;13;6;5;4,12;12;5;5;4,Transcriptional repressor p66-beta,GATAD2B,sp|Q8WXI9|P66B_HUMAN Transcriptional repressor p66-beta OS=Homo sapiens OX=9606 GN=GATAD2B PE=1 SV=1;tr|A0A0U1RRM1|A0A0U1RRM1_HUMAN Transcriptional repressor p66-beta OS=Homo sapiens OX=9606 GN=GATAD2B PE=1 SV=1,13,12,31.5,27.4081932780393,27.02591021896,27.5081662865223,26.8985065486026
Q92538;A0A669KBG8;A0A669KB10,Q92538;A0A669KBG8;A0A669KB10,10;10;10,10;10;10,10;10;10,Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1,GBF1,sp|Q92538|GBF1_HUMAN Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1 OS=Homo sapiens OX=9606 GN=GBF1 PE=1 SV=2;tr|A0A669KBG8|A0A669KBG8_HUMAN Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1 OS=Homo sapi,10,10,6.7,25.6213150078177,24.8235791300337,28.0583762724662,28.3173015744733
Q92616,Q92616,102,102,102,Translational activator GCN1,GCN1L1,sp|Q92616|GCN1_HUMAN eIF-2-alpha kinase activator GCN1 OS=Homo sapiens OX=9606 GN=GCN1 PE=1 SV=6,102,102,47.5,29.8583389592893,28.6352991473803,31.5789820232876,31.2677403582684
H8Y6P7;P0CAP2;Q9BZD3;P0CAP1,H8Y6P7;P0CAP2;Q9BZD3,4;3;3;1,4;3;3;1,4;3;3;1,DNA-directed RNA polymerase II subunit GRINL1A;Putative GRINL1B complex locus protein 2,GCOM1;POLR2M;GCOM2,tr|H8Y6P7|H8Y6P7_HUMAN GRINL1A combined protein 15 OS=Homo sapiens OX=9606 GN=GCOM1 PE=2 SV=1;sp|P0CAP2|GRL1A_HUMAN DNA-directed RNA polymerase II subunit GRINL1A OS=Homo sapiens OX=9606 GN=POLR2M PE=1 SV=1;sp|Q9BZD3|GCOM2_HUMAN Putative GRINL1B complex lo,4,4,8.1,4.29321427599828,4.26311898798562,24.2459025632432,23.6937047392253
P50395;Q5SX87;P31150;V9GYF8;Q5SX90;Q5SX86;Q5SX91,P50395;Q5SX87,4;3;1;1;1;1;1,4;3;1;1;1;1;1,4;3;1;1;1;1;1,Rab GDP dissociation inhibitor beta,GDI2,sp|P50395|GDIB_HUMAN Rab GDP dissociation inhibitor beta OS=Homo sapiens OX=9606 GN=GDI2 PE=1 SV=2;tr|Q5SX87|Q5SX87_HUMAN Rab GDP dissociation inhibitor (Fragment) OS=Homo sapiens OX=9606 GN=GDI2 PE=1 SV=1,4,4,17.1,24.7472464586847,22.6457481337095,25.9295834985939,23.0197780241947
P57678;I3L2C7,P57678;I3L2C7,4;4,4;4,2;2,Gem-associated protein 4,GEMIN4,sp|P57678|GEMI4_HUMAN Gem-associated protein 4 OS=Homo sapiens OX=9606 GN=GEMIN4 PE=1 SV=2;tr|I3L2C7|I3L2C7_HUMAN Gem-associated protein 4 OS=Homo sapiens OX=9606 GN=GEMIN4 PE=1 SV=1,4,2,4.5,23.5210923860634,23.620196552811,4.42522191267267,4.39210376514955
Q8TEQ6,Q8TEQ6,87,87,87,Gem-associated protein 5,GEMIN5,sp|Q8TEQ6|GEMI5_HUMAN Gem-associated protein 5 OS=Homo sapiens OX=9606 GN=GEMIN5 PE=1 SV=3,87,87,62.2,33.8931087006471,32.9737922326136,32.3287083755598,32.0569497499421
Q9UJY5;B0QYR6;Q9UJY4;B0QYR9;B0QYS0;B0QYS1;A0A087WYN2;B0QYS2;B0QYS3;B0QYR5;B0QYS5;H3BPI3;H3BMM6,Q9UJY5;B0QYR6,4;2;1;1;1;1;1;1;1;1;1;1;1,3;1;0;0;0;0;0;0;0;0;0;0;0,3;1;0;0;0;0;0;0;0;0;0;0;0,ADP-ribosylation factor-binding protein GGA1,GGA1,sp|Q9UJY5|GGA1_HUMAN ADP-ribosylation factor-binding protein GGA1 OS=Homo sapiens OX=9606 GN=GGA1 PE=1 SV=1;tr|B0QYR6|B0QYR6_HUMAN ADP-ribosylation factor-binding protein GGA1 (Fragment) OS=Homo sapiens OX=9606 GN=GGA1 PE=1 SV=1,4,3,7.7,4.29321427599828,4.26311898798562,23.3421810357449,24.3674638106445
Q9NZ52;J3KSS7;J3KSG3;B7Z1E9;J3QS87;J3QRS8;J3QRP3;J3KS27;J3QRK7;J3KTR5,Q9NZ52;J3KSS7,16;14;5;4;4;3;3;2;2;2,16;14;5;4;4;3;3;2;2;2,15;13;5;3;4;2;2;2;2;2,ADP-ribosylation factor-binding protein GGA3,GGA3,sp|Q9NZ52|GGA3_HUMAN ADP-ribosylation factor-binding protein GGA3 OS=Homo sapiens OX=9606 GN=GGA3 PE=1 SV=1;tr|J3KSS7|J3KSS7_HUMAN ADP-ribosylation factor-binding protein GGA3 OS=Homo sapiens OX=9606 GN=GGA3 PE=1 SV=1,16,15,33.2,27.4249437072607,26.7666083683189,28.1758848292154,27.9847342230986
O75420,O75420,5,5,5,PERQ amino acid-rich with GYF domain-containing protein 1,GIGYF1,sp|O75420|GGYF1_HUMAN GRB10-interacting GYF protein 1 OS=Homo sapiens OX=9606 GN=GIGYF1 PE=1 SV=2,5,5,7.4,23.2330391568141,23.1909917216056,25.6117803870644,25.9362272561816
Q6Y7W6;I1E4Y6;E7ESB6;C9JHW1;C9JH18;C9J0V6;C9JHT0;C9JRZ2;F8WCD5;C9JPV7;C9JXQ0;C9JW88;C9JH78;C9IYH5;C9J7G1;B8ZZD2,Q6Y7W6;I1E4Y6;E7ESB6,37;34;22;18;5;4;4;4;3;3;3;2;2;2;1;1,37;34;22;18;5;4;4;4;3;3;3;2;2;2;1;1,37;34;22;18;5;4;4;4;3;3;3;2;2;2;1;1,PERQ amino acid-rich with GYF domain-containing protein 2,GIGYF2,sp|Q6Y7W6|GGYF2_HUMAN GRB10-interacting GYF protein 2 OS=Homo sapiens OX=9606 GN=GIGYF2 PE=1 SV=1;tr|I1E4Y6|I1E4Y6_HUMAN GRB10-interacting GYF protein 2 OS=Homo sapiens OX=9606 GN=GIGYF2 PE=1 SV=1;tr|E7ESB6|E7ESB6_HUMAN GRB10-interacting GYF protein 2 (Fra,37,37,34.6,30.7514283161078,29.9876643253623,32.0688799600251,31.9269470869251
O14908;K7EM11;Q8TF64;A0A2R8Y651,O14908;K7EM11,3;2;1;1,3;2;1;1,3;2;1;1,PDZ domain-containing protein GIPC1,GIPC1,sp|O14908|GIPC1_HUMAN PDZ domain-containing protein GIPC1 OS=Homo sapiens OX=9606 GN=GIPC1 PE=1 SV=2;tr|K7EM11|K7EM11_HUMAN PDZ domain-containing protein GIPC1 (Fragment) OS=Homo sapiens OX=9606 GN=GIPC1 PE=1 SV=1,3,3,11.7,23.4065237076764,22.4206233311118,24.4433528434583,25.8113233393612
Q9Y2X7;J3QLH1;J3QRU8;A0A0C4DGN6,Q9Y2X7;J3QLH1;J3QRU8;A0A0C4DGN6,2;2;2;2,2;2;2;2,2;2;2;2,ARF GTPase-activating protein GIT1,GIT1,sp|Q9Y2X7|GIT1_HUMAN ARF GTPase-activating protein GIT1 OS=Homo sapiens OX=9606 GN=GIT1 PE=1 SV=2;tr|J3QLH1|J3QLH1_HUMAN ARF GTPase-activating protein GIT1 (Fragment) OS=Homo sapiens OX=9606 GN=GIT1 PE=1 SV=8;tr|J3QRU8|J3QRU8_HUMAN ARF GTPase-activating pr,2,2,4.6,4.29321427599828,4.26311898798562,24.4673727075945,22.8367076321382
Q92990;M0QX84;M0QXG8,Q92990,6;2;1,6;2;1,6;2;1,Glomulin,GLMN,sp|Q92990|GLMN_HUMAN Glomulin OS=Homo sapiens OX=9606 GN=GLMN PE=1 SV=2,6,6,10.6,25.2957557646213,25.4799127106046,24.1801793028267,23.7201498843343
O76003,O76003,6,6,6,Glutaredoxin-3,GLRX3,sp|O76003|GLRX3_HUMAN Glutaredoxin-3 OS=Homo sapiens OX=9606 GN=GLRX3 PE=1 SV=2,6,6,22.1,25.6986936465932,25.4146104031441,23.2827728465822,22.5959148705742
Q49A26;K7EMM8;K7EQB2,Q49A26;K7EMM8,3;3;1,3;3;1,3;3;1,Putative oxidoreductase GLYR1,GLYR1,sp|Q49A26|GLYR1_HUMAN Putative oxidoreductase GLYR1 OS=Homo sapiens OX=9606 GN=GLYR1 PE=1 SV=4;tr|K7EMM8|K7EMM8_HUMAN Putative oxidoreductase GLYR1 (Fragment) OS=Homo sapiens OX=9606 GN=GLYR1 PE=1 SV=2,3,3,8.9,4.29321427599828,4.26311898798562,24.5558449636229,24.1608488483829
P49915,P49915,27,27,27,GMP synthase [glutamine-hydrolyzing],GMPS,sp|P49915|GUAA_HUMAN GMP synthase [glutamine-hydrolyzing] OS=Homo sapiens OX=9606 GN=GMPS PE=1 SV=1,27,27,52.7,28.6167728901986,27.6185592494126,28.0437474030468,27.6272144684186
Q13823;H0YG10,Q13823;H0YG10,8;4,8;4,8;4,Nucleolar GTP-binding protein 2,GNL2,sp|Q13823|NOG2_HUMAN Nucleolar GTP-binding protein 2 OS=Homo sapiens OX=9606 GN=GNL2 PE=1 SV=1;tr|H0YG10|H0YG10_HUMAN Nucleolar GTP-binding protein 2 (Fragment) OS=Homo sapiens OX=9606 GN=GNL2 PE=1 SV=2,8,8,14.9,26.3557516579867,25.8711712896802,28.4915574087444,28.7737303128239
P46926;D6RAY7;D6R9P4;D6RFF8;Q8TDQ7;D6RFK5;V9GYW0;V9GYK3;D6R917;D6RB13,P46926;D6RAY7;D6R9P4;D6RFF8,3;3;3;3;1;1;1;1;1;1,3;3;3;3;1;1;1;1;1;1,3;3;3;3;1;1;1;1;1;1,Glucosamine-6-phosphate isomerase 1;Glucosamine-6-phosphate isomerase,GNPDA1,sp|P46926|GNPI1_HUMAN Glucosamine-6-phosphate isomerase 1 OS=Homo sapiens OX=9606 GN=GNPDA1 PE=1 SV=1;tr|D6RAY7|D6RAY7_HUMAN Glucosamine-6-phosphate isomerase (Fragment) OS=Homo sapiens OX=9606 GN=GNPDA1 PE=1 SV=1;tr|D6R9P4|D6R9P4_HUMAN Glucosamine-6-phosp,3,3,18.3,4.29321427599828,4.26311898798562,24.8387957545083,24.2570269442324
Q08379;A0A2Q2TH77;B7ZC06;A0A1W2PQY5;A0A087WYC0;H0Y7B8,Q08379;A0A2Q2TH77,35;35;13;12;8;4,35;35;13;12;8;4,35;35;13;12;8;4,Golgin subfamily A member 2,GOLGA2,sp|Q08379|GOGA2_HUMAN Golgin subfamily A member 2 OS=Homo sapiens OX=9606 GN=GOLGA2 PE=1 SV=3;tr|A0A2Q2TH77|A0A2Q2TH77_HUMAN Golgin subfamily A member 2 OS=Homo sapiens OX=9606 GN=GOLGA2 PE=1 SV=1,35,35,46.1,30.8846737199155,29.7124527709001,25.3497247775152,24.8413416734658
Q08378;A0A087WV43;A0A494C129,Q08378,87;4;2,87;4;2,87;4;2,Golgin subfamily A member 3,GOLGA3,sp|Q08378|GOGA3_HUMAN Golgin subfamily A member 3 OS=Homo sapiens OX=9606 GN=GOLGA3 PE=1 SV=2,87,87,62.8,32.548301184206,31.7871378759898,22.739438647624,23.8699484674045
Q8TBA6;H0YK03,Q8TBA6,11;1,11;1,11;1,Golgin subfamily A member 5,GOLGA5,sp|Q8TBA6|GOGA5_HUMAN Golgin subfamily A member 5 OS=Homo sapiens OX=9606 GN=GOLGA5 PE=1 SV=3,11,11,17.9,23.6779888351007,24.0866701274499,26.5175676346352,26.1273689075441
Q9H8Y8,Q9H8Y8,6,6,6,Golgi reassembly-stacking protein 2,GORASP2,sp|Q9H8Y8|GORS2_HUMAN Golgi reassembly-stacking protein 2 OS=Homo sapiens OX=9606 GN=GORASP2 PE=1 SV=3,6,6,26.3,28.2827728465822,26.5564444264675,27.4870013042223,27.645607972976
