WDTC1_vs_BirA,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
MAP4,-0.1800325474,0.388302777027569,0,P27816;E7EVA0;H0Y2V1;H7C4C5;F8W9U4;B5MEG9;H7C456;A0A0J9YVV8;A0A0J9YW37,P27816;E7EVA0,16;16;7;7;7;6;3;1;1,16;16;7;7;7;6;3;1;1,16;16;7;7;7;6;3;1;1,Microtubule-associated protein 4;Microtubule-associated protein,MAP4,sp|P27816|MAP4_HUMAN Microtubule-associated protein 4 OS=Homo sapiens OX=9606 GN=MAP4 PE=1 SV=3;tr|E7EVA0|E7EVA0_HUMAN Microtubule-associated protein OS=Homo sapiens OX=9606 GN=MAP4 PE=1 SV=1,16,16,18.9,1152
NDUFB5,-0.0849730517,0.514227160431217,0,O43674;E7EWP0;F8WDZ2;F8WDD2;A0A087WYD0;H0Y886,O43674;E7EWP0;F8WDZ2;F8WDD2;A0A087WYD0;H0Y886,2;2;1;1;1;1,2;2;1;1;1;1,2;2;1;1;1;1,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial",NDUFB5,"sp|O43674|NDUB5_HUMAN NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFB5 PE=1 SV=1;tr|E7EWP0|E7EWP0_HUMAN NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial OS=Homo sapiens O",2,2,10.1,189
CSTF2;CSTF2T,0.0995968359,0.319967774243071,0,P33240;E7EWR4;E9PID8;Q9H0L4;A0A0A0MT56,P33240;E7EWR4;E9PID8;Q9H0L4,10;10;8;6;3,10;10;8;6;3,10;10;8;6;3,Cleavage stimulation factor subunit 2;Cleavage stimulation factor subunit 2 tau variant,CSTF2;CSTF2T,sp|P33240|CSTF2_HUMAN Cleavage stimulation factor subunit 2 OS=Homo sapiens OX=9606 GN=CSTF2 PE=1 SV=1;tr|E7EWR4|E7EWR4_HUMAN Cleavage stimulation factor subunit 2 OS=Homo sapiens OX=9606 GN=CSTF2 PE=1 SV=1;tr|E9PID8|E9PID8_HUMAN Cleavage stimulation facto,10,10,22.4,577
DCTN1,-0.0163415434,0.873933416396863,0,Q14203;E7EX90;E7EWF7;Q6AWB1;C9JZA4;C9JTE5;C9JJN7;C9JJD0;C9JKG6;E9PCY0,Q14203;E7EX90;E7EWF7,12;12;6;4;1;1;1;1;1;1,12;12;6;4;1;1;1;1;1;1,12;12;6;4;1;1;1;1;1;1,Dynactin subunit 1,DCTN1,sp|Q14203|DCTN1_HUMAN Dynactin subunit 1 OS=Homo sapiens OX=9606 GN=DCTN1 PE=1 SV=3;tr|E7EX90|E7EX90_HUMAN Dynactin subunit 1 OS=Homo sapiens OX=9606 GN=DCTN1 PE=1 SV=1;tr|E7EWF7|E7EWF7_HUMAN Uncharacterized protein (Fragment) OS=Homo sapiens OX=9606 PE=4 ,12,12,10.2,1278
NIF3L1,-0.1332194007,0.357990237351793,0,Q9GZT8;E7EXA3;Q6X734;C9JN42;B8ZZI0,Q9GZT8;E7EXA3;Q6X734,3;3;3;1;1,3;3;3;1;1,3;3;3;1;1,NIF3-like protein 1,NIF3L1,sp|Q9GZT8|NIF3L_HUMAN NIF3-like protein 1 OS=Homo sapiens OX=9606 GN=NIF3L1 PE=1 SV=2;tr|E7EXA3|E7EXA3_HUMAN NIF3-like protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=NIF3L1 PE=1 SV=1;tr|Q6X734|Q6X734_HUMAN NIF3-like protein 1 OS=Homo sapiens OX=9606 GN=NI,3,3,12.5,377
NACA,0.0314322464,0.833258138454963,0,E9PAV3;F8VZJ2;H0YHX9;Q13765;F8W1N5;F8VNW4;F8W0W4;F8VZ58;Q9BZK3,E9PAV3;F8VZJ2;H0YHX9;Q13765;F8W1N5;F8VNW4;F8W0W4,9;9;9;9;8;8;8;3;2,9;9;9;9;8;8;8;3;2,9;9;9;9;8;8;8;3;2,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form;Nascent polypeptide-associated complex subunit alpha",NACA,"sp|E9PAV3|NACAM_HUMAN Nascent polypeptide-associated complex subunit alpha, muscle-specific form OS=Homo sapiens OX=9606 GN=NACA PE=1 SV=1;tr|F8VZJ2|F8VZJ2_HUMAN Nascent polypeptide-associated complex subunit alpha OS=Homo sapiens OX=9606 GN=NACA PE=1 SV=1",9,9,3.6,2078
RBBP7,-0.4786278908,0.0323713909339433,0,Q16576;E9PC52;Q5JP02;Q5JP01;Q5JNZ6,Q16576;E9PC52;Q5JP02,8;8;5;3;1,3;3;1;2;0,3;3;1;2;0,Histone-binding protein RBBP7,RBBP7,sp|Q16576|RBBP7_HUMAN Histone-binding protein RBBP7 OS=Homo sapiens OX=9606 GN=RBBP7 PE=1 SV=1;tr|E9PC52|E9PC52_HUMAN Histone-binding protein RBBP7 OS=Homo sapiens OX=9606 GN=RBBP7 PE=1 SV=1;tr|Q5JP02|Q5JP02_HUMAN Histone-binding protein RBBP7 (Fragment) O,8,3,25.4,425
OGDH,0.0684052064,0.47490170561436,0,Q02218;E9PDF2;E9PCR7;E9PFG7;A0A0D9SFS3;Q9ULD0;C9J4G7,Q02218;E9PDF2;E9PCR7;E9PFG7;A0A0D9SFS3,7;7;7;6;6;1;1,7;7;7;6;6;1;1,7;7;7;6;6;1;1,"2-oxoglutarate dehydrogenase, mitochondrial",OGDH,"sp|Q02218|ODO1_HUMAN 2-oxoglutarate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=OGDH PE=1 SV=3;tr|E9PDF2|E9PDF2_HUMAN 2-oxoglutarate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=OGDH PE=1 SV=1;tr|E9PCR7|E9PCR7_HUMAN 2-oxoglutarate de",7,7,11.4,1023
HNRNPH1,-0.0648911416,0.535352136038181,0,P31943;G8JLB6;E9PCY7;D6RIU0;H0YB39;D6RBM0;D6RIT2;D6RAM1;E7EQJ0;H0YBD7;D6RIH9;D6RJ04;D6RDU3;D6RFM3;D6R9T0;E5RGV0;H0YBG7;E7EN40;E5RGH4;D6RDL0;D6RF17;D6R9D3;H0YAQ2;E5RJ94,P31943;G8JLB6;E9PCY7;D6RIU0;H0YB39;D6RBM0;D6RIT2,15;15;15;8;8;8;8;7;7;7;7;7;7;7;7;7;6;5;4;4;4;3;3;2,13;13;13;8;6;8;8;7;7;5;7;7;7;7;7;7;4;5;4;4;4;3;3;2,10;10;10;6;4;6;7;6;6;4;6;6;6;6;6;5;3;4;2;4;4;3;2;2,"Heterogeneous nuclear ribonucleoprotein H;Heterogeneous nuclear ribonucleoprotein H, N-terminally processed",HNRNPH1,sp|P31943|HNRH1_HUMAN Heterogeneous nuclear ribonucleoprotein H OS=Homo sapiens OX=9606 GN=HNRNPH1 PE=1 SV=4;tr|G8JLB6|G8JLB6_HUMAN Heterogeneous nuclear ribonucleoprotein H OS=Homo sapiens OX=9606 GN=HNRNPH1 PE=1 SV=1;tr|E9PCY7|E9PCY7_HUMAN Heterogeneous ,15,10,39.9,449
SMC4,-0.3582957661,0.0256210029640862,0,Q9NTJ3;E9PD53;C9JR83;C9JVD8;C9J578;C9J9E4;C9JWF0;C9IYK2;C9JJ64,Q9NTJ3;E9PD53;C9JR83,5;5;4;2;2;2;1;1;1,5;5;4;2;2;2;1;1;1,5;5;4;2;2;2;1;1;1,Structural maintenance of chromosomes protein 4;Structural maintenance of chromosomes protein,SMC4,sp|Q9NTJ3|SMC4_HUMAN Structural maintenance of chromosomes protein 4 OS=Homo sapiens OX=9606 GN=SMC4 PE=1 SV=2;tr|E9PD53|E9PD53_HUMAN Structural maintenance of chromosomes protein OS=Homo sapiens OX=9606 GN=SMC4 PE=1 SV=1;tr|C9JR83|C9JR83_HUMAN Structural ,5,5,5.8,1288
VCAM1,-0.5988358958,0.00507422841295717,0,P19320;E9PDD2,P19320;E9PDD2,2;2,2;2,2;2,Vascular cell adhesion protein 1,VCAM1,sp|P19320|VCAM1_HUMAN Vascular cell adhesion protein 1 OS=Homo sapiens OX=9606 GN=VCAM1 PE=1 SV=1;tr|E9PDD2|E9PDD2_HUMAN Vascular cell adhesion protein 1 OS=Homo sapiens OX=9606 GN=VCAM1 PE=1 SV=1,2,2,3.9,739
SUCLG2,-0.5745740074,0.00423066022269217,0,Q96I99;E9PDQ8;H0Y852,Q96I99;E9PDQ8,8;8;2,8;8;2,8;8;2,"Succinyl-CoA ligase [GDP-forming] subunit beta, mitochondrial",SUCLG2,"sp|Q96I99|SUCB2_HUMAN Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=SUCLG2 PE=1 SV=2;tr|E9PDQ8|E9PDQ8_HUMAN Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=SUCLG2 PE=1 ",8,8,20.6,432
MRPS17;hCG_1984214,-0.242566719,0.0575384728500088,0,Q9Y2R5;E9PE17;I3L0E3,Q9Y2R5;E9PE17;I3L0E3,2;2;2,2;2;2,2;2;2,"28S ribosomal protein S17, mitochondrial",MRPS17;hCG_1984214,"sp|Q9Y2R5|RT17_HUMAN 28S ribosomal protein S17, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS17 PE=1 SV=1;tr|E9PE17|E9PE17_HUMAN 28S ribosomal protein S17, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=MRPS17 PE=1 SV=1;tr|I3L0E3|I3L0E3_HUMAN HCG19842",2,2,29.2,130
FUBP1,-0.0361380543,0.722470681618212,0,Q96AE4;E9PEB5;C9JSZ1,Q96AE4;E9PEB5;C9JSZ1,22;22;11,22;22;11,19;19;10,Far upstream element-binding protein 1,FUBP1,sp|Q96AE4|FUBP1_HUMAN Far upstream element-binding protein 1 OS=Homo sapiens OX=9606 GN=FUBP1 PE=1 SV=3;tr|E9PEB5|E9PEB5_HUMAN Far upstream element-binding protein 1 OS=Homo sapiens OX=9606 GN=FUBP1 PE=1 SV=1;tr|C9JSZ1|C9JSZ1_HUMAN Far upstream element-bin,22,19,41.3,644
GSTK1,-0.3033861018,0.0954755760085495,0,Q9Y2Q3;E9PFN5;C9JNT3,Q9Y2Q3;E9PFN5;C9JNT3,4;4;3,4;4;3,4;4;3,Glutathione S-transferase kappa 1,GSTK1,sp|Q9Y2Q3|GSTK1_HUMAN Glutathione S-transferase kappa 1 OS=Homo sapiens OX=9606 GN=GSTK1 PE=1 SV=3;tr|E9PFN5|E9PFN5_HUMAN Glutathione S-transferase kappa OS=Homo sapiens OX=9606 GN=GSTK1 PE=1 SV=1;tr|C9JNT3|C9JNT3_HUMAN Glutathione S-transferase kappa 1 (F,4,4,25.7,226
TSN,-0.4505326773,0.00726959472752649,0,Q15631;E9PGT1;H7C1D4,Q15631;E9PGT1,4;4;1,4;4;1,4;4;1,Translin,TSN,sp|Q15631|TSN_HUMAN Translin OS=Homo sapiens OX=9606 GN=TSN PE=1 SV=1;tr|E9PGT1|E9PGT1_HUMAN Translin OS=Homo sapiens OX=9606 GN=TSN PE=1 SV=1,4,4,31.6,228
COPS8,-0.0080796735,0.945012594362664,0,Q99627;E9PGT6;H7C3S9;F8WEF2,Q99627;E9PGT6;H7C3S9,5;5;3;1,5;5;3;1,5;5;3;1,COP9 signalosome complex subunit 8,COPS8,sp|Q99627|CSN8_HUMAN COP9 signalosome complex subunit 8 OS=Homo sapiens OX=9606 GN=COPS8 PE=1 SV=1;tr|E9PGT6|E9PGT6_HUMAN COP9 signalosome complex subunit 8 OS=Homo sapiens OX=9606 GN=COPS8 PE=1 SV=1;tr|H7C3S9|H7C3S9_HUMAN COP9 signalosome complex subunit ,5,5,31.6,209
GSDMD,-0.6873457465,0.035015870238624,0,P57764;E9PIB2;G3V1A6,P57764;E9PIB2;G3V1A6,1;1;1,1;1;1,1;1;1,Gasdermin-D,GSDMD,"sp|P57764|GSDMD_HUMAN Gasdermin-D OS=Homo sapiens OX=9606 GN=GSDMD PE=1 SV=1;tr|E9PIB2|E9PIB2_HUMAN Gasdermin-D (Fragment) OS=Homo sapiens OX=9606 GN=GSDMD PE=1 SV=1;tr|G3V1A6|G3V1A6_HUMAN Gasdermin domain containing 1, isoform CRA_d OS=Homo sapiens OX=960",1,1,2.7,484
UBXN1,-0.0629186747,0.697916303661856,0,Q04323;E9PJ81;E9PRQ7;A0A087WTZ5,Q04323;E9PJ81;E9PRQ7,3;3;3;1,3;3;3;1,3;3;3;1,UBX domain-containing protein 1,UBXN1,sp|Q04323|UBXN1_HUMAN UBX domain-containing protein 1 OS=Homo sapiens OX=9606 GN=UBXN1 PE=1 SV=2;tr|E9PJ81|E9PJ81_HUMAN UBX domain-containing protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=UBXN1 PE=1 SV=1;tr|E9PRQ7|E9PRQ7_HUMAN UBX domain-containing prote,3,3,7.4,297
CLNS1A,-0.0306974001,0.800196131291359,0,P54105;E9PMI6;E9PJF4;J3KN38,P54105;E9PMI6;E9PJF4;J3KN38,2;2;2;2,2;2;2;2,2;2;2;2,Methylosome subunit pICln,CLNS1A,sp|P54105|ICLN_HUMAN Methylosome subunit pICln OS=Homo sapiens OX=9606 GN=CLNS1A PE=1 SV=1;tr|E9PMI6|E9PMI6_HUMAN Methylosome subunit pICln OS=Homo sapiens OX=9606 GN=CLNS1A PE=1 SV=1;tr|E9PJF4|E9PJF4_HUMAN Methylosome subunit pICln OS=Homo sapiens OX=9606,2,2,16,237
EEF1D,0.4195249452,0.0402586793710775,0,P29692;E9PK01;A0A087X1X7;E9PRY8;E9PQ49;E9PL12;E9PPR1;E9PMW7;E9PI39;H0YCK7;E9PIZ1;E9PN91;E9PL71;E9PQZ1;E9PK06;E9PK72;E9PKK3;E9PNW6;E9PJD0;H0YE58;H0YE72;E9PQC9,P29692;E9PK01;A0A087X1X7;E9PRY8;E9PQ49;E9PL12;E9PPR1;E9PMW7;E9PI39;H0YCK7;E9PIZ1;E9PN91;E9PL71;E9PQZ1,18;18;15;15;14;14;14;14;14;11;11;11;11;10;8;8;6;4;4;4;4;3,18;18;15;15;14;14;14;14;14;11;11;11;11;10;8;8;6;4;4;4;4;3,18;18;15;15;14;14;14;14;14;11;11;11;11;10;8;8;6;4;4;4;4;3,Elongation factor 1-delta,EEF1D,sp|P29692|EF1D_HUMAN Elongation factor 1-delta OS=Homo sapiens OX=9606 GN=EEF1D PE=1 SV=5;tr|E9PK01|E9PK01_HUMAN Elongation factor 1-delta (Fragment) OS=Homo sapiens OX=9606 GN=EEF1D PE=1 SV=1;tr|A0A087X1X7|A0A087X1X7_HUMAN Elongation factor 1-delta OS=Hom,18,18,53.4,281
PRMT1,-0.1705721308,0.147413615491065,0,Q99873;E9PKG1;E9PNR9;E9PQ98;E9PIX6;H0YDE4;E9PMW9,Q99873;E9PKG1;E9PNR9;E9PQ98;E9PIX6;H0YDE4,7;7;4;4;4;4;1,7;7;4;4;4;4;1,7;7;4;4;4;4;1,Protein arginine N-methyltransferase 1,PRMT1,sp|Q99873|ANM1_HUMAN Protein arginine N-methyltransferase 1 OS=Homo sapiens OX=9606 GN=PRMT1 PE=1 SV=3;tr|E9PKG1|E9PKG1_HUMAN Protein arginine N-methyltransferase 1 OS=Homo sapiens OX=9606 GN=PRMT1 PE=1 SV=1;tr|E9PNR9|E9PNR9_HUMAN Protein arginine N-methyl,7,7,27.5,371
NDUFS8,-0.0646730675,0.56573336964046,0,O00217;E9PN51;F8W9K7;E9PKH6;E9PPW7,O00217;E9PN51;F8W9K7;E9PKH6;E9PPW7,2;2;2;2;2,2;2;2;2;2,2;2;2;2;2,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial",NDUFS8,"sp|O00217|NDUS8_HUMAN NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFS8 PE=1 SV=1;tr|E9PN51|E9PN51_HUMAN NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial (Fragment) OS=Homo sapiens OX",2,2,17.6,210
UBTF,-0.7953765552,0.112591693494089,0,P17480;E9PKP7;E9PMM2,P17480;E9PKP7,3;3;1,3;3;1,3;3;1,Nucleolar transcription factor 1,UBTF,sp|P17480|UBF1_HUMAN Nucleolar transcription factor 1 OS=Homo sapiens OX=9606 GN=UBTF PE=1 SV=1;tr|E9PKP7|E9PKP7_HUMAN Nucleolar transcription factor 1 OS=Homo sapiens OX=9606 GN=UBTF PE=1 SV=1,3,3,5.1,764
MRPL17,-0.2620629622,0.159141599034587,0,Q9NRX2;E9PKV2,Q9NRX2;E9PKV2,3;3,3;3,3;3,"39S ribosomal protein L17, mitochondrial",MRPL17,"sp|Q9NRX2|RM17_HUMAN 39S ribosomal protein L17, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL17 PE=1 SV=1;tr|E9PKV2|E9PKV2_HUMAN 39S ribosomal protein L17, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=MRPL17 PE=1 SV=1",3,3,14.9,175
TTC9C,-0.542194559,0.00478546723596005,0,Q8N5M4;H0YDR3;E9PKV8,Q8N5M4;H0YDR3;E9PKV8,1;1;1,1;1;1,1;1;1,Tetratricopeptide repeat protein 9C,TTC9C,sp|Q8N5M4|TTC9C_HUMAN Tetratricopeptide repeat protein 9C OS=Homo sapiens OX=9606 GN=TTC9C PE=1 SV=1;tr|H0YDR3|H0YDR3_HUMAN Tetratricopeptide repeat protein 9C (Fragment) OS=Homo sapiens OX=9606 GN=TTC9C PE=1 SV=1;tr|E9PKV8|E9PKV8_HUMAN Tetratricopeptide r,1,1,8.8,171
NPEPPS,-0.0579807311,0.54914200710573,0,P55786;E9PLK3;H0YDG0;A6NEC2;E9PP11;H0YCQ5;E9PJ74;E9PRQ5,P55786;E9PLK3,20;20;7;6;3;1;1;1,20;20;7;6;3;1;1;1,20;20;7;6;3;1;1;1,Puromycin-sensitive aminopeptidase,NPEPPS,sp|P55786|PSA_HUMAN Puromycin-sensitive aminopeptidase OS=Homo sapiens OX=9606 GN=NPEPPS PE=1 SV=2;tr|E9PLK3|E9PLK3_HUMAN Aminopeptidase OS=Homo sapiens OX=9606 GN=NPEPPS PE=1 SV=1,20,20,26.8,919
SMAP;C11orf58,-0.0642910098,0.667817019591004,0,O00193;E9PRZ9;E9PM92,O00193;E9PRZ9;E9PM92,1;1;1,1;1;1,1;1;1,Small acidic protein,SMAP;C11orf58,sp|O00193|SMAP_HUMAN Small acidic protein OS=Homo sapiens OX=9606 GN=SMAP PE=1 SV=1;tr|E9PRZ9|E9PRZ9_HUMAN Chromosome 11 open reading frame 58 (Fragment) OS=Homo sapiens OX=9606 GN=C11orf58 PE=1 SV=1;tr|E9PM92|E9PM92_HUMAN Chromosome 11 open reading frame ,1,1,12.6,183
RAE1,-0.4567489733,0.00506185694112497,0,P78406;E9PPG9;E9PQ57;B0QZ36,P78406;E9PPG9;E9PQ57,3;3;3;1,3;3;3;1,3;3;3;1,mRNA export factor,RAE1,sp|P78406|RAE1L_HUMAN mRNA export factor OS=Homo sapiens OX=9606 GN=RAE1 PE=1 SV=1;tr|E9PPG9|E9PPG9_HUMAN mRNA export factor OS=Homo sapiens OX=9606 GN=RAE1 PE=1 SV=1;tr|E9PQ57|E9PQ57_HUMAN mRNA export factor OS=Homo sapiens OX=9606 GN=RAE1 PE=1 SV=1,3,3,13.6,368
ANP32E,3.167143374,2.43877568717187e-05,1,Q9BTT0;E9PPH5,Q9BTT0;E9PPH5,2;2,2;2,2;2,Acidic leucine-rich nuclear phosphoprotein 32 family member E,ANP32E,sp|Q9BTT0|AN32E_HUMAN Acidic leucine-rich nuclear phosphoprotein 32 family member E OS=Homo sapiens OX=9606 GN=ANP32E PE=1 SV=1;tr|E9PPH5|E9PPH5_HUMAN Acidic leucine-rich nuclear phosphoprotein 32 family member E (Fragment) OS=Homo sapiens OX=9606 GN=ANP32,2,2,5.2,268
FAU,0.0841783056,0.444748886912227,0,P62861;E9PR30,P62861;E9PR30,4;4,4;4,4;4,40S ribosomal protein S30,FAU,sp|P62861|RS30_HUMAN 40S ribosomal protein S30 OS=Homo sapiens OX=9606 GN=FAU PE=1 SV=1;tr|E9PR30|E9PR30_HUMAN 40S ribosomal protein S30 OS=Homo sapiens OX=9606 GN=FAU PE=1 SV=1,4,4,20.3,59
NSFL1C,0.4084805902,0.116488494762885,0,Q9UNZ2;F2Z2K0,Q9UNZ2;F2Z2K0,4;4,4;4,4;4,NSFL1 cofactor p47,NSFL1C,sp|Q9UNZ2|NSF1C_HUMAN NSFL1 cofactor p47 OS=Homo sapiens OX=9606 GN=NSFL1C PE=1 SV=2;tr|F2Z2K0|F2Z2K0_HUMAN NSFL1 cofactor p47 OS=Homo sapiens OX=9606 GN=NSFL1C PE=1 SV=1,4,4,17.8,370
ACP1,-0.5128741092,0.0216630691380279,0,P24666;F2Z2Q9;G5E9R5;D3YTI2,P24666;F2Z2Q9;G5E9R5;D3YTI2,3;3;3;2,3;3;3;2,3;3;3;2,Low molecular weight phosphotyrosine protein phosphatase,ACP1,sp|P24666|PPAC_HUMAN Low molecular weight phosphotyrosine protein phosphatase OS=Homo sapiens OX=9606 GN=ACP1 PE=1 SV=3;tr|F2Z2Q9|F2Z2Q9_HUMAN Low molecular weight phosphotyrosine protein phosphatase OS=Homo sapiens OX=9606 GN=ACP1 PE=1 SV=1;tr|G5E9R5|G5E9,3,3,21.5,158
LSM8,-0.0650258602,0.707352435297002,0,O95777;F2Z2Y6;C9JNV3;C9JIZ0,O95777;F2Z2Y6;C9JNV3;C9JIZ0,4;4;3;2,4;4;3;2,4;4;3;2,U6 snRNA-associated Sm-like protein LSm8,LSM8,sp|O95777|LSM8_HUMAN U6 snRNA-associated Sm-like protein LSm8 OS=Homo sapiens OX=9606 GN=LSM8 PE=1 SV=3;tr|F2Z2Y6|F2Z2Y6_HUMAN U6 snRNA-associated Sm-like protein LSm8 OS=Homo sapiens OX=9606 GN=LSM8 PE=1 SV=1;tr|C9JNV3|C9JNV3_HUMAN U6 snRNA-associated Sm-,4,4,44.8,96
LAMTOR1,-0.3769777729,0.0103190990584642,0,Q6IAA8;F5GX19;F5H3Y3;H0YFI1;F5H479,Q6IAA8;F5GX19;F5H3Y3;H0YFI1;F5H479,2;2;2;1;1,2;2;2;1;1,2;2;2;1;1,Ragulator complex protein LAMTOR1,LAMTOR1,sp|Q6IAA8|LTOR1_HUMAN Ragulator complex protein LAMTOR1 OS=Homo sapiens OX=9606 GN=LAMTOR1 PE=1 SV=2;tr|F5GX19|F5GX19_HUMAN Ragulator complex protein LAMTOR1 OS=Homo sapiens OX=9606 GN=LAMTOR1 PE=1 SV=1;tr|F5H3Y3|F5H3Y3_HUMAN Ragulator complex protein LAMT,2,2,15.5,161
PGAM5,-0.2426774589,0.0605870252956061,0,Q96HS1;F5GXG4,Q96HS1;F5GXG4,2;2,2;2,2;2,"Serine/threonine-protein phosphatase PGAM5, mitochondrial",PGAM5,"sp|Q96HS1|PGAM5_HUMAN Serine/threonine-protein phosphatase PGAM5, mitochondrial OS=Homo sapiens OX=9606 GN=PGAM5 PE=1 SV=2;tr|F5GXG4|F5GXG4_HUMAN Serine/threonine-protein phosphatase PGAM5, mitochondrial OS=Homo sapiens OX=9606 GN=PGAM5 PE=1 SV=1",2,2,10.7,289
ALCAM,-0.416271765,0.605060775004561,0,Q13740;F5GXJ9;H7C543,Q13740;F5GXJ9;H7C543,6;6;3,6;6;3,6;6;3,CD166 antigen,ALCAM,sp|Q13740|CD166_HUMAN CD166 antigen OS=Homo sapiens OX=9606 GN=ALCAM PE=1 SV=2;tr|F5GXJ9|F5GXJ9_HUMAN CD166 antigen OS=Homo sapiens OX=9606 GN=ALCAM PE=1 SV=1;tr|H7C543|H7C543_HUMAN CD166 antigen (Fragment) OS=Homo sapiens OX=9606 GN=ALCAM PE=1 SV=1,6,6,10.1,583
PTMS,-0.28819113,0.41383931475614,0,P20962;F5H7R9;F5GXR3,P20962;F5H7R9;F5GXR3,3;3;3,3;3;3,3;3;3,Parathymosin,PTMS,sp|P20962|PTMS_HUMAN Parathymosin OS=Homo sapiens OX=9606 GN=PTMS PE=1 SV=2;tr|F5H7R9|F5H7R9_HUMAN Parathymosin (Fragment) OS=Homo sapiens OX=9606 GN=PTMS PE=1 SV=1;tr|F5GXR3|F5GXR3_HUMAN Parathymosin OS=Homo sapiens OX=9606 GN=PTMS PE=1 SV=1,3,3,16.7,102
OTUB1,-0.1858520974,0.108436137842419,0,Q96FW1;F5GYN4;J3KR44;F5H6Q1;F5H3F0;F5GYJ8,Q96FW1;F5GYN4;J3KR44;F5H6Q1;F5H3F0;F5GYJ8,4;4;4;4;3;3,4;4;4;4;3;3,4;4;4;4;3;3,Ubiquitin thioesterase OTUB1,OTUB1,sp|Q96FW1|OTUB1_HUMAN Ubiquitin thioesterase OTUB1 OS=Homo sapiens OX=9606 GN=OTUB1 PE=1 SV=2;tr|F5GYN4|F5GYN4_HUMAN Ubiquitin thioesterase OTUB1 OS=Homo sapiens OX=9606 GN=OTUB1 PE=1 SV=1;tr|J3KR44|J3KR44_HUMAN Ubiquitin thioesterase OS=Homo sapiens OX=96,4,4,20.7,271
ATP6V0D1,-0.7314451004,0.00625496190190547,0,P61421;J3QL14;R4GN72;F5GYQ1,P61421;J3QL14;R4GN72;F5GYQ1,2;2;2;2,2;2;2;2,2;2;2;2,V-type proton ATPase subunit d 1,ATP6V0D1,sp|P61421|VA0D1_HUMAN V-type proton ATPase subunit d 1 OS=Homo sapiens OX=9606 GN=ATP6V0D1 PE=1 SV=1;tr|J3QL14|J3QL14_HUMAN V-type proton ATPase subunit d 1 (Fragment) OS=Homo sapiens OX=9606 GN=ATP6V0D1 PE=1 SV=1;tr|R4GN72|R4GN72_HUMAN V-type proton ATPas,2,2,6,351
LIG1,-0.8077261845,0.328263467613702,0,P18858;F5GZ28;B4E135;M0R0Q7,P18858;F5GZ28,3;3;1;1,3;3;1;1,3;3;1;1,DNA ligase 1;DNA ligase,LIG1,sp|P18858|DNLI1_HUMAN DNA ligase 1 OS=Homo sapiens OX=9606 GN=LIG1 PE=1 SV=1;tr|F5GZ28|F5GZ28_HUMAN DNA ligase OS=Homo sapiens OX=9606 GN=LIG1 PE=1 SV=1,3,3,4.6,919
SLC3A2,0.0231030254,0.79427226345479,0,P08195;F5GZS6;J3KPF3;F5GZI0;H0YFS2;F5H0E2;H0YFX4;F5H867;F5GZR9,P08195;F5GZS6;J3KPF3,11;11;11;4;4;3;2;2;1,11;11;11;4;4;3;2;2;1,11;11;11;4;4;3;2;2;1,4F2 cell-surface antigen heavy chain,SLC3A2,sp|P08195|4F2_HUMAN 4F2 cell-surface antigen heavy chain OS=Homo sapiens OX=9606 GN=SLC3A2 PE=1 SV=3;tr|F5GZS6|F5GZS6_HUMAN 4F2 cell-surface antigen heavy chain OS=Homo sapiens OX=9606 GN=SLC3A2 PE=1 SV=1;tr|J3KPF3|J3KPF3_HUMAN 4F2 cell-surface antigen hea,11,11,24.6,630
