Gene_names,EED_vs_BirA_logFC,EED_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_EED_N1,Peptides_EED_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_EED_N1,Razor___unique_peptides_EED_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_EED_N1,Unique_peptides_EED_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_EED_N1,Identification_type_EED_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_EED_N1,Ratio_H_L_EED_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_EED_N1,Ratio_H_L_normalized_EED_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____EED_N1,Ratio_H_L_variability_____EED_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_EED_N1,Ratio_H_L_count_EED_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_EED_N1,Ratio_H_L_iso_count_EED_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_EED_N1,Ratio_H_L_type_EED_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_EED_N1____,Sequence_coverage_EED_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_EED_N1,Intensity_L_EED_N1,Intensity_H_EED_N1,Intensity_EED_N2,Intensity_L_EED_N2,Intensity_H_EED_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_EED_N1,metacell_Intensity_L_EED_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
MDH2,0.363367583343301,0.45800222550153,P40926;G3XAL0,P40926;G3XAL0,36;28,36;28,36;28,"Malate dehydrogenase, mitochondrial;Malate dehydrogenase","sp|P40926|MDHM_HUMAN Malate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=MDH2 PE=1 SV=3;tr|G3XAL0|G3XAL0_HUMAN Malate dehydrogenase OS=Homo sapiens OX=9606 GN=MDH2 PE=1 SV=1",2,36,36,36,25,23,29,27,25,23,29,27,25,23,29,27,76.9,76.9,76.9,35.503,338,338;231,0.0,271.01,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.27744,0.81984,15.82,167,45,Leave out requantified,0.23612,0.30915,0.26082,0.30354,0.79588,0.86495,0.78225,0.8502,23.224,24.932,16.182,13.666,29,30,60,48,10,6,15,14,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,70.4,69.2,73.7,70.4,19564000000,14779000000,4784900000,2934200000,2307900000,626230000,3995700000,2921000000,1074700000,7564000000,5868900000,1695100000,5070000000,3681200000,1388900000,,,,1852,263;264;632;1039;1574;1575;1576;3261;4609;4610;4838;5183;5184;5373;6087;6088;6202;6739;7481;7482;8193;8259;11037;11848;11849;12688;15217;15218;16113;16114;17035;17036;17099;18097;18098;18099,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,325;326;327;783;784;785;1324;1325;1326;2059;2060;2061;2062;2063;2064;4200;5934;5935;6251;6252;6766;6767;6768;6769;7048;8030;8031;8032;8033;8034;8207;8208;8209;8210;8935;8936;9920;9921;10863;10965;10966;10967;14671;14672;15656;15657;15658;16692;19867;19868;19869;20977;20978;20979;20980;22162;22163;22164;22165;22245;22246;23598;23599;23600;23601,720;721;722;723;1762;1763;1764;1765;1766;1767;1768;1769;3055;3056;3057;3058;3059;3060;3061;3062;4801;4802;4803;4804;4805;4806;4807;4808;4809;4810;4811;4812;4813;4814;4815;4816;4817;4818;4819;9652;9653;9654;9655;9656;13423;13424;13425;13426;13427;13428;14118;14119;14120;14121;15314;15315;15316;15317;15318;15319;15975;15976;15977;18138;18139;18140;18141;18142;18143;18144;18145;18146;18147;18600;18601;18602;18603;18604;18605;18606;18607;18608;18609;18610;18611;18612;18613;20227;20228;20229;20230;20231;22518;22519;22520;22521;22522;24549;24766;24767;24768;24769;24770;24771;32945;32946;32947;32948;32949;32950;32951;32952;32953;32954;35151;35152;35153;35154;35155;35156;37455;37456;37457;44472;44473;44474;44475;44476;44477;44478;44479;47139;47140;47141;47142;47143;47144;47145;47146;47147;47148;47149;49856;49857;49858;49859;49860;49861;49862;49863;49864;49865;49866;50068;50069;50070;50071;50072;50073;53232;53233;53234;53235;53236;53237;53238;53239;53240;53241,1330;1331;1332;1333;1334;1335;3220;3221;3222;3223;3224;3225;3226;3227;3228;3229;3230;3231;3232;3233;3234;3235;3236;3237;3238;3239;5748;5749;5750;5751;5752;5753;5754;5755;5756;5757;5758;5759;5760;5761;5762;9145;9146;9147;9148;9149;9150;9151;9152;9153;9154;9155;9156;9157;9158;9159;9160;9161;9162;9163;9164;9165;9166;9167;9168;9169;9170;9171;9172;9173;9174;9175;9176;9177;9178;9179;9180;9181;9182;9183;9184;9185;9186;9187;9188;9189;9190;9191;9192;18236;18237;18238;18239;18240;18241;18242;18243;25058;25059;25060;25061;25062;25063;25064;25065;25066;25067;25068;25069;26421;26422;26423;26424;26425;26426;26427;26428;26429;28698;28699;28700;28701;28702;29871;29872;29873;33742;33743;33744;33745;33746;33747;33748;33749;33750;33751;33752;33753;33754;34622;34623;34624;34625;34626;34627;34628;34629;34630;34631;34632;34633;34634;34635;34636;34637;34638;34639;34640;34641;34642;34643;34644;34645;34646;34647;34648;34649;34650;34651;34652;37615;37616;37617;37618;37619;37620;37621;37622;37623;41891;41892;41893;41894;41895;41896;45748;46099;46100;46101;46102;46103;46104;46105;60266;60267;60268;60269;60270;60271;60272;60273;60274;60275;60276;60277;60278;60279;60280;60281;60282;60283;60284;60285;60286;60287;60288;60289;60290;60291;60292;64247;64248;64249;64250;64251;64252;64253;64254;64255;64256;64257;64258;64259;64260;64261;68284;68285;68286;80760;80761;80762;80763;80764;80765;80766;80767;80768;80769;80770;80771;80772;80773;80774;80775;80776;80777;80778;80779;80780;80781;85775;85776;85777;85778;85779;85780;85781;85782;85783;85784;85785;85786;85787;85788;85789;85790;85791;85792;85793;85794;85795;85796;85797;85798;85799;85800;85801;85802;85803;85804;91153;91154;91155;91156;91157;91158;91159;91160;91161;91162;91163;91164;91165;91166;91167;91168;91169;91170;91171;91172;91173;91174;91175;91176;91177;91178;91179;91180;91181;91182;91183;91184;91185;91186;91187;91188;91189;91576;91577;91578;91579;91580;91581;91582;91583;91584;91585;91586;91587;91588;91589;91590;91591;91592;91593;91594;91595;91596;97510;97511;97512;97513;97514;97515;97516;97517;97518;97519;97520;97521;97522;97523;97524;97525;97526;97527;97528;97529;97530;97531;97532;97533,1331;1334;3221;5758;9153;9160;9188;18240;25062;25069;26422;28701;28702;29872;33744;33750;34631;37621;41891;41896;45748;46105;60289;64258;64261;68284;80769;80773;85784;85798;91159;91187;91585;97514;97530;97533,2255;2256;2257;2258;2259;2260;2261;2262;2263;2264;2265;2266;2267;2268,109,45;78;91;157;165;185;203;215;241;297;301;328;329;335,251,-1;-1,protein_1853,quanti,quanti,quanti,quanti
RFC5,1.96792560903685,0.00769786176804083,P40937;F5H5S0;E9PEP3;C9JH72,P40937;F5H5S0,4;2;1;1,4;2;1;1,4;2;1;1,Replication factor C subunit 5,sp|P40937|RFC5_HUMAN Replication factor C subunit 5 OS=Homo sapiens OX=9606 GN=RFC5 PE=1 SV=1;tr|F5H5S0|F5H5S0_HUMAN Replication factor C subunit 5 (Fragment) OS=Homo sapiens OX=9606 GN=RFC5 PE=1 SV=1,4,4,4,4,1,1,3,3,1,1,3,3,1,1,3,3,15.9,15.9,15.9,38.496,340,340;104;99;104,0.0,6.0737,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.53724,1.5634,30.313,8,4,Leave out requantified,0.25372,0.37766,0.73576,0.42057,0.70736,0.96055,2.2175,1.209,,,46.624,19.558,1,1,4,2,1,0,2,1,Median,Median,Linear,Median,5.3,5.3,10.6,10.6,421640000,264430000,157210000,21636000,18002000,3634900,33094000,22657000,10437000,231130000,132620000,98505000,135780000,91149000,44629000,,,,1853,1341;4045;5656;11692,True;True;True;True,1756;1757;5206;7437;15468,4036;4037;4038;11822;11823;16874;16875;34740;34741,7534;7535;7536;7537;22181;22182;31483;31484;31485;63496;63497,7534;22181;31484;63497,,,,,-1;-1;-1;-1,protein_1854,quanti,quanti,quanti,quanti
EIF2S3;EIF2S3L,-0.277399564377951,0.669875631027096,P41091;Q2VIR3;H7BZU1,P41091;Q2VIR3,17;14;7,17;14;7,17;14;7,Eukaryotic translation initiation factor 2 subunit 3;Putative eukaryotic translation initiation factor 2 subunit 3-like protein,sp|P41091|IF2G_HUMAN Eukaryotic translation initiation factor 2 subunit 3 OS=Homo sapiens OX=9606 GN=EIF2S3 PE=1 SV=3;sp|Q2VIR3|IF2GL_HUMAN Eukaryotic translation initiation factor 2 subunit 3B OS=Homo sapiens OX=9606 GN=EIF2S3B PE=2 SV=2,3,17,17,17,7,12,5,7,7,12,5,7,7,12,5,7,41.1,41.1,41.1,51.109,472,472;472;183,0.0,54.845,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.34006,0.78349,65.821,34,12,Leave out requantified,0.26881,0.31741,0.43514,0.38654,0.88385,0.77043,1.182,1.1016,108.3,72.162,2.3309,40.218,7,12,5,10,3,3,2,4,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,17.2,30.3,15.7,21.6,1656700000,1169500000,487250000,256510000,197950000,58564000,447570000,332210000,115360000,299030000,195220000,103820000,653590000,444080000,209510000,,,,1855,666;667;668;6013;7875;7876;7903;7972;9690;9691;11059;13294;13318;14238;14239;15521;18184,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,829;830;831;832;833;7915;10414;10415;10451;10537;12949;12950;14700;14701;17452;17489;18662;18663;20246;23697,1877;1878;1879;1880;1881;1882;1883;1884;17861;23636;23637;23638;23709;23710;23892;23893;29207;29208;29209;29210;29211;33022;33023;33024;33025;33026;33027;39089;39179;41688;41689;41690;41691;45381;53422,3440;3441;3442;3443;3444;3445;3446;3447;3448;3449;33230;44011;44012;44131;44132;44133;44134;44135;44585;44586;44587;44588;53847;53848;53849;53850;53851;53852;53853;53854;53855;53856;53857;53858;53859;60395;60396;60397;60398;60399;60400;60401;60402;60403;71305;71485;75702;75703;75704;75705;82337;97881,3445;3448;3449;33230;44011;44012;44134;44587;53850;53859;60397;71305;71485;75702;75705;82337;97881,2270,,59,,-1;-1;-1,protein_1856,quanti,quanti,quanti,quanti
BUD31,2.61941162537801,0.0194862096407218,P41223;C9JCD9,P41223,5;2,5;2,5;2,Protein BUD31 homolog,sp|P41223|BUD31_HUMAN Protein BUD31 homolog OS=Homo sapiens OX=9606 GN=BUD31 PE=1 SV=2,2,5,5,5,1,2,4,4,1,2,4,4,1,2,4,4,22.9,22.9,22.9,17.0,144,144;103,0.0,8.6004,By matching,By MS/MS,By MS/MS,By MS/MS,1.122,2.4991,18.923,17,1,Leave out requantified,1.1629,1.227,1.0502,1.0993,2.1883,2.5381,2.5411,2.4678,,27.002,19.105,18.034,1,2,7,7,0,0,1,0,Median,Median,Leave out requantified,Leave out requantified,6.9,16.7,20.8,20.8,355580000,165790000,189790000,7684700,4114900,3569900,39256000,17309000,21947000,151040000,70767000,80275000,157600000,73599000,83996000,,,,1858,2961;2962;8653;19179;19180,True;True;True;True;True,3826;3827;11591;11592;24969;24970;24971,8883;8884;8885;26141;26142;26143;26144;26145;26146;26147;26148;56263;56264;56265;56266;56267;56268,16888;16889;16890;16891;16892;16893;48302;48303;48304;48305;48306;48307;48308;48309;48310;103088;103089;103090;103091;103092;103093,16888;16893;48304;103089;103092,,,,,-1;-1,protein_1859,quanti,quanti,quanti,quanti
GARS,-1.47811513663422,0.167868964714974,P41250,P41250,15,15,15,Glycine--tRNA ligase,sp|P41250|GARS_HUMAN Glycine--tRNA ligase OS=Homo sapiens OX=9606 GN=GARS1 PE=1 SV=3,1,15,15,15,11,11,4,7,11,11,4,7,11,11,4,7,26.1,26.1,26.1,83.165,739,739,0.0,29.294,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.43946,1.1237,19.074,39,8,Leave out requantified,0.2906,0.39774,0.48114,0.55018,0.98028,1.1216,1.0794,1.3519,24.125,16.113,26.529,18.177,12,12,4,11,4,1,1,2,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,21.2,20.8,7.6,12.6,1982900000,1359200000,623650000,510470000,356280000,154190000,661570000,459480000,202090000,125770000,90093000,35681000,685080000,453400000,231680000,,,,1861,3383;7367;7981;9384;9996;9997;10476;12829;14259;15171;15915;16369;16780;17363;19443,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,4367;9780;9781;10546;12561;13373;13374;13992;16879;18684;19817;20718;20719;21323;21829;22591;25309,10040;10041;22200;22201;22202;22203;22204;22205;23905;23906;23907;28335;28336;28337;28338;28339;28340;30149;30150;30151;30152;30153;31514;37891;37892;37893;41738;44364;44365;46523;46524;46525;46526;47888;47889;49058;49059;50844;56957,18970;18971;18972;18973;41381;41382;41383;41384;41385;41386;41387;41388;41389;41390;41391;41392;44603;44604;44605;44606;44607;44608;52179;52180;52181;52182;52183;52184;52185;52186;55460;55461;55462;55463;55464;55465;55466;55467;55468;55469;55470;55471;55472;57901;69192;69193;69194;75782;80600;80601;80602;80603;84491;84492;84493;84494;84495;84496;84497;84498;87312;87313;89479;89480;89481;93013;104371,18972;41390;44604;52180;55463;55472;57901;69192;75782;80603;84496;87312;89481;93013;104371,,,,,-1,protein_1862,quanti,quanti,quanti,quanti
ECI1;DCI,-0.41994011095424,0.349766174039845,P42126;Q96DC0;H3BS70,P42126;Q96DC0,6;5;2,6;5;2,6;5;2,"Enoyl-CoA delta isomerase 1, mitochondrial","sp|P42126|ECI1_HUMAN Enoyl-CoA delta isomerase 1, mitochondrial OS=Homo sapiens OX=9606 GN=ECI1 PE=1 SV=1;tr|Q96DC0|Q96DC0_HUMAN DCI protein OS=Homo sapiens OX=9606 GN=ECI1 PE=1 SV=1",3,6,6,6,4,4,3,4,4,4,3,4,4,4,3,4,23.2,23.2,23.2,32.816,302,302;243;224,0.0,14.584,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.40165,1.1072,33.852,15,4,Leave out requantified,0.34936,0.43093,0.34349,0.44814,1.0077,1.1279,1.0546,1.2047,29.854,63.716,9.705,16.893,4,4,3,4,1,0,2,1,Leave out requantified,Leave out requantified,Median,Leave out requantified,15.2,15.2,11.9,19.9,789410000,553390000,236020000,174200000,124080000,50118000,207800000,147360000,60438000,206730000,150460000,56269000,200670000,131480000,69191000,,,,1862,2532;2533;5954;11289;14964;17967,True;True;True;True;True;True,3256;3257;7837;14988;19570;23429,7581;7582;7583;7584;17685;33690;33691;43786;43787;43788;43789;52814;52815;52816;52817,14330;14331;14332;14333;14334;14335;14336;32892;61649;79515;79516;79517;79518;79519;79520;79521;79522;79523;79524;79525;79526;96750;96751;96752;96753;96754;96755;96756;96757,14333;14336;32892;61649;79516;96753,,,,,-1;-1;-1,protein_1863,quanti,quanti,quanti,quanti
TMPO,1.93436076367308,0.0136411709353065,P42167;G5E972,P42167;G5E972,8;7,8;7,2;1,"Lamina-associated polypeptide 2, isoforms beta/gamma;Thymopoietin;Thymopentin","sp|P42167|LAP2B_HUMAN Lamina-associated polypeptide 2, isoforms beta/gamma OS=Homo sapiens OX=9606 GN=TMPO PE=1 SV=2;tr|G5E972|G5E972_HUMAN Lamina-associated polypeptide 2, isoforms beta/gamma OS=Homo sapiens OX=9606 GN=TMPO PE=1 SV=1",2,8,8,2,1,2,8,5,1,2,8,5,0,0,2,1,24.0,24.0,8.1,50.67,454,454;414,0.0,8.3099,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.47199,1.1752,26.42,15,1,Leave out requantified,0.23539,0.49977,0.45347,0.55435,0.82255,1.1274,1.2267,1.4234,,10.582,25.5,25.278,1,2,7,5,0,0,0,1,Median,Median,Leave out requantified,Leave out requantified,2.9,5.9,24.0,14.1,900150000,592490000,307660000,52328000,41639000,10689000,69958000,48227000,21731000,504440000,330980000,173450000,273420000,171640000,101790000,,,,1864,3021;5103;6639;8108;13157;14362;15407;19137,True;True;True;True;True;True;True;True,3904;6656;8822;10727;17273;18800;20101;24912,9045;9046;9047;15068;15069;20004;24271;38750;38751;41992;45064;45065;56133;56134;56135;56136,17182;17183;28254;28255;28256;37249;45273;70677;70678;70679;76244;81778;102840;102841;102842;102843;102844;102845;102846;102847;102848;102849;102850,17182;28254;37249;45273;70678;76244;81778;102850,,,,,-1;-1,protein_1865,quanti,quanti,quanti,quanti
SKIV2L2,3.61622672652342,0.00126897370649196,P42285,P42285,9,9,9,Superkiller viralicidic activity 2-like 2,sp|P42285|MTREX_HUMAN Exosome RNA helicase MTR4 OS=Homo sapiens OX=9606 GN=MTREX PE=1 SV=3,1,9,9,9,1,1,9,8,1,1,9,8,1,1,9,8,10.5,10.5,10.5,117.8,1042,1042,0.0,10.658,By MS/MS,By matching,By MS/MS,By MS/MS,0.72981,1.8714,11.865,21,2,Leave out requantified,0.63613,0.71168,0.69067,0.75415,1.6785,1.4504,1.8601,1.8749,,,8.5687,19.871,1,1,10,9,0,0,1,1,Median,Median,Leave out requantified,Leave out requantified,0.9,0.9,10.5,9.5,689980000,387520000,302460000,18748000,11122000,7626100,16328000,9453700,6874400,429540000,238600000,190940000,225360000,128330000,97022000,,,,1865,3752;5202;5772;10983;12461;14455;17507;18764;18961,True;True;True;True;True;True;True;True;True,4824;6793;7585;14604;16409;18918;18919;22784;24447;24690,10961;10962;15368;15369;17172;17173;17174;32804;32805;36831;36832;42252;42253;42254;42255;42256;51298;51299;55131;55132;55653;55654,20520;20521;20522;20523;20524;20525;20526;20527;28773;28774;32006;60010;60011;67231;67232;67233;67234;76687;76688;76689;76690;76691;76692;76693;76694;76695;76696;93872;93873;93874;101086;101087;101983;101984;101985,20523;28774;32006;60010;67231;76695;93872;101086;101985,,,,,-1,protein_1866,quanti,quanti,quanti,quanti
LRPPRC,0.740290576152368,0.198584770871502,P42704;A0A0C4DG06;B8ZZ38;C9JCA9;H7C3W8,P42704,55;19;18;14;1,55;19;18;14;1,55;19;18;14;1,"Leucine-rich PPR motif-containing protein, mitochondrial","sp|P42704|LPPRC_HUMAN Leucine-rich PPR motif-containing protein, mitochondrial OS=Homo sapiens OX=9606 GN=LRPPRC PE=1 SV=3",5,55,55,55,23,24,43,30,23,24,43,30,23,24,43,30,45.9,45.9,45.9,157.9,1394,1394;531;504;359;77,0.0,155.56,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.35634,0.99876,26.665,147,39,Leave out requantified,0.27123,0.29886,0.35956,0.40824,0.9139,0.77886,1.01,1.1332,32.694,15.405,30.658,30.965,26,27,55,39,8,7,13,11,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,22.6,23.2,36.4,27.8,8839500000,5529900000,3309600000,1049900000,756640000,293250000,1194700000,848810000,345870000,4633000000,2578400000,2054600000,1961900000,1346100000,615850000,,,,1868,331;507;642;816;960;1094;2128;2505;2831;2968;3175;3568;4512;4827;5020;5594;6967;7483;7681;8186;8318;8337;8929;9242;9380;9632;9702;9915;10158;10209;10540;10680;11400;11635;11636;11952;12041;12234;12989;13078;14237;14316;14494;15126;15365;15366;15584;16179;16757;17495;17500;17577;17578;18907;18908,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,415;416;629;799;800;1020;1216;1422;2748;2749;3224;3657;3835;4099;4594;5820;6234;6235;6542;7357;9220;9922;10161;10848;11057;11081;11082;11083;11084;11980;12385;12556;12557;12873;12964;12965;13268;13269;13588;13652;14066;14240;15123;15407;15408;15791;15895;16133;17071;17072;17184;18661;18749;18967;18968;19763;19764;20053;20054;20055;20056;20323;21064;21804;22769;22774;22889;22890;24621;24622,931;932;933;1432;1807;1808;1809;1810;1811;1812;2320;2775;3246;6459;6460;6461;6462;6463;6464;6465;6466;6467;6468;7528;8466;8467;8468;8469;8898;9464;9465;10509;13162;13163;14078;14079;14817;16701;16702;16703;16704;20895;22523;23057;23058;24515;24959;24999;25000;25001;25002;25003;25004;25005;25006;25007;26990;26991;27940;28327;28328;28329;28330;29060;29061;29062;29063;29239;29240;29241;29905;29906;29907;29908;29909;29910;30642;30782;31663;31664;32035;32036;32037;32038;34004;34607;34608;34609;35409;35410;35645;35646;36195;36196;36197;36198;38327;38328;38329;38330;38331;38576;38577;38578;41686;41687;41881;41882;42372;42373;42374;42375;42376;42377;42378;42379;42380;44242;44243;44244;44245;44246;44247;44950;44951;44952;44953;44954;44955;44956;44957;44958;44959;44960;45579;45580;47327;49002;49003;49004;51262;51263;51270;51271;51554;51555;51556;55507;55508,1761;1762;1763;1764;2621;2622;3303;3304;3305;3306;3307;3308;3309;3310;4280;5154;5155;5156;6061;12403;12404;12405;12406;12407;12408;12409;12410;12411;12412;12413;12414;12415;12416;12417;14251;16026;16027;16028;16029;16030;16031;16032;16033;16034;16035;16036;16912;17971;17972;19718;24572;24573;24574;26340;26341;26342;27828;31149;38906;38907;38908;41897;42909;45695;45696;46425;46492;46493;46494;46495;46496;46497;46498;46499;46500;46501;46502;46503;46504;46505;46506;49755;49756;51457;52159;52160;52161;52162;52163;52164;52165;52166;52167;52168;52169;52170;52171;52172;53584;53585;53586;53587;53588;53589;53590;53591;53916;53917;53918;53919;55033;55034;55035;55036;55037;55038;55039;55040;55041;56467;56718;58154;58155;58156;58157;58158;58721;58722;58723;58724;62198;63250;63251;63252;63253;63254;64650;65060;65061;65062;66010;66011;66012;66013;66014;66015;66016;66017;66018;66019;70011;70012;70013;70014;70015;70414;70415;70416;70417;70418;70419;75701;76057;76058;76917;76918;76919;76920;76921;76922;76923;76924;76925;76926;76927;76928;76929;76930;76931;76932;76933;76934;76935;76936;76937;76938;76939;76940;76941;76942;76943;76944;76945;80364;80365;80366;80367;80368;80369;80370;80371;81614;81615;81616;81617;81618;81619;81620;81621;81622;81623;81624;81625;81626;81627;81628;81629;81630;81631;82695;82696;86149;86150;89379;89380;89381;89382;93791;93792;93808;93809;94411;94412;94413;101734;101735;101736;101737,1763;2621;3307;4280;5156;6061;12404;14251;16032;16912;17971;19718;24574;26341;27828;31149;38906;41897;42909;45696;46425;46499;49755;51457;52171;53584;53916;55035;56467;56718;58158;58722;62198;63250;63253;64650;65060;66016;70012;70414;75701;76057;76919;80364;81617;81625;82696;86149;89381;93791;93808;94411;94413;101736;101737,2276;2277;2278;2279;2280;2281,,78;107;966;980;1098;1357,,-1;-1;-1;-1;-1,protein_1869,quanti,quanti,quanti,quanti
ACAA2,-1.01460604052292,0.568579372462104,P42765;A0A0B4J2A4;K7EME0;K7ER88;K7EJB1;K7EJ68,P42765;A0A0B4J2A4;K7EME0,11;9;7;2;2;2,11;9;7;2;2;2,11;9;7;2;2;2,"3-ketoacyl-CoA thiolase, mitochondrial","sp|P42765|THIM_HUMAN 3-ketoacyl-CoA thiolase, mitochondrial OS=Homo sapiens OX=9606 GN=ACAA2 PE=1 SV=2;tr|A0A0B4J2A4|A0A0B4J2A4_HUMAN 3-ketoacyl-CoA thiolase, mitochondrial OS=Homo sapiens OX=9606 GN=ACAA2 PE=1 SV=1;tr|K7EME0|K7EME0_HUMAN 3-ketoacyl-CoA th",6,11,11,11,3,6,7,1,3,6,7,1,3,6,7,1,40.8,40.8,40.8,41.924,397,397;394;342;72;84;124,0.0,15.36,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.27526,0.81697,24.571,18,2,Leave out requantified,0.28644,0.4037,0.26315,0.32558,0.98691,1.0729,0.7534,0.73675,44.52,28.162,21.939,,3,6,8,1,0,0,2,0,Leave out requantified,Leave out requantified,Leave out requantified,Median,18.4,33.2,16.6,2.3,978700000,731070000,247630000,110460000,83696000,26760000,269290000,181460000,87826000,576610000,449890000,126720000,22350000,16016000,6333400,,,,1869,2632;2686;3658;5942;5943;7735;7855;14076;16423;17360;18767,True;True;True;True;True;True;True;True;True;True;True,3395;3465;4712;7822;7823;7824;10232;10233;10389;18450;21388;22587;22588;24450,7910;8080;10769;17652;17653;17654;17655;23226;23227;23228;23579;23580;41181;41182;48031;50836;50837;55139;55140,15050;15392;15393;15394;20180;20181;32841;32842;32843;32844;32845;43243;43244;43245;43246;43859;74809;74810;74811;87559;93004;93005;101106,15050;15392;20180;32842;32845;43246;43859;74811;87559;93004;101106,2282;2283,,13;81,,-1;-1;-1;-1;-1;-1,protein_1870,quanti,quanti,quanti,quanti
