Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity POC1B-N1,Intensity POC1B-N2,Intensity BirA-alone-N1,Intensity BirA-alone-N2
Q15723;P32519;Q99607;D6RHI1;A0A0U1RRL5;A0A087WU18,Q15723,4;1;1;1;1;1,4;1;1;1;1;1,4;1;1;1;1;1,ETS-related transcription factor Elf-2,ELF2,sp|Q15723|ELF2_HUMAN ETS-related transcription factor Elf-2 OS=Homo sapiens OX=9606 GN=ELF2 PE=1 SV=2,4,4,8.4,4.12024628707503,4.14613732404923,25.0361149079476,25.1786605963957
Q5R3F8;P0C7U0,Q5R3F8,4;1,4;1,4;1,Protein phosphatase 1 regulatory subunit 29,ELFN2,sp|Q5R3F8|PPR29_HUMAN Protein phosphatase 1 regulatory subunit 29 OS=Homo sapiens OX=9606 GN=ELFN2 PE=1 SV=1,4,4,7.8,4.12024628707503,4.14613732404923,24.3825158499409,26.256775067658
A0A1C7CYX1;Q6PJG2;A0A0A0MSU2;H7C1L3,A0A1C7CYX1;Q6PJG2;A0A0A0MSU2,10;8;8;3,10;8;8;3,10;8;8;3,ELM2 and SANT domain-containing protein 1,ELMSAN1,tr|A0A1C7CYX1|A0A1C7CYX1_HUMAN Mitotic deacetylase-associated SANT domain protein OS=Homo sapiens OX=9606 GN=MIDEAS PE=1 SV=1;sp|Q6PJG2|MDEAS_HUMAN Mitotic deacetylase-associated SANT domain protein OS=Homo sapiens OX=9606 GN=MIDEAS PE=1 SV=2;tr|A0A0A0MSU2,10,10,14.0,4.12024628707503,4.14613732404923,27.0786717132483,26.7176421209027
Q9NYP7;A0A0A0MTI6,Q9NYP7;A0A0A0MTI6,2;2,2;2,2;2,Elongation of very long chain fatty acids protein 5;Elongation of very long chain fatty acids protein,ELOVL5,sp|Q9NYP7|ELOV5_HUMAN Elongation of very long chain fatty acids protein 5 OS=Homo sapiens OX=9606 GN=ELOVL5 PE=1 SV=1;tr|A0A0A0MTI6|A0A0A0MTI6_HUMAN Elongation of very long chain fatty acids protein OS=Homo sapiens OX=9606 GN=ELOVL5 PE=1 SV=1,2,2,8.7,4.12024628707503,4.14613732404923,23.3899505734802,23.6232143936251
Q96EB1;A0A1W2PQZ6;A0A1W2PRF5;A0A1W2PR08;A0A1X7SBS0;A0A1W2PPP6;A0A1W2PRF0;A0A1W2PNY5;G5E9D4;A0A1W2PRJ0;A0A1W2PS93;A0A1W2PP47;A0A1W2PQA7;A0A1W2PNW2;E9PPJ9;A0A1W2PQ05;A0A1W2PPR3;A0A1W2PQW5;A0A1W2PP49;A0A1W2PS44;A0A1W2PNY4,Q96EB1;A0A1W2PQZ6;A0A1W2PRF5;A0A1W2PR08;A0A1X7SBS0;A0A1W2PPP6;A0A1W2PRF0;A0A1W2PNY5;G5E9D4;A0A1W2PRJ0;A0A1W2PS93;A0A1W2PP47;A0A1W2PQA7,16;15;15;15;15;15;15;15;15;14;14;11;9;7;5;3;3;1;1;1;1,16;15;15;15;15;15;15;15;15;14;14;11;9;7;5;3;3;1;1;1;1,16;15;15;15;15;15;15;15;15;14;14;11;9;7;5;3;3;1;1;1;1,Elongator complex protein 4,ELP4,sp|Q96EB1|ELP4_HUMAN Elongator complex protein 4 OS=Homo sapiens OX=9606 GN=ELP4 PE=1 SV=2;tr|A0A1W2PQZ6|A0A1W2PQZ6_HUMAN Elongator complex protein 4 OS=Homo sapiens OX=9606 GN=ELP4 PE=1 SV=1;tr|A0A1W2PRF5|A0A1W2PRF5_HUMAN Elongator complex protein 4 OS=Ho,16,16,50.0,22.2769933327683,24.2494514521536,29.4258041516395,29.6969044010042
Q9P0I2;C9JLM9,Q9P0I2;C9JLM9,2;1,2;1,2;1,ER membrane protein complex subunit 3,EMC3,sp|Q9P0I2|EMC3_HUMAN ER membrane protein complex subunit 3 OS=Homo sapiens OX=9606 GN=EMC3 PE=1 SV=3;tr|C9JLM9|C9JLM9_HUMAN ER membrane protein complex subunit 3 OS=Homo sapiens OX=9606 GN=EMC3 PE=1 SV=1,2,2,15.7,21.1246463908705,21.6462413347973,24.2910177323856,24.2141566395833
P50402;Q5HY57;F8WEQ1,P50402;Q5HY57,6;4;1,6;4;1,6;4;1,Emerin,EMD,sp|P50402|EMD_HUMAN Emerin OS=Homo sapiens OX=9606 GN=EMD PE=1 SV=1;tr|Q5HY57|Q5HY57_HUMAN Emerin OS=Homo sapiens OX=9606 GN=EMD PE=1 SV=1,6,6,27.6,4.12024628707503,4.14613732404923,27.3547265093045,27.2186344766747
Q9HC35;B5MBZ0,Q9HC35;B5MBZ0,16;16,16;16,16;16,Echinoderm microtubule-associated protein-like 4,EML4,sp|Q9HC35|EMAL4_HUMAN Echinoderm microtubule-associated protein-like 4 OS=Homo sapiens OX=9606 GN=EML4 PE=1 SV=3;tr|B5MBZ0|B5MBZ0_HUMAN Echinoderm microtubule-associated protein-like 4 OS=Homo sapiens OX=9606 GN=EML4 PE=1 SV=3,16,16,20.4,4.12024628707503,4.14613732404923,27.867264032356,27.6010205949816
Q7Z589;E9PMC9;H0YET8;E9PPE6;H0YDI4;H0YCS3,Q7Z589;E9PMC9,9;7;3;2;1;1,9;7;3;2;1;1,9;7;3;2;1;1,Protein EMSY,EMSY;C11orf30,sp|Q7Z589|EMSY_HUMAN BRCA2-interacting transcriptional repressor EMSY OS=Homo sapiens OX=9606 GN=EMSY PE=1 SV=2;tr|E9PMC9|E9PMC9_HUMAN BRCA2-interacting transcriptional repressor EMSY OS=Homo sapiens OX=9606 GN=EMSY PE=1 SV=1,9,9,10.1,4.12024628707503,4.14613732404923,27.199478850209,26.6090768115889
Q8N8S7;A0A0U1RRM6;A0A075B6E5;A0A0U1RQP7,Q8N8S7;A0A0U1RRM6,7;6;2;2,7;6;2;2,7;6;2;2,Protein enabled homolog,ENAH,sp|Q8N8S7|ENAH_HUMAN Protein enabled homolog OS=Homo sapiens OX=9606 GN=ENAH PE=1 SV=2;tr|A0A0U1RRM6|A0A0U1RRM6_HUMAN Protein enabled homolog OS=Homo sapiens OX=9606 GN=ENAH PE=1 SV=1,7,7,19.6,4.12024628707503,4.14613732404923,26.6936515728918,27.3534650813664
P06733;A0A2R8Y6G6;K7EM90;A0A2R8YEM5;A0A2R8Y879;K7ERS8;P09104;A0A2R8YEG5;F5H0C8;P13929;A0A2R8Y798;K7EKN2;E5RGZ4;A0A2R8Y6I8;K7EPM1;E5RI09;F5H1C3;E5RG95,P06733;A0A2R8Y6G6;K7EM90,16;14;9;7;6;3;2;2;2;2;2;1;1;1;1;1;1;1,16;14;9;7;6;3;2;2;2;2;2;1;1;1;1;1;1;1,16;14;9;7;6;3;2;2;2;2;2;1;1;1;1;1;1;1,Alpha-enolase;Enolase,ENO1,sp|P06733|ENOA_HUMAN Alpha-enolase OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=2;tr|A0A2R8Y6G6|A0A2R8Y6G6_HUMAN Alpha-enolase OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=1;tr|K7EM90|K7EM90_HUMAN Alpha-enolase (Fragment) OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=1,16,16,51.4,25.1325750353803,24.9481540297586,29.437300743066,29.4457894786823
O43768;A6NMQ3;Q5T5H1;P56211;H3BQ52;H3BTD3;A0A1W2PRU0;H3BMD8,O43768;A6NMQ3;Q5T5H1;P56211;H3BQ52;H3BTD3;A0A1W2PRU0;H3BMD8,2;2;2;1;1;1;1;1,2;2;2;1;1;1;1;1,2;2;2;1;1;1;1;1,Alpha-endosulfine;cAMP-regulated phosphoprotein 19,ENSA;ARPP19,sp|O43768|ENSA_HUMAN Alpha-endosulfine OS=Homo sapiens OX=9606 GN=ENSA PE=1 SV=1;tr|A6NMQ3|A6NMQ3_HUMAN Alpha-endosulfine OS=Homo sapiens OX=9606 GN=ENSA PE=1 SV=2;tr|Q5T5H1|Q5T5H1_HUMAN Alpha-endosulfine OS=Homo sapiens OX=9606 GN=ENSA PE=1 SV=1;sp|P56211,2,2,23.1,4.12024628707503,4.14613732404923,26.063610676774,25.5577448428983
Q96L91;A0A0A0MR70;A0A0A0MR72;A0A0A0MR80,Q96L91,11;3;1;1,11;3;1;1,11;3;1;1,E1A-binding protein p400,EP400,sp|Q96L91|EP400_HUMAN E1A-binding protein p400 OS=Homo sapiens OX=9606 GN=EP400 PE=1 SV=4,11,11,5.2,4.12024628707503,4.14613732404923,26.6975010627946,26.7022654943766
P11171;A0A2R8YD30;Q4VB86;A0A2R8Y7Y3;A0A2U3TZH6;A0A2R8Y5Z6;A0A2R8Y5G2;A0A2R8Y420;A0A2R8YCW8;A0A3B3ITP0;A0A3B3IU06;A0A2R8Y570;A0A2R8Y6G5;A0A2R8Y7N0;A0A2R8YFR9;A0A3B3IUD6;A0A2R8Y6D0;A0A1B0GWG0;A0A2R8Y4N6;A0A2R8Y5C8;A0A3B3ITC5;A0A2R8Y6T6;A0A2R8Y783,P11171;A0A2R8YD30;Q4VB86;A0A2R8Y7Y3;A0A2U3TZH6;A0A2R8Y5Z6;A0A2R8Y5G2;A0A2R8Y420;A0A2R8YCW8;A0A3B3ITP0;A0A3B3IU06;A0A2R8Y570;A0A2R8Y6G5;A0A2R8Y7N0;A0A2R8YFR9;A0A3B3IUD6;A0A2R8Y6D0;A0A1B0GWG0;A0A2R8Y4N6,32;32;31;27;26;26;26;26;25;23;22;22;21;21;21;20;20;17;16;11;9;9;5,30;30;29;25;24;24;24;24;23;21;20;20;19;19;19;18;18;15;15;11;8;8;5,29;29;28;24;23;23;23;23;22;20;19;19;18;18;18;17;17;14;15;11;7;7;5,Protein 4.1,EPB41,"sp|P11171|41_HUMAN Protein 4.1 OS=Homo sapiens OX=9606 GN=EPB41 PE=1 SV=4;tr|A0A2R8YD30|A0A2R8YD30_HUMAN Erythrocyte membrane protein band 4.1 (Elliptocytosis 1, RH-linked), isoform CRA_e OS=Homo sapiens OX=9606 GN=EPB41 PE=1 SV=1;tr|Q4VB86|Q4VB86_HUMAN EP",32,29,44.4,4.12024628707503,4.14613732404923,30.9329063866326,30.7478322649015
Q9H4G0;A0A0C4DH22;A0A1B0GTW6;Q4VXN0;X6RC15;Q4VXN1;H0Y482;Q4VXN5,Q9H4G0;A0A0C4DH22;A0A1B0GTW6,13;13;13;6;3;3;1;1,9;9;9;2;3;1;1;1,6;6;6;2;0;1;1;1,Band 4.1-like protein 1,EPB41L1,sp|Q9H4G0|E41L1_HUMAN Band 4.1-like protein 1 OS=Homo sapiens OX=9606 GN=EPB41L1 PE=1 SV=2;tr|A0A0C4DH22|A0A0C4DH22_HUMAN Band 4.1-like protein 1 OS=Homo sapiens OX=9606 GN=EPB41L1 PE=1 SV=1;tr|A0A1B0GTW6|A0A1B0GTW6_HUMAN Band 4.1-like protein 1 OS=Homo sa,13,6,19.5,4.12024628707503,4.14613732404923,27.1311427683024,27.1014935707665
Q9HCE0;K7ENS1,Q9HCE0,4;1,4;1,4;1,Ectopic P granules protein 5 homolog,EPG5,sp|Q9HCE0|EPG5_HUMAN Ectopic P granules protein 5 homolog OS=Homo sapiens OX=9606 GN=EPG5 PE=1 SV=2,4,4,2.2,4.12024628707503,4.14613732404923,23.7089356787746,24.693438887963
P29317,P29317,10,10,9,Ephrin type-A receptor 2,EPHA2,sp|P29317|EPHA2_HUMAN Ephrin type-A receptor 2 OS=Homo sapiens OX=9606 GN=EPHA2 PE=1 SV=2,10,9,12.1,4.12024628707503,4.14613732404923,26.3582191094868,26.475528366696
O95208;F6PQP6;E9PBC1;I3L2B2;I3L356;I3L2H1,O95208;F6PQP6;E9PBC1;I3L2B2;I3L356;I3L2H1,2;2;2;2;1;1,2;2;2;2;1;1,2;2;2;2;1;1,Epsin-2,EPN2,sp|O95208|EPN2_HUMAN Epsin-2 OS=Homo sapiens OX=9606 GN=EPN2 PE=1 SV=3;tr|F6PQP6|F6PQP6_HUMAN Epsin-2 (Fragment) OS=Homo sapiens OX=9606 GN=EPN2 PE=1 SV=8;tr|E9PBC1|E9PBC1_HUMAN Epsin-2 OS=Homo sapiens OX=9606 GN=EPN2 PE=1 SV=1;tr|I3L2B2|I3L2B2_HUMAN Epsin,2,2,3.1,4.12024628707503,4.14613732404923,24.1040221457149,23.7462215261033
P07814;V9GYZ6;V9GZ76,P07814;V9GYZ6,46;27;3,46;27;3,46;27;3,Bifunctional glutamate/proline--tRNA ligase;Glutamate--tRNA ligase;Proline--tRNA ligase,EPRS,sp|P07814|SYEP_HUMAN Bifunctional glutamate/proline--tRNA ligase OS=Homo sapiens OX=9606 GN=EPRS1 PE=1 SV=5;tr|V9GYZ6|V9GYZ6_HUMAN Bifunctional glutamate/proline--tRNA ligase (Fragment) OS=Homo sapiens OX=9606 GN=EPRS1 PE=1 SV=1,46,46,40.3,4.12024628707503,4.14613732404923,30.5763261618404,30.5083363254218
P42566;B1AUU8;S4R3U1,P42566;B1AUU8,21;18;3,21;18;3,21;18;3,Epidermal growth factor receptor substrate 15,EPS15,sp|P42566|EPS15_HUMAN Epidermal growth factor receptor substrate 15 OS=Homo sapiens OX=9606 GN=EPS15 PE=1 SV=2;tr|B1AUU8|B1AUU8_HUMAN Epidermal growth factor receptor substrate 15 OS=Homo sapiens OX=9606 GN=EPS15 PE=1 SV=1,21,21,32.5,4.12024628707503,4.14613732404923,28.9669175490796,28.6766377924055
Q9UBC2;M0R165;M0R2S2;M0R1V5;K7EJR2;M0R330;M0QX30;M0R3I1,Q9UBC2;M0R165;M0R2S2,25;24;13;6;4;4;4;4,25;24;13;6;4;4;4;4,25;24;13;6;4;4;4;4,Epidermal growth factor receptor substrate 15-like 1,EPS15L1,sp|Q9UBC2|EP15R_HUMAN Epidermal growth factor receptor substrate 15-like 1 OS=Homo sapiens OX=9606 GN=EPS15L1 PE=1 SV=1;tr|M0R165|M0R165_HUMAN Epidermal growth factor receptor substrate 15-like 1 OS=Homo sapiens OX=9606 GN=EPS15L1 PE=1 SV=1;tr|M0R2S2|M0R2S,25,25,38.0,4.12024628707503,4.14613732404923,29.6147386526765,29.4631059884419
Q12929;A0A2R8Y4W2;A0A2R8YE63;F5GYM8;F5H3Q6;F5H0R8,Q12929;A0A2R8Y4W2;A0A2R8YE63,3;3;3;1;1;1,3;3;3;1;1;1,3;3;3;1;1;1,Epidermal growth factor receptor kinase substrate 8,EPS8,sp|Q12929|EPS8_HUMAN Epidermal growth factor receptor kinase substrate 8 OS=Homo sapiens OX=9606 GN=EPS8 PE=1 SV=1;tr|A0A2R8Y4W2|A0A2R8Y4W2_HUMAN Epidermal growth factor receptor kinase substrate 8 OS=Homo sapiens OX=9606 GN=EPS8 PE=1 SV=1;tr|A0A2R8YE63|A0,3,3,6.9,4.12024628707503,4.14613732404923,25.7895744382897,23.6346692689283
Q9H6S3;A0A3B3ISQ4;E9PN68;E9PLN2;E9PNT0;E9PLH1;E9PM34;H0YD62;H0YF37;A0A087WX39,Q9H6S3;A0A3B3ISQ4,7;7;2;2;2;2;1;1;1;1,7;7;2;2;2;2;1;1;1;1,7;7;2;2;2;2;1;1;1;1,Epidermal growth factor receptor kinase substrate 8-like protein 2,EPS8L2,sp|Q9H6S3|ES8L2_HUMAN Epidermal growth factor receptor kinase substrate 8-like protein 2 OS=Homo sapiens OX=9606 GN=EPS8L2 PE=1 SV=2;tr|A0A3B3ISQ4|A0A3B3ISQ4_HUMAN Epidermal growth factor receptor kinase substrate 8-like protein 2 OS=Homo sapiens OX=9606 G,7,7,15.0,24.5934321576026,22.9738626955303,28.09521824534,27.7279327074638
Q96RT1;B4DIP2;H0YA04;H0Y9E8;B1AKT2,Q96RT1,33;13;4;1;1,33;13;4;1;1,31;11;4;1;0,Protein LAP2,ERBB2IP,sp|Q96RT1|ERBIN_HUMAN Erbin OS=Homo sapiens OX=9606 GN=ERBIN PE=1 SV=2,33,31,31.9,23.7143964613991,21.0844658565231,29.2978033448572,29.0773733754526
Q8IUD2;X6RLX0;G8JLD3;X6RM00;K7EPP6;K7EPD6;K7EP25;K7EIZ7;K7EKH8,Q8IUD2;X6RLX0;G8JLD3;X6RM00,41;41;40;34;12;11;2;2;1,41;41;40;34;12;11;2;2;1,35;35;34;28;9;10;2;2;1,ELKS/Rab6-interacting/CAST family member 1,ERC1,sp|Q8IUD2|RB6I2_HUMAN ELKS/Rab6-interacting/CAST family member 1 OS=Homo sapiens OX=9606 GN=ERC1 PE=1 SV=1;tr|X6RLX0|X6RLX0_HUMAN ELKS/Rab6-interacting/CAST family member 1 OS=Homo sapiens OX=9606 GN=ERC1 PE=1 SV=1;tr|G8JLD3|G8JLD3_HUMAN ELKS/Rab6-interact,41,35,47.2,4.12024628707503,4.14613732404923,30.5943259424076,30.2912083313253
P28715;A0A494C0S2;A0A1W2PS85;R4GMW8;A0A494C113;A0A090HNM7,P28715;A0A494C0S2;A0A1W2PS85;R4GMW8;A0A494C113;A0A090HNM7,2;2;2;2;1;1,2;2;2;2;1;1,2;2;2;2;1;1,DNA repair protein complementing XP-G cells,ERCC5;BIVM-ERCC5;ERCC5-201,sp|P28715|ERCC5_HUMAN DNA repair protein complementing XP-G cells OS=Homo sapiens OX=9606 GN=ERCC5 PE=1 SV=3;tr|A0A494C0S2|A0A494C0S2_HUMAN DNA repair protein-complementing XP-G cells OS=Homo sapiens OX=9606 GN=ERCC5 PE=1 SV=1;tr|A0A1W2PS85|A0A1W2PS85_HUMA,2,2,2.3,4.12024628707503,4.14613732404923,24.2994288381303,23.999809430637
Q2NKX8;B5MDQ0,Q2NKX8;B5MDQ0,17;16,17;16,17;16,DNA excision repair protein ERCC-6-like,ERCC6L,sp|Q2NKX8|ERC6L_HUMAN DNA excision repair protein ERCC-6-like OS=Homo sapiens OX=9606 GN=ERCC6L PE=1 SV=1;tr|B5MDQ0|B5MDQ0_HUMAN DNA excision repair protein ERCC-6-like OS=Homo sapiens OX=9606 GN=ERCC6L PE=1 SV=1,17,17,19.1,4.12024628707503,4.14613732404923,27.6470501530727,27.8820953059953
Q9H501;A0A087WX71,Q9H501,23;10,23;10,23;10,ESF1 homolog,ESF1,sp|Q9H501|ESF1_HUMAN ESF1 homolog OS=Homo sapiens OX=9606 GN=ESF1 PE=1 SV=1,23,23,24.7,4.12024628707503,4.14613732404923,28.9259785813498,29.1537113957103
Q14674,Q14674,2,2,2,Separin,ESPL1,sp|Q14674|ESPL1_HUMAN Separin OS=Homo sapiens OX=9606 GN=ESPL1 PE=1 SV=3,2,2,1.6,27.6006662202307,27.1121051272994,26.0254041316935,25.7759040023271
Q9BSJ8;F8VZB1,Q9BSJ8,35;4,35;4,35;4,Extended synaptotagmin-1,ESYT1,sp|Q9BSJ8|ESYT1_HUMAN Extended synaptotagmin-1 OS=Homo sapiens OX=9606 GN=ESYT1 PE=1 SV=1,35,35,44.1,22.8256490362102,22.6489982395965,30.7617668397793,30.5174700190149
P62495;B7Z7P8;I3L492;D6RJE8;D6RCB3,P62495;B7Z7P8,11;11;5;2;1,11;11;5;2;1,11;11;5;2;1,Eukaryotic peptide chain release factor subunit 1,ETF1,sp|P62495|ERF1_HUMAN Eukaryotic peptide chain release factor subunit 1 OS=Homo sapiens OX=9606 GN=ETF1 PE=1 SV=3;tr|B7Z7P8|B7Z7P8_HUMAN Eukaryotic peptide chain release factor subunit 1 OS=Homo sapiens OX=9606 GN=ETF1 PE=1 SV=1,11,11,27.5,4.12024628707503,4.14613732404923,27.9021346680956,27.8175699199485
O60645;D6RB59;H0Y995;D6RBR9,O60645;D6RB59;H0Y995,8;7;4;1,8;7;4;1,8;7;4;1,Exocyst complex component 3,EXOC3,sp|O60645|EXOC3_HUMAN Exocyst complex component 3 OS=Homo sapiens OX=9606 GN=EXOC3 PE=1 SV=3;tr|D6RB59|D6RB59_HUMAN Exocyst complex component 3 OS=Homo sapiens OX=9606 GN=EXOC3 PE=1 SV=1;tr|H0Y995|H0Y995_HUMAN Exocyst complex component 3 (Fragment) OS=Homo,8,8,14.5,23.756030950107,22.9556222403985,25.4118336913786,25.0785495665474
Q96A65,Q96A65,11,11,11,Exocyst complex component 4,EXOC4,sp|Q96A65|EXOC4_HUMAN Exocyst complex component 4 OS=Homo sapiens OX=9606 GN=EXOC4 PE=1 SV=1,11,11,16.8,4.12024628707503,4.14613732404923,26.9407813561294,26.2154533109964
O00471;A0A0A0MSI8;F8W9B8,O00471;A0A0A0MSI8;F8W9B8,4;4;3,4;4;3,4;4;3,Exocyst complex component 5,EXOC5,sp|O00471|EXOC5_HUMAN Exocyst complex component 5 OS=Homo sapiens OX=9606 GN=EXOC5 PE=1 SV=1;tr|A0A0A0MSI8|A0A0A0MSI8_HUMAN Exocyst complex component 5 OS=Homo sapiens OX=9606 GN=EXOC5 PE=1 SV=1;tr|F8W9B8|F8W9B8_HUMAN Exocyst complex component 5 OS=Homo sa,4,4,8.6,4.12024628707503,4.14613732404923,25.5615079787637,23.7124035710624
Q01780;K7EJ37,Q01780,25;3,25;3,25;3,Exosome component 10,EXOSC10,sp|Q01780|EXOSX_HUMAN Exosome component 10 OS=Homo sapiens OX=9606 GN=EXOSC10 PE=1 SV=2,25,25,36.9,4.12024628707503,4.14613732404923,29.9991373781532,29.7041305825811
Q99504;B1APR7,Q99504;B1APR7,3;2,3;2,3;2,Eyes absent homolog 3;Eyes absent homolog,EYA3,sp|Q99504|EYA3_HUMAN Eyes absent homolog 3 OS=Homo sapiens OX=9606 GN=EYA3 PE=1 SV=3;tr|B1APR7|B1APR7_HUMAN Eyes absent homolog OS=Homo sapiens OX=9606 GN=EYA3 PE=1 SV=1,3,3,6.8,4.12024628707503,4.14613732404923,24.7632431705772,25.0466434406819
P15311;E7EQR4,P15311;E7EQR4,22;22,22;22,14;14,Ezrin,EZR,sp|P15311|EZRI_HUMAN Ezrin OS=Homo sapiens OX=9606 GN=EZR PE=1 SV=4;tr|E7EQR4|E7EQR4_HUMAN Ezrin OS=Homo sapiens OX=9606 GN=EZR PE=1 SV=3,22,14,37.5,25.5522722672881,25.6433663000196,30.192605677254,30.2980000745091
Q9H098;C9J6N5;C9JQ40;C9JW51;A0A1C7CYX8;C9J3Q3;C9JYP1;C9J6Y8;X6RET8;C9JP05;F8WCJ2,Q9H098;C9J6N5;C9JQ40;C9JW51;A0A1C7CYX8;C9J3Q3;C9JYP1;C9J6Y8;X6RET8;C9JP05,4;4;4;4;4;3;2;2;2;2;1,4;4;4;4;4;3;2;2;2;2;1,4;4;4;4;4;3;2;2;2;2;1,Protein FAM107B,FAM107B,sp|Q9H098|F107B_HUMAN Protein FAM107B OS=Homo sapiens OX=9606 GN=FAM107B PE=1 SV=1;tr|C9J6N5|C9J6N5_HUMAN Protein FAM107B (Fragment) OS=Homo sapiens OX=9606 GN=FAM107B PE=1 SV=8;tr|C9JQ40|C9JQ40_HUMAN Protein FAM107B (Fragment) OS=Homo sapiens OX=9606 GN=F,4,4,38.9,4.12024628707503,4.14613732404923,25.0182249732908,24.5588251962515
Q8IWE2,Q8IWE2,11,11,11,Protein NOXP20,FAM114A1,sp|Q8IWE2|NXP20_HUMAN Protein NOXP20 OS=Homo sapiens OX=9606 GN=FAM114A1 PE=1 SV=2,11,11,31.6,22.6819606904695,23.0204006396556,28.1898048066551,27.9829950538803
Q9NRY5;E7ESJ7;E5RGF9;E5RK42;E5RHP2;E5RHI8;E5RFK2,Q9NRY5;E7ESJ7,9;8;4;1;1;1;1,9;8;4;1;1;1;1,9;8;4;1;1;1;1,Protein FAM114A2,FAM114A2,sp|Q9NRY5|F1142_HUMAN Protein FAM114A2 OS=Homo sapiens OX=9606 GN=FAM114A2 PE=1 SV=4;tr|E7ESJ7|E7ESJ7_HUMAN Protein FAM114A2 OS=Homo sapiens OX=9606 GN=FAM114A2 PE=1 SV=1,9,9,24.2,22.6407709641202,22.6022762210965,27.7942679103008,27.1666254320313
Q9NZB2;A0A0C4DG79;A0A494C0Y9;A0A0C4DH52;Q5T035,Q9NZB2;A0A0C4DG79,15;9;5;3;1,15;9;5;3;1,15;9;5;3;1,Constitutive coactivator of PPAR-gamma-like protein 1,FAM120A,sp|Q9NZB2|F120A_HUMAN Constitutive coactivator of PPAR-gamma-like protein 1 OS=Homo sapiens OX=9606 GN=FAM120A PE=1 SV=2;tr|A0A0C4DG79|A0A0C4DG79_HUMAN Constitutive coactivator of PPAR-gamma-like protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=FAM120A PE=1,15,15,18.9,4.12024628707503,4.14613732404923,27.4091649534698,27.0798926118043
Q96EK7;F5GY05;A0A0D9SEJ5,Q96EK7;F5GY05;A0A0D9SEJ5,4;4;4,4;4;4,4;4;4,Constitutive coactivator of peroxisome proliferator-activated receptor gamma,FAM120B,sp|Q96EK7|F120B_HUMAN Constitutive coactivator of peroxisome proliferator-activated receptor gamma OS=Homo sapiens OX=9606 GN=FAM120B PE=1 SV=1;tr|F5GY05|F5GY05_HUMAN Constitutive coactivator of peroxisome proliferator-activated receptor gamma OS=Homo sapi,4,4,5.2,4.12024628707503,4.14613732404923,23.2712760767728,24.697315461124
Q96TA1,Q96TA1,11,11,11,Niban-like protein 1,FAM129B,sp|Q96TA1|NIBA2_HUMAN Protein Niban 2 OS=Homo sapiens OX=9606 GN=NIBAN2 PE=1 SV=3,11,11,21.8,4.12024628707503,4.14613732404923,27.9968500551565,27.7728498537481
Q9P2D6;D6RCC7;Q49AJ0;D6RFG9;E5RH68;D6REA8;E5RFQ7;H7BXC5;J3QSR3;D6RC17,Q9P2D6;D6RCC7,4;3;1;1;1;1;1;1;1;1,4;3;1;1;1;1;1;1;1;1,4;3;1;1;1;1;1;1;1;1,Protein FAM135A,FAM135A,sp|Q9P2D6|F135A_HUMAN Protein FAM135A OS=Homo sapiens OX=9606 GN=FAM135A PE=1 SV=2;tr|D6RCC7|D6RCC7_HUMAN Protein FAM135A OS=Homo sapiens OX=9606 GN=FAM135A PE=1 SV=1,4,4,2.6,4.12024628707503,4.14613732404923,24.6459789570026,24.3674638106445
Q6P995,Q6P995,2,2,2,Protein FAM171B,FAM171B,sp|Q6P995|F171B_HUMAN Protein FAM171B OS=Homo sapiens OX=9606 GN=FAM171B PE=2 SV=3,2,2,3.6,4.12024628707503,4.14613732404923,24.8962906394933,23.7827679079175
Q9GZU8;H3BQQ6;H3BTI2;H3BTP8;H3BSY6;H3BP64;H3BUL4;H3BMX9;H3BPH9;H3BPF9;H3BN22;Q6P4H7;H3BSF0;H3BU93;H3BNK9,Q9GZU8;H3BQQ6;H3BTI2;H3BTP8;H3BSY6;H3BP64;H3BUL4;H3BMX9;H3BPH9;H3BPF9;H3BN22;Q6P4H7;H3BSF0;H3BU93,4;3;3;3;3;3;3;3;2;2;2;2;2;2;1,4;3;3;3;3;3;3;3;2;2;2;2;2;2;1,4;3;3;3;3;3;3;3;2;2;2;2;2;2;1,Protein FAM192A,FAM192A;NIP30,sp|Q9GZU8|PIP30_HUMAN PSME3-interacting protein OS=Homo sapiens OX=9606 GN=PSME3IP1 PE=1 SV=1;tr|H3BQQ6|H3BQQ6_HUMAN PSME3-interacting protein (Fragment) OS=Homo sapiens OX=9606 GN=PSME3IP1 PE=1 SV=1;tr|H3BTI2|H3BTI2_HUMAN PSME3-interacting protein (Fragme,4,4,17.3,4.12024628707503,4.14613732404923,26.8000824932196,26.7844413509302
