Gene_names,GRWD1_vs_BirA_logFC,GRWD1_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_GRWD1_N1,Peptides_GRWD1_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_GRWD1_N1,Razor___unique_peptides_GRWD1_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_GRWD1_N1,Unique_peptides_GRWD1_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_GRWD1_N1,Identification_type_GRWD1_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_GRWD1_N1,Ratio_H_L_GRWD1_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_GRWD1_N1,Ratio_H_L_normalized_GRWD1_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____GRWD1_N1,Ratio_H_L_variability_____GRWD1_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_GRWD1_N1,Ratio_H_L_count_GRWD1_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_GRWD1_N1,Ratio_H_L_iso_count_GRWD1_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_GRWD1_N1,Ratio_H_L_type_GRWD1_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_GRWD1_N1____,Sequence_coverage_GRWD1_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_GRWD1_N1,Intensity_L_GRWD1_N1,Intensity_H_GRWD1_N1,Intensity_GRWD1_N2,Intensity_L_GRWD1_N2,Intensity_H_GRWD1_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_GRWD1_N1,metacell_Intensity_L_GRWD1_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
DDX18,1.33545989365719,0.0308118033163044,Q9NVP1;H7C452,Q9NVP1,8;2,8;2,8;2,ATP-dependent RNA helicase DDX18,sp|Q9NVP1|DDX18_HUMAN ATP-dependent RNA helicase DDX18 OS=Homo sapiens OX=9606 GN=DDX18 PE=1 SV=2,2,8,8,8,1,2,4,3,1,2,4,3,1,2,4,3,14.9,14.9,14.9,75.406,670,670;214,0.0,13.872,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.55854,1.2294,23.316,10,7,Leave out requantified,0.31855,0.73231,0.65928,0.55854,0.96917,1.8263,1.4077,1.2294,,52.738,123.22,18.623,1,2,4,3,0,2,3,2,Median,Median,Median,Median,2.1,3.7,7.3,5.4,466910000,253360000,213550000,28139000,20361000,7777500,74153000,39870000,34283000,228160000,106870000,121280000,136460000,86259000,50203000,,,,2503,3195;4795;7101;8814;9217;11458;12404;16529,True;True;True;True;True;True;True;True,3732;5613;8457;10531;11026;13587;14697;19508,9986;14751;22428;22429;28081;28082;29457;29458;36032;38842;51851,20493;30154;45906;45907;57397;57398;60116;60117;73130;78738;106058;106059;106060,20493;30154;45906;57397;60116;73130;78738;106060,,,,,-1;-1,protein_2504,quanti,quanti,quanti,quanti
SLTM,1.70514221171725,0.0180266985540951,Q9NWH9;H7C3F4;H0YLW7;H0YMW8;H0YKH2;H0YNF3;H0YMR6;H0YLE6;H0YL55;H7BXE3,Q9NWH9;H7C3F4,5;3;2;2;2;2;2;2;2;2,5;3;2;2;2;2;2;2;2;2,5;3;2;2;2;2;2;2;2;2,SAFB-like transcription modulator,sp|Q9NWH9|SLTM_HUMAN SAFB-like transcription modulator OS=Homo sapiens OX=9606 GN=SLTM PE=1 SV=2;tr|H7C3F4|H7C3F4_HUMAN SAFB-like transcription modulator (Fragment) OS=Homo sapiens OX=9606 GN=SLTM PE=1 SV=1,10,5,5,5,1,2,4,4,1,2,4,4,1,2,4,4,6.7,6.7,6.7,117.15,1034,1034;600;62;89;100;161;177;192;229;453,0.0,10.992,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.47916,1.0023,32.244,11,6,Leave out requantified,0.38969,0.44642,0.49641,0.45384,1.0517,1.0515,1.0458,0.93169,,13.466,50.263,51.688,1,2,4,4,1,1,2,2,Median,Median,Median,Median,1.1,3.5,6.2,6.2,380190000,234430000,145760000,19740000,12808000,6932000,47786000,33112000,14674000,201560000,123310000,78253000,111100000,65201000,45902000,,,,2504,47;48;611;7399;12788,True;True;True;True;True,51;52;686;8797;15131,123;124;125;1785;1786;23334;23335;23336;23337;39960;39961,204;205;3551;3552;3553;47803;47804;47805;47806;80988;80989,204;205;3553;47803;80988,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_2505,quanti,quanti,quanti,quanti
COMMD8,1.04839439626416,0.286143025899698,Q9NX08,Q9NX08,2,2,2,COMM domain-containing protein 8,sp|Q9NX08|COMD8_HUMAN COMM domain-containing protein 8 OS=Homo sapiens OX=9606 GN=COMMD8 PE=1 SV=1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,17.5,17.5,17.5,21.09,183,183,0.0,6.4115,By MS/MS,By MS/MS,By MS/MS,By matching,0.57416,1.3648,13.925,5,0,Leave out requantified,0.46245,0.73485,0.55369,0.6035,1.2699,1.7861,1.2482,1.1556,,,1.2935,,1,1,2,1,0,0,0,0,Median,Median,Median,Median,6.6,6.6,10.9,10.9,266350000,165830000,100520000,20439000,14435000,6004200,25681000,13925000,11756000,198770000,125230000,73547000,21459000,12243000,9216500,,,,2506,8300;9670,True;True,9938;11540,26357;26358;30782;30783;30784,53760;53761;62733;62734,53761;62734,,,,,-1,protein_2507,quanti,quanti,quanti,quanti
OCIAD1,-0.990641861049024,0.272113777185681,Q9NX40;D6RG39;D6RIT9;D6RDK6;D6RBN5;D6R918;D6RBC5;D6RDI5;D6RI08;D6RA54;D6RC55;D6RDK1;D6RIV2;D6R9T5,Q9NX40;D6RG39;D6RIT9;D6RDK6;D6RBN5,3;2;2;2;2;1;1;1;1;1;1;1;1;1,3;2;2;2;2;1;1;1;1;1;1;1;1;1,3;2;2;2;2;1;1;1;1;1;1;1;1;1,OCIA domain-containing protein 1,sp|Q9NX40|OCAD1_HUMAN OCIA domain-containing protein 1 OS=Homo sapiens OX=9606 GN=OCIAD1 PE=1 SV=1;tr|D6RG39|D6RG39_HUMAN OCIA domain-containing protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=OCIAD1 PE=1 SV=1;tr|D6RIT9|D6RIT9_HUMAN OCIA domain-containing ,14,3,3,3,2,1,2,1,2,1,2,1,2,1,2,1,16.3,16.3,16.3,27.626,245,245;171;172;179;218;73;80;97;103;110;112;119;140;168,0.00061162,2.8218,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.85091,1.7203,34.113,8,3,Leave out requantified,0.67453,0.85091,0.83607,0.88462,2.0964,2.1925,1.7057,1.749,40.162,,4.4096,,3,1,3,1,2,0,1,0,Median,Median,Plateau,Median,9.0,3.3,10.6,7.3,250530000,138250000,112280000,68619000,41002000,27617000,41447000,26851000,14595000,122070000,62432000,59640000,18391000,7963800,10427000,,,,2509,3908;11542;14197,True;True;True,4555;13682;16723,12016;36273;36274;36275;36276;44259;44260;44261,24439;73621;73622;73623;73624;73625;89672;89673;89674;89675;89676;89677;89678,24439;73623;89674,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_2510,quanti,quanti,quanti,quanti
ADPRHL2,0.0675385403242004,0.870073725262121,Q9NX46,Q9NX46,3,3,3,Poly(ADP-ribose) glycohydrolase ARH3,sp|Q9NX46|ADPRS_HUMAN ADP-ribose glycohydrolase ARH3 OS=Homo sapiens OX=9606 GN=ADPRS PE=1 SV=1,1,3,3,3,2,3,1,2,2,3,1,2,2,3,1,2,11.6,11.6,11.6,38.946,363,363,0.0,10.367,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.4023,0.84893,20.157,8,5,Median,0.35301,0.41003,0.39472,0.43127,0.77053,0.79983,0.91785,0.84333,22.128,23.264,,31.892,2,3,1,2,1,3,0,1,Median,Median,Median,Median,9.1,11.6,2.5,6.9,177260000,124480000,52775000,23713000,17254000,6458800,48547000,36095000,12451000,61879000,42309000,19570000,43118000,28824000,14294000,,,,2510,23;1375;15459,True;True;True,23;1613;18203,59;60;4383;4384;4385;48183;48184;48185,110;111;9012;9013;9014;9015;9016;9017;98208;98209;98210,110;9012;98208,,,,,-1,protein_2511,quanti,quanti,quanti,quanti
GAR1,-0.71673102679911,0.026369847505284,Q9NY12,Q9NY12,2,2,2,H/ACA ribonucleoprotein complex subunit 1,sp|Q9NY12|GAR1_HUMAN H/ACA ribonucleoprotein complex subunit 1 OS=Homo sapiens OX=9606 GN=GAR1 PE=1 SV=1,1,2,2,2,2,2,1,1,2,2,1,1,2,2,1,1,14.3,14.3,14.3,22.348,217,217,0.0,3.7891,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.46276,0.94025,8.2162,6,0,Leave out requantified,0.44018,0.44499,0.48601,0.51209,0.94325,0.87322,0.93812,0.97669,20.789,5.6526,,,2,2,1,1,0,0,0,0,Median,Median,Median,Median,14.3,14.3,6.0,6.0,86600000,58017000,28583000,20974000,13909000,7064300,27138000,17232000,9906200,25601000,18164000,7436700,12888000,8711500,4176200,,,,2515,4398;16925,True;True,5126;19981,13494;13495;13496;13497;53084;53085,27436;27437;27438;27439;108665;108666;108667;108668,27436;108666,,,,,-1,protein_2516,quanti,quanti,quanti,quanti
AATF,0.392195672517595,0.708853720629437,Q9NY61,Q9NY61,4,4,4,Protein AATF,sp|Q9NY61|AATF_HUMAN Protein AATF OS=Homo sapiens OX=9606 GN=AATF PE=1 SV=1,1,4,4,4,1,1,3,1,1,1,3,1,1,1,3,1,10.7,10.7,10.7,63.132,560,560,0.0,4.8708,By MS/MS,By matching,By MS/MS,By MS/MS,1.0247,2.0809,35.294,6,0,Leave out requantified,0.5747,0.70581,1.1192,1.4413,1.3264,1.564,2.1528,2.6183,,,30.151,,1,1,3,1,0,0,0,0,Median,Median,Leave out requantified,Median,1.4,1.4,9.3,2.3,167980000,90183000,77793000,13962000,8565200,5397200,20033000,12000000,8032800,122260000,64742000,57520000,11719000,4875800,6843200,,,,2516,3582;7807;9883;11780,True;True;True;True,4179;9311;11775;13960,11021;11022;24706;31379;37013;37014,22412;50683;63828;63829;75211;75212;75213,22412;50683;63829;75211,,,,,-1,protein_2517,quanti,quanti,quanti,quanti
MRPL39,-0.751466609363643,0.128790852883166,Q9NYK5;C9JG87,Q9NYK5;C9JG87,7;6,7;6,7;6,"39S ribosomal protein L39, mitochondrial","sp|Q9NYK5|RM39_HUMAN 39S ribosomal protein L39, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL39 PE=1 SV=3;tr|C9JG87|C9JG87_HUMAN 39S ribosomal protein L39, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=MRPL39 PE=1 SV=1",2,7,7,7,5,4,4,2,5,4,4,2,5,4,4,2,21.6,21.6,21.6,38.711,338,338;297,0.0,8.3036,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.42633,0.83362,16.601,15,6,Leave out requantified,0.29997,0.29187,0.4883,0.56343,0.70325,0.68423,0.98533,1.0591,18.261,12.803,25.101,19.463,5,4,4,2,3,1,2,0,Median,Leave out requantified,Median,Median,17.8,14.8,10.1,6.8,329950000,222620000,107330000,81187000,58768000,22419000,74762000,54241000,20522000,135130000,86393000,48734000,38874000,23214000,15660000,,,,2517,542;779;4133;6372;12531;12933;15484,True;True;True;True;True;True;True,612;882;4820;7586;14847;15302;18233,1598;1599;1600;1601;2329;12654;12655;12656;12657;20018;20019;39218;40459;48270;48271,3192;3193;4692;4693;25696;25697;25698;25699;40956;40957;40958;79504;81996;98374;98375,3192;4693;25698;40957;79504;81996;98375,,,,,-1;-1,protein_2518,quanti,quanti,quanti,quanti
CALY,-18.8772197959013,3.83399203286179e-06,Q9NYX4,Q9NYX4,2,2,2,Neuron-specific vesicular protein calcyon,sp|Q9NYX4|CALY_HUMAN Neuron-specific vesicular protein calcyon OS=Homo sapiens OX=9606 GN=CALY PE=1 SV=1,1,2,2,2,1,1,0,1,1,1,0,1,1,1,0,1,17.5,17.5,17.5,23.433,217,217,0.038247,0.63747,By MS/MS,By MS/MS,,By MS/MS,0.88242,1.7268,1.9639,3,0,Plateau,0.72395,0.88242,,,1.669,1.7268,,,0.0,,,,2,1,0,0,0,0,0,0,Median,Median,Median,Median,7.4,7.4,0.0,17.5,41835000,23455000,18380000,27796000,16247000,11549000,14039000,7207500,6831400,0,0,0,0,0,0,,,,2519,965;9712,True;True,1108;11587,2991;2992;2993;30886,6145;6146;6147;62927,6147;62927,,,,,-1,protein_2520,imputed MEC,imputed MEC,quanti,quanti
CISD1,-21.637496490854,8.11141342016095e-08,Q9NZ45,Q9NZ45,2,2,2,CDGSH iron-sulfur domain-containing protein 1,sp|Q9NZ45|CISD1_HUMAN CDGSH iron-sulfur domain-containing protein 1 OS=Homo sapiens OX=9606 GN=CISD1 PE=1 SV=1,1,2,2,2,2,1,0,0,2,1,0,0,2,1,0,0,28.7,28.7,28.7,12.199,108,108,0.0,7.6207,By MS/MS,By MS/MS,,,0.37327,1.1522,8.6241,5,3,Median,0.37327,0.3815,,,1.1595,0.99555,,,1.0478,2.5989,,,3,2,0,0,2,1,0,0,Median,Median,Median,Median,28.7,16.7,0.0,0.0,200730000,146690000,54045000,101240000,75332000,25910000,99492000,71356000,28135000,0,0,0,0,0,0,,,,2520,1424;7356,True;True,1668;8749,4589;23233;23234;23235;23236,9600;47587;47588;47589;47590;47591;47592;47593;47594;47595;47596,9600;47587,,,,,-1,protein_2521,imputed MEC,imputed MEC,quanti,quanti
MAT2B,-0.919326003385954,0.0115892299377464,Q9NZL9;E5RJR3;H7C0X7,Q9NZL9;E5RJR3,6;3;1,6;3;1,6;3;1,Methionine adenosyltransferase 2 subunit beta,sp|Q9NZL9|MAT2B_HUMAN Methionine adenosyltransferase 2 subunit beta OS=Homo sapiens OX=9606 GN=MAT2B PE=1 SV=1;tr|E5RJR3|E5RJR3_HUMAN Methionine adenosyltransferase 2 subunit beta OS=Homo sapiens OX=9606 GN=MAT2B PE=1 SV=1,3,6,6,6,3,4,4,2,3,4,4,2,3,4,4,2,25.1,25.1,25.1,37.551,334,334;117;198,0.0,21.294,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.38538,0.97698,22.372,12,2,Leave out requantified,0.4003,0.42453,0.46132,0.35702,1.1272,1.1593,0.85816,0.73333,28.087,24.791,11.55,44.878,3,4,3,2,0,1,1,0,Leave out requantified,Leave out requantified,Median,Median,13.2,16.8,15.6,9.6,608140000,365550000,242580000,133090000,96602000,36492000,256940000,112950000,143990000,144020000,103380000,40640000,74082000,52618000,21464000,,,,2523,2038;6413;10263;11331;12691;16395,True;True;True;True;True;True,2386;7633;12208;13438;15025;19351;19352,6538;6539;20136;20137;32486;32487;35633;35634;39706;51426;51427;51428;51429;51430,13630;13631;13632;13633;41261;41262;41263;65930;65931;72319;72320;72321;72322;72323;72324;72325;80441;105126;105127;105128;105129;105130;105131;105132;105133;105134;105135,13633;41262;65931;72321;80441;105133,,,,,-1;-1;-1,protein_2524,quanti,quanti,quanti,quanti
MRPL15,0.326834128129072,0.493641416673724,Q9P015;E5RHF4;E5RIZ4,Q9P015;E5RHF4,5;3;2,5;3;2,5;3;2,"39S ribosomal protein L15, mitochondrial","sp|Q9P015|RM15_HUMAN 39S ribosomal protein L15, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL15 PE=1 SV=1;tr|E5RHF4|E5RHF4_HUMAN 39S ribosomal protein L15, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=MRPL15 PE=1 SV=1",3,5,5,5,2,2,3,2,2,2,3,2,2,2,3,2,20.6,20.6,20.6,33.419,296,296;198;237,0.0,4.972,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.46784,0.96973,22.705,10,2,Leave out requantified,0.2687,0.46784,0.51562,0.50323,0.61995,1.1862,1.1109,1.0525,32.023,37.956,21.929,11.589,2,3,3,2,1,0,1,0,Median,Plateau,Plateau,Median,10.8,11.5,14.9,9.1,307910000,187000000,120910000,26419000,20463000,5955600,79485000,51884000,27601000,130570000,74878000,55692000,71439000,39775000,31664000,,,,2527,8728;8729;12234;13459;16695,True;True;True;True;True,10439;10440;14486;15892;19697,27843;27844;27845;27846;38325;38326;38327;38328;42027;42028;52289,56922;56923;56924;56925;56926;77807;77808;77809;85282;85283;85284;85285;85286;106903,56924;56925;77807;85284;106903,,,,,-1;-1;-1,protein_2528,quanti,quanti,quanti,quanti
VAPA,20.7391495886558,4.47902389439445e-06,Q9P0L0,Q9P0L0,3,2,2,Vesicle-associated membrane protein-associated protein A,sp|Q9P0L0|VAPA_HUMAN Vesicle-associated membrane protein-associated protein A OS=Homo sapiens OX=9606 GN=VAPA PE=1 SV=3,1,3,2,2,0,0,3,3,0,0,2,2,0,0,2,2,11.2,11.2,11.2,27.893,249,249,0.0016216,1.7894,,,By MS/MS,By MS/MS,0.47066,0.99234,17.759,4,0,Leave out requantified,,,0.44652,0.49611,,,0.90304,1.0905,,,12.241,23.276,0,0,2,2,0,0,0,0,Median,Median,Median,Median,0.0,0.0,11.2,11.2,195740000,110940000,84800000,0,0,0,0,0,0,94816000,43194000,51622000,100920000,67741000,33178000,,,,2529,3904;5266;9949,True;False;True,4550;6210;11848,12001;12002;16451;16452;31558;31559,24412;33671;33672;33673;64166;64167;64168;64169;64170,24412;33673;64170,,,,,-1,protein_2530,quanti,quanti,imputed MEC,imputed MEC
H2AFY2,20.1344335352366,3.41232355193978e-07,Q9P0M6;Q5SQT3,Q9P0M6;Q5SQT3,4;2,2;1,2;1,Core histone macro-H2A.2;Histone H2A,sp|Q9P0M6|H2AW_HUMAN Core histone macro-H2A.2 OS=Homo sapiens OX=9606 GN=MACROH2A2 PE=1 SV=3;tr|Q5SQT3|Q5SQT3_HUMAN Histone H2A (Fragment) OS=Homo sapiens OX=9606 GN=MACROH2A2 PE=1 SV=8,2,4,2,2,1,1,4,2,0,0,2,1,0,0,2,1,14.2,7.3,7.3,40.058,372,372;242,0.0,5.5554,By matching,By matching,By MS/MS,By MS/MS,0.37247,0.78488,55.793,3,2,Median,,,0.50939,0.37247,,,1.1227,0.78488,,,73.29,,0,0,2,1,0,0,1,1,Median,Median,Median,Median,2.4,2.4,14.2,5.6,139800000,84061000,55742000,0,0,0,0,0,0,110680000,64419000,46265000,29119000,19642000,9476800,,,,2530,755;5587;5808;10028,False;True;False;True,852;853;6594;6889;6890;11936,2223;2224;2225;2226;2227;2228;17411;17412;18224;18225;31746,4446;4447;4448;4449;4450;4451;4452;4453;4454;4455;4456;4457;4458;4459;35477;35478;35479;37135;37136;64537,4458;35478;37135;64537,,,,,-1;-1,protein_2531,quanti,quanti,imputed MEC,imputed MEC
RCC2,1.17005934967442,0.108030934542776,Q9P258,Q9P258,16,16,16,Protein RCC2,sp|Q9P258|RCC2_HUMAN Protein RCC2 OS=Homo sapiens OX=9606 GN=RCC2 PE=1 SV=2,1,16,16,16,6,3,12,11,6,3,12,11,6,3,12,11,36.8,36.8,36.8,56.084,522,522,0.0,32.004,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.47234,0.95733,15.969,34,8,Leave out requantified,0.41064,0.53011,0.47807,0.47638,1.4227,1.3098,0.95773,0.92924,29.702,13.37,15.109,13.757,6,3,14,11,4,0,2,2,Median,Leave out requantified,Leave out requantified,Leave out requantified,12.6,5.4,27.0,27.0,1575800000,1027200000,548570000,273360000,185730000,87632000,118300000,79064000,39231000,753200000,494020000,259170000,430910000,268380000,162530000,,,,2531,649;650;1633;2100;2816;5326;6644;8574;8761;8961;11611;12791;14720;15361;15791;17415,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,730;731;1908;2460;3305;6277;7925;10266;10477;10702;13760;13761;15134;17341;18086;18595;18596;20539,1900;1901;5233;6744;6745;6746;6747;8940;8941;8942;16633;16634;21030;21031;27349;27350;27940;28571;36482;36483;36484;39964;39965;39966;45921;45922;47865;49226;49227;49228;49229;49230;54501;54502;54503,3798;3799;3800;3801;10859;14048;14049;14050;14051;14052;14053;18417;18418;18419;18420;18421;18422;34023;34024;43219;43220;43221;43222;43223;55823;55824;55825;55826;57168;57169;58446;74065;74066;74067;80992;80993;80994;80995;80996;80997;93394;93395;93396;97532;100406;100407;100408;100409;100410;100411;100412;100413;100414;100415;100416;100417;100418;100419;111464;111465;111466,3798;3799;10859;14049;18417;34023;43221;55824;57168;58446;74066;80992;93396;97532;100411;111464,,,,,-1,protein_2532,quanti,quanti,quanti,quanti
BCCIP,1.17985725417038,0.00843859763262471,Q9P287,Q9P287,5,5,5,BRCA2 and CDKN1A-interacting protein,sp|Q9P287|BCCIP_HUMAN BRCA2 and CDKN1A-interacting protein OS=Homo sapiens OX=9606 GN=BCCIP PE=1 SV=1,1,5,5,5,2,1,4,4,2,1,4,4,2,1,4,4,23.6,23.6,23.6,35.979,314,314,0.0,7.0096,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.57482,1.432,95.566,11,2,Leave out requantified,0.43861,0.57192,0.61674,0.63326,1.2418,1.6142,1.3499,1.3891,39.237,,23.955,94.906,2,1,4,4,1,0,1,0,Median,Median,Leave out requantified,Leave out requantified,7.3,4.8,18.5,19.7,641130000,403840000,237290000,70157000,46079000,24078000,80168000,52448000,27720000,320440000,187100000,133340000,170360000,118220000,52149000,,,,2534,1542;7685;9439;15313;17212,True;True;True;True;True,1802;9146;11284;18027;20310,4924;4925;24278;24279;24280;24281;30158;30159;30160;47685;53950,10255;10256;49849;49850;49851;49852;49853;49854;49855;49856;49857;49858;49859;61585;61586;61587;61588;61589;61590;61591;97087;110380,10255;49853;61591;97087;110380,,,,,-1,protein_2535,quanti,quanti,quanti,quanti
HEATR5B,-2.86150972828934,0.103129483710821,Q9P2D3,Q9P2D3,4,4,4,HEAT repeat-containing protein 5B,sp|Q9P2D3|HTR5B_HUMAN HEAT repeat-containing protein 5B OS=Homo sapiens OX=9606 GN=HEATR5B PE=1 SV=2,1,4,4,4,2,1,1,1,2,1,1,1,2,1,1,1,2.6,2.6,2.6,224.3,2071,2071,0.04862,0.52648,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.58084,1.7943,153.46,4,2,Median,0.12007,0.60395,,0.83766,0.42107,1.7338,,1.857,222.73,,,,2,1,0,1,1,1,0,0,Median,Median,Median,Median,1.4,0.7,1.1,0.9,766020000,670500000,95517000,600390000,553430000,46957000,85075000,53624000,31451000,29648000,29648000,0,50902000,33792000,17110000,,,,2536,9323;9324;13645;16347,True;True;True;True,11145;11146;16107;19294,29770;29771;42597;51259;51260,60715;60716;86351;86352;104796;104797;104798;104799,60715;60716;86352;104796,,,,,-1,protein_2537,quanti,quanti,quanti,quanti
LARS,1.39717249624841,0.0592217235745147,Q9P2J5;A0A087WXY1,Q9P2J5,15;3,15;3,15;3,"Leucine--tRNA ligase, cytoplasmic","sp|Q9P2J5|SYLC_HUMAN Leucine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=LARS1 PE=1 SV=2",2,15,15,15,4,6,7,11,4,6,7,11,4,6,7,11,15.9,15.9,15.9,134.46,1176,1176;160,0.0,16.861,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.47962,1.0046,16.598,27,8,Leave out requantified,0.32733,0.36446,0.51943,0.51359,0.78585,0.73425,1.1759,1.034,36.97,2.7099,18.118,11.176,4,5,7,11,3,2,2,1,Median,Leave out requantified,Leave out requantified,Leave out requantified,3.7,6.0,6.6,12.2,901880000,581540000,320330000,62739000,45185000,17554000,136660000,89107000,47554000,330250000,209310000,120940000,372230000,237950000,134280000,,,,2538,742;3528;3678;4993;8904;9572;10524;10840;11398;12024;13095;14054;15738;16437;17200,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,839;4117;4293;5880;10636;11428;12529;12879;13519;14233;15484;16560;18521;19400;20296,2191;10864;10865;11302;11303;15562;15563;28398;28399;30484;33383;33384;34233;35849;35850;35851;37714;40898;40899;40900;43807;49018;49019;51547;53921;53922;53923;53924,4379;22100;22101;22102;22103;23055;23056;31892;31893;58089;58090;58091;62142;67852;67853;67854;67855;69532;69533;69534;69535;72758;72759;72760;76588;82867;82868;82869;88781;88782;99951;99952;99953;99954;105378;110319;110320;110321;110322;110323;110324,4379;22101;23056;31893;58089;62142;67852;69532;72760;76588;82868;88782;99952;105378;110319,,,,,-1;-1,protein_2539,quanti,quanti,quanti,quanti
GNG12,-1.33878211238328,0.0410413207456074,Q9UBI6,Q9UBI6,2,2,2,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12,sp|Q9UBI6|GBG12_HUMAN Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12 OS=Homo sapiens OX=9606 GN=GNG12 PE=1 SV=3,1,2,2,2,2,2,1,1,2,2,1,1,2,2,1,1,37.5,37.5,37.5,8.0061,72,72,0.00065104,3.3208,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.54042,1.4105,1.4363,6,0,Leave out requantified,0.47506,0.4744,0.66755,0.667,1.4148,1.1928,1.4227,1.4196,4.2224,21.919,,,2,2,1,1,0,0,0,0,Median,Median,Median,Median,37.5,37.5,19.4,19.4,202960000,121380000,81581000,54908000,33308000,21601000,71897000,46494000,25403000,42166000,20098000,22068000,33985000,21476000,12509000,,,,2541,1695;15322,True;True,1976;18036,5416;5417;5418;5419;47709;47710,11209;11210;11211;11212;11213;11214;11215;11216;11217;97138,11217;97138,,,,,-1,protein_2542,quanti,quanti,quanti,quanti
