GRWD1_vs_zCtl,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
TPP1,-1.0490682552,0.000433229070133868,1,O14773;A0A2R8YGD1;A0A2R8Y7U1;A0A2R8YD45;A0A2R8Y7I4;A0A2R8YD72;A0A2R8YDY1,O14773;A0A2R8YGD1;A0A2R8Y7U1;A0A2R8YD45;A0A2R8Y7I4,4;4;3;3;2;1;1,4;4;3;3;2;1;1,4;4;3;3;2;1;1,Tripeptidyl-peptidase 1,TPP1,sp|O14773|TPP1_HUMAN Tripeptidyl-peptidase 1 OS=Homo sapiens OX=9606 GN=TPP1 PE=1 SV=2;tr|A0A2R8YGD1|A0A2R8YGD1_HUMAN Tripeptidyl-peptidase 1 OS=Homo sapiens OX=9606 GN=TPP1 PE=1 SV=1;tr|A0A2R8Y7U1|A0A2R8Y7U1_HUMAN Tripeptidyl-peptidase 1 (Fragment) OS=Hom,4,4,8.7,563
EEF1A2,0.217744614,0.328725803738095,0,Q05639;A0A2U3TZH3;A0A2R8Y488;A0A2R8Y660;A0A2R8YDN5,Q05639;A0A2U3TZH3,31;31;15;13;10,12;12;3;3;3,12;12;3;3;3,Elongation factor 1-alpha 2,EEF1A2,sp|Q05639|EF1A2_HUMAN Elongation factor 1-alpha 2 OS=Homo sapiens OX=9606 GN=EEF1A2 PE=1 SV=1;tr|A0A2U3TZH3|A0A2U3TZH3_HUMAN Elongation factor 1-alpha OS=Homo sapiens OX=9606 GN=EEF1A2 PE=1 SV=1,31,12,60.5,463
CD59,0.1586352079,0.155306837813267,0,P13987;E9PNW4;A0A2U3TZL5;H0YET2,P13987;E9PNW4;A0A2U3TZL5,5;5;5;2,5;5;5;2,5;5;5;2,CD59 glycoprotein,CD59,sp|P13987|CD59_HUMAN CD59 glycoprotein OS=Homo sapiens OX=9606 GN=CD59 PE=1 SV=1;tr|E9PNW4|E9PNW4_HUMAN UPAR/Ly6 domain-containing protein OS=Homo sapiens OX=9606 PE=1 SV=1;tr|A0A2U3TZL5|A0A2U3TZL5_HUMAN CD59 glycoprotein (Fragment) OS=Homo sapiens OX=9606,5,5,28.1,128
MTHFD1,-0.0282392464,0.769537545753418,0,P11586;V9GYY3;A0A384N5Y3;F5H2F4;V9GZ78;A0A494C1T2,P11586;V9GYY3;A0A384N5Y3;F5H2F4;V9GZ78;A0A494C1T2,57;57;57;57;50;38,57;57;57;57;50;38,56;56;56;56;49;37,"C-1-tetrahydrofolate synthase, cytoplasmic;Methylenetetrahydrofolate dehydrogenase;Methenyltetrahydrofolate cyclohydrolase;Formyltetrahydrofolate synthetase;C-1-tetrahydrofolate synthase, cytoplasmic, N-terminally processed",MTHFD1,"sp|P11586|C1TC_HUMAN C-1-tetrahydrofolate synthase, cytoplasmic OS=Homo sapiens OX=9606 GN=MTHFD1 PE=1 SV=3;tr|V9GYY3|V9GYY3_HUMAN C-1-tetrahydrofolate synthase, cytoplasmic OS=Homo sapiens OX=9606 GN=MTHFD1 PE=1 SV=2;tr|A0A384N5Y3|A0A384N5Y3_HUMAN C-1-tet",57,56,64.3,935
CTPS1,0.8979278538,0.00453261036557826,0,P17812;A0A3B3IRI2;A0A3B3IRQ8;A0A3B3ITF6;B4E1E0;A0A3B3ITB8;A0A3B3ITH9;A0A3B3ISY3;Q9NRF8,P17812;A0A3B3IRI2;A0A3B3IRQ8;A0A3B3ITF6;B4E1E0;A0A3B3ITB8,24;24;19;19;18;14;5;4;3,24;24;19;19;18;14;5;4;3,24;24;19;19;18;14;5;4;3,CTP synthase 1;CTP synthase,CTPS1,sp|P17812|PYRG1_HUMAN CTP synthase 1 OS=Homo sapiens OX=9606 GN=CTPS1 PE=1 SV=2;tr|A0A3B3IRI2|A0A3B3IRI2_HUMAN CTP synthase OS=Homo sapiens OX=9606 GN=CTPS1 PE=1 SV=1;tr|A0A3B3IRQ8|A0A3B3IRQ8_HUMAN CTP synthase OS=Homo sapiens OX=9606 GN=CTPS1 PE=1 SV=1;tr,24,24,51.8,591
MOGS,-0.2856036877,0.208021321518449,0,Q13724;A0A3B3IRW2;A0A3B3IRK6;A0A3B3IS52,Q13724;A0A3B3IRW2;A0A3B3IRK6,5;5;5;2,5;5;5;2,5;5;5;2,Mannosyl-oligosaccharide glucosidase,MOGS,sp|Q13724|MOGS_HUMAN Mannosyl-oligosaccharide glucosidase OS=Homo sapiens OX=9606 GN=MOGS PE=1 SV=5;tr|A0A3B3IRW2|A0A3B3IRW2_HUMAN Mannosyl-oligosaccharide glucosidase OS=Homo sapiens OX=9606 GN=MOGS PE=1 SV=1;tr|A0A3B3IRK6|A0A3B3IRK6_HUMAN Mannosyl-oligos,5,5,9.6,837
HEBP1,-0.5100780873,0.0142063301993158,0,Q9NRV9;A0A3B3IRV5;F5GWX2;H0YG71,Q9NRV9;A0A3B3IRV5,7;7;3;1,7;7;3;1,7;7;3;1,Heme-binding protein 1,HEBP1,sp|Q9NRV9|HEBP1_HUMAN Heme-binding protein 1 OS=Homo sapiens OX=9606 GN=HEBP1 PE=1 SV=1;tr|A0A3B3IRV5|A0A3B3IRV5_HUMAN Heme-binding protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=HEBP1 PE=1 SV=1,7,7,61.4,189
COPA,-0.1193883722,0.215859216569018,0,P53621;A0A3B3ISC6;A0A3B3IS84;A0A3B3IT15;A0A3B3IU89;A0A3B3ITV3;A0A3B3ISK1;A0A3B3ITI7;A0A3B3IU78,P53621;A0A3B3ISC6;A0A3B3IS84;A0A3B3IT15;A0A3B3IU89;A0A3B3ITV3,16;16;16;15;11;8;7;5;2,16;16;16;15;11;8;7;5;2,16;16;16;15;11;8;7;5;2,Coatomer subunit alpha;Xenin;Proxenin,COPA,sp|P53621|COPA_HUMAN Coatomer subunit alpha OS=Homo sapiens OX=9606 GN=COPA PE=1 SV=2;tr|A0A3B3ISC6|A0A3B3ISC6_HUMAN Coatomer subunit alpha (Fragment) OS=Homo sapiens OX=9606 GN=COPA PE=1 SV=1;tr|A0A3B3IS84|A0A3B3IS84_HUMAN Coatomer subunit alpha OS=Homo s,16,16,18.7,1224
MCM4,-0.2120861229,0.135392206297282,0,P33991;A0A3B3IU45;A0A3B3IT92;A0A3B3ITP6;A0A3B3IS57;E5RG31;A0A3B3IRR8;Q9UJA3;A0A494C100,P33991;A0A3B3IU45;A0A3B3IT92;A0A3B3ITP6;A0A3B3IS57;E5RG31,26;26;26;22;20;17;6;1;1,26;26;26;22;20;17;6;1;1,26;26;26;22;20;17;6;1;1,DNA replication licensing factor MCM4,MCM4,sp|P33991|MCM4_HUMAN DNA replication licensing factor MCM4 OS=Homo sapiens OX=9606 GN=MCM4 PE=1 SV=5;tr|A0A3B3IU45|A0A3B3IU45_HUMAN DNA helicase OS=Homo sapiens OX=9606 GN=MCM4 PE=1 SV=1;tr|A0A3B3IT92|A0A3B3IT92_HUMAN DNA helicase OS=Homo sapiens OX=9606 G,26,26,39,863
NUP98,-0.0521271449,0.722459223915983,0,P52948;A0A3B3ITD8;H0YDA1;H7C3P6,P52948;A0A3B3ITD8;H0YDA1;H7C3P6,2;2;1;1,2;2;1;1,2;2;1;1,Nuclear pore complex protein Nup98-Nup96;Nuclear pore complex protein Nup98;Nuclear pore complex protein Nup96,NUP98,sp|P52948|NUP98_HUMAN Nuclear pore complex protein Nup98-Nup96 OS=Homo sapiens OX=9606 GN=NUP98 PE=1 SV=4;tr|A0A3B3ITD8|A0A3B3ITD8_HUMAN Nuclear pore complex protein Nup98-Nup96 OS=Homo sapiens OX=9606 GN=NUP98 PE=1 SV=1;tr|H0YDA1|H0YDA1_HUMAN Nuclear pore,2,2,1.2,1817
HNRNPL,-0.1139602121,0.232774286227277,0,P14866;M0QXS5;A0A3B3ITJ4;B4DVF8;M0R1W6,P14866;M0QXS5;A0A3B3ITJ4,17;17;17;1;1,17;17;17;1;1,7;7;7;1;1,Heterogeneous nuclear ribonucleoprotein L,HNRNPL,sp|P14866|HNRPL_HUMAN Heterogeneous nuclear ribonucleoprotein L OS=Homo sapiens OX=9606 GN=HNRNPL PE=1 SV=2;tr|M0QXS5|M0QXS5_HUMAN Heterogeneous nuclear ribonucleoprotein L (Fragment) OS=Homo sapiens OX=9606 GN=HNRNPL PE=1 SV=1;tr|A0A3B3ITJ4|A0A3B3ITJ4_HUM,17,7,32.9,589
RPL29,-0.2086188523,0.207975498839883,0,P47914;A0A3B3ITT5,P47914;A0A3B3ITT5,4;4,4;4,4;4,60S ribosomal protein L29,RPL29,sp|P47914|RL29_HUMAN 60S ribosomal protein L29 OS=Homo sapiens OX=9606 GN=RPL29 PE=1 SV=2;tr|A0A3B3ITT5|A0A3B3ITT5_HUMAN 60S ribosomal protein L29 OS=Homo sapiens OX=9606 GN=RPL29 PE=1 SV=1,4,4,25.8,159
THRAP3,-0.3989940555,0.0108474785857587,0,Q9Y2W1;A0A3B3ITZ9,Q9Y2W1;A0A3B3ITZ9,11;11,11;11,11;11,Thyroid hormone receptor-associated protein 3,THRAP3,sp|Q9Y2W1|TR150_HUMAN Thyroid hormone receptor-associated protein 3 OS=Homo sapiens OX=9606 GN=THRAP3 PE=1 SV=2;tr|A0A3B3ITZ9|A0A3B3ITZ9_HUMAN Thyroid hormone receptor-associated protein 3 OS=Homo sapiens OX=9606 GN=THRAP3 PE=1 SV=1,11,11,15.7,955
AMDHD2,-1.9451871141,1.66246068418277e-05,1,Q9Y303;A0A3B3IU33;H3BSD5;H3BTZ6;H3BSV9;H3BQ15;H3BT49;H3BTE3,Q9Y303;A0A3B3IU33;H3BSD5;H3BTZ6;H3BSV9,6;6;3;3;3;2;2;1,6;6;3;3;3;2;2;1,6;6;3;3;3;2;2;1,Putative N-acetylglucosamine-6-phosphate deacetylase,AMDHD2,sp|Q9Y303|NAGA_HUMAN N-acetylglucosamine-6-phosphate deacetylase OS=Homo sapiens OX=9606 GN=AMDHD2 PE=1 SV=2;tr|A0A3B3IU33|A0A3B3IU33_HUMAN N-acetylglucosamine-6-phosphate deacetylase OS=Homo sapiens OX=9606 GN=AMDHD2 PE=1 SV=1;tr|H3BSD5|H3BSD5_HUMAN N-ace,6,6,20.5,409
NHP2L1,-0.1232259605,0.507552640522303,0,A0A3B3IUA2;P55769;B1AHD1;A0A3B3IRU2;A0A3B3ISH1;A0A3B3ISK4,A0A3B3IUA2;P55769;B1AHD1;A0A3B3IRU2,8;7;7;4;1;1,8;7;7;4;1;1,8;7;7;4;1;1,"NHP2-like protein 1;NHP2-like protein 1, N-terminally processed",NHP2L1,tr|A0A3B3IUA2|A0A3B3IUA2_HUMAN Ribonucloprotein OS=Homo sapiens OX=9606 GN=SNU13 PE=1 SV=1;sp|P55769|NH2L1_HUMAN NHP2-like protein 1 OS=Homo sapiens OX=9606 GN=SNU13 PE=1 SV=3;tr|B1AHD1|B1AHD1_HUMAN Ribonucloprotein OS=Homo sapiens OX=9606 GN=SNU13 PE=1 SV,8,8,25,272
C11orf98,-0.1285536694,0.212310892594738,0,E9PRG8;E9PLD3;A0A494BXY3,E9PRG8;E9PLD3;A0A494BXY3,2;2;2,2;2;2,2;2;2,Uncharacterized protein C11orf98,C11orf98,sp|E9PRG8|CK098_HUMAN Uncharacterized protein C11orf98 OS=Homo sapiens OX=9606 GN=C11orf98 PE=4 SV=2;tr|E9PLD3|E9PLD3_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 PE=4 SV=1;tr|A0A494BXY3|A0A494BXY3_HUMAN Uncharacterized protein C11orf98 OS=Homo sa,2,2,12.2,123
DEK,-0.283687114,0.033369416516622,0,P35659;H0Y993;A0A494C028;H0Y8X0;A0A494C198;B4DFG0;D6RDA2;D6R9L5,P35659;H0Y993;A0A494C028;H0Y8X0;A0A494C198;B4DFG0;D6RDA2;D6R9L5,6;6;6;5;4;4;3;3,6;6;6;5;4;4;3;3,6;6;6;5;4;4;3;3,Protein DEK,DEK,"sp|P35659|DEK_HUMAN Protein DEK OS=Homo sapiens OX=9606 GN=DEK PE=1 SV=1;tr|H0Y993|H0Y993_HUMAN DEK oncogene (DNA binding), isoform CRA_b OS=Homo sapiens OX=9606 GN=DEK PE=1 SV=2;tr|A0A494C028|A0A494C028_HUMAN Protein DEK OS=Homo sapiens OX=9606 GN=DEK PE=",6,6,17.3,375
SUCLG1,-0.1009758918,0.328012845731702,0,P53597;A0A494C0D1;H7C233,P53597;A0A494C0D1,4;4;1,4;4;1,4;4;1,"Succinyl-CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial",SUCLG1,"sp|P53597|SUCA_HUMAN Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=SUCLG1 PE=1 SV=4;tr|A0A494C0D1|A0A494C0D1_HUMAN Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial OS=Homo sapiens OX=960",4,4,11.6,346
PGM3,-0.222906665,0.215572486985159,0,O95394;A0A494C0G1;H0Y987;D6RCD1;D6RC77;D6RCQ8;D6RF77;A0A494C099;A0A087WT27;J3KN95;A0A494C1E2;H0Y8I3;A0A494C163;A0A494C1Q4,O95394;A0A494C0G1;H0Y987;D6RCD1;D6RC77;D6RCQ8;D6RF77;A0A494C099;A0A087WT27;J3KN95;A0A494C1E2,4;4;4;2;2;2;2;2;2;2;2;1;1;1,4;4;4;2;2;2;2;2;2;2;2;1;1;1,4;4;4;2;2;2;2;2;2;2;2;1;1;1,Phosphoacetylglucosamine mutase,PGM3,sp|O95394|AGM1_HUMAN Phosphoacetylglucosamine mutase OS=Homo sapiens OX=9606 GN=PGM3 PE=1 SV=1;tr|A0A494C0G1|A0A494C0G1_HUMAN Phosphoacetylglucosamine mutase OS=Homo sapiens OX=9606 GN=PGM3 PE=1 SV=1;tr|H0Y987|H0Y987_HUMAN Phosphoacetylglucosamine mutase O,4,4,10.3,542
CLUH,0.2669891644,0.0669381677370298,0,O75153;K7EIG1;I3L2B0;A0A494C0R8;I3L318;I3L4B5,O75153;K7EIG1;I3L2B0;A0A494C0R8,8;8;8;8;2;1,8;8;8;8;2;1,8;8;8;8;2;1,Clustered mitochondria protein homolog,CLUH,sp|O75153|CLU_HUMAN Clustered mitochondria protein homolog OS=Homo sapiens OX=9606 GN=CLUH PE=1 SV=2;tr|K7EIG1|K7EIG1_HUMAN Clustered mitochondria protein homolog (Fragment) OS=Homo sapiens OX=9606 GN=CLUH PE=1 SV=2;tr|I3L2B0|I3L2B0_HUMAN Clustered mitocho,8,8,7.5,1309
NOP56,0.0012057787,0.991981660661544,0,O00567;A0A494C128;H0Y653;H0YDU4;Q5JXT2,O00567;A0A494C128;H0Y653;H0YDU4,12;12;7;7;4,12;12;7;7;4,12;12;7;7;4,Nucleolar protein 56,NOP56,sp|O00567|NOP56_HUMAN Nucleolar protein 56 OS=Homo sapiens OX=9606 GN=NOP56 PE=1 SV=4;tr|A0A494C128|A0A494C128_HUMAN Nucleolar protein 56 OS=Homo sapiens OX=9606 GN=NOP56 PE=1 SV=1;tr|H0Y653|H0Y653_HUMAN Nucleolar protein 56 (Fragment) OS=Homo sapiens OX=9,12,12,21.4,594
LBR,0.3190224269,0.0580399443535771,0,Q14739;C9JXK0;A0A494C1L1,Q14739;C9JXK0;A0A494C1L1,2;2;2,2;2;2,2;2;2,Lamin-B receptor,LBR,sp|Q14739|LBR_HUMAN Delta(14)-sterol reductase LBR OS=Homo sapiens OX=9606 GN=LBR PE=1 SV=2;tr|C9JXK0|C9JXK0_HUMAN Delta(14)-sterol reductase LBR (Fragment) OS=Homo sapiens OX=9606 GN=LBR PE=1 SV=1;tr|A0A494C1L1|A0A494C1L1_HUMAN Delta(14)-sterol reductase ,2,2,3.7,615
FKBP2,-0.6529643761,0.00347345396557454,0,P26885;A0A494C1N0,P26885;A0A494C1N0,2;2,2;2,2;2,Peptidyl-prolyl cis-trans isomerase FKBP2,FKBP2,sp|P26885|FKBP2_HUMAN Peptidyl-prolyl cis-trans isomerase FKBP2 OS=Homo sapiens OX=9606 GN=FKBP2 PE=1 SV=2;tr|A0A494C1N0|A0A494C1N0_HUMAN Peptidylprolyl isomerase OS=Homo sapiens OX=9606 GN=FKBP2 PE=1 SV=1,2,2,9.2,142
SRSF6,0.0159074338,0.861370446553412,0,Q13247;A0A590UJK4;A0A590UK01;A0A590UJP7;A0A590UK80,Q13247;A0A590UJK4;A0A590UK01;A0A590UJP7;A0A590UK80,4;4;4;4;4,4;4;4;4;4,3;3;3;3;3,Serine/arginine-rich splicing factor 6,SRSF6,sp|Q13247|SRSF6_HUMAN Serine/arginine-rich splicing factor 6 OS=Homo sapiens OX=9606 GN=SRSF6 PE=1 SV=2;tr|A0A590UJK4|A0A590UJK4_HUMAN Serine/arginine-rich-splicing factor 6 OS=Homo sapiens OX=9606 GN=SRSF6 PE=1 SV=1;tr|A0A590UK01|A0A590UK01_HUMAN Serine/a,4,3,12.2,344
NNT,-0.3983794535,0.0707615749261752,0,Q13423;A0A590UJM2;A0A590UK29;A0A590UJI3;E9PCX7;D6RAI5;A0A590UK15;D6RHU2;A0A590UJA4;A0A590UKC7,Q13423;A0A590UJM2;A0A590UK29;A0A590UJI3;E9PCX7;D6RAI5;A0A590UK15,7;7;7;5;5;4;4;2;2;2,7;7;7;5;5;4;4;2;2;2,7;7;7;5;5;4;4;2;2;2,"NAD(P) transhydrogenase, mitochondrial",NNT,"sp|Q13423|NNTM_HUMAN NAD(P) transhydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=NNT PE=1 SV=3;tr|A0A590UJM2|A0A590UJM2_HUMAN NAD(P) transhydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=NNT PE=1 SV=1;tr|A0A590UK29|A0A590UK29_HUMAN NAD(P) transh",7,7,9.9,1086
AMPD2,0.7164133817,0.165104769988454,0,Q01433;A0A5F9UK94;H0Y360;A0A590UK85;A0A590UJY6;A0A590UJX5;E9PJF6,Q01433;A0A5F9UK94;H0Y360;A0A590UK85;A0A590UJY6,7;7;7;5;5;2;1,7;7;7;5;5;2;1,7;7;7;5;5;2;1,AMP deaminase 2,AMPD2,sp|Q01433|AMPD2_HUMAN AMP deaminase 2 OS=Homo sapiens OX=9606 GN=AMPD2 PE=1 SV=2;tr|A0A5F9UK94|A0A5F9UK94_HUMAN AMP deaminase OS=Homo sapiens OX=9606 GN=AMPD2 PE=1 SV=1;tr|H0Y360|H0Y360_HUMAN AMP deaminase OS=Homo sapiens OX=9606 GN=AMPD2 PE=1 SV=2;tr|A0A5,7,7,9.6,879
ACAT1,-0.2853583021,0.114679403831407,0,P24752;A0A5F9ZHL1;A0A5F9ZHJ7;A0A5F9ZHJ0;A0A5F9ZHD4;A0A5F9ZI66;A0A5F9ZHH9;A0A5F9ZHL7;E9PRQ6;H0YEL7,P24752;A0A5F9ZHL1;A0A5F9ZHJ7;A0A5F9ZHJ0;A0A5F9ZHD4;A0A5F9ZI66,9;9;8;6;5;5;4;3;3;2,9;9;8;6;5;5;4;3;3;2,9;9;8;6;5;5;4;3;3;2,"Acetyl-CoA acetyltransferase, mitochondrial",ACAT1,"sp|P24752|THIL_HUMAN Acetyl-CoA acetyltransferase, mitochondrial OS=Homo sapiens OX=9606 GN=ACAT1 PE=1 SV=1;tr|A0A5F9ZHL1|A0A5F9ZHL1_HUMAN Acetyl-CoA acetyltransferase, mitochondrial OS=Homo sapiens OX=9606 GN=ACAT1 PE=1 SV=1;tr|A0A5F9ZHJ7|A0A5F9ZHJ7_HUMAN",9,9,28.3,427
CTNND1,-0.8723398308,0.0127130102639932,0,O60716;A0A669KB62;A0A669KB05;C9JZR2;E9PKL1,O60716;A0A669KB62;A0A669KB05;C9JZR2,3;3;3;3;1,3;3;3;3;1,3;3;3;3;1,Catenin delta-1,CTNND1,sp|O60716|CTND1_HUMAN Catenin delta-1 OS=Homo sapiens OX=9606 GN=CTNND1 PE=1 SV=1;tr|A0A669KB62|A0A669KB62_HUMAN Catenin delta-1 OS=Homo sapiens OX=9606 GN=CTNND1 PE=4 SV=1;tr|A0A669KB05|A0A669KB05_HUMAN Catenin delta-1 OS=Homo sapiens OX=9606 GN=CTNND1 PE,3,3,5.9,968
STAT1,-0.2586591021,0.185904056267742,0,P42224;A0A669KBI6;A0A669KB68;A0A669KB56;A0A669KBA4;A0A669KB53;J3KPM9;A0A669KB52;A0A669KB75;E7EPD2;D2KFR9;A0A669KB17;E7ENM1;Q67C41;E9PH66,P42224;A0A669KBI6;A0A669KB68;A0A669KB56;A0A669KBA4;A0A669KB53;J3KPM9;A0A669KB52;A0A669KB75;E7EPD2,12;12;12;12;12;12;11;9;7;6;5;5;4;1;1,12;12;12;12;12;12;11;9;7;6;5;5;4;1;1,12;12;12;12;12;12;11;9;7;6;5;5;4;1;1,Signal transducer and activator of transcription 1-alpha/beta;Signal transducer and activator of transcription,STAT1,sp|P42224|STAT1_HUMAN Signal transducer and activator of transcription 1-alpha/beta OS=Homo sapiens OX=9606 GN=STAT1 PE=1 SV=2;tr|A0A669KBI6|A0A669KBI6_HUMAN Signal transducer and activator of transcription 1-alpha/beta OS=Homo sapiens OX=9606 GN=STAT1 PE=,12,12,19.2,750
USP7,1.558987246,0.176959237411757,0,Q93009;H3BND8;A0A669KBL1;I3L2D8;F5H2X1,Q93009;H3BND8;A0A669KBL1,4;4;4;1;1,4;4;4;1;1,4;4;4;1;1,Ubiquitin carboxyl-terminal hydrolase 7;Ubiquitin carboxyl-terminal hydrolase,USP7,sp|Q93009|UBP7_HUMAN Ubiquitin carboxyl-terminal hydrolase 7 OS=Homo sapiens OX=9606 GN=USP7 PE=1 SV=2;tr|H3BND8|H3BND8_HUMAN Ubiquitin carboxyl-terminal hydrolase (Fragment) OS=Homo sapiens OX=9606 GN=USP7 PE=1 SV=1;tr|A0A669KBL1|A0A669KBL1_HUMAN Ubiquiti,4,4,5.1,1102
UBA6,0.2291897272,0.263443355184933,0,A0AVT1;H0Y8S8,A0AVT1,5;1,5;1,5;1,Ubiquitin-like modifier-activating enzyme 6,UBA6,sp|A0AVT1|UBA6_HUMAN Ubiquitin-like modifier-activating enzyme 6 OS=Homo sapiens OX=9606 GN=UBA6 PE=1 SV=1,5,5,7.4,1052
ACO2,-0.206529224,0.120143735342375,0,Q99798;A2A274,Q99798;A2A274,15;15,15;15,15;15,"Aconitate hydratase, mitochondrial",ACO2,"sp|Q99798|ACON_HUMAN Aconitate hydratase, mitochondrial OS=Homo sapiens OX=9606 GN=ACO2 PE=1 SV=2;tr|A2A274|A2A274_HUMAN Aconitate hydratase, mitochondrial OS=Homo sapiens OX=9606 GN=ACO2 PE=1 SV=1",15,15,28.2,780
PGP,-0.2885524218,0.322306814847275,0,A6NDG6,A6NDG6,3,3,3,Phosphoglycolate phosphatase,PGP,sp|A6NDG6|PGP_HUMAN Glycerol-3-phosphate phosphatase OS=Homo sapiens OX=9606 GN=PGP PE=1 SV=1,3,3,12.5,321
HCFC1,-0.487260258,0.00707316448615004,0,P51610;A6NEM2;H7C1C4,P51610;A6NEM2,11;11;2,11;11;2,11;11;2,Host cell factor 1;HCF N-terminal chain 1;HCF N-terminal chain 2;HCF N-terminal chain 3;HCF N-terminal chain 4;HCF N-terminal chain 5;HCF N-terminal chain 6;HCF C-terminal chain 1;HCF C-terminal chain 2;HCF C-terminal chain 3;HCF C-terminal chain 4;HCF C-terminal chain 5;HCF C-terminal chain 6,HCFC1,sp|P51610|HCFC1_HUMAN Host cell factor 1 OS=Homo sapiens OX=9606 GN=HCFC1 PE=1 SV=2;tr|A6NEM2|A6NEM2_HUMAN Host cell factor 1 OS=Homo sapiens OX=9606 GN=HCFC1 PE=1 SV=2,11,11,8.2,2035
NUDT5,0.1037709218,0.358671939390494,0,Q9UKK9;A6NFX8;A6NJU6,Q9UKK9;A6NFX8;A6NJU6,4;4;2,4;4;2,2;2;0,ADP-sugar pyrophosphatase,NUDT5,sp|Q9UKK9|NUDT5_HUMAN ADP-sugar pyrophosphatase OS=Homo sapiens OX=9606 GN=NUDT5 PE=1 SV=1;tr|A6NFX8|A6NFX8_HUMAN ADP-sugar pyrophosphatase OS=Homo sapiens OX=9606 GN=NUDT5 PE=1 SV=1;tr|A6NJU6|A6NJU6_HUMAN ADP-sugar pyrophosphatase OS=Homo sapiens OX=9606 ,4,2,22.4,219
UNC119;UNC119B,-0.6770684025,0.012298115723133,0,Q13432;A6NIH7;K7EJU3;K7EN86;C9JSK0,Q13432;A6NIH7;K7EJU3;K7EN86;C9JSK0,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1,Protein unc-119 homolog A;Protein unc-119 homolog B,UNC119;UNC119B,sp|Q13432|U119A_HUMAN Protein unc-119 homolog A OS=Homo sapiens OX=9606 GN=UNC119 PE=1 SV=1;sp|A6NIH7|U119B_HUMAN Protein unc-119 homolog B OS=Homo sapiens OX=9606 GN=UNC119B PE=1 SV=1;tr|K7EJU3|K7EJU3_HUMAN Protein unc-119 homolog A OS=Homo sapiens OX=960,1,1,3.8,240
USP14,0.1794495334,0.27289223527232,0,P54578;A6NJA2;J3QQT6;J3KS55,P54578;A6NJA2,12;12;1;1,12;12;1;1,12;12;1;1,Ubiquitin carboxyl-terminal hydrolase 14;Ubiquitin carboxyl-terminal hydrolase,USP14,sp|P54578|UBP14_HUMAN Ubiquitin carboxyl-terminal hydrolase 14 OS=Homo sapiens OX=9606 GN=USP14 PE=1 SV=3;tr|A6NJA2|A6NJA2_HUMAN Ubiquitin carboxyl-terminal hydrolase OS=Homo sapiens OX=9606 GN=USP14 PE=1 SV=2,12,12,28.1,494
RNPEP,-0.6795501346,0.0614750315170558,0,Q9H4A4;A6NKB8;A0A087WUS4;A0A087WU27;C9JMZ3,Q9H4A4;A6NKB8;A0A087WUS4;A0A087WU27,5;5;4;4;2,5;5;4;4;2,5;5;4;4;2,Aminopeptidase B,RNPEP,sp|Q9H4A4|AMPB_HUMAN Aminopeptidase B OS=Homo sapiens OX=9606 GN=RNPEP PE=1 SV=2;tr|A6NKB8|A6NKB8_HUMAN Aminopeptidase B OS=Homo sapiens OX=9606 GN=RNPEP PE=1 SV=1;tr|A0A087WUS4|A0A087WUS4_HUMAN Aminopeptidase B (Fragment) OS=Homo sapiens OX=9606 GN=RNPEP ,5,5,10.9,650
ENSA;ARPP19,-0.2582466149,0.0564715501659891,0,O43768;P56211;H3BQ52;H3BTD3;H3BMD8;A6NMQ3;Q5T5H1,O43768;P56211;H3BQ52;H3BTD3;H3BMD8;A6NMQ3;Q5T5H1,1;1;1;1;1;1;1,1;1;1;1;1;1;1,1;1;1;1;1;1;1,Alpha-endosulfine;cAMP-regulated phosphoprotein 19,ENSA;ARPP19,sp|O43768|ENSA_HUMAN Alpha-endosulfine OS=Homo sapiens OX=9606 GN=ENSA PE=1 SV=1;sp|P56211|ARP19_HUMAN cAMP-regulated phosphoprotein 19 OS=Homo sapiens OX=9606 GN=ARPP19 PE=1 SV=2;tr|H3BQ52|H3BQ52_HUMAN cAMP-regulated phosphoprotein 19 OS=Homo sapiens OX=9,1,1,9.1,121
