Gene_names,PAFAH1B1_vs_BirA_logFC,PAFAH1B1_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_PAFAH1B1_N1,Peptides_PAFAHB_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_PAFAH1B1_N1,Razor___unique_peptides_PAFAHB_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_PAFAH1B1_N1,Unique_peptides_PAFAHB_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_PAFAH1B1_N1,Identification_type_PAFAHB_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_PAFAH1B1_N1,Ratio_H_L_PAFAHB_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_PAFAH1B1_N1,Ratio_H_L_normalized_PAFAHB_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____PAFAH1B1_N1,Ratio_H_L_variability_____PAFAHB_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_PAFAH1B1_N1,Ratio_H_L_count_PAFAHB_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_PAFAH1B1_N1,Ratio_H_L_iso_count_PAFAHB_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_PAFAH1B1_N1,Ratio_H_L_type_PAFAHB_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_PAFAH1B1_N1____,Sequence_coverage_PAFAHB_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_PAFAH1B1_N1,Intensity_L_PAFAH1B1_N1,Intensity_H_PAFAH1B1_N1,Intensity_PAFAHB_N2,Intensity_L_PAFAHB_N2,Intensity_H_PAFAHB_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_PAFAH1B1_N1,metacell_Intensity_L_PAFAHB_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
RPS9,1.00439573728699,0.0158222922282657,P46781;B5MCT8;C9JM19;F2Z3C0;A8MXK4,P46781;B5MCT8;C9JM19,27;21;21;7;7,27;21;21;7;7,27;21;21;7;7,40S ribosomal protein S9,sp|P46781|RS9_HUMAN 40S ribosomal protein S9 OS=Homo sapiens OX=9606 GN=RPS9 PE=1 SV=3;tr|B5MCT8|B5MCT8_HUMAN 40S ribosomal protein S9 OS=Homo sapiens OX=9606 GN=RPS9 PE=1 SV=1;tr|C9JM19|C9JM19_HUMAN 40S ribosomal protein S9 OS=Homo sapiens OX=9606 GN=RPS9,5,27,27,27,16,17,20,22,16,17,20,22,16,17,20,22,61.3,61.3,61.3,22.591,194,194;139;156;77;79,0.0,112.56,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.29112,0.82381,20.976,114,38,Leave out requantified,0.22275,0.23958,0.32106,0.33077,0.74503,0.66936,0.83101,0.89953,31.676,46.015,18.832,17.979,19,19,35,41,5,6,11,16,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,44.8,44.8,52.1,55.2,31291000000,22718000000,8573600000,1436600000,1140400000,296270000,1274900000,951390000,323470000,14284000000,10374000000,3910000000,14296000000,10252000000,4043800000,,,,2114,4874;4875;6618;8948;8949;9623;9624;12302;13060;13086;13087;13249;13250;13558;13868;15308;15309;16904;19595;19897;19898;19936;19937;21727;24799;24800;25672,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,5438;5439;5440;5441;7354;10062;10063;10843;10844;14059;14060;14061;14981;14982;14983;15009;15010;15184;15185;15186;15520;15521;15856;17477;17478;17479;19258;19259;19260;19261;22234;22235;22566;22567;22606;22607;22608;24586;24587;28021;28022;28023;29035,13590;13591;13592;13593;13594;13595;13596;13597;13598;13599;13600;18094;18095;25047;25048;25049;25050;25051;26999;27000;27001;27002;34964;34965;34966;34967;34968;34969;34970;34971;34972;34973;34974;34975;37373;37374;37375;37376;37377;37378;37379;37433;37434;37435;37436;37437;37438;37816;37817;37818;37819;37820;37821;37822;37823;37824;37825;37826;38656;38657;39510;39511;39512;43472;43473;43474;43475;43476;43477;43478;47850;47851;47852;47853;47854;47855;47856;55019;55020;55021;55022;55023;55024;55025;55833;55834;55835;55836;55837;55838;55839;55840;55841;55842;55843;55920;55921;55922;55923;55924;55925;55926;60910;60911;60912;60913;60914;60915;69802;69803;69804;69805;69806;69807;72265;72266,26099;26100;26101;26102;26103;26104;26105;26106;26107;26108;26109;26110;26111;26112;26113;26114;34485;34486;34487;48013;48014;48015;48016;48017;48018;48019;48020;48021;48022;48023;51840;51841;51842;51843;51844;51845;51846;51847;66826;66827;66828;66829;66830;66831;66832;66833;66834;66835;66836;66837;66838;66839;66840;66841;66842;66843;66844;66845;66846;66847;66848;66849;66850;66851;66852;66853;66854;66855;66856;66857;71305;71306;71307;71308;71309;71310;71311;71312;71313;71314;71315;71403;71404;71405;71406;71407;71408;72042;72043;72044;72045;72046;72047;72048;72049;72050;72051;72052;72053;72054;72055;72056;72057;72058;72059;72060;72061;72062;73708;73709;73710;73711;75307;75308;75309;75310;75311;75312;75313;75314;75315;75316;75317;75318;82663;82664;82665;82666;82667;82668;82669;82670;82671;82672;82673;82674;82675;82676;90875;90876;90877;90878;90879;90880;90881;90882;90883;90884;104109;104110;104111;104112;104113;104114;104115;104116;104117;104118;104119;104120;105694;105695;105696;105697;105698;105699;105700;105701;105702;105703;105704;105705;105844;105845;105846;105847;105848;105849;105850;105851;115301;115302;115303;115304;115305;115306;115307;115308;115309;115310;133341;133342;133343;133344;133345;133346;138246;138247,26104;26114;34485;48014;48021;51840;51844;66856;71306;71406;71408;72055;72058;73711;75313;82664;82676;90879;104112;105698;105700;105844;105850;115306;133341;133343;138246,2005;2006;2007;2008;2009;2010;2011;2012;2013,461,30;47;52;66;93;116;121;139;155,92,-1;-1;-1;-1;-1,protein_2115,quanti,quanti,quanti,quanti
RPS10;RPS10-NUDT3,1.64311525144553,0.000971121488995657,P46783;A0A2R8Y6L3;F6U211;A0A2R8Y7H1;A0A2R8YFH6;A0A1W2PQS6;S4R435;Q9NQ39,P46783;A0A2R8Y6L3;F6U211;A0A2R8Y7H1;A0A2R8YFH6;A0A1W2PQS6;S4R435,12;9;9;9;9;9;7;4,12;9;9;9;9;9;7;4,12;9;9;9;9;9;7;4,40S ribosomal protein S10,sp|P46783|RS10_HUMAN 40S ribosomal protein S10 OS=Homo sapiens OX=9606 GN=RPS10 PE=1 SV=1;tr|A0A2R8Y6L3|A0A2R8Y6L3_HUMAN RPS10-NUDT3 readthrough (Fragment) OS=Homo sapiens OX=9606 GN=RPS10-NUDT3 PE=4 SV=1;tr|F6U211|F6U211_HUMAN 40S ribosomal protein S10 OS,8,12,12,12,6,4,10,10,6,4,10,10,6,4,10,10,60.0,60.0,60.0,18.898,165,165;121;172;186;213;291;198;176,0.0,172.21,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.33279,0.874,13.845,50,12,Leave out requantified,0.25058,0.26795,0.34406,0.3418,0.82426,0.76194,0.87904,0.8558,21.482,14.325,16.458,11.405,8,5,20,17,4,1,4,3,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,31.5,30.3,53.3,53.3,14398000000,10494000000,3903900000,391630000,298280000,93349000,439260000,336640000,102620000,7688400000,5593400000,2095000000,5878700000,4265800000,1612900000,,,,2115,510;4145;4146;8773;8872;9116;9398;9399;11542;18565;20331;21723,True;True;True;True;True;True;True;True;True;True;True;True,558;4641;4642;9861;9862;9970;9971;10268;10605;10606;10607;13021;21103;23037;24579,1414;1415;11748;11749;11750;11751;11752;11753;11754;11755;24528;24529;24530;24531;24532;24533;24534;24535;24536;24537;24796;24797;24798;24799;24800;24801;25591;25592;26428;26429;26430;26431;26432;26433;26434;26435;26436;26437;26438;26439;32488;32489;32490;32491;32492;32493;52452;52453;52454;56953;56954;60887;60888,2704;2705;2706;2707;22754;22755;22756;22757;22758;22759;22760;22761;22762;22763;22764;22765;22766;22767;22768;22769;22770;22771;22772;22773;22774;22775;22776;22777;22778;22779;22780;22781;22782;22783;22784;22785;22786;47001;47002;47003;47004;47005;47006;47007;47008;47009;47010;47011;47012;47013;47014;47015;47016;47017;47018;47019;47020;47021;47022;47023;47024;47470;47471;47472;47473;47474;47475;47476;47477;47478;47479;47480;47481;47482;47483;47484;47485;47486;47487;49188;49189;49190;49191;49192;50767;50768;50769;50770;50771;50772;50773;50774;50775;50776;50777;50778;50779;50780;50781;50782;50783;50784;50785;50786;50787;62420;62421;62422;62423;62424;62425;62426;62427;62428;99522;99523;99524;107773;107774;107775;107776;107777;107778;107779;107780;107781;107782;107783;107784;107785;115261;115262;115263,2705;22759;22783;47014;47484;49189;50770;50782;62421;99522;107774;115261,2014;2015,,17;59,,-1;-1;-1;-1;-1;-1;-1;-1,protein_2116,quanti,quanti,quanti,quanti
YAP1,0.858699756616634,0.00922292526938342,P46937,P46937,2,2,2,Transcriptional coactivator YAP1,sp|P46937|YAP1_HUMAN Transcriptional coactivator YAP1 OS=Homo sapiens OX=9606 GN=YAP1 PE=1 SV=2,1,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,9.5,9.5,9.5,54.461,504,504,0.0040741,1.8335,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.67158,1.69,11.859,6,1,Leave out requantified,0.59883,0.83613,0.69586,0.66782,1.8647,2.0879,1.7056,1.6283,,,21.086,6.5975,1,1,2,2,0,1,0,0,Median,Median,Median,Median,2.2,2.2,9.5,9.5,610040000,362140000,247910000,30372000,17943000,12429000,31886000,18381000,13505000,293770000,173980000,119800000,254010000,151840000,102180000,,,,2117,1035;22338,True;True,1143;25252,2953;2954;62645;62646;62647;62648;62649,5729;5730;5731;118651;118652;118653;118654,5729;118651,,,,,-1,protein_2118,quanti,quanti,quanti,quanti
IQGAP1,0.842761046332022,0.0133987227225147,P46940;H0YLE8;A0A0J9YXZ5;A0A087WWP1;Q86VI3;E9PDT6;E7EWC2;F2Z2E2,P46940;H0YLE8;A0A0J9YXZ5,31;21;20;2;1;1;1;1,31;21;20;2;1;1;1;1,30;20;19;2;0;0;0;0,Ras GTPase-activating-like protein IQGAP1,sp|P46940|IQGA1_HUMAN Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens OX=9606 GN=IQGAP1 PE=1 SV=1;tr|H0YLE8|H0YLE8_HUMAN Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens OX=9606 GN=IQGAP1 PE=1 SV=1;tr|A0A0J9YXZ5|A0A0J9YXZ5_HUMAN Ras GTPa,8,31,31,30,7,9,25,24,7,9,25,24,6,9,24,23,26.9,26.9,26.3,189.25,1657,1657;1085;1191;107;1631;509;1402;1588,0.0,97.571,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.42496,1.0293,24.368,65,15,Leave out requantified,0.35653,0.42726,0.40609,0.41592,1.0824,1.0773,0.98779,1.0528,19.474,15.205,29.259,19.34,7,9,25,24,1,1,6,7,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,4.3,6.7,20.4,21.5,5542000000,3677100000,1864900000,228890000,164260000,64621000,321990000,211590000,110400000,2551000000,1688700000,862290000,2440100000,1612500000,827550000,,,,2118,1702;2509;2839;4395;4698;5126;6250;6414;8569;9215;9804;10060;10242;11192;12579;13134;13612;13856;14004;15278;15712;16687;17230;17916;17946;18522;20216;23021;26920;27081;27313,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,1927;2835;3209;4914;5247;5704;6956;7136;9612;10391;11035;11320;11561;12633;14438;15059;15576;15841;16012;17445;17913;19006;19633;20390;20432;21055;22902;26023;30422;30597;30866,4997;7381;7382;7383;8353;8354;12399;12400;13153;13154;14153;14154;17142;17557;17558;17559;23871;23872;25917;25918;27447;27448;27449;28202;28203;28888;28889;28890;31535;31536;35917;35918;37544;37545;38788;38789;38790;38791;38792;39479;39480;39481;39890;39891;39892;39893;43398;43399;43400;43401;44548;47256;48744;48745;50624;50625;50626;50627;50727;50728;52323;56614;64663;64664;75697;76141;76779,9641;14391;14392;14393;16387;16388;16389;16390;16391;16392;23934;23935;23936;25332;25333;27010;27011;32664;32665;33477;33478;33479;45718;45719;49817;49818;52653;52654;52655;52656;54153;54154;54155;54156;54157;55578;55579;55580;55581;55582;55583;60497;68515;68516;68517;71571;71572;71573;71574;71575;71576;71577;73952;73953;73954;73955;73956;75254;75255;75256;75257;76126;76127;76128;76129;76130;82545;82546;82547;82548;82549;82550;82551;84627;89768;92446;96035;96036;96037;96038;96039;96040;96041;96042;96043;96229;96230;99276;107112;122948;122949;122950;122951;144825;145640;146807,9641;14393;16391;23934;25333;27011;32664;33478;45718;49817;52653;54153;55580;60497;68517;71575;73954;75257;76126;82549;84627;89768;92446;96039;96230;99276;107112;122948;144825;145640;146807,,,,,-1;-1;-1;-1;-1;-1;-1;-1,protein_2119,quanti,quanti,quanti,quanti
STT3A,1.413558271576,0.0017671901250864,P46977;A0A0C4DH80;E9PN73;E9PI32,P46977,8;3;3;3,7;2;2;2,7;2;2;2,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A,sp|P46977|STT3A_HUMAN Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A OS=Homo sapiens OX=9606 GN=STT3A PE=1 SV=2,4,8,7,7,2,2,7,6,2,2,6,5,2,2,6,5,10.4,9.4,9.4,80.529,705,705;102;117;119,0.0,8.517,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.52017,1.1533,17.202,17,2,Leave out requantified,0.41792,0.54001,0.51659,0.5365,1.3104,1.3611,1.0933,1.3062,16.451,23.521,17.85,11.036,2,2,7,6,0,0,1,1,Median,Median,Leave out requantified,Leave out requantified,2.0,2.0,10.4,7.0,1879900000,1219000000,660930000,63725000,41039000,22686000,72449000,45201000,27247000,877040000,577260000,299780000,866690000,555460000,311220000,,,,2119,2939;4341;4840;5890;6043;6818;10044;10045,False;True;True;True;True;True;True;True,3323;4855;5403;6541;6722;7574;11300;11301,8641;8642;12260;12261;13512;16173;16174;16175;16176;16593;16594;18642;18643;28150;28151;28152;28153;28154;28155,16912;16913;16914;16915;16916;16917;16918;23635;23636;23637;23638;23639;23640;23641;25944;30887;30888;31644;31645;31646;31647;31648;35712;35713;54047;54048;54049;54050;54051,16914;23640;25944;30887;31646;35712;54049;54051,,,,,-1;-1;-1;-1,protein_2120,quanti,quanti,quanti,quanti
CAPZA2,-0.523968680516251,0.0759848999335099,P47755;C9JUG7;F8W9N7;A0A0D9SET8,P47755;C9JUG7;F8W9N7,5;3;3;2,3;2;2;1,3;2;2;1,F-actin-capping protein subunit alpha-2,sp|P47755|CAZA2_HUMAN F-actin-capping protein subunit alpha-2 OS=Homo sapiens OX=9606 GN=CAPZA2 PE=1 SV=3;tr|C9JUG7|C9JUG7_HUMAN F-actin-capping protein subunit alpha OS=Homo sapiens OX=9606 GN=CAPZA2 PE=1 SV=1;tr|F8W9N7|F8W9N7_HUMAN F-actin-capping protei,4,5,3,3,3,4,3,3,1,2,2,2,1,2,2,2,24.1,16.4,16.4,32.949,286,286;146;174;174,0.0,8.1226,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.33617,0.90957,31.461,6,2,Leave out requantified,0.25857,0.43706,0.3182,0.33153,0.8885,1.2237,0.74541,0.76581,,,37.418,24.33,1,1,2,2,0,0,1,1,Median,Median,Median,Median,12.6,18.9,15.0,15.0,450590000,316810000,133780000,40179000,29450000,10730000,64251000,42689000,21562000,192200000,134740000,57461000,153950000,109920000,44029000,,,,2121,448;5925;6617;14494;22857,True;True;True;False;False,490;6579;7353;16587;16588;25829,1252;1253;16261;16262;16263;18092;18093;41364;41365;41366;41367;41368;41369;41370;41371;64180;64181,2390;2391;2392;2393;31060;31061;31062;34481;34482;34483;34484;78844;78845;78846;78847;78848;78849;78850;78851;78852;78853;78854;78855;78856;78857;78858;121920;121921;121922;121923;121924;121925,2393;31061;34482;78856;121925,,,,,-1;-1;-1;-1,protein_2122,quanti,quanti,quanti,quanti
CAPZB,-0.979747759433135,0.0196167700597929,P47756;B1AK87;B1AK88;B1AK85,P47756;B1AK87;B1AK88;B1AK85,11;10;10;8,11;10;10;8,11;10;10;8,F-actin-capping protein subunit beta,sp|P47756|CAPZB_HUMAN F-actin-capping protein subunit beta OS=Homo sapiens OX=9606 GN=CAPZB PE=1 SV=4;tr|B1AK87|B1AK87_HUMAN F-actin-capping protein subunit beta OS=Homo sapiens OX=9606 GN=CAPZB PE=1 SV=1;tr|B1AK88|B1AK88_HUMAN F-actin-capping protein subu,4,11,11,11,7,6,7,5,7,6,7,5,7,6,7,5,52.7,52.7,52.7,31.35,277,277;260;301;260,0.0,70.979,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.37564,1.0518,22.645,29,8,Leave out requantified,0.30974,0.37564,0.44163,0.40274,1.0727,1.0518,1.0747,1.0777,23.815,20.755,26.051,13.242,8,7,9,5,2,1,4,1,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,32.5,29.2,33.6,25.3,4836900000,3222500000,1614400000,559510000,415420000,144080000,655630000,484890000,170730000,2380600000,1455400000,925210000,1241100000,866790000,374360000,,,,2122,4150;7023;12029;15853;15938;19301;20426;20742;21607;21945;21946,True;True;True;True;True;True;True;True;True;True;True,4647;7810;13696;18073;18166;21913;23140;23485;24452;24823;24824,11768;19234;19235;34116;34117;44972;44973;45186;45187;45188;45189;45190;54297;54298;57210;57211;57212;57213;58071;58072;58073;58074;60561;60562;60563;60564;61525;61526;61527;61528;61529,22809;36827;36828;36829;36830;36831;36832;65329;65330;85453;85454;85455;85456;85815;85816;85817;85818;85819;85820;85821;85822;102842;102843;102844;102845;102846;102847;102848;102849;108270;108271;108272;108273;108274;108275;108276;108277;108278;108279;108280;108281;108282;109873;109874;109875;109876;109877;109878;109879;109880;109881;114652;114653;114654;114655;114656;114657;116503;116504;116505;116506;116507;116508;116509;116510;116511;116512;116513;116514;116515;116516,22809;36832;65329;85455;85819;102846;108276;109879;114654;116515;116516,,,,,-1;-1;-1;-1,protein_2123,quanti,quanti,quanti,quanti
EIF1AX;EIF1AY,1.86736561424805,0.0013805697723714,P47813;X6RAC9;O14602;A6NJH9,P47813;X6RAC9;O14602,7;6;5;2,7;6;5;2,7;6;5;2,"Eukaryotic translation initiation factor 1A, X-chromosomal;Eukaryotic translation initiation factor 1A, Y-chromosomal","sp|P47813|IF1AX_HUMAN Eukaryotic translation initiation factor 1A, X-chromosomal OS=Homo sapiens OX=9606 GN=EIF1AX PE=1 SV=2;tr|X6RAC9|X6RAC9_HUMAN Eukaryotic translation initiation factor 1A, X-chromosomal OS=Homo sapiens OX=9606 GN=EIF1AX PE=1 SV=1;sp|O1",4,7,7,7,1,1,6,4,1,1,6,4,1,1,6,4,49.3,49.3,49.3,16.46,144,144;116;144;127,0.0,20.005,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.40952,1.1304,33.833,15,8,Leave out requantified,0.32329,0.39,0.44203,0.49711,1.1206,1.024,1.0914,1.2804,,,38.919,25.179,1,1,8,5,0,0,4,4,Median,Median,Leave out requantified,Median,11.8,11.8,45.1,27.1,1973200000,1308200000,664950000,42040000,33193000,8847400,43615000,34185000,9430100,1152100000,750690000,401410000,735400000,490140000,245260000,,,,2123,2963;4153;4961;11980;13105;16961;26244,True;True;True;True;True;True;True,3349;4650;5530;13631;15028;19329;29686,8695;8696;11775;11776;13797;33933;33934;37478;37479;37480;37481;48014;48015;73914;73915,17001;17002;22825;22826;26427;26428;65011;65012;65013;65014;71459;71460;71461;71462;71463;91165;91166;91167;141492;141493;141494;141495;141496;141497,17002;22826;26428;65011;71461;91165;141492,,,,,-1;-1;-1;-1,protein_2124,quanti,quanti,quanti,quanti
QARS,1.06937773040232,0.0047495463551121,P47897;A0A1B0GVU9;B4DDN1;A0A0U1RQT0;C9J165;H7C0R3;A0A0U1RQM8;A0A0U1RRI9;A0A0U1RQQ5;A0A0U1RQE9;A0A0U1RQU2;A0A1B0GTT3;A0A0U1RQX5;A0A0U1RR66;A0A0U1RRC8;F2Z2V6;A0A0U1RQX9;A0A0U1RR79;A0A0U1RQJ6;A0A0U1RRJ7,P47897;A0A1B0GVU9;B4DDN1,31;27;22;11;11;11;9;8;8;8;8;8;5;4;4;3;3;1;1;1,31;27;22;11;11;11;9;8;8;8;8;8;5;4;4;3;3;1;1;1,24;21;21;4;5;11;3;1;8;1;2;8;5;3;4;2;3;1;0;0,Glutamine--tRNA ligase,sp|P47897|SYQ_HUMAN Glutamine--tRNA ligase OS=Homo sapiens OX=9606 GN=QARS1 PE=1 SV=1;tr|A0A1B0GVU9|A0A1B0GVU9_HUMAN Glutamine--tRNA ligase (Fragment) OS=Homo sapiens OX=9606 GN=QARS1 PE=1 SV=1;tr|B4DDN1|B4DDN1_HUMAN Glutamine--tRNA ligase OS=Homo sapiens ,20,31,31,24,12,14,26,25,12,14,26,25,11,13,19,18,43.7,43.7,35.0,87.798,775,775;736;630;342;339;253;173;182;194;187;174;169;134;173;91;100;83;75;96;68,0.0,160.77,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.41528,1.0328,15.175,79,28,Leave out requantified,0.32599,0.43407,0.44275,0.41934,0.91522,1.0677,1.0681,1.0248,21.277,23.463,11.142,23.418,13,14,26,26,4,5,9,10,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,17.7,18.5,39.7,40.3,11775000000,8407800000,3367300000,455450000,328070000,127380000,630140000,415320000,214820000,5710700000,4097400000,1613200000,4978900000,3567000000,1411800000,,,,2124,683;1176;1835;1946;2517;3916;3917;4178;4179;6490;7214;9172;9229;10455;11905;12916;13379;13713;13714;14917;15496;16053;16837;16910;19943;20804;21081;23216;24544;24684;26980,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,747;1307;2079;2201;2843;4394;4395;4677;4678;7218;8050;10341;10408;11806;13526;14816;15324;15680;15681;17055;17674;18300;19172;19268;22614;23555;23879;26238;27703;27871;30484,1877;1878;1879;1880;1881;3382;3383;3384;3385;5425;5426;5427;5428;5773;5774;7403;7404;11200;11201;11202;11203;11204;11831;11832;11833;17762;17763;19896;19897;25788;25789;25964;25965;29532;29533;33701;33702;33703;36919;36920;36921;36922;36923;38155;38156;39039;39040;39041;39042;39043;42504;43958;43959;43960;45519;45520;45521;47646;47647;47648;47875;47876;55940;55941;58263;58264;59114;59115;65198;65199;68952;68953;69410;69411;69412;69413;69414;69415;75840;75841;75842;75843;75844;75845,3566;3567;3568;3569;3570;3571;3572;3573;3574;3575;6633;6634;6635;6636;6637;6638;6639;6640;6641;6642;6643;6644;10587;10588;10589;10590;11396;11397;14418;14419;14420;14421;14422;14423;21748;21749;21750;21751;21752;21753;22912;22913;22914;22915;22916;22917;22918;22919;33852;33853;38174;38175;49537;49538;49539;49900;49901;49902;49903;49904;49905;49906;56820;56821;64594;64595;64596;64597;70406;70407;70408;70409;70410;70411;70412;70413;70414;70415;70416;70417;70418;70419;70420;72678;72679;74380;74381;74382;74383;74384;74385;74386;74387;74388;74389;80881;83513;83514;83515;83516;86455;86456;86457;90502;90503;90504;90505;90916;105883;110273;110274;111876;111877;124072;124073;131573;131574;131575;132526;132527;132528;132529;132530;132531;132532;132533;132534;132535;132536;132537;132538;145069;145070;145071;145072;145073;145074;145075;145076;145077;145078;145079,3575;6636;10588;11396;14420;21751;21753;22912;22916;33852;38175;49537;49903;56820;64595;70413;72678;74381;74388;80881;83513;86457;90502;90916;105883;110273;111876;124073;131573;132534;145074,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_2125,quanti,quanti,quanti,quanti
UQCRFS1;UQCRFS1P1,1.36829884119936,0.00365856353759219,P47985;P0C7P4,P47985;P0C7P4,5;4,5;4,5;4,"Cytochrome b-c1 complex subunit Rieske, mitochondrial;Cytochrome b-c1 complex subunit 11;Putative cytochrome b-c1 complex subunit Rieske-like protein 1","sp|P47985|UCRI_HUMAN Cytochrome b-c1 complex subunit Rieske, mitochondrial OS=Homo sapiens OX=9606 GN=UQCRFS1 PE=1 SV=2;sp|P0C7P4|UCRIL_HUMAN Putative cytochrome b-c1 complex subunit Rieske-like protein 1 OS=Homo sapiens OX=9606 GN=UQCRFS1P1 PE=5 SV=1",2,5,5,5,2,3,4,3,2,3,4,3,2,3,4,3,34.3,34.3,34.3,29.668,274,274;283,0.0,31.432,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.33248,0.81874,39.133,17,5,Leave out requantified,0.20925,0.35935,0.35252,0.31357,0.60999,0.89332,0.78418,0.83568,29.294,44.352,35.729,45.899,2,3,7,5,1,0,3,1,Median,Leave out requantified,Leave out requantified,Leave out requantified,12.4,16.8,29.9,25.2,2060700000,1605800000,454850000,58699000,48395000,10304000,91585000,69728000,21857000,1072200000,817850000,254360000,838160000,669830000,168330000,,,,2125,4592;8494;9647;17559;20726,True;True;True;True;True,5126;9522;10869;20003;20004;23469,12855;12856;23635;23636;27058;49660;49661;49662;49663;49664;49665;49666;49667;49668;58031;58032;58033,24808;24809;45205;45206;51944;94233;94234;94235;94236;94237;94238;94239;94240;94241;94242;94243;94244;109776;109777;109778;109779;109780;109781,24809;45205;51944;94244;109780,,462,,140,-1;-1,protein_2126,quanti,quanti,quanti,quanti
