Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity WDR53-N1,Intensity WDR53-N2,Intensity IP-BirA-alone-N1,Intensity IP-BirA-alone-N2
A6ND36;K7EKG0,A6ND36,7;1,7;1,7;1,Protein FAM83G,FAM83G,sp|A6ND36|FA83G_HUMAN Protein FAM83G OS=Homo sapiens OX=9606 GN=FAM83G PE=1 SV=2,7,7,12.6,4.09271599355779,3.98362812786341,25.8410536816411,26.0626847048711
Q658Y4;E7ER68;G3V120;H0YBR6;H0YC80,Q658Y4;E7ER68,23;21;6;3;2,23;21;6;3;2,20;18;6;3;2,Protein FAM91A1,FAM91A1,sp|Q658Y4|F91A1_HUMAN Protein FAM91A1 OS=Homo sapiens OX=9606 GN=FAM91A1 PE=1 SV=3;tr|E7ER68|E7ER68_HUMAN Protein FAM91A1 OS=Homo sapiens OX=9606 GN=FAM91A1 PE=1 SV=1,23,20,32.2,21.7130122190276,20.5779155846755,30.327638126964,30.1896634421907
Q9Y285;K7EK06;K7ER16,Q9Y285;K7EK06;K7ER16,2;2;2,2;2;2,2;2;2,Phenylalanine--tRNA ligase alpha subunit,FARSA,sp|Q9Y285|SYFA_HUMAN Phenylalanine--tRNA ligase alpha subunit OS=Homo sapiens OX=9606 GN=FARSA PE=1 SV=3;tr|K7EK06|K7EK06_HUMAN Phenylalanine--tRNA ligase alpha subunit (Fragment) OS=Homo sapiens OX=9606 GN=FARSA PE=1 SV=8;tr|K7ER16|K7ER16_HUMAN Phenylalan,2,2,2.6,4.09271599355779,3.98362812786341,22.5995060973031,23.4693616033648
Q9NSD9,Q9NSD9,5,5,5,Phenylalanine--tRNA ligase beta subunit,FARSB,sp|Q9NSD9|SYFB_HUMAN Phenylalanine--tRNA ligase beta subunit OS=Homo sapiens OX=9606 GN=FARSB PE=1 SV=3,5,5,8.8,22.2705348735422,21.7438293621354,25.7214282102378,25.5798326652618
P49327;A0A0U1RQF0;A0A0U1RRG3;A0A1B0GTR5;J3KTF0,P49327;A0A0U1RQF0,133;131;8;1;1,133;131;8;1;1,133;131;8;1;1,Fatty acid synthase;[Acyl-carrier-protein] S-acetyltransferase;[Acyl-carrier-protein] S-malonyltransferase;3-oxoacyl-[acyl-carrier-protein] synthase;3-oxoacyl-[acyl-carrier-protein] reductase;3-hydroxyacyl-[acyl-carrier-protein] dehydratase;Enoyl-[acyl-carrier-protein] reductase;Oleoyl-[acyl-carrier-protein] hydrolase,FASN,sp|P49327|FAS_HUMAN Fatty acid synthase OS=Homo sapiens OX=9606 GN=FASN PE=1 SV=3;tr|A0A0U1RQF0|A0A0U1RQF0_HUMAN Fatty acid synthase OS=Homo sapiens OX=9606 GN=FASN PE=1 SV=1,133,133,65.4,31.9218498446845,29.5454685103611,36.2111428794299,36.0922475702894
Q6V0I7,Q6V0I7,3,3,3,Protocadherin Fat 4,FAT4,sp|Q6V0I7|FAT4_HUMAN Protocadherin Fat 4 OS=Homo sapiens OX=9606 GN=FAT4 PE=1 SV=2,3,3,1.2,4.09271599355779,3.98362812786341,29.7632083389711,24.6211472948335
P62861;E9PR30,P62861;E9PR30,2;2,2;2,2;2,40S ribosomal protein S30,FAU,sp|P62861|RS30_HUMAN 40S ribosomal protein S30 OS=Homo sapiens OX=9606 GN=FAU PE=1 SV=1;tr|E9PR30|E9PR30_HUMAN 40S ribosomal protein S30 OS=Homo sapiens OX=9606 GN=FAU PE=1 SV=1,2,2,18.6,24.6833000661723,22.4708762961054,25.1506208949026,24.8716883257178
P22087;M0R0P1;M0QXL5;M0R2Q4;M0R2U2;M0R1H0;M0R2B0;M0R299;A6NHQ2,P22087;M0R0P1;M0QXL5;M0R2Q4;M0R2U2;M0R1H0;M0R2B0;M0R299,4;4;4;4;3;3;3;3;1,4;4;4;4;3;3;3;3;1,4;4;4;4;3;3;3;3;1,rRNA 2-O-methyltransferase fibrillarin,FBL,sp|P22087|FBRL_HUMAN rRNA 2-O-methyltransferase fibrillarin OS=Homo sapiens OX=9606 GN=FBL PE=1 SV=2;tr|M0R0P1|M0R0P1_HUMAN rRNA 2-O-methyltransferase fibrillarin (Fragment) OS=Homo sapiens OX=9606 GN=FBL PE=1 SV=1;tr|M0QXL5|M0QXL5_HUMAN rRNA 2-O-methyl,4,4,18.4,24.7418059999149,22.2869513826654,23.8437393722741,23.3639935461289
Q8TB52,Q8TB52,6,6,6,F-box only protein 30,FBXO30,sp|Q8TB52|FBX30_HUMAN F-box only protein 30 OS=Homo sapiens OX=9606 GN=FBXO30 PE=1 SV=3,6,6,11.4,4.09271599355779,3.98362812786341,25.6626431701312,26.3398048875204
Q0JRZ9;H0YAE2;H7BXJ4,Q0JRZ9;H0YAE2;H7BXJ4,2;1;1,2;1;1,2;1;1,F-BAR domain only protein 2,FCHO2,sp|Q0JRZ9|FCHO2_HUMAN F-BAR domain only protein 2 OS=Homo sapiens OX=9606 GN=FCHO2 PE=1 SV=2;tr|H0YAE2|H0YAE2_HUMAN F-BAR domain only protein 2 (Fragment) OS=Homo sapiens OX=9606 GN=FCHO2 PE=1 SV=9;tr|H7BXJ4|H7BXJ4_HUMAN F-BAR domain only protein 2 OS=Homo,2,2,3.1,4.09271599355779,3.98362812786341,23.1259866214458,22.9616220848894
P39748;I3L3E9;F5H1Y3,P39748,12;5;5,12;5;5,12;5;5,Flap endonuclease 1,FEN1,sp|P39748|FEN1_HUMAN Flap endonuclease 1 OS=Homo sapiens OX=9606 GN=FEN1 PE=1 SV=1,12,12,49.2,23.3157565586817,21.2526885286896,29.267539458455,29.2611182719274
Q96AC1;H0YJ34;A0A0U1RRM8;H0YJB6;G3V281;G3V5R2;G3V3J0;Q9BQL6;G3V379;G3V1L6,Q96AC1;H0YJ34;A0A0U1RRM8,17;15;13;4;4;3;3;1;1;1,17;15;13;4;4;3;3;1;1;1,17;15;13;4;4;3;3;1;1;1,Fermitin family homolog 2,FERMT2,sp|Q96AC1|FERM2_HUMAN Fermitin family homolog 2 OS=Homo sapiens OX=9606 GN=FERMT2 PE=1 SV=1;tr|H0YJ34|H0YJ34_HUMAN Fermitin family homolog 2 (Fragment) OS=Homo sapiens OX=9606 GN=FERMT2 PE=1 SV=1;tr|A0A0U1RRM8|A0A0U1RRM8_HUMAN Fermitin family homolog 2 (Fr,17,17,30.7,4.09271599355779,3.98362812786341,28.4833537213697,28.4486473747763
O95684;A0A087WV25,O95684;A0A087WV25,9;8,9;8,9;8,FGFR1 oncogene partner,FGFR1OP,sp|O95684|CEP43_HUMAN Centrosomal protein 43 OS=Homo sapiens OX=9606 GN=CEP43 PE=1 SV=1;tr|A0A087WV25|A0A087WV25_HUMAN Centrosomal protein 43 OS=Homo sapiens OX=9606 GN=CEP43 PE=1 SV=1,9,9,33.6,4.09271599355779,3.98362812786341,27.2201117019832,27.3209632936482
Q13642;A0A0D9SFI6;A0A0D9SFB0;Q5JXH9;A0A0D9SFZ9;Q5JXH8;Q5JXH7;Q5JXI3;Q5JXI2;Q5JXI8;A0A494C0D6;A0A494C0J3;A0A0D9SGD1;A0A0D9SGB2;Q5JXI0,Q13642;A0A0D9SFI6;A0A0D9SFB0;Q5JXH9;A0A0D9SFZ9;Q5JXH8;Q5JXH7;Q5JXI3;Q5JXI2;Q5JXI8;A0A494C0D6;A0A494C0J3;A0A0D9SGD1;A0A0D9SGB2;Q5JXI0,2;2;2;2;2;2;2;2;2;2;2;1;1;1;1,2;2;2;2;2;2;2;2;2;2;2;1;1;1;1,2;2;2;2;2;2;2;2;2;2;2;1;1;1;1,Four and a half LIM domains protein 1,FHL1,sp|Q13642|FHL1_HUMAN Four and a half LIM domains protein 1 OS=Homo sapiens OX=9606 GN=FHL1 PE=1 SV=4;tr|A0A0D9SFI6|A0A0D9SFI6_HUMAN Four and a half LIM domains protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=FHL1 PE=1 SV=1;tr|A0A0D9SFB0|A0A0D9SFB0_HUMAN Fo,2,2,5.9,4.09271599355779,3.98362812786341,24.5689469641965,24.8047911850015
Q9Y613;H3BVE7;J3KTH7,Q9Y613,29;4;2,29;4;2,29;4;2,FH1/FH2 domain-containing protein 1,FHOD1,sp|Q9Y613|FHOD1_HUMAN FH1/FH2 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=FHOD1 PE=1 SV=3,29,29,37.1,22.2247035883675,21.7969051125757,29.3528339535551,29.5478417125499
Q6UN15;A0A0B4J203;H0Y8P7,Q6UN15;A0A0B4J203,9;5;2,9;5;2,9;5;2,Pre-mRNA 3-end-processing factor FIP1,FIP1L1,sp|Q6UN15|FIP1_HUMAN Pre-mRNA 3-end-processing factor FIP1 OS=Homo sapiens OX=9606 GN=FIP1L1 PE=1 SV=1;tr|A0A0B4J203|A0A0B4J203_HUMAN Protein kinase domain-containing protein OS=Homo sapiens OX=9606 PE=3 SV=1,9,9,20.4,4.09271599355779,3.98362812786341,28.6647873119266,28.2246723127596
Q00688;G3V5F2,Q00688,5;1,5;1,5;1,Peptidyl-prolyl cis-trans isomerase FKBP3,FKBP3,sp|Q00688|FKBP3_HUMAN Peptidyl-prolyl cis-trans isomerase FKBP3 OS=Homo sapiens OX=9606 GN=FKBP3 PE=1 SV=1,5,5,25.9,4.09271599355779,3.98362812786341,26.9601377215209,26.5044885461457
Q02790;H0YFG2;F5H1U3,Q02790,17;3;3,17;3;3,17;3;3,"Peptidyl-prolyl cis-trans isomerase FKBP4;Peptidyl-prolyl cis-trans isomerase FKBP4, N-terminally processed",FKBP4,sp|Q02790|FKBP4_HUMAN Peptidyl-prolyl cis-trans isomerase FKBP4 OS=Homo sapiens OX=9606 GN=FKBP4 PE=1 SV=3,17,17,39.4,27.4357122216096,24.7445287938208,27.2430898491503,26.9509368998026
Q60FE5;A0A087WWY3,Q60FE5;A0A087WWY3,191;155,2;2,2;2,,FLNA,tr|Q60FE5|Q60FE5_HUMAN Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=1;tr|A0A087WWY3|A0A087WWY3_HUMAN Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=1,191,2,74.3,29.3232417880106,26.875021107883,30.4711151495626,30.9903720871198
P21333;F8WE98;H0Y5F3;H7C2E7;A0A669KBC6,P21333,192;41;13;5;3,192;41;13;5;3,3;2;0;0;0,Filamin-A,FLNA,sp|P21333|FLNA_HUMAN Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4,192,3,74.3,35.9011799320977,33.5053340832511,38.2740860228385,38.0839128360045
O75369;E7EN95;H7C5L4;A0A0A0MT44;A0A0C4DGA1,O75369;E7EN95,83;70;4;3;1,69;67;4;3;1,69;67;4;3;1,Filamin-B,FLNB,sp|O75369|FLNB_HUMAN Filamin-B OS=Homo sapiens OX=9606 GN=FLNB PE=1 SV=2;tr|E7EN95|E7EN95_HUMAN Filamin-B OS=Homo sapiens OX=9606 GN=FLNB PE=1 SV=1,83,69,42.1,24.3869286711923,21.3122257611457,31.1926644607944,31.1051207915584
Q14315,Q14315,95,81,77,Filamin-C,FLNC,sp|Q14315|FLNC_HUMAN Filamin-C OS=Homo sapiens OX=9606 GN=FLNC PE=1 SV=3,95,77,43.7,27.635056918981,23.3056342875467,32.1270022975918,31.8963787060217
Q96CP2;I3L1Y9;I3L4I0,Q96CP2;I3L1Y9;I3L4I0,3;3;2,3;3;2,3;3;2,FLYWCH family member 2,FLYWCH2,sp|Q96CP2|FWCH2_HUMAN FLYWCH family member 2 OS=Homo sapiens OX=9606 GN=FLYWCH2 PE=1 SV=1;tr|I3L1Y9|I3L1Y9_HUMAN FLYWCH family member 2 OS=Homo sapiens OX=9606 GN=FLYWCH2 PE=1 SV=1;tr|I3L4I0|I3L4I0_HUMAN FLYWCH family member 2 (Fragment) OS=Homo sapiens OX,3,3,30.0,4.09271599355779,3.98362812786341,22.0711690339097,23.9035259047392
O95466;K7EJE6;K7EK60;A0A0A0MR62;Q96PY5,O95466;K7EJE6;K7EK60,6;3;3;2;1,6;3;3;2;1,6;3;3;2;1,Formin-like protein 1,FMNL1,sp|O95466|FMNL1_HUMAN Formin-like protein 1 OS=Homo sapiens OX=9606 GN=FMNL1 PE=1 SV=3;tr|K7EJE6|K7EJE6_HUMAN Formin-like protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=FMNL1 PE=1 SV=1;tr|K7EK60|K7EK60_HUMAN Formin-like protein 1 OS=Homo sapiens OX=9606 G,6,6,7.7,4.09271599355779,3.98362812786341,26.2237613432261,25.2264833407452
Q06787;Q8IXW7;A0A087WXI3;R9WNI0;A8MQB8;G3V0J0;A0A087WWR6;A0A087WY29;A0A087X1M7;A0A087WWU4,Q06787;Q8IXW7;A0A087WXI3;R9WNI0;A8MQB8;G3V0J0;A0A087WWR6;A0A087WY29,3;3;3;3;3;3;2;2;1;1,2;2;2;2;2;2;1;1;1;1,2;2;2;2;2;2;1;1;1;1,Fragile X mental retardation protein 1,FMR1,sp|Q06787|FMR1_HUMAN Synaptic functional regulator FMR1 OS=Homo sapiens OX=9606 GN=FMR1 PE=1 SV=1;tr|Q8IXW7|Q8IXW7_HUMAN FMR1 protein OS=Homo sapiens OX=9606 GN=FMR1 PE=1 SV=1;tr|A0A087WXI3|A0A087WXI3_HUMAN Synaptic functional regulator FMR1 OS=Homo sapien,3,2,6.6,4.09271599355779,3.98362812786341,23.6332285132463,22.2837903616895
Q9HA64;I3L2G3;I3L139;I3L2K8;I3L3W5,Q9HA64;I3L2G3;I3L139,5;4;3;1;1,5;4;3;1;1,5;4;3;1;1,Ketosamine-3-kinase,FN3KRP,sp|Q9HA64|KT3K_HUMAN Ketosamine-3-kinase OS=Homo sapiens OX=9606 GN=FN3KRP PE=1 SV=2;tr|I3L2G3|I3L2G3_HUMAN Ketosamine-3-kinase (Fragment) OS=Homo sapiens OX=9606 GN=FN3KRP PE=1 SV=1;tr|I3L139|I3L139_HUMAN Ketosamine-3-kinase OS=Homo sapiens OX=9606 GN=FN3,5,5,17.2,26.7522581298834,24.619692965032,4.49389273847095,4.43205595859272
Q5T0N5;A0A075B6Q2;S4R347,Q5T0N5;A0A075B6Q2;S4R347,4;4;4,4;4;4,4;4;4,Formin-binding protein 1-like,FNBP1L,sp|Q5T0N5|FBP1L_HUMAN Formin-binding protein 1-like OS=Homo sapiens OX=9606 GN=FNBP1L PE=1 SV=3;tr|A0A075B6Q2|A0A075B6Q2_HUMAN Formin-binding protein 1-like (Fragment) OS=Homo sapiens OX=9606 GN=FNBP1L PE=1 SV=1;tr|S4R347|S4R347_HUMAN Formin-binding protei,4,4,10.6,4.09271599355779,3.98362812786341,25.4071723140088,24.4257921489686
Q8N3X1;F5GXL1,Q8N3X1,12;2,12;2,12;2,Formin-binding protein 4,FNBP4,sp|Q8N3X1|FNBP4_HUMAN Formin-binding protein 4 OS=Homo sapiens OX=9606 GN=FNBP4 PE=1 SV=3,12,12,14.9,4.09271599355779,3.98362812786341,27.962952737128,28.0260157910241
Q9Y2H6;H7C507;A0A087X1M6;G5E9X3,Q9Y2H6;H7C507;A0A087X1M6;G5E9X3,2;1;1;1,2;1;1;1,2;1;1;1,Fibronectin type-III domain-containing protein 3A,FNDC3A,sp|Q9Y2H6|FND3A_HUMAN Fibronectin type-III domain-containing protein 3A OS=Homo sapiens OX=9606 GN=FNDC3A PE=1 SV=4;tr|H7C507|H7C507_HUMAN Fibronectin type-III domain-containing protein 3A (Fragment) OS=Homo sapiens OX=9606 GN=FNDC3A PE=1 SV=1;tr|A0A087X1M,2,2,3.0,4.09271599355779,3.98362812786341,25.1949410671896,25.0227867485669
P15407,P15407,2,2,2,Fos-related antigen 1,FOSL1,sp|P15407|FOSL1_HUMAN Fos-related antigen 1 OS=Homo sapiens OX=9606 GN=FOSL1 PE=1 SV=1,2,2,11.4,4.09271599355779,3.98362812786341,24.9711456723848,23.1471229241958
P85037;U3KQ26,P85037,16;3,16;3,14;3,Forkhead box protein K1,FOXK1,sp|P85037|FOXK1_HUMAN Forkhead box protein K1 OS=Homo sapiens OX=9606 GN=FOXK1 PE=1 SV=1,16,14,25.6,23.8417255731596,22.2110318606681,27.8481049267248,27.6293006951018
Q01167;E9PPI7;E9PM37,Q01167,7;3;2,5;1;0,5;1;0,Forkhead box protein K2,FOXK2,sp|Q01167|FOXK2_HUMAN Forkhead box protein K2 OS=Homo sapiens OX=9606 GN=FOXK2 PE=1 SV=3,7,5,16.8,4.09271599355779,3.98362812786341,25.5489258309155,25.7411373592665
O94915;A0A286YEZ9;A0A2C9F2R7;A0A669KB90;H0Y9X0;F2Z2S2;Q5TBA9;A0A2R8YCY2;A0A0C4DFX2;A0A286YFA9;A0A2R8Y5V8,O94915;A0A286YEZ9;A0A2C9F2R7,7;5;5;2;2;2;1;1;1;1;1,7;5;5;2;2;2;1;1;1;1;1,7;5;5;2;2;2;1;1;1;1;1,Protein furry homolog-like,FRYL,sp|O94915|FRYL_HUMAN Protein furry homolog-like OS=Homo sapiens OX=9606 GN=FRYL PE=1 SV=2;tr|A0A286YEZ9|A0A286YEZ9_HUMAN Protein furry homolog-like (Fragment) OS=Homo sapiens OX=9606 GN=FRYL PE=1 SV=1;tr|A0A2C9F2R7|A0A2C9F2R7_HUMAN Protein furry homolog-li,7,7,3.1,4.09271599355779,3.98362812786341,25.4118013725793,25.7810424801017
Q16658;C9JPH9;C9JFC0;A0A0A0MSB2,Q16658,3;1;1;1,3;1;1;1,3;1;1;1,Fascin,FSCN1,sp|Q16658|FSCN1_HUMAN Fascin OS=Homo sapiens OX=9606 GN=FSCN1 PE=1 SV=3,3,3,8.1,24.2135634871273,21.5800013280745,4.49389273847095,4.43205595859272
Q8IY81,Q8IY81,12,12,12,pre-rRNA processing protein FTSJ3,FTSJ3,sp|Q8IY81|SPB1_HUMAN pre-rRNA 2-O-ribose RNA methyltransferase FTSJ3 OS=Homo sapiens OX=9606 GN=FTSJ3 PE=1 SV=2,12,12,22.8,4.09271599355779,3.98362812786341,28.8466412471748,28.649450587485
Q96AE4;E9PEB5,Q96AE4;E9PEB5,13;13,11;11,6;6,Far upstream element-binding protein 1,FUBP1,sp|Q96AE4|FUBP1_HUMAN Far upstream element-binding protein 1 OS=Homo sapiens OX=9606 GN=FUBP1 PE=1 SV=3;tr|E9PEB5|E9PEB5_HUMAN Far upstream element-binding protein 1 OS=Homo sapiens OX=9606 GN=FUBP1 PE=1 SV=1,13,6,26.6,4.09271599355779,3.98362812786341,28.4629890210714,27.77868857182
Q96I24;A0A494C1K6,Q96I24,12;1,11;1,11;1,Far upstream element-binding protein 3,FUBP3,sp|Q96I24|FUBP3_HUMAN Far upstream element-binding protein 3 OS=Homo sapiens OX=9606 GN=FUBP3 PE=1 SV=2,12,11,28.0,21.652941228801,21.175186813703,27.9436343571982,28.1114776593391
P35637;H3BPE7,P35637;H3BPE7,5;5,5;5,3;3,RNA-binding protein FUS,FUS,sp|P35637|FUS_HUMAN RNA-binding protein FUS OS=Homo sapiens OX=9606 GN=FUS PE=1 SV=1;tr|H3BPE7|H3BPE7_HUMAN RNA-binding protein FUS OS=Homo sapiens OX=9606 GN=FUS PE=1 SV=1,5,3,11.6,4.09271599355779,3.98362812786341,27.5319275368689,27.2280259766954
P51114;B4DXZ6;E7EU85;E9PFF5;C9JZE0;C9JY20;C9IZ22;C9JAJ4;H7C4S4,P51114;B4DXZ6;E7EU85;E9PFF5,11;11;10;10;2;2;1;1;1,11;11;10;10;2;2;1;1;1,10;10;9;9;2;2;1;1;1,Fragile X mental retardation syndrome-related protein 1,FXR1,sp|P51114|FXR1_HUMAN Fragile X mental retardation syndrome-related protein 1 OS=Homo sapiens OX=9606 GN=FXR1 PE=1 SV=3;tr|B4DXZ6|B4DXZ6_HUMAN Fragile X mental retardation syndrome-related protein 1 OS=Homo sapiens OX=9606 GN=FXR1 PE=1 SV=1;tr|E7EU85|E7EU85,11,10,25.4,20.5607619661864,20.2176044474958,28.100340958171,27.7658499864682
P51116,P51116,4,3,2,Fragile X mental retardation syndrome-related protein 2,FXR2,sp|P51116|FXR2_HUMAN Fragile X mental retardation syndrome-related protein 2 OS=Homo sapiens OX=9606 GN=FXR2 PE=1 SV=2,4,2,8.6,4.09271599355779,3.98362812786341,24.9732058203012,23.1876583456248
Q13283;E5RIZ6;E5RJU8;E5RH42;E5RIF8;E5RI46;E5RH00;D6RBR0;D6REX8;Q9UN86;D6RBW8;D6RBM9;D6RGJ4;D6RAC7;D6R9A4;D6R9X5;D6RB17;D6RE13,Q13283,18;7;6;6;6;5;3;2;2;2;2;2;2;2;2;2;2;2,18;7;6;6;6;5;3;2;2;2;2;2;2;2;2;2;2;2,18;7;6;6;6;5;3;2;2;2;2;2;2;2;2;2;2;2,Ras GTPase-activating protein-binding protein 1,G3BP1,sp|Q13283|G3BP1_HUMAN Ras GTPase-activating protein-binding protein 1 OS=Homo sapiens OX=9606 GN=G3BP1 PE=1 SV=1,18,18,53.6,23.9940357128249,21.001989088068,30.0467423033452,30.0018237117492
P11413;E7EUI8;E9PD92;E7EM57,P11413;E7EUI8;E9PD92;E7EM57,23;13;12;12,23;13;12;12,23;13;12;12,Glucose-6-phosphate 1-dehydrogenase,G6PD,sp|P11413|G6PD_HUMAN Glucose-6-phosphate 1-dehydrogenase OS=Homo sapiens OX=9606 GN=G6PD PE=1 SV=4;tr|E7EUI8|E7EUI8_HUMAN Glucose-6-phosphate 1-dehydrogenase (Fragment) OS=Homo sapiens OX=9606 GN=G6PD PE=1 SV=8;tr|E9PD92|E9PD92_HUMAN Glucose-6-phosphate 1-,23,23,52.0,27.5799621059024,25.0589542256766,27.9759626886826,28.1582697538759
Q06546,Q06546,8,8,8,GA-binding protein alpha chain,GABPA,sp|Q06546|GABPA_HUMAN GA-binding protein alpha chain OS=Homo sapiens OX=9606 GN=GABPA PE=1 SV=1,8,8,23.1,4.09271599355779,3.98362812786341,27.4542677867407,26.6433387731874
O14976;A0A087X1U9;H0Y8H5;D6RAW3,O14976;A0A087X1U9;H0Y8H5,4;2;2;1,4;2;2;1,4;2;2;1,Cyclin-G-associated kinase,GAK,sp|O14976|GAK_HUMAN Cyclin-G-associated kinase OS=Homo sapiens OX=9606 GN=GAK PE=1 SV=2;tr|A0A087X1U9|A0A087X1U9_HUMAN Cyclin-G-associated kinase OS=Homo sapiens OX=9606 GN=GAK PE=1 SV=1;tr|H0Y8H5|H0Y8H5_HUMAN Cyclin-G-associated kinase (Fragment) OS=Homo,4,4,5.5,4.09271599355779,3.98362812786341,25.2978910761317,25.117157646601
Q14697;F5H6X6;E9PKU7;E9PNH1,Q14697;F5H6X6;E9PKU7,4;3;3;1,4;3;3;1,4;3;3;1,Neutral alpha-glucosidase AB,GANAB,sp|Q14697|GANAB_HUMAN Neutral alpha-glucosidase AB OS=Homo sapiens OX=9606 GN=GANAB PE=1 SV=3;tr|F5H6X6|F5H6X6_HUMAN Neutral alpha-glucosidase AB OS=Homo sapiens OX=9606 GN=GANAB PE=1 SV=1;tr|E9PKU7|E9PKU7_HUMAN Neutral alpha-glucosidase AB OS=Homo sapiens,4,4,5.0,24.2969111671499,20.2766242445035,4.49389273847095,4.43205595859272
P04406;E7EUT5;O14556,P04406;E7EUT5,6;5;1,6;5;1,6;5;1,Glyceraldehyde-3-phosphate dehydrogenase,GAPDH,sp|P04406|G3P_HUMAN Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3;tr|E7EUT5|E7EUT5_HUMAN Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=1,6,6,28.4,23.1455223554305,25.4588578955299,26.7601493796008,25.2547945058072
Q14C86;F8W9S7;C9IZ08;B0QZ65;B4DGD8;H0Y7I9;H0Y4E7;A0A0A0MQV8;C9IZX9,Q14C86;F8W9S7;C9IZ08,21;20;11;9;9;8;7;6;2,21;20;11;9;9;8;7;6;2,21;20;11;9;9;8;7;6;2,GTPase-activating protein and VPS9 domain-containing protein 1,GAPVD1,sp|Q14C86|GAPD1_HUMAN GTPase-activating protein and VPS9 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=GAPVD1 PE=1 SV=2;tr|F8W9S7|F8W9S7_HUMAN GTPase-activating protein and VPS9 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=GAPVD1 PE=1 SV,21,21,17.8,4.09271599355779,3.98362812786341,29.0643767263913,28.5019555989933
P41250,P41250,3,3,3,Glycine--tRNA ligase,GARS,sp|P41250|GARS_HUMAN Glycine--tRNA ligase OS=Homo sapiens OX=9606 GN=GARS1 PE=1 SV=3,3,3,7.3,4.09271599355779,3.98362812786341,24.7630911719424,24.0446856057149
P22102;C9JZG2;C9JKQ7;C9JBJ1;C9JTV6;F8WD69;A0A140TA71,P22102,16;3;3;3;3;3;1,16;3;3;3;3;3;1,16;3;3;3;3;3;1,Trifunctional purine biosynthetic protein adenosine-3;Phosphoribosylamine--glycine ligase;Phosphoribosylformylglycinamidine cyclo-ligase;Phosphoribosylglycinamide formyltransferase,GART,sp|P22102|PUR2_HUMAN Trifunctional purine biosynthetic protein adenosine-3 OS=Homo sapiens OX=9606 GN=GART PE=1 SV=1,16,16,22.9,25.3890643668955,22.4709259312476,28.0841576386113,27.8686775155268
Q86YP4;C9JVY3;V9GY85;H7C3H1;C9JMI3;C9JGN4;C9JHD7;C9JJK9,Q86YP4,3;1;1;1;1;1;1;1,2;1;1;1;1;1;1;1,2;1;1;1;1;1;1;1,Transcriptional repressor p66-alpha,GATAD2A,sp|Q86YP4|P66A_HUMAN Transcriptional repressor p66-alpha OS=Homo sapiens OX=9606 GN=GATAD2A PE=1 SV=1,3,2,6.6,4.09271599355779,3.98362812786341,23.8846475219367,23.0621864919031
Q8WXI9;A0A0U1RRM1;A0A0U1RR34;A0A0U1RRK3;A0A0U1RR30,Q8WXI9;A0A0U1RRM1;A0A0U1RR34,10;10;5;4;3,10;10;5;4;3,9;9;5;4;2,Transcriptional repressor p66-beta,GATAD2B,sp|Q8WXI9|P66B_HUMAN Transcriptional repressor p66-beta OS=Homo sapiens OX=9606 GN=GATAD2B PE=1 SV=1;tr|A0A0U1RRM1|A0A0U1RRM1_HUMAN Transcriptional repressor p66-beta OS=Homo sapiens OX=9606 GN=GATAD2B PE=1 SV=1;tr|A0A0U1RR34|A0A0U1RR34_HUMAN Transcription,10,9,22.9,4.09271599355779,3.98362812786341,27.5081662865223,26.8985065486026
Q92538;A0A669KBG8;A0A669KB10,Q92538;A0A669KBG8;A0A669KB10,8;8;8,8;8;8,8;8;8,Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1,GBF1,sp|Q92538|GBF1_HUMAN Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1 OS=Homo sapiens OX=9606 GN=GBF1 PE=1 SV=2;tr|A0A669KBG8|A0A669KBG8_HUMAN Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1 OS=Homo sapi,8,8,5.3,4.09271599355779,3.98362812786341,28.0316526633017,25.4346628384815
Q92616,Q92616,97,97,97,Translational activator GCN1,GCN1L1,sp|Q92616|GCN1_HUMAN eIF-2-alpha kinase activator GCN1 OS=Homo sapiens OX=9606 GN=GCN1 PE=1 SV=6,97,97,43.4,27.1752186112211,22.6938323304322,31.4685927851877,31.2547922536214
