NUP43_vs_zCtl,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
RAB35,-0.0006030627,0.99804215544396,0,Q15286;F5H157;F5H7F8,Q15286;F5H157;F5H7F8,2;2;1,2;2;1,2;2;1,Ras-related protein Rab-35,RAB35,sp|Q15286|RAB35_HUMAN Ras-related protein Rab-35 OS=Homo sapiens OX=9606 GN=RAB35 PE=1 SV=1;tr|F5H157|F5H157_HUMAN Ras-related protein Rab-35 (Fragment) OS=Homo sapiens OX=9606 GN=RAB35 PE=1 SV=1;tr|F5H7F8|F5H7F8_HUMAN Ras-related protein Rab-35 OS=Homo sa,2,2,11.4,201
NAP1L1,9.2923e-05,0.999429854317863,0,P55209;F8VY35;F8W0J6;F5H4R6;H0YIV4;F8W020;H0YHC3;F8W118;F8VUX1;F8VV59;B7Z9C2;H0YH88;F8VXI6;F8VRJ2;F8VVB5;B7Z4K9,P55209;F8VY35;F8W0J6;F5H4R6;H0YIV4;F8W020;H0YHC3;F8W118;F8VUX1;F8VV59;B7Z9C2;H0YH88;F8VXI6;F8VRJ2;F8VVB5,14;14;14;14;14;13;12;12;12;12;12;11;11;9;9;1,14;14;14;14;14;13;12;12;12;12;12;11;11;9;9;1,3;3;3;3;3;3;1;1;3;1;1;0;3;1;1;0,Nucleosome assembly protein 1-like 1,NAP1L1,sp|P55209|NP1L1_HUMAN Nucleosome assembly protein 1-like 1 OS=Homo sapiens OX=9606 GN=NAP1L1 PE=1 SV=1;tr|F8VY35|F8VY35_HUMAN Nucleosome assembly protein 1-like 1 (Fragment) OS=Homo sapiens OX=9606 GN=NAP1L1 PE=1 SV=1;tr|F8W0J6|F8W0J6_HUMAN Nucleosome asse,14,3,32.7,391
TUBA1C,0.0288380744,0.828769953160804,0,Q9BQE3;F5H5D3;A0A1W2PQM2;F8VVB9;F8VRZ4;F8VS66;F8VX09;F8VWV9;C9JEV8;F8VRK0;A6NHL2;C9JQ00;C9JJQ8;F8W0F6;C9JDL2;C9K0S6;Q9H853;F8VXZ7,Q9BQE3;F5H5D3;A0A1W2PQM2,40;40;28;17;11;11;7;7;4;4;4;4;4;2;2;2;1;1,5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,Tubulin alpha-1C chain,TUBA1C,sp|Q9BQE3|TBA1C_HUMAN Tubulin alpha-1C chain OS=Homo sapiens OX=9606 GN=TUBA1C PE=1 SV=1;tr|F5H5D3|F5H5D3_HUMAN Tubulin alpha chain OS=Homo sapiens OX=9606 GN=TUBA1C PE=1 SV=1;tr|A0A1W2PQM2|A0A1W2PQM2_HUMAN Tubulin alpha-1C chain OS=Homo sapiens OX=9606 GN,40,2,73.1,449
GRSF1,0.0425731852,0.737047603178889,0,Q12849;H0Y8R1;F5H5I6;H0YAK1;H0YAM1,Q12849;H0Y8R1;F5H5I6;H0YAK1,11;11;11;11;2,11;11;11;11;2,11;11;11;11;2,G-rich sequence factor 1,GRSF1,sp|Q12849|GRSF1_HUMAN G-rich sequence factor 1 OS=Homo sapiens OX=9606 GN=GRSF1 PE=1 SV=3;tr|H0Y8R1|H0Y8R1_HUMAN G-rich sequence factor 1 (Fragment) OS=Homo sapiens OX=9606 GN=GRSF1 PE=1 SV=1;tr|F5H5I6|F5H5I6_HUMAN G-rich sequence factor 1 OS=Homo sapiens ,11,11,29.8,480
CPSF7,-0.501741901,0.0335268381101263,0,Q8N684;F5H669;J3QT54;F5H6M0;F5H047,Q8N684;F5H669;J3QT54;F5H6M0;F5H047,3;3;2;2;2,3;3;2;2;2,3;3;2;2;2,Cleavage and polyadenylation specificity factor subunit 7,CPSF7,sp|Q8N684|CPSF7_HUMAN Cleavage and polyadenylation specificity factor subunit 7 OS=Homo sapiens OX=9606 GN=CPSF7 PE=1 SV=1;tr|F5H669|F5H669_HUMAN Cleavage and polyadenylation-specificity factor subunit 7 (Fragment) OS=Homo sapiens OX=9606 GN=CPSF7 PE=1 SV=,3,3,7.4,471
MYO1C,-0.0004173729,0.999031412992129,0,O00159;F5H6E2;I3L501;I3L3Y6;I3L3F5,O00159;F5H6E2,34;34;8;8;5,34;34;8;8;5,34;34;8;8;5,Unconventional myosin-Ic,MYO1C,sp|O00159|MYO1C_HUMAN Unconventional myosin-Ic OS=Homo sapiens OX=9606 GN=MYO1C PE=1 SV=4;tr|F5H6E2|F5H6E2_HUMAN Unconventional myosin-Ic OS=Homo sapiens OX=9606 GN=MYO1C PE=1 SV=1,34,34,36.7,1063
GNS,-0.3925353633,0.0838077682037289,0,P15586;H7C3P4;F6S8M0;F5H4C6;H0YFA9,P15586;H7C3P4;F6S8M0;F5H4C6;H0YFA9,10;10;10;8;6,10;10;10;8;6,10;10;10;8;6,N-acetylglucosamine-6-sulfatase,GNS,sp|P15586|GNS_HUMAN N-acetylglucosamine-6-sulfatase OS=Homo sapiens OX=9606 GN=GNS PE=1 SV=3;tr|H7C3P4|H7C3P4_HUMAN N-acetylglucosamine-6-sulfatase OS=Homo sapiens OX=9606 GN=GNS PE=1 SV=1;tr|F6S8M0|F6S8M0_HUMAN N-acetylglucosamine-6-sulfatase OS=Homo sapi,10,10,26.6,552
GLOD4,0.7512613041,0.0901874988781406,0,Q9HC38;F6TLX2;I3L3Q4;I3NI27;I3NI24;I3L2C2;I3L1F4;I3L277;I3L1I0,Q9HC38;F6TLX2;I3L3Q4,4;4;3;1;1;1;1;1;1,4;4;3;1;1;1;1;1;1,4;4;3;1;1;1;1;1;1,Glyoxalase domain-containing protein 4,GLOD4,sp|Q9HC38|GLOD4_HUMAN Glyoxalase domain-containing protein 4 OS=Homo sapiens OX=9606 GN=GLOD4 PE=1 SV=1;tr|F6TLX2|F6TLX2_HUMAN Glyoxalase domain-containing protein 4 OS=Homo sapiens OX=9606 GN=GLOD4 PE=1 SV=1;tr|I3L3Q4|I3L3Q4_HUMAN Glyoxalase domain-contai,4,4,20.1,313
POLDIP3,-0.0531800678,0.843795254678431,0,Q9BY77;F6VRR5;F8WCX5;Q8WUT1;Q6R954;F8WEE2,Q9BY77;F6VRR5;F8WCX5;Q8WUT1,10;10;6;5;3;3,10;10;6;5;3;3,10;10;6;5;3;3,Polymerase delta-interacting protein 3,POLDIP3,sp|Q9BY77|PDIP3_HUMAN Polymerase delta-interacting protein 3 OS=Homo sapiens OX=9606 GN=POLDIP3 PE=1 SV=2;tr|F6VRR5|F6VRR5_HUMAN Polymerase delta-interacting protein 3 OS=Homo sapiens OX=9606 GN=POLDIP3 PE=1 SV=1;tr|F8WCX5|F8WCX5_HUMAN Polymerase delta-int,10,10,39,421
RANBP1,0.2664938595,0.134920102076191,0,P43487;F6WQW2;C9JXG8;C9JJ34;C9JGV6;C9JDM3;C9JIC6,P43487;F6WQW2;C9JXG8;C9JJ34;C9JGV6;C9JDM3,9;9;7;7;7;5;3,9;9;7;7;7;5;3,9;9;7;7;7;5;3,Ran-specific GTPase-activating protein,RANBP1,sp|P43487|RANG_HUMAN Ran-specific GTPase-activating protein OS=Homo sapiens OX=9606 GN=RANBP1 PE=1 SV=1;tr|F6WQW2|F6WQW2_HUMAN Ran-specific GTPase-activating protein OS=Homo sapiens OX=9606 GN=RANBP1 PE=1 SV=1;tr|C9JXG8|C9JXG8_HUMAN Ran-specific GTPase-act,9,9,43.3,201
CAD,0.221599613,0.167696250007517,0,P27708;F8VPD4;H7C2E4;H7BZB3,P27708;F8VPD4,27;27;6;2,27;27;6;2,27;27;6;2,CAD protein;Glutamine-dependent carbamoyl-phosphate synthase;Aspartate carbamoyltransferase;Dihydroorotase,CAD,sp|P27708|PYR1_HUMAN CAD protein OS=Homo sapiens OX=9606 GN=CAD PE=1 SV=3;tr|F8VPD4|F8VPD4_HUMAN CAD protein OS=Homo sapiens OX=9606 GN=CAD PE=1 SV=1,27,27,16.6,2225
LIMA1,0.7105471453,0.126884314405571,0,Q9UHB6;F8VQE1;F8VS07;F8VRN8,Q9UHB6;F8VQE1;F8VS07,18;18;16;4,18;18;16;4,18;18;16;4,LIM domain and actin-binding protein 1,LIMA1,sp|Q9UHB6|LIMA1_HUMAN LIM domain and actin-binding protein 1 OS=Homo sapiens OX=9606 GN=LIMA1 PE=1 SV=1;tr|F8VQE1|F8VQE1_HUMAN LIM domain and actin-binding protein 1 OS=Homo sapiens OX=9606 GN=LIMA1 PE=1 SV=1;tr|F8VS07|F8VS07_HUMAN LIM domain and actin-bin,18,18,28.9,759
COPZ1,-0.5707489159,0.0060154088481301,0,P61923;F8W651;F8VVA7;F8VXB1;F8VUC5;F8W156;F8VYZ4;F8VYK5;F8VXR1,P61923;F8W651;F8VVA7;F8VXB1;F8VUC5;F8W156;F8VYZ4,3;3;3;2;2;2;2;1;1,3;3;3;2;2;2;2;1;1,3;3;3;2;2;2;2;1;1,Coatomer subunit zeta-1,COPZ1,sp|P61923|COPZ1_HUMAN Coatomer subunit zeta-1 OS=Homo sapiens OX=9606 GN=COPZ1 PE=1 SV=1;tr|F8W651|F8W651_HUMAN Coatomer subunit zeta OS=Homo sapiens OX=9606 GN=COPZ1 PE=1 SV=1;tr|F8VVA7|F8VVA7_HUMAN Coatomer subunit zeta OS=Homo sapiens OX=9606 GN=COPZ1 P,3,3,29.4,177
SLC25A3,0.0931979707,0.478835100238671,0,F8VVM2;F8VWQ0;F8VZL5;F8VWR4,F8VVM2,14;5;4;4,14;5;4;4,2;1;0;0,,SLC25A3,"tr|F8VVM2|F8VVM2_HUMAN Phosphate carrier protein, mitochondrial OS=Homo sapiens OX=9606 GN=SLC25A3 PE=1 SV=1",14,2,42,324
PPP1CC,-0.0217075896,0.898824223592849,0,P36873;F8VYE8;F8W0W8;F8VR82;A0A087WYY5,P36873;F8VYE8;F8W0W8;F8VR82,15;15;14;13;6,2;2;1;2;2,2;2;1;2;2,Serine/threonine-protein phosphatase PP1-gamma catalytic subunit;Serine/threonine-protein phosphatase,PPP1CC,sp|P36873|PP1G_HUMAN Serine/threonine-protein phosphatase PP1-gamma catalytic subunit OS=Homo sapiens OX=9606 GN=PPP1CC PE=1 SV=1;tr|F8VYE8|F8VYE8_HUMAN Serine/threonine-protein phosphatase OS=Homo sapiens OX=9606 GN=PPP1CC PE=1 SV=1;tr|F8W0W8|F8W0W8_HUMAN,15,2,50.8,323
PCBP2,-0.1868236482,0.174824718216439,0,Q15366;F8VZX2;H3BRU6;F8W0G4;F8VXH9;F8W1G6;P57721;J3QT27;E9PFP8;F8VRH0;H3BND9;H3BSS4,Q15366;F8VZX2;H3BRU6;F8W0G4;F8VXH9;F8W1G6,13;13;12;8;8;7;5;5;5;4;3;3,10;10;10;5;6;5;2;2;2;4;3;3,10;10;10;5;6;5;2;2;2;4;3;3,Poly(rC)-binding protein 2,PCBP2,sp|Q15366|PCBP2_HUMAN Poly(rC)-binding protein 2 OS=Homo sapiens OX=9606 GN=PCBP2 PE=1 SV=1;tr|F8VZX2|F8VZX2_HUMAN Poly(rC)-binding protein 2 OS=Homo sapiens OX=9606 GN=PCBP2 PE=1 SV=1;tr|H3BRU6|H3BRU6_HUMAN Poly(rC)-binding protein 2 (Fragment) OS=Homo sa,13,10,54.5,365
AK2,0.0757249282,0.548992708900762,0,P54819;F8W1A4;F8VZG5;A0A5F9ZHP2;G3V213;F8VY04;A0A5K1VW67;F8VPP1,P54819;F8W1A4;F8VZG5;A0A5F9ZHP2;G3V213;F8VY04;A0A5K1VW67,15;15;11;11;10;10;10;3,15;15;11;11;10;10;10;3,15;15;11;11;10;10;10;3,"Adenylate kinase 2, mitochondrial;Adenylate kinase 2, mitochondrial, N-terminally processed;Adenylate kinase 2, mitochondrial",AK2,"sp|P54819|KAD2_HUMAN Adenylate kinase 2, mitochondrial OS=Homo sapiens OX=9606 GN=AK2 PE=1 SV=2;tr|F8W1A4|F8W1A4_HUMAN Adenylate kinase 2, mitochondrial OS=Homo sapiens OX=9606 GN=AK2 PE=1 SV=1;tr|F8VZG5|F8VZG5_HUMAN Adenylate kinase 2, mitochondrial OS=Ho",15,15,74.5,239
MYL6,-0.0131712861,0.948784134932951,0,P60660;F8W1R7;G3V1V0;J3KND3;G8JLA2;B7Z6Z4;F8VPF3;G3V1Y7;P14649;F8VZU9;F8W1I5;F8W180;F8VXL3;H0YI43,P60660;F8W1R7;G3V1V0;J3KND3;G8JLA2;B7Z6Z4;F8VPF3,13;13;13;10;10;10;8;6;3;3;3;3;1;1,13;13;13;10;10;10;8;6;3;3;3;3;1;1,13;13;13;10;10;10;8;6;3;3;3;3;1;1,Myosin light polypeptide 6,MYL6,sp|P60660|MYL6_HUMAN Myosin light polypeptide 6 OS=Homo sapiens OX=9606 GN=MYL6 PE=1 SV=2;tr|F8W1R7|F8W1R7_HUMAN Myosin light polypeptide 6 OS=Homo sapiens OX=9606 GN=MYL6 PE=1 SV=1;tr|G3V1V0|G3V1V0_HUMAN Myosin light polypeptide 6 OS=Homo sapiens OX=9606 ,13,13,67.5,151
NRBP1,-0.0805723665,0.73176375087414,0,Q9UHY1;F8W6G1;C9JHZ6,Q9UHY1;F8W6G1;C9JHZ6,2;2;1,2;2;1,2;2;1,Nuclear receptor-binding protein,NRBP1,sp|Q9UHY1|NRBP_HUMAN Nuclear receptor-binding protein OS=Homo sapiens OX=9606 GN=NRBP1 PE=1 SV=1;tr|F8W6G1|F8W6G1_HUMAN Nuclear receptor-binding protein OS=Homo sapiens OX=9606 GN=NRBP1 PE=1 SV=1;tr|C9JHZ6|C9JHZ6_HUMAN Nuclear receptor-binding protein (Fra,2,2,5.8,535
HNRNPA1;HNRNPA1L2,0.0641077158,0.664343130472187,0,P09651;F8W6I7;F8VZ49;Q32P51;F8W646;F8VTQ5;F8VYN5,P09651;F8W6I7;F8VZ49;Q32P51;F8W646,23;23;17;12;12;11;7,23;23;17;12;12;11;7,8;8;6;6;8;4;1,"Heterogeneous nuclear ribonucleoprotein A1;Heterogeneous nuclear ribonucleoprotein A1, N-terminally processed;Heterogeneous nuclear ribonucleoprotein A1-like 2",HNRNPA1;HNRNPA1L2,sp|P09651|ROA1_HUMAN Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens OX=9606 GN=HNRNPA1 PE=1 SV=5;tr|F8W6I7|F8W6I7_HUMAN Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens OX=9606 GN=HNRNPA1 PE=1 SV=2;tr|F8VZ49|F8VZ49_HUMAN Heterogeneous,23,8,56.2,372
MRE11A,-0.3227533335,0.147754354544006,0,P49959;F8W7U8;F5GXT0;F5H742;F5H256,P49959;F8W7U8;F5GXT0,7;7;4;1;1,7;7;4;1;1,7;7;4;1;1,Double-strand break repair protein MRE11A,MRE11A,sp|P49959|MRE11_HUMAN Double-strand break repair protein MRE11 OS=Homo sapiens OX=9606 GN=MRE11 PE=1 SV=3;tr|F8W7U8|F8W7U8_HUMAN Double-strand break repair protein OS=Homo sapiens OX=9606 GN=MRE11 PE=1 SV=1;tr|F5GXT0|F5GXT0_HUMAN Double-strand break repair,7,7,9.5,708
IGF2BP2,-2.3296325665,0.000111387161296466,1,F8W930;Q9Y6M1;Q9NZI8,F8W930;Q9Y6M1,8;8;1,8;8;1,7;7;0,Insulin-like growth factor 2 mRNA-binding protein 2,IGF2BP2,tr|F8W930|F8W930_HUMAN Insulin-like growth factor 2 mRNA-binding protein 2 OS=Homo sapiens OX=9606 GN=IGF2BP2 PE=1 SV=1;sp|Q9Y6M1|IF2B2_HUMAN Insulin-like growth factor 2 mRNA-binding protein 2 OS=Homo sapiens OX=9606 GN=IGF2BP2 PE=1 SV=2,8,7,17.2,605
NDRG3,0.0065409501,0.974915941669868,0,Q9UGV2;F8WBF9;Q5TH30,Q9UGV2;F8WBF9;Q5TH30,1;1;1,1;1;1,1;1;1,Protein NDRG3,NDRG3,"sp|Q9UGV2|NDRG3_HUMAN Protein NDRG3 OS=Homo sapiens OX=9606 GN=NDRG3 PE=1 SV=2;tr|F8WBF9|F8WBF9_HUMAN Protein NDRG3 OS=Homo sapiens OX=9606 GN=NDRG3 PE=1 SV=1;tr|Q5TH30|Q5TH30_HUMAN NDRG family member 3, isoform CRA_c OS=Homo sapiens OX=9606 GN=NDRG3 PE=1 ",1,1,2.7,375
NDUFV1,0.1693776364,0.486163447735696,0,P49821;G3V0I5;B4DE93;E9PPR0;E9PQP1;E9PMX3;E9PLC6;E9PPS5;E9PJL9;H0YD04;H0YE81,P49821;G3V0I5;B4DE93;E9PPR0;E9PQP1;E9PMX3,6;6;4;3;3;3;2;1;1;1;1,6;6;4;3;3;3;2;1;1;1;1,6;6;4;3;3;3;2;1;1;1;1,"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial",NDUFV1,"sp|P49821|NDUV1_HUMAN NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFV1 PE=1 SV=4;tr|G3V0I5|G3V0I5_HUMAN NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFV1 PE=1 SV=1",6,6,20.5,464
API5,-0.1569109687,0.370090573877065,0,Q9BZZ5;G3V1C3;E9PQK6,Q9BZZ5;G3V1C3,5;5;2,5;5;2,5;5;2,Apoptosis inhibitor 5,API5,sp|Q9BZZ5|API5_HUMAN Apoptosis inhibitor 5 OS=Homo sapiens OX=9606 GN=API5 PE=1 SV=3;tr|G3V1C3|G3V1C3_HUMAN Apoptosis inhibitor 5 OS=Homo sapiens OX=9606 GN=API5 PE=1 SV=1,5,5,10.1,524
GOLT1B,-0.0064798535,0.96082576696801,0,Q9Y3E0;G3V1U5;F5H6U7,Q9Y3E0;G3V1U5;F5H6U7,3;3;2,3;3;2,3;3;2,Vesicle transport protein GOT1B,GOLT1B,"sp|Q9Y3E0|GOT1B_HUMAN Vesicle transport protein GOT1B OS=Homo sapiens OX=9606 GN=GOLT1B PE=1 SV=1;tr|G3V1U5|G3V1U5_HUMAN Golgi transport 1 homolog B (S. cerevisiae), isoform CRA_c OS=Homo sapiens OX=9606 GN=GOLT1B PE=1 SV=1;tr|F5H6U7|F5H6U7_HUMAN Vesicle t",3,3,20.3,138
NUMB,0.8958355064,0.00790236716277814,0,P49757;G3V3M5;G3V3R1;G3V3Z8;Q9Y6R0;M0QXQ4;M0QYC2;A0A0C4DGH3,P49757;G3V3M5;G3V3R1;G3V3Z8,3;3;3;2;1;1;1;1,3;3;3;2;1;1;1;1,3;3;3;2;1;1;1;1,Protein numb homolog,NUMB,sp|P49757|NUMB_HUMAN Protein numb homolog OS=Homo sapiens OX=9606 GN=NUMB PE=1 SV=2;tr|G3V3M5|G3V3M5_HUMAN Protein numb homolog (Fragment) OS=Homo sapiens OX=9606 GN=NUMB PE=1 SV=8;tr|G3V3R1|G3V3R1_HUMAN Protein numb homolog (Fragment) OS=Homo sapiens OX=9,3,3,7.2,651
PSMA6,-0.1319069873,0.365017338756842,0,P60900;G3V5Z7;G3V295;G3V3I1;G3V3U4;G3V4S5;G3V2S7;H0YJC4,P60900;G3V5Z7;G3V295;G3V3I1;G3V3U4,14;14;13;12;7;3;3;1,14;14;13;12;7;3;3;1,14;14;13;12;7;3;3;1,Proteasome subunit alpha type-6;Proteasome subunit alpha type,PSMA6,sp|P60900|PSA6_HUMAN Proteasome subunit alpha type-6 OS=Homo sapiens OX=9606 GN=PSMA6 PE=1 SV=1;tr|G3V5Z7|G3V5Z7_HUMAN Proteasome subunit alpha type OS=Homo sapiens OX=9606 GN=PSMA6 PE=1 SV=1;tr|G3V295|G3V295_HUMAN Proteasome subunit alpha type OS=Homo sap,14,14,51.2,246
MRPS22,0.413372048,0.0403836561507361,0,P82650;G5E9W7;G5E9V5;H7C5L9;H7C5H3;H7C5F2,P82650;G5E9W7;G5E9V5;H7C5L9,11;11;11;9;4;2,11;11;11;9;4;2,11;11;11;9;4;2,"28S ribosomal protein S22, mitochondrial",MRPS22,"sp|P82650|RT22_HUMAN 28S ribosomal protein S22, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS22 PE=1 SV=1;tr|G5E9W7|G5E9W7_HUMAN 28S ribosomal protein S22, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS22 PE=1 SV=1;tr|G5E9V5|G5E9V5_HUMAN 28S ribosomal prote",11,11,30.3,360
CLPTM1L,-0.2890835398,0.0738442967229697,0,Q96KA5;G5E9Z2,Q96KA5;G5E9Z2,2;2,2;2,2;2,Cleft lip and palate transmembrane protein 1-like protein,CLPTM1L,"sp|Q96KA5|CLP1L_HUMAN Cleft lip and palate transmembrane protein 1-like protein OS=Homo sapiens OX=9606 GN=CLPTM1L PE=1 SV=1;tr|G5E9Z2|G5E9Z2_HUMAN Cisplatin resistance related protein CRR9p, isoform CRA_c OS=Homo sapiens OX=9606 GN=CLPTM1L PE=1 SV=1",2,2,7.2,538
MRPS27,0.2337836385,0.163606142056117,0,Q92552;G5EA06;D6RH20;E5RJ73;D6RJC7,Q92552;G5EA06;D6RH20,6;6;5;2;2,6;6;5;2;2,6;6;5;2;2,"28S ribosomal protein S27, mitochondrial",MRPS27,"sp|Q92552|RT27_HUMAN 28S ribosomal protein S27, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS27 PE=1 SV=3;tr|G5EA06|G5EA06_HUMAN 28S ribosomal protein S27, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS27 PE=1 SV=1;tr|D6RH20|D6RH20_HUMAN 28S ribosomal prote",6,6,20.8,414
CELF1,-0.3839824895,0.0973689623536898,0,G5EA30;Q92879;E9PKU1;Q5VZZ6;A0A1B0GUN8;E9PC62;A0A1B0GU44;A0A0J9YX66;A0A0J9YXJ0;O95319;F5H0D8;E9PSH0;E9PQK4;F5H4Y5;V9GYD9;E9PKA1;F5H3J7,G5EA30;Q92879,10;9;4;3;3;3;3;3;3;3;3;3;3;2;2;1;1,10;9;4;3;3;3;3;3;3;3;3;3;3;2;2;1;1,10;9;4;3;3;3;3;3;3;3;3;3;3;2;2;1;1,CUGBP Elav-like family member 1,CELF1,"tr|G5EA30|G5EA30_HUMAN CUG triplet repeat, RNA binding protein 1, isoform CRA_c OS=Homo sapiens OX=9606 GN=CELF1 PE=1 SV=1;sp|Q92879|CELF1_HUMAN CUGBP Elav-like family member 1 OS=Homo sapiens OX=9606 GN=CELF1 PE=1 SV=2",10,10,28,514
SEC24C,-0.4037615819,0.0721483459356651,0,P53992;G5EA31,P53992;G5EA31,7;7,7;7,7;7,Protein transport protein Sec24C,SEC24C,sp|P53992|SC24C_HUMAN Protein transport protein Sec24C OS=Homo sapiens OX=9606 GN=SEC24C PE=1 SV=3;tr|G5EA31|G5EA31_HUMAN Protein transport protein Sec24C OS=Homo sapiens OX=9606 GN=SEC24C PE=1 SV=1,7,7,8.2,1094
ZYX,0.2916021753,0.316072464766702,0,Q15942;H0Y2Y8;H7C3D3;C9IZ41;C9JJK5,Q15942;H0Y2Y8;H7C3D3,6;6;3;2;1,6;6;3;2;1,6;6;3;2;1,Zyxin,ZYX,sp|Q15942|ZYX_HUMAN Zyxin OS=Homo sapiens OX=9606 GN=ZYX PE=1 SV=1;tr|H0Y2Y8|H0Y2Y8_HUMAN Zyxin (Fragment) OS=Homo sapiens OX=9606 GN=ZYX PE=1 SV=1;tr|H7C3D3|H7C3D3_HUMAN Zyxin (Fragment) OS=Homo sapiens OX=9606 GN=ZYX PE=1 SV=1,6,6,17.8,572
TLR9;TWF2;TWF1,-0.9341828854,0.010988599810038,0,H0Y858;Q9NR96;Q6IBS0;D6RG15;F8VS81,H0Y858;Q9NR96;Q6IBS0;D6RG15;F8VS81,2;1;1;1;1,1;1;0;0;0,1;1;0;0;0,Toll-like receptor 9;Twinfilin-2,TLR9;TWF2;TWF1,tr|H0Y858|H0Y858_HUMAN Uncharacterized protein (Fragment) OS=Homo sapiens OX=9606 PE=4 SV=1;sp|Q9NR96|TLR9_HUMAN Toll-like receptor 9 OS=Homo sapiens OX=9606 GN=TLR9 PE=1 SV=2;sp|Q6IBS0|TWF2_HUMAN Twinfilin-2 OS=Homo sapiens OX=9606 GN=TWF2 PE=1 SV=2;tr|D6,2,1,1.4,1186
HNRNPD,-0.0644159527,0.652605303098425,0,Q14103;H0Y8G5;H0YA96;D6RAF8;D6RF44;D6RBQ9;D6RD83,Q14103;H0Y8G5;H0YA96;D6RAF8;D6RF44;D6RBQ9,16;16;15;14;11;8;7,16;16;15;14;11;8;7,14;14;13;12;9;6;7,Heterogeneous nuclear ribonucleoprotein D0,HNRNPD,sp|Q14103|HNRPD_HUMAN Heterogeneous nuclear ribonucleoprotein D0 OS=Homo sapiens OX=9606 GN=HNRNPD PE=1 SV=1;tr|H0Y8G5|H0Y8G5_HUMAN Heterogeneous nuclear ribonucleoprotein D0 (Fragment) OS=Homo sapiens OX=9606 GN=HNRNPD PE=1 SV=8;tr|H0YA96|H0YA96_HUMAN Het,16,14,33.8,355
TPD52,-0.1768436265,0.341523055268732,0,H0YC42;P55327;U3KQQ8,H0YC42;P55327,5;3;1,3;3;0,3;3;0,Tumor protein D52,TPD52,tr|H0YC42|H0YC42_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 PE=1 SV=2;sp|P55327|TPD52_HUMAN Tumor protein D52 OS=Homo sapiens OX=9606 GN=TPD52 PE=1 SV=2,5,3,23.7,278
CD44,0.3317927949,0.184232049299489,0,P16070;H0YD13;H0Y2P0;H0YDW7;H0YCV9;H0Y5E4;E9PKC6;H0YE40;Q86UZ1;H0YDX6;H0YD17;J3KN83,P16070;H0YD13;H0Y2P0;H0YDW7;H0YCV9;H0Y5E4,9;9;7;5;5;5;4;4;3;2;2;1,9;9;7;5;5;5;4;4;3;2;2;1,9;9;7;5;5;5;4;4;3;2;2;1,CD44 antigen,CD44,sp|P16070|CD44_HUMAN CD44 antigen OS=Homo sapiens OX=9606 GN=CD44 PE=1 SV=3;tr|H0YD13|H0YD13_HUMAN CD44 antigen OS=Homo sapiens OX=9606 GN=CD44 PE=1 SV=2;tr|H0Y2P0|H0Y2P0_HUMAN CD44 antigen (Fragment) OS=Homo sapiens OX=9606 GN=CD44 PE=1 SV=1;tr|H0YDW7|H0Y,9,9,12.7,742
EMC7,-0.0430436892,0.745443987615364,0,Q9NPA0;H0YDT8;H0YDX2,Q9NPA0;H0YDT8,3;3;1,3;3;1,3;3;1,ER membrane protein complex subunit 7,EMC7,sp|Q9NPA0|EMC7_HUMAN ER membrane protein complex subunit 7 OS=Homo sapiens OX=9606 GN=EMC7 PE=1 SV=1;tr|H0YDT8|H0YDT8_HUMAN ER membrane protein complex subunit 7 (Fragment) OS=Homo sapiens OX=9606 GN=EMC7 PE=1 SV=1,3,3,24.4,242
PPP5C,-1.8930925477,0.0195004597912775,1,P53041;H0YDU8;A8MU39,P53041;H0YDU8;A8MU39,5;5;3,5;5;3,5;5;3,Serine/threonine-protein phosphatase 5;Serine/threonine-protein phosphatase,PPP5C,sp|P53041|PPP5_HUMAN Serine/threonine-protein phosphatase 5 OS=Homo sapiens OX=9606 GN=PPP5C PE=1 SV=1;tr|H0YDU8|H0YDU8_HUMAN Serine/threonine-protein phosphatase (Fragment) OS=Homo sapiens OX=9606 GN=PPP5C PE=1 SV=1;tr|A8MU39|A8MU39_HUMAN Serine/threonine,5,5,14.6,499
