Gene_names,NUP43_vs_BirA_logFC,NUP43_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_NUP43_N1,Peptides_NUP43_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_NUP43_N1,Razor___unique_peptides_NUP43_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_NUP43_N1,Unique_peptides_NUP43_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_NUP43_N1,Identification_type_NUP43_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_NUP43_N1,Ratio_H_L_NUP43_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_NUP43_N1,Ratio_H_L_normalized_NUP43_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____NUP43_N1,Ratio_H_L_variability_____NUP43_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_NUP43_N1,Ratio_H_L_count_NUP43_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_NUP43_N1,Ratio_H_L_iso_count_NUP43_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_NUP43_N1,Ratio_H_L_type_NUP43_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_NUP43_N1____,Sequence_coverage_NUP43_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_NUP43_N1,Intensity_L_NUP43_N1,Intensity_H_NUP43_N1,Intensity_NUP43_N2,Intensity_L_NUP43_N2,Intensity_H_NUP43_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_NUP43_N1,metacell_Intensity_L_NUP43_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
BUD31,-0.196642282954269,0.826348753590058,P41223;C9JCD9,P41223;C9JCD9,2;1,2;1,2;1,Protein BUD31 homolog,sp|P41223|BUD31_HUMAN Protein BUD31 homolog OS=Homo sapiens OX=9606 GN=BUD31 PE=1 SV=2;tr|C9JCD9|C9JCD9_HUMAN Protein BUD31 homolog OS=Homo sapiens OX=9606 GN=BUD31 PE=1 SV=1,2,2,2,2,1,2,1,1,1,2,1,1,1,2,1,1,15.3,15.3,15.3,17.0,144,144;103,0.00052383,3.5697,By matching,By MS/MS,By MS/MS,By MS/MS,1.0892,2.3719,36.582,5,0,Leave out requantified,0.85543,1.1605,1.0706,0.87258,1.2936,2.261,2.2092,2.0154,,43.355,,,1,2,1,1,0,0,0,0,Median,Median,Median,Median,5.6,15.3,5.6,5.6,98894000,49341000,49553000,5605900,2997800,2608100,37326000,17107000,20219000,22077000,11241000,10836000,33885000,17995000,15890000,,,,1750,3234;20841,True;True,3722;23898,9562;60069;60070;60071;60072,18209;18210;112585;112586;112587;112588;112589,18210;112586,,,,,-1;-1,protein_1751,quanti,quanti,quanti,quanti
GARS,-0.313906858947977,0.18803779100055,P41250,P41250,20,20,20,Glycine--tRNA ligase,sp|P41250|GARS_HUMAN Glycine--tRNA ligase OS=Homo sapiens OX=9606 GN=GARS1 PE=1 SV=3,1,20,20,20,13,12,10,14,13,12,10,14,13,12,10,14,37.6,37.6,37.6,83.165,739,739,0.0,39.618,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.4382,1.247,23.188,57,8,Leave out requantified,0.2906,0.39774,0.46505,0.50038,0.98028,1.1216,1.2488,1.3301,24.321,16.113,18.423,32.235,14,12,14,17,4,1,1,2,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,24.4,21.9,23.0,28.8,3806200000,2472500000,1333600000,570020000,401050000,168970000,661570000,459480000,202090000,986380000,627580000,358800000,1588200000,984410000,603780000,,,,1751,467;3518;3686;3806;8105;8813;10225;10890;10891;11420;13986;15450;16390;17223;17227;17717;17952;17997;18178;21121,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,525;4039;4229;4363;9437;9438;10233;11897;12665;12666;13266;16146;17804;18870;19779;19785;20353;20604;20654;20855;24212,1303;1304;10304;10751;10752;10753;11067;11068;23792;23793;23794;23795;23796;23797;23798;25742;25743;25744;25745;29942;29943;29944;29945;29946;29947;29948;31921;31922;31923;31924;31925;31926;33371;40556;40557;44504;44505;47277;47278;47279;47280;47281;49579;49580;49581;49582;49603;49604;49605;51073;51074;51659;51660;51783;52354;52355;52356;60859;60860,2378;2379;19579;20400;20401;20402;20403;20404;20405;20406;20952;20953;44917;44918;44919;44920;44921;44922;44923;44924;44925;44926;44927;44928;44929;44930;44931;44932;48540;48541;48542;48543;48544;48545;48546;48547;48548;48549;56020;56021;56022;56023;56024;56025;56026;59713;59714;59715;59716;59717;59718;59719;59720;59721;59722;59723;59724;59725;59726;59727;59728;59729;59730;59731;59732;59733;59734;62382;62383;62384;62385;62386;75490;75491;82326;82327;87528;87529;87530;87531;87532;87533;87534;87535;91878;91879;91880;91881;91882;91883;91884;91885;91886;91887;91888;91889;91890;91891;91962;91963;95076;95077;96103;96104;96310;97520;97521;97522;97523;97524;114016,2378;19579;20404;20952;44927;48547;56021;59723;59734;62384;75490;82326;87531;91890;91963;95076;96104;96310;97523;114016,,,,,-1,protein_1752,quanti,quanti,quanti,quanti
ECI1;DCI,0.578459304490138,0.173526542947035,P42126;Q96DC0;H3BS70,P42126;Q96DC0,8;6;3,8;6;3,8;6;3,"Enoyl-CoA delta isomerase 1, mitochondrial","sp|P42126|ECI1_HUMAN Enoyl-CoA delta isomerase 1, mitochondrial OS=Homo sapiens OX=9606 GN=ECI1 PE=1 SV=1;tr|Q96DC0|Q96DC0_HUMAN DCI protein OS=Homo sapiens OX=9606 GN=ECI1 PE=1 SV=1",3,8,8,8,5,4,6,5,5,4,6,5,5,4,6,5,27.2,27.2,27.2,32.816,302,302;243;224,0.0,25.744,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.33042,0.97258,18.615,21,5,Leave out requantified,0.34936,0.43093,0.32553,0.29349,1.0077,1.1279,0.97828,0.86066,29.854,63.716,35.603,21.433,5,4,7,5,2,0,2,1,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,15.9,15.2,24.8,23.2,2103600000,1545600000,558040000,277170000,207700000,69471000,207800000,147360000,60438000,789000000,567400000,221600000,829640000,623110000,206530000,,,,1752,2698;2699;6520;12321;16179;16358;19495;19496,True;True;True;True;True;True;True;True,3095;3096;7541;14290;18639;18835;22400;22401,8041;8042;8043;8044;8045;8046;18875;18876;35890;35891;46668;46669;46670;46671;47194;47195;56383;56384;56385;56386;56387,15314;15315;15316;15317;15318;15319;15320;15321;15322;15323;15324;15325;35419;35420;35421;35422;66877;86351;86352;86353;86354;86355;86356;86357;86358;86359;86360;86361;86362;86363;86364;87380;87381;105619;105620;105621;105622;105623;105624;105625;105626;105627;105628;105629;105630,15321;15325;35421;66877;86352;87380;105625;105630,575;576,,61;63,,-1;-1;-1,protein_1753,quanti,quanti,quanti,quanti
TMPO,2.60332513625888,0.000195144439730608,P42167;G5E972;H0YJH7,P42167;G5E972,12;10;5,12;10;5,6;4;3,"Lamina-associated polypeptide 2, isoforms beta/gamma;Thymopoietin;Thymopentin","sp|P42167|LAP2B_HUMAN Lamina-associated polypeptide 2, isoforms beta/gamma OS=Homo sapiens OX=9606 GN=TMPO PE=1 SV=2;tr|G5E972|G5E972_HUMAN Lamina-associated polypeptide 2, isoforms beta/gamma OS=Homo sapiens OX=9606 GN=TMPO PE=1 SV=1",3,12,12,6,1,2,10,10,1,2,10,10,0,0,6,6,37.9,37.9,21.6,50.67,454,454;414;237,0.0,22.31,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.43255,1.1924,26.953,23,3,Leave out requantified,0.23539,0.49977,0.42223,0.45191,0.82255,1.1274,1.3048,1.268,,10.582,27.776,24.235,1,2,10,10,0,0,1,2,Median,Median,Leave out requantified,Leave out requantified,2.9,5.9,34.4,31.7,2010300000,1343200000,667110000,52328000,41639000,10689000,69958000,48227000,21731000,798040000,534180000,263860000,1090000000,719170000,370830000,,,,1754,3299;5175;5594;6705;7315;10766;14355;15271;15564;16656;20797;21317,True;True;True;True;True;True;True;True;True;True;True;True,3798;5917;6444;7778;8522;12508;16559;17596;17924;19160;23846;24426,9734;9735;14834;14835;16124;16125;19495;19496;21381;21382;31530;41572;43974;43975;44795;44796;48023;59949;59950;59951;59952;61409;61410,18535;18536;18537;27927;27928;30475;30476;30477;30478;30479;30480;36604;36605;36606;36607;40236;40237;58971;58972;58973;77320;77321;81375;81376;81377;82856;82857;88807;112347;112348;112349;112350;112351;112352;112353;112354;112355;112356;112357;115045;115046,18536;27928;30479;36604;40236;58972;77320;81375;82856;88807;112356;115046,,,,,-1;-1;-1,protein_1755,quanti,quanti,quanti,quanti
SKIV2L2,3.56620511666235,6.98031475252775e-05,P42285;D6REC7,P42285,20;1,20;1,20;1,Superkiller viralicidic activity 2-like 2,sp|P42285|MTREX_HUMAN Exosome RNA helicase MTR4 OS=Homo sapiens OX=9606 GN=MTREX PE=1 SV=3,2,20,20,20,2,3,16,19,2,3,16,19,2,3,16,19,23.6,23.6,23.6,117.8,1042,1042;89,0.0,27.061,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.64426,1.6748,40.301,41,3,Leave out requantified,0.60123,0.71168,0.70442,0.56645,1.4059,1.4504,1.8167,1.4993,25.056,31.504,42.394,43.637,2,3,17,19,0,0,1,2,Median,Leave out requantified,Leave out requantified,Leave out requantified,1.9,1.9,21.2,23.4,2033200000,1113900000,919290000,28057000,16930000,11127000,41217000,22626000,18591000,827460000,436420000,391040000,1136500000,637970000,498520000,,,,1755,331;3389;4023;4117;5706;8674;10263;10311;11979;13591;13592;15654;18156;18165;18166;18992;19068;19764;20418;20623,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,374;3899;4607;4711;6574;10074;11941;11996;13896;15711;15712;18030;20831;20841;20842;21778;21878;22694;23432;23657,923;924;9954;9955;11611;11814;11815;11816;16428;16429;25377;25378;30059;30060;30196;30197;34861;34862;39425;39426;39427;45049;45050;45051;45052;45053;45054;52296;52321;52322;52323;52324;54749;54750;55038;55039;57097;57098;58920;58921;59479;59480,1721;1722;1723;1724;1725;18936;21857;22196;22197;22198;22199;22200;22201;22202;30990;47763;47764;47765;56246;56247;56248;56249;56250;56535;64948;64949;64950;64951;73276;73277;73278;83302;83303;83304;83305;83306;83307;83308;83309;83310;83311;83312;97389;97460;97461;97462;97463;102388;102389;102390;102391;102392;102393;103008;103009;103010;103011;103012;107015;110478;110479;111458;111459;111460;111461;111462,1721;18936;21857;22196;30990;47764;56249;56535;64950;73277;73278;83312;97389;97461;97463;102393;103008;107015;110478;111461,,,,,-1;-1,protein_1756,quanti,quanti,quanti,quanti
LRPPRC,1.81466791273074,0.000904652022930154,P42704;A0A0C4DG06;B8ZZ38;C9JCA9;H7C3W8,P42704,63;22;21;18;1,63;22;21;18;1,63;22;21;18;1,"Leucine-rich PPR motif-containing protein, mitochondrial","sp|P42704|LPPRC_HUMAN Leucine-rich PPR motif-containing protein, mitochondrial OS=Homo sapiens OX=9606 GN=LRPPRC PE=1 SV=3",5,63,63,63,26,24,55,58,26,24,55,58,26,24,55,58,50.0,50.0,50.0,157.9,1394,1394;531;504;359;77,0.0,313.92,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.31044,0.89199,22.433,202,61,Leave out requantified,0.2797,0.29701,0.32254,0.31352,0.90609,0.77125,0.97656,0.91354,33.291,15.777,20.834,34.079,30,28,72,72,10,7,21,23,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,23.7,21.6,42.0,47.8,21173000000,15257000000,5915600000,1141100000,819420000,321650000,1196300000,851250000,345050000,7834400000,5596700000,2237700000,11001000000,7989900000,3011200000,,,,1760,335;683;850;1006;1142;1557;2307;2672;2715;3061;3325;3642;3666;3898;4953;5291;5512;7665;8224;8452;8979;9094;9110;9449;9715;9716;10060;10220;10515;10516;10586;10800;11054;11488;11656;12165;12674;12675;13024;13130;13336;13852;14172;14270;14904;15431;15508;15693;16348;16613;16614;16844;17015;17507;18153;18980;18985;19060;19061;20298;20299;20573;20574,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,378;760;953;1138;1301;1800;2648;2649;3067;3114;3518;3827;4183;4209;4465;5666;6058;6343;8911;9565;9821;10438;10439;10580;10598;11004;11317;11318;11714;11891;11892;12214;12215;12292;12293;12554;12555;12861;13343;13535;14104;14105;14678;14679;15076;15192;15425;15426;15994;16357;16358;16466;16467;17188;17785;17866;18073;18074;18822;19115;19116;19117;19366;19553;20106;20107;20828;21765;21770;21870;21871;23302;23303;23601;23602,931;932;1919;1920;1921;1922;1923;1924;2434;2435;2905;2906;3346;3347;4684;4685;6962;6963;6964;6965;6966;6967;6968;6969;6970;7981;7982;8091;9076;9077;9078;9079;9802;9803;10650;10651;10704;11279;11280;14191;14192;15144;15145;15880;22383;22384;24121;24122;24783;24784;26255;26256;26257;26612;26613;26614;26615;26649;26650;26651;26652;26653;26654;27647;27648;28434;28435;28436;28437;29493;29494;29926;29927;29928;29929;29930;30772;30773;30774;30775;30776;30777;30949;30950;30951;30952;30953;31642;31643;31644;31645;31646;31647;32423;32424;33537;33538;33992;33993;33994;33995;35408;35409;35410;35411;35412;36849;36850;36851;36852;36853;36854;37813;37814;37815;37816;38096;38097;38098;38721;38722;38723;38724;38725;38726;38727;40161;41088;41089;41090;41091;41092;41369;41370;41371;41372;43020;43021;44464;44465;44666;45173;45174;45175;45176;45177;45178;45179;45180;45181;45182;47149;47150;47151;47152;47905;47906;47907;47908;47909;47910;47911;47912;47913;47914;47915;47916;47917;47918;48530;48531;48532;49009;49010;49011;49012;50452;50453;50454;50455;50456;50457;50458;50459;52287;52288;52289;54715;54716;54725;54726;55020;55021;55022;55023;55024;55025;58595;58596;59325;59326;59327;59328;59329,1737;1738;3455;3456;3457;3458;3459;3460;3461;3462;3463;3464;3465;4446;4447;4448;4449;4450;5366;5367;5368;5369;6282;6283;6284;8891;8892;13392;13393;13394;13395;13396;13397;13398;13399;13400;13401;13402;13403;13404;13405;13406;13407;13408;13409;15226;15227;15405;15406;17254;17255;17256;17257;17258;17259;17260;17261;17262;17263;18679;18680;20257;20258;20259;20329;20330;21281;21282;21283;21284;26606;26607;26608;26609;28519;28520;28521;28522;28523;28524;28525;28526;28527;30020;30021;42167;42168;45463;45464;45465;45466;46690;46691;49435;49436;49437;50055;50056;50057;50058;50129;50130;50131;50132;50133;50134;50135;50136;50137;50138;50139;51734;51735;51736;53158;53159;55116;55117;55118;55119;55120;55121;55988;55989;55990;55991;55992;55993;55994;55995;55996;55997;55998;55999;56000;56001;56002;56003;56004;56005;56006;56007;56008;57605;57606;57607;57608;57609;57610;57611;57612;57613;57614;57615;57942;57943;57944;57945;57946;57947;59148;59149;59150;59151;59152;59153;59154;59155;59156;59157;60791;60792;60793;60794;60795;62696;62697;62698;62699;62700;62701;62702;62703;63424;63425;63426;63427;63428;65937;65938;65939;65940;65941;65942;65943;68616;68617;68618;68619;68620;68621;68622;68623;70316;70317;70318;70794;70795;70796;71895;71896;71897;71898;71899;71900;71901;71902;71903;71904;71905;71906;71907;71908;71909;71910;71911;71912;71913;71914;71915;74680;76484;76485;76486;76487;76488;76489;76490;76491;76492;76981;76982;76983;76984;76985;76986;76987;76988;76989;79771;82245;82246;82247;82248;82638;82639;82640;83536;83537;83538;83539;83540;83541;83542;83543;83544;83545;83546;83547;83548;83549;83550;83551;83552;83553;83554;83555;83556;83557;83558;83559;83560;83561;83562;83563;83564;83565;83566;83567;87279;87280;87281;87282;87283;87284;88625;88626;88627;88628;88629;88630;88631;88632;88633;88634;88635;88636;88637;88638;88639;88640;88641;88642;88643;88644;89795;89796;89797;89798;90765;90766;90767;90768;90769;93807;93808;93809;93810;93811;93812;93813;93814;93815;93816;93817;93818;93819;93820;93821;97375;97376;97377;97378;97379;102327;102328;102329;102330;102348;102349;102350;102985;102986;102987;102988;102989;102990;109904;109905;111162;111163;111164;111165;111166;111167;111168,1738;3465;4449;5368;6284;8891;13405;15227;15405;17261;18680;20259;20330;21284;26607;28525;30021;42168;45465;46691;49437;50055;50139;51735;53158;53159;55120;56004;57605;57615;57947;59154;60795;62702;63427;65939;68616;68620;70318;70794;71909;74680;76485;76988;79771;82246;82639;83548;87279;88631;88637;89797;90768;93816;97378;102329;102350;102985;102988;109904;109905;111166;111167,580,,226,,-1;-1;-1;-1;-1,protein_1761,quanti,quanti,quanti,quanti
ACAA2,1.16942799736626,0.0235973952771027,P42765;A0A0B4J2A4;K7EME0;K7ER88;K7EJB1;K7EJ68,P42765;A0A0B4J2A4;K7EME0,14;12;10;1;1;1,14;12;10;1;1;1,14;12;10;1;1;1,"3-ketoacyl-CoA thiolase, mitochondrial","sp|P42765|THIM_HUMAN 3-ketoacyl-CoA thiolase, mitochondrial OS=Homo sapiens OX=9606 GN=ACAA2 PE=1 SV=2;tr|A0A0B4J2A4|A0A0B4J2A4_HUMAN 3-ketoacyl-CoA thiolase, mitochondrial OS=Homo sapiens OX=9606 GN=ACAA2 PE=1 SV=1;tr|K7EME0|K7EME0_HUMAN 3-ketoacyl-CoA th",6,14,14,14,3,5,10,10,3,5,10,10,3,5,10,10,46.3,46.3,46.3,41.924,397,397;394;342;72;84;124,0.0,29.904,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.31063,0.95353,33.895,27,12,Leave out requantified,0.28644,0.43285,0.31246,0.22264,0.98691,1.1081,0.95353,0.64931,44.52,21.835,45.827,22.014,3,5,10,9,0,0,7,5,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,18.4,23.9,35.5,31.0,1929300000,1424800000,504460000,110460000,83696000,26760000,237500000,158350000,79153000,741950000,542360000,199590000,839380000,640430000,198950000,,,,1761,175;2813;2877;6510;8468;8518;8519;8661;12534;15259;16010;17771;18835;20421,True;True;True;True;True;True;True;True;True;True;True;True;True;True,194;3231;3306;7529;9837;9899;9900;9901;10059;14525;17584;18444;20411;21598;23435,485;486;8413;8414;8613;18841;18842;24808;24958;24959;24960;24961;24962;25343;25344;25345;36456;43954;43955;46159;46160;51214;51215;54271;54272;54273;58928;58929;58930,878;879;16104;16105;16486;35358;35359;46720;47007;47008;47009;47010;47011;47012;47013;47711;47712;67941;81346;81347;81348;85385;85386;95325;95326;101474;101475;101476;101477;101478;101479;110496;110497,878;16105;16486;35359;46720;47009;47013;47711;67941;81348;85385;95325;101479;110497,,,,,-1;-1;-1;-1;-1;-1,protein_1762,quanti,quanti,quanti,quanti
RPL35,0.202290251795681,0.537031522168702,P42766;F2Z388,P42766;F2Z388,5;4,5;4,5;4,60S ribosomal protein L35,sp|P42766|RL35_HUMAN 60S ribosomal protein L35 OS=Homo sapiens OX=9606 GN=RPL35 PE=1 SV=2;tr|F2Z388|F2Z388_HUMAN 60S ribosomal protein L35 OS=Homo sapiens OX=9606 GN=RPL35 PE=1 SV=1,2,5,5,5,3,4,5,5,3,4,5,5,3,4,5,5,30.1,30.1,30.1,14.551,123,123;96,0.0,136.89,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.31641,0.95069,16.388,31,6,Leave out requantified,0.24717,0.2644,0.32411,0.3531,0.93732,0.8058,1.0025,1.0176,33.113,12.367,9.4659,159.96,5,5,13,8,2,1,2,1,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,19.5,19.5,30.1,30.1,5706200000,4404800000,1301400000,831680000,642520000,189160000,738040000,576050000,161990000,2157900000,1598500000,559400000,1978700000,1587800000,390890000,,,,1762,14646;19480;19481;19482;20899,True;True;True;True;True,16893;16894;22381;22382;22383;22384;22385;22386;22387;23963,42351;42352;42353;42354;56334;56335;56336;56337;56338;56339;56340;56341;56342;56343;56344;56345;56346;56347;56348;56349;56350;56351;56352;56353;56354;56355;56356;60237;60238;60239;60240,78727;78728;78729;78730;78731;78732;78733;105521;105522;105523;105524;105525;105526;105527;105528;105529;105530;105531;105532;105533;105534;105535;105536;105537;105538;105539;105540;105541;105542;105543;105544;105545;105546;105547;105548;105549;105550;105551;105552;105553;105554;105555;105556;105557;105558;105559;105560;105561;105562;105563;105564;105565;105566;112880;112881;112882;112883,78728;105523;105540;105556;112880,581,,66,,-1;-1,protein_1763,quanti,quanti,quanti,quanti
SLC1A4,19.770594496025,1.26878234422156e-05,P43007,P43007,2,2,2,Neutral amino acid transporter A,sp|P43007|SATT_HUMAN Neutral amino acid transporter A OS=Homo sapiens OX=9606 GN=SLC1A4 PE=1 SV=1,1,2,2,2,0,0,1,2,0,0,1,2,0,0,1,2,4.5,4.5,4.5,55.722,532,532,0.00052715,3.6058,,,By MS/MS,By MS/MS,1.0935,3.0388,19.443,3,2,Median,,,1.0574,1.5924,,,2.935,4.088,,,4.9156,,0,0,2,1,0,0,2,0,Median,Median,Median,Median,0.0,0.0,2.4,4.5,154620000,76844000,77781000,0,0,0,0,0,0,105040000,56189000,48852000,49584000,20655000,28929000,,,,1764,4010;13822,True;True,4594;15961,11584;40078;40079;40080,21812;74526;74527;74528;74529;74530;74531;74532;74533;74534,21812;74531,,,,,-1,protein_1765,quanti,quanti,imputed MEC,imputed MEC
MSH2,-0.195052954065684,0.475412077306556,P43246;A0A2R8YFH0;E9PHA6;A0A2R8Y6P0;A0A2R8YG02;A0A2R8Y7S8;A0A2R8Y713,P43246;A0A2R8YFH0;E9PHA6;A0A2R8Y6P0;A0A2R8YG02;A0A2R8Y7S8,7;5;5;5;5;4;1,7;5;5;5;5;4;1,7;5;5;5;5;4;1,DNA mismatch repair protein Msh2,sp|P43246|MSH2_HUMAN DNA mismatch repair protein Msh2 OS=Homo sapiens OX=9606 GN=MSH2 PE=1 SV=1;tr|A0A2R8YFH0|A0A2R8YFH0_HUMAN DNA mismatch repair protein OS=Homo sapiens OX=9606 GN=MSH2 PE=1 SV=1;tr|E9PHA6|E9PHA6_HUMAN DNA mismatch repair protein OS=Homo ,7,7,7,7,2,4,3,3,2,4,3,3,2,4,3,3,10.0,10.0,10.0,104.74,934,934;918;921;924;938;558;168,0.0,9.4521,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.50557,1.1166,67.085,11,9,Median,0.49949,0.4559,0.59951,1.0295,1.6549,1.1166,1.0529,2.5268,93.118,25.606,79.874,53.853,2,3,3,3,2,1,3,3,Median,Plateau,Median,Median,2.7,5.8,4.5,3.5,471910000,256750000,215160000,79970000,45125000,34845000,56346000,39530000,16815000,130760000,67266000,63499000,204830000,104830000,100000000,,,,1766,1414;4350;6576;7730;9898;14002;14862,True;True;True;True;True;True;True,1632;4976;7608;8989;11538;16164;17140,4223;12501;12502;12503;19033;22607;29093;40594;40595;40596;40597;42913,7909;23538;23539;23540;23541;23542;35694;42714;54423;75564;75565;75566;75567;79589,7909;23541;35694;42714;54423;75565;79589,,,,,-1;-1;-1;-1;-1;-1;-1,protein_1767,quanti,quanti,quanti,quanti
GPD2,1.76196804661497,0.00361400338699769,P43304;F5GYK7,P43304;F5GYK7,12;6,12;6,12;6,"Glycerol-3-phosphate dehydrogenase, mitochondrial;Glycerol-3-phosphate dehydrogenase","sp|P43304|GPDM_HUMAN Glycerol-3-phosphate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=GPD2 PE=1 SV=3;tr|F5GYK7|F5GYK7_HUMAN Glycerol-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GPD2 PE=1 SV=1",2,12,12,12,3,4,6,7,3,4,6,7,3,4,6,7,20.2,20.2,20.2,80.852,727,727;379,0.0,24.16,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.2391,0.81355,37.278,22,13,Leave out requantified,0.23767,0.3965,0.28153,0.31304,0.82306,0.91834,0.77431,0.73966,41.268,55.396,61.675,47.024,3,4,7,8,0,2,5,6,Leave out requantified,Median,Median,Median,6.6,6.2,9.4,12.7,1525400000,1022600000,502760000,85203000,65103000,20099000,78367000,51013000,27354000,600930000,366530000,234400000,760850000,539950000,220910000,,,,1767,1013;8637;8964;9619;12280;12296;13114;14325;17065;18988;20713;20714,True;True;True;True;True;True;True;True;True;True;True;True,1147;10028;10421;11208;14245;14263;15174;16526;19609;21773;23753;23754,2934;2935;2936;25269;26212;26213;28174;28175;28176;28177;35768;35817;35818;38052;38053;41501;41502;49152;54732;54733;59709;59710,5455;5456;5457;5458;47564;49361;49362;52683;52684;52685;52686;52687;66632;66732;66733;66734;70712;70713;70714;77205;77206;77207;77208;91019;102358;102359;102360;111894;111895,5455;47564;49362;52687;66632;66733;70712;77208;91019;102359;111894;111895,,,,,-1;-1,protein_1768,quanti,quanti,quanti,quanti
