DDB2_vs_zBirA,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
EIF2S3;EIF2S3L,0.0254097037,0.856548518092346,0,P41091;Q2VIR3;H7BZU1,P41091;Q2VIR3,15;13;6,15;13;6,15;13;6,Eukaryotic translation initiation factor 2 subunit 3;Putative eukaryotic translation initiation factor 2 subunit 3-like protein,EIF2S3;EIF2S3L,sp|P41091|IF2G_HUMAN Eukaryotic translation initiation factor 2 subunit 3 OS=Homo sapiens OX=9606 GN=EIF2S3 PE=1 SV=3;sp|Q2VIR3|IF2GL_HUMAN Eukaryotic translation initiation factor 2 subunit 3B OS=Homo sapiens OX=9606 GN=EIF2S3B PE=2 SV=2,15,15,38.6,478
EIF3A,0.173620595,0.451308321224908,0,Q14152,Q14152,26,26,26,Eukaryotic translation initiation factor 3 subunit A,EIF3A,sp|Q14152|EIF3A_HUMAN Eukaryotic translation initiation factor 3 subunit A OS=Homo sapiens OX=9606 GN=EIF3A PE=1 SV=1,26,26,19.5,242
EIF3B,-0.4530341552,0.0251557747889865,0,P55884;C9JQN7;C9JZG1,P55884,24;9;2,24;9;2,24;9;2,Eukaryotic translation initiation factor 3 subunit B,EIF3B,sp|P55884|EIF3B_HUMAN Eukaryotic translation initiation factor 3 subunit B OS=Homo sapiens OX=9606 GN=EIF3B PE=1 SV=3,24,24,29.7,656
EIF3C;EIF3CL,-0.0359481762,0.857826389704663,0,Q99613;B5ME19;H3BPE4,Q99613;B5ME19,16;15;1,16;15;1,16;15;1,Eukaryotic translation initiation factor 3 subunit C;Eukaryotic translation initiation factor 3 subunit C-like protein,EIF3C;EIF3CL,sp|Q99613|EIF3C_HUMAN Eukaryotic translation initiation factor 3 subunit C OS=Homo sapiens OX=9606 GN=EIF3C PE=1 SV=1;sp|B5ME19|EIFCL_HUMAN Eukaryotic translation initiation factor 3 subunit C-like protein OS=Homo sapiens OX=9606 GN=EIF3CL PE=1 SV=1,16,16,17.7,154
EIF3D,0.1345154596,0.482697545484632,0,O15371;B0QYA5;B0QYA6;B0QYA8;B0QYA4,O15371;B0QYA5,16;10;6;5;4,16;10;6;5;4,16;10;6;5;4,Eukaryotic translation initiation factor 3 subunit D,EIF3D,sp|O15371|EIF3D_HUMAN Eukaryotic translation initiation factor 3 subunit D OS=Homo sapiens OX=9606 GN=EIF3D PE=1 SV=1;tr|B0QYA5|B0QYA5_HUMAN Eukaryotic translation initiation factor 3 subunit D (Fragment) OS=Homo sapiens OX=9606 GN=EIF3D PE=1 SV=1,16,16,35.8,614
EIF3E,-0.2032473874,0.242460987227091,0,P60228;E5RGA2;H0YAW4;H0YBR5;E5RHS5;E5RIT4;E5RIP5;E5RJ25;E5RII3,P60228;E5RGA2,16;11;6;5;5;3;2;2;2,16;11;6;5;5;3;2;2;2,16;11;6;5;5;3;2;2;2,Eukaryotic translation initiation factor 3 subunit E,EIF3E,sp|P60228|EIF3E_HUMAN Eukaryotic translation initiation factor 3 subunit E OS=Homo sapiens OX=9606 GN=EIF3E PE=1 SV=1;tr|E5RGA2|E5RGA2_HUMAN Eukaryotic translation initiation factor 3 subunit E OS=Homo sapiens OX=9606 GN=EIF3E PE=1 SV=1,16,16,36.6,196
EIF3F,-0.2017284627,0.200317439278911,0,O00303;H0YDT6;E9PQV8;A0A1W2PP79,O00303,12;3;2;2,12;3;2;2,12;3;2;2,Eukaryotic translation initiation factor 3 subunit F,EIF3F,sp|O00303|EIF3F_HUMAN Eukaryotic translation initiation factor 3 subunit F OS=Homo sapiens OX=9606 GN=EIF3F PE=1 SV=1,12,12,42.9,248
EIF3I,0.0247677338,0.858072261129095,0,Q13347;Q5TFK1,Q13347,13;3,13;3,13;3,Eukaryotic translation initiation factor 3 subunit I,EIF3I,sp|Q13347|EIF3I_HUMAN Eukaryotic translation initiation factor 3 subunit I OS=Homo sapiens OX=9606 GN=EIF3I PE=1 SV=1,13,13,53.2,190
EIF3J,-0.2486240514,0.422393976245806,0,O75822;H0YGJ7;H0YLP3,O75822,3;1;1,3;1;1,3;1;1,Eukaryotic translation initiation factor 3 subunit J,EIF3J,sp|O75822|EIF3J_HUMAN Eukaryotic translation initiation factor 3 subunit J OS=Homo sapiens OX=9606 GN=EIF3J PE=1 SV=2,3,3,14.7,188
EIF3K,0.1218995875,0.42568486358409,0,Q9UBQ5;K7ES31;K7ERF1;K7EQM4;A0A087WVB9,Q9UBQ5;K7ES31;K7ERF1;K7EQM4;A0A087WVB9,4;4;4;2;2,4;4;4;2;2,4;4;4;2;2,Eukaryotic translation initiation factor 3 subunit K,EIF3K,sp|Q9UBQ5|EIF3K_HUMAN Eukaryotic translation initiation factor 3 subunit K OS=Homo sapiens OX=9606 GN=EIF3K PE=1 SV=1;tr|K7ES31|K7ES31_HUMAN Eukaryotic translation initiation factor 3 subunit K OS=Homo sapiens OX=9606 GN=EIF3K PE=1 SV=1;tr|K7ERF1|K7ERF1_HU,4,4,16.5,172
EIF3M,-0.1714431939,0.349723995103632,0,Q7L2H7;E9PRI2;E9PN86;E7ESM3;J3KNJ2;H0YCQ8,Q7L2H7,5;1;1;1;1;1,5;1;1;1;1;1,5;1;1;1;1;1,Eukaryotic translation initiation factor 3 subunit M,EIF3M,sp|Q7L2H7|EIF3M_HUMAN Eukaryotic translation initiation factor 3 subunit M OS=Homo sapiens OX=9606 GN=EIF3M PE=1 SV=1,5,5,16.3,543
EIF4A1,0.0459388185,0.799061684808223,0,P60842;J3KT12;J3QS69;J3QL43;J3KTB5;J3KSZ0;J3QR64;J3QLN6;J3QKZ9;J3KTN0;J3KT04;J3KS93;J3QL52;J3KSN7;E7EMV8;J3QQP0;F8WE11;E9PBH4,P60842;J3KT12;J3QS69;J3QL43;J3KTB5;J3KSZ0;J3QR64;J3QLN6,28;24;21;20;20;16;16;15;12;8;4;4;4;2;2;2;1;1,28;24;21;20;20;16;16;15;12;8;4;4;4;2;2;2;1;1,7;5;3;2;3;5;2;1;0;2;0;0;2;0;0;0;0;0,Eukaryotic initiation factor 4A-I,EIF4A1,sp|P60842|IF4A1_HUMAN Eukaryotic initiation factor 4A-I OS=Homo sapiens OX=9606 GN=EIF4A1 PE=1 SV=1;tr|J3KT12|J3KT12_HUMAN Eukaryotic initiation factor 4A-I OS=Homo sapiens OX=9606 GN=EIF4A1 PE=1 SV=1;tr|J3QS69|J3QS69_HUMAN Eukaryotic initiation factor 4A-,28,7,62.3,328
EIF4A2,-0.4296674365,0.264697528554465,0,Q14240;E7EQG2,Q14240;E7EQG2,16;14,4;2,4;2,"Eukaryotic initiation factor 4A-II;Eukaryotic initiation factor 4A-II, N-terminally processed",EIF4A2,sp|Q14240|IF4A2_HUMAN Eukaryotic initiation factor 4A-II OS=Homo sapiens OX=9606 GN=EIF4A2 PE=1 SV=2;tr|E7EQG2|E7EQG2_HUMAN Eukaryotic initiation factor 4A-II OS=Homo sapiens OX=9606 GN=EIF4A2 PE=1 SV=1,16,4,40.5,494
EIF4A3,-0.1378478593,0.506641640364037,0,P38919;I3L3H2,P38919;I3L3H2,20;17,17;14,17;14,"Eukaryotic initiation factor 4A-III;Eukaryotic initiation factor 4A-III, N-terminally processed",EIF4A3,sp|P38919|IF4A3_HUMAN Eukaryotic initiation factor 4A-III OS=Homo sapiens OX=9606 GN=EIF4A3 PE=1 SV=4;tr|I3L3H2|I3L3H2_HUMAN Eukaryotic initiation factor 4A-III OS=Homo sapiens OX=9606 GN=EIF4A3 PE=1 SV=2,20,17,48.2,959
EIF4B,-1.3260489223,0.0299471149510037,1,P23588;E7EX17;F8VX11;F8W0K0;F8VRU1;F8VYE9;F8VSC7;F8VP89,P23588;E7EX17;F8VX11,3;3;2;1;1;1;1;1,3;3;2;1;1;1;1;1,3;3;2;1;1;1;1;1,Eukaryotic translation initiation factor 4B,EIF4B,sp|P23588|IF4B_HUMAN Eukaryotic translation initiation factor 4B OS=Homo sapiens OX=9606 GN=EIF4B PE=1 SV=2;tr|E7EX17|E7EX17_HUMAN Eukaryotic translation initiation factor 4B OS=Homo sapiens OX=9606 GN=EIF4B PE=1 SV=1;tr|F8VX11|F8VX11_HUMAN Eukaryotic tran,3,3,7,528
EIF4E,1.3963529624,0.0033909612977048,1,P06730;D6RBW1;H0Y8J7;A6NMX2;D6RFJ3;D6RHE2;H0Y8X3,P06730;D6RBW1;H0Y8J7,7;6;4;1;1;1;1,7;6;4;1;1;1;1,7;6;4;1;1;1;1,Eukaryotic translation initiation factor 4E,EIF4E,sp|P06730|IF4E_HUMAN Eukaryotic translation initiation factor 4E OS=Homo sapiens OX=9606 GN=EIF4E PE=1 SV=2;tr|D6RBW1|D6RBW1_HUMAN Eukaryotic translation initiation factor 4E OS=Homo sapiens OX=9606 GN=EIF4E PE=1 SV=1;tr|H0Y8J7|H0Y8J7_HUMAN Eukaryotic tran,7,7,27.2,360
EIF4G1,-0.130209652,0.588088932103823,0,E7EX73;E9PGM1;E7EUU4;Q04637;C9JF13;H7C044;C9J6B6;C9J2Z7;C9K073;F8WCF2;C9JHW9;H7C0V6,E7EX73;E9PGM1;E7EUU4;Q04637,20;20;20;19;7;6;4;4;4;1;1;1,20;20;20;19;7;6;4;4;4;1;1;1,16;16;16;15;4;5;4;4;4;1;1;1,Eukaryotic translation initiation factor 4 gamma 1,EIF4G1,tr|E7EX73|E7EX73_HUMAN Eukaryotic translation initiation factor 4 gamma 1 OS=Homo sapiens OX=9606 GN=EIF4G1 PE=1 SV=1;tr|E9PGM1|E9PGM1_HUMAN Eukaryotic translation initiation factor 4 gamma 1 OS=Homo sapiens OX=9606 GN=EIF4G1 PE=1 SV=1;tr|E7EUU4|E7EUU4_HUM,20,16,17.9,113
EIF4G2,1.1314932116,0.236777452488722,0,P78344;D3DQV9;H0Y3P2;H0YCH5;E9PKF8;H0YD77;H0YE22,P78344;D3DQV9;H0Y3P2;H0YCH5,9;8;7;5;2;2;1,9;8;7;5;2;2;1,9;8;7;5;2;2;1,Eukaryotic translation initiation factor 4 gamma 2,EIF4G2,sp|P78344|IF4G2_HUMAN Eukaryotic translation initiation factor 4 gamma 2 OS=Homo sapiens OX=9606 GN=EIF4G2 PE=1 SV=1;tr|D3DQV9|D3DQV9_HUMAN Eukaryotic translation initiation factor 4 gamma 2 (Fragment) OS=Homo sapiens OX=9606 GN=EIF4G2 PE=1 SV=1;tr|H0Y3P2|,9,9,13.1,476
EIF4H,-0.1261551271,0.509646428456202,0,Q15056,Q15056,4,4,4,Eukaryotic translation initiation factor 4H,EIF4H,sp|Q15056|IF4H_HUMAN Eukaryotic translation initiation factor 4H OS=Homo sapiens OX=9606 GN=EIF4H PE=1 SV=5,4,4,19,218
EIF5,-0.5610165932,0.0235365037092724,0,P55010;H0YLZ1;H0YN40;H0YK29;H0YK11;H0YMJ8;H0YM54,P55010;H0YLZ1;H0YN40,6;3;3;2;2;2;2,6;3;3;2;2;2;2,6;3;3;2;2;2;2,Eukaryotic translation initiation factor 5,EIF5,sp|P55010|IF5_HUMAN Eukaryotic translation initiation factor 5 OS=Homo sapiens OX=9606 GN=EIF5 PE=1 SV=2;tr|H0YLZ1|H0YLZ1_HUMAN Eukaryotic translation initiation factor 5 (Fragment) OS=Homo sapiens OX=9606 GN=EIF5 PE=1 SV=1;tr|H0YN40|H0YN40_HUMAN Eukaryoti,6,6,14.4,254
EIF5A;EIF5A2;EIF5AL1,-0.1210791526,0.405395029808633,0,P63241;I3L397;I3L504;Q9GZV4;Q6IS14;F8WCJ1;C9J7B5;C9J4W5,P63241;I3L397;I3L504;Q9GZV4;Q6IS14;F8WCJ1;C9J7B5;C9J4W5,10;10;10;8;8;8;8;8,10;10;10;8;8;8;8;8,10;10;10;8;8;8;8;8,Eukaryotic translation initiation factor 5A-1;Eukaryotic translation initiation factor 5A;Eukaryotic translation initiation factor 5A-2;Eukaryotic translation initiation factor 5A-1-like,EIF5A;EIF5A2;EIF5AL1,sp|P63241|IF5A1_HUMAN Eukaryotic translation initiation factor 5A-1 OS=Homo sapiens OX=9606 GN=EIF5A PE=1 SV=2;tr|I3L397|I3L397_HUMAN Eukaryotic translation initiation factor 5A (Fragment) OS=Homo sapiens OX=9606 GN=EIF5A PE=1 SV=8;tr|I3L504|I3L504_HUMAN E,10,10,50,321
EIF6,0.0676586271,0.69536750376853,0,P56537;B7ZBH1;F8WD20;A0A0B4J1Y7;A0A0U1RQV5;F8WDS6,P56537;B7ZBH1,7;4;1;1;1;1,7;4;1;1;1;1,7;4;1;1;1;1,Eukaryotic translation initiation factor 6,EIF6,sp|P56537|IF6_HUMAN Eukaryotic translation initiation factor 6 OS=Homo sapiens OX=9606 GN=EIF6 PE=1 SV=1;tr|B7ZBH1|B7ZBH1_HUMAN Eukaryotic translation initiation factor 6 (Fragment) OS=Homo sapiens OX=9606 GN=EIF6 PE=1 SV=1,7,7,49.4,541
ELAVL1,0.0875859035,0.522414578565527,0,Q15717;M0QZR9;M0R055;A0A494C0Q5;A0A494C0M6;A0A494C011;A0A494C173;B1AM48;A0A494C015,Q15717;M0QZR9,14;9;3;1;1;1;1;1;1,14;9;3;1;1;1;1;1;1,13;8;3;0;0;0;0;0;0,ELAV-like protein 1,ELAVL1,sp|Q15717|ELAV1_HUMAN ELAV-like protein 1 OS=Homo sapiens OX=9606 GN=ELAVL1 PE=1 SV=2;tr|M0QZR9|M0QZR9_HUMAN ELAV-like protein 1 OS=Homo sapiens OX=9606 GN=ELAVL1 PE=1 SV=1,14,13,49.1,142
ELOVL5,-0.5426591681,0.0561765519270847,0,Q9NYP7;A0A0A0MTI6,Q9NYP7;A0A0A0MTI6,1;1,1;1,1;1,Elongation of very long chain fatty acids protein 5;Elongation of very long chain fatty acids protein,ELOVL5,sp|Q9NYP7|ELOV5_HUMAN Elongation of very long chain fatty acids protein 5 OS=Homo sapiens OX=9606 GN=ELOVL5 PE=1 SV=1;tr|A0A0A0MTI6|A0A0A0MTI6_HUMAN Elongation of very long chain fatty acids protein OS=Homo sapiens OX=9606 GN=ELOVL5 PE=1 SV=1,1,1,4.3,383
EMC7,-0.1340233371,0.408223992399946,0,Q9NPA0;H0YDT8,Q9NPA0;H0YDT8,2;2,2;2,2;2,ER membrane protein complex subunit 7,EMC7,sp|Q9NPA0|EMC7_HUMAN ER membrane protein complex subunit 7 OS=Homo sapiens OX=9606 GN=EMC7 PE=1 SV=1;tr|H0YDT8|H0YDT8_HUMAN ER membrane protein complex subunit 7 (Fragment) OS=Homo sapiens OX=9606 GN=EMC7 PE=1 SV=1,2,2,12,204
EMG1,-0.5848861718,0.129827825045568,0,Q92979;V9GYP5;A0A087WWQ2;A0A087WVM7,Q92979;V9GYP5;A0A087WWQ2,5;4;4;2,5;4;4;2,5;4;4;2,Ribosomal RNA small subunit methyltransferase NEP1,EMG1,sp|Q92979|NEP1_HUMAN Ribosomal RNA small subunit methyltransferase NEP1 OS=Homo sapiens OX=9606 GN=EMG1 PE=1 SV=4;tr|V9GYP5|V9GYP5_HUMAN Ribosomal RNA small subunit methyltransferase NEP1 (Fragment) OS=Homo sapiens OX=9606 GN=EMG1 PE=1 SV=2;tr|A0A087WWQ2|A,5,5,23.4,658
ENO1,-0.1408031515,0.354392214440526,0,P06733;A0A2R8Y6G6;K7EM90;A0A2R8YEM5;A0A2R8Y879;K7ERS8;A0A2R8Y6I8;A0A2R8Y798;A0A2R8YEG5;E5RI09;E5RG95;K7EPM1;K7EKN2;E5RGZ4,P06733;A0A2R8Y6G6,53;47;23;20;16;12;6;6;6;2;2;2;2;2,53;47;23;20;16;12;6;6;6;2;2;2;2;2,50;44;21;18;14;11;6;5;5;0;0;0;0;0,Alpha-enolase,ENO1,sp|P06733|ENOA_HUMAN Alpha-enolase OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=2;tr|A0A2R8Y6G6|A0A2R8Y6G6_HUMAN Alpha-enolase OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=1,53,50,96.8,427
ENO2,0.3507734044,0.347190610430212,0,P09104;F5H0C8;F5H1C3;P13929;U3KQQ1,P09104;F5H0C8,16;13;5;4;2,13;11;4;1;2,13;11;4;1;2,Gamma-enolase;Enolase,ENO2,sp|P09104|ENOG_HUMAN Gamma-enolase OS=Homo sapiens OX=9606 GN=ENO2 PE=1 SV=3;tr|F5H0C8|F5H0C8_HUMAN Gamma-enolase OS=Homo sapiens OX=9606 GN=ENO2 PE=1 SV=1,16,13,41.5,422
ENTPD8,-0.4635084548,0.0436451090732577,0,Q5MY95,Q5MY95,1,1,1,Ectonucleoside triphosphate diphosphohydrolase 8,ENTPD8,sp|Q5MY95|ENTP8_HUMAN Ectonucleoside triphosphate diphosphohydrolase 8 OS=Homo sapiens OX=9606 GN=ENTPD8 PE=1 SV=2,1,1,1.8,195
EPB41L2,0.3085884409,0.115398699568616,0,O43491;E9PK52;E9PHY5;E9PII3;A0A2R8Y5B3;H0Y5B0;E9PPC9;Q6R5J7;Q6ZSX4;E9PMV8;J3QS83;E9PN54,O43491;E9PK52;E9PHY5;E9PII3;A0A2R8Y5B3,9;8;8;7;5;3;3;3;2;2;1;1,7;6;6;5;4;3;2;2;2;2;0;0,7;6;6;5;4;3;2;2;2;2;0;0,Band 4.1-like protein 2,EPB41L2,sp|O43491|E41L2_HUMAN Band 4.1-like protein 2 OS=Homo sapiens OX=9606 GN=EPB41L2 PE=1 SV=1;tr|E9PK52|E9PK52_HUMAN Band 4.1-like protein 2 OS=Homo sapiens OX=9606 GN=EPB41L2 PE=1 SV=1;tr|E9PHY5|E9PHY5_HUMAN Band 4.1-like protein 2 OS=Homo sapiens OX=9606 GN,9,7,12.4,241
EPB41L3,0.3224668684,0.26269293032086,0,A8K968;A0A0A0MRA8;Q9Y2J2;A0A1B0GTF8;A0A0A0MSA4;J3KT37;A0A2U3TZH6;A0A3B3ITP0;Q4VB86;A0A2R8Y7Y3;A0A2R8YD30;P11171;A0A2R8Y420;A0A3B3IUD6;A0A2R8YCW8;A0A2R8Y6G5;A0A2R8YFR9;A0A2R8Y5G2;A0A3B3IU06;A0A2R8Y5Z6;A0A1B0GWG0;A0A2R8Y7N0;A0A2R8Y570;A0A2R8Y6D0;A0A0C4DH22;Q9H4G0;J3QS55;Q4VXN1;A0A1B0GTW6;A0A2R8Y4N6;A0A2R8Y6T6;A0A0J9YY18;Q4VXN0;A0A3B3ITC5,A8K968;A0A0A0MRA8;Q9Y2J2;A0A1B0GTF8;A0A0A0MSA4,10;9;9;8;7;4;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1,10;9;9;8;7;4;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1,8;7;7;7;5;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1,"Band 4.1-like protein 3;Band 4.1-like protein 3, N-terminally processed",EPB41L3,tr|A8K968|A8K968_HUMAN Band 4.1-like protein 3 OS=Homo sapiens OX=9606 GN=EPB41L3 PE=1 SV=1;tr|A0A0A0MRA8|A0A0A0MRA8_HUMAN Band 4.1-like protein 3 OS=Homo sapiens OX=9606 GN=EPB41L3 PE=1 SV=1;sp|Q9Y2J2|E41L3_HUMAN Band 4.1-like protein 3 OS=Homo sapiens OX,10,8,12.4,357
EPRS,0.6710573509,0.200863702878819,0,P07814;V9GYZ6;V9GZ76,P07814;V9GYZ6,28;14;1,28;14;1,28;14;1,Bifunctional glutamate/proline--tRNA ligase;Glutamate--tRNA ligase;Proline--tRNA ligase,EPRS,sp|P07814|SYEP_HUMAN Bifunctional glutamate/proline--tRNA ligase OS=Homo sapiens OX=9606 GN=EPRS1 PE=1 SV=5;tr|V9GYZ6|V9GYZ6_HUMAN Bifunctional glutamate/proline--tRNA ligase (Fragment) OS=Homo sapiens OX=9606 GN=EPRS1 PE=1 SV=1,28,28,22.5,736
ERAL1,1.5382885956,0.0122421954469806,1,O75616;J3QSB2;J3QRV9;J3QT61,O75616;J3QSB2;J3QRV9,4;2;2;1,4;2;2;1,4;2;2;1,"GTPase Era, mitochondrial",ERAL1,"sp|O75616|ERAL1_HUMAN GTPase Era, mitochondrial OS=Homo sapiens OX=9606 GN=ERAL1 PE=1 SV=2;tr|J3QSB2|J3QSB2_HUMAN GTPase Era, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=ERAL1 PE=1 SV=1;tr|J3QRV9|J3QRV9_HUMAN GTPase Era, mitochondrial (Fragment) OS",4,4,13,310
ERH,0.1072873363,0.505225994048472,0,P84090;G3V279,P84090,9;4,9;4,9;4,Enhancer of rudimentary homolog,ERH,sp|P84090|ERH_HUMAN Enhancer of rudimentary homolog OS=Homo sapiens OX=9606 GN=ERH PE=1 SV=1,9,9,62.5,558
ERLIN1;ERLIN2,-0.5337548261,0.105068169311306,0,O75477;B0QZ43;O94905;E5RHW4;E5RJ09,O75477;B0QZ43;O94905;E5RHW4,8;8;5;5;3,8;8;5;5;3,8;8;5;5;3,Erlin-1;Erlin-2,ERLIN1;ERLIN2,sp|O75477|ERLN1_HUMAN Erlin-1 OS=Homo sapiens OX=9606 GN=ERLIN1 PE=1 SV=2;tr|B0QZ43|B0QZ43_HUMAN Erlin-1 (Fragment) OS=Homo sapiens OX=9606 GN=ERLIN1 PE=1 SV=1;sp|O94905|ERLN2_HUMAN Erlin-2 OS=Homo sapiens OX=9606 GN=ERLIN2 PE=1 SV=1;tr|E5RHW4|E5RHW4_HUMAN,8,8,23.3,312
ERO1L,-0.3487579025,0.145835049762398,0,Q96HE7;G3V3E6;G3V503;G3V5B3;G3V2H0,Q96HE7;G3V3E6,12;6;4;2;1,12;6;4;2;1,12;6;4;2;1,ERO1-like protein alpha,ERO1L,sp|Q96HE7|ERO1A_HUMAN ERO1-like protein alpha OS=Homo sapiens OX=9606 GN=ERO1A PE=1 SV=2;tr|G3V3E6|G3V3E6_HUMAN ERO1-like protein alpha OS=Homo sapiens OX=9606 GN=ERO1A PE=1 SV=1,12,12,29.7,358
ERP29,-0.044401731,0.78671924713467,0,P30040;F8VY02;F8W1G0,P30040;F8VY02,18;13;2,18;13;2,18;13;2,Endoplasmic reticulum resident protein 29,ERP29,sp|P30040|ERP29_HUMAN Endoplasmic reticulum resident protein 29 OS=Homo sapiens OX=9606 GN=ERP29 PE=1 SV=4;tr|F8VY02|F8VY02_HUMAN Endoplasmic reticulum resident protein 29 OS=Homo sapiens OX=9606 GN=ERP29 PE=1 SV=1,18,18,59,1098
ERP44,0.3520755946,0.271361342547464,0,Q9BS26,Q9BS26,9,9,9,Endoplasmic reticulum resident protein 44,ERP44,sp|Q9BS26|ERP44_HUMAN Endoplasmic reticulum resident protein 44 OS=Homo sapiens OX=9606 GN=ERP44 PE=1 SV=1,9,9,28.1,248
ESYT1,0.1587680064,0.494666997767204,0,Q9BSJ8;F8VZB1,Q9BSJ8,18;2,18;2,18;2,Extended synaptotagmin-1,ESYT1,sp|Q9BSJ8|ESYT1_HUMAN Extended synaptotagmin-1 OS=Homo sapiens OX=9606 GN=ESYT1 PE=1 SV=1,18,18,22.6,347
ETF1,0.9539556347,0.0436967441481789,0,P62495;D6RCB3;B7Z7P8;D6RJE8;I3L492,P62495;D6RCB3;B7Z7P8;D6RJE8;I3L492,4;3;3;2;2,4;3;3;2;2,4;3;3;2;2,Eukaryotic peptide chain release factor subunit 1,ETF1,sp|P62495|ERF1_HUMAN Eukaryotic peptide chain release factor subunit 1 OS=Homo sapiens OX=9606 GN=ETF1 PE=1 SV=3;tr|D6RCB3|D6RCB3_HUMAN Eukaryotic peptide chain release factor subunit 1 OS=Homo sapiens OX=9606 GN=ETF1 PE=1 SV=1;tr|B7Z7P8|B7Z7P8_HUMAN Eukar,4,4,9.4,152
ETFA,0.0353089244,0.873508941875857,0,P13804;H0YLU7;H0YK49;H0YL12;H0YNX6;H0YKF0;H0YL83;J3KN60,P13804;H0YLU7;H0YK49;H0YL12;H0YNX6;H0YKF0,10;7;6;6;5;5;2;1,10;7;6;6;5;5;2;1,10;7;6;6;5;5;2;1,"Electron transfer flavoprotein subunit alpha, mitochondrial",ETFA,"sp|P13804|ETFA_HUMAN Electron transfer flavoprotein subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=ETFA PE=1 SV=1;tr|H0YLU7|H0YLU7_HUMAN Electron transfer flavoprotein subunit alpha, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=ETFA PE=1 SV",10,10,39,419
ETFB,-0.1579138013,0.542013340983363,0,P38117;M0QY67,P38117,9;4,9;4,9;4,Electron transfer flavoprotein subunit beta,ETFB,sp|P38117|ETFB_HUMAN Electron transfer flavoprotein subunit beta OS=Homo sapiens OX=9606 GN=ETFB PE=1 SV=3,9,9,38.8,82
ETHE1,-0.1331286284,0.53352199512748,0,O95571;M0QXB5;M0QY80,O95571;M0QXB5,5;5;2,5;5;2,5;5;2,"Persulfide dioxygenase ETHE1, mitochondrial",ETHE1,"sp|O95571|ETHE1_HUMAN Persulfide dioxygenase ETHE1, mitochondrial OS=Homo sapiens OX=9606 GN=ETHE1 PE=1 SV=2;tr|M0QXB5|M0QXB5_HUMAN Persulfide dioxygenase ETHE1, mitochondrial OS=Homo sapiens OX=9606 GN=ETHE1 PE=1 SV=1",5,5,26.8,777
EXOSC2,0.2514188813,0.50458219679362,0,Q13868;A3KFL2;A3KFL5;A3KFL1,Q13868;A3KFL2;A3KFL5;A3KFL1,6;5;5;3,6;5;5;3,6;5;5;3,Exosome complex component RRP4,EXOSC2,sp|Q13868|EXOS2_HUMAN Exosome complex component RRP4 OS=Homo sapiens OX=9606 GN=EXOSC2 PE=1 SV=2;tr|A3KFL2|A3KFL2_HUMAN Exosome complex component RRP4 OS=Homo sapiens OX=9606 GN=EXOSC2 PE=1 SV=1;tr|A3KFL5|A3KFL5_HUMAN Exosome complex component RRP4 (Fragme,6,6,23.5,1071
EXOSC4,-0.3352850445,0.113464643711261,0,Q9NPD3;E9PPI9;E9PI41,Q9NPD3;E9PPI9,7;4;3,7;4;3,7;4;3,Exosome complex component RRP41,EXOSC4,sp|Q9NPD3|EXOS4_HUMAN Exosome complex component RRP41 OS=Homo sapiens OX=9606 GN=EXOSC4 PE=1 SV=3;tr|E9PPI9|E9PPI9_HUMAN Exosome complex component RRP41 OS=Homo sapiens OX=9606 GN=EXOSC4 PE=1 SV=1,7,7,25.3,1838
EZR,-0.2579794201,0.164999254513702,0,P15311;E7EQR4;A0A2R8Y5P0;E9PNP4,P15311;E7EQR4,41;40;3;1,31;30;2;1,28;28;0;0,Ezrin,EZR,sp|P15311|EZRI_HUMAN Ezrin OS=Homo sapiens OX=9606 GN=EZR PE=1 SV=4;tr|E7EQR4|E7EQR4_HUMAN Ezrin OS=Homo sapiens OX=9606 GN=EZR PE=1 SV=3,41,28,57.3,372
FABP5,0.2362758801,0.272716672092903,0,Q01469;I6L8B7;A8MUU1,Q01469;I6L8B7,11;7;3,11;7;3,11;7;3,"Fatty acid-binding protein, epidermal",FABP5,sp|Q01469|FABP5_HUMAN Fatty acid-binding protein 5 OS=Homo sapiens OX=9606 GN=FABP5 PE=1 SV=3;tr|I6L8B7|I6L8B7_HUMAN Fatty acid-binding protein 5 OS=Homo sapiens OX=9606 GN=FABP5 PE=1 SV=1,11,11,90.4,178
