Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity NUP43-N1,Intensity NUP43-N2,Intensity BirA-alone-N1,Intensity BirA-alone-N2
Q6AI12;K7ERW4,Q6AI12,3;1,3;1,3;1,Ankyrin repeat domain-containing protein 40,ANKRD40,sp|Q6AI12|ANR40_HUMAN Ankyrin repeat domain-containing protein 40 OS=Homo sapiens OX=9606 GN=ANKRD40 PE=1 SV=2,3,3,10.6,4.20354318657847,4.29426065740498,23.4332624725697,23.0444188012635
Q9Y6D5;E5RHL7,Q9Y6D5,4;1,4;1,3;0,Brefeldin A-inhibited guanine nucleotide-exchange protein 2,ARFGEF2,sp|Q9Y6D5|BIG2_HUMAN Brefeldin A-inhibited guanine nucleotide-exchange protein 2 OS=Homo sapiens OX=9606 GN=ARFGEF2 PE=1 SV=3,4,3,3.8,24.6311135711926,25.3130942167163,24.6317308194308,24.198055298081
P53367,P53367,3,3,3,Arfaptin-1,ARFIP1,sp|P53367|ARFP1_HUMAN Arfaptin-1 OS=Homo sapiens OX=9606 GN=ARFIP1 PE=1 SV=2,3,3,10.7,4.20354318657847,4.29426065740498,25.574183507549,25.6185732513347
Q5T5U3;A0A087WW76;A0A452Q6Z5;E7ESW5;A0A1B0GW11;H0Y5T2,Q5T5U3;A0A087WW76;A0A452Q6Z5;E7ESW5,14;11;11;8;1;1,14;11;11;8;1;1,3;3;3;1;1;1,Rho GTPase-activating protein 21,ARHGAP21,sp|Q5T5U3|RHG21_HUMAN Rho GTPase-activating protein 21 OS=Homo sapiens OX=9606 GN=ARHGAP21 PE=1 SV=2;tr|A0A087WW76|A0A087WW76_HUMAN Rho GTPase-activating protein 21 OS=Homo sapiens OX=9606 GN=ARHGAP21 PE=1 SV=1;tr|A0A452Q6Z5|A0A452Q6Z5_HUMAN Rho GTPase-act,14,3,9.0,23.5081515524866,23.5712638027238,27.0768384259747,26.4765639028811
P52565;J3QQX2;J3KTF8;J3KRE2;J3KRY1,P52565;J3QQX2;J3KTF8,3;3;3;1;1,3;3;3;1;1,3;3;3;1;1,Rho GDP-dissociation inhibitor 1,ARHGDIA,sp|P52565|GDIR1_HUMAN Rho GDP-dissociation inhibitor 1 OS=Homo sapiens OX=9606 GN=ARHGDIA PE=1 SV=3;tr|J3QQX2|J3QQX2_HUMAN Rho GDP-dissociation inhibitor 1 OS=Homo sapiens OX=9606 GN=ARHGDIA PE=1 SV=1;tr|J3KTF8|J3KTF8_HUMAN Rho GDP-dissociation inhibitor 1,3,3,34.3,4.20354318657847,4.29426065740498,26.1575760763666,26.137156577394
A0A2R8Y4D7;Q96PE2,A0A2R8Y4D7;Q96PE2,3;2,3;2,3;2,Rho guanine nucleotide exchange factor 17,ARHGEF17,tr|A0A2R8Y4D7|A0A2R8Y4D7_HUMAN Rho guanine nucleotide exchange factor 17 OS=Homo sapiens OX=9606 GN=ARHGEF17 PE=1 SV=1;sp|Q96PE2|ARHGH_HUMAN Rho guanine nucleotide exchange factor 17 OS=Homo sapiens OX=9606 GN=ARHGEF17 PE=1 SV=1,3,3,4.5,23.9072608531945,24.0106052747639,25.6825737011169,25.7775101758676
P08243;C9JLN6;C9JM09;C9JT45;C9J057;F8WEJ5,P08243,3;1;1;1;1;1,3;1;1;1;1;1,3;1;1;1;1;1,Asparagine synthetase [glutamine-hydrolyzing],ASNS,sp|P08243|ASNS_HUMAN Asparagine synthetase [glutamine-hydrolyzing] OS=Homo sapiens OX=9606 GN=ASNS PE=1 SV=4,3,3,6.1,4.20354318657847,4.29426065740498,23.9108622797699,24.7879567461383
Q76L83;E7EWD6;A0A5F9ZHN2,Q76L83;E7EWD6,3;3;1,3;3;1,3;3;1,Putative Polycomb group protein ASXL2,ASXL2,sp|Q76L83|ASXL2_HUMAN Putative Polycomb group protein ASXL2 OS=Homo sapiens OX=9606 GN=ASXL2 PE=1 SV=1;tr|E7EWD6|E7EWD6_HUMAN Putative Polycomb group protein ASXL2 OS=Homo sapiens OX=9606 GN=ASXL2 PE=1 SV=1,3,3,3.1,23.8808233401807,24.5152079930882,4.42963131265863,4.37131702904701
Q96QE3;A0A075B754,Q96QE3;A0A075B754,3;2,3;2,3;2,ATPase family AAA domain-containing protein 5,ATAD5,sp|Q96QE3|ATAD5_HUMAN ATPase family AAA domain-containing protein 5 OS=Homo sapiens OX=9606 GN=ATAD5 PE=1 SV=4;tr|A0A075B754|A0A075B754_HUMAN ATPase family AAA domain-containing protein 5 OS=Homo sapiens OX=9606 GN=ATAD5 PE=1 SV=1,3,3,3.0,23.8940734694861,22.6658988395756,25.0333075094269,23.6598156348477
P05023,P05023,6,6,3,Sodium/potassium-transporting ATPase subunit alpha-1,ATP1A1,sp|P05023|AT1A1_HUMAN Sodium/potassium-transporting ATPase subunit alpha-1 OS=Homo sapiens OX=9606 GN=ATP1A1 PE=1 SV=1,6,3,6.7,4.20354318657847,4.29426065740498,26.153986752842,25.3502982460607
P21281;H0YC04;E5RGH6,P21281;H0YC04,3;3;1,3;3;1,3;3;1,"V-type proton ATPase subunit B, brain isoform",ATP6V1B2,"sp|P21281|VATB2_HUMAN V-type proton ATPase subunit B, brain isoform OS=Homo sapiens OX=9606 GN=ATP6V1B2 PE=1 SV=3;tr|H0YC04|H0YC04_HUMAN V-type proton ATPase subunit B, brain isoform (Fragment) OS=Homo sapiens OX=9606 GN=ATP6V1B2 PE=1 SV=1",3,3,10.4,4.20354318657847,4.29426065740498,24.0022154983306,25.7651923995723
Q13535;A0A590UJ01,Q13535;A0A590UJ01,3;3,3;3,3;3,Serine/threonine-protein kinase ATR,ATR,sp|Q13535|ATR_HUMAN Serine/threonine-protein kinase ATR OS=Homo sapiens OX=9606 GN=ATR PE=1 SV=3;tr|A0A590UJ01|A0A590UJ01_HUMAN Serine/threonine-protein kinase ATR (Fragment) OS=Homo sapiens OX=9606 GN=ATR PE=1 SV=1,3,3,2.0,22.464334352711,23.8150916387321,24.3883065297415,23.7344855376902
Q9Y679,Q9Y679,3,3,3,Ancient ubiquitous protein 1,AUP1,sp|Q9Y679|AUP1_HUMAN Ancient ubiquitous protein 1 OS=Homo sapiens OX=9606 GN=AUP1 PE=1 SV=2,3,3,11.2,4.20354318657847,4.29426065740498,23.5698741461313,24.0195405072242
Q9NWV8;M0R3F4;M0R2A4;M0R2K3;M0R193;M0R0I0;J3KQS6;M0R3H9;M0QYV1;M0QXG9;M0R2I2,Q9NWV8;M0R3F4;M0R2A4;M0R2K3;M0R193;M0R0I0;J3KQS6,3;2;2;2;2;2;2;1;1;1;1,3;2;2;2;2;2;2;1;1;1;1,3;2;2;2;2;2;2;1;1;1;1,BRISC and BRCA1-A complex member 1,BABAM1,sp|Q9NWV8|BABA1_HUMAN BRISC and BRCA1-A complex member 1 OS=Homo sapiens OX=9606 GN=BABAM1 PE=1 SV=1;tr|M0R3F4|M0R3F4_HUMAN BRISC and BRCA1-A complex member 1 (Fragment) OS=Homo sapiens OX=9606 GN=BABAM1 PE=1 SV=1;tr|M0R2A4|M0R2A4_HUMAN BRISC and BRCA1-A c,3,3,13.1,4.20354318657847,4.29426065740498,23.1558249845697,24.2188931003175
O95816,O95816,3,3,3,BAG family molecular chaperone regulator 2,BAG2,sp|O95816|BAG2_HUMAN BAG family molecular chaperone regulator 2 OS=Homo sapiens OX=9606 GN=BAG2 PE=1 SV=1,3,3,17.1,4.20354318657847,4.29426065740498,26.0528119644165,24.7707723574211
Q8IXM2;F8W038;H0YIS7;F8W1H0,Q8IXM2;F8W038;H0YIS7,3;3;2;1,3;3;2;1,3;3;2;1,Chromatin complexes subunit BAP18,BAP18;C17orf49;RNASEK-C17orf49,sp|Q8IXM2|BAP18_HUMAN Chromatin complexes subunit BAP18 OS=Homo sapiens OX=9606 GN=BAP18 PE=1 SV=1;tr|F8W038|F8W038_HUMAN Chromosome 17 open reading frame 49 OS=Homo sapiens OX=9606 GN=C17orf49 PE=1 SV=1;tr|H0YIS7|H0YIS7_HUMAN RNASEK-C17orf49 readthrough (,3,3,25.6,25.7208544081024,24.4338991710402,4.42963131265863,4.37131702904701
Q9NYF8;H0YF14,Q9NYF8,35;9,35;9,3;3,Bcl-2-associated transcription factor 1,BCLAF1,sp|Q9NYF8|BCLF1_HUMAN Bcl-2-associated transcription factor 1 OS=Homo sapiens OX=9606 GN=BCLAF1 PE=1 SV=2,35,3,38.0,30.3132196645095,30.6663628522677,28.9379788084497,28.5452107185498
Q8TD16,Q8TD16,3,3,3,Protein bicaudal D homolog 2,BICD2,sp|Q8TD16|BICD2_HUMAN Protein bicaudal D homolog 2 OS=Homo sapiens OX=9606 GN=BICD2 PE=1 SV=1,3,3,5.1,4.20354318657847,4.29426065740498,24.4289254550338,23.5239658045221
Q7L1Q6;Q9Y6E2;H0Y503;E9PFD4;B5MCE7;B5MCH7;E7ETZ4,Q7L1Q6,3;1;1;1;1;1;1,3;1;1;1;1;1;1,3;1;1;1;1;1;1,Basic leucine zipper and W2 domain-containing protein 1,BZW1,sp|Q7L1Q6|BZW1_HUMAN Basic leucine zipper and W2 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=BZW1 PE=1 SV=1,3,3,6.2,4.20354318657847,4.29426065740498,23.5258782423046,24.5158696832389
E9PSC8;Q6ZUT1;E9PKA8;E9PQL5,E9PSC8;Q6ZUT1;E9PKA8,3;2;2;1,3;2;2;1,3;2;2;1,Uncharacterized protein C11orf57,C11orf57,tr|E9PSC8|E9PSC8_HUMAN Uncharacterized protein NKAPD1 (Fragment) OS=Homo sapiens OX=9606 GN=NKAPD1 PE=1 SV=1;sp|Q6ZUT1|NKAP1_HUMAN Uncharacterized protein NKAPD1 OS=Homo sapiens OX=9606 GN=NKAPD1 PE=1 SV=2;tr|E9PKA8|E9PKA8_HUMAN Uncharacterized protein NKA,3,3,41.6,24.506941414474,24.7603524545268,4.42963131265863,4.37131702904701
Q9BVC5;C9J4K0,Q9BVC5;C9J4K0,3;3,3;3,3;3,Ashwin,C2orf49,sp|Q9BVC5|ASHWN_HUMAN Ashwin OS=Homo sapiens OX=9606 GN=C2orf49 PE=1 SV=1;tr|C9J4K0|C9J4K0_HUMAN Ashwin OS=Homo sapiens OX=9606 GN=C2orf49 PE=1 SV=1,3,3,12.5,22.4621138042491,22.9124712878906,4.42963131265863,4.37131702904701
Q96LT7;A0A5F9ZHW7;A0A2R8Y5K2;A0A2R8Y5U5,Q96LT7;A0A5F9ZHW7;A0A2R8Y5K2;A0A2R8Y5U5,3;3;3;2,3;3;3;2,3;3;3;2,Protein C9orf72,C9orf72,sp|Q96LT7|CI072_HUMAN Guanine nucleotide exchange C9orf72 OS=Homo sapiens OX=9606 GN=C9orf72 PE=1 SV=2;tr|A0A5F9ZHW7|A0A5F9ZHW7_HUMAN Guanine nucleotide exchange C9orf72 OS=Homo sapiens OX=9606 GN=C9orf72 PE=1 SV=1;tr|A0A2R8Y5K2|A0A2R8Y5K2_HUMAN Guanine nu,3,3,9.4,4.20354318657847,4.29426065740498,22.7286853344371,23.0499615214041
P22676;H3BMN5;H3BN14;P05937;A6NER6,P22676;H3BMN5;H3BN14,3;2;2;1;1,3;2;2;1;1,3;2;2;1;1,Calretinin,CALB2,sp|P22676|CALB2_HUMAN Calretinin OS=Homo sapiens OX=9606 GN=CALB2 PE=2 SV=2;tr|H3BMN5|H3BMN5_HUMAN Calretinin (Fragment) OS=Homo sapiens OX=9606 GN=CALB2 PE=1 SV=2;tr|H3BN14|H3BN14_HUMAN Calretinin (Fragment) OS=Homo sapiens OX=9606 GN=CALB2 PE=1 SV=2,3,3,12.2,4.20354318657847,4.29426065740498,25.5881793441473,25.4062966265519
A0A2Q3DQE3;Q8WU40;Q5SWX3;Q13555;Q13554;H0Y6G2;A0A5F9ZH21;A0A5F9ZH50;D6RFJ0;E9PF82;E9PBG7;D6R938;A0A5F9ZHR5;E9PBE8;E7EQE4;A0A5K1VW76;A0A5F9ZHY2;H7BXS4;A0A5F9ZH90;H7C394;Q9UQM7;Q13557;A0A5F9ZHM9,A0A2Q3DQE3;Q8WU40;Q5SWX3;Q13555;Q13554;H0Y6G2,3;3;3;3;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,3;3;3;3;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,3;3;3;3;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,Calcium/calmodulin-dependent protein kinase type II subunit gamma;Calcium/calmodulin-dependent protein kinase type II subunit beta,CAMK2G;CAMK2B,"tr|A0A2Q3DQE3|A0A2Q3DQE3_HUMAN Calcium/calmodulin-dependent protein kinase (CaM kinase) II gamma, isoform CRA_d OS=Homo sapiens OX=9606 GN=CAMK2G PE=1 SV=1;tr|Q8WU40|Q8WU40_HUMAN CAMK2G protein (Fragment) OS=Homo sapiens OX=9606 GN=CAMK2G PE=1 SV=2;tr|Q5SW",3,3,5.9,4.20354318657847,4.29426065740498,24.916021208057,23.8738953948087
Q14444;G3V153;E9PLA9,Q14444;G3V153;E9PLA9,3;3;2,3;3;2,3;3;2,Caprin-1,CAPRIN1,sp|Q14444|CAPR1_HUMAN Caprin-1 OS=Homo sapiens OX=9606 GN=CAPRIN1 PE=1 SV=2;tr|G3V153|G3V153_HUMAN Caprin-1 OS=Homo sapiens OX=9606 GN=CAPRIN1 PE=1 SV=1;tr|E9PLA9|E9PLA9_HUMAN Caprin-1 (Fragment) OS=Homo sapiens OX=9606 GN=CAPRIN1 PE=1 SV=1,3,3,4.8,4.20354318657847,4.29426065740498,25.4849290726595,25.4445223100848
P49589;B4DKY1,P49589;B4DKY1,3;3,3;3,3;3,"Cysteine--tRNA ligase, cytoplasmic",CARS,"sp|P49589|SYCC_HUMAN Cysteine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=CARS1 PE=1 SV=3;tr|B4DKY1|B4DKY1_HUMAN Cysteine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=CARS1 PE=1 SV=1",3,3,4.0,4.20354318657847,4.29426065740498,24.9064190567831,24.6901382558025
Q9UKL3;A0A087WTW5,Q9UKL3;A0A087WTW5,3;3,3;3,3;3,CASP8-associated protein 2,CASP8AP2,sp|Q9UKL3|C8AP2_HUMAN CASP8-associated protein 2 OS=Homo sapiens OX=9606 GN=CASP8AP2 PE=1 SV=1;tr|A0A087WTW5|A0A087WTW5_HUMAN CASP8-associated protein 2 OS=Homo sapiens OX=9606 GN=CASP8AP2 PE=1 SV=1,3,3,2.5,25.7387946735737,24.8734260883276,4.42963131265863,4.37131702904701
Q9HC52;C9J6K3;C9JM54,Q9HC52,3;1;1,3;1;1,3;1;1,Chromobox protein homolog 8,CBX8,sp|Q9HC52|CBX8_HUMAN Chromobox protein homolog 8 OS=Homo sapiens OX=9606 GN=CBX8 PE=1 SV=3,3,3,8.0,22.6467810555368,24.147014203899,4.42963131265863,4.37131702904701
Q6P1N0;K7EJY5,Q6P1N0;K7EJY5,3;2,3;2,3;2,Coiled-coil and C2 domain-containing protein 1A,CC2D1A,sp|Q6P1N0|C2D1A_HUMAN Coiled-coil and C2 domain-containing protein 1A OS=Homo sapiens OX=9606 GN=CC2D1A PE=1 SV=1;tr|K7EJY5|K7EJY5_HUMAN Coiled-coil and C2 domain-containing protein 1A (Fragment) OS=Homo sapiens OX=9606 GN=CC2D1A PE=1 SV=1,3,3,2.9,4.20354318657847,4.29426065740498,22.8055588953546,23.9812864536842
Q96JG6;H0Y7Q2,Q96JG6,3;1,3;1,3;1,Coiled-coil domain-containing protein 132,CCDC132,sp|Q96JG6|VPS50_HUMAN Syndetin OS=Homo sapiens OX=9606 GN=VPS50 PE=1 SV=3,3,3,2.9,4.20354318657847,4.29426065740498,22.7856639844921,28.2610510003498
Q9UFE4;A0A494C1Q3,Q9UFE4;A0A494C1Q3,3;3,3;3,3;3,Coiled-coil domain-containing protein 39,CCDC39,sp|Q9UFE4|CCD39_HUMAN Coiled-coil domain-containing protein 39 OS=Homo sapiens OX=9606 GN=CCDC39 PE=2 SV=3;tr|A0A494C1Q3|A0A494C1Q3_HUMAN Coiled-coil domain-containing protein 39 OS=Homo sapiens OX=9606 GN=CCDC39 PE=1 SV=1,3,3,6.3,24.6064811222322,24.8768157215338,4.42963131265863,4.37131702904701
O60583,O60583,5,3,3,Cyclin-T2,CCNT2,sp|O60583|CCNT2_HUMAN Cyclin-T2 OS=Homo sapiens OX=9606 GN=CCNT2 PE=1 SV=2,5,3,10.4,23.5099035180058,24.8819436625363,4.42963131265863,4.37131702904701
Q13042;A0A3B3ISD2;Q5T8C6,Q13042;A0A3B3ISD2;Q5T8C6,3;3;2,3;3;2,3;3;2,Cell division cycle protein 16 homolog,CDC16,sp|Q13042|CDC16_HUMAN Cell division cycle protein 16 homolog OS=Homo sapiens OX=9606 GN=CDC16 PE=1 SV=2;tr|A0A3B3ISD2|A0A3B3ISD2_HUMAN Cell division cycle protein 16 homolog OS=Homo sapiens OX=9606 GN=CDC16 PE=1 SV=1;tr|Q5T8C6|Q5T8C6_HUMAN Cell division cy,3,3,5.8,4.20354318657847,4.29426065740498,25.2013498075986,24.9344960713872
P17676,P17676,3,3,3,CCAAT/enhancer-binding protein beta,CEBPB,sp|P17676|CEBPB_HUMAN CCAAT/enhancer-binding protein beta OS=Homo sapiens OX=9606 GN=CEBPB PE=1 SV=2,3,3,11.6,22.6612239418894,22.9239382101711,24.6521206609293,24.3198270014465
Q9C0F1;D6RBX1;D6RC25;D6RGX6,Q9C0F1,3;1;1;1,3;1;1;1,3;1;1;1,Centrosomal protein of 44 kDa,CEP44,sp|Q9C0F1|CEP44_HUMAN Centrosomal protein of 44 kDa OS=Homo sapiens OX=9606 GN=CEP44 PE=1 SV=2,3,3,11.8,4.20354318657847,4.29426065740498,25.0189889777434,23.7971905025005
Q13111;K7EPA1;K7EJF1,Q13111;K7EPA1,3;2;1,3;2;1,3;2;1,Chromatin assembly factor 1 subunit A,CHAF1A,sp|Q13111|CAF1A_HUMAN Chromatin assembly factor 1 subunit A OS=Homo sapiens OX=9606 GN=CHAF1A PE=1 SV=3;tr|K7EPA1|K7EPA1_HUMAN Chromatin assembly factor 1 subunit A (Fragment) OS=Homo sapiens OX=9606 GN=CHAF1A PE=1 SV=8,3,3,3.7,23.2783836635247,21.9634930331229,4.42963131265863,4.37131702904701
Q8WUX9;E5RFR8;E5RJI3;E5RIU9,Q8WUX9,3;1;1;1,3;1;1;1,3;1;1;1,Charged multivesicular body protein 7,CHMP7,sp|Q8WUX9|CHMP7_HUMAN Charged multivesicular body protein 7 OS=Homo sapiens OX=9606 GN=CHMP7 PE=1 SV=1,3,3,9.3,4.20354318657847,4.29426065740498,24.9801971174594,23.6787411063596
O75122;E3W994;J3KR49;A0A0U1RQI6;E7ERI8;E7EW49;B3KR06;E7ENG2;C9J668;H7C4X8;D6RBU8,O75122;E3W994;J3KR49;A0A0U1RQI6;E7ERI8;E7EW49,7;7;7;7;7;7;2;2;1;1;1,3;3;3;3;3;3;2;2;1;1;1,3;3;3;3;3;3;2;2;1;1;1,CLIP-associating protein 2,CLASP2,sp|O75122|CLAP2_HUMAN CLIP-associating protein 2 OS=Homo sapiens OX=9606 GN=CLASP2 PE=1 SV=3;tr|E3W994|E3W994_HUMAN CLIP-associating protein 2 OS=Homo sapiens OX=9606 GN=CLASP2 PE=1 SV=2;tr|J3KR49|J3KR49_HUMAN CLIP-associating protein 2 OS=Homo sapiens OX=,7,3,6.5,22.1134662124326,23.3758759115728,22.281980949498,23.2381019219367
Q9HAW4;E7ESG2,Q9HAW4;E7ESG2,3;3,3;3,3;3,Claspin,CLSPN,sp|Q9HAW4|CLSPN_HUMAN Claspin OS=Homo sapiens OX=9606 GN=CLSPN PE=1 SV=3;tr|E7ESG2|E7ESG2_HUMAN Claspin OS=Homo sapiens OX=9606 GN=CLSPN PE=1 SV=1,3,3,3.1,23.7202542799377,23.4638855286569,4.42963131265863,4.37131702904701
Q00610;A0A087WVQ6;J3KS13,Q00610;A0A087WVQ6,3;3;1,3;3;1,3;3;1,Clathrin heavy chain 1;Clathrin heavy chain,CLTC,sp|Q00610|CLH1_HUMAN Clathrin heavy chain 1 OS=Homo sapiens OX=9606 GN=CLTC PE=1 SV=5;tr|A0A087WVQ6|A0A087WVQ6_HUMAN Clathrin heavy chain OS=Homo sapiens OX=9606 GN=CLTC PE=1 SV=1,3,3,3.3,4.20354318657847,4.29426065740498,24.8361971703432,24.5109901120877
Q9BQ75;C9J384;H7C515,Q9BQ75;C9J384,3;3;1,3;3;1,3;3;1,Protein CMSS1,CMSS1,sp|Q9BQ75|CMS1_HUMAN Protein CMSS1 OS=Homo sapiens OX=9606 GN=CMSS1 PE=1 SV=2;tr|C9J384|C9J384_HUMAN Protein CMSS1 (Fragment) OS=Homo sapiens OX=9606 GN=CMSS1 PE=1 SV=1,3,3,11.5,23.8209885752483,24.357229278735,4.42963131265863,4.37131702904701
Q99715;D6RGG3;H0Y4P7;A0A087X0A8,Q99715;D6RGG3,3;3;1;1,3;3;1;1,3;3;1;1,Collagen alpha-1(XII) chain,COL12A1,sp|Q99715|COCA1_HUMAN Collagen alpha-1(XII) chain OS=Homo sapiens OX=9606 GN=COL12A1 PE=1 SV=2;tr|D6RGG3|D6RGG3_HUMAN Collagen alpha-1(XII) chain OS=Homo sapiens OX=9606 GN=COL12A1 PE=1 SV=1,3,3,1.7,4.20354318657847,4.29426065740498,25.8843214628414,26.3903442684044
Q9NQ92;J3QRX9;J3QRX4;H9KV77,Q9NQ92;J3QRX9;J3QRX4,4;3;3;1,4;3;3;1,3;3;3;0,Coordinator of PRMT5 and differentiation stimulator,COPRS,sp|Q9NQ92|COPRS_HUMAN Coordinator of PRMT5 and differentiation stimulator OS=Homo sapiens OX=9606 GN=COPRS PE=1 SV=3;tr|J3QRX9|J3QRX9_HUMAN Coordinator of PRMT5 and differentiation stimulator OS=Homo sapiens OX=9606 GN=COPRS PE=1 SV=1;tr|J3QRX4|J3QRX4_HUMA,4,3,20.7,23.0959043371127,23.7972827329676,26.8159222761722,26.2554429890429
Q86YQ8;E7ENV7;Q8IYJ1;A0A0J9YWA1;A0A087WX62,Q86YQ8;E7ENV7,5;5;2;1;1,4;4;1;1;1,3;3;0;0;0,Copine-8,CPNE8,sp|Q86YQ8|CPNE8_HUMAN Copine-8 OS=Homo sapiens OX=9606 GN=CPNE8 PE=1 SV=2;tr|E7ENV7|E7ENV7_HUMAN Copine-8 OS=Homo sapiens OX=9606 GN=CPNE8 PE=1 SV=2,5,3,10.1,4.20354318657847,4.29426065740498,25.4325299217842,25.659244017134
Q5HYN5;Q5DJT8;P0DMU8;Q8NHU0;P0DMV2;P0DMV1;P0DMV0;P0DMU9;P0DMU7,Q5HYN5;Q5DJT8;P0DMU8;Q8NHU0;P0DMV2;P0DMV1;P0DMV0;P0DMU9;P0DMU7,3;3;3;3;3;3;3;3;3,3;3;3;3;3;3;3;3;3,3;3;3;3;3;3;3;3;3,Cancer/testis antigen family 45 member A1;Cancer/testis antigen family 45 member A2;Cancer/testis antigen family 45 member A5;Cancer/testis antigen family 45 member A3;Cancer/testis antigen family 45 member A9;Cancer/testis antigen family 45 member A8;Cancer/testis antigen family 45 member A7;Cancer/testis antigen family 45 member A10;Cancer/testis antigen family 45 member A6,CT45A1;CT45A2;CT45A5;CT45A3;CT45A9;CT45A8;CT45A7;CT45A10;CT45A6,sp|Q5HYN5|CT451_HUMAN Cancer/testis antigen family 45 member A1 OS=Homo sapiens OX=9606 GN=CT45A1 PE=1 SV=1;sp|Q5DJT8|CT452_HUMAN Cancer/testis antigen family 45 member A2 OS=Homo sapiens OX=9606 GN=CT45A2 PE=2 SV=3;sp|P0DMU8|CT455_HUMAN Cancer/testis anti,3,3,20.1,24.8032643931455,24.2896131174292,23.8013412925756,23.9079322050569
O43310,O43310,3,3,3,CBP80/20-dependent translation initiation factor,CTIF,sp|O43310|CTIF_HUMAN CBP80/20-dependent translation initiation factor OS=Homo sapiens OX=9606 GN=CTIF PE=1 SV=1,3,3,7.4,4.20354318657847,4.29426065740498,24.4458802299775,25.0120556912612
Q7L576;A0A0G2JR96;A0A0G2JQT1;H0YL50;A0A0G2JQH3;A0A087WVZ5,Q7L576;A0A0G2JR96;A0A0G2JQT1,5;3;3;1;1;1,5;3;3;1;1;1,3;1;1;1;1;1,Cytoplasmic FMR1-interacting protein 1,CYFIP1,sp|Q7L576|CYFP1_HUMAN Cytoplasmic FMR1-interacting protein 1 OS=Homo sapiens OX=9606 GN=CYFIP1 PE=1 SV=1;tr|A0A0G2JR96|A0A0G2JR96_HUMAN Cytoplasmic FMR1-interacting protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=CYFIP1 PE=1 SV=4;tr|A0A0G2JQT1|A0A0G2JQT1_H,5,3,4.2,4.20354318657847,4.29426065740498,25.3948967554266,24.3376289790479
Q9NV06;A0A087WT20;B3KME9;E5RHM4,Q9NV06;A0A087WT20;B3KME9,3;3;2;1,3;3;2;1,3;3;2;1,DDB1- and CUL4-associated factor 13,DCAF13,sp|Q9NV06|DCA13_HUMAN DDB1- and CUL4-associated factor 13 OS=Homo sapiens OX=9606 GN=DCAF13 PE=1 SV=2;tr|A0A087WT20|A0A087WT20_HUMAN DDB1- and CUL4-associated factor 13 OS=Homo sapiens OX=9606 GN=DCAF13 PE=1 SV=1;tr|B3KME9|B3KME9_HUMAN DDB1- and CUL4-assoc,3,3,7.4,23.6576368304755,23.8700425674626,4.42963131265863,4.37131702904701
Q96SD1;B3KSJ7,Q96SD1;B3KSJ7,3;3,3;3,3;3,Protein artemis,DCLRE1C,sp|Q96SD1|DCR1C_HUMAN Protein artemis OS=Homo sapiens OX=9606 GN=DCLRE1C PE=1 SV=2;tr|B3KSJ7|B3KSJ7_HUMAN Protein artemis OS=Homo sapiens OX=9606 GN=DCLRE1C PE=1 SV=1,3,3,7.1,23.4917943917238,22.2268801761323,4.42963131265863,4.37131702904701
O00148;K7EQN7;K7EPJ3;A0A0D9SEM9;K7EN69;K7ENP6;A0A0G2JHN7;K7EL56;K7EIL8;F6U6E2;F6S2B7;F6SXL5,O00148;K7EQN7,12;7;5;3;3;2;2;2;2;2;2;2,3;2;1;2;0;0;0;0;0;0;0;0,3;2;1;2;0;0;0;0;0;0;0;0,ATP-dependent RNA helicase DDX39A,DDX39A,sp|O00148|DX39A_HUMAN ATP-dependent RNA helicase DDX39A OS=Homo sapiens OX=9606 GN=DDX39A PE=1 SV=2;tr|K7EQN7|K7EQN7_HUMAN ATP-dependent RNA helicase DDX39A (Fragment) OS=Homo sapiens OX=9606 GN=DDX39A PE=1 SV=1,12,3,30.7,25.0140582807209,25.1398517077367,25.0954295400379,24.5162906008322
Q8TDD1;F8VRX4,Q8TDD1;F8VRX4,3;2,3;2,3;2,ATP-dependent RNA helicase DDX54,DDX54,sp|Q8TDD1|DDX54_HUMAN ATP-dependent RNA helicase DDX54 OS=Homo sapiens OX=9606 GN=DDX54 PE=1 SV=2;tr|F8VRX4|F8VRX4_HUMAN ATP-dependent RNA helicase DDX54 (Fragment) OS=Homo sapiens OX=9606 GN=DDX54 PE=1 SV=1,3,3,3.9,23.3230613593049,23.6669021054468,26.8156780206834,26.6674968536018
