Gene_names,DCAF7_vs_BirA_logFC,DCAF7_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_R10K8_N1,Peptides_BirA_alone_R10K8_N2,Peptides_DCAF7_R10K8_N2_04_02,Peptides_DCAF7_R10K8_N2_20_01,Razor___unique_peptides_BirA_alone_R10K8_N1,Razor___unique_peptides_BirA_alone_R10K8_N2,Razor___unique_peptides_DCAF7_R10K8_N2_04_02,Razor___unique_peptides_DCAF7_R10K8_N2_20_01,Unique_peptides_BirA_alone_R10K8_N1,Unique_peptides_BirA_alone_R10K8_N2,Unique_peptides_DCAF7_R10K8_N2_04_02,Unique_peptides_DCAF7_R10K8_N2_20_01,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_R10K8_N1,Identification_type_BirA_alone_R10K8_N2,Identification_type_DCAF7_R10K8_N2_04_02,Identification_type_DCAF7_R10K8_N2_20_01,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_R10K8_N1,Ratio_H_L_BirA_alone_R10K8_N2,Ratio_H_L_DCAF7_R10K8_N2_04_02,Ratio_H_L_DCAF7_R10K8_N2_20_01,Ratio_H_L_normalized_BirA_alone_R10K8_N1,Ratio_H_L_normalized_BirA_alone_R10K8_N2,Ratio_H_L_normalized_DCAF7_R10K8_N2_04_02,Ratio_H_L_normalized_DCAF7_R10K8_N2_20_01,Ratio_H_L_variability_____BirA_alone_R10K8_N1,Ratio_H_L_variability_____BirA_alone_R10K8_N2,Ratio_H_L_variability_____DCAF7_R10K8_N2_04_02,Ratio_H_L_variability_____DCAF7_R10K8_N2_20_01,Ratio_H_L_count_BirA_alone_R10K8_N1,Ratio_H_L_count_BirA_alone_R10K8_N2,Ratio_H_L_count_DCAF7_R10K8_N2_04_02,Ratio_H_L_count_DCAF7_R10K8_N2_20_01,Ratio_H_L_iso_count_BirA_alone_R10K8_N1,Ratio_H_L_iso_count_BirA_alone_R10K8_N2,Ratio_H_L_iso_count_DCAF7_R10K8_N2_04_02,Ratio_H_L_iso_count_DCAF7_R10K8_N2_20_01,Ratio_H_L_type_BirA_alone_R10K8_N1,Ratio_H_L_type_BirA_alone_R10K8_N2,Ratio_H_L_type_DCAF7_R10K8_N2_04_02,Ratio_H_L_type_DCAF7_R10K8_N2_20_01,Sequence_coverage_BirA_alone_R10K8_N1____,Sequence_coverage_BirA_alone_R10K8_N2____,Sequence_coverage_DCAF7_R10K8_N2_04_02____,Sequence_coverage_DCAF7_R10K8_N2_20_01____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_R10K8_N1,Intensity_L_BirA_alone_R10K8_N1,Intensity_H_BirA_alone_R10K8_N1,Intensity_BirA_alone_R10K8_N2,Intensity_L_BirA_alone_R10K8_N2,Intensity_H_BirA_alone_R10K8_N2,Intensity_DCAF7_R10K8_N2_04_02,Intensity_L_DCAF7_R10K8_N2_04_02,Intensity_H_DCAF7_R10K8_N2_04_02,Intensity_DCAF7_R10K8_N2_20_01,Intensity_L_DCAF7_R10K8_N2_20_01,Intensity_H_DCAF7_R10K8_N2_20_01,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_DCAF7_R10K8_N2_04_02,metacell_Intensity_L_DCAF7_R10K8_N2_20_01,metacell_Intensity_L_BirA_alone_R10K8_N1,metacell_Intensity_L_BirA_alone_R10K8_N2
RPA2,-0.148140409407201,0.762534722996369,P15927;Q5TEJ7,P15927;Q5TEJ7,3;3,3;3,3;3,Replication protein A 32 kDa subunit,sp|P15927|RFA2_HUMAN Replication protein A 32 kDa subunit OS=Homo sapiens OX=9606 GN=RPA2 PE=1 SV=1;tr|Q5TEJ7|Q5TEJ7_HUMAN Replication protein A 32 kDa subunit (Fragment) OS=Homo sapiens OX=9606 GN=RPA2 PE=1 SV=1,2,3,3,3,1,1,2,2,1,1,2,2,1,1,2,2,17.4,17.4,17.4,29.247,270,270;179,0.0028143,2.1412,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.57591,1.0199,33.915,8,0,Leave out requantified,0.36712,0.58676,0.57591,0.56563,0.7717,1.4883,1.1312,0.87835,0.0,,23.235,21.124,2,1,3,2,0,0,0,0,Median,Median,Plateau,Median,8.5,8.9,13.0,13.0,166860000,108030000,58833000,19287000,12080000,7206500,32909000,22994000,9915600,79264000,49661000,29603000,35402000,23294000,12108000,,,,1422,1813;7104;7105,True;True;True,1971;7755;7756,5472;5473;5474;5475;5476;20319;20320;20321,11629;11630;41853;41854;41855,11629;41854;41855,,,,,-1;-1,protein_1423,quanti,quanti,quanti,quanti
CBR1,-0.35282892327945,0.232210056671578,P16152;E9PQ63;A8MTM1,P16152;E9PQ63;A8MTM1,13;7;7,13;7;7,11;5;5,Carbonyl reductase [NADPH] 1,sp|P16152|CBR1_HUMAN Carbonyl reductase [NADPH] 1 OS=Homo sapiens OX=9606 GN=CBR1 PE=1 SV=3;tr|E9PQ63|E9PQ63_HUMAN Carbonyl reductase [NADPH] 1 OS=Homo sapiens OX=9606 GN=CBR1 PE=1 SV=1;tr|A8MTM1|A8MTM1_HUMAN Carbonyl reductase [NADPH] 1 OS=Homo sapiens OX,3,13,13,11,7,8,10,9,7,8,10,9,5,6,8,7,56.3,56.3,51.6,30.375,277,277;178;222,0.0,58.435,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.42735,0.8713,15.653,33,7,Leave out requantified,0.31088,0.39919,0.37517,0.48863,0.89807,0.98103,0.88877,0.89147,21.741,16.762,28.137,12.929,7,8,9,9,1,2,4,0,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,35.0,33.6,46.6,40.4,1663300000,1120900000,542410000,240450000,182080000,58371000,330980000,223170000,107800000,493010000,333040000,159970000,598860000,382600000,216260000,,,,1424,3424;3475;3843;4870;5258;6094;6624;8387;10559;16911;18117;18698;20548,True;True;True;True;True;True;True;True;True;True;True;True;True,3726;3785;4171;5276;5689;6624;7227;9189;11565;18374;19660;20287;22317,10046;10047;10048;10049;10182;11056;11057;13757;13758;13759;13760;14807;17249;17250;18967;18968;18969;18970;24230;24231;24232;30675;30676;30677;48466;48467;48468;51947;53678;53679;59148;59149;59150;59151,20977;20978;20979;20980;20981;20982;20983;20984;21266;22925;22926;28212;28213;28214;28215;28216;28217;28218;28219;28220;28221;28222;28223;28224;30389;35648;35649;39219;39220;39221;39222;39223;50289;50290;50291;50292;50293;50294;50295;50296;63638;63639;63640;63641;63642;99594;99595;99596;99597;107145;110860;110861;110862;110863;110864;122486;122487;122488;122489;122490;122491;122492;122493;122494;122495;122496;122497;122498,20982;21266;22925;28214;30389;35649;39222;50291;63642;99595;107145;110861;122487,,,,,-1;-1;-1,protein_1425,quanti,quanti,quanti,quanti
HIST1H1C,3.55945988385986,0.000207744119157712,P16403,P16403,18,3,3,Histone H1.2,sp|P16403|H12_HUMAN Histone H1.2 OS=Homo sapiens OX=9606 GN=H1-2 PE=1 SV=2,1,18,3,3,6,7,15,18,1,1,3,3,1,1,3,3,44.1,9.9,9.9,21.364,213,213,0.0,36.823,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.62255,1.5534,23.245,11,2,Leave out requantified,0.50728,0.76403,0.50024,0.91202,1.8462,2.262,1.2272,1.753,,,7.8278,35.667,1,1,5,4,0,0,1,1,Median,Median,Leave out requantified,Median,33.3,33.3,40.4,44.1,5763200000,3496700000,2266500000,81101000,53286000,27815000,135580000,71527000,64055000,3089900000,2050800000,1039100000,2456600000,1321100000,1135500000,,,,1426,1174;1175;1987;1988;4297;6825;8231;9288;9289;9301;9302;10724;15875;15876;15877;16091;16092;16569,False;False;False;False;False;False;False;False;False;False;False;False;True;True;True;False;False;False,1262;1263;1264;1265;1266;2152;2153;4659;7438;9019;9020;10148;10149;10150;10151;10164;10165;10166;11740;17264;17265;17266;17267;17500;17501;17502;17503;18011;18012;18013,3417;3418;3419;3420;3421;3422;3423;3424;3425;3426;3427;3428;3429;3430;3431;3432;3433;3434;3435;3436;3437;3438;5985;5986;5987;5988;5989;12188;19494;19495;23769;23770;23771;26752;26753;26754;26755;26756;26757;26758;26759;26760;26761;26762;26763;26764;26794;26795;26796;26797;26798;26799;26800;26801;26802;26803;26804;31174;31175;45464;45465;45466;45467;45468;45469;45470;45471;45472;45473;45474;45475;46098;46099;46100;46101;46102;46103;46104;46105;46106;46107;46108;46109;47526;47527;47528;47529;47530;47531;47532;47533,7124;7125;7126;7127;7128;7129;7130;7131;7132;7133;7134;7135;7136;7137;7138;7139;7140;7141;7142;7143;7144;7145;7146;7147;7148;7149;7150;7151;7152;7153;7154;7155;7156;7157;7158;7159;7160;7161;7162;7163;7164;7165;7166;7167;7168;7169;7170;7171;7172;7173;7174;7175;7176;7177;7178;7179;7180;7181;7182;7183;7184;7185;7186;7187;7188;12690;12691;12692;12693;12694;12695;12696;12697;12698;12699;12700;12701;12702;12703;12704;12705;25120;25121;25122;40187;40188;49389;49390;55449;55450;55451;55452;55453;55454;55455;55456;55457;55458;55459;55460;55461;55462;55463;55464;55465;55466;55467;55468;55469;55470;55471;55472;55473;55474;55475;55476;55528;55529;55530;55531;55532;55533;55534;55535;55536;55537;55538;55539;55540;55541;55542;55543;55544;55545;55546;55547;55548;55549;55550;55551;55552;55553;55554;55555;55556;55557;55558;55559;55560;55561;55562;55563;55564;55565;55566;55567;55568;55569;55570;55571;55572;55573;55574;55575;55576;55577;55578;64716;64717;93407;93408;93409;93410;93411;93412;93413;93414;93415;93416;93417;93418;93419;93420;93421;93422;93423;93424;93425;93426;93427;93428;93429;93430;93431;93432;94705;94706;94707;94708;94709;94710;94711;94712;94713;94714;94715;94716;94717;94718;94719;94720;94721;94722;94723;94724;94725;94726;94727;94728;94729;94730;94731;94732;94733;94734;94735;94736;94737;94738;94739;94740;94741;94742;94743;94744;94745;94746;94747;94748;94749;94750;94751;94752;94753;94754;97709;97710;97711;97712;97713;97714;97715;97716;97717;97718;97719;97720,7126;7147;12693;12705;25122;40187;49390;55452;55457;55554;55578;64717;93412;93419;93428;94712;94741;97718,287;288;289;290;291;292;293,,46;63;64;75;85;90;97,,-1,protein_1427,quanti,quanti,quanti,quanti
ATP2A2,0.841811394322651,0.087247014584709,P16615;H7C5W9;Q93084,P16615;H7C5W9,13;12;2,13;12;2,10;10;1,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2,sp|P16615|AT2A2_HUMAN Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 OS=Homo sapiens OX=9606 GN=ATP2A2 PE=1 SV=1;tr|H7C5W9|H7C5W9_HUMAN Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 (Fragment) OS=Homo sapiens OX=9606 GN=ATP2A2 PE=1 SV=1,3,13,13,10,3,3,6,7,3,3,6,7,1,1,5,5,14.3,14.3,10.8,114.76,1042,1042;933;1043,0.0,20.194,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.47125,1.0827,20.894,16,8,Leave out requantified,0.33239,0.33095,0.47972,0.56997,0.88962,0.8169,1.1304,0.96492,58.982,23.745,4.6264,17.528,2,3,4,7,1,2,1,4,Median,Median,Leave out requantified,Leave out requantified,3.6,3.6,6.3,8.3,705500000,438150000,267350000,44659000,30741000,13918000,80252000,59283000,20969000,255340000,155100000,100250000,325250000,193030000,132220000,,,,1428,671;3731;3765;7958;8518;9822;13394;14196;16615;18966;19195;19279;19430,True;True;True;True;True;True;True;True;True;True;True;True;True,714;4057;4091;8710;9338;10748;14605;15454;18062;20569;20816;20907;21083,1856;1857;10815;10892;10893;22822;24621;28376;38650;40904;40905;40906;47676;54419;54420;55076;55337;55338;55880,3787;3788;3789;3790;22490;22620;22621;47237;51085;58776;79501;84217;84218;84219;98000;98001;98002;98003;98004;112500;112501;113859;114374;114375;114376;114377;115576,3787;22490;22621;47237;51085;58776;79501;84218;98002;112500;113859;114377;115576,,,,,-1;-1;-1,protein_1429,quanti,quanti,quanti,quanti
FAH,0.384413816638318,0.519685275010479,P16930;H0YLC7,P16930;H0YLC7,4;2,4;2,4;2,Fumarylacetoacetase,sp|P16930|FAAA_HUMAN Fumarylacetoacetase OS=Homo sapiens OX=9606 GN=FAH PE=1 SV=2;tr|H0YLC7|H0YLC7_HUMAN Fumarylacetoacetase (Fragment) OS=Homo sapiens OX=9606 GN=FAH PE=1 SV=1,2,4,4,4,2,2,2,4,2,2,2,4,2,2,2,4,18.6,18.6,18.6,46.374,419,419;161,0.0,3.9183,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.34259,0.67497,49.743,11,5,Median,0.30061,0.25446,0.41435,0.44678,0.64824,0.52734,0.83584,0.74259,5.7145,28.49,50.138,60.302,2,2,2,5,1,1,1,2,Median,Median,Median,Median,8.8,8.8,11.9,18.6,243190000,164090000,79100000,20437000,14874000,5562400,32931000,25434000,7496900,56456000,38783000,17673000,133370000,84998000,48368000,,,,1429,3034;15924;19128;20742,True;True;True;True,3306;17321;20743;22525,9022;45586;45587;45588;54853;54854;54855;54856;59718;59719;59720,18948;93642;93643;93644;93645;93646;93647;93648;93649;93650;93651;93652;93653;113417;113418;113419;113420;113421;113422;123485,18948;93643;113422;123485,,,,,-1;-1,protein_1430,quanti,quanti,quanti,quanti
STMN1,-0.886540802111995,0.0322016564382225,P16949;A2A2D0,P16949;A2A2D0,10;9,10;9,7;6,Stathmin,sp|P16949|STMN1_HUMAN Stathmin OS=Homo sapiens OX=9606 GN=STMN1 PE=1 SV=3;tr|A2A2D0|A2A2D0_HUMAN Stathmin (Fragment) OS=Homo sapiens OX=9606 GN=STMN1 PE=1 SV=8,2,10,10,7,5,7,7,7,5,7,7,7,3,4,5,6,51.0,51.0,39.6,17.302,149,149;85,0.0,59.066,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.40587,0.9513,17.031,40,12,Leave out requantified,0.36545,0.55248,0.37826,0.55351,1.1649,1.5646,0.94572,1.0431,18.364,20.444,14.855,18.516,9,10,11,10,3,3,2,4,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,24.2,28.9,30.9,43.0,7191600000,4845200000,2346400000,1398500000,1014000000,384470000,1827300000,1135100000,692260000,2336200000,1656300000,679880000,1629600000,1039800000,589840000,,,,1430,966;1989;2056;2057;3208;3209;3210;4345;15216;16264,True;True;True;True;True;True;True;True;True;True,1035;2154;2155;2226;2227;3488;3489;3490;4710;16561;17686,2761;5990;5991;5992;5993;5994;5995;5996;5997;5998;5999;6000;6001;6200;6201;6202;6203;6204;6205;6206;6207;6208;9438;9439;9440;9441;9442;9443;9444;9445;9446;12317;12318;43642;43643;43644;43645;43646;46655;46656,5728;12706;12707;12708;12709;12710;12711;12712;12713;12714;12715;12716;12717;12718;12719;12720;12721;12722;12723;12724;12725;12726;12727;12728;12729;12730;12731;12732;12733;12734;12735;12736;12737;12738;12739;12740;12741;12742;12743;12744;12745;12746;12747;12748;12749;12750;12751;12752;12753;12754;12755;12756;12757;13212;13213;13214;13215;13216;13217;13218;13219;13220;13221;13222;13223;13224;13225;13226;13227;19662;19663;19664;19665;19666;19667;19668;19669;19670;19671;19672;19673;19674;19675;19676;19677;19678;19679;19680;19681;25338;25339;25340;25341;89634;89635;89636;89637;89638;89639;96004;96005;96006;96007;96008;96009;96010;96011;96012;96013;96014;96015;96016;96017,5728;12737;13216;13221;19667;19678;19681;25339;89635;96013,,,,,-1;-1,protein_1431,quanti,quanti,quanti,quanti
YBX3,2.85140110893716,0.000640912282782132,P16989;A0A0D9SEI8,P16989,13;3,13;3,6;1,Y-box-binding protein 3,sp|P16989|YBOX3_HUMAN Y-box-binding protein 3 OS=Homo sapiens OX=9606 GN=YBX3 PE=1 SV=4,2,13,13,6,1,2,10,9,1,2,10,9,0,1,6,4,60.5,60.5,46.5,40.089,372,372;92,0.0,98.375,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.80866,1.7287,25.988,28,0,Leave out requantified,0.45027,0.45311,0.7988,0.90921,1.6422,1.319,2.0036,1.7026,,,16.869,30.362,1,1,12,14,0,0,0,0,Median,Median,Leave out requantified,Leave out requantified,3.0,8.1,57.5,40.9,4245100000,2281100000,1964000000,102370000,72705000,29667000,89483000,59570000,29913000,1875700000,1050300000,825320000,2177500000,1098400000,1079100000,,,,1431,723;3708;5564;8644;13794;13795;13910;13911;14608;15803;16762;17151;19676,True;True;True;True;True;True;True;True;True;True;True;True;True,769;4032;6024;9470;15037;15038;15158;15159;15891;17192;18216;18627;21363,1996;1997;10744;15685;15686;24951;24952;39821;39822;39823;39824;39825;39826;39827;39828;39829;39830;40117;40118;40119;40120;42040;45307;45308;45309;48049;48050;49125;56659;56660,4095;4096;22307;32309;32310;51722;51723;51724;51725;51726;51727;51728;81881;81882;81883;81884;81885;81886;81887;81888;81889;81890;81891;81892;81893;81894;81895;81896;81897;81898;81899;81900;81901;81902;81903;81904;81905;81906;81907;81908;82465;82466;82467;82468;82469;82470;82471;82472;82473;82474;82475;82476;86516;93113;93114;93115;98756;98757;100893;100894;100895;117239;117240;117241;117242;117243;117244,4095;22307;32310;51723;81884;81904;82470;82475;86516;93113;98756;100893;117243,,,,,-1;-1,protein_1432,quanti,quanti,quanti,quanti
HSPA6;HSPA7,1.39468775304531,0.0237709356267819,P17066;P48741,P17066;P48741,10;7,2;2,2;2,Heat shock 70 kDa protein 6;Putative heat shock 70 kDa protein 7,sp|P17066|HSP76_HUMAN Heat shock 70 kDa protein 6 OS=Homo sapiens OX=9606 GN=HSPA6 PE=1 SV=2;sp|P48741|HSP77_HUMAN Putative heat shock 70 kDa protein 7 OS=Homo sapiens OX=9606 GN=HSPA7 PE=5 SV=2,2,10,2,2,8,9,7,7,2,2,1,1,2,2,1,1,14.3,3.7,3.7,71.027,643,643;367,0.0,9.911,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.40511,1.1411,36.066,9,2,Leave out requantified,0.2813,0.32279,0.63378,0.73829,1.0179,0.92515,1.4958,1.2851,13.672,12.627,2.2078,18.222,2,2,2,3,0,0,0,2,Median,Median,Median,Median,10.1,11.8,12.6,12.6,3253900000,1915800000,1338000000,145680000,113830000,31854000,197770000,147510000,50258000,1936800000,1128400000,808370000,973650000,526100000,447550000,,,,1432,1900;2094;4689;8139;11455;11456;17060;18424;19018;19019,False;False;False;False;False;False;False;False;True;True,2062;2265;5087;8905;8906;12529;12530;12531;12532;12533;18529;19983;19984;20621;20622;20623,5718;5719;5720;5721;5722;5723;5724;5725;6294;6295;6296;6297;13239;13240;23408;23409;23410;23411;23412;23413;23414;23415;23416;23417;23418;23419;33371;33372;33373;33374;33375;33376;33377;33378;33379;33380;33381;33382;33383;33384;33385;33386;33387;33388;33389;33390;33391;48887;52805;52806;52807;52808;52809;52810;52811;52812;54523;54524;54525;54526;54527;54528;54529;54530;54531,12149;12150;12151;12152;12153;12154;12155;12156;12157;12158;12159;12160;12161;12162;12163;12164;12165;12166;12167;13388;13389;13390;13391;13392;13393;13394;13395;13396;27208;27209;48561;48562;48563;48564;48565;48566;48567;48568;48569;48570;48571;48572;48573;48574;48575;48576;48577;48578;48579;48580;48581;48582;48583;48584;69217;69218;69219;69220;69221;69222;69223;69224;69225;69226;69227;69228;69229;69230;69231;69232;69233;69234;69235;69236;69237;69238;69239;69240;69241;69242;69243;69244;69245;69246;69247;69248;69249;69250;69251;69252;69253;69254;69255;69256;69257;69258;69259;69260;69261;69262;69263;69264;69265;69266;69267;69268;69269;69270;69271;69272;69273;69274;69275;69276;69277;69278;69279;100417;108885;108886;108887;108888;108889;108890;108891;108892;108893;108894;108895;108896;108897;108898;108899;108900;108901;108902;108903;108904;108905;108906;108907;108908;108909;108910;108911;112666;112667;112668;112669;112670;112671;112672;112673;112674;112675;112676;112677;112678;112679;112680;112681;112682;112683;112684;112685;112686;112687;112688;112689;112690;112691;112692;112693;112694;112695;112696;112697,12162;13394;27209;48579;69228;69243;100417;108886;112670;112696,316,,359,,-1;-1,protein_1433,quanti,quanti,quanti,quanti
HMGA1,-0.651889946039152,0.611723218382722,P17096,P17096,2,2,2,High mobility group protein HMG-I/HMG-Y,sp|P17096|HMGA1_HUMAN High mobility group protein HMG-I/HMG-Y OS=Homo sapiens OX=9606 GN=HMGA1 PE=1 SV=3,1,2,2,2,1,2,1,1,1,2,1,1,1,2,1,1,41.1,41.1,41.1,11.676,107,107,0.0,124.96,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.18173,0.49986,2.846,6,0,Leave out requantified,0.10544,0.16646,0.19811,0.28646,0.39126,0.4981,0.51002,0.54198,,2.3476,,4.7234,1,2,1,2,0,0,0,0,Median,Median,Median,Median,23.4,41.1,23.4,23.4,1714700000,1356200000,358440000,161200000,142220000,18982000,338590000,285880000,52709000,126240000,101940000,24299000,1088700000,826210000,262450000,,,,1433,9597;9776,True;True,10509;10697,27730;28203;28204;28205;28206;28207,57542;58448;58449;58450;58451;58452;58453;58454;58455;58456;58457;58458;58459;58460;58461;58462;58463,57542;58452,,,,,-1,protein_1434,quanti,quanti,quanti,quanti
GOT1,-0.663421696359055,0.0542168063056134,P17174,P17174,27,27,27,"Aspartate aminotransferase, cytoplasmic","sp|P17174|AATC_HUMAN Aspartate aminotransferase, cytoplasmic OS=Homo sapiens OX=9606 GN=GOT1 PE=1 SV=3",1,27,27,27,18,20,18,19,18,20,18,19,18,20,18,19,72.6,72.6,72.6,46.247,413,413,0.0,120.48,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.37993,0.93691,32.08,89,18,Leave out requantified,0.29331,0.39751,0.32667,0.50557,1.0611,1.1161,0.83721,0.90924,19.269,15.383,48.148,33.071,21,23,22,23,8,5,3,2,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,53.8,66.6,60.5,58.8,9556000000,6599400000,2956600000,1582800000,1139500000,443280000,2241300000,1601300000,639950000,2679800000,1883700000,796070000,3052200000,1974800000,1077300000,,,,1434,1737;4998;7250;7582;7899;8587;9023;9041;9904;10102;10103;10375;12258;13843;14063;14064;14439;15134;15135;15559;17474;18080;18189;19219;19261;19964;19965,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,1888;1889;5415;7927;8316;8642;9410;9868;9889;10845;11064;11065;11371;13380;15086;15315;15316;15715;16470;16471;16926;18966;19621;19736;20843;20889;21684;21685,5248;5249;5250;5251;5252;5253;5254;5255;5256;14109;14110;14111;20780;20781;20782;21855;21856;21857;21858;22648;22649;22650;22651;24798;24799;24800;24801;26001;26002;26003;26004;26055;26056;26057;26058;26059;26060;26061;28616;28617;28618;28619;29268;29269;29270;29271;29272;29273;29274;29275;29276;30235;30236;30237;30238;35481;35482;39926;39927;39928;39929;40541;40542;40543;40544;40545;40546;41602;43438;43439;43440;44599;44600;44601;44602;50061;51859;52120;52121;55146;55147;55148;55149;55287;55288;55289;57542;57543;57544,11166;11167;11168;11169;11170;11171;11172;11173;11174;11175;11176;11177;11178;11179;11180;11181;11182;11183;11184;11185;11186;11187;11188;28927;28928;28929;28930;28931;28932;28933;28934;42836;42837;42838;42839;42840;42841;42842;42843;42844;45250;45251;45252;45253;45254;45255;45256;45257;45258;45259;45260;45261;45262;45263;45264;45265;45266;45267;45268;45269;45270;46782;46783;46784;46785;46786;46787;46788;46789;46790;46791;51406;51407;51408;51409;51410;51411;51412;51413;51414;51415;51416;51417;53820;53821;53822;53823;53824;53825;53826;53827;53939;53940;53941;53942;53943;53944;53945;53946;53947;53948;53949;53950;53951;53952;53953;53954;53955;53956;53957;53958;53959;53960;53961;53962;59254;59255;59256;59257;60572;60573;60574;60575;60576;60577;60578;60579;60580;60581;60582;60583;60584;62757;62758;62759;62760;62761;62762;73196;73197;73198;82079;82080;82081;82082;82083;82084;83385;83386;83387;83388;83389;83390;83391;83392;83393;83394;83395;83396;83397;83398;83399;83400;83401;83402;83403;85738;89234;89235;89236;89237;89238;89239;91602;91603;91604;91605;91606;91607;91608;91609;91610;91611;102890;102891;106983;107479;107480;107481;113978;113979;113980;113981;113982;113983;113984;113985;113986;113987;113988;113989;113990;113991;113992;113993;113994;114275;114276;114277;114278;119158;119159;119160;119161,11175;28932;42841;45268;46790;51413;53825;53946;59256;60574;60579;62761;73197;82079;83393;83401;85738;89235;89236;91611;102891;106983;107479;113986;114276;119158;119160,,,,,-1,protein_1435,quanti,quanti,quanti,quanti
PRKCA,19.3802912630957,1.66445767617971e-05,P17252;P05771;J3KRN5,P17252,3;1;1,3;1;1,3;1;1,Protein kinase C alpha type,sp|P17252|KPCA_HUMAN Protein kinase C alpha type OS=Homo sapiens OX=9606 GN=PRKCA PE=1 SV=4,3,3,3,3,0,0,1,2,0,0,1,2,0,0,1,2,6.2,6.2,6.2,76.749,672,672;671;308,0.0015322,2.874,,,By MS/MS,By MS/MS,0.79971,1.3499,47.477,3,1,Plateau,,,0.40621,0.79971,,,0.71031,1.3499,,,,41.949,0,0,1,2,0,0,1,0,Median,Median,Median,Median,0.0,0.0,1.8,4.5,109720000,61954000,47761000,0,0,0,0,0,0,15751000,12725000,3025400,93965000,49229000,44736000,,,,1435,5573;12278;18435,True;True;True,6034;13403;19995,15715;35544;52837,32365;73326;108973;108974,32365;73326;108973,,,,,-1;-1;-1,protein_1436,quanti,quanti,imputed MEC,imputed MEC
ITGA2,0.259530360512041,0.631917861298982,P17301;E7EMF1;E7ESP4;E9PB77,P17301;E7EMF1;E7ESP4;E9PB77,7;6;6;5,7;6;6;5,7;6;6;5,Integrin alpha-2,sp|P17301|ITA2_HUMAN Integrin alpha-2 OS=Homo sapiens OX=9606 GN=ITGA2 PE=1 SV=1;tr|E7EMF1|E7EMF1_HUMAN Integrin alpha-2 OS=Homo sapiens OX=9606 GN=ITGA2 PE=1 SV=1;tr|E7ESP4|E7ESP4_HUMAN Integrin alpha-2 OS=Homo sapiens OX=9606 GN=ITGA2 PE=1 SV=1;tr|E9PB77,4,7,7,7,3,3,4,5,3,3,4,5,3,3,4,5,5.7,5.7,5.7,129.29,1181,1181;815;942;641,0.0,9.2564,By MS/MS,By MS/MS,By MS/MS,By MS/MS,1.1425,2.2131,18.764,13,6,Leave out requantified,0.92488,0.547,1.6148,1.0608,2.4768,1.2257,3.0188,1.7392,9.9682,2.4161,17.83,14.792,2,2,4,5,0,1,2,3,Median,Median,Median,Median,2.5,2.5,3.4,4.1,396680000,181240000,215440000,40417000,19352000,21065000,41215000,27728000,13487000,112260000,43260000,68996000,202800000,90903000,111890000,,,,1436,945;4800;5475;8004;8343;20465;20662,True;True;True;True;True;True;True,1013;5204;5922;8758;9139;22221;22439,2711;2712;13560;13561;13562;13563;15423;15424;22951;22952;24102;58909;58910;59473;59474,5632;5633;27856;27857;27858;27859;27860;27861;27862;31707;47474;47475;50032;50033;121968;121969;123054,5633;27856;31707;47475;50033;121968;123054,,,,,-1;-1;-1;-1,protein_1437,quanti,quanti,quanti,quanti
