Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity RBBP7_N1,Intensity RBBP7_N2,Intensity U2OS-BirA-alone_N1,Intensity U2OS-BirA-alone_N2
P48382;F8W689;H0Y4B4;F6S3S0;A0A0A0MT34;A0A0A0MSM9;F6X9D6;F6R6G4;F6UE82;A0A0A0MSQ2,P48382;F8W689;H0Y4B4,3;3;2;1;1;1;1;1;1;1,3;3;2;1;1;1;1;1;1;1,3;3;2;1;1;1;1;1;1;1,DNA-binding protein RFX5,RFX5,sp|P48382|RFX5_HUMAN DNA-binding protein RFX5 OS=Homo sapiens OX=9606 GN=RFX5 PE=1 SV=1;tr|F8W689|F8W689_HUMAN DNA-binding protein RFX5 (Fragment) OS=Homo sapiens OX=9606 GN=RFX5 PE=1 SV=1;tr|H0Y4B4|H0Y4B4_HUMAN DNA-binding protein RFX5 (Fragment) OS=Homo,3,3,5.5,4.05855270270621,4.16046733447314,24.8581373603962,24.2142307664962
Q13546,Q13546,3,3,3,Receptor-interacting serine/threonine-protein kinase 1,RIPK1,sp|Q13546|RIPK1_HUMAN Receptor-interacting serine/threonine-protein kinase 1 OS=Homo sapiens OX=9606 GN=RIPK1 PE=1 SV=3,3,3,4.9,4.05855270270621,4.16046733447314,24.4756211315868,25.1863137669534
Q13129,Q13129,3,3,3,Zinc finger protein Rlf,RLF,sp|Q13129|RLF_HUMAN Zinc finger protein Rlf OS=Homo sapiens OX=9606 GN=RLF PE=1 SV=2,3,3,3.8,19.3251385319142,20.4179225453262,25.3106003013527,24.7232784710184
Q15287;H3BV80;H3BMS0;H3BMM9;H3BTC0;H3BPG5,Q15287;H3BV80;H3BMS0;H3BMM9;H3BTC0;H3BPG5,3;3;3;3;3;2,3;3;3;3;3;2,3;3;3;3;3;2,RNA-binding protein with serine-rich domain 1,RNPS1,sp|Q15287|RNPS1_HUMAN RNA-binding protein with serine-rich domain 1 OS=Homo sapiens OX=9606 GN=RNPS1 PE=1 SV=1;tr|H3BV80|H3BV80_HUMAN RNA-binding protein with serine-rich domain 1 OS=Homo sapiens OX=9606 GN=RNPS1 PE=1 SV=2;tr|H3BMS0|H3BMS0_HUMAN RNA-bindin,3,3,11.5,24.4142232756711,23.3022908444723,4.46703075912539,4.41961297623885
P62913;Q5VVC8,P62913;Q5VVC8,3;2,3;2,3;2,60S ribosomal protein L11,RPL11,sp|P62913|RL11_HUMAN 60S ribosomal protein L11 OS=Homo sapiens OX=9606 GN=RPL11 PE=1 SV=2;tr|Q5VVC8|Q5VVC8_HUMAN 60S ribosomal protein L11 OS=Homo sapiens OX=9606 GN=RPL11 PE=1 SV=2,3,3,21.9,24.1450713893081,24.7586254058243,27.2966931740348,26.8042742267607
P50914;E7EPB3,P50914;E7EPB3,3;3,3;3,3;3,60S ribosomal protein L14,RPL14,sp|P50914|RL14_HUMAN 60S ribosomal protein L14 OS=Homo sapiens OX=9606 GN=RPL14 PE=1 SV=4;tr|E7EPB3|E7EPB3_HUMAN 60S ribosomal protein L14 OS=Homo sapiens OX=9606 GN=RPL14 PE=1 SV=1,3,3,16.3,24.7787136336199,24.62377256094,24.7647622767941,23.9025142293431
Q07020;G3V203;H0YHA7;J3QQ67;F8VUA6;F8VYV2;A0A075B7A0,Q07020;G3V203;H0YHA7;J3QQ67;F8VUA6;F8VYV2;A0A075B7A0,3;3;3;3;2;2;2,3;3;3;3;2;2;2,3;3;3;3;2;2;2,60S ribosomal protein L18,RPL18,sp|Q07020|RL18_HUMAN 60S ribosomal protein L18 OS=Homo sapiens OX=9606 GN=RPL18 PE=1 SV=2;tr|G3V203|G3V203_HUMAN 60S ribosomal protein L18 OS=Homo sapiens OX=9606 GN=RPL18 PE=1 SV=1;tr|H0YHA7|H0YHA7_HUMAN 60S ribosomal protein L18 (Fragment) OS=Homo sapien,3,3,19.7,26.1529043449364,25.826822712187,24.3895567710918,24.3639772168353
P84098;J3QR09;J3KTE4,P84098;J3QR09;J3KTE4,3;3;3,3;3;3,3;3;3,60S ribosomal protein L19;Ribosomal protein L19,RPL19,sp|P84098|RL19_HUMAN 60S ribosomal protein L19 OS=Homo sapiens OX=9606 GN=RPL19 PE=1 SV=1;tr|J3QR09|J3QR09_HUMAN Ribosomal protein L19 OS=Homo sapiens OX=9606 GN=RPL19 PE=1 SV=1;tr|J3KTE4|J3KTE4_HUMAN Ribosomal protein L19 OS=Homo sapiens OX=9606 GN=RPL19,3,3,17.9,20.8044367193122,22.3018558180372,25.2017610928108,26.0794450689574
P46776;E9PJD9;E9PLL6;E9PLX7,P46776;E9PJD9;E9PLL6,3;3;3;1,3;3;3;1,3;3;3;1,60S ribosomal protein L27a,RPL27A,sp|P46776|RL27A_HUMAN 60S ribosomal protein L27a OS=Homo sapiens OX=9606 GN=RPL27A PE=1 SV=2;tr|E9PJD9|E9PJD9_HUMAN 60S ribosomal protein L27a OS=Homo sapiens OX=9606 GN=RPL27A PE=1 SV=1;tr|E9PLL6|E9PLL6_HUMAN 60S ribosomal protein L27a OS=Homo sapiens OX=,3,3,22.3,24.9152462640222,25.6388724775715,24.8626400862571,24.2866553309925
P62280;M0QZC5;M0R1H5,P62280;M0QZC5,3;3;1,3;3;1,3;3;1,40S ribosomal protein S11,RPS11,sp|P62280|RS11_HUMAN 40S ribosomal protein S11 OS=Homo sapiens OX=9606 GN=RPS11 PE=1 SV=3;tr|M0QZC5|M0QZC5_HUMAN 40S ribosomal protein S11 OS=Homo sapiens OX=9606 GN=RPS11 PE=1 SV=1,3,3,16.5,21.6798150995909,22.5369206653034,23.3969244638956,22.6560005650841
P62263;A0A2R8Y811;E5RH77,P62263;A0A2R8Y811;E5RH77,3;3;2,3;3;2,3;3;2,40S ribosomal protein S14,RPS14,sp|P62263|RS14_HUMAN 40S ribosomal protein S14 OS=Homo sapiens OX=9606 GN=RPS14 PE=1 SV=3;tr|A0A2R8Y811|A0A2R8Y811_HUMAN 40S ribosomal protein S14 (Fragment) OS=Homo sapiens OX=9606 GN=RPS14 PE=1 SV=1;tr|E5RH77|E5RH77_HUMAN 40S ribosomal protein S14 OS=Hom,3,3,29.8,22.7179976525272,23.7041932604759,4.46703075912539,4.41961297623885
P62244;I3L3P7;I3L246;H3BN98;H3BVC7,P62244;I3L3P7;I3L246;H3BN98,3;3;2;2;1,3;3;2;2;1,3;3;2;2;1,40S ribosomal protein S15a,RPS15A,sp|P62244|RS15A_HUMAN 40S ribosomal protein S15a OS=Homo sapiens OX=9606 GN=RPS15A PE=1 SV=2;tr|I3L3P7|I3L3P7_HUMAN 40S ribosomal protein S15a OS=Homo sapiens OX=9606 GN=RPS15A PE=1 SV=1;tr|I3L246|I3L246_HUMAN 40S ribosomal protein S15a OS=Homo sapiens OX=,3,3,23.8,23.9009493342658,24.596847630412,23.5056700774136,23.4338991710402
P62249;M0R3H0;M0R210;M0QX76;M0R1M5;Q6IPX4,P62249;M0R3H0;M0R210;M0QX76;M0R1M5;Q6IPX4,3;3;3;2;2;2,3;3;3;2;2;2,3;3;3;2;2;2,40S ribosomal protein S16,RPS16,sp|P62249|RS16_HUMAN 40S ribosomal protein S16 OS=Homo sapiens OX=9606 GN=RPS16 PE=1 SV=2;tr|M0R3H0|M0R3H0_HUMAN 40S ribosomal protein S16 OS=Homo sapiens OX=9606 GN=RPS16 PE=1 SV=1;tr|M0R210|M0R210_HUMAN 40S ribosomal protein S16 OS=Homo sapiens OX=9606 G,3,3,22.6,24.3149963907504,23.7738434757309,4.46703075912539,4.41961297623885
P62266;D6RD47,P62266;D6RD47,3;2,3;2,3;2,40S ribosomal protein S23,RPS23,sp|P62266|RS23_HUMAN 40S ribosomal protein S23 OS=Homo sapiens OX=9606 GN=RPS23 PE=1 SV=3;tr|D6RD47|D6RD47_HUMAN 40S ribosomal protein S23 OS=Homo sapiens OX=9606 GN=RPS23 PE=1 SV=1,3,3,16.1,25.2407447568027,25.607497383016,25.2498854106592,25.355382016211
P62701;P22090;C9JEH7,P62701,3;1;1,3;1;1,3;1;1,"40S ribosomal protein S4, X isoform",RPS4X,"sp|P62701|RS4X_HUMAN 40S ribosomal protein S4, X isoform OS=Homo sapiens OX=9606 GN=RPS4X PE=1 SV=2",3,3,14.8,23.9300348909322,24.9718034860785,24.8428148674621,23.6133551362128
P62753;A2A3R7;A2A3R5,P62753;A2A3R7;A2A3R5,3;2;2,3;2;2,3;2;2,40S ribosomal protein S6,RPS6,sp|P62753|RS6_HUMAN 40S ribosomal protein S6 OS=Homo sapiens OX=9606 GN=RPS6 PE=1 SV=1;tr|A2A3R7|A2A3R7_HUMAN 40S ribosomal protein S6 OS=Homo sapiens OX=9606 GN=RPS6 PE=1 SV=1;tr|A2A3R5|A2A3R5_HUMAN 40S ribosomal protein S6 OS=Homo sapiens OX=9606 GN=RPS6,3,3,14.1,25.3383433108246,25.6646517011693,25.911159532868,25.0410962911225
Q5VWQ0;A0A087WWP8;A0A0C4DGT8;A0A0C4DH79,Q5VWQ0;A0A087WWP8;A0A0C4DGT8,3;3;2;1,3;3;2;1,3;3;2;1,Round spermatid basic protein 1,RSBN1,sp|Q5VWQ0|RSBN1_HUMAN Lysine-specific demethylase 9 OS=Homo sapiens OX=9606 GN=RSBN1 PE=1 SV=2;tr|A0A087WWP8|A0A087WWP8_HUMAN Lysine-specific demethylase 9 OS=Homo sapiens OX=9606 GN=RSBN1 PE=1 SV=1;tr|A0A0C4DGT8|A0A0C4DGT8_HUMAN Lysine-specific demethylas,3,3,4.9,4.05855270270621,4.16046733447314,24.2665658142311,23.7866612851269
Q6PCB5;H7C2D3;C9JM20,Q6PCB5,3;1;1,3;1;1,3;1;1,Round spermatid basic protein 1-like protein,RSBN1L,sp|Q6PCB5|RSBNL_HUMAN Lysine-specific demethylase RSBN1L OS=Homo sapiens OX=9606 GN=RSBN1L PE=1 SV=2,3,3,4.5,23.4634756483677,22.5823790734114,25.5918925528596,25.5751650506171
Q7L4I2;H0YGP9;E1B6W4,Q7L4I2,3;1;1,3;1;1,3;1;1,Arginine/serine-rich coiled-coil protein 2,RSRC2,sp|Q7L4I2|RSRC2_HUMAN Arginine/serine-rich coiled-coil protein 2 OS=Homo sapiens OX=9606 GN=RSRC2 PE=1 SV=1,3,3,7.6,21.908538961467,22.050659093361,25.742808380198,25.4651630634685
Q9BY42;A2A2L5;A0A0A0MQR2;A2A2L6,Q9BY42;A2A2L5;A0A0A0MQR2;A2A2L6,3;3;3;2,3;3;3;2,3;3;3;2,Protein RTF2 homolog,RTFDC1,sp|Q9BY42|RTF2_HUMAN Replication termination factor 2 OS=Homo sapiens OX=9606 GN=RTF2 PE=1 SV=3;tr|A2A2L5|A2A2L5_HUMAN Replication termination factor 2 (Fragment) OS=Homo sapiens OX=9606 GN=RTF2 PE=1 SV=1;tr|A0A0A0MQR2|A0A0A0MQR2_HUMAN Replication terminat,3,3,14.7,4.05855270270621,4.16046733447314,24.9868076148483,24.6861707561871
P21817,P21817,3,3,3,Ryanodine receptor 1,RYR1,sp|P21817|RYR1_HUMAN Ryanodine receptor 1 OS=Homo sapiens OX=9606 GN=RYR1 PE=1 SV=3,3,3,0.9,22.4555319151148,23.2118419646342,4.46703075912539,4.41961297623885
P31949,P31949,3,3,3,"Protein S100-A11;Protein S100-A11, N-terminally processed",S100A11,sp|P31949|S10AB_HUMAN Protein S100-A11 OS=Homo sapiens OX=9606 GN=S100A11 PE=1 SV=2,3,3,34.3,24.1374302260091,22.7961806486024,27.6717540892996,27.6933857118313
P06702,P06702,3,3,3,Protein S100-A9,S100A9,sp|P06702|S10A9_HUMAN Protein S100-A9 OS=Homo sapiens OX=9606 GN=S100A9 PE=1 SV=1,3,3,37.7,25.3934899661149,22.9242282501371,4.46703075912539,4.41961297623885
O95171;F2Z2X8,O95171,3;1,3;1,3;1,Sciellin,SCEL,sp|O95171|SCEL_HUMAN Sciellin OS=Homo sapiens OX=9606 GN=SCEL PE=1 SV=2,3,3,5.2,22.9089893064441,24.1098848410256,23.6809367594921,22.2318094623364
Q6IQ49,Q6IQ49,3,3,3,Protein SDE2 homolog,SDE2,sp|Q6IQ49|SDE2_HUMAN Replication stress response regulator SDE2 OS=Homo sapiens OX=9606 GN=SDE2 PE=1 SV=1,3,3,13.3,4.05855270270621,4.16046733447314,23.0151053373796,23.6473521415506
Q9GZR1;F8W6D9;D6RJH1;H0Y4F4,Q9GZR1;F8W6D9,3;2;1;1,3;2;1;1,3;2;1;1,Sentrin-specific protease 6,SENP6,sp|Q9GZR1|SENP6_HUMAN Sentrin-specific protease 6 OS=Homo sapiens OX=9606 GN=SENP6 PE=1 SV=2;tr|F8W6D9|F8W6D9_HUMAN Sentrin-specific protease 6 OS=Homo sapiens OX=9606 GN=SENP6 PE=1 SV=1,3,3,3.8,23.8923344587197,24.5279670724389,4.46703075912539,4.41961297623885
Q15393,Q15393,3,3,3,Splicing factor 3B subunit 3,SF3B3,sp|Q15393|SF3B3_HUMAN Splicing factor 3B subunit 3 OS=Homo sapiens OX=9606 GN=SF3B3 PE=1 SV=4,3,3,3.5,22.063322660309,23.9773124870511,25.1920459379776,24.4973485074666
Q8NEM2;I3L3Z1,Q8NEM2,3;1,3;1,3;1,SHC SH2 domain-binding protein 1,SHCBP1,sp|Q8NEM2|SHCBP_HUMAN SHC SH2 domain-binding protein 1 OS=Homo sapiens OX=9606 GN=SHCBP1 PE=1 SV=3,3,3,4.0,4.05855270270621,4.16046733447314,24.6874175477251,24.5788255080881
Q96EB6;B0QZ35;E9PC49,Q96EB6;B0QZ35;E9PC49,3;2;2,3;2;2,3;2;2,NAD-dependent protein deacetylase sirtuin-1;SirtT1 75 kDa fragment,SIRT1,sp|Q96EB6|SIR1_HUMAN NAD-dependent protein deacetylase sirtuin-1 OS=Homo sapiens OX=9606 GN=SIRT1 PE=1 SV=2;tr|B0QZ35|B0QZ35_HUMAN NAD-dependent protein deacetylase sirtuin-1 OS=Homo sapiens OX=9606 GN=SIRT1 PE=1 SV=1;tr|E9PC49|E9PC49_HUMAN NAD-dependent p,3,3,5.2,4.05855270270621,4.16046733447314,24.2747631697026,23.304520667236
Q9UHW9;Q9UP95;H0YMQ9;B3KXX3;I3L4N6;Q9H2X9;A0A1B0GVB1;H0YKJ2;H0YKQ8,Q9UHW9;Q9UP95;H0YMQ9;B3KXX3;I3L4N6,3;2;2;2;2;1;1;1;1,3;2;2;2;2;1;1;1;1,3;2;2;2;2;1;1;1;1,Solute carrier family 12 member 6;Solute carrier family 12 member 4,SLC12A6;SLC12A4,sp|Q9UHW9|S12A6_HUMAN Solute carrier family 12 member 6 OS=Homo sapiens OX=9606 GN=SLC12A6 PE=1 SV=2;sp|Q9UP95|S12A4_HUMAN Solute carrier family 12 member 4 OS=Homo sapiens OX=9606 GN=SLC12A4 PE=1 SV=2;tr|H0YMQ9|H0YMQ9_HUMAN Solute carrier family 12 (Potas,3,3,2.6,21.6929389549268,22.9254335850252,22.464508857697,23.5224100799691
P12236;P12235;V9GYG0,P12236;P12235;V9GYG0,9;6;5,3;1;1,3;1;1,"ADP/ATP translocase 3;ADP/ATP translocase 3, N-terminally processed;ADP/ATP translocase 1",SLC25A6;SLC25A4,sp|P12236|ADT3_HUMAN ADP/ATP translocase 3 OS=Homo sapiens OX=9606 GN=SLC25A6 PE=1 SV=4;sp|P12235|ADT1_HUMAN ADP/ATP translocase 1 OS=Homo sapiens OX=9606 GN=SLC25A4 PE=1 SV=4;tr|V9GYG0|V9GYG0_HUMAN ADP/ATP translocase 1 OS=Homo sapiens OX=9606 GN=SLC25A4,9,3,37.2,23.829873678819,23.5795737491347,24.3822331499097,23.3599789946815
P11169;Q8TDB8;F5GYR5,P11169;Q8TDB8,3;2;1,3;2;1,3;2;1,"Solute carrier family 2, facilitated glucose transporter member 3;Solute carrier family 2, facilitated glucose transporter member 14",SLC2A3;SLC2A14,"sp|P11169|GTR3_HUMAN Solute carrier family 2, facilitated glucose transporter member 3 OS=Homo sapiens OX=9606 GN=SLC2A3 PE=1 SV=1;sp|Q8TDB8|GTR14_HUMAN Solute carrier family 2, facilitated glucose transporter member 14 OS=Homo sapiens OX=9606 GN=SLC2A14 P",3,3,7.7,4.05855270270621,4.16046733447314,26.3959754548538,24.0834273860512
O14745;J3QRP6,O14745;J3QRP6,3;2,3;2,3;2,Na(+)/H(+) exchange regulatory cofactor NHE-RF1,SLC9A3R1,sp|O14745|NHRF1_HUMAN Na(+)/H(+) exchange regulatory cofactor NHE-RF1 OS=Homo sapiens OX=9606 GN=SLC9A3R1 PE=1 SV=4;tr|J3QRP6|J3QRP6_HUMAN Na(+)/H(+) exchange regulatory cofactor NHE-RF1 (Fragment) OS=Homo sapiens OX=9606 GN=SLC9A3R1 PE=1 SV=1,3,3,12.6,4.05855270270621,4.16046733447314,25.2110398649686,24.5131005940185
Q8IYB5;A0A087X1X9,Q8IYB5;A0A087X1X9,3;2,3;2,3;2,Stromal membrane-associated protein 1,SMAP1,sp|Q8IYB5|SMAP1_HUMAN Stromal membrane-associated protein 1 OS=Homo sapiens OX=9606 GN=SMAP1 PE=1 SV=2;tr|A0A087X1X9|A0A087X1X9_HUMAN Stromal membrane-associated protein 1 OS=Homo sapiens OX=9606 GN=SMAP1 PE=1 SV=1,3,3,7.7,24.8842748769544,26.1359636451301,27.7330506053849,27.4090840055084
O75940,O75940,3,3,3,Survival of motor neuron-related-splicing factor 30,SMNDC1,sp|O75940|SPF30_HUMAN Survival of motor neuron-related-splicing factor 30 OS=Homo sapiens OX=9606 GN=SMNDC1 PE=1 SV=1,3,3,20.6,4.05855270270621,4.16046733447314,25.4760539555603,24.1393833509397
Q96L92;A0A2R8Y8A7;A0A5H1ZRP6;H7C603;A0A2R8Y871,Q96L92;A0A2R8Y8A7;A0A5H1ZRP6,3;3;2;1;1,3;3;2;1;1,3;3;2;1;1,Sorting nexin-27,SNX27,sp|Q96L92|SNX27_HUMAN Sorting nexin-27 OS=Homo sapiens OX=9606 GN=SNX27 PE=1 SV=2;tr|A0A2R8Y8A7|A0A2R8Y8A7_HUMAN Sorting nexin-27 OS=Homo sapiens OX=9606 GN=SNX27 PE=1 SV=1;tr|A0A5H1ZRP6|A0A5H1ZRP6_HUMAN Sorting nexin-27 (Fragment) OS=Homo sapiens OX=9606,3,3,11.8,4.05855270270621,4.16046733447314,23.7254644518731,23.4579179750964
P48436;P56693;P35713;Q9H6I2;A6PVD3,P48436,7;2;2;2;2,7;2;2;2;2,3;0;0;0;0,Transcription factor SOX-9,SOX9,sp|P48436|SOX9_HUMAN Transcription factor SOX-9 OS=Homo sapiens OX=9606 GN=SOX9 PE=1 SV=1,7,3,15.9,21.9749329642666,22.2234373042769,25.9590544096112,26.7725352738116
Q07617,Q07617,3,3,3,Sperm-associated antigen 1,SPAG1,sp|Q07617|SPAG1_HUMAN Sperm-associated antigen 1 OS=Homo sapiens OX=9606 GN=SPAG1 PE=1 SV=3,3,3,5.6,4.05855270270621,4.16046733447314,24.381658065126,23.56267285169
O75391;I3L0X5;I3L4C3;I3L0Q5,O75391;I3L0X5;I3L4C3,3;3;2;1,3;3;2;1,3;3;2;1,Sperm-associated antigen 7,SPAG7,sp|O75391|SPAG7_HUMAN Sperm-associated antigen 7 OS=Homo sapiens OX=9606 GN=SPAG7 PE=1 SV=2;tr|I3L0X5|I3L0X5_HUMAN Sperm-associated antigen 7 OS=Homo sapiens OX=9606 GN=SPAG7 PE=1 SV=1;tr|I3L4C3|I3L4C3_HUMAN Sperm-associated antigen 7 OS=Homo sapiens OX=96,3,3,15.9,21.8999102055731,22.7200245996378,26.3947659491577,26.1144197452108
O15020,O15020,3,3,3,"Spectrin beta chain, non-erythrocytic 2",SPTBN2,"sp|O15020|SPTN2_HUMAN Spectrin beta chain, non-erythrocytic 2 OS=Homo sapiens OX=9606 GN=SPTBN2 PE=1 SV=3",3,3,3.2,4.05855270270621,4.16046733447314,23.3639935461289,23.4456908294949
Q8WXA9,Q8WXA9,3,3,3,Splicing regulatory glutamine/lysine-rich protein 1,SREK1,sp|Q8WXA9|SREK1_HUMAN Splicing regulatory glutamine/lysine-rich protein 1 OS=Homo sapiens OX=9606 GN=SREK1 PE=1 SV=1,3,3,9.8,23.3053559630468,25.1438907634916,4.46703075912539,4.41961297623885
A0A590UK80;Q13247;A0A590UJK4;A0A590UK01;A0A590UJP7;Q08170;Q13243;B4DJK0;B4DUA4;A0A0D9SEM4,A0A590UK80;Q13247;A0A590UJK4;A0A590UK01;A0A590UJP7,3;2;2;2;2;1;1;1;1;1,3;2;2;2;2;1;1;1;1;1,3;2;2;2;2;1;1;1;1;1,Serine/arginine-rich splicing factor 6,SRSF6,tr|A0A590UK80|A0A590UK80_HUMAN Uncharacterized protein (Fragment) OS=Homo sapiens OX=9606 PE=4 SV=1;sp|Q13247|SRSF6_HUMAN Serine/arginine-rich splicing factor 6 OS=Homo sapiens OX=9606 GN=SRSF6 PE=1 SV=2;tr|A0A590UJK4|A0A590UJK4_HUMAN Serine/arginine-rich-,3,3,3.0,21.462288578018,23.0477785061925,21.4241908978986,22.5962505687492
P42226;A0A494C0T4;A0A1W2PNW1;H0YJH6;Q5FBW6;G3V2L2;G3V2M3;G3V2H4;G3V5I8;G3V568;G3V370;G3V5K5,P42226;A0A494C0T4;A0A1W2PNW1;H0YJH6,3;3;3;3;1;1;1;1;1;1;1;1,3;3;3;3;1;1;1;1;1;1;1;1,3;3;3;3;1;1;1;1;1;1;1;1,Signal transducer and activator of transcription 6,STAT6,sp|P42226|STAT6_HUMAN Signal transducer and activator of transcription 6 OS=Homo sapiens OX=9606 GN=STAT6 PE=1 SV=1;tr|A0A494C0T4|A0A494C0T4_HUMAN Signal transducer and activator of transcription OS=Homo sapiens OX=9606 GN=STAT6 PE=1 SV=1;tr|A0A1W2PNW1|A0A,3,3,4.4,4.05855270270621,4.16046733447314,25.1437098607147,23.6758373246865
Q13586;E9PNJ4;G0XQ39;H0YDB2,Q13586;E9PNJ4;G0XQ39;H0YDB2,4;4;4;3,4;4;4;3,3;3;3;3,Stromal interaction molecule 1,STIM1,sp|Q13586|STIM1_HUMAN Stromal interaction molecule 1 OS=Homo sapiens OX=9606 GN=STIM1 PE=1 SV=3;tr|E9PNJ4|E9PNJ4_HUMAN Stromal interaction molecule 1 OS=Homo sapiens OX=9606 GN=STIM1 PE=1 SV=1;tr|G0XQ39|G0XQ39_HUMAN STIM1L OS=Homo sapiens OX=9606 GN=STIM1,4,3,8.5,4.05855270270621,4.16046733447314,24.8679709470492,23.6385410901711
Q5VSL9,Q5VSL9,3,3,3,Striatin-interacting protein 1,STRIP1,sp|Q5VSL9|STRP1_HUMAN Striatin-interacting protein 1 OS=Homo sapiens OX=9606 GN=STRIP1 PE=1 SV=1,3,3,4.9,4.05855270270621,4.16046733447314,26.3846745497121,26.1060349124667
E7ENN3;Q8NF91;A0A0C4DG40;A0A087WYJ5;A0A0C4DH48;F5GYQ7;A0A5F9ZHD7;F5H4Q0;A0A5F9ZHR3;F5GXQ8;A0A5F9ZI52,E7ENN3;Q8NF91;A0A0C4DG40,3;2;2;1;1;1;1;1;1;1;1,3;2;2;1;1;1;1;1;1;1;1,3;2;2;1;1;1;1;1;1;1;1,Nesprin-1,SYNE1,tr|E7ENN3|E7ENN3_HUMAN Nesprin-1 OS=Homo sapiens OX=9606 GN=SYNE1 PE=1 SV=2;sp|Q8NF91|SYNE1_HUMAN Nesprin-1 OS=Homo sapiens OX=9606 GN=SYNE1 PE=1 SV=4;tr|A0A0C4DG40|A0A0C4DG40_HUMAN Nesprin-1 OS=Homo sapiens OX=9606 GN=SYNE1 PE=1 SV=1,3,3,0.7,23.3973824874721,24.1550683492605,24.3316965841329,24.5708007325735
G3V5X4;A0A0A0MRE3;Q8WXH0;G3V3D4;G3V4T3;A0A0C4DGK3,G3V5X4;A0A0A0MRE3;Q8WXH0,3;3;2;1;1;1,3;3;2;1;1;1,3;3;2;1;1;1,Nesprin-2,SYNE2,tr|G3V5X4|G3V5X4_HUMAN Nesprin-2 OS=Homo sapiens OX=9606 GN=SYNE2 PE=1 SV=1;tr|A0A0A0MRE3|A0A0A0MRE3_HUMAN Nesprin-2 OS=Homo sapiens OX=9606 GN=SYNE2 PE=1 SV=1;sp|Q8WXH0|SYNE2_HUMAN Nesprin-2 OS=Homo sapiens OX=9606 GN=SYNE2 PE=1 SV=3,3,3,0.7,22.1066779466262,23.974625395791,24.1066140554351,23.7409830135601
Q5VWG9,Q5VWG9,3,3,3,Transcription initiation factor TFIID subunit 3,TAF3,sp|Q5VWG9|TAF3_HUMAN Transcription initiation factor TFIID subunit 3 OS=Homo sapiens OX=9606 GN=TAF3 PE=1 SV=1,3,3,4.1,4.05855270270621,4.16046733447314,25.4232934203948,24.7927299350776
Q5QJ74;A0A2R8YFB7;E9PP54;E9PNS0,Q5QJ74;A0A2R8YFB7;E9PP54,3;3;2;1,3;3;2;1,3;3;2;1,Tubulin-specific chaperone cofactor E-like protein,TBCEL,sp|Q5QJ74|TBCEL_HUMAN Tubulin-specific chaperone cofactor E-like protein OS=Homo sapiens OX=9606 GN=TBCEL PE=1 SV=2;tr|A0A2R8YFB7|A0A2R8YFB7_HUMAN NIDO domain-containing protein (Fragment) OS=Homo sapiens OX=9606 PE=4 SV=1;tr|E9PP54|E9PP54_HUMAN Tubulin-sp,3,3,12.7,4.05855270270621,4.16046733447314,25.5137331370299,25.8648343189992
Q15369;E5RHG8;R4GMY8,Q15369;E5RHG8;R4GMY8,3;3;2,3;3;2,3;3;2,Transcription elongation factor B polypeptide 1,TCEB1,sp|Q15369|ELOC_HUMAN Elongin-C OS=Homo sapiens OX=9606 GN=ELOC PE=1 SV=1;tr|E5RHG8|E5RHG8_HUMAN Elongin-C (Fragment) OS=Homo sapiens OX=9606 GN=ELOC PE=1 SV=1;tr|R4GMY8|R4GMY8_HUMAN Elongin-C OS=Homo sapiens OX=9606 GN=ELOC PE=1 SV=1,3,3,41.1,21.6826466061706,23.0792171756211,27.1967616449125,27.1688263402245
E7ETY2;A0A3B3IS06;H0Y8Y7;A0A2R8Y857;H0YA99;A0A2R8Y4M7,E7ETY2;A0A3B3IS06;H0Y8Y7,35;33;21;6;3;2,3;2;1;0;0;0,3;2;1;0;0;0,,TCOF1,tr|E7ETY2|E7ETY2_HUMAN Treacle protein OS=Homo sapiens OX=9606 GN=TCOF1 PE=1 SV=1;tr|A0A3B3IS06|A0A3B3IS06_HUMAN Treacle protein (Fragment) OS=Homo sapiens OX=9606 GN=TCOF1 PE=1 SV=1;tr|H0Y8Y7|H0Y8Y7_HUMAN Treacle protein OS=Homo sapiens OX=9606 GN=TCOF1 P,35,3,28.8,20.5546862710713,21.3264667934809,25.6563006860336,26.2682268663406
Q07157;G3V1L9;H0YKB1;H0Y3R8;H0YLT6,Q07157;G3V1L9,64;64;10;7;4,64;64;10;7;4,3;3;0;0;0,Tight junction protein ZO-1,TJP1,"sp|Q07157|ZO1_HUMAN Tight junction protein ZO-1 OS=Homo sapiens OX=9606 GN=TJP1 PE=1 SV=3;tr|G3V1L9|G3V1L9_HUMAN Tight junction protein 1 (Zona occludens 1), isoform CRA_a OS=Homo sapiens OX=9606 GN=TJP1 PE=1 SV=1",64,3,48.7,28.1416066927971,29.1176580413564,31.102682802955,30.7592288379533
