Gene_names,PWP1_vs_BirA_logFC,PWP1_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_PWP1_N1,Peptides_PWP1_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_PWP1_N1,Razor___unique_peptides_PWP1_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_PWP1_N1,Unique_peptides_PWP1_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_PWP1_N1,Identification_type_PWP1_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_PWP1_N1,Ratio_H_L_PWP1_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_PWP1_N1,Ratio_H_L_normalized_PWP1_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____PWP1_N1,Ratio_H_L_variability_____PWP1_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_PWP1_N1,Ratio_H_L_count_PWP1_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_PWP1_N1,Ratio_H_L_iso_count_PWP1_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_PWP1_N1,Ratio_H_L_type_PWP1_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_PWP1_N1____,Sequence_coverage_PWP1_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_PWP1_N1,Intensity_L_PWP1_N1,Intensity_H_PWP1_N1,Intensity_PWP1_N2,Intensity_L_PWP1_N2,Intensity_H_PWP1_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_PWP1_N1,metacell_Intensity_L_PWP1_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
UQCRB,0.632845725359591,0.0413651141881436,P14927;B7Z2R2;E5RHG9,P14927;B7Z2R2;E5RHG9,6;5;3,6;5;3,6;5;3,Cytochrome b-c1 complex subunit 7,sp|P14927|QCR7_HUMAN Cytochrome b-c1 complex subunit 7 OS=Homo sapiens OX=9606 GN=UQCRB PE=1 SV=2;tr|B7Z2R2|B7Z2R2_HUMAN Cytochrome b-c1 complex subunit 7 OS=Homo sapiens OX=9606 GN=UQCRB PE=1 SV=1;tr|E5RHG9|E5RHG9_HUMAN Cytochrome b-c1 complex subunit 7 O,3,6,6,6,3,3,6,4,3,3,6,4,3,3,6,4,64.0,64.0,64.0,13.53,111,111;161;76,0.0,14.164,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.15438,0.46931,15.929,19,11,Leave out requantified,0.18403,0.20493,0.17239,0.15382,0.56648,0.5229,0.55615,0.41433,45.446,35.225,11.124,10.418,4,4,7,4,3,3,4,1,Median,Median,Leave out requantified,Leave out requantified,38.7,38.7,64.0,49.5,1643800000,1379800000,263960000,173310000,142040000,31275000,200790000,163550000,37238000,694450000,583820000,110620000,575220000,490400000,84817000,,,,1529,1184;1185;3958;10251;15100;20569,True;True;True;True;True;True,1266;1267;4231;11128;16283;22150,3467;3468;3469;3470;3471;3472;3473;3474;11243;11244;29737;29738;29739;29740;43278;59060;59061;59062;59063,6522;6523;6524;6525;6526;6527;6528;6529;21459;21460;56319;56320;56321;56322;56323;56324;56325;81068;81069;111586;111587;111588;111589;111590;111591;111592;111593;111594,6522;6526;21460;56321;81069;111592,,,,,-1;-1;-1,protein_1530,quanti,quanti,quanti,quanti
AKR1B1,-2.79893981609944,0.000546790821035996,P15121;E9PCX2;E9PEF9;C9JRZ8,P15121;E9PCX2,16;11;6;1,16;11;6;1,16;11;6;1,Aldose reductase,sp|P15121|ALDR_HUMAN Aldo-keto reductase family 1 member B1 OS=Homo sapiens OX=9606 GN=AKR1B1 PE=1 SV=3;tr|E9PCX2|E9PCX2_HUMAN Aldo-keto reductase family 1 member B1 OS=Homo sapiens OX=9606 GN=AKR1B1 PE=1 SV=1,4,16,16,16,13,8,6,5,13,8,6,5,13,8,6,5,62.0,62.0,62.0,35.853,316,316;263;102;316,0.0,43.108,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.30812,1.0131,20.336,36,11,Leave out requantified,0.28865,0.35675,0.33954,0.38363,1.0697,0.98998,1.0657,0.95325,18.945,15.309,49.328,27.434,14,10,6,6,3,2,3,3,Leave out requantified,Leave out requantified,Median,Median,46.8,38.6,31.0,28.8,3629600000,2576500000,1053100000,1429700000,1078300000,351370000,1261200000,867660000,393550000,439820000,295940000,143880000,498860000,334590000,164270000,,,,1530,953;3953;5817;6839;6956;10964;12248;12249;12998;13771;16429;18038;18039;18401;18531;20907,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,1001;4226;6269;7405;7537;11898;13258;13259;14048;14866;17703;19400;19401;19793;19937;22503,2702;2703;11231;11232;16616;16617;19653;20053;31852;31853;35387;35388;37448;37449;39656;39657;39658;47018;47019;51618;51619;51620;51621;51622;52735;53107;53108;53109;53110;53111;53112;53113;53114;59990;59991;59992;59993,5038;5039;21437;21438;21439;31715;31716;37268;37269;38201;38202;38203;38204;60316;60317;60318;60319;66713;66714;70434;70435;70436;70437;70438;70439;74687;74688;74689;74690;74691;74692;88031;88032;96880;96881;96882;96883;96884;96885;96886;96887;96888;96889;96890;99276;99277;99278;100071;100072;100073;100074;100075;100076;100077;100078;100079;100080;100081;100082;100083;100084;100085;100086;100087;100088;113256;113257;113258;113259,5038;21438;31716;37269;38201;60316;66713;66714;70434;74690;88032;96880;96881;99276;100074;113257,,,,,-1;-1;-1;-1,protein_1531,quanti,quanti,quanti,quanti
GSPT1;GSPT2,-2.9093962659832,0.0119080355462322,P15170;H3BR35;Q8IYD1;H3BSV8,P15170;H3BR35;Q8IYD1,10;9;7;3,10;9;7;3,10;9;7;3,Eukaryotic peptide chain release factor GTP-binding subunit ERF3A;Eukaryotic peptide chain release factor GTP-binding subunit ERF3B,sp|P15170|ERF3A_HUMAN Eukaryotic peptide chain release factor GTP-binding subunit ERF3A OS=Homo sapiens OX=9606 GN=GSPT1 PE=1 SV=1;tr|H3BR35|H3BR35_HUMAN Eukaryotic peptide chain release factor GTP-binding subunit ERF3A (Fragment) OS=Homo sapiens OX=9606 G,4,10,10,10,6,7,1,3,6,7,1,3,6,7,1,3,21.2,21.2,21.2,55.755,499,499;475;628;199,0.0,17.284,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.3033,0.82881,11.383,17,7,Leave out requantified,0.29171,0.31745,0.24117,0.38895,0.83163,0.77902,0.74394,1.0097,7.6974,9.8864,,23.016,6,7,1,3,3,3,0,1,Leave out requantified,Leave out requantified,Median,Median,13.8,14.0,1.6,7.2,1184900000,861130000,323810000,360130000,275540000,84590000,497390000,359060000,138330000,65478000,51259000,14219000,261940000,175270000,86671000,,,,1531,2436;5040;5116;6773;6893;11625;16743;17070;17072;17225,True;True;True;True;True;True;True;True;True;True,2608;5388;5472;7327;7463;12590;18030;18370;18372;18534,7196;14213;14214;14416;14417;19415;19828;19829;19830;19831;33615;47931;48860;48865;48866;49325;49326,13941;27003;27004;27403;27404;27405;27406;36791;36792;37661;37662;37663;37664;37665;37666;37667;37668;63381;89658;91364;91374;91375;92336;92337,13941;27004;27403;36791;37664;63381;89658;91364;91375;92337,,,,,-1;-1;-1;-1,protein_1532,quanti,quanti,quanti,quanti
RPS2,0.250709620830904,0.230770022119076,P15880;H0YEN5;E9PQD7;E9PMM9;I3L404;E9PPT0;E9PM36;H3BNG3;H0YE27,P15880;H0YEN5;E9PQD7,17;15;13;7;6;6;6;1;1,17;15;13;7;6;6;6;1;1,17;15;13;7;6;6;6;1;1,40S ribosomal protein S2,sp|P15880|RS2_HUMAN 40S ribosomal protein S2 OS=Homo sapiens OX=9606 GN=RPS2 PE=1 SV=2;tr|H0YEN5|H0YEN5_HUMAN 40S ribosomal protein S2 (Fragment) OS=Homo sapiens OX=9606 GN=RPS2 PE=1 SV=1;tr|E9PQD7|E9PQD7_HUMAN 40S ribosomal protein S2 OS=Homo sapiens OX=9,9,17,17,17,14,11,11,10,14,11,11,10,14,11,11,10,46.1,46.1,46.1,31.324,293,293;195;235;218;155;197;209;44;63,0.0,57.654,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.26135,0.82342,18.284,53,12,Leave out requantified,0.23363,0.26893,0.24693,0.30431,0.83728,0.77081,0.79232,0.84167,18.007,17.209,19.416,23.526,12,10,16,15,2,0,5,5,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,41.6,34.5,41.0,40.3,11344000000,8771100000,2572700000,1439000000,1151000000,288070000,1575900000,1224400000,351440000,4033700000,3187400000,846280000,4295200000,3208200000,1086900000,,,,1535,432;645;2067;2068;4044;4573;5345;6440;9165;11727;11728;16037;16456;17891;18318;18319;18320,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,453;669;2211;2212;4328;4894;5729;5730;6954;9942;12696;12697;12698;17282;17730;19250;19706;19707;19708,1182;1183;1184;1185;1186;1742;1743;1744;1745;1746;6150;6151;6152;11482;12918;12919;15094;15095;15096;15097;15098;15099;18403;18404;18405;18406;26505;26506;26507;26508;33891;33892;33893;33894;33895;33896;33897;45879;45880;47093;47094;47095;47096;47097;47098;51242;51243;52511;52512;52513;52514;52515;52516;52517;52518;52519;52520,2271;2272;2273;2274;2275;2276;3218;3219;3220;3221;3222;3223;3224;3225;3226;3227;11817;11818;11819;11820;21925;24605;24606;28770;28771;28772;28773;28774;28775;28776;28777;28778;28779;28780;28781;28782;34838;34839;34840;34841;34842;34843;34844;34845;34846;34847;34848;34849;50425;50426;50427;50428;50429;50430;50431;50432;50433;50434;50435;50436;50437;50438;50439;50440;50441;50442;50443;50444;63884;63885;63886;63887;63888;63889;63890;63891;63892;63893;63894;85894;85895;85896;85897;85898;85899;85900;85901;88144;88145;88146;88147;88148;88149;88150;88151;88152;88153;88154;88155;88156;88157;88158;88159;88160;88161;88162;88163;88164;88165;88166;88167;96244;96245;98843;98844;98845;98846;98847;98848;98849;98850;98851;98852;98853;98854;98855;98856;98857;98858;98859;98860;98861;98862;98863;98864;98865;98866;98867;98868;98869;98870;98871;98872,2275;3226;11818;11820;21925;24605;28780;34843;50428;63884;63892;85896;88153;96244;98851;98864;98871,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_1536,quanti,quanti,quanti,quanti
RPA2,-0.618071633048988,0.423204710519782,P15927;Q5TEJ7;Q5TEJ0,P15927;Q5TEJ7,3;2;1,3;2;1,3;2;1,Replication protein A 32 kDa subunit,sp|P15927|RFA2_HUMAN Replication protein A 32 kDa subunit OS=Homo sapiens OX=9606 GN=RPA2 PE=1 SV=1;tr|Q5TEJ7|Q5TEJ7_HUMAN Replication protein A 32 kDa subunit (Fragment) OS=Homo sapiens OX=9606 GN=RPA2 PE=1 SV=1,3,3,3,3,1,2,2,1,1,2,2,1,1,2,2,1,22.6,22.6,22.6,29.247,270,270;179;122,0.028319,0.7096,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.46367,1.1915,20.622,7,0,Leave out requantified,0.36712,0.58796,0.43283,0.47404,0.7717,1.2494,1.1261,0.98574,0.0,24.745,7.9767,,2,2,2,1,0,0,0,0,Median,Median,Median,Median,8.5,17.4,13.7,8.5,151380000,101720000,49659000,19287000,12080000,7206500,41251000,28206000,13045000,68713000,44933000,23780000,22127000,16500000,5627300,,,,1536,319;1759;6716,True;True;True,334;1889;7266,848;5245;5246;5247;5248;5249;19261,1661;10146;10147;10148;36510,1661;10147;36510,,,,,-1;-1;-1,protein_1537,quanti,quanti,quanti,quanti
HIST1H1C,3.72523973550675,0.000161017457256023,P16403,P16403,16,3,3,Histone H1.2,sp|P16403|H12_HUMAN Histone H1.2 OS=Homo sapiens OX=9606 GN=H1-2 PE=1 SV=2,1,16,3,3,6,7,16,15,1,1,3,3,1,1,3,3,43.2,9.9,9.9,21.364,213,213,0.0,12.327,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.65994,2.0496,9.1855,12,2,Leave out requantified,0.50728,0.76403,0.60559,0.8187,1.8462,2.262,1.764,2.2045,,,29.355,13.891,1,1,5,5,0,0,1,1,Median,Median,Leave out requantified,Leave out requantified,33.3,33.3,43.2,42.7,6710100000,3850600000,2859500000,81101000,53286000,27815000,135580000,71527000,64055000,3525000000,2093300000,1431700000,2968400000,1632400000,1336000000,,,,1540,1121;1122;1930;3976;6438;6439;7787;8822;8823;8837;15559;15560;15561;15756;15757;16259,False;False;False;False;False;False;False;False;False;False;True;True;True;False;False;False,1192;1193;1194;1195;1196;2065;2066;4250;6952;6953;8446;9561;9562;9563;9564;9578;9579;9580;16768;16769;16770;16771;16978;16979;16980;16981;16982;17517;17518;17519,3246;3247;3248;3249;3250;3251;3252;3253;3254;3255;3256;3257;3258;3259;3260;3261;3262;3263;3264;3265;3266;5740;5741;5742;5743;5744;5745;11288;11289;18399;18400;18401;18402;22514;22515;25501;25502;25503;25504;25505;25506;25507;25508;25509;25510;25511;25512;25545;25546;25547;25548;25549;25550;25551;25552;25553;25554;25555;44473;44474;44475;44476;44477;44478;44479;44480;44481;44482;44483;44484;44485;45042;45043;45044;45045;45046;45047;45048;45049;45050;45051;45052;45053;45054;45055;46534;46535;46536;46537;46538;46539,6091;6092;6093;6094;6095;6096;6097;6098;6099;6100;6101;6102;6103;6104;6105;6106;6107;6108;6109;6110;6111;6112;6113;6114;6115;6116;6117;6118;6119;6120;6121;6122;6123;6124;6125;6126;6127;6128;6129;6130;6131;6132;6133;6134;6135;6136;6137;6138;6139;6140;6141;11013;11014;11015;11016;11017;11018;11019;11020;11021;11022;11023;11024;11025;11026;11027;11028;11029;11030;11031;11032;11033;11034;11035;11036;21526;21527;21528;21529;21530;34834;34835;34836;34837;42974;42975;48614;48615;48616;48617;48618;48619;48620;48621;48622;48623;48624;48625;48676;48677;48678;48679;48680;48681;48682;48683;48684;48685;48686;48687;48688;48689;48690;48691;48692;48693;48694;48695;48696;48697;48698;48699;48700;48701;48702;48703;48704;48705;48706;48707;48708;48709;48710;48711;48712;48713;48714;48715;48716;48717;48718;48719;83229;83230;83231;83232;83233;83234;83235;83236;83237;83238;83239;83240;83241;83242;83243;83244;83245;83246;83247;83248;83249;83250;83251;83252;83253;83254;83255;83256;84281;84282;84283;84284;84285;84286;84287;84288;84289;84290;84291;84292;84293;84294;84295;84296;84297;84298;84299;84300;84301;84302;84303;84304;84305;84306;84307;84308;84309;84310;84311;84312;84313;84314;84315;84316;84317;84318;84319;84320;84321;84322;84323;84324;84325;84326;84327;84328;84329;84330;84331;87108;87109;87110;87111;87112;87113;87114;87115;87116;87117;87118;87119,6097;6123;11028;21527;34835;34837;42974;48615;48624;48701;83229;83235;83253;84283;84303;87110,104;105;106;107;108;109,,34;63;64;75;85;90,,-1,protein_1541,quanti,quanti,quanti,quanti
ATP2A2,2.57733710305978,0.00156996961794413,P16615;H7C5W9;O14983,P16615;H7C5W9,13;11;3,13;11;3,11;9;2,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2,sp|P16615|AT2A2_HUMAN Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 OS=Homo sapiens OX=9606 GN=ATP2A2 PE=1 SV=1;tr|H7C5W9|H7C5W9_HUMAN Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 (Fragment) OS=Homo sapiens OX=9606 GN=ATP2A2 PE=1 SV=1,3,13,13,11,3,3,9,8,3,3,9,8,2,2,7,6,16.7,16.7,14.5,114.76,1042,1042;933;1001,0.0,19.505,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.33095,0.92989,11.687,22,10,Leave out requantified,0.33239,0.33095,0.29904,0.36318,0.88962,0.8169,0.94387,0.90966,58.982,23.745,5.5782,10.397,2,3,9,8,1,2,3,4,Median,Median,Leave out requantified,Leave out requantified,3.6,3.6,12.3,10.9,1670500000,1243800000,426750000,44659000,30741000,13918000,80252000,59283000,20969000,756480000,570900000,185580000,789130000,582850000,206280000,,,,1542,637;2560;2943;3536;7522;8078;13787;15014;16313;18625;18844;18928;19073,True;True;True;True;True;True;True;True;True;True;True;True;True,661;2741;3150;3783;8155;8768;14883;16192;17580;20033;20274;20365;20535,1723;1724;7540;8582;8583;10149;10150;10151;10152;21655;23436;39708;39709;39710;39711;43050;46704;53365;53366;54024;54025;54276;54771,3186;3187;14592;16581;16582;16583;19463;19464;19465;19466;19467;19468;19469;19470;41242;44703;74778;74779;74780;74781;74782;74783;74784;80710;80711;87421;87422;100575;100576;100577;101849;101850;101851;101852;101853;101854;101855;102336;102337;103350,3186;14592;16583;19469;41242;44703;74783;80711;87422;100576;101855;102336;103350,,,,,-1;-1;-1,protein_1543,quanti,quanti,quanti,quanti
YBX3,21.6109025163277,5.84417863574779e-08,P16989,P16989,6,2,2,Y-box-binding protein 3,sp|P16989|YBOX3_HUMAN Y-box-binding protein 3 OS=Homo sapiens OX=9606 GN=YBX3 PE=1 SV=4,1,6,2,2,1,2,4,4,0,1,1,1,0,1,1,1,21.2,11.8,11.8,40.089,372,372,0.0,7.4497,By matching,By MS/MS,By MS/MS,By MS/MS,0.52181,1.5617,13.713,2,0,Median,,,0.43992,0.61896,,,1.4174,1.7207,,,,,0,0,1,1,0,0,0,0,Median,Median,Median,Median,3.0,8.1,13.2,13.2,356310000,225530000,130780000,0,0,0,0,0,0,166100000,114210000,51889000,190210000,111320000,78888000,,,,1543,681;8189;13361;13362;13481;19330,True;True;False;False;False;False,709;8882;14440;14441;14564;20820,1858;23750;23751;38537;38538;38539;38540;38541;38542;38543;38854;38855;38856;55559;55560,3415;45233;45234;45235;45236;45237;45238;72541;72542;72543;72544;72545;72546;72547;72548;72549;73091;73092;73093;73094;73095;73096;73097;73098;104878;104879;104880;104881;104882;104883,3415;45238;72543;72549;73093;104879,,,,,-1,protein_1544,quanti,quanti,imputed MEC,imputed MEC
NAGA,20.6552703690455,8.34953854597754e-06,P17050,P17050,4,4,4,Alpha-N-acetylgalactosaminidase,sp|P17050|NAGAB_HUMAN Alpha-N-acetylgalactosaminidase OS=Homo sapiens OX=9606 GN=NAGA PE=1 SV=2,1,4,4,4,0,0,4,2,0,0,4,2,0,0,4,2,12.9,12.9,12.9,46.564,411,411,0.0,5.9297,,,By MS/MS,By MS/MS,0.48683,1.051,48.116,6,4,Median,,,0.38622,0.60302,,,0.96342,1.333,,,57.657,28.036,0,0,4,2,0,0,3,1,Median,Median,Median,Median,0.0,0.0,12.9,7.1,207890000,133380000,74507000,0,0,0,0,0,0,148390000,99365000,49029000,59495000,34017000,25478000,,,,1545,1890;8126;14948;16113,True;True;True;True,2023;8817;16119;17363,5620;5621;23577;42833;42834;46113,10818;10819;10820;44958;80336;86321,10818;44958;80336;86321,,,,,-1,protein_1546,quanti,quanti,imputed MEC,imputed MEC
HSPA6;HSPA7,0.650029309919809,0.0411285999842181,P17066;P48741,P17066;P48741,11;8,3;3,3;3,Heat shock 70 kDa protein 6;Putative heat shock 70 kDa protein 7,sp|P17066|HSP76_HUMAN Heat shock 70 kDa protein 6 OS=Homo sapiens OX=9606 GN=HSPA6 PE=1 SV=2;sp|P48741|HSP77_HUMAN Putative heat shock 70 kDa protein 7 OS=Homo sapiens OX=9606 GN=HSPA7 PE=5 SV=2,2,11,3,3,9,10,8,8,3,2,1,1,3,2,1,1,16.8,6.2,6.2,71.027,643,643;367,0.0,7.7189,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.29036,0.9339,7.7284,7,1,Leave out requantified,0.30974,0.32279,0.2958,0.29698,1.1212,0.92515,0.96179,0.83667,171.7,12.627,,,3,2,1,1,1,0,0,0,Median,Median,Median,Median,12.6,14.3,12.6,12.6,1589100000,1200600000,388550000,171090000,115520000,55566000,197770000,147510000,50258000,522020000,400410000,121620000,698250000,537140000,161110000,,,,1546,1851;2026;4321;7711;11028;11029;16457;16750;18080;18666;18667,False;False;False;False;False;False;True;False;False;True;True,1983;2169;4630;8355;11968;11969;11970;11971;17731;18037;19446;19447;20074;20075,5507;5508;5509;5510;5511;5512;5513;5514;6026;6027;6028;12243;12244;12245;12246;22242;22243;22244;22245;22246;22247;32046;32047;32048;32049;32050;32051;32052;32053;32054;32055;32056;32057;32058;32059;32060;32061;47099;47948;51772;51773;51774;51775;51776;51777;51778;53449;53450;53451;53452;53453;53454,10594;10595;10596;10597;10598;10599;10600;10601;11613;11614;11615;11616;23364;23365;23366;23367;23368;42433;42434;42435;42436;42437;42438;42439;42440;42441;42442;42443;42444;42445;42446;42447;42448;42449;42450;60715;60716;60717;60718;60719;60720;60721;60722;60723;60724;60725;60726;60727;60728;60729;60730;60731;60732;60733;60734;60735;60736;60737;60738;60739;60740;60741;60742;60743;60744;60745;60746;60747;60748;60749;60750;88168;89685;97267;97268;97269;97270;97271;97272;97273;97274;97275;97276;97277;97278;97279;97280;97281;97282;97283;97284;100710;100711;100712;100713;100714;100715;100716;100717;100718;100719;100720;100721;100722;100723;100724;100725;100726;100727,10599;11613;23367;42435;60721;60736;88168;89685;97275;100721;100724,,,,,-1;-1,protein_1547,quanti,quanti,quanti,quanti
HMGA1,-3.89533621164685,0.000445430705976074,P17096,P17096,3,3,3,High mobility group protein HMG-I/HMG-Y,sp|P17096|HMGA1_HUMAN High mobility group protein HMG-I/HMG-Y OS=Homo sapiens OX=9606 GN=HMGA1 PE=1 SV=3,1,3,3,3,1,2,1,1,1,2,1,1,1,2,1,1,41.1,41.1,41.1,11.676,107,107,0.0,55.809,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.1667,0.4899,21.507,5,1,Leave out requantified,0.10544,0.16646,0.2015,0.27834,0.39126,0.4981,0.59396,0.67146,,2.3476,,,1,2,1,1,0,0,1,0,Median,Median,Median,Median,23.4,41.1,15.0,15.0,584500000,489460000,95040000,161200000,142220000,18982000,338590000,285880000,52709000,41746000,31304000,10442000,42973000,30066000,12907000,,,,1547,9123;9300;9301,True;True;True,9899;10087;10088,26379;26874;26875;26876;26877,50215;51046;51047;51048;51049;51050;51051;51052;51053;51054;51055;51056,50215;51046;51056,,,,,-1,protein_1548,quanti,quanti,quanti,quanti
TMEM11,20.9954099161784,4.44535248875501e-07,P17152,P17152,2,2,2,"Transmembrane protein 11, mitochondrial","sp|P17152|TMM11_HUMAN Transmembrane protein 11, mitochondrial OS=Homo sapiens OX=9606 GN=TMEM11 PE=1 SV=1",1,2,2,2,0,0,2,1,0,0,2,1,0,0,2,1,12.5,12.5,12.5,21.541,192,192,0.0029966,1.6707,,,By MS/MS,By MS/MS,0.33318,1.0037,218.94,3,1,Median,,,1.9943,0.33318,,,6.4364,0.86672,,,262.81,,0,0,2,1,0,0,1,0,Median,Median,Median,Median,0.0,0.0,12.5,8.3,500610000,149950000,350660000,0,0,0,0,0,0,415480000,89280000,326200000,85123000,60668000,24455000,,,,1548,11356;20887,True;True,12309;22483,32898;32899;59943,62173;62174;62175;62176;113185,62174;113185,,,,,-1,protein_1549,quanti,quanti,imputed MEC,imputed MEC
GOT1,-2.67770048055651,0.000413497883273673,P17174,P17174,25,25,25,"Aspartate aminotransferase, cytoplasmic","sp|P17174|AATC_HUMAN Aspartate aminotransferase, cytoplasmic OS=Homo sapiens OX=9606 GN=GOT1 PE=1 SV=3",1,25,25,25,21,22,11,12,21,22,11,12,21,22,11,12,67.3,67.3,67.3,46.247,413,413,0.0,116.34,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.34933,0.98497,15.758,78,19,Leave out requantified,0.29765,0.39403,0.34455,0.39884,1.0003,1.1001,0.96473,0.92139,18.962,15.014,20.828,18.264,25,25,16,12,9,6,2,2,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,59.8,67.3,39.2,41.4,5602000000,3991600000,1610400000,1680600000,1218000000,462570000,2412800000,1740400000,672330000,783760000,554300000,229460000,724860000,478820000,246040000,,,,1549,1692;1861;4657;6856;7178;7467;8137;8562;8580;9412;9618;9619;9895;11832;13405;13631;13632;14821;15245;17736;17840;18871;18914;19638;19639,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,1814;1993;4989;7424;7794;8092;8828;9278;9299;10217;10442;10443;10748;12811;14485;14722;14723;15982;16432;19089;19197;20304;20351;21159;21160,5028;5029;5030;5031;5032;5033;5034;5035;5537;5538;13179;13180;13181;13182;19705;20723;20724;20725;20726;20727;21483;21484;21485;21486;23601;23602;23603;23604;24782;24783;24784;24785;24833;24834;24835;24836;24837;24838;24839;27247;27888;27889;27890;27891;27892;27893;27894;27895;28780;28781;34166;34167;38642;38643;39273;39274;39275;39276;39277;39278;42506;42507;43622;43623;43624;43625;50838;51117;51118;54097;54098;54099;54100;54234;54235;54236;56456;56457;56458,9771;9772;9773;9774;9775;9776;9777;9778;9779;9780;9781;9782;9783;10657;10658;25047;25048;25049;25050;37372;39461;39462;39463;39464;39465;39466;39467;39468;39469;39470;39471;39472;40847;40848;40849;40850;40851;40852;40853;40854;40855;44988;44989;44990;44991;44992;44993;44994;44995;44996;44997;47146;47147;47148;47149;47150;47151;47152;47251;47252;47253;47254;47255;47256;47257;47258;47259;47260;47261;51677;52861;52862;52863;52864;52865;52866;52867;52868;52869;52870;52871;52872;54501;54502;54503;64373;64374;64375;72702;72703;73901;73902;73903;73904;73905;73906;73907;73908;73909;73910;73911;73912;79737;79738;79739;79740;81666;81667;81668;81669;81670;81671;81672;81673;95519;96031;101978;101979;101980;101981;101982;101983;101984;101985;101986;101987;101988;101989;101990;101991;101992;101993;101994;102263;102264;106695;106696;106697,9779;10657;25050;37372;39464;40847;44997;47147;47252;51677;52861;52868;54503;64375;72702;73905;73908;79739;81668;95519;96031;101993;102263;106695;106697,,,,,-1,protein_1550,quanti,quanti,quanti,quanti
