Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity ATG16L1-N1,Intensity ATG16L1-N2,Intensity BirA-alone-N1,Intensity BirA-alone-N2
P51948,P51948,2,2,2,CDK-activating kinase assembly factor MAT1,MNAT1,sp|P51948|MAT1_HUMAN CDK-activating kinase assembly factor MAT1 OS=Homo sapiens OX=9606 GN=MNAT1 PE=1 SV=1,2,2,7.8,4.5103917704062,4.37962167650643,25.2403808350388,25.5058214858244
Q8IVW4;E7ET86;E5RGK4;B4DX41,Q8IVW4;E7ET86;E5RGK4;B4DX41,2;2;1;1,2;2;1;1,2;2;1;1,Cyclin-dependent kinase-like 3,CDKL3,sp|Q8IVW4|CDKL3_HUMAN Cyclin-dependent kinase-like 3 OS=Homo sapiens OX=9606 GN=CDKL3 PE=1 SV=1;tr|E7ET86|E7ET86_HUMAN Cyclin-dependent kinase-like 3 OS=Homo sapiens OX=9606 GN=CDKL3 PE=1 SV=1;tr|E5RGK4|E5RGK4_HUMAN Cyclin-dependent kinase-like 3 OS=Homo s,2,2,7.9,23.1481367758012,20.8162836984202,24.0682244201387,24.1251826325151
D6R9P3;D6RD18;D6RBZ0;Q99729,D6R9P3;D6RD18;D6RBZ0;Q99729,2;2;2;1,2;2;2;1,2;2;2;1,Heterogeneous nuclear ribonucleoprotein A/B,HNRNPAB,tr|D6R9P3|D6R9P3_HUMAN Heterogeneous nuclear ribonucleoprotein A/B OS=Homo sapiens OX=9606 GN=HNRNPAB PE=1 SV=1;tr|D6RD18|D6RD18_HUMAN Heterogeneous nuclear ribonucleoprotein A/B OS=Homo sapiens OX=9606 GN=HNRNPAB PE=1 SV=1;tr|D6RBZ0|D6RBZ0_HUMAN Heterogen,2,2,7.9,4.5103917704062,4.37962167650643,24.9838105505053,23.7386143093166
Q9NYT0;H0YJ64,Q9NYT0;H0YJ64,2;2,2;2,2;2,Pleckstrin-2,PLEK2,sp|Q9NYT0|PLEK2_HUMAN Pleckstrin-2 OS=Homo sapiens OX=9606 GN=PLEK2 PE=1 SV=1;tr|H0YJ64|H0YJ64_HUMAN Pleckstrin-2 (Fragment) OS=Homo sapiens OX=9606 GN=PLEK2 PE=1 SV=1,2,2,7.9,24.7855143299174,24.5696026951423,24.846372246576,24.2109271223586
P31930,P31930,2,2,2,"Cytochrome b-c1 complex subunit 1, mitochondrial",UQCRC1,"sp|P31930|QCR1_HUMAN Cytochrome b-c1 complex subunit 1, mitochondrial OS=Homo sapiens OX=9606 GN=UQCRC1 PE=1 SV=3",2,2,7.9,24.3809978834274,22.8702307491678,4.4278525700598,4.37954704379713
Q06787;R9WNI0;A8MQB8;G3V0J0;Q8IXW7;A0A087WXI3;A0A087WWR6;A0A087WY29;A0A087X1M7;A0A087WWU4,Q06787;R9WNI0;A8MQB8;G3V0J0;Q8IXW7;A0A087WXI3;A0A087WWR6;A0A087WY29,4;4;4;4;3;3;2;2;1;1,2;2;2;2;2;2;1;1;1;1,2;2;2;2;2;2;1;1;1;1,Fragile X mental retardation protein 1,FMR1,sp|Q06787|FMR1_HUMAN Synaptic functional regulator FMR1 OS=Homo sapiens OX=9606 GN=FMR1 PE=1 SV=1;tr|R9WNI0|R9WNI0_HUMAN Fragile X mental retardation 1 OS=Homo sapiens OX=9606 GN=FMR1 PE=1 SV=1;tr|A8MQB8|A8MQB8_HUMAN Synaptic functional regulator FMR1 OS=H,4,2,7.9,4.5103917704062,4.37962167650643,23.6332285132463,22.2837903616895
O00635,O00635,2,2,2,E3 ubiquitin-protein ligase TRIM38,TRIM38,sp|O00635|TRI38_HUMAN E3 ubiquitin-protein ligase TRIM38 OS=Homo sapiens OX=9606 GN=TRIM38 PE=1 SV=1,2,2,8.0,24.1378210625843,24.2456124722472,23.8043973288591,23.674655503581
Q8N4W6,Q8N4W6,2,2,2,DnaJ homolog subfamily C member 22,DNAJC22,sp|Q8N4W6|DJC22_HUMAN DnaJ homolog subfamily C member 22 OS=Homo sapiens OX=9606 GN=DNAJC22 PE=1 SV=1,2,2,8.2,4.5103917704062,4.37962167650643,25.0808685872898,24.1997254120163
Q13043;F5H5B4;A0A087WVN8,Q13043;F5H5B4,3;2;1,3;2;1,2;2;0,Serine/threonine-protein kinase 4;Serine/threonine-protein kinase 4 37kDa subunit;Serine/threonine-protein kinase 4 18kDa subunit,STK4,sp|Q13043|STK4_HUMAN Serine/threonine-protein kinase 4 OS=Homo sapiens OX=9606 GN=STK4 PE=1 SV=2;tr|F5H5B4|F5H5B4_HUMAN Serine/threonine-protein kinase 4 OS=Homo sapiens OX=9606 GN=STK4 PE=1 SV=1,3,2,8.2,4.5103917704062,4.37962167650643,23.8830631155825,23.4875073973199
Q7L2H7;E9PRI2;E9PN86;E7ESM3;J3KNJ2,Q7L2H7;E9PRI2;E9PN86;E7ESM3;J3KNJ2,2;1;1;1;1,2;1;1;1;1,2;1;1;1;1,Eukaryotic translation initiation factor 3 subunit M,EIF3M,sp|Q7L2H7|EIF3M_HUMAN Eukaryotic translation initiation factor 3 subunit M OS=Homo sapiens OX=9606 GN=EIF3M PE=1 SV=1;tr|E9PRI2|E9PRI2_HUMAN Eukaryotic translation initiation factor 3 subunit M OS=Homo sapiens OX=9606 GN=EIF3M PE=1 SV=1;tr|E9PN86|E9PN86_HU,2,2,8.3,4.5103917704062,4.37962167650643,24.2185975266551,23.9590765261506
Q9C0B1;A0A1B0GTI3;A0A1B0GUC3;A0A1B0GV98;A0A1B0GTC5;A0A1B0GU26;A0A1B0GTC3;A0A1B0GVH5;A0A1B0GTZ8;X6R3I0;A0A1B0GUY7;A0A1B0GTY1,Q9C0B1;A0A1B0GTI3;A0A1B0GUC3;A0A1B0GV98;A0A1B0GTC5;A0A1B0GU26;A0A1B0GTC3;A0A1B0GVH5;A0A1B0GTZ8;X6R3I0;A0A1B0GUY7;A0A1B0GTY1,2;2;2;2;2;2;2;2;1;1;1;1,2;2;2;2;2;2;2;2;1;1;1;1,2;2;2;2;2;2;2;2;1;1;1;1,Alpha-ketoglutarate-dependent dioxygenase FTO,FTO,sp|Q9C0B1|FTO_HUMAN Alpha-ketoglutarate-dependent dioxygenase FTO OS=Homo sapiens OX=9606 GN=FTO PE=1 SV=3;tr|A0A1B0GTI3|A0A1B0GTI3_HUMAN Alpha-ketoglutarate-dependent dioxygenase FTO (Fragment) OS=Homo sapiens OX=9606 GN=FTO PE=1 SV=1;tr|A0A1B0GUC3|A0A1B0,2,2,8.3,25.2152396725061,24.2542899283564,24.2271969738184,22.7925909404206
P31942,P31942,2,2,2,Heterogeneous nuclear ribonucleoprotein H3,HNRNPH3,sp|P31942|HNRH3_HUMAN Heterogeneous nuclear ribonucleoprotein H3 OS=Homo sapiens OX=9606 GN=HNRNPH3 PE=1 SV=2,2,2,8.4,24.4576999966052,24.1423470459788,23.2654216126912,24.8817103337782
P62701;P22090;C9JEH7,P62701;P22090;C9JEH7,2;1;1,2;1;1,2;1;1,"40S ribosomal protein S4, X isoform;40S ribosomal protein S4, Y isoform 1",RPS4X;RPS4Y1,"sp|P62701|RS4X_HUMAN 40S ribosomal protein S4, X isoform OS=Homo sapiens OX=9606 GN=RPS4X PE=1 SV=2;sp|P22090|RS4Y1_HUMAN 40S ribosomal protein S4, Y isoform 1 OS=Homo sapiens OX=9606 GN=RPS4Y1 PE=1 SV=2;tr|C9JEH7|C9JEH7_HUMAN 40S ribosomal protein S4, Y i",2,2,8.4,24.6438341758275,23.5280267088832,24.6887047925163,23.6133551362128
Q13362;H0YJ75;H0YN84;Q96B13;G3V2U3,Q13362;H0YJ75;H0YN84;Q96B13,4;4;3;2;1,2;2;1;2;1,2;2;1;2;1,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform,PPP2R5C,sp|Q13362|2A5G_HUMAN Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform OS=Homo sapiens OX=9606 GN=PPP2R5C PE=1 SV=3;tr|H0YJ75|H0YJ75_HUMAN Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform (Fragme,4,2,8.4,26.3217547259588,22.5122447135134,4.4278525700598,4.37954704379713
Q9Y5Z9;R4GNE3,Q9Y5Z9;R4GNE3,2;1,2;1,2;1,UbiA prenyltransferase domain-containing protein 1,UBIAD1,sp|Q9Y5Z9|UBIA1_HUMAN UbiA prenyltransferase domain-containing protein 1 OS=Homo sapiens OX=9606 GN=UBIAD1 PE=1 SV=1;tr|R4GNE3|R4GNE3_HUMAN UbiA prenyltransferase domain-containing protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=UBIAD1 PE=4 SV=1,2,2,8.6,24.1577687980224,25.9718473296622,23.6489982395965,23.7210015351795
P17676,P17676,2,2,2,CCAAT/enhancer-binding protein beta,CEBPB,sp|P17676|CEBPB_HUMAN CCAAT/enhancer-binding protein beta OS=Homo sapiens OX=9606 GN=CEBPB PE=1 SV=2,2,2,8.7,4.5103917704062,4.37962167650643,24.6521206609293,24.3198270014465
Q9NQS3;C9J795;C9JMW3;H7C4L0,Q9NQS3;C9J795;C9JMW3;H7C4L0,2;1;1;1,2;1;1;1,2;1;1;1,Nectin-3,PVRL3,sp|Q9NQS3|NECT3_HUMAN Nectin-3 OS=Homo sapiens OX=9606 GN=NECTIN3 PE=1 SV=1;tr|C9J795|C9J795_HUMAN Nectin-3 (Fragment) OS=Homo sapiens OX=9606 GN=NECTIN3 PE=1 SV=1;tr|C9JMW3|C9JMW3_HUMAN Nectin-3 (Fragment) OS=Homo sapiens OX=9606 GN=NECTIN3 PE=1 SV=1;tr|H,2,2,8.7,24.782417987946,25.4085982223372,4.4278525700598,4.37954704379713
Q14116,Q14116,2,2,2,Interleukin-18,IL18,sp|Q14116|IL18_HUMAN Interleukin-18 OS=Homo sapiens OX=9606 GN=IL18 PE=1 SV=1,2,2,8.8,23.9529594580979,23.2588247849068,23.3249847697957,22.9758227841983
Q8NFQ6,Q8NFQ6,2,2,2,BPI fold-containing family C protein,BPIFC,sp|Q8NFQ6|BPIFC_HUMAN BPI fold-containing family C protein OS=Homo sapiens OX=9606 GN=BPIFC PE=2 SV=1,2,2,9.1,26.1048159558313,26.0231414745601,24.6360944171052,22.9278307580244
O43684;J3QT28;J3QSX4,O43684;J3QT28;J3QSX4,2;2;1,2;2;1,2;2;1,Mitotic checkpoint protein BUB3,BUB3,sp|O43684|BUB3_HUMAN Mitotic checkpoint protein BUB3 OS=Homo sapiens OX=9606 GN=BUB3 PE=1 SV=1;tr|J3QT28|J3QT28_HUMAN Mitotic checkpoint protein BUB3 (Fragment) OS=Homo sapiens OX=9606 GN=BUB3 PE=1 SV=1;tr|J3QSX4|J3QSX4_HUMAN Mitotic checkpoint protein BUB,2,2,9.1,22.6757942617338,24.0698915733807,4.4278525700598,4.37954704379713
Q53GG5;A0A2U3TZH4;A0A087WYF8;D6RAF1;A0A2R8Y6L7,Q53GG5;A0A2U3TZH4;A0A087WYF8;D6RAF1;A0A2R8Y6L7,2;2;2;1;1,2;2;2;1;1,2;2;2;1;1,PDZ and LIM domain protein 3,PDLIM3,sp|Q53GG5|PDLI3_HUMAN PDZ and LIM domain protein 3 OS=Homo sapiens OX=9606 GN=PDLIM3 PE=1 SV=1;tr|A0A2U3TZH4|A0A2U3TZH4_HUMAN PDZ and LIM domain protein 3 OS=Homo sapiens OX=9606 GN=PDLIM3 PE=1 SV=1;tr|A0A087WYF8|A0A087WYF8_HUMAN PDZ and LIM domain protein,2,2,9.1,24.4750644527499,25.1305733906209,25.1498460230947,25.2187453210558
Q9NXR1;I3L2R3;I3L533;I3L2R9;I3L522;Q9GZM8;I3L2T8;J3QSD2;J3QRZ1;A6NIZ0,Q9NXR1;I3L2R3;I3L533;I3L2R9;I3L522;Q9GZM8;I3L2T8;J3QSD2;J3QRZ1;A6NIZ0,2;2;2;2;2;1;1;1;1;1,2;2;2;2;2;1;1;1;1;1,2;2;2;2;2;1;1;1;1;1,Nuclear distribution protein nudE homolog 1;Nuclear distribution protein nudE-like 1,NDE1;NDEL1,sp|Q9NXR1|NDE1_HUMAN Nuclear distribution protein nudE homolog 1 OS=Homo sapiens OX=9606 GN=NDE1 PE=1 SV=3;tr|I3L2R3|I3L2R3_HUMAN Nuclear distribution protein nudE homolog 1 (Fragment) OS=Homo sapiens OX=9606 GN=NDE1 PE=1 SV=1;tr|I3L533|I3L533_HUMAN Nuclea,2,2,9.3,25.6221532804145,23.6354444649006,4.4278525700598,4.37954704379713
O75396;A0A087X1A9,O75396;A0A087X1A9,2;1,2;1,2;1,Vesicle-trafficking protein SEC22b,SEC22B,sp|O75396|SC22B_HUMAN Vesicle-trafficking protein SEC22b OS=Homo sapiens OX=9606 GN=SEC22B PE=1 SV=4;tr|A0A087X1A9|A0A087X1A9_HUMAN Vesicle-trafficking protein SEC22b (Fragment) OS=Homo sapiens OX=9606 GN=SEC22B PE=1 SV=1,2,2,9.3,4.5103917704062,4.37962167650643,24.3536669839685,24.422010340409
Q99747,Q99747,2,2,2,Gamma-soluble NSF attachment protein,NAPG,sp|Q99747|SNAG_HUMAN Gamma-soluble NSF attachment protein OS=Homo sapiens OX=9606 GN=NAPG PE=1 SV=1,2,2,9.6,4.5103917704062,4.37962167650643,24.6363298934154,24.4518022179365
Q9Y314;M0R3B2;A0A075B6F9;M0QX85;M0R1K2;A0A075B797,Q9Y314;M0R3B2;A0A075B6F9;M0QX85;M0R1K2;A0A075B797,2;2;2;1;1;1,2;2;2;1;1;1,2;2;2;1;1;1,Nitric oxide synthase-interacting protein,NOSIP,sp|Q9Y314|NOSIP_HUMAN Nitric oxide synthase-interacting protein OS=Homo sapiens OX=9606 GN=NOSIP PE=1 SV=1;tr|M0R3B2|M0R3B2_HUMAN Nitric oxide synthase-interacting protein (Fragment) OS=Homo sapiens OX=9606 GN=NOSIP PE=1 SV=8;tr|A0A075B6F9|A0A075B6F9_HUMAN,2,2,9.6,4.5103917704062,4.37962167650643,25.7083305711104,24.7946149682362
O43670;J3QRS9;X6R4W8;J3KS31;J3QS27;J3KTL1;J3KRW6;H0Y3M2,O43670;J3QRS9;X6R4W8;J3KS31,3;3;3;2;1;1;1;1,3;3;3;2;1;1;1;1,2;2;2;2;0;0;0;0,BUB3-interacting and GLEBS motif-containing protein ZNF207,ZNF207,sp|O43670|ZN207_HUMAN BUB3-interacting and GLEBS motif-containing protein ZNF207 OS=Homo sapiens OX=9606 GN=ZNF207 PE=1 SV=1;tr|J3QRS9|J3QRS9_HUMAN BUB3-interacting and GLEBS motif-containing protein ZNF207 OS=Homo sapiens OX=9606 GN=ZNF207 PE=1 SV=1;tr|X6,3,2,9.6,4.5103917704062,4.37962167650643,26.5141245723382,26.4764711985924
Q96B23;K7EQH1;A0A087WVF1,Q96B23;K7EQH1;A0A087WVF1,2;2;2,2;2;2,2;2;2,Uncharacterized protein C18orf25,C18orf25,sp|Q96B23|CR025_HUMAN Uncharacterized protein C18orf25 OS=Homo sapiens OX=9606 GN=C18orf25 PE=1 SV=3;tr|K7EQH1|K7EQH1_HUMAN Uncharacterized protein C18orf25 (Fragment) OS=Homo sapiens OX=9606 GN=C18orf25 PE=1 SV=1;tr|A0A087WVF1|A0A087WVF1_HUMAN Uncharacter,2,2,9.7,23.1469850583642,20.8230655273916,23.4612646017837,24.3673971534476
P32322;J3QKT4;J3KQ22;E2QRB3;J3QR88;J3QLK9;J3QL23;J3QL32;J3QL24,P32322;J3QKT4;J3KQ22;E2QRB3;J3QR88;J3QLK9;J3QL23;J3QL32;J3QL24,2;2;2;2;1;1;1;1;1,2;2;2;2;1;1;1;1;1,2;2;2;2;1;1;1;1;1,"Pyrroline-5-carboxylate reductase 1, mitochondrial;Pyrroline-5-carboxylate reductase",PYCR1,"sp|P32322|P5CR1_HUMAN Pyrroline-5-carboxylate reductase 1, mitochondrial OS=Homo sapiens OX=9606 GN=PYCR1 PE=1 SV=2;tr|J3QKT4|J3QKT4_HUMAN Pyrroline-5-carboxylate reductase (Fragment) OS=Homo sapiens OX=9606 GN=PYCR1 PE=1 SV=1;tr|J3KQ22|J3KQ22_HUMAN Pyrrol",2,2,9.7,23.5578908838796,23.5452180846694,4.4278525700598,4.37954704379713
P46734;E9PRZ0,P46734;E9PRZ0,2;1,2;1,2;1,Dual specificity mitogen-activated protein kinase kinase 3,MAP2K3,sp|P46734|MP2K3_HUMAN Dual specificity mitogen-activated protein kinase kinase 3 OS=Homo sapiens OX=9606 GN=MAP2K3 PE=1 SV=2;tr|E9PRZ0|E9PRZ0_HUMAN Dual-specificity mitogen-activated protein kinase kinase 3 (Fragment) OS=Homo sapiens OX=9606 GN=MAP2K3 PE=1,2,2,9.8,4.5103917704062,4.37962167650643,24.7869310073361,24.4853591135546
Q96BK5;E5RGR1,Q96BK5;E5RGR1,2;1,2;1,2;1,PIN2/TERF1-interacting telomerase inhibitor 1,PINX1,sp|Q96BK5|PINX1_HUMAN PIN2/TERF1-interacting telomerase inhibitor 1 OS=Homo sapiens OX=9606 GN=PINX1 PE=1 SV=2;tr|E5RGR1|E5RGR1_HUMAN PIN2/TERF1-interacting telomerase inhibitor 1 (Fragment) OS=Homo sapiens OX=9606 GN=PINX1 PE=1 SV=1,2,2,9.8,32.1863609995171,30.3126788634232,23.9462809208455,23.4359347199364
P51116,P51116,5,3,2,Fragile X mental retardation syndrome-related protein 2,FXR2,sp|P51116|FXR2_HUMAN Fragile X mental retardation syndrome-related protein 2 OS=Homo sapiens OX=9606 GN=FXR2 PE=1 SV=2,5,2,9.8,4.5103917704062,4.37962167650643,24.9732058203012,23.1876583456248
Q8TC57;F8WEA5;C9JPR9;F8WBR6,Q8TC57;F8WEA5;C9JPR9;F8WBR6,2;1;1;1,2;1;1;1,2;1;1;1,Meiosis 1 arrest protein,M1AP,sp|Q8TC57|M1AP_HUMAN Meiosis 1 arrest protein OS=Homo sapiens OX=9606 GN=M1AP PE=1 SV=1;tr|F8WEA5|F8WEA5_HUMAN Meiosis 1 arrest protein OS=Homo sapiens OX=9606 GN=M1AP PE=4 SV=1;tr|C9JPR9|C9JPR9_HUMAN Meiosis 1 arrest protein (Fragment) OS=Homo sapiens OX=,2,2,10.0,26.1375865733451,26.8445776263161,24.5764667967237,24.4002170472371
P12004,P12004,2,2,2,Proliferating cell nuclear antigen,PCNA,sp|P12004|PCNA_HUMAN Proliferating cell nuclear antigen OS=Homo sapiens OX=9606 GN=PCNA PE=1 SV=1,2,2,10.0,4.5103917704062,4.37962167650643,25.3272826288055,24.6011623205125
Q15785,Q15785,2,2,2,Mitochondrial import receptor subunit TOM34,TOMM34,sp|Q15785|TOM34_HUMAN Mitochondrial import receptor subunit TOM34 OS=Homo sapiens OX=9606 GN=TOMM34 PE=1 SV=2,2,2,10.0,4.5103917704062,4.37962167650643,23.6839960504341,23.9256051442428
O60711;E9PNX9;B7Z5P7,O60711;E9PNX9;B7Z5P7,2;1;1,2;1;1,2;1;1,Leupaxin,LPXN,sp|O60711|LPXN_HUMAN Leupaxin OS=Homo sapiens OX=9606 GN=LPXN PE=1 SV=1;tr|E9PNX9|E9PNX9_HUMAN Leupaxin OS=Homo sapiens OX=9606 GN=LPXN PE=1 SV=1;tr|B7Z5P7|B7Z5P7_HUMAN Leupaxin OS=Homo sapiens OX=9606 GN=LPXN PE=1 SV=1,2,2,10.1,4.5103917704062,4.37962167650643,23.89430265992,25.1906903753819
Q92922;F8WE13,Q92922,8;1,8;1,2;1,SWI/SNF complex subunit SMARCC1,SMARCC1,sp|Q92922|SMRC1_HUMAN SWI/SNF complex subunit SMARCC1 OS=Homo sapiens OX=9606 GN=SMARCC1 PE=1 SV=3,8,2,10.1,4.5103917704062,4.37962167650643,26.4818536184126,30.4551305253812
P30048,P30048,2,2,2,"Thioredoxin-dependent peroxide reductase, mitochondrial",PRDX3,"sp|P30048|PRDX3_HUMAN Thioredoxin-dependent peroxide reductase, mitochondrial OS=Homo sapiens OX=9606 GN=PRDX3 PE=1 SV=3",2,2,10.2,4.5103917704062,4.37962167650643,24.6301204516345,24.7657235507255
Q6UUV9;M0QX46;M0QXN6,Q6UUV9;M0QX46;M0QXN6,2;2;1,2;2;1,2;2;1,CREB-regulated transcription coactivator 1,CRTC1,sp|Q6UUV9|CRTC1_HUMAN CREB-regulated transcription coactivator 1 OS=Homo sapiens OX=9606 GN=CRTC1 PE=1 SV=2;tr|M0QX46|M0QX46_HUMAN CREB-regulated transcription coactivator 1 OS=Homo sapiens OX=9606 GN=CRTC1 PE=1 SV=1;tr|M0QXN6|M0QXN6_HUMAN CREB-regulated t,2,2,10.4,24.114896275369,24.3145815848128,24.3457041023086,24.8124499665618
E9PFN4;A0A0A0MST8;H7C3C4;Q2Y0W8;Q6U841;E7EW28;C9J240,E9PFN4;A0A0A0MST8;H7C3C4,9;8;6;1;1;1;1,9;8;6;1;1;1;1,2;1;0;0;0;0;0,Anion exchange protein,SLC4A7,tr|E9PFN4|E9PFN4_HUMAN Anion exchange protein OS=Homo sapiens OX=9606 GN=SLC4A7 PE=1 SV=1;tr|A0A0A0MST8|A0A0A0MST8_HUMAN Anion exchange protein OS=Homo sapiens OX=9606 GN=SLC4A7 PE=1 SV=1;tr|H7C3C4|H7C3C4_HUMAN Anion exchange protein (Fragment) OS=Homo sap,9,2,10.5,27.0012062978024,26.4774288557713,26.3954362059578,25.8753258374062
Q9Y2H1;F5H277;F5H7Z3;F5GY51;F5H5E6;F5H0V1;I3L0D0,Q9Y2H1;F5H277,5;4;2;2;1;1;1,2;1;2;2;1;1;1,2;1;2;2;1;1;1,Serine/threonine-protein kinase 38-like,STK38L,sp|Q9Y2H1|ST38L_HUMAN Serine/threonine-protein kinase 38-like OS=Homo sapiens OX=9606 GN=STK38L PE=1 SV=3;tr|F5H277|F5H277_HUMAN Serine/threonine-protein kinase 38-like (Fragment) OS=Homo sapiens OX=9606 GN=STK38L PE=1 SV=8,5,2,10.8,24.2315253616806,22.7037498383346,24.3646296217682,23.9869377808647
P36404;V9GYD0,P36404;V9GYD0,2;1,2;1,2;1,ADP-ribosylation factor-like protein 2,ARL2;ARL2-SNX15,sp|P36404|ARL2_HUMAN ADP-ribosylation factor-like protein 2 OS=Homo sapiens OX=9606 GN=ARL2 PE=1 SV=4;tr|V9GYD0|V9GYD0_HUMAN ARL2-SNX15 readthrough (NMD candidate) OS=Homo sapiens OX=9606 GN=ARL2-SNX15 PE=3 SV=1,2,2,10.9,4.5103917704062,4.37962167650643,26.8666803281807,26.5916357922548
P61081,P61081,2,2,2,NEDD8-conjugating enzyme Ubc12,UBE2M,sp|P61081|UBC12_HUMAN NEDD8-conjugating enzyme Ubc12 OS=Homo sapiens OX=9606 GN=UBE2M PE=1 SV=1,2,2,10.9,24.1549138851232,23.814211618686,26.0684981797721,26.0588716751063
O15400,O15400,2,2,2,Syntaxin-7,STX7,sp|O15400|STX7_HUMAN Syntaxin-7 OS=Homo sapiens OX=9606 GN=STX7 PE=1 SV=4,2,2,11.1,24.4694858183583,22.4467006781954,4.4278525700598,4.37954704379713
A0A087WY31;Q7Z739;A0A024R7W5;A0A087X0Q1;A0A087WU40;A0A087X0U5,A0A087WY31;Q7Z739;A0A024R7W5;A0A087X0Q1,6;5;5;5;1;1,2;1;1;1;1;1,2;1;1;1;1;1,YTH domain-containing family protein 3,YTHDF3,tr|A0A087WY31|A0A087WY31_HUMAN YTH domain-containing family protein 3 OS=Homo sapiens OX=9606 GN=YTHDF3 PE=1 SV=1;sp|Q7Z739|YTHD3_HUMAN YTH domain-containing family protein 3 OS=Homo sapiens OX=9606 GN=YTHDF3 PE=1 SV=1;tr|A0A024R7W5|A0A024R7W5_HUMAN YTH do,6,2,11.1,24.9221604419118,23.3193446675776,4.4278525700598,4.37954704379713
P50914;E7EPB3,P50914;E7EPB3,2;2,2;2,2;2,60S ribosomal protein L14,RPL14,sp|P50914|RL14_HUMAN 60S ribosomal protein L14 OS=Homo sapiens OX=9606 GN=RPL14 PE=1 SV=4;tr|E7EPB3|E7EPB3_HUMAN 60S ribosomal protein L14 OS=Homo sapiens OX=9606 GN=RPL14 PE=1 SV=1,2,2,11.2,25.7254904555147,24.5910935919779,24.7647622767941,23.9025142293431
P10398;Q96II5,P10398;Q96II5,5;5,2;2,2;2,Serine/threonine-protein kinase A-Raf,ARAF,sp|P10398|ARAF_HUMAN Serine/threonine-protein kinase A-Raf OS=Homo sapiens OX=9606 GN=ARAF PE=1 SV=2;tr|Q96II5|Q96II5_HUMAN ARAF protein OS=Homo sapiens OX=9606 GN=ARAF PE=1 SV=1,5,2,11.2,24.3826020204068,22.2851741606623,26.2849447959778,26.1512919147886
Q63HQ0;H0Y8Y4,Q63HQ0;H0Y8Y4,2;1,2;1,2;1,AP-1 complex-associated regulatory protein,AP1AR,sp|Q63HQ0|AP1AR_HUMAN AP-1 complex-associated regulatory protein OS=Homo sapiens OX=9606 GN=AP1AR PE=1 SV=1;tr|H0Y8Y4|H0Y8Y4_HUMAN AP-1 complex-associated regulatory protein (Fragment) OS=Homo sapiens OX=9606 GN=AP1AR PE=1 SV=1,2,2,11.3,26.967962004374,26.1017139656736,4.4278525700598,4.37954704379713
P15407,P15407,2,2,2,Fos-related antigen 1,FOSL1,sp|P15407|FOSL1_HUMAN Fos-related antigen 1 OS=Homo sapiens OX=9606 GN=FOSL1 PE=1 SV=1,2,2,11.4,4.5103917704062,4.37962167650643,24.9711456723848,24.6611213397781
Q9Y519;A0A0J9YYJ3,Q9Y519;A0A0J9YYJ3,2;2,2;2,2;2,Transmembrane protein 184B,TMEM184B,sp|Q9Y519|T184B_HUMAN Transmembrane protein 184B OS=Homo sapiens OX=9606 GN=TMEM184B PE=1 SV=2;tr|A0A0J9YYJ3|A0A0J9YYJ3_HUMAN Transmembrane protein 184B (Fragment) OS=Homo sapiens OX=9606 GN=TMEM184B PE=1 SV=1,2,2,11.5,24.9446287837853,24.4234857840086,4.4278525700598,4.37954704379713
Q8N511;J3KRW7;J3KS81,Q8N511;J3KRW7;J3KS81,2;2;2,2;2;2,2;2;2,Transmembrane protein 199,TMEM199,sp|Q8N511|TM199_HUMAN Transmembrane protein 199 OS=Homo sapiens OX=9606 GN=TMEM199 PE=1 SV=1;tr|J3KRW7|J3KRW7_HUMAN Transmembrane protein 199 OS=Homo sapiens OX=9606 GN=TMEM199 PE=1 SV=1;tr|J3KS81|J3KS81_HUMAN Transmembrane protein 199 OS=Homo sapiens OX=9,2,2,11.5,4.5103917704062,4.37962167650643,24.6909374885751,25.1353570226328
Q9Y277;E5RK27;E5RFP6;E5RJN6;E5RHZ6,Q9Y277;E5RK27;E5RFP6;E5RJN6;E5RHZ6,2;1;1;1;1,2;1;1;1;1,2;1;1;1;1,Voltage-dependent anion-selective channel protein 3,VDAC3,sp|Q9Y277|VDAC3_HUMAN Voltage-dependent anion-selective channel protein 3 OS=Homo sapiens OX=9606 GN=VDAC3 PE=1 SV=1;tr|E5RK27|E5RK27_HUMAN Voltage-dependent anion-selective channel protein 3 (Fragment) OS=Homo sapiens OX=9606 GN=VDAC3 PE=1 SV=1;tr|E5RFP6|,2,2,11.7,26.6282579588618,25.7822179955644,24.3404841864504,24.3709264466363
