ERCC8_vs_zBirA,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
CPOX,-0.0246581238,0.861996089202297,0,P36551;H0YA22;D6RER6,P36551,13;3;1,13;3;1,13;3;1,"Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial",CPOX,"sp|P36551|HEM6_HUMAN Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial OS=Homo sapiens OX=9606 GN=CPOX PE=1 SV=3",13,13,32.8,454
RPL4,0.1528860568,0.17985090424194,0,P36578;H3BM89;H3BTP7;H3BU31,P36578;H3BM89,32;24;14;12,32;24;14;12,32;24;14;12,60S ribosomal protein L4,RPL4,sp|P36578|RL4_HUMAN 60S ribosomal protein L4 OS=Homo sapiens OX=9606 GN=RPL4 PE=1 SV=5;tr|H3BM89|H3BM89_HUMAN 60S ribosomal protein L4 OS=Homo sapiens OX=9606 GN=RPL4 PE=1 SV=1,32,32,58.3,427
DLST,-0.3752729953,0.0289125014344291,0,P36957;Q86SW4;H0YJF9;G3V5M3;G3V3F0,P36957,9;3;1;1;1,9;3;1;1;1,9;3;1;1;1,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial",DLST,"sp|P36957|ODO2_HUMAN Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial OS=Homo sapiens OX=9606 GN=DLST PE=1 SV=4",9,9,22.3,453
SRP14,-0.2343506605,0.0583009476739912,0,P37108;H0YLA2,P37108;H0YLA2,7;4,7;4,7;4,Signal recognition particle 14 kDa protein,SRP14,sp|P37108|SRP14_HUMAN Signal recognition particle 14 kDa protein OS=Homo sapiens OX=9606 GN=SRP14 PE=1 SV=2;tr|H0YLA2|H0YLA2_HUMAN Signal recognition particle 14 kDa protein OS=Homo sapiens OX=9606 GN=SRP14 PE=1 SV=1,7,7,47.1,136
TAGLN2,0.2189135051,0.0837829465786035,0,P37802;X6RJP6;Q9UI15;C9J5W6,P37802;X6RJP6,18;16;1;1,18;16;1;1,18;16;1;1,Transgelin-2,TAGLN2,sp|P37802|TAGL2_HUMAN Transgelin-2 OS=Homo sapiens OX=9606 GN=TAGLN2 PE=1 SV=3;tr|X6RJP6|X6RJP6_HUMAN Transgelin-2 (Fragment) OS=Homo sapiens OX=9606 GN=TAGLN2 PE=1 SV=1,18,18,82.9,199
TALDO1,-0.3375824759,0.0558314071346388,0,P37837;F2Z393,P37837;F2Z393,17;11,17;11,17;11,Transaldolase,TALDO1,sp|P37837|TALDO_HUMAN Transaldolase OS=Homo sapiens OX=9606 GN=TALDO1 PE=1 SV=2;tr|F2Z393|F2Z393_HUMAN Transaldolase OS=Homo sapiens OX=9606 GN=TALDO1 PE=1 SV=1,17,17,43.3,337
ETFB,-0.4253294165,0.0907215094629144,0,P38117;M0QY67,P38117;M0QY67,8;4,8;4,8;4,Electron transfer flavoprotein subunit beta,ETFB,sp|P38117|ETFB_HUMAN Electron transfer flavoprotein subunit beta OS=Homo sapiens OX=9606 GN=ETFB PE=1 SV=3;tr|M0QY67|M0QY67_HUMAN Electron transfer flavoprotein subunit beta (Fragment) OS=Homo sapiens OX=9606 GN=ETFB PE=1 SV=1,8,8,38,255
RBMX;RBMXL1,-0.193400074,0.479715012562372,0,P38159;H3BT71;H0Y6E7;Q96E39;H3BR27;H3BNC1;A0A1B0GUK8;H3BUY5;O75526;Q8N7X1,P38159;H3BT71;H0Y6E7;Q96E39;H3BR27,14;13;12;8;8;5;5;4;2;1,14;13;12;8;8;5;5;4;2;1,14;13;12;8;8;5;5;4;2;1,"RNA-binding motif protein, X chromosome;RNA-binding motif protein, X chromosome, N-terminally processed;RNA binding motif protein, X-linked-like-1",RBMX;RBMXL1,"sp|P38159|RBMX_HUMAN RNA-binding motif protein, X chromosome OS=Homo sapiens OX=9606 GN=RBMX PE=1 SV=3;tr|H3BT71|H3BT71_HUMAN RNA-binding motif protein, X chromosome OS=Homo sapiens OX=9606 GN=RBMX PE=1 SV=1;tr|H0Y6E7|H0Y6E7_HUMAN RNA-binding motif protein",14,14,40.2,391
ATP6V1A,-0.5068178343,0.0116263909397045,0,P38606;C9JVW8;C9JA17;F8WDJ3,P38606,16;6;5;1,16;6;5;1,16;6;5;1,V-type proton ATPase catalytic subunit A,ATP6V1A,sp|P38606|VATA_HUMAN V-type proton ATPase catalytic subunit A OS=Homo sapiens OX=9606 GN=ATP6V1A PE=1 SV=2,16,16,39.5,617
HSPA9,-0.1004379828,0.322049635350263,0,P38646;A0A3B3ITI4;D6RJI2;D6RA73;H0YBG6;H0Y8S0;A0A3B3ITN1,P38646,32;11;9;5;4;3;1,32;11;9;5;4;3;1,32;11;9;5;4;3;1,"Stress-70 protein, mitochondrial",HSPA9,"sp|P38646|GRP75_HUMAN Stress-70 protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPA9 PE=1 SV=2",32,32,49.2,679
EIF4A3,-0.1426727765,0.351886497376895,0,P38919;I3L3H2;E9PBH4;F8WE11,P38919;I3L3H2,19;16;1;1,16;13;0;0,16;13;0;0,"Eukaryotic initiation factor 4A-III;Eukaryotic initiation factor 4A-III, N-terminally processed",EIF4A3,sp|P38919|IF4A3_HUMAN Eukaryotic initiation factor 4A-III OS=Homo sapiens OX=9606 GN=EIF4A3 PE=1 SV=4;tr|I3L3H2|I3L3H2_HUMAN Eukaryotic initiation factor 4A-III OS=Homo sapiens OX=9606 GN=EIF4A3 PE=1 SV=2,19,16,41.4,411
RPS19,0.3135972562,0.0327887826317727,0,P39019;M0R2L9;M0QYF7;M0R140;A0A075B6E2,P39019;M0R2L9;M0QYF7;M0R140,14;10;10;10;3,14;10;10;10;3,14;10;10;10;3,40S ribosomal protein S19,RPS19,sp|P39019|RS19_HUMAN 40S ribosomal protein S19 OS=Homo sapiens OX=9606 GN=RPS19 PE=1 SV=2;tr|M0R2L9|M0R2L9_HUMAN 40S ribosomal protein S19 (Fragment) OS=Homo sapiens OX=9606 GN=RPS19 PE=1 SV=1;tr|M0QYF7|M0QYF7_HUMAN 40S ribosomal protein S19 (Fragment) OS=,14,14,62.1,145
RPL3,0.1534866595,0.160789458795313,0,P39023;G5E9G0;B5MCW2;H7C422;H7C3M2;F8WCR1;Q92901,P39023;G5E9G0;B5MCW2;H7C422,27;25;19;16;13;6;3,27;25;19;16;13;6;3,27;25;19;16;13;6;3,60S ribosomal protein L3,RPL3,sp|P39023|RL3_HUMAN 60S ribosomal protein L3 OS=Homo sapiens OX=9606 GN=RPL3 PE=1 SV=2;tr|G5E9G0|G5E9G0_HUMAN 60S ribosomal protein L3 OS=Homo sapiens OX=9606 GN=RPL3 PE=1 SV=1;tr|B5MCW2|B5MCW2_HUMAN 60S ribosomal protein L3 (Fragment) OS=Homo sapiens OX=9,27,27,49.9,403
FEN1,-0.1359078321,0.193637823213614,0,P39748;F5H1Y3;I3L3E9,P39748,9;4;3,9;4;3,9;4;3,Flap endonuclease 1,FEN1,sp|P39748|FEN1_HUMAN Flap endonuclease 1 OS=Homo sapiens OX=9606 GN=FEN1 PE=1 SV=1,9,9,26.8,380
CCT6A,0.3235128033,0.0257463800986531,0,P40227,P40227,29,29,24,T-complex protein 1 subunit zeta,CCT6A,sp|P40227|TCPZ_HUMAN T-complex protein 1 subunit zeta OS=Homo sapiens OX=9606 GN=CCT6A PE=1 SV=3,29,24,59.5,531
NNMT,-0.6202074364,0.00216171524058934,0,P40261,P40261,4,4,4,Nicotinamide N-methyltransferase,NNMT,sp|P40261|NNMT_HUMAN Nicotinamide N-methyltransferase OS=Homo sapiens OX=9606 GN=NNMT PE=1 SV=1,4,4,20.8,264
RPL13A;RPL13a,0.3243513657,0.0218626271863602,0,P40429;M0QYS1;Q8J015;Q6NVV1;M0QZU1;A0A096LPE0,P40429;M0QYS1;Q8J015,19;17;14;8;2;2,19;17;14;8;2;2,19;17;14;8;2;2,60S ribosomal protein L13a,RPL13A;RPL13a,sp|P40429|RL13A_HUMAN 60S ribosomal protein L13a OS=Homo sapiens OX=9606 GN=RPL13A PE=1 SV=2;tr|M0QYS1|M0QYS1_HUMAN 60S ribosomal protein L13a (Fragment) OS=Homo sapiens OX=9606 GN=RPL13A PE=1 SV=2;tr|Q8J015|Q8J015_HUMAN 60S ribosomal protein L13a OS=Homo ,19,19,57.1,203
MDH1,-0.3090534961,0.0407674489089606,0,P40925;A0A5K1VW95;B9A041;C9JF79;B8ZZ51;C9JRL4;C9JLV6,P40925;A0A5K1VW95;B9A041;C9JF79;B8ZZ51,15;14;10;10;8;7;2,15;14;10;10;8;7;2,15;14;10;10;8;7;2,"Malate dehydrogenase, cytoplasmic;Malate dehydrogenase",MDH1,"sp|P40925|MDHC_HUMAN Malate dehydrogenase, cytoplasmic OS=Homo sapiens OX=9606 GN=MDH1 PE=1 SV=4;tr|A0A5K1VW95|A0A5K1VW95_HUMAN Malate dehydrogenase OS=Homo sapiens OX=9606 GN=MDH1 PE=1 SV=1;tr|B9A041|B9A041_HUMAN Malate dehydrogenase, cytoplasmic OS=Homo ",15,15,42.5,334
MDH2,-0.2165004388,0.10683770589948,0,P40926;G3XAL0,P40926;G3XAL0,28;22,28;22,28;22,"Malate dehydrogenase, mitochondrial;Malate dehydrogenase",MDH2,"sp|P40926|MDHM_HUMAN Malate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=MDH2 PE=1 SV=3;tr|G3XAL0|G3XAL0_HUMAN Malate dehydrogenase OS=Homo sapiens OX=9606 GN=MDH2 PE=1 SV=1",28,28,70.7,338
EIF2S3;EIF2S3L,-0.2106323731,0.115897032061832,0,P41091;Q2VIR3;H7BZU1,P41091;Q2VIR3,17;13;5,17;13;5,17;13;5,Eukaryotic translation initiation factor 2 subunit 3;Putative eukaryotic translation initiation factor 2 subunit 3-like protein,EIF2S3;EIF2S3L,sp|P41091|IF2G_HUMAN Eukaryotic translation initiation factor 2 subunit 3 OS=Homo sapiens OX=9606 GN=EIF2S3 PE=1 SV=3;sp|Q2VIR3|IF2GL_HUMAN Eukaryotic translation initiation factor 2 subunit 3B OS=Homo sapiens OX=9606 GN=EIF2S3B PE=2 SV=2,17,17,46.4,472
BUD31,-0.2043449248,0.151691781817929,0,P41223;C9JCD9,P41223;C9JCD9,2;1,2;1,2;1,Protein BUD31 homolog,BUD31,sp|P41223|BUD31_HUMAN Protein BUD31 homolog OS=Homo sapiens OX=9606 GN=BUD31 PE=1 SV=2;tr|C9JCD9|C9JCD9_HUMAN Protein BUD31 homolog OS=Homo sapiens OX=9606 GN=BUD31 PE=1 SV=1,2,2,15.3,144
NAA10,-0.1219709626,0.715892816496797,0,P41227;C9JN83;F8W808;A8MWP7;Q9BSU3;C9JW55,P41227,5;2;2;2;1;1,5;2;2;2;1;1,5;2;2;2;1;1,N-alpha-acetyltransferase 10,NAA10,sp|P41227|NAA10_HUMAN N-alpha-acetyltransferase 10 OS=Homo sapiens OX=9606 GN=NAA10 PE=1 SV=1,5,5,23.4,235
GARS,-0.180979236,0.173663831412419,0,P41250,P41250,17,17,17,Glycine--tRNA ligase,GARS,sp|P41250|GARS_HUMAN Glycine--tRNA ligase OS=Homo sapiens OX=9606 GN=GARS1 PE=1 SV=3,17,17,33.3,739
EIF1;EIF1B,-0.0780360862,0.545379612318984,0,P41567;K7EM18;O60739;K7EQP2,P41567;K7EM18;O60739,5;4;3;2,5;4;3;2,5;4;3;2,Eukaryotic translation initiation factor 1;Eukaryotic translation initiation factor 1b,EIF1;EIF1B,sp|P41567|EIF1_HUMAN Eukaryotic translation initiation factor 1 OS=Homo sapiens OX=9606 GN=EIF1 PE=1 SV=1;tr|K7EM18|K7EM18_HUMAN Eukaryotic translation initiation factor 1 OS=Homo sapiens OX=9606 GN=EIF1 PE=1 SV=1;sp|O60739|EIF1B_HUMAN Eukaryotic translati,5,5,85,113
ECI1;DCI,-0.5445802733,0.00347795896414465,0,P42126;Q96DC0;H3BS70,P42126;Q96DC0,9;7;4,9;7;4,9;7;4,"Enoyl-CoA delta isomerase 1, mitochondrial",ECI1;DCI,"sp|P42126|ECI1_HUMAN Enoyl-CoA delta isomerase 1, mitochondrial OS=Homo sapiens OX=9606 GN=ECI1 PE=1 SV=1;tr|Q96DC0|Q96DC0_HUMAN DCI protein OS=Homo sapiens OX=9606 GN=ECI1 PE=1 SV=1",9,9,31.5,302
TMPO,-0.3277412442,0.360922951100883,0,P42166;P42167;H0YJH7;G5E972,P42166;P42167;H0YJH7;G5E972,2;1;1;1,2;1;1;1,2;1;1;1,"Lamina-associated polypeptide 2, isoform alpha;Thymopoietin;Thymopentin;Lamina-associated polypeptide 2, isoforms beta/gamma;Thymopoietin;Thymopentin",TMPO,"sp|P42166|LAP2A_HUMAN Lamina-associated polypeptide 2, isoform alpha OS=Homo sapiens OX=9606 GN=TMPO PE=1 SV=2;sp|P42167|LAP2B_HUMAN Lamina-associated polypeptide 2, isoforms beta/gamma OS=Homo sapiens OX=9606 GN=TMPO PE=1 SV=2;tr|H0YJH7|H0YJH7_HUMAN Lamin",2,2,4.8,694
LRPPRC,0.1658008449,0.198325214843393,0,P42704;B8ZZ38;A0A0C4DG06;C9JCA9;H7C3W8,P42704,35;11;11;9;1,35;11;11;9;1,35;11;11;9;1,"Leucine-rich PPR motif-containing protein, mitochondrial",LRPPRC,"sp|P42704|LPPRC_HUMAN Leucine-rich PPR motif-containing protein, mitochondrial OS=Homo sapiens OX=9606 GN=LRPPRC PE=1 SV=3",35,35,31.9,1394
ACAA2,-0.5578267655,0.0309626819346074,0,P42765;A0A0B4J2A4;K7EME0;K7ER88;K7EJB1;K7EJ68,P42765;A0A0B4J2A4;K7EME0,7;6;5;1;1;1,7;6;5;1;1;1,7;6;5;1;1;1,"3-ketoacyl-CoA thiolase, mitochondrial",ACAA2,"sp|P42765|THIM_HUMAN 3-ketoacyl-CoA thiolase, mitochondrial OS=Homo sapiens OX=9606 GN=ACAA2 PE=1 SV=2;tr|A0A0B4J2A4|A0A0B4J2A4_HUMAN 3-ketoacyl-CoA thiolase, mitochondrial OS=Homo sapiens OX=9606 GN=ACAA2 PE=1 SV=1;tr|K7EME0|K7EME0_HUMAN 3-ketoacyl-CoA th",7,7,38.3,397
RPL35,0.3250805556,0.0379688809862095,0,P42766;F2Z388,P42766;F2Z388,5;4,5;4,5;4,60S ribosomal protein L35,RPL35,sp|P42766|RL35_HUMAN 60S ribosomal protein L35 OS=Homo sapiens OX=9606 GN=RPL35 PE=1 SV=2;tr|F2Z388|F2Z388_HUMAN 60S ribosomal protein L35 OS=Homo sapiens OX=9606 GN=RPL35 PE=1 SV=1,5,5,30.1,123
GPD2,-0.256263146,0.116265204922959,0,P43304;F5GYK7,P43304;F5GYK7,6;4,6;4,6;4,"Glycerol-3-phosphate dehydrogenase, mitochondrial;Glycerol-3-phosphate dehydrogenase",GPD2,"sp|P43304|GPDM_HUMAN Glycerol-3-phosphate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=GPD2 PE=1 SV=3;tr|F5GYK7|F5GYK7_HUMAN Glycerol-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GPD2 PE=1 SV=1",6,6,9.2,727
MAGEA4,-0.1810302928,0.238352381895407,0,P43358;C9JZJ5;C9J9C2;C9JK50;C9JIR1;P43361;P43363;P43355;P43362;O60732;O15480;A2A368;Q96M61;A8MXT2;Q3SYA6;A0A0A0MSA3,P43358,17;6;6;6;6;4;3;2;2;1;1;1;1;1;1;1,17;6;6;6;6;4;3;2;2;1;1;1;1;1;1;1,17;6;6;6;6;4;3;2;2;1;1;1;1;1;1;1,Melanoma-associated antigen 4,MAGEA4,sp|P43358|MAGA4_HUMAN Melanoma-associated antigen 4 OS=Homo sapiens OX=9606 GN=MAGEA4 PE=1 SV=2,17,17,37.5,317
NAMPT,-0.2966851483,0.145981526518922,0,P43490;A0A0C4DFS8;C9JG65;C9JF35,P43490;A0A0C4DFS8,16;10;3;2,16;10;3;2,16;10;3;2,Nicotinamide phosphoribosyltransferase,NAMPT,sp|P43490|NAMPT_HUMAN Nicotinamide phosphoribosyltransferase OS=Homo sapiens OX=9606 GN=NAMPT PE=1 SV=1;tr|A0A0C4DFS8|A0A0C4DFS8_HUMAN Nicotinamide phosphoribosyltransferase OS=Homo sapiens OX=9606 GN=NAMPT PE=1 SV=1,16,16,41.3,491
PSMC4,-0.1697278368,0.395334642720362,0,P43686,P43686,13,13,13,26S protease regulatory subunit 6B,PSMC4,sp|P43686|PRS6B_HUMAN 26S proteasome regulatory subunit 6B OS=Homo sapiens OX=9606 GN=PSMC4 PE=1 SV=2,13,13,39.5,418
CBX5,-0.6953981223,0.00376061795623377,0,P45973;F8VNY3,P45973,6;2,5;2,5;2,Chromobox protein homolog 5,CBX5,sp|P45973|CBX5_HUMAN Chromobox protein homolog 5 OS=Homo sapiens OX=9606 GN=CBX5 PE=1 SV=1,6,5,33,191
USP5,-0.1135094008,0.45860340682657,0,P45974;F5H571,P45974,21;2,21;2,19;2,Ubiquitin carboxyl-terminal hydrolase 5,USP5,sp|P45974|UBP5_HUMAN Ubiquitin carboxyl-terminal hydrolase 5 OS=Homo sapiens OX=9606 GN=USP5 PE=1 SV=2,21,19,36.1,858
RANGAP1,0.016169594,0.893325068957715,0,P46060;H0Y4Q3;B0QYT5;B0QYT4;B0QYT6,P46060;H0Y4Q3,31;16;4;4;3,31;16;4;4;3,31;16;4;4;3,Ran GTPase-activating protein 1,RANGAP1,sp|P46060|RAGP1_HUMAN Ran GTPase-activating protein 1 OS=Homo sapiens OX=9606 GN=RANGAP1 PE=1 SV=1;tr|H0Y4Q3|H0Y4Q3_HUMAN Ran GTPase-activating protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=RANGAP1 PE=1 SV=1,31,31,58.3,587
RECQL,-0.3183819849,0.0452856123925224,0,P46063;F5H2L2;F8WA66;F8WD97;F5H4P4;F5H3W0,P46063,10;3;3;3;1;1,10;3;3;3;1;1,10;3;3;3;1;1,ATP-dependent DNA helicase Q1,RECQL,sp|P46063|RECQ1_HUMAN ATP-dependent DNA helicase Q1 OS=Homo sapiens OX=9606 GN=RECQL PE=1 SV=3,10,10,25.3,649
NOP2,0.2875423265,0.0555632047752874,0,P46087;F5GYR3;F5H5X6;F5GWB7;F5H709;F5H359;F5H8G6,P46087,17;6;3;2;2;1;1,17;6;3;2;2;1;1,17;6;3;2;2;1;1,Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase,NOP2,sp|P46087|NOP2_HUMAN Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase OS=Homo sapiens OX=9606 GN=NOP2 PE=1 SV=2,17,17,25.4,812
RPL27A,0.346721237,0.0157294165115109,0,P46776;E9PJD9;E9PLL6;E9PLX7,P46776;E9PJD9;E9PLL6;E9PLX7,10;9;7;5,10;9;7;5,10;9;7;5,60S ribosomal protein L27a,RPL27A,sp|P46776|RL27A_HUMAN 60S ribosomal protein L27a OS=Homo sapiens OX=9606 GN=RPL27A PE=1 SV=2;tr|E9PJD9|E9PJD9_HUMAN 60S ribosomal protein L27a OS=Homo sapiens OX=9606 GN=RPL27A PE=1 SV=1;tr|E9PLL6|E9PLL6_HUMAN 60S ribosomal protein L27a OS=Homo sapiens OX=,10,10,56.8,148
RPL5,0.3428414493,0.0293952015913217,0,P46777;A0A2R8Y6J3;Q5T7N0;A0A2R8Y4A2;R4GNJ2,P46777;A0A2R8Y6J3;Q5T7N0,19;18;10;8;1,19;18;10;8;1,19;18;10;8;1,60S ribosomal protein L5,RPL5,sp|P46777|RL5_HUMAN 60S ribosomal protein L5 OS=Homo sapiens OX=9606 GN=RPL5 PE=1 SV=3;tr|A0A2R8Y6J3|A0A2R8Y6J3_HUMAN 60S ribosomal protein L5 (Fragment) OS=Homo sapiens OX=9606 GN=RPL5 PE=1 SV=1;tr|Q5T7N0|Q5T7N0_HUMAN 60S ribosomal protein L5 (Fragment) O,19,19,57.2,297
RPL21,0.4381888834,0.0144739575365408,0,P46778;M0R181;G3V1B3;M0R3I5,P46778;M0R181;G3V1B3,12;9;7;2,12;9;7;2,12;9;7;2,60S ribosomal protein L21,RPL21,sp|P46778|RL21_HUMAN 60S ribosomal protein L21 OS=Homo sapiens OX=9606 GN=RPL21 PE=1 SV=2;tr|M0R181|M0R181_HUMAN 60S ribosomal protein L21 (Fragment) OS=Homo sapiens OX=9606 GN=RPL21 PE=1 SV=1;tr|G3V1B3|G3V1B3_HUMAN 60S ribosomal protein L21 OS=Homo sapien,12,12,57.5,160
RPS9,0.3593433576,0.0231302423255795,0,P46781;B5MCT8;C9JM19;F2Z3C0;A8MXK4,P46781;B5MCT8;C9JM19,18;12;12;4;4,18;12;12;4;4,18;12;12;4;4,40S ribosomal protein S9,RPS9,sp|P46781|RS9_HUMAN 40S ribosomal protein S9 OS=Homo sapiens OX=9606 GN=RPS9 PE=1 SV=3;tr|B5MCT8|B5MCT8_HUMAN 40S ribosomal protein S9 OS=Homo sapiens OX=9606 GN=RPS9 PE=1 SV=1;tr|C9JM19|C9JM19_HUMAN 40S ribosomal protein S9 OS=Homo sapiens OX=9606 GN=RPS9,18,18,49,194
RPS10;RPS10-NUDT3,0.2656936875,0.0428557389555572,0,P46783;A0A2R8Y6L3;F6U211;A0A2R8Y7H1;A0A2R8YFH6;A0A1W2PQS6;S4R435;Q9NQ39,P46783;A0A2R8Y6L3;F6U211;A0A2R8Y7H1;A0A2R8YFH6;A0A1W2PQS6;S4R435,10;8;8;8;8;8;5;2,10;8;8;8;8;8;5;2,10;8;8;8;8;8;5;2,40S ribosomal protein S10,RPS10;RPS10-NUDT3,sp|P46783|RS10_HUMAN 40S ribosomal protein S10 OS=Homo sapiens OX=9606 GN=RPS10 PE=1 SV=1;tr|A0A2R8Y6L3|A0A2R8Y6L3_HUMAN RPS10-NUDT3 readthrough (Fragment) OS=Homo sapiens OX=9606 GN=RPS10-NUDT3 PE=4 SV=1;tr|F6U211|F6U211_HUMAN 40S ribosomal protein S10 OS,10,10,63.6,165
GNPDA1,-0.6651216017,0.002608306322332,0,P46926;D6R9P4;D6RAY7;D6RFF8;D6RB13;D6R917;Q8TDQ7;V9GYK3;D6RFK5;V9GYW0,P46926;D6R9P4;D6RAY7;D6RFF8;D6RB13;D6R917,14;13;12;10;9;8;5;2;1;1,14;13;12;10;9;8;5;2;1;1,14;13;12;10;9;8;5;2;1;1,Glucosamine-6-phosphate isomerase 1;Glucosamine-6-phosphate isomerase,GNPDA1,sp|P46926|GNPI1_HUMAN Glucosamine-6-phosphate isomerase 1 OS=Homo sapiens OX=9606 GN=GNPDA1 PE=1 SV=1;tr|D6R9P4|D6R9P4_HUMAN Glucosamine-6-phosphate isomerase OS=Homo sapiens OX=9606 GN=GNPDA1 PE=1 SV=1;tr|D6RAY7|D6RAY7_HUMAN Glucosamine-6-phosphate isomer,14,14,54,289
IQGAP1,-0.0486868118,0.765356167966306,0,P46940;H0YLE8;A0A0J9YXZ5,P46940;H0YLE8;A0A0J9YXZ5,12;9;6,12;9;6,11;8;5,Ras GTPase-activating-like protein IQGAP1,IQGAP1,sp|P46940|IQGA1_HUMAN Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens OX=9606 GN=IQGAP1 PE=1 SV=1;tr|H0YLE8|H0YLE8_HUMAN Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens OX=9606 GN=IQGAP1 PE=1 SV=1;tr|A0A0J9YXZ5|A0A0J9YXZ5_HUMAN Ras GTPa,12,11,8.5,1657
CAPZA2,-0.3086065742,0.190048895622402,0,P47755;C9JUG7;F8W9N7;A0A0D9SET8,P47755;C9JUG7;F8W9N7,5;3;3;2,3;2;2;1,3;2;2;1,F-actin-capping protein subunit alpha-2,CAPZA2,sp|P47755|CAZA2_HUMAN F-actin-capping protein subunit alpha-2 OS=Homo sapiens OX=9606 GN=CAPZA2 PE=1 SV=3;tr|C9JUG7|C9JUG7_HUMAN F-actin-capping protein subunit alpha OS=Homo sapiens OX=9606 GN=CAPZA2 PE=1 SV=1;tr|F8W9N7|F8W9N7_HUMAN F-actin-capping protei,5,3,24.1,286
CAPZB,0.0672084775,0.502699755305365,0,P47756;B1AK87;B1AK88;B1AK85,P47756;B1AK87;B1AK88;B1AK85,8;7;7;5,8;7;7;5,8;7;7;5,F-actin-capping protein subunit beta,CAPZB,sp|P47756|CAPZB_HUMAN F-actin-capping protein subunit beta OS=Homo sapiens OX=9606 GN=CAPZB PE=1 SV=4;tr|B1AK87|B1AK87_HUMAN F-actin-capping protein subunit beta OS=Homo sapiens OX=9606 GN=CAPZB PE=1 SV=1;tr|B1AK88|B1AK88_HUMAN F-actin-capping protein subu,8,8,37.2,277
EIF1AX,-0.0058600731,0.966475208908617,0,P47813;X6RAC9;O14602;A6NJH9,P47813;X6RAC9,3;3;1;1,3;3;1;1,3;3;1;1,"Eukaryotic translation initiation factor 1A, X-chromosomal",EIF1AX,"sp|P47813|IF1AX_HUMAN Eukaryotic translation initiation factor 1A, X-chromosomal OS=Homo sapiens OX=9606 GN=EIF1AX PE=1 SV=2;tr|X6RAC9|X6RAC9_HUMAN Eukaryotic translation initiation factor 1A, X-chromosomal OS=Homo sapiens OX=9606 GN=EIF1AX PE=1 SV=1",3,3,20.8,144
QARS,0.1260388625,0.307342974326232,0,P47897;A0A1B0GVU9;B4DDN1;A0A0U1RQQ5;A0A1B0GTT3;H7C0R3;A0A0U1RQT0;A0A0U1RQX5;A0A0U1RQM8;C9J165;A0A0U1RQE9;A0A0U1RRI9;A0A0U1RQU2;A0A0U1RRC8;A0A0U1RQX9;A0A0U1RQL2;A0A0U1RR79;F2Z2V6;A0A0U1RQC3,P47897;A0A1B0GVU9;B4DDN1,16;14;13;5;5;5;3;3;3;3;3;2;2;2;2;1;1;1;1,16;14;13;5;5;5;3;3;3;3;3;2;2;2;2;1;1;1;1,15;13;12;5;5;5;3;3;3;2;3;2;2;2;2;1;1;1;1,Glutamine--tRNA ligase,QARS,sp|P47897|SYQ_HUMAN Glutamine--tRNA ligase OS=Homo sapiens OX=9606 GN=QARS1 PE=1 SV=1;tr|A0A1B0GVU9|A0A1B0GVU9_HUMAN Glutamine--tRNA ligase (Fragment) OS=Homo sapiens OX=9606 GN=QARS1 PE=1 SV=1;tr|B4DDN1|B4DDN1_HUMAN Glutamine--tRNA ligase OS=Homo sapiens ,16,15,22.1,775
ATP5O,-0.1521181002,0.268053294129927,0,P48047;A0A494C0K9;H7C0C1;H7C086;H7C068,P48047;A0A494C0K9;H7C0C1,10;6;6;2;2,10;6;6;2;2,10;6;6;2;2,"ATP synthase subunit O, mitochondrial",ATP5O,"sp|P48047|ATPO_HUMAN ATP synthase subunit O, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5PO PE=1 SV=1;tr|A0A494C0K9|A0A494C0K9_HUMAN ATP synthase subunit O, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5PO PE=4 SV=1;tr|H7C0C1|H7C0C1_HUMAN Uncharacterized p",10,10,43.7,213
