Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity DDA1_N1,Intensity DDA1_N2,Intensity U2OS-BirA-alone_N1,Intensity U2OS-BirA-alone_N2
Q96L92;A0A5H1ZRP6;A0A2R8Y8A7,Q96L92;A0A5H1ZRP6;A0A2R8Y8A7,2;2;2,2;2;2,2;2;2,Sorting nexin-27,SNX27,sp|Q96L92|SNX27_HUMAN Sorting nexin-27 OS=Homo sapiens OX=9606 GN=SNX27 PE=1 SV=2;tr|A0A5H1ZRP6|A0A5H1ZRP6_HUMAN Sorting nexin-27 (Fragment) OS=Homo sapiens OX=9606 GN=SNX27 PE=1 SV=1;tr|A0A2R8Y8A7|A0A2R8Y8A7_HUMAN Sorting nexin-27 OS=Homo sapiens OX=9606,2,2,3.5,23.4252159032994,23.2119309826682,22.6572224853951,22.6299635620296
Q9Y5X2;C9IYC5;C9JCB9;C9J8E6;C9J014;C9J271,Q9Y5X2;C9IYC5;C9JCB9;C9J8E6;C9J014;C9J271,2;1;1;1;1;1,2;1;1;1;1;1,2;1;1;1;1;1,Sorting nexin-8,SNX8,sp|Q9Y5X2|SNX8_HUMAN Sorting nexin-8 OS=Homo sapiens OX=9606 GN=SNX8 PE=1 SV=1;tr|C9IYC5|C9IYC5_HUMAN Sorting nexin-8 (Fragment) OS=Homo sapiens OX=9606 GN=SNX8 PE=1 SV=1;tr|C9JCB9|C9JCB9_HUMAN Sorting nexin-8 (Fragment) OS=Homo sapiens OX=9606 GN=SNX8 PE=,2,2,7.3,4.44813127545976,4.42301530869759,23.4521165374308,23.4630124153042
Q9H254;M0QZQ3;C9JY79;M0R1V6,Q9H254;M0QZQ3;C9JY79;M0R1V6,3;3;3;2,2;2;2;2,2;2;2;2,"Spectrin beta chain, non-erythrocytic 4",SPTBN4,"sp|Q9H254|SPTN4_HUMAN Spectrin beta chain, non-erythrocytic 4 OS=Homo sapiens OX=9606 GN=SPTBN4 PE=1 SV=2;tr|M0QZQ3|M0QZQ3_HUMAN Spectrin beta chain OS=Homo sapiens OX=9606 GN=SPTBN4 PE=1 SV=1;tr|C9JY79|C9JY79_HUMAN Spectrin beta chain OS=Homo sapiens OX=9",3,2,1.6,25.0744813696431,24.6934920621348,4.42168670121973,4.40094061045596
A0A087WY03;E5RFV3,A0A087WY03;E5RFV3,2;2,2;2,2;2,,SREK1,tr|A0A087WY03|A0A087WY03_HUMAN Splicing regulatory glutamine/lysine-rich protein 1 OS=Homo sapiens OX=9606 GN=SREK1 PE=1 SV=1;tr|E5RFV3|E5RFV3_HUMAN Splicing regulatory glutamine/lysine-rich protein 1 OS=Homo sapiens OX=9606 GN=SREK1 PE=1 SV=1,2,2,27.0,23.5386029152728,26.315981077121,4.42168670121973,4.40094061045596
Q7Z6B7;G5EA48,Q7Z6B7;G5EA48,3;2,3;2,2;1,SLIT-ROBO Rho GTPase-activating protein 1,SRGAP1,"sp|Q7Z6B7|SRGP1_HUMAN SLIT-ROBO Rho GTPase-activating protein 1 OS=Homo sapiens OX=9606 GN=SRGAP1 PE=1 SV=1;tr|G5EA48|G5EA48_HUMAN SLIT-ROBO Rho GTPase activating protein 1, isoform CRA_a OS=Homo sapiens OX=9606 GN=SRGAP1 PE=1 SV=1",3,2,3.1,23.5812989795881,23.5756555718409,23.1763795349304,24.1616178346177
O75494;Q5JRI1;Q6IQ42,O75494;Q5JRI1,3;3;1,3;3;1,2;2;1,Serine/arginine-rich splicing factor 10,SRSF10,sp|O75494|SRS10_HUMAN Serine/arginine-rich splicing factor 10 OS=Homo sapiens OX=9606 GN=SRSF10 PE=1 SV=1;tr|Q5JRI1|Q5JRI1_HUMAN Serine/arginine-rich-splicing factor 10 OS=Homo sapiens OX=9606 GN=SRSF10 PE=1 SV=1,3,2,14.5,26.8494776431772,26.5283248541323,4.42168670121973,4.40094061045596
Q13243;B4DJK0;B4DUA4;G3V5K8,Q13243;B4DJK0;B4DUA4,3;2;2;1,2;1;1;1,2;1;1;1,Serine/arginine-rich splicing factor 5,SRSF5,sp|Q13243|SRSF5_HUMAN Serine/arginine-rich splicing factor 5 OS=Homo sapiens OX=9606 GN=SRSF5 PE=1 SV=1;tr|B4DJK0|B4DJK0_HUMAN Serine/arginine-rich-splicing factor 5 OS=Homo sapiens OX=9606 GN=SRSF5 PE=1 SV=1;tr|B4DUA4|B4DUA4_HUMAN Serine/arginine-rich-spl,3,2,12.9,23.7387173773674,24.3025697608658,4.42168670121973,4.40094061045596
P50502;H7C3I1;Q8NFI4;F6VDH7;Q3KNR6;Q8IZP2,P50502;H7C3I1;Q8NFI4;F6VDH7;Q3KNR6;Q8IZP2,2;2;2;1;1;1,2;2;2;1;1;1,2;2;2;1;1;1,Hsc70-interacting protein;Putative protein FAM10A5;Putative protein FAM10A4,ST13;ST13P5;ST13P4,sp|P50502|F10A1_HUMAN Hsc70-interacting protein OS=Homo sapiens OX=9606 GN=ST13 PE=1 SV=2;tr|H7C3I1|H7C3I1_HUMAN Hsc70-interacting protein (Fragment) OS=Homo sapiens OX=9606 GN=ST13 PE=1 SV=1;sp|Q8NFI4|F10A5_HUMAN Putative protein FAM10A5 OS=Homo sapiens O,2,2,6.0,23.6009355529797,23.8047911850015,24.7386658442624,23.9822443896413
Q9P2P6;H3BN21,Q9P2P6,3;1,2;1,2;1,StAR-related lipid transfer protein 9,STARD9,sp|Q9P2P6|STAR9_HUMAN StAR-related lipid transfer protein 9 OS=Homo sapiens OX=9606 GN=STARD9 PE=1 SV=3,3,2,0.9,24.694486290081,24.451927953952,4.42168670121973,4.40094061045596
O94804,O94804,3,2,2,Serine/threonine-protein kinase 10,STK10,sp|O94804|STK10_HUMAN Serine/threonine-protein kinase 10 OS=Homo sapiens OX=9606 GN=STK10 PE=1 SV=1,3,2,3.4,4.44813127545976,4.42301530869759,23.351781459935,24.5147867594709
Q8TCJ2,Q8TCJ2,2,2,2,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B,STT3B,sp|Q8TCJ2|STT3B_HUMAN Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B OS=Homo sapiens OX=9606 GN=STT3B PE=1 SV=1,2,2,1.9,4.44813127545976,4.42301530869759,23.751543241872,23.3165853762308
Q96C24,Q96C24,2,2,2,Synaptotagmin-like protein 4,SYTL4,sp|Q96C24|SYTL4_HUMAN Synaptotagmin-like protein 4 OS=Homo sapiens OX=9606 GN=SYTL4 PE=1 SV=2,2,2,5.1,4.44813127545976,4.42301530869759,25.2095904990067,23.1695757961834
P37837;F2Z393,P37837;F2Z393,2;1,2;1,2;1,Transaldolase,TALDO1,sp|P37837|TALDO_HUMAN Transaldolase OS=Homo sapiens OX=9606 GN=TALDO1 PE=1 SV=2;tr|F2Z393|F2Z393_HUMAN Transaldolase OS=Homo sapiens OX=9606 GN=TALDO1 PE=1 SV=1,2,2,6.8,24.26133800389,24.5589419427651,4.42168670121973,4.40094061045596
Q9NVG8,Q9NVG8,2,2,2,TBC1 domain family member 13,TBC1D13,sp|Q9NVG8|TBC13_HUMAN TBC1 domain family member 13 OS=Homo sapiens OX=9606 GN=TBC1D13 PE=1 SV=3,2,2,7.5,23.7485777833954,24.0442687020735,23.508574346217,23.900152178411
O15040,O15040,2,2,2,Tectonin beta-propeller repeat-containing protein 2,TECPR2,sp|O15040|TCPR2_HUMAN Tectonin beta-propeller repeat-containing protein 2 OS=Homo sapiens OX=9606 GN=TECPR2 PE=1 SV=4,2,2,3.0,27.1487023269749,24.6098658779278,4.42168670121973,4.40094061045596
A0A2R8YDL0;A0A2R8YGQ5;O75443,A0A2R8YDL0;A0A2R8YGQ5;O75443,2;2;1,2;2;1,2;2;1,Alpha-tectorin,TECTA,tr|A0A2R8YDL0|A0A2R8YDL0_HUMAN Alpha-tectorin OS=Homo sapiens OX=9606 GN=TECTA PE=1 SV=1;tr|A0A2R8YGQ5|A0A2R8YGQ5_HUMAN Alpha-tectorin (Fragment) OS=Homo sapiens OX=9606 GN=TECTA PE=1 SV=1;sp|O75443|TECTA_HUMAN Alpha-tectorin OS=Homo sapiens OX=9606 GN=TEC,2,2,2.3,25.8988864868809,25.9586562539137,4.42168670121973,4.40094061045596
Q8NFU7,Q8NFU7,2,2,2,Methylcytosine dioxygenase TET1,TET1,sp|Q8NFU7|TET1_HUMAN Methylcytosine dioxygenase TET1 OS=Homo sapiens OX=9606 GN=TET1 PE=1 SV=2,2,2,0.9,4.44813127545976,4.42301530869759,23.1471695161008,24.2936175814124
Q01664;I3L254,Q01664;I3L254,2;1,2;1,2;1,Transcription factor AP-4,TFAP4,sp|Q01664|TFAP4_HUMAN Transcription factor AP-4 OS=Homo sapiens OX=9606 GN=TFAP4 PE=1 SV=2;tr|I3L254|I3L254_HUMAN Transcription factor AP-4 (Fragment) OS=Homo sapiens OX=9606 GN=TFAP4 PE=1 SV=1,2,2,7.7,25.0578806996529,24.6291756065388,4.42168670121973,4.40094061045596
Q9NXG2,Q9NXG2,2,2,2,THUMP domain-containing protein 1,THUMPD1,sp|Q9NXG2|THUM1_HUMAN THUMP domain-containing protein 1 OS=Homo sapiens OX=9606 GN=THUMPD1 PE=1 SV=2,2,2,5.4,24.0087260980092,23.0866377360885,23.1355370791534,22.7244863746657
P04183;K7ES52;K7ERJ1;K7ERV3;K7ENW5,P04183;K7ES52;K7ERJ1;K7ERV3;K7ENW5,2;2;2;2;1,2;2;2;2;1,2;2;2;2;1,"Thymidine kinase, cytosolic;Thymidine kinase",TK1,"sp|P04183|KITH_HUMAN Thymidine kinase, cytosolic OS=Homo sapiens OX=9606 GN=TK1 PE=1 SV=2;tr|K7ES52|K7ES52_HUMAN Thymidine kinase OS=Homo sapiens OX=9606 GN=TK1 PE=1 SV=1;tr|K7ERJ1|K7ERJ1_HUMAN Thymidine kinase (Fragment) OS=Homo sapiens OX=9606 GN=TK1 PE=",2,2,13.7,25.0626641209659,25.0381681491778,24.2358605618576,24.8038556010386
Q9UKI8,Q9UKI8,5,2,2,Serine/threonine-protein kinase tousled-like 1,TLK1,sp|Q9UKI8|TLK1_HUMAN Serine/threonine-protein kinase tousled-like 1 OS=Homo sapiens OX=9606 GN=TLK1 PE=1 SV=2,5,2,9.0,26.2235220033005,26.4917485270884,4.42168670121973,4.40094061045596
Q5SNT2;H0Y994;H0Y4R5,Q5SNT2;H0Y994;H0Y4R5,2;1;1,2;1;1,2;1;1,Transmembrane protein 201,TMEM201,sp|Q5SNT2|TM201_HUMAN Transmembrane protein 201 OS=Homo sapiens OX=9606 GN=TMEM201 PE=1 SV=1;tr|H0Y994|H0Y994_HUMAN Transmembrane protein 201 (Fragment) OS=Homo sapiens OX=9606 GN=TMEM201 PE=1 SV=1;tr|H0Y4R5|H0Y4R5_HUMAN Transmembrane protein 201 (Fragment,2,2,3.3,24.3596439439262,22.9054002269981,4.42168670121973,4.40094061045596
O94886;Q2HIZ8;X6RI56,O94886;Q2HIZ8;X6RI56,2;1;1,2;1;1,2;1;1,CSC1-like protein 1,TMEM63A,sp|O94886|CSCL1_HUMAN CSC1-like protein 1 OS=Homo sapiens OX=9606 GN=TMEM63A PE=1 SV=3;tr|Q2HIZ8|Q2HIZ8_HUMAN CSC1-like protein 1 OS=Homo sapiens OX=9606 GN=TMEM63A PE=1 SV=1;tr|X6RI56|X6RI56_HUMAN CSC1-like protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=,2,2,4.6,24.0005832472394,24.3909346094237,26.2434894071731,25.3997934487308
Q92973;S4R398,Q92973;S4R398,2;1,2;1,2;1,Transportin-1,TNPO1,sp|Q92973|TNPO1_HUMAN Transportin-1 OS=Homo sapiens OX=9606 GN=TNPO1 PE=1 SV=2;tr|S4R398|S4R398_HUMAN Transportin-1 (Fragment) OS=Homo sapiens OX=9606 GN=TNPO1 PE=1 SV=1,2,2,3.0,4.44813127545976,4.42301530869759,24.9784088235271,24.5499170436193
Q9UPQ9,Q9UPQ9,23,23,2,Trinucleotide repeat-containing gene 6B protein,TNRC6B,sp|Q9UPQ9|TNR6B_HUMAN Trinucleotide repeat-containing gene 6B protein OS=Homo sapiens OX=9606 GN=TNRC6B PE=1 SV=4,23,2,20.8,4.44813127545976,4.42301530869759,28.5082796480154,29.0577309618801
Q15785,Q15785,2,2,2,Mitochondrial import receptor subunit TOM34,TOMM34,sp|Q15785|TOM34_HUMAN Mitochondrial import receptor subunit TOM34 OS=Homo sapiens OX=9606 GN=TOMM34 PE=1 SV=2,2,2,10.0,4.44813127545976,4.42301530869759,23.6839960504341,23.9256051442428
Q9H496,Q9H496,2,2,2,"Torsin-1A-interacting protein 2, isoform IFRG15",TOR1AIP2,"sp|Q9H496|IFG15_HUMAN Torsin-1A-interacting protein 2, isoform IFRG15 OS=Homo sapiens OX=9606 GN=TOR1AIP2 PE=1 SV=1",2,2,25.2,24.3364035868104,24.803658558659,4.42168670121973,4.40094061045596
P62995;H7C2L4;H7BXF3,P62995;H7C2L4;H7BXF3,2;1;1,2;1;1,2;1;1,Transformer-2 protein homolog beta,TRA2B,sp|P62995|TRA2B_HUMAN Transformer-2 protein homolog beta OS=Homo sapiens OX=9606 GN=TRA2B PE=1 SV=1;tr|H7C2L4|H7C2L4_HUMAN Transformer-2 protein homolog beta (Fragment) OS=Homo sapiens OX=9606 GN=TRA2B PE=1 SV=1;tr|H7BXF3|H7BXF3_HUMAN Transformer-2 protein,2,2,9.0,24.9828101438764,25.4618890640022,4.42168670121973,4.40094061045596
Q9Y3Q8;O75157;Q15714;Q99576;Q5JRJ0;E7EWD5;H0Y865;H7BZ77,Q9Y3Q8;O75157;Q15714;Q99576;Q5JRJ0;E7EWD5;H0Y865;H7BZ77,2;1;1;1;1;1;1;1,2;1;1;1;1;1;1;1,2;1;1;1;1;1;1;1,TSC22 domain family protein 4;TSC22 domain family protein 2;TSC22 domain family protein 1;TSC22 domain family protein 3,TSC22D4;TSC22D2;TSC22D1;TSC22D3,sp|Q9Y3Q8|T22D4_HUMAN TSC22 domain family protein 4 OS=Homo sapiens OX=9606 GN=TSC22D4 PE=1 SV=2;sp|O75157|T22D2_HUMAN TSC22 domain family protein 2 OS=Homo sapiens OX=9606 GN=TSC22D2 PE=1 SV=3;sp|Q15714|T22D1_HUMAN TSC22 domain family protein 1 OS=Homo sa,2,2,6.1,4.44813127545976,4.42301530869759,24.9916591986002,25.3798418380244
Q7Z6J9;J3KRC5;J3QRQ5,Q7Z6J9;J3KRC5;J3QRQ5,2;2;1,2;2;1,2;2;1,tRNA-splicing endonuclease subunit Sen54,TSEN54,sp|Q7Z6J9|SEN54_HUMAN tRNA-splicing endonuclease subunit Sen54 OS=Homo sapiens OX=9606 GN=TSEN54 PE=1 SV=3;tr|J3KRC5|J3KRC5_HUMAN tRNA-splicing endonuclease subunit Sen54 (Fragment) OS=Homo sapiens OX=9606 GN=TSEN54 PE=1 SV=1;tr|J3QRQ5|J3QRQ5_HUMAN tRNA-sp,2,2,5.7,25.8445785134829,25.855834763977,4.42168670121973,4.40094061045596
Q8N5M4;E9PKV8;H0YDR3;E7EST3,Q8N5M4;E9PKV8;H0YDR3;E7EST3,2;2;1;1,2;2;1;1,2;2;1;1,Tetratricopeptide repeat protein 9C,TTC9C,sp|Q8N5M4|TTC9C_HUMAN Tetratricopeptide repeat protein 9C OS=Homo sapiens OX=9606 GN=TTC9C PE=1 SV=1;tr|E9PKV8|E9PKV8_HUMAN Tetratricopeptide repeat protein 9C (Fragment) OS=Homo sapiens OX=9606 GN=TTC9C PE=1 SV=1;tr|H0YDR3|H0YDR3_HUMAN Tetratricopeptide r,2,2,17.0,23.2406137555428,23.7110384266193,25.7247101423087,25.7584729198685
Q15361;A0A087WY09,Q15361;A0A087WY09,2;1,2;1,2;1,Transcription termination factor 1,TTF1,sp|Q15361|TTF1_HUMAN Transcription termination factor 1 OS=Homo sapiens OX=9606 GN=TTF1 PE=1 SV=3;tr|A0A087WY09|A0A087WY09_HUMAN Transcription termination factor 1 OS=Homo sapiens OX=9606 GN=TTF1 PE=1 SV=1,2,2,3.9,25.6338382393317,25.953336984529,4.42168670121973,4.40094061045596
P68363;P68366;C9JDS9,P68363;P68366,23;18;7,5;4;1,2;2;0,Tubulin alpha-1B chain;Tubulin alpha-4A chain,TUBA1B;TUBA4A,sp|P68363|TBA1B_HUMAN Tubulin alpha-1B chain OS=Homo sapiens OX=9606 GN=TUBA1B PE=1 SV=1;sp|P68366|TBA4A_HUMAN Tubulin alpha-4A chain OS=Homo sapiens OX=9606 GN=TUBA4A PE=1 SV=1,23,2,64.3,27.3996630857026,27.2145642904793,30.2112952112786,30.520564222024
P0DPH8;P0DPH7;Q6PEY2,P0DPH8;P0DPH7;Q6PEY2,20;20;16,2;2;2,2;2;2,Tubulin alpha-3E chain,TUBA3E,sp|P0DPH8|TBA3D_HUMAN Tubulin alpha-3D chain OS=Homo sapiens OX=9606 GN=TUBA3D PE=1 SV=1;sp|P0DPH7|TBA3C_HUMAN Tubulin alpha-3C chain OS=Homo sapiens OX=9606 GN=TUBA3C PE=1 SV=1;sp|Q6PEY2|TBA3E_HUMAN Tubulin alpha-3E chain OS=Homo sapiens OX=9606 GN=TUBA3E,20,2,56.0,24.546513936261,24.4941162935233,28.2322871913857,28.0013673877858
P49411,P49411,2,2,2,"Elongation factor Tu, mitochondrial",TUFM,"sp|P49411|EFTU_HUMAN Elongation factor Tu, mitochondrial OS=Homo sapiens OX=9606 GN=TUFM PE=1 SV=2",2,2,7.3,23.3007558396896,23.299428069993,24.7487313187588,24.0726743297543
O95881,O95881,2,2,2,Thioredoxin domain-containing protein 12,TXNDC12,sp|O95881|TXD12_HUMAN Thioredoxin domain-containing protein 12 OS=Homo sapiens OX=9606 GN=TXNDC12 PE=1 SV=1,2,2,16.9,22.8741581397696,23.2256452185165,4.42168670121973,4.40094061045596
Q13404;I3L0A0;Q15819;E5RIF1;D6RG00;A0A0A0MSL3;G3V2F7;H0YBX6,Q13404;I3L0A0;Q15819;E5RIF1;D6RG00;A0A0A0MSL3;G3V2F7;H0YBX6,2;2;1;1;1;1;1;1,2;2;1;1;1;1;1;1,2;2;1;1;1;1;1;1,Ubiquitin-conjugating enzyme E2 variant 1;Ubiquitin-conjugating enzyme E2 variant 2,UBE2V1;TMEM189-UBE2V1;UBE2V2,sp|Q13404|UB2V1_HUMAN Ubiquitin-conjugating enzyme E2 variant 1 OS=Homo sapiens OX=9606 GN=UBE2V1 PE=1 SV=2;tr|I3L0A0|I3L0A0_HUMAN HCG2044781 OS=Homo sapiens OX=9606 GN=TMEM189-UBE2V1 PE=1 SV=1;sp|Q15819|UB2V2_HUMAN Ubiquitin-conjugating enzyme E2 variant,2,2,12.9,4.44813127545976,4.42301530869759,23.7289966514765,22.9460131352223
Q9Y5Z9;R4GNE3,Q9Y5Z9;R4GNE3,2;1,2;1,2;1,UbiA prenyltransferase domain-containing protein 1,UBIAD1,sp|Q9Y5Z9|UBIA1_HUMAN UbiA prenyltransferase domain-containing protein 1 OS=Homo sapiens OX=9606 GN=UBIAD1 PE=1 SV=1;tr|R4GNE3|R4GNE3_HUMAN UbiA prenyltransferase domain-containing protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=UBIAD1 PE=4 SV=1,2,2,8.6,4.44813127545976,4.42301530869759,25.4206939980788,25.5624904985968
Q9NRR5;H0YDS0,Q9NRR5,3;1,3;1,2;0,Ubiquilin-4,UBQLN4,sp|Q9NRR5|UBQL4_HUMAN Ubiquilin-4 OS=Homo sapiens OX=9606 GN=UBQLN4 PE=1 SV=2,3,2,8.7,26.7741703409437,26.2408902998082,4.42168670121973,4.40094061045596
O60701,O60701,2,2,2,UDP-glucose 6-dehydrogenase,UGDH,sp|O60701|UGDH_HUMAN UDP-glucose 6-dehydrogenase OS=Homo sapiens OX=9606 GN=UGDH PE=1 SV=1,2,2,6.1,23.8188013722388,23.7812880772426,23.3293321314589,22.7768980331007
Q9H9J4;C9JPC9,Q9H9J4;C9JPC9,2;1,2;1,2;1,Ubiquitin carboxyl-terminal hydrolase 42,USP42,sp|Q9H9J4|UBP42_HUMAN Ubiquitin carboxyl-terminal hydrolase 42 OS=Homo sapiens OX=9606 GN=USP42 PE=1 SV=3;tr|C9JPC9|C9JPC9_HUMAN Ubiquitin carboxyl-terminal hydrolase 42 (Fragment) OS=Homo sapiens OX=9606 GN=USP42 PE=1 SV=9,2,2,1.8,24.6227677042366,23.2099548356533,4.42168670121973,4.40094061045596
P40818;H0YLH2;H0YNL5;H0YKV1;A0A075B720,P40818,3;1;1;1;1,3;1;1;1;1,2;0;0;0;0,Ubiquitin carboxyl-terminal hydrolase 8,USP8,sp|P40818|UBP8_HUMAN Ubiquitin carboxyl-terminal hydrolase 8 OS=Homo sapiens OX=9606 GN=USP8 PE=1 SV=1,3,2,3.4,25.8580899212682,26.1446241716333,25.1821512341117,23.0774090316993
Q9BRU9,Q9BRU9,2,2,2,rRNA-processing protein UTP23 homolog,UTP23,sp|Q9BRU9|UTP23_HUMAN rRNA-processing protein UTP23 homolog OS=Homo sapiens OX=9606 GN=UTP23 PE=1 SV=2,2,2,9.6,23.2031745160172,21.6878233120481,24.8722076340226,23.8354745099746
P63027;J3QRU4;F8WCA0;L7N2F9;K7ENK9;K7EKX0,P63027;J3QRU4;F8WCA0;L7N2F9,3;3;3;3;1;1,3;3;3;3;1;1,2;2;2;2;0;0,Vesicle-associated membrane protein 2,VAMP2,sp|P63027|VAMP2_HUMAN Vesicle-associated membrane protein 2 OS=Homo sapiens OX=9606 GN=VAMP2 PE=1 SV=3;tr|J3QRU4|J3QRU4_HUMAN Vesicle-associated membrane protein 2 OS=Homo sapiens OX=9606 GN=VAMP2 PE=4 SV=2;tr|F8WCA0|F8WCA0_HUMAN Vesicle-associated membran,3,2,53.4,4.44813127545976,4.42301530869759,26.7389234913818,25.6712006835448
P61758,P61758,2,2,2,Prefoldin subunit 3,VBP1,sp|P61758|PFD3_HUMAN Prefoldin subunit 3 OS=Homo sapiens OX=9606 GN=VBP1 PE=1 SV=4,2,2,14.2,4.44813127545976,4.42301530869759,24.3206534845212,22.5636738907039
Q9Y277;E5RK27;E5RFP6;E5RJN6;E5RHZ6,Q9Y277;E5RK27;E5RFP6;E5RJN6;E5RHZ6,2;1;1;1;1,2;1;1;1;1,2;1;1;1;1,Voltage-dependent anion-selective channel protein 3,VDAC3,sp|Q9Y277|VDAC3_HUMAN Voltage-dependent anion-selective channel protein 3 OS=Homo sapiens OX=9606 GN=VDAC3 PE=1 SV=1;tr|E5RK27|E5RK27_HUMAN Voltage-dependent anion-selective channel protein 3 (Fragment) OS=Homo sapiens OX=9606 GN=VDAC3 PE=1 SV=1;tr|E5RFP6|,2,2,11.7,24.8250764014438,26.0251076187058,24.3404841864504,24.1172112742899
F5H5G4,F5H5G4,8,2,2,,WBP11,tr|F5H5G4|F5H5G4_HUMAN WW domain-binding protein 11 OS=Homo sapiens OX=9606 GN=WBP11 PE=1 SV=1,8,2,47.9,4.44813127545976,4.42301530869759,27.0316000840776,26.4177680618923
Q6ZQQ6;E7ESW6,Q6ZQQ6;E7ESW6,2;2,2;2,2;2,WD repeat-containing protein 87,WDR87,sp|Q6ZQQ6|WDR87_HUMAN WD repeat-containing protein 87 OS=Homo sapiens OX=9606 GN=WDR87 PE=1 SV=3;tr|E7ESW6|E7ESW6_HUMAN WD repeat-containing protein 87 OS=Homo sapiens OX=9606 GN=WDR87 PE=1 SV=2,2,2,1.3,26.091298656317,26.3126815575072,26.7025297242383,26.6269396296493
Q8TF74;J3KSA3;A8MWR2,Q8TF74;J3KSA3;A8MWR2,2;1;1,2;1;1,2;1;1,WAS/WASL-interacting protein family member 2,WIPF2,sp|Q8TF74|WIPF2_HUMAN WAS/WASL-interacting protein family member 2 OS=Homo sapiens OX=9606 GN=WIPF2 PE=1 SV=1;tr|J3KSA3|J3KSA3_HUMAN WAS/WASL-interacting protein family member 2 (Fragment) OS=Homo sapiens OX=9606 GN=WIPF2 PE=1 SV=1;tr|A8MWR2|A8MWR2_HUMAN W,2,2,7.3,4.44813127545976,4.42301530869759,22.6343147548484,23.6987996063481
Q96MU7;J3QR07,Q96MU7;J3QR07,2;2,2;2,2;2,YTH domain-containing protein 1,YTHDC1,sp|Q96MU7|YTDC1_HUMAN YTH domain-containing protein 1 OS=Homo sapiens OX=9606 GN=YTHDC1 PE=1 SV=3;tr|J3QR07|J3QR07_HUMAN YTH domain-containing protein 1 OS=Homo sapiens OX=9606 GN=YTHDC1 PE=1 SV=1,2,2,3.6,24.78001624765,23.4259841797217,4.42168670121973,4.40094061045596
P62258;B4DJF2;I3L3T1;K7EM20;I3L0W5,P62258;B4DJF2;I3L3T1;K7EM20,4;2;2;2;1,2;1;1;1;1,2;1;1;1;1,14-3-3 protein epsilon,YWHAE,sp|P62258|1433E_HUMAN 14-3-3 protein epsilon OS=Homo sapiens OX=9606 GN=YWHAE PE=1 SV=1;tr|B4DJF2|B4DJF2_HUMAN 14-3-3 protein epsilon OS=Homo sapiens OX=9606 GN=YWHAE PE=1 SV=1;tr|I3L3T1|I3L3T1_HUMAN 14-3-3 protein epsilon OS=Homo sapiens OX=9606 GN=YWHAE,4,2,19.2,24.4408210215635,24.2666372967055,23.3351089870694,23.2179647934235
Q9BTP6,Q9BTP6,2,2,2,Zinc finger BED domain-containing protein 2,ZBED2,sp|Q9BTP6|ZBED2_HUMAN Zinc finger BED domain-containing protein 2 OS=Homo sapiens OX=9606 GN=ZBED2 PE=1 SV=2,2,2,13.3,27.1215907441268,27.7671137348329,24.0303288909562,23.5162906008322
P86452,P86452,2,2,2,Zinc finger BED domain-containing protein 6,ZBED6,sp|P86452|ZBED6_HUMAN Zinc finger BED domain-containing protein 6 OS=Homo sapiens OX=9606 GN=ZBED6 PE=3 SV=1,2,2,2.8,24.410933806502,24.5769243822725,4.42168670121973,4.40094061045596
Q96GY0;H0YAP0,Q96GY0;H0YAP0,2;1,2;1,2;1,Zinc finger C2HC domain-containing protein 1A,ZC2HC1A,sp|Q96GY0|ZC21A_HUMAN Zinc finger C2HC domain-containing protein 1A OS=Homo sapiens OX=9606 GN=ZC2HC1A PE=1 SV=2;tr|H0YAP0|H0YAP0_HUMAN Zinc finger C2HC domain-containing protein 1A (Fragment) OS=Homo sapiens OX=9606 GN=ZC2HC1A PE=1 SV=1,2,2,6.8,4.44813127545976,4.42301530869759,23.2648491714414,23.7399536199803
H0YJA2;G3V4R5,H0YJA2,26;2,2;0,2;0,,ZC3H14,tr|H0YJA2|H0YJA2_HUMAN Zinc finger CCCH domain-containing protein 14 (Fragment) OS=Homo sapiens OX=9606 GN=ZC3H14 PE=1 SV=1,26,2,51.9,25.6501493917316,24.9868510048254,4.42168670121973,4.40094061045596
Q8N3Z6;X6R4A7,Q8N3Z6;X6R4A7,2;1,2;1,2;1,Zinc finger CCHC domain-containing protein 7,ZCCHC7,sp|Q8N3Z6|ZCHC7_HUMAN Zinc finger CCHC domain-containing protein 7 OS=Homo sapiens OX=9606 GN=ZCCHC7 PE=1 SV=2;tr|X6R4A7|X6R4A7_HUMAN Zinc finger CCHC domain-containing protein 7 OS=Homo sapiens OX=9606 GN=ZCCHC7 PE=1 SV=1,2,2,6.1,24.518693491196,25.1467423673069,4.42168670121973,4.40094061045596
