SMU1_vs_zCtl,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
RBM22,-1.3433437511,0.0931559823300666,0,Q9NW64;E5RJW4;E5RHA8,Q9NW64;E5RJW4;E5RHA8,2;2;1,2;2;1,2;2;1,Pre-mRNA-splicing factor RBM22,RBM22,sp|Q9NW64|RBM22_HUMAN Pre-mRNA-splicing factor RBM22 OS=Homo sapiens OX=9606 GN=RBM22 PE=1 SV=1;tr|E5RJW4|E5RJW4_HUMAN Pre-mRNA-splicing factor RBM22 (Fragment) OS=Homo sapiens OX=9606 GN=RBM22 PE=1 SV=1;tr|E5RHA8|E5RHA8_HUMAN Pre-mRNA-splicing factor RBM2,2,2,4.8,420
VAPB,0.7437299272,0.168226142370497,0,O95292;E5RK64,O95292;E5RK64,2;2,2;2,2;2,Vesicle-associated membrane protein-associated protein B/C,VAPB,sp|O95292|VAPB_HUMAN Vesicle-associated membrane protein-associated protein B/C OS=Homo sapiens OX=9606 GN=VAPB PE=1 SV=3;tr|E5RK64|E5RK64_HUMAN Vesicle-associated membrane protein-associated protein B/C OS=Homo sapiens OX=9606 GN=VAPB PE=1 SV=1,2,2,11.5,243
AP1M1;AP1M2,1.4496347654,0.00698904520531815,1,Q9BXS5;K7EJL1;E7ENJ6;Q9Y6Q5;K7EK69;K7ERH5;K7EL08,Q9BXS5;K7EJL1;E7ENJ6;Q9Y6Q5;K7EK69;K7ERH5;K7EL08,2;2;2;1;1;1;1,2;2;2;1;1;1;1,2;2;2;1;1;1;1,AP-1 complex subunit mu-1;AP-1 complex subunit mu-2,AP1M1;AP1M2,sp|Q9BXS5|AP1M1_HUMAN AP-1 complex subunit mu-1 OS=Homo sapiens OX=9606 GN=AP1M1 PE=1 SV=3;tr|K7EJL1|K7EJL1_HUMAN AP-1 complex subunit mu-1 OS=Homo sapiens OX=9606 GN=AP1M1 PE=1 SV=1;tr|E7ENJ6|E7ENJ6_HUMAN AP-1 complex subunit mu-1 OS=Homo sapiens OX=9606 ,2,2,5,423
PRPSAP2,0.2660461038,0.774114453612245,0,O60256;E7EPA1;I3L4G9;C9JDH0;E7EW35;C9JDU5;C9JJS3;C9K0K7,O60256;E7EPA1;I3L4G9,3;3;2;1;1;1;1;1,3;3;2;1;1;1;1;1,2;2;1;1;1;1;1;1,Phosphoribosyl pyrophosphate synthase-associated protein 2,PRPSAP2,sp|O60256|KPRB_HUMAN Phosphoribosyl pyrophosphate synthase-associated protein 2 OS=Homo sapiens OX=9606 GN=PRPSAP2 PE=1 SV=1;tr|E7EPA1|E7EPA1_HUMAN Phosphoribosyl pyrophosphate synthase-associated protein 2 (Fragment) OS=Homo sapiens OX=9606 GN=PRPSAP2 PE=,3,2,11.9,369
RPL14,-0.6713163351,0.0386525517877026,0,P50914;E7EPB3,P50914;E7EPB3,9;9,9;9,9;9,60S ribosomal protein L14,RPL14,sp|P50914|RL14_HUMAN 60S ribosomal protein L14 OS=Homo sapiens OX=9606 GN=RPL14 PE=1 SV=4;tr|E7EPB3|E7EPB3_HUMAN 60S ribosomal protein L14 OS=Homo sapiens OX=9606 GN=RPL14 PE=1 SV=1,9,9,40,215
SEPT7,-0.7858804071,0.0413185316726688,0,Q16181;E7ES33;E7EPK1;G3V1Q4;A0A0U1RRE1;A0A0U1RRH9;A0A5F9ZGZ7;A0A0U1RRD1;Q6ZU15,Q16181;E7ES33;E7EPK1;G3V1Q4,9;9;9;7;4;3;3;2;1,9;9;9;7;4;3;3;2;1,9;9;9;7;4;3;3;2;1,Septin-7,SEPT7,sp|Q16181|SEPT7_HUMAN Septin-7 OS=Homo sapiens OX=9606 GN=SEPTIN7 PE=1 SV=2;tr|E7ES33|E7ES33_HUMAN Septin-7 OS=Homo sapiens OX=9606 GN=SEPTIN7 PE=1 SV=3;tr|E7EPK1|E7EPK1_HUMAN Septin-7 OS=Homo sapiens OX=9606 GN=SEPTIN7 PE=1 SV=2;tr|G3V1Q4|G3V1Q4_HUMAN Sep,9,9,29.1,437
MRPS25,1.406090014,0.00962589942947147,1,P82663;E7EPW2,P82663;E7EPW2,2;2,2;2,2;2,"28S ribosomal protein S25, mitochondrial",MRPS25,"sp|P82663|RT25_HUMAN 28S ribosomal protein S25, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS25 PE=1 SV=1;tr|E7EPW2|E7EPW2_HUMAN 28S ribosomal protein S25, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS25 PE=1 SV=1",2,2,11,173
HMGB3,-0.0674160617,0.933863104650427,0,O15347;E9PES6;E7ES08;E7EQU1,O15347;E9PES6;E7ES08;E7EQU1,3;3;3;3,3;3;3;3,3;3;3;3,High mobility group protein B3,HMGB3,sp|O15347|HMGB3_HUMAN High mobility group protein B3 OS=Homo sapiens OX=9606 GN=HMGB3 PE=1 SV=4;tr|E9PES6|E9PES6_HUMAN High mobility group protein B3 (Fragment) OS=Homo sapiens OX=9606 GN=HMGB3 PE=1 SV=1;tr|E7ES08|E7ES08_HUMAN High mobility group protein B,3,3,15,200
EIF4G1,0.3015579384,0.238111180352722,0,Q04637;E7EX73;E9PGM1;E7EUU4;C9JF13;H7C044;C9J2Z7;C9K073;F8WCF2;C9JHW9;H7C0V6,Q04637;E7EX73;E9PGM1;E7EUU4,17;17;17;17;7;6;4;4;1;1;1,17;17;17;17;7;6;4;4;1;1;1,9;9;9;9;0;5;0;0;0;0;1,Eukaryotic translation initiation factor 4 gamma 1,EIF4G1,sp|Q04637|IF4G1_HUMAN Eukaryotic translation initiation factor 4 gamma 1 OS=Homo sapiens OX=9606 GN=EIF4G1 PE=1 SV=4;tr|E7EX73|E7EX73_HUMAN Eukaryotic translation initiation factor 4 gamma 1 OS=Homo sapiens OX=9606 GN=EIF4G1 PE=1 SV=1;tr|E9PGM1|E9PGM1_HUMA,17,9,13.4,1599
MAP4,1.1423766056,0.010036804862302,1,P27816;E7EVA0;H0Y2V1;F8W9U4;H7C4C5;B5MEG9;H7C456;A0A0J9YVV8;A0A0J9YW37,P27816;E7EVA0,17;17;8;8;7;6;3;1;1,17;17;8;8;7;6;3;1;1,17;17;8;8;7;6;3;1;1,Microtubule-associated protein 4;Microtubule-associated protein,MAP4,sp|P27816|MAP4_HUMAN Microtubule-associated protein 4 OS=Homo sapiens OX=9606 GN=MAP4 PE=1 SV=3;tr|E7EVA0|E7EVA0_HUMAN Microtubule-associated protein OS=Homo sapiens OX=9606 GN=MAP4 PE=1 SV=1,17,17,19.4,1152
CSTF2;CSTF2T,0.4942470676,0.478097836050184,0,P33240;E7EWR4;E9PID8;Q9H0L4;A0A0A0MT56,P33240;E7EWR4;E9PID8;Q9H0L4,8;8;7;5;3,8;8;7;5;3,8;8;7;5;3,Cleavage stimulation factor subunit 2;Cleavage stimulation factor subunit 2 tau variant,CSTF2;CSTF2T,sp|P33240|CSTF2_HUMAN Cleavage stimulation factor subunit 2 OS=Homo sapiens OX=9606 GN=CSTF2 PE=1 SV=1;tr|E7EWR4|E7EWR4_HUMAN Cleavage stimulation factor subunit 2 OS=Homo sapiens OX=9606 GN=CSTF2 PE=1 SV=1;tr|E9PID8|E9PID8_HUMAN Cleavage stimulation facto,8,8,17.3,577
EIF4B,0.863145453,0.231939356840087,0,P23588;E7EX17;F8VX11;F8W0K0;F8VRU1;F8VYE9;F8VSC7;F8VP89,P23588;E7EX17;F8VX11;F8W0K0;F8VRU1;F8VYE9;F8VSC7;F8VP89,6;6;5;4;4;4;4;4,6;6;5;4;4;4;4;4,6;6;5;4;4;4;4;4,Eukaryotic translation initiation factor 4B,EIF4B,sp|P23588|IF4B_HUMAN Eukaryotic translation initiation factor 4B OS=Homo sapiens OX=9606 GN=EIF4B PE=1 SV=2;tr|E7EX17|E7EX17_HUMAN Eukaryotic translation initiation factor 4B OS=Homo sapiens OX=9606 GN=EIF4B PE=1 SV=1;tr|F8VX11|F8VX11_HUMAN Eukaryotic tran,6,6,14.1,611
DCTN1,1.6877462474,0.00159958815283509,1,Q14203;E7EX90;E7EWF7;Q6AWB1;C9JZA4;C9JTE5;C9JJN7;C9JJD0;C9JKG6;E9PCY0,Q14203;E7EX90;E7EWF7,11;11;6;3;1;1;1;1;1;1,11;11;6;3;1;1;1;1;1;1,11;11;6;3;1;1;1;1;1;1,Dynactin subunit 1,DCTN1,sp|Q14203|DCTN1_HUMAN Dynactin subunit 1 OS=Homo sapiens OX=9606 GN=DCTN1 PE=1 SV=3;tr|E7EX90|E7EX90_HUMAN Dynactin subunit 1 OS=Homo sapiens OX=9606 GN=DCTN1 PE=1 SV=1;tr|E7EWF7|E7EWF7_HUMAN Uncharacterized protein (Fragment) OS=Homo sapiens OX=9606 PE=4 ,11,11,9.6,1278
NACA,0.8228596199,0.050749555866156,0,E9PAV3;F8VZJ2;F8W0W4;H0YHX9;Q13765;F8W1N5;F8VNW4;F8VZ58;Q9BZK3,E9PAV3;F8VZJ2;F8W0W4;H0YHX9;Q13765;F8W1N5;F8VNW4,8;8;8;8;8;7;7;3;2,8;8;8;8;8;7;7;3;2,8;8;8;8;8;7;7;3;2,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form;Nascent polypeptide-associated complex subunit alpha",NACA,"sp|E9PAV3|NACAM_HUMAN Nascent polypeptide-associated complex subunit alpha, muscle-specific form OS=Homo sapiens OX=9606 GN=NACA PE=1 SV=1;tr|F8VZJ2|F8VZJ2_HUMAN Nascent polypeptide-associated complex subunit alpha OS=Homo sapiens OX=9606 GN=NACA PE=1 SV=1",8,8,3.4,2078
HK2,6.3197846827,2.50959581416659e-05,1,P52789;E9PB90,P52789;E9PB90,7;7,3;3,3;3,Hexokinase-2;Hexokinase,HK2,sp|P52789|HXK2_HUMAN Hexokinase-2 OS=Homo sapiens OX=9606 GN=HK2 PE=1 SV=2;tr|E9PB90|E9PB90_HUMAN Hexokinase-2 OS=Homo sapiens OX=9606 GN=HK2 PE=1 SV=1,7,3,9.3,917
RBBP7,2.1587494406,0.12926359782019,0,Q16576;E9PC52;Q5JP02;Q5JP01;Q5JNZ6,Q16576;E9PC52;Q5JP02,8;8;5;3;1,3;3;1;2;0,3;3;1;2;0,Histone-binding protein RBBP7,RBBP7,sp|Q16576|RBBP7_HUMAN Histone-binding protein RBBP7 OS=Homo sapiens OX=9606 GN=RBBP7 PE=1 SV=1;tr|E9PC52|E9PC52_HUMAN Histone-binding protein RBBP7 OS=Homo sapiens OX=9606 GN=RBBP7 PE=1 SV=1;tr|Q5JP02|Q5JP02_HUMAN Histone-binding protein RBBP7 (Fragment) O,8,3,21.4,425
OGDH,0.3186731153,0.568238054364296,0,Q02218;E9PDF2;E9PCR7;E9PFG7;A0A0D9SFS3;Q9ULD0;C9J4G7,Q02218;E9PDF2;E9PCR7;E9PFG7;A0A0D9SFS3,8;8;8;7;7;1;1,8;8;8;7;7;1;1,8;8;8;7;7;1;1,"2-oxoglutarate dehydrogenase, mitochondrial",OGDH,"sp|Q02218|ODO1_HUMAN 2-oxoglutarate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=OGDH PE=1 SV=3;tr|E9PDF2|E9PDF2_HUMAN 2-oxoglutarate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=OGDH PE=1 SV=1;tr|E9PCR7|E9PCR7_HUMAN 2-oxoglutarate de",8,8,12.4,1023
HNRNPH1,0.7192188415,0.0230385596620247,0,P31943;G8JLB6;E9PCY7;D6RBM0;E5RGV0;H0YB39;D6RIU0;D6RIT2;D6RAM1;D6R9T0;D6RFM3;E7EN40;D6RDU3;D6RJ04;D6RIH9;E7EQJ0;H0YBG7;H0YBD7;E5RGH4;D6RDL0;D6RF17;H0YAQ2;D6R9D3;E5RJ94,P31943;G8JLB6;E9PCY7;D6RBM0;E5RGV0;H0YB39;D6RIU0;D6RIT2,16;16;16;10;9;9;8;8;7;7;7;7;7;7;7;6;6;6;5;4;4;3;3;2,14;14;14;10;9;7;8;8;7;7;7;7;7;7;7;6;4;4;5;4;4;3;3;2,8;8;8;5;4;3;5;6;5;5;5;4;5;5;5;5;3;3;1;4;4;1;3;2,"Heterogeneous nuclear ribonucleoprotein H;Heterogeneous nuclear ribonucleoprotein H, N-terminally processed",HNRNPH1,sp|P31943|HNRH1_HUMAN Heterogeneous nuclear ribonucleoprotein H OS=Homo sapiens OX=9606 GN=HNRNPH1 PE=1 SV=4;tr|G8JLB6|G8JLB6_HUMAN Heterogeneous nuclear ribonucleoprotein H OS=Homo sapiens OX=9606 GN=HNRNPH1 PE=1 SV=1;tr|E9PCY7|E9PCY7_HUMAN Heterogeneous ,16,8,38.3,449
SMC4,1.9285326465,0.115178484275215,0,Q9NTJ3;E9PD53;C9JR83;C9J9E4;C9JWF0;C9IYK2;C9JJ64;C9JVD8;C9J578,Q9NTJ3;E9PD53;C9JR83;C9J9E4,6;6;5;3;2;2;2;1;1,6;6;5;3;2;2;2;1;1,6;6;5;3;2;2;2;1;1,Structural maintenance of chromosomes protein 4;Structural maintenance of chromosomes protein,SMC4,sp|Q9NTJ3|SMC4_HUMAN Structural maintenance of chromosomes protein 4 OS=Homo sapiens OX=9606 GN=SMC4 PE=1 SV=2;tr|E9PD53|E9PD53_HUMAN Structural maintenance of chromosomes protein OS=Homo sapiens OX=9606 GN=SMC4 PE=1 SV=1;tr|C9JR83|C9JR83_HUMAN Structural ,6,6,6.5,1288
SUCLG2,0.051599084,0.846704849408946,0,Q96I99;E9PDQ8;H0Y852,Q96I99;E9PDQ8,6;6;2,6;6;2,6;6;2,"Succinyl-CoA ligase [GDP-forming] subunit beta, mitochondrial",SUCLG2,"sp|Q96I99|SUCB2_HUMAN Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=SUCLG2 PE=1 SV=2;tr|E9PDQ8|E9PDQ8_HUMAN Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=SUCLG2 PE=1 ",6,6,12.5,432
FUBP1,0.3408842955,0.172000013919947,0,Q96AE4;E9PEB5;C9JSZ1,Q96AE4;E9PEB5;C9JSZ1,21;21;11,21;21;11,18;18;10,Far upstream element-binding protein 1,FUBP1,sp|Q96AE4|FUBP1_HUMAN Far upstream element-binding protein 1 OS=Homo sapiens OX=9606 GN=FUBP1 PE=1 SV=3;tr|E9PEB5|E9PEB5_HUMAN Far upstream element-binding protein 1 OS=Homo sapiens OX=9606 GN=FUBP1 PE=1 SV=1;tr|C9JSZ1|C9JSZ1_HUMAN Far upstream element-bin,21,18,32.5,644
DLAT,1.6287467577,0.00540408427030377,1,P10515;H0YDD4;E9PEJ4,P10515;H0YDD4;E9PEJ4,8;8;8,8;8;8,8;8;8,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial;Acetyltransferase component of pyruvate dehydrogenase complex",DLAT,"sp|P10515|ODP2_HUMAN Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial OS=Homo sapiens OX=9606 GN=DLAT PE=1 SV=3;tr|H0YDD4|H0YDD4_HUMAN Acetyltransferase component of pyruvate dehydrogenase complex (Fr",8,8,16.1,647
NUP155,2.1049402919,0.0154211906913791,1,O75694;E9PF10;D6RA13,O75694;E9PF10,4;4;1,4;4;1,4;4;1,Nuclear pore complex protein Nup155,NUP155,sp|O75694|NU155_HUMAN Nuclear pore complex protein Nup155 OS=Homo sapiens OX=9606 GN=NUP155 PE=1 SV=1;tr|E9PF10|E9PF10_HUMAN Nuclear pore complex protein Nup155 OS=Homo sapiens OX=9606 GN=NUP155 PE=1 SV=1,4,4,5.8,1391
TSN,0.7008853795,0.10103523946116,0,E9PGT1;Q15631;H7C1D4,E9PGT1;Q15631,5;4;1,5;4;1,5;4;1,Translin,TSN,tr|E9PGT1|E9PGT1_HUMAN Translin OS=Homo sapiens OX=9606 GN=TSN PE=1 SV=1;sp|Q15631|TSN_HUMAN Translin OS=Homo sapiens OX=9606 GN=TSN PE=1 SV=1,5,5,38.6,223
COPS8,0.3610281089,0.208905990067378,0,Q99627;E9PGT6;H7C3S9;F8WEF2,Q99627;E9PGT6;H7C3S9,4;4;2;1,4;4;2;1,4;4;2;1,COP9 signalosome complex subunit 8,COPS8,sp|Q99627|CSN8_HUMAN COP9 signalosome complex subunit 8 OS=Homo sapiens OX=9606 GN=COPS8 PE=1 SV=1;tr|E9PGT6|E9PGT6_HUMAN COP9 signalosome complex subunit 8 OS=Homo sapiens OX=9606 GN=COPS8 PE=1 SV=1;tr|H7C3S9|H7C3S9_HUMAN COP9 signalosome complex subunit ,4,4,24.9,209
SSR2,-1.5224647388,0.00365323795539591,1,P43308;E9PNP2;E9PQJ7;E9PLP2;E9PN13;E9PQ05;E9PJ35;E9PQI4,P43308;E9PNP2;E9PQJ7;E9PLP2;E9PN13;E9PQ05;E9PJ35;E9PQI4,2;2;2;2;2;2;2;2,2;2;2;2;2;2;2;2,2;2;2;2;2;2;2;2,Translocon-associated protein subunit beta,SSR2,sp|P43308|SSRB_HUMAN Translocon-associated protein subunit beta OS=Homo sapiens OX=9606 GN=SSR2 PE=1 SV=1;tr|E9PNP2|E9PNP2_HUMAN Translocon-associated protein subunit beta OS=Homo sapiens OX=9606 GN=SSR2 PE=1 SV=1;tr|E9PQJ7|E9PQJ7_HUMAN Translocon-associat,2,2,8.7,183
UBXN1,1.6186053144,0.00158719506484271,1,Q04323;E9PJ81;E9PRQ7;A0A087WTZ5,Q04323;E9PJ81;E9PRQ7,3;3;3;1,3;3;3;1,3;3;3;1,UBX domain-containing protein 1,UBXN1,sp|Q04323|UBXN1_HUMAN UBX domain-containing protein 1 OS=Homo sapiens OX=9606 GN=UBXN1 PE=1 SV=2;tr|E9PJ81|E9PJ81_HUMAN UBX domain-containing protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=UBXN1 PE=1 SV=1;tr|E9PRQ7|E9PRQ7_HUMAN UBX domain-containing prote,3,3,7.4,297
EEF1D,-0.7161078386,0.037437421052969,0,P29692;E9PK01;A0A087X1X7;E9PRY8;E9PI39;E9PPR1;E9PL12;E9PQ49;E9PMW7;H0YCK7;E9PQZ1;E9PIZ1;E9PL71;E9PN91;E9PK06;E9PK72;H0YE72;H0YE58;E9PKK3;E9PQC9;E9PJD0;E9PNW6,P29692;E9PK01;A0A087X1X7;E9PRY8;E9PI39;E9PPR1;E9PL12;E9PQ49;E9PMW7;H0YCK7;E9PQZ1;E9PIZ1;E9PL71;E9PN91,18;18;16;16;14;14;14;14;13;11;10;10;10;9;8;6;4;4;4;3;2;2,18;18;16;16;14;14;14;14;13;11;10;10;10;9;8;6;4;4;4;3;2;2,18;18;16;16;14;14;14;14;13;11;10;10;10;9;8;6;4;4;4;3;2;2,Elongation factor 1-delta,EEF1D,sp|P29692|EF1D_HUMAN Elongation factor 1-delta OS=Homo sapiens OX=9606 GN=EEF1D PE=1 SV=5;tr|E9PK01|E9PK01_HUMAN Elongation factor 1-delta (Fragment) OS=Homo sapiens OX=9606 GN=EEF1D PE=1 SV=1;tr|A0A087X1X7|A0A087X1X7_HUMAN Elongation factor 1-delta OS=Hom,18,18,62.6,281
PRMT1,-0.5592480467,0.0501814672258569,0,Q99873;E9PKG1;E9PIX6;E9PNR9;E9PQ98;H0YDE4;E9PMW9,Q99873;E9PKG1;E9PIX6;E9PNR9;E9PQ98;H0YDE4,6;6;5;4;4;4;1,6;6;5;4;4;4;1,6;6;5;4;4;4;1,Protein arginine N-methyltransferase 1,PRMT1,sp|Q99873|ANM1_HUMAN Protein arginine N-methyltransferase 1 OS=Homo sapiens OX=9606 GN=PRMT1 PE=1 SV=3;tr|E9PKG1|E9PKG1_HUMAN Protein arginine N-methyltransferase 1 OS=Homo sapiens OX=9606 GN=PRMT1 PE=1 SV=1;tr|E9PIX6|E9PIX6_HUMAN Protein arginine N-methyl,6,6,21,371
TTC9C,-0.7655141098,0.0989156138991484,0,Q8N5M4;H0YDR3;E9PKV8,Q8N5M4;H0YDR3;E9PKV8,1;1;1,1;1;1,1;1;1,Tetratricopeptide repeat protein 9C,TTC9C,sp|Q8N5M4|TTC9C_HUMAN Tetratricopeptide repeat protein 9C OS=Homo sapiens OX=9606 GN=TTC9C PE=1 SV=1;tr|H0YDR3|H0YDR3_HUMAN Tetratricopeptide repeat protein 9C (Fragment) OS=Homo sapiens OX=9606 GN=TTC9C PE=1 SV=1;tr|E9PKV8|E9PKV8_HUMAN Tetratricopeptide r,1,1,8.8,171
CAPRIN1,0.7388903043,0.0813757079620857,0,Q14444;E9PLA9;G3V153,Q14444;E9PLA9;G3V153,3;3;3,3;3;3,3;3;3,Caprin-1,CAPRIN1,sp|Q14444|CAPR1_HUMAN Caprin-1 OS=Homo sapiens OX=9606 GN=CAPRIN1 PE=1 SV=2;tr|E9PLA9|E9PLA9_HUMAN Caprin-1 (Fragment) OS=Homo sapiens OX=9606 GN=CAPRIN1 PE=1 SV=1;tr|G3V153|G3V153_HUMAN Caprin-1 OS=Homo sapiens OX=9606 GN=CAPRIN1 PE=1 SV=1,3,3,4.8,709
RAE1,1.6401972347,0.0153525379366397,1,P78406;E9PPG9;E9PQ57;B0QZ36;B0QZ37,P78406;E9PPG9;E9PQ57;B0QZ36,4;4;4;2;1,4;4;4;2;1,4;4;4;2;1,mRNA export factor,RAE1,sp|P78406|RAE1L_HUMAN mRNA export factor OS=Homo sapiens OX=9606 GN=RAE1 PE=1 SV=1;tr|E9PPG9|E9PPG9_HUMAN mRNA export factor OS=Homo sapiens OX=9606 GN=RAE1 PE=1 SV=1;tr|E9PQ57|E9PQ57_HUMAN mRNA export factor OS=Homo sapiens OX=9606 GN=RAE1 PE=1 SV=1;tr|B0,4,4,16.8,368
FAU,-1.3740001468,0.00265939762276023,1,P62861;E9PR30,P62861;E9PR30,2;2,2;2,2;2,40S ribosomal protein S30,FAU,sp|P62861|RS30_HUMAN 40S ribosomal protein S30 OS=Homo sapiens OX=9606 GN=FAU PE=1 SV=1;tr|E9PR30|E9PR30_HUMAN 40S ribosomal protein S30 OS=Homo sapiens OX=9606 GN=FAU PE=1 SV=1,2,2,18.6,59
NSFL1C,1.6147909054,0.0115193052488297,1,Q9UNZ2;F2Z2K0,Q9UNZ2;F2Z2K0,4;4,4;4,4;4,NSFL1 cofactor p47,NSFL1C,sp|Q9UNZ2|NSF1C_HUMAN NSFL1 cofactor p47 OS=Homo sapiens OX=9606 GN=NSFL1C PE=1 SV=2;tr|F2Z2K0|F2Z2K0_HUMAN NSFL1 cofactor p47 OS=Homo sapiens OX=9606 GN=NSFL1C PE=1 SV=1,4,4,17.8,370
ACP1,0.8908141341,0.029261155331587,0,P24666;F2Z2Q9;G5E9R5;D3YTI2,P24666;F2Z2Q9;G5E9R5;D3YTI2,3;3;3;2,3;3;3;2,3;3;3;2,Low molecular weight phosphotyrosine protein phosphatase,ACP1,sp|P24666|PPAC_HUMAN Low molecular weight phosphotyrosine protein phosphatase OS=Homo sapiens OX=9606 GN=ACP1 PE=1 SV=3;tr|F2Z2Q9|F2Z2Q9_HUMAN Low molecular weight phosphotyrosine protein phosphatase OS=Homo sapiens OX=9606 GN=ACP1 PE=1 SV=1;tr|G5E9R5|G5E9,3,3,21.5,158
PGAM5,3.4797992537,0.0127661996802191,1,Q96HS1;F5GXG4,Q96HS1;F5GXG4,4;4,4;4,4;4,"Serine/threonine-protein phosphatase PGAM5, mitochondrial",PGAM5,"sp|Q96HS1|PGAM5_HUMAN Serine/threonine-protein phosphatase PGAM5, mitochondrial OS=Homo sapiens OX=9606 GN=PGAM5 PE=1 SV=2;tr|F5GXG4|F5GXG4_HUMAN Serine/threonine-protein phosphatase PGAM5, mitochondrial OS=Homo sapiens OX=9606 GN=PGAM5 PE=1 SV=1",4,4,19.4,289
ALCAM,0.6258824002,0.0557498272567439,0,Q13740;F5GXJ9;H7C543,Q13740;F5GXJ9,7;7;3,7;7;3,7;7;3,CD166 antigen,ALCAM,sp|Q13740|CD166_HUMAN CD166 antigen OS=Homo sapiens OX=9606 GN=ALCAM PE=1 SV=2;tr|F5GXJ9|F5GXJ9_HUMAN CD166 antigen OS=Homo sapiens OX=9606 GN=ALCAM PE=1 SV=1,7,7,14.4,583
OTUB1,0.2541419292,0.296701095060444,0,Q96FW1;F5GYN4;J3KR44;F5H6Q1;F5GYJ8;F5H3F0,Q96FW1;F5GYN4;J3KR44;F5H6Q1;F5GYJ8;F5H3F0,6;6;6;5;5;4,6;6;6;5;5;4,6;6;6;5;5;4,Ubiquitin thioesterase OTUB1,OTUB1,sp|Q96FW1|OTUB1_HUMAN Ubiquitin thioesterase OTUB1 OS=Homo sapiens OX=9606 GN=OTUB1 PE=1 SV=2;tr|F5GYN4|F5GYN4_HUMAN Ubiquitin thioesterase OTUB1 OS=Homo sapiens OX=9606 GN=OTUB1 PE=1 SV=1;tr|J3KR44|J3KR44_HUMAN Ubiquitin thioesterase OS=Homo sapiens OX=96,6,6,26.2,271
SLC3A2,0.4131916166,0.112545125585342,0,P08195;F5GZS6;J3KPF3;H0YFS2;F5GZI0;F5H0E2;F5H867;H0YFX4;F5GZR9,P08195;F5GZS6;J3KPF3,17;17;17;7;5;4;3;2;1,17;17;17;7;5;4;3;2;1,17;17;17;7;5;4;3;2;1,4F2 cell-surface antigen heavy chain,SLC3A2,sp|P08195|4F2_HUMAN 4F2 cell-surface antigen heavy chain OS=Homo sapiens OX=9606 GN=SLC3A2 PE=1 SV=3;tr|F5GZS6|F5GZS6_HUMAN 4F2 cell-surface antigen heavy chain OS=Homo sapiens OX=9606 GN=SLC3A2 PE=1 SV=1;tr|J3KPF3|J3KPF3_HUMAN 4F2 cell-surface antigen hea,17,17,33.5,630
GPHN,0.9008346916,0.1859287797317,0,Q9NQX3;G3V582;F5H039;G3V4R0;G3V355;G3V4D2;H0YJ30,Q9NQX3;G3V582;F5H039;G3V4R0;G3V355,3;3;3;2;2;1;1,3;3;3;2;2;1;1,3;3;3;2;2;1;1,Gephyrin;Molybdopterin adenylyltransferase;Molybdopterin molybdenumtransferase,GPHN,sp|Q9NQX3|GEPH_HUMAN Gephyrin OS=Homo sapiens OX=9606 GN=GPHN PE=1 SV=1;tr|G3V582|G3V582_HUMAN Gephyrin OS=Homo sapiens OX=9606 GN=GPHN PE=1 SV=1;tr|F5H039|F5H039_HUMAN Molybdopterin molybdenumtransferase OS=Homo sapiens OX=9606 GN=GPHN PE=1 SV=1;tr|G3V4R0,3,3,4.6,736
NAP1L1,0.8021998763,0.0196293359516561,0,P55209;F8VY35;F5H4R6;H0YIV4;F8W0J6;F8W020;F8W118;F8VV59;H0YH88;H0YHC3;F8VUX1;B7Z9C2;F8VXI6;F8VRJ2;F8VVB5;B7Z4K9,P55209;F8VY35;F5H4R6;H0YIV4;F8W0J6;F8W020;F8W118;F8VV59;H0YH88;H0YHC3;F8VUX1;B7Z9C2;F8VXI6;F8VRJ2;F8VVB5,16;16;16;16;15;14;14;14;13;13;13;13;12;11;10;1,16;16;16;16;15;14;14;14;13;13;13;13;12;11;10;1,3;3;3;3;3;3;1;1;0;1;3;1;3;1;1;0,Nucleosome assembly protein 1-like 1,NAP1L1,sp|P55209|NP1L1_HUMAN Nucleosome assembly protein 1-like 1 OS=Homo sapiens OX=9606 GN=NAP1L1 PE=1 SV=1;tr|F8VY35|F8VY35_HUMAN Nucleosome assembly protein 1-like 1 (Fragment) OS=Homo sapiens OX=9606 GN=NAP1L1 PE=1 SV=1;tr|F5H4R6|F5H4R6_HUMAN Nucleosome asse,16,3,42.7,391
