Gene_names,SMU1_vs_BirA_logFC,SMU1_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_SMU1_N1,Peptides_SMU1_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_SMU1_N1,Razor___unique_peptides_SMU1_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_SMU1_N1,Unique_peptides_SMU1_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_SMU1_N1,Identification_type_SMU1_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_SMU1_N1,Ratio_H_L_SMU1_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_SMU1_N1,Ratio_H_L_normalized_SMU1_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____SMU1_N1,Ratio_H_L_variability_____SMU1_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_SMU1_N1,Ratio_H_L_count_SMU1_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_SMU1_N1,Ratio_H_L_iso_count_SMU1_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_SMU1_N1,Ratio_H_L_type_SMU1_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_SMU1_N1____,Sequence_coverage_SMU1_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_SMU1_N1,Intensity_L_SMU1_N1,Intensity_H_SMU1_N1,Intensity_SMU1_N2,Intensity_L_SMU1_N2,Intensity_H_SMU1_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_SMU1_N1,metacell_Intensity_L_SMU1_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
DNAJA1,0.585920107398763,0.0668821741594351,P31689,P31689,4,4,4,DnaJ homolog subfamily A member 1,sp|P31689|DNJA1_HUMAN DnaJ homolog subfamily A member 1 OS=Homo sapiens OX=9606 GN=DNAJA1 PE=1 SV=2,1,4,4,4,2,2,2,3,2,2,2,3,2,2,2,3,19.4,19.4,19.4,44.868,397,397,0.0,9.8449,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.85382,2.5668,0.83884,8,4,Leave out requantified,0.87206,0.83597,0.13168,0.19689,2.9169,2.2587,0.1457,0.20763,9.8585,8.1808,45.796,21.313,2,2,2,2,0,0,2,2,Median,Median,Median,Median,10.3,10.3,6.0,12.3,340330000,236830000,103510000,77740000,39802000,37938000,94214000,44250000,49965000,74680000,68042000,6638800,93700000,84734000,8965300,,,,1501,2302;6354;9111;14397,True;True;True;True,2946;8136;11616;17975;17976,6993;6994;18718;26771;26772;41264;41265;41266;41267;41268;41269,11773;11774;30590;30591;43499;43500;43501;67084;67085;67086;67087;67088;67089;67090;67091;67092;67093;67094,11774;30590;43499;67086,,,,,-1,protein_1502,quanti,quanti,quanti,quanti
UQCRC1,-1.12986201521985,0.00823347152407427,P31930,P31930,18,18,18,"Cytochrome b-c1 complex subunit 1, mitochondrial","sp|P31930|QCR1_HUMAN Cytochrome b-c1 complex subunit 1, mitochondrial OS=Homo sapiens OX=9606 GN=UQCRC1 PE=1 SV=3",1,18,18,18,11,13,10,11,11,13,10,11,11,13,10,11,44.8,44.8,44.8,52.645,480,480,0.0,201.24,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.2215,0.66289,13.815,42,22,Leave out requantified,0.20323,0.24994,0.11089,0.18529,0.67724,0.70247,0.12119,0.18298,15.471,17.375,57.701,87.733,11,13,9,9,2,4,8,8,Leave out requantified,Leave out requantified,Median,Median,34.2,40.0,24.2,33.8,3085600000,2528600000,556980000,809050000,653780000,155270000,1289700000,989000000,300670000,494650000,442830000,51829000,492210000,443000000,49211000,,,,1502,349;350;1926;5728;5945;5946;8178;10586;10944;10945;11045;11571;12373;12917;12918;13293;17095;17096,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,432;433;434;2460;7340;7341;7651;7652;7653;10467;13386;13810;13811;13812;13931;13932;14559;15560;16184;16185;16651;21344;21345,1043;1044;1045;1046;1047;1048;1049;5907;16950;16951;17647;17648;17649;17650;17651;24078;24079;30684;30685;30686;30687;31613;31614;31615;31616;31617;31878;31879;31880;31881;31882;33286;33287;35486;35487;36945;36946;36947;36948;36949;36950;38059;38060;38061;38062;49165;49166;49167,1812;1813;1814;1815;1816;1817;1818;1819;1820;1821;1822;1823;9988;27744;27745;28824;28825;28826;28827;39195;39196;49597;49598;49599;49600;49601;49602;49603;51022;51023;51024;51025;51026;51027;51028;51505;51506;51507;51508;51509;51510;51511;53845;53846;53847;53848;53849;53850;57315;57316;59680;59681;59682;59683;59684;59685;61535;61536;61537;61538;61539;61540;61541;80043;80044;80045;80046;80047,1812;1815;9988;27744;28824;28827;39196;49601;51025;51028;51506;53850;57315;59680;59683;61536;80043;80045,1219,,225,,-1,protein_1503,quanti,quanti,quanti,quanti
HIBADH,19.7821118495577,4.61795528979435e-06,P31937;H7BZL2,P31937;H7BZL2,2;1,2;1,2;1,"3-hydroxyisobutyrate dehydrogenase, mitochondrial","sp|P31937|3HIDH_HUMAN 3-hydroxyisobutyrate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=HIBADH PE=1 SV=2;tr|H7BZL2|H7BZL2_HUMAN 3-hydroxyisobutyrate dehydrogenase, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=HIBADH PE=1 SV=1",2,2,2,2,0,0,1,2,0,0,1,2,0,0,1,2,9.5,9.5,9.5,35.329,336,336;206,0.004894,1.9132,,,By MS/MS,By MS/MS,0.078778,0.092182,,1,1,Median,,,,0.078778,,,,0.092182,,,,,0,0,0,1,0,0,0,1,Median,Median,Median,Median,0.0,0.0,4.2,9.5,52757000,52281000,475800,0,0,0,0,0,0,13166000,13166000,0,39591000,39116000,475800,,,,1503,10457;13490,True;True,13225;16888,30337;38623;38624,49077;62474;62475,49077;62475,,,,,-1;-1,protein_1504,quanti,quanti,imputed MEC,imputed MEC
ATIC,-0.327909790340197,0.341397938451227,P31939;C9JLK0;H7C1S2;F8WEF0,P31939,27;8;7;4,27;8;7;4,27;8;7;4,Bifunctional purine biosynthesis protein PURH;Phosphoribosylaminoimidazolecarboxamide formyltransferase;IMP cyclohydrolase,sp|P31939|PUR9_HUMAN Bifunctional purine biosynthesis protein ATIC OS=Homo sapiens OX=9606 GN=ATIC PE=1 SV=3,4,27,27,27,19,20,18,12,19,20,18,12,19,20,18,12,60.3,60.3,60.3,64.615,592,592;170;231;84,0.0,87.436,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.34181,0.99568,17.87,72,40,Leave out requantified,0.28615,0.36662,0.15304,0.13057,1.0301,1.0233,0.17956,0.14705,29.926,12.332,89.448,103.66,19,20,19,14,4,4,18,14,Leave out requantified,Leave out requantified,Median,Median,45.1,49.0,39.7,22.1,4568100000,3579000000,989100000,1195700000,920280000,275450000,1266500000,888890000,377580000,1257800000,1054300000,203480000,848140000,715550000,132590000,,,,1504,560;561;1242;1464;2788;3180;3459;4347;5480;5890;6442;7975;8191;11187;11431;11484;12284;12951;13221;14466;14467;14486;14565;15257;15747;16433;17010,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,688;689;690;1600;1876;1877;3584;4072;4405;5476;6989;7580;8250;10203;10488;14099;14391;14392;14458;15444;16221;16554;18061;18062;18084;18085;18185;18186;19030;19673;19674;20525;20526;21239,1634;1635;1636;1637;1638;1639;1640;1641;1642;3846;4516;4517;4518;4519;8448;8449;8450;8451;9553;9554;10219;10220;12640;12641;16098;17493;17494;19027;23426;23427;23428;23429;24140;32253;32254;32255;32256;32904;32905;32906;32907;32908;33060;35189;37034;37812;37813;41464;41465;41466;41467;41468;41469;41518;41519;41520;41521;41522;41523;41747;41748;41749;41750;43710;43711;45278;45279;45280;47265;47266;47267;47268;47269;47270;48926;48927,2726;2727;2728;2729;2730;2731;2732;2733;2734;2735;2736;2737;2738;2739;2740;2741;2742;2743;2744;2745;2746;2747;6450;7662;7663;7664;7665;7666;7667;7668;14115;14116;14117;14118;14119;14120;14121;14122;14123;15812;15813;16802;16803;20773;26301;28601;28602;28603;28604;31196;38177;38178;38179;38180;39302;52080;52081;52082;52083;52084;52085;53198;53199;53200;53201;53202;53203;53204;53205;53206;53207;53208;53209;53210;53211;53212;53213;53473;56811;59835;61141;61142;61143;61144;61145;67415;67416;67417;67418;67419;67420;67421;67500;67501;67502;67503;67504;67505;67506;67507;67918;67919;67920;67921;67922;67923;67924;67925;71217;71218;71219;71220;73754;73755;73756;73757;73758;77052;77053;77054;77055;77056;77057;77058;79657;79658;79659,2736;2740;6450;7666;14119;15812;16802;20773;26301;28601;31196;38178;39302;52084;53209;53473;56811;59835;61141;67415;67421;67500;67919;71220;73754;77053;79658,,,,,-1;-1;-1;-1,protein_1505,quanti,quanti,quanti,quanti
HNRNPH3,0.591527445469886,0.167906943280389,P31942,P31942,12,11,11,Heterogeneous nuclear ribonucleoprotein H3,sp|P31942|HNRH3_HUMAN Heterogeneous nuclear ribonucleoprotein H3 OS=Homo sapiens OX=9606 GN=HNRNPH3 PE=1 SV=2,1,12,11,11,8,9,5,7,8,9,5,6,8,9,5,6,56.1,53.2,53.2,36.926,346,346,0.0,91.856,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.45243,1.2737,53.618,36,19,Leave out requantified,0.36392,0.46836,0.19879,0.19486,1.2592,1.2743,0.2083,0.20434,59.659,16.318,71.666,60.625,10,10,7,9,2,1,7,9,Leave out requantified,Leave out requantified,Median,Median,37.3,47.4,22.8,33.2,2352300000,1854800000,497450000,624490000,394610000,229880000,413000000,271220000,141780000,676510000,612510000,63994000,638250000,576460000,61797000,,,,1505,1789;2447;5030;5103;6272;9557;10332;10483;13740;15561;17057;17058,True;True;True;True;True;False;True;True;True;True;True;True,2278;2279;3140;6414;6520;6521;8036;12142;13081;13253;17176;17177;19408;21299;21300,5494;5495;5496;5497;5498;5499;5500;5501;7445;7446;7447;7448;14785;14786;15049;15050;15051;15052;15053;15054;15055;15056;15057;18485;27901;30006;30007;30398;39316;39317;39318;39319;44606;44607;44608;44609;49067;49068;49069;49070;49071;49072,9280;9281;9282;9283;9284;9285;9286;9287;9288;9289;9290;12570;12571;12572;12573;12574;12575;12576;24220;24221;24679;24680;24681;24682;24683;24684;24685;24686;24687;24688;24689;24690;24691;30195;45117;48483;48484;49171;63564;63565;63566;63567;63568;72633;72634;72635;72636;72637;79881;79882;79883;79884;79885;79886;79887;79888;79889;79890,9286;12572;24221;24682;30195;45117;48484;49171;63565;72635;79884;79888,,,,,-1,protein_1506,quanti,quanti,quanti,quanti
YWHAB,-1.18993856213461,0.00677931744592328,P31946,P31946,22,15,5,"14-3-3 protein beta/alpha;14-3-3 protein beta/alpha, N-terminally processed",sp|P31946|1433B_HUMAN 14-3-3 protein beta/alpha OS=Homo sapiens OX=9606 GN=YWHAB PE=1 SV=3,1,22,15,5,11,10,13,11,8,8,7,6,2,2,3,3,77.2,56.9,26.4,28.082,246,246,0.0,72.907,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.33115,0.95688,11.621,28,12,Leave out requantified,0.29281,0.34368,0.064891,0.074292,1.0361,0.96304,0.083998,0.1054,16.161,12.094,84.562,104.45,9,10,5,4,3,0,5,4,Leave out requantified,Leave out requantified,Median,Median,55.3,44.3,48.8,54.5,5536600000,4256400000,1280100000,1901000000,1264100000,636850000,2095300000,1518900000,576390000,853750000,818950000,34792000,686580000,654480000,32101000,,,,1506,957;2040;2041;2042;2673;2728;3268;7401;7957;8503;10581;10910;11388;11390;12208;14586;14587;15435;15694;17173;17203;17204,True;True;True;True;True;False;False;False;True;False;True;True;False;False;True;True;True;False;True;True;True;True,1209;1210;2611;2612;2613;3430;3498;3499;4174;9419;10182;10183;10869;13381;13773;14330;14331;14332;14336;14337;14338;15341;18212;18213;19253;19254;19592;21443;21477;21478;21479,2908;2909;2910;2911;6271;6272;6273;6274;6275;6276;6277;8110;8111;8112;8113;8257;8258;8259;8260;9762;21627;21628;23362;23363;23364;23365;23366;23367;23368;23369;23370;23371;23372;25035;30677;31535;32765;32766;32767;32768;32769;32770;32771;32772;32773;32774;32775;32776;32784;32785;32786;32787;32788;32789;32790;34977;41804;41805;41806;44210;44211;45069;45070;49361;49447;49448;49449;49450;49451,4899;4900;4901;4902;4903;4904;4905;10654;10655;10656;10657;10658;10659;10660;10661;10662;10663;10664;10665;10666;10667;10668;10669;10670;10671;10672;10673;10674;10675;10676;10677;10678;10679;13586;13587;13588;13589;13590;13814;13815;13816;13817;16120;35354;35355;38082;38083;38084;38085;38086;38087;38088;38089;38090;38091;38092;38093;38094;38095;38096;40730;49589;50907;50908;52929;52930;52931;52932;52933;52934;52935;52936;52937;52938;52939;52940;52941;52942;52943;52944;52945;52946;52947;52948;52949;52950;52951;52952;52953;52954;52955;52956;52957;52958;52959;52960;52961;52962;52979;52980;52981;52982;52983;52984;52985;52986;52987;52988;56479;68012;68013;68014;68015;68016;68017;72026;72027;72028;73396;73397;80310;80473;80474;80475;80476;80477;80478,4904;10654;10660;10672;13588;13816;16120;35355;38082;40730;49589;50907;52939;52981;56479;68016;68017;72028;73396;80310;80473;80476,112;114;115;1168;1175,,13;51;70;122;160,,-1,protein_1507,quanti,quanti,quanti,quanti
SFN,-1.17698325868474,0.00495775272330116,P31947,P31947,17,14,14,14-3-3 protein sigma,sp|P31947|1433S_HUMAN 14-3-3 protein sigma OS=Homo sapiens OX=9606 GN=SFN PE=1 SV=1,1,17,14,14,11,10,15,12,10,9,12,9,10,9,12,9,68.5,61.7,61.7,27.774,248,248,0.0,323.31,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.26548,0.81999,12.275,56,34,Leave out requantified,0.20219,0.30369,0.070355,0.059793,0.73335,0.85438,0.090317,0.074246,12.886,11.144,70.249,78.6,15,15,14,12,6,2,14,12,Leave out requantified,Leave out requantified,Median,Median,46.8,43.1,67.7,41.9,11778000000,9915800000,1862600000,3515100000,2889700000,625420000,4682500000,3587700000,1094800000,1699000000,1624600000,74416000,1881700000,1813700000,68004000,,,,1507,960;2669;2728;3267;4419;4420;7963;8502;11388;11391;12650;12651;15435;15989;15990;16892;17135,True;True;False;True;True;True;True;True;False;True;True;True;False;True;True;True;True,1214;3426;3498;3499;4173;5572;5573;5574;5575;10190;10191;10868;14330;14331;14332;14339;14340;14341;15873;15874;15875;15876;19253;19254;19984;19985;19986;19987;19988;21096;21400;21401,2922;2923;8105;8257;8258;8259;8260;9759;9760;9761;12833;12834;12835;12836;12837;12838;12839;12840;12841;23399;23400;23401;23402;23403;23404;23405;23406;25032;25033;25034;32765;32766;32767;32768;32769;32770;32771;32772;32773;32774;32775;32776;32791;32792;32793;32794;32795;32796;32797;32798;32799;36204;36205;36206;36207;36208;36209;36210;36211;36212;36213;36214;36215;36216;44210;44211;46028;46029;46030;46031;46032;46033;46034;46035;46036;46037;46038;46039;48611;48612;49283;49284;49285;49286,4924;4925;4926;13581;13814;13815;13816;13817;16116;16117;16118;16119;21095;21096;21097;21098;21099;21100;21101;21102;21103;21104;38143;38144;38145;38146;38147;38148;38149;38150;38151;38152;38153;38154;40721;40722;40723;40724;40725;40726;40727;40728;40729;52929;52930;52931;52932;52933;52934;52935;52936;52937;52938;52939;52940;52941;52942;52943;52944;52945;52946;52947;52948;52949;52950;52951;52952;52953;52954;52955;52956;52957;52958;52959;52960;52961;52962;52989;52990;52991;52992;52993;52994;52995;52996;52997;52998;52999;53000;53001;53002;53003;53004;53005;53006;58498;58499;58500;58501;58502;58503;58504;58505;58506;58507;58508;58509;58510;58511;58512;58513;58514;72026;72027;72028;75016;75017;75018;75019;75020;75021;75022;75023;75024;75025;75026;75027;75028;75029;75030;75031;79199;79200;79201;79202;80196;80197;80198;80199;80200;80201;80202,4926;13581;13816;16117;21098;21104;38145;40728;52939;52990;58498;58506;72028;75021;75024;79201;80202,1175;1220;1221;1222;1223;1224;1225;1226,,32;49;77;122;140;141;159;160,,-1,protein_1508,quanti,quanti,quanti,quanti
STIP1,0.485717359302679,0.112294177525688,P31948;F5H783;F5GXD8;H0YGI8,P31948;F5H783,30;16;11;6,30;16;11;6,30;16;11;6,Stress-induced-phosphoprotein 1,sp|P31948|STIP1_HUMAN Stress-induced-phosphoprotein 1 OS=Homo sapiens OX=9606 GN=STIP1 PE=1 SV=1;tr|F5H783|F5H783_HUMAN Stress-induced-phosphoprotein 1 OS=Homo sapiens OX=9606 GN=STIP1 PE=1 SV=1,4,30,30,30,12,15,21,25,12,15,21,25,12,15,21,25,52.7,52.7,52.7,62.639,543,543;236;138;137,0.0,232.31,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.29847,0.88042,44.765,88,63,Leave out requantified,0.25499,0.33168,0.12996,0.11967,0.86684,0.89421,0.15082,0.14023,34.256,33.641,54.963,70.963,15,18,21,34,5,6,20,32,Leave out requantified,Leave out requantified,Median,Median,31.5,38.7,43.3,49.0,10154000000,8569500000,1584300000,1850400000,1409200000,441200000,2413600000,1777100000,636500000,2572200000,2359500000,212700000,3317700000,3023800000,293920000,,,,1508,32;33;34;1045;1268;1343;1353;2689;2998;3136;3992;3993;6302;6857;7319;7320;7437;8139;8728;9224;10396;10397;14511;14512;14903;14904;15048;15049;17099;17100,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,34;35;36;37;38;1341;1637;1733;1734;1745;3452;3832;4016;5051;5052;8073;8074;8764;9310;9311;9312;9471;9472;10422;11133;11746;11747;13154;13155;13156;18120;18121;18122;18588;18589;18766;18767;18768;21349;21350;21351,87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;3217;3218;3219;3220;3221;3222;3950;3951;3952;3953;4181;4182;4183;4184;4185;4204;8157;8158;8989;8990;9417;9418;11687;11688;11689;18563;18564;18565;20189;20190;21392;21393;21394;21395;21396;21397;21398;21399;21400;21737;21738;21739;21740;23972;23973;23974;25653;27047;27048;27049;27050;30169;30170;30171;30172;30173;30174;30175;41596;41597;41598;41599;41600;41601;41602;42659;42660;42661;42662;42663;42664;43094;43095;43096;43097;43098;43099;43100;43101;43102;49175;49176;49177;49178,148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;5373;5374;5375;5376;5377;5378;5379;5380;5381;6625;6626;6627;6628;6629;6630;6631;6632;6633;6634;6635;6636;7061;7062;7063;7064;7065;7066;7067;7095;13662;13663;14926;14927;15614;15615;19172;19173;19174;19175;30313;30314;30315;32998;32999;35007;35008;35009;35010;35011;35012;35013;35014;35015;35016;35533;35534;35535;35536;35537;35538;35539;35540;39040;39041;39042;41725;43911;43912;43913;43914;43915;43916;43917;48766;48767;48768;48769;48770;48771;48772;48773;48774;48775;48776;48777;48778;48779;48780;67646;67647;67648;67649;67650;67651;67652;69374;69375;69376;69377;69378;69379;69380;69381;70166;70167;70168;70169;70170;70171;70172;70173;70174;70175;70176;70177;70178;70179;70180;70181;70182;80061;80062;80063;80064,154;160;168;5378;6633;7063;7095;13663;14926;15615;19174;19175;30315;32999;35007;35016;35538;39042;41725;43914;48769;48780;67647;67651;69374;69380;70167;70172;80061;80064,1227;1228;1229;1230;1231;1232;1233,,10;78;312;317;434;442;533,,-1;-1;-1;-1,protein_1509,quanti,quanti,quanti,quanti
S100A11,1.05305402824694,0.0526087091295123,P31949,P31949,7,7,7,"Protein S100-A11;Protein S100-A11, N-terminally processed",sp|P31949|S10AB_HUMAN Protein S100-A11 OS=Homo sapiens OX=9606 GN=S100A11 PE=1 SV=2,1,7,7,7,5,5,3,4,5,5,3,4,5,5,3,4,58.1,58.1,58.1,11.74,105,105,0.0,17.15,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.30759,0.94939,76.649,18,9,Leave out requantified,0.31762,0.39134,0.16821,0.13208,0.96822,1.0352,0.63014,0.25588,11.41,2.1009,95.504,26.625,5,5,5,3,1,2,4,2,Leave out requantified,Leave out requantified,Linear,Plateau,46.7,46.7,33.3,47.6,1564600000,1299400000,265240000,326580000,231680000,94903000,212210000,146400000,65813000,524370000,466190000,58189000,501460000,455120000,46340000,,,,1509,955;2221;7034;11537;14146;16827;16828,True;True;True;True;True;True;True,1207;2839;2840;8968;14516;17649;21014;21015;21016,2906;6769;6770;6771;6772;6773;20644;20645;33186;40449;40450;40451;48427;48428;48429;48430;48431;48432;48433;48434;48435,4897;11453;11454;11455;11456;11457;11458;33751;33752;33753;33754;53671;65506;65507;65508;65509;65510;78909;78910;78911;78912;78913;78914;78915;78916;78917;78918;78919;78920;78921;78922;78923;78924;78925;78926,4897;11457;33754;53671;65510;78914;78922,1234;1235,,3;27,,-1,protein_1510,quanti,quanti,quanti,quanti
PRDX2,-1.88182793099612,0.00553683606526805,P32119;A6NIW5,P32119,7;2,6;2,6;2,Peroxiredoxin-2,sp|P32119|PRDX2_HUMAN Peroxiredoxin-2 OS=Homo sapiens OX=9606 GN=PRDX2 PE=1 SV=5,2,7,6,6,7,7,5,6,6,6,4,5,6,6,4,5,36.4,30.8,30.8,21.892,198,198;136,0.0,49.912,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.39541,1.2607,20.383,25,9,Leave out requantified,0.3504,0.44558,0.45839,0.097364,1.2318,1.2231,0.51238,0.10686,36.51,10.759,,116.42,9,9,1,6,2,1,0,6,Leave out requantified,Leave out requantified,Median,Median,36.4,36.4,29.8,27.3,1934200000,1441900000,492390000,768830000,551750000,217080000,767530000,526470000,241060000,149020000,137290000,11730000,248860000,226340000,22520000,,,,1510,1774;4952;4953;7395;9618;12032;12428,True;True;True;True;True;False;True,2261;6309;6310;6311;6312;6313;6314;9413;12213;15114;15115;15617,5452;5453;5454;14539;14540;14541;14542;14543;14544;14545;14546;14547;14548;14549;14550;14551;14552;14553;21617;21618;21619;28050;28051;28052;34510;34511;34512;34513;34514;34515;34516;34517;34518;34519;34520;34521;35614;35615;35616;35617;35618;35619,9220;9221;9222;9223;9224;9225;23833;23834;23835;23836;23837;23838;23839;23840;23841;23842;23843;23844;23845;23846;23847;23848;23849;23850;23851;23852;23853;23854;23855;23856;35344;35345;45333;45334;45335;45336;45337;45338;45339;55788;55789;55790;55791;55792;55793;55794;55795;55796;55797;55798;55799;55800;55801;55802;55803;55804;55805;55806;55807;55808;55809;55810;55811;55812;55813;55814;55815;57497;57498;57499;57500;57501;57502;57503;57504;57505;57506;57507,9220;23834;23848;35345;45336;55799;57504,1236,,135,,-1;-1,protein_1511,quanti,quanti,quanti,quanti
PYCR1,-1.42177582883166,0.043894238429736,P32322;E2QRB3;J3QL24;J3KQ22;J3QLK9;J3QL32;J3KTA8;J3QKT3;J3QRZ0;J3QR88;J3QL23;J3QKT4;J3KSA9,P32322;E2QRB3;J3QL24;J3KQ22;J3QLK9;J3QL32,10;9;6;6;5;5;4;4;4;4;4;3;1,10;9;6;6;5;5;4;4;4;4;4;3;1,9;8;6;6;5;5;4;4;4;4;4;2;1,"Pyrroline-5-carboxylate reductase 1, mitochondrial;Pyrroline-5-carboxylate reductase","sp|P32322|P5CR1_HUMAN Pyrroline-5-carboxylate reductase 1, mitochondrial OS=Homo sapiens OX=9606 GN=PYCR1 PE=1 SV=2;tr|E2QRB3|E2QRB3_HUMAN Pyrroline-5-carboxylate reductase 1, isoform CRA_c OS=Homo sapiens OX=9606 GN=PYCR1 PE=1 SV=2;tr|J3QL24|J3QL24_HUMAN ",13,10,10,9,8,10,3,6,8,10,3,6,7,9,2,5,38.6,38.6,34.5,33.36,319,319;288;225;253;165;217;84;94;115;132;173;242;109,0.0,109.54,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.40804,1.2416,19.349,31,17,Leave out requantified,0.35915,0.52394,0.25186,0.16639,1.1836,1.4578,0.28618,0.18886,12.305,19.683,140.07,249.16,10,9,4,8,3,2,4,8,Leave out requantified,Leave out requantified,Median,Median,37.9,38.6,12.5,21.9,2071300000,1350300000,720940000,592160000,421090000,171060000,744850000,483710000,261140000,136910000,131150000,5755700,597370000,314380000,282990000,,,,1513,2258;3218;4605;6677;6678;8418;13279;13840;14364;14744,True;True;True;True;True;True;True;True;True;True,2883;4113;5838;5839;8550;8551;10766;16633;16634;17296;17936;18395,6863;6864;9636;9637;13471;13472;13473;13474;13475;19720;19721;19722;19723;19724;24784;24785;24786;24787;38017;38018;38019;38020;38021;38022;39578;39579;39580;39581;39582;39583;41172;41173;42195,11586;11587;15941;22196;22197;22198;22199;22200;22201;22202;22203;32302;32303;32304;32305;32306;32307;32308;40294;40295;40296;40297;40298;40299;40300;40301;40302;40303;40304;40305;40306;40307;40308;61467;61468;61469;61470;61471;61472;61473;61474;61475;61476;61477;61478;61479;61480;61481;64007;64008;64009;64010;64011;64012;64013;64014;64015;64016;64017;64018;64019;64020;64021;64022;64023;64024;64025;64026;66886;66887;66888;66889;66890;68590,11587;15941;22199;32304;32306;40302;61475;64016;66888;68590,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_1514,quanti,quanti,quanti,quanti
