Gene_names,KATNB1_vs_zBirA_logFC,KATNB1_vs_zBirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_KATNB1_N1,Peptides_KATNB1_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_KATNB1_N1,Razor___unique_peptides_KATNB1_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_KATNB1_N1,Unique_peptides_KATNB1_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_KATNB1_N1,Identification_type_KATNB1_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_KATNB1_N1,Ratio_H_L_KATNB1_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_KATNB1_N1,Ratio_H_L_normalized_KATNB1_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____KATNB1_N1,Ratio_H_L_variability_____KATNB1_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_KATNB1_N1,Ratio_H_L_count_KATNB1_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_KATNB1_N1,Ratio_H_L_iso_count_KATNB1_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_KATNB1_N1,Ratio_H_L_type_KATNB1_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_KATNB1_N1____,Sequence_coverage_KATNB1_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_KATNB1_N1,Intensity_L_KATNB1_N1,Intensity_H_KATNB1_N1,Intensity_KATNB1_N2,Intensity_L_KATNB1_N2,Intensity_H_KATNB1_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_KATNB1_N1,metacell_Intensity_L_KATNB1_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
MSH2,1.03817256098096,0.0328419877259729,P43246;A0A2R8YFH0;E9PHA6;A0A2R8Y6P0;A0A2R8YG02;A0A2R8Y7S8;A0A2R8Y713,P43246;A0A2R8YFH0;E9PHA6;A0A2R8Y6P0;A0A2R8YG02;A0A2R8Y7S8,12;10;10;10;10;8;1,12;10;10;10;10;8;1,12;10;10;10;10;8;1,DNA mismatch repair protein Msh2,sp|P43246|MSH2_HUMAN DNA mismatch repair protein Msh2 OS=Homo sapiens OX=9606 GN=MSH2 PE=1 SV=1;tr|A0A2R8YFH0|A0A2R8YFH0_HUMAN DNA mismatch repair protein OS=Homo sapiens OX=9606 GN=MSH2 PE=1 SV=1;tr|E9PHA6|E9PHA6_HUMAN DNA mismatch repair protein OS=Homo ,7,12,12,12,1,4,6,5,1,4,6,5,1,4,6,5,16.3,16.3,16.3,104.74,934,934;918;921;924;938;558;168,0.0,21.798,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.6304,0.97509,31.05,15,9,Leave out requantified,0.92713,0.4559,0.70781,0.61336,3.1969,1.1166,1.5561,0.95173,,25.606,22.503,37.08,1,3,6,5,1,1,4,3,Median,Plateau,Linear,Median,1.2,5.8,8.1,6.6,538270000,302610000,235660000,46606000,21471000,25135000,56346000,39530000,16815000,277720000,152980000,124740000,157610000,88632000,68974000,,,,1669,1382;4560;6828;7994;10165;10207;11226;11547;12213;14035;14941;14983,True;True;True;True;True;True;True;True;True;True;True;True,1477;4873;7321;8591;10936;10982;12048;12394;13095;15036;15986;16030,4037;12661;12662;19267;22734;29277;29405;32295;33160;33161;34960;39992;39993;42339;42453;42454,8412;26363;26364;26365;26366;40349;48011;61665;61949;61950;68042;69766;69767;69768;69769;69770;73372;83804;83805;88479;88729;88730,8412;26366;40349;48011;61665;61949;68042;69766;73372;83805;88479;88729,,,,,-1;-1;-1;-1;-1;-1;-1,protein_1670,quanti,quanti,quanti,quanti
GPD2,-1.11557422750462,0.0172931259583824,P43304;F5GYK7,P43304;F5GYK7,6;4,6;4,6;4,"Glycerol-3-phosphate dehydrogenase, mitochondrial;Glycerol-3-phosphate dehydrogenase","sp|P43304|GPDM_HUMAN Glycerol-3-phosphate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=GPD2 PE=1 SV=3;tr|F5GYK7|F5GYK7_HUMAN Glycerol-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GPD2 PE=1 SV=1",2,6,6,6,3,4,2,2,3,4,2,2,3,4,2,2,11.3,11.3,11.3,80.852,727,727;379,0.0,7.0616,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.28148,0.69205,44.565,11,4,Leave out requantified,0.23767,0.3965,0.40612,0.33998,0.82306,0.91834,0.68555,0.57367,41.268,55.396,12.699,2.0118,3,4,2,2,0,2,1,1,Leave out requantified,Median,Median,Median,6.6,6.2,2.8,3.4,313950000,221060000,92893000,85203000,65103000,20099000,78367000,51013000,27354000,89885000,61060000,28825000,60497000,43882000,16615000,,,,1670,1012;8873;12417;13179;19189;20944,True;True;True;True;True;True,1077;9531;13321;14125;20458;22352,2889;2890;25275;35539;37572;37573;54406;54407;54408;59484;59485,5988;5989;5990;53194;74612;78683;78684;114428;114429;114430;114431;114432;114433;125267;125268,5988;53194;74612;78684;114432;125268,,,,,-1;-1,protein_1671,quanti,quanti,quanti,quanti
MAGEA4,-0.85922634827071,0.01132009101985,P43358;C9JZJ5;C9J9C2;C9JK50;C9JIR1;P43361;P43363;P43362;O60732;O15480;A2A368;Q96M61;A8MXT2;Q3SYA6;A0A0A0MSA3,P43358,19;7;7;7;7;5;3;2;1;1;1;1;1;1;1,19;7;7;7;7;5;3;2;1;1;1;1;1;1;1,17;7;7;7;7;3;2;2;0;0;0;0;0;0;0,Melanoma-associated antigen 4,sp|P43358|MAGA4_HUMAN Melanoma-associated antigen 4 OS=Homo sapiens OX=9606 GN=MAGEA4 PE=1 SV=2,15,19,19,17,15,13,11,11,15,13,11,11,13,11,10,9,37.5,37.5,37.5,34.899,317,317;171;217;230;241;318;369;315;1142;346;324;343;336;266;356,0.0,67.266,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.61468,1.5639,12.021,54,5,Leave out requantified,0.49769,0.5474,0.79917,0.82703,1.6507,1.5354,1.4544,1.4928,18.419,13.945,12.513,12.178,15,14,12,13,1,2,1,1,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,34.7,30.9,26.5,25.2,10836000000,6551700000,4284800000,2240900000,1497700000,743220000,2523300000,1660400000,862900000,3278300000,1825300000,1453000000,2793900000,1568200000,1225700000,,,,1672,1096;1157;1158;2534;3418;3494;3495;3997;7524;9465;11378;12969;14995;18738;19439;19440;19986;19987;20870,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,1170;1236;1237;2725;3665;3743;3744;4270;8091;10172;12213;13905;16042;19981;20743;20744;21328;21329;22276;22277,3163;3164;3165;3166;3342;3343;3344;3345;3346;3347;3348;7466;7467;7468;9784;9785;9786;9979;9980;9981;9982;9983;9984;9985;9986;11246;11247;21403;21404;21405;21406;27064;27065;27066;27067;27068;32712;32713;32714;32715;37037;37038;42488;42489;42490;53119;53120;55250;55251;56749;56750;56751;56752;59281;59282;59283;59284;59285;59286,6604;6605;6606;6607;6608;6609;6610;6611;6612;6613;6980;6981;6982;6983;6984;6985;6986;6987;6988;6989;15846;15847;15848;15849;15850;20646;20647;20648;20649;20650;20989;20990;20991;20992;20993;20994;20995;20996;20997;20998;20999;23505;23506;23507;23508;23509;23510;45046;45047;45048;45049;45050;45051;57091;57092;57093;57094;57095;57096;57097;57098;57099;57100;57101;57102;57103;57104;57105;57106;68904;68905;68906;68907;68908;68909;68910;68911;68912;68913;68914;68915;68916;68917;68918;77638;77639;77640;77641;88795;88796;88797;88798;88799;88800;88801;111743;111744;111745;116322;116323;116324;116325;119564;119565;119566;119567;119568;124845;124846;124847;124848;124849;124850;124851;124852;124853;124854;124855;124856;124857;124858;124859;124860;124861;124862;124863;124864;124865;124866;124867;124868;124869;124870,6607;6984;6988;15846;20648;20992;20999;23507;45051;57094;68907;77641;88799;111745;116323;116325;119566;119568;124855,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_1673,quanti,quanti,quanti,quanti
RANBP1,0.00338689602920894,0.985570957552055,P43487;F6WQW2;C9JXG8;C9JJ34;C9JGV6;C9JDM3;C9JIC6,P43487;F6WQW2;C9JXG8;C9JJ34;C9JGV6,12;11;9;8;8;5;3,12;11;9;8;8;5;3,12;11;9;8;8;5;3,Ran-specific GTPase-activating protein,sp|P43487|RANG_HUMAN Ran-specific GTPase-activating protein OS=Homo sapiens OX=9606 GN=RANBP1 PE=1 SV=1;tr|F6WQW2|F6WQW2_HUMAN Ran-specific GTPase-activating protein OS=Homo sapiens OX=9606 GN=RANBP1 PE=1 SV=1;tr|C9JXG8|C9JXG8_HUMAN Ran-specific GTPase-act,7,12,12,12,5,7,8,8,5,7,8,8,5,7,8,8,71.1,71.1,71.1,23.31,201,201;278;145;163;204;165;53,0.0,56.7,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.4973,0.9552,31.479,35,4,Leave out requantified,0.3034,0.31524,0.53544,0.52633,1.0938,0.91211,0.95536,0.98457,35.745,37.936,20.564,13.413,7,8,10,10,2,1,0,1,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,36.8,43.3,60.7,60.7,6319100000,4181000000,2138100000,925810000,666840000,258980000,1087600000,748190000,339370000,2365900000,1500900000,865070000,1939800000,1265100000,674670000,,,,1673,2411;3283;4412;4413;4414;4505;4873;4874;7526;17771;17772;18536,True;True;True;True;True;True;True;True;True;True;True;True,2592;3522;4713;4714;4715;4813;5198;5199;8093;18966;18967;19769,7137;7138;7139;7140;7141;7142;9449;9450;12276;12277;12278;12279;12280;12281;12282;12283;12284;12523;13531;13532;13533;13534;13535;13536;13537;21408;21409;21410;21411;21412;21413;50346;50347;50348;52540,15186;15187;15188;15189;15190;15191;15192;15193;15194;15195;19944;19945;19946;19947;19948;19949;19950;19951;25581;25582;25583;25584;25585;25586;25587;25588;25589;25590;25591;25592;25593;25594;25595;26084;28129;28130;28131;28132;28133;28134;28135;28136;28137;28138;28139;28140;28141;28142;28143;28144;28145;28146;28147;45053;45054;45055;45056;45057;45058;45059;45060;45061;45062;45063;45064;45065;45066;45067;45068;45069;45070;45071;45072;105577;105578;105579;105580;105581;105582;105583;110485,15187;19945;25583;25591;25594;26084;28138;28139;45056;105578;105581;110485,,,,,-1;-1;-1;-1;-1;-1;-1,protein_1674,quanti,quanti,quanti,quanti
NAMPT,1.22516938956037,0.0078896525710995,P43490;A0A0C4DFS8;C9JF35;C9JG65,P43490;A0A0C4DFS8,21;14;2;2,21;14;2;2,21;14;2;2,Nicotinamide phosphoribosyltransferase,sp|P43490|NAMPT_HUMAN Nicotinamide phosphoribosyltransferase OS=Homo sapiens OX=9606 GN=NAMPT PE=1 SV=1;tr|A0A0C4DFS8|A0A0C4DFS8_HUMAN Nicotinamide phosphoribosyltransferase OS=Homo sapiens OX=9606 GN=NAMPT PE=1 SV=1,4,21,21,21,11,8,16,17,11,8,16,17,11,8,16,17,53.8,53.8,53.8,55.52,491,491;368;60;88,0.0,44.643,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.38159,0.73712,19.592,55,13,Leave out requantified,0.28054,0.25925,0.38269,0.41121,0.79685,0.67959,0.67998,0.74723,25.788,14.413,21.535,18.927,10,8,19,18,3,4,4,2,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,30.5,18.5,44.0,45.6,3286800000,2387000000,899820000,297040000,230030000,67004000,256140000,198040000,58107000,1553900000,1107000000,446920000,1179700000,851960000,327780000,,,,1674,2296;3071;3370;6657;6658;6827;6876;8989;11296;13184;13441;13523;16959;17198;17987;19272;19273;19442;20506;20835;21219,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,2474;3292;3615;7135;7136;7320;7373;9657;12126;14130;14418;14502;18106;18355;19192;20556;20557;20746;21894;22238;22640,6828;6829;6830;6831;6832;8839;8840;8841;9667;9668;18774;18775;18776;18777;19264;19265;19266;19399;19400;25595;25596;32507;32508;32509;32510;37585;38366;38367;38368;38369;38562;38563;47991;47992;47993;47994;48673;48674;48675;48676;48677;50942;50943;50944;54719;54720;54721;55253;55254;58278;58279;58280;58281;59196;59197;59198;60201;60202;60203;60204,14524;14525;14526;14527;14528;14529;14530;14531;14532;14533;14534;14535;14536;14537;14538;14539;18645;18646;18647;20390;20391;39322;39323;39324;39325;40342;40343;40344;40345;40346;40347;40348;40621;40622;40623;40624;40625;53917;53918;68523;68524;68525;68526;68527;68528;68529;78703;80330;80331;80332;80333;80334;80335;80336;80337;80746;80747;80748;80749;80750;100303;100304;100305;100306;100307;100308;100309;100310;101735;101736;101737;101738;101739;101740;101741;101742;106932;106933;115197;115198;115199;115200;116327;116328;122795;122796;122797;122798;122799;122800;124657;124658;124659;124660;126708;126709;126710;126711;126712;126713,14535;18646;20391;39324;39325;40347;40623;53917;68528;78703;80334;80749;100306;101736;106933;115199;115200;116328;122795;124658;126709,,,,,-1;-1;-1;-1,protein_1675,quanti,quanti,quanti,quanti
PSMC4,1.04757067134899,0.00851373631698642,P43686,P43686,18,18,18,26S protease regulatory subunit 6B,sp|P43686|PRS6B_HUMAN 26S proteasome regulatory subunit 6B OS=Homo sapiens OX=9606 GN=PSMC4 PE=1 SV=2,1,18,18,18,4,5,13,14,4,5,13,14,4,5,13,14,55.0,55.0,55.0,47.366,418,418,0.0,40.926,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.50502,0.93383,19.523,39,6,Leave out requantified,0.3343,0.31438,0.524,0.56035,1.196,0.75976,0.91925,0.95353,13.03,24.1,12.285,17.569,3,5,15,16,1,1,2,2,Plateau,Leave out requantified,Leave out requantified,Leave out requantified,9.1,10.8,39.2,45.2,2232200000,1479100000,753080000,158230000,118270000,39952000,240750000,178000000,62748000,1034800000,686550000,348220000,798450000,496280000,302170000,,,,1675,1723;3536;3610;3930;4040;4462;6789;8264;8627;9330;10801;11785;12796;15085;18347;20310;20311;21108,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,1854;3787;3864;4201;4316;4768;7278;8886;9271;10023;11598;12644;13720;16140;19564;21681;21682;22525,5107;5108;5109;5110;10074;10282;10283;11088;11089;11343;11344;12410;12411;19158;19159;23586;23587;23588;23589;24578;26626;30996;30997;30998;30999;33778;36572;36573;36574;36575;42712;42713;51962;51963;57704;57705;57706;57707;57708;59928,10863;10864;10865;21166;21602;21603;21604;21605;21606;23224;23225;23226;23227;23228;23674;23675;23676;25849;25850;25851;25852;25853;25854;25855;40140;40141;40142;49741;49742;49743;49744;49745;49746;51721;56158;65307;65308;65309;65310;65311;65312;65313;65314;65315;65316;70959;70960;76676;76677;76678;76679;76680;76681;76682;76683;89245;89246;109086;109087;109088;109089;109090;109091;109092;109093;109094;109095;109096;109097;109098;121573;121574;121575;121576;121577;121578;121579;121580;121581;126185,10864;21166;21602;23227;23676;25850;40142;49742;51721;56158;65310;70959;76680;89245;109091;121579;121580;126185,,,,,-1,protein_1676,quanti,quanti,quanti,quanti
TSFM,0.626893848028949,0.178335895093079,P43897;C9JG32;C9JT21;F8VPA7;F8VS27,P43897,3;1;1;1;1,3;1;1;1;1,3;1;1;1;1,"Elongation factor Ts, mitochondrial","sp|P43897|EFTS_HUMAN Elongation factor Ts, mitochondrial OS=Homo sapiens OX=9606 GN=TSFM PE=1 SV=2",5,3,3,3,1,1,2,2,1,1,2,2,1,1,2,2,21.2,21.2,21.2,35.39,325,325;140;168;200;230,0.016575,1.1657,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.5475,1.0087,25.44,8,0,Leave out requantified,0.26958,0.35931,0.81748,0.62031,0.83185,0.96545,1.3772,1.0998,0.0,,22.442,1.3086,2,1,3,2,0,0,0,0,Median,Median,Median,Median,8.3,8.3,12.9,12.9,471300000,312190000,159110000,57908000,48716000,9191400,46367000,30405000,15961000,201270000,130700000,70570000,165750000,102370000,63386000,,,,1676,5059;10633;19871,True;True;True,5389;11424;21210,14004;14005;14006;30510;30511;30512;56479;56480,29148;29149;29150;29151;29152;64194;119081;119082;119083;119084;119085;119086;119087;119088,29149;64194;119085,,,,,-1;-1;-1;-1;-1,protein_1677,quanti,quanti,quanti,quanti
CBX5,-1.20663877211831,0.0413250727700792,P45973;F8VNY3,P45973,6;1,5;1,5;1,Chromobox protein homolog 5,sp|P45973|CBX5_HUMAN Chromobox protein homolog 5 OS=Homo sapiens OX=9606 GN=CBX5 PE=1 SV=1,2,6,5,5,3,5,3,2,2,4,2,2,2,4,2,2,35.1,35.1,35.1,22.225,191,191;91,0.0,3.6995,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.92597,2.304,11.941,8,0,Leave out requantified,0.7845,0.95095,1.1927,1.1192,2.4471,2.4709,2.1632,2.0095,16.516,16.483,,,2,4,1,1,0,0,0,0,Median,Leave out requantified,Median,Median,18.8,33.0,26.7,20.4,350290000,193300000,156990000,63550000,33726000,29824000,142960000,72303000,70655000,91743000,56675000,35067000,52035000,30596000,21440000,,,,1677,2601;3511;5666;6149;20327;20615,False;True;True;True;True;True,2796;3761;6045;6591;21699;22010,7652;7653;7654;10021;15711;15712;17328;57754;57755;58626;58627;58628;58629,16208;16209;16210;16211;21053;32912;32913;32914;32915;36465;36466;121669;121670;121671;121672;121673;121674;121675;123511;123512;123513;123514;123515;123516;123517;123518;123519;123520;123521,16210;21053;32912;36466;121670;123516,,,,,-1;-1,protein_1678,quanti,quanti,quanti,quanti
USP5,-0.0239465843093072,0.926775038550791,P45974;F5H571,P45974,29;2,29;2,27;2,Ubiquitin carboxyl-terminal hydrolase 5,sp|P45974|UBP5_HUMAN Ubiquitin carboxyl-terminal hydrolase 5 OS=Homo sapiens OX=9606 GN=USP5 PE=1 SV=2,2,29,29,27,13,15,18,20,13,15,18,20,12,13,16,18,46.9,46.9,45.7,95.785,858,858;137,0.0,87.11,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.50182,0.95754,16.232,77,18,Leave out requantified,0.25561,0.38417,0.54093,0.53292,0.83784,0.9997,0.96463,0.96737,27.984,18.671,14.999,10.241,15,18,22,22,6,2,5,5,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,22.6,23.8,28.3,32.4,4194800000,2780300000,1414500000,492740000,366500000,126240000,860110000,603630000,256480000,1578500000,997240000,581270000,1263400000,812890000,450530000,,,,1678,483;484;1809;2842;3042;3233;4417;4418;5223;5893;6969;7721;7783;8901;9205;9602;10559;12656;13879;15468;15475;16767;17348;18694;18810;20224;20896;20897;21400,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,512;513;1945;3055;3262;3468;4720;4721;5558;6298;7477;8292;8361;9561;9888;10314;11349;13573;14870;16544;16551;17905;18515;19935;20054;21582;22303;22304;22838,1331;1332;1333;1334;1335;5362;5363;8277;8762;8763;9326;9327;12296;12297;12298;12299;12300;12301;12302;12303;14450;14451;14452;16401;19703;21884;21885;21886;21887;21888;21889;21890;21891;22068;22069;25358;25359;26252;26253;26254;26255;27402;27403;27404;27405;30320;30321;36201;36202;39545;39546;43814;43815;43829;43830;43831;43832;47450;47451;49098;49099;52989;53285;53286;57384;57385;57386;57387;59354;59355;59356;59357;59358;59359;59360;59361;60712,2795;2796;2797;2798;2799;2800;2801;2802;2803;2804;11375;11376;11377;11378;17568;17569;18517;18518;19704;25627;25628;25629;25630;25631;25632;25633;25634;25635;25636;25637;25638;25639;25640;25641;30061;30062;30063;30064;30065;30066;34452;41237;41238;45976;45977;45978;45979;45980;45981;45982;45983;45984;45985;45986;45987;45988;46406;46407;53360;53361;53362;53363;53364;53365;53366;53367;53368;55322;55323;55324;55325;55326;55327;55328;55329;55330;55331;57713;57714;57715;57716;57717;63873;63874;75976;75977;75978;75979;82792;82793;82794;82795;91503;91504;91505;91506;91507;91508;91509;91510;91511;91533;91534;91535;91536;91537;91538;91539;91540;99167;99168;99169;99170;102593;102594;111457;112083;112084;112085;120872;120873;120874;120875;120876;120877;125013;125014;125015;125016;125017;125018;125019;125020;125021;125022;125023;125024;125025;125026;125027;125028;125029;127964;127965,2796;2804;11375;17569;18517;19704;25631;25641;30063;34452;41238;45984;46406;53368;55323;57717;63874;75977;82794;91508;91534;99168;102593;111457;112083;120876;125022;125025;127964,,,,,-1;-1,protein_1679,quanti,quanti,quanti,quanti
MKI67,18.326361737045,2.55987417728647e-07,P46013,P46013,2,2,2,Antigen KI-67,sp|P46013|KI67_HUMAN Proliferation marker protein Ki-67 OS=Homo sapiens OX=9606 GN=MKI67 PE=1 SV=2,1,2,2,2,0,0,1,2,0,0,1,2,0,0,1,2,1.4,1.4,1.4,358.69,3256,3256,0.00091491,2.0272,,,By matching,By MS/MS,2.4539,4.0989,1.9311,3,1,Median,,,2.4292,2.5149,,,4.0546,4.1539,,,,1.8855,0,0,1,2,0,0,0,1,Median,Median,Median,Median,0.0,0.0,0.7,1.4,84878000,23994000,60883000,0,0,0,0,0,0,42966000,15077000,27889000,41911000,8916900,32994000,,,,1680,10181;19110,True;True,10956;20371,29345;54159;54160,61829;113883,61829;113883,,,,,-1,protein_1681,quanti,quanti,imputed MEC,imputed MEC
RANGAP1,0.628803177472605,0.0930483735580024,P46060;H0Y4Q3;B0QYT5;B0QYT4;B0QYT6,P46060,33;16;5;5;3,33;16;5;5;3,33;16;5;5;3,Ran GTPase-activating protein 1,sp|P46060|RAGP1_HUMAN Ran GTPase-activating protein 1 OS=Homo sapiens OX=9606 GN=RANGAP1 PE=1 SV=1,5,33,33,33,21,19,21,23,21,19,21,23,21,19,21,23,63.4,63.4,63.4,63.541,587,587;253;100;133;37,0.0,130.07,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.70273,1.5069,27.236,93,13,Leave out requantified,0.49169,0.50367,0.88224,0.87356,1.627,1.308,1.6166,1.6005,37.385,34.682,13.697,17.257,23,20,24,26,5,0,4,4,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,44.5,46.2,48.0,49.1,9685300000,5806300000,3879000000,1064800000,648090000,416760000,1243500000,804690000,438830000,3695900000,2054500000,1641400000,3681000000,2299000000,1382000000,,,,1681,622;910;1168;1886;2543;2653;3952;5507;5508;7279;7280;8095;8096;10262;10940;11395;11550;12695;14131;14979;16153;16154;16752;16753;16758;16866;17874;18107;18108;19206;19252;19253;20101,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,657;966;967;1249;2024;2735;2851;4224;5870;5871;7821;7822;8708;8709;11037;11751;12230;12397;13614;15135;16026;17265;17266;17890;17891;17896;18009;19074;19314;19315;20476;20534;20535;21447,1707;1708;1709;1710;2609;2610;2611;3371;3372;3373;3374;3375;5582;5583;7483;7484;7778;11142;11143;11144;15270;15271;15272;15273;15274;20668;20669;20670;20671;20672;23096;23097;23098;23099;23100;23101;23102;29506;31446;31447;31448;31449;31450;31451;32760;32761;33164;36292;36293;36294;36295;36296;36297;40260;40261;40262;40263;42444;42445;45743;45744;45745;45746;45747;45748;47414;47415;47416;47417;47418;47419;47429;47430;47743;47744;50628;51247;51248;51249;51250;51251;51252;51253;54447;54448;54449;54662;54663;54664;54665;54666;57051;57052;57053;57054;57055,3500;3501;3502;3503;3504;3505;3506;3507;3508;3509;3510;5383;5384;5385;5386;5387;5388;5389;5390;5391;5392;5393;5394;5395;7048;7049;7050;7051;7052;7053;7054;7055;7056;7057;11816;11817;11818;11819;15874;16437;23315;23316;23317;23318;31918;31919;31920;31921;31922;31923;43480;43481;43482;43483;43484;43485;43486;43487;43488;43489;48748;48749;48750;48751;48752;48753;48754;48755;48756;48757;48758;48759;48760;48761;48762;62123;66304;66305;66306;66307;66308;66309;66310;66311;66312;66313;66314;66315;66316;66317;66318;66319;66320;68995;69773;69774;69775;76127;76128;76129;76130;76131;76132;76133;76134;76135;76136;76137;76138;76139;76140;76141;76142;76143;84345;84346;84347;84348;84349;84350;84351;84352;84353;84354;84355;84356;84357;84358;84359;84360;88708;88709;88710;95683;95684;95685;95686;95687;95688;99097;99098;99099;99100;99101;99102;99103;99104;99105;99106;99107;99108;99122;99123;99752;99753;99754;99755;99756;106207;107507;107508;107509;107510;107511;107512;107513;107514;107515;107516;107517;107518;107519;107520;107521;107522;114513;114514;114515;114516;114517;114518;114519;114520;114521;115081;115082;115083;115084;115085;115086;115087;115088;115089;120152;120153;120154;120155;120156;120157;120158;120159;120160;120161;120162,3501;5387;7050;11816;15874;16437;23317;31919;31920;43480;43484;48751;48754;62123;66308;68995;69774;76141;84346;88708;95683;95688;99098;99107;99123;99753;106207;107510;107520;114516;115084;115089;120159,,,,,-1;-1;-1;-1;-1,protein_1682,quanti,quanti,quanti,quanti
