KATNB1_vs_zCtl,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
CTNNB1,0.0692481076,0.589606859363463,0,P35222;A0A2R8Y804;A0A2R8Y543;A0A2R8YCH5;A0A2R8Y7Z0;A0A2R8Y5A3;A0A2R8Y750;A0A2R8Y5Z1;B4DGU4;A0A2R8Y5C3;A0A2R8Y6G0;P14923;A0A2R8YG06;A0A2R8Y815,P35222;A0A2R8Y804;A0A2R8Y543;A0A2R8YCH5;A0A2R8Y7Z0;A0A2R8Y5A3;A0A2R8Y750;A0A2R8Y5Z1;B4DGU4;A0A2R8Y5C3,7;7;7;7;7;7;6;6;6;5;2;1;1;1,7;7;7;7;7;7;6;6;6;5;2;1;1;1,7;7;7;7;7;7;6;6;6;5;2;1;1;1,Catenin beta-1,CTNNB1,sp|P35222|CTNB1_HUMAN Catenin beta-1 OS=Homo sapiens OX=9606 GN=CTNNB1 PE=1 SV=1;tr|A0A2R8Y804|A0A2R8Y804_HUMAN Catenin beta-1 OS=Homo sapiens OX=9606 GN=CTNNB1 PE=1 SV=1;tr|A0A2R8Y543|A0A2R8Y543_HUMAN Catenin beta-1 OS=Homo sapiens OX=9606 GN=CTNNB1 PE=1 ,7,7,12.2,781
POLR1C,0.4048799651,0.00846017109996245,0,O15160;A0A2R8YEZ4;A0A2R8Y5D3;A0A2R8Y8D6;E7EQB9;H0Y723,O15160;A0A2R8YEZ4;A0A2R8Y5D3;A0A2R8Y8D6;E7EQB9;H0Y723,5;5;5;4;4;3,5;5;5;4;4;3,2;2;2;2;2;1,DNA-directed RNA polymerases I and III subunit RPAC1,POLR1C,sp|O15160|RPAC1_HUMAN DNA-directed RNA polymerases I and III subunit RPAC1 OS=Homo sapiens OX=9606 GN=POLR1C PE=1 SV=1;tr|A0A2R8YEZ4|A0A2R8YEZ4_HUMAN DNA-directed RNA polymerases I and III subunit RPAC1 OS=Homo sapiens OX=9606 GN=POLR1C PE=1 SV=1;tr|A0A2R8,5,2,16.8,346
TPM4,0.5178752545,0.00557342684655584,0,P67936;A0A2R8YGX3;A0A2R8Y5V9;A0A2R8YH90;A0A2R8YEU4;A0A2R8YE05;K7ENT6;A0A2R8YHD2;A0A590UJB9;A0A590UK79,P67936;A0A2R8YGX3;A0A2R8Y5V9;A0A2R8YH90;A0A2R8YEU4;A0A2R8YE05;K7ENT6;A0A2R8YHD2,19;19;19;12;11;11;11;11;7;7,11;11;11;4;3;3;3;3;7;7,8;8;8;1;0;0;0;0;7;7,Tropomyosin alpha-4 chain,TPM4,sp|P67936|TPM4_HUMAN Tropomyosin alpha-4 chain OS=Homo sapiens OX=9606 GN=TPM4 PE=1 SV=3;tr|A0A2R8YGX3|A0A2R8YGX3_HUMAN Tropomyosin alpha-4 chain OS=Homo sapiens OX=9606 GN=TPM4 PE=1 SV=1;tr|A0A2R8Y5V9|A0A2R8Y5V9_HUMAN Tropomyosin alpha-4 chain OS=Homo sap,19,8,44,248
RPS14,0.1741806703,0.0900321089811651,0,P62263;A0A2R8Y811;E5RH77,P62263;A0A2R8Y811;E5RH77,11;11;6,11;11;6,11;11;6,40S ribosomal protein S14,RPS14,sp|P62263|RS14_HUMAN 40S ribosomal protein S14 OS=Homo sapiens OX=9606 GN=RPS14 PE=1 SV=3;tr|A0A2R8Y811|A0A2R8Y811_HUMAN 40S ribosomal protein S14 (Fragment) OS=Homo sapiens OX=9606 GN=RPS14 PE=1 SV=1;tr|E5RH77|E5RH77_HUMAN 40S ribosomal protein S14 OS=Hom,11,11,45.7,151
RPS24,0.4909248042,0.00363952119808969,0,P62847;E7ETK0;A0A2R8Y849;A0A2R8YD14;A0A2R8Y8A0,P62847;E7ETK0;A0A2R8Y849;A0A2R8YD14;A0A2R8Y8A0,11;11;11;11;6,11;11;11;11;6,11;11;11;11;6,40S ribosomal protein S24,RPS24,sp|P62847|RS24_HUMAN 40S ribosomal protein S24 OS=Homo sapiens OX=9606 GN=RPS24 PE=1 SV=1;tr|E7ETK0|E7ETK0_HUMAN 40S ribosomal protein S24 OS=Homo sapiens OX=9606 GN=RPS24 PE=1 SV=1;tr|A0A2R8Y849|A0A2R8Y849_HUMAN 40S ribosomal protein S24 OS=Homo sapiens O,11,11,50.4,133
SMARCE1,-0.0681013301,0.634468987352998,0,Q969G3;A0A2R8Y855;J3QR61;A0A2R8Y765;J3QKS7;A0A2R8Y7U4;A0A2U3TZQ7;A0A2R8Y7I9;A0A2R8Y4T4;A0A2R8YES3;B4DGM3;A0A2R8YDQ4;J3QL66;J3KT85;A0A2R8YD78;J3QKX6,Q969G3;A0A2R8Y855;J3QR61;A0A2R8Y765;J3QKS7;A0A2R8Y7U4;A0A2U3TZQ7;A0A2R8Y7I9;A0A2R8Y4T4;A0A2R8YES3;B4DGM3,4;4;3;3;3;3;3;3;3;3;3;1;1;1;1;1,4;4;3;3;3;3;3;3;3;3;3;1;1;1;1;1,4;4;3;3;3;3;3;3;3;3;3;1;1;1;1;1,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1,SMARCE1,sp|Q969G3|SMCE1_HUMAN SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1 OS=Homo sapiens OX=9606 GN=SMARCE1 PE=1 SV=2;tr|A0A2R8Y855|A0A2R8Y855_HUMAN SWI/SNF-related matrix-associated actin-dependent regulator of c,4,4,19.7,411
PFKM,-0.0019350104,0.981714786667679,0,P08237;F8VZI0;A0A2R8Y891;F8VX13;F8VZQ1;F8VP00;F8VSF7;F8VTQ3;F8VW30;F8VUB8;F8VYK8;F8VVE3,P08237;F8VZI0;A0A2R8Y891,10;10;10;3;3;3;2;2;2;2;2;2,9;9;9;3;3;3;2;2;2;2;2;2,9;9;9;3;3;3;2;2;2;2;2;2,"ATP-dependent 6-phosphofructokinase, muscle type",PFKM,"sp|P08237|PFKAM_HUMAN ATP-dependent 6-phosphofructokinase, muscle type OS=Homo sapiens OX=9606 GN=PFKM PE=1 SV=2;tr|F8VZI0|F8VZI0_HUMAN ATP-dependent 6-phosphofructokinase, muscle type OS=Homo sapiens OX=9606 GN=PFKM PE=1 SV=10;tr|A0A2R8Y891|A0A2R8Y891_HUM",10,9,17.2,780
HSD17B4,-0.8734364693,0.002796142613762,0,P51659;A0A2R8YD50;E7ER27;E7EWE5;G5E9S2;E7ET17;A0A2R8YDT8;A0A2R8Y7L2;A0A2R8YF45;E7EPL9;A0A2R8Y7W2;A0A2R8YEG2,P51659;A0A2R8YD50;E7ER27;E7EWE5;G5E9S2;E7ET17;A0A2R8YDT8;A0A2R8Y7L2,14;14;12;11;8;8;7;7;6;4;3;2,14;14;12;11;8;8;7;7;6;4;3;2,14;14;12;11;8;8;7;7;6;4;3;2,Peroxisomal multifunctional enzyme type 2;(3R)-hydroxyacyl-CoA dehydrogenase;Enoyl-CoA hydratase 2,HSD17B4,sp|P51659|DHB4_HUMAN Peroxisomal multifunctional enzyme type 2 OS=Homo sapiens OX=9606 GN=HSD17B4 PE=1 SV=3;tr|A0A2R8YD50|A0A2R8YD50_HUMAN Peroxisomal multifunctional enzyme type 2 OS=Homo sapiens OX=9606 GN=HSD17B4 PE=1 SV=1;tr|E7ER27|E7ER27_HUMAN Peroxis,14,14,30.6,736
CSNK2A1;CSNK2A3,-0.1186982161,0.303375931960759,0,P68400;E7EU96;A0A2R8YD58;A0A2R8YF43;Q8NEV1;A0A2R8Y5A0;A0A2R8YDP2;A0A2R8YFU2;A0A2R8Y4D6;A0A2R8Y4H0;V9GYA2;A0A2R8YDY7;A0A087WY74;A0A2R8YEW1;A0A2R8Y3W6;A0A2R8Y797;A0A2R8YCK2;A0A2R8YF47;V9GY80;A0A2R8YEL7;A0A2R8Y7T1,P68400;E7EU96;A0A2R8YD58;A0A2R8YF43;Q8NEV1;A0A2R8Y5A0;A0A2R8YDP2;A0A2R8YFU2;A0A2R8Y4D6;A0A2R8Y4H0;V9GYA2,10;10;10;10;9;9;7;7;6;6;5;4;3;3;2;2;2;2;2;2;2,10;10;10;10;9;9;7;7;6;6;5;4;3;3;2;2;2;2;2;2;2,10;10;10;10;9;9;7;7;6;6;5;4;3;3;2;2;2;2;2;2;2,Casein kinase II subunit alpha;Casein kinase II subunit alpha 3,CSNK2A1;CSNK2A3,sp|P68400|CSK21_HUMAN Casein kinase II subunit alpha OS=Homo sapiens OX=9606 GN=CSNK2A1 PE=1 SV=1;tr|E7EU96|E7EU96_HUMAN Casein kinase II subunit alpha OS=Homo sapiens OX=9606 GN=CSNK2A1 PE=1 SV=1;tr|A0A2R8YD58|A0A2R8YD58_HUMAN Casein kinase II subunit alp,10,10,41.7,391
RPL15,0.2135408377,0.0656808403713326,0,P61313;A0A2R8YEM3;E7EQV9;E7ENU7;E7EX53;A0A2R8Y738,P61313;A0A2R8YEM3;E7EQV9;E7ENU7;E7EX53;A0A2R8Y738,13;13;13;11;8;8,13;13;13;11;8;8,13;13;13;11;8;8,60S ribosomal protein L15;Ribosomal protein L15,RPL15,sp|P61313|RL15_HUMAN 60S ribosomal protein L15 OS=Homo sapiens OX=9606 GN=RPL15 PE=1 SV=2;tr|A0A2R8YEM3|A0A2R8YEM3_HUMAN Ribosomal protein L15 (Fragment) OS=Homo sapiens OX=9606 GN=RPL15 PE=1 SV=1;tr|E7EQV9|E7EQV9_HUMAN Ribosomal protein L15 (Fragment) OS=,13,13,44.6,204
SEC23B,-0.2102768311,0.0594550066102411,0,Q15437;A0A2R8YFH5;Q5QPE2;A0A2R8Y633;A0A2R8Y7S7;Q5QPE1;A0A2R8YF30,Q15437;A0A2R8YFH5;Q5QPE2,13;13;8;4;4;4;2,13;13;8;4;4;4;2,10;10;5;2;2;4;1,Protein transport protein Sec23B,SEC23B,sp|Q15437|SC23B_HUMAN Protein transport protein Sec23B OS=Homo sapiens OX=9606 GN=SEC23B PE=1 SV=2;tr|A0A2R8YFH5|A0A2R8YFH5_HUMAN Protein transport protein SEC23 OS=Homo sapiens OX=9606 GN=SEC23B PE=1 SV=1;tr|Q5QPE2|Q5QPE2_HUMAN Protein transport protein S,13,10,25.2,767
TPP1,-1.5475554903,9.57317649531091e-05,1,O14773;A0A2R8YGD1;A0A2R8Y7U1;A0A2R8YD45;A0A2R8Y7I4;A0A2R8YD72;A0A2R8YDY1,O14773;A0A2R8YGD1;A0A2R8Y7U1;A0A2R8YD45,6;6;5;5;2;1;1,6;6;5;5;2;1;1,6;6;5;5;2;1;1,Tripeptidyl-peptidase 1,TPP1,sp|O14773|TPP1_HUMAN Tripeptidyl-peptidase 1 OS=Homo sapiens OX=9606 GN=TPP1 PE=1 SV=2;tr|A0A2R8YGD1|A0A2R8YGD1_HUMAN Tripeptidyl-peptidase 1 OS=Homo sapiens OX=9606 GN=TPP1 PE=1 SV=1;tr|A0A2R8Y7U1|A0A2R8Y7U1_HUMAN Tripeptidyl-peptidase 1 (Fragment) OS=Hom,6,6,16.7,563
EEF1A2,0.0207221555,0.93145833388938,0,Q05639;A0A2U3TZH3;A0A2R8Y488;A0A2R8Y660;A0A2R8YDN5,Q05639;A0A2U3TZH3,32;32;13;11;8,14;14;3;3;3,14;14;3;3;3,Elongation factor 1-alpha 2,EEF1A2,sp|Q05639|EF1A2_HUMAN Elongation factor 1-alpha 2 OS=Homo sapiens OX=9606 GN=EEF1A2 PE=1 SV=1;tr|A0A2U3TZH3|A0A2U3TZH3_HUMAN Elongation factor 1-alpha OS=Homo sapiens OX=9606 GN=EEF1A2 PE=1 SV=1,32,14,69.5,463
CD59,-0.0602608741,0.490876819614956,0,P13987;E9PNW4;A0A2U3TZL5;H0YET2,P13987;E9PNW4;A0A2U3TZL5,5;5;5;2,5;5;5;2,5;5;5;2,CD59 glycoprotein,CD59,sp|P13987|CD59_HUMAN CD59 glycoprotein OS=Homo sapiens OX=9606 GN=CD59 PE=1 SV=1;tr|E9PNW4|E9PNW4_HUMAN UPAR/Ly6 domain-containing protein OS=Homo sapiens OX=9606 PE=1 SV=1;tr|A0A2U3TZL5|A0A2U3TZL5_HUMAN CD59 glycoprotein (Fragment) OS=Homo sapiens OX=9606,5,5,28.1,128
NDUFA6,-0.1721830652,0.282464358598555,0,P56556;A0A2Y9D025;R4GN43,P56556;A0A2Y9D025;R4GN43,3;3;2,3;3;2,3;3;2,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6,NDUFA6,sp|P56556|NDUA6_HUMAN NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6 OS=Homo sapiens OX=9606 GN=NDUFA6 PE=1 SV=4;tr|A0A2Y9D025|A0A2Y9D025_HUMAN NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6 OS=Homo sapiens OX=9606 GN=NDUFA6 PE=,3,3,27.3,128
MTHFD1,-0.1088781246,0.269070831452392,0,P11586;V9GYY3;A0A384N5Y3;F5H2F4;V9GZ78;A0A494C1T2,P11586;V9GYY3;A0A384N5Y3;F5H2F4;V9GZ78;A0A494C1T2,59;59;59;59;51;38,59;59;59;59;51;38,58;58;58;58;50;37,"C-1-tetrahydrofolate synthase, cytoplasmic;Methylenetetrahydrofolate dehydrogenase;Methenyltetrahydrofolate cyclohydrolase;Formyltetrahydrofolate synthetase;C-1-tetrahydrofolate synthase, cytoplasmic, N-terminally processed",MTHFD1,"sp|P11586|C1TC_HUMAN C-1-tetrahydrofolate synthase, cytoplasmic OS=Homo sapiens OX=9606 GN=MTHFD1 PE=1 SV=3;tr|V9GYY3|V9GYY3_HUMAN C-1-tetrahydrofolate synthase, cytoplasmic OS=Homo sapiens OX=9606 GN=MTHFD1 PE=1 SV=2;tr|A0A384N5Y3|A0A384N5Y3_HUMAN C-1-tet",59,58,63.6,935
CTPS1,1.1577299103,0.00141693877439615,1,P17812;A0A3B3IRI2;A0A3B3IRQ8;A0A3B3ITF6;B4E1E0;A0A3B3ITB8;A0A3B3ISY3;A0A3B3ITH9;Q9NRF8,P17812;A0A3B3IRI2;A0A3B3IRQ8;A0A3B3ITF6;B4E1E0;A0A3B3ITB8,32;32;26;26;25;20;7;6;3,32;32;26;26;25;20;7;6;3,32;32;26;26;25;20;7;6;3,CTP synthase 1;CTP synthase,CTPS1,sp|P17812|PYRG1_HUMAN CTP synthase 1 OS=Homo sapiens OX=9606 GN=CTPS1 PE=1 SV=2;tr|A0A3B3IRI2|A0A3B3IRI2_HUMAN CTP synthase OS=Homo sapiens OX=9606 GN=CTPS1 PE=1 SV=1;tr|A0A3B3IRQ8|A0A3B3IRQ8_HUMAN CTP synthase OS=Homo sapiens OX=9606 GN=CTPS1 PE=1 SV=1;tr,32,32,60.1,591
IDE,0.4299988201,0.0506536077999195,0,P14735;A0A3B3ISG5,P14735;A0A3B3ISG5,6;6,6;6,6;6,Insulin-degrading enzyme,IDE,sp|P14735|IDE_HUMAN Insulin-degrading enzyme OS=Homo sapiens OX=9606 GN=IDE PE=1 SV=4;tr|A0A3B3ISG5|A0A3B3ISG5_HUMAN Insulin-degrading enzyme OS=Homo sapiens OX=9606 GN=IDE PE=1 SV=1,6,6,7.7,1019
NDUFA9,0.3265521993,0.0303564971228663,0,Q16795;A0A3B3ISG8;H3BRM9;F5H0J3,Q16795;A0A3B3ISG8,5;5;1;1,5;5;1;1,5;5;1;1,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial",NDUFA9,"sp|Q16795|NDUA9_HUMAN NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFA9 PE=1 SV=2;tr|A0A3B3ISG8|A0A3B3ISG8_HUMAN Ricin B-type lectin domain-containing protein OS=Homo sapiens OX=9606 PE=1 SV=1",5,5,16.2,377
PPP1R12A,-0.1041406689,0.505105547050939,0,O14974;H0YIS4;H0YHI8;A0A3B3ISH4;F8VZN8,O14974;H0YIS4;H0YHI8;A0A3B3ISH4;F8VZN8,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1,Protein phosphatase 1 regulatory subunit 12A,PPP1R12A,sp|O14974|MYPT1_HUMAN Protein phosphatase 1 regulatory subunit 12A OS=Homo sapiens OX=9606 GN=PPP1R12A PE=1 SV=1;tr|H0YIS4|H0YIS4_HUMAN Protein phosphatase 1 regulatory subunit 12A (Fragment) OS=Homo sapiens OX=9606 GN=PPP1R12A PE=1 SV=1;tr|H0YHI8|H0YHI8_H,1,1,1,1030
EIF2B5,0.0298876551,0.784745240955484,0,Q13144;A0A3B3ISX3;A0A3B3IUB1;A0A3B3IUF2;A0A3B3ISM8;A0A3B3ITG6;A0A3B3ISV1;A0A3B3ITQ2;C9JRD9;A0A3B3IT53;A0A3B3IS56;A0A3B3IRP4,Q13144;A0A3B3ISX3;A0A3B3IUB1;A0A3B3IUF2;A0A3B3ISM8;A0A3B3ITG6;A0A3B3ISV1;A0A3B3ITQ2,4;4;4;3;3;3;2;2;1;1;1;1,4;4;4;3;3;3;2;2;1;1;1;1,4;4;4;3;3;3;2;2;1;1;1;1,Translation initiation factor eIF-2B subunit epsilon,EIF2B5,sp|Q13144|EI2BE_HUMAN Translation initiation factor eIF-2B subunit epsilon OS=Homo sapiens OX=9606 GN=EIF2B5 PE=1 SV=3;tr|A0A3B3ISX3|A0A3B3ISX3_HUMAN Translation initiation factor eIF-2B subunit epsilon OS=Homo sapiens OX=9606 GN=EIF2B5 PE=1 SV=1;tr|A0A3B3,4,4,10.4,721
NUP98,-0.8451155266,0.00887641801135062,0,P52948;A0A3B3ITD8;H0YEN4;H7C3P6,P52948;A0A3B3ITD8;H0YEN4;H7C3P6,2;2;1;1,2;2;1;1,2;2;1;1,Nuclear pore complex protein Nup98-Nup96;Nuclear pore complex protein Nup98;Nuclear pore complex protein Nup96,NUP98,sp|P52948|NUP98_HUMAN Nuclear pore complex protein Nup98-Nup96 OS=Homo sapiens OX=9606 GN=NUP98 PE=1 SV=4;tr|A0A3B3ITD8|A0A3B3ITD8_HUMAN Nuclear pore complex protein Nup98-Nup96 OS=Homo sapiens OX=9606 GN=NUP98 PE=1 SV=1;tr|H0YEN4|H0YEN4_HUMAN Nuclear pore,2,2,1.3,1817
RPL29,-0.0154547138,0.916050706331137,0,P47914;A0A3B3ITT5,P47914;A0A3B3ITT5,4;4,4;4,4;4,60S ribosomal protein L29,RPL29,sp|P47914|RL29_HUMAN 60S ribosomal protein L29 OS=Homo sapiens OX=9606 GN=RPL29 PE=1 SV=2;tr|A0A3B3ITT5|A0A3B3ITT5_HUMAN 60S ribosomal protein L29 OS=Homo sapiens OX=9606 GN=RPL29 PE=1 SV=1,4,4,22.6,159
ABCD3,-0.2770600365,0.381168782476307,0,P28288;A0A3B3ITW3,P28288;A0A3B3ITW3,2;2,2;2,2;2,ATP-binding cassette sub-family D member 3,ABCD3,sp|P28288|ABCD3_HUMAN ATP-binding cassette sub-family D member 3 OS=Homo sapiens OX=9606 GN=ABCD3 PE=1 SV=1;tr|A0A3B3ITW3|A0A3B3ITW3_HUMAN ATP-binding cassette sub-family D member 3 OS=Homo sapiens OX=9606 GN=ABCD3 PE=1 SV=2,2,2,4.2,659
THRAP3,-0.3444236403,0.012575190975415,0,Q9Y2W1;A0A3B3ITZ9,Q9Y2W1;A0A3B3ITZ9,13;13,13;13,13;13,Thyroid hormone receptor-associated protein 3,THRAP3,sp|Q9Y2W1|TR150_HUMAN Thyroid hormone receptor-associated protein 3 OS=Homo sapiens OX=9606 GN=THRAP3 PE=1 SV=2;tr|A0A3B3ITZ9|A0A3B3ITZ9_HUMAN Thyroid hormone receptor-associated protein 3 OS=Homo sapiens OX=9606 GN=THRAP3 PE=1 SV=1,13,13,19.6,955
AMDHD2,-1.6372527789,4.98345215089037e-05,1,Q9Y303;A0A3B3IU33;H3BSD5;H3BTZ6;H3BSV9;H3BQ15;H3BT49;H3BTE3,Q9Y303;A0A3B3IU33;H3BSD5;H3BTZ6;H3BSV9,6;6;3;3;3;2;2;1,6;6;3;3;3;2;2;1,6;6;3;3;3;2;2;1,Putative N-acetylglucosamine-6-phosphate deacetylase,AMDHD2,sp|Q9Y303|NAGA_HUMAN N-acetylglucosamine-6-phosphate deacetylase OS=Homo sapiens OX=9606 GN=AMDHD2 PE=1 SV=2;tr|A0A3B3IU33|A0A3B3IU33_HUMAN N-acetylglucosamine-6-phosphate deacetylase OS=Homo sapiens OX=9606 GN=AMDHD2 PE=1 SV=1;tr|H3BSD5|H3BSD5_HUMAN N-ace,6,6,20.5,409
MCM4,-0.1948170198,0.163782822272005,0,P33991;A0A3B3IU45;A0A3B3IT92;A0A3B3ITP6;A0A3B3IS57;E5RG31;Q9UJA3;A0A494C100,P33991;A0A3B3IU45;A0A3B3IT92;A0A3B3ITP6;A0A3B3IS57;E5RG31,29;29;28;25;23;21;1;1,29;29;28;25;23;21;1;1,23;23;22;19;17;15;1;1,DNA replication licensing factor MCM4,MCM4,sp|P33991|MCM4_HUMAN DNA replication licensing factor MCM4 OS=Homo sapiens OX=9606 GN=MCM4 PE=1 SV=5;tr|A0A3B3IU45|A0A3B3IU45_HUMAN DNA helicase OS=Homo sapiens OX=9606 GN=MCM4 PE=1 SV=1;tr|A0A3B3IT92|A0A3B3IT92_HUMAN DNA helicase OS=Homo sapiens OX=9606 G,29,23,42.9,863
NHP2L1,-0.0693961182,0.692494786327395,0,A0A3B3IUA2;P55769;B1AHD1;A0A3B3IRU2;A0A3B3ISH1;A0A3B3ISK4,A0A3B3IUA2;P55769;B1AHD1,9;8;8;3;1;1,9;8;8;3;1;1,9;8;8;3;1;1,"NHP2-like protein 1;NHP2-like protein 1, N-terminally processed",NHP2L1,tr|A0A3B3IUA2|A0A3B3IUA2_HUMAN Ribonucloprotein OS=Homo sapiens OX=9606 GN=SNU13 PE=1 SV=1;sp|P55769|NH2L1_HUMAN NHP2-like protein 1 OS=Homo sapiens OX=9606 GN=SNU13 PE=1 SV=3;tr|B1AHD1|B1AHD1_HUMAN Ribonucloprotein OS=Homo sapiens OX=9606 GN=SNU13 PE=1 SV,9,9,26.8,272
GLA,-0.7582995714,0.000813671914147679,0,P06280;A0A3B3IUC4;A0A669KAY7;A0A669KB83;A0A3B3IRU3,P06280;A0A3B3IUC4;A0A669KAY7;A0A669KB83;A0A3B3IRU3,4;4;2;2;2,4;4;2;2;2,2;2;0;0;0,Alpha-galactosidase A,GLA,sp|P06280|AGAL_HUMAN Alpha-galactosidase A OS=Homo sapiens OX=9606 GN=GLA PE=1 SV=1;tr|A0A3B3IUC4|A0A3B3IUC4_HUMAN Alpha-galactosidase OS=Homo sapiens OX=9606 GN=GLA PE=1 SV=1;tr|A0A669KAY7|A0A669KAY7_HUMAN Alpha-galactosidase A (Fragment) OS=Homo sapiens ,4,2,11,429
C11orf98,0.1204650991,0.309476031955899,0,E9PRG8;E9PLD3;A0A494BXY3,E9PRG8;E9PLD3;A0A494BXY3,2;2;2,2;2;2,2;2;2,Uncharacterized protein C11orf98,C11orf98,sp|E9PRG8|CK098_HUMAN Uncharacterized protein C11orf98 OS=Homo sapiens OX=9606 GN=C11orf98 PE=4 SV=2;tr|E9PLD3|E9PLD3_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 PE=4 SV=1;tr|A0A494BXY3|A0A494BXY3_HUMAN Uncharacterized protein C11orf98 OS=Homo sa,2,2,12.2,123
DEK,-0.134131268,0.172394299786502,0,P35659;H0Y993;A0A494C028;H0Y8X0;A0A494C198;B4DFG0;D6R9L5;D6RDA2,P35659;H0Y993;A0A494C028;H0Y8X0;A0A494C198;B4DFG0,8;8;8;6;5;5;3;2,8;8;8;6;5;5;3;2,8;8;8;6;5;5;3;2,Protein DEK,DEK,"sp|P35659|DEK_HUMAN Protein DEK OS=Homo sapiens OX=9606 GN=DEK PE=1 SV=1;tr|H0Y993|H0Y993_HUMAN DEK oncogene (DNA binding), isoform CRA_b OS=Homo sapiens OX=9606 GN=DEK PE=1 SV=2;tr|A0A494C028|A0A494C028_HUMAN Protein DEK OS=Homo sapiens OX=9606 GN=DEK PE=",8,8,24.3,375
SUCLG1,-0.5488552156,0.0030730174734969,0,P53597;A0A494C0D1;H7C233,P53597;A0A494C0D1,6;6;1,6;6;1,6;6;1,"Succinyl-CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial",SUCLG1,"sp|P53597|SUCA_HUMAN Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=SUCLG1 PE=1 SV=4;tr|A0A494C0D1|A0A494C0D1_HUMAN Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial OS=Homo sapiens OX=960",6,6,18.5,346
EBP,0.2354044296,0.242483561076653,0,Q15125;C9J719;C9JJ78;A0A494C0F3,Q15125;C9J719;C9JJ78;A0A494C0F3,1;1;1;1,1;1;1;1,1;1;1;1,"3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase",EBP,"sp|Q15125|EBP_HUMAN 3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase OS=Homo sapiens OX=9606 GN=EBP PE=1 SV=3;tr|C9J719|C9J719_HUMAN 3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase (Fragment) OS=Homo sapiens OX=9606 GN=EBP PE=1 SV=8;tr|C9JJ78|C9JJ78_HUM",1,1,7,230
CLUH,0.1828475198,0.140592604672049,0,O75153;K7EIG1;I3L2B0;A0A494C0R8;I3L318;I3L4B5,O75153;K7EIG1;I3L2B0;A0A494C0R8,11;11;11;11;2;1,11;11;11;11;2;1,11;11;11;11;2;1,Clustered mitochondria protein homolog,CLUH,sp|O75153|CLU_HUMAN Clustered mitochondria protein homolog OS=Homo sapiens OX=9606 GN=CLUH PE=1 SV=2;tr|K7EIG1|K7EIG1_HUMAN Clustered mitochondria protein homolog (Fragment) OS=Homo sapiens OX=9606 GN=CLUH PE=1 SV=2;tr|I3L2B0|I3L2B0_HUMAN Clustered mitocho,11,11,10.7,1309
NOP56,0.0206027156,0.863228497630784,0,O00567;A0A494C128;H0Y653;H0YDU4;Q5JXT2,O00567;A0A494C128;H0Y653;H0YDU4,16;16;9;9;6,16;16;9;9;6,16;16;9;9;6,Nucleolar protein 56,NOP56,sp|O00567|NOP56_HUMAN Nucleolar protein 56 OS=Homo sapiens OX=9606 GN=NOP56 PE=1 SV=4;tr|A0A494C128|A0A494C128_HUMAN Nucleolar protein 56 OS=Homo sapiens OX=9606 GN=NOP56 PE=1 SV=1;tr|H0Y653|H0Y653_HUMAN Nucleolar protein 56 (Fragment) OS=Homo sapiens OX=9,16,16,28.8,594
FKBP2,-0.5733852787,0.00482734918471052,0,P26885;A0A494C1N0,P26885;A0A494C1N0,2;2,2;2,2;2,Peptidyl-prolyl cis-trans isomerase FKBP2,FKBP2,sp|P26885|FKBP2_HUMAN Peptidyl-prolyl cis-trans isomerase FKBP2 OS=Homo sapiens OX=9606 GN=FKBP2 PE=1 SV=2;tr|A0A494C1N0|A0A494C1N0_HUMAN Peptidylprolyl isomerase OS=Homo sapiens OX=9606 GN=FKBP2 PE=1 SV=1,2,2,9.2,142
PREP,-0.7563111367,0.00677698223805881,0,P48147;A0A499FJL1,P48147;A0A499FJL1,3;3,3;3,3;3,Prolyl endopeptidase,PREP,sp|P48147|PPCE_HUMAN Prolyl endopeptidase OS=Homo sapiens OX=9606 GN=PREP PE=1 SV=2;tr|A0A499FJL1|A0A499FJL1_HUMAN Prolyl endopeptidase OS=Homo sapiens OX=9606 GN=PREP PE=1 SV=1,3,3,6.2,710
