DCAF11_vs_BirA,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
EEF1A2,0.2549193133,0.253567746574796,0,Q05639;A0A2U3TZH3;A0A2R8Y488;A0A2R8Y660;A0A2R8YDN5,Q05639;A0A2U3TZH3,32;32;14;12;9,14;14;3;3;3,14;14;3;3;3,Elongation factor 1-alpha 2,EEF1A2,sp|Q05639|EF1A2_HUMAN Elongation factor 1-alpha 2 OS=Homo sapiens OX=9606 GN=EEF1A2 PE=1 SV=1;tr|A0A2U3TZH3|A0A2U3TZH3_HUMAN Elongation factor 1-alpha OS=Homo sapiens OX=9606 GN=EEF1A2 PE=1 SV=1,32,14,62,463
CD59,-0.0812635449,0.501132743987534,0,P13987;E9PNW4;A0A2U3TZL5;H0YET2,P13987;E9PNW4;A0A2U3TZL5,5;5;5;2,5;5;5;2,5;5;5;2,CD59 glycoprotein,CD59,sp|P13987|CD59_HUMAN CD59 glycoprotein OS=Homo sapiens OX=9606 GN=CD59 PE=1 SV=1;tr|E9PNW4|E9PNW4_HUMAN UPAR/Ly6 domain-containing protein OS=Homo sapiens OX=9606 PE=1 SV=1;tr|A0A2U3TZL5|A0A2U3TZL5_HUMAN CD59 glycoprotein (Fragment) OS=Homo sapiens OX=9606,5,5,28.1,128
NDUFA6,-0.2121614275,0.150423268819467,0,P56556;R4GN43;A0A2Y9D025,P56556;R4GN43;A0A2Y9D025,1;1;1,1;1;1,1;1;1,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6,NDUFA6,sp|P56556|NDUA6_HUMAN NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6 OS=Homo sapiens OX=9606 GN=NDUFA6 PE=1 SV=4;tr|R4GN43|R4GN43_HUMAN NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6 OS=Homo sapiens OX=9606 GN=NDUFA6 PE=1 SV=1;t,1,1,6.2,128
MTHFD1,0.0105286233,0.915145365580462,0,P11586;V9GYY3;A0A384N5Y3;F5H2F4;V9GZ78;A0A494C1T2,P11586;V9GYY3;A0A384N5Y3;F5H2F4;V9GZ78;A0A494C1T2,52;52;52;52;47;35,52;52;52;52;47;35,51;51;51;51;46;34,"C-1-tetrahydrofolate synthase, cytoplasmic;Methylenetetrahydrofolate dehydrogenase;Methenyltetrahydrofolate cyclohydrolase;Formyltetrahydrofolate synthetase;C-1-tetrahydrofolate synthase, cytoplasmic, N-terminally processed",MTHFD1,"sp|P11586|C1TC_HUMAN C-1-tetrahydrofolate synthase, cytoplasmic OS=Homo sapiens OX=9606 GN=MTHFD1 PE=1 SV=3;tr|V9GYY3|V9GYY3_HUMAN C-1-tetrahydrofolate synthase, cytoplasmic OS=Homo sapiens OX=9606 GN=MTHFD1 PE=1 SV=2;tr|A0A384N5Y3|A0A384N5Y3_HUMAN C-1-tet",52,51,54.5,935
CTPS1,1.0203116854,0.00255591949851987,1,P17812;A0A3B3IRI2;A0A3B3IRQ8;A0A3B3ITF6;B4E1E0;A0A3B3ITB8;A0A3B3ITH9;A0A3B3ISY3;Q9NRF8,P17812;A0A3B3IRI2;A0A3B3IRQ8;A0A3B3ITF6;B4E1E0;A0A3B3ITB8,25;25;20;20;18;15;6;4;2,25;25;20;20;18;15;6;4;2,25;25;20;20;18;15;6;4;2,CTP synthase 1;CTP synthase,CTPS1,sp|P17812|PYRG1_HUMAN CTP synthase 1 OS=Homo sapiens OX=9606 GN=CTPS1 PE=1 SV=2;tr|A0A3B3IRI2|A0A3B3IRI2_HUMAN CTP synthase OS=Homo sapiens OX=9606 GN=CTPS1 PE=1 SV=1;tr|A0A3B3IRQ8|A0A3B3IRQ8_HUMAN CTP synthase OS=Homo sapiens OX=9606 GN=CTPS1 PE=1 SV=1;tr,25,25,54,591
HEBP1,-0.5905147381,0.0270615529165023,0,Q9NRV9;A0A3B3IRV5;H0YG71;F5GWX2,Q9NRV9;A0A3B3IRV5,3;3;1;1,3;3;1;1,3;3;1;1,Heme-binding protein 1,HEBP1,sp|Q9NRV9|HEBP1_HUMAN Heme-binding protein 1 OS=Homo sapiens OX=9606 GN=HEBP1 PE=1 SV=1;tr|A0A3B3IRV5|A0A3B3IRV5_HUMAN Heme-binding protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=HEBP1 PE=1 SV=1,3,3,18,189
MOGS,-0.3130305708,0.0700653686305827,0,A0A3B3IRW2;Q13724;A0A3B3IRK6;A0A3B3IS52,A0A3B3IRW2;Q13724;A0A3B3IRK6,6;5;5;2,6;5;5;2,6;5;5;2,Mannosyl-oligosaccharide glucosidase,MOGS,tr|A0A3B3IRW2|A0A3B3IRW2_HUMAN Mannosyl-oligosaccharide glucosidase OS=Homo sapiens OX=9606 GN=MOGS PE=1 SV=1;sp|Q13724|MOGS_HUMAN Mannosyl-oligosaccharide glucosidase OS=Homo sapiens OX=9606 GN=MOGS PE=1 SV=5;tr|A0A3B3IRK6|A0A3B3IRK6_HUMAN Mannosyl-oligos,6,6,16.5,562
TCOF1,0.1360739635,0.461406023073972,0,Q13428;A0A3B3IS06;E7ETY2;H0Y8Y7;A0A2R8Y857;H0YA99,Q13428;A0A3B3IS06;E7ETY2;H0Y8Y7,9;9;9;7;2;1,9;9;9;7;2;1,9;9;9;7;2;1,Treacle protein,TCOF1,sp|Q13428|TCOF_HUMAN Treacle protein OS=Homo sapiens OX=9606 GN=TCOF1 PE=1 SV=3;tr|A0A3B3IS06|A0A3B3IS06_HUMAN Treacle protein (Fragment) OS=Homo sapiens OX=9606 GN=TCOF1 PE=1 SV=1;tr|E7ETY2|E7ETY2_HUMAN Treacle protein OS=Homo sapiens OX=9606 GN=TCOF1 PE=,9,9,8.6,1488
NDUFA9,0.3900628081,0.013973544618254,0,Q16795;A0A3B3ISG8;F5GY40,Q16795;A0A3B3ISG8,5;5;1,5;5;1,5;5;1,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial",NDUFA9,"sp|Q16795|NDUA9_HUMAN NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFA9 PE=1 SV=2;tr|A0A3B3ISG8|A0A3B3ISG8_HUMAN Ricin B-type lectin domain-containing protein OS=Homo sapiens OX=9606 PE=1 SV=1",5,5,17.5,377
PPP1R12A,-0.0369093995,0.801234876902558,0,O14974;H0YIS4;H0YHI8;A0A3B3ISH4;F8VZN8,O14974;H0YIS4;H0YHI8;A0A3B3ISH4;F8VZN8,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1,Protein phosphatase 1 regulatory subunit 12A,PPP1R12A,sp|O14974|MYPT1_HUMAN Protein phosphatase 1 regulatory subunit 12A OS=Homo sapiens OX=9606 GN=PPP1R12A PE=1 SV=1;tr|H0YIS4|H0YIS4_HUMAN Protein phosphatase 1 regulatory subunit 12A (Fragment) OS=Homo sapiens OX=9606 GN=PPP1R12A PE=1 SV=1;tr|H0YHI8|H0YHI8_H,1,1,1,1030
EIF2B5,0.0621381197,0.525547972464757,0,Q13144;A0A3B3ISX3;A0A3B3IUB1;A0A3B3IUF2;A0A3B3ISM8;A0A3B3ITG6;A0A3B3ISV1;A0A3B3ITQ2;C9JRD9;A0A3B3IT53;A0A3B3IS56;A0A3B3IRP4,Q13144;A0A3B3ISX3;A0A3B3IUB1;A0A3B3IUF2;A0A3B3ISM8;A0A3B3ITG6;A0A3B3ISV1;A0A3B3ITQ2,4;4;4;3;3;3;2;2;1;1;1;1,4;4;4;3;3;3;2;2;1;1;1;1,4;4;4;3;3;3;2;2;1;1;1;1,Translation initiation factor eIF-2B subunit epsilon,EIF2B5,sp|Q13144|EI2BE_HUMAN Translation initiation factor eIF-2B subunit epsilon OS=Homo sapiens OX=9606 GN=EIF2B5 PE=1 SV=3;tr|A0A3B3ISX3|A0A3B3ISX3_HUMAN Translation initiation factor eIF-2B subunit epsilon OS=Homo sapiens OX=9606 GN=EIF2B5 PE=1 SV=1;tr|A0A3B3,4,4,10.4,721
MCM4,-0.3369068284,0.061363229620788,0,P33991;A0A3B3IU45;A0A3B3IT92;A0A3B3ITP6;A0A3B3IS57;E5RG31;A0A3B3IRR8;Q9UJA3;A0A494C100,P33991;A0A3B3IU45;A0A3B3IT92;A0A3B3ITP6;A0A3B3IS57;E5RG31,24;24;24;19;19;17;6;1;1,24;24;24;19;19;17;6;1;1,24;24;24;19;19;17;6;1;1,DNA replication licensing factor MCM4,MCM4,sp|P33991|MCM4_HUMAN DNA replication licensing factor MCM4 OS=Homo sapiens OX=9606 GN=MCM4 PE=1 SV=5;tr|A0A3B3IU45|A0A3B3IU45_HUMAN DNA helicase OS=Homo sapiens OX=9606 GN=MCM4 PE=1 SV=1;tr|A0A3B3IT92|A0A3B3IT92_HUMAN DNA helicase OS=Homo sapiens OX=9606 G,24,24,37.8,863
NUP98,0.0825399294,0.406230724698431,0,P52948;A0A3B3ITD8;H0YDA1;H7C3P6,P52948;A0A3B3ITD8;H0YDA1;H7C3P6,2;2;1;1,2;2;1;1,2;2;1;1,Nuclear pore complex protein Nup98-Nup96;Nuclear pore complex protein Nup98;Nuclear pore complex protein Nup96,NUP98,sp|P52948|NUP98_HUMAN Nuclear pore complex protein Nup98-Nup96 OS=Homo sapiens OX=9606 GN=NUP98 PE=1 SV=4;tr|A0A3B3ITD8|A0A3B3ITD8_HUMAN Nuclear pore complex protein Nup98-Nup96 OS=Homo sapiens OX=9606 GN=NUP98 PE=1 SV=1;tr|H0YDA1|H0YDA1_HUMAN Nuclear pore,2,2,1.2,1817
HNRNPL,-0.3922868009,0.0139712714132901,0,P14866;M0QXS5;A0A3B3ITJ4;B4DVF8;M0R1W6;M0QYL7,P14866;M0QXS5;A0A3B3ITJ4,14;14;14;2;2;1,14;14;14;2;2;1,7;7;7;2;2;1,Heterogeneous nuclear ribonucleoprotein L,HNRNPL,sp|P14866|HNRPL_HUMAN Heterogeneous nuclear ribonucleoprotein L OS=Homo sapiens OX=9606 GN=HNRNPL PE=1 SV=2;tr|M0QXS5|M0QXS5_HUMAN Heterogeneous nuclear ribonucleoprotein L (Fragment) OS=Homo sapiens OX=9606 GN=HNRNPL PE=1 SV=1;tr|A0A3B3ITJ4|A0A3B3ITJ4_HUM,14,7,28.7,589
RPL29,0.0969403244,0.519198024879153,0,P47914;A0A3B3ITT5,P47914;A0A3B3ITT5,3;3,3;3,3;3,60S ribosomal protein L29,RPL29,sp|P47914|RL29_HUMAN 60S ribosomal protein L29 OS=Homo sapiens OX=9606 GN=RPL29 PE=1 SV=2;tr|A0A3B3ITT5|A0A3B3ITT5_HUMAN 60S ribosomal protein L29 OS=Homo sapiens OX=9606 GN=RPL29 PE=1 SV=1,3,3,17,159
ABCD3,-0.1204031437,0.415925730701345,0,P28288;A0A3B3ITW3,P28288;A0A3B3ITW3,1;1,1;1,1;1,ATP-binding cassette sub-family D member 3,ABCD3,sp|P28288|ABCD3_HUMAN ATP-binding cassette sub-family D member 3 OS=Homo sapiens OX=9606 GN=ABCD3 PE=1 SV=1;tr|A0A3B3ITW3|A0A3B3ITW3_HUMAN ATP-binding cassette sub-family D member 3 OS=Homo sapiens OX=9606 GN=ABCD3 PE=1 SV=2,1,1,1.8,659
THRAP3,-0.3010304594,0.0312612777987083,0,Q9Y2W1;A0A3B3ITZ9,Q9Y2W1;A0A3B3ITZ9,9;9,9;9,9;9,Thyroid hormone receptor-associated protein 3,THRAP3,sp|Q9Y2W1|TR150_HUMAN Thyroid hormone receptor-associated protein 3 OS=Homo sapiens OX=9606 GN=THRAP3 PE=1 SV=2;tr|A0A3B3ITZ9|A0A3B3ITZ9_HUMAN Thyroid hormone receptor-associated protein 3 OS=Homo sapiens OX=9606 GN=THRAP3 PE=1 SV=1,9,9,13.3,955
NHP2L1,-0.0631820446,0.71888048524984,0,P55769;B1AHD1;A0A3B3IUA2;A0A3B3IRU2;A0A3B3ISH1,P55769;B1AHD1;A0A3B3IUA2;A0A3B3IRU2,6;6;6;3;1,6;6;6;3;1,6;6;6;3;1,"NHP2-like protein 1;NHP2-like protein 1, N-terminally processed",NHP2L1,sp|P55769|NH2L1_HUMAN NHP2-like protein 1 OS=Homo sapiens OX=9606 GN=SNU13 PE=1 SV=3;tr|B1AHD1|B1AHD1_HUMAN Ribonucloprotein OS=Homo sapiens OX=9606 GN=SNU13 PE=1 SV=1;tr|A0A3B3IUA2|A0A3B3IUA2_HUMAN Ribonucloprotein OS=Homo sapiens OX=9606 GN=SNU13 PE=1 SV,6,6,40.6,128
GLA,-0.4073548761,0.0158924417689394,0,P06280;A0A3B3IUC4;A0A669KAY7;A0A669KB83;A0A3B3IRU3;V9GYN5,P06280;A0A3B3IUC4;A0A669KAY7;A0A669KB83;A0A3B3IRU3;V9GYN5,2;2;1;1;1;1,2;2;1;1;1;1,2;2;1;1;1;1,Alpha-galactosidase A,GLA,sp|P06280|AGAL_HUMAN Alpha-galactosidase A OS=Homo sapiens OX=9606 GN=GLA PE=1 SV=1;tr|A0A3B3IUC4|A0A3B3IUC4_HUMAN Alpha-galactosidase OS=Homo sapiens OX=9606 GN=GLA PE=1 SV=1;tr|A0A669KAY7|A0A669KAY7_HUMAN Alpha-galactosidase A (Fragment) OS=Homo sapiens ,2,2,5.4,429
C11orf98,-0.1231970082,0.385629976092455,0,E9PRG8;E9PLD3;A0A494BXY3,E9PRG8;E9PLD3;A0A494BXY3,2;2;2,2;2;2,2;2;2,Uncharacterized protein C11orf98,C11orf98,sp|E9PRG8|CK098_HUMAN Uncharacterized protein C11orf98 OS=Homo sapiens OX=9606 GN=C11orf98 PE=4 SV=2;tr|E9PLD3|E9PLD3_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 PE=4 SV=1;tr|A0A494BXY3|A0A494BXY3_HUMAN Uncharacterized protein C11orf98 OS=Homo sa,2,2,12.2,123
DEK,0.0319468534,0.811702283693759,0,P35659;H0Y993;A0A494C028;H0Y8X0;A0A494C198;D6R9L5;B4DFG0;D6RDA2,P35659;H0Y993;A0A494C028;H0Y8X0;A0A494C198;D6R9L5;B4DFG0,6;6;6;5;4;3;3;2,6;6;6;5;4;3;3;2,6;6;6;5;4;3;3;2,Protein DEK,DEK,"sp|P35659|DEK_HUMAN Protein DEK OS=Homo sapiens OX=9606 GN=DEK PE=1 SV=1;tr|H0Y993|H0Y993_HUMAN DEK oncogene (DNA binding), isoform CRA_b OS=Homo sapiens OX=9606 GN=DEK PE=1 SV=2;tr|A0A494C028|A0A494C028_HUMAN Protein DEK OS=Homo sapiens OX=9606 GN=DEK PE=",6,6,16.3,375
SUCLG1,-0.0505525707,0.741632421732129,0,P53597;A0A494C0D1;H7C233,P53597;A0A494C0D1,4;4;1,4;4;1,4;4;1,"Succinyl-CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial",SUCLG1,"sp|P53597|SUCA_HUMAN Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=SUCLG1 PE=1 SV=4;tr|A0A494C0D1|A0A494C0D1_HUMAN Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial OS=Homo sapiens OX=960",4,4,11.6,346
PGM3,-0.1268999187,0.371658976954316,0,O95394;A0A494C0G1;H0Y987;D6RCD1;D6RC77;D6RCQ8;D6RF77;A0A494C099;A0A494C163;A0A087WT27;J3KN95;A0A494C1E2,O95394;A0A494C0G1;H0Y987;D6RCD1;D6RC77;D6RCQ8;D6RF77;A0A494C099,3;3;3;2;2;2;2;2;1;1;1;1,3;3;3;2;2;2;2;2;1;1;1;1,3;3;3;2;2;2;2;2;1;1;1;1,Phosphoacetylglucosamine mutase,PGM3,sp|O95394|AGM1_HUMAN Phosphoacetylglucosamine mutase OS=Homo sapiens OX=9606 GN=PGM3 PE=1 SV=1;tr|A0A494C0G1|A0A494C0G1_HUMAN Phosphoacetylglucosamine mutase OS=Homo sapiens OX=9606 GN=PGM3 PE=1 SV=1;tr|H0Y987|H0Y987_HUMAN Phosphoacetylglucosamine mutase O,3,3,7.9,542
CLUH,0.241742992,0.115581385861927,0,O75153;K7EIG1;I3L2B0;A0A494C0R8;I3L318,O75153;K7EIG1;I3L2B0;A0A494C0R8,8;8;8;8;2,8;8;8;8;2,8;8;8;8;2,Clustered mitochondria protein homolog,CLUH,sp|O75153|CLU_HUMAN Clustered mitochondria protein homolog OS=Homo sapiens OX=9606 GN=CLUH PE=1 SV=2;tr|K7EIG1|K7EIG1_HUMAN Clustered mitochondria protein homolog (Fragment) OS=Homo sapiens OX=9606 GN=CLUH PE=1 SV=2;tr|I3L2B0|I3L2B0_HUMAN Clustered mitocho,8,8,6.6,1309
NOP56,-0.004053562,0.973166981517392,0,O00567;A0A494C128;H0Y653;H0YDU4;Q5JXT2,O00567;A0A494C128;H0Y653;H0YDU4,13;13;7;7;5,13;13;7;7;5,13;13;7;7;5,Nucleolar protein 56,NOP56,sp|O00567|NOP56_HUMAN Nucleolar protein 56 OS=Homo sapiens OX=9606 GN=NOP56 PE=1 SV=4;tr|A0A494C128|A0A494C128_HUMAN Nucleolar protein 56 OS=Homo sapiens OX=9606 GN=NOP56 PE=1 SV=1;tr|H0Y653|H0Y653_HUMAN Nucleolar protein 56 (Fragment) OS=Homo sapiens OX=9,13,13,24.4,594
FKBP2,-0.4430712852,0.0139080870941578,0,P26885;A0A494C1N0,P26885;A0A494C1N0,2;2,2;2,2;2,Peptidyl-prolyl cis-trans isomerase FKBP2,FKBP2,sp|P26885|FKBP2_HUMAN Peptidyl-prolyl cis-trans isomerase FKBP2 OS=Homo sapiens OX=9606 GN=FKBP2 PE=1 SV=2;tr|A0A494C1N0|A0A494C1N0_HUMAN Peptidylprolyl isomerase OS=Homo sapiens OX=9606 GN=FKBP2 PE=1 SV=1,2,2,9.2,142
S100A2,-0.0806807049,0.44214350423614,0,A0A590UJ49;P29034;R4GN49,A0A590UJ49;P29034;R4GN49,2;1;1,2;1;1,2;1;1,Protein S100-A2,S100A2,tr|A0A590UJ49|A0A590UJ49_HUMAN Protein S100 OS=Homo sapiens OX=9606 GN=S100A2 PE=1 SV=1;sp|P29034|S10A2_HUMAN Protein S100-A2 OS=Homo sapiens OX=9606 GN=S100A2 PE=1 SV=3;tr|R4GN49|R4GN49_HUMAN Protein S100-A2 OS=Homo sapiens OX=9606 GN=S100A2 PE=1 SV=1,2,2,35.1,97
SRSF6,-0.0473305096,0.625478543393461,0,Q13247;A0A590UJK4;A0A590UK01;A0A590UJP7;A0A590UK80;Q08170;B4DJK0;B4DUA4;A0A0D9SEM4,Q13247;A0A590UJK4;A0A590UK01;A0A590UJP7;A0A590UK80,5;5;5;5;5;1;1;1;1,5;5;5;5;5;1;1;1;1,4;4;4;4;4;0;0;0;0,Serine/arginine-rich splicing factor 6,SRSF6,sp|Q13247|SRSF6_HUMAN Serine/arginine-rich splicing factor 6 OS=Homo sapiens OX=9606 GN=SRSF6 PE=1 SV=2;tr|A0A590UJK4|A0A590UJK4_HUMAN Serine/arginine-rich-splicing factor 6 OS=Homo sapiens OX=9606 GN=SRSF6 PE=1 SV=1;tr|A0A590UK01|A0A590UK01_HUMAN Serine/a,5,4,14.2,344
NNT,-0.3937376866,0.134893998280327,0,Q13423;A0A590UJM2;A0A590UK29;D6RAI5;A0A590UK15;D6RHU2;A0A590UJA4;A0A590UKC7,Q13423;A0A590UJM2;A0A590UK29;D6RAI5;A0A590UK15,6;6;6;3;3;1;1;1,6;6;6;3;3;1;1;1,1;1;1;1;1;1;1;1,"NAD(P) transhydrogenase, mitochondrial",NNT,"sp|Q13423|NNTM_HUMAN NAD(P) transhydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=NNT PE=1 SV=3;tr|A0A590UJM2|A0A590UJM2_HUMAN NAD(P) transhydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=NNT PE=1 SV=1;tr|A0A590UK29|A0A590UK29_HUMAN NAD(P) transh",6,1,8.3,1086
SAE1,-0.4511266671,0.00757516328412424,0,Q9UBE0;A0A590UK93;A0A590UKC5;B3KNJ4;M0QX65;M0QZS6;M0R375;M0QYP2;M0R286;A0A590UKA0;M0QYM8;M0R054,Q9UBE0;A0A590UK93;A0A590UKC5;B3KNJ4;M0QX65;M0QZS6,3;3;3;3;2;2;1;1;1;1;1;1,3;3;3;3;2;2;1;1;1;1;1;1,3;3;3;3;2;2;1;1;1;1;1;1,"SUMO-activating enzyme subunit 1;SUMO-activating enzyme subunit 1, N-terminally processed",SAE1,sp|Q9UBE0|SAE1_HUMAN SUMO-activating enzyme subunit 1 OS=Homo sapiens OX=9606 GN=SAE1 PE=1 SV=1;tr|A0A590UK93|A0A590UK93_HUMAN SUMO-activating enzyme subunit 1 OS=Homo sapiens OX=9606 GN=SAE1 PE=1 SV=1;tr|A0A590UKC5|A0A590UKC5_HUMAN SUMO-activating enzyme ,3,3,12.4,346
AMPD2,0.1591676473,0.356855367175374,0,Q01433;A0A5F9UK94;H0Y360;A0A590UK85;A0A590UJY6;E9PJF6;A0A590UJX5,Q01433;A0A5F9UK94;H0Y360;A0A590UK85;A0A590UJY6,7;7;7;4;4;2;1,7;7;7;4;4;2;1,7;7;7;4;4;2;1,AMP deaminase 2,AMPD2,sp|Q01433|AMPD2_HUMAN AMP deaminase 2 OS=Homo sapiens OX=9606 GN=AMPD2 PE=1 SV=2;tr|A0A5F9UK94|A0A5F9UK94_HUMAN AMP deaminase OS=Homo sapiens OX=9606 GN=AMPD2 PE=1 SV=1;tr|H0Y360|H0Y360_HUMAN AMP deaminase OS=Homo sapiens OX=9606 GN=AMPD2 PE=1 SV=2;tr|A0A5,7,7,8.9,879
ACAT1,-0.4548968754,0.0598343733972246,0,P24752;A0A5F9ZHJ7;A0A5F9ZHL1;A0A5F9ZHH9;A0A5F9ZHJ0;A0A5F9ZHL7;E9PRQ6;A0A5F9ZHD4;A0A5F9ZI66;H0YEL7,P24752;A0A5F9ZHJ7;A0A5F9ZHL1;A0A5F9ZHH9;A0A5F9ZHJ0,9;9;9;5;5;4;4;4;4;3,9;9;9;5;5;4;4;4;4;3,9;9;9;5;5;4;4;4;4;3,"Acetyl-CoA acetyltransferase, mitochondrial",ACAT1,"sp|P24752|THIL_HUMAN Acetyl-CoA acetyltransferase, mitochondrial OS=Homo sapiens OX=9606 GN=ACAT1 PE=1 SV=1;tr|A0A5F9ZHJ7|A0A5F9ZHJ7_HUMAN Acetyl-CoA acetyltransferase, mitochondrial OS=Homo sapiens OX=9606 GN=ACAT1 PE=1 SV=1;tr|A0A5F9ZHL1|A0A5F9ZHL1_HUMAN",9,9,32.3,427
PQBP1,0.0445167516,0.673271259361192,0,O60828;A0A5H1ZRR1,O60828;A0A5H1ZRR1,1;1,1;1,1;1,Polyglutamine-binding protein 1,PQBP1,sp|O60828|PQBP1_HUMAN Polyglutamine-binding protein 1 OS=Homo sapiens OX=9606 GN=PQBP1 PE=1 SV=1;tr|A0A5H1ZRR1|A0A5H1ZRR1_HUMAN Polyglutamine-binding protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=PQBP1 PE=1 SV=1,1,1,3.4,265
ATAD3A;ATAD3B,0.6640739845,0.127168839554748,0,Q9NVI7;Q5T9A4;A0A5K1VW56;Q5T2N8;Q5SV16,Q9NVI7;Q5T9A4;A0A5K1VW56,3;3;3;1;1,3;3;3;1;1,3;3;3;1;1,ATPase family AAA domain-containing protein 3A;ATPase family AAA domain-containing protein 3B,ATAD3A;ATAD3B,sp|Q9NVI7|ATD3A_HUMAN ATPase family AAA domain-containing protein 3A OS=Homo sapiens OX=9606 GN=ATAD3A PE=1 SV=2;sp|Q5T9A4|ATD3B_HUMAN ATPase family AAA domain-containing protein 3B OS=Homo sapiens OX=9606 GN=ATAD3B PE=1 SV=1;tr|A0A5K1VW56|A0A5K1VW56_HUMAN,3,3,5.7,634
CTNND1,-0.740070795,0.0632759218097111,0,O60716;A0A669KB62;A0A669KB05;C9JZR2,O60716;A0A669KB62;A0A669KB05;C9JZR2,4;4;4;4,4;4;4;4,4;4;4;4,Catenin delta-1,CTNND1,sp|O60716|CTND1_HUMAN Catenin delta-1 OS=Homo sapiens OX=9606 GN=CTNND1 PE=1 SV=1;tr|A0A669KB62|A0A669KB62_HUMAN Catenin delta-1 OS=Homo sapiens OX=9606 GN=CTNND1 PE=4 SV=1;tr|A0A669KB05|A0A669KB05_HUMAN Catenin delta-1 OS=Homo sapiens OX=9606 GN=CTNND1 PE,4,4,5.8,968
STAT1,-0.4842374473,0.0327541494551017,0,P42224;A0A669KBI6;A0A669KB68;A0A669KB56;A0A669KBA4;A0A669KB53;A0A669KB52;J3KPM9;A0A669KB75;E7EPD2;E7ENM1;D2KFR9;A0A669KB17;Q67C41;E9PH66,P42224;A0A669KBI6;A0A669KB68;A0A669KB56;A0A669KBA4;A0A669KB53;A0A669KB52;J3KPM9;A0A669KB75;E7EPD2,9;9;9;9;9;9;8;8;6;5;4;4;4;1;1,9;9;9;9;9;9;8;8;6;5;4;4;4;1;1,9;9;9;9;9;9;8;8;6;5;4;4;4;1;1,Signal transducer and activator of transcription 1-alpha/beta;Signal transducer and activator of transcription,STAT1,sp|P42224|STAT1_HUMAN Signal transducer and activator of transcription 1-alpha/beta OS=Homo sapiens OX=9606 GN=STAT1 PE=1 SV=2;tr|A0A669KBI6|A0A669KBI6_HUMAN Signal transducer and activator of transcription 1-alpha/beta OS=Homo sapiens OX=9606 GN=STAT1 PE=,9,9,14,750
UBA6,-0.178813329,0.483319395040278,0,A0AVT1;H0Y8S8,A0AVT1,5;2,5;2,5;2,Ubiquitin-like modifier-activating enzyme 6,UBA6,sp|A0AVT1|UBA6_HUMAN Ubiquitin-like modifier-activating enzyme 6 OS=Homo sapiens OX=9606 GN=UBA6 PE=1 SV=1,5,5,5.6,1052
ACO2,-0.1954625259,0.100156311841046,0,Q99798;A2A274,Q99798;A2A274,12;12,12;12,12;12,"Aconitate hydratase, mitochondrial",ACO2,"sp|Q99798|ACON_HUMAN Aconitate hydratase, mitochondrial OS=Homo sapiens OX=9606 GN=ACO2 PE=1 SV=2;tr|A2A274|A2A274_HUMAN Aconitate hydratase, mitochondrial OS=Homo sapiens OX=9606 GN=ACO2 PE=1 SV=1",12,12,25,780
PGP,-0.4376447814,0.165272582308339,0,A6NDG6,A6NDG6,3,3,3,Phosphoglycolate phosphatase,PGP,sp|A6NDG6|PGP_HUMAN Glycerol-3-phosphate phosphatase OS=Homo sapiens OX=9606 GN=PGP PE=1 SV=1,3,3,12.5,321
HCFC1,-0.5653197311,0.00405784937940494,0,P51610;A6NEM2;H7C1C4,P51610;A6NEM2,13;13;1,13;13;1,13;13;1,Host cell factor 1;HCF N-terminal chain 1;HCF N-terminal chain 2;HCF N-terminal chain 3;HCF N-terminal chain 4;HCF N-terminal chain 5;HCF N-terminal chain 6;HCF C-terminal chain 1;HCF C-terminal chain 2;HCF C-terminal chain 3;HCF C-terminal chain 4;HCF C-terminal chain 5;HCF C-terminal chain 6,HCFC1,sp|P51610|HCFC1_HUMAN Host cell factor 1 OS=Homo sapiens OX=9606 GN=HCFC1 PE=1 SV=2;tr|A6NEM2|A6NEM2_HUMAN Host cell factor 1 OS=Homo sapiens OX=9606 GN=HCFC1 PE=1 SV=2,13,13,8.1,2035
