Gene_names,DCAF11_vs_BirA_logFC,DCAF11_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alon_N1,Peptides_BirA_alon_N2,Peptides_DCAF11_N1,Peptides_DCAF11_N2,Razor___unique_peptides_BirA_alon_N1,Razor___unique_peptides_BirA_alon_N2,Razor___unique_peptides_DCAF11_N1,Razor___unique_peptides_DCAF11_N2,Unique_peptides_BirA_alon_N1,Unique_peptides_BirA_alon_N2,Unique_peptides_DCAF11_N1,Unique_peptides_DCAF11_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alon_N1,Identification_type_BirA_alon_N2,Identification_type_DCAF11_N1,Identification_type_DCAF11_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alon_N1,Ratio_H_L_BirA_alon_N2,Ratio_H_L_DCAF11_N1,Ratio_H_L_DCAF11_N2,Ratio_H_L_normalized_BirA_alon_N1,Ratio_H_L_normalized_BirA_alon_N2,Ratio_H_L_normalized_DCAF11_N1,Ratio_H_L_normalized_DCAF11_N2,Ratio_H_L_variability_____BirA_alon_N1,Ratio_H_L_variability_____BirA_alon_N2,Ratio_H_L_variability_____DCAF11_N1,Ratio_H_L_variability_____DCAF11_N2,Ratio_H_L_count_BirA_alon_N1,Ratio_H_L_count_BirA_alon_N2,Ratio_H_L_count_DCAF11_N1,Ratio_H_L_count_DCAF11_N2,Ratio_H_L_iso_count_BirA_alon_N1,Ratio_H_L_iso_count_BirA_alon_N2,Ratio_H_L_iso_count_DCAF11_N1,Ratio_H_L_iso_count_DCAF11_N2,Ratio_H_L_type_BirA_alon_N1,Ratio_H_L_type_BirA_alon_N2,Ratio_H_L_type_DCAF11_N1,Ratio_H_L_type_DCAF11_N2,Sequence_coverage_BirA_alon_N1____,Sequence_coverage_BirA_alon_N2____,Sequence_coverage_DCAF11_N1____,Sequence_coverage_DCAF11_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alon_N1,Intensity_L_BirA_alon_N1,Intensity_H_BirA_alon_N1,Intensity_BirA_alon_N2,Intensity_L_BirA_alon_N2,Intensity_H_BirA_alon_N2,Intensity_DCAF11_N1,Intensity_L_DCAF11_N1,Intensity_H_DCAF11_N1,Intensity_DCAF11_N2,Intensity_L_DCAF11_N2,Intensity_H_DCAF11_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_DCAF11_N1,metacell_Intensity_L_DCAF11_N2,metacell_Intensity_L_BirA_alon_N1,metacell_Intensity_L_BirA_alon_N2
ADK,0.383784514066459,0.330537352995642,P55263;A0A5F9ZHJ1;A0A5F9ZGZ8;A0A5F9ZH72;A0A5F9ZH31;A0A5K1VW54;A0A5K1VW94,P55263;A0A5F9ZHJ1;A0A5F9ZGZ8;A0A5F9ZH72;A0A5F9ZH31;A0A5K1VW54;A0A5K1VW94,8;7;5;5;5;5;5,8;7;5;5;5;5;5,8;7;5;5;5;5;5,Adenosine kinase,sp|P55263|ADK_HUMAN Adenosine kinase OS=Homo sapiens OX=9606 GN=ADK PE=1 SV=2;tr|A0A5F9ZHJ1|A0A5F9ZHJ1_HUMAN Adenosine kinase OS=Homo sapiens OX=9606 GN=ADK PE=1 SV=1;tr|A0A5F9ZGZ8|A0A5F9ZGZ8_HUMAN Adenosine kinase (Fragment) OS=Homo sapiens OX=9606 GN=ADK,7,8,8,8,7,5,8,8,7,5,8,8,7,5,8,8,23.2,23.2,23.2,40.545,362,362;270;179;229;294;347;356,0.0,31.94,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.51659,0.87854,20.224,32,10,Leave out requantified,0.2449,0.30226,0.47629,0.53073,0.71141,0.73423,0.84126,1.0022,54.272,6.5224,16.066,14.234,7,5,9,11,3,2,2,3,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,18.8,15.5,23.2,23.2,1168700000,771510000,397160000,299220000,208880000,90338000,232580000,167670000,64905000,190610000,113330000,77279000,446260000,281620000,164640000,,,,1717,202;203;602;603;5901;12550;13469;14390,True;True;True;True;True;True;True;True,225;226;663;664;6880;14549;14550;15579;16642,568;569;570;571;572;573;574;575;1771;1772;1773;1774;1775;1776;18267;18268;18269;18270;38617;38618;38619;38620;38621;38622;41390;41391;41392;41393;44261;44262;44263;44264,1062;1063;1064;1065;1066;1067;1068;1069;3309;3310;3311;3312;3313;3314;3315;3316;3317;3318;34543;34544;34545;34546;34547;34548;72530;72531;72532;72533;72534;72535;72536;72537;72538;72539;77815;77816;77817;77818;77819;77820;77821;77822;83682;83683;83684;83685;83686,1064;1066;3312;3316;34545;72536;77816;83684,,,,,-1;-1;-1;-1;-1;-1;-1,protein_1718,quanti,quanti,quanti,quanti
ADAR,0.330822841355378,0.397702534831643,P55265;A0A3B3IRQ9;A0A3B3ISX1;A0A3B3ITG9,P55265;A0A3B3IRQ9;A0A3B3ISX1,8;6;5;2,8;6;5;2,8;6;5;2,Double-stranded RNA-specific adenosine deaminase,sp|P55265|DSRAD_HUMAN Double-stranded RNA-specific adenosine deaminase OS=Homo sapiens OX=9606 GN=ADAR PE=1 SV=4;tr|A0A3B3IRQ9|A0A3B3IRQ9_HUMAN Double-stranded RNA-specific adenosine deaminase (Fragment) OS=Homo sapiens OX=9606 GN=ADAR PE=1 SV=1;tr|A0A3B3I,4,8,8,8,3,4,5,6,3,4,5,6,3,4,5,6,10.5,10.5,10.5,136.06,1226,1226;1158;707;350,0.0,10.74,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.50902,1.1077,17.701,18,2,Leave out requantified,0.4194,0.53848,0.51065,0.49309,1.3067,1.2658,0.94284,0.87768,19.347,12.881,22.453,13.978,3,4,5,6,0,0,0,2,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,3.7,5.2,6.0,7.8,486870000,314450000,172430000,84674000,58403000,26271000,145890000,94578000,51315000,62370000,37830000,24540000,193940000,123640000,70300000,,,,1718,830;3877;5774;9994;13192;13761;15875;16392,True;True;True;True;True;True;True;True,935;4412;6744;11634;15263;15934;18401;18979,2550;2551;2552;2553;11722;17938;17939;31020;31021;40540;40541;42373;49051;49052;50526;50527;50528;50529,4817;4818;4819;4820;4821;4822;4823;4824;4825;22082;33984;58339;58340;58341;58342;58343;76037;79940;79941;93046;95748;95749;95750;95751;95752;95753;95754,4825;22082;33984;58343;76037;79940;93046;95754,,,,,-1;-1;-1;-1,protein_1719,quanti,quanti,quanti,quanti
SEC13,-0.12845596470099,0.772975011662585,P55735;A8MXL6;E7ERC8,P55735;A8MXL6,5;4;2,5;4;2,5;4;2,Protein SEC13 homolog,sp|P55735|SEC13_HUMAN Protein SEC13 homolog OS=Homo sapiens OX=9606 GN=SEC13 PE=1 SV=3;tr|A8MXL6|A8MXL6_HUMAN Protein SEC13 homolog OS=Homo sapiens OX=9606 GN=SEC13 PE=1 SV=1,3,5,5,5,2,2,3,4,2,2,3,4,2,2,3,4,32.6,32.6,32.6,35.54,322,322;284;86,0.0,2.6312,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.52574,0.98717,8.6879,10,2,Leave out requantified,0.4377,0.62016,0.52587,0.57221,1.3989,1.7027,0.88515,1.0982,5.2945,54.948,7.6679,1.3867,2,2,3,3,1,1,0,0,Median,Median,Leave out requantified,Leave out requantified,13.4,13.4,23.9,27.3,542210000,360930000,181280000,108190000,77961000,30228000,175410000,118690000,56721000,49477000,31132000,18345000,209130000,133150000,75982000,,,,1720,2619;4484;10606;14597;15515,True;True;True;True;True,3005;5136;12331;16875;17970,8226;8227;13618;13619;32830;44874;44875;47889;47890;47891;47892,15764;15765;25854;25855;25856;25857;25858;25859;25860;61580;84819;84820;90792;90793;90794;90795;90796;90797;90798;90799,15764;25859;61580;84819;90794,,,,,-1;-1;-1,protein_1721,quanti,quanti,quanti,quanti
HNRNPH2,0.91339206544464,0.0399570218512147,P55795,P55795,12,7,7,Heterogeneous nuclear ribonucleoprotein H2,sp|P55795|HNRH2_HUMAN Heterogeneous nuclear ribonucleoprotein H2 OS=Homo sapiens OX=9606 GN=HNRNPH2 PE=1 SV=1,1,12,7,7,7,6,10,10,5,4,6,5,5,4,6,5,32.5,20.7,20.7,49.263,449,449,0.0,56.357,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.44788,0.97537,18.929,25,2,Leave out requantified,0.30029,0.45173,0.48472,0.43235,1.0001,1.2761,0.92627,0.83015,26.972,35.438,11.323,13.146,6,4,8,7,2,0,0,0,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,24.3,20.9,29.2,28.1,1470500000,1022800000,447660000,285560000,211840000,73726000,282230000,202930000,79298000,297460000,200130000,97328000,605210000,407900000,197310000,,,,1721,1715;2470;2471;3477;4807;4810;5589;9147;12748;13027;14758;16173,True;False;True;True;True;True;False;False;True;False;False;True,1962;2833;2834;2835;3957;5550;5553;6528;10663;14770;15080;17059;17060;18725,5506;5507;5508;5509;5510;5511;7798;7799;7800;7801;7802;7803;7804;7805;7806;7807;10543;10544;14777;14778;14779;14780;14789;14790;17402;17403;28504;39210;39211;40056;40057;40058;40059;45408;45409;45410;45411;45412;45413;45414;45415;45416;49870;49871;49872;49873,10538;10539;10540;10541;10542;10543;10544;14942;14943;14944;14945;14946;14947;14948;14949;14950;14951;14952;14953;14954;14955;19918;19919;19920;19921;27967;27968;27969;27970;27984;32997;32998;32999;33000;33001;53612;73636;73637;73638;73639;75132;75133;75134;75135;75136;75137;85872;85873;85874;85875;85876;85877;85878;85879;85880;85881;85882;85883;85884;85885;85886;94582;94583;94584;94585;94586;94587,10541;14948;14953;19920;27970;27984;33000;53612;73637;75132;85876;94586,,,,,-1,protein_1722,quanti,quanti,quanti,quanti
OXCT1,-1.40449634203387,0.00769470779901197,P55809;E9PDW2;Q9BYC2,P55809;E9PDW2,6;5;1,6;5;1,6;5;1,"Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial","sp|P55809|SCOT1_HUMAN Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial OS=Homo sapiens OX=9606 GN=OXCT1 PE=1 SV=1;tr|E9PDW2|E9PDW2_HUMAN Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial OS=Homo sapiens OX=9606 GN=OXCT1 PE=1 SV",3,6,6,6,5,6,3,4,5,6,3,4,5,6,3,4,14.2,14.2,14.2,56.157,520,520;334;517,0.0,9.0154,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.35617,0.88131,16.928,19,5,Leave out requantified,0.27553,0.37045,0.37943,0.45228,0.79333,0.91366,0.61265,0.78037,40.335,19.61,26.42,20.073,6,6,3,4,3,0,0,2,Leave out requantified,Leave out requantified,Leave out requantified,Median,12.5,14.2,7.9,10.0,430340000,314770000,115570000,151540000,121310000,30221000,172700000,121110000,51593000,33649000,22522000,11127000,72453000,49828000,22626000,,,,1722,4832;4880;8882;10582;13025;16175,True;True;True;True;True;True,5576;5642;10373;12301;15078;18727,14845;14846;14847;14848;14849;14850;15027;15028;27738;32756;32757;32758;32759;40049;40050;40051;49878;49879;49880;49881,28069;28070;28071;28072;28073;28074;28075;28448;28449;28450;28451;52279;61436;61437;61438;75120;75121;75122;75123;94597;94598;94599;94600;94601;94602,28071;28450;52279;61438;75121;94602,,,,,-1;-1;-1,protein_1723,quanti,quanti,quanti,quanti
EIF3B,0.817756213974114,0.0815205370528159,P55884;C9JQN7;C9JZG1,P55884,25;8;3,25;8;3,25;8;3,Eukaryotic translation initiation factor 3 subunit B,sp|P55884|EIF3B_HUMAN Eukaryotic translation initiation factor 3 subunit B OS=Homo sapiens OX=9606 GN=EIF3B PE=1 SV=3,3,25,25,25,14,14,17,19,14,14,17,19,14,14,17,19,37.3,37.3,37.3,92.48,814,814;153;302,0.0,44.303,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.5949,1.2148,18.342,78,18,Leave out requantified,0.36929,0.41906,0.70642,0.7096,1.3384,1.1508,1.3206,1.2419,22.415,17.885,16.305,36.883,15,14,21,28,5,3,3,7,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,19.7,18.7,28.3,32.4,5213800000,2615500000,2598300000,745710000,528230000,217480000,762290000,497960000,264340000,1684700000,354200000,1330500000,2021100000,1235100000,786010000,,,,1723,3196;3387;3923;4355;4516;4517;5144;5154;5303;6636;6728;9801;10381;10758;13825;14011;14494;15435;15568;15569;15976;15983;15989;16427;16648,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,3645;3861;4463;4986;4987;5180;5181;5947;5948;5958;5959;6139;6140;7731;7832;7833;11420;12076;12495;16003;16207;16761;17878;18036;18037;18038;18510;18519;18525;19016;19274,9777;10291;10292;11858;11859;11860;11861;13249;13250;13251;13252;13253;13742;13743;13744;13745;13746;13747;15788;15789;15790;15791;15792;15820;15821;15822;15823;15824;15825;15826;15827;15828;16306;16307;16308;20634;20635;20910;20911;20912;20913;30459;32157;32158;33257;33258;33259;33260;42559;43060;43061;43062;44576;44577;44578;44579;44580;47660;47661;48047;48048;48049;48050;48051;48052;48053;48054;49335;49336;49355;49356;49367;49368;50623;50624;50625;50626;51329;51330;51331;51332,18462;18463;19439;19440;19441;19442;19443;19444;19445;22344;22345;22346;22347;22348;22349;22350;22351;22352;22353;22354;25131;25132;25133;25134;25135;25136;25137;25138;25139;25140;26097;26098;26099;26100;26101;26102;26103;26104;26105;26106;26107;29743;29744;29745;29746;29747;29789;29790;29791;29792;29793;29794;29795;29796;29797;29798;29799;29800;29801;29802;29803;29804;29805;29806;29807;29808;30742;30743;30744;30745;30746;30747;30748;30749;39070;39071;39597;39598;39599;39600;39601;39602;57264;60282;62404;62405;62406;62407;62408;62409;62410;62411;62412;80351;81164;81165;81166;81167;84273;84274;84275;84276;84277;90358;90359;91130;91131;91132;91133;91134;91135;91136;91137;91138;91139;91140;91141;91142;91143;91144;93588;93629;93630;93651;93652;93653;96003;96004;96005;96006;97372;97373;97374;97375;97376;97377;97378;97379,18462;19441;22353;25133;26100;26103;29745;29807;30749;39071;39602;57264;60282;62407;80351;81166;84275;90358;91131;91140;93588;93630;93653;96005;97378,,,,,-1;-1;-1,protein_1724,quanti,quanti,quanti,quanti
MARS,0.421133390251459,0.437068509831724,P56192;H0YHV5;H0YIC2;H0YIP0,P56192,7;3;1;1,7;3;1;1,7;3;1;1,"Methionine--tRNA ligase, cytoplasmic","sp|P56192|SYMC_HUMAN Methionine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=MARS1 PE=1 SV=2",4,7,7,7,3,4,4,6,3,4,4,6,3,4,4,6,10.7,10.7,10.7,101.11,900,900;233;58;219,0.0,9.6617,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.81537,1.4641,15.751,17,3,Leave out requantified,0.47456,0.70716,0.83638,0.84424,1.4472,1.8479,1.4989,1.5966,8.3634,22.824,13.728,22.079,3,4,4,6,0,0,0,3,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,4.7,7.1,7.1,8.9,547350000,294870000,252480000,95806000,63963000,31843000,123890000,62220000,61666000,52798000,26945000,25853000,274860000,141750000,133120000,,,,1725,4399;4712;5408;6787;11468;12363;13760,True;True;True;True;True;True;True,5037;5429;6280;7897;13312;14334;15933,13391;14462;14463;14464;16729;16730;16731;16732;21075;21076;21077;21078;35334;38009;42370;42371;42372,25450;25451;27418;27419;31590;31591;31592;31593;31594;31595;31596;39907;39908;39909;39910;39911;66407;66408;71346;79939,25451;27419;31592;39907;66408;71346;79939,,,,,-1;-1;-1;-1,protein_1726,quanti,quanti,quanti,quanti
ATP5I,-0.340137184567034,0.521230032708498,P56385,P56385,5,5,5,"ATP synthase subunit e, mitochondrial","sp|P56385|ATP5I_HUMAN ATP synthase subunit e, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5ME PE=1 SV=2",1,5,5,5,4,4,3,3,4,4,3,3,4,4,3,3,65.2,65.2,65.2,7.9331,69,69,0.0,21.837,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.47922,1.0141,19.703,16,3,Leave out requantified,0.40003,0.4227,0.48341,0.60467,1.3784,1.184,0.92969,1.051,29.405,50.769,14.286,3.0658,4,4,4,4,1,1,1,0,Leave out requantified,Leave out requantified,Median,Leave out requantified,55.1,55.1,46.4,46.4,619420000,410530000,208900000,157610000,106400000,51206000,230680000,155410000,75276000,107190000,71992000,35195000,123950000,76727000,47220000,,,,1726,2953;5732;15340;16489;16558,True;True;True;True;True,3376;6697;17773;19088;19089;19175,9136;9137;17810;17811;47392;47393;47394;47395;50808;50809;51059;51060;51061;51062;51063;51064,17434;17435;17436;17437;17438;17439;33752;33753;33754;33755;33756;33757;33758;33759;89954;89955;89956;89957;96381;96382;96869;96870;96871;96872;96873;96874;96875;96876;96877;96878;96879;96880;96881;96882;96883,17437;33752;89957;96381;96872,,,,,-1,protein_1727,quanti,quanti,quanti,quanti
EIF6,0.21862337843671,0.499510527138156,P56537;B7ZBH1;F8WD20;A0A0B4J1Y7;A0A0U1RQV5;F8WDS6,P56537;B7ZBH1,6;4;1;1;1;1,6;4;1;1;1;1,6;4;1;1;1;1,Eukaryotic translation initiation factor 6,sp|P56537|IF6_HUMAN Eukaryotic translation initiation factor 6 OS=Homo sapiens OX=9606 GN=EIF6 PE=1 SV=1;tr|B7ZBH1|B7ZBH1_HUMAN Eukaryotic translation initiation factor 6 (Fragment) OS=Homo sapiens OX=9606 GN=EIF6 PE=1 SV=1,6,6,6,6,5,3,5,5,5,3,5,5,5,3,5,5,33.5,33.5,33.5,26.599,245,245;108;59;108;110;186,0.0,19.412,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.48943,1.1276,5.5551,24,0,Leave out requantified,0.38493,0.39943,0.57893,0.58242,1.1466,1.1466,1.1475,1.1317,15.342,3.6514,5.7756,4.0584,5,4,7,8,0,0,0,0,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,27.8,17.1,33.1,33.1,1927200000,1298200000,629020000,444740000,328270000,116470000,483890000,340610000,143270000,284800000,180590000,104210000,713820000,448760000,265060000,,,,1727,1591;5403;8906;10979;10980;11520,True;True;True;True;True;True,1818;6273;6274;10402;12751;12752;13374;13375,5107;5108;5109;5110;16705;16706;16707;16708;16709;16710;16711;16712;16713;27815;27816;33941;33942;33943;33944;33945;35466;35467;35468;35469,9771;9772;9773;9774;9775;9776;9777;9778;9779;9780;31535;31536;31537;31538;31539;31540;31541;31542;31543;31544;31545;31546;31547;31548;31549;31550;31551;31552;52425;52426;52427;63789;63790;63791;63792;63793;63794;63795;63796;63797;63798;63799;63800;63801;63802;66607;66608;66609;66610;66611,9777;31541;52427;63794;63802;66610,,,,,-1;-1;-1;-1;-1;-1,protein_1728,quanti,quanti,quanti,quanti
CTBP2,-2.30531150438646,0.0156245783039227,P56545;A0A087WYL1,P56545;A0A087WYL1,4;2,4;2,2;1,C-terminal-binding protein 2,sp|P56545|CTBP2_HUMAN C-terminal-binding protein 2 OS=Homo sapiens OX=9606 GN=CTBP2 PE=1 SV=1;tr|A0A087WYL1|A0A087WYL1_HUMAN C-terminal-binding protein 2 (Fragment) OS=Homo sapiens OX=9606 GN=CTBP2 PE=1 SV=1,2,4,4,2,4,4,2,1,4,4,2,1,2,2,1,1,12.4,12.4,4.9,48.944,445,445;117,0.0,3.8127,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.53161,1.0375,24.416,12,2,Leave out requantified,0.36216,0.54035,0.71557,0.59797,1.021,1.3337,1.2952,1.0543,26.407,15.005,34.735,,5,4,2,1,1,1,0,0,Leave out requantified,Leave out requantified,Median,Median,12.4,12.4,6.5,2.9,330490000,218900000,111590000,131720000,92617000,39099000,153030000,97904000,55129000,26241000,15807000,10434000,19500000,12569000,6931000,,,,1728,4445;6586;11038;15396,True;True;True;True,5094;7677;12818;17836,13522;13523;13524;20475;20476;20477;20478;34118;34119;47559;47560;47561,25699;25700;25701;25702;38765;38766;38767;38768;38769;38770;64161;64162;90220;90221;90222;90223,25699;38768;64161;90220,,,,,-1;-1,protein_1729,quanti,quanti,quanti,quanti
MTPN,1.85632447013461,0.0652585489837534,P58546;C9JL85,P58546;C9JL85,5;3,5;3,5;3,Myotrophin,sp|P58546|MTPN_HUMAN Myotrophin OS=Homo sapiens OX=9606 GN=MTPN PE=1 SV=2;tr|C9JL85|C9JL85_HUMAN Myotrophin OS=Homo sapiens OX=9606 GN=MTPN PE=1 SV=1,2,5,5,5,2,1,4,4,2,1,4,4,2,1,4,4,67.8,67.8,67.8,12.895,118,118;52,0.0,9.9788,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.45562,1.0133,11.075,11,0,Leave out requantified,0.32558,0.38763,0.48572,0.52722,1.0517,0.99424,0.97175,0.99845,11.61,,13.807,12.78,2,1,4,4,0,0,0,0,Median,Median,Leave out requantified,Leave out requantified,28.8,8.5,44.9,61.9,550700000,368150000,182560000,114660000,86002000,28659000,37639000,24896000,12743000,139420000,89661000,49758000,258980000,167590000,91395000,,,,1729,2097;4137;4944;10599;13700,True;True;True;True;True,2409;4711;5717;12323;15857,6695;6696;6697;6698;12508;12509;15220;15221;32810;32811;42174,12939;12940;12941;12942;12943;12944;12945;12946;12947;23627;23628;23629;28826;61545;79537,12942;23627;28826;61545;79537,621,,37,,-1;-1,protein_1730,quanti,quanti,quanti,quanti
ARPC4;ARPC4-TTLL3,-0.37205341670164,0.282635303617924,P59998;F8WDD7;F8WCF6;A0A0A6YYG9;H7C0A3;F8WDW3;F8WE39;R4GN08,P59998;F8WDD7;F8WCF6;A0A0A6YYG9,7;5;5;5;3;1;1;1,7;5;5;5;3;1;1;1,7;5;5;5;3;1;1;1,Actin-related protein 2/3 complex subunit 4,sp|P59998|ARPC4_HUMAN Actin-related protein 2/3 complex subunit 4 OS=Homo sapiens OX=9606 GN=ARPC4 PE=1 SV=3;tr|F8WDD7|F8WDD7_HUMAN Actin-related protein 2/3 complex subunit 4 OS=Homo sapiens OX=9606 GN=ARPC4 PE=4 SV=1;tr|F8WCF6|F8WCF6_HUMAN Actin-related ,8,7,7,7,6,6,4,5,6,6,4,5,6,6,4,5,33.9,33.9,33.9,19.667,168,168;113;181;625;167;44;47;77,0.0,8.948,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.40307,0.93718,12.814,21,2,Leave out requantified,0.32217,0.35409,0.51285,0.53518,0.87654,0.9714,0.92345,0.92927,14.399,14.984,19.53,30.152,6,6,4,5,1,1,0,0,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,33.9,33.9,22.0,26.8,753530000,514740000,238790000,194150000,146690000,47469000,229130000,166060000,63072000,81937000,51852000,30085000,248310000,150140000,98166000,,,,1731,404;1541;3021;6806;12941;13327;15074,True;True;True;True;True;True;True,450;1765;3449;7919;14986;15414;17455,1200;1201;1202;4958;4959;9331;9332;21142;21143;39809;39810;39811;39812;40941;40942;40943;40944;46524;46525;46526;46527,2227;2228;2229;2230;9521;9522;17743;17744;17745;17746;40010;40011;40012;40013;40014;40015;40016;74708;74709;76811;76812;76813;88160;88161;88162;88163;88164;88165;88166;88167;88168,2230;9521;17746;40015;74708;76813;88166,,,,,-1;-1;-1;-1;-1;-1;-1;-1,protein_1732,quanti,quanti,quanti,quanti
SEC61G,0.807101184277585,0.139776875836292,P60059,P60059,2,2,2,Protein transport protein Sec61 subunit gamma,sp|P60059|SC61G_HUMAN Protein transport protein Sec61 subunit gamma OS=Homo sapiens OX=9606 GN=SEC61G PE=1 SV=1,1,2,2,2,1,1,2,1,1,1,2,1,1,1,2,1,29.4,29.4,29.4,7.7412,68,68,0.0,2.302,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.81074,1.5349,45.649,5,0,Leave out requantified,0.9256,1.0502,0.87443,1.1291,2.1686,2.5762,1.4993,2.0717,,,42.329,,1,1,2,1,0,0,0,0,Median,Median,Median,Median,17.6,17.6,29.4,17.6,92664000,44590000,48074000,14890000,7646600,7242900,26448000,12148000,14300000,20391000,11180000,9211100,30936000,13616000,17320000,,,,1732,2559;9862,True;True,2938;11491,8072;30672;30673;30674;30675,15497;57641;57642;57643;57644;57645;57646;57647;57648;57649;57650;57651;57652;57653;57654,15497;57645,,,,,-1,protein_1733,quanti,quanti,quanti,quanti
