SNRNP40_vs_zCtl,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
HNRNPA1,0.249579937,0.0750467473349152,0,P09651;F8W6I7;F8VZ49;F8VTQ5;Q32P51;F8W646;F8VYN5,P09651;F8W6I7;F8VZ49;F8VTQ5,17;17;11;9;8;8;5,17;17;11;9;8;8;5,5;5;3;4;3;5;0,"Heterogeneous nuclear ribonucleoprotein A1;Heterogeneous nuclear ribonucleoprotein A1, N-terminally processed",HNRNPA1,sp|P09651|ROA1_HUMAN Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens OX=9606 GN=HNRNPA1 PE=1 SV=5;tr|F8W6I7|F8W6I7_HUMAN Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens OX=9606 GN=HNRNPA1 PE=1 SV=2;tr|F8VZ49|F8VZ49_HUMAN Heterogeneous,17,5,49.5,372
MRE11A,-0.1304976536,0.586716834904614,0,P49959;F8W7U8;F5GXT0,P49959;F8W7U8;F5GXT0,2;2;1,2;2;1,2;2;1,Double-strand break repair protein MRE11A,MRE11A,sp|P49959|MRE11_HUMAN Double-strand break repair protein MRE11 OS=Homo sapiens OX=9606 GN=MRE11 PE=1 SV=3;tr|F8W7U8|F8W7U8_HUMAN Double-strand break repair protein OS=Homo sapiens OX=9606 GN=MRE11 PE=1 SV=1;tr|F5GXT0|F5GXT0_HUMAN Double-strand break repair,2,2,4.5,708
IGF2BP2,-2.4291083267,4.74610649350178e-05,1,Q9Y6M1;F8W930,Q9Y6M1;F8W930,4;4,4;4,4;4,Insulin-like growth factor 2 mRNA-binding protein 2,IGF2BP2,sp|Q9Y6M1|IF2B2_HUMAN Insulin-like growth factor 2 mRNA-binding protein 2 OS=Homo sapiens OX=9606 GN=IGF2BP2 PE=1 SV=2;tr|F8W930|F8W930_HUMAN Insulin-like growth factor 2 mRNA-binding protein 2 OS=Homo sapiens OX=9606 GN=IGF2BP2 PE=1 SV=1,4,4,9.5,599
EIF2A,-0.2704452753,0.334655514169954,0,Q9BY44;F8WAE5;C9IZE1;H7C5Q3;H7C5R5;F8WF18;F8WAT3,Q9BY44;F8WAE5;C9IZE1,13;13;8;4;3;2;2,13;13;8;4;3;2;2,13;13;8;4;3;2;2,"Eukaryotic translation initiation factor 2A;Eukaryotic translation initiation factor 2A, N-terminally processed",EIF2A,sp|Q9BY44|EIF2A_HUMAN Eukaryotic translation initiation factor 2A OS=Homo sapiens OX=9606 GN=EIF2A PE=1 SV=3;tr|F8WAE5|F8WAE5_HUMAN Eukaryotic translation initiation factor 2A OS=Homo sapiens OX=9606 GN=EIF2A PE=1 SV=1;tr|C9IZE1|C9IZE1_HUMAN Eukaryotic tra,13,13,31.6,585
CAPRIN1,-0.3088590701,0.0777141190971514,0,Q14444;G3V153;E9PLA9,Q14444;G3V153;E9PLA9,5;5;4,5;5;4,5;5;4,Caprin-1,CAPRIN1,sp|Q14444|CAPR1_HUMAN Caprin-1 OS=Homo sapiens OX=9606 GN=CAPRIN1 PE=1 SV=2;tr|G3V153|G3V153_HUMAN Caprin-1 OS=Homo sapiens OX=9606 GN=CAPRIN1 PE=1 SV=1;tr|E9PLA9|E9PLA9_HUMAN Caprin-1 (Fragment) OS=Homo sapiens OX=9606 GN=CAPRIN1 PE=1 SV=1,5,5,6.5,709
DPP3,2.0060117679,0.000177306421311141,1,Q9NY33;G3V1D3;G3V180;E9PQ14;E9PNX5;E9PKK8;E9PPK9,Q9NY33;G3V1D3;G3V180;E9PQ14,4;4;4;3;1;1;1,4;4;4;3;1;1;1,4;4;4;3;1;1;1,Dipeptidyl peptidase 3,DPP3,sp|Q9NY33|DPP3_HUMAN Dipeptidyl peptidase 3 OS=Homo sapiens OX=9606 GN=DPP3 PE=1 SV=2;tr|G3V1D3|G3V1D3_HUMAN Dipeptidyl peptidase 3 OS=Homo sapiens OX=9606 GN=DPP3 PE=1 SV=1;tr|G3V180|G3V180_HUMAN Dipeptidyl peptidase 3 OS=Homo sapiens OX=9606 GN=DPP3 PE=1,4,4,9.1,737
API5,-0.3101732936,0.102234085496792,0,Q9BZZ5;G3V1C3;E9PQK6,Q9BZZ5;G3V1C3;E9PQK6,4;4;2,4;4;2,4;4;2,Apoptosis inhibitor 5,API5,sp|Q9BZZ5|API5_HUMAN Apoptosis inhibitor 5 OS=Homo sapiens OX=9606 GN=API5 PE=1 SV=3;tr|G3V1C3|G3V1C3_HUMAN Apoptosis inhibitor 5 OS=Homo sapiens OX=9606 GN=API5 PE=1 SV=1;tr|E9PQK6|E9PQK6_HUMAN Apoptosis inhibitor 5 OS=Homo sapiens OX=9606 GN=API5 PE=1 SV,4,4,10.1,524
NRD1,0.169037257,0.186586038837107,0,O43847;G3V1R5;H0Y5G9,O43847;G3V1R5;H0Y5G9,2;2;1,2;2;1,1;1;1,Nardilysin,NRD1,sp|O43847|NRDC_HUMAN Nardilysin OS=Homo sapiens OX=9606 GN=NRDC PE=1 SV=3;tr|G3V1R5|G3V1R5_HUMAN Nardilysin OS=Homo sapiens OX=9606 GN=NRDC PE=1 SV=1;tr|H0Y5G9|H0Y5G9_HUMAN Nardilysin (Fragment) OS=Homo sapiens OX=9606 GN=NRDC PE=1 SV=1,2,1,2.2,1151
RPL18,0.3723851521,0.0187417486209711,0,Q07020;G3V203;H0YHA7;J3QQ67;F8VUA6;F8VYV2;A0A075B7A0,Q07020;G3V203;H0YHA7;J3QQ67;F8VUA6;F8VYV2;A0A075B7A0,10;10;10;10;8;6;6,10;10;10;10;8;6;6,10;10;10;10;8;6;6,60S ribosomal protein L18,RPL18,sp|Q07020|RL18_HUMAN 60S ribosomal protein L18 OS=Homo sapiens OX=9606 GN=RPL18 PE=1 SV=2;tr|G3V203|G3V203_HUMAN 60S ribosomal protein L18 OS=Homo sapiens OX=9606 GN=RPL18 PE=1 SV=1;tr|H0YHA7|H0YHA7_HUMAN 60S ribosomal protein L18 (Fragment) OS=Homo sapien,10,10,38.3,188
SNW1,-0.1765638808,0.346657673065095,0,Q13573;G3V3A4;G3V4X8;G3V5R3,Q13573;G3V3A4;G3V4X8,7;7;4;2,7;7;4;2,7;7;4;2,SNW domain-containing protein 1,SNW1,sp|Q13573|SNW1_HUMAN SNW domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SNW1 PE=1 SV=1;tr|G3V3A4|G3V3A4_HUMAN SNW domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SNW1 PE=1 SV=1;tr|G3V4X8|G3V4X8_HUMAN SNW domain-containing protein 1 OS=Homo s,7,7,20.1,536
ERO1L,-0.2898506155,0.324614864824208,0,Q96HE7;G3V3E6;G3V503;G3V5B3,Q96HE7;G3V3E6;G3V503;G3V5B3,2;2;1;1,2;2;1;1,2;2;1;1,ERO1-like protein alpha,ERO1L,sp|Q96HE7|ERO1A_HUMAN ERO1-like protein alpha OS=Homo sapiens OX=9606 GN=ERO1A PE=1 SV=2;tr|G3V3E6|G3V3E6_HUMAN ERO1-like protein alpha OS=Homo sapiens OX=9606 GN=ERO1A PE=1 SV=1;tr|G3V503|G3V503_HUMAN ERO1-like protein alpha OS=Homo sapiens OX=9606 GN=ERO,2,2,5.3,468
PSMA6,0.0314624079,0.796598206321053,0,P60900;G3V5Z7;G3V295;G3V3I1;G3V3U4;G3V4S5;G3V2S7;H0YJC4,P60900;G3V5Z7;G3V295;G3V3I1;G3V3U4,13;13;12;11;7;3;3;1,13;13;12;11;7;3;3;1,13;13;12;11;7;3;3;1,Proteasome subunit alpha type-6;Proteasome subunit alpha type,PSMA6,sp|P60900|PSA6_HUMAN Proteasome subunit alpha type-6 OS=Homo sapiens OX=9606 GN=PSMA6 PE=1 SV=1;tr|G3V5Z7|G3V5Z7_HUMAN Proteasome subunit alpha type OS=Homo sapiens OX=9606 GN=PSMA6 PE=1 SV=1;tr|G3V295|G3V295_HUMAN Proteasome subunit alpha type OS=Homo sap,13,13,51.2,246
PFN2,-0.252312479,0.0754523481762479,0,G5E9Q6;C9J0J7;C9JQ45;C9J2N0;C9J5V8;F2Z3G0,G5E9Q6;C9J0J7;C9JQ45,9;8;6;4;1;1,9;8;6;4;1;1,3;3;0;0;0;0,Profilin,PFN2,tr|G5E9Q6|G5E9Q6_HUMAN Profilin OS=Homo sapiens OX=9606 GN=PFN2 PE=1 SV=1;tr|C9J0J7|C9J0J7_HUMAN Profilin OS=Homo sapiens OX=9606 GN=PFN2 PE=1 SV=1;tr|C9JQ45|C9JQ45_HUMAN Profilin OS=Homo sapiens OX=9606 GN=PFN2 PE=1 SV=1,9,3,42,188
MRPS22,0.0051534804,0.985797831564636,0,P82650;G5E9W7;G5E9V5;H7C5L9;H7C5H3;H7C5F2,P82650;G5E9W7;G5E9V5;H7C5L9,8;8;8;6;3;1,8;8;8;6;3;1,8;8;8;6;3;1,"28S ribosomal protein S22, mitochondrial",MRPS22,"sp|P82650|RT22_HUMAN 28S ribosomal protein S22, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS22 PE=1 SV=1;tr|G5E9W7|G5E9W7_HUMAN 28S ribosomal protein S22, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS22 PE=1 SV=1;tr|G5E9V5|G5E9V5_HUMAN 28S ribosomal prote",8,8,18.6,360
CPSF3,-0.1284129102,0.247237070162884,0,Q9UKF6;G5E9W3,Q9UKF6;G5E9W3,3;3,3;3,3;3,Cleavage and polyadenylation specificity factor subunit 3,CPSF3,"sp|Q9UKF6|CPSF3_HUMAN Cleavage and polyadenylation specificity factor subunit 3 OS=Homo sapiens OX=9606 GN=CPSF3 PE=1 SV=1;tr|G5E9W3|G5E9W3_HUMAN Cleavage and polyadenylation specific factor 3, 73kDa, isoform CRA_b OS=Homo sapiens OX=9606 GN=CPSF3 PE=1 SV=",3,3,4.4,684
CELF1,0.0811833335,0.563284248137228,0,G5EA30;Q92879;E9PKU1;O95319;E9PQK4;E9PSH0;Q5VZZ6;A0A0J9YX66;A0A1B0GU44;E9PC62;A0A1B0GUN8;A0A0J9YXJ0;F5H0D8;V9GYD9;F5H3J7;F5H4Y5,G5EA30;Q92879,9;8;4;3;3;3;3;3;3;3;3;3;2;2;1;1,9;8;4;3;3;3;3;3;3;3;3;3;2;2;1;1,9;8;4;3;3;3;3;3;3;3;3;3;2;2;1;1,CUGBP Elav-like family member 1,CELF1,"tr|G5EA30|G5EA30_HUMAN CUG triplet repeat, RNA binding protein 1, isoform CRA_c OS=Homo sapiens OX=9606 GN=CELF1 PE=1 SV=1;sp|Q92879|CELF1_HUMAN CUGBP Elav-like family member 1 OS=Homo sapiens OX=9606 GN=CELF1 PE=1 SV=2",9,9,23.9,514
ZYX,0.5780463188,0.0471113422078017,0,Q15942;H0Y2Y8;C9IZ41;H7C3D3,Q15942;H0Y2Y8;C9IZ41,5;5;3;2,5;5;3;2,5;5;3;2,Zyxin,ZYX,sp|Q15942|ZYX_HUMAN Zyxin OS=Homo sapiens OX=9606 GN=ZYX PE=1 SV=1;tr|H0Y2Y8|H0Y2Y8_HUMAN Zyxin (Fragment) OS=Homo sapiens OX=9606 GN=ZYX PE=1 SV=1;tr|C9IZ41|C9IZ41_HUMAN Zyxin (Fragment) OS=Homo sapiens OX=9606 GN=ZYX PE=1 SV=1,5,5,14.9,572
TLR9,-1.3020500729,0.000401834884063004,1,H0Y858;Q9NR96,H0Y858;Q9NR96,2;1,1;1,1;1,Toll-like receptor 9,TLR9,tr|H0Y858|H0Y858_HUMAN Uncharacterized protein (Fragment) OS=Homo sapiens OX=9606 PE=4 SV=1;sp|Q9NR96|TLR9_HUMAN Toll-like receptor 9 OS=Homo sapiens OX=9606 GN=TLR9 PE=1 SV=2,2,1,1.4,1186
HNRNPD,0.1149071687,0.297483409398026,0,Q14103;H0YA96;H0Y8G5;D6RF44;D6RAF8;D6RBQ9;D6RD83,Q14103;H0YA96;H0Y8G5;D6RF44;D6RAF8;D6RBQ9;D6RD83,10;10;10;8;8;7;5,8;8;8;6;6;5;5,8;8;8;6;6;5;5,Heterogeneous nuclear ribonucleoprotein D0,HNRNPD,sp|Q14103|HNRPD_HUMAN Heterogeneous nuclear ribonucleoprotein D0 OS=Homo sapiens OX=9606 GN=HNRNPD PE=1 SV=1;tr|H0YA96|H0YA96_HUMAN Heterogeneous nuclear ribonucleoprotein D0 (Fragment) OS=Homo sapiens OX=9606 GN=HNRNPD PE=1 SV=1;tr|H0Y8G5|H0Y8G5_HUMAN Het,10,8,23.7,355
DNPH1,-0.4611462171,0.0138570998587146,0,O43598;H0Y8X4,O43598;H0Y8X4,2;2,2;2,2;2,2-deoxynucleoside 5-phosphate N-hydrolase 1,DNPH1,sp|O43598|DNPH1_HUMAN 2-deoxynucleoside 5-phosphate N-hydrolase 1 OS=Homo sapiens OX=9606 GN=DNPH1 PE=1 SV=1;tr|H0Y8X4|H0Y8X4_HUMAN 2-deoxynucleoside 5-phosphate N-hydrolase 1 (Fragment) OS=Homo sapiens OX=9606 GN=DNPH1 PE=1 SV=1,2,2,16.1,174
RRM2B,-0.9304536931,0.0746311913088126,0,Q7LG56;H0YAV1;A0A0C4DGZ6,Q7LG56;H0YAV1;A0A0C4DGZ6,2;2;1,2;2;1,2;2;1,Ribonucleoside-diphosphate reductase subunit M2 B,RRM2B,sp|Q7LG56|RIR2B_HUMAN Ribonucleoside-diphosphate reductase subunit M2 B OS=Homo sapiens OX=9606 GN=RRM2B PE=1 SV=1;tr|H0YAV1|H0YAV1_HUMAN Ribonucleoside-diphosphate reductase subunit M2 B (Fragment) OS=Homo sapiens OX=9606 GN=RRM2B PE=1 SV=1;tr|A0A0C4DGZ6|,2,2,6.8,351
TPD52,-0.3516133337,0.0221299896472556,0,H0YC42;P55327;E5RK35;U3KQQ8;E5RFR7;H0YC44,H0YC42;P55327,8;6;1;1;1;1,8;6;1;1;1;1,6;6;1;0;1;1,Tumor protein D52,TPD52,tr|H0YC42|H0YC42_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 PE=1 SV=2;sp|P55327|TPD52_HUMAN Tumor protein D52 OS=Homo sapiens OX=9606 GN=TPD52 PE=1 SV=2,8,6,35.3,278
CD44,0.6706152226,0.0481984430079632,0,P16070;H0YD13;H0YDW7;H0YCV9;H0Y2P0;H0Y5E4;E9PKC6;Q86UZ1;H0YDX6;H0YD17;H0YE40,P16070;H0YD13;H0YDW7;H0YCV9;H0Y2P0;H0Y5E4;E9PKC6,5;5;4;4;4;4;3;2;2;2;1,5;5;4;4;4;4;3;2;2;2;1,5;5;4;4;4;4;3;2;2;2;1,CD44 antigen,CD44,sp|P16070|CD44_HUMAN CD44 antigen OS=Homo sapiens OX=9606 GN=CD44 PE=1 SV=3;tr|H0YD13|H0YD13_HUMAN CD44 antigen OS=Homo sapiens OX=9606 GN=CD44 PE=1 SV=2;tr|H0YDW7|H0YDW7_HUMAN CD44 antigen (Fragment) OS=Homo sapiens OX=9606 GN=CD44 PE=1 SV=2;tr|H0YCV9|H0Y,5,5,7,742
HADHA,-0.136692589,0.281988222855152,0,P40939;H0YFD6;A0A2R8Y4F5;A0A2R8YG21;A0A2R8Y688,P40939;H0YFD6;A0A2R8Y4F5;A0A2R8YG21,26;26;22;15;9,26;26;22;15;9,26;26;22;15;9,"Trifunctional enzyme subunit alpha, mitochondrial;Long-chain enoyl-CoA hydratase;Long chain 3-hydroxyacyl-CoA dehydrogenase",HADHA,"sp|P40939|ECHA_HUMAN Trifunctional enzyme subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=HADHA PE=1 SV=2;tr|H0YFD6|H0YFD6_HUMAN Trifunctional enzyme subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=HADHA PE=1 SV=2;tr|A0A2R8Y4F5|A0A2R8Y4F5_H",26,26,44.2,763
REXO2,-0.0937508722,0.519361788393123,0,Q9Y3B8;H0YG54;H0YGR4;F5GYG5,Q9Y3B8;H0YG54;H0YGR4;F5GYG5,7;7;7;5,7;7;7;5,7;7;7;5,"Oligoribonuclease, mitochondrial",REXO2,"sp|Q9Y3B8|ORN_HUMAN Oligoribonuclease, mitochondrial OS=Homo sapiens OX=9606 GN=REXO2 PE=1 SV=3;tr|H0YG54|H0YG54_HUMAN Oligoribonuclease, mitochondrial OS=Homo sapiens OX=9606 GN=REXO2 PE=1 SV=2;tr|H0YGR4|H0YGR4_HUMAN Oligoribonuclease, mitochondrial (Frag",7,7,30,237
RPL28,0.3167153302,0.207778955926381,0,P46779;H0YMF4;H0YKD8;H0YLP6,P46779;H0YMF4;H0YKD8;H0YLP6,8;8;8;4,8;8;8;4,8;8;8;4,60S ribosomal protein L28,RPL28,sp|P46779|RL28_HUMAN 60S ribosomal protein L28 OS=Homo sapiens OX=9606 GN=RPL28 PE=1 SV=3;tr|H0YMF4|H0YMF4_HUMAN 60S ribosomal protein L28 OS=Homo sapiens OX=9606 GN=RPL28 PE=1 SV=1;tr|H0YKD8|H0YKD8_HUMAN 60S ribosomal protein L28 OS=Homo sapiens OX=9606 G,8,8,37.2,137
TMOD3,0.4748634304,0.0816129721330462,0,Q9NYL9;H0YKU1;H0YNJ8,Q9NYL9;H0YKU1;H0YNJ8,4;4;4,4;4;4,4;4;4,Tropomodulin-3,TMOD3,sp|Q9NYL9|TMOD3_HUMAN Tropomodulin-3 OS=Homo sapiens OX=9606 GN=TMOD3 PE=1 SV=1;tr|H0YKU1|H0YKU1_HUMAN Tropomodulin-3 (Fragment) OS=Homo sapiens OX=9606 GN=TMOD3 PE=1 SV=1;tr|H0YNJ8|H0YNJ8_HUMAN Tropomodulin-3 OS=Homo sapiens OX=9606 GN=TMOD3 PE=1 SV=1,4,4,15.6,352
PSMA4,-0.0413218836,0.692286853540983,0,P25789;H0YMZ1;H0YL69;H0YMA1;H0YMI6;H0YN18;H0YKT8;H0YLS6;H0YLC2;H0YKS0,P25789;H0YMZ1;H0YL69;H0YMA1;H0YMI6;H0YN18;H0YKT8;H0YLS6;H0YLC2,8;8;8;7;6;6;5;4;4;3,8;8;8;7;6;6;5;4;4;3,8;8;8;7;6;6;5;4;4;3,Proteasome subunit alpha type-4;Proteasome subunit alpha type;Proteasome subunit beta type,PSMA4,sp|P25789|PSA4_HUMAN Proteasome subunit alpha type-4 OS=Homo sapiens OX=9606 GN=PSMA4 PE=1 SV=1;tr|H0YMZ1|H0YMZ1_HUMAN Proteasome subunit alpha type (Fragment) OS=Homo sapiens OX=9606 GN=PSMA4 PE=1 SV=8;tr|H0YL69|H0YL69_HUMAN Proteasome subunit alpha type ,8,8,48.7,261
FAH,0.1663748871,0.491199020719706,0,P16930;H0YLC7,P16930;H0YLC7,3;3,3;3,3;3,Fumarylacetoacetase,FAH,sp|P16930|FAAA_HUMAN Fumarylacetoacetase OS=Homo sapiens OX=9606 GN=FAH PE=1 SV=2;tr|H0YLC7|H0YLC7_HUMAN Fumarylacetoacetase (Fragment) OS=Homo sapiens OX=9606 GN=FAH PE=1 SV=1,3,3,14.1,419
RPS27L,-0.1196284032,0.275030726778924,0,Q71UM5;H0YMV8;C9JLI6,Q71UM5;H0YMV8;C9JLI6,3;3;2,3;3;2,1;1;1,40S ribosomal protein S27-like;40S ribosomal protein S27,RPS27L,sp|Q71UM5|RS27L_HUMAN 40S ribosomal protein S27-like OS=Homo sapiens OX=9606 GN=RPS27L PE=1 SV=3;tr|H0YMV8|H0YMV8_HUMAN 40S ribosomal protein S27 OS=Homo sapiens OX=9606 GN=RPS27L PE=1 SV=1;tr|C9JLI6|C9JLI6_HUMAN 40S ribosomal protein S27 OS=Homo sapiens O,3,1,40.5,84
ANP32A,-0.1283476783,0.526680997050908,0,P39687;H0YN26;H7BZ09;O43423,P39687;H0YN26,9;9;3;1,9;9;3;1,8;8;3;1,Acidic leucine-rich nuclear phosphoprotein 32 family member A,ANP32A,sp|P39687|AN32A_HUMAN Acidic leucine-rich nuclear phosphoprotein 32 family member A OS=Homo sapiens OX=9606 GN=ANP32A PE=1 SV=1;tr|H0YN26|H0YN26_HUMAN Acidic leucine-rich nuclear phosphoprotein 32 family member A OS=Homo sapiens OX=9606 GN=ANP32A PE=1 SV=1,9,8,41.4,249
DUT,0.1659542915,0.43008369139235,0,P33316;H0YNW5;A0A0C4DGL3;H0YKC5;H0YMP1;H0YMM5;H0YNJ9;H0YKI0,P33316;H0YNW5;A0A0C4DGL3;H0YKC5;H0YMP1;H0YMM5;H0YNJ9;H0YKI0,5;5;4;4;3;3;3;3,5;5;4;4;3;3;3;3,5;5;4;4;3;3;3;3,"Deoxyuridine 5-triphosphate nucleotidohydrolase, mitochondrial",DUT,"sp|P33316|DUT_HUMAN Deoxyuridine 5-triphosphate nucleotidohydrolase, mitochondrial OS=Homo sapiens OX=9606 GN=DUT PE=1 SV=4;tr|H0YNW5|H0YNW5_HUMAN Deoxyuridine 5-triphosphate nucleotidohydrolase OS=Homo sapiens OX=9606 GN=DUT PE=1 SV=1;tr|A0A0C4DGL3|A0A0",5,5,26.2,252
RAB11A;RAB11B,-0.27814032,0.0464431669130285,0,P62491;Q15907;H3BMH2;H3BSC1;B4DQU5;P57735,P62491;Q15907;H3BMH2;H3BSC1,11;11;11;11;3;1,11;11;11;11;3;1,11;11;11;11;3;1,Ras-related protein Rab-11A;Ras-related protein Rab-11B,RAB11A;RAB11B,sp|P62491|RB11A_HUMAN Ras-related protein Rab-11A OS=Homo sapiens OX=9606 GN=RAB11A PE=1 SV=3;sp|Q15907|RB11B_HUMAN Ras-related protein Rab-11B OS=Homo sapiens OX=9606 GN=RAB11B PE=1 SV=4;tr|H3BMH2|H3BMH2_HUMAN Ras-related protein Rab-11A (Fragment) OS=Hom,11,11,40.3,216
RNPS1,-0.4576263545,0.0210927598039959,0,Q15287;H3BV80;H3BMM9;H3BTC0;H3BPG5;H3BMS0,Q15287;H3BV80;H3BMM9;H3BTC0;H3BPG5;H3BMS0,4;4;4;4;3;3,4;4;4;4;3;3,4;4;4;4;3;3,RNA-binding protein with serine-rich domain 1,RNPS1,sp|Q15287|RNPS1_HUMAN RNA-binding protein with serine-rich domain 1 OS=Homo sapiens OX=9606 GN=RNPS1 PE=1 SV=1;tr|H3BV80|H3BV80_HUMAN RNA-binding protein with serine-rich domain 1 OS=Homo sapiens OX=9606 GN=RNPS1 PE=1 SV=2;tr|H3BMM9|H3BMM9_HUMAN RNA-bindin,4,4,22.6,305
IST1,-0.4911589493,0.00732272128645634,0,P53990;H3BMU1;H3BUI0;H3BQF7;J3KR23;H3BQ38;E9PF00;H3BPP6;H3BRE2;F5GXM3,P53990;H3BMU1;H3BUI0;H3BQF7;J3KR23,3;3;3;2;2;1;1;1;1;1,3;3;3;2;2;1;1;1;1;1,3;3;3;2;2;1;1;1;1;1,IST1 homolog,IST1,sp|P53990|IST1_HUMAN IST1 homolog OS=Homo sapiens OX=9606 GN=IST1 PE=1 SV=1;tr|H3BMU1|H3BMU1_HUMAN IST1 homolog (Fragment) OS=Homo sapiens OX=9606 GN=IST1 PE=1 SV=1;tr|H3BUI0|H3BUI0_HUMAN IST1 homolog (Fragment) OS=Homo sapiens OX=9606 GN=IST1 PE=1 SV=1;tr,3,3,9.6,364
RPS17,0.3481176656,0.0256609621932403,0,P08708;H3BNC9;H0YN88;A0A075B716;H0YN73;A0A0J9YYC4,P08708;H3BNC9;H0YN88;A0A075B716,12;12;10;10;5;1,12;12;10;10;5;1,12;12;10;10;5;1,40S ribosomal protein S17,RPS17,sp|P08708|RS17_HUMAN 40S ribosomal protein S17 OS=Homo sapiens OX=9606 GN=RPS17 PE=1 SV=2;tr|H3BNC9|H3BNC9_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 PE=3 SV=2;tr|H0YN88|H0YN88_HUMAN 40S ribosomal protein S17 OS=Homo sapiens OX=9606 GN=RPS17 PE=,12,12,65.2,135
COX5A,-0.1520250852,0.183186800340143,0,P20674;H3BNX8;H3BRM5;H3BV69;H3BRI0,P20674;H3BNX8;H3BRM5;H3BV69,5;5;3;3;1,5;5;3;3;1,5;5;3;3;1,"Cytochrome c oxidase subunit 5A, mitochondrial",COX5A,"sp|P20674|COX5A_HUMAN Cytochrome c oxidase subunit 5A, mitochondrial OS=Homo sapiens OX=9606 GN=COX5A PE=1 SV=2;tr|H3BNX8|H3BNX8_HUMAN Cytochrome c oxidase subunit 5A, mitochondrial OS=Homo sapiens OX=9606 GN=COX5A PE=1 SV=1;tr|H3BRM5|H3BRM5_HUMAN Cytochro",5,5,32.7,150
HEXA,-0.9800308113,0.000596502116367393,0,P06865;H3BS10;H3BP20;H3BU85;H3BTD4,P06865;H3BS10;H3BP20;H3BU85;H3BTD4,2;2;2;1;1,2;2;2;1;1,2;2;2;1;1,Beta-hexosaminidase subunit alpha;Beta-hexosaminidase,HEXA,sp|P06865|HEXA_HUMAN Beta-hexosaminidase subunit alpha OS=Homo sapiens OX=9606 GN=HEXA PE=1 SV=2;tr|H3BS10|H3BS10_HUMAN Beta-hexosaminidase OS=Homo sapiens OX=9606 GN=HEXA PE=1 SV=1;tr|H3BP20|H3BP20_HUMAN Beta-hexosaminidase OS=Homo sapiens OX=9606 GN=HEXA,2,2,4.2,529
FUS,-0.0642455396,0.690122001625312,0,P35637;H3BPE7,P35637;H3BPE7,4;4,4;4,4;4,RNA-binding protein FUS,FUS,sp|P35637|FUS_HUMAN RNA-binding protein FUS OS=Homo sapiens OX=9606 GN=FUS PE=1 SV=1;tr|H3BPE7|H3BPE7_HUMAN RNA-binding protein FUS OS=Homo sapiens OX=9606 GN=FUS PE=1 SV=1,4,4,10.5,526
PFDN5,0.6020759313,0.0500094388258699,0,Q99471;H3BPF6;H3BMQ1,Q99471;H3BPF6;H3BMQ1,3;3;2,3;3;2,3;3;2,Prefoldin subunit 5,PFDN5,sp|Q99471|PFD5_HUMAN Prefoldin subunit 5 OS=Homo sapiens OX=9606 GN=PFDN5 PE=1 SV=2;tr|H3BPF6|H3BPF6_HUMAN Prefoldin subunit 5 (Fragment) OS=Homo sapiens OX=9606 GN=PFDN5 PE=1 SV=1;tr|H3BMQ1|H3BMQ1_HUMAN Prefoldin subunit 5 OS=Homo sapiens OX=9606 GN=PFDN5,3,3,26.6,154
HAGH,-0.737327204,0.00154253696207474,0,Q16775;H3BPK3;H3BPQ4;H3BQW8,Q16775;H3BPK3;H3BPQ4;H3BQW8,3;3;3;2,3;3;3;2,3;3;3;2,"Hydroxyacylglutathione hydrolase, mitochondrial",HAGH,"sp|Q16775|GLO2_HUMAN Hydroxyacylglutathione hydrolase, mitochondrial OS=Homo sapiens OX=9606 GN=HAGH PE=1 SV=2;tr|H3BPK3|H3BPK3_HUMAN Hydroxyacylglutathione hydrolase, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=HAGH PE=1 SV=1;tr|H3BPQ4|H3BPQ4_HUMA",3,3,11.4,308
PDIA3,-0.2458266297,0.0630632679941474,0,H7BZJ3,H7BZJ3,8,1,1,,PDIA3,tr|H7BZJ3|H7BZJ3_HUMAN Protein disulfide-isomerase A3 (Fragment) OS=Homo sapiens OX=9606 GN=PDIA3 PE=1 SV=1,8,1,58.5,123
EBNA1BP2,-0.090446902,0.54226823029195,0,Q99848;H7C2Q8,Q99848;H7C2Q8,4;4,4;4,4;4,Probable rRNA-processing protein EBP2,EBNA1BP2,"sp|Q99848|EBP2_HUMAN Probable rRNA-processing protein EBP2 OS=Homo sapiens OX=9606 GN=EBNA1BP2 PE=1 SV=2;tr|H7C2Q8|H7C2Q8_HUMAN EBNA1 binding protein 2, isoform CRA_d OS=Homo sapiens OX=9606 GN=EBNA1BP2 PE=1 SV=1",4,4,20.3,306
