Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity TLE3-N1,Intensity TLE3-N2,Intensity BirA-alone-N1,Intensity BirA-alone-N2
O75808;H3BR03;A0A1B0GVE3,O75808;H3BR03;A0A1B0GVE3,2;1;1,2;1;1,2;1;1,Calpain-15,CAPN15,sp|O75808|CAN15_HUMAN Calpain-15 OS=Homo sapiens OX=9606 GN=CAPN15 PE=1 SV=1;tr|H3BR03|H3BR03_HUMAN Calpain-15 (Fragment) OS=Homo sapiens OX=9606 GN=CAPN15 PE=1 SV=8;tr|A0A1B0GVE3|A0A1B0GVE3_HUMAN Calpain-15 (Fragment) OS=Homo sapiens OX=9606 GN=CAPN15 PE=,2,2,3.5,23.6454884655456,23.6838889977838,4.43802889902157,4.4166468749236
Q14444;G3V153;E9PLA9,Q14444;G3V153;E9PLA9,3;3;2,3;3;2,3;3;2,Caprin-1,CAPRIN1,sp|Q14444|CAPR1_HUMAN Caprin-1 OS=Homo sapiens OX=9606 GN=CAPRIN1 PE=1 SV=2;tr|G3V153|G3V153_HUMAN Caprin-1 OS=Homo sapiens OX=9606 GN=CAPRIN1 PE=1 SV=1;tr|E9PLA9|E9PLA9_HUMAN Caprin-1 (Fragment) OS=Homo sapiens OX=9606 GN=CAPRIN1 PE=1 SV=1,3,3,4.8,4.20850867790137,4.29066777690332,25.4849290726595,25.4445223100848
P52907,P52907,9,9,8,F-actin-capping protein subunit alpha-1,CAPZA1,sp|P52907|CAZA1_HUMAN F-actin-capping protein subunit alpha-1 OS=Homo sapiens OX=9606 GN=CAPZA1 PE=1 SV=3,9,8,51.4,27.6576504582264,24.165686632694,26.4643997945544,25.4719058755547
P47755;C9JUG7;F8W9N7;A0A0D9SET8,P47755;C9JUG7;F8W9N7;A0A0D9SET8,3;2;2;2,2;1;1;1,2;1;1;1,F-actin-capping protein subunit alpha-2,CAPZA2,sp|P47755|CAZA2_HUMAN F-actin-capping protein subunit alpha-2 OS=Homo sapiens OX=9606 GN=CAPZA2 PE=1 SV=3;tr|C9JUG7|C9JUG7_HUMAN F-actin-capping protein subunit alpha OS=Homo sapiens OX=9606 GN=CAPZA2 PE=1 SV=1;tr|F8W9N7|F8W9N7_HUMAN F-actin-capping protei,3,2,15.0,24.3055647114554,24.3909778640146,4.43802889902157,4.4166468749236
P47756;B1AK87;B1AK85;B1AK88,P47756;B1AK87;B1AK85;B1AK88,10;9;9;9,10;9;9;9,10;9;9;9,F-actin-capping protein subunit beta,CAPZB,sp|P47756|CAPZB_HUMAN F-actin-capping protein subunit beta OS=Homo sapiens OX=9606 GN=CAPZB PE=1 SV=4;tr|B1AK87|B1AK87_HUMAN F-actin-capping protein subunit beta OS=Homo sapiens OX=9606 GN=CAPZB PE=1 SV=1;tr|B1AK85|B1AK85_HUMAN F-actin-capping protein subu,10,10,45.8,23.3253863300804,22.4624882935457,28.505291486853,28.4429654462031
P49589;B4DKY1,P49589;B4DKY1,3;3,3;3,3;3,"Cysteine--tRNA ligase, cytoplasmic",CARS,"sp|P49589|SYCC_HUMAN Cysteine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=CARS1 PE=1 SV=3;tr|B4DKY1|B4DKY1_HUMAN Cysteine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=CARS1 PE=1 SV=1",3,3,4.0,4.20850867790137,4.29066777690332,24.9064190567831,24.6901382558025
Q8NG31;H0YCZ2;H0YEY7,Q8NG31;H0YCZ2,107;63;11,107;63;11,36;36;11,Protein CASC5,CASC5,sp|Q8NG31|KNL1_HUMAN Kinetochore scaffold 1 OS=Homo sapiens OX=9606 GN=KNL1 PE=1 SV=3;tr|H0YCZ2|H0YCZ2_HUMAN Kinetochore scaffold 1 (Fragment) OS=Homo sapiens OX=9606 GN=KNL1 PE=1 SV=1,107,36,46.7,31.5431006190524,32.0299625969662,26.4333261550628,26.0229087425674
P49662;E9PMT1;P51878;Q6UXS9;H7C0P5;A0A384DVP2,P49662,8;3;2;1;1;1,8;3;2;1;1;1,8;3;2;1;1;1,Caspase-4;Caspase-4 subunit 1;Caspase-4 subunit 2,CASP4,sp|P49662|CASP4_HUMAN Caspase-4 OS=Homo sapiens OX=9606 GN=CASP4 PE=1 SV=1,8,8,27.6,4.20850867790137,4.29066777690332,26.9684015489097,27.0486401931693
Q14790;E7ETB7;E7EQ06;A0A0A0MS31;E7EQ01;E7EVN1;C9JB29,Q14790;E7ETB7;E7EQ06;A0A0A0MS31;E7EQ01;E7EVN1;C9JB29,2;2;2;2;1;1;1,2;2;2;2;1;1;1,2;2;2;2;1;1;1,Caspase-8;Caspase-8 subunit p18;Caspase-8 subunit p10,CASP8,sp|Q14790|CASP8_HUMAN Caspase-8 OS=Homo sapiens OX=9606 GN=CASP8 PE=1 SV=1;tr|E7ETB7|E7ETB7_HUMAN Caspase-8 (Fragment) OS=Homo sapiens OX=9606 GN=CASP8 PE=1 SV=1;tr|E7EQ06|E7EQ06_HUMAN Caspase-8 (Fragment) OS=Homo sapiens OX=9606 GN=CASP8 PE=1 SV=1;tr|A0A0,2,2,4.0,4.20850867790137,4.29066777690332,23.7611137310158,22.8220930856658
P20810;A0A0C4DGB5;B7Z574;E9PCH5;E7ES10;E7EVY3;H0Y7F0;E9PDE4;H0Y9H6;E7EQA0;E7EQ12;A0A0A0MR45;H0YD33;F8W7E0;E9PSG1;H0Y944;A0A0C4DGD1;D6RC54;E7EQK6;H0YA91,P20810;A0A0C4DGB5;B7Z574;E9PCH5;E7ES10;E7EVY3;H0Y7F0;E9PDE4;H0Y9H6;E7EQA0;E7EQ12;A0A0A0MR45;H0YD33,11;11;11;11;11;10;9;9;8;8;8;7;7;3;2;2;2;2;1;1,11;11;11;11;11;10;9;9;8;8;8;7;7;3;2;2;2;2;1;1,11;11;11;11;11;10;9;9;8;8;8;7;7;3;2;2;2;2;1;1,Calpastatin,CAST,sp|P20810|ICAL_HUMAN Calpastatin OS=Homo sapiens OX=9606 GN=CAST PE=1 SV=4;tr|A0A0C4DGB5|A0A0C4DGB5_HUMAN Calpastatin OS=Homo sapiens OX=9606 GN=CAST PE=1 SV=1;tr|B7Z574|B7Z574_HUMAN Calpastatin OS=Homo sapiens OX=9606 GN=CAST PE=1 SV=1;tr|E9PCH5|E9PCH5_HU,11,11,26.7,4.20850867790137,4.29066777690332,28.6137204572804,28.6123500260253
Q13951;A0A494C0A9;J3KS23;H3BSC0;J3KRT0,Q13951;A0A494C0A9;J3KS23;H3BSC0,4;4;2;2;1,4;4;2;2;1,4;4;2;2;1,Core-binding factor subunit beta,CBFB,sp|Q13951|PEBB_HUMAN Core-binding factor subunit beta OS=Homo sapiens OX=9606 GN=CBFB PE=1 SV=2;tr|A0A494C0A9|A0A494C0A9_HUMAN Core-binding factor subunit beta OS=Homo sapiens OX=9606 GN=CBFB PE=1 SV=1;tr|J3KS23|J3KS23_HUMAN Core-binding factor subunit bet,4,4,22.0,24.8757242327645,25.9923941756369,4.43802889902157,4.4166468749236
P22681;A0A0U1RR39;A0A1B0GW38;A0A0U1RQX8;A0A2R8YDW4;C9JU85;A0A2R8Y7I2,P22681;A0A0U1RR39;A0A1B0GW38;A0A0U1RQX8,15;14;14;14;1;1;1,15;14;14;14;1;1;1,14;13;13;13;0;0;0,E3 ubiquitin-protein ligase CBL,CBL,sp|P22681|CBL_HUMAN E3 ubiquitin-protein ligase CBL OS=Homo sapiens OX=9606 GN=CBL PE=1 SV=2;tr|A0A0U1RR39|A0A0U1RR39_HUMAN E3 ubiquitin-protein ligase CBL OS=Homo sapiens OX=9606 GN=CBL PE=1 SV=1;tr|A0A1B0GW38|A0A1B0GW38_HUMAN E3 ubiquitin-protein ligase,15,14,20.4,22.8248677482328,21.8439118529014,28.0285472056947,27.61329892476
Q75N03;C9J2P9;F8WEM5;C9K074,Q75N03;C9J2P9,4;3;1;1,4;3;1;1,4;3;1;1,E3 ubiquitin-protein ligase Hakai,CBLL1,sp|Q75N03|HAKAI_HUMAN E3 ubiquitin-protein ligase Hakai OS=Homo sapiens OX=9606 GN=CBLL1 PE=1 SV=1;tr|C9J2P9|C9J2P9_HUMAN E3 ubiquitin-protein ligase Hakai (Fragment) OS=Homo sapiens OX=9606 GN=CBLL1 PE=1 SV=8,4,4,14.3,25.2611945092568,25.4746003895794,4.43802889902157,4.4166468749236
Q13185;P83916;B8ZZ43;C9JMM0;S4R2Y4;K7ELA4;B5MD17;J3KS05,Q13185,3;1;1;1;1;1;1;1,3;1;1;1;1;1;1;1,3;1;1;1;1;1;1;1,Chromobox protein homolog 3,CBX3,sp|Q13185|CBX3_HUMAN Chromobox protein homolog 3 OS=Homo sapiens OX=9606 GN=CBX3 PE=1 SV=4,3,3,23.0,24.1588475637925,24.4631995555108,24.9146989939742,25.2625929734968
Q6P1N0;K7EJY5,Q6P1N0;K7EJY5,3;2,3;2,3;2,Coiled-coil and C2 domain-containing protein 1A,CC2D1A,sp|Q6P1N0|C2D1A_HUMAN Coiled-coil and C2 domain-containing protein 1A OS=Homo sapiens OX=9606 GN=CC2D1A PE=1 SV=1;tr|K7EJY5|K7EJY5_HUMAN Coiled-coil and C2 domain-containing protein 1A (Fragment) OS=Homo sapiens OX=9606 GN=CC2D1A PE=1 SV=1,3,3,2.9,4.20850867790137,4.29066777690332,22.8055588953546,23.9812864536842
Q8IX12;A0A0C4DGG8;F5H1H2;F5H2E6;F5H3E1;H0YFJ7,Q8IX12;A0A0C4DGG8;F5H1H2;F5H2E6;F5H3E1,17;15;12;12;9;1,17;15;12;12;9;1,17;15;12;12;9;1,Cell division cycle and apoptosis regulator protein 1,CCAR1,sp|Q8IX12|CCAR1_HUMAN Cell division cycle and apoptosis regulator protein 1 OS=Homo sapiens OX=9606 GN=CCAR1 PE=1 SV=2;tr|A0A0C4DGG8|A0A0C4DGG8_HUMAN Cell division cycle and apoptosis regulator protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=CCAR1 PE=1 SV=,17,17,20.6,28.0022798914231,27.1517050167203,24.1833633919656,24.755725413053
Q8N163;H0YB24;E5RHJ4;H0YC69;E5RFJ3;H0YC58;E5RGU7,Q8N163;H0YB24,24;16;8;4;4;4;3,24;16;8;4;4;4;3,10;2;5;4;4;4;3,Cell cycle and apoptosis regulator protein 2,CCAR2,sp|Q8N163|CCAR2_HUMAN Cell cycle and apoptosis regulator protein 2 OS=Homo sapiens OX=9606 GN=CCAR2 PE=1 SV=2;tr|H0YB24|H0YB24_HUMAN Cell cycle and apoptosis regulator protein 2 (Fragment) OS=Homo sapiens OX=9606 GN=CCAR2 PE=1 SV=1,24,10,35.5,29.1554978657014,28.2082048078414,28.4302183570926,28.0022262307123
Q96CT7,Q96CT7,2,2,2,Coiled-coil domain-containing protein 124,CCDC124,sp|Q96CT7|CC124_HUMAN Coiled-coil domain-containing protein 124 OS=Homo sapiens OX=9606 GN=CCDC124 PE=1 SV=1,2,2,10.3,4.20850867790137,4.29066777690332,25.0788345594308,24.3987828270151
Q96JG6;H0Y7Q2,Q96JG6,3;1,3;1,3;1,Coiled-coil domain-containing protein 132,CCDC132,sp|Q96JG6|VPS50_HUMAN Syndetin OS=Homo sapiens OX=9606 GN=VPS50 PE=1 SV=3,3,3,2.9,4.20850867790137,4.29066777690332,22.7856639844921,28.2934246385674
Q8NDH2,Q8NDH2,2,2,2,Coiled-coil domain-containing protein 168,CCDC168,sp|Q8NDH2|CC168_HUMAN Coiled-coil domain-containing protein 168 OS=Homo sapiens OX=9606 GN=CCDC168 PE=2 SV=2,2,2,1.4,32.3550458841185,32.537349003298,24.7911903185565,23.9817362185561
Q6PII3;A0A0B4J1R8;A0A087WYA9,Q6PII3;A0A0B4J1R8;A0A087WYA9,16;14;13,16;14;13,16;14;13,Coiled-coil domain-containing protein 174,CCDC174,sp|Q6PII3|CC174_HUMAN Coiled-coil domain-containing protein 174 OS=Homo sapiens OX=9606 GN=CCDC174 PE=1 SV=3;tr|A0A0B4J1R8|A0A0B4J1R8_HUMAN Coiled-coil domain-containing protein 174 OS=Homo sapiens OX=9606 GN=CCDC174 PE=1 SV=1;tr|A0A087WYA9|A0A087WYA9_HUMA,16,16,31.0,26.2283196251884,27.0480165048358,28.0176517043207,28.0478605406144
Q86WR0;G3V121;B7Z2L8;Q0VGD4,Q86WR0,9;4;4;1,9;4;4;1,9;4;4;1,Coiled-coil domain-containing protein 25,CCDC25,sp|Q86WR0|CCD25_HUMAN Coiled-coil domain-containing protein 25 OS=Homo sapiens OX=9606 GN=CCDC25 PE=1 SV=2,9,9,35.1,25.28556223323,25.2310804309239,28.2050378355014,27.6922552554256
Q96MW1;Q86WV7;K7ER24,Q96MW1;Q86WV7,6;6;2,6;6;2,6;6;2,Coiled-coil domain-containing protein 43,CCDC43,sp|Q96MW1|CCD43_HUMAN Coiled-coil domain-containing protein 43 OS=Homo sapiens OX=9606 GN=CCDC43 PE=1 SV=2;tr|Q86WV7|Q86WV7_HUMAN CCDC43 protein OS=Homo sapiens OX=9606 GN=CCDC43 PE=1 SV=1,6,6,32.6,4.20850867790137,4.29066777690332,28.6777133519761,27.4328484678312
Q96A33;A0A087WYW6;J3QR89,Q96A33;A0A087WYW6;J3QR89,2;2;1,2;2;1,2;2;1,Coiled-coil domain-containing protein 47,CCDC47,sp|Q96A33|CCD47_HUMAN Coiled-coil domain-containing protein 47 OS=Homo sapiens OX=9606 GN=CCDC47 PE=1 SV=1;tr|A0A087WYW6|A0A087WYW6_HUMAN Coiled-coil domain-containing protein 47 OS=Homo sapiens OX=9606 GN=CCDC47 PE=1 SV=1;tr|J3QR89|J3QR89_HUMAN Uncharacte,2,2,5.0,4.20850867790137,4.29066777690332,24.3118131598024,24.3126442452505
Q8IVM0,Q8IVM0,6,6,6,Coiled-coil domain-containing protein 50,CCDC50,sp|Q8IVM0|CCD50_HUMAN Coiled-coil domain-containing protein 50 OS=Homo sapiens OX=9606 GN=CCDC50 PE=1 SV=1,6,6,36.6,23.2145255099069,22.0725107867013,27.3486615711413,27.1158488637436
Q16204,Q16204,7,7,7,Coiled-coil domain-containing protein 6,CCDC6,sp|Q16204|CCDC6_HUMAN Coiled-coil domain-containing protein 6 OS=Homo sapiens OX=9606 GN=CCDC6 PE=1 SV=2,7,7,16.5,22.8363416589885,23.8918949264474,25.308865875752,25.4969220261068
A6NKD9;G3V4C8;H0YJY5;H0YJE0,A6NKD9,5;1;1;1,5;1;1;1,5;1;1;1,Coiled-coil domain-containing protein 85C,CCDC85C,sp|A6NKD9|CC85C_HUMAN Coiled-coil domain-containing protein 85C OS=Homo sapiens OX=9606 GN=CCDC85C PE=1 SV=1,5,5,16.2,4.20850867790137,4.29066777690332,25.5295763917863,24.0624170911931
Q9BW85;M0R2S3,Q9BW85;M0R2S3,6;5,6;5,6;5,Coiled-coil domain-containing protein 94,CCDC94,sp|Q9BW85|YJU2_HUMAN Splicing factor YJU2 OS=Homo sapiens OX=9606 GN=YJU2 PE=1 SV=1;tr|M0R2S3|M0R2S3_HUMAN Splicing factor YJU2 (Fragment) OS=Homo sapiens OX=9606 GN=YJU2 PE=1 SV=8,6,6,19.8,23.9645509860236,24.3772207628508,25.1640758397543,25.1046960028048
O75909;G3V5E1;G3V2Q3;G3V235,O75909;G3V5E1;G3V2Q3,16;14;9;6,16;14;9;6,16;14;9;6,Cyclin-K,CCNK,sp|O75909|CCNK_HUMAN Cyclin-K OS=Homo sapiens OX=9606 GN=CCNK PE=1 SV=2;tr|G3V5E1|G3V5E1_HUMAN Cyclin-K OS=Homo sapiens OX=9606 GN=CCNK PE=1 SV=1;tr|G3V2Q3|G3V2Q3_HUMAN Cyclin-K (Fragment) OS=Homo sapiens OX=9606 GN=CCNK PE=1 SV=1,16,16,37.6,29.2903735908861,29.0047193447608,27.2119681804507,26.7421402040653
O60563;A0A1W2PQ16;C9JUL2;H7BZ27;F8WDY7;F2Z2C9,O60563,20;6;1;1;1;1,20;6;1;1;1;1,18;5;0;0;0;0,Cyclin-T1,CCNT1,sp|O60563|CCNT1_HUMAN Cyclin-T1 OS=Homo sapiens OX=9606 GN=CCNT1 PE=1 SV=1,20,18,39.3,29.7947017196765,29.4225597987269,28.7967760034004,28.9034282170398
O60583,O60583,4,2,2,Cyclin-T2,CCNT2,sp|O60583|CCNT2_HUMAN Cyclin-T2 OS=Homo sapiens OX=9606 GN=CCNT2 PE=1 SV=2,4,2,7.5,22.8406696030922,22.7503986837164,4.43802889902157,4.4166468749236
O14618;J3KNF4;E9PP76;E9PK03,O14618;J3KNF4;E9PP76;E9PK03,2;2;1;1,2;2;1;1,2;2;1;1,Copper chaperone for superoxide dismutase;Superoxide dismutase [Cu-Zn],CCS,sp|O14618|CCS_HUMAN Copper chaperone for superoxide dismutase OS=Homo sapiens OX=9606 GN=CCS PE=1 SV=1;tr|J3KNF4|J3KNF4_HUMAN Copper chaperone for superoxide dismutase OS=Homo sapiens OX=9606 GN=CCS PE=1 SV=1;tr|E9PP76|E9PP76_HUMAN Copper chaperone for sup,2,2,15.0,4.20850867790137,4.29066777690332,24.5936031234191,24.6954581299705
P78371;F5GWF6;F8VQ14,P78371;F5GWF6;F8VQ14,18;17;13,18;17;13,18;17;13,T-complex protein 1 subunit beta,CCT2,sp|P78371|TCPB_HUMAN T-complex protein 1 subunit beta OS=Homo sapiens OX=9606 GN=CCT2 PE=1 SV=4;tr|F5GWF6|F5GWF6_HUMAN T-complex protein 1 subunit beta OS=Homo sapiens OX=9606 GN=CCT2 PE=1 SV=2;tr|F8VQ14|F8VQ14_HUMAN T-complex protein 1 subunit beta OS=Hom,18,18,44.3,27.5337106600222,26.9644408187874,26.1432816862151,25.535639892993
P48643;E7ENZ3;D6RIZ7;H0Y914;B7ZAR1;E9PCA1,P48643;E7ENZ3;D6RIZ7;H0Y914;B7ZAR1;E9PCA1,2;2;1;1;1;1,2;2;1;1;1;1,2;2;1;1;1;1,T-complex protein 1 subunit epsilon,CCT5,sp|P48643|TCPE_HUMAN T-complex protein 1 subunit epsilon OS=Homo sapiens OX=9606 GN=CCT5 PE=1 SV=1;tr|E7ENZ3|E7ENZ3_HUMAN T-complex protein 1 subunit epsilon OS=Homo sapiens OX=9606 GN=CCT5 PE=1 SV=1;tr|D6RIZ7|D6RIZ7_HUMAN T-complex protein 1 subunit epsil,2,2,6.8,23.8963348223332,22.3730786078494,22.6893172492644,24.3029183305457
P40227,P40227,4,4,3,T-complex protein 1 subunit zeta,CCT6A,sp|P40227|TCPZ_HUMAN T-complex protein 1 subunit zeta OS=Homo sapiens OX=9606 GN=CCT6A PE=1 SV=3,4,3,9.4,24.1183469789448,22.2876842016368,26.7648381901326,26.8640786227041
P50990;H7C4C8;H7C2U0,P50990,45;21;7,45;21;7,45;21;7,T-complex protein 1 subunit theta,CCT8,sp|P50990|TCPQ_HUMAN T-complex protein 1 subunit theta OS=Homo sapiens OX=9606 GN=CCT8 PE=1 SV=4,45,45,79.6,32.0497959023291,31.8444579055541,34.2004029386679,34.0708800921088
Q9Y5K6,Q9Y5K6,42,42,42,CD2-associated protein,CD2AP,sp|Q9Y5K6|CD2AP_HUMAN CD2-associated protein OS=Homo sapiens OX=9606 GN=CD2AP PE=1 SV=1,42,42,64.9,28.0709152696138,27.9563758027247,32.8163496237955,32.924011292142
O95400,O95400,7,7,7,CD2 antigen cytoplasmic tail-binding protein 2,CD2BP2,sp|O95400|CD2B2_HUMAN CD2 antigen cytoplasmic tail-binding protein 2 OS=Homo sapiens OX=9606 GN=CD2BP2 PE=1 SV=1,7,7,25.5,26.0161218724723,26.3877504668107,4.43802889902157,4.4166468749236
P16070;H0YD13;H0Y2P0;H0YE40;H0YDX6;H0YD17;H0YDW7;H0YCV9;H0Y5E4;E9PKC6;J3KN83,P16070;H0YD13;H0Y2P0;H0YE40;H0YDX6;H0YD17;H0YDW7;H0YCV9;H0Y5E4,4;4;4;2;2;2;2;2;2;1;1,4;4;4;2;2;2;2;2;2;1;1,4;4;4;2;2;2;2;2;2;1;1,CD44 antigen,CD44,sp|P16070|CD44_HUMAN CD44 antigen OS=Homo sapiens OX=9606 GN=CD44 PE=1 SV=3;tr|H0YD13|H0YD13_HUMAN CD44 antigen OS=Homo sapiens OX=9606 GN=CD44 PE=1 SV=2;tr|H0Y2P0|H0Y2P0_HUMAN CD44 antigen (Fragment) OS=Homo sapiens OX=9606 GN=CD44 PE=1 SV=1;tr|H0YE40|H0Y,4,4,6.1,4.20850867790137,4.29066777690332,26.344129948342,24.7821179889762
P32320,P32320,2,2,2,Cytidine deaminase,CDA,sp|P32320|CDD_HUMAN Cytidine deaminase OS=Homo sapiens OX=9606 GN=CDA PE=1 SV=2,2,2,20.5,4.20850867790137,4.29066777690332,23.7613166702539,24.1335944139335
Q13042;A0A3B3ISD2;Q5T8C6,Q13042;A0A3B3ISD2;Q5T8C6,3;3;2,3;3;2,3;3;2,Cell division cycle protein 16 homolog,CDC16,sp|Q13042|CDC16_HUMAN Cell division cycle protein 16 homolog OS=Homo sapiens OX=9606 GN=CDC16 PE=1 SV=2;tr|A0A3B3ISD2|A0A3B3ISD2_HUMAN Cell division cycle protein 16 homolog OS=Homo sapiens OX=9606 GN=CDC16 PE=1 SV=1;tr|Q5T8C6|Q5T8C6_HUMAN Cell division cy,3,3,5.8,4.20850867790137,4.29066777690332,25.2013498075986,24.9344960713872
Q9UJX2;D6RBY8;D6RCF8;H0Y936,Q9UJX2,12;1;1;1,12;1;1;1,12;1;1;1,Cell division cycle protein 23 homolog,CDC23,sp|Q9UJX2|CDC23_HUMAN Cell division cycle protein 23 homolog OS=Homo sapiens OX=9606 GN=CDC23 PE=1 SV=3,12,12,23.6,26.8143338757973,26.1879754231184,26.3990926089102,26.5917784426767
P30260;G5EA36;I3L394;I3L328;I3L3H6;F6QPS0,P30260;G5EA36,7;6;3;1;1;1,7;6;3;1;1;1,6;5;3;1;0;0,Cell division cycle protein 27 homolog,CDC27,"sp|P30260|CDC27_HUMAN Cell division cycle protein 27 homolog OS=Homo sapiens OX=9606 GN=CDC27 PE=1 SV=2;tr|G5EA36|G5EA36_HUMAN Cell division cycle 27, isoform CRA_c OS=Homo sapiens OX=9606 GN=CDC27 PE=1 SV=1",7,6,10.7,24.0207682047446,22.2432751125383,27.115551247437,27.0617787351009
Q16543;K7EQA9;K7EL68;K7EIU0;K7EKQ2,Q16543;K7EQA9;K7EL68,5;4;3;2;2,5;4;3;2;2,5;4;3;2;2,"Hsp90 co-chaperone Cdc37;Hsp90 co-chaperone Cdc37, N-terminally processed",CDC37,sp|Q16543|CDC37_HUMAN Hsp90 co-chaperone Cdc37 OS=Homo sapiens OX=9606 GN=CDC37 PE=1 SV=1;tr|K7EQA9|K7EQA9_HUMAN Hsp90 co-chaperone Cdc37 (Fragment) OS=Homo sapiens OX=9606 GN=CDC37 PE=1 SV=1;tr|K7EL68|K7EL68_HUMAN Hsp90 co-chaperone Cdc37 (Fragment) OS=Ho,5,5,19.6,4.20850867790137,4.29066777690332,27.0101997505577,25.7950858419343
Q99459,Q99459,26,26,26,Cell division cycle 5-like protein,CDC5L,sp|Q99459|CDC5L_HUMAN Cell division cycle 5-like protein OS=Homo sapiens OX=9606 GN=CDC5L PE=1 SV=2,26,26,44.8,27.6042060567325,26.7824429850445,29.3113801131112,29.1221340483818
Q6P1J9;A0A1B0GUB2;A0A3B3IRP5;A0A2R8YHB3;A0A2R8Y640;A0A3B3ISN2,Q6P1J9;A0A1B0GUB2;A0A3B3IRP5;A0A2R8YHB3;A0A2R8Y640;A0A3B3ISN2,6;6;6;5;4;3,6;6;6;5;4;3,6;6;6;5;4;3,Parafibromin,CDC73,sp|Q6P1J9|CDC73_HUMAN Parafibromin OS=Homo sapiens OX=9606 GN=CDC73 PE=1 SV=1;tr|A0A1B0GUB2|A0A1B0GUB2_HUMAN Parafibromin OS=Homo sapiens OX=9606 GN=CDC73 PE=1 SV=1;tr|A0A3B3IRP5|A0A3B3IRP5_HUMAN Parafibromin OS=Homo sapiens OX=9606 GN=CDC73 PE=1 SV=1;tr|A,6,6,14.5,24.5138654746367,24.1044560668272,23.97149654368,25.514636289082
Q69YH5;E9PEI0,Q69YH5;E9PEI0,2;2,2;2,2;2,Cell division cycle-associated protein 2,CDCA2,sp|Q69YH5|CDCA2_HUMAN Cell division cycle-associated protein 2 OS=Homo sapiens OX=9606 GN=CDCA2 PE=1 SV=2;tr|E9PEI0|E9PEI0_HUMAN Cell division cycle-associated protein 2 OS=Homo sapiens OX=9606 GN=CDCA2 PE=1 SV=1,2,2,3.6,4.20850867790137,4.29066777690332,24.7051348537296,24.1847258532807
Q96FF9;B5MBX0,Q96FF9;B5MBX0,3;3,3;3,3;3,Sororin,CDCA5,sp|Q96FF9|CDCA5_HUMAN Sororin OS=Homo sapiens OX=9606 GN=CDCA5 PE=1 SV=1;tr|B5MBX0|B5MBX0_HUMAN Sororin OS=Homo sapiens OX=9606 GN=CDCA5 PE=1 SV=1,3,3,17.9,22.8087871851772,21.8292736808728,23.9078405442646,21.9781993172643
P06493;A0A024QZP7;E5RIU6;A0A087WZZ9;K7ELV5;G3V317,P06493;A0A024QZP7;E5RIU6;A0A087WZZ9;K7ELV5,4;4;3;3;2;1,2;2;1;1;0;0,2;2;1;1;0;0,Cyclin-dependent kinase 1,CDK1;CDC2;CDK3,"sp|P06493|CDK1_HUMAN Cyclin-dependent kinase 1 OS=Homo sapiens OX=9606 GN=CDK1 PE=1 SV=3;tr|A0A024QZP7|A0A024QZP7_HUMAN Cell division cycle 2, G1 to S and G2 to M, isoform CRA_a OS=Homo sapiens OX=9606 GN=CDK1 PE=1 SV=1;tr|E5RIU6|E5RIU6_HUMAN Cyclin-depend",4,2,17.5,4.20850867790137,4.29066777690332,21.9130924698339,23.099071016264
P21127;Q9UQ88;Q5QPR4;A0A0D9SEI3;Q5QPR3;A0A0D9SER5;A0A0D9SEN2,P21127;Q9UQ88;Q5QPR4;A0A0D9SEI3;Q5QPR3;A0A0D9SER5;A0A0D9SEN2,10;10;10;10;10;10;10,10;10;10;10;10;10;10,10;10;10;10;10;10;10,Cyclin-dependent kinase 11B;Cyclin-dependent kinase 11A,CDK11B;CDK11A,sp|P21127|CD11B_HUMAN Cyclin-dependent kinase 11B OS=Homo sapiens OX=9606 GN=CDK11B PE=1 SV=4;sp|Q9UQ88|CD11A_HUMAN Cyclin-dependent kinase 11A OS=Homo sapiens OX=9606 GN=CDK11A PE=1 SV=4;tr|Q5QPR4|Q5QPR4_HUMAN Cyclin-dependent kinase 11A OS=Homo sapiens O,10,10,12.5,25.6655736030442,25.4229727573629,25.2253804471505,24.8602231392243
Q9NYV4;J3QSD7;Q14004;A0A087X209;A0A2R8YF61;A0A2R8Y7W5;A0A2R8Y4Z0;A0A590UJE9;A0A2R8Y644;Q9BVE2;A0A2R8YD28;A0A2R8YEB7;H0YLT2,Q9NYV4;J3QSD7,20;16;4;4;4;4;4;3;3;3;3;2;1,20;16;4;4;4;4;4;3;3;3;3;2;1,19;15;3;3;3;3;3;3;2;2;2;1;1,Cyclin-dependent kinase 12,CDK12,sp|Q9NYV4|CDK12_HUMAN Cyclin-dependent kinase 12 OS=Homo sapiens OX=9606 GN=CDK12 PE=1 SV=2;tr|J3QSD7|J3QSD7_HUMAN Cyclin-dependent kinase 12 (Fragment) OS=Homo sapiens OX=9606 GN=CDK12 PE=1 SV=1,20,19,20.3,27.7187528664432,27.7673663517204,26.1908410563618,25.6318695601186
